MAT.1.1	Lùu ŋwaꞌlə kɔ̀ŋ ŋiꞌ ŋii Yeso Kristo, wee Deyvid, wee Abraham. 
MAT.2.7	Fwàŋ Herod zɔ nɨniŋ, tìi vɨɨ məkɨɨ nə məjwiŋ vɔ́ maa shuŋ, kɨ təəmə yighee njyə faŋ fəjwiŋ fɔ́ nə fùu shɔ fɨ ghɔ vəŋ ŋkee jəə, 
MAT.2.8	kɨ nii tɔ̀ŋ vəŋ ntɨꞌ Betelehem, gì laa, «Viŋ gə kə̀ə wee ghɔ́ ŋkee bisə-ŋii. Viŋ taa ye ŋwə, viŋ bəŋ jwì nàysə shee, tɨ́ kaꞌ mə gə shɔ̀ꞌtə ŋwə nɨzi.»
MAT.2.9	Vəŋ zɔ nu ŋkɨə faŋ fwàŋ gì nə, gə̀ nə ŋwaa vəŋ. Faŋ vəŋ gə̀ nɨniŋ, fəjwiŋ mfɨə faŋ vəŋ nə yè faŋ vəŋ nə luu kwiŋ ntɔŋ-shɨshwi nə, fi vɨsɨ fɨ ghɔ vəŋ, gə̀ tɨ̀ŋnə tɔ shəŋ ŋkɨə faŋ wee ghɔ́ nə luu shɔ. 
MAT.2.10	Vəŋ ye fəjwiŋ fɔ́, ŋàytə ŋkee dɨdɨꞌ, 
MAT.2.11	shɔɔ gə̀ ŋìi taa ŋii yɔ́, yè wee ghɔ́ ghɔ nshu wi Meri. Vəŋ guŋnə nsi, bə̀ŋsə wee ghɔ́, keꞌtə vətɔ vəvəŋ, kèy wee ghɔ́ nə goolə, baa nə ndiŋ, nə məŋgwə mə lamenda (faŋ nə luu ŋkee vətɔ və shwaŋ ndɔŋnə.)
MAT.2.12	Faŋ vəŋ nə luu yifi, njyəə shi vəŋ. Nwi tɨ vəŋ taa njyəə laa kɨ vəŋ baa bəŋ gə yɨ fwàŋ Herod me. Nɨniŋ, vəŋ shɔɔ fɨ maa jɨɨ yiday, gə̀ shɨ vəŋ.
MAT.2.13	Vəŋ ndɔ nɨniŋ, njyəə shi Josef. Nshiiŋii Nwi jwi maa ŋwə taa njyəə, gì tɨ́ ŋwə laa, «Ndɔ fɨ nsi, ndì wee ŋwə̀ ghɔ nshu wi, nyɨŋ gə̀ shɨ Ijip, gòꞌ shɔ, zìꞌ maa yighee njyə faŋ mə ndɔ naysə tɨ́ ghɔ, buꞌ laa fwàŋ Herod shoꞌ ghuu wee ŋwə̀ maa məzwi ŋwə.» 
MAT.2.14	Josef ndɔ yizɔ sheꞌ vətuꞌ shi kɔ́, ndì wee ghɔ́, ghɔ nshu wi, nyɨŋ gə̀ nə vəŋ shɨ Ijip. 
MAT.2.15	Vəŋ gə dùꞌ shɔ, zìꞌ maa yighee njyə faŋ fwàŋ Herod nə kù. Nɨniŋ, ŋkə faynə nə nu ŋkɨə faŋ tɨta Nwi nə yɨ̀sə nshiiŋii-sɔghɔ nə naysə fɨshi. Ŋwə nə nàysə laa, «Mə Nwi tii ŋwiŋ ŋwaa fɨ shɨ Ijip.» 
MAT.2.16	Fwàŋ Herod kɨ ye laa vɨɨ məkɨɨ nə məjwiŋ vɔ́ nə bwèꞌsə yi, njyoꞌ yi lia dɨdɨꞌ, ŋwə tɔŋ vəsogeꞌ, vəŋ gə zwìlə vaŋ-vəndɔŋ vəbwavə vənshə fɨ ntɨꞌ Betelehem nə fɨ maa kwiŋ ghɔ́ nshə, mbɨə faŋ vɨ bɨ kɨ bɨbi vəŋ, gə ziꞌ tɨ́ mbɨə faŋ vəŋ lùu ŋuꞌsə bɔɔ, buꞌ laa nə luu yighee njyə faŋ ŋwə nə tə̀əmə fɨ ghɔ vɨɨ məkɨɨ nə məjwiŋ vɔ́. 
MAT.2.17	Nu kɔ́ kɨ nii fàynə maa nu ŋkɨə faŋ nshiiŋii-sɔghɔ Jeremaya nə naysə̀. 
MAT.2.18	Ŋwə nə gì laa lee,
MAT.2.18	«Yumə koꞌ fɨ ntɨꞌ Rama, gwia shɨŋsə dɨdɨꞌ.
MAT.2.18	Rahel gwia vaŋ vi, kee biŋ laa vɨ shɨŋsə ŋwə me,
MAT.2.18	buꞌ laa vaŋ vi kee baa lùu shɔ me.» 
MAT.2.19	Yighee njyə faŋ fwàŋ Herod nə kù, njyəə baa kɨ shi Josef shɨ Ijip. Nshiiŋii Nwi baa kɨ jwi maa ŋwə taa njyəə, 
MAT.2.20	gì tɨ́ ŋwə laa, «Ndɔ yizɔ, ndì wee ghɔ́, ghɔ nshu wi, viŋ vɨ vəŋ bəŋ gə̀ shɨ Isirayl, buꞌ laa vɨɨ mbɨə faŋ vəŋ nəə kəə zwi wee ghɔ́ nə, kukə̀.» 
MAT.2.21	Ŋwə ndɔ fɨ nsi, ndì wee ghɔ́, ghɔ nshu wi, ghɔ vɨ vəŋ bəŋ gə̀ shɨ Isirayl. 
MAT.2.22	Luu nə, ŋwə kɨ zɔ laa Arkileyɔs zɨ̀ tɔ tii wi Herod, sɔꞌ shɨ Judia, ŋwə fee maa məgə shɔ. Nwi gi tɨ́ ŋwə taa njyəə laa ŋwə gə luu kwiŋ Galilii. 
MAT.2.23	Ŋwə kɨ nii shɔ̀ɔ gə̀ shɨ Galilii, gə̀ kɨ shi maa ntɨꞌ yimɔ́ꞌ faŋ vɨ tii nə Nazaret. Nɨniŋ, ŋkə faynə maa nu ŋkɨə faŋ nshiiŋii-sɔghɔ nə nàysə laa, vɨ taa kɨ tii ŋwə nə wuu Nazarini.
MAT.3.1	Nə luu maa ŋuꞌsə mbi sɔ́, Jɔn, wuu məkɔ muu mə Nwi, fuu kɨ fɨꞌtə nu Nwi tɔɔ waꞌsə, 
MAT.3.2	gisə laa, «Viŋ kwiinə fwi siŋ, buꞌ laa nu yifwàŋ yizɔ luu nshənə.» 
MAT.3.3	Nɨniŋ, Jɔn nə luu ŋkee wə ntɨə faŋ nshiiŋii-sɔghɔ Aysaya nəə gisə kɔ̀ŋ ŋwə laa,
MAT.3.3	«Gɨ wə luꞌ fɨ tɔɔ waꞌsə laa vɨ lootə jɨɨ Mɔꞌmbi,
MAT.3.3	bɔ̀ŋsə fɔꞌ wi ŋwə neꞌtə.» 
MAT.3.4	Nshɨ-tɔ Jɔn nəə mɔꞌ sheꞌ njwi faŋ vɨ nə bà nə nyuŋsə nyaa kamelə, shuŋ kɔtə gɔ ŋiꞌ ŋwə, (sheꞌ faŋ nshiisə-ŋii sɔghɔ yaa kɨ mɔꞌ nə.) Fazɨ ki nə luu sheꞌ ŋweysə nə zɔsə fɨ taa tɔɔ. 
MAT.3.5	Ŋwə nə luu shɔ taa tɔɔ waꞌsə, vɨɨ Jerusalem ghɔ vɨ vɨɨ Judia vənshə nə vɨɨ vənshə fɨ kwiŋ Jordan fuu kɨ gə ye ŋwə, 
MAT.3.6	biŋ vənu vəbwəvə vəŋ ntee. Ŋwə kɔ muu mə Nwi tɨ́ vəŋ taa muu mə Jordan.
MAT.3.7	Luu nə, ŋwə kɨ ye vɨɨ vəyaŋ fɨ taa nwaa vɨɨ Farisii nə fɨ taa nwaa vɨɨ Sadusii, faŋ vəŋ nə jwì maa məfi muu mə Nwi fɨ ghɔ ŋwə, ŋwə gi tɨ́ vəŋ laa, «Aŋ viŋ, vaŋ-ŋkakɨ, sii nàysə ndə tɨ́ viŋ laa kaꞌ viŋ fùu fɨ taa nsɔꞌ Nwi faŋ Nwi ndɔ kwaŋ maa vɨɨ nə? 
MAT.3.8	Bàw viŋ yɨ vənu faŋ mbə kuꞌnə yaa vɨɨ faŋ vəŋ kwìinə fwisə vəŋ. 
MAT.3.9	Kɨ viŋ kɨ bɨꞌtə fɨ taa fwisə viŋ maa məgi laa kaꞌ nu kee baa bɨ̀ tɨ́ viŋ me, buꞌ faŋ Abraham lùu tii wiŋ nə. Mə naysə tɨ́ viŋ laa kaꞌ Nwi ndì ŋoꞌsə sə̀, kìasə, nsə gu vaŋ Abraham. 
MAT.3.10	Viŋ zɔ! Vɨ duꞌtə vɨ nuŋsə njaŋ nsi ŋiꞌ vətɨ. Tɨ tɨ̀ me tɨ faŋ ŋkə kee kwàanə vətaŋ vəjəəvə me, vɨ taa gwia, twàŋ taa wi.»
MAT.3.11	Jɔn baa gi laa, «Mə kɔ muu mə Nwi tɨ́ viŋ laa viŋ kɨ kwiinə fwi siŋ. Luu nə, wə ntɨə faŋ ŋwə jwi fiiba mə, kìi wutə shɔ̀ɔ mə. Mə kee bee kùꞌnə ŋkee maa məshaꞌ gɔsə si me. Ŋwə ndɔ kɔ luu Zwitə Ley Nwi tɨ́ viŋ, nə wisə. 
MAT.3.12	Ŋkə ndɔ luu sheꞌ yaa nu wuu məfetə ŋɨŋee, faŋ nsì məfetə ŋɨŋee lùu ghɔ ŋwə, ŋwə ndɔ fetə ŋɨŋee wi, nùŋsə ŋkee jəə taa ŋii, ndɔ shəŋtə vəghɔ vi, twàŋ taa wi faŋ ŋwə kee yaa kɨ ndɨɨnə me.»
MAT.3.13	Nə luu maa yighee yɔ́, Yeso ndɔ fɨ shɨ Galilii, jwì yɨ Jɔn mbɨɨ muu mə Jordan maa məfi muu mə Nwi. 
MAT.3.14	Jɔn fəŋ ŋwə, gì laa, «Ŋkə nə bàw mə fi muu mə Nwi fɨ ghɔ ghɔ. Sii yɨ̀ kə laa a bee kii jwì maa mə?» 
MAT.3.15	Yeso bəŋsə tɨ́ ŋwə laa, «Meꞌtə ŋkə lùu nɨniŋ ndwə. Bàw ŋkə luu nɨniŋ laa sɨ kɨ yɨsə vənu vənshə faŋ Nwi kàw.» Nɨniŋ, Jɔn biŋ, mèꞌtə ŋwə. 
MAT.3.16	Yeso fi muu mə Nwi, fùu fɨ taa muu, sheꞌ yighee yɔ́ shuu yizɔ ŋaꞌnə, ŋwə ye Zwitə Ley Nwi siꞌ jwì yaa bɔŋsə, tɨ̀ŋnə tɔ ŋwə. 
MAT.3.17	Gɨ Nwi gi fɨ taa yizɔ laa, «Lùu ŋwiŋ ŋwaa nə faŋ mə kàw. Ŋwə baw shee.»
MAT.4.1	Yiŋkii kɨ mè, Zwitə Ley Nwi suŋ Yeso, ŋwə gə tɔɔ waꞌsə, tɨɨ vəzwitə vəbwəvə mɔŋ ŋwə. 
MAT.4.2	Ŋwə nə luu yifi, baŋ fazɨ maa vəshi muu-yinshwe, baŋ fazɨ vətuꞌ nə shɨshwi. Jɨŋ kɨ nii zasə ŋwə. 
MAT.4.3	Wuu məbweꞌsə mbi ghɔ́ jwi yɨ ŋwə, gì tɨ́ ŋwə laa, «Kɨ luu laa a lùu Wee Nwi, a yɨsə ŋoꞌsə sə̀ kiasə gù bee.» 
MAT.4.4	Yeso bəŋsə tɨ́ ŋwə laa, «Ŋkə lùu taa ŋwaꞌlə Nwi laa, «Wə kee bwey sheꞌ buꞌ fazɨ me. Wə bwey luu buꞌ yigi yinshə faŋ nyə fuu fɨ shuu Nwi.» 
MAT.4.5	Yiŋkii kɨ shɔɔ, tɨɨ vəzwitə vəbwəvə ndi ŋwə, gə̀ nə ŋwə ntɨꞌ Jerusalem, tə̀ ŋwə fuu nyaw tɔ ŋii Nwi yikwalə, 
MAT.4.6	gì tɨ́ ŋwə laa, «Kɨ luu laa a lùu Wee Nwi, a sawnə shəŋ nsi, buꞌ laa ŋkə lùu taa ŋwaꞌlə Nwi laa, «Nwi taa tɔŋ vɨɨ ntɔŋ vi fɨ yizɔ laa vəŋ ndwey ghɔ laa kɨ ghɔ tuŋ ghuu kə maa ŋoꞌ me.» 
MAT.4.7	Yeso gi tɨ́ ŋwə laa, «Nu kəmɔ́ꞌ fɨ taa ŋwaꞌlə Nwi lùu laa, «Kɨ ghɔ mɔŋ Mɔꞌmbi, Nwi wə me.» 
MAT.4.8	Tɨɨ vəzwitə vəbwəvə baa kii ndi ŋwə, gə̀ nə ŋwə fuu baŋ yimɔ́ꞌ faŋ nyə luu ŋkee yidə, də̀ məshɨ mə shɨ nsi tɨ́ ŋwə mənshə nə vətɔ vəjəəvə faŋ mbə lùu taa tey yi. 
MAT.4.9	Tɨɨ vəzwitə vəbwəvə gi tɨ́ ŋwə laa, «A taa kɨ luu guŋnə nsi, bəŋsə mə, mə kɔ̀ vətɔ və̀ tɨ́ ghɔ vənshə.» 
MAT.4.10	Yeso bəŋsə tɨ́ ŋwə laa, «Ndɔ fɨ yɨ mə Satan! Ŋkə lùu taa ŋwaꞌlə Nwi laa, «Kɨ bəŋsə Mɔꞌmbi, Nwi wə, fàꞌ sheꞌ faꞌ wi nɨnɔŋ.» 
MAT.4.11	Ŋwə nə gì nɨniŋ, tɨɨ vəzwitə vəbwəvə ndɔ fɨ yɨ ŋwə, gə̀. Nshiisə-ŋiisə Nwi kɨ nii jwì yɨ ŋwə, fàꞌ tɨ́ ŋwə.
MAT.4.12	Yeso kɨ zɔ laa vɨ jia Jɔn, kwàŋ taa ŋii mfiŋ, ŋwə ndɔ fɨ yifi, bə̀ŋ gə̀ shɨ Galilii. 
MAT.4.13	Ŋwə ziꞌ yifi, mèꞌtə ntɨꞌ Nazaret, gə̀ kɨ shi luu ntɨꞌ Kapernaum, faŋ lùu shuu maghia, nsi Zebulɔn nə Naftali. 
MAT.4.14	Faŋ ŋwə nə gə̀ nɨniŋ, fàynə maa nu ŋkɨə faŋ nshiiŋii-sɔghɔ Aysaya nə gì. 
MAT.4.15	Ŋwə nə gì laa lee,
MAT.4.15	«Vɨɨ fɨ nsi Zebulɔn nə fɨ nsi Naftali,
MAT.4.15	faŋ nyə lùu kwiŋ maghia nə,
MAT.4.15	yiba muu mə Jordan njɨɨ yi, maa kwiŋ shɨ Galilii,
MAT.4.15	faŋ vɨɨ shi shɔ faŋ kee lùu vɨɨ Jus nə me.
MAT.4.16	Vɨɨ vɔ́ faŋ vəŋ nə dùꞌ taa mfiŋsə,
MAT.4.16	ye ŋkee məley kwalə.
MAT.4.16	Vɨɨ mbɨə faŋ vəŋ nə dùꞌ maa shəŋ yiku,
MAT.4.16	faŋ ndɨŋlə yiku nə shitə vəŋ nə,
MAT.4.16	vəŋ dùꞌ, məley fuu shitə vəŋ.» 
MAT.4.17	Nə luu maa yighee yɔ́, Yeso tey kɨ fɨꞌtə nu Nwi, gisə laa, «Viŋ kwiinə fwi siŋ, buꞌ laa nu yifwàŋ yizɔ luu nshənə.»
MAT.4.18	Yeso kɨ shɔ̀ɔ fɨ mbɨɨ maghia Galilii shi mɔ́ꞌ, yè vɨɨ vəbɔɔ faŋ vəŋ nə mɔꞌ ghuu susə vəŋ taa muu. Vɨɨ vɔ́ nə luu Saymon faŋ vɨ tii ŋwə nə Pita, ghɔ weenshu wi Andru. Vəŋ nə luu vɨɨ məkoo susə. 
MAT.4.19	Yeso gi tɨ́ vəŋ laa, «Viŋ jwi, bèꞌsə mə. Mə taa yɨsə viŋ gu vɨɨ məbaytə vɨɨ tɨ́ Nwi, sheꞌ faŋ viŋ koo susə taa ghuu nə.» 
MAT.4.20	Vəŋ meꞌtə ghuu susə vəŋ yighee muꞌ, bèꞌsə ŋwə. 
MAT.4.21	Ŋwə baa kɨ toꞌ, filə gə vɨsɨ, baa yè vaŋ-nshwi mɔ́ꞌ vəbɔɔ, luu Jeyms, wee Zebedii, ghɔ weenshu wi Jɔn, faŋ vəŋ nə dùꞌ taa bay ghɔ vɨ tɨɨ vəŋ Zebedii, kɨ təənə təŋɔŋ fɨ maa ghuu susə vəŋ. Yeso tii vəŋ nɨzi. 
MAT.4.22	Vəŋ meꞌtə bay kɔ́ ghɔ tɨɨ vəŋ yighee muꞌ, bèꞌsə ŋwə.
MAT.4.23	Yeso kɨ nii toꞌ fɨ taa shɨ Galilii kənshə, deesə nu Nwi taa ndɔꞌ Nwi, fɨꞌtə ntɔŋ yijəə kɔ̀ŋ nu yifwàŋ yizɔ, shùꞌ vəza vənshə nə vəndoꞌ vənshə fɨ maa vɨɨ. 
MAT.4.24	Nu kwalə ki kɔ́ saynə taa shɨ Siria kənshə. Vɨ jwi nə vɨɨ vəza tɨ́ ŋwə, faŋ vəŋ nəə zasə nə vəza taŋ taŋ. Vɨɨ faŋ zwitə bwə nə luu maa vəŋ, nə vɨɨ faŋ kəŋgu nəə ghaysə vəŋ, nə vɨɨ faŋ way ŋwaa vəŋ nə ku muꞌ, jwi yè Yeso, ŋwə shuꞌ vəŋ. 
MAT.4.25	Vɨɨ vəyaŋ beꞌsə ŋwə, vɨɨ faŋ vəŋ nə ndɔ̀ fɨ shɨ Galilii, nə vɨɨ fɨ shɨ Dekapoli, nə vɨɨ fɨ Jerusalem nə fɨ shɨ Judia kənshə, nə vɨɨ fɨ njɨɨ Jordan.
MAT.5.1	Faŋ Yeso nə ye vɨɨ vəyaŋ vɔ́, koꞌ gə fuu baŋ, dùꞌ nsi. Vɨɨ məzwetə nu ki shəŋtə jwi yɨ ŋwə. 
MAT.5.2	Ŋwə ŋaꞌsə shuu wi, dèesə vəŋ tɨ́ nee:
MAT.5.3	«Mənɔŋ-bwaŋnə tɨ́ vɨɨ mbɨə faŋ vəŋ dùꞌ
MAT.5.3	yaa mbəəsə vɨsɨ Nwi
MAT.5.3	(faŋ vəŋ kɨꞌ vənu vənshə sheꞌ fɨ ghɔ Nwi,)
MAT.5.3	fɔnə nu yifwàŋ yizɔ lùu tɨ́ vəŋ.
MAT.5.4	Mənɔŋ-bwaŋnə tɨ́ vɨɨ mbɨə faŋ vəŋ luŋ,
MAT.5.4	fɔnə Nwi taa bawsə fwisə vəŋ.
MAT.5.5	Mənɔŋ-bwaŋnə tɨ́ vɨɨ zutə,
MAT.5.5	fɔnə vəŋ ndɔ zɨ shɨ nsi.
MAT.5.6	Mənɔŋ-bwaŋnə tɨ́ vɨɨ mbɨə faŋ jɨŋ nu loomə zasə vəŋ,
MAT.5.6	fwisə vəŋ baa yɔŋ buꞌ nu kɔ́, fɔnə vəŋ taa zwəkə.
MAT.5.7	Mənɔŋ-bwaŋnə tɨ́ vɨɨ mbɨə faŋ vəŋ kee gəŋsə vɨɨ,
MAT.5.7	fɔnə Nwi taa kee gəŋsə vəŋ nɨzi.
MAT.5.8	Mənɔŋ-bwaŋnə tɨ́ vɨɨ mbɨə faŋ fwisə vəŋ lùu səley,
MAT.5.8	fɔnə vəŋ ndɔ gə ye Nwi.
MAT.5.9	Mənɔŋ-bwaŋnə tɨ́ vɨɨ məbwasə nu,
MAT.5.9	fɔnə Nwi taa ndi vəŋ yaa vaŋ vi.
MAT.5.10	Mənɔŋ-bwaŋnə tɨ́ vɨɨ mbɨə faŋ vɨ shoꞌ ghuu vəŋ
MAT.5.10	buꞌ məzɔnə nə vənu vəloomə faŋ vəŋ yɨsə,
MAT.5.10	fɔnə nu yifwàŋ yizɔ lùu tɨ́ vəŋ.
MAT.5.11	Mənɔŋ-bwaŋnə lùu tɨ́ viŋ, faŋ vɨɨ ndasə viŋ,
MAT.5.11	shoꞌ ghuu ghiŋ, gisə vənu vəbwəvə tɔ viŋ,
MAT.5.11	sɨɨ təba shɔ buꞌ mə.
MAT.5.12	Viŋ kɨ ŋaytə, shɨꞌ, buꞌ laa vəkeynə viŋ ndɔ luu vəyaŋ shɨ Nwi taa yizɔ. Lùu nɨniŋ buꞌ laa vɨ nəə shoꞌ ghuu nshiisə-ŋii sɔghɔ mbə ywaŋ-vɨsɨ sheꞌ nɨniŋ.»
MAT.5.13	«Viŋ lùu fəŋway taa mbi, luu nə, fəŋway kɨ luu kee baa kɨ ndɨŋ me, buu sii kaꞌ vɨ yɨ kɨkə mfə baa ndɨ̀ŋ? Maa mfə kee baa lùu maa nu me; vɨ meꞌ fu, vɨɨ kɨ toꞌ, shɔɔ, jeꞌtə nə ghuu vəŋ.
MAT.5.14	Viŋ lùu kiꞌ taa mbi. Ntɨꞌ yimɔ́ꞌ faŋ nyə lùu fuu kweꞌ, kaꞌ nyə kee ndenə me. 
MAT.5.15	Vɨ kee yaa kɨ shuꞌ kiꞌ, ndi kay kusə tɔ yi me. Vɨ yaa kɨ tə kiꞌ luu fuu shəŋ mətə kiꞌ, tɨ́ kaꞌ vɨɨ vənshə faŋ vəŋ lùu taa ŋii, kɨ ye vədɨꞌ fuŋ. 
MAT.5.16	Nɨniŋ, viŋ kɨ yɨsə laa kiꞌ wiŋ kɨ bee yikəꞌ vɨɨ, vəŋ kɨ ye vənu vəjəəvə viŋ, bəŋsə yizii Nwi, Tii wiŋ, faŋ ŋwə lùu yizɔ nə.»
MAT.5.17	«Kɨ viŋ kɨ bɨꞌtə laa mə nə jwì maa məndisə nu ŋkɨə faŋ ŋkə lùu taa ŋwaꞌlə ntɨsə Nwi, nə ŋkɨə fɨ taa vəŋwaꞌlə və nshiisə-ŋii sɔghɔ me. Mə kee jwi maa məndisə me; mə jwi maa məfaynə, ŋkə kuꞌnə. 
MAT.5.18	Viŋ zɔ! Mə naysə nu yinsəŋ tɨ́ viŋ laa tuu ŋkee yisɨ ŋwaꞌlə yimuꞌ, tɨꞌnə me ŋkee wee-mbey, kee ndɔ ndi fɨ taa ŋwaꞌlə ntɨsə Nwi me, gə ziꞌ maa yighee njyə faŋ yizɔ ghɔ nsi ndɔ ndi. Vənu vɔ́ vənshə fɨ taa ŋwaꞌlə Nwi ndɔ gay ŋkəə. 
MAT.5.19	Nɨniŋ, wə kɨ luu ndisə sheꞌ wee-ntɨ yimuꞌ fɨ taa ntɨsə Nwi sətɨtiꞌ, dèesə vɨɨ shɔ, buu vɨ ndɔ kɨ tii ŋwə nə wuu tɨtiꞌ taa nu yifwàŋ yizɔ. Luu nə, wə kɨ luu nùŋsə ntɨsə sɔ́, baa deesə tɨ́ vɨɨ, buu vɨ ndɔ kɨ tii ŋwə nə wuu kwalə taa nu yifwàŋ yizɔ. 
