GEN.1.1	Ŋgimbi nɛ̀ Sɔ̧ ku̧u̧ nɛ̀ naŋ dee yiwese in nù, 
GEN.1.28	Sɔ̧ toka de yoŋgo zu wa; a̧ tɔ̧ɔ̧ ha̧ wa: «Ɛ̀nɛ̀ kó, ɛ̀nɛ̀ dɔ́k siti, ɛ̀nɛ̀ dún nu, ɓɛɛ ɛ̀nɛ̀ ɔ́ wan zu a̧; ɛ̀nɛ̀ ɔ́ wan zu o zoro ɗɔɔ gba-tɔp, o nɔ̧́í̧ in o saɗi zu nù lɛŋ.» 
GEN.1.29	Sɔ̧ tɔ̧a̧: «Mi ha̧a̧ nyɔnɔ nɛ̀ kpar-a a̧a̧ sɛnɛ sɛn zu nù lɛŋ in o te nɛ a̧a̧ nɛ waya-a nɛ̀ dɛm dɛm h’ɛ́nɛ́; wa lɛŋ tɛ ya nɛ́ mɔɔ-nyɔŋ k’ɛ́nɛ́. 
GEN.1.30	O saɗi in o nɔ̧́í̧ yiwese lɛŋ in o mɔ nɛ gbur zaŋ gbur nɛ nù, mɔ lɛŋ nɛ a̧a̧ nɛ 
GEN.1.31	Sɔ̧ zɔka mɔ lɛŋ n'aa dea, mɔ lɛŋ duka nɛ de-a nyɛmna. Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ mɔɔrɔ-ɗoŋ-kpɔk ɔɔ-zɛ.
GEN.2.1	Hegɔ dee yiwese in nù in o mɔ nɛ a̧a̧ sɛnɛ lɛŋ kaɗa. 
GEN.2.2	Sɔ̧ kaɗa tom sɛn tɛ mɔɔrɔ-ɗoŋ-yiitoo ɔɔ-zɛ; nɛ́ tɛ́ mɔɔrɔ-ɗoŋ-yiitoo ɔɔ-zɛ‘i a̧ Sɔ̧ ɔma nɛ̀ tɛ̀.
GEN.2.3	Ɓɛɛ Sɔ̧ tok de yoŋgo zu mɔɔrɔ-ɗoŋ-yiitoo ɔɔ-zɛ‘i, ɓɛɛ a̧ e wese'i nɛtɛ; wen nɛ́ wese'i á̧ a̧ kaɗa nɛ tom lɛŋ n'aa dea. 
GEN.2.4	Ku̧u̧naŋ yiwese in nù, ŋgimbi nɛ Sɔ̧ dee nɛ wa nɛ́ mɔ‘i.
GEN.2.4	Ŋgimbi nɛ GASA WAN dee nɛ nù in yiwese, 
GEN.2.5	ŋma be te kpɔk tɛ bo so sɛn zaŋnu na, kóó ŋma be bɔr-mɔ tɛ hɔ sɛn kpɛɛfɔ hɔ̧ɔ̧ na mbɛt, wen GASA WAN Sɔ̧ tɛ de ha̧ kórò mɛ hɔ zu nù hɔ̧ɔ̧ na, in bíí tɛ bo so wen waa fɔ hɔ̧ɔ̧ na mbɛt. 
GEN.2.6	Ŋgimbi'i dɔka yì gbo o nɛ ɗɔɔ nù pii zan, ɓɔ nɛ nù lɛŋ.
GEN.2.7	GASA WAN Sɔ̧ ɓoo nɛ fuunu de nɛ bíí. A̧ ɔma si kɔ̧ zɔ̧ɔ̧-a̧a̧ ha̧ nɛ̀ 
GEN.2.8	Nɛ́ mɔ'ɔ nɛ GASA WAN Sɔ̧ dee fɔ sɛn Edɛn, nɛ war daŋa-wese; ɓɛɛ a̧ e bíí n'aa dea sɛnɛ. 
GEN.2.9	GASA WAN Sɔ̧ dee ha̧ o te nɛtɛ nɛtɛ lɛŋ nɛ ɔ dee wen zɔka-a in wen nyɔŋa-a mbɛt mɛ dɛm sɛn kpɛɛfɔ‘i; te duka-kpasa a̧a̧ sɛn see fɔ, in te iŋa mgbara demɔ in ɗaŋmɔ a̧a̧ sɛnɛ mbɛt.
GEN.2.10	Ŋma nana-yì gboa nɛ Edɛn wen ha̧ nù mɛ́ mɔk, ɓɛɛ gba er naar. 
GEN.2.11	Nin kuti yì nɛ́ Pisɔŋ; mɛ̀ nɛ́ a̧ á̧ zika nú Hawila nɛ a̧a̧ nɛ lɔr nyɛmna. 
GEN.2.12	Lɔr tɛ nù‘i ɔ dee nyɛmna, in sɔ̧ɔ̧-te nɛ‘i sa'e delium in o de tu̧ ta mbɛt. 
GEN.2.13	Nin yiitoo-aa nɛ́ Gihɔŋ; a̧ fok zik nɛ nù Kus lɛŋ. 
GEN.2.14	Nin taar yì nɛ́ Tigrɛ; a̧ fok ti Asur nɛ war daŋa-wese. Nin naar nana-yì nɛ́ Efrat.
GEN.2.15	GASA WAN Sɔ̧ ee bíí sɛn kpɛɛfɔ Edɛn wen waa a̧ in pɛma a̧ mbɛt, 
GEN.2.16	ɓɛɛ GASA WAN Sɔ̧ mbo nú wi’ɛi hee mɔ'ɔ ga: «O waya-te kpɛɛfɔ lɛŋ, mɛ́ nyɛma nyɔŋa-a, 
GEN.2.17	ɓɛɛ mɛ́ beka nyɔŋ waya-te iŋa mgbara demɔ in ɗaŋmɔ na; wen wese nɛ mɛ tɛ́ nyɔŋ, mɛ́ tɛ́ fe.»
GEN.2.18	Ɓɛɛ GASA WAN Sɔ̧ tɔ̧: «Bó nɛ́ ɔ dee ha̧ wiwii mɛ duk ɛ̀nɛ̀-a na. Mi tɛ́ de ŋma bíí nɛ tɛ gbam in a̧ in nɛ tɛ gbak a̧.» 
GEN.2.19	GASA WAN Sɔ̧ ɓoo nù de nɛ saɗi in o nɔ̧́í̧ lɛŋ, ɓɛɛ kai tɛnɛ ha̧ wi’ɛi wen ha̧ a̧ mɛ zɔk hee mɔ'ɔ n'aa tɛ a nɛ nin-wa ga. Mɔ lɛŋ nɛ duk kpasa baa so kànà nɛ nin nɛ bíí aa ha̧ a̧. 
GEN.2.20	A̧ aa nin ha̧ o gasa saɗi, o nɔ̧́í̧ lɛŋ in o saɗi-zaŋbɛɛ lɛŋ; ɓɛɛ war kɔ̧-a̧ nɛ tɛ-a, a̧ kpa ŋma bíí nɛ tɛ gbam in a̧ mɛ gbak a̧ na.
GEN.2.21	Ɓɛɛ GASA WAN Sɔ̧ de ha̧ gasa ya mɛ ba wi’ɛi, ɓɛɛ a̧ ɔ ya. Sɔ̧ baa gba̧a̧ ŋgazi-a kpɔk, ɓɛɛ kpe oi-aa nɛ mur-tɛ-a. 
GEN.2.22	GASA WAN Sɔ̧ baa gba̧a̧ ŋgazi wiwii,
GEN.2.23	Wiwii tɔ̧a̧:
GEN.2.23	«Zɔ́k kinii gba̧a̧'ɛ nɛ́ gba̧a̧-tɛ‘m
GEN.2.23	in mur’ɛ nɛ́ mur-tɛ‘m;
GEN.2.23	wi’ɛ wi tɛ́ sa a̧‘e okoo,
GEN.2.23	wen mɛ̀ nɛ́ sɛn tɛ wiwii a̧ wa dee nɛ a̧.»
GEN.2.24	Mɛ̀ nɛ́ wen hegɔ wiwii tɛ e dáà in nàà kɔ‘i duk, ha̧ a̧ mɛ́ ndaɗi in kóò kɔ̧-a̧ wen ha̧ wa mɛ́ duk nɛ́ kiitɛ kpɔk.
GEN.2.25	Wa yiitoo lɛŋ yaa so nɛ̀ mgbii, wíì in kóò de foe yí ŋmaa na.
GEN.3.2	Okoo kifa nú ha̧ gɔ́k: «Ɛ́ɛ́ nyɛma mɛ́ nyɔŋ o waya-te sɛn kpɛɛfɔ'ɛ, 
GEN.3.3	ɓɛɛ war ko waya-te nɛ a̧a̧ sɛn see fɔ‘i, Sɔ̧ tɔ̧a̧, k’ɛ́ɛ́ nyɔŋ na, k’ɛ́ɛ́ fo na mbɛt, wen k’ɛ́ɛ́ tɛɛ fe.»
GEN.3.4	Gɔ́k tɔ̧ɔ̧ ha̧ okoo: «Weyaa, ɛ́nɛ́ beka fe na! 
GEN.3.5	Sɔ̧ iŋa'e wese n’ɛnɛ tɛ́ nyɔŋ, yí‘nɛ́ tɛ́ hì̧ì̧, ɛ́nɛ́ tɛ́ ya hee Sɔ̧ ga, ɓɛɛ ɛ́nɛ́ tɛ́ iŋ mgbara demɔ in ɗaŋmɔ.»
GEN.3.6	Okoo zɔka'e te'i ɔ dee wen nyɔŋa-a; tɛ̀ zɔka-a, a̧ taa'e te'i nyɛma mɛ́ ha̧ haya taamɔ, ɓɛɛ a̧ ba waya-te'i nyɔŋ; a̧ ha̧a̧ ŋma ha̧ wíì kɔ̧-a̧ nɛ duka in a̧, ɓɛɛ wíì kɔ̧-a̧ nyɔŋ mbɛt. 
GEN.3.7	Wa yiitoo lɛŋ yí-wa hu̧i̧a̧, ɓɛɛ wa iŋ kinii nde, wi ya nɛ̀ mgbii; mɛ̀ nɛ́ hegɔ wa sika wa̧a̧ mbɔra wen kpea-a nɛ tɛ-wa.
GEN.3.8	Mɛ́ ga̧a̧mɔ, GASA WAN Sɔ̧ yara kpɛɛfɔ, ɓɛɛ hee mɔ'ɔ nɛ wa zia tiger-a ga, wiwii in okoo hu̧sa̧ tɛ-wa ti GASA WAN Sɔ̧ sɛn mgbara te kpɛɛfɔ. 
GEN.3.9	GASA WAN Sɔ̧ saa wiwii, ɓɛɛ ak a̧: «Mɛ́ a̧a̧ dee?»
GEN.3.10	A̧ kifa nú: «Mi zia tiger'nɛ́ sɛn kpɛɛfɔ, kíì dea'm wen mi duk nɛ̀ mgbii, ɓɛɛ sa'm hu̧si.»
GEN.3.11	GASA WAN tɔ̧ɔ̧ woyo: «Nɛ́ o'o tɔ̧ɔ̧ ha̧ mɛ ndé, mɛ́ duk nɛ mgbii o? Mɛ́ nyɔŋa nɛ́ waya-te n'am tɔ̧ɔ̧ ha̧ mɛ‘e ká mɛ nyɔŋ na’ɛ gɔ?» 
GEN.3.12	Ɓɛɛ wiwii kifi nú: «Mɛ̀ nɛ́ okoo n’ɛnɛ ea sɛn katɛ‘m a̧ ha̧a̧ waya-te'i ha̧‘m, ɓɛɛ sa'm nyɔŋ.»
GEN.3.13	GASA WAN Sɔ̧ tɔ̧ɔ̧ ha̧ okoo: «Nɛ́ ge a̧ mɛ dea’ɛ ge?» Ɓɛɛ okoo kifi nú: «Nɛ́ gɔ́k a̧ ɔra'm sa'm nyɔŋ waya-te'i.»
GEN.3.14	Ɓɛɛ GASA WAN Sɔ̧ tɔ̧ ha̧ gɔ́k: «Hee mɔ'ɔ nɛ mɛ dee mɔ hegɔ ga, mgbara o be saɗi in o saɗi-zaŋbɛɛ lɛŋ, fom a̧ ba mɛ; mɛ́ tɛ́ gbur zaŋ-mɛ nɛ nù wese lɛŋ, ɓɛɛ mɛ́ tɛ́ nyɔŋ nɛ́ fuunu ŋgimbi duka-a kɔ-mɛ zaŋnu. 
GEN.3.15	Mi tɛ e sɛnmɔ mgbara mɛ in okoo, mgbara o bezaŋ-mɛ in bezaŋ-aa; a̧ tɛ hɔ̧n zu-mɛ ɓɛɛ mɛ tɛ nyɔŋ dukui-naŋ-a.»
GEN.3.16	A̧ tɔ̧ɔ̧ ha̧ okoo: «Mɛ tɛ ba zaŋ, ɓɛɛ mɛ tɛ duk tɛ gasa bɔnɛ; nɛ́ tɛ gɔfamɔ a̧ mɛ tɛ ko nɛ bem; mɛ tɛ kɔ̧ wíì kɔ-mɛ nyɛmna, ɓɛɛ a̧ tɛ ɔ wan zu mɛ.»
GEN.3.17	A̧ tɔ̧ɔ̧ ha̧ Adam: «Hee mɛ zia nɛ wen ko kóò kɔ-mɛ, ɓɛɛ mɛ nyɔŋ waya-te n'am tɔ̧ɔ̧ ha̧ mɛ‘e ká mɛ nyɔŋ na ga, mi tɛ fom nù wen zu mɛ. Nɛ́ bɔnɛ-bɔnɛ a̧ mɛ tɛ kpa nɛ̀ nyɔŋmɔ tɛ duka-a kɔ-mɛ wese lɛŋ.
GEN.3.18	Nù tɛ dɛm nɛ tɛn in o tɛn-dara ha̧ mɛ; mɛ tɛ nyɔŋ nɛ o nyɔnɔ kpɛɛfɔ. 
GEN.3.19	Sɛn tɛ sɔbɛɛ sɔnti-mɛ a̧ mɛ tɛ kpa nɛ nyɔŋmɔ kɔ-mɛ, hegɔ hɔ wese nɛ mɛ tɛ si nɛ ɗoŋ tɛ nù, wen nɛ́ hi̧i̧ a̧ mɛ gboo nɛnɛ. Nɛ́ kpasawen, mɛ tɛɛ nɛ tɛ fuunu, mɛ tɛ si ɗoŋ tɛ fuunu.»
GEN.3.20	Wiwii saa nin kóò kɔ̧-a̧‘e Ɛvɛ; wen a̧ duka nɛ nàà ko bíí lɛŋ. 
GEN.3.21	GASA WAN Sɔ̧ dee laa ndàrá ha̧ Adam in kóò, ɓɛɛ pi̧ tɛ-wa.
GEN.3.22	GASA WAN Sɔ̧ tɔ̧a̧: «Kinii, bíí duk hee ŋma kpɔk mgbara ɛ́ɛ́ ga sɛn tɛ iŋa mgbara demɔ in ɗaŋmɔ. Ɓɛɛ kinii a̧ beka ɓi waya-te duka-kpasa wen nyɔŋa-a ɓɔna, wen ká a̧ tɛɛ duk kpoo nɛ kpoo.»
GEN.3.23	Ɓɛɛ GASA WAN Sɔ̧ ndak a̧ sɛn kpɛɛfɔ Edɛn yinɛ, ha̧ a̧ mɛ wa nù nɛ Sɔ̧ dee nɛ a̧. 
GEN.3.24	Ɗoŋ nɛ Sɔ̧ ndaka wi’ɛi yinɛ kaɗi, a̧ ee o betom nɛ‘i sa'e 
GEN.4.1	Wíì duka in kóò kɔ‘i Ɛvɛ, a̧ baa zaŋ ɓɛɛ a̧ ko Kain, ɓɛɛ a̧ tɔ̧: «Mi kpaa bíí nɛ GASA WAN ha̧a̧ ha̧‘m.» 
GEN.4.2	A̧ koo mbe-a; nɛ́ Abɛl nya Kain. Abɛl duka só kɔ‘i nɛ́ wi-dai-mɔ, ɓɛɛ Kain nɛ́ wi-wa-fɔ. 
GEN.4.3	Sɛn tɛ ŋma ŋgimbi Kain kaia o waya-te tɛnɛ wen ŋmara zu-a ha̧ GASA WAN. 
GEN.4.4	Abɛl kaia kɔ‘i nɛ o kuti be-sami, ɓɛɛ kai o de mur-aa ha̧ nɛ zu mɔ-dai kɔ‘i; hegɔ GASA WAN kpɛka Abɛl in ha̧a̧mɔ kɔ̧-a̧ mbɛt.
GEN.4.5	GASA WAN kpɛk Kain in ha̧a̧mɔ kɔ̧-a̧ na. Kain kpaa ɗaŋsee nyɛmna, ɓɛɛ a̧ zum zu-a. 
GEN.4.6	GASA WAN tɔ̧ɔ̧ ha̧ Kain: «Wen ge sá mɛ kpa ɗaŋsee zum nɛ zu-mɛ ge? 
GEN.4.7	Kà mɛ de so mɔ nɛ yuwar-a, mɛ tɛ̀ɛ́ ba zu-mɛ nɛ ŋgɔn. Kà mɛ de mɔ nɛ yuwar-a na, ɗaŋmɔ tɛ ba fara nú tua kɔ-mɛ mɛ́ kpa ŋgai zu mɛ, ɓɛɛ kɔ-mɛ, mɛ̀ kpá ŋgai zu a̧.»
GEN.4.8	Kain tɔ̧ɔ̧ ha̧ nya-wi Abɛl: «Ɛ̀ɛ̀ nɛ́ kpɛɛfɔ.» Hee mɔ'ɔ nɛ wa a̧a̧ kpɛɛfɔ ga, Kain tika zu nya-wi Abɛl, ɓɛɛ gbɛ a̧.
GEN.4.9	GASA WAN aka Kain: «Nya-mɛ a̧a̧ dee?» A̧ kifa nú: «Mi iŋ na. Mi nɛ́ wi-pɛm nya'm nde?»
GEN.4.10	GASA WAN aka a̧ woyo: «Mɛ dee hee ge? Mi zia tiger tɔk-tɛ nya-mɛ nɛ hiɗi mɔ nɛ mbɔɗɔnu pii sɛn tɛ‘m!
GEN.4.11	Kinii, fom baa mɛ sɛn zu nù nɛ nɔɔ tɔk-tɛ nya-mɛ nɛ mɛ gbaia a nù nɛ er-mɛ. 
GEN.4.12	Mɛ́ tɛ́ wa fɔ, ɓɛɛ a̧ beka dɛm mɔ siti ha̧ mɛ nɛ dɔka-a ɓɔna. Mɛ́ tɛ́ duk nɛ́ wi-yar-war, yambala-bíí sɛn zaŋnu.»
GEN.4.13	Kain tɔ̧ɔ̧ ha̧ GASA WAN: «Bɔnɛ kɔ‘m gana zu'm. 
GEN.4.14	K’ɛ̀nɛ̀ ndak am sɔsɔɔ sɛn zaŋnu’ɛ, ɛ́nɛ́ beka iŋ oi-am ɓɔna; mi tɛ́ yar yambali nɛ zaŋnu nɛnɛ, ɓɛɛ kóó o nde nɛ tɛ́ kpa'm, tɛ́ gbɛ‘m.»
GEN.4.15	GASA WAN tɔ̧ɔ̧ ha̧ a̧: «Kà ŋma bíí gbɛ Kain, kifa-er a̧a̧ sɛnɛ war mɔɔrɔ-ɗoŋ-yiitoo.» Ɓɛɛ GASA WAN e mɔɔ-sedaako tɛ Kain, wen ká o nde nɛ tɛ kpa a̧ tɛɛ gbɛ a̧. 
GEN.4.16	Kain nɛ́ɛ̀ ɔ nyɛi̧ nɛ GASA WAN, ɓɛɛ a̧ yak si sɛn nù Nod, nɛ war daŋa-wese ha̧ Edɛn.
GEN.4.17	Kain duka in kóò kɔ‘i, ɓɛɛ kóò ba zaŋ ko nɛ Enɔk. Kain dee ye, ɓɛɛ a̧ a nin ye'i nɛ nin bem kɔ̧-a̧ Enɔk. 
GEN.4.18	Nɛ́ mɔ'ɔ nɛ Enɔk kòó Irad, ɓɛɛ Irad ko Mehiyaɛl. Mehiyaɛl kòó Metusaɛl, ɓɛɛ Metusaɛl ko Lamɛk. 
GEN.4.19	Lamɛk baa kóò yiitoo, nin nana-gun-aa nɛ́ Ada, nin zɔŋa-a nɛ́ Sila. 
GEN.4.20	Ada kòó Yabal, ɓɛɛ Yabal duka nɛ́ zɔmdáa ko wi ɔ kɔ̧ tua-laa in nɛ̀ dai nɛ́ o mɔ-dai. 
GEN.4.21	Nin nya-a̧ nɛ́ Yubal, ɓɛɛ Yubal duka nɛ́ zɔmdáa ko o wi-mbɛr-kunde in o wi-dɔm-fol. 
GEN.4.22	Ɓɛɛ Sila ko kɔ‘i nɛ́ Tubal-Kain nɛ̀ duka nɛ́ zɔmdáa ko o wi-dui-dɔra. Boko-nya Tubal-Kain duka nɛ́ Naama.
GEN.4.23	Lamɛk tɔ̧ɔ̧ ha̧ o kóò kɔ̧-a̧:
GEN.4.23	«Ada in Sila, ɛ̀nɛ̀ zíí wen n'am tɛ́ tɔ̧‘i!
GEN.4.23	O okoo ko Lamɛk, ɛ̀nɛ̀ zíí wen kɔ‘m!
GEN.4.23	Mi gbɛɛ ŋma bíí wen n'aa ee da̧i̧ tɛ‘m;
GEN.4.23	mi gbɛɛ nɛ́ be-ŋgaiwi wen n'aa gusa'm.
GEN.4.24	Kifa-er a̧a̧ sɛnɛ war mɔɔrɔ-ɗoŋ-yiitoo wen zu Kain,
GEN.4.24	ɓɛɛ kɔ‘m Lamɛk,
GEN.4.24	nɛ́ war ɓu-mɔɔrɔ-ɗoŋ-yiitoo-zua-mɔɔrɔ-ɗoŋ-yiitoo.»
GEN.4.25	Adam duka in kóò kɔ‘i woyo, ɓɛɛ a̧ ko nɛ̀ be-wiwii nɛ wa saa nin-a'e Sɛt, wen kóò tɔ̧a̧: «Sɔ̧ kɔ̧ɔ̧ ɗɔɔ ha̧a̧ mbe bezaŋ ha̧‘m oi Abɛl, wen Kain gbɛɛ so a̧.» 
GEN.4.26	Sɛt kòó ŋma be-wiwii woyo, ɓɛɛ a̧ a nin-a'e Enɔs; nɛ́ tɛ ŋgimbi'i a̧ wa ku̧u̧ nɛ naŋ gasa nin GASA WAN.
GEN.5.1	Kalata pɛ́r-nam ko Adam nɛ́ mɔ'ɔ. (Wese nɛ Sɔ̧ dee nɛ bíí, a̧ dee bíí hɔ ŋmaa in a̧.
GEN.5.2	A̧ dee wiwii in okoo; a̧ toka de yoŋgo zu wa, ɓɛɛ a̧ a nin-wa'e «bíí», wese n'aa dee nɛ wa.)
GEN.5.3	Ŋgimbi nɛ Adam kpaa pɛ 130, a̧ koo be-wiwii nɛ hɔɔ ŋmaa in a̧, ɓɛɛ a̧ sa nin bem’ɛi nɛ́ Sɛt. 
GEN.5.4	Ɗoŋ nɛ Adam koo Sɛt kaɗi, a̧ duka zu nù pɛ 800; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.5	Adam duka zu nù pɛ 930, ɓɛɛ a̧ fe.
GEN.5.6	Sɛt kpaa pɛ 105, ɓɛɛ a̧ ko Enɔs. 
GEN.5.7	Ɗoŋ koo Enɔs, Sɛt duka pɛ 807; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.8	Sɛt duka zu nù pɛ 912, ɓɛɛ a̧ fe.
GEN.5.9	Ŋgimbi nɛ Enɔs kpaa pɛ 90, ɓɛɛ a̧ ko Kenaŋ. 
GEN.5.10	Ɗoŋ koo Kenaŋ, Enɔs duka pɛ 815; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.11	Enɔs duka zu nù pɛ 905, ɓɛɛ a̧ fe.
GEN.5.12	Ŋgimbi nɛ Kenaŋ kpaa pɛ 70, ɓɛɛ a̧ ko Mahalalɛl. 
GEN.5.13	Ɗoŋ koo Mahalalɛl, Kenaŋ duka pɛ 840; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.14	Kenaŋ duka zu nù pɛ 910, ɓɛɛ a̧ fe.
GEN.5.15	Mahalalɛl kpaa pɛ 65, ɓɛɛ a̧ ko Yɛrɛd. 
GEN.5.16	Ɗoŋ koo Yɛrɛd, Mahalalɛl duka zu nù pɛ 830; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.17	Mahalalɛl duka zu nù pɛ 895, ɓɛɛ a̧ fe.
GEN.5.18	Yɛrɛd kpaa pɛ 162, ɓɛɛ a̧ ko Enɔk. 
GEN.5.19	Ɗoŋ koo Enɔk, Yɛrɛd duka pɛ 800; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.20	Yɛrɛd duka zu nù pɛ 962, ɓɛɛ a̧ fe.
GEN.5.21	Enɔk kpaa pɛ 65, ɓɛɛ a̧ ko Matusalɛm. 
GEN.5.22	Ɓɛɛ Enɔk nɛ nɔ̀ in Sɔ̧ tɛ pɛ 300 ɗoŋ koo Matusalɛm; a̧ koo o be-wiwii in o be-okoo. 
GEN.5.23	Enɔk duka zu nù pɛ 365. 
GEN.5.24	Enɔk nɛɛ nɔ̀ in Sɔ̧, hegɔ Sɔ̧ baa a̧ nɛ yí.
