MAT.1.1	Koi kani'imari a susunganna puli ni Yesus Kristus, men lee' ni Daud ka' lee' ni Abraham.
MAT.1.22	Kinosidana men koiya'a ni Yusuf tii Maria kada' sida a wurungna Tumpu koi men ia tadulkon nabii-Na men koi kani'imari: 
MAT.1.23	“Imamat ini'imari! Sa'angu' laandue' men sianpo nontoo poobeel tia moro'one, bo mampaiwawa ka' bo mangamea'kon sa'angu' anak moro'one. Anak iya'a bo ngaanion i Imanuel.” Na wurung Ibrani, Imanuel aratina, “Alaata'ala mansambai i kita.”
MAT.1.24	Sarataa i Yusuf nowangon, ia nongololoikonmo koi men ia posuu'kon malaa'ikatna Tumpu na ipionna. Ia nosuo'mo tii Maria. 
MAT.1.25	Kasee i Yusuf tii Maria sian nontoo poobeel pataka nongamea' a anak iya'a. Sarataa anak iya'a nongamea', Yusuf nangaanimo anak iya'a i Yesus.
MAT.2.1	Yesus nongamea' na kota Betlehem na libutan Yudea, na tempo batomundo'an ni Herodes. Tempo iya'a, isian toropii mian men isian pinginti'ianna na bitu'on, men ringkat na paraas bete'an taka na Yerusalem. 
MAT.2.2	Raaya'a waale'e-le'emari bapikirawar, taena, “Aana Anak iya'a men ningamea'kon bo pontomundo'i lipu' Yahudi? Kai nimiile' bitu'on-Na paraas bete'an, mbali' i kai notaka monsoosa' i Ia.”
MAT.2.3	Sarataa ia rongor i Tomundo' Herodes a panduungna mian men isian pinginti'ianna na bitu'on iya'a, tongkodi' tuu' i ia ka' uga' giigii' samba Yerusalem. 
MAT.2.4	Mbaka' ia rimpungmo a giigii' tanaasna imam ka' wawa ukum Toratna lipu' Yahudi bo pimikirawaranna se' maana bo ngamea'anna Tomundo' Pansalamatkon men ia toonkon Alaata'ala.
MAT.2.5	Mbaka' ia bantilkonmo i raaya'a taena, “Na Betlehem libutan Yudea. Gause isian wurungna Tumpu men ia tulis nabii koi kani'imari:
MAT.2.6	‘Koo Betlehem men na tano' Yehuda,
MAT.2.6	koo mase taasi' kota itiu'na na giigii' kota moola' sambana na Yehuda.
MAT.2.6	Gause na ko'oom a ringkatanna sa'angu' tanaas men bo pantanaasi mian-Ku Israel.’ ”
MAT.2.7	Noko daa nongorongor tundunanna i raaya'a, mbaka' i Herodes nengeleelo'mo mian men isian pinginti'ianna na bitu'on iya'a, kasee lilu-lilung. Kasi ia pikirawari pore-pore se' maripi a nimiile'anna i raaya'a bitu'on iya'a. 
MAT.2.8	Noko daa iya'a ai Herodes nomosuu'mo i raaya'a kada' mae' na Betlehem taena, “Rae' ka' sarak pore-pore a Anak iya'a. Sarataa tausionmuumo, bantilkon na ingku' kada' i yaku' uga' mae' ka' monsoosa' i Ia.”
MAT.2.9	Sarataa nongorongor potoona tomundo' iya'a, raaya'a nomae'mo. Mbaka' nokampiile'anmo soosoodo a bitu'on men ia piile' i raaya'a na bete'an. Bitu'on iya'a nongolukonimo i raaya'a pataka notaan singintu tampatna Anak iya'a. 
MAT.2.10	Raaya'a nobeles tuu' gause nimiile' bitu'on iya'a. 
MAT.2.11	Mbaka' i raaya'a ninsoopmo na laigan ka' nimiile' Anak iya'a tii Maria men sina-Na. Kasi i raaya'a nobanintuur ka' notumutuku' rumbuk tano' nonsoosa' Anak iya'a. Noko daa iya'a, raaya'a nombongkatimo tuuman ka' nongorookon na Ko'ona mosoni, kamangian ka' muur. 
MAT.2.12	Gause Alaata'ala nomotoo i raaya'a na ipion kada' alia mule'kon waale'e ni Herodes, mbaka' i raaya'a nomule'konmo na lipu'na, kasee nuntutu' salan men sambana.
MAT.2.13	Sarataa noporus a mian men isian pinginti'ianna na bitu'on iya'a, Yusuf ningipimo nimiile' malaa'ikatna Tumpu men norobu taena, “Wangon ka' wawa a Anak kanono' tia sina-Na, pamarere ka' dodongo na Mesir pataka bantilkonon-Ku soosoodo na ko'oom, gause i Herodes bo mansarak ka' mampapatei Anak kanono'.”
MAT.2.14	Mbaka' nowangonmo i Yusuf, ka' rondompo iya'a ia wawamo a Anak iya'a tia sina-Na mamarere na Mesir. 
MAT.2.15	Raaya'a nodumodongomo indo'o pataka nolapus i Herodes.
MAT.2.15	Sarataa ari Yusuf namarere na Mesir ka' komburi'na nileelo' umuar na Mesir, mbaka' nosidamo a wurungna Tumpu men ia tadulkon nabii-Na men koi kani'imari: “Yaku' mengeleelo' Anak-Ku kada' umuar na Mesir.”
MAT.2.16	Sarataa ia inti'i i Herodes se' mian men isian pinginti'ianna na bitu'on iya'a nangakalimo i ia, ia nomaso'mo tuu'. Mbaka' ia nomosuu'mo mampapatei giigii' anak morio' moro'one na Betlehem ka' na dodongoan sambana men pookarani'anna. Anak men nipapatei iya'a giigii' men umur rua' taun waaro'ona sintutu' tia tempo men ia inti'i na mian men isian pinginti'ianna na bitu'on.
MAT.2.17	Tempo anak morio' iya'a nipapatei, mbaka' nosidamo a wurungna Tumpu koi men ia tadulkon i Nabii Yeremia taena,
MAT.2.18	“Nokamporongoranmo a ranggusna mian wiri na Rama,
MAT.2.18	barananang ka' tumando' kasiongo'an.
MAT.2.18	Rahel mingiwirii anakna
MAT.2.18	kasee i ia kunda tia tata'uon,
MAT.2.18	gause anakna iya'a nosianmo.”
MAT.2.19	Sarataa i Herodes nolapusmo, mbaka' malaa'ikatna Tumpu nintipiile'mo na ipionna i Yusuf tempo i ia dauga' na Mesir. 
MAT.2.20	Malaa'ikat iya'a norobu taena, “Wangon ka' wawa Anak kanono' tia sina-Na, kasi rae' na lipu' Israel, gause mian men nansarak mampapatei i Ia daa nokolapusmo.” 
MAT.2.21	Mbaka' nowangonmo i Yusuf ka' nangawawa Anak iya'a tia sina-Na mae' na lipu' Israel.
MAT.2.22	Gause ia rongor i Yusuf se' i Arkhelaus, anak ni Herodes, nombolosimo tamana bo tomundo' na libutan Yudea, mbaka' ia nolayaonmo waara'a. Gause ia bantilkon Tumpu na ipion soosoodo, mbaka' ari Yusuf nomae'mo na libutan Galilea. 
MAT.2.23	Sarataa notaka na Galilea, raaya'a nodumodongomo na sa'angu' kota men ngaanon Nazaret. Sarataa nodumodongo na Nazaret, mbaka' nosidamo a wurungna Tumpu koi men ia tadulkonmo nabii men nuntundunkon Anak iya'a taena, “Ia bo ngaanon Samba Nazaret.”
MAT.3.1	Na tempo ari Yesus dauga' dumodongo na Nazaret, notakamo i Yohanes Pansarani na tano' maleas Yudea ka' nuntundunkon lelena Tumpu taena, 
MAT.3.2	“Sosoli ka' kadarai a gau'muu men ba'idek gause Batomundo'anna Surugaa karani'mo!”
MAT.3.3	Yohanesmo iya'a men ia tundun i Nabii Yesaya taena,
MAT.3.3	“Bo isian sa'angu' mian na tano' maleas mengeleelo'kon ka' mambantilkon taena,
MAT.3.3	‘Toropoti a salan bona Tumpu;
MAT.3.3	loosikon a salan bo Ko'ona.’ ”
MAT.3.4	Pakean ni Yohanes wuluna unta a niwawau, ka' boborna lolosna anit a niwawau. Kakaanna katumbang tia gurana wani'.
MAT.3.5	Biai' a samba Yerusalem, mian na longkop libutan Yudea ka' uga' mian na longkop libutan men pookarani' Weerkauna Yordan taka ni Yohanes. 
MAT.3.6	Raaya'a nonsosoli ka' nangkadarai wawauna men sala', kasi ia sarani i Yohanes na Weerkauna Yordan.
MAT.3.7	Kasee tempo i Yohanes nimiile' se' biai' a mian Farisi tia mian Saduki men taka mikisarani, mbaka' ia norobumo na ko'ona i raaya'a taena, “Wee i kuu men koi lee'na ule ba'idek! Ime a men nambantilkon na ko'omuu se' i kuu sian kana'onna ukumanna Alaata'ala na ilio komburi?
MAT.3.8	Pipiile'kon a wawaumuu se' i kuu daa nonsosolimo ka' nangkadaraimo gau'muu men ba'idek. 
MAT.3.9	Alia mongooskon na noamuu se' i kuu daa bo tonsapu na ukuman montookon i Abraham daa pulimuu. Bantilkononku na ko'omuu se' watupo karaani'i sida wawauonna Alaata'ala bo lee' ni Abraham!
MAT.3.10	Usong noko toropotmo bo pantara' kau pataka na wakatna. Sanda' kau men sian miwoo'kon woo' men pore sabole bo tara'ion ka' tibarkonon na apu.
MAT.3.11	Yaku' mansarani i kuu tia weer bo oosna se' i kuu daa nonsosolimo ka' nangkadaraimo gau'muu men ba'idek. Kasee moko daa i yaku' bo taka i Ia men dauga' labi i yaku' a kuasa-Na. Ia bo mansarani i kuu tia Alus Molinas ka' tia apu. Mangawawa sapato-Napo yaku' koo'. 
MAT.3.12	Ia noko into-intonmo ikiran bo pantaapi giigii' gandum-Na pataka moloe'. Gandum bo soopkonon-Na na alang, kasee ota'na bo tunuon-Na na apu men sian pokoon papateion.”
MAT.3.13	Na tempo i Yohanes na Weerkauna Yordan, Yesus norumingkatmo na Galilea mae' mbaale'e na ko'ona. Taka inde'e, Ia nikisaranimo ni Yohanes. 
MAT.3.14	Kasee i Yohanes nontopongi nangalia i Ia. Taena i Yohanes, “Bookoi se' i yaku' mba'a men tio saranion-Muu. Kasee kani'i, nongko'upa se' i Kuu a men notaka mikisarani na ingku'?”
MAT.3.15	Mbaka' ia simbati i Yesus tae-Na, “Sobii, sian kongupana, gause bookoi tio koiya'a kada' i kita mongololoikon tuutuu' koi men pingkira'na Alaata'ala.” Mbaka' i Yohanes nansaranimo i Yesus.
MAT.3.16	Noko daa nisarani, Yesus no'umuarmo na weer iya'a. Na tempo iya'a langit nokobongkatianmo ka' i Yesus nimiile' Alusna Alaata'ala men koi marampatii nalau na Ko'ona. 
MAT.3.17	Kasi nokamporongoran a wurungna Alaata'ala nda'amari surugaa, tae-Na, “Ni'imo a Anak-Ku men kolingu'-Ku. Ia men daa kokana'-Ku.”
MAT.4.1	Noko daa iya'a ai Yesus ia andaarkonmo Alus Molinas mae' na tano' maleas kada' bo topongionna Ibiliis.
MAT.4.2	Patompulo' ilio patompulo' rondom i Yesus noba'apata, sian nokumaan. Mbaka' Ia nololumo. 
MAT.4.3	Mbaka' Ibiliis notakamo mimitopongi i Yesus ka' norobu taena, “Gause i Koo Anakna Alaata'ala, mbaka' posuu' a watu karaani'i bi sida roti.”
MAT.4.4	Ia simbati i Yesus tae-Na, “Na Alkitaap isian nitulis koi kani'imari: ‘Mian taasi' tongko' tuo'kon roti, kasee tuo'kon giigii' wurung men ia wurungkon Alaata'ala.’ ”
MAT.4.5	Noko daa iya'a, Ibiliis nangawawamo i Yesus na Yerusalem, Kota Molinas, ka' nongowoot i Ia na wuunganna Laiganna Alaata'ala. 
MAT.4.6	Kasi Ibiliis norobu ni Yesus taena, “Kalu se' Koo Anakna Alaata'ala, alaka' tumbur waaro'o! Gause na Alkitaap isian nitulis koi kani'imari: ‘Alaata'ala bo momosuu' malaa'ikat-Na bo pandagai i Koo pore-pore. Raaya'a bo mantanai i Koo tia limana dako' saraat tontutup na watu.’ ”
MAT.4.7	Ia simbati i Yesus tae-Na, “Na Alkitaap isian uga' nitulis koi kani'imari: ‘Alia i koo mimitopongi Tumpu Alaata'alanta.’ ”
MAT.4.8	Mbaka' ia andaarkonmo Ibiliis i Yesus lumopon na wawona buu'na men alayo' tuu', kasi ninsiso'kon na Ko'ona giigii' batomundo'an na tano' balaki' tiamo isiina men pore tuu'. 
MAT.4.9	Kasi Ibiliis norobu soosoodo taena, “Karaaro'o giigii' bo rookononku i Koo, kalu i Koo banintuur ka' tumutuku' rumbuk tano' monsoosa' i yaku'.”
MAT.4.10	Ia simbati i Yesus tae-Na, “Ibiliis! Rae' i koo. Gause na Alkitaap isian nitulis koi kani'imari: ‘Koo tio monsoosa' Tumpu Alaata'alanta, ka' tongko' i Ia a lolo'oon!’ ”
MAT.4.11	Komburi'na Ibiliis somo nomae'. Kasi notaka a malaa'ikat toropii nangkalesang i Yesus.
MAT.4.12	Sarataa ia rongor i Yesus se' i Yohanes nitarungkumo, Ia namarereimo' Yudea ka' nomae' na Galilea.
MAT.4.13	Kasi Ia namarerei Nazaret ka' nodumodongo na Kapernaum, na soripi'na Danau Galilea men tonsoop libutan Zebulon ka' libutan Naftali.
MAT.4.14	Tempo i Yesus nangawawau men koiya'a, mbaka' nosidamo a wurungna Tumpu koi men ia tadulkon i Nabii Yesaya taena,
MAT.4.15	“Tano' Zebulon ka' tano' Naftali,
MAT.4.15	na salan mae' na tobui,
MAT.4.15	na sambotakna Weerkauna Yordan.
MAT.4.15	Ya'amo a Galilea men ia dodongoi mian biai' men taasi' samba Yahudi!
MAT.4.16	Mian men tumuo' na kapintungan
MAT.4.16	nimiile'mo Ruar men tarang tuu'!
MAT.4.16	Ka' lipu' men layaonkon lapus
MAT.4.16	nimiile'mo Ruar men nobete'!”
MAT.4.17	Muntumbei i Yesus dumodongo na Kapernaum, Ia nambantilkonmo na mian tae-Na, “Sosoli ka' kadarai a gau'muu men ba'idek, gause Batomundo'anna Surugaa karani'mo!”
MAT.4.18	Na sa'angu' tempo rae-rae' i Yesus moso'ole na Danau Galilea. Ia nimiile' rua' mian moto'utus men palimangonna i raaya'a pupuka' susum. Sa'angu' ngaanna i Simon men uga' dele leelo'on i Petrus, ka' sa'angu'na soosoodo i Andreas, utusna. Raaya'a pintanga' mumuka' susum na Danau Galilea.
MAT.4.19	Taeni Yesus na ko'ona i raaya'a, “Mai i kuu, lolo' i Yaku' kada' poposidaon-Ku pumuka' mian.” 
MAT.4.20	Raaya'a liuliu namarerei puka'na ka' nongololo' i Yesus.
MAT.4.21	Noko daa iya'a ai Yesus nomae'mo. Kasi i Ia nimiile' soosoodo rua' mian moto'utus sambanaan men i Yakobus tii Yohanes, anak ni Zebedeus. Raaya'a pintanga' montotobo'i puka' tia tamana na lalomna duangan. Raaya'a rua' ira ia angemo i Yesus. 
MAT.4.22	Raaya'a liuliu namarerei tamana ka' duangan, kasi nongololo' i Yesus.
MAT.4.23	Yesus nomae'mo longkop libutan Galilea ka' nimisiso' mian na laigan bakitumpuan. Ia nengelelekon Lele Pore men mambantilkon Batomundo'anna Surugaa. Ka' i Ia uga' nengelesi'i biai' kaliangan nggeona mian ka' men sian maka'ala.
MAT.4.24	Lele ni Yesus iya'a norumeebarmo longkop lipu' Siria, mbali' biai' a mian men taka na Ko'ona. Raaya'a mangawawa mian biai' men takaionna biai' kaliangan nggeo, ka' men munsuri repaan. Giigii' mian men lampingionna meena, mian men loka'on, ka' mian men repo', ia lesi'i i Yesus. 
MAT.4.25	Mbaka' biai' tuu' a mian men nongololo' i Yesus na tempo iya'a. Isian men ringkat Galilea, ka' uga' men ringkat na Dekapolis, Yerusalem, Yudea, ka' isian uga' men ringkat sambotakna Weerkauna Yordan.
MAT.5.1	Sarataa i Yesus nimiile' mian biai' iya'a, Ia nolumoponmo mbaara'a buu'na. Tongko' sai oruang-Na, murit-Na nuntuu'imo i Ia. 
MAT.5.2	Mbaka' i Yesus nuntumbeimo nimisiso' i raaya'a tae-Na,
MAT.5.3	“Barakaatan a mian men talalais ka' tongko' mongooskon Alaata'ala,
MAT.5.3	gause i raaya'amo a mianna Batomundo'anna Surugaa!
MAT.5.4	Barakaatan a mian men noana masiongo',
MAT.5.4	gause Alaata'ala bo mantata'u i raaya'a!
MAT.5.5	Barakaatan a mian men mompopokoo' wakana,
MAT.5.5	gause i raaya'a bo pontombonoi tano' balaki' kani'i!
MAT.5.6	Barakaatan a mian men tongko' mingkira'kon mangawawau men kikira'na Alaata'ala,
MAT.5.6	gause Alaata'ala bo mantarai men kikira'na.
MAT.5.7	Barakaatan a mian men molingu'kon mian sambana,
MAT.5.7	gause i raaya'a uga' bo kolingu'kononna Alaata'ala!
MAT.5.8	Barakaatan a mian men molinas a noana,
MAT.5.8	gause i raaya'a bo mimiile' Alaata'ala!
MAT.5.9	Barakaatan a mian men mantakakon pooka'amatan,
MAT.5.9	gause i raaya'a bo ngaanon anakna Alaata'ala!
MAT.5.10	Barakaatan a mian men talalaison gause mingilimang koi men kikira'na Alaata'ala,
MAT.5.10	gause i raaya'a men bo pontombonoi Batomundo'anna Surugaa!
MAT.5.11	Barakaatan i kuu men irokion, talalaison, ka' potaekonon gause i kuu mongololo' i Yaku'!
MAT.5.12	Nabii men notuo' olukon uga' nitalalais koiya'a! Bi lewa' ka' beles i kuu, gause balaki' tuu' a tambona Alaata'ala men nitoropotikonmo na surugaa bo ko'omuu.”
MAT.5.13	“Kuu mase timuson bona mian na tano' balaki'. Kalu timuson iya'a nalambasmo, sida mbali' wawauon ma'asing soosoodo? Sianmo kana'na saliwakon somo balo'konon ka' peepee'ionna mian.
MAT.5.14	Kuu uga' ruar bona mian na tano' balaki'. Sa'angu' kota na wawona buu'na sian pokoon bo lilungkonon.
MAT.5.15	Ka' uga' sianta mian men muntutungi boloak, kasi mansa'u tia gumbang. Kasee sabole uga' pokelaonna na sulaanna boloak iya'a kada' sida munguruari giigii' mian men na laigan iya'a.
MAT.5.16	Koiya'a uga' a ruarmuu tiodaa kampiile'an na mian kada' i raaya'a mimiile' giigii' wawaumuu men pore, kasi muntunde' Tamamuu men na surugaa.”
MAT.5.17	“Alia i kuu mansarui se' i Yaku' notaka bo panganui ukum Torat ka' pisiso'na nabii. Yaku' notaka taasi' bo panganui, kasee bo pinsidakon giigii' iya'a. 
MAT.5.18	Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' kalu langit ka' tano' balaki' kani'i dauga' isian, sa'angu' hurup kabai se' titikpo na ukum Torat sian kosapuian, pataka giigii' men nitoonkon iya'a nisidakonmo.
MAT.5.19	Mbali' iya'a, ime a men mongkosiankon sa'angu'po men nipotookon na ukum Torat, mau mune' tongko' titiu', ka' mimisiso'kon mian sambana men koiya'a, mian iya'a bo mongoruangi oruangan men kando'ona tuu' na Batomundo'anna Surugaa. Kasee i ime a men mangawawau ka' mimisiso'kon mian sambana giigii' men nipotookon iya'a, ia bo mongoruangi oruangan men kanda'ana tuu' na Batomundo'anna Surugaa.
MAT.5.20	Mbali' iya'a, bantilkonon-Ku na ko'omuu se' i kuu tio mingilimang po'uusna Alaata'ala labi tia limangna wawa ukum Torat ka' mian Farisi. Kalu sian, mbaka' i kuu sabole sian minsoop na Batomundo'anna Surugaa.”
MAT.5.21	“Kuu ninginti'imo pisiso'na pulinta men koi kani'imari: Alia mampapatei mian. Ime a men mampapatei mian tio ukumon.
MAT.5.22	Kasee bantilkonon-Ku na ko'omuu se' ime a men maso'kon mian sambana, ia bo ukumon, ka' i ime a men munguduli mian sambana, ia tio ukumion na Mahkama Agama. Ka' kalu isian men mangaani mian sambana, ‘Pompon,’ tio soopkonon na leapna apu na naraka.
MAT.5.23	Mbali' iya'a, kalu i kuu pintanga' momokela kurbaan na mesba men na Laiganna Alaata'ala, kasee notonginau' se' dauga' isian mian men makitkon i kuu, 
MAT.5.24	porena parerei kutung a kurbaan na mesba iya'a, kasi rae' pooka'amat tia mian iya'a. Moko daasi iya'a, kasi i kuu sida mule'kon soosoodo ka' momokela kurbaanmuu na Alaata'ala.
MAT.5.25	Kalu isian mian mongowoot i kuu na pungukumi, kuu tio donga-dongan pooka'amat tii mian iya'a tempo i kuu dauga' potorae' na salan. Kalu sian, mbaka' i kuu wootonnamo mian iya'a na pungukumi, ka' pungukumi iya'a bo mongorookon i kuu na pulisi. Kasi pulisi bo monsoopkon i kuu na tarungkuan. 
MAT.5.26	Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' i kuu sian umuar na tarungkuan kalu giigii' samayamuu sianpo bontor.”
MAT.5.27	“Kuu ninginti'imo pisiso' men koi kani'imari: Alia i kuu muntumpangkon samba-samba. 
MAT.5.28	Kasee bantilkonon-Ku na ko'omuu se' ime a men mintioki sa'angu' wiwine ka' ningkikira'i, mbaka' i ia nuntumpangkonmo na noana.
MAT.5.29	Mbali' iya'a, kalu matamuu paraas uanan manggau'kon i kuu baradosa, kuati ka' balo'kon a matamuu inono'! Mbulokon sa'angu' sampana wakamuu anuion dako' wakamuu tibunta tibarkonon na naraka. 
MAT.5.30	Kalu limamuu men paraas uanan manggau'kon i kuu baradosa, kolongi ka' balo'kon a limamuu inono'. Mbulokon sa'angu' sampana wakamuu anuion dako' wakamuu tibunta soopkonon na naraka.”
MAT.5.31	“Isian uga' pisiso' men koi kani'imari: Ime a men mengerensai boroki'na tio mantarai surat poorensaanna suo' bona boroki'na iya'a.
MAT.5.32	Kasee bantilkonon-Ku na ko'omuu se' sanda' moro'one men mengerensai boroki'na kasee boroki'na iya'a sian nogora', langkai' men koiya'a minsidakon boroki'na muntumpangkon. Ka' moro'one men mosuo' tia wiwine men ia rensai langkai'na, moro'one iya'a uga' muntumpangkon.”
MAT.5.33	“Kuu ninginti'imo uga' pisiso'na pulinta men koi kani'imari: Alia basumpa' men borek. Upa a men kuu toonkonmo na sumpa'muu na Alaata'ala, tio bo wawauonmuu.
MAT.5.34	Kasee bantilkonon-Ku na ko'omuu se' i kuu alia tia basumpa'. Alia basumpa' mau uga' mangaan langit, gause langit a oruanganna Alaata'ala.
MAT.5.35	Alia basumpa' mau uga' mangaan tano' balaki', gause tano' balaki' a pimpee'anna Alaata'ala. Ka' alia basumpa' mangaan Yerusalem, gause Yerusalem kotana Tomundo' Balaki'.
MAT.5.36	Ka' uga' alia basumpa' mangaan takala'muu, gause i kuu sian momoko mompopobulak kabai se' mompopo'itom wuukmuu, maupo tongko' sansila'. 
MAT.5.37	Kalu daa, bi ngaanon, ‘Daa’, kasee kalu sian, bi ngaanon, ‘Sian.’ Kalu saliwanakon iya'a, na ko'ona men gau'na ba'idek a norumingkatanna.”
MAT.5.38	“Kuu ninginti'imo pisiso' men koi kani'imari: Mata bolosion tia mata, ka' wese' bolosion tia wese'. 
MAT.5.39	Kasee bantilkonon-Ku na ko'omuu se' alia pangawaloskuu kalu mian mangka'idek i kuu. Tongko' kalu isian mian mangarapa' kasumpi'muu men paraas uanan, rookon soosoodo a kasumpi'muu men paraas kauri'. 
MAT.5.40	Ka' kalu too isian mian men mongowoot i kuu na mian men bo pungukumi gause mingkikira'i bokukummuu, rookon uga' tia jubamuu. 
MAT.5.41	Kalu isian sa'angu' mian mamparipari i kuu kada' mamasa'ankon wawana koi sa'angu' kilo a ko'oloana, pasa'ankon koi rua' kilo. 
MAT.5.42	Kalu mian mama'ase' upa-upa na ko'omuu, tarai. Ka' alia i kuu sian mombolosii mian men mombolos upa-upamuu.”
MAT.5.43	“Kuu ninginti'imo pisiso' men koi kani'imari: Kolingu'kon a simbaya'muu, ka' komakitkon a mian men maso'kon i kuu.
MAT.5.44	Kasee bantilkonon-Ku na ko'omuu se' kolingu'kon a mian men maso'kon i kuu, ka' sambayangkon a giigii' mian men mantalalais i kuu. 
MAT.5.45	Gause tia wawaumuu men koiya'a, nanasamo i kuu se' anakna Tamamuu men na surugaa. Gause Alaata'ala nompopobete' ilio bona mian men pore a noana tia uga' mian men ba'idek a gau'na. Ia mamalaukon usan bona mian men pore ka' uga' men ba'idek a gau'na. 
MAT.5.46	Kalu i kuu tongko' mongkolingu'kon mian men mongkolingu'kon i kuu, bo upana Alaata'ala ka' mantarai tambo na wawaumuu men koiya'a? Taasi' uga' pagawena pajak minginti'i mangawawau men koiya'a? 
MAT.5.47	Ka' kalu i kuu tongko' mangka'amat poto'utusanmuu, upa a poosasala'na tia lipu' men sian minginti'i Alaata'ala? Raaya'apo mangawawau men koiya'a! 
MAT.5.48	Tamamuu men na surugaa mongkolingu'kon tuu' giigii' mian, sian momoosasala'kon. Mbaka' i kuu uga' tio koiya'a.”
MAT.6.1	“Imamat pore-pore ini'imari! Alia i kuu mansalankon agama tongko' se' kada' bo piile'onna mian biai'. Kalu i kuu mangawawau men koiya'a, kuu sian mantausi tambo men rookononna Tamamuu men na surugaa.
MAT.6.2	Mbali' iya'a, kalu i kuu mantarai upa-upa na mian men talalais, sakat duupkonon popuukon koi wawauna mian men minti pa'a-pa'agama. Kikira'na i raaya'a men mangawawau koiya'a na laigan bakitumpuan ka' na bendar kada' bo koporekononna mian. Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' ya'amo a tambona men ia poko labotmo i raaya'a. 
MAT.6.3	Kasee kalu i kuu mantarai upa-upa na mian, sakat inti'ionna limamuu men kauri' a upa men rookononna limamuu men uanan. 
MAT.6.4	Sai'muu iya'a rookon roko-rokot daamo, sakat inti'ionna mian. Tongko' Tamamuu na surugaa a ninginti'i. Mbaka' Tamamuu men mimiile' wawaumuu men sian piile'onna mian a bo pangawalos wawaumuu.”
MAT.6.5	“Kalu i kuu sambayang, alia sambayang koi mian men minti pa'a-pa'agama. Kikira'na i raaya'a sambayang potokerer na laigan bakitumpuan ka' na gimpangna bendar kada' bo piile'onna mian. Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' ya'amo a tambona men ia poko labotmo i raaya'a.
