MAT.1.1	Magtub ke ɔje dè girkà le Jésu-Krist ngonnkà David, ngonnkà Abraham, 
MAT.2.16	Loo ke Hérode an titeke baw-nyangerge ulei mbe dènn’t ɓaa, wong ase’n nák. E ule ade dé tɔl ngannge ke dingem malang ke rai ɓal joo se njé ke ɓal de ase joo lé ɓai a tɔ. Se go kurloo ke baw-nyangerge ɔji Hérode nga, è ade d’unn gir tɔl ngannge ke dingem kêm ɓee ke Bethléhem sár d’ɔse’n ngei ninn ɓeekon le’n bere mbak. 
MAT.2.17	E á tà ke Jérémie njèribe-dè-tà ke tà Nube’t tam kété ede nè:
MAT.2.18	«Non se wuwi ɓar jiki kêm ɓee ke Rama.
MAT.2.18	E Rachel á non tede ngannenge ke gotoi.
MAT.2.18	E ndige le kade doo karé bè géa gɔr’n lé.»
MAT.2.18	Tà nè nga aw loon’t deĵ.
MAT.2.19	Loo ke Hérode wei ɓá ɓaa, doo ke danran le Kuwe-ɓee tee hɔi ke ra Joseph’t ede’n se ni kêm ɓeekon ke Egypte ede’n ede nè:
MAT.2.20	– In dɔ, unn ngonn ke kide nè se kon’n, i tel aw se de kêm ɓeekon ke Israel gugu tede njé ke sangi le tɔli ngonn ke kide nè nga weii ɓá ta.
MAT.2.21	Joseph ɔse nang in unn ngonn ke kide nè nga se kon’n tel aw se de kêm ɓeekon ke Israel. 
MAT.2.22	Nè loo ke Joseph oo titeke Archélaus ngonn le Hérode on ɓee ɓeekon’t ke Judée gute bɔn’t ɓaa, è ɓel tel kaw ndi tutu. Se go tà ke Nube ede’n se ni kété nga, Joseph ɔr ra’n aw ndi kêm ɓeekon ke Galilée. 
MAT.2.23	E aw ndi kêm ngonn ɓee karé ke ri’n nè Nazareth tede kade tàge ke njéribe-dè-tà ke tà Nube’t tami kété mari aw’n loon’t deĵ. Ei tami edi nè: «E nè nga d’a ɓar’n doo ke Nazareth.»
MAT.3.1	Kêm ndɔnge’t nè nga, Jean ke njèkule dooge manné njonm unde loo tee aw kêm dile’t ke ɓeekon ke Judée ile mber ede nè:
MAT.3.2	– I turi hal si tede Konɓee ke danran nain ngɔr ta.
MAT.3.3	Esaie njèribe-dè-tà ke tà Nube’t tam tà ɔje’n dè Jean kété ede nè:
MAT.3.3	«E ndu è ke njèkile mber kêm dile’t:
MAT.3.3	I gɔli rebe le Kuwe-ɓee,
MAT.3.3	i rai ngann rebege le’n adi asinan lêtêt-lêtêt.»
MAT.3.4	Jean ule Kubu ke d’ojo se bin lugman rann’t. E dɔ ɓede’n se ndar. Bêteĝe se wubu tuju ke walé á è nyankuse’n se ndɔ’n-ndɔ’n. 
MAT.3.5	Dooge ke kêm ɓee-bò ke Jérusalem se njé ke ɓeekon ke Judée bere mbak se njé ke ngann ɓeege’t ke gan dè ba ke Jourdain malang reei rann’t. 
MAT.3.6	Dooge nè nga malang reei ra Jean’t ɔri gir kaiyage le de ke nata adi nin ade ule’n de manné njonm dann ba ke Jourdain.
MAT.3.7	Loo ke Jean an Pharisienge se Saddusienge bule reei rann’t le kade ule de manné njonm ɓaa, è tam se de ede nè:
MAT.3.7	– Sei ke i tooi asinan se li jênênnge, ké nan tɔje sei rebe kan-in wong le Nube ke ndi à ree nga wa? 
MAT.3.8	I turi hal si, i rai nyanrage ke maje. 
MAT.3.9	I piti ra si sei edi nè: «Jè jè ngannkà Abraham.» Man m’ede sei ndàt, kuberi herge ke tooi nè nga Nube asekum tel de ke ngannkà Abraham karè. 
MAT.3.10	Kunge ke janm tò ngire kagege’t ɓá. Kage ke rara ke ann majelé ɓaa, d’a tuge’n gang’n kile’n poro. 
MAT.3.11	Man ɓaa, mann á m’ule sei njonm tutu karè kade i turi hal si. Nè doo karé ke tɔgmong le’n dum le’m à ree goom’t gugu non. Gabang ke njann’t géa, man m’asekum tɔr se dè ra’m lé. Doo nè nga à ɔr sei kunde sei se ninn si gai se Ndil-Kêmnda a, se por a tɔ. 
MAT.3.12	Doo nè nga, kéee le’n è jinn’t. A ɔi kêm gar le’n ndát-ndát a, a ɔse nja ko le’n nan’t kêm dam’t a tɔ. Nè a ró tise ko se por ke doo ase tɔl ndan lé.
MAT.3.13	Jésu in kêm ɓeekon ke Galilée ree inge Jean tà ba ke Jourdain tede kade ule’n manné njonm. 
MAT.3.14	Nè Jean in se’n dè’t ede nè:
MAT.3.14	– Man m’aw ndoo kade i á ule’m manné njonm. Nè ké i kuwe i tel i ree ram’t taɓai wa?
MAT.3.15	Nè Jésu tel ile’n dè’t ede nè:
MAT.3.15	– Inye ade m’ra ɗarinè. Ra nyan ke kêm Nube ndige tɔl mbas nga, tuwe jè ɗêw titeke bè.
MAT.3.15	Jean inye Jésu ade ra titeke bè. 
MAT.3.16	Loo ke Jean ule Jésu manné njonm ɓá ɓaa, Jésu unde loo tee nata. An! ke loon’t nè kuwe, kum danran teen halal ade an ndil Nube rise ndi dènn’t tite der-nda bè. 
MAT.3.17	An! ke loon’t nè kuwe, ndu doo ɓar danran ede nè:
MAT.3.17	– E nè nga è Ngonn’m ke m’tár’n ngain a, ra’m nel’m dènn’t ngain a tɔ.
MAT.4.1	Ndil ɔr non Jésu aw se’n kêm dile’t le kade njè sú dooge nan’n. 
MAT.4.2	Ɓo ra Jésu tede ɔge ra’n dè nyankuse’t ase dann kàde kɔr-sɔ se dann ndɔ kɔr-sɔ a tɔ. 
MAT.4.3	E á njèkule kêm dooge age meen-meen ke rann’t ede nè:
MAT.4.3	– Ke nè á i Ngonn le Nube kerɔte ɓaa, ade kuberi herge nè nga teli mapa ade use.
MAT.4.4	Nè Jésu tel ilé dè’t ede nè:
MAT.4.4	– Dé ndang kêm magtub’t d’ede nè: «Doo à ndi kumgajer takul mapa á go karé lé. Nè doo à ndi kumgajer takul tà malang ke tee tà Nube’t.»
MAT.4.5	Taɓai sú ɔr Jésu aw se’n Jérusalem, ɓee-bò ke tò se ninn’n, aw unde’n sêm Kei’t le Nube, ede’n ede nè:
MAT.4.6	– Ke nè á i Ngonn Nube kerɔte ɓaa, inye jii dɔ oso nang ade j’an tede dé ndang kêm Magtub’t d’ede nè:
MAT.4.6	«Nube à unn ndu’n kade dooge le’n ke danrán kɔje’n dèi.
MAT.4.6	Dooge ke danrán nè nga, d’a geti se ji de
MAT.4.6	nè bainléa a kunde njai dè kuberi her’t.»
MAT.4.7	Jésu tel ile sú dè’t ede nè:
MAT.4.7	– Dé ndang kêm Magtub’t d’ede nè: «Kuwe-ɓee Nube lei nga, i a nan’n lé.»
MAT.4.8	Go’t gugu sú ɔr’n aw se’n dè mbal ke ngal lêng-lêng tɔje’n ɓeekonge malang ke dè nang nè se nyan-majege le de ke mbirin-mbin, 
MAT.4.9	ede nè:
MAT.4.9	– Ke nè á i ɔse keji nang nonm’t, ule dèi ade’m ɓaa, m’a m’adi nyan-majege nè nga malang.
MAT.4.10	Jésu tel ede sú ede nè:
MAT.4.10	– Ɔte tam’t kɔke tede dé ndang kêm magtub’t d’ede nè: «Kuwe-ɓee Nube lei nga, i a kɔse keji nang nonn’t a, è kuwe karé bere luk-luk á i a ra ɓer le’n a tɔ.»
MAT.4.11	Sú ɔr ra’n ra Jésu’t kɔke ɔte aw. An! ke loon’t nè kuwe, dooge ke danran reei rann’t rai nyan adi nin.
MAT.4.12	Loo ke Jésu oo titeke d’uwe Jean d’ile’n dangai ɓaa, è ɔr ra’n aw kêm ɓeekon ke Galilée. 
MAT.4.13	Jésu inye ɓee ke Nazareth aw ndi kêm ɓee-bò ke Capernaum kɔte ba ke dè ninn ɓeekon le Zabulon se Nephtali. 
MAT.4.14	E ra titeke bè le kade tà ke Esaie njèribe-dè-tà ke tà Nube’t tam kété aw’n loon’t deĵ. Esaie tam kété ede nè:
MAT.4.15	«Ɓeekon le Zabulon, ɓeekon le Nephtali,
MAT.4.15	ke tooi gide ba ke Jourdain,
MAT.4.15	I Galilée ɓeekon le dooge ke ei Juipge lé.
MAT.4.16	Kosdooge ke ndii dann tilkus’t,
MAT.4.16	An-in! lookar ke bò,
MAT.4.16	Njé ke ndii gir tɔgmong’t le yo géa,
MAT.4.16	loo unn gir kar dè de’t a tɔ.
MAT.4.17	Unn gir kêm ndɔn’t nè, Jésu ile mber ede nè:
MAT.4.17	– I turi hal si tede konɓee ke danrán nain ngɔr ta.
MAT.4.18	Ndɔ karé bè, Jésu njiye se tà ba ke Galilée. E an ngakon nange joo: Simon ke dé ɓar’n Pierre se André ndai ilei bure dann ba’t tede ei mbawge ke njékɔse kanjege. 
MAT.4.19	E ede de ede nè:
MAT.4.19	– Unni rebe goom’t ɗarinè, m’a tel sei ke njé ndon dooge ta.
MAT.4.20	Ke loon’t nè kuwe dé sure burege le de d’inye d’unn rebe goon’t. 
MAT.4.21	Loo ke Jésu aw mbɔr ke kété ɓai ɓaa, è an ngakon nange ke rang joo Jacques se Jean ngann le Zébédée ndii se bɔ de kêm ngonn bato’t à tilei kum burege le de. Jésu ɓar de tɔ. 
MAT.4.22	Ke loon’t nè kuwe ei surei bɔ de se bato bere inyei unni rebe go Jésu’t.
MAT.4.23	Jésu aw se loo-loo kêm ɓeekon ke Galilée bere mbak ndó dooge nyan kêm kei kebe nange’t le de ile mber Tà ke Maje ɔje dè konɓee le Nube a, ɔr ratur ke rara ra njératurge dann kosdooge’t a, se njè ke kêl ra de wei tonrin a tɔ. 
MAT.4.24	Kɔbe nyan ke Jésu ra nga, oso se loo mbit-mbit kêm ɓeekon ke Syrie bere mbak. Dé ree se njératurge ke raturge gai-gai rai kum de ndoo ra Jésu’t. E ɔr ratur dè de’t malang: Njé ke ndilge ke majelé tooi kêm de’t se njé ke kɔnon tɔte de a, njé ke kêl ra de wei tonrin a tɔ. 
MAT.4.25	Kosdoo-bulege ngain in-in kêm ɓeekon ke Galilée se ɓeekon ke Décapole se ɓee-bò ke Jérusalem se ɓeekon ke Judée a, se ɓeekon ke gide ba ke Jourdain’t reei ndolèi go Jésu.
MAT.5.1	Loo ke Jésu an kosdoo-bulege bè ɓaa, è al dè mbal’t dɔ. Loo ke è ndi nang ɓá ɓaa, njékuwe-girnge reei rann’t. 
MAT.5.2	E unn gir ndó de nyan ede nè:
MAT.5.3	– Njé ke geri kêm de’t titeke ei njéndooge nga, ra de à nel de
MAT.5.3	tede konɓee ke danran è le de!
MAT.5.4	Njé ke ndii se kumndoo yo nga, ra de à nel de
MAT.5.4	tede Nube à gɔl kêm de ɓai!
MAT.5.5	Njé ke awi lom-lom nga, ra de à nel de
MAT.5.5	tede Nube à ade de Konɓee ke danran ke nyan-ndube le de!
MAT.5.6	Njé ke ngur nyanra ke se dè naje’n ra de pênn-pênn
MAT.5.6	asenan se kunde mann éké ɓo ke ra de nga,
MAT.5.6	ra de à nel de tede kêm de à ndann ɓai!
MAT.5.7	Njé ke an-in kumndoo le made dege nga, ra de à nel de
MAT.5.7	tede Nube à an kumtondoo le de tɔ!
MAT.5.8	Njé ke nganrankêm de unju nyang-nyang nga, ra de à nel de
MAT.5.8	tede d’a d’an Nube se kum de ndan-ndan!
MAT.5.9	Njé ke d’ade made dege ingei kêmlom nga, ra de à nel de
MAT.5.9	tede è dé kuwe á d’a ɓar de ngann Nubege!
MAT.5.10	Njé ke dé ra kum de ndoo tede nyanra de ke dè se naje’n nga,
MAT.5.10	ra de à nel de tede è de kuwe á Konɓee ke danran è le de!
MAT.5.11	Loo ke dooge à taji sei a, a rai kum si ndoo a, a teti tàge ke majelé gai-gai kundei tà si’t tede k’ee ke sei njékuwe-girmge nga ɓaa, adi ra si nel sei. 
MAT.5.12	I rai ranel a, ali ra si se kêmnda káng tede nyan kuge dè ji si è ngain dɔ danran. Njéribe-dè-tàge ke tà Nube’t ke kété non si’t nga géa, ndɔ ke dé ra kum de ndoo titeke dé ra’n kum si ndoo bè tɔ.
MAT.5.13	Sei sei kate le dooge ke dè nang nè. Ke nè á kate ke don tel bɔlɔs ɓaa, ké ri á d’a ra’n kade tel don gugu wa? Nyan ke le ra’n ke rang goto, nè d’a kunn kum nata kade dooge njiyei dè’t.
MAT.5.14	Sei sei lookar le dooge ke dè nang nè. Ɓee-bò ke tò dè mbal’t dɔ nga asekum ɓɔyɔ ra’n lé.
MAT.5.15	Doo unde por tu lampe’t tede le sebe debe dè’t lé. Nè à naan tà kagenn’t dɔ kade unju ade njé ke kêm kei malang an-in loo. 
MAT.5.16	Sei géa, maje kade nyan-ndogó le si ndogó tàkum dooge’t tede kade an-in nyanra maje le si ɓaa, ilei riɓar dè Bɔ si ke ndi danrán.
MAT.5.17	Maje kade i giri kêm si’t edi nè m’ree le tuju gute-ndu ke mari éké magtubge ke njéribe-dè-tàge ke tà Nube’t ndangi nga lé. Man m’ree le tuju gute-ndu ke mari se tàge ke njéribe-dè-tàge ke tà Nube’t ndangi nga lé, nè m’ree le kade maji ɔri njêt. 
MAT.5.18	Kerɔte kuwe, man m’ede sei ndàt, nyange ke ndêin-ndêin ke dé ndang kêm magtub gute-ndu ke mari’t nga, karé bè géa à goto lé sár kade danran se dè nang à gotoi pa ɓita. 
MAT.5.19	E ke altà tà ndukunn’t karé dann ndukunnge ke ndêin-ndêin nè a, ndó dooge le kade rai titeke bè a tɔ nga ɓaa, d’a d’an’n ke ngonn ke ndêin bè dum madennge malang kêm Konɓee ke danrán. Nè nanan ke an dè ndukunnge nè nga sêw-sêw a, ndó dooge kade rai titeke bè tɔ ɓaa, d’a d’an’n ke doo ke bò kêm Konɓee ke danrán. 
MAT.5.20	Kerɔte kuwe,man m’ede sei ndàt, ke nè á nyanra si ke se dè naje’n dum dè le njéndang-magtubge se pharisienge lé ɓaa, sei a kilei nja si kêm Konɓee ke danrán nga ndan lé.
MAT.5.21	Sei ooi titeke d’ede kàsige ke kété mari d’ede nè: «I a tɔl doo lé. Nanan ke tɔl doo ɓaa, d’a gangtà dènn’t.» 
MAT.5.22	Nè man m’ede sei, nanan ke ra wong se ngokon’n ɓaa, d’a gangtà dènn’t. Nanan ke tam se ngokon’n ede nè: «I mbe» ɓaa, d’a d’aw se’n loo gangtà’t ke bò. Nanan ke tam se ngokon’n ede nè: «Kêmi tɔ kuju tà lé» ɓaa, a inge ndutɔr lé sár nè kure nyanra’n à ɔde kum’n labi-labi. 
MAT.5.23	Ke nè á i aw se nyan-noje lei le kade dè ɗinger loo nyankuje-mese’t á ke loon’t nè kêmi olé dè nyan ke ngokoin aw’n sei se tà ɓaa, 
MAT.5.24	inye nyan-noje lei dè ɗinger loo nyankuje-mese’t, i tel aw inge ngokoin umi nan’t pa ɓita i ree unn nyan-noje lei ade ɓai.
MAT.5.25	Ute rai kalang um nan’t se njèkɔse sei tà loo ke sei se’n i nain rebe ɓai. Nè bainléa à aw sei non njègangtà’t, njègangtà à ulei ji paja’t le’n kade aw sei ilei dangai’t njing. 
MAT.5.26	Kerɔte kuwe, man m’edi ndàt, ke nè á paja le’n aw sei ilei dangai’t ɓá ɓaa, a uge kure nè nga ndát-ndát kade sisi karé géa à nain dèi’t lé, ɓita a i tee dangai’t ɓai.
MAT.5.27	Sei ooi titeke dé tam kété mari d’ede nè: «I a tò se dinye ke rang lé.» 
MAT.5.28	Nè man m’ede sei, nanan ke an dinye ke rang á ndinge’n ɓaa, nganrankêm’n tò se’n ɓá ta. 
MAT.5.29	Ke nè á kumi ke kon ade i ra kaiya ɓaa, uwe’n ɔr’n ile’n piring kɔke. Kade balkum rai karé udu è soo’t dum kile danrai bere mbak dann loo ke tur’t ke kure nyanrai à ɔde kumi tutu labi-labi. 
MAT.5.30	Ke nè á jikoin ade i ra kaiya ɓaa, i tuge’n i gang’n ile’n piring kɔke. Kade balkum rai karé udu è soo’t dum kade d’ile danrai bere mbak dann loo ke tur ke kure nyanrai à ɔde kumi tutu labi-labi.
MAT.5.31	Kété mari dé tam d’ede nè: «Ke nè á doo karé mbate neen’n ɓaa, maje kade ade’n magtub mbate nan jinn’t. 
MAT.5.32	Nè man m’ede sei ndàt, nanan ke mbate neen’n tede nyan ke rang lé nè tede tà le tò se nan ke kaiya’t ɓaa, è ile’n dè sang dingemge ke rang’t. Nanan ke taa dinye ke dé mbate’n ɓaa, tà kaiya uwe dè’n.
MAT.5.33	Taɓai sei ooi titeke d’ede kàsige kété mari d’ede nè: «I a kinye go mann-ra lei nga lé, nè nyan ke i unn ndui ade Kuwe-ɓee dè’t nga, a i ra nyan’n kuwe.» 
MAT.5.34	Nè man m’ede sei ndàt, ubi ra si ndan lé. Ubi ra si se nyan karé ke danrán lé, tede danran nga è kutu-ngar le Nube. 
MAT.5.35	Ubi ra si se nyan karé dè nang nè lé, tede ɓeekon nè nga, è nyan kum-nja le Nube. Ubi ra si se ri ɓee-bò ke Jérusalem lé, tede è ɓee le Ngar ke bòi. 
MAT.5.36	Ubu rai se dam dèi lé, tede i asekum kade bin dèi karé tel nda éké tel ndul lé. 
MAT.5.37	Ke nè á tà le si è oiyo ɓaa, è oiyo. Ke nè á tà le si è ḿ-m̀ ɓaa, i tami go karé edi nè ḿ-m̀. Tà ke rang ke i tami ilei dè made’t nga in ra njèkêmyêr’t.
MAT.5.38	Sei ooi titeke dé tam kété mari d’ede nè: «Kum karé kum gute kum karé’t, gɔge karé kum gute gɔge karé’t.» 
MAT.5.39	Man m’ede sei ndàt, doo ke ndige ra se si majelé nga, ilei rɔ adii lé. Loo ke doo karé unde mbɔri ke kon ɓaa, i tur è ke karé rang ade’n unde tɔ. 
MAT.5.40	Ke nè á doo karé ndige sêki tede taa’n kubu lei ke kêm made’t ɓaa, ɔr kubu lei ke bòi yul ade’n dè’t. 
MAT.5.41	Ke nè á doo karé unde tɔg dèi’t le kade aw se’n kurloo karé ɓaa, aw se’n kurloo joo. 
MAT.5.42	Doo ke deji nyan ɓaa ade’n. Nanan ke ndige tunei nyan ɓaa, i tur gidi ade’n lé.
MAT.5.43	Sei ooi titeke dé tam kété mari d’ede nè: «I a tár doo-madi nè njèban lei ɓaa, i a kɔr’n njêt.» 
MAT.5.44	Nè man m’ede sei ndàt, i tári njébange le si a, ɔji tà se Nube tede njé ke ɔri sei kororoi a tɔ. 
MAT.5.45	Ke nè á i rai titeke bè ɓaa, a teli k’ei ngann Bɔ si Nube ke ndi danrán kuwe. E ade kàde le’n ube dè njé ra nyan majelége se njé ra nyan majege’t a tɔ. E ade ndi ede dè njé ra nyan se dè najennge se dè njé ra nyan se dè naje’n lége a tɔ. 
MAT.5.46	Ke nè á i tári njé ke tári sei tá ɓaa, ké nyan-kuge dè ji ke ra a ingei wa? Ké njétaa tirge kuwe géa dé ra titeke bè tɔ lé wa? 
MAT.5.47	Ke nè á i rai lapya ngakon sige kuwe se kar de bere ɓaa, ké è nyan ke deri á sei rai wa? Dooge ke geri Nube lé géa rai titeke bè tɔ lé wa? 
MAT.5.48	I maji ɔri njêt titeke Bɔ si ke ndi danran ee’n njè maje kɔr njêt nga tɔ.
MAT.6.1	An-in! tá nè a k’in-in kundei nyan ra ke se dè naje’n le si tàkum dooge’t tede kade an-in sei. Ke nè á sei i rai titeke bè ɓaa, a ingei nyan-kuge dè ji si ra Bɔ si ke ndi danran nga lé. 
MAT.6.2	Loo ke i unn nyan le kuwe’n noje ɓaa, ade d’ile ndil dèi’t titeke njékede gosge rai kêm kei kebe nange’t se ka-rebege tede kade dooge ilei riɓar dè de’t bè lé. Kerɔte kuwe, man m’ede sei ndàt, dé nè nga d’inge nyan-kuge dè ji de ɗarinè ɓá ta. 
MAT.6.3	Nè i ɓaa, loo ke a unn nyan le kuwe’n noje nga, ade ji geli ger nyan ke ji koin ra lé, 
MAT.6.4	tede kade nyan ke i unn uwe’n noje nga è se go ngein. Titeke bè á Bɔi ke njè kan nyan ke tò loo ngeinn’t nga à tel le kuge dè jii ɓai.
MAT.6.5	Loo ke a ɔji tà se Nube ɓaa, i rai titeke njékede gosge rai nga lé. Dé nga, dé ndige kɔje tà se Nube kade kum dooge an de njung kêm kei kebe nange’t a , se ngang rebege’t a tɔ. Kerɔte kuwe, man m’ede sei ndàt, dé nè nga d’inge nyan-kuge dè ji de ɗarinè ɓá ta.
MAT.6.6	Nè i , loo ke a ɔje tà se Nube ɓaa, aw kêm kei lei utu tàbit kei lei dèi’t ɓita ɔje tà se Bɔi ke ndi loo ngeinn’t. Titeke bè á Bɔi ke njè kan nyan ke tò loo ngeinn’t nga, à tel kuge dè jii ɓai. 
MAT.6.7	Loo ke a ɔji tà se Nube ɓaa, i tami tàge dè nan’t-dè nan’t titeke dooge ke geri Nube lé rai nga lé. Ei giri titeke tàge ke n’ei n’tami ke dè nan’t-dè nan’t á Nube à ade’n de nyan ke n’deji nin nga. 
