GEN.1.1	Mula-mula Tuhan Allah bekin langit deng bumi.
GEN.3.1	Dari samua binatang yang TUHAN Allah su bekin di ini dunya, ular yang paling pintar putar-balek. Satu kali, ada ular yang tanya sang itu parampuan bilang, “Batúl, ko? Tuhan Allah ada larang bilang, ‘Bosong sonde bole makan bua dari pohon-pohon di ini kabón, aa?’ ” 
GEN.3.2+GEN.3.3	Itu parampuan balas bilang, “Sonde! Botong bole makan! Ma ada satu pohon di tenga kabón sa, yang Tuhan Allah larang botong makan. Dia bilang botong sonde bole makan, deng sonde bole sonto dia pung bua, te nanti botong mati.”
GEN.3.4	Ma itu ular manyao bilang, “We, itu sonde batúl! Bosong sonde mati! 
GEN.3.5	Tuhan Allah memang larang bagitu, tagal Dia su tau kalo bosong makan itu bua, bosong jadi pintar sama ke Dia. Andia, tau mana yang bae, deng mana yang jahat.”
GEN.3.6	Ais, itu parampuan lia te itu pohon pung bagus lai, deng dia pung bua tingka ke enak sakali. Ju dia pikir bilang, “Kalo beta makan ini bua, tantu beta jadi pintar.” Ais dia ketu itu bua, ju dia makan. Ais dia bawa kasi dia pung laki, ju dia pung laki iko makan. 
GEN.3.7	Makan abis ju, baru dong tau bilang, dong dua ada talanjang bulat. Andia ko dong natok daon ko tutu dong pung talanjang.
GEN.3.8	Dia pung sore, dong dengar TUHAN Allah ada bajalan di itu kabón. Ais dong pi sambunyi di balakang pohon, ko biar TUHAN sonde dapa lia sang dong. 
GEN.3.9	Ma TUHAN Allah pange itu laki-laki bilang, “We, Adam! Lu ada di mana?”
GEN.3.10	Itu laki-laki manyao bilang, “Beta ada dengar Tuhan pung suara di sini. Ma beta malu, te beta ada talanjang. Andia ko beta lari sambunyi.”
GEN.3.11	Ais Tuhan bilang, “Sapa yang kasi tau kalo lu ada talanjang? Karmana? Tantu lu su makan itu bua yang beta larang, aa?”
GEN.3.12	Dia manyao bilang, “Ini parampuan yang Tuhan kasi ko batamán deng beta tu, dia yang kasi itu bua ko beta makan!”
GEN.3.13	Ais ju TUHAN Allah omong deng itu parampuan bilang, “Akurang ko lu bekin bagitu?”
GEN.3.13	Ju itu parampuan manyao bilang, “Ko ular tipu ame sang beta na! Andia ko beta makan itu bua, suda ma.”
GEN.3.14	Ais itu, ju TUHAN Allah kasi kutuk itu ular bilang,
GEN.3.14	“Tagal lu pung bekin ni, Beta kasi hukum sang lu. Dari samua binatang yang laen, cuma lu sandiri yang kaná kutuk bagini. Mulai sakarang sampe lu mati, lu cuma tau marayap deng dada sa, deng lu tau makan di tana sa. 
GEN.3.15	Beta bekin lu deng ini parampuan bamusu tarús. Deng bosong dua pung turunan dong, ju bagitu. Lu pung turunan nanti gigi ame orang pung tumit. Ma dia pung turunan satu, nanti titi bekin ancor lu pung kapala.”
GEN.3.16	Ais itu, Tuhan Allah kasi tau itu parampuan bilang,
GEN.3.16	“Nanti Beta tamba lu pung susa waktu dudu parú, deng tamba saki waktu lu barana. Biar bagitu, ma lu ju masi rindu tarús sang lu pung laki. Deng dia yang ator sang lu.”
GEN.3.17	Ais Tuhan kasi tau itu laki-laki bilang,
GEN.3.17	“Lu sonde iko Beta pung parenta, ma iko lu pung bini pung mau, sampe lu makan itu bua yang Beta su larang tu. Andia ko lu ju kaná hukum. Deng tana kaná hukum ju. Mulai sakarang sampe lu mati, lu musti karjá banting tulang bale tana, ko lu bisa dapa makan. Deng karjá bagitu, baru lu dapa idop. 
GEN.3.18	Biar lu tanam macam-macam, ma tana cuma kasi kaluar duri deng onak sa. 
GEN.3.19	Ais lu musti karjá banting tulang, baru tana kasi lu makan. Lu musti karjá parés karingat bagitu sampe mati. Beta bekin ame sang lu dari tana. Jadi kalo lu mati, lu kambali pi jadi tana lai.”
GEN.3.20	Ais itu, Adam kasi nama dia pung bini ‘Hawa’ (yang dia pung arti ‘yang idop’), te dia tu, samua orang yang idop pung mama.
GEN.3.21	Ais TUHAN Allah bekin pakean dari binatang pung kulit, ko kasi dong dua pake.
GEN.3.22	Ais TUHAN Allah omong bilang, “Sakarang, ini orang dong su tau mana yang bae, deng mana yang jahat, sama ke Kotong. Jang sampe dong ju makan bua dari itu pohon yang kasi dong idop tarús.” 
GEN.3.23	Ais ju Dia usir kasi kaluar sang dong dari itu kabón di Eden, ko dong pi tampa laen, idop deng bale tana, ko dong idop dari tana pung hasil. 
GEN.3.24	Usir abis, ju Tuhan suru Dia pung ana bua basayap dari sorga dong,
GEN.4.1	Ais Adam pi tidor deng dia pung bini Hawa. Ju itu parampuan dudu parú. Ais ju dia barana satu ana laki-laki. Ju dia bilang, “Beta su barana kasi kaluar satu ana laki-laki, tagal TUHAN su tolong sang beta.” Ais dia kasi nama itu ana, 
GEN.4.2	Ais Hawa barana lai satu ana laki-laki. Ju dia kasi nama 
GEN.4.2	Waktu dong dua bésar datang, Habel gambala binatang, deng Kaen karjá kabón. 
GEN.4.3	Satu kali, Kaen bawa ame dia pung kabón pung hasil saparu, ko kasi sang TUHAN. 
GEN.4.4	Habel ju bawa ame dia pung domba mai dong pung ana partama. Dia horo itu domba dong, ais dia bawa daging yang paling bae kasi sang Tuhan. Lia bagitu, TUHAN pung hati sanáng sang Habel deng dia pung korban tu. 
GEN.4.5	Ma Dia sonde suka sang Kaen deng dia pung korban tu. Ju Kaen mara mau mati, sampe dia pung muka asaráng.
GEN.4.6	Ju TUHAN omong deng Kaen bilang, “He, Kaen! Akurang ko lu mara bagitu? Karmana ko lu pung muka asaráng bagitu? 
GEN.4.7	Kalo lu bekin bae, tantu Beta ju tarima bae sang lu. Ma ati-ati! Kalo lu bekin jahat, nanti itu jahat makan bale sang lu, sama ke kucing mau kobo tikus. Jadi, kalo lu ada kapingin bekin jahat, lebe bae lu tola buang memang!” 
GEN.4.8	Satu kali, Kaen buju sang Habel bilang, “Adi! Mari ko kotong jalan-jalan pi kabón.”
GEN.4.9	Ais TUHAN tanya sang Kaen bilang, “He, Kaen! Lu pung adi ada di mana?”
GEN.4.9	Kaen manyao bilang, “Beta sonde tau dia ada di mana! Kira beta ni, tukang pegang dia pung kaki, ko?”
GEN.4.10	Ju Tuhan omong bilang, “Akurang ko lu bekin jahat bagitu? Jang kira ko lu bisa sambunyi lu pung adi pung dara di tana, te Beta su lia samua! 
GEN.4.11	Sakarang kutuk su nae kaná sang lu. Te waktu lu bunu lu pung adi, tana isap ame dia pung dara. Jadi sakarang itu tana su sonde bisa kasi idop sang lu lai. 
GEN.4.12	Kalo lu bekin kabón, tana su sonde mau kasi lu hasil apa-apa lai. Mulai sakarang, lu maen tapaleuk pi-datang sama ke orang kasian yang cari idop di ini dunya.”
GEN.4.13	Ma Kaen protes sang TUHAN bilang, “Awii! Tuhan, é! Karmana ko Tuhan kasi beta kutuk barát talalu, sampe beta su tar bisa pikol lai ni? 
GEN.4.14	Tagal Tuhan su usir sang beta dari ini tampa, beta nanti jao dari Tuhan. Beta maen tapaleuk pi mana-mana. Ais sapa sa yang nanti katumu sang beta, tantu dong bunu bekin mati sang beta.”
GEN.4.15	Ma TUHAN manyao bale bilang, “Sonde bagitu! Sapa yang bunu sang lu, Beta nanti hukum sang dia tuju kali lebe barát!” Ais TUHAN bekin tanda di Kaen, ko biar orang dapa tau kalo dong sonde bole bunu sang dia. 
GEN.4.16	Ais Kaen jalan kasi tenga itu tampa, ko pi jao-jao dari TUHAN. Dia jalan sampe di satu tampa di kabón Eden pung sablá matahari nae. Itu tampa pung nama 
GEN.4.17	Ais itu, Kaen kawin, ju dia pung bini dudu parú. Ju dia barana satu ana laki-laki, yang dong kasi nama, Henok. Deng Kaen kasi bangun satu kampong. Ais dia kasi nama itu kampong, Henok, iko dia pung ana pung nama. 
GEN.4.18	Ais Henok pung ana, andia Irad. Irad pung ana, Mehuyael. Mehuyael pung ana, Metusael. Deng Metusael pung ana, Lamek. 
GEN.4.19	Lamek pung bini dua. Satu nama Ada, deng satu nama Sila. 
GEN.4.20	Ada pung ana, nama Yabal. Dia pung turunan dong, jadi gambala. Dong idop bapinda-pinda deng tenga di tenda. 
GEN.4.21	Dia pung adi, nama Yubal. Yubal pung turunan dong jadi tukang maen musik, pake suling deng alat musik kuti pake tali sanár. 
GEN.4.22	Lamek pung bini Sila barana sang Tubal Kaen. Dia pung turunan jadi tukang besi, ko dong bekin barang macam-macam dari besi deng tambaga. Tubal Kaen pung adi parampuan, nama Naꞌama.
GEN.4.23	Satu kali, Lamek angka-angka diri di muka dia pung bini dua-dua bilang, “Bosong dengar, é! Tadi ada satu nyong yang hantam sang beta, ma beta habok bekin mati sang dia. 
GEN.4.24	Orang yang bunu sang Kaen, dapa hukuman tuju kali. Ma kalo ada yang mau balas dendam sang beta, dong dapa hukuman 77 kali.”
GEN.4.25	Adam pung bini Hawa barana satu ana laki-laki lai. Ju dong kasi nama itu ana, 
GEN.4.26	Lama-lama Set dapa satu ana laki-laki, nama Enos.
GEN.4.26	Itu waktu, orang dong mulai sémba sang TUHAN Allah.
GEN.5.1+GEN.5.2	Waktu Allah bekin manusia, Dia bekin dong pung model, sama ke Dia pung diri sandiri. Dia bekin sang dong, laki-laki deng parampuan. Ais Dia pange sang dong “manusia”, deng Dia kasi berkat sang dong.
GEN.5.1+GEN.5.2	Manusia partama pung nama, Adam. Ini ni, Adam pung turunan dong pung nama:
GEN.5.3	Waktu Adam su umur 130 taon, dia dapa satu ana laki-laki, dia pung model sama ke dia pung bapa. Ju dia kasi nama itu ana, 
GEN.5.4	Ais itu, Adam masi idop lai 800 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.5	Dia mati waktu dia pung umur su 930 taon.
GEN.5.6	Waktu Set umur 105 taon, ju dia dapa satu ana laki-laki, nama Enos. 
GEN.5.7	Ais Set masi idop lai 807 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.8	Dia mati waktu dia pung umur su 912 taon.
GEN.5.9	Waktu Enos umur 90 taon, dia dapa satu ana laki-laki, nama Kenan. 
GEN.5.10	Ais itu, Enos masi idop lai 815 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.11	Dia mati waktu dia pung umur su 905 taon.
GEN.5.12	Waktu Kenan umur 70 taon, dia dapa satu ana laki-laki, nama Mahalalel. 
GEN.5.13	Ais itu, Kenan masi idop lai 840 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.14	Dia mati waktu dia pung umur su 910 taon.
GEN.5.15	Waktu Mahalalel umur 65 taon, dia dapa satu ana laki-laki, nama Yared. 
GEN.5.16	Ais itu, Mahalalel masi idop lai 830 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.17	Dia mati waktu dia pung umur su 895 taon.
GEN.5.18	Waktu Yared umur 162 taon, dia dapa satu ana laki-laki, nama Henok. 
GEN.5.19	Ais itu, Yared masi idop lai 800 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.20	Dia mati waktu dia pung umur su 962 taon.
GEN.5.21	Waktu Henok umur 65 taon, dia dapa ana laki-laki satu, nama Metusalak. 
GEN.5.22	Ais itu, Henok idop satu hati deng Tuhan Allah sampe 300 taon lai. Ju dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.23+GEN.5.24	Dia idop satu hati tarús deng Tuhan Allah. Ais waktu dia pung umur 365 taon, ju dia ilang, tagal Tuhan Allah su angka nae sang dia.
GEN.5.25	Waktu Metusalak pung umur 187 taon, dia dapa satu ana laki-laki, nama Lamek. 
GEN.5.26	Ais itu, Metusalak masi idop lai 782 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.27	Dia mati waktu dia pung umur su 969 taon.
GEN.5.28	Waktu Lamek umur 182 taon, dia dapa satu ana laki-laki. 
GEN.5.29	Lamek kasi nama itu ana, 
GEN.5.30	Ais itu, Lamek masi idop lai 595 taon, deng dia dapa tamba lai ana laki-laki deng parampuan. 
GEN.5.31	Dia mati waktu dia pung umur su 777 taon.
GEN.5.32	Waktu Noh pung umur su 500 taon, ju dia dapa tiga ana laki-laki, andia Sem, Yafet deng Ham.
GEN.6.1	Itu waktu, manusia su tamba banya. Ais dong su idop batasiram di mana-mana di ini dunya. Dong ju barana ame ana-ana parampuan. 
GEN.6.2	Tuhan pung ana laki-laki dong
GEN.6.3	Ais ju TUHAN bilang, “Beta su cape deng manusia pung idop yang harba-biruk. Beta pung Roh yang kasi idop sang dong tu, su sonde mau kasi tenga dong idop tarús lai.
GEN.6.4	Itu jaman, deng jaman baꞌiko-baꞌiko dong, su ada orang-orang raksasa di dunya.
GEN.6.5	Itu waktu, TUHAN lia manusia di dunya pung jahat su talalu. Dong pung hati cuma tau pikir jahat tarús sa. 
GEN.6.6	Ju TUHAN manyasal su bekin ame sang dong ko tenga di ini dunya. Itu bekin Dia pung hati saki mau mati. 
GEN.6.7	Andia ko Dia omong bilang, “Deng bagitu, nanti Beta bekin ancor manusia, yang Beta su bekin ame di ini dunya. Burung-burung deng binatang laen dong, ju Beta bekin ancor samua. Te Beta manyasal su bekin sang dong.” 
GEN.6.8	Ma cuma Noh sa, yang bekin sanáng TUHAN pung hati.
GEN.6.9+GEN.6.10	Noh pung carita bagini: dia pung ana laki-laki ada tiga orang, andia Sem, Yafet deng Ham. Noh tu, idop lurus deng sonde bekin jahat. Itu waktu cuma dia sandiri sa yang bae. Dia idop deka deng Tuhan Allah.
GEN.6.11+GEN.6.12	Ma Tuhan Allah lia kalo samua orang laen dong jahat abis. Di mana-mana sa, orang pung jalan idop dong su rusak mau mati. Tuhan Allah lia manusia di dunya tu, cuma ada jahat sa. 
GEN.6.13	Ais Tuhan Allah kasi tau sang Noh bilang, “Di mana-mana, Beta cuma dapa lia manusia pung jahat sa. Jadi Beta su putus bilang, Beta mau bekin ancor abis ini dunya deng dia pung isi samua. 
GEN.6.14	Jadi bagini, Noh! Sakarang lu bekin ame satu kapal bésar dari kayu yang kuat. Di itu kapal pung dalam, lu bekin kamar-kamar. Ais lapis itu kapal deng ter. 
GEN.6.15	Itu kapal, lu bekin dia pung panjang 133 meter; dia pung lebar 22 meter; deng dia pung tinggi 13 meter. 
GEN.6.16	Pasang atap di itu kapal. Ma kasi farei itu atap kira-kira satenga meter dari atas dinding. Lu bagi itu kapal jadi tiga tingkat. Ais bekin satu pintu di itu kapal pung rebis.
GEN.6.17	Inga bae-bae! Beta nanti kasi turun banjer bésar ko bekin mati samua yang idop di ini dunya, sampe sonde ada sisa satu apa ju. 
GEN.6.18	Ma Beta mau ika Beta pung janji deng lu. Nanti lu maso pi dalam itu kapal sama-sama deng lu pung bini, lu pung ana-ana, deng lu pung ana mantu dong.
GEN.6.19+GEN.6.20	Dari samua binatang dong, lu musti pi ame satu-satu pasang, ko bawa maso pi dalam itu kapal, ko biar dong idop sama-sama deng lu. Sama ke binatang piara, burung-burung, deng binatang marayap dong, ko biar dong samua idop. 
GEN.6.21	Lu musti bawa maso pi dalam itu kapal samua macam makanan kasi sang bosong, deng kasi itu binatang-binatang dong.” 
GEN.6.22	Ais ju Noh bekin iko sama deng Tuhan Allah pung parenta samua.
GEN.7.1	Ais itu, ju TUHAN omong deng Noh bilang, “Beta lia pi mana-mana, ma cuma lu sa yang pung hati lurus. Tagal itu, lu deng lu pung bini-ana dong maso pi dalam kapal su. 
GEN.7.2+GEN.7.3	Dari samua macam binatang yang bosong bole makan, deng yang bole bawa kasi sang Beta, na, lu bawa tuju-tuju pasang pi dalam itu kapal. Dari samua macam burung ju bawa tuju-tuju pasang. Ma dari binatang laen dong, bawa cuma satu-satu pasang sa. Deng bagitu, itu binatang deng burung dong jadi bibit, ko dong ada tarús.
GEN.7.4	Inga bae-bae, ó! Te tuju hari lai, Beta kasi turun ujan tar pake barenti sampe ampa pulu siang ampa pulu malam. Deng bagitu, Beta kasi mati abis samua yang idop di darat yang Beta su bekin.”
GEN.7.5	Ais ju Noh bekin iko sama deng TUHAN pung parenta samua. 
GEN.7.6	Waktu banjer datang tu, Noh pung umur 600 taon. 
GEN.7.7	Ais Noh deng dia pung bini, deng dia pung ana-ana, deng dia pung ana mantu dong, maso pi dalam itu kapal, ko salamat dari itu banjer bésar. 
GEN.7.8+GEN.7.9	Iko TUHAN pung parenta tu, ju Noh bawa maso pi dalam kapal samua macam burung deng binatang laen dong, satu-satu deng dia pung pasang, bae dari yang orang bole makan, deng dari yang orang sonde bole makan. 
GEN.7.10	Abis tuju hari, ju banjer tapoꞌa datang ko mulai tutu ame ini dunya. 
GEN.7.11	Pas waktu Noh umur 600 taon, lewat dua bulan deng 17 hari, ju banjer pung datang! Itu waktu, tingka ke pintu langit tabuka, ko dia pung aer tapoꞌa turun. Deng samua mata aer di bawa tana dong tapica ko aer maspurak kaluar. 
GEN.7.12	Ju ujan turun tar pake barenti siang-malam, sampe ampa pulu hari.
GEN.7.13	Ma itu hari ju, Noh, dia pung bini, dia pung ana tiga-tiga andia Sem, Yafet, deng Ham, deng dia pung ana mantu dong samua maso pi dalam kapal. 
GEN.7.14	Dong maso sama-sama deng binatang dong, andia binatang piara, binatang liar, binatang marayap, burung-burung, deng binatang laen yang ada sayap dong. 
GEN.7.15+GEN.7.16	Satu-satu pasang dari samua yang idop maso pi dalam kapal sama-sama deng Noh, sama ke Tuhan Allah pung parenta sang dia.
GEN.7.15+GEN.7.16	Waktu dong samua su maso abis, ju TUHAN konci itu kapal pung pintu.
GEN.7.17+GEN.7.18+GEN.7.19	Ujan bésar turun tarús sampe ampa pulu hari, ju banjer nae tamba tinggi sampe kapal taꞌapung. Aer nae tarús sampe tutu ame gunung-gunung yang tinggi. 
GEN.7.20	Itu aer nae sonde pake barenti, sampe dia pung tinggi ada tuju meter di atas gunung.
GEN.7.21+GEN.7.22+GEN.7.23	Deng bagitu, samua yang idop di darat dong mati abis. Andia: manusia, binatang piara, binatang liar, binatang marayap, deng burung-burung dong. Cuma Noh deng samua yang ada dalam itu kapal yang salamat. 
GEN.7.24	Itu aer sonde tau turun-turun sampe saratus lima pulu hari.
GEN.8.1	Ma Tuhan Allah sonde lupa sang Noh dong deng samua binatang di itu kapal. Ju Dia kasi angin ko fuu bekin turun itu aer banjer. 
GEN.8.2	Dia tutu samua mata aer di bumi, deng kasi barenti ujan dari langit. 
GEN.8.3	Ju aer kurang tarús. Abis 150 hari, ju aer sonde bagitu tinggi lai. 
GEN.8.4	Pas deng bulan tuju lewat 17 hari, ju itu kapal tadudu di atas satu gunung yang tinggi, nama Ararat. 
GEN.8.5	Aer turun tarús sampe hari partama bulan sapulu, ju gunung-gunung pung ujung dong mulai kantara. 
GEN.8.6	Lewat ampa pulu hari, ju Noh buka kapal pung jandela satu. 
GEN.8.7	Ais dia kasi lapás satu burung gagak. Itu burung tarbáng tarús pi-datang sampe aer banjer su turun batúl. Dia sonde kambali lai pi kapal. 
GEN.8.8	Ju Noh kasi lapás lai satu burung pompa, ko mau cari tau itu aer su turun batúl, ko balóm. 
GEN.8.9	Ma tagal aer masi tutu dunya samua, andia ko itu burung sonde dapa tampa hinggap. Ju dia kambali pi kapal. Noh sorong dia pung tangan, ko tarima ame itu burung maso dalam kapal.
GEN.8.10	Noh tunggu tuju hari lai, ju dia kasi lapás ulang lai itu burung. 
GEN.8.11	Dia pung sore, itu burung datang kambali sang Noh, deng dia ada bawa daon saitun satu yang dia baru pata ame. Ais ju Noh dapa tau kalo aer su turun batúl. 
