GEN.1.1	Ese agafare Anumzamo monane mopane trohu'ne. 
GEN.1.16	Anumzamo tusi'a tavi tre tro hu'ne. Rantvi feru kegva hanigu zge trohuno, rankna tavi hanimpi remsa huno kegva hanigu ika tro nehuno, ofunena tro hu'ne. 
GEN.1.17	Anumzamo'a ana mona kankmumpi tavitmima ante'neana, e'i mopamofoma msama amisnigure. 
GEN.1.18	E'i ana tavi'moza hanine msanema kva hu'ne'za, hanimpintira msa refko hnagure. Anumzamo'ma anazama kegeno'a knare hu'ne. 
GEN.1.19	Hagi haninkino msa higeno, taregi taregi (dei 4) kna emente'ne.
GEN.1.20	Anante Anumzamo amanage hu'ne, timpina noza zgane, zamasimu nentesnaza zgagfamo'za avite'gahaze. Hanki nmazgamo'za mona kankamumpi hare'za vono hugahaze. 
GEN.1.21	Hanki Anumzamo'a tusinasi zgagfa trohuno hagerimpina zamagri kna zmante'ne. Ana timpina avite'ne'za kaza kaza hu'za vono nehaze. Hanki nmazga zamagri kna huno tro huzmante'ne. Anumzamo anazama keana knare hu'ne. 
GEN.1.22	Anumzamo'a asomu ke hunezmanteno amanage hu'ne, kse hakare huta hagerimpi mni titipa hu'za nemnisage'za, nmamo'zanena mopafina kse hakare hu'za mni titipa hiho. 
GEN.1.23	Hagi haninkino msa higeno, 5fugna emente'ne.
GEN.1.24	Anumzamo amanage huno hu'ne, mopafi zga rumofo rumofo fore hnaze. Kumate zgagfagi mopafi ne'onse zgarmine, trampi afi' zgane rumofo rumofo fore hiho. Anage higeno ana maka fore hu'naze. Ana miko zgagfamo'za zmagragna forehu anante anante hu'naze. 
GEN.1.25	Hanki Anumzamo'a zgagfa tro hu'neana trampi mani zgagfa zamagri kna tro nehu'no nontegama mani zgagfa zamagri kna tro nehuno mopafi ne'onse zgarmina zamagri kna tro hu'ne. Anazama Anumzamo kegeno'a knare hu'ne. 
GEN.1.26	Hagi Anumzamo amanage huno hu'ne, vahe tro hamnena tagrikna hu'za manine'za, maka'za kva nehu'za nozamene, nmamo'za hare'za vano nehazane, kumate zgagfane, mopafi kaza nehza zgarami kegva hugahaze.
GEN.1.27	Anumzamo vahe'ma tro hu'neana, Agra'agna tro hu'ne. Vene a'ene tro huznante'ne.
GEN.1.28	Anumzamo asomu ke huneznanteno amanage huno znasmi'ne, mofavre kse hakare hnankeno, mopa mani vitesaze. Ana nehuta makaza kva hi'o. Timpi nozame zgane, hareno vano nehia nma zgane hakare'a mopafi kaza huno vano nehia zgane ana makaza kva hi'o.
GEN.1.29	Anumzamo amanage hu'ne, kma antahi'o! Mopafima nehagea zamofona avima'ane zafa rga'ane nesa'egu tanami'noe. 
GEN.1.30	Hanki mika ama mopamofo agofetu vonoma nehia zgagfagi, monafima hareno vonoma nehia nma'zgagi, mika zgagfa asimu'ma me'negeno vonoma nehia zgarmina, ruzahu ruzahu traza ne'zama nesazaza Nagra zami'noe huno higeno fore hu'ne. 
GEN.1.31	Anumzamo mika'za trohuteno keana knare huno hentofa zanke fore higeno keteno, muse hu'ne! Hagi haninkino msa higeno, 6signa emente'ne.
GEN.2.1	E'inahu huno monane mopane, anampima me'neaza maka trohu vgare'ne. 
GEN.2.2	Eri'za eri vgareteno, 7ni knarera Anumzamo manigsa hu'ne. 
GEN.2.3	Anumzamo 7ni knarera manigsa nehuno, ana kna eri ruotge huno asomu hunte'ne. Na'ankure miko'a eri'za eriva reteno manigsa hu'ne.
GEN.2.4	Ra Anumzamo monane mopane erifore hunte'nea nanekea, amanahu me'ne. 
GEN.2.5	E'i ana knafi za'ara zana fore osu'ne, na'ankure Ra Anumzamo ana knafina kora huntegeno oru'ne. Eri'za eri vahera fore huno omni'negeno, 
GEN.2.6	kampui timo mopafinti hanatino mika mopamofona tina ami'ne. 
GEN.2.7	Ra Anumzamo kugusopa erino regripeno vahe tro huno agonagampi Agra'a asimu'a huhu huvazigeno, vahe fore hu'ne. 
GEN.2.8	Hanki Ra Anumzamo mago hoza zge hanatitega ante'ne. Ideni hoza agu'afina, ana ne'ma trohu'nea nera ana hozafi avreno ome ante'ne. 
GEN.2.9	Ra Anumzamo rumofo rumofo zafa higeno, mopafinti hage'ne. Hakare zafamo'a zamuma kete'ene ne'zanena knare hu'ne. Hagi ana hoza amu'nompi tare zafa me'ne. Mago zafa ofri manivava hu zafe. Hagi magora tamazane havizane antahi zafe. 
GEN.2.10	Ideni hozafinti tina enevuno hozafina tina nemino refko huno taregi taregi (4) a ranti enevie. 
GEN.2.11	Ese'ma evu'nea tinkura, Pison tine huno agi'a ante'ne. Knare koli me'nea mopa Havira rugagino evu'ne. 
GEN.2.12	Ana mopafina knare koline, mna nentake'zane konaririane mizama'amo mreri'nea oniksie nehaza have me'ne. 
GEN.2.13	Anante timofo agi'a Gihon tine. Kusi
GEN.2.14	Anantema taregi magoki (3) timofo agi'a Taigrisie Asiria mopa agentega zge mreneria kaziga evu'ne. Taregi taregi (4) tina Yufretis tine.
GEN.2.15	Hanki Ra Anumzamo ana nera avreno Ideni hozafima ante'neana, hoza eri'zama enerino kvama hanigure huno avrente'ne. 
GEN.2.16	Ra Anumzamo kasege hunteno, kagra mika hozafima me'nea zafa rga amne negahananagi, 
GEN.2.17	knare'zanki havi'zanki huno antahi zafa rga ono. Hanki kagrama nesnanana tmage hunka frigahane.
GEN.2.18	Ra Anumzamo anage hu'ne, vemo agrake maniazamo'a knare osianki'na, azahu vahera tro hanugeno knare hu'ne tragotene manigaha'e. 
GEN.2.19	Mopa kateno mika zgagfane, nmane ne'one zgagfazga tro huzmanteno zmareno zamagi antezmisie huno ana nete zamareno vigeno, zamagi'a ante'zmigeno ana zamagima ante'nere me'ne. 
GEN.2.20	Higeno ana ne'mo mika'ma nontega mni zgagfagi, monafima hareno vonoma nehia nma'zgagi, mopafima maka afi zgagfagi huno zamagi zmi'neanagi, mago agri azahu knampa'a omni'ne. 
GEN.2.21	Ana higeno Ra Anumzamo ve mofona azeri avukoko higeno mse himre'negeno, magoke omete asoza'a avazu huteno, avufanu renknirente'ne. 
GEN.2.22	Ra Anumzamo ana ne'mofo asozareti a' trohuno avreno egeno,
GEN.2.23	ana ne'mo huno, ha e'ine! Nagri zferinane navufareti tro hu'ne, hanki'na are hu'na agi antemue, na'ankure e'i ve'mofo avufafinti erino trohu'ne.
GEN.2.24	E'i ana agafare vemo'a nererane nefane atreno, a'ane hagerafino eri mago huke nemni'e. 
GEN.2.25	Znagra arave huke kena omsi znavufga znavapa manina'anagi, znagazea osu'ne.
GEN.3.1	Ra Anumzamo tmage huno maka zgagfa mopafi trohu zamante'nefintira, osifave'mofo antahi'zamo zamagatere'ne, hozafima me'nea zafa rgagura, Anumzamo tmagerfa huno mika one'o huranante'nefi? 
GEN.3.2	A'mo osifavemofo kenona hu'ne, hozafinti mika zafa rga knare ne'o huno hurante'ne. 
GEN.3.3	Hu'neanagi mago zafa hoza amunompi me'nea zafa rgagura avako osuta one'o, nesnuta'a frigaha'e huno Anumzamo tasmi'ne. 
GEN.3.4	Osifavemo'a a'mofonkura amanage hu'ne, tanagra ofrigaha'e. 
GEN.3.5	Na'ankure Anumzamo'a keno antahino hu'neankino nesna'ana tanavumo'a hari hina Agri kna hutna antahi antahi tani'amofona eriama hanigetna, knare zanki havi zanki hutna kegaha'e. 
GEN.3.6	Hanki a'mo ana zafa rgama keana nezama ne'amo'a knare higeno, avuma keazamo enena knare hu'neankino, avesizamo'a ana zafa rga'ama mago'mo'ma nesniana knare antahi antahiza erigahie. Hanki ana zafa rga tagino neneno, neve ene mani'negukino amigeno ne'ne. 
GEN.3.7	Netake'no znavumo'a hari hige'ne znavufga znavapa mani'nene, znagazegu nehune zafa (fik) anina anakike kena masina'e.
GEN.3.8	Kinaga zasi antegeno Anumzamo hozafi ne'egeno agasasanke nentahi'ne hozafi zafa asoka fraki'ne mni'na'e. 
GEN.3.9	Anumzamo'a kezatino vemofonku, iga mni'nane? huno higeno, 
GEN.3.10	Hozafi neanke'na kagasasanke nentahi'ne, na'ankure navufga navapa mani'nena koro hu'na fraki'noe. 
GEN.3.11	Ra Anumzamo huno, iza hugantegenka kavufga kvapara mani'nane? Nagrama ono hu'noa zafa rga'a taginka ne'nampi? 
GEN.3.12	Higeno vemo'a huno Kagrama nami'nana a'mo ana zafa rga tagino neneno namige'na ne'noe. 
GEN.3.13	Anante Ra Anumzamo ana a'ku huno, kagra e'izana naza hu'nane? Huno antahigegeno a'mo kenona hu'no, osifavemo renavatga hige'na tagi'na ne'noe. 
GEN.3.14	Anumzamo amanage huno osifavemofo asmi'ne,
GEN.3.14	Osifavemoka e'inama hana nona'a kumate afu'ene, trampi zgagfane mani'nafinti tusi (kes) hugantoe. Kagra zamageterenka rankna erinka kasguregati vano nehunka, kugusopa nenenka mika zupa manigahane.
GEN.3.15	Nagra kagrira kazeri'na a'mofo ha' vahe'a antesugeno, a'mo kagri ha' vahe manigahie. Hanigena Nagra tanagigomokizmi amunopina ha'za antesugeno a'mo ksentesia mofavremo kaseni reproro vazina, kagra agamerumpafi amprigahane.
GEN.3.16	A'mofonkura amanage hu'ne, Nagra kagrira rama'a kata kamisugenka, ana katafi maninenka mofavrea ksentegahane. Ana nehunka negave avesintenka kva huntegahue hunka hnananagi, agra kagri kegva krigantegahie.
GEN.3.17	Hianagi Adamuna amanage huno asmi'ne, a'kamofo ke antahinka Nagrama kase huganteno'a zafa rga ne'nanku mopamofo
GEN.3.17	tusi huntoe, kata negrinkenka maka zupa hozaka'a enerisankeno nezanka'a fore hinkenka negahane.
GEN.3.18	Hozafina ne'zana ave'ave zane agaso tra'zamo mopafi fore huno refinetena nezana anampinti erinka negahane.
GEN.3.19	Kavugosafinti kamunasisi hute'sigenka nezanka'a erinka negahane. Ana hume vunka kugusopare tro hugante'nogu ete mopafi ufregahane.
GEN.3.20	Ana nemo'a nenaro agi'a Ivi'e 
GEN.3.21	Hanki Ra Anumzamo'a zgagfa akru'a tavrofeno Adane, Ivigizni kukena masizanante'ne. 
GEN.3.22	Ra Anumzamo amanage hu'ne, ama ne'mo'a tagri kna huno knare zane havi zanena hago antahi'ne. E'igu manivava hu'mofo zafa rga'a mago'ene tagino nesnuno'a manivava hu'zanku, 
GEN.3.23	Ra Anumzamo'a Ideni hozafintira huntegeno fegi'a agri'ma tro hu'nea mopare, hoza erizama erisnigu huntegeno vu'ne. 
GEN.3.24	Anumzamo ana ne'ma Ideni hozafinti ahenatigeno vigeno'a, zge hnatitega hanvenentike ankero zgane tevenefa tagivazu nehia bainati kazimo kagigagi nehuno ana manivava zafa mofona kegva hu'naze.
GEN.4.1	Adamu'a Ivi ene mse'geno amu'ene huno ne'mofavre Keni ksenteno, Anumzamo naza hige'na ne'mofavre erifore hue, hu'ne. 
GEN.4.2	Anante Ivi'a negna Abel ksente'ne, ana nemo'a ra huno sipisipi afute kva higeno, Keni'a mopafi eri'za erino hoza anteno kva hu'ne. 
GEN.4.3	Mago'agna hunte'nere egeno Keni'a, Ra Anumzamofo ofa hunteku hoza'afinti ne'za erino e'ne. 
GEN.4.4	Ana higeno Abel sipisipi'afinti agusa hunte'nea afutamimpinti mago'a agonesa afu aheno eme kre sramna vuntegeno, Ra Anumzamo negeno Abel antahi so'e hunte'ne. 
GEN.4.5	Hianagi Keni'ma ofa hunte'neaza keteno Ra Anumzamo'a antahi haviza higeno Kenina asi vazigeno avugosa rugririne. 
GEN.4.6	Ana higeno Ra Anumzamo negeno Keninku amanage hu'ne, nahigenka krimpagna nehunka kavugosareti arune gririne? 
GEN.4.7	Hianagi kagra'ma knare'za hnanke'na, Nagra muse hugantegahue. Hanki kagrama havizama hnankeno'a, kumimo'a kazeri kagaterega hianagi kagra hankavetinka mani'nenka kumira azeri agatero.
GEN.4.8	Keni'a nagana'amofo Abelinku hofa trampi vanu'e huno agi higene vuna'e, ana hofa trampi umanineke Keni'a nagna'amofo Abelina ahe fri'ne. 
GEN.4.9	Henka'a Anumzamo Keni antahigene, negagna Abeli'a inantega manine? Nagra onke'noe, nagra nagnanimofo kva hunte ne' maninofi? 
GEN.4.10	Hianagi Ra Anumzamo amanage hu'ne, kagra na'a hu'nane? Nagnakamofo koramo'a mopafi tagi ramineno nagritega krafa hunenamie. 
GEN.4.11	Ana hanku Nagra ama mopane kagri'enena sifna nehoe. Nagna kamofoma kzampinti ahe'nana koramo'a mopafi tagiramigeno mopamo ne'ne. 
GEN.4.12	Hagi mopafima hozama ante'snana hozamo'a hikzake hugahie. Ana nehina nonka'a omnena mopafi kanke kanke hugahane. 
GEN.4.13	Keni'a amanage huno Ra Anumza'mofonku kenona hu'ne, nagri'ma hunantana kemo'a tusi'a kna navesie! 
GEN.4.14	Kma antahio! Kagra ama mopafinti nagrira meni nazeri natranankina, kagri kavurera ohanitigahue. Nagrira noni'a omne'neankina ama mopafi kanke kanke neha'nena aza'o nagesuno'a nahe frigahie. 
GEN.4.15	Higeno Ra Anumzamo'a kenona'a asmi'ne, kagri'ma kahesimo'a ana nona'a 7ni'a (7) zupa kna'zana agetereno erigahie. Vahe'mo'ma ohesnigu Kenina mago avame'za agofetu antente'ne. 
GEN.4.16	Ana higeno Ra Anumzamofo avatetira Keni'a atreno Ideni hozamofo zge hanati kaziga vuno, Nodi mopare umani'ne. 
GEN.4.17	Keni'a nenaro'ene masegeno amu'ene huno ne'mofavre ksenteno, agi'a Enoku'e huno ante'ne. Anteteno rankuma erifore huno kiteno ana kumamofo agi'a Enoku'e huno mofavre'a agire asamre'ne. 
GEN.4.18	Enoku mofavre agi'a Iradi'e, Iradi'a Mehuzaeli nafa'aza hu'ne. Hagi Mehuzaeli'a Metusael nafa'aza higeno, Metusaeli'a Lemeki nafa'aza hu'ne. 
GEN.4.19	Lemeki'a a' tare hu'ne, Pusa a'mofo agi'a Ada'e, mago a'mofo agi'a Zila'e. 
GEN.4.20	Ada'a ne'mofavre ksenteno agi'a Jabali'e huno ante'ne, fugagi no ki'za nemse'za afu kva nehaza vahe'mokizmi zamageho'e. 
GEN.4.21	Hagi ngana'amofo agi'a Jubali'e. Jubali'a ese agafa huno nofite zvena (harp) nehaza naga'mokizmi nezmageho'e. 
GEN.4.22	Hanki Zila'a Tubalkein ksente'ne, agra aenima, kopama tevefi krezafino amasagino eri'za tunkno tro nehia nere. Tubalkeini nesaro agi'a Nama'e.
GEN.4.23	Mago zupa Lemeki'a nenaro kiznigura amanage huno znasmi'ne,
GEN.4.23	Adagane Zilagta'a kma antahi'o, mago nehza ne'mo kuzafa nahege'na, agrira ete ahe fri'noe.
GEN.4.24	Mago ne'mo'ma, Kenima eme ahesuno'a, 7ni'a knazana eri agofetu huno erigahie. Hianagi tmage nagri'ma Lemeki'nama eme nahesnuno'a, 77ni'a knazana agofetu huno nona'a erigahie.
GEN.4.25	Adamu'a nenaro'ene msegeno ne' mofavre ksenteno amanage hu'ne, Keni'ma, Abelima ahe'a nona'a Anumzamo'a namie, huno nehuno ana agafare agi'a Seti'e huno antemi'ne. 
GEN.4.26	Henka'a Setina ne'mofavre fore humigeno agi'a Enosi'e huno antemi'ne. Ana knafi vahemo'za erigafa hu'za Ra Anumzamofo agihanta nevaziza, Agrite mono hunte'naze.
GEN.5.1	Adamu naga nofipinti fore hu'naza naneke amanahu hu'ne. Anumzamo'ma vahe'ma trohu'neana, Agra'agna huno trohu'ne. 
GEN.5.2	Agra vene, a'ene tro huznante'ne. Ana nehuno asomu huzmanteno, vahere huno hu'ne. 
GEN.5.3	Adamu'a 130ti'a zgegfu manino agra avugosagna ne'mofavre ksenteno, agi'a Seti'e hu'ne. 
GEN.5.4	Ananteti ne' mofara hakare'a kse zamanteteno 800ti'a zgegfu agatereno mani'ne. 
GEN.5.5	Ana maka zgegfu Adamu mani'neana 930ti'a zgegfu maniteno fri'ne.
GEN.5.6	Hagi Setima 105fu'a zgegfu maniteno ne' mofavre anteno agi'a Enosi'e huno antemi'ne. 
GEN.5.7	Seti'a Enosi ksenteteno ananteti ne'mofa hakare kse zamanteno 807ni'a zgegfu mani'ne. 
GEN.5.8	Ana maka zgegfu'a 912fu'a zgegfu maniteno Seti'a fri'ne.
GEN.5.9	Enosi 90ti'a zgegfu maniteno ne' mofavre ksenteno agi'a Kenani'e huno antemi'ne. 
GEN.5.10	Kenanima ksenteteno'a Enosi'a 815ni'a zgegfu manineno hakare ne'mofa kse zamante'ne. 
GEN.5.11	Enosi'a 905fu'a zgegfu maniteno fri'ne.
GEN.5.12	Kenani'a 70ti'a zgegfu maniteno ne' mofavre ksenteno Mahalari'e huno agi'a antemi'ne. 
GEN.5.13	Mahalari ksenteteno Kenani'a 840ti'a zgegfu manino, ne'mofa hakare'a kse zamante'ne. 
GEN.5.14	Kenani'a 910ni'a zgegfu maniteno fri'ne.
GEN.5.15	Mahalari'a 65fu'a zgegfu maniteno ne' mofavre anteno agi'a Jareti'e huno antemi'ne. 
GEN.5.16	Jaretima ksenteteno, Mahalari'a 830ti'a zgegfu manino mago'a ne'mofara ksezmante'ne. 
GEN.5.17	Hanki Mahalari'a 895fu'a zgegfu maniteno fri'ne.
GEN.5.18	Jareti'a 162tu'a zgegfu maniteno ne' anteno agi'a Enoku'e huno antemi'ne. 
GEN.5.19	Enoku'ma ksenteteno Jareti'a 800ti'a zgegfu mani'neno ne' mofara ksezmante'ne. 
GEN.5.20	Jareti'a' 962tu'a zgegfu maniteno fri'ne.
GEN.5.21	Enoku'a 65fu'a zgegfu maniteno ne' mofavre Metusera ksente'ne. 
GEN.5.22	Ananteti Metuserama ksenteteno'a Enoku'a 300ti'a zgegfufina knare huno Anumzane tragoteno mani'neno ne' mofara kse zamante'ne. 
GEN.5.23	Hagi ana maka 365fu'a zgegfu Enoku'a mani'ne. 
GEN.5.24	Enoku Anumzane tragoteno mani'negu, Anumzamo avre'ne. 
GEN.5.25	Metusera'a 187ni'a zgegfu maniteno ne'mofavre Lemeki ksente'ne. 
GEN.5.26	Lemekima ksenteteno'a, Metusera'a mago'ane 782tu'a zgegfu nemnino ne'mofara hakare kse zamante'ne. 
GEN.5.27	Hagi Metuserama manino'ma e'nea kna'a, 969ni'a zgegfu huteno fri'ne.
GEN.5.28	Lemeki'a 182tu'a zgegfu nehuno ne' mofavre ksente'ne. 
GEN.5.29	Lemeki'a agi'a Noa'e huno antemi'ne. Ra Anumzamo mopamofo tusi hunte'negeta tusi'a eri'za erita nevunkeno tagri taza hanigu ana mofavre agi'a mani fruhu nere nehuno, zamagra kefina Noa'e huno antemi'ne. 
GEN.5.30	Hanki Noama ksenteteno'a Lemeki'a 595fu'a zgegfu maniteno mago'ane ne' mofara ksezmante'ne. 
GEN.5.31	Lemeki'a ana maka kna'a, 777ni'a zgegfu maniteno fri'ne.
GEN.5.32	Noa'a 500ti'a zgegfu maniteno ne'mofavre tagufa zamanteno zamagi'a Semi'e, Hamu'e, Jafeti'e huno zamante'ne.
GEN.6.1	Veamo'za ama mopafi vahe kse hakare nehzageno, knare'nare mofa'ne fore huzmi'ne. 
GEN.6.2	Hanki vahe'mo'ma mofa'ne ksentea mofanezga, Anumzamofo mofavre naga'mo'za ke zamasane hu'za zamesia a'ne eri'naze. 
GEN.6.3	Ana hianagi Ra Anumzamo amanage hu'ne, vahe'mofompina Avamunimo'a zamagra'nena manivava osugahie. Na'ankure vahera fri'zga mani'naze. Hanki zgegfuma mani'zama vgamaresazana, 120ti'a zgegfu manigahaze. 
GEN.6.4	Ana knafine henka'anena tusinasi vahe'mo'za ama mopafina mani'nazankino, Anumzamofo mofavremo'za e'za vahe'mokizmi mofane zgane emsageno mofavre ksezmante'naze. Hankiza fore'ma hzana korapa knafina hankavenentake hihamu'ane vahe fore hu'naze.
GEN.6.5	Hianagi Ra Anumzamo vahe'mokizmima zamage'neana, mika kna havi avu'avazamo ama mopafina ra huno vahe'mofo antahi antahifina, havi avu ava'zamo aviteno meno vu'ne. 
GEN.6.6	E'ina nehzageno Anumzamo nezmageno rimpa haviza higeno, muse osu'ne. Nahige'na vahera trohu'noe huno asunke nehuno, 
GEN.6.7	hagi Ra Anumzamo'a amanage hu'ne, vahe'ene, zgagfane, nmane, mopafi ne'onse zgarmi'ne zamahe fanane hugahue. Nagra tro'ma huzmante'noa zankura nasunku hue. 
GEN.6.8	Ana hu'neanagi Noa'a agrake Ra Anumzamofo avurera fatgo nera mani'negeno muse hunte'ne.
GEN.6.9	Noa nagamofo naneke amanahu me'ne. Ana knafi mani'naza vahepina Noa'a fatgo huno hazenke'zama'a omne'ne Anumzane tragoteno mani'neno amage anteno vu'ne. 
GEN.6.10	Noa'a ne' mofavre tagufa zamanteno zamagi'a Semi'e, Hamu'e, Jafeti'e huno antezmi'ne.
GEN.6.11	Ama mopamo'a Anumzamofo avurera haviza hu'ne, ha' zamo'ene, kefo avu'avazamo enena avite'ne. 
GEN.6.12	Anumzamo'ma ama mopafima ke'neana, tmage huno makazamo'a haviza hu'ne, ama mopafi me'neazama keana kumike'za huvare'naze. 
GEN.6.13	Hagi Anumzamo, Noana asmi'ne, ke ontahizageno kefo zamo'a aviteankina zamagri'ene mopazimine zamahe fanane huku Nagra nagesa nentahue. 
GEN.6.14	Hagi kagra hnave zafareti vente'a
GEN.6.15	Ana ventema kisanana, zanra'a 130 mitagi, kahesa'a 22 mitagi, atrure'a 13 mitagi hunka neginka, 
GEN.6.16	anagamu no amumpa tvaonte mago mitamofona agema'a (1/2) mita zasika hagento. Magokaziga kaha hagentenka, ana ventemofo agu'afina ese nonki, anante nonki, agofetu nonki hunka kio.
GEN.6.17	Hagi Nagra ke ha'nenkeno tusi'a ti hageno mopa refitena mani'ne'za zamasimu nentaza zane, mafka'zanena zamahe fanane hugahue. 
GEN.6.18	Hu'neanagi kagrane hagerfinogu huvempa hu'na negasmue. Kagrane a'mofavre ka'ane knoferahe'zane tamagra maka ventefi mrerigahaze. 
GEN.6.19	Hagi rumofo rumofo zgagfama mani'nafintira vene, a'ene zamaretere huge'za kahefa hu'za mani'sagu ventefi mreriho. 
GEN.6.20	Zgagfama nma, rumofo rumofo kumate zgane, mopafi ne'onse zgarmine, vene a'ene ksefa hu'za manisnagu kagrite egahaze. 
GEN.6.21	Ana nehunka aru ne'za aru ne'zana, tamagrane zgagfanema nesazazana erinka eme eritru huo. 
GEN.6.22	Higeno Anumzamo asmi'neaza huno Noa'a maka'zana tro hu'ne.
GEN.7.1	Ra Anumzamo Noanku anage huno asmine, mopafi menima mani'nafintira kagrake fatgo nera mani'nanke'na negagoe. E'igu kagrane nagaka'anena ventefi mreriho. 
GEN.7.2	Avima hanagu avusese zgafintira 7ni'a arvere arvere avrentetere huo. Ana nehunka avusese osu zgagfafintira magoke arve avrentetere huo. 
GEN.7.3	Ana nehunka avima hanagu nma 7ni'a arvere arvere avrentetere huo. 
GEN.7.4	Na'ankure 7ni'a zge manite'na Nagra ke ha'nenkeno ko' rugahie. 40ti'a zgene hanine ko' nerinke'na Nagrama mopafima trohu zamante'noazana maka zamahe fnane hugahue. 
GEN.7.5	Higeno Anumzamo asmi'neaza huno Noa'a mika'zana hu'ne.
GEN.7.6	Ana knafi Noa'a 600ti'a zgegfu mani'tegeno mopafina timo'a ahe refitene. 
GEN.7.7	Ko' runaku nehige'za Noa'ene nenaro'ene mofavre zga'ane anoferhe'zane ventefi mreri'naze. 
GEN.7.8+GEN.7.9	Hagi ne'zga, one'zga, nmane, vene a'ene Anumzamo ke hu'neaza hu'za Noa ventefi ufre'naze. 
GEN.7.10	Ana hu'za ufre'za 7ni'a zge mani'tageno ko' erigafa huno ti hageno refite'ne.
GEN.7.11	Noa'a 600ti'a zgegfu mani'geno 2 ikana 17tini zupa ana gnare,
GEN.7.11	mopa agusafinti tusi'a ti hage'ne.
GEN.7.11	Tusi'a ko' ruvava huno
GEN.7.11	havi avufgafinti hatihati huno
GEN.7.11	tusi'a ti hage'ne.
GEN.7.12	Ana nehuno zgene, hanine 40ti'a knafi ruose ko' ruvava huno vu'ne. 
GEN.7.13	Noa'ma ventefi mreria zupa, mofavre naga'a Semiki, Hamuki, Jafeti'ma a'ne zamima nezmarerama hu'za mreri'naze. 
GEN.7.14	Trampi zgagfane, kumate zgagfane, nmane, rumofo rumofo mopafi ne'onse zgarminena, vene a'ene tragote'za Noante etere hu'za ventefi ufre'naze. 
GEN.7.15	Arvere arvere zamasimu nentaza zgagfamo'za ana maka Noante e'za ventefi ufre'naze. 
GEN.7.16	Anante Anumzamo ke hu'neaza huno arvere arvere mika ufre varetageno Ra Anumzamo kafana erigi zamante'ne.
GEN.7.17	Ra ko'ma ru'neana zgene hanine 40ti'a knafi kora ruvava huno tusi'a ti hageno ana ventea mopafinti erisga huno mreri'ne. 
GEN.7.18	Ana nehuno timo reviteno mrenerino mopa refitegeno ventemo timofo agofetu vano hu'ne. 
GEN.7.19	Hagi timo mago'ene hageno mrerino osi agonane, zaza agonanena mika erinakri vare'ne. 
GEN.7.20	Hagi timo'a mago'ene mreri aviteno mika mopane mreri agtere'nea agonane 7ni'a mita aru agtereno refite'ne. 
GEN.7.21	Mopafi mani'nea zgarmine, nontega zgagfane, trampi zgagfane, nmane, ne'onse zgarmine, vahe'ene, vanoma nehia zgarminena zamahe fri vare'ne. 
GEN.7.22	Hgage mopafi zamasimu eri'za mani'naza zgagfa, maka fri hana hu'naze. 
GEN.7.23	Ra Anumzamo vahe'ene, ne'onse zgarmine, nmane, zgagfanena zamahe fanane hige'za omnitfa hu'naze. Higeno Noa'ene ventefi mani'namo'za zamagrake ksefa hu'za mani'naze. 
GEN.7.24	150ti'a zgegnafi timo'a mopa refite'ne.
