MAT.1.1	Ho’oy tulurn empo de Mori Yésus Kristus, wa’u di Daud, wa’u di Abraham. 
MAT.2.20	“To’o ga, dadé Anak hitu agu endén agu ngom ga nggeroné tana Israél, ai isé siot kudut mbelé Anak hitu, polis matad.” 
MAT.2.21	Itug kali to’on hi Yosép, dadég liha Anak hitu agu endén agu kolé nggeroné tana Israél. 
MAT.2.22	Maik du poli dengén liha, hi Arkhélaus ciri raja oné tana Yudéa te célung lonto de eman hi Hérodés, rantang hia te kolé nituy. Landing le toing oné nipin itu tara ngon hi Yosép oné tana Galiléa. 
MAT.2.23	Du cain nitu, hia ka’éng oné ca bendar, ngasangn, Nazarét. Sanggéd situ kudut rapak reweng de Mori Keraéng ata poli caing néténg nabi, ai kudut caron Hia: Ata Nazaréty.
MAT.3.1	Du hitu tuan hi Yohanés te téing Cebong oné satar mambak Yudéa agu kréban: 
MAT.3.2	“Tesérm ga, ai adak Surga ruis gi!” 
MAT.3.3	Ata tu’ungn, Hia dé hiot bet du tombo le nabi Yésaya:
MAT.3.3	“Manga reweng ata kepok oné satar mambak:
MAT.3.3	Arong koé salang latang te Mori Keraéng,
MAT.3.3	pandé helek koé salang latang te Hia.”
MAT.3.4	Hi Yohanés paké baju léwé oné mai wulu unta, agu kantengn oné mai luit, hangn pusu agu waé wani. 
MAT.3.5	Og mai oné hia taungs lawa Yérusalém, lawa Yudéa, agu lawa baling main tana Yordan. 
MAT.3.6	Cang agu tura ndékokd, isé cebongs li Yohanés oné waé Yordan.
MAT.3.7	Maik du itad liha ata Parisi agu ata Saduki kudut te cebong, mai taé diha ngong isé: “Oé méut waé de ular rani, céing kéta ata taé agu méu, te ngancéng losi oné mai copél ata kudut cai? 
MAT.3.8	Jari, cir koé wua ata kopn lorong agu tesérs. 
MAT.3.9	Agu néka bet le méu te ngancéng taé oné nais: hi Abraham dé empo dami. Landing aku taé agu méu: Mori Keraéng ngancéng dédék te ciri anaks latang te Abraham oné mai watu-watu so’o! 
MAT.3.10	Polig ambin cola lobo waké haju, agu néténg haju ata toé manga cir wua ata di’an, toét toé wését agu longgo oné api taungs. 
MAT.3.11	Aku cebong méu le waé te tanda tesér, maik Hia ata mai bemusi mai aku, ata céwé mésé kuasan oné mai aku, agu toé remog aku te tiwit sepatun. Hia kudut te cebong méu le Nai Nggeluk agu le api. 
MAT.3.12	Doku polig oné limén. Hia kudut pandé nggelong osang te rik agu kudut moi sanggéd gandum nggere-oné joréng, maik embod situ, kudut tapas Liha oné api ata toé ngancéng pesay.”
MAT.3.13	Poli hitu, og main Mori Yésus oné mai Galiléa nggeroné Yordan, kamping hi Yohanés Cebong lihay. 
MAT.3.14	Maik hi Yohanés damang te ré’ing Hia, mai taén: “Aku kali ata kopn te cebong Lité, landing Ite kolé ata mai kamping aku?” 
MAT.3.15	Mai wantil de Mori Yésus agu hia, taén: “Kong jarid sanggéd situ, ai nenggitu muing ata kopn lité kudut rapak sanggéd ngoéng de Mori Keraéng,” lorong kaut Hia li Yohanés. 
MAT.3.16	Du polig cebongn, Mori Yésus hidi-hada pé’ang oné mai waé, rémé nggitun, cengka awang, agu ita liha Nai Nggeluk wa’u ného tekur jawa lobo Hiay, 
MAT.3.17	mai nitu main dengég reweng éta mai Surga, nenggo’o taén: “Ho’o dé Anak ata cembes Daku, Hia kéta dé ata kopn Laku.”
MAT.4.1	Mai nitu main, og dadén Mori Yésus le Nai Nggeluk nggere-éta satar mambak kudut kapang le jing da’aty. 
MAT.4.2	Du poli puasan patmpulu leso agu patmpulu wié darem néng Mori Yésus. 
MAT.4.3	Itug kali main jing da’at hitut damang Hia, mai taén ngong Hia: “Émé Anak de Mori Keraéng Hau, jeras dé le Hau watu-watu so’o te ciri roti.” 
MAT.4.4	Mai wantil de Mori Yésus: “Manga tulisn: Mosé data manusia toé le roti kanang, maik oné mai néténg reweng ata losa oné mai mu’u de Mori Keraéng.”
MAT.4.5	Poli hitu jing da’at dadé Hia nggere-oné béndar Nggeluk agu peher Hia éta bubung Mbaru de Mori Keraéng, 
MAT.4.6	mai taén agu Hia: “Émé Anak de Mori Keraéng Hau, tekuh dé nggere-wa, ai manga poli tulisn latang te Hau, kudut préntas Liha malékat-malékat te séndé lisé rantang timpok wa’im le watu.” 
MAT.4.7	Mai taé de Mori Yésus agu hia: “Manga kolé poli tulis: hau néka damang Mori Keraéngm!” 
MAT.4.8	Dadé kolé le jing da’at hitu nggeréta poco hiot langkas kétay agu toi oné Hias sanggéd rajad lino siot angosn kéta, 
MAT.4.9	agu mai taén ngong Hia: “Sanggén taung situ téing Haus laku, émé io agu suju aku le Hau.” 
MAT.4.10	Mai taé de Mori Yésus ngong hia: “Ngoh ga, hau jing da’at! Ai manga poli tulisn: Hau paka io agu suju Mori Keraéngm agu hanang Hia kali ata patun te hiang!” 
MAT.4.11	Itu kali jing da’at pencang Hia, itas néng ga mai malékat-malékat te gatang Mori Yésus.
MAT.4.12	Du dengén le Mori Yésus poli dekon hi Yohanés, itug kali ngon Hia oné Galiléa. 
MAT.4.13	Ledong Liha béo Nasarét agu ka’éng oné Kapérnaum, oné lupi sano tana Zébulon agu Naftali, 
MAT.4.14	ai kudut rapakn reweng ata poli pedeng de nabi Yésaya:
MAT.4.15	“Tana Zébulon agu tana Naftali, salang nggeroné tacik, tana besina mai waé Yordan, Galiléa, tana de uku-uku bana,
MAT.4.16	uku ata sedep oné nendep itag lisé gérak mésé agu latang te isé siot kumbu le susa polig téa le gérak.”
MAT.4.17	Pu’ung du hitu wéwa le Mori Yésus: “Teserm ga, ai Adak de Surga ruis gi!”
MAT.4.18	Agu du Mori Yésus rémé lakon loléng sano Galiléa itas Liha sua taus asé-ka’és hi Simon ata bénta hi Pétrus agu hi Andréas asén. Isé rémé oké ndalad oné sano, ai isé situ ata ndala ikangs. 
MAT.4.19	Mai curup de Mori Yésus agu isé: “Mai é, lut akum, kudut méu ciri ndala manusia laingm laku.” 
MAT.4.20	Itus kali pencang wad kaut ndala, agu lut Hias. 
MAT.4.21	Du kolén Mori Yésus nitu main, ita kolé Liha sua taus asé-ka’és hi Yakobus anak di Zébédéus agu hi Yohanés asén, agu emad hi Zébédéus rémé besik ndalad oné wangka, itus kali bénta le Mori Yésus. 
MAT.4.22	Toé rémpé-rémpé pencang wa kaut wangka agu emad, ngo lut Hias.
MAT.4.23	Mori Yésus lako léok Galiléa; oné mbaru-mbaru ngaji, nitus Liha toing agu ba kréba di’a de Adak Surga, pandé moras sanggéd beti agu ata lema-léngkus ba wekid oné uku situ. 
MAT.4.24	Wéron ngasang Diha labok tana Siria, dadé néng lisé nggeroné Hia sanggén ata so’ot riwi-rowos, ata so’ot beti da’at, ata iling le jing da’at, ata beti le ru’u mona, agu ata péko, mai Mori Yésus pandé ina taungs. 
MAT.4.25	Londang taungs ata te lut Hia. Isé mai oné mai Galiléa, Dékapolis, Yérusalém, agu oné mai Yudéa agu besina mai Yordan.
MAT.5.1	Woko itas ata do situ le Mori Yésus, itu kali ngon Hia nggeréta golo, lonto wa kaut Hia, caisg ata nungkun. 
MAT.5.2	Itug kali pu’ung curupn agu toing iséy Mori Yésus, taén:
MAT.5.3	“Mosé di’a kéta ata lénggé oné ranga de Mori Keraéng,
MAT.5.3	ai disé morin Adak Surga.
MAT.5.4	Mosé di’a kéta ata wéong nai,
MAT.5.4	ai isé te tiba lémbus.
MAT.5.5	Mosé di’a kéta ata lembés,
MAT.5.5	ai disé morin lino ho’o.
MAT.5.6	Mosé di’a kétas ata dolong molor,
MAT.5.6	ai isé te tiba nulas.
MAT.5.7	Mosé di’a kétas ata gawas nai,
MAT.5.7	ai isé te tiba delék lembaks.
MAT.5.8	Mosé di’a kétas ata nggélok nai,
MAT.5.8	ai isé te ita Mori Keraéngs.
MAT.5.9	Mosé di’a kétas ata ba hambor,
MAT.5.9	ai isé te caro latas anak de Mori Keraéngs.
MAT.5.10	Mosé di’a kétas ata luca lata landing le molorn,
MAT.5.10	ai diséy morin Adak Surga.
MAT.5.11	Mosé di’a kéta méu émé landing Akum méu mbécik agu luca latam, agu oné méu taungs sanggéd pocu ata da’atd.
MAT.5.12	Naka agu nisang ga, ai mésén lahém éta Surga, ai nenggitu kolés poli lucad sanggéd nabi bebolon mai méu.”
MAT.5.13	“Méu ho’o dé ci’é dé lino. Émé ciri lembay ci’é hitu, le pai di pandé cerakn? Toég manga kolé betuan, aikn te oké agu wedi latay.
MAT.5.14	Méu dé gérak de lino, béndar ata hesé éta pocoy, toé kong panggun. 
MAT.5.15	Nenggitu kolé néng ata toé tutung culun poli hitu na’a wa mai gumbang, maik pésék éta mai lobo tongka culu, wiga gérak taung ata oné mbaru hitu. 
MAT.5.16	Nenggitu kolé gerak de méu, néray olo mai ranga data, kudut itas lisé pandé di’a de méu agu bong ngasang Emam hitu éta Surga.”
MAT.5.17	“Néka nggo’o nuk de méu, mai Daku kudut té pandé moras Adak Taurat ko Surak de nabi-nabi. Mai Daku toé kudut te pandé moras, maik te pandé jepeks. 
MAT.5.18	Landing taé Daku agu méu, ata tu’ungn rémé toéd moran awang agu lino ho’o, koném te ca wuku miténgn kaut toé ngancéng moran oné mai Adak Taurat, du toéd jari taung situ. 
MAT.5.19	Landing hitu céing ata pandé mora Adak Taurat koném can agu ata dai koén, agu nenggitu koléy toing liha agu ata bana, hia hitu lonto comong wa kétay oné osang Surga. Maik céing ata pandés agu toing sanggéd Adak Taurat hia hitu te lonto comong étay oné Surga. 
MAT.5.20	Itup taé Daku agu méu: émé toé pandés le méu apa ata ngoéng de Morin céwé oné mai isét pecing Taurat agu sanggéd ata Parisi, moron tu’ung, méu toé ngancéng ocok nggeroné Surga.
MAT.5.21	Poli dengén le méu siot curup agu empo dité: néka paki ata, céing ata paki atay paka na’a oné buy. 
MAT.5.22	Maik Aku taé agu méu: Céing kaut ata rabo agu asé-ka’én, paka wahéng: Céing ata taé bapa béngot! ngong asé-ka’én paka ba oné ranga de Adak Agamay, agu céing ata taé: kafir! Paka oké oné api nerakay ata ganggor kin dilan.
MAT.5.23	Landing hitu émé téing takungh éta lobo compang agu rémé nggitun, nuk le hau te manga kin beti nai de asé-ka’ém latang te hau, 
MAT.5.24	ledo di takung hitu éta lobo compang olong ngo hambor di agu asé ka’ém, poli hitu itu po ngo kolé téing takung hitu.
MAT.5.25	Komét koém hambors agu ata balim rémé lako camas oné salang, kudut ata bali hitu toé condo hau oné adak, agu adak situ te téing hau oné isét wa’i limén agu hau lisé na’a oné bui. 
MAT.5.26	Aku taé agu méu: Moro matan, hau toé ngancéng pé’ang nitu main émé toé di bajar taung raungm.
MAT.5.27	Polig dengén le méu reweng: Néka loma. 
MAT.5.28	Maik Aku taé agu méu: Céing kaut ata lélo iné-wai agu humér kin nain, te ngoéng iné-wai hitu polig loman liha oné nain. 
MAT.5.29	Itu tara émé mata wanangm te pandé calang laing hau, nggé’i agu okéy hitu, ai céwé di’an latang te hau émé mora can oné mai wekim, itu po déméng weki mongkos péncar nggerwa neraka. 
MAT.5.30	Agu émé limé wanang te calang laing hau ndapu agu okéy, ai ata di’an latang te hau, émé mora can oné mai wekim itu po oké déméng mongkos wekim nggerewa neraka.
MAT.5.31	Poli kolég de wéwan: céing ata céar winan, paka téing surat céar agu hia. 
MAT.5.32	Maik aku taé agu méu: céing ata céar winan, aikn émé le loma latay, hia te pandé loma winan; agu céing ata hitut kawing agu inéwai hiot poli céarn, hia pandé lomay.
MAT.5.33	Poli kolép dengén le méu apa ata curup agu empo dité: néka wada nggopét, maik cau koé wada oné ranga de Mori Keraéng. 
MAT.5.34	Maik Aku taé agu méu: Néka kaut manga ngasang wada, koném le ngasang de awang, ai awang hitu kedéra de Mori Keraéng. 
MAT.5.35	Nggitu kolé le ngasang de lino, ai lino baté menggin wa’iN, ko le ngasang de Yérusalém, ai Yérusalém béndar de Raja Mésé. 
MAT.5.36	Néka kolé wada le ngasang de ulum, ai hau toé manga kuasam te pandé bakok ko pandé miténg, koném ca lawar wukm. 
MAT.5.37	Ngetuk kautm, paci éng, ngéngur kautm paci toé. Émé labi nitu main de jing da’at morin hitu.
MAT.5.38	Poli dengén le méu gejék: Mata lesing le mata, agu ngis lesing le ngis. 
MAT.5.39	Maik Aku taé agu méu: Néka koléng le méu émé manga ata te pandé da’at agu méu, maik céing kaut ata pak pacu wanangs, tong kolé pacu léos. 
MAT.5.40	Agu latang te ata hiot buang hau soho nanang baju de hauy, téing kolé songkem. 
MAT.5.41	Céing kaut ata duduk hau te lako ca kilo métér tadangn, lako cama agu hia tédéng sua kilo métér. 
MAT.5.42	Téing agu isét mai tegi agu hau, agu néka kémpa ata hitu te célong agu hau.
MAT.5.43	Polip dengén le méu curup: Momang ga haé atas, agu kodo haé balis. 
MAT.5.44	Maik Aku taé agu méu: Momang koé haé balim agu ngaji latang te isé ata pandé kélo méu. 
MAT.5.45	Ai le hitu méu ciri anak de Emas éta Surga, ata pandé par leso latang te ata da’at agu ata di’a agu concang usang latang te ata molor agu ata toé molor. 
MAT.5.46	Émé méu momang ata siot momang méuy, apay di lahén latang te méu? Toé weli ata tegi béa kolé pandé nenggituy? 
MAT.5.47	Agu émé méu téing tabé agu asé-ka’ém kaut, apay weli ata dio-dolokn agu pandé data bana? Toé weli ata toé pecing Mori kolé pandé nenggitus? 
MAT.5.48	Landing hitu, méu paka besik kétam cama ného besik de Emas hitu éta Surga.”
MAT.6.1	“Nuk di’a, néka kéta pandés lut perénta de agamam oné ranga data, kudut pala ita lisé, ai émé nenggitu, méu toé delék lahén oné mai Emas hitut manga éta Surga. 
MAT.6.2	Jari, émé méu téing reco haé atas, néka gégang kéta le méu cama ného pandé data pisik oné mbaru-mbaru ngaji agu oné ciko-ciko kudut palang naring lata. Aku taé agu méu: Moro matan, isé polig tiba lahén. 
MAT.6.3	Maik émé téing recos, néka baé le limé léom, apa hitut pandé le limé wanang. 
MAT.6.4	Porong recom hitu téing céhay kaut, wiga Emam hitu kanang ata itan apa te téing le hau agu téing kolé Liha lahén.”
MAT.6.5	“Agu émé ngaji méu, néka ného ngaji data pisik. Isé ngoéng étan ngajid cang agu heséd oné mbaru-mbaru ngaji agu oné salang mésé, kudut pala ita latas. Aku taé agu méu, moro matan, isé polig manga lahén. 
MAT.6.6	Maik émé ngajim, ngo oné lo’angm, tadu di’a para agu ngaji oné Emam ata ka’éng oné paté cehay. Wiga Emam ata itad situ oné paté ceha, agu téing lahén agu méu.
MAT.6.7	Nenggitu kolé oné ngajim, ketu kaut, néka ndar kéta ného ngaji data siot toé pecing Mori Keraéng. Nuk disé le do go’étn oné ngaji tara sendod. 
MAT.6.8	Jari, méu néka ného isém, ai Emam pecing taung apa ata sékék de méu du toéd tegi le méu agu Hia. 
MAT.6.9	Itu tara ngaji nenggo’o:
MAT.6.9	Ema dami éta Surga,
MAT.6.9	Nggeluk koé ngasang Dité,
MAT.6.10	Cai koé perénta Dité,
MAT.6.10	Jari koé ngoéng Dité
MAT.6.10	Oné lino ného éta Surga.
MAT.6.11	Téing koé ami leso ho’o,
MAT.6.11	Mosé nai te ami ata daingn
MAT.6.12	Agu ampong koé ndékok dami, ného ami ampong ata pandé sala agu ami;
MAT.6.13	néka dadé ami nggeroné damang,
MAT.6.13	Maik tadang koé sanggéd da’at.
MAT.6.13	[Ai Ité Morin perénta agu kuasa agu bong dengkir lén. Amén.]
MAT.6.14	Ai émé ampongs le méu sala data, Emas hitu éta Surga te ampong kolé méuy. 
MAT.6.15	Maik émé toé ampongs le méu sala data, Emas kolé toé ampongs sala de méuy.”
MAT.6.16	“Agu méu émé puasam, néka sango rangas, ného pandé data pisik. Isé caling tarad kudut pala ita lata te isé lari puasad. Aku taé agu méu: moro matan, isé polig tiba lahén. 
MAT.6.17	Maik émé puasa méu, rono di’a ulus agu baki di’a rangas, 
MAT.6.18	kudut néka baé lata te méu lari puasas, maik le Emas kali, hitut manga oné paté cehay. Wiga Emas ata ita taung pandé oné céha situ agu téing lahén agu méu.”
MAT.6.19	“Néka ligots le méu wéang oné lino, oné lino kotos agu ta’i upas te pandé da’at agu ata tako, rongkas agu takos lisé. 
MAT.6.20	Maik ligot le méu paéng de Surga; éta Surga koto agu ta’i upa toé ngancéng te pandé da’ats agu ata tako, toé ngancéng te rongkas agu takos. 
MAT.6.21	Ai nia wan naad wéangm, nitu koléy mangan naim.
MAT.6.22	Mata hitu culu de weki. Émé di’ad matam gérak taung sanggén wekim. 
MAT.6.23	Maik émé da’at matam, nendep taung wekim. Émé néra oné wekim sagém, lengn kéta de tuiln oné nendep hitu.
MAT.6.24	Méu toé ngancéng ciri mendi de sua mori. Ai émé nenggituy jogot dé ho’o ca, ho’o ca ga momangy, ko sundur agu ho’o cengata, ho’o cengata ga toé lélo calay. Méu toé ngancéng lut Mori Keraéng, ngai deming kin wéang.”
MAT.6.25	“Landing hitu Aku taé agu méu: Néka simpung latang te mosém, latang te hang ko inung, néka simpung laing kolé latang te wekim, latang apa te pakés. Toé weli mosé hitu céwé mésén, itu pong hang bara, agu weki céwé mésén, itu pong wéngko weki? 
MAT.6.26	Lélo kaut kaka lélap éta awang toé manga po’ong agu toé manga akod, agu toé manga nongko bokong oné joréngd, maik téing hang kid le Emas éta Surga. Toé weli méu ata céwé mésén kéta, itu po kaka lélap situ? 
MAT.6.27	Céing weli oné mai méun ata soho kaut le simpungn ngancéng tambang cepagat mosén? 
MAT.6.28	Agu co’o tara simpung laing le méu latang te wéngko wekis? Lélo damang wéla wangkung hitut todo oné umay, agu toé ciwal agu bom tiling lawéy, 
MAT.6.29	maik Aku taé agu méu: hi Salomo agu taung bombang boran toé manga paké di’an cama agu can koé oné mai wéla wangkung situ. 
MAT.6.30	Jari, émé nggituy sélék le Morin remang pé’ang uma ata leso ho’os mangad agu diang longgo oné apis, toé weli Hia te sélék méu céwé di’an kéta kolé, oé méut toé danga imbi? 
MAT.6.31	Landing hitu méu néka simpung agu mai taés, apa kétag te hang dami? Apa kétay te inung dami? Le pai kétay wéngko wekigm? 
MAT.6.32	Taung situ kawé le sangged uku siot toé pecing Mori Keraéngs. Maik pecing le Emam hitu éta Surga sanggéd sékék de méu situ. 
MAT.6.33	Maik olong kawé di perénta de Mori Keraéng agu molorn, wiga situt ce dod ata tambang kauts oné méus. 
MAT.6.34	Landing hitu néka simpung le méu latang te leso diang, ai diang manga agu susan. Susa ca leso remo latang te leso ca.”
MAT.7.1	“Méu néka bicar atam, kudut méu néka beté bicar latam. 
MAT.7.2	Ai le tepo hitut papé de méu te tepo ata, méu te tepo latam. Agu wolo de méu hitut papé te wolo ata, te wolo laing méuy. 
MAT.7.3	Co’o tara ngancéng itan le hau lopat oné mata de haé atam, wokot watang oné mata de rum toé baé le hau? 
MAT.7.4	Co’o tara ngancéng taé agu haé atam: kong, laku cokét lopat oné mata de hau, kali manga kin léba oné mata rum. 
MAT.7.5	Oé méut ata pisik, olong na’a pé’ang léba oné mai matam, wiga hau ngancéng ita cias, te na’a pé’ang lopat hitut oné mata de haém.”
MAT.7.6	“Méu néka téing ceca ata nggelukn oné acu, agu néka wéwér tubis oné ela, boto wedi le wa’is lisé, poli hitu ngo cowit méuy.”
MAT.7.7	“Tegi ga, manga kali téin agu méu, kawé ga, manga kali itan le méu, nontong ga, manga kali céngkan para latang te méu. 
MAT.7.8	Ai néténg-néténg ata hitut tegi, manga tiban, agu néténg-néténg ata kawé, manga néng itan, agu atat nontong, céngka de para latang te hia. 
MAT.7.9	Manga dé’it oné mai méu te téing watu latang te anakn, émé hia tegi hang? 
MAT.7.10	Ko téing ulary, émé hia tegi ikang? 
MAT.7.11	Jari, émé méut da’at pecing téing apa ata di’an agu anakn, apan kolé Emas hitu éta Surga! Hia te téing ata di’an oné isét tegi agu Hia.”
MAT.7.12	“Sanggéd apa ata ngoéng laing le méu, te pandé lata agu méu, pandé ga nenggitu kolé latang te isé. Hituy icin sanggéd Adak Taurat agu toing de sanggéd nabi.
MAT.7.13	Ocok ga, lut para hitut kéot, ai mésén para agu ngénggan salang te pandé copél, agu dod atat lut oné salang hituy; 
MAT.7.14	ai kéotn para agu salang nggeroné mosé agu cekoé kali atan te haéngn salang hitu.”
MAT.7.15	“Jerék-jerék agu sanggéd nabi tangké, ata mai cé’é méu, biluk ného jimbals, kali cetu’ungn isé situ serigala da’ats. 
MAT.7.16	Ali wuan le méu tara pecingd isé. Ngancéng weli pua wua anggor oné mai karot gulung, ko wua ara oné mai ndango-rang? 
MAT.7.17	Nenggitu kolé néng, néténg-néténg haju di’a, wuan kolé di’a, agu pu’u haju da’at, wuan kolé da’at. 
MAT.7.18	Toé ngancéng haju di’a, wuan toé di’a, ko haju da’at cir wua dias. 
MAT.7.19	Agu néténg-néténg haju situt cir wua toé di’a, toét-toé wéséts agu oké longgo oné apiy. 
MAT.7.20	Jari, oné mai wuad, tara baéd isé le méu.
MAT.7.21	Toét sanggéd ata so’ot nggo’o taéd ngong Aku: Mori, Mori, te ngo nggeroné mbaru Surgas, maik hia hiot lut ngoéng de Ema Daku éta Surga. 
MAT.7.22	Du leso cemol dod ata taé agu Aku: Mori, Mori, toé weli ami hiot ba pedé le ngasang Ditékm, agu mbér jing da’at le ngasang Ditékm, agu pandé dod tanda lengét le ngasang Dité kolé? 
