MAT.1.1	Man buk me kwari a Yecu Kricito, akwar Daudi, akwar Iburaim. 
MAT.3.11	“An abatijawu kede pii me iŋut wunu, ento tye ŋattoro ame alubo ŋea, en tek kata oko: an mom aromo mako warrere. En bino batijawu kede Cuny Acil, dok kede mac. 
MAT.3.12	Odero mere tye i ciŋe, en bino yiko laro mere aber, bino nyono kallere i dero, ento cuŋe, en bino waŋo oko kede mac a mom to.”
MAT.3.13	Yecu ocako ya oko i Galilaya, obino baŋ Lakana i dog Jordan, me Lakana batija en. 
MAT.3.14	Lakana omito kwero oko, te kobo ni, “Yin a myero ibatija an, yin dok ibino baŋa?” 
MAT.3.15	Yecu te dokke iye ni, “Kur ikwer amanni, pien myero ocob gin atye atir luŋ”; eka Lakana te ye. 
MAT.3.16	A doŋ Yecu obatija, te ya i pii oyotoyot, polo te barre. Oneno Cuny Obaŋa obino calo amam, olyao piny, opoto i kome. 
MAT.3.17	Dwonnoro te ya i polo kun kobo ni, “Man en Woda ame amaro, a yia yom i kome.”
MAT.4.2	En ofi nino pyeraŋwen dyeceŋ kede dyewor kun kanyo kec, icennere kec te neke. 
MAT.4.3	Abit jo te pello, te kobbe ni, “Ka in i Wot Obaŋa, koŋ ikobbi gweŋe magi me lokere dok kwone.” 
MAT.4.4	En te dok iye ni, “Yam ocoo ni,
MAT.4.4	‘Dano mom bino bedo kwo ka i kwon keken,
MAT.4.4	kono ka i kop ducu ame ya i dok Obaŋa!’ ”
MAT.4.5	Catan dok te tere i boma acil, te cibe i wi atenni ot Obaŋa malo, 
MAT.4.6	te kobbe ni, “Ka yin Wot Obaŋa, koŋ iŋoye, irette piny, pien yam daŋ ocoo ni,
MAT.4.6	‘En bino ciko omalaika mere piri’,
MAT.4.6	‘Gin bino joli i ciŋgi,
MAT.4.6	me kur itwom tyeni kede gweŋ.’ ”
MAT.4.8	Catan dok otere i amiddi kidi amalo meicel, te nyutte loc luŋ me wi podo, anaka kede kwogo a tye i yigi, 
MAT.4.9	te kobbe ni, “Magu ducu abino miyi, ka iryebere piny, iwora.” 
MAT.4.10	Yecu te gamo ni, “Jer teŋe, Catan, pien nwaŋ ocoo ni,
MAT.4.10	‘Wor Rwot Obaŋani, iti pi en keken.’ ”
MAT.4.11	Icennere Catan oweke, omalaika obino okonye.
MAT.4.13	te weko Najaret, te wot bedo i Kapernaum, ame tye i dog nam, i lobo Jabulon kede Naputali, 
MAT.4.14	wek kop a nwaŋ obino i dog adwarpiny Icaya cobere kakare, ni,
MAT.4.15	tuŋ nam, loka Jordan, Galilaya me Orok.
MAT.4.16	Rok a yam bedo i piny acol doŋ oneno lero adwoŋ,
MAT.4.16	jo a yam bedo i lobo kede tipo me to,
MAT.4.16	cen doŋ opello i komgi.”
MAT.4.18	Ka Yecu ceŋ tye a be bea i dog nam Galilaya, te neno omego aryo, Cimon ame olwoŋo Petero, kede Anderiya ominnere; otye ka ciko bwo iyi nam, pien ceŋ gin ocik rec. 
MAT.4.19	En te kobbigi ni, “Biye, iluba wunu, abino lokowu ocok jo akaka rec.” 
MAT.4.20	Oyotoyot gin oweko bwoyigi, ote lube.
MAT.4.21	Dok oya i kuno owoto anyim anonok, te neno jo aryo ocele ame gin omego, Yakobo wot a Jebedayo kede Lakana ominnere; otye i yee karacel kede papagi Jebedayo, oropo bwoyigi. En te lwoŋogi; 
MAT.4.22	oyotoyot ote weko yee oko, anaka papagi, ote lube.
MAT.4.24	Rwoŋe olal i lobo Curia luŋ, ote kelo baŋe jo ducu ame komgi lit, kede jo a kwon too kede rem apapat wunogi, wegi cen areco, jo a two ekwikwiŋ, kede ame two too akwea kom; ocaŋogi. 
MAT.4.25	Lwak jo ecipan olube ame oya i Galilaya, Dekapoli, Jerucalem, Judaya kede loka Jordan.
MAT.5.1	Ka oneno lwak, en te yito oko i wi kidi. A doŋ en obedo piny, jo mere a lube te bino baŋe. 
MAT.5.2	En te ero kop, opwonyogi kun kobo ni.
MAT.5.3	“Tye kede winyo, jo ame ocan i lonyo me cuny, pien loc me polo megi.
MAT.5.7	“Tye kede winyo, jo ame okica, pien obino timogi kica.
MAT.5.9	“Tye kede winyo, jo ame kelo kuc, pien obino lwoŋogi otino Obaŋa.
MAT.5.12	Lel wunu kede yomcuny adwoŋ, pien mot me pwoyowu bup i wi polo, pien odwarpiny ame ogeo nyimwu daŋ owunogi kittono.
MAT.5.13	“Wun kado me lobo; ento kado ka odoko abot oko, obino loko doko amit iŋo? Konnyere doŋ mom; myero oony oko me jo nyoni.
MAT.5.15	Dok mom ocwinyo tara ote dok wumo oko kede gulu; ento oketo i wi akara, a mio te menyo jo ducu a tye i ot. 
MAT.5.16	Ceŋ mewu oryeny i nyim jo amannono, me gin nen ticwu abeco, ote miyo kwogo baŋ Papawu ame tye i polo.
MAT.5.17	“Kur itam wunu ni abino me weyo cik kede kop odwarpiny; mom abino me weyogi, ento me cobogi acoba. 
MAT.5.18	Ateni akobbiwu ni, ituno ka polo kede lobo bino tum oko, tunnoro acel, onyo wen nukuta moro acel me cik mom bino rwenyo, ituno ka kop luŋ ocobere kakare. 
MAT.5.19	Doŋ ba, dano ame bino miyo cikkoro acel atidi doko legelege, kun pwonyo kede jo amannono, obino lwoŋe dano atidi i loc me polo; ento dano ame gwoko, kun pwonyo kede jo, obino lwoŋe dano adwoŋ i loc me polo. 
MAT.5.20	Pien akobbiwu ni, ka wun mom kitewu atira akato opwony-cik kede Oparicayo, mom ibino donyo wunu i loc me polo.
MAT.5.22	Ento an okobbiwu ni, ŋat acel acel ame akemo omako i kom ominnere myero ŋolle kop: dano ame yeto ominnere ni, ‘Yin ababaŋ’ myero atera i nyim okiko, aco dano ame yeto ominnere ni, ‘Imiŋ’ myero abola i mac me Geena. 
MAT.5.23	Pi mannono, ka ikelo motti meri i nyim keno me lam, eka ite po i kuno ni ominni tye kede kopporo i komi, 
MAT.5.24	wek motti-nono koŋ doŋ kuno i nyim keno lam, yin idok cen, ige notte wun ominni, eka ite dok wot miyo motti me lam. 
MAT.5.25	Mer oyotoyot wun kede dano a mito pidi, ame pwod itye wunu kede i yo, me dano a pidi-ni kur teri i nyim aŋolkop, aŋolkop te miyi baŋ cirikale teri i buc. 
MAT.5.26	Ateni akobbi ni, mom ibino ya i kuno, ituno ka iculo ducu, ame cente moro mom orem.
MAT.5.28	Ento an akobbiwu ni, dano acel ame neno dannoro te gomo pire, doŋ otyeko code kede oko i cunye. 
MAT.5.29	Ka waŋi tuŋ cem en amii ipoto i bal, kole oko, ibole kan abor: pien twara ka irwenyo dul me komi moro acel, kato ame kono obolo komi ducu alutu i Geena. 
MAT.5.30	Ce ka ciŋi tuŋ cem en ame mii ipoto i bal, ŋole oko, ibole kan abor, twara ber ka irwenyo dul me komi moro acel, kato ame kono iwoto kede komi ducu alutu i Geena.
MAT.5.32	Ento an akobbiwu ni, dano acel acel ame ryemo cege, kono pi kop me coco keken, nwoŋo omie eeodo cot; dok dano ame nyomo dako ame cware oryemo, en daŋ ocodo cot.
MAT.5.34	Ento an akobbiwu ni, kur ikwoŋ kwoŋoro, kede polo, pien en kom me loc Obaŋa, 
MAT.5.35	onyo kadi kede lobo, pien en ka teno tyene, onyo kede Jerucalem, pien en boma Abaka adwoŋ. 
MAT.5.36	Daŋ kur ikwoŋ kede wii, pien yin mom itwero loko yerroro te doko atar aŋar acol. 
MAT.5.37	Ento kop mewu myero obed ‘Ee ta’ onyo ‘Pe’; pien ame kato mano oko ya i baŋ Arac.
MAT.5.39	Ento an akobbiwu ni, kur igeŋ dano dano arac; dano ame obapo lemi tuŋ cem, lokke tuŋ ocele daŋ obapi; 
MAT.5.40	dano ame mito pidi me eter kanyi meri, jalle anaka kotini daŋ. 
MAT.5.41	Dano ame odii ni iwot wunu kede wot me mairo acel, luny wot kede mairo aryo. 
MAT.5.42	Dano ame kwai, mie; dano ame mito koporo ginnoro me banya baŋi, kur itwonne.
MAT.5.44	Ento an akobbiwu ni, mar wunu okworwu, kwa wunu Obaŋa pi jo ame wunuwu, 
MAT.5.45	me ite doko wunu itino a Papawu ame tye i polo. Pien en mio cennere donnyo baŋ areco kede o abeco daŋ, dok mio kottere cwe baŋ jo a kitegi atir, anaka baŋ jo a mom kitegi atir daŋ. 
MAT.5.46	Pien ka imaro wunu jo a marowu, kara ibino nwoŋo wunu iye pwoccene? Ora-ocoro mom daŋ timo amannono? 
MAT.5.47	Kara ka imoto wunu ka omegowu keken, ŋo aber ame doŋ itimo wunu akato jo ocele? Orok a pe ŋeo Obaŋa mom daŋ timo amannono? 
MAT.5.48	Wun bed wunu jo ocwiny acalo Papawu a tye i polo daŋ ocwiny.
MAT.6.2	“Doŋ ba, ka ikonyo ocan, kur ikut bilo apel i nyimi oko con, acalo ogoba timo i kacokere kede i waŋa yo, me jo pakgi. Ateni akobbiwu ni, gin doŋ otyeko gamo motgi oko. 
MAT.6.3	Ento yin ka ikonyo ocan, kur imi ciŋi tuŋ cam ŋe gin a ciŋi tuŋ cem atimo, 
MAT.6.4	wek ikony ocan i muŋ; cite Pappi a neni i muŋ bino miyi mot.
MAT.6.6	Ento yin ka ikwao Obaŋa, dony i tyelo, eka ite cego doggolani oko, ite kwayo Pappi a tye i muŋ; cite Pappi a neni i muŋ bino miyi mot.
MAT.6.7	“Ka itye wunu ka kwayo Obaŋa, kur ibed wunu duro kop acalo Orok a pe ŋeo Obaŋa; pien gin tamo ni Obaŋa bino winyogi pi lwak kopgi apol. 
MAT.6.8	Kur itimu bala gin, pien Papawu ŋeo gin a mitte baŋwu a mom ru ikwae wunu. 
MAT.6.9	Doŋ ba, kwa wunu Obaŋa kit man, ni,
MAT.6.9	‘Papawa a tye i polo,
MAT.6.9	nyiŋi bed me awora.
MAT.6.10	Myero locci doŋ bin,
MAT.6.10	gin ame imito myero tiye, i lobo bala i polo.
MAT.6.11	Miwa tin cam mewa me tin;
MAT.6.12	timwa kica pi bannyi i baŋwa,
MAT.6.12	acalo wan daŋ otimo kica baŋ jo a tye kede bannyiwa.
MAT.6.13	Kur imi bitwa,
MAT.6.13	ento ilarwa i baŋ Arac
MAT.6.13	[Pien loc kede teko kede kwogo
MAT.6.13	obedo meri atwal. Amen.’]
MAT.6.15	ento ka wun mom itimo wunu jo kica, Papawu mom daŋ bino timowu kica i balwu.
MAT.6.16	“Ka ikanyo wunu kec, kur ibed wunu bala ogoba a waŋgi nen myemye, pien gin balo waŋgi ni jo nen ni gin otye okanyo kec. Ateni akobbiwu ni, gin doŋ otyeko gamo motgi oko. 
MAT.6.17	Ento yin ka ikanyo kec, wir wii kede moo ilog waŋi daŋ, 
MAT.6.18	me kur inen baŋ jo ni ikanyo kec, kono ka baŋ Pappi me i muŋ; cite Pappi a neni i muŋ bino miyi mot.
MAT.6.20	Ento kan wunu lonyowu i polo, kan ame nyenye kede nyalli mom balo, anaka okwo mom turo ot, te kwalo. 
MAT.6.21	Pien kan ame lonyowu bedo iye, cunywu daŋ bedo kuno.
MAT.6.22	“Tara me kom en waŋ; ka waŋi tye boŋo balloro, mio komi luŋ bedo aler. 
MAT.6.23	Ento ka waŋi rac, komi luŋ bedo i colpiny. Doŋ ka lero iyii odoko col, collere doŋ rom mene!
MAT.6.24	“Mom tye dano moro a twero tiyi odoŋe aryo; pien bino dago ŋat acel, eka te maro en ocele, onyo bino moko i kom moro acel, eka te cayo en ocele. Pe itwero wunu tic pi Obaŋa kede pi lim.
MAT.6.25	“En omio akobbiwu ni, kur ibed wunu kede par apol pi kwowu, ni ibino camo wunu ŋo, onyo ibino mato wunu ŋo, onyo pi komwu ni ibino ruko wunu ŋo. Kwo pire mom tek kato cam? Kede kom mom pire tek kato ruk? 
MAT.6.26	Koŋ inen wunu winy a twarre; gin mom ocoo koti, daŋ mom okao, mom ocoko i dero, ento Papawu a tye i polo pitogi. Wun mom pirwu tek kato gin? 
MAT.6.27	Kara ŋa i akinawu ame twero medo bat acel i kom kwo mere pi bedo kede par apol? 
MAT.6.28	Doŋ piŋo ibedo wunu kede par apol pi ruk? Tam wunu koŋ pi kalanweka me tim, kite ame gin doŋo kede. Mom owio uci, mom acweo boŋo; 
MAT.6.29	ento akobbiwu ni, kadi bed Culeman orukere kede kwogo mere ducu, en mom orukere acalo moro acel i akinagi. 
MAT.6.30	Ka Obaŋa ruko lum ame tye i tim, ame bedo ka tin keken, dik i ote bolo oko i keno, en mom bino rukowu akato, wun jo ame iyeewu nok? 
MAT.6.31	Pi mannono kur ibed wunu i par apol, ni, ‘Obino camo ŋo?’ onyo ‘Obino mato ŋo?’ onyo ‘Obino ruko ŋo?’ 
MAT.6.32	Pien jami magu ducu Orok a pe ŋeo Obaŋa yenyogi; Papawu a tye i polo ŋeo ni ginnogo luŋ mitte baŋwu. 
MAT.6.33	Ge wunu koŋ yenyo yo me donyo i loccere kede me nwoŋo kite atira mere, jami magu ducu obino medo baŋwu. 
MAT.6.34	Kur ibed wunu kede par apol pi diki, pien ceŋ a diki bino paro pire kene. Nino acel acel cannere rome.
MAT.7.1	“Kur iŋol wunu kop, me wun daŋ kur ŋolliwu kop; 
MAT.7.2	pien kodi kop ame iŋolo wunu obino ŋolliwu kede, dok kit gin ame ipimo wunu kede, en ame daŋ obino pimmiwu kede. 
MAT.7.3	Piŋo ineno cuŋ kal ame tye i waŋ ominni, aco kono ikoŋ a tye i waŋi ikomi neno loi oko? 
MAT.7.4	Onyo itwero kobo ominni niŋo ni, ‘Wek akwany cuŋ kal a tye i waŋi oko’, a kun yin twon ikoŋ tye oyimere i waŋi? 
MAT.7.5	Yin agoba, koŋ ige kwanyo ikoŋ a tye i waŋi, eka ite doŋ neno aber me kwanyo cuŋ kal a tye i waŋ ominni.
MAT.7.6	“Kur imi wunu gin acil baŋ gwogi, daŋ pe ibolu tiggiwu me wel i nyim punni, me gin kur nyon piny i tyengi, te dok lokere, tojowu.
MAT.7.7	“Kwa wunu, obino miyowu; yeny wunu, ibino wunu nwoŋo; twom wunu kika, obino yabbiwu. 
MAT.7.8	Pien dano acel acel ame kwao, omie, ŋat a yenyo, nwoŋo; ŋat a goo doggola oyabbe kika. 
MAT.7.9	Kara ŋa i akinawu, ka atin okwae ogati, lunyo miye gweŋ? 
MAT.7.10	Onyo ka okwae rec lunyo miye twol? 
MAT.7.11	Ka wun jo areco iŋeo miyo itinowu mot abeco, Papawu a tye i polo mom doŋ bino kato meicel imiyo jami abeco baŋ jo a kwae? 
MAT.7.12	Doŋ ba, gin luŋ ame imito wunu ni jo timwu kede, wun daŋ tim wunugi amannono, pien man en cik a Muca kede pwony odwarpiny.
MAT.7.13	“Dony wunu i doggola adiŋ, pien yo a woto i to lac, dok ber, jo ame lubo pol. 
MAT.7.14	Pien doggola me kwo diŋ, yo a woto iye daŋ rac, jo a bea iye nok.
MAT.7.15	“Gwokere wunu i kom odwarpiny ame ogoba, ame gin bino baŋwu kun orukere bala rommi, ento oger i yigi bala epet. 
MAT.7.16	Ibino wunu ŋeyogi i kom nyiggi. Olok opwono i kom oryaŋ? Ibuu opwono i kom ocokocok? 
MAT.7.17	Amannono yat acel acel aber nyako nyige abeco, ento yat arac nyako nyige areco. 
MAT.7.18	Yat aber mom twero nyako nyige areco, dok yat arac mom twero nyako nyige abeco. 
MAT.7.19	Yat acel acel a mom nyako nyige abeco, otoŋo, obolo i mac. 
MAT.7.20	Pi mannono ibino wunu ŋeyogi i kom nyiggi.
MAT.7.21	“Mom ni dano acel acel ame lwoŋa ni, ‘Rwot, Rwot,’ en a bino donyo i loc me polo, ento kono dano ame tio gin a Pappa a tye i polo mito. 
MAT.7.22	I nino-nono jo apol bino kobba ni, ‘Rwot, Rwot, wan yam mom orabo kop Obaŋa i nyiŋi? Wan yam mom oryemo cen i nyiŋi? Mom wan otio tic atek adoŋo apol kede nyiŋi?’ 
MAT.7.23	Cite i kare-nu abino kobbigi ni, ‘Anaka cene an mom aŋeowu gira. Wot wunu teŋe i nyima, wun otim tim areco!’
MAT.7.24	“Pi mannono, dano acel acel ame winyo koppa, daŋ te tiyo, bino rom aroma kede dano ame aryeko, ame agero ode i kom lela. 
MAT.7.25	Doŋ ka kot ocwe, alele omol, yamo okuto, obukoro i ot-tu kede teko, naka ot mom orette, pien acakki tere onwoŋo ocibo i kom lela. 
MAT.7.26	Ento dano acel acel a winyo koppa, mom te tiyo, en rom aroma kede dano ame amiŋo, a rik ogero ode i kwoo. 
MAT.7.27	Doŋ ka kot ocwe, alele omol, yamo okuto, obukoro i ot-tu kede teko, ot orette, orette orwop.”
MAT.7.29	pien opwonyogi acalo ŋat a tye kede twer, mom acalo opwony-cikgi.
MAT.8.1	A doŋ en oluŋere piny kun oya i wi kidi, lwak ecipan rik lube, 
MAT.8.2	cite nen adobo moro obino baŋe, orumo piny kun kobo ni, “Adwoŋ, ka imito, itwero lonya.” 
MAT.8.3	Yecu te ryeyo bade, te gude, kun kobo ni, “Ee, amito, lonyere giri.” Cucuttono dobo mere te lony oko. 
MAT.8.4	Yecu te cike ni, “Winy ba, kur ikob i dano moro, ento wot giri, inyutte keni baŋ alamdog, imi mot a yam Muca ociko, obed anyut bangi.”
MAT.8.5	A doŋ Yecu odonyo i Kapernaum, adwoŋ me cirikale te bino baŋe, obako doge 
MAT.8.6	kun kobo ni, “Adwoŋ, amirona tye obuto piny i ot, too akwea kom omake, ocire atek meicel.” 
MAT.8.7	En te kobbe ni, “An awot caŋe.” 
MAT.8.8	Adwoŋ cirikale te gamo ni, “Adwoŋ, mom oporre yin idonyo i oda; twara ikobo ka kop keken, amirona bino can. 
MAT.8.9	An daŋ a dano ame oloo aloa, daŋ atye kede cirikale ame aloogi. Ka akobbi moro ni, ‘Woti’, en woto; onyo moro ocele ni, ‘Biye’, en bino; dok ka akobo opiina ni, ‘Ti man’, en tio.” 
MAT.8.10	Yecu ka owinyo kop man, owuro meicel, okobbi jo a lube ni, “Ateni akobbiwu ni, pe ru anwoŋo iyee a rom man, baŋ dano moro i Icrael. 
MAT.8.11	Akobbiwu ni jo apol bino ya i tuŋ kide kede tuŋ to, gin bino bedo piny i dog cam karacel kede Iburaim, kede Icaka, kede Yakobo i loc me polo, 
MAT.8.12	ento otino me loc en ame dok obino bolo i colpiny a tye oko; kuno bino bedo iye koko kede kayo lak.” 
MAT.8.13	Eka Yecu te kobbi adwoŋ cirikale ni, “Wot giri, obed baŋi acalo iyeeni tye kede.” Amiro mere te caŋ oko i caanono ikome.
MAT.8.14	Yecu odonyo i ot a Petero, te neno maro mere obuto, kun tye kede lyeto adwoŋ i kome. 
MAT.8.15	En omulo ciŋe, lyeto oket i kome, te ya malo, konyogi.
MAT.8.16	Otyeno okelo baŋe wegi cen areco; en te ryemo cen ka i kop keken, te caŋo jo luŋ ame komgi lit, 
MAT.8.17	me kop a yam obino i dog adwarpiny Icaya cobere kakare, ni, “En otero gorowa, oyeo toowa.”
MAT.8.18	Ka Yecu oneno lwak jo ecipan ogure dyere, en te kobo ni, “Owot wunu loka ca.” 
MAT.8.19	Apwony-cikkoro te bino kobbe ni, “Apwony, an abino lubi i kan ame ibino wot iye luŋ.” 
MAT.8.20	Yecu odok iye ni, “Ekwe tye kede gorogorogi, winy daŋ tye kede udigi, ento wot a dano mom tye kan ame epyelo iye wie.” 
MAT.8.21	Dano ocele i akina jo mere alube okwae ni, “Rwot, koŋ iweka awot ayik pappa.” 
MAT.8.22	Yecu te gamo ni, “Yin luba, wek jo oto yik jo oto wadgi.”
MAT.8.23	En odonyo i yee, jo mere a lube te wopo yore. 
MAT.8.24	Cutocuto pii ocako twomere atek i dye nam, omio yee te mito lwiny oko i te pii; aco en onwoŋo onino oko. 
MAT.8.25	Gin obino baŋe ote coye okobo ni, “Rwot, larwa; oto oko!” 
MAT.8.26	En te kobbigi ni, “Kara piŋo ilwor wunu, wun jo ame iyeewu nok?” En te ya, te juko yamo kede nam, nam te liŋ mot. 
MAT.8.27	Omio jo-nu owuro kun okobo ni, “Man kara kit dano aŋo ame yamo kede nam-gu winyonie?”
MAT.8.28	Ame en doŋ otuno loka ca, i lobo a jo Geraca, jo aryo ame wegi cen areco te rwatte kede, kun oya i tuŋ wi lyele, oger atek ateka, ame ŋattoro mom twero beo i yo nono. 
