GEN.1.1	Ne waro Õꞌacʉ̃ ʉꞌmʉse, tojo nicã diꞌtare bajurẽcʉ niwĩ. 
GEN.1.12	Diꞌtapʉre noꞌo otese cape cʉosenojõ pĩꞌrĩ, dʉcaticaro niwʉ̃. Tojo nicã pacase yucʉpagʉ quẽꞌrã pĩꞌrĩ, dʉcaticaro niwʉ̃. Aꞌte cʉ̃ weeꞌquere ĩꞌagʉ̃, “Añuꞌu”, nicʉ niwĩ. 
GEN.1.13	Aꞌtere weecʉ niwĩ Õꞌacʉ̃ pʉa nʉmʉ beꞌro cja nʉmʉrẽ.
GEN.1.14	Iꞌtia nʉmʉ beꞌro Õꞌacʉ̃ nicʉ niwĩ tja: “Ʉꞌmʉsepʉre sĩꞌose cũurõʉaꞌa. Tojo weecã, ʉmʉcore, ñamirẽ dʉcawaarosaꞌa. Te meꞌrã ĩꞌamasĩnoꞌrõsaꞌa ʉmʉcori, ñamirĩ, cʉ̃ꞌmarĩ, puꞌecʉri waꞌasere. 
GEN.1.15	Aꞌte diꞌtare sĩꞌoatje ʉꞌmʉsepʉ nirõsaꞌa”, nicʉ niwĩ Õꞌacʉ̃. Cʉ̃ níꞌcaronojõta tojacaro niwʉ̃. 
GEN.1.16	Tojo weegʉ Õꞌacʉ̃ pʉarã mujĩpũa weecʉ niwĩ. Niꞌcʉ̃ mujĩpũ pajigʉ ʉmʉcore sĩꞌoacjʉre, apĩ cãꞌgʉ̃acã ñamirẽ sĩꞌoacjʉre weecʉ niwĩ. Ñocõa quẽꞌrãrẽ weecʉ niwĩ. 
GEN.1.17+GEN.1.18	Cʉ̃ aꞌti diꞌtare sĩꞌoato nígʉ̃, narẽ ʉꞌmʉsepʉ cũucʉ niwĩ. Boꞌreyusere, naꞌitĩꞌasere dʉcawaagʉ, tojo weecʉ niwĩ. Te sĩꞌose añuse nicã ĩꞌagʉ̃, “Añuꞌu”, nicʉ niwĩ. 
GEN.1.19	Aꞌtere weecʉ niwĩ Õꞌacʉ̃ iꞌtia nʉmʉ beꞌro cja nʉmʉrẽ.
GEN.1.20	Baꞌparitise nʉmʉrĩ beꞌrore Õꞌacʉ̃ apeye bajurẽnemocʉ niwĩ tja. Aꞌtiro nicʉ niwĩ: “Diapʉre waꞌi, noꞌo nirãnojõ nirãsama. Na pãjãrã masãputirãsama. Tojo nicã ʉꞌmʉarõpʉre mirĩcʉ̃a wʉʉrã nirãsama”, nicʉ niwĩ. 
GEN.1.21	Cʉ̃ níꞌcaronojõta waꞌacaro niwʉ̃. Pacarã dia pajiri maapʉ nirã́, tojo nicã waꞌi, ãpẽrã nipeꞌtirã diapʉ nirãnojõrẽ, nipeꞌtirã waꞌicʉrã wʉʉrãrẽ bajurẽcʉ niwĩ. Tuꞌajatojanʉꞌcõ, “Añuꞌu”, ni ĩꞌacʉ niwĩ.
GEN.1.22	Narẽ añurõ waꞌato nígʉ̃, aꞌtiro nicʉ niwĩ: “Põꞌrãti weetjĩarã, nipeꞌtiropʉ ʉꞌmʉarõpʉ, tojo nicã maarĩpʉre tuuseꞌsanʉꞌcãrã waꞌaya”, nicʉ niwĩ.
GEN.1.23	Aꞌtere weecʉ niwĩ Õꞌacʉ̃ baꞌparitise nʉmʉrĩ beꞌro cja nʉmʉrẽ.
GEN.1.24	Niꞌcãmocʉse nʉmʉrĩ beꞌrore Õꞌacʉ̃ aꞌtiro nicʉ niwĩ tja: “Diꞌtapʉre waꞌicʉrãrẽ cũugʉ̃ti. Na nʉcʉ̃cjãrã, ecarã, bʉarã, nucũcãpʉ sĩꞌcõsijarã nirãsama”, nicʉ niwĩ. Cʉ̃ níꞌcaronojõta waꞌacaro niwʉ̃. 
GEN.1.25	Tojo weegʉ waꞌicʉrã nʉcʉ̃cjãrã, ecarã, bʉarã, nucũcãpʉ sĩꞌcõsijarãrẽ daꞌrecʉ niwĩ. Narẽ ĩꞌagʉ̃, “Añuꞌu”, nicʉ niwĩ.
GEN.1.26	Cʉ̃ nipeꞌtise wééca beꞌro aꞌtiro nicʉ niwĩ: “Niꞌcʉ̃ masʉ̃ marĩ weronojõ niseti, bajugʉre daꞌrerã. Tʉꞌomasĩse cʉogʉ nigʉ̃sami. Cʉ̃ waꞌi, mirĩcʉ̃a, waꞌicʉrã ecarã, nʉcʉ̃cjãrã, bʉarã, nucũcãpʉ sĩꞌcõsijarã, nipeꞌtirã aꞌti nucũcãpʉ nirã́ buꞌipʉ dutigʉ nigʉ̃sami”, nicʉ niwĩ.
GEN.1.27	Õꞌacʉ̃ masʉ̃rẽ daꞌregʉ, cʉ̃ weronojõ niseti, bajugʉre weecʉ niwĩ.
GEN.1.27	Ʉmʉ, numio daꞌrecʉ niwĩ majã.
GEN.1.28	Narẽ aꞌtiro nicʉ niwĩ:
GEN.1.28	“Mʉsãrẽ añurõ waꞌato.
GEN.1.28	Pãjãrã põꞌrãti masãputiya.
GEN.1.28	Nipeꞌtiropʉre tuuseꞌsanʉꞌcãña.
GEN.1.28	Mʉsã aꞌti diꞌta wiorã nirãsaꞌa.
GEN.1.28	Waꞌire, mirĩcʉ̃arẽ, nipeꞌtirã waꞌicʉrãrẽ dutirãsaꞌa.”
GEN.1.29	Beꞌro narẽ ninemocʉ niwĩ: “Noꞌo baꞌase otese peri cʉosenojõrẽ, yucʉdʉca dʉcatisenojõrẽ mʉsãrẽ oꞌoꞌo. Te mʉsã baꞌase nirõsaꞌa. 
GEN.1.30	Apeye quẽꞌrãrẽ, nipeꞌtirã waꞌicʉrã, wʉʉrã, nucũcãpʉ sĩꞌcõsijarã, nipeꞌtirã catise cʉorãnojõ tá, tojo nicã pũrĩ yaꞌsasere baꞌarãsama. Narẽ tere cũuꞌu”, nicʉ niwĩ Õꞌacʉ̃. Cʉ̃ níꞌcaronojõta waꞌacaro niwʉ̃.
GEN.1.31	Te nipeꞌtise cʉ̃ weeꞌquere weetuꞌajanʉꞌcõ, “Añubutiaꞌa”, ni ĩꞌacʉ niwĩ. Tocãꞌrõta weecʉ niwĩ Õꞌacʉ̃ niꞌcãmocʉse nʉmʉrĩ beꞌro cja nʉmʉrẽ.
GEN.2.1	Ʉꞌmʉse, tojo nicã aꞌti diꞌtare Õꞌacʉ̃ nipeꞌtise cʉ̃ weeꞌquere tuꞌajanʉꞌcõcʉ niwĩ. 
GEN.2.2	Nitʉori nʉmʉrẽ, cʉ̃ nipeꞌtise wééca beꞌro soocʉ niwĩ majã. 
GEN.2.3	Tojo weegʉ Õꞌacʉ̃ aꞌtiro nicʉ niwĩ: “Nitʉori nʉmʉ yʉꞌʉ weemʉꞌtãꞌque nʉmʉrĩ weronojõ nisome. Ya nʉmʉ, yʉꞌʉ soodutiri nʉmʉ nirõsaꞌa. Ti nʉmʉ añurĩ nʉmʉ nirõsaꞌa”, ni cũucʉ niwĩ Õꞌacʉ̃.
GEN.2.4	Ʉꞌmʉse, diꞌta nipeꞌtise Õꞌacʉ̃ cʉ̃ weeꞌque aꞌtiro weenoꞌcaro niwʉ̃.
GEN.2.4	Ne waro Õꞌacʉ̃ aꞌti diꞌta, ʉꞌmʉsere wéégʉ, 
GEN.2.5	maata acoro pejacã weeticʉ niwĩ. Tojo weero ne noꞌo nisenojõ pĩꞌrĩticaro niwʉ̃. Diꞌtare daꞌragʉ quẽꞌrã marĩcʉ niwĩ. 
GEN.2.6	Tojo nimicã, aco diꞌtapʉ nise wijati, diꞌtare puocaro niwʉ̃. 
GEN.2.7	Õꞌacʉ̃ masʉ̃rẽ bajurẽgʉ̃, diꞌta meꞌrã daꞌrecʉ niwĩ. Tojo weegʉ cʉ̃rẽ catise oꞌogʉ, ẽꞌquẽapʉ putisãacʉ niwĩ. Cʉ̃ tojo weecãta, catinʉꞌcãcʉ niwĩ.
GEN.2.8	Cʉ̃rẽ tojo wééca beꞌro Edẽ́ wãmetiropʉ, Õꞌacʉ̃ niꞌcã wese cʉ̃rẽ daꞌrebosacʉ niwĩ. Mujĩpũ mʉjãtiro peꞌe nicaro niwʉ̃. Topʉ cʉ̃ ʉmʉrẽ, cʉ̃ daꞌreꞌcʉre cũucʉ niwĩ. 
GEN.2.9	Ti wesepʉ peje yucʉpagʉ añuse baꞌase dʉcatisepagʉre pĩꞌrĩcã weecʉ niwĩ. Tepagʉ añusepagʉ bajucaro niwʉ̃. Ti wese decopʉre pʉagʉ nicaro niwʉ̃. Niꞌcãgʉ̃ catinuꞌcũse oꞌocjʉ nicaro niwʉ̃. Apegʉ peꞌe tʉꞌomasĩsere oꞌocjʉ nicaro niwʉ̃. Tigʉ dʉcare baꞌarã, “Aꞌtiro weese añu niꞌi, aꞌte ñaꞌa niꞌi”, ni tʉꞌomasĩse oꞌocjʉ nicaro niwʉ̃.
GEN.2.10	Edẽ́pʉre niꞌcã maa nicaro niwʉ̃. Ti wese deco yʉꞌrʉtẽrĩwãꞌcã, baꞌparitise maarĩ dʉcawaticaro niwʉ̃. 
GEN.2.11	Nimʉꞌtãrĩ maa Pisón wãmeticaro niwʉ̃. Ti maa nipeꞌtiro Havila wãmetiropʉre oꞌmabʉrocaro niwʉ̃. Topʉ peje uru 
GEN.2.12	añuse nicaro niwʉ̃. Topʉre añuse yucʉ ʉꞌmʉtisepagʉ, tojo nicã ʉ̃tãperi wapabʉjʉse peri ónice wãmetise peri nicaro niwʉ̃. 
GEN.2.13	Ape maa peꞌe Gihón wãmeticaro niwʉ̃. Ti maa nipeꞌtiro Cus wãmetiri diꞌtare yʉꞌrʉtẽrĩcaro niwʉ̃. 
GEN.2.14	Ape maa Tigris wãmeticaro niwʉ̃. Ti maa Asiria wãmetiro mujĩpũ mʉjãtiro peꞌe oꞌmabʉrocaro niwʉ̃. Ape maa Éufrates wãmeticaro niwʉ̃.
GEN.2.15	Õꞌacʉ̃ masʉ̃rẽ ti wesere cṹúgʉ̃, te otesere coꞌtedutigʉ, aꞌtiro ni werecʉ niwĩ: 
GEN.2.16	“Aꞌti wese cjase nipeꞌtise yucʉdʉcare baꞌagʉsaꞌa, baꞌagʉ peꞌe. 
GEN.2.17	Tepagʉ waꞌteropʉre niꞌcãgʉ̃ niꞌi. Tigʉ dʉcare baꞌaticãꞌña. Tigʉ añuse, ñaꞌasere masĩse oꞌocjʉ niꞌi. Tigʉ dʉcare baꞌagʉ, ti nʉmʉta wẽrĩgʉ̃saꞌa”, nicʉ niwĩ.
GEN.2.18	Beꞌro Õꞌacʉ̃ nicʉ niwĩ: “Masʉ̃ niꞌcʉ̃ta nicã, añuweꞌe. Cʉ̃rẽ baꞌpati, weetamuacjore weegʉti”, nicʉ niwĩ. 
GEN.2.19+GEN.2.20	Õꞌacʉ̃ ne waropʉre waꞌicʉrãrẽ, mirĩcʉ̃arẽ diꞌta meꞌrã daꞌrecʉ niwĩ. Beꞌro narẽ wãme õꞌoato nígʉ̃, masʉ̃ tiropʉ miacʉ niwĩ. Õꞌacʉ̃ cʉ̃ dutiꞌcaronojõta weecʉ niwĩ. Nipeꞌtirã ecarã, mirĩcʉ̃a, waꞌicʉrã nʉcʉ̃cjãrãrẽ wãme õꞌocʉ niwĩ. Tojo weerã cʉ̃ õꞌoꞌque wãme meꞌrã tojacãrã niwã. Ãꞌrã pãjãrã nimicã, ne niꞌcõ cʉ̃rẽ baꞌpati weetamuacjo marĩco niwõ. 
GEN.2.21	Tojo weegʉ Õꞌacʉ̃ cʉ̃rẽ cãrĩyʉꞌrʉcã weecʉ niwĩ. Cʉ̃ cãrĩrĩ cura, niꞌcã paatipaꞌmaca õꞌarẽ miicʉ niwĩ. Miitoja, ti õꞌa cʉ̃ miiꞌcarore añurõ biꞌacãꞌcʉ niwĩ. 
GEN.2.22	Ti õꞌa meꞌrã cʉ̃rẽ weetamuacjore daꞌrecʉ niwĩ majã. Co numiorẽ daꞌretojanʉꞌcõ, miiti, cʉ̃rẽ ĩꞌocʉ niwĩ. 
GEN.2.23	Cʉ̃ core ĩꞌagʉ̃, pũrõ eꞌcatise meꞌrã ĩꞌacʉ niwĩ. Tojo weegʉ aꞌtiro nicʉ niwĩ:
GEN.2.23	“Aꞌtigo pũrĩcã, ye diꞌi, ya õꞌa meꞌrã daꞌrenoꞌco nimo. Co ʉmʉpʉre miinoꞌco niyugo, ‘numio’ pisunoꞌgõsamo”, nicʉ niwĩ. 
GEN.2.24	Tojo weegʉ ʉmʉ cʉ̃ pacʉre, cʉ̃ pacore wijagʉsami. Cʉ̃ nʉmo meꞌrã nigʉ̃sami. Na pʉarã niꞌcã upʉ weronojõ nirãsama.
GEN.2.25	Titapʉre na pʉarã suꞌti marĩrã nicũcãrã niwã. Tojo nimirã, ne bopoyase moocãrã niwã.
GEN.3.1	Ʉmʉ, numio Õꞌacʉ̃ cʉ̃ narẽ weebosáca wesepʉ nicãrã niwã. Topʉ na niseti, na pʉarã nirĩ curare, niꞌcʉ̃ pĩrõ
GEN.3.1	—¿Nirõta Õꞌacʉ̃ mʉsãrẽ aꞌtepagʉ dʉcare baꞌadutitiati? nicʉ niwĩ.
GEN.3.2	Cʉ̃ tojo nicã tʉꞌogo, cʉ̃rẽ yʉꞌtico niwõ:
GEN.3.2	—Nipeꞌtise aꞌto nisere baꞌadutiami. 
GEN.3.3	Tojo nimigʉ̃ta, niꞌcãgʉ̃ tepagʉ waꞌtero nicjʉ dʉcare baꞌadutitiami. “Mʉsã tigʉ dʉcare baꞌarã, ñeꞌeñaꞌrã, wẽrĩrãsaꞌa”, niami Õꞌacʉ̃, ni yʉꞌtico niwõ pĩrõrẽ.
GEN.3.4	Co tojo nicã tʉꞌogʉ, añurõ nisoomeꞌrĩse meꞌrã core nicʉ niwĩ:
GEN.3.4	—Wẽrĩsome. 
GEN.3.5	Õꞌacʉ̃ añurõ masĩsami. Mʉsã te dʉcare baꞌarã, cʉ̃ weronojõ nirãsaꞌa; ñaꞌasere, añusere masĩrãsaꞌa, nicʉ niwĩ.
GEN.3.6	Cʉ̃ tojo nisere tʉꞌogo, co numio peꞌe, tigʉ dʉcare ĩꞌamorõ weeco niwõ. Co ĩꞌacã, tigʉ dʉca añuse waro bajucaro niwʉ̃. “Añurõ ʉꞌsʉasenojõ niꞌi” nígõ, baꞌasĩꞌrĩyʉꞌrʉaco niwõ. Tojo nicã, “Tʉꞌomasĩse cʉogoti”, ni wãcũgõ, tigʉ dʉcare téé, baꞌaco niwõ. Baꞌatojanʉꞌcõ, co marãpʉre oꞌoco niwõ. Cʉ̃ quẽꞌrã baꞌacʉ niwĩ. 
GEN.3.7	Na tere baꞌáca beꞌro narẽ tʉꞌomasĩse ejacaro niwʉ̃. Tere baꞌatjĩarã, na suꞌti marĩrã nisere tʉꞌomasĩcãrã niwã. Tojo weetjĩarã, higuera wãmeticjʉ pũrĩ meꞌrã mii, dero, cãꞌmotaꞌasĩꞌrĩmicãrã niwã.
GEN.3.8	Beꞌro na tojo wééca beꞌro ñamicaꞌa mujĩpũ sãjãrĩ cura, Õꞌacʉ̃ ti wesepʉ sijawãꞌcãticã tʉꞌocãrã niwã. Cʉ̃rẽ uirã, yucʉpagʉ waꞌteropʉ duꞌticãrã niwã. 
GEN.3.9	Tojo weegʉ Õꞌacʉ̃ peꞌe ʉmʉrẽ pisucʉ niwĩ:
GEN.3.9	—¿Noꞌopʉ niti mʉꞌʉ?
GEN.3.10	Cʉ̃ peꞌe Õꞌacʉ̃rẽ yʉꞌticʉ niwĩ:
GEN.3.10	—Mʉꞌʉ wesepʉ sijawãꞌcãticã tʉꞌoapʉ. Yʉꞌʉ peꞌe suꞌti marĩgʉ̃ niasʉ. Tojo weegʉ uigʉ duꞌtiasʉ, ni yʉꞌticʉ niwĩ.
GEN.3.11	Cʉ̃ tojo nisere tʉogʉ, Õꞌacʉ̃ cʉ̃rẽ sẽrĩtiñaꞌcʉ niwĩ:
GEN.3.11	—¿Noa mʉꞌʉrẽ “Suꞌti marĩgʉ̃ niꞌi”, niati? ¿Mʉꞌʉ yucʉdʉca yʉꞌʉ “Baꞌaticãꞌña” níꞌcʉ dʉcare baꞌati? Tere baꞌatigʉ, mʉꞌʉ masĩtiboapã, nicʉ niwĩ Õꞌacʉ̃ cʉ̃rẽ.
GEN.3.12	Cʉ̃ tojo nicã tʉꞌogʉ, ʉmʉ cʉ̃rẽ yʉꞌticʉ niwĩ:
GEN.3.12	—Mʉꞌʉ yʉꞌʉre baꞌpadaꞌreꞌco yʉꞌʉre tigʉ dʉcare ecamo. Tojo weegʉ baꞌasʉ, ni yʉꞌticʉ niwĩ.
GEN.3.13	Cʉ̃ tojo nicã tʉꞌogʉ, co numiorẽ sẽrĩtiñaꞌcʉ niwĩ:
GEN.3.13	—¿Mʉꞌʉ deꞌro weego tojo weeati?
GEN.3.13	Co cʉ̃rẽ yʉꞌtico niwõ:
GEN.3.13	—Pĩrõ yʉꞌʉre nisooami. Yʉꞌʉ tojo weego baꞌasʉ, ni yʉꞌtico niwõ.
GEN.3.14	Õꞌacʉ̃ co tojo nicã tʉꞌogʉ, pĩrõrẽ nicʉ niwĩ:
GEN.3.14	—Mʉꞌʉ nisooꞌque wapa nipeꞌtirã ãpẽrã waꞌicʉrã nemorõ ñaꞌarõ waꞌagʉsaꞌa. Niꞌcãrõacã meꞌrãta téé noꞌo mʉꞌʉ catiro põtẽorõ diꞌtapʉ sĩꞌcõsijagʉsaꞌa. Tojo sĩꞌcõsijagʉ, diꞌtare baꞌagʉsaꞌa. 
GEN.3.15	Numio mʉꞌʉrẽ ne ĩꞌasĩꞌrĩtigosamo. Co põꞌrã, co pãrãmerã nituriarã quẽꞌrã mejãrõta weerãsama. Niꞌcãcã meꞌrã aꞌmerĩ ĩꞌatuꞌtinʉꞌcãrãsaꞌa. Mʉꞌʉ, co macʉ̃ ya dʉꞌpodiare cũꞌrĩgʉ̃saꞌa. Cʉ̃ peꞌe mʉꞌʉ dʉpoare ʉꞌtamʉtõgʉ̃sami, ni werecʉ niwĩ.
GEN.3.16	Cʉ̃rẽ tojo nitoja, numio peꞌere aꞌtiro nicʉ niwĩ:
GEN.3.16	—Mʉꞌʉ yʉꞌrʉnʉꞌcãꞌque buꞌiri wĩꞌmagʉ̃rẽ ñeꞌegõtigo, pũrõ piꞌetigosaꞌa. Tojo põꞌrãti, pũrĩnoꞌmigõ, mʉꞌʉ marãpʉ meꞌrã nisĩꞌrĩgõsaꞌa. Cʉ̃ peꞌe mʉꞌʉ wiogʉ weronojõ nigʉ̃sami, nicʉ niwĩ.
GEN.3.17+GEN.3.18	Core tojo nituꞌajanʉꞌcõ, co marãpʉ peꞌere aꞌtiro nicʉ niwĩ:
GEN.3.17+GEN.3.18	—Mʉꞌʉ nʉmo co ucũsere tʉꞌo ẽjõpeotjĩagʉ̃, yʉꞌʉ baꞌadutitiꞌquere baꞌaꞌque buꞌiri, mʉꞌʉ pũrõ piꞌetise meꞌrã daꞌra, baꞌasere bocagʉsaꞌa. Niꞌcãcã meꞌrãta ʉpʉtʉ daꞌratjĩagʉ̃, piꞌetinʉꞌcãgʉ̃saꞌa. Téé wẽrĩgʉ̃pʉ tojo weetʉogʉsaꞌa. Mʉꞌʉ yʉꞌʉre yʉꞌrʉnʉꞌcãꞌque buꞌiri nipeꞌtiro diꞌtapʉre ñaꞌase pĩꞌrĩrõsaꞌa. Pota, tá, apeye peje ñaꞌase pĩꞌrĩnemorõsaꞌa. Tojo nicã nʉcʉ̃ cjase otetisenojõrẽ baꞌarãsaꞌa. 
GEN.3.19	Baꞌasere aꞌmagʉ̃, mʉꞌʉ pũrõ asituuase meꞌrã daꞌragʉsaꞌa. Téé wẽrĩgʉ̃pʉ soogʉsaꞌa. Mʉꞌʉ diꞌta meꞌrã weenoꞌcʉ niꞌi. Tojo weegʉ mʉꞌʉ wẽrĩgʉ̃, diꞌtata apaturi dojogʉsaꞌa, ni werecʉ niwĩ Õꞌacʉ̃ cʉ̃rẽ.
GEN.3.20	Adã́ cʉ̃ nʉmorẽ Eva wãme õꞌocʉ niwĩ. “Co nipeꞌtirã paco nigõsamo,” nígʉ̃, tojo wãme õꞌocʉ niwĩ.
GEN.3.21	Beꞌro Õꞌacʉ̃ narẽ na suꞌti sãñatjere weebosacʉ niwĩ. Waꞌicʉrã caseri meꞌrã weecʉ niwĩ. 
GEN.3.22	Tojo wee, Õꞌacʉ̃ aꞌtiro nicʉ niwĩ: “Ãꞌrĩ yʉꞌʉ dutisere yʉꞌrʉnʉꞌcãtjĩagʉ̃, marĩ weronojõ añuse, ñaꞌasere tʉꞌomasĩgʉ̃ waꞌami. Cʉ̃ apegʉ catinuꞌcũsere oꞌocjʉ dʉcare baꞌacã, ñaꞌa nibosaꞌa. Cʉ̃ tere baꞌagʉ pũrĩcã, catinuꞌcũcãꞌbosami”, nicʉ niwĩ.
GEN.3.23	Tojo weegʉ cʉ̃rẽ apesepʉ wĩorẽcʉ niwĩ. Cʉ̃, cʉ̃rẽ cũumiꞌcarore nidutiticʉ niwĩ majã. Ne waro añurõpʉ Edẽ́pʉ nimiꞌcʉre cõꞌawĩrõcãꞌcʉ niwĩ. Cʉ̃ diꞌta meꞌrã daꞌrenoꞌcʉre baꞌasere aꞌmagʉ̃, diꞌtareta daꞌraduticʉ niwĩ.
GEN.3.24	Õꞌacʉ̃ Adã́, Evare cõꞌawĩrõca beꞌro na catinuꞌcũsere oꞌocjʉ dʉcare baꞌabosama nígʉ̃, ʉꞌmʉsecjãrã Õꞌacʉ̃rẽ werecoꞌterãrẽ Edẽ́ mujĩpũ mʉjãtiro peꞌere coꞌtedutigʉ cũucʉ niwĩ. Tojo nicã cʉ̃ diꞌpjĩ pajiri pjĩ pecameꞌe weronojõ ʉ̃jʉ̃, sʉtʉanuꞌcũrĩ pjĩrẽ cũucʉ niwĩ. Ne niꞌcʉ̃ catinuꞌcũse cʉocjʉ tiropʉ ejaticãꞌto nígʉ̃, tojo weecʉ niwĩ. 
GEN.4.1	Beꞌro Adã́, Eva añurĩ wese Edẽ́pʉ níꞌcãrã na wijáca beꞌro aperopʉ waꞌacãrã niwã. Topʉ Adã́ cʉ̃ nʉmo meꞌrã nicʉ niwĩ. Tojo weego nijĩpaco tojaco niwõ. Beꞌro niꞌcʉ̃ wĩꞌmagʉ̃ wʉaco niwõ. Cʉ̃rẽ Caĩ́ wãme õꞌocãrã niwã. Cʉ̃ bajuacã ĩꞌagõ, Eva, “Õꞌacʉ̃ weetamuse meꞌrã yʉꞌʉ wĩꞌmagʉ̃rẽ wʉapʉ”, nico niwõ. 
GEN.4.2	Beꞌro apaturi Eva apĩ wĩꞌmagʉ̃ wʉaco niwõ. Cʉ̃ wãmeticʉ niwĩ Abel. Cʉ̃ Abel, Caĩ́ acabiji nicʉ niwĩ. Na pʉarã bʉcʉa weetjĩarã, nanʉcʉ̃ daꞌrase cʉocãrã niwã. Abel oveja coꞌtegʉ nicʉ niwĩ. Cʉ̃ maꞌmi Caĩ́ peꞌe otesere oteri masʉ̃ nicʉ niwĩ.
GEN.4.3	Yoáca beꞌro Caĩ́ niꞌcã nʉmʉ cʉ̃ daꞌrase cjasere Õꞌacʉ̃rẽ oꞌogʉ waꞌacʉ niwĩ. 
GEN.4.4	Cʉ̃ acabiji Abel quẽꞌrã cʉ̃ daꞌrasere miacʉ niwĩ. Cʉ̃ yarã oveja ne põꞌrãtiꞌcãrã añurãrẽ miacʉ niwĩ. Õꞌacʉ̃ Abere, cʉ̃ miaꞌquere añurõ eꞌcatise meꞌrã ĩꞌacʉ niwĩ. 
GEN.4.5	Cʉ̃ maꞌmi Caĩ́ peꞌere, cʉ̃ miaꞌquere Õꞌacʉ̃ tʉꞌsaticʉ niwĩ. Tojo weegʉ Caĩ́ ua waꞌacʉ niwĩ. 
GEN.4.6	Cʉ̃ tojo uacã ĩꞌagʉ̃, Õꞌacʉ̃ Caĩrẽ́ aꞌtiro nicʉ niwĩ: “¿Deꞌro weegʉ mʉꞌʉ uati? 
GEN.4.7	Mʉꞌʉ añurõ weecã, eꞌcatise meꞌrã mʉꞌʉrẽ ĩꞌagʉ̃saꞌa. Añurõ weetigʉ pũrĩcã, ñaꞌarõ nisetinuꞌcũgʉ̃saꞌa. Tojo weegʉ mʉꞌʉ ñaꞌarõ weesĩꞌrĩsere tojo tʉꞌoñaꞌa, wãcũtutuaya”, ni werecʉ niwĩ Õꞌacʉ̃ Caĩrẽ́.
GEN.4.8	Beꞌro niꞌcã nʉmʉ Caĩ́ cʉ̃ acabiji Abere, “Teꞌa cãpũpʉ sijarã”, nicʉ niwĩ. To cãpũpʉ na pʉarã nírã, Caĩ́ peꞌe cʉ̃ acabijire wẽjẽcãꞌcʉ niwĩ. 
