MAT.1.1	Dabíii, Aavaráaa, íjcyámútsiúvúj tsɨɨménémúhaabéhjáa Jetsocríjtó íjcyáábé ɨhdé múnáaúvú ílluúme:
MAT.1.16	Aabéhjáa Jacóóbó tsɨ́ɨ́mavá Jotséeke Maaríá tajɨ́ɨ íjcyáábeke. Aanéhjáa diille Maaríá tsɨ́ɨ́mavá Jetsóoke, ‘Pájtyetétsoóbe’ nééiyóné ‘Críjtoó’ némeííbyeke.
MAT.1.17	Éhduméhjáa Jetsóó ɨhdé múnáaúvu. Diibyéhjáa muurá Aavaráaúvú tsɨ́ɨ́mavá tsáápiíkye. Aabéhjáa dsɨ́jɨ́vénetu dííbyé hajchíyéjuco cámaavéné éhnííñevu. Aabéhjáa idyé dsɨ́jɨ́vénetu dííbyé hajchíyéjuco cámaavéne. Ehdúhjáa icyóhbodu ‘camácámá’ llíyaatéhijcyámé 14-ihjyúvá Dabíiúvuke ditye tsɨ́ɨ́mávanévújuco. Áábeúvudítyúhjáa idyé llíyaatéhijcyámé téhdunéré 14-ijyúva. Áijyúhjáa diityéké Babiróónía múnaa méénujcátsítyu ityáhjámeke tsajtyé íiiñújɨvu. Téijyútúhjáa idyé ditye llíyaatéhijcyáné téhdunéré 14-ijyúvá úújeténáa Críjtoréjuco tsɨ́ɨ́mávámeíñe.
MAT.1.18	Íllúhjáa muurá teene Jetsocríjtoke tsáápille tsɨ́ɨ́maváne: Dííbyéj tsɨɨjúhjáa íjcyáille Maaríake Jotséé áábajáá ityáábávaki. Árónáacáhjáa dityétsíi úcújcatsítyúné ɨhdéré tsúúca Maaríá eevá Píívyééberéhjáa ihdyu Íapííchoj tééveri pícyoóne. 
MAT.1.19	Aabéhjáa diibye Jotséé ɨ́mɨáábé iíjcyánéllii tsá ímílléturó ehdu nééllema iíjcyane. Áánélliihyéhjáa ɨ́jtsámeííbyé ílluréjuco díílleke ɨɨ́hvéjtsóiyóné múha wáájácútúnáaáca. Aabéhjáa tsá ímílletú mɨ́amúnáake iwáájácutsóné muhdú dille íjcyane. 
MAT.1.20	Ááneríhjyáa dibye ɨ́tsámeíhíjcyánáa níjkyéjɨ múnáajpi ityúwá pañe dííbyedívú bóhówááveebe nééhií:
MAT.1.20	—Jótsej, Dabíiúvú tsɨɨménémúhaabe u íjcyaábej, tsá muhdú u ɨ́jtsámeíityú dítyáába íjcyáille Maaríadítyu. Tsá muurá dille éévane ímityúné íjcyatúne. Muurá ihdyu Píívyéébere Íapííchoj tééveri pícyoone éévalle. Ahdícyane ihdyu wa duucu dííllekej. 
MAT.1.21	Muurá tsɨ́ɨ́máváille wájpiíkye. Áábe mémei Jetsóó dibye ihyájkímuke íimítyuháñetu pájtyetétsóíñélliíhye. Ehdúhjáa níjkyéjɨ múnáajpi néé Jotséeke ityúwá pañe.
MAT.1.22+MAT.1.23+MAT.1.24+MAT.1.25	Ahdújucóhjáa dibye ipyééne díílleke újcujéné ihjyávu. Áállekéhjáa tsá dibye dómájcotú dille tsɨ́ɨ́mávátúné hajchóta. Aanéhjáa tsúúca dille tsɨ́ɨ́máváábeke meménuube Jetsóodívu. Ehdúhjáa pajtyéné Píívyéébe íhjyú uubálle múnáájpij tééveri íllu néhdújuco:
MAT.1.22+MAT.1.23+MAT.1.24+MAT.1.25	Wájpiikye úújétúné badsɨ́jcaja éévaáhi. Aane tsɨ́ɨ́máváille wájpiíkye. Áábe mémei Emanoée, ‘íjcyaabe Píívyéébe méémaá’ nééiyóne.
MAT.1.22+MAT.1.23+MAT.1.24+MAT.1.25	Ehdúhjáa Píívyéébe íhjyú uubálle múnáájpij tééveri néhdújuco tene pájtyene.
MAT.2.1	Aanéhjáa Jodéá iiñújɨvu dííbyeke tsɨ́ɨ́mavámé Beréé coomívú Heróódé tééné iiñújɨ́ avyéjuube íjcyánáaáca. Áijyúhjáa nuhba tsáhícyánéjcutu tsaate mɨ́ɨ́cúrú waajácu múnaa tsááme wajtsɨ́ Jerotsaréevu. 
MAT.2.2	Aaméhjáa técoomí múnáake nééhií:
MAT.2.2	—¿Kiá diibye éhneva jodíómú avyéjuube íjcyáííbyeke tsáápille tsɨ́ɨ́mávaábe? Muurá íñe nuhba tsáhícyánéjcuri muha meíjcyame máájtyumɨ́ tsúúca dibye íjcyane úúbálléné mɨɨcúrúwake. Áánéllii muha metsáá dííbyeke medúúruváváme.
MAT.2.3	Aanéhjáa idyé téhdure Heróódé tsúúca waajácúhi. Aanéhjáa dííbyeke tsíwárejcáró pámeere teene Jerotsarée múnáamájuco. 
MAT.2.4	Áánélliihyéhjáa pihjyúcuube pámeekéré llúúvájté avyéjujtémá taúhbájú uwáábojtéke. Áámekéhjáa dílloobe kiávú diibye Pájtyetétsoobe íjcyáííbyeke ditye tsɨ́ɨ́mávaíñé némeíhijcyáne. 
MAT.2.5	Áánélliihyéhjáa néémeé:
MAT.2.5	—Beréevu Jodéá iiñújɨri íjcyácoomívu. Íllúhjáa muurá Píívyéébé ihjyú uubálle múnáajpi caatúnúhi:
MAT.2.6	Jodéá iiñújɨri ɨ́htsútú coomíjɨ́ íjcyánetu tsá íatéréecóómí Beréé íjcyatúne. Muurá ámuha teene Berée múnaa tahñéjté meíjcyámedítyú tsaapi íjcyaá ámúhá avyéjuube ámúhakye téhméiíbye.
MAT.2.7	Ehdúhjáa ditye úúbállénéllii Heróódé pɨ́uvá wáájácúratúné diitye mɨ́ɨ́cúrú waajácu múnáake. Áámekéhjáa dílloobe ímíñeúvú múijyútújucóhjáa ímichi mɨ́ɨ́cúruwa bóhówaavéne. 
MAT.2.8	Átsihdyúhjáa teene Beréevu iwállóómeke neébe:
MAT.2.8	—Cána mepééne ímíñeúvú méwaajácute diibye tsɨ́ɨ́méneke. Aane ámuha dííbyeke maájtyúmɨ́cooca oke méúúbálleco téhdure o dúúrúvaté dííbyeke.
MAT.2.9	Ehdúhjáa ávyéjuube Heróódé diityémá íhjyúvátsihdyu idyé pehíjcyámé diibye mɨ́ɨ́cúrúwá tujkévetu. Aaméhjáa tsúúca tétsihvu úújeténáa díbyéwu ijcyátsíí hallúvú mɨ́ɨ́cúruwa táchúúreevéhi. 
MAT.2.10	Ááneríhjyáa mítyane ímíjyuuvéme. 
MAT.2.11	Aaméhjáa tééjá pañévú úcaavémé úújeté tsɨɨju Maaríama íjcyáábéwúudívu. Áábéwúukéhjáa duurúvámé ɨmɨ́hmóúbánema. Átsihdyúhjáa bohbánúmé dííbyéwúuke óóroó, ijtsiéétsoo, mííraá, éhdunévu. 
MAT.2.12	Ááné boonéhjáa Píívyéébe diityéké ityúwá pañe néé Heróódé ijcyáhullétú ditye ióómíjyúcóótuki. Ahdújucóhjáa ditye óómiñe íiiñújɨvu tsiélletúréjuco.
MAT.2.13	Aaméhjáa tsúúca íiiñújɨvu óómíñe déjuvu idyé tsiiñe níjkyéjɨ múnáajpi Jotséedívú ityúwá pañe íbóhówáávéne néé dííbyeke:
MAT.2.13	—Maájkyéne méumɨ́vá dítyáábá nííhyoma Ejíhtó iiñújɨvu. Aame ámuha méíjcyaá téhulle ámúhakye o nééné hajchóta. Muurá Heróódé néhcoó aadi tsɨ́ɨ́ménéwúuke ɨdsɨ́jɨ́vétsoki.
MAT.2.14	Ahdújucóhjáa ditye iájkyéne pééne tépejcójuco teene Ejíhtó iiñújɨvu. 
MAT.2.15	Áhulléhjáa ícyahíjcyámé diibye Heróódé dsɨ́jɨ́vétúné hajchóta. Ehdúhjáa pajtyéné Píívyéébe íhjyú uubálle múnáájpij tééveri íllu néhdújuco:
MAT.2.15	Ejíhtori íjcyáábeke ó pɨ́uvá Hájchíwúuke.
MAT.2.16	Aanéhjáa Heróódé ávyétá ɨhnáhó cayóbáávaté diitye waajácu múnaa tsiélletúréjuco óómíñeri. Áánemáhjáa íjcyaabe lliihyánutsó wapímúj tsɨ́ɨ́medívú míñéécú pijcyábatu llííñevu íjcyáméhjɨdípɨ́vu, diityéhjáa waajácu múnaa míñéécú pijcyábájuco ípyée mɨ́ɨ́cúrúwake iájtyúmɨ́netu íjcyáne ééveri íjcyáméhjɨdívu. Teenéhjáa Berée múnááj tsɨ́ɨ́medívú lliihyánútsoobe técoomí úníuri íjcyáméj tsɨ́ɨ́memájuco. 
MAT.2.17	Ehdúhjáa pajtyéné Píívyéébé ihjyú uubálle múnáajpi Jeremíá íllu néhdújuco:
MAT.2.18	Ramáá ijcyátsihyi dsɨjɨ́vé maatyóbá mélleebóhi. Rakyéé muurá tahíjcyá íááchimúhá ijraéémuj tsɨ́ɨ́mé dsɨ́jɨ́véneri. Aalle tsá ímílletú díílleke mebóhɨjtsóne.
MAT.2.19+MAT.2.20	Aanéhjáa diibye Heróódé tsúúca dsɨ́jɨ́vénéllii níjkyéjɨ múnáajpi tsiiñe Ejíhtovu Jotséedívú ityúwá pañe ibóhówáávéne nééhií:
MAT.2.19+MAT.2.20	—Maájkyéne wa meóómí ámuha ijraéémú iiñújɨvu. Tsúúca dsɨ́jɨvémé tsɨ́ɨ́ménéwúukée dsɨ́jɨ́vétsóllehíjcyáme.
MAT.2.21	Ahdújucóhjáa ditye óómiñe íiiñújɨvu. 
MAT.2.22	Árónáacáhjáa diibye Heróódé cápayóóvé íllíyéjuco Akyeráó teene Jodéá iiñújɨ́ avyéjuube íjcyane Jotséé iwáájácúne íllityé téhullévú ipyééíyóneri. Áánélliihyéhjáa Gariréá iiñújɨvúréi pééme Píívyéébe diityéké ityúwá pañe téhullévúi ditye pééityúné néénélliíhye. 
MAT.2.23	Aaméhjáa úújeté Natsaréevu diibyéhjáa Jetsóó Natsarée múnáajpi íjcyaíñé tsúúcajátújuco Píívyéébé ihjyú uubálle múnaa néhijcyádújuco.
MAT.3.1	Téijyúhjáa Jóáa tsojtsó múnáajpi úwáábohíjcyá mɨ́amúnáake Jodéá iiñújɨri ɨ́ɨ́néubárá píívyétútsihyi. 
MAT.3.2	Íllúhjáa úwáábohíjcyaábe:
MAT.3.2	—Méɨhvéjtsó ímítyú ámuha meícyahíjcyáne. Ááne ámúhá ɨ́jtsaméí mécápayóóvé ɨ́mɨánejcúvuréjuco. Muurá níjkyéjɨri íjcyaabe Píívyéébe íavyéjúejte meíjcya meke újcuíñé tsúúca méhdivu pɨɨhɨ́jucóóhií.
MAT.3.3	Diibyéhjáa Jóáádityu Píívyéébé ihjyú uubálle múnáajpi Itsaíá nééhií:
MAT.3.3	Méllééboó ɨ́ɨ́néubárá píívyétúné iiñújɨri íjcyaabe keeváwu íllu úwaabóne: “Méímibáávyé ímítyú ámuha meícyahíjcyánetu tsaímíyéjuco ámuha meíjcyámeke Ávyéjuube iájtyumɨ́vaki.”
MAT.3.4	Aanéhjáa diibye Jóáa camééllómú ɨhjɨ́netu méénúmeíñé wajyámúúnema íjcyáábéj pɨɨnétú ócájɨmɨ́ɨ́hé chiúcunúhi. Aabéhjáa tséréémuke dohíjcyáhi. Téhduréhjáa íímúhojpácyó ádohíjcyaábe. 
MAT.3.5	Áábé uwáábóhjáa illéébúcunú tsáácunúhijcyámé pahúllevátú Jerotsarée múnaaa, pámeere teene Jodéá iiñújɨ múnaa, Joodááj pɨɨhɨ́rí íjcyáné iiñújɨ múnaa, íjcyame. 
MAT.3.6	Áámedítyúhjáa muhdú iícyahíjcyanéhjɨ́ úúbállémeímyekéjuco dibye tsótsohíjcyáné teene Joodáatu.
MAT.3.7	Áijyúhjáa tétsihyi mítyame paritséó imyémé íjcyáha múnáama, tsadotséó imyémé íjcyáha múnaa íjcyame idyé imíllerá téhdure itsójtsótsámeíñé peecútére. Árómekéhjáa íllure tsɨjpájuúbe. Neebéhjápeé:
MAT.3.7	—Ávyeta ámuha ííñimyémúeméjté meíjcyámeke ¿múha ámúhakye néé peecútéré ámuha teene meméénúneri mepájtyetéiyóné Píívyéébe meke méimítyuháñé hallútú ɨ́cúbáhraíñé méúmɨ́wari íjcyánetu? 
MAT.3.8	Ɨ́mɨááné ámuha metsójtsótsámeíñé meímílléhajchíí ímityúné ámuha meícyahíjcyáné meɨ́hvéjtsóne ɨ́mɨáámeréjuco meíjcyá tééneréjuco ámúhadítyú ibóhówaúcunúki. 
MAT.3.9	Tsá múu néétune: “Muha muurá Aavaráaúvúj tsɨɨménémúhaabe meíjcyámeke tsá ɨɨná múúhakye pajtyéityúne.” Tsá múu ehdu íhjyúvatúne. Muurá íñe néwayúúné íjcyárónetu Píívyéébe ípívyéjtsóiyá tsíjtyeke Aavaráaúvúj tsɨɨménémúháábeke. 
MAT.3.10	Aabe muurá téhmehíjcyá ímítyúmeke iwáágóoíñé éhne múúne tsaapi ibájtsoháñetu ímiñe néévátuhéhjɨ́ iíllóne cóvajtsódu. 
MAT.3.11	Muurá ihdyu ɨ́mɨááné ámúhakye ó tsótsohíjcyá nújpácyori ámúhá imítyú ámuha meɨ́hvéjtsómé ɨ́jtsaméí tsíhdyuréjuco cápáyóóvémeke. Áánetu ihdyu íjcyaabe táhboone úwáábóiibye ávyeta táehnííñevu ɨ́htsútuube íjcyáábeke íjtyúhápáájɨ́ubáré o tácórɨúcu dííbyedívú o pɨ́ɨ́hɨ́véítyúroóbe. Diibye ihdyu ɨ́mɨááné cáhcújtsómé pañévú pícyoó Píívyéébé Apíícho. Áánetu cáhcújtsótúmeke cúújúwá pañévú waagóóiíbye. 
MAT.3.12	Aabe muurá mɨ́amúnáake iímíbájchómeke dówajcároó ímítyúmedítyu. Ááne tsaímíyé pícyóóiibye diitye ɨ́mɨáámeke. Áánetu ímítyúmeke waagóóiibye cúújúwá pañévú éhne múúne tríígotu íimíúhjɨ́ meújcúne íatéréene téjuuhójɨma mecóvajtsódu. Ehdúhjáa paritséómuke neebe Jóáaá.
MAT.3.13	Téijyúhjáa Gariréá iiñújɨtu Jetsóó péé Joodáavu Jóáa téhulle íjcyáábe éllevu dííbyedívú itsójtsótsámeíki. 
MAT.3.14	Árónáacáhjáa Jóáa néé dííbyeke:
MAT.3.14	—¿Aca muhdú cáábyerá uke ó tsójtsoó oke u tsójtsóíyóóbeke?
MAT.3.15	Árónáacáhjáa neebe dííbyeke:
MAT.3.15	—Árónáa ihdyu ú méénuú tehdu Píívyéébé ímillédújuco.
MAT.3.15	Ehdúhjáa dibye néénéllii Jóáa tsojtsó dííbyeke. 
MAT.3.16	Aabéhjáa itsójtsótsámeítsihdyu íjchívyeebe ɨ́ɨ́ténáa cáámetu Píívyéébé Apííchó ɨ́juuúdú bóhówaavéné niityé dííbyedívu. 
MAT.3.17	Áánáacáhjáa idyé téhullétúré cáámetu Píívyéébe nééhií:
MAT.3.17	—Áánu Hájchíwúuke o wájyúúbedi mítyane ó imíjyúúhií.
MAT.4.1	Aanéhjáa Jetsóó tsójtsótsámeíñé boone Píívyéébé Apííchó dííbyeke tsajtyé ɨ́ɨ́néubá píívyétúné iiñújɨvu téhullévú Naavéné dííbyeke imáváríjchoki.
MAT.4.2	Aabéhjáa téhulle 40 coojɨ́vájuco májchótuube íjcyaabe ajyábáávatéhi. 
MAT.4.3	Áábekéhjáa Naavéné imújtátsóro nééhií:
MAT.4.3	—Bo ɨ́mɨááné Píívyéébé Hajchi u íjcyáhajchíí íu nééwáyutu pááaho dípívyéjtsóne majchoj.
MAT.4.4	Árónáacáhjáa neebe dííbyeke:
MAT.4.4	—Muurá Píívyéébé waajácúháámɨtu nééneé: “Tsá apááñéré májchó tájpí meíjcyatúne. Muurá téhdure Píívyéébe meke néhdu meíjcyame tééne tájpí méijcyáhi.”
MAT.4.5	Ehdúhjáa Jetsóó áñújcúnéllii tsajtyéébé dííbyeke Jerotsaréevúréjuco. Áábemáhjáa néríívyemútsí cáámevu duurúvájá hallúvu. 
MAT.4.6	Átsihvúhjáa idyé neebe dííbyeke:
MAT.4.6	—Áyu cána ɨ́mɨááné Píívyéébé Hajchi u íjcyáhajchíí íchihdyu cátsiñíívyé baavújuco. Muurá dííbyé waajácúháámɨtu nééneé:
MAT.4.6	Píívyéébe wálloó níjkyéjɨ múnáake uke ditye ityéhme ɨɨná uke ipájtyétuki. Aabe tsá ɨ́ɨ́néúbatú u wápújúúvéityúne.
MAT.4.7	Ehdúhjáa Naavéné néérónáa idyé Jetsóó néé dííbyeke:
MAT.4.7	—Téhdure muurá nééne dííbyé waajácúháámɨtu: “Tsá Máavyéjuube Píívyéébeke memáváríjchóityúne.”
MAT.4.8	Ehdúhjáa Jetsóó néérónáa ɨ́hvéjtsótuube tsiiñe tsajtyé dííbyeke cáméhbaú nɨ́jcaúvu. Áhbaú nɨ́jcáutúhjáa úújétsoobe páneere ííñújɨ́ avyéjuvu. 
MAT.4.9	Áánemáhjáa neébe:
MAT.4.9	—Páneevúré íñeevu uke ó ájcuú u mɨ́móúúvéne oke u dúúrúváhajchííjyu.
MAT.4.10	Áánélliihyéhjáa Jetsóó dííbyeke nééhií:
MAT.4.10	—Dɨ́hne óhdityu, Náve Naavénej. Muurá Píívyéébé waajácúháámɨtu nééneé: “Máavyéjuube Mépiivyéébekéré medúúrúváábeke méɨ́ɨ́cúvéiyáhi.”
MAT.4.11	Ehdúhjáa Jetsóó néénetu ílluréjuco dibye ɨ́hvéjtsoíñúné dííbyeke. Ááné boonéhjáa níjkyéjɨ múnaáréjuco dííbyeke ɨ́ɨ́cuvéne.
MAT.4.12	Aanéhjáa téijyu tsojtsó múnáajpi Jóáake ditye cúvéhoojánúné uubállé Jetsóó iwáájácúne péé Gariréá iiñújɨvu íhcyóómi Natsaréevu. 
MAT.4.13	Ácoomíyíhjyáa wahájchotáré iíjcyáne ɨ́ɨ́neebe Capenaóovu, teene Gariréá iiñújɨri íjcyáné unéúcóbá úníuri Tsaboróoo, Netaríii, íjcyáné dohjɨ́ba múnáá iñújɨ́ɨ́cú úníuri íjcyácoomívu. 
MAT.4.14	Ehdúhjáa pajtyéné Píívyéébé ihjyú uubálle múnáajpi Itsaíá íllu néhdújuco:
MAT.4.15	Jodíómú íjcyátúné mɨ́amúnaa ijcyá Gariréá unéú ijcyátsihyi Joodáá úníuri, Tsaboróoo, Netaríii, íjcyáné dohjɨ́ba múnáá iñújɨ́ɨ́curi. 
MAT.4.16	Aame ícyahíjcyá ɨdáátsówu éhne múúne cúúvétsihyi meíjcyadu ɨ́mɨáájú wáájácutúmé wágóóóvéiyóme. Árómema tsúúca ijcyájúcooróné ditye pájtyetéíyóné uwááboju.
MAT.4.16	Ehdúhjáa Itsaíá nééhií.
MAT.4.17	Aanéhjáa Jetsóó úwáábótujkénuube nééhií:
MAT.4.17	—Méɨhvéjtso ímítyú ámuha meícyahíjcyáne. Ááne ámúhá ɨ́jtsaméí mécápayóóvé ɨ́mɨánejcúvuréjuco. Muurá tsúúca níjkyéjɨri íjcyaabe Píívyéébe íavyéjúejte íjcyáímyeke újcúíñe éévé úújetéhi. Ehdúhjáa Jetsóó úwáábótujkénuube nééhií.
MAT.4.18	Aabéhjáa Gariréá unéú úníuri péhíjcyaabe úújeté tsaatétsí íñáhbema amómeke tsɨ́nuhíjcyámútsidívu. Tsáápi méméhjáa Tsimóo Péédoro. Áánetúhjáa tsíjpi mémé Aderée. 
MAT.4.19	Áámútsikyéhjáa neébe:
MAT.4.19	—Ookéréjuco meúráávye. Muurá íñe amómé lliiñája múnáajtétsí ámuhtsi meíjcyámútsikye ó pícyoó mɨ́amúnáakéréjuco Píívyéébedívú ámuhtsi meɨ́búwáávétsóíñé wákimyéivu.
MAT.4.20	Ehdúhjáa Jetsóó néénéllii teenémáyé ɨjtsɨ́nuuháñé ɨɨ́hvéjtsóne peemútsí dííbyemáyéjuco.
MAT.4.21	Átsihdyúhjáa éhnííñéwúuri ájtyúmɨɨbe tsíjtyetsi íñáhbema Jacóóboo, Jóáaá, íjcyamútsí cááni Tsebedéoma ɨhmɨ́ɨ́né pañe ɨjtsɨ́nú pájáábohíjcyamútsikye. Áámútsikyéhjáa idyé pɨ́úvaábe. 
MAT.4.22	Aamútsíhjyáa téhdure ɨhmɨ́ɨ́nema cááníkye ɨɨ́hvéjtsóne péé dííbyemáyéjuco.
MAT.4.23	Páneerée Gariréá iiñújɨri muuha ímamyémuma Jetsóó úwááboobéré pehíjcyá mɨ́amúnáake diityé pihcyáávejááné pañévu. Úwáábohíjcyaabée ɨ́mɨáájú Píívyéébé avyéjutu íjcyáné uwááboju diityéke. Aabée bóhɨ́ɨ́tsohíjcyá páhduváré nééne chémeháñeri chéméméhjɨke. 
MAT.4.24	Ehdúu dibye méénuhíjcyánéhjáa páneere Tsííriá iiñújɨ múnaa iwáájácúne tsívahíjcyá dííbye éllevu páhduváré nééne chémeháñeri chéméméhjɨke: Avyéháñeri íjcyámeke, naavémú ípañe íjcyámeke, méívatéméhjɨke, íjpi vááúmeítyúneri chéméméhjɨke. Áámekée bóhɨ́ɨ́tsohíjcyaábe.
MAT.4.25	Ávyetáa pahúlleváré múúhama dibye péhíjcyáhulle mítyame mɨ́amúnaa dííbyeke úráávyehíjcyá Gariréaa, Decááporii, Jerotsaréee, Jodéá iiñújɨɨ, Joodáá tsiñéjcuu, íjcyátsɨ́hjɨ múnaa.
MAT.5.1	Aamée dííbyedívú píhcyáávénéllii cáméhbáú hallúvú ácúúveébe. 
MAT.5.2	Áábedívúu muha mepíhcyáávémeke pámeekéré úwááboobe nééhií:
MAT.5.3	Maímijyu ditye íjcyane ɨ́dátsó Píívyéébé icyánéjcú pɨáábójuri tsúúrámeíhijcyáme. Muurá tehdu néémé wáábyuta dííbyé avyéju.
MAT.5.4	Maímijyu ditye íjcyane ɨ́dátsó kímóhcó nénehjɨ pátyehíjcyáme. Muurá Píívyéébe tehdu nénehjɨ pájtyémeke ímíjyúúvetsóhi.
MAT.5.5	Maímijyu ditye íjcyane ‘mityáhmítyá’ néétume ímí tsaɨ́ɨ́buwáré ícyahíjcyáme. Píívyéébée diityéké iájcuíñé nééné iiñújɨ́ muurá diityé wáábyuta.
MAT.5.6	Maímijyu ditye íjcyane Píívyéébe ímillédú iíjcyáíyóneri tsúúrámeíhijcyáme. Muurá tehdu néémeke pɨ́ááboobe dibye ímillédú éhnííñevu ímí ditye iíjcyaki.
MAT.5.7	Maímijyu ditye íjcyane pamévakéré ɨɨ́daatsólléne pɨ́áábohíjcyáme. Muurá tehdu néémedi téhdure Píívyéébe ɨɨ́dáátsóvéne pɨ́aabóhi.
MAT.5.8	Maímijyu ditye íjcyane panévatúré ɨ́mɨááméré iíjcyáíyóneri tsúúrámeíhijcyáme. Muurá tehdu nééme tsaímíyé dííbyema ijcyáhi.
MAT.5.9	Maímijyu ditye íjcyane tsaímíyé pamévamáyé iíjcyáíyóneri tsúúrámeíhijcyáme. Muurá tehdu néémeke ɨ́mɨááné Píívyéébe dilló ɨ́ɨ́tsɨ́ɨ́medi.
MAT.5.10	Maímijyu ditye íjcyane ɨ́mɨáájú Píívyéébe néhdújuco ímí iúráávyéné déjúcotu ɨ́cúbáhrámeíhijcyáme. Muurá ehdu néémé wáábyuta dííbyé avyéjú ijcyá níjkyéjɨri.
MAT.5.11	Maímijyu ámuha meíjcyane tahñéjté ámuha meíjcyáné déjúcotu mɨ́amúnaa ámúhadi ɨɨ́cúbáhrámedi iúúhɨ́vaténe nehníwu állíuháñé íhjyúvahíjcyáme. 
MAT.5.12	Muuráhjáa ehdu nénehjɨ éíjyuúvú téhdure Píívyéébé ihjyú uubálle múnáake patyéhijcyáhi. Ahdícyane tehdu nénehjɨ ámúhakye pájtyérónáa íllure méimíjyuhíjcyaco. Muurá tehdu ámuha meɨ́cúbáhrámeíhíjcyáne áhdó ávyeta ɨ́ɨ́né imíjyaú ámuha méíjcyaá níjkyéjɨri.
MAT.5.13	Aame ííñújɨri ámuha méijcyá cánáámadu. Muurá teene cánááma iíímúnéllii meke pɨ́aabóhi. ¿Aca iíímútuca meke pɨ́áábóiyóne? Tsáhaá. Muurá tehdu tene nééca mewáágoóné mɨ́amúnaa ɨ́ɨ́teíñuhíjcyáiyáhi. Ahdu ámuha oke meúráávyénetu meɨ́hvetéhajchíí waagóojtéréjuco ámuha meíjcyaíñe.
MAT.5.14	Muurá peetédú ámuha méijcyá ííñújɨri ɨ́mɨáájú ámúhadítyú bóhówaúcunúhijcyáme. Muurá tsácoomi cáméhbáú nɨ́jcáuri íjcyacóómí tsá téévetúne. 
MAT.5.15	Áhdure peete tsá múijyú tsíeménevu maávohjácóítyuróne. Muurá ihdyu cáámevu íboohówátsihvu mépicyóó tene iájchúcunúki. 
