GEN.1.1	I muan tan tatanik, tan nainy te kat faruak e Gov a gormirmir an puputaa, 
GEN.5.7	Set te kaan mes jian an fits a ingainy, ana ayei kaa miton mes guei tsoiny an guei moun. 
GEN.5.8	Set te kaakaa sa onots sian natus ana saafunu ana fuan na ingainy ana ayei mat to.
GEN.5.9	E Enos te kaakaa sa onots sian saafunu na ingainy sa ruak iny taman na isen na guei tsoiny e Kainan. 
GEN.5.10	Enos te kaakaa sa onots jian natus ana saafunu ana ngim a ingainy, ana ayei kaa miton mes guei tsoiny an guei moun. 
GEN.5.11	E Enos te kaakaa sa onots sian natus ana ngim a ingainy ya mat to.
GEN.5.12	E Kainan te kaakaa sa onots fits saafunu na ingainy. Sa ruak iny taman na isen na guei tsoiny e Mayalali. 
GEN.5.13	E Kainan te kaakaan mes jian natus an fats saafunu na ingainy, ya kaa miton mes guei tsoiny an guei moun. 
GEN.5.14	Ai Kainan kaakaa to sa onots sian natus ana saafunu na ingainy ya mat to.
GEN.5.15	Mayalali te kaakaa sa onots gonom saafunu ana ngim ma ingainy, sa ruak iny taman na isen na guei tsoiny e Jeret. 
GEN.5.16	Mayalali te kaakaa pis sa onots jian natus an fopis saafunu na ingainy ya kaa miton mes guei tsoiny an guei moun. 
GEN.5.17	Mayalali te kaakaa sa onots jian natus an sian saafunu ana ngim ma ingainy ya mat to.
GEN.5.18	Jeret te kaakaa sa onots sen natus an gonom saafunu ana fuan na ingainy sa ruak iny taman na isen na guei tsoiny e Inok. 
GEN.5.19	E Jeret te kaakaa pis sa onots jian natus a ingainy, sa kamen mes guei tsoiny an guei moun. 
GEN.5.20	Jeret te kaakaa onots sian natus an gonom saafunu ana fuan na ingainy ya mat to.
GEN.5.21	E Inok te gonom saafunu ana ngim ma ingainy ya kaa mito na guei tsoiny e Metusela. 
GEN.5.22	E Inok te taan fiisen me Gov, Inok kaa ton mes fopis natus a ingainy sa ruak iny tamar mes guei tsoiny an guei moun kan. 
GEN.5.23	E Inok te toto sa kan fopis natus an gonom saafunu ana ngim ma ingainy. 
GEN.5.24	E Inok te taan fiisen me Gov, ai Gov nom towa, ana vainy gim to ma tagei pis ya.
GEN.5.25	E Metusela te kaan sen natus an fits saafunu na ingainy sa ruak iny taman na isen na guei tsoiny e Lemek. 
GEN.5.26	E Metusela te kaan mes fits natus an jian saafunu ana fuan na ingainy ya kaa miton mes guei tsoiny an guei moun. 
GEN.5.27	E Metusela te kaan sian natus an gonom saafunu an sia na ingainy ya mat to.
GEN.5.28	E Lemek te kaan sen natus an jian saafunu ana fuan na ingainy sa ruak iny taman na isen na guei tsoiny. 
GEN.5.29	Ai Lemek tsue to, “A Tsunaun te fakei tsuen parits iny kat fiiring puputaa. A guei to aya favusuainy rarora tana nag tan puputaa”; kat to ai Lemek koo to na guei to aya e Noa. 
GEN.5.30	E Lamek te kaan mes ngim natus an sian saafunu ana ngim ma ingainy, ya kaa miton mes guei tsoiny an guei moun kan. 
GEN.5.31	E Lamek te ka sa onots fits natus an fits saafunu ana fits a ingainy ya mat to.
GEN.5.32	E Noa te kaan ngim natus a ingainy sa ruak iny taman na ina pis a guei tsoiny, ere Siem, Ham, ai Jafet.
GEN.6.1	Te ruak fakap a vavainy tana fo mamatsiny pan tan puputaa, ana ri kaa miton guei moun, ri faagiir ton guei moun an guei tsoiny. 
GEN.6.2	U guei tsoiny ten Gov te tagei ir moun te mamatoong faarof fiisok, an fo isen isen tsuri nom raton moun tan koman patsukan tsuri, ana ri fanging ratuari. 
GEN.6.3	Ana Tsunaun tsue to, “Nyo gim on rou ma famanat iny a aavev Vanyo ma faan toto ya tana mes, a kaa ovei to, tana saa, arin vainy na iring tsun. Tanik non roman ayei kaa non onots non sen natus an fuan saafunu na ingainy.” 
GEN.6.4	Tan nainy to aya, an tan nainy te naa yen, te kaa men vainy kaatsian te kaakaa tan puputaa. U vainy to ari, u guei tan moun, ari te fanging ir guei ten Gov. Arin vainy parits fiisok, ana ri kan te kaa men asangan tan nainy to aya.
GEN.6.5	A Tsunaun te tagei kat tana vavainy tana fo mamatsiny pan gim ma rof tan fokinai nainy, u aave rari te fakats tsuiny non a foka na iring. 
GEN.6.6	Ana Tsunaun fakats fatabin pis to i muan, te kat fi ya na tsoiny ana moun ya paparaa to. San a Tsunaun te tagei ir tsoiny an moun, ari te fakats tsuiny a foka na fo iring, ya gim pis to ma paparaa iny a binun te kat ya muan. 
GEN.6.7	Ana Tsunaun tsue to, “Nyo kat fiiring rou a fokinai vainy, nyo te kat rari, kainon na saf a pan ya na te kaa rori na. Nyo kat fiiring kani rarou marei sensen an marei roruaf ana fo mamatsiny ka. Anyo patsukan you te kat a foka to ari nan, san Anyo te gima paparaa pis iny rari.” 
GEN.6.8	San a Tsunaun te paparaa iny e Noa.
GEN.6.9+GEN.6.10	Tovein siisio ten Noa. Ayei te kaa men na ina pis a guei tsoiny, ere Siem, Ham, ai Jafet. Noa ayei a mes a rof, an tataan tsunian toobing matan e Gov. Ayei a vaatau faman ten Gov. 
GEN.6.11	San a fo mes a fo vainy te kaa fiiring matan e Gov, an kat iring an kat iny fitaatsun via enato tana fo mamatsiny pan. 
GEN.6.12	San Gov te matoong me tan puputaa ana ayei tagei ton kat tana vavainy, iring fiisok, tataan tana mes, a kuav tsun.
GEN.6.13	Ai Gov tsue of to Noa, “Fokinai vainy te natiny kat ror viirviir kat iring, to na ka te komainy kat fiiring of ronyo ri, Nyo fakap faman i rarou a fokinai vainy. 
GEN.6.14	Anyi ma nom om tan nau rof, ana nyi te kat yan sen puak tsian tsumanyi. Nyi ma kat a fo bebei i gagon koman ya, ana nyi te us a koman ya ai jiarasan nan ya tan kolta. 
GEN.6.15	Anyi ma kat puak tsian to aya, a bangbang nan ya onots non fits saafunu ana ngim (75) ma ngaf, ana viviakoo nan ya onots non sen/fats natus an ngim saafunu (450) ma ngaf, ana nai jias nan ya onots non fats saafunu ana ngim (45) ma ngaf. 
GEN.6.16	Nyi kat rom a tagaa rubong nan puak tsian to aya, san a tagaa rubong to aya, te gim non ma sopip fakap. Anyi fakei rom a fuan seir fapoopoan nan na tagaa rubong ana soopip. I gagon tana puak tsian, anyi kat rom a fopis a pan iny ka, isen putaa, isen fapoopoan ana mes i jias. Ana nyi te kat matai sobaa ririkin a puak tsian. 
GEN.6.17	Nyo kat rou teisinuu tsian ai te ruak tan puputaa, ma kat fiiring ya na foka te kaa miror a toto. Fo mamatsiny ka mat ror. 
GEN.6.18	Anyo kat rou tsuen parits fiisen maminyi. Anyi ma sof gagon koman na puak tsian fiisen me natsum an guei tsumanyi fiisen men moun tsuri. 
GEN.6.19	Nyi ma nom i rari ina fuan, ina fuan fo mamatsiny viir marei sensen, isen na tsoiny, isen na moun. Ana nyi te a ton ra naa ri gagon koman na puak tsian fiisen ma minyi, ma gima mat ari. 
GEN.6.20	Ina fuan, ina fuan tan fo mamatsiny viir marei roruaf, an fo viir marei sensen kaatsian, an marei sensen kakaii, ari ma sof kan gagon, ma gima mat vaare ri. 
GEN.6.21	Nyi ma nom viirviir kainy ainy i tsumanyi an tan marei sensen an marei roruaf.” 
GEN.6.22	Eye, e Noa te kat a fo mamatsiny ka te tsue of ya Gov ma kat.
