MAT.1.1	Jisu Krista rui ryzâm dân chu: David sapâ, Abraham sapâ kyntâ: 
MAT.2.2	“Hangkakyn maw Juda ngyi mylal â zirmi chu? Khosak tyngtâ ârsi kyi mu ia, atak rang lau rang tâsiknin kyi hawng,” yng ti. 
MAT.2.3	Mylal Herod chu hamâ a hoi kale mylang a cha ta ia, Jerusalema mi â awm kipka khawm mylang yng na cha ta vang. 
MAT.2.4	Hakhanung chu, awchai ulyn ngyi le lekhasui ngyi kipka rang kounin yng na bum a, Krista a zirnâ lom mun yng na rythang a, 
MAT.2.5	hanung, yngni chu a kyn, “Judai rama Bethlehem kho kyn; hikhanin Pathyn pilâi ai sui sai â awm ha,
MAT.2.6	“ ‘Nyngma, Bethlehem Judai rama, Juda khopui ngyi sung atâ âtom chem chang mak che! Ny sung kyntâ â awp lom chu hawng sok at tia; ky maniâ Israel mi ngyi rang yng nâ zai lom chu,’ tinin hi,” yng ti. 
MAT.2.7	Hamâ zou nung Herod chu mising ngyi rang asung kân yng na kou a, hâ ârsi chu i zo kyn maw a rylang tinin sadim kân yng na rythang. 
MAT.2.8	Khanung, Bethlehem kho tyng yng na dep a, “Atun sê nang, hâ nâutê a awmnâ chu sadim kân va miridik rou; kyi khawm atak rang ky hawng lau thyi rang kân, nyng mu kale kyi hawng ril rou,” a ti. 
MAT.2.9	Mylal chawng yng hoi kale yng sê ta, hanung en raw, sak tyngtâ ârsi yng mu ha nâutê awmnâ rêngêna a tung mak tenka yng matawn tyng thyi â sê ia a va ryngam ta. 
MAT.2.10	Khanung, ârsi rang munin luk yng zâi a pâr ta. 
MAT.2.11	Khanung, in sunga yng vâ lut a, a nu Mari kyn nâutê rang chu yng vâ mu ia, rukhupnin yng va lau, hanung, yng roukawk ngyi yng mawhawng a, a kyn lawmnâ rângkychak, satyrai mirim, saryk mirim yng pêk. 
MAT.2.12	Khanung, Herod kân kir mak rangtânin yng rymanga ril yng chang tâsiknin yng kho tyng chu lam dang kân yng kir ta.
MAT.2.13	Yng sê zou kale, en raw, Pumâ kyntâ ryvânpilâi Joseph rymang kân a hawng rylang a, “Thou nang, nâutê le a nu rang roinin, Aigupta rama va rawt raw, nang ki ril nok mak tenka chu hanân awm ta raw; asik chu Herod nâutê rang that rangnin rawk at,” a ti. 
MAT.2.14	Hanung chu, â thou a, hâ zâna ngan nâutê le a nu rang roinin Aigupta rama a sê ta; 
MAT.2.15	khanung, Herod a thi mak tenka chu hanân ngan tit a awm ta: Pathyn Zawlnyi kân ai ril, “Ky sapâ rang te Aigupta ram kyntâ ky hawng roi a,” tinin ai ril sai ha a hawng tung thyi rang kân.
MAT.2.16	Hamâlâi Herod, mising ngyi atak rang yng lêm tâk tinin a hoi kale a ning luk a sy ta ia; mi yng na dep a, a zo ha mising ngyi kyntâ sadim kân yng nai rythang sai ngan, Bethlehem kho le a dem atâ kho ngyi kyntâ kum nika noi upâ nâupangtê awm tenka pheng yng nyng that tâk. 
MAT.2.17	Aphutlâi Pathyn Zawlnyi Jeremia ai mopong sai chu a hawng tung ta;
MAT.2.18	“Rama kho kyn chap hê a rohoi a,
MAT.2.18	ryngâisy chap, mêhêt le murum,
MAT.2.18	Rakili a nâu ngyi tâsiknin â chap a;
MAT.2.18	awm khâi ma ngyi tâsiknin a ryngâisy
MAT.2.18	mawng thyi khâi mak.”
MAT.2.18	tinin ai ril ha a hawng tung ta.
MAT.2.19	Herod a thi zou kale nung; Ryvân pilâi Aigupta ram kyntâ Joseph kyn a rymang kân a rylang a, 
MAT.2.20	“Thou nang, nâutê le a nu rang roi nang, Israel ram kyn sê raw; nâutê rang that rang a rawthawk ngyi chu yng thi zou ta,” a ti. 
MAT.2.21	Hanung chu, â thou a, nâutê le a nu rang chu a roi a, Israel ram kyn a lut ta. 
MAT.2.22	Imyitinung Arkelaus a pâ Herod ruthulnin Judai rama mylal â chang tinin hoinin hanân sê rang a chi ta; khanung, a rymang kânin ril ai chang kuvang Galili ram tyngnin a sê ta. 
MAT.2.23	Kho khatka Nazaret yng ti kyn chu a va awm ta; “Atak rang chu Nazaret mi ti iyng,” tinin Zawlnyi ngyi bâu kân ril sai ha a hawng tung thyinâ rang kân.
MAT.3.1	Hamâlâi baptisma â pêkmi Johan chu Judai Ramchâra hawngnin hi khanin chawng a ril a, 
MAT.3.2	“Risir rou! Pathyn ram chu a nâi ta,” 
MAT.3.3	Hamâ chawng ngan tou Pathyn Zawlnyi Isai ai mopong sai chu,
MAT.3.3	“Ramchâra luka a mêhêtmi chu,
MAT.3.3	‘Pumâ tâsik lampui rotok nang,
MAT.3.3	A lampui ngyi chu mitun rou,’ a ti,” tinin ai ril ha.
MAT.3.4	Khanung hâ Johan chu makingkang mul tâ pon a sil a, a kawnga mevun tâ kawngpet a khit a; a bu chu khâukhuk le khoitui â chang.
MAT.3.5	Hamâlâi Jerusalem khomi ngyi Judai ram kyntâ maniâ kipka ngyi, Jordan tuikol dung tinka kyntâ soknin a tyng khak yng sê ia, 
MAT.3.6	yng rono ngyi risirnin Jordan tuivâ kyn munkân a kyn baptisma yng chang ta. 
MAT.3.7	Imyitinung, Pharisai ngyi le Sadukai ngyi tamka baptisma chang rang tâ yng hawng a mu kale yng kyn; “Aw Murul rui ngyi! Ningsy a hawng tung lom kyntâ rawt rang tâsiknin atu maw nyng na ril? 
MAT.3.8	Khanung chu, mulung risirnâ mirylangnin myrâ rou; 
MAT.3.9	‘Abraham rui ngyi kyi chang,’ tinin mulung ryvak chang mar se; Pathyn te hi lung ngyi kyntâ ngan Abraham rui rangnin a la mythou thyi, tinin nyng na ki ril hi. 
MAT.3.10	Atun thing rubul kipka kyn ryi rebel a chang ta ia; hanung chu thing kung kipka myrâ thâ myrâ mak khoka rang chu rikitnin myia yng pai sin. 
MAT.3.11	Kyima te risirnânin tuia baptisma nyng na ky pêk sin a; imyitinung, ku nunga â hawng lommi chu kyima nêknin a rysâng a, a phyikawk rui musut rang ngan chuk ming. Atak te Rythâ Rythyng le myi le Baptisma nyng na pe iat; 
MAT.3.12	A kuta chekai a lek a, apol zâpnin milang at tia; pang sunga a bu chu thun at tia; a hawkka chu myichawk thi thyi mak kyn hâl at,” a ti.
MAT.3.13	Hanin a kyn baptisma chang rang tâsiknin Galili ram kyntâ Jordan tuivâ kyn Johan kyn Jisu â hawng. 
MAT.3.14	Imyitinung Johan chu, “Ny kyn tou baptisma chang rang kâ nang a, ky kyn mi maw ni hawng?” tinin khap rang a rawthawk. 
MAT.3.15	Imyitinung Jisu a kyn, “Atun kyn chu sawi hâm raw, hikhanin a rythyng mirikipnâ tinka misok zou hi yini tâsiknin â tha chem,” tinin a ril. 
MAT.3.16	Khanung, Jisu Baptisma a chang zou tui kyntâ â sok a; khanung, en raw, atak tâsik ryvân a rawhawng a, Pathyn Rythâ chu vathu kuvang hawng chumnin a rumu. 
MAT.3.17	Hanung en raw, Ryvân atâ chawng a rohoi a; “Himâ hi ky sapâ mawawl, ky zâipârnâ chemmi â chang,” a ti.
MAT.4.1	Hamâ zou nung Jisu chu diabol le mêthêmnâ kyn awm rang tâsiknin ramchâr kyn Rythâ le roi â chang.
MAT.4.2	Khanung, ni sawm milika le zân sawm milika bu ngyinin a awm kale nung, bu a hawng châm ta. 
MAT.4.3	Khanung, a mêthêmmi chu a kyn hawngnin, “Pathyn Sapâ ni chang nung te hi lung ngyi rang bai chang rang tâsiknin merep raw,” a ti. 
MAT.4.4	Imyitinung, atak chu, “Maniâ hi bai hawl le reng dam nâ ni ngyi a, Pathyn mur kân chawng ai sok tinka kân le tou dam yng, tinin sui â chang,” tinin a ril.
MAT.4.5	Hamâ zou nung diabol chu khopui rythynga a roi a, Tempul sip ruzum tak kyn a va miding a; 
MAT.4.6	hanung, a kyn, “Pathyn Sapâ ni chang a chang nung rochom raw;
MAT.4.6	‘Nyngma tâsik te a ryvânpilâi ngyi rang yng na rep at,
MAT.4.6	yng kut le nyng rawdawl yng tia, hamâ changmaknung, ny phyi lung le a rêkhêng polot thyi,’ tinin sui â chang a,” a ti. 
MAT.4.7	Jisu a kyn, “ ‘Pumâ ny Pathyn rang phyrmâ ma raw,’ tinin khawm sui â chang,” a ti.
MAT.4.8	Khanung diabol chu tâng rysâng tak kyn a roi nok a, khawmol ram tinka a lynnâ le a rysângnâ a mien. 
MAT.4.9	Khanung, a kyn, “Khupnin kyi lau raw, hi ngyi hi pheng nyng pe ket,” a ti. 
MAT.4.10	Hamâ zou nung Jisu a kyn, “Setan, hinântâ rykhai raw! ‘Pumâ ny Pathyn rang lau nang, a tul reng sin raw,’ tinin sui â chang,” a ti. 
MAT.4.11	Hamâ zou diabol chu hanântâ tyinin a sê ta. Khanung, en raw; ryvânpilâi ngyi a kyn hawngnin zai yng hawng tho tâk.
MAT.4.12	Johan rang yng man tinin Jisu a hoi kale Galili ram tyng a sê ta; 
MAT.4.13	Nazaret kho manin, Kapernaum kho kyn pat â awm a, (hamâ ha Zebulun le Napthali boma dil kola awm â chang).
MAT.4.14	Himâ hi zawlnyi Isai mur kân, chawng sok rikipnin,
MAT.4.15	“Zebulun le Napthali ram, Jordan râl tyng tuipuichek Jentail ngyi Galili;
MAT.4.16	Azing bila â sung ngyi tâ, sadim kân âvâr yng mu ta,
MAT.4.16	Thinâ mun le thinâ rinima â sung ngyi chunga
MAT.4.16	Avâr a hawng sok ta,” tinin ai ril sai chu a hawng tung thyi rang kân.
MAT.4.17	Hanintâ chu Jisu, “Risir rou! Ryvân ram chu a nâi ta,” tinin ril a phut tâk.
MAT.4.18	Galili tuipui kol kyn lêng bylamnin a sênâ kyn, Parol rysâ lu nika, Simon Peter yng timi le a nâupâ Andria chu, tuipuia lên vornin yng nâ mu. 
MAT.4.19	Khanung, atak chu yng kyn, “Kyi hawng ruzul rou, hanung chu maniâ man mitou nyng na sym ta ket,” a ti. 
MAT.4.20	Khanung, lên ngyi manin vawikazawk ngan yng va ruzul ta.
MAT.4.21	Khanung, hanântâ chu thyi â sê ia, parol nika, Zebedai sapâ Jakob le a nâupâ Johan chu, yng pâ Zebedai bylap mawlawnga yng lên yng sym yng na vâ mu ia; hanung, yngni rang khawm yng na kou tâk. 
MAT.4.22	Hanung chu, vawikazawk ngan yng mawlawng le yng pâ rang manin, a nung yng va ruzul ta.
MAT.4.23	Jisu yng Senagok ngyi kyn yng na rysyinin, Pathyn Ram retep rilnin mi ngyi dam mak tinka le zâl heknâ tinka kyntâ yng na midam, Galili ram mun tinka kyn â lêng. 
MAT.4.24	Suria ram pumpuia retep chu a thang ta ia; hanung chu dam mak tinka rikho le natnâ tinka â tor ngyi, rythâ thamak lutmi, Mirga ryvyi, â zeng ngyi a kyn yng nyng hawng roi a; pheng rang yng na midam. 
MAT.4.25	Galili ram atâ, Dekapoli kho kyntâ, Jerusalem kho kyntâ, Judai ram kyntâ, Jordan râl kyntâ ngyi khawm tamka yng ruzul ta.
MAT.5.1	Mipui ngyi rang munin tânga a vâ lui a, â sung a, a nungzui ngyi a kyn yng hawng. 
MAT.5.2	Chawng a ril a, yngni rang yng na rysyi tâk.
MAT.5.3	“Rythâ siknin â ryng ngyi tâ chu vânthâ, asik chu ryvân ram yng tâ â chang.
MAT.5.4	Ryngâisy ngyi tâ chu vânthâ; asik chu sungdâinâ la nyi yng.
MAT.5.5	Rotomnin â awm ngyi tâ chu vânthâ, asik chu khawmol hi yng tâ la chang at.
MAT.5.6	Rythyngnâ siknin buchâm tuirâlnin â awm ngyi vânthâ, asik chu mulungtâinin la awm yng.
MAT.5.7	Ryngmu â nyi tâ chu vânthâ; asik chu ryngmu la man yng.
MAT.5.8	Mulung rythyng ngyi tâ chu vânthâ; asik chu Pathyn rang la mu iyng.
MAT.5.9	Ryngyinâ â sym ngyi tâ chu vânthâ; asik chu Pathyn synâu tinin bê la chang yng.
MAT.5.10	Diknâ tâsiknin ron tawng ngyi chu vânthâ; asik chu ryvân ram yng tâ â chang!
MAT.5.11	“Mi ngyi kyima tâsik nyng nyng mêtêk nung, nyng nyng ron nung, lêmchawng le tha mak tinka nyng chunga yng vur tika chu nyng vân la tha iat. 
MAT.5.12	Hyr nang, sadim kân nyng zâi mipâr rou; ryvâna nyng lawmman tamka â awm, hamâ kuvang tyna Zawlnyi â awm ngyi rang khawm yng nyng ron sin.
MAT.5.13	“Nyngni rênêng chung michi nyng chang; imyitinung, michi hi a thi nung, hakhanin maw mial chang thyi nok at? Hamâ rang chu painin, maniâ ngyi sir lom chang loute a chuknâ reng awm mak.
MAT.5.14	“Khawmol myivâr nyng chang. Tângsip atâ kho awm chu ruthup thyi mak. 
MAT.5.15	Mi ngyi châti hâlnin tapawng noia syk sin ma ngyi, imyitinung, syknâ kyn tou yng syk sin; in sung kyntâ mi awm kipka rang a mivâr sin. 
MAT.5.16	Hamâ kuvang nyng vârnâ chu mi mitmu kyn khawm vâr se, hakhanung chu nyng sintho thâ ngyi mu iyng a, nyng Pâ ryvân atâ rang mypâk thyi iyng.
MAT.5.17	“Dân maw, Zawlnyi ngyi chawng maw mi rymang rang tâsiknin ki hawng tinin khym ma rou; mirymang rang tâsiknin ki hawng chang mak a, imyitinung mirikip rang tânin ki hawng tou â chang. 
MAT.5.18	Chawngtaktênin nyng na ki ril chu, rênêng le ryvân hi a rymang mak tenka le atinka a hek mak tenka chu Dân hi bykatê mitin pârka khawm hi rymang nâ ni. 
MAT.5.19	Khanung chu, hi chawngpêk ngyi sung atâ âtom chem khatka ngan mirysyt rang tâsiknin mi rang a rysyi khoka chu ryvân rama âtom chem la ti iyng; imyitinung, hamâ ngyi rang zawmnin, yng na rysyi khoka chu, ryvân rama te milyn la ti iyng. 
MAT.5.20	Nyng diknâ hi lekhasui ngyi le Pharisai ngyi diknâ rang a lyi mak nung chu ryvân ram kyn dep lut nâ chynyu tinin nyng na ki ril hi.
MAT.5.21	“Tynatâ mi ngyi kyn chu, ‘Mi that rang chang mak’ yng ti le, ‘mi that khoka chu a chunga roubo chang at’ tinin nyng hoi ha. 
MAT.5.22	Kyima chu hikhanin nyng na ki ril a, a parolpâ chunga a ning âsy khoka rang a chunga roubo chang at a; a parolpâ rang mâimok â sym khoka rang chu, bonâ rysânga roubo chang at; khanung, ‘Nâ taw,’ â ti khoka chu ronnâ myichawka â sê lom tinin nyng na ki ril sai tâk. 
MAT.5.23	Khanung chu, mâichâm kyn ny tharopêk ny mylân lâizing kyn ny parolpâ chunga mulung hyimaknâ ni nyi tinin ny rohoi nok kale, 
MAT.5.24	hâ mâichâm makunga ny tharo mylân lom chu manin, sêr nang, ny parolpâ le resel nang, hamâ zou chu ny tharo mylân lom chu hawng mylân ta raw. 
MAT.5.25	Ny mâitempâ le lampuia munkân nyng sêna kyn harawkhra ryngyipui raw, hamaknung chu ny mâitempâ chu roubomi ngyi kyn nyng miman at a; roubomi chu a myryk ngyi kyn nyng mylânnin jil nyng khum yng. 
MAT.5.26	Chawngtak kânin nyng ki ril hi, pawisa sentê ngan ny sat zou mak tenka chu hanân tâ dep sok thyi nâ chini.
MAT.5.27	“ ‘Ny myngnang lom chang mak,’ tinin ril ha nyng hoi sai.” 
MAT.5.28	Kyima chu mi atu khawm nupang rang ruzuk taknin â enmi chu, a mulung le a myngnang zou ta tinin nyng na ki ril â chang. 
MAT.5.29	Khanung ny bunêk tyngtâ ni mit nai mirysyl a chang nung, kêl nang pai raw; ny taksâ pumpui ronnâ kyn pai a chang nêk te, ny taksâ kyntâ kyryngka ai rysyt chu nyngma tâsik la tha iat. 
MAT.5.30	Ny bunêk tyngtâ ny kut nai mirysyl a chang nung, tannin pai raw; ny taksâ pumpui ronnâ kyn sê nêk te, ny taksâ kyntâ kyryngka ai rysyt chu nyngma tâsik la tha iat.
MAT.5.31	“ ‘Mi atu khawm nupui â ma khoka chu rytyinâ lekhâ a kyn per se,’ tinin khawm â awm. 
MAT.5.32	Kyima chu, mi atu khawm tangval dang ai mawawl chang lounin, a nupui rang â ma khoka chu, atak ai myngnang a rusuk ta; khanung, hâ mâk tawngmi rang â lâk khoka khawm ai myngnang â chang tinin nyng na ki ril â chang.
MAT.5.33	“Tynatâ maniâ ngyi kyn, ‘lêmnin samâiton ma raw, Pumâ kyn ny samâiton ngyi mi lam miroso raw;’ yng ti tinin khawm nyng hoi ta, 
MAT.5.34	imyitinung, kyima nyng na ki ril chu samâi reng ton ma rou, ryvân chingnin samâiton ma rou, Pathyn sungmun â chang; 
MAT.5.35	hanung rênêng chingnin khawm samâiton rang chang mak, asik chu a phyi syknâ mun â chang; Jerusalem le khawm chang mak, asik chu Mylal lyn chemmi khopui â chang. 
MAT.5.36	Khanung ny lu le khawm samâi ny ton lom chang mak, asik chu ny sam tyngka khawm a mingou le a mivawm thyi mak che. 
MAT.5.37	Nyng chawngril chu ‘â chang nung â chang’ ‘chang mak nung chang mak’ reng chang se; hamâ lyi chu tha mak kyntâ ai sok â chang.
MAT.5.38	“ ‘Mit ruthul mit, hâ ruthul hâ, tinin yng ti nyng hoi ta. 
MAT.5.39	Kyima chu nyng na ki ril hi, mi tha mak rang chu khap ma rou, ny bunêk khak tyng ny mâi a bên nung hanung khakka tyng khawm rawdawl raw. 
MAT.5.40	Khanung, nyngma le ryhalnin ny kanchili la rang â timi rang chu ny ponsil khawm pe raw. 
MAT.5.41	Khanung melka sê rang tânin nâ êtmi rang chu mel nika sêpui raw. 
MAT.5.42	A zawngmi rang chu per nang, ny kyn puk rang â nommi kyn khawm rykym ma raw.
MAT.5.43	“ ‘Ni indem ngyi rang mawawl nang, ny mâitem rang basê raw’ yng ti ngyi ha nyng hoi ta ia; 
MAT.5.44	kyima chu nyng na ki ril hi, nyng mâitem ngyi rang chu mawawl nang, nyng nâ ronmi ngyi rang tasik chu chawngmychai rou, 
MAT.5.45	nyng Pâ ryvânami synâu nyng chang thyi rang kân; atak te mi thâ le tha mak ngyi pheng chunga khawm ni a misok sin a, mi thâ le tha mak ngyi tâsik khawm ro a misur sin. 
MAT.5.46	Nyng na mawawlmi ngyi rang reng yng na nyng mawawl nung te i lawmman maw man thyi nyng? Choirosong ngyi ngan hamâkuvang tho sin ma ngyi maw? 
MAT.5.47	Nyng sokpui ngyi rang reng nyng lau nung mi nêknin imaw alyi nyng tho â awm lek? Jentail ngyi ngan hazika te tho sin ma ngyi maw? 
MAT.5.48	Hamâtâsik, nyng Pâ ryvân kyntâ a thanâ ai rikip kuvang nyngni khawm nyng thanâ ai rikip chang se.
MAT.6.1	“Nyng sin thâ tho ngyi mi rang rumu rang tâ, maniâ mit mu kyn tho mak rangnin rikimnin awm rou; hamaknung chu nyng Pâ ryvân kyntâ chu lawmman nyi nâ chynyu.
MAT.6.2	“Hamâsiknin, mi rang atika ny pêk nung, thalêmkom ngyi mypâk yng man thyi rang kânin, Senagok ngyi kyn, lampuidung ngyi kyn yng tho sin kuvang, ny makunga muri yng na mitum ma raw. Chawngtaknin nyng na ki ril hi, yng lawmman chu yng man zou ta. 
MAT.6.3	Imyitinung, nyngma chu mi rang atika ny pêk nung, ny bunêk ai tho chu ny vyi tyng tâ hoi mar se, 
MAT.6.4	ny tharo pêk chu a ruthupnin a awm thyi rang kân; hanung chu, ny Pâ a ruthupnin â mu sinmi chu nyng thung at.
MAT.6.5	“Chawng nyng mychai tikân, thalêmkom ngyi kuvang nyng tho lom chang mak a; mi yng mu thyi rang kânin, Senagok ngyi kyn, lamso ngyi kyn, ding bylampânin chawngmychai yng milung sin. Chawngtak kânin nyng na ki ril hi, yng lawmman chu yng man zou ta. 
MAT.6.6	Imyitinung, nyngma chu chawng ny mychai nung, ny thawngkar rydan sunga lutnin, ni in khâr nang, ny Pâ ruthupnin â awmmi kyn lam chawngmychai raw; hanung chu, ny Pâ a ruthup kân â mu sinmi chu nyng thung at.
MAT.6.7	“Khanung, chawng nyng mychai nung, Jentail ngyi kuvang nungkir nungkir ching ma rou; yng chawng ai tam tâsiknin hoilek at tinin yng khym. 
MAT.6.8	Hamâsiknin, yngni ngyi kuvang awm ma rou; a kyn nyng zawng mâna ngan nyng Pâ chu imaw nyng nâ nang tinin pheng â hoi. 
MAT.6.9	Hamâsiknin, nyngni chu hingkhanin chawngmychai rou:
MAT.6.9	Kyi Pâ ryvân atâ,
MAT.6.9	Ni riming zânin awm se,
MAT.6.10	Ny ram hawng tung se,
MAT.6.10	Ni nom kân,
MAT.6.10	Ryvâna yng tho kuvang nêng chunga khawm chang se,
MAT.6.11	Avyn kyi nai nang kân nêksâk kyi na pe raw,
MAT.6.12	Kyi ok ngyi kyntâ kyi na mawzawk raw, kyini khawm
MAT.6.12	Kyi kyn â ok ngyi rang yng na kyi mawzawk kuvangnin,
MAT.6.13	Mêthêmnâ kyn kyi na michul ma raw,
MAT.6.13	Imyitinung thamak kyntâ lam kyi na rung raw.
MAT.6.14	Mi ngyi rysylnâ kyntâ yng na nyng mawzawk nung, nyng Pâ ryvân atâ mi khawm nyng na mawzawk at. 
MAT.6.15	Imyitinung, mi ngyi rang yng na nyng mawzawk mak nung, nyng Pâ khawm nyng rysylnâ ngyi kyntâ nyng na mawzawk seng nâ ni.
MAT.6.16	“Bu nyng ngyi zo kyn khawm thalêmkom ngyi kuvang nyng mâi mikhu ma rou; yngni ngyi te mi mit mu kyn yng bungyinâ yng mirylang thyi rang kânin yng mâi yng mikhu sin. Chawngtaktênin nyng na ki ril hi, yng lawmman chu yng man zou ta. 
MAT.6.17	Imyitinung, nyng chu bu ny ngyi zo nung saryk ruthu nang, ny mâi phi raw; 
MAT.6.18	ny Pâ rumulounin â awmmi mit munâ kyn reng chang lou chu, maniâ mit munâ kyn ny bu ngyi rylang nâni; hanung chu, ny Pâ a ruthupnin â mu sinmi chu nyng thung at.
MAT.6.19	“Rênênga rengernâ le thir enin a rysyt thyinâ kyn, a murumi ngyi khyinin yng muruk thyinâ mun a, nunga tâ rang rou tyk ma rou; 
MAT.6.20	ryvâna a rengernâ le thir êknin a rysyt thyi maknâ kyn, a murumi ngyi khyinin yng muruk maknâ kyn, nyngni tâ rang rou chu tyk rou; 
MAT.6.21	ny rou a awmnâ khoka kyn ny mulung awm at.
MAT.6.22	“Tak tâ myivâr chu mit hi â chang; hamâsiknin ni mit a risim nung chu ny tak pumpuinin a vâr sok at. 
MAT.6.23	Imyitinung, ni mit ngan a rysyt ta nung ny tak pumpuinin pheng zing at. Hamâsiknin, nu sung atâ âvâr chu âzing chang tar synang, âzing chu hazika maw rum at ha.
MAT.6.24	“Mi atu khawm pumâ lu nika rang munkân â zâi zou thyi awm mak; luka rang mumâknin hanung luka mi rang mawawl yng, a changmak kale, luka rang changnin hanung luka mi rang misit yng. Pathyn le sum munkân a tul sin thyi nâ chynyu.
MAT.6.25	“Hamâsiknin, nyng na ki ril hi, imaw ne ket, imaw sa ket ai u? tinin nyng nun tâsik le, imaw silnin kâi ket ai u? tinin nyng taksâ tâ rang nyng mulung mikham ma rou. Nêk sâk nêknin nun hi â lung chem chang mak maw? Pondyr kâi nêknin taksâ mi khawm lung mak maw? 
MAT.6.26	Chunglêng vâ ngyi rang hi en rou ta; sâng tu ma ngyi a, ât khawm ât ma ngyi, mâizama yng bum awm mak; imyitinung nyng Pâ ryvân kyntâ mi chu yng na mysâ ha. Nyngni te yngni ngyi nêk te luk nyng na lung mak maw? 
MAT.6.27	Khanung, nyng kyntâ atu maw ryvaknâ le a dung mukka rang a mirysâng thyimi. 
MAT.6.28	Khanung, itâ maw pondyrkâi tâ te hazikzâi nyng mulung nyng mikham? Ram atâ chyk pârtê ngyi lyn dân hi sadim kân ryvak rou; tul sin ma ngyi, pat khawm kher ma ngyi, 
MAT.6.29	imyitinung nyng na ki ril hi, Solomon tenka khawm a rysângnâ awm tenka le a rovo khawm ha, hi chyk pârtê khatka kuvang khawm hi rooi mak. 
MAT.6.30	Hamâsik, ram chyk, avyni â dam, thâituk nung rytap kyn to lom rang ngan Pathyn hazikzâi a miryyu nung te, aw khymrou ngyi, sildyrkâi te nyng na pe nâni maw? 
MAT.6.31	Hamâsiknin, ‘Imaw sa kyi?’ ‘Imaw ne kyi?’ maw ‘I silnin maw awm kyi?’ tinin ryvak ma rou. 
MAT.6.32	Jentail ngyi tou hangyi yng rawk sin. Hangyi pheng nyng nâ nang tinin nyng Pâ ryvân atâ rêk â hoi. 
