MAT.1.1	Maketourou gel ka dooudjé lo Jésus Christ, ngon lo David, ngon lo Abraham.
MAT.5.33	Sésè woidjé mare bai ke dèdè mpa dare dooudjé leo, Ase kare i oubou yo ke ngem ang, a ase kare i ouka are Mbaibé Seigneur tar koubou yo loi.
MAT.5.34	A ma mpa maresè, oubidjé yo kada ang, ke ri dara ang mbata nè nto ngèndé gange tar lo Allah.
MAT.5.35	Aséh ke ri nange ang mbata nè nto né kongou gòlè, aséh ke ri Jérusalem ang mbata nè nto béh lo tokou Mbaibé.
MAT.5.36	Oubou yo dòi té ang, mbata i ase da bi dòi kare poutou aséh ndoul kada ang.
MAT.5.37	Ase kare tar ke sésè epaidjé to tar aä aséh eë, mare tar wota yéh ke nèn to lo ndjè kembaa.
MAT.5.38	Sésè woidjé ke dèdè mpa leo, Kem mbata kem, ngange mbata ngange.
MAT.5.39	A ma mpa maresè, mbetidjé doou ke madjang ang. A tokou doou kada oundai kambòri ke kòl, etourou marè arè tò.
MAT.5.40	Tokou mare doou kada ndiki ta kao sei loou gange tar té ta taa koubou ke tarr loi, arè koubou ke bo loi tò.
MAT.5.41	Tokou doou kada waai ke singa ta kao deo bo kourou deo kada, ao sa kourou deo djo.
MAT.5.42	Are doou né ke nè ndoudji, mbeté né ke doou ndiki ta tounai ang.
MAT.5.43	Sésè woidjé ke dèdè mpa leo, Ase kare i ndiki doou ke ndjè nin kei mari ke ta mbeté ndjè kembaa loi.
MAT.5.44	A ma mpa maresè, ndikidjé ndjè kembaadjé losè, edoudjidjé Allah mbata dèdè ke ngäsè ke tar.
MAT.5.45	Baa ta kare sésè edéidjé ngandjé lo Bòsésè ke éh dara. Mbata nè nare kade la téh dò ndjè ke madjang, ke dò ndjè ke madji tò. Nè noula ndi dò ndjè ke gaté gaté, ke dò ndjè ke gatang tò.
MAT.5.46	Mbata tokou sésè ndikidjé dèdè ke ndikisè, nè kouka losè to deo di té wa? Ndjè taa narè lʼimpôtdjé da tokou ban tò ang wa?
MAT.5.47	Tokou sésè edaidjé laphia ngakösè kadaba, sésè edaidjé né ke madji wota ke maredjé da wa? Dooudjé ke to Gentildjé da tokou ban tò ang wa?
MAT.5.48	Tokou ban, ase kare sésè edéidjé madji toï deo kadaba tokou Bòsésè ke dara to madji toï.
MAT.6.1	Ngemidjé madji mbata sésè edaidjé koula ke madji nò dooudjé té ang, ta kare dèdè do, mbata tokou ban sésè a kingaidjé kouka dji Bòsésè té ang ke éh dara.
MAT.6.2	Tokou ban, tokou sésè aridjé né kare ba, ekòlidjé tebe dòsè té ang, deo kadaba tokou ndjè kere ngemdjé da mè kei Allah té ke deo bo té tò, baa ta kare dooudjé pitidè. Tokoro ma mpa maresè, dèdè dinga kouka lodè mbä.
MAT.6.3	Tokou i are né kare ba, are dji ke gèl geré né ke dji ke kòl da ang.
MAT.6.4	Baa ta kare né kare ba loi to ke loou kiyèè té hoi, ke Bòidjè ke wo ke loou kiyèè té hoi, a kari kouka loi.
MAT.6.5	Tokou sésè edoudjidjé Allah, ase kare sésè edaidjé tokou ndjè kere ngemdjé ang, mbata dèdè ndiki ta karr ta doudjou mè kei Allah té ke to deo té, ta kare dooudjé wodè. Tokoro ma mpa maresè, dèdè dinga kouka lodè mbä.
MAT.6.6	Tokou i doudjou Allah, ao mè kei té loi, outou tadeo kei. Epa are Bòidjè ke éh loou kiyèè té hoi, ke Bòidjè ke wo ke loou kiyèè té hoi a kari kouka loi.
MAT.6.7	Tokou sésè edoudjidjé, epaidjé tar ba gè eo ang tokou dooudjé ke to Gentildjé da. Dèdè dedji da ko tar lodè mbata dèdè mpa tar gè eo.
MAT.6.8	Edaidjé tokou dèdè ang, mbata Bòsésè geré né ke dousè dongor ke sésè edoudjèdjé.
MAT.6.9	Bana edoudjidjé Allah tokou ban,
MAT.6.9	Bòdjèdjè ke éh dara,
MAT.6.9	Ase kare ri to madji wota toï,
MAT.6.10	Are béh ko loi dé,
MAT.6.10	Aredè nda né ke i ndiki ke nange nèn,
MAT.6.10	tokou dèdè nda ke dara.
MAT.6.11	Aredjè bokonè, mourou lodjè ase ke ndò kada kada.
MAT.6.12	Iya né ke madjang lodjè,
MAT.6.12	Tokou djèdjè djïya né ke madjang ke dooudjé da kedjè to.
MAT.6.13	Aredjè ta kao loou kere té ang,
MAT.6.13	A òroudjè dji ndjè kembaa té,
MAT.6.13	Mbata béh ko, ke singa, ke ndokoo, to loi ke ndò ke ndò, Amen.
MAT.6.14	Mbata tokou sésè ïyaidjé né ke madjang lo dooudjé, Bòsésè ke dara a kïya né ke madjang losè to.
MAT.6.15	Tokou bo sésè ïyaidjé né ke madjang lo dooudjé ang, Bòsésè a kïya né ke madjang losè ang to.
MAT.6.16	Tokou sésè ïyaidjé mourou, are ongou da kemsè ang tokou lo ndjè ngemdjé, mbata dèdè nda kemdè dang dang ta kare dooudjé wo dèdè dïya mourou. Tokoro ma mpa maresè, dèdè dinga kouka lodè mbä.
MAT.6.17	Tokou i ïya mourou, ndem oubou dòi té, etoko kemi,
MAT.6.18	Ta kare dooudjé geré tar kïya mourou loi ang, a ta kare Bòidjè ke éh loou kiyèè té hoi wo, ke Bòidjè ke wo ke loou kiyèè té hoi a kari kouka loi.
MAT.6.19	Mbòidjé né kinga mbata losè ndja do nange té nèn ang, loou ke ndirbòrou ke mbòrkasè toudjoudè, loou ke ndjè boukoudjé ao kendé ta boukou.
MAT.6.20	A mbòidjé né kinga mbata losè ndja ke dara, loou ke ndirbòrou aséh mbòrkasè toudjou ang, ke ndjè boukoudjé ao kendé ta boukou ang.
MAT.6.21	Mbata loou té ke né kinga loi to kendé, mei a to kendé to.
MAT.6.22	Kem to lampe ke rò té. Tokou ban, tokou kemi wo madji, ròi toï a karè.
MAT.6.23	A tokou kemi to madjang, ròi toï a dousou ke londoul. Tokou ban, tokou lokarè ke mei té ndoul mbä, londoul a dé wota nya.
MAT.6.24	Doou kada ase ta da ke ebèèdjèdèdè djo ang, mbata nè na mbeté yéh ke kada ke na ndiki marè, aséh nè na da kare yéh ke kada madji, ke nè na ko tar lo marè ang. Sésè asidjé da mbata Allah ke mbata narè djokem ang.
MAT.6.25	Tokou ban ma mpa maresè, esangidjé mèsè mbata tébe losè ang, mbata a köndjé mourou di wa, aséh a kaihdjé di wa, aséh mbata da ròsè ang to, koubou di baa a koulaidjé wa? Tébe to wota mourou ang wa, ke da rò wota koubou ang wa?
MAT.6.26	Woidjé eldjé ke ï tarr, dèdè ndoubou kandé ko ang, dèdè doudja ang, dèdè dongou kandé mè dam té ang to, a Bòsésè ke dara aredè mourou. Sésè madji wotaidjédè ang wa?
MAT.6.27	Doou ke da horosè té ke mèa sangè ase ta da rè kare ngal wota wa?
MAT.6.28	Mèsè sangesè mbata koubou mba di wa? Woidjé tar lo ndidjadjé ke to mè ndòò té, tokou dèdè ntòkou, dèdè nda koula ang, dèdè nsoré ang,
MAT.6.29	A ma mpa maresè, Salomon ndja ke né ndokoo la toï oula koubou ke koura tokou mare kada lodè ang.
MAT.6.30	Tokou Allah da né ke koura ban are mou ke mè ndòò té, ke to to né ke bokonè, ke bara da kila pouro, nè na koulasè koubou wota nya ang wa, sè dooudjé ke ndjè ko mè tédjé ngadji?
MAT.6.31	Tokou ban, aridjé mèsè sangesè ang ta pana, Dja kön mourou di wa? Aséh, Dja kaih di wa? Aséh, Dja koula koubou di wa?
MAT.6.32	Mbata Gentildjé sange né nèn toï, a Bòsésè ke dara geré né toï nèn ke dousè.
MAT.6.33	A esangidjé béh ko la, ke gaté gaté la dongor, a da karesè nèdjé nèn toï to.
MAT.6.34	Tokou ban, aridjé mèsè sangesè mbata bara ang, mbata bara a sange né la ndja. Ongou ke ndò kada ase mbata ndòè ndja.
MAT.7.1	Egangidjé saria ang, baa ta kare da gange saria dòsè té ang.
MAT.7.2	Mbata da gange saria kesè deo kadaba tokou sésè egangidjé saria kedè, ke da kòdjousè deo kadaba tokou marè ke òdji-djédè to.
MAT.7.3	Mbata di a i wo ngoi kake ke to kem ngoköi té, a i wo doukourou kake ke to kemi té ndja ang wa?
MAT.7.4	Aséh i a pa kare ngoköi tokou di wa, Arem mòrou ngoi kake ke to kemi té, tokou doukourou kake to kemi té ndja wa?
MAT.7.5	I ndjè ngem, òrou doukourou kake ke to kemi té ndja dongor, tokou ban i a ko madji ta kòrou ngoi kake ke to kem ngoköi té.
MAT.7.6	Aridjé né ke madji toï bisidjé ang, ilaidjé meré perle no berredjé té ang, na dòmadjang a dèdè mbòïdè ke gòldè ke ntél ta kòsousè.
MAT.7.7	Edoudjidjé a da karesè, esangidjé a sésè a kingaidjé, oundaidjé tadeo kei a da kòrou karesè.
MAT.7.8	Mbata dooudjé kada kada toï ke doudjou dinga, nè ke nsange, nè ninga, nè ke nounda tadeo kei da kòrou karè.
MAT.7.9	Aséh doou ke da horosè té, tokou ngonè ke dingao doudjè mbata mourou na karè err wa?
MAT.7.10	Aséh tokou nè ndoudjou mbata kaindji na karè li wa?
MAT.7.11	Tokou ban, tokou sésè ke etoidjé madjang egeridjé ta kare né ke madji ngansè, Bòsésè ke éh dara ndiki madji wota ta kare né ke madji dèdè ke ndoudjè ang wa?
MAT.7.12	Tokou ban, né ke sésè ndikidjé ta kare dooudjé da kesè, edaidjé kedè tokou ban to, mbata yèn to tar ndedji ke prophètedjé.
MAT.7.13	Abidjé ke ta deo té ke to ngadji, mbata ta deo ke taaté, ke deo ke to ngeng ang ao loou toudjou té, dèdè ke dao deoè té nto ke baya.
MAT.7.14	Mbata ta deo ke to ngadji, ke deo ke to ngeng ao loou tébe té, dèdè ke dinga deo nèn mbaya ang.
