MAT.1.1	Taki̱da ki̱kuwang Yesu Masiya, buke Dauda, wu n ki̱n buke Yibrayime.
MAT.2.9	Yo n chi a nwe ya̱m maime, a yika ti̱n. Yo a yaki̱ yikadu we wa̱re, ki̱swi n chi a no ku a twa̱re, a fwetewe a kakku chiyang, n chi a nabu ki̱swi a lanti̱ fi a bi̱n bwe. 
MAT.2.10	Yo n chi a ku ki̱swiye, a ma furi mwen. 
MAT.2.11	N chi a le lo, a ya bwe n ti neki̱n m Maryamu. N chi a sung a sii ki̱n. Yinu a kwi kuli̱n chi̱nu, a ni ki̱li̱mang sinariyang n ti ti̱nungri ti̱ti fi̱rfi̱ri ti̱tu ki̱yalu ko luban n ti muri.
MAT.2.12	Yo n chi a yaki̱ ki̱la ti̱m chime, a bunti̱ wuka wa̱re di̱ne n Kwama a wu chimi̱n ki̱tele a dwakam ko a ki̱ladu bwa a di̱Yiridu se we.
MAT.2.13	Yo ni̱bu yingki̱m a yikane, wuka naba di̱tumbi̱re Tewuduwe a mwa Yusufu a dwakam ko, “Kun, da̱u bwemo n ti ne ki̱n, ti̱yika Masar yati̱ swe a bwako, ka lami̱nti̱ yo mang yal chi̱n ne, di̱ne m Mai Yiridu ki̱baddu ka chi̱u bwe.”
MAT.2.14	N Yusufu a kun we kum wuko a da̱u bwe n ti ne ki̱n a yikan Masar. 
MAT.2.15	N ki̱n a swe we bwako a lami̱nti̱ yo n Yiridu a bwange. Ti̱tu a fwe yiko ke a ri chi n Tewuduwe a fwa a yii fa̱kubu ko, “N yale bwemi a Masar.”
MAT.2.16	Yo n Yiridu a swaan ko ni̱bu yingki̱m a buti̱ ki̱ne, ni̱r ki̱nu a kaiyan. Di̱ne ki̱fwiniye, n ki̱n a na yilang ko ni̱bu a chiben bwesi̱m bi̱bari̱mu a lam swa̱ti turabi̱mu n ti bi̱bu a lambi̱mu we Beti̱lami n ti bi̱bu a ki̱dire Beti̱lamimu ki̱ni kwang. N ki̱n a bunti̱ chi ni̱bu yingku chi a twiyemu a fwa ki̱mi̱n we bi̱be bwetu.
MAT.2.17	Nang ki̱swi wu ya̱m Fa̱ku n Yirmiya a ri mi̱ne ko,
MAT.2.18	“N nwe keme a Rama,
MAT.2.18	wii furi ki̱liki̱li di̱dune.
MAT.2.18	Rayila ki̱kii wii
MAT.2.18	di̱ne bwesi̱m ki̱mu,
MAT.2.18	A kebu wuka nii ka kire ki̱mi̱nu,
MAT.2.18	di̱ne n chi a bwa.”
MAT.2.19	A kuteng ki̱ku n Yiridu a bwangu, naba di̱tumbi̱re Tewuduwe a mwa Yusufu a dwakam we Masar ko, 
MAT.2.20	“Kun, da̱u bwe ti neki̱n ti̱yika Yisrela, di̱ne ni̱bu ki̱baddu ka chi̱u Bwemu a bwaran.” 
MAT.2.21	Yinu a kun a da̱u loko a yika ti̱m Yisrela.
MAT.2.22	Yinangu n ki̱n a nwe ko n Arkilayu bwe Yiridu ki̱chau kula te ki̱ne we mati̱n Yafudiya tangu, tayi a tau ki̱n di̱ne bwe Yiridu. N Kwama a wu ki̱mi̱n ki̱tele a dwakam, yinu n ki̱n a twa̱ng a yika ti̱m Ka̱lili. 
MAT.2.23	N ki̱n a ya swe a di̱kan bi̱n di̱du ni̱bu ki̱yalu ko Nasa̱reti̱n, di̱ne ke a ri chi fa̱ku Kwama a fwa ko, “Ka yal ki̱nu ko naba Nasa̱rete.”
MAT.3.1	We ki̱dang kangu n Yowana naba Batisma a beki̱ma di̱mwar ya̱m Kwamanu a di̱si̱lachangi̱n Yafudiya, 
MAT.3.2	ko, “Ti̱wo ki̱ti̱m, di̱ne Yaa Kwama a mwatawe!”
MAT.3.3	N ki̱n nang wu n Fa̱ku Yichaya a fwaan ya̱m feredi ko,
MAT.3.3	“We di̱chi̱lachangi̱nu wuka nii ki̱ma di̱yal ko,
MAT.3.3	‘Ti̱do Tewuduwe mi̱n wa̱re,
MAT.3.3	ke n ki̱n a yawe wa̱re tibeni ture.’ ”
MAT.3.4	N Yowana a do luke wu a ma ki̱ni ri ta twalumiye. N ki̱n a mu tar ki̱nu ki̱ni ki̱biyang di̱ba̱la̱ng. Chabtu kitu ki̱kwiti n ti mwe rwiye. 
MAT.3.5	Ni̱bu Wurchalimamu n ti bi̱bu a yaa Yafudiya mi kwang n ti bale La Wurdune ki̱rwaa bwa a di̱ki̱ne kutukutu. 
MAT.3.6	Ki̱wo ki̱ti̱mu, n ki̱n ki̱ma chimi̱nti̱ batisma we La Wurdune.
MAT.3.7	Yo n Yowana a ku ni̱bu Farisamu n ti ni̱bu Sadukiyamu ki̱bedu ka ma batisma, a yi chi ko, “N ti̱n soti yi bwilaiyu, n wure a mwa chi̱n ko ti̱wul we ki̱fwini Kwama ki̱bede? 
MAT.3.8	Ti̱ma nangang ki̱ku ka yungdu ti̱wo ki̱ti̱mang. 
MAT.3.9	Ti̱da̱ngdu we ti ta fwadu we yi chiyu ko Yibrayim n te chi̱ne. Mi̱n fwa chimi̱nu n Kwama ki̱ni da ka kuku kali, ka kau bwesi̱m Yibrayim. 
MAT.3.10	Ki̱ka̱ngu a tu a yo yii twa̱ne we ki̱yineng tiyange; Kanang ki̱ki̱le tiyang ki̱ku a tubu chi ti̱yiliyange, ka ki̱sedu, ka twidu a ki̱rang.”
MAT.3.11	“Mi̱n ma chimi̱n batisma ki̱ni mwe, ke a yung ti̱wo ki̱ti̱m, aya wu ki̱bedu a kuteng mange, a la mi̱n ki̱ni dwiyentu. Kasi no ki̱wami kiyu mang lwebu mang tadu. N ki̱n ka ma chimi̱n batisma ki̱ni Fi̱ki̱m Kwamam n ti ki̱rang. 
MAT.3.12	Nii wu ki̱ni kwefi̱ra we fa̱la̱ng kangu, ka chaku ki̱nuti chaam we tuitu, ka kur ki̱nutiyu a bi̱ne, ka yaa furitu n ti tuitu ka twidu a ki̱rang ki̱ku a ne dumedu dumeneng.”
MAT.3.13	We ki̱swi wuko n Yesu a kune we Ka̱lili, a ya bwana di̱Yowana we La Wurdune, fiki̱mang batisma ko ke a ma ki̱mi̱n batisma. 
MAT.3.14	N Yowana a no kebu ka ma ki̱mi̱n batisma, a yi ki̱n ko, “M mi̱n wu mi̱n baddu mwang ma mi batisma, nang wu ki̱la mwang bedu mwi m ma mi̱na?”
MAT.3.15	N Yesu a yi ki̱n ko, “A kabi yiko ki̱ka̱ngu, di̱ne wu nang wa̱re niing riin yile Kwama.” Yinu n Yowana a ke fal.
MAT.3.16	Yo n Yesu a chire we mwe wu n ki̱n a mang batisma, bi̱nabi̱na dii a wuden, a ku Fi̱ki̱m Kwamamu ki̱suwedu we dii yinang ki̱kube a be sung we di̱ki̱ne.
MAT.3.17	Yinu ker a chire we dii ko, “Wu nang Bwe Ni̱re mi, m mi̱lan, mi̱n nwe ta̱ma̱ng ki̱ni ki̱n.”
MAT.4.1	Fi̱ki̱m Kwamamu a yikani ki̱ni Yesu a di̱si̱lachangi̱n ko ke n Setan a swe ki̱n. 
MAT.4.2	A kuteng ki̱ku a da̱u dimwen diti wan taana, kum n ti kukongu, chun a bu ki̱n. 
MAT.4.3	Fakware, naba swa̱ka̱ke, a be we di̱ki̱ne ko, “Ka mun nang Bwe Kwama, yi kali yiyu mwi a kau ki̱danne.”
MAT.4.4	N Yesu a ke ko, “A mwal ko,
MAT.4.4	‘Chi ki̱nii ti̱kuriye n ke kana chabtu.
MAT.4.4	Aya ka nang di̱di̱le di̱kwa̱l
MAT.4.4	di̱du ki̱chiredu a di̱Kwamane.’ ”
MAT.4.5	Yinu n Setan a ki̱la yal Yesu, a yika Wurchalima, a fi a suu a la chi we Kan Kwama di̱duna Wurchalimanu. 
MAT.4.6	A yi ki̱n ko, “Ka mun nang Bwe Kwama, rii sutubu we ti̱mu, di̱ne a mwal ko,
MAT.4.6	‘N Ki̱n ka yi ni̱bu ti̱tumbi̱ri ki̱mu ya̱m.
MAT.4.6	Ka konu ki̱ni fa̱li chi
MAT.4.6	Ko ke ngaudu bewure.’ ”
MAT.4.7	Yinu n Yesu a yiti̱ ki̱n ko, “A mwalmwale, a ne mwang swe Tewuduwe Kwama mo!”
MAT.4.8	N Setan a ki̱la yal ki̱n a di̱kun di̱swa̱mi̱n, fi a ya yungi̱n ki̱n yaati ti̱ti̱niyu n ti dwiyen chi̱tu kwang. 
MAT.4.9	Yinu a yi ki̱n ko, “Ka n sung, n siiye, mang ni̱nu ki̱ni kwang.”
MAT.4.10	N Yesu a yi ki̱n ko, “Setan, yika mi̱n a fi! A mwal ko, ‘Dela Tewuduwe Kwama, sii ki̱n ki̱kun!’ ”
MAT.4.11	Yinu n Setan a du ki̱n. Ni̱bu ti̱tumbi̱ri Kwamamu a be, a dela ki̱n.
MAT.4.12	Yo n Yesu a nwe ko n Yowana a le di̱bi̱nti̱le, a kun a yika Ka̱lili. 
MAT.4.13	N ki̱n a du Nasa̱ret a ki̱la Kafanawu wu a ki̱ti̱ku La wurdune, wu a ki̱dire ti̱m Chabulum n ti Nafi̱taliye. 
MAT.4.14	Ke a ri chi fa̱ku Yichaya a fwaatu ko,
MAT.4.15	“Ti̱nwei, ni̱bu Chabulum n ti ni̱bu Nafi̱talimu,
MAT.4.15	n ti̱n bi̱bu ta da a wa̱re
MAT.4.15	la wurduni̱mu n ti kangu
MAT.4.15	ba̱la̱ng we ki̱ti̱ku Wurduni̱mu,
MAT.4.15	n ti kuu Ka̱lili bi̱bu ni̱bu
MAT.4.15	n ke ni̱bu Yafudam a dawemu.
MAT.4.16	Ni̱bu bi̱bu a no swe
MAT.4.16	a da ki̱liyemu, a ku yiiki̱ku,
MAT.4.16	Bi̱bu a no swe a ki̱liye ki̱letiyemu,
MAT.4.16	a ya yiiki̱ku.”
MAT.4.17	A mwetuwe ki̱dang kangu, n Yesu ki̱ma di̱mwaru ko, “Ti̱wo ki̱ti̱mu, di̱ne Yaa Kwama a mwatawe.”
MAT.4.18	Aya n Yesu ki̱yadu a ki̱ti̱ku la Ka̱liliyang, a ku kebu chi burau ki̱ tau chi̱ngi, n Simun wu ki̱yalu ko m Biti̱r n ti keko n Andi̱riya. N chi ki̱mau dwa̱kai chiyu a far di̱dun di̱ne n chi ki̱tabachi̱ngiye. 
MAT.4.19	N Yesu a yal chi ko, “Ti̱bumite, mang miya chimi̱nu tani̱n yale ni̱bu ka bumiti̱ni̱m.”
MAT.4.20	Bi̱nabi̱na bi̱ki̱mu a kaibu ki̱swi a du kuli̱n chi̱nu, a bunti̱ Yesu.
MAT.4.21	Ki̱du fikoye, a ku bi̱kam kebu chi burau, n Yakubu bwe Sa̱badi n ti keko n Yowana. N chi a fi̱l kwa̱mbi̱re mwe ki̱do dwa̱kai chiyu n ti te chi n Sa̱badi, n Yesu a yalti̱ chi we fiko. 
MAT.4.22	Bi̱nabi̱na n chi a du te chi we kwa̱mbi̱re mwe a bunti̱ Yesu.
MAT.4.23	N Yesu ki̱bwa̱lu we Ka̱lili ki̱miyadu we kambi muraku ni̱bu Yafudamitu, ki̱mwa ya̱m bi̱li̱m bi̱bu a Yaa Kwamamu, ki̱bera buri̱n ti kwang n ti bi̱bu bwiyu a li̱mbi̱mu.
MAT.4.24	Ya̱m Yesumu a ti̱ran we ti̱m Suriyami kwang. Ni̱bu a le ki̱be ki̱mi̱nedu ki̱ni ni̱bu buri̱ni̱mu nabwen n ti bi̱bu bwiyu a li̱mbi̱mu n ti ni̱bu ki̱nwe riyemu n ti ni̱bu ki̱fi̱bti n ti bi̱bu ki̱kuli ki̱madi̱mu n ti bi̱ngi̱rmani̱mi kwang, a ya beku. 
MAT.4.25	Ki̱tuu ni̱be nabwen a bunti̱ ki̱n we Ka̱lili n ti Dikafoli, n ti Wurchalima n ti Yafudiya n ti ti̱mu a wuka ki̱swi la Wurdune.
MAT.5.1	Yo n Yesu a ku ki̱tuu ni̱be, a fi̱l bale kunne a swe we, miyari̱m ki̱mu a swe ki̱mi̱ntuwe, 
MAT.5.2	a mwe ki̱miya chi mi̱nu.
MAT.5.3	“Ni̱bu delaki̱m bi̱bu a yim ki̱taku chiyangi̱mu,
MAT.5.3	Yaa Kwama n wu chi.
MAT.5.4	Ni̱bu delaki̱m, bi̱bu ni̱tu chitu a kaiyani̱mu,
MAT.5.4	n Kwama ka kire chi mi̱nu.
MAT.5.5	Ni̱bu delaki̱m bi̱bu
MAT.5.5	a kukubu dutu chiti̱mu, ka chau ti̱ti̱nitu.
MAT.5.6	Ni̱bu delaki̱m bi̱bu ni̱tu chitu
MAT.5.6	ki̱baddu ka tum chi
MAT.5.6	n Kwama ki̱badde,
MAT.5.6	n Kwama ka ri chimi̱ndi chib.
MAT.5.7	Ni̱bu delaki̱m bi̱bu ki̱nwe ki̱bunemu,
MAT.5.7	n Kwama ka nwe ki̱bune chi ti̱n.
MAT.5.8	Ni̱bu delaki̱m bi̱bu ni̱tu
MAT.5.8	chiti wa̱la̱k,
MAT.5.8	Nangki̱n, n chi ka ku Kwama.
MAT.5.9	Ni̱bu delaki̱m bi̱bu ki̱yo kunkaki̱mu
MAT.5.9	ka yal chidu ko bwesi̱m Kwama.
MAT.5.10	Ni̱bu delaki̱m bi̱bu ki̱nwe
MAT.5.10	riye di̱ne yilemu
MAT.5.10	Yaa Kwama n wu chi.
MAT.5.11	“Ni̱bu delaki̱m n ti̱n bi̱bu ni̱bu ki̱mi̱ki̱ chi̱nu, ki̱fumachi̱nu, ki̱mwe chimi̱n kasi no bi̱bi̱le ki̱duum ti̱kwanim di̱ne mi̱ni̱mu. 
MAT.5.12	Ti̱ma ti̱mi̱lan ki̱ni furi mwemwe di̱ne ki̱ti̱me chi̱n wuduwe we bwa diye, di̱ne a lakanbu n ti kangu n chi a ma ki̱ni fa̱kubu feredimu.
MAT.5.13	“N ti̱n nang bum ti̱ti̱nimu. Aya ka li̱mang bumangu a riye, yili̱me ko ka ki̱lawedi yire? Bwa kake a ne chi ni madi ki̱ne we, ka n ke ni fwalu a bwa, ni̱bu ka fabadi naniye.”
MAT.5.14	“N ti̱n nang yiiku ti̱ti̱niyangu. Yinang bi̱n di̱du a di a kunni tasi̱n. 
MAT.5.15	Sunti̱du kwefi̱ra we fiti̱la mo! A la chi ni yodu a ti̱du, ko ke a yii ka nang bwa̱le kwang. 
MAT.5.16	A fiwine, ti̱yung yiiku changu, ke ni̱bu a ku, a swaan nangi̱ri chi̱ntu, a dela Kwama wu a diye.”
MAT.5.17	“Ti̱kamaduwe ti kanodu m be mang kwi yili̱n Musatu n ti chi fa̱kubu a miyanitu, mang bebu kwiku aya m be ke n ri ya̱m bi̱bu. 
MAT.5.18	Mi̱n fwa chimi̱n bi̱yili̱m, ka dii n ti ti̱ti̱nitu we ki̱yade, a ne chi a ne ride we. Ka ki̱kwi ya̱me, ka ti̱tu ni̱bu ki̱kudu ko n ke ti̱kan chite. 
MAT.5.19	Di̱ne yiko, nii wu ka ki kaang yilang kasi no nang ki̱ti̱rangu we yili̱n ti̱tu yinu ka miya bi̱kam mi̱nu ko a ma ti̱ni yiko, ka kau wuti̱re we Yaa Kwama. We yiko, wu ka bunti̱ yilangu ka miya ni̱bu mi̱nti̱nu ko a nang bunti̱ne, ka ya dwiyen ti̱dui we Yaa Kwama. 
MAT.5.20	Mi̱n fwa chimi̱nu, a dakan yile chi̱n ka la wu ni̱bu yungku yili̱n Musati̱mu n ti ni̱bu Farisamu. Ka a newe yiko, a ne ta le yaa wu a diye ko bayim.”
MAT.5.21	“Ti̱nwe ni̱bu a yi tukebu chi̱remu ko, ‘Chidu ni we. Wu ka chi̱u niye, ka ya mwataku.’ 
MAT.5.22	Aya m mi̱n, mi̱n yi chi̱nu mi: Ni ki̱ma ki̱fwini n ti ke ko ka ya mwataku. Ti̱nti̱ne, wu ka yi keko ko, ‘M mun nii wu kuse,’ ka ya kakku kwa̱l kabaki̱n. Yinu wu ka tu keko ko, ‘Di̱rre,’ ka wuran bwi ki̱ni far ki̱ran.”
MAT.5.23	Di̱ne yiko, ka mun yadu mwang ma niku a se Kwama, yinu n kur chi mwang ma ke mo mi̱ne, 
MAT.5.24	du niku mwangu we se Kwama, yan doka we ti kemo didin, yinu m be ni niku mwangu.
MAT.5.25	“Do tibe mo datu n ti fakwaremo wu ki̱yadu ka yali̱nu a kan kabaki̱ fanseti. Ti̱doka we wa̱re yo ta tibu lam kan kabaki̱ ne, ka newe yiko, ka dunu n ti Mai kabake, wuko ka dunu n ti di̱karan, di̱karanu ka mari̱nu a di̱bi̱nti̱l. 
MAT.5.26	Bi̱yili̱m mi̱n fwa mi̱nu, a ne mwang chiredu ka mwang febu di̱si̱nu ki̱ni kwange.”
MAT.5.27	“Ti̱nwe a fwa chimi̱n ko, ‘Madu ti̱kuli we.’ 
MAT.5.28	Aya mi̱n fwa chimi̱nu, ‘Ka nii a da̱ng naye ri̱i̱ng, a kubene, a tu a ma ti̱kulitu n ti naye wuko we ni̱r ki̱nu.’ ” 
MAT.5.29	Di̱ne yiko, “Ka nu wu a kang ki̱yilange ki̱yonu ki̱ni ki̱lenge, chaku n mau a bwa, a la chi mwang kwala balangi kiin we bwiyu n ti ki̱ku bwiyi kwang ka le ki̱rangangu. 
MAT.5.30	Ka fa̱la̱ng ki̱yilangu nang ki̱ku ki̱bedu ki̱ni ki̱lenge, chaku n mau a bwa. Ka la chi mwang kwala balangi kiin n ti ki̱ku bwiyi kwang ka le ki̱rangangu.”
MAT.5.31	Ni̱bu a fwa chimi̱n ti̱n ko, “Ni ka chi̱u naye ko mi̱n ki̱na, ka nii naye ko lwangi̱n chiku ki̱nanu. 
MAT.5.32	Aya mi̱n fwa chimi̱nu, ‘Ni ka chi̱u ki̱na we naye ko, ka n ke di̱ne yariye, a yo naye ki̱ni sulai.’ Aya wu ka yiu naye, ki̱ma ti̱kuli.”
MAT.5.33	Yinu ti̱ nwe a yi tukebi̱ chi̱remu ko, “A twa̱ndu ti̱kwanitu we, aya ri chi mwan bwa̱u mwang ni Tewuduwe. 
MAT.5.34	Aya mi̱n fwa chimi̱nu, ti̱twandu chi we, ko bayim ka ki̱ni bwa diye, di̱ne kweer Kwama. 
MAT.5.35	Ka ki̱ni ti̱ti̱niye, di̱ne nang fi ki̱fwali̱n naniye. Ka ki̱ni Wurchalima di̱ne nang bi̱n Mai Wuduwenu. 
MAT.5.36	Twa̱nduwe ki̱ni dur mun di̱ne kasi no ki̱riyangi kiin a ne mwang medu mwang sutedi tweng ka ki̱liye. 
MAT.5.37	A dakan ya̱m chimu kanodu ‘ngo’ ka ‘ngango.’ Ka a su ti̱te n ti̱u fakware.”
MAT.5.38	Ti̱nwe a fwa ko, “Kwalange di̱ne kwalange, nuum di̱ne nuum. 
MAT.5.39	Aya mi̱n fwa chimi̱nu, ti̱yeduwe ka nii a ngan a di̱dane, yo ki̱mi̱nti̱ di̱kanu a ngau ti̱n. 
MAT.5.40	Ka wuka nii a mar keme di̱ne ke a yiti̱n belukemo, chaku wuduwe niti̱ ki̱n. 
MAT.5.41	Ka wuka nii wu ki̱ni dukane a mwintuwe ko ti̱ya yayu wu a si̱re wiine, ti̱ya wu a si̱ri yurabu. 
MAT.5.42	Nii wu a bi̱n chiye, ni. Wu a be ki̱bau di̱si̱ne, dangduwe we.”
MAT.5.43	Ti̱nwe a yi chi ko, “Mi̱la kemo, ko fakware mo. 
MAT.5.44	Aya mi̱n yi chi̱nu mi, mi̱la fakwarbu mumu, twa̱ba̱ bi̱bu ki̱fumani̱mu mi̱n. 
MAT.5.45	Ke ti̱kau bwesi̱m Te wu a diye, n ki̱n ki̱yo dii ki̱fwe kuko we ni̱bu bi̱yili̱m n ti̱ bi̱bwilamu. Ti̱nti̱ne, ki̱tume mwe we ni̱bu yilemu n ti bi̱bu a tumbu yilemu. 
MAT.5.46	Ka ti̱mi̱la kana bi̱bu ki̱mi̱la chi̱ni̱me, ta ya wuwule ki̱ti̱me? Bi̱bu ki̱yiu sangkali̱mu ki̱ma ti̱ni yiko? 
MAT.5.47	Ka ti̱si kana kebu chime, ti̱lakan a file n ti bi̱kamu? N ke chi bi̱bu a yimbu Kwamamu ki̱ma ti̱na? 
MAT.5.48	Ti̱buli̱m yichiyu ki̱ni yile, ti̱ri ki̱ni yile yinangu Te chi̱n wu a diye a ri ki̱nangu.”
MAT.6.1	“Ti̱ma daan ki̱ni nangi̱n ti̱yili chi̱ntu, di̱ne a ne kuki̱ku durang we nangang ki̱yilangu. Ka a kabi yiko, a ne ta ya ki̱ti̱me we Te chi̱n wu a diye.
MAT.6.2	“Di̱ne yiko, ka mun ma nike, ri̱kadu yimwiyu we chi mwang maatu, tiyangu ni̱bu di̱bebelin a kambi muraku ni̱bu Yafudamitu n ti neti̱ loyu ko ke ni̱bu a wer chiyangu. Bi̱yili̱mu nang bi̱bu, n chi a tu a yiu sure chi kwang. 
MAT.6.3	Aya ka mwang maka wuka niye, kedu wuka nii a yindu chi mun maditu we. 
MAT.6.4	Chi ti̱yilitu mun maditu, ma n lailaye. Te wu a diye wu ki̱ku ka ti̱ti̱le chi mun madite, ka ni̱n ki̱ti̱me mo.
MAT.6.5	“We ya̱m twa̱ba̱ku buniyangi̱mu, ti̱kaduwe tiyang ni̱bu di̱bebelin bi̱bu ki̱twa̱ba bunitu a fi tiye we kambi muraku ni̱bu Yafudamitu n ti neti̱ loyu ko ke ni̱bu a ku chi. Bi̱yili̱m mi̱n fwa chimi̱nu, a tu a yiu ki̱ti̱me chi. 
MAT.6.6	Ka ya mun twa̱ba̱ bunite, yinge dur munu a kan, twa̱ba̱ bunitu we di̱Tewuduwe, n ki̱n wu niyang kube, wu ki̱ku ti̱lairite, ka ni̱n ki̱ti̱me mo. 
