MAT.1.1	Iyan haini mga gin-apuan hi Cristo Jesus. Si Jesus kaliwat hi David sa kaliwat daan hi Abraham.
MAT.2.8	Su matun-an din haena sinugù din dayun sidan ha dumiyà ta Bethlehem daw ikagiyi, “Siguruwa nuy gayed pan-ahaa su batà. Ku maahà nuy haena ikagiyi a dà inyu ta daw makasimba a daan kandin.”
MAT.2.9+MAT.2.10	Su maikagi haena ku harì duminayun su mga matatau ha mga etaw. Su diyà en sidan ta dalan naisab dan dà naahà su bituen ha diyà napuun ta sinibwalan aman tungkay gayed sidan nangalipay. Linupug dan su bituen taman ha tuminaleen haena tenged ku balay ha duun su batà. 
MAT.2.11	Dayun sumineled sidan duun ku balay. Su maahà dan su batà daw sa inay din ha si Maria luminuhud sidan daw suminimba taena ha batà. Dayun in-ila dan kandin sa uwiten dan ha bulawan daw mga mahalen ha insinsu daw mira. 
MAT.2.12	Ba su ag-ulì en sidan inikagiyan sidan hu Dios pinaagi hu damugu ha harì en sidan lumikù diyà ki Herodes, aman duun en sidan uminagi hu lain ha dalan.
MAT.2.13	Su maipus en su mga matatau ha mga etaw huminiwal en paman diyà ki Jose sa balinsuguen hu Dios pinaagi hu damugu ha tagyanaen, “Bangun kad, dumaha su batà daw sa inay din daw pulaguy kaw diyà ta Ehipto. Daw kaw en awà diyà ku ikagiyan kud inyu ta agpan-ahaen en iman hi Herodes hayana sa batà ta aghimatayan din.”
MAT.2.14	Aman migbangun si Jose daw dinuma din su batà daw sa inay taena dayun huminipanaw sidan payanaen ta Ehipto bisan ku daleman. 
MAT.2.15	Diyà sidan migtimà hangtud ha minatay si Herodes. Nahitabù haena ta daw matuman sa inikagi hu Dios pinaagi hu prupita ha tagyanaen, “Impalikù ku sa Batà ku ha diyà napuun ta Ehipto.”
MAT.2.16	Su matun-an hi Herodes ha bà dà binidui ku mga matatau ha mga etaw napauk-pauk gayed haena. Aman insugù din dayun ha panhimatayan sa alan ha mga batà ha maama diyà ta Bethlehem daw duun hu mga ubayà din ha banuwa sugud hu daw pa imbatà payanaen hu daruwa en sa tuig din, ta daruwa en daan ha tuig su maahà taena ha mga matatau ha mga etaw su bituen. 
MAT.2.17	Pinaagi taena natuman sa inikagi hi Jeremias sa prupita ha tagyanaen,
MAT.2.18	“Amin mapaliman ha magulub diyà ta Rama tumenged hu ulahù hi Raquel ta sa mga batà din pinanhimatayan na hurà en pakapalipay kandin.”
MAT.2.19+MAT.2.20	Su matay en si Herodes ha diyà pa si Jose ta Ehipto huminiwal dà paman sa balinsuguen hu Dios diyà ta kandin pinaagi hu damugu ha tagyanaen, “Bangun kad, dumaha su batà daw sa inay din daw likù kaw en diyà ta bugtà ta Israel ta minatay en su aghimatay tayana ha batà.”
MAT.2.21	Aman migbangun si Jose daw dinuma din su batà daw sa inay taena dayun namanlikù sidan diyà ta bugtà ta Israel. 
MAT.2.22	Ba su matun-an hi Jose ha iyan nakailis si Arkelao ki Amay din ha harì diyà ta prubinsya ta Judea nahaldek haena hu pagdiyà. Aman impadamugu kandin hu Dios ha dumayun sidan diyà ta prubinsya ta Galilea, 
MAT.2.23	dayun diyà en sidan migtimà ta banuwa ha tagngaranan ta Nazareth. Pinaagi taena natuman sa inikagi hu mga prupita ha si Jesus ngaranan ha taga-Nazareth.
MAT.3.1	Duun taena ha panahun amin etaw ha tagngaranan ki Juan Ha Tagpamautismu ha nanunultul duun hu pinakabulung-bulung ha lugar diyà ta Judea 
MAT.3.2	ha tagyanaen, “Hinulsuli sa mga salà nuy ta madani en sa pagharì hu Dios kanuy.” 
MAT.3.3	Si Juan iyan su tagsubayen hi Isaias sa prupita ha tagyanaen,
MAT.3.3	“Amin etaw ha magkulahiay duun hu pinakabulung-bulung ha lugar ha magyanaen, ‘Andama sa ag-agiyan hu Ginuu daw tul-ida sa dalan.’”
MAT.3.4	Sa pinaksuy hi Juan bulbul hu kamilyu daw anis daan sa bakes din. Sa kalan-enen din talangas daw degà. 
MAT.3.5	Madakel ha mga etaw sa namandiyà ta kandin ha nangapuun diyà ta Jerusalem daw duun hu alan ha mga banuwa diyà ta prubinsya ta Judea daw duun hu ubay ta Wahig ta Jordan. 
MAT.3.6	Insugid dan sa mga salà dan aman pigbautismuwan sidan hi Juan diyà ta Wahig ta Jordan.
MAT.3.7	Ba su maahà hi Juan sa madakel ha mga Parisiyu daw mga Saduceo ha tagpabautismu kandin inikagiyan din sidan, “Sinyu sa mga bunsalagan, sin-u sa mig-ikagi inyu ha dumini kaw ta kanak? Abi nuy gid ha mapulaguyan nuy sa silut inyu hu Dios. 
MAT.3.8	Ku laus ha mighinulsul kaw en hu mga salà nuy ipaahà haena pinaagi hu maayad ha buhat. 
MAT.3.9	Harì kaw magsalig ha mga kaliwatan kaw hi Abraham ta ikagiyen ku inyu ha mahimu hu Dios buhata haini sa mga batu ha kaliwatan daan hi Abraham. 
MAT.3.10	Sa tagpamilay andam en hu pagpilay hu mga kayu. Sa kayu ha madaet sa bunga din agpilayen daw bigsuli.
MAT.3.11	“Diyà a ta wahig agpamautismu inyu ha iyan timaan ha nahinulsulan nuy en sa mga salà nuy. Ba amin pa makadini ha labaw dì kanak ta bisan sa pag-uwit hu sapatus din kenà a gayed angayan duun. Sa kandin ha igbautismu iyan sa paulinan kaw kandin hu Balaan ha Ispiritu daw masunug sa madaet diyan ta inyu. 
MAT.3.12	Agkailing haena hu taggunas ha sa malinggas iyan din igtagù duun hu bugawan, ba sa ukap agbigsulan ha harì en mapedengan.”
MAT.3.13	Su kamulu pa tagpamautismu si Juan diyà ta Jordan nakauma si Jesus diyà ta kandin ha diyà napuun ta Galilea ta tagpabautismu daan. 
MAT.3.14	Ba harì ngaay agkabayà si Juan aman minikagi, “Harì mahimu ha bautismuwan ku ikaw ta iyan a ngaay angayan ha bautismuwan nu.”
MAT.3.15	Ba tuminubag si Jesus, “Buhata haini ta kinahanglan matuman sa alan ha agkabayaan hu Dios.” Aman binautismuwan haena hi Juan.
MAT.3.16	Su mabautismuwan en si Jesus guminaun haena. Dayun sagunà napuwaan sa langit daw naahà din sa Balaan ha Ispiritu ha sinugù hu Dios ha agkailing hu salapati ha migbulus diyà ta kandin. 
MAT.3.17	Amin lageng ha napuun diyà ta langit ha tagyanaen, “Iyan en haini pinalanggà ku ha Batà ha tigkabayà-bayà ku.”
MAT.4.1	Inuwit si Jesus hu Balaan ha Ispiritu duun hu pinakabulung-bulung ha lugar ta daw masulayan hi Satanas. 
MAT.4.2	Suminalang si Jesus hu pagkaen seled hu kap-atan ha aldaw daw daleman, aman su maiwas haena tungkay gayed nauhul. 
MAT.4.3	Dayun si Jesus inubayan hu Manunulay daw ikagiyi, “Ku Batà ka hu Dios ikagiyi haini sa mga batu ha mabuhat ha supas.”
MAT.4.4	Ba tuminubag si Jesus, “Sa lalang hu Dios nakasulat en ha tagyanaen, ‘Kenà iyan dà igkauyag hu etaw sa kalan-enen ta sa lalang hu Dios iyan tag-ila hu kinabuhì.’”
MAT.4.5	Dayun si Jesus dinuma hi Satanas duun hu kinatangkawan ha atep taena ha Timplu diyà ta Jerusalem 
MAT.4.6	daw ikagiyi, “Ku Batà ka hu Dios sabay ka duun taini ta sa insulat ha lalang hu Dios tagyanaen,
MAT.4.6	‘Suguen hu Dios sa mga balinsuguen din hu pagbantay ikaw daw tamuken ka kandan ta daw harì ka mabugel.’”
MAT.4.7	Ba tuminubag si Jesus, “Sa lalang hu Dios nakasulat en ha tagyanaen, ‘Harì agsulaya sa Dios ha Magbabayà hu alan.’”
MAT.4.8	Aman dinuma en paman si Jesus hi Satanas duun hu matangkaw tungkay ha bubungan daw ipaahà kandin sa kadagway hu alan ha mga ginharian ta kalibutan, 
MAT.4.9	dayun inikagiyan din si Jesus, “Saini ha agkaahà nu iman ig-ila ku ikaw ku lumuhud daw sumimba ka kanak.”
MAT.4.10	Ba si Jesus tuminubag, “Awà ka dini ta kanak, Satanas, ta sa lalang hu Dios nakasulat en ha tagyanaen, ‘Iyan dà sa Dios ha Magbabayà hu alan angayan ha simbahen daw alagaran.’”
MAT.4.11	Aman uminawà si Satanas diyà ta kandin, dayun nakauma sa mga balinsuguen hu Dios diyà ki Jesus hu pag-alima kandin.
MAT.4.12	Su mapaliman hi Jesus ha si Juan Ha Tagpamautismu naprisu en luminikù haena diyà ta Galilea. 
MAT.4.13	Suminagad diyà ta Nazareth daw migtimà diyà ta Capernaum ha kilid hu danaw, saena ha lugar tagngaranan hu Zebulon daw Neftali. 
MAT.4.14	Nahitabù haena ta daw matuman sa inikagi hi Isaias sa prupita ha tagyanaen,
MAT.4.15	“Sa bugtà ta Zebulon daw ta Neftali payanaen en ta dagat layun ta Jordan iyan sa Galilea ha tagtimaan hu kenà mga Judio. 
MAT.4.16	Duun pa sidan tagtimà hu kasukileman ha bugtà hu kamatayen ba naahà dan sa tungkay masiga ha nakailaw kandan.”
MAT.4.17	Sugud taena ha panahun nanunultul si Jesus hu kagi din, “Hinulsuli sa mga salà nuy ta madani en sa pagharì hu Dios inyu.”
MAT.4.18	Su taghiphipanaw si Jesus duun hu kilid taena ha Danaw ta Galilea naahà din si Simon ha tagngaranan daan ki Pedro daw sa suled din ha si Andres. Tagpamaling sidan duun taena ha danaw ta mamamaling man sidan. 
MAT.4.19	Inikagiyan sidan hi Jesus, “Dumuma kaw kanak ta agbuhaten ku inyu ha mamamaling hu mga etaw.” 
MAT.4.20	Aman sagunà dan inawaan su mga baling daw duma ki Jesus.
MAT.4.21	Su malugay-lugay naahà hi Jesus sa mga migsuled daan ha iyan si Santiago daw si Juan sa mga batà hi Zebedeo ha tagpamandayan dan su kandan ha baling duma ki Amay dan duun ku barutu. Aman inumaw sidan hi Jesus 
MAT.4.22	dayun sagunà inawaan si Amay dan duun ku barutu daw duminuma ki Jesus.
MAT.4.23	Nalekep hi Jesus sa alan ha banuwa ha sakup ta Galilea. Duun hu mga simbahan hu mga Judio migtudlù si Jesus hu Maayad ha Tultulanen mahitenged hu pagharì hu Dios daw naulian din daan sa alan ha mga dalu hu mga etaw. 
MAT.4.24	Sa tultulanen mahitenged kandin nakalekep diyà ta prubinsya ta Siria, aman pinan-uwit dan diyà ta kandin sa mga etaw ha agkangadaluwan hu hurà mag-iling ha dalu daw sa agkangasakitan. Sa duma kandan agkangabidbid daw amin mga minatay en sa dibaluy ha lawa din daw sa duma tinaguan en hu mga busaw. Ba alan sidan naulian hi Jesus. 
MAT.4.25	Madakel tungkay sa namanduma kandin ha nangapuun diyà ta Jerusalem daw duun hu mga prubinsya ta Galilea daw ta Judea daw duun taena ha lugar ta Decapolis daw hu duma ha mga banuwa diyà ta layun ta Jordan.
MAT.5.1	Su maahà hi Jesus sa madakel ha mga etaw tuminakedeg haena duun hu bubungan daw pinuu. Nangaamul-amul diyà ta kandin sa mga sumusunud din 
MAT.5.2	dayun nanudlù kandan ha tagyanaen,
MAT.5.3	“Malipayen gayed sa nakatuen ha ku harì buligan hu Dios hurà dan mahimu, ta agharian sidan hu Dios.
MAT.5.4	“Malipayen gayed sa tagmagul-anen tumenged hu mga salà dan ta aglipayen sidan hu Dios.
MAT.5.5	“Malipayen gayed sa mga tagpaubus ta maangken dan sa panalangin ha insaad hu Dios.
MAT.5.6	“Malipayen gayed sa tungkay agkangabayà hu pagbuhat hu matareng, ta agbuligan din sidan.
MAT.5.7	“Malipayen gayed sa mga mahid-uwen hu duma dan ta mahid-uwan daan sidan hu Dios.
MAT.5.8	“Malipayen gayed sa mahimpit sa henà-henà dan ta maahà dan sa Dios.
MAT.5.9	“Malipayen gayed sa mga tagbuhat hu kalinaw ta makilala sidan ha batà hu Dios.
MAT.5.10	“Malipayen gayed sa tagpasipalahan tumenged hu pagbuhat dan hu matareng ta agharian sidan hu Dios.
MAT.5.11	“Malipayen kaw gayed ku tameyesen daw ku pasipalahan hu mga etaw daw ku daet-daeten pinaagi hu mga bidù tumenged hu pagsunud nuy kanak. 
MAT.5.12	Ikalipay nuy gayed haena ta adagi tungkay sa igbales inyu hu Dios diyà ta langit, ta iyan daan haena binuhat dan duun hu mga prupita.
MAT.5.13	“Iyan kaw asin dini ta kalibutan. Ba ku maawà en sa kapait hu asin in-inuwen pa paglikù hu nanam taena? Hurà din en gayed pulus daw bà dà paman iglambeg diyà ta guwà dayun gik-an hu mga etaw.
MAT.5.14	“Iyan kaw daan sulù dini ta kalibutan. Sa banuwa ha duun pakaluntud hu buntud agkaahà hu bisan sin-u. 
MAT.5.15	Hurà etaw ha tagtutud hu sulù ha bà din dà agpalangkebi hu bakag, ba saena iluntud din gayed duun hu ugsakà ha matangkaw daw mailawan sa seled taena ha balay. 
MAT.5.16	Aman ipasiga gayed sa sulù nuy ta daw maahà hu mga etaw ha maayad sa mga buhat nuy dayun madayè dan sa Dios ha Amay nuy diyà ta langit.
MAT.5.17	“Harì kaw maghenà-henà ha sa pagdini ku ta kalibutan iyan sa pag-awà hu Kasuguan daw hu lalang hu Dios pinaagi hu mga prupita, ta sa pagdini ku iyan sa pagtuman taena. 
MAT.5.18	Laus gayed sa ag-ikagiyen ku inyu ha ku duduun pa sa langit daw sa kalibutan harì gayed mahimu ha maalatan hu bisan atiyuay sa Kasuguan hangtud ha matuman haena. 
MAT.5.19	Bisan sin-u sa makasupak hu tungkay atiyuay duun hu Kasuguan daw magtudlù ha harì en haena tumanen, saini ha etaw harì tagharian hu Dios diyà ta langit. Ba bisan sin-u sa magtuman hu Kasuguan daw magtudlù ha tumanen gayed haena, saini ha etaw tagharian gayed hu Dios. 
MAT.5.20	Ikagiyen ku inyu ha sa Dios iyan din dà tagharian sa matareng gayed dì taena ha mga manunudlù hu Kasuguan daw mga Parisiyu.
MAT.5.21	“Natun-an nuy en sa kasuguan duun hu mga gin-apuan nuy ha tagyanaen, ‘Harì kaw mangimatay ta ku buhaten nuy haena mahukuman kaw hu silut.’ 
MAT.5.22	Ba ikagiyen ku inyu ha bisan sin-u sa bà din dà agkapauki sa duma din mahukuman en daan haena hu silut. Sa tagpaamaniyan din sa duma din makapanubag duun hu alan ha mga labaw ha agalen. Daw bisan sin-u sa mag-ikagi duun hu duma din, ‘Buang-buang ka’ saena ha tag-ikagi taghipanaw duun hu dalan payanaen ta Impirnu.
MAT.5.23	“Aman ku taghalad kaw duun hu Dios daw mahenhenaan nuy ha amin diay nabuhat nuy ha igkapauki inyu hu duma nuy, 
MAT.5.24	awaan nuy haena sa ighalad nuy daw pan-ahaa su etaw ha agkapauk inyu daw makaghusayà kaw. Ku mapengahan haena human nuy dayuna sa paghalad duun hu Dios.
MAT.5.25	“Ku isumbung kaw hu duma nuy agpasa nuy husaya ha harì pa makauma duun hu taghusay, ta ku makauma kaw en duun itugyan kaw hu maghuhukum daw ipaprisu kaw gayed kandin. 
MAT.5.26	Laus gayed sa ag-ikagiyen ku inyu ha daw kaw en makaguwà diyà ta prisuhan ku mabayaran nuy en sa alan ha mga salà nuy.
MAT.5.27	“Natun-an nuy en daan sa kasuguan su anay ha tagyanaen, ‘Harì kaw manapaw.’ 
MAT.5.28	Ba ikagiyen ku inyu ha bisan bà dà kaayati hu maama sa bisan sin-u ha bahi saena ha maama nakapanapaw en. 
MAT.5.29	Ku iyan igpakasalà nuy sa kawanan ha mata nuy lugita haena daw ilambeg, ta maayad pa ha sabuwa dà sa mata nuy dì sa daruwa ba makaagbul kaw diyà ta Impirnu. 
MAT.5.30	Daw ku iyan daan igpakasalà nuy sa kawanan ha alima nuy tampeda haena daw ilambeg, ta maayad pa ha sabuwa dà sa alima nuy dì sa daruwa ba makaagbul kaw diyà ta Impirnu.
MAT.5.31	“Inikagi daan su anay, ‘Ku amin maama ha endaan din sa asawa din ilahan din haena hu kasulatan hu pag-endaay.’ 
MAT.5.32	Ba ikagiyen ku inyu ha ku endaan hu maama sa asawa din ha hurà makasalà, saena ha maama nakasalà ta agbuhaten din ha mananapaw su bahi ku isab dà magpaasawa, daw saena ha mangasawa ku bahi ha inendaan makapanapaw daan.
MAT.5.33	“Natun-an nuy en daan sa kasuguan duun hu mga gin-apuan nuy ha tagyanaen, ‘Ku manumpà kaw duun hu Dios kinahanglan ha tumanen nuy gayed haena.’ 
MAT.5.34	Ba ikagiyen ku inyu ha harì kaw gayed manumpà pinaagi hu langit ta iyan haena trunu hu Dios 
MAT.5.35	daw bisan daan sa kalibutan ta iyan haini gik-ayà din. Daw harì nuy daan ipanumpà sa Jerusalem ta iyan haena banuwa hu gamhanan ha Harì. 
MAT.5.36	Bisan pa daan sa buhuk ta ulu nuy harì mahimu ha ipanumpà ta hurà makapaputì hu bisan nangkalegas dà ha buhuk nuy. 
MAT.5.37	Ku mag-ikagi kaw sa ‘Hee’ na ‘Hee’ gayed daw sa ‘Harì’ na ‘Harì’ gayed daan, ta ku isaban nuy pa haena hu duma ha mga lalang diyà en haena agkapuun ki Satanas.
MAT.5.38	“Natun-an nuy en daan sa kasuguan ha tagyanaen, ‘Ku amin etaw ha matumlak din sa mata hu duma din tumlaken daan sa kandin ha mata, daw ku masipù din sa ngipen hu duma din sipuen daan sa kandin ha ngipen.’ 
MAT.5.39	Ba ikagiyen ku inyu ha harì nuy gayed sukulan sa tagpasipala inyu. Ku amin etaw ha laparuwen din sa kawanan ha pipi nuy ipalaparu daan sa dibaluy. 
MAT.5.40	Daw ku amin etaw ha isumbung kaw kandin ta daw matimù din sa pinaksuy nuy, iila en haena kandin daw isabi pa hu kamisita. 
MAT.5.41	Ku amin etaw ha magpeges inyu hu pag-uwit hu mga butang din hu nangkakilumitru buligi haena taman hu daruwa ha kilumitru. 
MAT.5.42	Ku amin manayù diyan ta inyu ilahi nuy daw ku amin agsambay sambayi nuy.
MAT.5.43	“Natun-an nuy en daan sa kasuguan su anay ha tagyanaen, ‘Palanggaa gayed sa duma nuy ba magdumut kaw hu kuntra nuy.’ 
MAT.5.44	Ba ikagiyen ku inyu ha palanggaa sa mga kuntra nuy daw iampù nuy haena sa tagpasipala inyu 
MAT.5.45	ta iyan haini timaan ha batà kaw gayed hu Amay nuy diyà ta langit. Saena agpanalanginan din sa etaw ha matareng daw sa kenà, iling hu mga pamulahen ha alan din agpaudanan daw agpasildahan. 
MAT.5.46	Harì nuy aghenhenaa ha balesan kaw hu Dios ku iyan dà palanggaen nuy sa tagpalanggà daan inyu, ta bisan sa mga limbungan ha manunukut hu buhis tagbuhaten dan daan haena. 
MAT.5.47	Daw ku iyan dà pagsimahen nuy sa daan nuy en amigu inu man sa igkadayè inyu? Ta bisan sa mga etaw ha hurà makakilala hu Dios tagbuhaten dan daan haena. 
MAT.5.48	Aman magmahimpit kaw iling hu Amay nuy diyà ta langit.
MAT.6.1	“Andama nuy sa pagbuhat hu matareng ha harì nuy bà dà makapaaluahà hu mga etaw, ta ku iyan hayana harì kaw balesan hu Amay nuy diyà ta langit.
MAT.6.2	“Aman ku tag-ila kaw duun hu taglised harì nuy haena tigpaaluahà hu mga etaw bisan duun hu mga simbahan daw duun hu mga dalan, ta sa iling taena bà dà tagpasibù-sibù ta daw madayè sidan. Laus gayed sa ag-ikagiyen ku inyu ha nadawat dan en sa bales kandan. 
MAT.6.3	Ba ku buligan nuy sa taglised kinahanglan ha harì maahà hu bisan sin-u 
MAT.6.4	ta daw harì matun-an hu mga etaw. Dayun sa Dios ha Amay nuy ha pakaahà hu alan iyan en magbales inyu.
MAT.6.5	“Ku mag-ampù kaw harì nuy haena buhaten ha bà dà pagpaaluahà hu mga etaw iling hu duma ha bà dà tagpasibù-sibù ha tungkay agkangabayà ku maahà ku tag-ampù duun hu mga simbahan daw bisan duun hu mga dalan. Laus gayed sa tag-ikagiyen ku inyu ha nadawat dan en sa bales kandan. 
MAT.6.6	Ku mag-ampù kaw dumuun kaw hu lugar ha hurà makaahà inyu daw mag-ampù kaw duun hu Dios ha Amay nuy ha harì nuy agkaahà. Dayun sa Dios ha pakaahà hu alan iyan en magbales inyu. 
MAT.6.7	Daw ku mag-ampù kaw harì nuy en sublì-sublien sa mga lalang iling hu etaw ha hurà pa makakilala hu Dios ta abi dan ha pinaagi hu pagsublì-sublì taena mapaliman sidan hu Dios. 
MAT.6.8	Harì nuy sidan ilingan ta sa Amay nuy natun-an din en sa kinahanglanen nuy bisan su hurà kaw pa mag-ampù,
MAT.6.9	“Iyan haini paagi hu pag-ampù
MAT.6.9	‘Amay day diyan ta langit, tahuren gayed sa ngaran nu. 
MAT.6.10	Harii kay ikaw daw sa pagbayà nu iyan matuman dini ta kalibutan iling daan diyan ta langit. 
MAT.6.11	Ilahi kay iman hu kalan-enen. 
MAT.6.12	Pasayluwa kay hu mga salà day ta pinasaylu day daan sa nakasalà dini ta kanay. 
MAT.6.13	Ipadiyù kay ikaw hu panulay daw buligi kay ikaw ta daw harì kay madaeg hi Satanas.’
MAT.6.14	Ku mapasaylu nuy sa etaw ha nakasalà diyan ta inyu pasayluwen kaw daan gayed hu Amay nuy diyà ta langit. 
MAT.6.15	Ba ku harì nuy mapasaylu sa duma nuy harì kaw daan pasayluwen hu Dios ha Amay nuy.
MAT.6.16	“Ku sumalang kaw hu pagkaen harì kaw tagsamed-engà iling hu mga etaw ha bà dà tagpasibù-sibù, ta tagbuhaten dan haena hu bà dà pagpaahà ha tagsalang sidan hu pagkaen. Laus gayed sa tag-ikagiyen ku inyu ha nadawat dan en sa bales kandan. 
MAT.6.17	Ba ku sumalang kaw hu pagkaen manuwat kaw daw pangulam-us kaw 
MAT.6.18	ta daw harì matun-an hu duma ha tagsalang kaw hu pagkaen ta iyan dà nakatuen taena sa Dios ha Amay nuy ha harì nuy agkaahà. Dayun sa Dios ha Amay nuy ha pakaahà hu alan iyan en magbales inyu.
MAT.6.19	“Harì nuy dini dà ag-amul-amula sa katigayunan nuy ta kalibutan ta bà dà haena ketketa daw tangisa daw takawa. 
MAT.6.20	Ba amul-amula sa mga katigayunan nuy diyà ta langit ta harì haena maketket daw harì tangisen daw harì daan haena matakaw. 
MAT.6.21	Ta ku hindu duun makaugsak sa katigayunan nuy duun en daan taena sa henà-henà nuy.
MAT.6.22	“Sa mata iyan sulù hu lawa. Ku maayad sa mata nuy duun kaw gayed taghipanaw hu mapawà, 
MAT.6.23	ba ku peyeng kaw duun kaw taghipanaw hu kasukileman. Aman ku madaet sa henà-henà nuy tungkay en daan madaet sa tagbuhaten nuy.
MAT.6.24	“Harì gayed mabaluy ha sa etaw daruwa sa agalen din ta palanggaen din sa sabuwa ba sa sabuwa kuntrahen din, alimahan din sa sabuwa ba sa sabuwa ipatayà din. Sa etaw ha iyan din dà pinalanggà sa katigayunan din harì gayed mahimu ha palanggaen din daan sa Dios.
