MAT.1.2	Ibrahím waalʊ́rʊ 
MAT.1.24	Ísífu weevé nɛ́, waalá ńŋɩnáa Ɖádʊ́ʊ Ɩsɔ́ɔ‑dɛ́ɛ malááyɩ́ka waaŋmátɩ yɩ nɛ́ nɔ́ɔ́ ɩkpɔ́ɔ Marɩyáma ɩbɩ́sɩ ɩɖɛɛlʊ́. 
MAT.1.25	Amá ɩ́na yɩ bodoyóózi hálɩ ɩkɔ́nɩ ɩlʊ́rʊ bú abaalʊ́ weení Ísífu waava yɩ́ɖɛ sɩsɩ Yeésu nɛ́.
MAT.2.1	Baalʊ́rʊ Yeésu Bɛtɩlɛhɛ́m tɛɛ‑biyá kɔwɛ Yudée laadɔ́ɔ‑daá nɛ́‑daá gɛ, sáátɩ wenkí 
MAT.2.2	Ngɛ bɔɔbɔ́ɔ́zɩ sɩsɩ: «Yahúúɖúwá‑dɛ́ɛ wúro baalʊ́rʊ yɩ nɛ́, ɩwɛ lé? Káma ɖáagáná ɩdɛ́ɛ wɩlɔɔ́ ɖoo wɩ́sɩ yaagalɩɩɖɛ́ fáráńdɩ́ nɛ́ gɛ ɖɔ́ɔ́gɔ́nɩ sɩ ɖukúu yɩ tɛ́ɛ́dɩ.» 
MAT.2.3	Wúro Eróódi waanɩ́ɩ bɩlɛ́ nɛ́, ngɛ ɩlaakáarɩ waagʊrʊ́ ɩ́na Yerusalɛ́m zamɔ́ɔ rɩ́ŋa. 
MAT.2.4	Ngɛ woodúúzi 
MAT.2.5	Ngɛ bɛlɛ́ boobúsi yɩ sɩsɩ: «Bɛtɩlɛhɛ́m, Yudée laadɔ́ɔ‑daá, káma bɛɛ wentí Ɩsɔ́ɔ waaŋmatɩná 
MAT.2.6	«Nyɔ́ɔ́ Bɛtɩlɛ́hɛm Yudée laadɔ́ɔ‑daá,
MAT.2.6	ńdɛ́kɛ́ɛ tɛɛ‑biyá bɩɩdɔɔrɩná kɛ Yudée laadɔ́ɔ‑dáa nɛ́,
MAT.2.6	káma nyɔ́ɔ́ nyádáá gɛ wúro
MAT.2.6	weení sɩ ikéti 
MAT.2.7	Ngɛ Eróódi weeyéle bayáa tɩlɩ́ɖa túbu‑dɩnáa bɛɛgbɛ́lɛ́m wɩlásɩ‑dɛ́ɛ boɖé nɛ́ súmúú‑daá, ɩbɔ́ɔ́zɩ wɛ sáátɩ wenkí ɖéyi‑ɖéyí wɩlɔɔ́ waɖʊ kalɩ́ɩ nɛ́. 
MAT.2.8	Ngɛ weeyéle bɛɖɛ́ɛ Bɛtɩlɛhɛ́m bɩka ɩtɔ́ wɛ sɩsɩ: «ibó ɩbɔ́ɔ́zɩ ɩtɩlɩ́ bú ɩmʊ́ ɩɖɩdáarɛ ɖéyí‑ɖéyí. A mɩ́ɩ́ná yɩ iyéle mandɩlɩ́, na mɔ́ɔ́ ɖʊ́dɔ mobó mogógúu yɩ tɛ́ɛ́dɩ.»
MAT.2.9	Wúro waaŋmátɩ wɛ bɩlɛ́ bɩtɛ́ nɛ́, bɔɔgbɔ́ɔ nɩ́bááwʊ. Ngɛ baana wɩlɔɔ́ wenká baagáná kɛ wɩ́sɩ yaagalɩɩɖɛ́ nɛ́ baazá‑daá kɛ́nɖɛɛ́. Kaadála lénlé bú wɛ nɛ́, ngɛ kaazɩ́m. 
MAT.2.10	Baana wɩlɔɔ́ bɩlɛ́ nɛ́, ngɛ bɩɩbá bɩlá wɛ niíni. 
MAT.2.11	Ngɛ baazʊ́ʊ ɖaána‑daá bɔmɔɔná bú na ɩgɔɔ Marɩyáma. Ńna gɛ baagá baɖʊ́ná‑rɔ bokúu bú tɛ́ɛ́dɩ, bobóɖi bagbɩná‑daá balɩzɩ́ siká, 
MAT.2.12	Ngɛ Ɩsɔ́ɔ waabásɩ wɛ́ ɖooziré‑daá sɩsɩ bákábɩ́sɩ Eróódi‑jɔ́; ngɛ bɔɔgbɔɔná nɩ́bááwʊ nakɩ́rɩ babɩ́sɩ balaadɔ́ɔ‑daá.
MAT.2.13	Bɛɛɖɛ́ɛ wɔ́rɔ́ nɛ́, ngɛ Ɖádʊ́ʊ Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.2.14	Isífu waagʊrʊ́ ɩkpɔ́ɔ bú na ɩgɔɔ nuvoowú bɛɖɛ́ɛ Mɩ́sɩ́ra. 
MAT.2.15	Wɔɔjɔ́ɔ ńna hálɩ Eróódi ɩkɔ́nɩ ɩsɩ́. Bɩɩlá bɩlɛ́ gɛ na wentí Ɩsɔ́ɔ waaŋmatɩná 
MAT.2.17	Bɩɩlá bɩlɛ́ gɛ na wentí 
MAT.2.18	«Baanɩ́ɩ lowú nakɩ́rɩ Raamáa tɛ́ɛ́dɩ‑daá,
MAT.2.18	wíídi na mɛɛdɩrɛ gɛ bɩgɛ́ɛ.
MAT.2.18	Rasɩ́ɩ́la wénwii kʊ ɩdɛ́ɛ bíya,
MAT.2.18	ɩdánjaa bɛbɛ́ɛ́lɩ yɩ, káma ibíya waazɩ́» nɛ́, ikóódi.
MAT.2.20	Ngɛ wɔɔdɔ́ Ísífu sɩsɩ: «Kʊrʊ́, kpɔɔ bú na ɩgɔɔ nbɩ́sɩ 
MAT.2.21	Ngɛ Isífu waagʊrʊ́ ɩkpɔ́ɔ bú na ɩgɔɔ ɩbɩ́sɩ Israyɛ́ɛ́lɩ laadɔ́ɔ‑daá. 
MAT.2.22	Amá waanɩ́ɩ sɩsɩ Arɩkelawɔ́ɔ́sɩ Eróódi biyaalʊ́ wénɖíi kʊ kowurɔ́ɔ ɩjaa wɔ́rɔ́ Yudée laadɔ́ɔ‑daá nɛ́, bɩɩlá yɩ nɩndáárɛ ńna boɖé. Ngɛ Ɩsɔ́ɔ waaŋmatɩná yɩ ɖoozire‑daá ɩɖɛ́ɛ Galilée fáráńdɩ́‑daá. 
MAT.2.23	Ngɛ woobó ɩcɔ́ɔ tɛ́ɛ́dɩ bánÿaá tɩ sɩsɩ Nazarɛ́ɛ́tɩ nɛ́ tɩdaá. Bɩɩlá bɩlɛ́ gɛ na wentí 
MAT.3.1	Bʊwɔ́rɔ́ gɛ 
MAT.3.2	«Ɩgɛ́ɛ mɩ́lákásɩ, káma Ɩsɔ́ɔ-dɛ́ɛ 
MAT.3.3	 tɔ́m gɛ 
MAT.3.3	«lowú nakɩ́rɩ wɔɔvɔ tɛɛ-wʊ́lɔɔ́-daá sɩsɩ:
MAT.3.3	"Ɩgbɩ́ɩ́rɩ Ɖádʊ́ʊ-dɛ́ɛ nɩ́bááwʊ,
MAT.3.3	ɩzɩ́ɩ́zɩ ɩdɛ́ɛ níbéyísi.''»
MAT.3.4	Raakúḿ-dɛ́ɛ fʊ́ńdɩ tóko gɛ Yaayá sóóna bɩka tɔ́ńɖɛ-ɖanbára nyaarɛ́ɛ ɩdɩnɔɔ́-daá. Bɩɩga nɛ́, igíɖíím gɛ cɩ́báánɩ na tʊ́ʊ́nɩ. 
MAT.3.5	Yerusalɛ́m na Yudée rɩ́ŋa, na Yɔrɔdáánɩ buwá fárándɩ́-daá ɩráa wɔ́ngɔnɩ ɩjɔ́ 
MAT.3.6	bánlám túúbá ɩráa-daá bɩka wénliríi wɛ lɩ́m-daá wɔ́nzɔ́ɔ wɛ túúbá lɩ́m Yɔrɔdáánɩ buwá-daá.
MAT.3.7	Yaayá waana sɩsɩ 
MAT.3.8	Ɩlá lakásɩ sɩ́nwɩlɩ́ɩ sɩsɩ mɩ́ɩ́lá túúbá ɩkɛ́ɛ nɛ́; 
MAT.3.9	Ɩ́kamáázɩ mɩ́dáá sɩsɩ mɩ́jáajáa gɛ Ibrahím nɛ́ bɩɩdɛ́. Káma ménveerím mɩ́ɩ sɩsɩ Ɩsɔ́ɔ wánbɩɩzɩ́ ɩkpɔ́ɔ bɔ́ ana ɖɔ́ ɩbɩsɩná Ibrahím kutoluú-dɛ bíya. 
MAT.3.10	Báńgbɩ́ɩrɩ kpenbiiyá sɩ bɛbɛlɩ́na tɩ́ɩ́nɩ tigutolíni-dɛ́ nɛ́. Tɩɩwʊ́ wenkí rɩ́ŋa kɩdánɖʊ́ʊ bíya kazɔ́ɔ ńba nɛ́, bɛ́nbɛlɩ́ɩ kɩ baɖʊ nimíni-daá. 
MAT.3.11	Lɩ́m-daá gɛ mɔ́ɔ́ ménliríi mɩ́ɩ mɔ́nzɔ́ɔ mɩ́ɩ́ túúbá lɩ́m na bɩwɩ́lɩ sɩsɩ mɩ́ɩ́lá túúbá ɩkɛ́ɛ, amá weení ɩgɛrɛŋɛ mɔ́wɔ́rɔ́ nɛ́ waagɩ́lɩ ma. Mádátála malɩzɩ́ yɩ takaḿwá. Ɩlɛ́ sɩ ilíriná mɩ́ɩ 
MAT.3.12	Ɩɖɔ́kɩná kɩ́fálanákʊ ɩnʊ́ʊ́zɩ-daá, sɩ ɩlɩzɩ́ tolá fɔɔlʊʊ́ bɩka ɩkpɔ́ɔ mɩlá ɩbɩ́rɩ igbeewú-daá, na ɩkpɔ́ɔ tolá ɩbɩ́rɩ nimíni ɩdánɖɩḿ nɛ́ ɩdaá biɖe.
MAT.3.13	Bɩdɛ́ɛ sáátɩ gɛ Yeésu waagálɩɩná Galilée ɩkɔ́nɩ 
MAT.3.14	 wɔɔjɔ́ɔ́lɩ yɩ ɩtɔ́ yɩ sɩsɩ: «Mɔ́ɔ́ mɔ́mɔɔ́na kʊ mɔgɔ́nɩ nyɔ́jɔ́ nlíri ma lɩ́m-dáa nzɔ ma túúbá lɩ́m, na nyɔ́ɔ́ ngúti nyɔ́ngɔnɩ́ mɔ́jɔ́?» 
MAT.3.15	Amá Yeésu woobúsi yɩ sɩsɩ: «Yele ɖɩlá bɩlɛ́ lɛlɛɛɖɔ́, káma bɩlɛ́ gɛ bɩmɔɔ́na ɖɩlá wenbí rɩ́ŋa Ɩsɔ́ɔ wɔɔbɔ́ɔ́zɩ nɛ́.» Ńna gɛ Yaayá weedísi ilíri Yeésu lɩ́m-daá. 
MAT.3.16	Weelíri Yeésu lɩ́m-daá ɩlɩ́ɩ nɛ́, bɩdɛ́ɛ sáátɩ kɩḿ gɛ 
MAT.3.17	Ngɛ baanɩ́ɩ lowú nakɩ́rɩ ɩsɔ́ɔ́dáá sɩsɩ: «Ceení gɛ 
MAT.4.1	Ńna gɛ Ɩsɔ́ɔ‑dɛ́ɛ Kezeŋa wooboná Yeésu tɛɛwʊ́lɔɔ́‑daá sɩsɩ 
MAT.4.2	Wɔjɔ́ɔ wɛ́ nɛɛ́lɛ nuvoowú na ɩdaawʊ́ ideɖi ɩdɔnyɔ́ɔ wɔ́rɔ́ nɛ́, ngɛ nyɔɔ́sɩ waalá yɩ. 
MAT.4.3	Ngɛ 
MAT.4.4	Amá Yeésu woobúsi kɩ sɩsɩ: «Baaŋmáa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m tákarɩɖá‑daá sɩsɩ bɩdɛkɛ́ɛ kiɖíím riké gɛ ɩrʊ́ wéndíi na ɩcɔ́ɔ weezuú‑daá, bɩ́nbɔɔzɩ́ ŋmatɩrɛ rɩ́ŋa ɖɩ́nlɩɩnáa Ɩsɔ́ɔ nɔɔ́‑daá nɛ́ ɖʊɖɔ.»
MAT.4.5	Ńna gɛ 
MAT.4.6	Ngɛ kɩɩdɔ́ yɩ sɩsɩ: «A nyɛ́gɛ́ɛ Ɩsɔ́ɔ Biyaalʊ́, tɔ nyádɩ nzúu adɛ, káma baaŋmáa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m tákarɩɖá‑daá sɩsɩ:
MAT.4.6	"Ɩsɔ́ɔ wánváa ɩdɛ́ɛ malááyɩ́kawá wɛ́ɖɛ
MAT.4.6	sɩsɩ bɛkpɛ́kɩ nya banʊ́ʊ́zɩ‑daá
MAT.4.6	na nyánʊvɔ́ íkótuúli bɔ́''».
MAT.4.7	Ńna gɛ Yeésu wɔɔdɔ́ kɩ sɩsɩ: «Baadáŋmáa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m tákarɩɖá‑daá sɩsɩ: "ńdánɖáázɩ Nyádʊ́ʊ Ɩsɔ́ɔ nbɛ́ɛ sɩsɩ wánbɩɩzɩ́?''»
MAT.4.9	ngɛ kɩɩdɔ́ yɩ sɩsɩ: «A nyáágá nyáɖʊná‑rɔ ngúu ma tɛ́ɛ́dɩ, mánváa nya bɩrɩ́ŋa.» 
MAT.4.10	Ńna gɛ Yeésu wɔɔdɔ́ kɩ sɩsɩ: «Laná ma bolíni, Sitáánɩ! Káma baaŋmáa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m tákarɩɖá‑daá sɩsɩ: "Nyádʊ́ʊ Ɩsɔ́ɔ riké gɛ nyónguú tɛ́ɛ́dɩ, bɩka iriké gɛ nyánlám bɔwʊtá.''» 
MAT.4.11	Ńna gɛ sitáánɩ wɛɛɖɛ́ɛ kiyéle yɩ. Ngɛ malááyɩ́kawá woogódúu Yeésu‑jɔ́ balá yɩ bɔwʊtá.
MAT.4.12	Yeésu waanɩ́ɩ sɩsɩ bɔɔdɔ Yaayá sáráka. Waanɩ́ɩ bɩlɛ́ nɛ́, ngɛ waalɩ́ɩ ńna ɩɖɛ́ɛ Galilée. 
MAT.4.13	Amá idokúti ɩcɔ́ɔ Nazarɛ́tɩ, wɛɛɖɛ́ɛ ɩcɔ́ɔ Kapɛrnawúm lɩɩrɛ́ kʊ́bɔ́nɖɛ‑jɔ́, Zabulɔ́nɩ na Nɛfɩtalí bɛdɛ́ɛ ladásɩ‑daá, 
MAT.4.14	na wenti 
MAT.4.15	«Zabulɔ́nɩ‑dɛ́ɛ laadɔ́ɔ na Nɛfɩtalíi‑dɛ́ɛ laadɔ́ɔ
MAT.4.15	mɩ́dɩ́láána tenkú, na yɔrɔdáánɩ buwá‑dɛ́ɛ fɔɔlʊʊ́ kɩɩganáa nɛ́,
MAT.4.15	Nyɔ́ɔ́ Galilée, ɩráa bɛdɛkɛ́ɛ Yahúɖúwá nɛ́ bɛdɛ́ɛ tɛ́ɛ́dɩ,
MAT.4.16	Zamɔ́ɔ kɩwɛ temeenuú‑daá nɛ́
MAT.4.16	kɩɩna ɖɛnyɛm kʊ́bɔńgɩ,
MAT.4.16	bɩka ɖɛnyɛm ɩɖʊ kɩlɩ́ɩ
MAT.4.16	sɩ́m‑dɛ́ɛ temeenuú tɛ́ɛ́dɩ‑daá» nɛ́, ikóódi.
MAT.4.17	Bɩdɩ́ŋa‑rɔ gɛ Yeésu waabáázɩ waázu lám sɩsɩ: «Ɩgɛ́ɛ mɩ́lákásɩ, káma Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.4.18	Waadála Galilée tenkú nɔɔ́‑jɔ́ nɛ́, ngɛ waana ɩráa nɔwɔ́lɛ ɩrʊ́ na igoobú bɔ́nlɔ́ɔ biruú, káma bɛgɛ́ɛ biríni lɔɔráa gɛ; ɩráa bɛḿ bayɩrá gɛ Simɔ́ɔ́nɩ weení baava yɩ yɩ́ɖɛ sɩsɩ 
MAT.4.19	Ngɛ Yeésu wɔɔdɔ́ wɛ sɩsɩ: «Igóvú ma bɩka mabɩsɩná mɩ́ɩ wenbá bánÿaá ɩráa sɩsɩ bófú ma nɛ́.» 
MAT.4.20	Ńna‑ńna gɛ beeyéle biríni bofu yɩ. 
MAT.4.21	Woodúu bolíni nɛ́, ngɛ waana koobíya nɔwɔ́lɛ: banáábɩ́lɛ́ Yaakúbu Zebedée biyaalʊ́ na igoobú Yuháánɩ bɔwɛ bɛdɛ́ɛ kpɩ́ɩ́rʊ́ʊ‑daá, bána bajaa Zebedée bɔ́nnyɔɔzɩ́ bɛdɛ́ɛ biríni. Ngɛ waayáa wɛ. 
MAT.4.22	Ńna‑ńna gɛ beeyéle bɛdɛ́ɛ kpɩ́ɩ́rʊ́ʊ na bajaa bofu yɩ.
MAT.4.23	Ngɛ Yeésu woobó wéngilím Galilée laadɔ́ɔ rɩ́ŋa‑daá wánwɩlɩ́ɩ ɩráa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m 
MAT.4.24	Ɩráa waanɩ́ɩ bánŋmatɩ́ Yeésu‑dɛ́ɛ tɔ́m Siríi tɛ́ɛ́dɩwá rɩ́ŋa‑daá, ngɛ bɔ́ngɔgɔná yɩ wenbá barɩ́ŋa bɛ́nÿɛlɛ́m nɛ́, na kʊdɔndɩnáa na wenbá zííniwá wánjaarɩ́ wɛ nɛ́, kazála‑dɛ́ɛ́dɩ‑dɩnáa na gaala‑gáálásɩ, bɩka Yeésu wánwaazɩ́ wɛ. 
MAT.4.25	Zamɔ́ɔ kʊ́bɔ́ngɩ fóóna kʊ yɩ. Badaá nɛbɛ́rɛ waagálɩ́ɩ́ná Galilée na tɛ́ɛ́dɩwá fuú tɩdamáa nɛ́, na Yerusalɛ́m na Yudée na Yɔrɔdánɩ buwa‑dɛ́ɛ fɔlʊʊ́ kɩɩganáa.
MAT.5.1	Yeésu waana zamɔ́ɔ nɛ́, ngɛ waagba bʊ́ʊ‑daá ɩkɔ́jɔ́ɔ. Ngɛ 
MAT.5.2	Ńna gɛ waabáázɩ wɛ wɩlɩ́ɩ sɩsɩ:
MAT.5.3	«Wenbi‑niíni‑dɩnáa gɛ wenbá banyɩ bewenbé‑daá sɩsɩ bɛgɛ́ɛ kadanbʊrʊ́sɩ nɛ́,
MAT.5.3	káma badɩɩná Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.5.4	Wenbi‑niíni‑dɩnáa gɛ wenbá bɔjɔɔ́ ɖúkúru nɛ́,
MAT.5.4	káma Ɩsɔ́ɔ wɛ́nbɛɛlɩ́ wɛ.
MAT.5.5	Wenbi‑niíni‑dɩnáa gɛ wenbá bɔjɔɔ́ ɖɔyɔɔyɔɔ nɛ́,
MAT.5.5	káma Ɩsɔ́ɔ wánlám wɛ laadɔ́ɔ kʊjɔɔwʊ.
MAT.5.6	Wenbi‑niíni‑dɩnáa gɛ wenbá bɔcɔ́ɔ wenbí Ɩsɔ́ɔ sɔɔlɛ́ɛ ɩrʊ́ ɩcɔɔná nɛ́, cɔɔ́ɔ na wɛ nyɔɔ́sɩ na ɖolɔɔ́ nɛ́,
MAT.5.6	káma babʊkááta wánzɩ́m. 
MAT.5.7	Wenbi‑niíni‑dɩnáa gɛ wenbá bánnɩɩ́ baranáa kʊnyɔḿ nɛ́,
MAT.5.7	káma Ɩsɔ́ɔ wánnɩɩ́ bagʊnyɔḿ. 
MAT.5.8	Wenbi‑niíni‑dɩnáa gɛ wenbá bewenbé‑daá cɔɔ́ 
MAT.5.8	káma bánnáa Ɩsɔ́ɔ. 
MAT.5.9	Wenbi‑niíni‑dɩnáa gɛ wenbá bánjaanáa bána wɛ nɛ́ fɛɛzɩrɛ nɛ́,
MAT.5.9	káma sɩ bayáa wɛ gɛ sɩsɩ Ɩsɔ́ɔ‑dɛ́ɛ bíya. 
MAT.5.10	Wenbi‑niíni‑dɩnáa gɛ wenbá bánnáa wahála káma bovóo Ɩsɔ́ɔ‑dɛ́ɛ nɩ́bááwʊ na toovonúm nɛ́,
MAT.5.10	káma badɩɩná Ɩsɔ́ɔ‑dɛ́ɛ kowúrɔ́ɔ.
MAT.5.11	A bɩgɛ́ɛ bándʊ́ʊ́dɩ mɩ́ɩ́, bánnaazɩ́ mɩ́ɩ bɩka bónbuunáa mɩ́ɩ́ tɔ́mwá ndɩ‑ndɩ mɔ́rɔ́ɔ́zɩ́, mɩ́nyɔ́ɔ́ gɛ wenbi‑niíni‑dɩnáa. 
MAT.5.12	Mɩ́nyɔ́ɔ́ ɩváárɩ bɩka ɩcɔ́ɔ wenbi‑niíni‑daá káma mɩ́dɛ́ɛ kɩvɛrɛwʊ wɔ́nɖɔɔ́ 
MAT.5.13	Mɩ́nyɔ́ɔ́ mɩ́gɛ́ɛ́na ɖúúlínya‑dɛ́ɛ ɖɔ́m. A ɖɔ́m waazɩ́ niíni, nŋɩ́nɩ́ gɛ bánlám bɩ na bɩtáláḿ niíni? Asée bɔkpɔ́ɔ bɩ gɛ bɛbɛ́ɖɩ asʊ bɩka ɩráa ɩnʊ́m bɩ.
MAT.5.14	Mɩ́nyɔ́ɔ́ mɩ́gɛ́ɛ́na ɖúúlínya‑dɛ́ɛ ɖɛnyɛm. Tɛ́ɛ́dɩ baama tɩ bʊ́ʊ kʊjʊʊ́‑daá nɛ́, tɩdánmʊ́sɩ. 
MAT.5.15	Ngʊ́ bɔdɔ́nzɔḿ fɩtɩ́la na bɔkpɔ́ɔ gbégidi bofu kɩrɔ. Amá bɔ́ngbɔwʊ́ kɩ gɛ batɩ́nɩ ɩsɔ́ɔ́dáá na bɩka bilósi báa weení ɖaána‑daá. 
MAT.5.16	Bɩlɛ́ ɖʊɖɔ gɛ mɩ́dɛ́ɛ ɖɛnyɛm mɔɔ́na kilósi báa weení ɩna mɩ́lakásɩ kazɔ́ɔ ńzɩ na basá mɩ́jáa ɩwɛ 
MAT.5.17	Ɩ́kamáázɩ sɩsɩ mɔ́ɔ́gɔ́nɩ sɩ manɖɩ́ 
MAT.5.18	Ménveerím mɩ́ɩ toovonúm sɩsɩ: hálɩ ɖúúlinya ɩkʊrʊ́ gɛ Mará‑daá báa ŋmáádɩ‑bú yáá toḿka tándʊʊ́. 
MAT.5.19	Bɩlɛ́ nɛ́, weení idofu Mará amʊ́ adaá kʊ́ɖʊḿɖɛ báa ɖɩgɛ́ɛ kúmuuɖé, ngɛ weeyéle baaganáa ikízi ɖɛ nɛ́, sɩ bayáa yɩ kúmúu gɛ Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.5.20	Ménveerím mɩ́ɩ sɩsɩ a mɩ́dɛ́ɛ toovonúm fáa tɔɖɔ́ɔ bɩkɩ́lɩ 
MAT.5.21	Mɩ́ɩ́nɩ́ɩ sɩsɩ baaŋmátɩ ɖájáajaanáa sɩsɩ: «Ndángʊ́ʊ nyɔ́rɔwʊ́, weení waagʊ irɔwʊ́ nɛ́, bánvʊʊnáa yɩ.» 
MAT.5.22	Amá mɔ́ɔ́ ménveerím mɩ́ɩ sɩsɩ: weení wɛɛyɛɛná ɩrɔwʊ́ baaná nɛ́, bánvʊʊnáa yɩ; weení wɔɔdɔ́ ɩrɔwʊ́ sɩsɩ ɩvɛ́yɩ́na lomaazɛ́ nɛ́, bánvʊʊnáa yɩ; weení waadʊ́ʊ ɩrɔwʊ́ sɩsɩ ɖijinɖe nɛ́ mɔɔ́na baɖʊ yɩ 
MAT.5.23	A bɩgɛ́ɛ sɩsɩ nyáádála Ɩsɔ́ɔ 
MAT.5.24	yele sarɔ́ɔ ńna nbó nnyɔ́ɔ́zɩ nyána nyɔ́rɔwʊ́ mɩ́lɔ́wʊ́táá naanɩ́ ngábɩ́sɩ nlá nyázarɔ́ɔ.
