GEN.1.1	Pakuyamba Mulungu adalenga dzulu napantsi. 
GEN.1.21	Nakutenepo Mulungu adalenga bzilombo bzikulu bzam'madzi, nabzamoyo bzimfakanya m'madzi, kuteyeza mishowo yabzene, nambalami zentse zimbuluka kuteyeza mishowo yazene. Pamwepo Mulungu adawona kuti bzikhali bwino. 
GEN.1.22	Mulungu adabzidalisa nkuti, “Balanani muwande mudzadze nyanja, mbalami ngazibalane zidzadze dziko. 
GEN.1.23	Usiku udapita machibese nkubwela, imweyi idawa ntsiku yachishanu.”
GEN.1.24	Mulungu adati, “Padziko ngapawe nabzilombo bzamoyo kuteyeza mishowo yabzene, nabzifuwo nabzinkwawa namimba, nabzilombo bzamudziko kuteyeza mishowo yabzene, nabzinkwawa namimba kuteyeza mishowo yabzene.” Bzidachitika tenepo. 
GEN.1.25	Mulungu adalenga bzilombo bzapadziko kuteyeza mishowo yabzene, nabzifuwo kuteyeza mishowo yabzene, nabzinkwawa namimba kuteyeza mishowo yabzene. Pamwepo Mulungu adawona kuti bzikhali bwino.
GEN.1.26	Pamwepo Mulungu adati, “Ngatikonzeni munthu adalingana nayise, akhale ninga ise, azatonge ntsomba zamunyanja nambalami zan'dzulu, nabzifuwo nadziko lentse nabzentse bzinkwawa namimba padziko.” 
GEN.1.27	Nakutenepo Mulungu adalenga munthu adalingana nayiye, adamulenga kulingana na Mulungu, adalenga mwamuna nankazi. 
GEN.1.28	Mulungu adaadalisa, adati kwayiwo, “Balanani muwande, mudzadze dziko lentse lapantsi mulitonge, mutonge ntsomba zamunyanja, nambalami zan'dzulu, nabzilombo bzentse bzinfamba padziko lapantsi.” 
GEN.1.29	Mulungu adati, “Wonani, ndakupasani miti inchita mbewu, namichelo inchosa mbewu kuti ikhale chakudya chanu. 
GEN.1.30	Nyama zan'thengo nambalami zan'dzulu, nabzin'kwawa namimba, ndabzipasa miti yakugudila kuti ikhale chakudya chabzene.” 
GEN.1.31	Pamwepo Mulungu adanyangana bzentse bzaadakonza, adawona kuti bzikhali bwino kwene-kwene. Usiku udapita machibese nkubwela, imweyi idawa ntsiku yachitanthatu.
GEN.2.1	Nakutenepo dzulu napantsi bzidamala, nabzentse bzikhali m'mwemo. 
GEN.2.2	Ntsiku yachinomwe Mulungu adamaliza basa laakhachita, adapuma ntsiku yachinomwe kuphata basa lentse laadachita. 
GEN.2.3	Nakutenepo Mulungu adadalisa ntsiku yachinomwe nkuyichita ntsiku yakuyela, nathangwe limwelo Mulungu adadalisa basa lentse laadachita lakulenga. 
GEN.2.4	Uwu ndiwo m'mbadwe wakudzulu nawapantsi waadalenga.
GEN.2.4	Ndiyo ntsiku Chawuta Mulungu yaadalenga kudzulu napantsi, 
GEN.2.5	miti yanthengo ikhanati yawapo padziko, miti yanthengo ikhanati yamela, pakuti Chawuta Mulungu akhanati wabvumbisa mvula padziko. Palibe munthu akhalima, 
GEN.2.6	koma madzi yadachoka pantsi ndiyo yadatotesa padziko.
GEN.2.7	Pamwepo Chawuta Mulungu adakonza munthu nadongo lapantsi, adamufemela mpuye wamoyo m'mphuno mwake, munthu adakhala wamoyo.
GEN.2.8	Chawuta Mulungu adabzala munda chakumabveladzuwa kwa Edheni, ndimo mwaadayikha munthu waadakonzayo. 
GEN.2.9	Kuchoka mudongo Chawuta Mulungu adamelesa miti ikhawoneka bwino m'maso, pomwe ikhali chakudya chabwino, muti wawumoyo udabzaliwa pakati pamundawo, namuti wakudziwa chabwino nachakuyipa.
GEN.2.10	Kamadzi kakhayelela kachichoka mu Edheni kachithiliza mundawo, kakhachoka m'mwemo kachipatukana kuchita tukamadzi tunayi. 
GEN.2.11	Dzina lakakuyamba likhali Pishoni, ndiko kakhayelela kachizungunuka dziko la Havila, uko kukhana golidhe, 
GEN.2.12	golidhe yamudziko m'mwemo niyabwino, muna minyala yabhidheliyamu naya onikisi. 
GEN.2.13	Dzina lakamadzi kachiwili likhali Gihoni, ndiko kakhayelela kachizungunuka dziko lentse la Kushi. 
GEN.2.14	Dzina lakamadzi kachitatu likhali Tigirisi, ndiko kakhayelela chakumabveladzuwa kwa Asiriya. Kamadzi kachinayi kakhali Ufuratesi.
GEN.2.15	Chawuta Mulungu adatola munthu nkumuyikha m'munda wa Edheni kuti alime nakuwuchengeta. 
GEN.2.16	Chawuta Mulungu adawuza munthu kuti, “Michelo yentse yam'munda muno ungadye mwakutsudzuka, 
GEN.2.17	koma muti umpasa nzelu zakudziwa chabwino nachakuyipa leka kudya, pakuti ntsiku yawuniwudya un'zafa.”
GEN.2.18	Pamwepo Chawuta Mulungu adati, “M'bzabwino lini kuti munthu akhale ali yekha. Ninimukonzela nthandizi aniyendelana nayiye.” 
GEN.2.19	Nakutenepo Chawuta Mulungu adatola dongo nkukonza nalo bzilombo bzakusiyana-siyana bzan'thengo nambalami zentse zan'dzulu. Adabzibwelesa kwa munthu kuti abzipase madzina. 
GEN.2.20	Munthuyo adapasa madzina bzifuwo bzentse, nambalami zentse zan'dzulu, nabzilombo bzentse bzan'thengo. Koma munthu akhanati wawona nthandizi akhayendelana nayiye.
GEN.2.21	Nakutenepo Chawuta Mulungu adachita kuti munthuyo agone tulo twakufa, paakhadagona tenepo iye adatola mbabvu yake ibodzi nkubwezapo pomwe nyama yake, 
GEN.2.22	mbabvu imweyo yaadatola Chawuta Mulungu pamunthuyo ndiyo yaadakonza nayo nkazi, nkumpeleka kwamunthu. 
GEN.2.23	Pamwepo munthu adati,
GEN.2.23	“Uyu tsapano ndiye bondo lamabondo yangu,
GEN.2.23	nyama yanyama yangu.
GEN.2.23	Iye an'zachemelewa kuti ‘Nkazi’,
GEN.2.23	pakuti adachoka pamunthu.”
GEN.2.24	Nakutenepo, mwamuna an'zasiya apayi wake naamayi wake, achiphatana nankazi wake, achikhala nyama ibodzi.
GEN.2.25	Pamwepo munthu nankazi wake wentse akhalibe kubvala, koma akhabva lini manyazi.
GEN.3.1	Tsapano nyoka ikhadachenjela kuposa nyama zentse zan'thengo zidalengewa na Chawuta Mulungu. Iyo idati kwankazi, “Ko Mulungu adalewa kuti, ‘Leka kudya michelo yamiti yam'munda muno?’ ”
GEN.3.2	Nkazi adati kwanyokayo, “Michelo yamiti yam'munda muno tingadye, 
GEN.3.3	koma Mulungu adati, ‘N'chelo wamuti uli pakati pamunda tileke kuwudya panango kuwuphata, tikawudya tin'zafa.’ ”
GEN.3.4	Koma nyokayo idati kwankaziyo, “Mun'zafa lini. 
GEN.3.5	Pakuti Mulungu an'dziwa kuti, mukawudya maso yanu yan'zafunguka, mun'zalingana na Mulungu, kudziwa chabwino nachakuyipa.”
GEN.3.6	Nkaziyo paadawona kuti mutiwo niwabwino kudya, pomwe kuti ukhawoneka bwino m'maso, ukhachitisa kuti munthu achenjele, adatola n'chelo wamutiwo nkudya, adapasambo mwamuna wake, iyembo nkudya. 
GEN.3.7	Pamwepo maso yawo wentse ali awili yadafunguka, adadziwa kuti akhali pezi, adabzisonela masamba yamuti wankuyu nkubvala.
GEN.3.8	Iwo adabva n'jinchi wa Chawuta Mulungu achifamba-famba m'munda nthawe yakujenjelela chakumawulo, munthu nankazi wake adabisala Chawuta Mulungu nkati mwamiti yam'munda. 
GEN.3.9	Koma Chawuta Mulungu adachemela munthuyo nkuti kwayiye, “Uli kuponi?”
GEN.3.10	Iye adati, “Ndabva kufamba-famba kwamukhachita m'munda, ndikhagopa, nathangwe lakuti ndikhali pezi, ndipo pandabisala.”
GEN.3.11	Mulungu adati, “Mbani wakuwuza kuti uli pezi, ko wadya nchelo wamuti wandidakuwuza kuti uleke kudya?”
GEN.3.12	Munthuyo adati, “Nkazi wamudandipasa ndiye adandipasa n'chelo wamutiwo, ine ndidadya.”
GEN.3.13	Pamwepo Chawuta Mulungu adati kwankaziyo, “Ko nchinyi ichi chawachita?”
GEN.3.13	Nkazi adati, “Nyoka ndiyo yandipumphsa, ndipo pandadya.”
GEN.3.14	Pamwepo Chawuta Mulungu adati kwanyoka,
GEN.3.14	“Nathangwe labzawachitabzi,
GEN.3.14	iwe watembelelewa kuposa bzifuwo bzentse,
GEN.3.14	pomwe kuposa bzilombo bzentse bzan'thengo.
GEN.3.14	Un'zafamba uchikwawa namimba yako,
GEN.3.14	un'zadya pfumbi,
GEN.3.14	nthawe yentse yawumoyo wako.
GEN.3.15	Nin'zayikha chizondo pakati payiwe nankazi,
GEN.3.15	pakati pawana wake nawana wako.
GEN.3.15	An'zaphwanya nsolo wako,
GEN.3.15	iwe un'zaluma chithatha chake.”
GEN.3.16	Kwankazi adati,
GEN.3.16	“Nin'zathimiza kuwawiwa panthawe yawumphata pathupi,
GEN.3.16	napanthawe yawun'zabala wana,
GEN.3.16	koma un'zakhala uchifuna mwamuna wako,
GEN.3.16	iye an'zakutonga.”
GEN.3.17	Kwa Adhamu adati,
GEN.3.17	“Nathangwe lakutetekela fala lankazi wako,
GEN.3.17	pomwe nakuti udadya n'chelo wamuti
GEN.3.17	wandidakuwuza kuti,
GEN.3.17	‘Leke kuwudya,’
GEN.3.17	dziko latembelelewa thangwe layiwe,
GEN.3.17	un'zashupika kwene-kwene kuti uwone chakudya chinchoka m'mwemo, ntsiku zawumoyo wako wentse.
GEN.3.18	Dziko lin'zakumelela minga nancheso,
GEN.3.18	iwe un'zadya chakudya chan'thengo.
GEN.3.19	Mukaluma yapamaso pako
GEN.3.19	ndimo mun'zachoka chakudya chako,
GEN.3.19	kufikila wabwelela pantsi,
GEN.3.19	pakuti ndiko kwawudatolewa,
GEN.3.19	ndiwe dongo, un'zabwelela kudongo.”
GEN.3.20	Munthu adapasa nkazi wake dzina lakuti Eva, pakuti ndiye akhali amayi wawanthu wentse wamoyo. 
GEN.3.21	Chawuta Mulungu adakonzela Adhamu nankazi wake chakubvala chamakanda, nkuwabvadzika.
GEN.3.22	Tsapano Chawuta Mulungu adati, “Wonani, munthu walingana nayise, waakudziwa chabwino nachakuyipa. Anfunika lini kubvumiziwa kuchela n'chelo wamuti umpasa umoyo unsaya kumala achiwudya achikhala wamoyo kufika lini nalini.” 
GEN.3.23	Nakutenepo Chawuta Mulungu adachosa munthu m'munda wa Edheni, kuti akalime pantsi paadachoka. 
GEN.3.24	Iye adachosa munthuyo, nkuyikha makherubhi nabhemba likhang'ayima chakumabveladzuwa kwamunda wa Edheni, kuchichinjiliza njila ikhayenda kumuti wawumoyo.
GEN.4.1	Tsapano Adhamu adadziwa nkazi wake Eva, iye adaphata pathupi nkubala Kayini, adati, “Ndabala munthu, ndathandiziwa na Chawuta.” 
GEN.4.2	Adazabala pomwe m'bale wake waadapasa dzina lakuti Abhelo. Abhelo akhachengeta mabila, Kayini adawa mulimi padziko. 
GEN.4.3	Nakufamba kwanthawe Kayini adayendesa ntsembe yake kwa Chawuta kuchoka kumichelo yapantsi, 
GEN.4.4	Abhelo adayendesambo chakuyamba chamabila yake, nabzipindi bzakununa bzachifuwocho. Chawuta adakondwa na Abhelo nantsembe yake, 
GEN.4.5	Chawuta alibe kutambila Kayini nantsembe yake. Pamwepo Kayini adakalipa kwene-kwene, nkudodomesa pamaso. 
GEN.4.6	Chawuta adati kwa Kayini, “Thangwe lanyi kukalipa? Thangwe lanyi kudodomesa nkhope? 
GEN.4.7	Ko ukachita bwino ungaleke kutambiliwa? Ukaleka kuchita bwino, chakuyipa chinkutsandila pansuwo chichifuna iwepo, koma iwe unfunika kukunda.”
GEN.4.8	Kayini adati kwam'bale wake Abhelo, “Tiyende n'thengo,” paakhali n'thengomo, Kayini adasandukila m'bale wake Abhelo, nkumupha.
GEN.4.9	Pamwepo Chawuta adati kwa Kayini, “M'bale wako Abhelo ali kuponi?” Iye adati, “Nin'dziwa lini kuti ali kuponi. Ko ine ndine nin'chengeta m'bale wangu?”
GEN.4.10	Chawuta adati, “N'chinyi chawachita? Fala lagazi lam'bale wako lili kulila kwayine kuchoka pantsi. 
GEN.4.11	Tsapano watembelelewa mudziko lino, lidamwa gazi lam'bale wako wawudapha namanja yako. 
GEN.4.12	Pawun'zalima mudongo limwelo un'zakolola lini. Un'zawa munthu wakuzungayila wakundofamba padziko.”
GEN.4.13	Kayini adati kwa Chawuta, “Chilango chamwandipasa n'chikulu, nin'chikwanisa lini kuchitakula. 
GEN.4.14	Lelo mwandithamangisa padziko, ndachoka patsogolo panu, ndaakuzungayila ndikundofamba-famba nadziko. Munthu wentse an'gumana nayine an'zandipha.”
GEN.4.15	Chawuta adati kwayiye, “Ntenepo lini! Munthu wentse anipha Kayini, an'zalangiwa kadapetewa kanomwe.” Chawuta adayikha chilatizo pa Kayini, kuchitila kuti munthu aninga wamuwona aleke kumupha. 
GEN.4.16	Kayini adachoka patsogolo pa Chawuta, nkuyenda kakhala kudziko la Nodhi
GEN.4.17	Kayini adadziwa nkazi wake, iye adaphata pathupi nkubala Enoki. Adamanga guta, guta limwelo adalipasa dzina lamwana wake wachimuna, Enoki. 
GEN.4.18	Enoki akhali apayi wa Iradhi, Iradhi akhali apayi wa Mehuyaeli, Mehuyaeli akhali apayi wa Metusayeli, Metusayeli akhali apayi wa Lameki. 
GEN.4.19	Lameki akhana akazi awili, wakuyamba akhachitiwa Adha, wachiwili akhachitiwa Zila. 
GEN.4.20	Adha adabala Jabhali, uyo akhali payi wawanthu akhakhala m'matenti, akhafuwa bzifuwo. 
GEN.4.21	Dzina lam'bale wake likhachitiwa Jubhali, uyo akhali payi wawanthu aniliza banjo namitolilo. 
GEN.4.22	Zila adabala Tubhali Kayini, uyo akhakonza bzinthu bzentse bzankuwa nabzasimbi. Nana wa Tubhali Kayini akhachitiwa Naama.
GEN.4.23	Lameki adati kwaazikazi wake,
GEN.4.23	“Adha na Zila, ibvani fala langu!
GEN.4.23	Imwe azikazi wa Lameki tetekeleni bzandikulewa ine!
GEN.4.23	Ine ndidapha munthu, adandipweteka,
GEN.4.23	mwamuna waching'ono nathangwe lakundimenya!
GEN.4.24	Peno munthu anipha Kayini anilangiwa kadapetewa kanomwe,
GEN.4.24	munthu anipha lameki an'zalangiwambo kadapetewa makumi manomwe nanomwe.”
GEN.4.25	Adhamu adadziwa pomwe nkazi wake, nkubala mwana wachimuna waadapasa dzina lakuti Seti, iye adati, “Mulungu wandipasa pomwe mwana pambuto ya Abhelo ule adaphewa na Kayini.” 
GEN.4.26	Seti adabala mwana wachimuna waadapasa dzina lakuti Enoshi. Nthawe imweyo wanthu adayamba kuchemela dzina la Chawuta.
GEN.5.1	Aya ndiyo madzina yam'badwe wa Adhamu. Mulungu paadalenga munthu, adamulenga adalingana nayiye pachake. 
GEN.5.2	Adalenga mwamuna nankazi, adaadalisa, achiwachemela kuti, “Wanthu” 
GEN.5.3	Adhamu akhana magole dzana namakumi matatu (130), adakhala apayi wamwana akhadalingana nayiye, waadapasa dzina lakuti Seti. 
GEN.5.4	Pambuyo pakubaliwa kwa Seti, Adhamu adakhala pomwe magole mazana masele (800) adachita pomwe anango wana wachimuna nawachikazi. 
GEN.5.5	Magole yentse yadalalama Adhamu yakhali mazana pfemba namakumi matatu (930), nkuzafa.
GEN.5.6	Seti paakhana magole dzana namashanu (105), adakhala apayi wa Enoshi. 
GEN.5.7	Pambuyo pakubaliwa kwa Enoshi, Seti adalalama kwamagole mazana masele nanomwe (807), adabala anango wana wachimuna nawachikazi. 
GEN.5.8	Magole yentse yadalalama Seti yakhali mazana pfemba nakhumi namawili (912), nkuzafa.
GEN.5.9	Enoshi paakhana magole makumi pfemba (90), adakhala apayi wa Kenani. 
GEN.5.10	Pambuyo pakubaliwa kwa Kenani, Enoshi adalalama kwamagole mazana masele nakhumi nashanu (815), adabala anango wana wachimuna nawachiakazi. 
GEN.5.11	Magole yentse yadalalama Enoshi yakhali mazana pfemba namashanu, (905), nkuzafa.
GEN.5.12	Kenani paakhana magole makumi manomwe (70) adakhala apayi wa Mahalaleli. 
GEN.5.13	Pambuyo pakubaliwa kwa Mahalaleli, Kenani adalalama kwamagole mazana masele namakumi manayi (840), adabala anango wana wachimuna nawachikazi. 
GEN.5.14	Magole yentse yadalalama Kenani yakhali mazana pfemba nakhumi (910), nkuzafa.
GEN.5.15	Mahalaleli paakhana magole makumi matanthatu namashanu adakhala apayi wa Jaredhi. 
GEN.5.16	Pambuyo pakubaliwa kwa Jaredhi, Mahalaleli adalalama kwamagole mazana masele namagole makumi matatu (830), adabala pomwe anango wana wachimuna nawachikazi. 
GEN.5.17	Magole yentse yadalalama Mahalaleli yakhali mazana masele namakumi pfemba namashanu (895), nkuzafa.
GEN.5.18	Jaredhi paakhana magole dzana namakumi matanthatu namawili (162), adakhala apayi wa Enoki. 
GEN.5.19	Pambuyo pakubaliwa kwa Enoki, Jaredhi adalalama kwamagole mazana makumi masele (800), adabala pomwe anango wana wachimuna nawachikazi. 
GEN.5.20	Magole yentse yadalalama Jaredhi yakhali mazana pfemba namakumi matanthatu namawili (962), nkuzafa.
GEN.5.21	Inoki adalalama magole makumi matanthatu namashanu (65), nkukhala apayi wa Metusela. 
GEN.5.22	Pambuyo pakubaliwa kwa Metusela, Inoki adafamba na Mulungu kwamagole mazana matatu (300), adabala pomwe anango wana wachimuna nawachikazi. 
GEN.5.23	Magole yentse yadalalama Enoki yakhali mazana matatu namakumi matanthatu namashanu (365). 
GEN.5.24	Inoki adafamba na Mulungu, adanyangalika, pakuti Mulungu adamutola.
GEN.5.25	Metusela paakhana magole dzana namakumi masele nanomwe (187), adakhala apayi wa Lameki. 
GEN.5.26	Pambuyo pakubaliwa kwa Lameki, Metusela adalalama kwamagole mazana manomwe namakumi masele namawili (782), adabala anango wana wachimuna nawachikazi, nkuzafa. 
GEN.5.27	Magole yentse yadalalama Metusela yakhali mazana pfemba namakumi matanthatu napfemba (938), nkuzafa.
GEN.5.28	Lameki paakhana magole dzana namakumi masele namawili (182), adakhala apayi wamwana wachimuna, 
GEN.5.29	waadapasa dzina lakuti Nowa, adati, “Kuchoka padongo lidatembelelewa na Chawuta, mwana uyu ndiye an'zatinyamaliza pabasa lentse lakuwuma latim'phata namanja yathu.” 
GEN.5.30	Pambuyo pakubaliwa kwa Nowa, Lameki adakhala kwamagole mazana mashanu namakumi pfemba nashanu (595), adabala anango wana wachimuna nawachikazi. 
GEN.5.31	Magole yentse yadalalama Lameki yakhali mazana manomwe namakumi manomwe nanomwe (777), nkuzafa.
GEN.5.32	Nowa paakhana magole mazana mashanu (500), adakhala apayi wa Shemu na Hamu na Jafeti.
GEN.6.1	Wanthu paadayamba kuwanda padziko, adabala wana wachitsikana. 
GEN.6.2	Wana wa Mulungu adazawona kuti wana wawanthu wachitsikana akhabaliwa akhadakoma nkhope, adatakula waakhafuna nkuloola. 
GEN.6.3	Pamwepo Chawuta adati, “N'zimu wangu un'zakhala lini pamunthu kufika lini nalini, pakuti nimunthu wanyama. Nakutenepo munthu an'zakhala lini padziko kwamagole yampita dzana namakumi mawili.” (120) 
GEN.6.4	A Nefilimu akhali padziko lapantsi muntsiku zimwezo napambuyo pache, wana wa Mulungu paadabwela kuzaloola wana wawanthu achibala nawo wana. Amwewa akhali wanthu wam'phamvu wakale akhadziwika kwene-kwene.
GEN.6.5	Chawuta adawona kuti kuyipa kwamunthu padziko kukhadakula, bzentse bzaan'khala achikumbuka mumitima yawo m'bzakuyipa bzokha-bzokha. 
GEN.6.6	Chawuta adakumbuka kuti “Ninga ndilibe kukonza wanthu padziko.” 
GEN.6.7	Pamwepo Chawuta adati, “Nin'chosapo wanthu wentse wandidalenga padziko, wanthu nabzilombo nabzinkwawa namimba, nambalami. Ninkungula kuti ndidabzilengelanyi.” 
GEN.6.8	Nowa ankomelewa ntima na Chawuta.
GEN.6.9	Iyi ndiyo nkhani ya Nowa. Nowa akhali munthu wakulungama, akhali munthu akhalibe mulandu pam'badwe wake wentse. Nowa adafamba na Mulungu. 
GEN.6.10	Nowa akhana wana atatu, Shemu na Hamu na Jafeti. 
GEN.6.11	Mulungu adawona kuti dziko ladzala nankhondo. 
GEN.6.12	Tsapano Mulungu adawona kuti padziko padzala nakudzonga, wanthu wentse akhadzonga padziko lapantsi.
GEN.6.13	Mulungu adati kwa Nowa, “Ndakumbuka bzakupha wanthu wentse, pakuti dziko ladzala nankhondo. Wonani, niwachenekela kubodzi nadziko. 
GEN.6.14	Tsono iwe bzikonzele bote labwino lamatabwa, uyikhe bzipinda nkati mwalene, ulitsutsute nabelewu nkati nakunja kwalene. 
GEN.6.15	Botelo ulikonze tenepa, muwutali mwalene lichite mamita dzana namakumi matatu namatatu (133), muwufupi mwalene muchite mamita makumi mawili namawili (22), kuyenda n'dzulu kuchite mamita khumi namatatu (13). 
GEN.6.16	Pabote limwelo uyikhepo ntsodzi, pakati pantsodzi nachengo usiyepo mbuto infika masendimita makumi manayi namanayi (44). Nkati mwalene mukhale nambuto zitatu, yapantsi, yapakati nayapadzulu. Pambali pambotelo uyikhepo nsuwo. 
GEN.6.17	Wonani, ine nin'zabvumbisa mvula yachigumula padziko, in'zacheneka bzinthu bzentse bzamoyo bzili padziko. Bzentse bzili padziko bzin'zafa. 
GEN.6.18	Koma ine nin'zachita chibvano nayiwe. Iwe nankazi wako nawana wako naaloola wako mupite mubote. 
GEN.6.19	Pabzinyama bzentse bzamoyo bzamishowo yentse utakule bziwili-bziwili upite nabzo mubote, kuti bzikhale bzamoyo pabodzi nayimwe, ngabziwe bzimuna nabzikazi. 
GEN.6.20	Utole bziwili-bziwili, mbalami kuteyeza mishowo yazene nabzentse bzin'kwawa padziko kuchitila kuti bzikhale bzamoyo. 
GEN.6.21	Utakule chakudya chakusiyana-siyana, chako nachabzinyamabzo.” 
GEN.6.22	Nowa adachita bzentse bzaadawuziwa na Mulungu kuti achite.
GEN.7.1	Chawuta adati kwa Nowa, “Pita mubote nabanja lako, pakuti ndawona kuti ndiwe wekha wakulungama pam'badwe wentse uli padziko. 
GEN.7.2	Panyama zakuchena utakule mikono minomwe nazikazi zinomwe. Koma panyama zakupsipa utakule ziwili, ikono nayikazi. 
GEN.7.3	Utakule mbalami zamishowo yentse, zikazi zinomwe nazimuna zinomwe, kuchitila kuti zikhale zamoyo padziko lentse lapantsi. 
GEN.7.4	Kupita kwantsiku zinomwe kuchoka lelo, nin'zabvumbisa mvula padziko kwantsiku makumi manayi (40) usiku namasikati. Bzentse bzamoyo bzandidalenga, nin'zabzicheneka padziko.” 
GEN.7.5	Nakutenepo Nowa adachita bzentse bzaadawuziwa na Chawuta kuti achite.
GEN.7.6	Nowa akhana magole mazana matanthatu (600), padachitika chigumula padziko. 
GEN.7.7	Nowa nankazi wake nawana wake naaloola wake adapita mubote kuti aleke kufa namadzi yachigumula. 
GEN.7.8	Bzinyama bzakuchena nabzakupsipa nambalami nabzentse bzinkwawa namimba, 
GEN.7.9	bzili bziwili-bziwili, chimuna nachikazi, ninga kuwuziwa kukhadachitiwa Nowa na Mulungu. 
GEN.7.10	Kudapita ntsiku zinomwe madzi yachigumula nkubwela padziko.
GEN.7.11	Nowa paakhana magole mazana matanthatu (600), mumwezi wachiwili, ntsiku yakhumi nanomwe, ndiyo ntsiku idafunguka ntsantsa zentse zamaboo, namazhenela yentse yakudzulu yadafunguka. 
GEN.7.12	Mvula idabvumba padziko kwantsiku makumi manayi usiku namasikati. 
GEN.7.13	Ntsiku imweyo Nowa nankazi wake nawana wake wachimuna atatu, Shemu na Hamu na Jafeti naaziloola wake adapita m'bote, 
GEN.7.14	pabodzi nanyama kuteyeza mishowo yazene, bzifuwo kuteyeza mishowo yabzene, nabzentze bzinkwawa namimba kuteyeza mishowo yabzene, nambalami zentse kuteyeza mishowo yazene, mbalami zanshowo nanshowo. 
GEN.7.15	Bzakulengewa bzamoyo bzakusiyana-siyana bzidapita mubote na Nowa bzili bziwili-bziwili, 
GEN.7.16	kuteyeza kuwuziwa kwaakhadachitiwa Nowa na Mulungu. Pamwepo Chawuta adafunga nsuwo.
GEN.7.17	Madzi yachigumula yadapitiliza kubvumba padziko kwantsiku makumi manayi. Madzi yadawanda, bzidazachitisa kuti botelo liyangamale padzulu pamadzi. 
GEN.7.18	Madzi yadapitiliza kuwanda padziko, bote nkuyangamala padzulu. 
GEN.7.19	Madzi yadadzala nkunyuza maphili yentse matali yapadziko, 
GEN.7.20	yadanyuza mapili kufika mamita manomwe. 
GEN.7.21	Bzinyama bzentse bzamoyo bzikhali padziko, mbalami nabzifuwo nabzinkwawa namimba pabodzi nawanthu nkufa. 
GEN.7.22	Bzinthu bzentse bzamoyo bzikhali pabziko bzidafa. 
GEN.7.23	Chawuta adapha bzentse bzamoyo padziko, wanthu nabzinyama nambalami. Kudasala Nowa nabzentse bzaakhanabzo m'bote. 
GEN.7.24	Madzi yadadzala padziko lapantsi kwantsiku dzana namakumi mashanu.
GEN.8.1	Koma Mulungu adakumbuka Nowa nabzinyama bzentse nabzifuwo bzaakhanabzo m'bote. Mulungu adachita kuti padziko pachite chonzi, pamwepo madzi nkuyamba kuphwilila. 
GEN.8.2	Ntsantsa zamaboo namazhanela yakudzulu bzidafunga, mvula yakudzulu idaleka kubvumba. 
