MAT.1.1	Ísu Káráísitini akúníꞌo uráan-aai. Ísun-aíwáꞌná Téfítin-iye. Téfítin-aíwáꞌná Émbaramun-iye.
MAT.2.4	Éroti óraaꞌ-amaan-kisau-waasiye ámáámbo sun-kwáásíyé táántowasa túwaandu uwaná séna Maníkómó aiꞌmaráíndawimba Káráísitimba maꞌankáínda nááfara maꞌankáíníyo súwasa 
MAT.2.5	sésa Yúndiyaa-marafaꞌa Pétaremu-naopaꞌa maꞌankáíníye. Maníkón-aaimo simátímakowi agaimaréna séna
MAT.2.6	Yúndiyaa-marafaꞌa Pétaremu-naopaken-kwaasisono. Yúndiyaa-marafaꞌa káráwiyaiwaifimba kentí naaópaꞌo káráwiyaiwai ímba tínaaempaꞌa méraawe. Kentí naaópakemba moóráwigo paápé uréna kesí waási Ísareri-waasiyaꞌa kaweꞌá úmai káráwiyiniye
MAT.2.6	agaimaréna siyáiye suwaná 
MAT.2.7	Éroti iséna aafáúmó íyáúsupaken-kwaasi aúpáꞌá táántowasa tuwaná tísai ena séna nóran-kanaawa minóꞌá paápé isará awánaraao súwasa simámúwana 
MAT.2.8	Éroti séna Pétaremufaꞌa miníyámpóí koayaafáí úmai awánéꞌa tasimásimiyaꞌa keséꞌa kuréꞌa wenáwíꞌa mósá máráano súwasa 
MAT.2.9	isésa kumbá aafáúmó íyáúsupaꞌo mésamo awánaraan-oꞌa awánowana minókó aifaꞌá wéwena miníyámpóímó méronkaꞌa kowaúwasa 
MAT.2.10	áfááraumai aamoí ésa 
MAT.2.11	mindáúmpáꞌá iyésa anówane miníyámpóíyé tuwánésa kífaesa miníyámpóígón-áwíꞌa mósá marésa unáámbá óin-tokésa kawe-tántááꞌá korí-óntámbá fóimai amésa kaweꞌ-úmúmbó í-tántááꞌá fóimai amésa asaa-wiyúm-básáwénkwáráꞌá fóimai ámakaawe.
MAT.2.12	Ámatuwesa tún-kwáúwana Maníkó kaainampáꞌá simátimena séna Érotimba ímba kosimáméro súwasa fíꞌon-ampakemba kentí naaópaꞌa kuráawe.
MAT.2.13	Kúwana wíyómpakemba Fasiꞌaénkóní kísau-waasigomba Yósepi kaainampákémbá awánówana séna Éroti miníyámpóí tufuwíndasafena wésaafa-ifo íyáfasine anówane miníyámpóíyé tíꞌmae Ísípi-marafaꞌa koménaꞌa aánoꞌa simámeꞌa áíꞌmae tiyó sénaumne súwana 
MAT.2.14	mindóꞌwáámbá íyáfasinena anówane miníyámpóíyé tíꞌmaena Ísípi-marafaꞌa wémena 
MAT.2.15	mifáꞌá komérowana Éroti pukáiye. Naaófáꞌá Maníkón-aaimo simátímakowi siyónkaꞌa póna miyá uráiye. Wemá agaimaréna séna Fasiꞌaénkó séna
MAT.2.15	Ísípi-marafakemba kesáánimba
MAT.2.15	mérainaꞌa áántaanana kouweráíníye
MAT.2.15	siyáiye agaimaréna siyónkaꞌa póna miyá uráiye.
MAT.2.16	Éroti awánómba aafáúmó íyáúsupaken-kwaasi karoꞌá simánkesa kóuwana Érotin-arunko áyámba úwana aafáúmó íyáúsupaken-kwaasimo simámakon-aaisafenawe oꞌá paápé uráiyemo siyón-aaisafenawe imáyáa éna tuwímbai tiꞌmaréna séna Pétaremu-naoꞌ-aempaꞌ-naopimpaꞌa kaeꞌ-áátáímó uwásúwén-iyampoiye ímbo kaeꞌ-áátáímó uwásúwén-iyampoiye saafá úmai tínkantuwaaro súwasa miyá uráawe.
MAT.2.17	Naaófáꞌá Maníkón-aaimo simátímakowin-awiꞌa Yérémaya siyónkaꞌa póna miyá uráiye. Wemá agaimaréna séna
MAT.2.18	Ráma-waasi áfááraumaimo ifiꞌó taráamba ísaraawe. Réserin-aísaafitantamba uráan-kwaasi miwítí iyámpóísafesa ifiꞌá taawasá iyámpóímo
MAT.2.18	pukáantafesa timambá faráátamai tínkaraawasa úwoi ifiꞌá támaesa iyáawe
MAT.2.18	agaimaréna siyáiye.
MAT.2.19	Éroti puwúmba Yósepi Ísípi-marafaꞌa ména wíyómpakemba Fasiꞌaénkóní kísau-waasigomba kaainampákémbá awánówana séna 
MAT.2.20	miníyámpóígómbá tufuwónaemo sen-kwáásí éꞌa púwófo íyáfasine anówane miníyámpóíyé tíꞌmae Ísareri-marafaꞌa waaó súwana 
MAT.2.21	íyáfasinena awaainínkóné ááninkonte tíꞌmaena Ísareri-marafaꞌa kúmba 
MAT.2.22	Érotin-ááninkon-awiꞌa Ákéreasi afowán-ánóndáá Yúndiyaa-aempaꞌa kawáá-kísáú wémauwana Yósepi iséna mináémpáꞌó wíndasafena inkaisúwana kaainampáꞌá Maníkó simámuwana Káríri-aempaꞌa 
MAT.2.23	Násareti-naopaꞌa tíꞌmaena koméraiye. Naaófáꞌá Maníkón-aaimo simátímakowi siyónkaꞌa póna miyá uráiye. Wemá Ísuntafena séna
MAT.2.23	Násaretifaken-kwaasin-iye sénááwe
MAT.2.23	agaimaréna siyónkaꞌa póna miyá uráiye.
MAT.3.1	Minkánááfímbá moóráwigon-awiꞌa Yóni ména nombó maitinkówi póna Yúndiyaa-marafaꞌa kúmba máásai-marafaꞌa koména simátimena séna 
MAT.3.2	Maníkó wení waási kawáánimba ómbaraifo kentí sáwí-imayaa tuwéꞌa Maníkómpáꞌá teró simátímaꞌmaena iyáiye. 
MAT.3.3	Naaófáꞌá Yóni ímbo méronkaꞌa Maníkón-aaimo simátímakowin-awiꞌa Áísáya Yónimo paápé índasafena imáyáa éna agaimaréna séna
MAT.3.3	moóráwigo máásai-marafaꞌa ména aaemáíyakemba séna Fasiꞌaénkóní aambó wiꞌankáíyamba wení aambá arupíse íyana minámpáꞌá wíno
MAT.3.3	Áísáya agaimaréna siyónkaꞌa póna Yóni paápé úwana minááí paápé uráiye.
MAT.3.4	Yóni káámeri-poigoni áyáu-watoi iyéna ásisamba áꞌwáánkau uréna faꞌnóríné wantáámíkóní aúwé mintón-aantemba wénena 
MAT.3.5	aaí simátímaꞌmaena iyúwasa Yérúsaremu-naopaken-kwaasiye Yúndiyaa-aempaken-kwaasiye Yóndani-nonkoni menáípákéné maanáípákén-kwáásíyé miyáumai-waasi tóso ésa 
MAT.3.6	miwítí sáwí-awauma kufíyúwana Yóni Yóndani-nompimba nombá maitínkaraiye.
MAT.3.7	Yóni nombá maitinkéna awánómba ámáán-kawaa-waasiye Sátúsi-amaan-kawaa-waasiye sáwífaꞌa nombá maisinkáínkwae sésa wempáꞌá tóso uwaná simátimena séna iyánkó póígon-araaꞌan-owe. Maníkó kentí sáwí-meyamba timínífo nááwa simátímísara iséra inkaiséra wéteo. 
MAT.3.8	Kentí sáwí-kisau tuwéꞌo Maníkómpáꞌó téꞌo éꞌa kawe-kísáú maíyaꞌa tuwánánaumne. 
MAT.3.9	Émbaramu kentáá síwáꞌná imbá póta Maníkóní kaweꞌ-wáásísá úne séꞌa miyán-ímáyáá ímba oro. Maníkó Émbaramun-aísaafitantamba ónááwe sénaraantaasi maanóntámpínkémbá kanaámpóꞌa waási úráaro sisaꞌá úráawaisino. Émbaramun-aísaafitantamba uráundawi póta kaweꞌ-wáásísá úne séꞌa miyán-ímáyáá ímba oro. 
MAT.3.10	Ímba kaweꞌ-árámbá íyáín-taima áwáufimba wéayaisuwesamo iyafímbó agaisúwáántemba Maníkó miyáumai kentí sáwí-meyamba timíníye Yóni siyáiye.
MAT.3.11	Yóni simátimena séna kentí sáwí-imayaa tuwéꞌa Maníkómpáꞌó tewí nombá wémaitinkaundanifo kesínaaembo tíndawi Ufaen-ámútánkómbá aiꞌmaráínana kuména kempímbá óraaꞌa uwátinkainiye. Iyamó agáéntemba íníye. Wemá óraako kembá íyáákaraifo wemó aaí síndaraꞌo kemó sendá sáwíꞌan-iye. 
MAT.3.12	Aawinkwínaumo sipetifímbó mósá marésamo mentúwááwanamo anómbo marapáꞌó kúmísanamo ásimo fiyúndágomo tiyútúwáísasamo kámakamaꞌo índai-iyafimbo uwááígomo agaisuwésamo anómbo naaúmpaꞌo mósá máráántemba waási miyáráámbá íníye Yóni siyáiye.
MAT.3.13	Minkánáá Ísu Káríri-aempakemba Yóndani-nompaꞌa téna Yóni nombá maisinkáínkwae séna túwana 
MAT.3.14	Yóni séna ímbanifo emó nombó maisinkénda kanaán-ifo kentáfémo sémo nombá maisinkaaómó séndawe súwana 
MAT.3.15	Ísu séna ifátuwe súndantemba miyán-uwo. Miyámó ékaimo ékai Maníkó siyáiniꞌa óyauye súwana ewé séna 
MAT.3.16	nombá maiyankówana nompínkémbá íyáfasinowana kampúaran-tawaai tuwínkaaꞌ-úwana Yóni awánómba Maníkóní ámútanko mááufuꞌ-numaraamba úmaena Ísu aneꞌá kumbérowana 
MAT.3.17	aaigó aantemba wíyómpakemba séna maawá kesáánimba isaꞌá wen-ímáyáá wéeꞌa áfááraumai aamoí uwánkaumne siyáiye.
MAT.4.1	Súwana waántáwanko Ísumba áísai úmai isáíndasafena Maníkóní ámútanko Ísumba simámuwana máásai-marafaꞌa 
MAT.4.2	koména tómbá ímba néna ayáátáákaꞌa 40 noꞌwaamba waúwana áfááran-aai tówana 
MAT.4.3	waántáwanko Ísu sáwíꞌo índa awánánae séna Ísumpaꞌa téna séna emá Maníkón-ááninko úne wésempo maanóntánkóntáfé tómbá úrénaꞌa naanó siyó súwana 
MAT.4.4	Ísu séna Maníkón-aai aúfáífinkemba séna
MAT.4.4	tómbó náíyawi aantemba waási ímba fasiꞌátinkainifo Maníkó siyáintemba
MAT.4.4	seyaafáꞌá íyana fasiꞌátinkainiye
MAT.4.4	siyáifo emó sénda ímba miyá ónaumne súwana 
MAT.4.5	waántáwanko Ísumba áíꞌmaena Yérúsaremu-naopaꞌa wéna óraaꞌ-amaan-dankoni amifaꞌá móankena 
MAT.4.6	séna Maníkón-aai aúfáífinkemba séna
MAT.4.6	Maníkó wíyómpakemba wení kísau-waasisomba tiꞌmaráínasa enkáꞌá káráwiyesa pósa óntankaꞌa aísamai turaráanafo sésa tiyáántandesa faramónááwe
MAT.4.6	siyáiye. Mindásafe emá Maníkón-ááninko úne wésempo maankákémbá ásáfenasa wíyómpakewi farámbaesa marapáꞌá múankanaawe waántáwanko súwana 
MAT.4.7	Ísu séna Maníkón-aai aúfáífinkemba
MAT.4.7	éꞌa miyá siyéna moórá-aaiwaraꞌa séna
MAT.4.7	kentí Fasiꞌaénkó Maníkómbá
MAT.4.7	áísai úmai isánae ímba seró
MAT.4.7	siyáimba emó séndantembo miyámó ékaa Maníkómbá áísai úmai isáúsino. Mindásafemo emó sénda ímba miyá ónaumne Ísu súwana 
MAT.4.8	waántáwanko Ísumba áíꞌmaena óraaꞌ-omapaꞌa iyéna móankena seyaafáꞌ-máráfáꞌá káráwiyon-kwaasiye miwítí óraa-fasiꞌaene aráánamena 
MAT.4.9	séna kenkáꞌó kífaemo ken-ímáyáámó mósá márénaꞌo éꞌa káráwiyi-kisau áména káráwiyinone waántáwanko súwana 
MAT.4.10	Ísu séna waántáwanko kóuwo. Maníkón-aai aúfáífinkemba séna
MAT.4.10	kentí Fasiꞌaénkó Maníkómpáꞌá imáyáa éꞌa wenáwíꞌ-aantemba mósá maréꞌa wení kísau aantemba máéro
MAT.4.10	siyáifo emó sénda ímba miyá ónaumne súwana 
MAT.4.11	waántáwanko auwéna kúwasa wíyómpakemba Maníkóní kísau-waasi kumésa Ísumba áwaꞌnai uráawe.
MAT.4.12	Yóni marará-káwáágón-áwíꞌa Érotintafena séna sáwíꞌa uráiye siyóntafena ándáfaꞌa máankowana méron-aai Ísu iséna Káríri-aempaꞌa wéna 
MAT.4.13	Násareti-naopaꞌa ímba koména Kápaneamu-naopaꞌa koméraiye. Mindáópaꞌa Káríri-nonkwaaunkoni áwáífaꞌ-naopaꞌa Sépiyuraaniye Náfataraiye tísaafitantambo uráawiti mararáꞌó wéron-daopaꞌaniye. 
MAT.4.14	Ísu Kápaneamu-naopaꞌa koméromba naaófáꞌó Maníkón-aaimo simátímakowin-awiꞌa Áísáya agaimaréna siyónkaꞌa póna miyá uráiye. Wemá agaimaréna séna
MAT.4.15	Sépiyuraaninte Náfatarainte mindárai tísaafiti marafáꞌá nonkwaaúnkóní áwáífaꞌa Yóndani-nonkoni menáípáꞌ-márágón-áwíꞌa Káríri-marafaꞌa méraawi fíꞌo-fiꞌon-kwaasisafeꞌa súnda 
MAT.4.16	minkwáásí túnáín-aempaꞌa mésa sámo kaipaꞌá awánánááwe. Maníkóní némpaꞌo túnáín-aempaꞌo méraawi sán-kátinkainiye
MAT.4.16	agaimaréna siyónkaꞌa póna Ísu paápé éna miyá uráiye. 
MAT.4.17	Minkánáá Ísu simátimindasafena ómbarena simátimena séna Maníkó wení waási kawáánimba ómbaraifo kentí sáwí-imayaa tuwéꞌa Maníkómpáꞌá
MAT.4.17	teró siyáiye.
MAT.4.18	Ísu Káríri-waaunkoni áwáífakafamba kúmba kaeꞌ-wáásíyáí mésarai awaaón-áwíꞌa Sáímoni moórá-awiꞌa Pítaa úwana áfákon-awiꞌa Énduruweꞌa mésarai miwítí kísau pósarai mófááꞌa to-tímapaꞌa wénesarai mareꞌmareꞌ-únámbá nompí tukésarai méroyana 
MAT.4.19	Ísu simátimena séna keséꞌa tekaiyó. Mófááꞌo toꞌmáímo tímapaꞌo wénoyantemba aú-kisau tíménakai wénekai kesáái simátímapaꞌa wéniyasa kempáꞌá teró súwasarai 
MAT.4.20	mimbáréꞌmáréꞌ-únámbá tuwésarai weséꞌa kurááye.
MAT.4.21	Weséꞌa kuyaná Ísu maréna kúmba kaeꞌ-wáásíyáí mésarai Sépétin-ááninkai awaaón-áwíꞌa Yémísi úwana áfákon-awiꞌa Yóniye tifowámpín-kwimái nompín-táómpimba méresa mareꞌmareꞌ-únámbá toꞌmayaa wéuwana Ísu minkáéꞌnárai táántowasarai 
MAT.4.22	minúwóíyáámbá tifowámbá mindómpín-táómpimba auwésarai Ísuweꞌa kurááye.
MAT.4.23	Ísu Káríri-aempaꞌa naaóꞌ-naoꞌa wénena ámáán-daumpimpaꞌa Maníkó wení waási kawáánin-aai minásé-ááí kosimátímapaꞌa wénena fíꞌo-fiꞌon-tiꞌo
MAT.4.23	ún-kwaasi asófatinkafaꞌa kúwana 
MAT.4.24	wenááigo
MAT.4.24	Síriyaa-marafaꞌa naaóꞌ-naoꞌa wété úwasa fíꞌo-
MAT.4.24	fiꞌon-tiꞌo ún-kwaasiye sáwí-amutanko tirumpimbó méron-kwaasiye tíyayaambo táúnkon-kwaasiye tíyayaambo pukón-kwaasiye miyámó un-kwáásí taawiyaꞌmaésa Ísumpaꞌa mátínkówana asófatinkena 
MAT.4.25	aambó wénumba sáwífaꞌnanka Káríri-aempakene Tékáporisi-aempakene Yérúsaremu-naopakene Yúndiyaa-aempakene Yóndani-nonkoni menáípákén-kwáásíyé miyáumai-naopaken-kwaasi wempáꞌá tóso uráawe.
MAT.5.1	Ísu mérowasa sáwífaꞌ-waasimo tóso umbá tuwánéna omápaꞌa imérowasa wení waásisomba túwaandu uwaná 
MAT.5.2	simátimena séna 
MAT.5.3	Maníkó súwaꞌnai ínkwae sewí Maníkó miwí kaweꞌá wéuwatinkena miwíyáꞌá wégawaaniye. 
MAT.5.4	Miwífímbá sáwí-imayaa wéraisana tirunkó umbaí wétaiwai Maníkó miwí kaweꞌá wéuwatinkena fetóí wéuwatinkaiye. 
MAT.5.5	Kentúmo ímbo maimaésa wéiyowi Maníkó miwí kaweꞌá wéuwatinkaimba pósa siyáim-barama maénááwe. 
MAT.5.6	Maníkó siyáintemba miyámó ónaemo wésewi Maníkó miwí kaweꞌá wéuwatinkena kaweꞌó úmaimo méraiyantafena kaweꞌ-íꞌa uwátinkainiye. 
MAT.5.7	Tirumbó wéuwatinkaawi Maníkó miwí kaweꞌá wéuwatinkena arumbá uwátinkainiye. 
MAT.5.8	Tirumpinkémbó kaweꞌ-ááí aantemba wésewi Maníkó miwí kaweꞌá wéuwatinkaimba pósa Maníkómbá awánánááwe. 
MAT.5.9	Waásifimbo farumó uwátinkaiyantafesa kísau wémaewi Maníkó miwí kaweꞌá wéuwatinkena kesí iyámpóín-owe síníye. 
MAT.5.10	Maníkóntáfésamo imáyáamo ésamo arupíse úmaimo méraantafesa sáwíꞌa wéuwatinkaawe. Maníkó miwí kaweꞌá wéuwatinkena miwí wení waási-iꞌo ombá póna wégawaaniye. 
MAT.5.11	Kembiwímó kentáféꞌo fasiꞌámaimo méraantafesa mindásafesa sáwí-aai simátinkesa sáwíꞌa uwátinkesa fíꞌo-fiꞌon-karoꞌ-aai simátínkáámba Maníkó kembiwí kaweꞌá wéuwatinkaiye. 
MAT.5.12	Naaófáꞌó Maníkón-aaimo simátímakowimo sáwíꞌo uwátínkaraantemba káféꞌa sáwíꞌa wéuwatinkaamba tirunkó kaweꞌá wéinaꞌa aamoí éꞌa wíyómpakemba kentí kaweꞌ-méyámbá maénááwe Ísu siyáiye.
MAT.5.13	Ísu simátimena séna marapáꞌó méraan-kwaasifimba méꞌa uwígómó ásémo intenkáámbá wéowe. Miyá wéombanifo uwímó sáwíꞌo énamo imbá ímba kaweꞌá úmai kéna ímba áséma éna sáwísankaamba isasá aampaꞌá tukésa wénowe.
MAT.5.14	Marapáꞌó méraan-kwaasifimba méꞌa sámo kaintenkáámbá wéowe. Omápaꞌo wérain-daopaꞌo mósá awánaantemba kembiwí méraawini áwáuma wéawanaawe. 
MAT.5.15	Iyamá ómbá kúraꞌmaresa ímba aúpáꞌá maráíyamba aforaꞌá makésa mindáópaken-kwaasi awánánááwe. 
MAT.5.16	Miyáumai sámo kaintembá waásifimba méꞌa sán-kátinkaiyasa kentí kawe-kísáú tuwánésa kentifo wíyómpaꞌo méraiwain-awiꞌa mósá maránááwe Ísu siyáiye.
MAT.5.17	Ísu minááí simátimena séna ímba kentáféꞌa séꞌa Mósese siyáin-aine Maníkón-aai simátímakaawi siyáan-aine ifáꞌá túwáíwaiye ímba seró. Maníkón-aai siyáan-aai ímba tuwánáúmpo siyáanteniꞌo úmaimo paápé índasafeꞌa kunkáumne. 
MAT.5.18	Simátíménda ísáaro. Wíyómba maramá wéraisana póna Maníkón-aai waéꞌwaeꞌa wéiye. Maníkón-aaigo seyaafáꞌá waéꞌwaeꞌa wéimba póna minááígómó siyáinten-úmai seyaafá-tántááꞌá paápé íníye. 
MAT.5.19	Miyáumai Maníkón-aaifinkembo karoꞌ-ááímó taraisésamo fíꞌowantafesamo sésamo wéundantemba miyá índa mindá kanaán-iye síyanamo éna Maníkó séna kesí waási kawáánúnda-waasifinkemba ímba fasiꞌaén-kwáásín-owe sínífo Maníkón-aaimo taawiyafésamo simátimesamo sésa Maníkón-aai ísáaro wésewisafena Maníkó séna kesí waási kawáánúnda-waasifinkemba óraaꞌ-waasin-owe síníye. 
MAT.5.20	Moórá-aai simátíménda ísáaro. Ámáán-kawaa-waasiye ámáámba sen-kwáásíyé sésa Maníkómó siyáintemba úmai méraumnemo sembá karoꞌá wésewe. Miwímó ontembó kembiwímó éꞌa Maníkómó kawáánipaꞌa ímba méꞌa Maníkómó siyáintemba éraiꞌa miyámó éꞌo éꞌa Maníkómó kawáánipaꞌa ménaawe Ísu siyáiye.
MAT.5.21	Ísu maarán-ááíwáráꞌá siyáiye. Naaófáꞌá Mósese kentíwáꞌnásafena simátímakain-aai ísaraamba maará siyáiye. Ímba tínkamiyasa púwóro. Miyámó íyasamo ésa aaifimbá maitinkánááwe siyáimbanifo 
MAT.5.22	simátimeꞌa súne. Miwítí waásisafesa aaisambá wétiyiyawi aaifimbá maitinkáíyamba mindá kanaán-iye. Miwítí waásisafesa sáwí-aai simátínkááwi tíꞌmaesa aaimó ísááwitopaꞌa tíyasa aaifimbá maitinkáíyamba mindá kanaán-iye. Miwítí waásisafesa uwó-wáásíyáꞌó úwoi-waasiyaꞌo sésa símai sáwíꞌa wéiyawi ónkaifaꞌo iyamó wégaipaꞌa méraiyamba mindá kanaán-iye. 
MAT.5.23	Miyán-ááí imáyáa ombá Maníkóntáféꞌo imáyáamo éꞌo moórá-tantaaꞌo aménaeꞌo óraaꞌ-amaan-daumpaꞌo koméꞌo éꞌa kentí waási aaí taꞌótokaiyaꞌo táákaꞌo makéꞌo éꞌa 
MAT.5.24	Maníkómbó amíyan-tantaaꞌa óntan-taaregoni ewaaꞌá mámareꞌa minááí koísámai arupíse uwásuweꞌa kouweréꞌa Maníkómbá áméro. 
MAT.5.25	Aaimó simátinkanae síyawimo tíꞌmae wíyasa aampaꞌá mósimai paápé uwásuwesa koró. Óraaꞌ-waasimo mátimiyasamo ésa
MAT.5.25	i-wáásí timíyasa ándá-naumpaꞌa tinkánááwe. 
MAT.5.26	Ímbo miyámó íyasamo ésa ándá-naumpaꞌa mótinkaiyasa ímba ááéma taiꞌánaumne sésa seyaafáꞌ-méyámbá tímatuwaiyasa faútinkanaawe Ísu siyáiye.
MAT.5.27	Ísu minááí simátimena séna naaófáꞌá Mósese simátímakain-aai ísaraamba maará siyáiye. Fíꞌowi tuwaainíntóné tuwaaiꞌwainté ímba nóro siyáimbanifo 
MAT.5.28	simátimeꞌa súne. Moóráwigo moórá-inimbo awánénamo tafisénae sénamo índa ímba aforaꞌá ínífo imáyáa aantemba tafisínana Maníkó séna imáyáafinkemba éꞌa wétafisiye síníye. 
MAT.5.29	Túrankomo sáwíꞌo ínaꞌa misáwí-ámpáꞌá kúnafo séꞌa moórá-turamba fitúwáaro. Kae-túrántámbó awánéꞌo éꞌa ónkaifaꞌo wíyamba mindá sáwíꞌan-iye. Sáwíꞌo uráinda maisuwéꞌo méraiyamba mindá kaweꞌán-iye. 
