GEN.1.1	Do nakapamarswaw ni Āpo Dyos so hanyit kan lobong,
GEN.1.29	Itoroh ko dyinyo tabo a kitan tomobo a manoroh so botoh kan tabo a kitan kayokayo a may-asi a chabyay nyo. 
GEN.1.30	Ki itoroh ko do tabo binyay a maywam kan bolaw, kan do tabo a manomanok, as kan do tabo komayakayab do tana, iyaw tametamek saya kan bohobohong no tomobo saya a nawriw chabyay da.” Ki naparin nyaya. 
GEN.1.31	Do nakaboyaw no Dyos so tabo pinariparin na saya, naboya na a taywara a maganay.
GEN.1.31	Homnabas mahep kan myan danaw mabekas. Iyaw nyaw chanem narana karaw.
GEN.2.1	Do dawri, iyaw hanyitaya kan tanaya kan tabo mimyan da, ki tayoka dana. 
GEN.2.2	Do chapapito naw a karaw, naynahah si Āpo Dyos, ta napakabos na tabo nakapamarswa na.
GEN.2.3	Binindisyonan naw chapapito naw a araw, as pinatarek naw nawri a araw a masisita. Ta iyaw nawri a araw, nakapakabos na so tabo a nakapamarswa na. 
GEN.2.4	Komwan pakasaritaan nakaparswa no hanyitaya kan tanaya.
GEN.2.4	Do nakaparswa ni Āpo
GEN.2.5	abaw tomnobo do tanaya, kan abaw botoh a tomnobo, ta ari na pad pinachimoy, kan ari pa abo magarado so tana. 
GEN.2.6	Ki myan ranom
GEN.2.7	Katayoka na, nanghap si Āpo a Dyos so tana, as nakapotar na sya a tawo.
GEN.2.8	Do dāya,
GEN.2.9	Pinatobo daw ni Āpo a Dyos tabo a kita no mapipintas a kayokayo a may-asi so magaganay. Ki do hobokaw no minoyongan, myan dadwa kayo. Iyaw asaw, ki manoroh so byay a abos pandan. Iyaw somarono, ki manoroh so kapatak so maganay kan marahet.
GEN.2.10	Myan oksong a minoyog do Eden a mapaybabasa so minoyonganaw. Nawriw mapagla so mohamoha kan kayokayo daw, as iyaw nawri a oksong, ki naysisyay a nayparin dana apat so simang do gaganaw no minoyongan. 
GEN.2.11	Iyaw manōmaw a simang na, ki mayngaran so Pison a moyog do omdibon tana a Habila. 
GEN.2.12	Do dyaw pakaboyan so kagaganayan a balitok kontodo nyichit a pakayapwan mangingina a bangbanglo, kan myan paw mapapateg saw a bato daw. 
GEN.2.13	Iyaw chadadwaw no simang na, ki mayngaran so Gihon a moyog do omdibonaw do tana a Kos.
GEN.2.14	Iyaw chatatdo naw, ki mayngaran so Tigris a moyog do dayāen Asirya, as iyaw chapataw no simang na, ki mayngaran so Oprates.
GEN.2.15	On, do Minoyongan no Eden, pinangayan ni Āpo a Dyos so nyaya tawo a mahakay tan paganayen na kan aywanan na. 
GEN.2.16	Inbilin nad mahakayaw a kāna, “Maparin mo a kanen aran āngo a asin kayokayo do dyaya, 
GEN.2.17	malaksid do asyayan kayo a makaitoroh so kapatak so maganay kan marahet. Ta do arawaw a kakan mo sya, nailonod ka na a madiman.”
GEN.2.18	Sinpangan na, binata ni Āpo a Dyos, “Maganay aba an maychatanyi iyaw mahakayaya. Pamarin kos omno a kasmang a somidosidong sya.” 
GEN.2.19	Do dawri, siraw tabon kitan binyay kan manomanok a pinotar ni Āpo a Dyos a yapod tana, ki inyangay na sa do mahakayaw tan chiban na an āngo ipangaran na dyira. Sigon do inbahey naw do katakatayisa, ki nawri danaw ngaran da. Komwan nakapayngaran da tabo. 
GEN.2.20	Do dawri, pinangaranan na san mahakayaw tabo a manomanok kan binyay, ki abaw nachichwasan a makasidong do mahakayaw a kasmang na.
GEN.2.21	As dawa, pinakaycheh ni Āpo a Dyos iyaw mahakayaw a nandad nakapaynepdep na. Sinpangan na, nanghap so asad taglang no mahakayaw, as nakapayamonyit nas nanghapan naw sya. 
GEN.2.22	Pinarin na mabakes iyaw taglangaw a inhap nad mahakayaw, as nakayangay na sya di Adan.
GEN.2.23	Sinpangan na, binata no mahakayaw,
GEN.2.23	“Aysa! Ari danayaw kasmang ko. Iyaw tohang na, ki yapod tohang ko. Iyaw asi na, ki yapod asi ko. Dawa, ipangaran ko ‘mabakes,’
GEN.2.24	Dawa, nyaw paynamotan na karwan mahakay āmang kan ānang na an machikabahay. Tan komwan, komplito kapayrapa da kan baket na, as kan sira dadwa, ki mayparin dana sa asa bayo a pamilya.
GEN.2.25	Pariho sa nakalābos mahakayaw kan mabakesaw, ki aba dyiraw kasnek.
GEN.3.1	Do dawri, iyaw boday, ki kasisikapan dyirad tabo a nabyay a pinarin ni Āpo a Dyos. Inyahes na do mabakesaw a kāna, “Oyodori a binata no Dyos dyinyo a dyi nyo a kanen aran āngo a kitan asin kayo do minoyonganaya?”
GEN.3.2	Ki tominbay mabakesaw a kāna, “Engga, ta pinalobosanaw yamen ni Āpo Dyos a koman so aran āngo a asin kayo do dyaya a minoyongan, 
GEN.3.3	malaksid do kayowaw a myan do hobok naya, ta baywan na. No inbahey ni Āpo Dyos dyamen, ki an koman kamis asin nawri a kayo mana aran tod namen a masalid, madiman kaminchi.”
GEN.3.4	Ki initbay no bodayaw a kāna, “Pi! Taywaran madiman kamo? 
GEN.3.5	Komwan binata no Dyos dyinyo, ta chapatak na do oras a makakan kamos nawri a asin kayo, ki mayparin kamonchi a masirib a akma dya a makapatak so maganay kan marahet.”
GEN.3.6	Do nakaboyaw no mabakesaw so kapintas no kayowaw kan kaganay no asi naw a kanen, binata na do aktokto na a oyod a maganay an mayparin sa a masirib. As dawa, namoyis so asyaw no kayo, as nakakan na sya. Do nakatayoka naw a komninan, tinorohan naw lakay naw, dawa, kinan na. 
GEN.3.7	Do nakatayoka daw a komninan, nanyeng a natorohan sa a dadwa so kapakapatak, kan natonngan da a silalābos sa. Do dawri, napaytatachip sa so bohobohongaw no kayowaw a mayngaran so igos a pinangolib das inawan da.
GEN.3.8	Do kamakoyāb danaw, nadngey daw kayasakasaw ni Āpo a Dyos a mayam do minoyonganaw, ki tomnayo sa do kayokayo saw daw. 
GEN.3.9	Ki tinawagan Āpo a Dyos mahakayaw a kāna, “Adan, āngo pachichibeng mo daw?”
GEN.3.10	Tominbay mahakayaw a kāna, “On, ata, nadngey kwaw kayasakas mo do minoyonganaya, ki mamo ako dyimo, kan tomnayo ako, ata, silalābos akwaya.”
GEN.3.11	Ki inyahes ni Āpo a Dyos dya a kāna, “Sino nangibahey a silalābos ka? Komninan kawris asyaw no kayo a inbilin ko dyimo a dyi mo a kanen?”
GEN.3.12	“On, ata, iyaw mabakesaya intoroh mo a rarayay ko, iyaw nanoroh dyaken so asin kayo a kinan ko,” initbay no mahakayaw.
GEN.3.13	Ki inyahes ni Āpo a Dyos do mabakesaw a kāna, “Āngo ta pinarin mo komwan?”
GEN.3.13	“On, ata, inallilaw naw yaken bodayaw, dawa, komninan ako,” binata no mabakesaw.
GEN.3.14	Sinpangan na, binata ni Āpo a Dyos do bodayaw a kāna, “Dosaen koymo maynamot do dya pinarin mo. Arwaro abay a mangay dyimo kan siraw tabo no binyay a maywam kan bolaw. Dawa, yapo sichangori, bodek mo naw payamen mo, as ahbek danaw kanen mo mandad kadiman mo. 
GEN.3.15	Paysin-ipsoken konchinyo kan nyaya mabakes, as nāw danchi a maysin-iipsok no kapotōtan na kan kapotōtan mo. On, padesdesen anchi no kapotōtanaya no mabakes oho mo, ki sonyiten monchiw toben naw.”
GEN.3.16	As binata na do mabakesaw a kāna, “Paypalidyaten ko kaynyin do kapagpasikal no kapaymanganak mo. On, padidiwan koymo so kaynyin no kapaymangank mo. Ki aran komwan, alit nanchi a katngan mwabaw lakay mwaya, kan itorayan nanchimo.”
GEN.3.17	As binata na do mahakayaw a kāna, “Inanohdan mo inbaheyaya ni baket mo, kan kinan mo asi no kayo a baywan ko a kanen mo. Maynamot do dya pinarin mo, abayen konchiw tana. Dawa, yapo sichangori a mandad kadiman mo, machita maytarabako ka so marahmet tan myan manawob a chabyay mo. 
GEN.3.18	Patobohen nanchin tanaw manolok kan malidyat a yayten a tamek. Koman kanchis dāwa no tametamek a imoha mo. 
GEN.3.19	Maynannget kanchi a maytarabako so marahmet do tanaya tan myan chabyay mo mandad kapaybidi mod nakayapwan mo a tana a nakaparinan mo. Yapo kad tana, dawa, maybidi kanchi a tana.”
GEN.3.20	Eba
GEN.3.21	Ki namarin si Āpo a Dyos so laylay a yapod lalat no binyay, as pinaylaylay na sa Adan kan Eba.
GEN.3.22	Sinpangan na, binatan Āpo a Dyos a kāna, “Changori, myan danaw kapakapatak no tawo so maganay kan marahet a akma dyaten. Dawa, palobosan ta saba a koman so asin kayo a manoroh so byay tan dyi sa mabyay a abos pandan.” 
GEN.3.23	Dawa, binoyaw san Āpo a Dyos sa Adan kan baket na do Minoyongan no Eden, as pinaytarabako na sa do tana a nakapotaran no mahakayaw.
GEN.3.24	Do nakakaro daw do Eden, do mangket do dāya no minoyonganaw, inpabantay ni Āpo a Dyos dyirad sibibyay saw a parswa
GEN.4.1	Do dawri, do nakapayoknod daw da Adan kan Eba, ki nabogis baket na. Ki do nakapaymanganakaw ni Eba so anak na a mahakay, binata na a kāna, “Maynamot do sidong ni Āpo, ki natorohan ako so anak ko a mahakay.” Dawa, Kain
GEN.4.2	Ki minirwa dana naymanganak si Eba so asa mahakay, as pinangaranan nas Abel. Nayparin si Abel a magpaspastor so binyay, as nayparin si Kain a maymohamoha. 
GEN.4.3	Do nakapaypahabas no araw do nakapaytarabakwaw ni Kain, inhap naw kadwanaw a āpit na, as nakaidāton na sya di Āpo. 
GEN.4.4	Ki si Abel, inhap naw kagaganayan saw a katotonngan a orbon karniro na, as nakaparti na sya, as nakahap nas kagaganayanaw a asi kan taba da, as nakaidāton na sya di Āpo. Nahwahok si Āpo di Abel kan iyaw dāton naw.
GEN.4.5	Ki chinahwahok nabas Kain kan iyaw dāton naw. Dawa, naychadangedanget si Kain do oltimo a soli na. 
GEN.4.6	Do dawri, binata ni Āpo di Kain a kāna, “Āngo ta makasoli ka? Āngo ta maychadangedanget ka? 
GEN.4.7	An pinarin mo maganay, ki masoyot kabawri?
GEN.4.8	Sinpangan na, binata ni Kain di ādi nas Abel a kāna, “May ta do hakawan.”
GEN.4.9	Ki do dawri, inyahes ni Āpo di Kain a kāna, “Dino yanan ādi mos Abel?”
GEN.4.9	Initbay ni Kain a kāna, “Katen, mo Āpo. Taywaran yaken mangaywan so ādi kwaw?”
GEN.4.10	Ki binatan Āpo dya a kāna, “Taywara marahet pinarin mwaya! Iyaw raya no ādi mo a nachikneb do tanaya, ki akmay machipakpakaāsi dyaken a bahsen koymo. 
GEN.4.11	Sichangori, nabay ka na a mabaywan a homakaw so tanaya a pinakneban mo so rayaw ni ādi mo. 
GEN.4.12	An mohan mo tana, abanchiw maapit mo. Nāw monchi a abos bahay, kan tod ka mayadiyadis do hapotaya no tanaya.”
GEN.4.13	Ki binata ni Kain di Āpo a kāna, “Ayya! Taywara danaya so karahmet dosa ko, kan marawa kwabaw nawri. 
GEN.4.14	Ayya! Boyawen mo na yaken do dya tana kan do salapen mo! Tod ako nanchi a mayadiyadis a abos bahay a abos syirto a ngayan do tanaya, kan dimanen danchi yaken aran sino a makaboya dyaken.”
GEN.4.15	Ki tominbay si Āpo a kāna, “An myan anchiw mangdiman dyimo, maypapitonchi dyaw dosaya a inbahey ko dyimo.”
GEN.4.16	Komnaro si Kain do salapen ni Āpo, kan minyan do tana a mayngaran so Nod
GEN.4.17	Do dawri, do nakapayoknod daw da Kain kan baket na, nabogis baket na. Naymanganak so mahakay, ki pinangaranan nas Enok. Do dawri, inrogi ni Kain napatnek so asa idi a pinangaranan nas Enok a ngaran pōtot naw. 
GEN.4.18	Myan pōtot ni Enok a mayngaran so Irad, iyaw āmang ni Mehodyael a āmang ni Metosael a āmang ni Lamek. 
GEN.4.19	Siraw kabahay ni Lamek, ki dadwa sa, sa Ada kan Silla. 
GEN.4.20	Inyanak ni Ada si Jabal a iyaw kapoonan dan magpaspastor saw so binyay, kan minyan sa do tolda. 
GEN.4.21	Si Jobal, no ngaran no ādi na mahakay. Ki iyaw kapoonan dan tabo a magtoktokar so arpa kan pīto. 
GEN.4.22	As si Silla, inyanak na paw mahakay a si Tobal Kain. Si Tobal Kain, ki manyichipo so matatarek a kitan riminta a yapod bronsi kan pasek. Si Naama, ki kakteh a mabakes ni Tobal Kain.
GEN.4.23	Inpangas ni Lamek dyirad baket na saw a kāna,
GEN.4.23	“Inyom Ada kan Silla, adngeyen nyo pa yaken. Diniman ko asa baro maynamot ta pinaynyinan naw lang yaken.
GEN.4.24	An sino mangdiman di Kain, maypapitonchi dyaw dosa, ki no mangdiman dyaken, ki maypapitonchi a poho kan papito dyaw dosa.”
GEN.4.25	Mirwa nayoknod sa Adan kan baket na, ki nabogis baket na. Naymanganak so mahakay, kan binata ni Eba a kāna, “Tinorohan yaken ni Āpo Dyos so anak a mahakay a tadin Abel a diniman ni Kain.” Dawa, pinangaranan nas Set.
GEN.4.26	Myan pōtot ni Set a mahakay a pinangaranan nas Enos. Do dawri, rinogyan tawo maydasal di Āpo do kaidaydāyaw da sya.
GEN.5.1	Nyaw pakasaritaan dan kapotōtan saw ni Adan. Do nakaparswaw ni Āpo Dyos so tawo, pinarswa naw tawo a akma dya. 
GEN.5.2	Pinarswa na sa mahakay kan mabakes. Binindisyonan na sa, kan pinangaranan na sas “Tawo.”
GEN.5.3	Do nakapagtawen ni Adan so 130, myan pōtot na mahakay a akma dya a pinangaranan nas Set. 
GEN.5.4	Yapod nakaiyanak ni Set, nabyay pas Adan so 800 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.5	Nadiman si Adan do nakapagtawen nas 930.
GEN.5.6	Do nakapagtawen ni Set so 105, myan pōtot na a mahakay a si Enos. 
GEN.5.7	Yapod nakaiyanak ni Enos, nabyay pas Set so 807 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.8	Nadiman si Set do nakapagtawen nas 912.
GEN.5.9	Do nakapagtawen ni Enos so 90, myan pōtot na a mahakay a si Kenan. 
GEN.5.10	Yapod nakaiyanak ni Kenan, nabyay pas Enos so 815 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.11	Nadiman si Enos do nakapagtawen nas 905.
GEN.5.12	Do nakapagtawen ni Kenan so 70, myan pōtot na a mahakay a si Mahalalel. 
GEN.5.13	Yapod nakaiyanak ni Mahalalel, nabyay pa si Kenan so 840 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.14	Nadiman si Kenan do nakapagtawen nas 910.
GEN.5.15	Do nakapagtawen ni Mahalalel so 65, myan pōtot na a mahakay a si Jared. 
GEN.5.16	Yapod nakaiyanak ni Jared, nabyay pa si Mahalalel so 830 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.17	Nadiman si Mahalalel do nakapagtawen nas 895.
GEN.5.18	Do nakapagtawen ni Jared so 162, myan pōtot na a mahakay a si Enok. 
GEN.5.19	Yapod nakaiyanak ni Enok, nabyay pas Jared so 800 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.20	Nadiman si Jared do nakapagtawen nas 962.
GEN.5.21	Do nakapagtawen Enok so 65, myan pōtot na mahakay a si Matosalem. 
GEN.5.22	Yapod nakaiyanak ni Matosalem, ki nāw ni Enok a intalek byay na di Āpo Dyos do irahem no 300 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.23	No bidang no tawen a nakabyay na, ki 365 a tawen. 
GEN.5.24	Do dawri, maynamot ta nāw na naybibyay a monot do chakey no Dyos, naychihat a abo daw, ta inhap dana ni Āpo Dyos.
GEN.5.25	Do nakapagtawen Matosalem so 187, myan pōtot na mahakay a si Lamek. 
GEN.5.26	Yapod nakaiyanak ni Lamek, nabyay pas Matosalem so 782 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.27	Nadiman si Matosalem do nakapagtawen nas 969.
GEN.5.28	Do nakapagtawen ni Lamek so 182, myan pōtot na mahakay. 
GEN.5.29	Pinangaranan nas Noyi, kan binatan Lamek a kāna, “Iyaw nyaya adekey, ki manoroh anchi dyaten so kapangahwahok do marahmet a tarabako ta do tanaya a inabay ni Āpo.” 
GEN.5.30	Yapod nakaiyanak ni Noyi, nabyay pas Lamek so 595 a tawen. Myan pa saw kadwan a pōtot na mahahakay kan mababakes. 
GEN.5.31	Nadiman si Lamek do nakapagtawen nas 777.
GEN.5.32	Do nakapagtawen ni Noyi so 500, myan pōtot na tatdo a mahahakay: sa Sem, Ham, kan Japet.
GEN.6.1	Do dawri, naypayparo saw tawotawo do intīro a lobong, kan nayparo nayanak a mababakes. 
GEN.6.2	Ki myan saw naparswa
GEN.6.3	Ki binatan Āpo a kāna, “No ispirito ko a intoroh ko do tawotawo, ki ipalōbos kwaba a omyan dyira a abos pandan, ta tawo sa lang. Makayapo sichangori, mabyay pa saba so masorsorok kan 120 a katawen.” 
GEN.6.4	Do dawri a chimpo kan somarsarono pa, myan saw siganti do tanaya a anak dan mababakes saw a binaket dan naparswaw a yapod hanyit. As siraw nyaya anak da do kaychowa pa, ki nagdindinamag kan matotored sa a tawo.
GEN.6.5	Naboya ni Āpo a taywaraw karahet no tabo tawotawo do tanaya, kan aba polos naktokto da a maganay, an dya maynana marahet. 
GEN.6.6	Maynamot do dyaya, chinaliday ni Āpo nakapamarswa nas tawotawo do tanaya, kan oltimo a chinaynyin aktokto na. 
GEN.6.7	As dawa, binata ni Āpo a kāna, “Abohen ko saw nya tawotawo a pinarswa ko do tanaya. Ki tawo aba lang, an dya siraw tabo a kitan binyay, siraw komayakayab do tana, kan siraw manomanok, ta chinaliday ko nakaparswa ko sira.” 
GEN.6.8	Ki do dawri, do nakaboyaw ni Āpo si Noyi, ki nahwahok.
GEN.6.9+GEN.6.10	Nyaw pakasaritaan ni Noyi. Tatdo saw pōtot na a mahahakay: sa Sem, Ham, kan si Japet. Do dawri a chimpo, si Noyi lang malinteg a tawo, ta pinarin naw chakeyaw ni Āpo Dyos. 
GEN.6.11	Ki an maynamot do tawotawo do tanaya, ki oltimo sa so karahet do salapen no Dyos, kan do aran dino, ki matatangsit sa kan abaw linteg dyira. 
GEN.6.12	On, naboya ni Āpo Dyos tabo tawotawo do tanaya, ki malit sa do makabābabaw a dadakay da a nachikneb do marahet.
GEN.6.13	Sinpangan na, binata ni Āpo Dyos di Noyi a kāna, “Naoma ako naya do taywaraya karahet da no tawotawo saya. As dawa, ikeddeng ko na a abohen ko tabo tawotawo do tanaya. On, abohen ko tabo nabyay, ta nakneb danaw tanaya do matatangsit a abos linteg a kaparin da. 
GEN.6.14	Ki imom Noyi, mamarin kas biray, kan osaren mo saw mahnyi a kayo. Mamarin kas kwarto na sa do irahem, as kolaan mos arkitlan do irahem kan hapot naw. 
GEN.6.15	Parinen mo a 133 a kamitro kanaro na, as 22 a kamitro kawbong na, kan 13 a kamitro katohos na. 
GEN.6.16	Mamarin kas atep na, kan payan mos 44 a sintimitro do payawan atep kan dyindyin na. As no katohos na, parinen mo a tatdo a kasagonodan, as pangayan mos pantaw na do bakrang naw. 
GEN.6.17	Layosen konchiw tanaya tan mabo saw tabo sibibyay a parswa. Madiman sanchiw tabo a omanges do hapotayan tana. 
GEN.6.18	Ki machitolag ako dyimo. Anchan tayoka danaw birayaw, somakay kamo kan baket mo kan siraw tatdwaw a anak mo kan siraw babbaket da saw. 
GEN.6.19+GEN.6.20	Apen mod birayaw asa magparis a mahakay kan mabakes do tabo a kita no binyay, tabo a kita no manomanok, kan tabo a kita no komayabkayab do tana tan mabyay sa. 
GEN.6.21	Manghap ka pas tabo a kita no mākakan a machita monchi a chabyay nyo kan siraw binyay saw,” binata ni Āpo. 
GEN.6.22	Pinarin Noyi a tabo inbilinaw ni Āpo dya.
GEN.7.1	Binata ni Āpo di Noyi a kāna, “Somdep kamo na a asa kapamilyaan do birayaya, ta naboya ko a imo lang malinteg do tanaya sichangori a chimpo. 
GEN.7.2	Mangyonot kas taypipito a mahahakay kan mababakes do kāda binyay a naibidang a madalos a maparin a idāton, ki asa lang a kaparis iyonot mo a mahakay kan mabakes do kāda binyay a dya naibidang a madalos. 
GEN.7.3	Komwan pa a mangyonot kas taypipito a mahahakay kan mababakes do tabo a kita no manomanok. Parinen mo nyaya tan mabyay sanchiw tabo kita no binyay kan manomanok, as maymanganak sanchi do hapotayan tana. 
GEN.7.4	Ta do chapapito naw anchi a karaw somiknan sichangori, chimoyen konchiw lobongaya do apat a poho a karaw kan apat a poho a kahep tan madiman sa tabo nabyay a pinarswa ko.” 
GEN.7.5	Tinongpal ni Noyi iyaw tabo inbilinaw no Āpo dya.
GEN.7.6	Nagtawen si Noyi so 600 do kasiknan layos do tanaya. 
GEN.7.7	Do dawri, somindep si Noyi kan baket na, siraw anak naw kan siraw babbaket da saw tan maiditchan sad layos. 
GEN.7.8+GEN.7.9	Tabo kita no binyay kan manomanok kan no komayakayab sa do tana, madalos kan dya maibidang a madalos, ki nangay sa di Noyi, as tayisa sa kaparis a nachirayay di Noyi a somindep do birayaw a akmas inbilinaw ni Āpo Dyos. 
GEN.7.10	Oyod, do chapapito naw a karaw, somniknan danaw layos do tanaya.
GEN.7.11	Do chanem naranaw a gasot a katawen no kabyay ni Noyi, do chadadwa naw a bohan, do chaasa poho na kan papito a karaw, naychihat sa napaboswang tabo a akbod a rarakoh do tāw kan do irahem no tana. On, akmay napakaro ombalataw so ranom do hanyit, ta nachimoy so mawyas, 
GEN.7.12	as nāw na mayit chimoy do apat a poho a karaw kan mahep. 
GEN.7.13	Do dawri a araw, do kasiknan danaw no chimoy, somnakay sa Noyi kan baket na, siraw tatdwaw a anak da a sa Sem, Ham, kan si Japet, kan siraw babbaket da saw do birayaw. 
GEN.7.14	Nachirayay dana sa lomnogan tabo a kita no nabyay do hapotayan tana, maywam kan bolaw, tabo a kita no komayakayab do tana, kan tabo a kita no manomanok. 
GEN.7.15	Tayisa a kaparis do kāda kita no sibibyay a parswaw, somindep do birayaw a nachirayay di Noyi. 
GEN.7.16	Komwan pinarin da akmas inbilin ni Āpo Dyos di Noyi. Somindep dana sa, as katayoka na, inanban Āpo iyaw pantawaw no biray.
GEN.7.17	Do dawri, nalayos so apat a poho a karaw, ki nayparahem ranom a nandad nakaihataw no birayaw. 
GEN.7.18	On, naypayparahem ranomaw do tanaya, as kan nachilyod danaw birayaw do hapotaw no ranom. 
GEN.7.19	Nāw na tinongtong no ranomaw naypayparahem mandan natonep dana saw katotohosan saw a tokotokon. 
GEN.7.20	Naypayparahem pa a nandad nakarapit nas papito a kamitros so katwatohos kan totok daw no katotohosan saw a tokotokon. 
GEN.7.21	Nahmes sa tabo nabyay a parswa do hapotayan tana, siraw manomanok, binyay a maywam kan bolaw, siraw komayakayab do tana, kan tabo a tawotawo. 
GEN.7.22	On, nadiman a tabo myan so anges do hapotayan tana. 
GEN.7.23	Inabo ni Āpo tabo sibibyay do hapotayan tana: tawotawo, binyay, siraw komayakayab do tana, kan siraw manomanok. Ki sa Noyi dana lang nabyay kan siraw rarayay naw do birayaw.
GEN.7.24	Nāw na pa natonep no tanaya do irahem no 150 a karaw.
