MAT.1.1	Lioar sheeloghe Yeesey Creest, mac Ghavid, mac Abraham. 
MAT.2.3	Tra cheayll ree Herod shoh, v’eh dy mooar seaghnit, as ooilley Jerusalem mârish. 
MAT.2.4	As tra v’eh er symney cooidjagh ooilley ny ard-saggyrtyn, as scrudeyryn y phobble dênee eh jeu cre’n raad va Creest dy heet er y theihll. 
MAT.2.5	As dooyrt adsyn rish, Ayns Bethlehem dy Yudea: son shoh myr te scruit liorish y phadeyr: 
MAT.2.6	As uss Vethlehem ayns cheer Yudea, cha nee oo sloo ta mastey princeyn Yuda: son assyd’s hig Kiannoort nee reill my phobble Israel. 
MAT.2.7	Eisht hug Herod fys follit er ny deiney-creeney, as deysht eh ad dy imneagh mychione y traa haink yn rollage rish. 
MAT.2.8	As hug eh ad gys Bethlehem, gra, Immee-jee, as shir-jee magh dy jeidjah son y lhiannoo, as tra vees shiu er gheddyn magh eh, tar-jee lesh fys hym’s, dy voddym’s neesht cheet as ooashley ’choyrt da. 
MAT.2.9	Erreish daue v’er chlashtyn y ree, jimmee ad rhymboo, as cur-my-ner hie yn rollage honnick ad ayns y shiar er e toshaight roue, derrey haink ee, as hass ee erskyn yn ynnyd raad va’n lhiannoo. 
MAT.2.10	Tra honnick ad y rollage, va boggey erskyn-towse orroo. 
MAT.2.11	As goll stiagh ’sy thie, hooar ad y liahunoo marish Moirrey e voir, as gliooney sheese, hug ad ooashley da: as fosley ny tashtaghyn oc, heb ad giootyn da; airh, as frankincense, as myrrh. 
MAT.2.12	As myr va Jee er chur raaue daue ayns ashlish, gyn ad dy hyndaa gys Herod, ghow ad raad elley gys nyn jeer hene. 
MAT.2.13	As tra v’ad er n’immeeaght, cur-my-ner haink ainle y Chiarn gys Joseph ayns ashlish, gra Trog ort, gow yn lhiannoo as e voir, cosne royd gys Egypt, as fuirree ayns shen derrey ver-yms fys hood: son shirree Herod y lhiannoo dy stroie eh. 
MAT.2.14	Eisht dirree eh, as ghow eh yn lhiannoo, as e voir ayns yn oie, as hie eh roish er-chea gys Egypt. 
MAT.2.15	As shen-y-raad veh derrey baase Herod: as shoh myr va cooilleenit shen loayr y Chiarn liorish y phadeyr, gra, Magh ass Egypt deïe mee er my vac.
MAT.2.16	Eisht Herod toiggal dy row eh mollit liorish ny deiney-creeney, v’eh erskyn-towse eulyssagh, as hug eh magh sarey, as varr eh ooilley ny lhiennoo-mec v’ayns Bethlehem, as ayns ooilley ny ardjyn shen, veih daa vleïn dy eash as fo, corrym rish y traa v’eh dy imneagh er vriaght jeh ny deiney-creeney. 
MAT.2.17	Shen y traa va cooilleenit ny va loayrit liorish Jeremy yn phadeyr, gra, 
MAT.2.18	Ayns Rama, va eam treih er ny chlashtyn, ullaghey as keayney, as dobberan hrimshagh, Rachel keayney son e cloan, as gobbal dy ve er ny gherjaghey, er-yn-oyr nagh row ad er-mayrn.
MAT.2.19	Agh lurg baase Herod, cur-my-ner haink ainle y Chiarn ayns ashlish gys Joseph ayns Egypt, 
MAT.2.20	Gra, Irree, as gow yn lhiannoo as e voir, as immee gys cheer Israel: son t’adsyn marroo va shleeuit er bioys y lhiannoo. 
MAT.2.21	As dirree eh, as ghow eh yn lhiannoo as e voir, as haink eh gys cheer Israel. 
MAT.2.22	Agh clashtyn dy row Archelaus reill ayns Judea, ayns ynnyd e ayr Herod, va aggle er dy gholl gys shen: agh myr va Jee er chur roish ayns ashlish, hyndaa eh gys ardjyn Ghalilee. 
MAT.2.23	As jimmee eh dy chummal ayns ard-valley enmyssit Nazareth: as shoh myr va cooilleenit shen loayr ny phadeyryn, Bee eh enmyssit ny Nazarene.
MAT.3.1	Ayns ny laghyn shen haink Ean Bashtey, preacheil ayns faasagh Yudea. 
MAT.3.2	As gra, Gow-jee arrys: son ta reeriaght Yee er-gerrey. 
MAT.3.3	Son shoh eshyn va loayrit jeh liorish y phadeyr Esaias, gra, Coraa fer geamagh ayns yn aasagh, Kiartee-jee raad y Chiarn, jean-jee ny cassanyn echey jeeragh. 
MAT.3.4	As v’ec Ean cheddin coamrey dy fynney chamel, as cryss liare mysh e veeghyn; as va e veaghey locustyn as mill feïe. 
MAT.3.5	Eisht hie magh huggey Jerusalem as ooilley Judea, as ooilley yn cheer mygeayrt Jordan. 
MAT.3.6	As goaill-rish ny beccaghyn v’ad er nyn mashtey liorish ayns Jordan.
MAT.3.7	Agh tra honnick eh ymmodee jeh ny Phariseeyn as ny Sadduceeyn cheet gys e vashtey, dooyrt eh roo, O shiuish heeloghe ard-nieughyn, quoi t’er chur raaue diu dy hea veih yn jymmoose ta ry heet? 
MAT.3.8	Cur-jee magh nish er-y-fa shen messyn cooie dy arrys. 
MAT.3.9	As ny smooinee-jee dy ghra riu hene, Ta Abraham ain son nyn ayr: son ta mee gra riu, dy vel Jee pooaral eer jeh ny claghyn shoh dy hroggal seose cloan da Abraham. 
MAT.3.10	As nish hene ta’n teigh er ny choyrt gys fraue ny miljyn: shen-y-fa ta dy chooilley villey nagh vel gymmyrkey magh mess mie, dy ve giarit sheese as tilgit ayns yn aile. 
MAT.3.11	Ta mish dy jarroo bashtey shiu lesh ushtey gys arrys: agh t’eshyn ta cheet my-yeï ny s’pooaral na mish, ny braggyn echey cha vel mee feeu dy ymmyrkey: bashtee eshyn shiu lesh y Spyrryd Noo as lesh aile. 
MAT.3.12	Ta’n cleayst echey ayns e laue, as nee eh dy bollagh e laare-vooie y ghlenney, as gowee eh e churnaght stiagh ayns e hie-tashtee: agh loshtee eh yn choau lesh aile nagh bee er ny vooghey.
MAT.3.13	Eisht haink Yeesey veigh Galilee gys Jordan, dy ve bashtit liorish Ean. 
MAT.3.14	Agh va Ean noi shen, gra, Ta feme aym’s dy ve er my vashtey liort’s, as vel uss, cheet hym’s? 
MAT.3.15	Dreggyr Yeesey, as dooyrt eh rish, Cur raad dou nish: son shoh myr te cooie dooin dy chooilley 
MAT.3.16	As lurg da Yeesey ve bashtit, hie eh seose jeeragh ass yn ushtey: as cur-my-ner va ny niaughyn er nyn vosley er-e-skyn, as honnick eh Spyrryd Yee cheet neose myr calmane, as soie er. 
MAT.3.17	As cur-my-ner, coraa veih niau gra, Shoh my vac ennoil, jeh ta mee dy mooar soiaghey.
MAT.4.1	Eisht va Yeesey er ny leeideil liorish Spyrryd Yee gys yn aasagh, dy v’er ny violaghey liorish y drogh-spyrryd. 
MAT.4.2	As tra v’eh er drostey da-eed laa as da-eed oie v’eh ny lurg shen accryssagh. 
MAT.4.3	As haink y mioleyder huggey, gra, My she mac Yee oo, cur sarey da ny claghyn shoh dy ve jeant nyn arran. 
MAT.4.4	Agh dreggyr eshyn, gra, Te scruit, Cha nee liorish arran ny lomarcan nee dooinney beaghey, agh liorish dy chooilley ockle ta cheet magh ass beeal Yee. 
MAT.4.5	Eisht ghow y drogh spyrryd lesh seose eh gys yn ard-valley casherick, as hoie eh eh er beinn toor syrjey yn chiamble, 
MAT.4.6	As dooyrt eh rish, My she Mac Yee oo, tilg oo hene sheese: son te scruit, Ver eh currym da e ainleyn my-dty-chione, as ayns nyn laueyn nee ad oo y ymmyrkey, nagh bwoaill oo ec traa erbee dty chass noi clagh. 
MAT.4.7	Dooyrt Yeesey rish, Te scruit myrgeddin, 
MAT.4.8	Reesht hug y drogh-spyrryd lesh eh seose er slieau feer ard, as yeeagh eh da ooiley reeriaghtyn y theihll as y ghloyr oc: 
MAT.4.9	As dooyrt eh rish. Ooilley shoh ver-ym’s dhyt’s my huittys oo sheese, as ooashley ’chur dou. 
MAT.4.10	Eisht dooyrt Yeesey rish, Ass my enish oo, Noid-ny-hanmey: son te scruit, Ver oo ooashley da’n Chiarn dty Yee, as eshyn ynrycan nee oo shirveish. 
MAT.4.11	Eisht daag y drogh-spyrryd eh, as cur-my-ner haink ainleyn as ren ad shirveish er.
MAT.4.12	Nish tra cheayll Yeesey dy row Ean ny phryssoonagh, jimmee eh dy lhiattee gys Galilee. 
MAT.4.13	As faagail Nazareth, haink eh dy chummal ayns Capernaum, ta rish oirr ny marrey, rish ardjyn Zabulon as Nepthalim: 
MAT.4.14	As shoh myr va coolleenit shen ny loayr Esaias yn phadeyr, gra, 
MAT.4.15	Thalloo Zabulon, as thalloo Nepthalim, er slyst ny marrey, cheu elley dy Yordan, Galilee ny Ashoonee: 
MAT.4.16	Ta’n pobble va nyn soie ayns dorraghys, er vakin soilshey mooar: as orroosyn va nyn soie ayns cheer as scadoon vaaish, ta soilshey er n’irree seose.
MAT.4.17	Veih yn traa shen ren Yeesey toshiaght dy phreacheil, as dy ghra, Gow-jee arrys, son ta reeriaght niau er-gerrey.
MAT.4.18	As myr va Yeesey shooyl liorish keayn Ghalilee, honnick eh daa vraar, Simon va enmyssit Peddyr, as Andreays e vraar, cur magh lieen ’sy cheayn: (son v’ad nyn eeasteyryn) 
MAT.4.19	As dooyrt eh roo, Eiyr-jee orrym’s, as neem’s shiu nyn 
MAT.4.20	As chelleeragh daag ad nyn lieenteenyn, as deiyr ad er. 
MAT.4.21	As goll er e hoshiaght veih shen, honnick eh daa vraar elley, Jamys mac Zebedee, as Ean e vraar, ayns lhong marish Zebedee nyn ayr, kerraghey nyn lieen: as deïe eh orroo. 
MAT.4.22	As chelleeragh daag ad y lhong as nyn ayr, as deiyr ad er.
MAT.4.23	As hie Yeesey mygeayrt ooilley Galilee, gynsaghey ayns nyn gialteenyn, as preacheil sushtal y reeriaght, as lheihys dy chooilley hingys, as dy chooilley ghoghan mastey’n pobble. 
MAT.4.24	As hie goo jeh magh trooid ooilley Syria: as hug ad lhieu huggey ooilley ny aslayntee, fo doghanyn as pianyn, adsyn va seaghnit lesh drogh-spyrrydyn, sleih ass nyn geeayl, as an-lheiltee, as ren eh ad y lheihys. 
MAT.4.25	As deiyr er chaglym mooar dy leih veih Galilee, as Decapolis, as Jerusalem, as Judea, as veih cheu elley dy Yordan.
MAT.5.1	As fakin lheid ny earrooyn dy leih, hie eh seose er slieau: as tra v’eh er hoie sheese, haink e 
MAT.5.2	As hrog eh seose e choraa as dynsee eh ad, gra, 
MAT.5.3	Bannit t’adsyn ta imlee ayns spyrryd: son lhieusyn reeriaght niau. 
MAT.5.4	Bannit t’adsyn ta 
MAT.5.5	Bannit t’adsyn ta meen-surransagh: son bee yn thalloo oc ayns 
MAT.5.6	Bannit t’adsyn ta 
MAT.5.7	Bannit ta’n vooinjer vyghinagh: son bee myghin er ny hoilshaghey daue. 
MAT.5.8	Bannit t’adsyn ta glen ayns cree: son ver ad Jee my-ner. 
MAT.5.9	Bannit t’adsyn ta tayrn sleih gys shee: son bee ad enmyssit nyn gloan dy Yee. 
MAT.5.10	Bannit t’adsyn ta surranse tranlaase er graih cairys: son lhieusyn reeriaght niau. 
MAT.5.11	Bannit ta shiuish tra vees shiu oltooanit, as tranlaasit, as dy chooilley ghrogh-ghoo currit ass nyn lieh dy aggairagh er y choontey aym’s. 
MAT.5.12	Gow-jee boggey as bee-jee erskyn-towse gennal: son ’smooar ta nyn leagh ayns niau: son shoh myr ren ad tranlaase er ny phadeyryn va rhymbiu.
MAT.5.13	Shiuish sollan y thallooin: agh my ta’n sollan er choayll e vlass, kys hig e vree ayn reesht? cha vel ymmyd erbee sodjey ny chour, agh dy ve tilgit magh, as stampit fo cassyn deiney. 
MAT.5.14	Shiuish soilshey yn theihll. Cha vod ard-valley ta soit er cronk ve follit. 
MAT.5.15	Chamoo ta sleih foaddey cainle, as dy choyrt ee fo saagh; agh ayns cainleyr, as t’ee cur soilshey da’n slane lught-thie. 
MAT.5.16	Lhig da’n soilshey euish myr shen soilshean fenish deiney, dy vod ad fakin ny obbraghyn mie eu, as gloyr y choyrt da nyn ayr t’ayns niau.
MAT.5.17	Ny smooinee-jee dy daink mish dy chur naardey yn 
MAT.5.18	Son dy firrinagh ta mee gra riu, Derrey nee yn aer as yn ooir 
MAT.5.19	Quoi-erbee er-y-fa shen vrishys unane jeh ny annaghyn sloo shoh, as ynsys myr shen, bee eh enmyssit yn fer sloo ayns reeriaght niau: agh quoi-erbee nee nyn yannoo as nyn ynsaghey, bee eh enmyssit mooar ayns reeriaght niau. 
MAT.5.20	Son ta mee gra riu, Mannagh bee yn ynrickys euish erskyn ynrickys ny Scrudeyryn as ny Phariseeyn, cha vod shiu er aght erbee goll stiagh ayns reeriaght niau. 
MAT.5.21	Ta shiu er chlashtyn dy row eh er ny ghra rish nyn shenn-ayryn, Cha jean oo dunverys: as quoi-erbee nee dunverys: hig eh fo kerraghey yn vriwnys. 
MAT.5.22	Agh ta mish gra riuish, Quoi-erbee ta fargagh rish e vraar gyn oyr, dy jig eshyn neesht fo kerraghey yn vriwnys: as quoi-erbee jir rish e vraar, Raca: dy jig eh fo briwynys yn ard-whuaiyl: agh quoi-erbee jir, Uss ommydan, dy bee eh ayns gaue aile niurin. 
MAT.5.23	Shen-y-fa tra hebbys oo dty oural ec yn altar, my chooinys oo ayns shen dy vel nhee erbee ec dty vraar dt’oï; 
MAT.5.24	Faag ayns shen dty oural roish yn altar, as immee royd, jean coardail rish dty vraar hoshiaght, as eisht tar, as cheb dty oural. 
MAT.5.25	Coard dy tappee rishyn ta streeu rhyt, choud as vees shiu goll cooidjagh er y 
MAT.5.26	Dy firrinagh ta mee gra rhyt, Nagh jig oo magh ass shen, derrey t’ou er n’eeckl yn farling s’jerree.
MAT.5.27	Ta shiu er chlashtyn dy row eh er ny ghra rish nyn shenn-ayryn, Cha brish oo poosey. 
MAT.5.28	Agh ta mish gra riu, Quoi-erbee ta jeeaghyn er ben, dy chur saynt j’ee, dy vel eh er vrishey poosey r’ee hannah ayns e chree. 
MAT.5.29	As my ta dty hooill yesh dy dty hayrn gys peccah, pluck assyd ee, as tilg void ee: son te ny share dhyt unnane jeh dty hooillyn y choayl, na dty slane corp dy ve tilgit ayns niurin. 
MAT.5.30	As my ta dty laue yesh dy dty hayrn gys peccah, giare jeed, as tilg void ee: son te ny share dhyt unnane jeh dty oltyn y choayl, na dty slane corp dy ve tilgit ayns niurin. 
MAT.5.31	Ve er ny ghra, Quoi-erbee ver e ven voish, lhig da screeuyn-scarree y chur jee. 
MAT.5.32	Agh ta mish gra riu, Quoi-erbee scarrys rish e ven, agh son oyr maarderys, dy vel eh cur urree poosey y vrishey: as quoi-erbee phoosys ish ta scart, t’eh ny vaarderagh.
MAT.5.33	Myrgeddin ta shiu er chlashtyn dy row eh er ny ghra rish nyn shenn-ayryn, Cha jean oo loo-oaiagh y ghoaill, agh cooilleenee oo gys y Chiarn dty vreearaghyn. 
MAT.5.34	Agh ta mish gra riu, Ny loo-jee er 
MAT.5.35	Ny liorish y thalloo, son shen stoyl e choshey: ny liorish Jerusalem, son shen ard-valley yn Ard-ree. 
MAT.5.36	Chamoo looys oo liorish dty chione, er-yn-oyr nagh vod oo un renaig y yannoo bane ny doo. 
MAT.5.37	Agh lhig da’n ghlare eu ve, She, she, Cha nee, cha nee: son cre-erbee ta harrish shoh, te cheet veih yn olk.
MAT.5.38	Ta shiu er chlashtyn dy row eh er ny ghra, Sooill son sooill, as feeackyl son feeackyl. 
MAT.5.39	Agh ta mish gra riu, Ny shir-jee aggair y chooilleeney: agh quoi-erbee woaillys oo er y lieckan yesh, chyndaa huggey yn lieckan elley. 
MAT.5.40	As my ta fer erbee dy dty eignagh ec y leigh, as goaill ersooyl dty chooat lhig dty chloagey lesh myrgeddin. 
MAT.5.41	As quoi-erbee chionnys ort dy gholl un veeley mârish, gow mârish jees. 
MAT.5.42	Cur dasyn ta jannoo aghin hood, ad veihsyn ta shirrey geeasaght voïd, ny chyndaa eersooyl. 
MAT.5.43	Ta shiu er chlashtyn dy row eh er ny ghra, Ver oo graih da dty naboo, as feoh da dty noid. 
MAT.5.44	Agh ta mish gra riu, Bee-jee dooie da nyn noidyn, bannee-jee adsyn ta gwee mollaght diu, jean-jee mie dauesyn ta cur dwoaie diu, as gow-jee padjer er nyn son ocsyn ta dy goanlyssagh jannoo tranlaase erriu: 
MAT.5.45	Dy vod shiu ve cloan nyn Ayr t’ayns niau, son t’eshyn cur er e ghrian girree er mie as sie, as cur fliaghey neose er y vooinjer chairagh as neu-chairagh. 
MAT.5.46	Son my ta shiu graihagh orroosyn ta graihagh erriuish, cre’n leagh ta nyn gour? nagh vel eer ny publicanee jannoo yn lheid cheddin? 
MAT.5.47	My she da nyn mraaraghyn ny lomarcan ta shiu coyrt oltaghey-bea, cre smoo ta shiu dy yannoo na feallagh elley? nagh vel ny eer publicanee jannoo myr shen? 
MAT.5.48	Bee-jee shuish er-y-fa shen slane-ynrick, eer myr ta nyn Ayr t’ayns niau slane-ynrick.
MAT.6.1	Gow-jee tastey, nagh jean shiu nyn ghiastyllys fenish deiney, dy ve er ny akin lioroo: er-nonney cha vow shiu leagh veih’n Ayr eu t’ayns niau. 
MAT.6.2	Shen-y-fa tra t’ou jannoo dty ghiastyllys, ny jean cayrn y heidey royd, myr ny crauee-oalsey ayns ny margaghyn, as ayns ny straidyn, er-chee cosney moylley’n theay. Dy firrinagh ta me gra riu, Shen nyn leagh. 
MAT.6.3	Agh tra t’ou uss jannoo dty ghiastyllys, ny lhig da fys y ve ec dty laue chiare cre ta dty laue yesh dy yannoo: 
MAT.6.4	Dy vod dty yeirk ve follit: as nee dty Ayr ta fakin ny ta jeant dy follit, dty leagh y chur dhyt dy foshlit.
MAT.6.5	As tra vees oo goaill padjer, cha jean oo myr ny crauee-oalsey: son shynney lhieusyn shassoo seose ayns ny margaghyn, as ayns king ny straidyn dy ghoaill padjer, er-chee dy v’er ny akin liorish deiney. Dy firrinagh ta mee gra riu, dy vel ad er gheddyn nyn leagh. 
MAT.6.6	Agh uss, tra t’ou goaill padjer, immee stiagh ayns dty hiamyr; as dooney dty ghorrys, guee gys dty Ayr dy follit, as nee dty Ayr ta fakin ny ta jeant dy follit, leagh y chur dhyt dy foshlit. 
MAT.6.7	As ayns nyn badjeryn ny gow-jee lhieu harrish as harrish myr ny Ashoonee: son er-lhieu dy vow ad clashtyn liorish nyn ymmodee goan fardalagh. 
MAT.6.8	Ny bee-jee shuish er-y-fa shen goll roosyn: son ta fys ec nyn Ayr cre ta nyn ymmyrch, roish my jean shiu aghin huggey. 
MAT.6.9	Shen-y-fa er yn aght shoh gow-jee padjer: Ayr ain t’ayns niau, Casherick dy row dty ennym. 
MAT.6.10	Dy jig dty reeriaght. Dty aigney dy row jeant er y thalloo, myr te ayns niau. 
MAT.6.11	Cur dooin nyn arran jiu as gagh laa. 
MAT.6.12	As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oï. 
MAT.6.13	As ny leeid shin anyns miolagh, agh livrey shin veih olk: Son lhiat’s y reeriaght, as y phooar, as y ghloyr, son dy bragh. Amen. 
MAT.6.14	Son my leihys shuish da deiney nyn loghtyn, leihee nyn Ayr flaunyssagh myrgeddin diuish. 
MAT.6.15	Agh mannagh leihee shiuish da deiney nyn loghtyn, cha jean yn Ayr eu nyn loghtyn y leih diuish.
MAT.6.16	As tra vees shiu trostey, ny bee-jee groymagh myr ny crauee-oalsey, son t’adsyn caghlaa cummey nyn eddin, er-chee deiney dy chur tastey da’n trostey oc. Ta mee shickyrys diu, dy nee shoh [ooilley] nyn leagh. 
MAT.6.17	Agh uss, tra t’ou trostey, jean dty chione y ooillaghey, as dty eddin y oonlaghey: 
MAT.6.18	Nagh bee oo ry-akin liorish deiney dy hrostey, agh liorish dty Ayr t’ayns folliaght: as nee dty Ayr ta fakin ayns folliaght, uss y chooilleeney dy foshlit.
MAT.6.19	Ny stoyr-jee seose berchys diu hene er y thalloo, raad ta’n lhemeen as y mergey cur-mow, as raad ta maarlee brishey stiagh as geid: 
MAT.6.20	Agh stoyr-jee seose berchys diu hene ayns niau, raad nagh vel y lhemeen ny’n mergey cur mow, as raad nagh vel maarlee brishey stiagh as geid. 
MAT.6.21	Son raad ta nyn stoyr, shen-y-raad vees y cree eu myrgeddin. 
MAT.6.22	Ta yn tooill soilshey yn chorp: shen-y-fa my ta’n tooill gyn foill, bee soilshey ec ooilley dty chorp. 
MAT.6.23	Agh my ta assee er dty hooill, bee dty slane corp ayns dorraghys. My ta’n soilshey ta aynyd’s er-y fa shen ny ghorraghys, nagh mooar yn dorraghys eh!
MAT.6.24	Cha vod dooinney erbee daa vainshter y hirveish: son edyr ver eh dwoaie da’n derrey yeh, as graih da’n jeh elley; ny bee eh jeidjagh da’n derrey yeh, ny soiaghey beg jeh’n jeh elley. Cha vod shiu Jee as 
MAT.6.25	Er-yn-oyr shoh ta mee gra riu, Ny bee-jee ro-imneagh son nyn mea, cre ee-ys, ny cre iu-ys shiu: ny foast son nyn girp cre ver shiu miu: Nagh vel y vea ny smoo dy ve soit jeh na’n beaghey, as y corp na’n coamrey? 
MAT.6.26	Cur-jee my-ner eeanlee yn aer: son cha vel ad cuirr ny buinn, ny chymsaghey stiagh ayns soaltyn; foast ta nyn Ayr flaunyssagh dyn meaghey ad. Nagh vel shuish foddey share na adsyn? 
MAT.6.27	Quoi jiuish liorish imnea erbee oddys un chubit y chur gys e yrjid hene? 
MAT.6.28	As cre’n-fa ta shiu imneagh son coamraghyn? Gow-jee tastey jeh lilleeyn ny magheragh kys t’ad gaase; cha vel ad tooilleil, chamoo t’ad sneeu. 
MAT.6.29	As foast ta mee gra riu, nagh row Solomon hene ayns ooilley e ghloyr er ny choamrey myr unnane jeu shoh. 
MAT.6.30	My ta Jee er-y-fa shen myr shoh coamrey blaa ny magheragh, ta jiu ayn, as mairagh ceaut ayns yn oghe, nagh jean eh foddey smoo shiuish y choamrey, O gheiney faase-chredjuagh? 
MAT.6.31	Ny bee-jee er-y-fa shen imneagh, gra, Cre nee mayd gee? ny cre nee mayd giu? ny kys yiow mayd coamrey? 
MAT.6.32	(Son lurg ooilley ny reddyn shoh ta ny Ashoonee imneagh) agh ec yn Ayr flaunyssagh euish ta fys, dy vel shiu feme dy chooilley nhee jeu shoh. 
MAT.6.33	Agh shir-jee hoshiaght reeriaght Yee as e chairys, as bee shiu jeant magh lesh ooilley ny reddyn shoh. 
MAT.6.34	Ny bee-jee er-y-fa shen ayns imnea erbee son y laa mairagh; son tra hig y laa mairagh, hig e chiarail mârish s’lioar da’n laa t’ayn e heaghyn hene.
MAT.7.1	Ny jean-jee briwyns, as cha bee shiu er nyn mriwnys. 
MAT.7.2	Son lesh y vriwnys cheddin ta shuish briwnys, bee shiu hene er nyn mriwnys: as lesh y towse ta shiuish towse, bee eh er ny howse diu reesht. 
MAT.7.3	As cre’n-fa t’ou cronnaghey yn brinneen t’ayns sooill dty vraarey, agh cha vel geill ayd da’n darrag t’ayns dty hooill hene? 
MAT.7.4	Ny kys jir oo rish dty vraar, Lhig dou yn brinneen y ghoaill ass dty hooill, as cur-my-ner ta darrag ayns dty hooill hene? 
MAT.7.5	Er-crauee-oalsey, tilg hoshiaght yn darrag ass dty hooill hene; as eisht nee oo dy baghtal fakin dy ghoaill yn brinneen ass sooill dty vraarey.
MAT.7.6	Ny cur-jee shen ny ta casherick da ny moddee, chamoo hilgys shiu ny pearlyn eu roish muckyn, er-aggle dy stamp ad orroo fo-chosh, as dy jyndaa ad reesht, as shiu y lhottey.
MAT.7.7	Yeearree-jee, as yiow shiu: shirjee, as nee shiu feddyn: conkjee, as yiow shiu fosley. 
MAT.7.8	Son ta dy chooilley unnane ta geearree geddyn: as y fer ta shirrey feddyn: as dasyn ta cronkal, bee’n dorrys er ny osley. 
MAT.7.9	Ny quoi yn dooinney ny mast’ euish, ver clagh da e vac, my hirrys eh arran? 
MAT.7.10	Ny my hirrys eh eeast, der eh ard-nieu da? 
MAT.7.11	Shen-y-fa my ta fys euish ta nyn beccee, kys dy choyrt giootyn mie da nyn gloan, cre-woad smoo nee’n Ayr eu t’ayns niau nheeghyn mie y choyrt dauesyn ta jannoo aghin huggey. 
MAT.7.12	Shen-y-fa dy chooilley nhee cre-erbee bailliuish deiney dy yannoo riuish, jean-jee shiuish y lheid cheddin roosyn: son shoh yn leigh as ny phadeyryn.
MAT.7.13	Immee-jee stiagh er y ghiat coon; son lhean ta’n giat, as feayn ta’n raad ta leeideil gys toyrt-mow, as shimmey ta goll er: 
MAT.7.14	Er-yn-oyr dy nee chion ta’n giat, as coon ta’n raad ta leeideil gys bea, as s’tiark ad ta dy haaghey eh.
