MAT.1.1	Ísti karakata Jesukristueri sïrukueri, enga Dabidi ka Abrani uájpeka:
MAT.2.6	nóri sánderu sapichueska.
MAT.2.6	Judea anapu k'érati iretecha jinguni,
MAT.2.6	jimboka juramuti ma jimini uéraaka,
MAT.2.6	enga Israeli jucheti iretani urhekupaaka.”
MAT.2.7	Jiájkani Erodesi jóskuecheri mímixetichani sïpatekuarhku ióarhiaspti ka sési kurhambeantaaspti na enga jatini ima jóskua xarharapka. 
MAT.2.8	Ka Beleni axaani jámani arhiaspti:
MAT.2.8	–Ni je jini ka sési kurhangorhe je charhakueri ambe ka engajtsï exentaakia jújtsïni je aianguni, ka jíjtuni niuaka k'éri ambe arhini.
MAT.2.9	Mímixetichaksï irechani kurhajchatini niraspti, ka jóskua engaksï tata jurhiata andarakuarhu exepka urhekupaaxapti ka jima anhaxurhispti nani enga charhaku jápka. 
MAT.2.10	Mímixetichaksï jóskuani exerini, kánekuaksï tsípespti ka sésiksï p'ikuarheraspti. 
MAT.2.11	K'umanchekuarhuksï incharini charhakuni xéntaspti, Maria imeri amamba jinguni, ka tinguixurhikutinksï k'éri ambe arhispti. Tátsekuaksï mítaaspti intsïmperakua jatakuechani ka tiripiti ka tióxunhanda ka p'untsumekuaksï íntskuspti. 
MAT.2.12	Ka tsánharhitanhasptiksï ka ístuksï aiangunhanksï eskaksï no k'uanhatsentapiringa jima enga Erodesi jápka, ka máteru xanhari jimboksï níntaspti.
MAT.2.13	Engaksï jóskueri mímixeticha níntapkia, Acheri ánjeli ma Joseni tsánharhikuarhu xarhakuspti ka arhispti: “Jauara ka jauata charhakuni ka amambani ka Ejiptu ni sïpakorheni. Jima ja, na engakini jatini jamberi ji arhiaka, jimboka Erodesi charhakuni jirinhantaaka jimboka uándikuni uéksïnga.”
MAT.2.14	Jose tsínharhispti ka jauataspti charhakuni ka amambani ka Ejiptuksï niraspti sïpakorheni, 
MAT.2.15	ka jimaksï irekorhespti enga jamberi Erodesi uarhipka ka ísï úkorhesti enga Acha imeri uandari jimbo uandaka: “Ejiptu uératini uandajpaska jucheti uátsïtini.”
MAT.2.16	Enga Erodesi mítepka eskaksï jóskuecheri mímixeticha tandosï úntaspka, kánekua ikiaspti ka uándikutarkorheaspti iámendu sapichani, engaksï tsimani uéxurhini jatiripka Beleni ka jimajku isï anapuechani, jimbokaksï jóskuecheri mímixeticha jánhastaspka na enga jatini uénapka ima jóskua xarharani. 
MAT.2.17	Jiájkani úkorhesti ima enga Diósïri uandari Jeremiasï uandapka:
MAT.2.18	“Rama jiuakorhenhaxati,
MAT.2.18	jurajkutakorhenhantani janhani uenhani
MAT.2.18	ka k'arhangunhantani;
MAT.2.18	Rakelisti enga uájpechani uekuajka;
MAT.2.18	ka no uékasïndi eska sési arhinhantaaka
MAT.2.18	jimbokaksï uájpecha uarhirixapkia.”
MAT.2.19	Ka enga Erodesi uarhipka, Acheri ánjeli ma Joseni Ejiptu tsánharhikuarhu xarhakuspti, 
MAT.2.20	ka arhispti: “Jauara, tataka sapichuni ka amambani Israeli pántsï, jimbokaksï uarhiskia ima engaksï tataka sapichuni uándikuni uékempka.”
MAT.2.21	Ka Jose jauaraspti ka tataka sapichu ka amamba jingunksï Israeli k'uanhatsentaspti. 
MAT.2.22	Ka enga kurhajchpepka eska Arkelao Judea juramuxapka, jima enga tátjemba Erodesi juramuni jápka, chéspti jima niárani. Ka tsánharhikua jimbo aiangukata Galilea isï niraspti, 
MAT.2.23	ka Nasareti niraspti irekani, ka ísï úkorhesti ima engaksï Diósïri uandaricha uandapka eska Nasareti anapu arhinhapiringa.
MAT.3.1	Imani jurhiatekuechani jimbo Judea, jimesï enga nónema irekaka jámaspti Jauánu itsï atajtsïkpiri, arhijtsïkpeparini, 
MAT.3.2	ka arhijpesïrempti: “¡Diósïni andarhentsï je, jimboka auandarhu anapu irechekua janoxakaia!”
MAT.3.3	I imesti enga Isaiasï Diósïri uandari uandempka:
MAT.3.3	“Nema ísï uinhachaxati
MAT.3.3	jimesï isï enga nónema irekaka:
MAT.3.3	Acheri xanharini ambantskakuntsï je,
MAT.3.3	ka xanharini p'arhikjantskakuntsï je.”
MAT.3.4	Juánueri xukuparhakua kameiueri jauiri jimbo úkatespti ka sïkuiri jóngorhesïrempti ka chóchu ka tékua juátarhu anapu t'iresïrempti. 
MAT.3.5	Jerusaleni anapuechaksï ka Judea ka iurhekua Jordani parhikutini isï anapuechaksï nirasïrempti kurhajchani, 
MAT.3.6	k'amanharhintskuechanksï uandakorheantasïrempti ka Juánu iurhekua Jordanirhu itsï atajtsïkuasïrempti.
MAT.3.7	Juánu uánekua fariseuechani ka saduseuechani exearini engaksï niárempka itsï atajtsïkukuekani, arhiasïrempti: “¡Akuitseni járhaticha! ¿Chánksïni ne arhiski eskajtsï chájtu úaka sïpakorhekuni ikimperatani enga jurhani jaka? 
MAT.3.8	Xarhatachka je, eska xarharaaka eskajtsï sési jimbo móantaskia, 
MAT.3.9	ka ásï cha jandiojku arhikorhe je: ‘Abrani juchari Tátesti.’ Jimbokaksïni ji arhixaka eska Diósï úsïnga íni tsakapuechani jamberi Abrani uájperantaani. 
MAT.3.10	Ka jacha ambamuntskata jarhastia enga anhatapuni sïrangua jinguni p'ikuaka; jimboka anhatapu enga no újka ambakiti amanhejchakua jukani, ch'apanhasïndi ka chpírirhu k'uanijpanhani. 
MAT.3.11	Jíksïni sési jimbo itsï jimbojku itsï atajtsïkuxaka, eskajtsï móataaka, ka ima engarini chúxapuni jaka, engani ji no jukanchaka kuarhachichani p'ikuani, ima sánderu k'éri ambesti. Imaksïni Espiritu Sántuni ka chpíri jimbo itsï atajtsïkuati. 
MAT.3.12	K'arhojpatarakuani jupikatixati enga tríjuni kátakutarantaaka. Tríjuni, jatakuarhu incharantaati ka sïnhakini chpírirhu kuanijpaati jima enga nómeni pójpeaka.”
MAT.3.13	Jesusi Galilea uératini, iurhekua Jordanirhu niáraspti, jima enga Juánu jápka, eska ima itsï atajtsïkupiringa. 
MAT.3.14	K'óru Juánu no uékasïrempti ka arhisïrempti:
MAT.3.14	–T'úrinisï itsï atajtsïkuaka, ¿andirinisï t'u jíndeni arhijki? 
MAT.3.15	Ka Jesusi arhispti:
MAT.3.15	–Jauati iásï ísïni, jimboka Diósï ísï uékasïnga eska úkorheaka.
MAT.3.15	Jiájkani Juánu itsï atajtsïkuspti. 
MAT.3.16	Ka enga Jesusi itsï atajtsïtini uémentani jápka, jimajku auanda mítakorhespti ka eranchespti Diósïri Espirituni enga jipunhini jásï ma kétseni jápka ka imani andajtsïkueraspti. 
MAT.3.17	Ka auandarhu anapu uandakua ma kurhanchekorhespti enga arhimpka: “I jindesti jecheti Uátsï xénhchakata, engani jimbo ji xáni tsípejka.”
MAT.4.1	Tátsekua Espiritu Jesusini jimesï páspti enga nónema irekaka, eska nóambakiti ts'éjkupiringa.
MAT.4.2	Ka tsimani ekuatse jurhia k'arhinda jatinia, k'arhimaspti. 
MAT.4.3	Ka nóambakiti andarheraspti ka arhini:
MAT.4.3	–Ekari sési jimbo Diósï uájpeka arhia arini tsakapuechani eskaksï kurhinda úkorhentaaka.
MAT.4.4	Ka Jesusi mókukuntaspti:
MAT.4.4	–Karakata jarhasti: “No k'urhinda jimbojkusï irenhaati, uandakuechani jimbojtu irenhaati enga Diósï uandauajka.”
MAT.4.5	Tátsekua nóambakiti ireta újchakurakatarhu páspti ka k'éri tiósïo iótakuarhu péraspti 
MAT.4.6	ka arhispti:
MAT.4.6	–Ekari Diósï Uájpeka, ixu uératini k'uanikurhi, nóchka karakata jarhaski andi:
MAT.4.6	Diósï ánjeli jémbechani axauati
MAT.4.6	eskaksïni kuájchakuaka.
MAT.4.6	Ka imaksïni no jurajkuati eskari andatseraaka,
MAT.4.6	ka eskari tsakapurhu ma no téksarhutaaka.
MAT.4.7	Ka Jesusi mókukuntaspti:
MAT.4.7	Ka ístu karakata jarhasti: “Ásï jáma chéti Acha Diósïni ts'éjkuni.”
MAT.4.8	Ka k'amarani jámania, nóambakiti k'éri juátarhu ma páspti ka iámendu parhakpeni anapu juramukuechani exeraaspti ka na engaksï xáni sési jápka, 
MAT.4.9	ka arhispti:
MAT.4.9	–Iámendu íni ambekini íntskuaka, engarini t'inguixurhichetini k'éri ambe arhiska.
MAT.4.10	Ka Jesusi arhispti:
MAT.4.10	–Kéndiku nóambakiti, jimboka karakata arhisïnga: “Chéti Acha Diósïndi k'éri ambe arhiaka ka imantkurisï marhuakuaka.”
MAT.4.11	Jiájkani nóambakiti Jesusini jurajkuspti ka ánjelichaksï jurhaspti ka marhuakuxaptiksï.
MAT.4.12	Enga Jesusi mítepka eska Juánu ónhakata jarhaspka, Galilea kuanhatsentaspti. 
MAT.4.13	Tátsekua Nasareti uéakuspti ka Kafarnaumi niraspti irekani, k'éri iretarhu enga japundarhu uanamukutini jaka, jimesï engaksï Sabuloni uájpecha ka Néftali uájpecha irekapka. 
MAT.4.14	I ambe ísï úkorhesti, ísï eska Diósïri uandari Isaiasi uandaka:
MAT.4.15	“Sabuloniri ka Néftaliri echeri,
MAT.4.15	enga Jordanirhu parhikutini jaka,
MAT.4.15	enga japundarhu uanamukutini jaka,
MAT.4.15	Galilea engaksï no jakajkuticha irekaka.
MAT.4.16	Ireta enga pájpakandu irekani jápka
MAT.4.16	k'éri eramarhandekua exesti,
MAT.4.16	ka engaksï uarhikueri k'umandarhu irekapka,
MAT.4.16	eramarhandekua kánekua t'íntskakuaspti.”
MAT.4.17	Jiájkani uénaspti Jesusi arhijtsïkpeni ka uandani: “Diósïni andarhentsï je, jimboka auandarhu anapu irechekua janoskia.”
MAT.4.18	Jesusi Galilea anapu japundarhu uanamukuni nitamaxapti ka Simonini exespti, imani engajtuksï Pédru arhimpka ka erachi jémba Andresïni, uarhorakuechanksï k'uanimaani jarhani jimbokaksï kurucha p'itamatispka. 
MAT.4.19	Ka Jesusi arhiaspti:
MAT.4.19	–Chúxapujtsïni je, ka jíksïni k'uiripu uarhori úaka.
MAT.4.20	Ka imaksï jurarkuaspti uarhorakuechani ka chúxapasptiksï.
MAT.4.21	Sántku urhepatini tsimani erachichantu exeaspti, Jakobuni ka Juánuni, Sebedeo uájpechani engaksï tátjemba jinguni uarhorakuechani sïriantani jápka, ka ióarhiaspti. 
MAT.4.22	Ka imaksï jurarkuspti icharhutani ka tátjembani ka chúxapasptiksï.
MAT.4.23	Tátsekua Jesusi iápuru Galilea ísï jámasïrempti, iretarhu anapu tángorhentskuecharhu, jimbanhe aiangperakua ka irechekueri ambe uandantaparini, ka mámaru jásï p'amenchakua ambakerpentasïrempti ka iámendu jásï uandanheatechantu ísï. 
MAT.4.24	Iámu Síria Jesusiri ambe mítekorhespti ka pákuasptiksï iámendu imechani engaksï mámaru ambe jimbo nósesi p'ikuarherempka: Engaksï kómu p'ikuarherempka ka iámendu jásï p'amenchatichani, ka engaksï nóambakitichani incharhekorheatini jápka, ka engaksï p'íntani jámempka ka engaksï no úempka xanharani ka Jesusi iámenduechani ambakerantaaspti.
MAT.4.25	Ka uánekuaksï Galilea anapuecha ka Dekapolisi anapuecha ka Jerusaleni ka Judea ka iurhekua Jordanirhu parhikutini anapuechaksï Jesusini chúxapaspti.
MAT.5.1	Xáni uáni exejpetini, Jesusi juátarhu ma karhamaspti ka jima uaxakaspti, jimajkanksï jurhengorheri jémbecha andarheraspti, 
MAT.5.2	ka ima uénaspti uandani ka jurhendaasïrempti arhiaparini:
MAT.5.3	“Tsípeksï ima engaksï nómbe ma jimbo
MAT.5.3	k'éramakorhejka,
MAT.5.3	jimboka auandarhu anapu irechekua imecheriska”
MAT.5.4	“Tsípeksï ima engaksï uerani jaka,
MAT.5.4	jimbokaksï sési arhinhantaaka.”
MAT.5.5	“Tsípeksï kaxumbiticha,
MAT.5.5	jimbokaksï echeri aiakatani ima intsïnhaaka”.
MAT.5.6	“Tsípeksï ima engaksï uékani jaka
MAT.5.6	eska úkorheaka eska Diósï na uéjka,
MAT.5.6	jimbokaksï úmenhaaka ambe engaksï uékani jaka.”
MAT.5.7	“Tsípeksï p'amojpiticha,
MAT.5.7	jimbokaksï p'amojkunhantaaka.”
MAT.5.8	“Tsípeksï ambakiti mintsita jataricha,
MAT.5.8	jimbokaksï Diósïni exeaka.”
MAT.5.9	“Tsípeksï ima engaksï sési pájperakua ambe úni jámka,
MAT.5.9	jimbokaksï Diósï uájpa arhiauaka.”
MAT.5.10	“Tsípeksï ima engaksï sési ambe úrini,
MAT.5.10	útasï atanhani kánhka,
MAT.5.10	jimboka auandarhu anapu irechekua imecheriska.”
MAT.5.11	“Tsípe je cha engaksïni jíndeni jimbo útacheaka
MAT.5.11	ka atakuekanksïni ka mámaru ambeksïni
MAT.5.11	nósesi jásï ambe chkuándiraparini arhiparhatani.”
MAT.5.12	Kánekua tsípe je, ka sési p'ikuarhera je,
MAT.5.12	jimboka auandarhu chári andakua káneska;
MAT.5.12	nóchkaksï Diósïri uandari tua anapuechani
MAT.5.12	májkueni ataaspi andi.
MAT.5.13	“Chájtsï parhakpeni anapu etukueska, ka enga etukua nóteru etumarhaaka, ¿ambeteru úni marhuasïnki? Nóteru marhuapirindi, xanharuterku k'uanitamanhasïndi ka jima t'auajchakunhasïndi.”
MAT.5.14	“Chájtsï íni parhakpeni anapu erajkutakueska; k'éri ireta ma enga juátarhu karhakua jarhajka no úsïndi no xarharani. 
MAT.5.15	Ka erajkutakua májtu no étskunhasïndi ka purhechirhu ma kápchakuranhani, erajkutakua ch'urhinguarhusï péranhajti eska erajkutauaka iámenduechani engaksï k'umanchekuarhu jarhajka. 
MAT.5.16	Májkueni t'íntskare chári t'íntskua uánekuechani japarini, eskaksïni chánksïni sési ambe úni exerini, chári Táteni enga auandarhu jaka k'éri ambe arhiaka.”
MAT.5.17	“Ásï ísï eratse je eskani ji jurhaska Diósïri uandarichani ka Diósïri juramukuechani k'amajkuani, no k'amajkuanisïni juka, marhuataanisï juka. 
MAT.5.18	Jimbokaksïni sési jimbo arhixaka eskaksï parhakpeni ka auanda nótki k'amakurhini jauaka, ka iámendu ambe kurhadiranhaati eskamendu juramukuarhu na karakata jaka, ka iámu ambe ísï úkorheati. 
MAT.5.19	Ísï jimbo nákinderku nema enga juramukuechani no kurhajchauaka náuejki sánderu sapichu méni, ka ísï jurhentpeni, auandarhu anapu irechekuarhu kánekua sapichu arhinhaati; k'óru ima enga ísï úaka ka ísï jurhentpeni, auandarhu anapu irechekuarhu k'éri arhinhaati.”
MAT.5.20	“Ísï jimboksïnisï arhini jaka, ekajtsï cha no sánderu sési jámaska eskaksï fariseuecha ka eskaksï juramukua jurhentpiricha, eska Diósï na uéjka, nójtsï inchaaka Diósïri irechekuarhu.”
MAT.5.21	“Chájtsï kurhaskia ambe engaksï tua anapuecha arhinhaka: ‘Ásï uándikpe, ka nákinderku nema enga uándikpeska, k'amanharhiranhantaati.’ 
MAT.5.22	K'óruksïni ji arhixaka: Ima enga erachi jémbani ikiakuaka, indeni jimbo k'amanharhiranhantaati, ka ima enga erachi jémbani útakuaka, k'éri tángorhekuarhu k'amanharhiranhantaati, ka ima enga kánekuamendu nósesi útakuaka erachi jémbani, chpírirhu k'uanijpanhaati.”
MAT.5.23	“Ísï jimbo, ekari kéjtsïtani jámani jima míantaska eskajtsï erachi jinguni arhirperatixaka, 
MAT.5.24	parhandikuani kéjtsïtakuarhu urhepani jurajku, ka ni urheta chéti erachi jinguni sési arhijperantani ka xásïri k'uanhatsentaaka parhandikua kéjtsïtani.”
MAT.5.25	“Sóntku teruatperantsï je ne engajtsï jinguni arhirperatini jaka, engakini ima nótki útatsperakuarhu p'itajkorheni jauaka, ásïkini ima útatspirini intsïnharhite, ka útatspirikini ónhpirini, ka ónhpirikini k'ataperakuarhu incharani. 
MAT.5.26	Sési jimbokini arhixaka eskari no uéraaka ekari no urheta iámu maiampentaska.”
MAT.5.27	“Chájtsï kurhaska eska uandakata jarhaska: ‘Nóri jámaaka ísku jándini.’ 
MAT.5.28	Ka jíksïni arhisïnga eska ima enga iurhitskirini ma atamarheaka, eska ima mintsitarhu ísku jándi úkorheskia, imani iurhitskirini jimbo.”
MAT.5.29	“Ísï jimbo, ekakini éskua jurhijkandani anapu terungutaraska, p'itanharhi ka k'uaniku, sánderu sésisti eskari ma ambe tsîtaaka ka nóri infiernurhu iámu k'uanijpanhani. 
MAT.5.30	Ka ekakini jájki jurhijkandani terungutaraska, kachujku ka k'uaniku, sánderuchka sésisti eskari ma ambejku tsîtaaka ka nóri infiernurhu iámu k'uanijpanhani.”
MAT.5.31	“Ka ístu uandakata jarhasti: ‘Ne enga témbani nóteru xénhchaaka, úati karakata úkuni enga arhiaka eska jurajkuxaka.’ 
MAT.5.32	Ka jíksïni arhisïnga eska ne enga témbani ikimchaaka, ka no uarhitiri ísku jándikua jimboeni, ísku jándi úxati, ka ima enga uarhiti jurajkukatani tembuntaaka ísku jándixati.”
MAT.5.33	“Ka kurharixakajtujtsï ambe engaksï tua anapuecha arhinhaka: ‘Ásï jáma ísku uénani uandani ka tátsekuari no ísï úni, sési k'amata úni ambe engari Diósïni aiakuka.’ 
MAT.5.34	Ka jíksïni arhisïnga: Ásï méni jáma je auandani jimbo ambe ma aiatspeni, jimboka Diósïri uaxantskua jima jarhaska; 
MAT.5.35	ójtu parhakpeni jimbo, jimboka Diósïri jatandukueska, ójtu Jerusaleni jimbo, jimboka ima ireta k'éri irecheriska. 
MAT.5.36	Ka ástu jáma chéti éjpu jimbo ambe ts'ïrimerakuekani, jimbokari no jamberi úsïnga ma jauiri t'upujtsïkorheni ori turhiptsïkorheni. 
MAT.5.37	Ma ambejku uétarhesïndi eskajtsï uandaaka ‘jo’ o ‘nómbe’ jimboka nóambakitiriska ekajtsï jukari uandaaka.”
MAT.5.38	“Kurhariskajtsï ambe enga uandanhaka: ‘Engakini nema éskua atacheaka, t'újtu éskua atakuntsï ka engakini nema sînichani etsaaskacheaska, t'újtu etsaaskakuantsï.’ 
MAT.5.39	Ka jíksïni arhisïnga: Ásï jáma je anhatsekuni imani enga nóambakeka; ekakini nema jurhijkandani páksanharhikuska, máteru akandantukini páksanharhikue. 
MAT.5.40	Ekakini nema útatsperakuarhu p'itajkorheska ka xukuparhakuakini euakorheni, chereparhakuajtu íntsku. 
MAT.5.41	Ka ekakini nema ambe sáni párakuekaska, iauani jamberi jarhuata páni. 
MAT.5.42	Íntskuakari imani engakini ambe kurhacheaka, ka ásï jáma no jiájkutani ne engakini ambe kuáneni uékaaka.”
MAT.5.43	“Ístujtsï kurhaaska ambe enga uandanhaka: ‘Chájku xénhchpera je ka kurhunhea je imechani engaksï ikiajchejka.’ 
MAT.5.44	K'óruksïni ji arhixaka: Xénhchaa imechani engaksïni kurhunhejka ka kómu arhijpekua je imechani engaksïni k'amarhentka útacheni. 
MAT.5.45	Ísïjtsï chári Táte uájpeuaka enga auandarhu jaka, enga imeri tata jurhiata jimbo no ambarhatichani ka kaxumbitichani t'íntskakuajka ka janirakuani. 
MAT.5.46	Ekajtsï cha imechantku xénhchaaska engaksïni chánksïni xénhchajka, ¿ambejtsï andaa? ¿Andi nóksï májkueni jámasïnki tumina tánaticha? 
MAT.5.47	Ka ekajtsï cha, chári erachichantku uandajpaska, ¿ambejtsï jukari sési ambe úxaki? ¿Nóksï no jakajkuticha jamberi ísï jámasïnki? 
MAT.5.48	Cháchka k'amak'amasï sési ambe u je, ísï eska chári Táte enga auandarhu jaka enga k'amak'amasï sési ambe újka.”
MAT.6.1	“Ásï jáma je uánekuechani japarini sési pakarakuekani, sési ambe úrini, jimboka ekajtsï ísï jámaska, chári Táte enga auandarhu jaka nómbemaksïni íntskuati.”
MAT.6.2	“Ka engari no jatsikorherichani jarhuatauaka, ásï méntku imani uandaparini jáma, ísï eskaksï na jámka ísku ísï uandaricha, k'umanchekua tángorhentskuecharhu ka xanharu jimboksï uékani eskaksï k'éri ambe arhinhaaka. Sési jimboksïni arhisïnga, eskaksï ima andakua intsïnhaskia. 
MAT.6.3	K'óru t'u na engari jatini no jatsikorherini ma jarhuataaka, ásï míte chéti jájki uikixkandani ambe enga jurhijkandani íntspeka, 
MAT.6.4	eska sïpatekuarhkueuaka chéti jarhojperata ka chéti Táte engakini sïpatekuarhku exejka, imakini maiamuati.”
MAT.6.5	“Na engari jatini Diósïni uandajpaaka, ásï xáxe eskaksï ima engaksï ísku ísï uandajka, jimbokaksï ima tsitisïnga anhaxurhitini k'umanchekua tángorhentskuecharhu ka terurukuecharhu uandamukukorheni; sési jimboksïni arhisïnga eskaksï ima maiamunhatixakaia. 
MAT.6.6	K'óru t'u, na engari jatini Diósïni uandajpaaka, inchakorhentsï ka mínhakorheni ka jandiojku chéti Táteni aiangukorhe, ka chéti Táte enga sïpatekuarhujtu exejka, imakini maiamuati.”
MAT.6.7	“Ka ekari Diósïni uandajpaaka ásï mémechani uéntsï méntkueni arhini ísï eskaksï ima engaksï no jakajkujka, engaksï xáni uandauandametini ísï eratsejka eskaksï ísï kurhanhaaka. 
MAT.6.8	Ásïchka ts'éndakuantsï je, jimbokajtsï nótki jamberi aianguni jauaka chári Táteni, ka ima t'uíni mítetini jarhasïndiia ambejtsïsï uétarhenchani jarhajki. 
MAT.6.9	Cháchka arisï kómarhijpekorhe je:
MAT.6.9	‘Táte, engari auandarhu jaka,
MAT.6.9	k'éri ambeskari, chéti jakangurhikua
MAT.6.9	kánekua k'éri ambesti.
MAT.6.10	Chéti irechekuajtsïni janoche.
MAT.6.10	Úkorhe parhakpeni ísï eskamenduri t'u na uéjka,
MAT.6.10	májkueni eska auandarhu na úkorheni jaka.
MAT.6.11	Íntskujtsïni iásï, mándani pauani anapu t'irekua.
MAT.6.12	Púachentajtsïni ambe engachi nósesi útspeka,
MAT.6.12	ísï eskani jucha na púakuantajka imechani engajtsïni nósesi úcheka.
MAT.6.13	Ásïjtsïni jiáreta eskachi ísku ambe niátaaka,
MAT.6.13	kénditachejtsïni nósesi jásï ambe.
MAT.6.13	[Jimboka chétiska Juramukua
MAT.6.13	ka uinhapekua ka k'érikua méntku isï. Ka ísïue.]’”
MAT.6.14	“Ísï jimbo ekajtsï cha púatspentaska ambe engaksïni nósesi úcheka, chári Tátejtuksïni, enga auandarhu jaka, púachentaati; 
MAT.6.15	ka ekajtsï cha no púatspentaska, chári Tátejtuksïni no púachentauati chári k'amanharhintskuechani.”
MAT.6.16	“Ekajtsï k'arhinda jauaka, ásï kómu jánharhintsï je, ísï eskaksï ima engaksï ísku ísï uandajka, engaksï kómu nínharhiparini xarhatakorheni úejka eskaksï k'arhinda jarhasïnga; sési jimboksïni arhisïnga eskaksï ima maiamunhatixakaia. 
MAT.6.17	K'óru t'u na engari jatini k'arhinda jauaka, jupanharhikorhe ka ambajtsïkorhe, 
MAT.6.18	eskari no xarhatatspeaka eskari karhinda jarhasïnga ka Tátentkuri xarhatakuni engari t'újku p'ikuarhenheparini újka, ka chéti Táte enga iámendu ambe exejka, imakini maiamuati.”
MAT.6.19	“Ásï parhakpeni anapu jatsikorhekua kánerakorhe je, ixu enga seperi arhajka ka púni ka tereni ka engaksï sïpajkurhecha sïpajka. 
