MAT.1.1	Ɗe'e ngoni inɗe maama'en Yeesu Almasiihu lenyol Dawda, Dawda lenyol Ibraahim.
MAT.1.20	Ammaa carel ngel o nyumata dow maajum, malaa'ikaajo Joomiraawo wanganimo nder koyɗol, wi'imo, “Yusufu ɓii Dawda, taa' hulu te'uki Maryaama, ngam ɓingel ngel o saawi daga to Ruuhu Allah ngel ƴiwoyi. 
MAT.1.21	O danyay ɓiɗɗo gorko nden a noddaymo Yeesu, ngam o hisnay yimɓe maako daga hakke maɓɓe.”
MAT.1.22	Fuu fii ɗu'um ɗum waɗi ngam ɗum hebbina ko Joomiraawo wi'i daga honduko annabiijo, o wi'i, 
MAT.1.23	“Raɗɗum, surbaajo mo andaa gorko danyay ɓiɗɗo gorko, nden ɗum nodday inde maako Imaanuwel.” Ma'ana Imaanuwel woni, “Allah e wondi e meeɗen.”
MAT.1.24	Nde Yusufu ummii daga ɗeyngol ngol, sey waɗi ko malaa'ikaajo Joomiraawo on wi'imo, o te'i Maryaama. 
MAT.1.25	Ammaa o andaamo naaki gaɗa o danyi ɓiɗɗo maako. Nden Yusufu noddi ɓiɗɗo on Yeesu.
MAT.2.1	Gaɗa Yeesu danyaama e gariiri Baytalaami nder leydi Yahuudiya, nder carel ngel Hirudus laamoto, woɓɓe andanɓe koode daga fuuna ɓe ngari Urucaliima, 
MAT.2.2	e ɓe ƴama, “Toye on ɗon danyaaɗo laamiiɗo Yahuudanko'en? Ngam min ngi'i hoodere maako daga fuuna, min ngarii min mawninamo.”
MAT.2.3	Nde Hirudus laamiiɗo nani non, o wanni, kanko e yimɓe Urucaliima ɗuɗɓe. 
MAT.2.4	Sey o noddi mawɓe ardiiɓe diina e moodiɓɓe Attawra, o ƴamiɓe, “Toye Almasiihu danyetee?”
MAT.2.5	Ɓe mbi'imo, “Nder gariiri Baytalaami nder leydi Yahuudiya. Ngam raa ko annabiijo windi,
MAT.2.6	‘Ammaa, an, gariyel Baytalaami gongel nder leydi Yahuuda,
MAT.2.6	an a gariyel goodungel teddungal nder leydi ndin,
MAT.2.6	ngam daga nder maaɗa goɗɗo laamiiɗo ƴiwoyta,
MAT.2.6	kanko wartata gaynaako yimɓe am Israa'iilanko'en.’ ”
MAT.2.7	Sey Hirudus noddi ɓen ɗon andanɓe koode e suuɗe, o ƴamiɓe carel ngel ɓe ngi'i hoodere nden, ɓe mbi'imoka. 
MAT.2.8	Sey o liliɓe Baytalaami, o wi'i, “Njahee ɗaɓɓiton ɓingel ngel boɗɗum. To on ngi'iingel, ngaron mbi'onyamka, ngam min maa mi yaha mi mawninangel.”
MAT.2.9+MAT.2.10	Nde ɓe nani ko laamiiɗo on wi'i, sey ɓe nangi laawol. Nde ɓe ngi'i hoodere nden, ɓe nani belɗum naa' seɗɗa. Hoodere nden ardiiɓe naaki nde dari dow to ɓingel ngel woni. 
MAT.2.11	Nde ɓe natti wuro ngon, ɓe tawi ɓingel ngel e Maryaama maduujo maagel. Ɓe ndicci ɓe mawniningel, nden ɓe pitti doŋle maɓɓe ɓe kokkingel caahu jiinaari, e urde welnde bi'eteende firankisen, e nebbam uroojam bi'eteeɗam mur.
MAT.2.12	Nde Allah haɗiiɓe nder koyɗol to' ɓe co''oo to Hirudus, sey ɓe tokki laawol feere ɓe co''i leydi maɓɓe.
MAT.2.13	Gaɗa andanɓe koode ɓen ndilli, sey malaa'ikaajo Joomiraawo wangani Yusufu nder koyɗol, wi'imo, “Umma koccaa ɓingel ngel e maduujo maagel ndoggaa njahaa leydi Masar. Njooɗee ton naa mi wi'ii'on ngarton, ngam Hirudus e yiɗi ɗaɓɓita ɓingel ngel ngam o warangel.”
MAT.2.14	Yusufu ummii hocci ɓingel ngel e maduujo maagel caka jemma, o dilli leydi Masar. 
MAT.2.15	Ton ɓe njooɗi naaki Hirudus maayi. Non waɗii ngam ɗum hebbina ko Joomiraawo wi'i daga honduko annabiijo maako wiiki, “Daga leydi Masar mi noddi Ɓiɗɗo am.”
MAT.2.16	Nde Hirudus faami andanɓe koode ɓen ƴoyriimo, sey ɓernde maako metti naa' seɗɗa. O wi'i ɗum wara ɓikkoy pamaroy fuu ngoroy ngoodukoy duuɓi ɗiɗi yaaki ley ngonkoy nder gariyel Baytalaami e haade gariyel ngel. O waɗu non ngam andanɓe koode ɓen mbi'imo arande hoodere nden wanganiiɓe duuɓi ɗiɗi ƴaɓɓiiɗi.
MAT.2.17	Non hebbini ko Allah wi'i daga honduko Annabi Irmiya wiiki,
MAT.2.18	“Ɗum nani hononde nder gariiri Raama,
MAT.2.18	bojji nawɗi.
MAT.2.18	Ɗum Rahiila woyanta ɓiɓɓe maako,
MAT.2.18	o wanyi o waltinanee ɓernde,
MAT.2.18	ngam ɓiɓɓe maako maayi.”
MAT.2.19	Gaɗa Hirudus maayi, sey malaa'ikaajo Joomiraawo wangani Yusufu nder koyɗol e Masar, wi'i, 
MAT.2.20	“Umma koccaa ɓingel ngel e maduujo maagel co''oɗaa leydi Israa'iila, ngam ɓen ɗon ɗaɓɓutuɓe mbara ɓingel ngel ɓe maayi.” 
MAT.2.21	Sey Yusufu ummii, hocci ɓingel ngel e maduujo maagel, ɓe co''ii leydi Israa'iila.
MAT.2.22	Ammaa nde o nani Arkilayus ronii jooɗorgal laamu nyaako muuɗum Hirudus e mo laamo leydi Yahuudiya, sey o huli yaaki ton. Ammaa nde ɗum wagginimo nder koyɗol, sey o so''i o yahi leydi Galiili. 
MAT.2.23	O yahi o jooɗii nder wondi gariiri bi'eteendi Najarat, ngam ɗum hebbina ko Allah wi'i daga konduɗe annabo'en wiiki, “Ɗum noddaymo Najarankeejo.”
MAT.3.1	Gaɗa duuɓi ɗuɗɗi Yahaya Gaɗoowo Baptisma yahi nder ladde Yahuudiya, e mo wa'ajina, 
MAT.3.2	e mo wi'a, “Tuubee, ngam Laamu Allah ɓadake!”
MAT.3.3	On ɗon kanko woni mo Annabi Icaaya meti dow maako, wi'i,
MAT.3.3	“Goɗɗo e nodda nder ladde, e wi'a,
MAT.3.3	‘Mo''inee ɗatal Joomiraawo,
MAT.3.3	portee laawol ngam garol maako!’ ”
MAT.3.4	Yahaya e ɓornii kolte ɗe ɗum waɗiri leeɓe ngeelooba, e mo taadii taadorde laral. Nyamndu maako woni baabeeji e njumri.
MAT.3.5	Sey yimɓe ɗuɗɓe daga gariiri Urucaliima e leydi Yahuudiya fuu e gariije ɗe haade Caangol Urdun ɓe ngaɗi ka yaaki to maako. 
MAT.3.6	E ɓe mbi'a fuu ko wooɗaa ɗum ɓe ngaɗi, e mo waɗanaɓe baptisma nder Caangol Urdun.
MAT.3.7	Ammaa nde Yahaya yi'i Faarisanko'en e Saadusanko'en ɗuɗɓe ngari ngam o waɗanaɓe baptisma, o wi'iɓe, “Onon ɓiɓɓe boole! Moye wi'i'on ndoggon bone garayɗum?
MAT.3.8	Ngaɗee ko hollata on ali hakkeeji mooɗon. 
MAT.3.9	To' on nyumu on mbi'ay nder ɓerɗe mooɗon, ‘Minon, min ɓiɓɓe Annabi Ibraahim.’ Ngam e mi wi'a'on, Allah waaway umminanki Annabi Ibraahim ɓiɓɓe daga nder kaaƴe ɗe'e.
MAT.3.10	Koo jooni fe''irde ƴeftaama ngam fe''a leɗɗe daga ɗaɗi maaje. Lekki fuu ki rimataa ɓikkoy mboɗkoy, ɗum fe''ayki ɗum faɗɗaki nder hiite.
MAT.3.11	Min, e mi waɗirana'on baptisma e ndiyam ngam holluki on tuubi. Ammaa ɓurɗoyam mangu e wara gaɗa am. Mi fotaayi mi jogoo paɗe maako. O waɗiranay'on baptisma e Ruuhu Allah e hiite. 
MAT.3.12	E mo jogii besirɗum gawri maako ngam senduki gawri e nyaande. O hawritay gawri ndin, o waɗandi nder resirde gawri maako, ammaa o wula nyaande nden nder hiite nge waatataa.”
MAT.3.13	E carel ngel Yeesu waroyi daga leydi Galiili. O yahi Caangol Urdun to Yahaya ngam Yahaya waɗanamo baptisma. 
MAT.3.14	Ammaa Yahaya yiɗii wanya waɗankimo baptisma, e wi'a, “E haani ngaɗanaayam baptisma, ammaa a wari to am?”
MAT.3.15	Ammaa Yeesu nootii wi'i, “Alu ɗum warta non jooni, ngam non haani kebbiniren ko Allah yiɗi ngaɗen.” Nden Yahaya jaɓi.
MAT.3.16	Nde ɗum waɗani Yeesu baptisma, e mo wurto nder ndiyam ɗam, sey ɗon e ɗon dow maɓɓitii o yi'i Ruuhu Allah e jippoyo dow maako e ɓandu bo foondu. 
MAT.3.17	Sey hononde ƴiwoyi daga dow wi'i, “O'o woni Ɓiɗɗo am mo ngiɗumi, e mi nana belɗum maako.”
MAT.4.1	Sey Ruuhu Allah yaari Yeesu nder ladde ngam Ceyɗan foondamo.
MAT.4.2	Gaɗa Yeesu waɗii balɗe 40 e suumoo jemma e nyalawma, weelo nangimo. 
MAT.4.3	Sey Ceyɗan wari, wi'imo, “To an woni Ɓiɗɗo Allah, wi'u ɗe'e kaaƴe ngarta buroodi.”
MAT.4.4	Yeesu nootii wi'imo, “Aayaare wi'ii, ‘Naa' e nyamndu tan neɗɗo marortoo, sey ni e koo ndeye wolde garoynde daga to Allah.’ ”
MAT.4.5	Sey Ceyɗan yaarimo Urucaliima Gariiri Ceniindi darnimo ton dow hoore Wuro Ceniingo, 
MAT.4.6	wi'imo, “To an woni Ɓiɗɗo Allah, diwu daga ɗo'o ngam aayaare wi'ii,
MAT.4.6	‘Allah wi'ay malaa'ika'en muuɗum mballumaa boɗɗum.
MAT.4.6	Ɓe taɓɓete nder juuɗe maɓɓe,
MAT.4.6	ngam to' nawnaa koyɗe maaɗa dow hayre.’ ”
MAT.4.7	Yeesu wi'imo, “Ɗonmaa aayaare wi'ii, ‘Taa' foondu Allah Joomiraawo maaɗa!’ ”
MAT.4.8	Ceyɗan fuɗɗiti yaarimo dow wonde hocceere townde hollimo leyɗe duuniyaaru fuu e jawdi maaje, 
MAT.4.9	o wi'imo, “Ɗu'um fuu mi hokketeɗum taa diccake a mawniniiyam.”
MAT.4.10	Sey Yeesu wi'imo, “Umma daga ɗo'o, an Ceyɗan! Aayaare wi'ii, ‘Mawnin Allah Joomiraawo maaɗa, kanko tan mawnintaa.’ ”
MAT.4.11	Sey Ceyɗan alimo, malaa'ika'en ngari mballimo.
MAT.4.12	Too, nde Yeesu nani ɗum maɓɓii Yahaya nder suudu cural, o so''ii leydi Galiili.
MAT.4.13	O ali gariiri Najarat, o yahi o jooɗii gariiri Kafarnahum ngondi haade mbeela nder leydi Jabaluuna e Naftaali.
MAT.4.14	O waɗii non ngam ɗum hebbina ko Allah wi'i daga honduko Annabi Icaaya wiiki,
MAT.4.15	“Leydi Jabaluuna e leydi Naftaali,
MAT.4.15	onon leyɗe gonɗe dow laawol haade mbeela, fongo Caangol Urdun,
MAT.4.15	nder leydi Galiili ndi yimɓe naa' Yahuudanko'en!
MAT.4.16	Yimɓe jooɗiiɓe nder nyiwre
MAT.4.16	ɓe ngi'ii jayngol mangol,
MAT.4.16	nden ɓen ɗon jooɗiiɓe nder leydi ndi ɗowdi mayde,
MAT.4.16	jayngol wurtoyake yeyni dow maɓɓe.”
MAT.4.17	Daga carel ngel, Yeesu fuɗɗi wa'ajinki, e wi'a, “Tuubee, ngam Laamu Allah warii haade mooɗon.”
MAT.4.18	Yeesu e yaha haade Mbeela Galiili, o yi'i sakiraaɓe ɗiɗo, Siiman bi'eteeɗo Biiturus e minyiraawo maako Andiraawus, e ɓe ngaɗa nangirɗum liƴƴi maɓɓe nder ndiyam, ngam ɓe nangooɓe liƴƴi. 
MAT.4.19	Sey Yeesu wi'iɓe, “Tokkeeyam, mi wartiray'on gaddayɓe yimɓe to am.” 
MAT.4.20	Ɗon e ɗon ɓe ali nangirɗum liƴƴi maɓɓe ɓe tokkimo.
MAT.4.21	Nde o ɓeydi yeeso seɗɗa, sey o yi'i woɓɓe sakiraaɓe ɗiɗo, Yaakubu e minyiraawo muuɗum Yahaya ɓiɓɓe Jabadi, e ɓe nder komiwal e nyaako maɓɓe Jabadi, e ɓe mo''ina nangirɗum liƴƴi maɓɓe, sey Yeesu noddiɓe. 
MAT.4.22	Ɗon e ɗon ɓe ali komiwal ngal e nyaako maɓɓe on, ɓe tokki Yeesu.
MAT.4.23	Yeesu yahi koo toye nder leydi Galiili, e mo ekkitina nder cuuɗi do'aare maɓɓe, e mo wa'ajina Habaru Belɗum dow Laamu Allah, nden e mo yamɗitina koo iri ɗume nyawu e ciya njamu nder yimɓe.
MAT.4.24	Habaru maako sankiti koo toye nder leydi Siiriya. Yimɓe ngaddanimo fuu nyawɓe, piidooɓe e nyawuuji feere‑feere, e piidooɓe e nawɗum ɓalli, e gooduɓe ginni, e gooduɓe paɗɗe, e jaraaɓe, o yamɗitiniɓe. 
MAT.4.25	Yimɓe ɗuɗɓe tokki Yeesu ƴiwoyɓe leydi Galiili, e leydi Dikapolis
MAT.5.1	Nde Yeesu yi'i yimɓe ɗuɗɓe ngari, sey o ƴenti ƴolde o jooɗi, tokkuɓemo ngari to maako. 
MAT.5.2	Sey o fuɗɗi ekkitinkiɓe, o wi'i,
MAT.5.3	“Ɓe barkiɗinaaɓe gaɗuɓe fuu kammunde dow Allah,
MAT.5.3	ngam kamɓe njeyi Laamu Allah.
MAT.5.4	“Ɓe barkiɗinaaɓe yimɓe woyooɓe,
MAT.5.4	ngam ɗum waltinay ɓerɗe maɓɓe.
MAT.5.5	“Ɓe barkiɗinaaɓe leynooɓe ko'e,
MAT.5.5	ngam kamɓe ndonata duuniyaaru.
MAT.5.6	“Ɓe barkiɗinaaɓe nanooɓe weelo e ɗonka waɗuki aadilaaku,
MAT.5.6	ngam ɓe karneteeɓe.
MAT.5.7	“Ɓe barkiɗinaaɓe jurminanooɓe yimɓe,
MAT.5.7	ngam kamɓe maa ɗum yurminanayɓe.
MAT.5.8	“Ɓe barkiɗinaaɓe ɓe ɓerɗe laɓɗe,
MAT.5.8	ngam ɓe ngi'ay Allah.
MAT.5.9	“Ɓe barkiɗinaaɓe ciryootirooɓe yimɓe,
MAT.5.9	ngam ɗum noddirayɓe ɓiɓɓe Allah.
MAT.5.10	“Ɓe barkiɗinaaɓe torreteeɓe ngam waɗuki aadilaaku,
MAT.5.10	ngam kamɓe njeyi Laamu Allah.
MAT.5.11	“On barkiɗinaaɓe to yimɓe kuɗii'on, torrii'on, pewanii'on mbi'ii haalaaji kalluɗi feere‑feere dow mooɗon ngam am.
MAT.5.12	Nanee belɗum, mbelmbeltee, ngam barka mooɗon ɗum ɗuɗɗum e dow, ngam non ɓe ngaɗannoo annabo'en arande'en.
MAT.5.13	“Onon ngoni lamɗam duuniyaaru. Ammaa to belɗum maajam ittake, ko wartirta belɗum maajam? Walaa ko ɗam nafata kadin, sey ni ɗam rufee yimɓe njaaɓaɗam.
MAT.5.14	“Onon ngoni jayngol duuniyaaru. Gariiri ngondi dow ƴolde ndi suuɗataako.
MAT.5.15	Walaa gaɗanayɗo fitilaaru hiite hippa tummude dow mayru. Sey ni o resandu dow danki, ndu yeynanoo koo moye gonɗo nder wuro ngon.
MAT.5.16	Non onon maa, alee jayngol mooɗon yeynanoo yimɓe, ngam ɓe ngi'a kuuɗe mooɗon boɗɗe, ɓe mawnina Nyaako mooɗon Mo Dow.
MAT.5.17	“To' on kammo mi waroyi ngam mi wartira Attawra koo Defte Annabo'en meere. Mi waroyi naa' ngam mi wartiraɗum meere, ammaa ngam mi hebbinaɗum. 
MAT.5.18	E mi wi'a'on goonga, haa dow e ley re'a, walaa bindel go'o koo toɓɓel go'el itteteengel nder Attawra naa koo ngele bindel nder Attawra hebbinaama.
MAT.5.19	Ngam non, koo moye yewi go'o nder koo ko ɓuri famɗuki nder ko Allah wi'i ɗum waɗa, nden o ekkitini woɓɓe ngaɗa non, ɗum noddaymo ɓurɗo famɗuki nder Laamu Allah. Ammaa koo moye waɗi ko Allah wi'i ɗum waɗa, nden o ekkitini woɓɓe ngaɗa non, ɗum noddaymo mawɗo nder Laamu Allah. 
MAT.5.20	E mi wi'a'on, to aadilaaku mooɗon ɓuraayi ɗum moodiɓɓe Attawra e Faarisanko'en, on nattataa Laamu Allah koo seɗɗa!
MAT.5.21	“On nani ɗum wi'i yimɓe ndenno, ‘Taa' waɗu warhoore,’ nden ‘koo moye waɗi warhoore o kiiteteeɗo.’
MAT.5.22	Ammaa e mi wi'a'on, koo moye monnani goɗɗo, Allah hiitotomo. Kadin koo moye huɗi goɗɗo, ardiiɓe hiitotomo. Nden koo moye wi'i goɗɗo ‘A meereejo!’ e mo dow laawol nattuki wuro hiite. 
MAT.5.23	Ngam non, taa warii hokkuki dokkal ngam Allah to sakkirde, taa siftorii bandiraawo maaɗa e monnanmaa, 
MAT.5.24	alu dokkal maaɗa yeeso sakkirde nden, arande yahu ciryootiraa e bandiraawo maaɗa on, nden ngartaa kokkaa dokkal maaɗa.
MAT.5.25	“To goɗɗo wulloyakema, carel ngel ngonɗon dow ɗatal yaaki yeeso laamu siryootir e maako jawɗum. To naa' non, o yaarete yeeso gaɗoowo kiita, gaɗoowo kiita waɗumaa nder juuɗe taadiiɓe, ɗum maɓɓumaa nder suudu cural. 
MAT.5.26	E mi wi'a'on goonga, a wurtataako naa a yoɓii fuu ceede ɗe ɗum tokkatama koo aniiniyel horataako.
MAT.5.27	“On nani ɗum wi'ii, ‘Taa' waɗu njeenu.’
MAT.5.28	Ammaa min, e mi wi'a'on koo moye raari debbo darɗe suuno yaadake waadii njeenu e maako nder ɓernde. 
MAT.5.29	To hitere maaɗa nde nyaamo e waɗumaa ngaɗaa hakke, ittunde, paɗɗaande. Ɗum ɓuraniima ndullaa jokkoode go'o nder jokkooɗe ɓandu maaɗa e dow ɗum hubina fuu ɓandu maaɗa nder wuro hiite.
MAT.5.30	To jungo maaɗa nyaamo e waɗumaa ngaɗaa hakke, ittungo, paɗɗaango. Ɗum ɓuraniima ndullaa jokkoode go'o nder jokkooɗe ɓandu maaɗa e dow fuu ɓandu maaɗa natta nder wuro hiite.
MAT.5.31	“Kadin ɗum wi'i, ‘Koo moye yoofi debbo muuɗum, sey hokkamo ɗerewol warki teegal.’
MAT.5.32	Ammaa min, e mi wi'a'on, koo moye yoofi debbo muuɗum to naa' njeenu o waɗi, too, o waɗiimo waɗuki njeenu to o waɗii wongal teegal. Nden koo moye te'i joofaaɗo waɗi njeenu.
MAT.5.33	“On nanii ɗum wi'ii yimɓe ndenno, ‘Taa' huna dow fewre, ammaa hebbin alkawal ngal ngaɗanɗaa Joomiraawo.’
MAT.5.34	Ammaa e mi wi'a'on, to' on kuno koo seɗɗa. To' on kunoro dow, ngam ton woni to Allah jooɗoto.
MAT.5.35	Nden to' on kunoro duuniyaaru, ngam ɗon woni to Allah resata koyɗe muuɗum. Nden to' on kunoro Urucaliima ngam kayri woni gariiri Laamiiɗo Mawɗo.
MAT.5.36	To' on kunoro gaasa ko'e mooɗon, ngam on mbaawataa wartirki laasol go'otol danewol koo ɓalewol. 
MAT.5.37	Al ‘Ee’ mooɗon warta ‘Ee,’ nden ‘Aa'a’ mooɗon warta ‘Aa'a.’ Fuu ko ƴaɓɓii ɗu'um, daga to Ceyɗan ɗum ƴiwoyi.
MAT.5.38	“On nani ɗum wi'ii, ‘Hitere ngam hitere, nden nyiinde ngam nyiinde.’
MAT.5.39	Ammaa e mi wi'a'on, to goɗɗo waɗanii'on goɗɗum kalluɗum, to' on ngaato. To goɗɗo fiyiima to wolo nyaamo, waylitanmo wo'oto ngon maa. 
MAT.5.40	To goɗɗo yaariima yeeso laamu ngam jaɓanmaa toggoore, hokkumo fuu e cuddaari maaɗa. 
MAT.5.41	To goɗɗo waɗiima ngaɗaa yaadu mil go'o, yaadu e maako mil ɗiɗi. 
MAT.5.42	Toriiɗoma goɗɗum fuu, hokkumo. To goɗɗo ƴamiima nyamaande, taa' haɗumo.
MAT.5.43	“On nanii ɗum wi'ii, ‘Yiɗu bandiraawo maaɗa, wanyu ganyo maaɗa.’ 
MAT.5.44	Ammaa e mi wi'a'on, ngiɗee ganyooɓe mooɗon, ngaɗanee torrooɓe'on do'aare, 
MAT.5.45	ngam ngarton ɓiɓɓe Nyaako Mo Dow. Ngam e mo waɗa naange maako yeynoo dow yimɓe kalluɓe e yimɓe gaɗooɓe ko wooɗi, nden e mo waɗa ndiyam toɓa dow aadili'en e ɓe ngalaa aadilaaku. 
MAT.5.46	To yiɗuɓe'on tan ngiɗɗon, ɗume barka keɓoton? Koo jaɓooɓe ceede leydi maa e ngiɗi yiɗuɓeɓe. 
MAT.5.47	To bandiraaɓe mooɗon tan kownoton, ɗume ngaɗoton ɓurɗum ɗum woɓɓe ngaɗata? Yimɓe naa' Yahuudanko'en naa' e ngaɗa non? 
MAT.5.48	Ngam non, ngartee keewuɓe no Nyaako mooɗon Mo Dow o kewɗo.
MAT.6.1	“Paamee to' ngaɗon kuuɗe aadilaaku mooɗon yeeso yimɓe ngam ɓe ngi'a. Ngam to on ngaɗii non, on keɓataa mbarjaari to Nyaako mooɗon Mo Dow.
MAT.6.2	“Ngam non, taa hokkay ɓe ngalanaa caahu, taa' andinka koo moye no munaafuki'en ngaɗata nder cuuɗi do'aare e dow ɗatal ngam yimɓe ngi'a mantaɓe. E mi wi'a'on goonga, ɓe njaadake ɓe keɓi mbarjaari maɓɓe. 
MAT.6.3	Ammaa taa hokkay mo walanaa caahu, taa' jaɓu jungo nano maaɗa anda ko jungo nyaamo maaɗa waɗata. 
MAT.6.4	Hokku caahu maaɗa e suuɗe, nden Nyaako maaɗa Mo Dow anduɗo koo ɗume gaɗaaɗum e suuɗe, o hokkete mbarjaari.
MAT.6.5	“To on ngaɗay do'aare, to' on ngaɗu no munaafuki'en ngaɗata, ngam e ɓe ngiɗi waɗuki do'aare e ɓe ndarii nder cuuɗi do'aare e dow to ɗate kawri ngam koo moye yi'aɓe. E mi wi'a'on goonga, ɓe njaadake ɓe keɓii mbarjaari maɓɓe.
MAT.6.6	Ammaa taa waɗay do'aare, nattu suudu maaɗa maɓɓaa dammugal, toroɗaa Nyaako maaɗa Mo Dow mo yi'ataake. Nden kanko gi'oowo ko waɗetee e suuɗe o hokkete mbarjaari.
MAT.6.7	“To on ngaɗa do'aare, to' on metu haalaaji meere no yimɓe ɓe andaa Allah ngaɗata. E ɓe nyuma allaaji maɓɓe nanay ko ɓe mbi'i ngam ɓe kuutiri boliiɗe ɗuɗɗe. 
MAT.6.8	To' on ngaɗu no ɓe ngaɗata ngam Nyaako mooɗon Mo Dow e andi ko ngiɗɗon ko torooɗonmo. 
MAT.6.9	Raa no ngaɗirton do'aare,
MAT.6.9	‘Yaa Allah Nyaako amin Mo Dow,
MAT.6.9	inde maaɗa ceniinde mawninee.
MAT.6.10	Laamu maaɗa wara,
MAT.6.10	ko ngiɗɗaa waɗee nder duuniyaaru, no ɗum waɗirtee e dow.
MAT.6.11	Hokkumin ko min nyaamata hande.
MAT.6.12	Yaafanamin hakkeeji amin
MAT.6.12	no min njaaforantoo gaɗanɓemin ko wooɗaa.
MAT.6.13	Taa' alu min njaha to min ngaɗata hakke,
MAT.6.13	ammaa hisnumin daga Kalluɗo.’
MAT.6.14	“Ngam to on njaafanake gaɗanɓe'on ko wooɗaa, Nyaako mooɗon Mo Dow maa yaafanto'on. 
MAT.6.15	Ammaa to on njaafanaakiɓe, kanko maa o yaafantaako'on hakke mooɗon.
MAT.6.16	“To on cuumii, to' on mbonnu geece mooɗon no munaafuki'en ngaɗata, ngam kamɓe e ɓe mbonna geece maɓɓe ngam ɓe kolla yimɓe e ɓe cuumii. E mi wi'a'on goonga, ɓe njaadake ɓe keɓii mbarjaari maɓɓe. 
MAT.6.17	Ammaa taa suumii, sulma, moytanaa hoore maaɗa nebbam. 
MAT.6.18	Taa waɗii non, walaa andayɗo a suumii, sey ni Nyaako maaɗa Mo Dow mo yi'ataake. Nden kanko gi'oowo ko waɗetee e suuɗe, o hokkete mbarjaari.
MAT.6.19	“To' on ndesan ko'e mooɗon jawdi e duuniyaaru to mooƴu wonnatandi, koo ndi nyola, koo to wuyɓe pusata natta ngujjandi.
MAT.6.20	Ammaa ndesanee ko'e mooɗon jawdi ton dow to mooƴu wonnataandi, koo ndi nyola, to wuyɓe mbaawataa pusa natta ngujjandi. 
MAT.6.21	Ngam to jawdi maaɗa woni, ton ɓernde maaɗa maa so''otoo.
MAT.6.22	“Gite ngoni fitilaaru ɓandu. To gite maaɗa e njamɗi, ɓandu maaɗa fuu heeway jayngol. 
MAT.6.23	Ammaa to gite maaɗa njamɗaa, ɓandu maaɗa fuu heeway nyiwre. To jayngol gongol nder ɓandu maaɗa ɗum nyiwre, nyiwre nden wartay ɓaleere naa' seɗɗa.
MAT.6.24	“Walaa baawayɗo jagganaaki joomu wuro'en ɗiɗo. Koo o wanya go'oto o yiɗa go'oto, koo o mawnina go'oto o yawana go'oto. Non onon maa, on mbaawataa jagganaaki Allah e jagganaaki jawdi carel go'o.
