GEN.1.1	Owakira itanta-nakari iwitsikan-taitzi, iriitakira Pawa owitsika-kirori inkiti aajatzi kipatsi. 
GEN.3.5	Tima iyotzi Pawa aririka pinthotakiro chochoki, ari piyotana-kiro kamiithari aajatzi kaaripirori, ari pinkimi-tanakyaari ikantara irirori.” 
GEN.3.6	Oñaatziiro kooya iroka chochoki kamiitha okantaka, oniwitana-karo onthotiro, onintzi ontzimi oyotani. Aakiro chochoki, othotakiro. Aanakiniri oimi, ithotakiro aajatzi irirori. 
GEN.3.7	Ari opisaityiimo-tanakiro, oñaatyaa osaika-miriki-jiitatzii. Aajiitaki osi pankirintsi, ositzikakiro, irootaki owasita-nakari. 
GEN.3.8	Okanta otampyiityaa-paaki tsitinii-tiini, ikimawaa-tziiri Pawa yaniitapaji pankirin-tsimasiki. Siyajii-tanaka imana-pithatari. 
GEN.3.9	Ikaimapaa-kiri Pawa, ikantziri: “¡Adán! ¿Tsikama pisaikika?” 
GEN.3.10	Ari yakanaki irirori, ikantzi: “Notharowakaatyaami, Pawa, nokimawaimi paniitapaji pankirin-tsimasiki, tima kaanki-miriki noñaaka, irootaki nomana-pitha-tantamiri.” 
GEN.3.11	Ari isampitana-kiri, ikantziri: “¿Paitama kantakimiri pisaika-mirikitatzii? ¿Pithotaki-roma chochoki nopinka-kaimiri?” 
GEN.3.12	Ari yakanaki atziri, ikantzi: “Kaarima kooya pipakinari nontsipa-tyaaro, irootaki opakinarori iroka chochoki nothotan-takarori.” 
GEN.3.13	Isampitana-kiro Pawa iroka kooya, ikantziro: “¿Paitama pantakiri?” Okantanaki iroori: “Tima yamatawi-takina naaka maranki, irootaki nothotan-takarori chochoki.” 
GEN.3.14	Ikantana-kiri Pawa yoka maranki:
GEN.3.14	“Okantakaan-tziro pamatawi-takiro kooya,
GEN.3.14	Misha-piro-taari pinatyii awiroka, panaajiri maaroni antami-wiri.
GEN.3.14	Pasi piwiro pinkonthaan-tajyaaro pinii osaawiki,
GEN.3.14	Kipatsi-yina pinkantajyaa piitoki. 
GEN.3.15	Nonkan-takai-yaaro onkisaniin-taimi kooya.
GEN.3.15	Ari inkantajyaari osarintajyaari,
GEN.3.15	Inkisaniin-tairi pasi awiroka.
GEN.3.15	Iriitaki tsitokai-miniri piitoki,
GEN.3.15	Ipatzi-kontaki patsi-kamatsi-tairi awiroka.”
GEN.3.16	Ikantana-kiro kooya:
GEN.3.16	“Antaro pinkimaatsi-taiyaa aririka piwaiyantai.
GEN.3.16	Oshiki ayimataimi pinintzi yapititaiyaami piimi,
GEN.3.16	Iro kantacha, oshiki impira-waitajyaami irirori.”
GEN.3.17	Ikantana-kiri atziri:
GEN.3.17	“Tima paawako-takiro piina,
GEN.3.17	Pithotan-takarori nopinka-kaawitamiri.
GEN.3.17	Awiroka kantakaan-taki-rori nomisha-tantyaarori iroka kipatsi.
GEN.3.17	Oshiki pinkimaatsi-taiyaaro pantawaiti,
GEN.3.17	Piñaantajyaarori piyaari kitaitiriki-payi.
GEN.3.18	Tima oshiki onkantaiyaa kitoochii-masi kipatsiki.
GEN.3.18	Irootaki piwankiri piwayitaiyaa awiroka.
GEN.3.19	Ari pasi piwiro pamasawi-wintairo onkarati piwajyaari,
GEN.3.19	Irojatzi pinkipatsi-pani-tantaiyaari,
GEN.3.19	Tima kipatsi yaitaki iwitsikan-taitaka-miri,
GEN.3.19	Ontzimatyii pinkipatsi-panitai aajatzi.” 
GEN.3.20	Aritaki ipaitakiro iina yoka Adán “Añaantsi”, tima irootaki irinirotyaari inkarati añaayi-tatsiniri. Ikantai-tziro iñaaniki irirori-payi “Eva”. 
GEN.3.21	Ipoñaa yaaki Pawa misinantsi iwitsikakiniri iithaari, irootaki ikithaa-takiriri atziri aajatzi iina.
GEN.3.22	Ipoñaa ikantzi Pawa: “Ikimitakai arokaiti yoka atziri, iyotanakiro kamiithari aajatzi kaaripirori. Kimitaka aritaki inthotakiro chochoki yañaantaitari, aritaki yañaanitai.” 
GEN.3.23	Irootaki imisito-wantaka-riri isaikawitakara pankirin-tsimasiki Posiñaariniki. Ontzimatyii yantawaitaji aka kipatsiki, tima kipatsi yaitaki pairani iwitsikan-taitaka-riri. 
GEN.3.24	Aritaki imisitowai-takiri atziri pankirin-tsimasiki Posiñaarini, iwanaki Pawa aparoni maninkari tsika isitowa-piintzi ooryaatsiri. Ari osaikitakari wisa-mintotsi iroowaitaki opaamatzi paamari. Irootaki shiwatachari anta airo yariitan-taitaaro chochoki añaakaan-tatsiri.
GEN.4.1	Okanta apaata imaantakaro iina Adán. Ari omotyaataki iroori, tzimaki otomi. Okanta-siritzi Eva: “Nowaiyantaki iroñaaka notomi. Iriitaki Pawa kantakaaro nowaiyantiri.” Irootaki opaitan-takariri otomi “Waiyantaantsi”. Tima iroka wairontsi Waiyantaantsi, irootaki ikantziri iñaaniki irirori “Caín”. 
GEN.4.2	Ipoñaa itzimanaji pasini otomi, opaitakiri Abel, iriitaki iririntzi-tanakari Caín. Pirawai-tachari inaki Abel, iriima Caín pankiwai-taniri inatzi. 
GEN.4.3	Ikanta apaata Caín, yaanaki iwankiri yasitakai-yaari Pawa impinkatha-tantyaariri. 
GEN.4.4	Ari ikimitakari irirori Abel, yaanakiniri Pawa itarori itzimi ipira, iriipiro-tatsiri iwathatzi. Oshiki yaakamiitha-takiri Pawa Abel, ari ikimitaa-kiro yasitakaa-kariri. 
GEN.4.5	Iriima Caín timachiini yaakamiithatiri, ari ikimitaa-kiro okaratzi yasitakaa-witakariri. Irootaki ikisantana-kari Caín. 
GEN.4.6	Ikantawi-takari Pawa: “¡Caín! ¿Paitama pikisawai-tantari? ¿Paitama pipasini-kyaatantari? 
GEN.4.7	Arimi pantiro kamiithari, airo pipasini-kyaawai-tzimi. Iro kantacha, aririka pantakiro pikinkithasiritari aritaki pinkaaripiro-siritaki. Ontzimatyii piitsinampairo iroka.”
GEN.4.8	Ikanta apaata Caín, ikantakiri iririntzi Abel: “¡Iyí! Thami ankinawaiti owaantsiki.” Ari iwakiriri anta iririntzi. 
GEN.4.9	Isampitakiri Pawa, ikantziri: “¡Caín! ¿Tsikama ikinakika pirintzi?” Ikantzi Caín: “Ti noyoti. ¿Naakama kimpoyiiriri?” 
GEN.4.10	Ari yapiitziri ikantziri: “¿Paitama pantakiri? Tima nokimakiro iriraani pirintzi okimiwai-takaro onkaima-kaima-tatyiinami kipatsiki tsika piwakiri. 
GEN.4.11	Mishataari pinaatyii awiroka iroñaaka, airo pinampi-taaro aka tsika osiyakaro omiritakityii-yaaromi kipatsi iriraani pirintzi piwakiri. 
GEN.4.12	Pankiwai-rintzi pinawityaa, airomaita piñaayi-tairo onkitho-tzimo-taimi. Kinakina-waitaniri pinkantajyaa, airo pamita pisaikajiro pinampiki.” 
GEN.4.13	Yakanaki Caín, ikantzi: “Airo namawitziro okaratzi pikantaki-nari, pimapiro-takina. 
GEN.4.14	Pimisitowa-kina aka, kinakina-waitaniri nonkantajyaa, airo namitaja nosaikairo nonampiki. Inkarati ñaayitainani, aritaki iwaitajina.” 
GEN.4.15	Ikantzi Pawa: “Itzimi-rika owaji-mini awiroka, oshiki impiyatai-tyaari irirori.” Airo iwan-taitari Caín, ikimi-takaan-takari Pawa inkin-tawatha-tatyiirimi iyoitan-tyaariri. 
GEN.4.16	Jataki Caín ikinanakiro isitowa-piintzi ooryaatsiri ipaitai-tziro Kinawini. Ari inampitaka-rori anta, tira isaikairo Posiñaariniki tsika ikinkitha-waitakaa-kiri Pawa.
GEN.4.17	Ari yaakiri iina anta Caín. Iwaiyan-takaa-kiro, ipaitakiri Enoc. Ari iwitsika-kiri inampi, ipaitakiro Enoc aakotakiri iwairo itomi. 
GEN.4.18	Iriitaki Enoc asitana-kariri Irad. Iriitaki Irad asitana-kariri Mehujael. Iriitaki Mehujael asitana-kariri Metusael. Iriitaki Metusael asitana-kariri Lamec. 
GEN.4.19	Iriima Lamec otzimaki irirori apiti iina. Opaita Ada, pasini opaita Zila. 
GEN.4.20	Itzimanaki otomi Ada opaitakiri Jabal, iriitaki ishininkai-titari pankothaantiwiri, aajatzi pirawai-nitachari. 
GEN.4.21	Tzimatsi Jabal pasini iririntzi paitachari Jubal, iriira ishininkai-titari piyompi-waitaniri aajatzi showiriwai-taniri. 
GEN.4.22	Owaiyantaki iroori Zila, opaitakiri Tubal-caín, iriitaki asiro-pakori, owitsika-yitzirori opaita-rika-payi asiro kitiri-tatsiri. Tzimatsi iritsiro Tubal-caín opaita Naama. 
GEN.4.23	Ikanta apaata Lamec ikinkitha-waitakaa-kiro apitiro iina, Ada aajatzi Zila, ikantziro:
GEN.4.23	“Pinkimisantina nonkantimiri:
GEN.4.23	Nowakiri atziri okantakaan-tziro ikichinka-kina.
GEN.4.23	Nowamaaki awankari okantakaan-tziro imposakina.
GEN.4.24	Oshiki impiyawin-taityaari Caín,
GEN.4.24	Irooma naaka imaapiroiti impiyawin-taityaana. 
GEN.4.25	Ikanta yapiitajiro Adán imaantajaro iina, ari itzimaji pasini itomi opaitakiri “Opantaantsi”. Okanta-siri-tanaji iroori: “Ipajina Pawa pasini notomi iri impoyii-tyaarini notomini Abel, iwakiri Caín, iririntzi.” Tima iroka wairontsi Waiyantaantsi, irootaki ikantziri iñaaniki pairani iriroriiti “Set”. 
GEN.4.26	Ikanta iwaiyakaa-kiro iina irirori Set, tzimanaki itomi ipaitakiri Enós. Ari yitaitana-karo ipinkathatai-tziri Pawa. 
GEN.5.1	Yoka ikaratzi icharini-yita-nakari Adán. Tima owakira iwitsika-kiri Pawa yoka atziri, isiyakaa-kari tsika ikantawaita irirori. 
GEN.5.2	Iwitsikaki sirampari aajatzi kooya. Itasonka-wintakiri. Ipaitakiri “Atziri” owakira iwitsika-kiri.
GEN.5.3	Tzimanaki Adán okaratzi 130 isarintsiti, ari itzimaji pasini itomi ipaitakiri Set. Iriitaki siyakariri tsika ikantawaita irirori. 
GEN.5.4	Aikiro yañaawaji Adán okaratzi 800 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.5	Iroka okaratzi yañaaki Adán 930 osarintsi, ari ikamajiri irirori. 
GEN.5.6	Tzimanaki irirori Set okaratzi 105 isarintsiti, ari itzimaki itomi ipaitakiri Enós. 
GEN.5.7	Aikiro yañaawaji Set okaratzi 807 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.8	Iroka okaratzi yañaaki Set 912 osarintsi, ari ikamajiri irirori.
GEN.5.9	Tzimanaki irirori Enós okaratzi 90 isarintsiti, ari itzimaki itomi ipaitakiri Cainán. 
GEN.5.10	Aikiro yañaawaji Enós okaratzi 815 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.11	Iroka okaratzi yañaaki Enós 905 osarintsi, ari ikamajiri irirori.
GEN.5.12	Tzimanaki irirori Cainán okaratzi 70 isarintsiti, ari itzimaki itomi ipaitakiri Mahalaleel. 
GEN.5.13	Aikiro yañaawaji Cainán okaratzi 840 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.14	Iroka okaratzi yañaaki Cainán 910 osarintsi, ari ikamajiri irirori.
GEN.5.15	Tzimanaki irirori Mahalaleel okaratzi 65 isarintsiti, ari itzimaki itomi ipaitakiri Jared. 
GEN.5.16	Aikiro yañaawaji Mahalaleel okaratzi 830 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.17	Iroka okaratzi yañaaki Mahalaleel 895 osarintsi, ari ikamajiri irirori.
GEN.5.18	Tzimanaki irirori Jared okaratzi 162 isarintsiti, ari itzimaki itomi ipaitakiri Enoc. 
GEN.5.19	Aikiro yañaawaji Jared okaratzi 800 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.20	Iroka okaratzi yañaaki Jared 962 osarintsi, ari ikamajiri irirori.
GEN.5.21	Tzimanaki irirori Enoc okaratzi 65 isarintsiti, ari itzimaki itomi ipaitakiri Matusalén. 
GEN.5.22	Aikiro yañaatzii Enoc okarataki 300 osarintsi, yantapiin-tziro okaratzi inintziri Pawa. Tzimawaji pasini itomi-payi aajatzi irisinto-payi. 
GEN.5.23	Iroka okaratzi yañaaki Enoc 365 osarintsi. 
GEN.5.24	Tima yantapiin-takiro Enoc okaratzi inintziri Pawa, irojatzi yaantaariri Pawa, tira iñiitajiri.
GEN.5.25	Tzimanaki irirori Matusalén okaratzi 187 isarintsiti, ari itzimaki itomi ipaitakiri Lamec. 
GEN.5.26	Aikiro yañaawaji Matusalén okaratzi 782 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.27	Iroka okaratzi yañaaki Matusalén 969 osarintsi, ari ikamajiri irirori.
GEN.5.28	Tzimanaki irirori Lamec okaratzi 82 isarintsiti, ari itzimaki itomi irirori. 
GEN.5.29	Ikanta-siritzi Lamec: “Tima imapiro-takiro Pawa imishatakiro kipatsi, oshiki inkimaatsi-taityaaro yantawai-taiti, iro kantacha iriitaki yoka iinchaa-niki makoryaa-kaantaa-tsini.” Irootaki ipaitan-takariri itomi “Makoryaantsi”. Tima iroka wairontsi Makoryaantsi, irootaki ikantziri iñaaniki pairani irirori “Noé”. 
GEN.5.30	Aikiro yañaawaji Lamec okaratzi 595 osarintsi. Tzimawaji itomi-payi aajatzi irisinto-payi. 
GEN.5.31	Iroka okaratzi yañaaki Lamec 777 osarintsi, ari ikamajiri irirori.
GEN.5.32	Tzimanaki irirori Noé okaratzi 500 isarintsiti, ari itzimaki itomi-payi, ipaitakiri: Sem, Cam, Jafet.
GEN.6.1	Ikanta shikitanaji atziripayi aka kipatsiki, tzimayi-tanaki irisinto-payi. 
GEN.6.2	Ari iñaakiro itomiyaayi-payi Pawa kamiithaa-niki okantayita irisintoiti atziripayi, ikoyaayitaki okaratzi onimotaki-riri, iinanta-yitakaro. 
GEN.6.3	Irootaki ikantan-tanakari Pawa: “Airo yañaa-yitaji atziri, tima wathatsi inamatsi-tatzii irirori. Apatziro yañaa-matsitaji onkarati 120 osarintsi.” 
GEN.6.4	Ikanta iinantayitakaro itomiyaayi Pawa irisinto-payi atziripayi, iwaiyan-takaa-yitakiro. Iriitaki antari-tawato-payi itanakarori inampiyitaro pairani, ñaapirori ikantajiitakani, oshiki ikimakoi-takiri.
GEN.6.5	Tima iñaakiri Pawa omaapiro ikaaripirotaki atziripayi aka kipatsiki, iro yaakowin-tapiintaka ikinkithasiritaro yantayitiro kaaripiro-yitatsiri. 
GEN.6.6	Antaro okantzimo-niinta-kari Pawa iwitsika-kiri atziri. 
GEN.6.7	Ikantanaki: “Ontzimatyii napirotairi atziri ikaratzi nowitsika-kiri kipatsiki, ari nonkimitairi antami-wiripayi, konthaa-yitatsiri osaawiki, aajatzi siwanki-ripayi. Tima antaro okatsi-tzimo-niintakina nowitsika-kiri.” 
GEN.6.8	Iriima Noé, kamiitha-siri ikantzimo-takari Pawa.
GEN.6.9	Iroka ikinkitha-takoi-tziri Noé. Kamiitha-siri ikantaka irirori, ikimisan-tapiintziri Pawa. Tima tikatsi pairani kimityaa-riniri Noé yantapiin-takiro inintziri Pawa. 
GEN.6.10	Tima ikaratzi mawa itomi Noé, iroka ipaitakiri: Sem, Cam, Jafet. 
GEN.6.11	Tima oshiki ikaaripiro-tzimo-takiri Pawa osaawi-satziiti, oshiki imaimani-tawakaaka. 
GEN.6.12	Ari yasi iwakiro ikaaripiro-yitaki atziripayi. Ikanta iñaakiri Pawa ithonka ikaaripiro-yitaki atziripayi, 
GEN.6.13	ikantakiri Noé: “Nonintzi napirotairi atziripayi. Iriitaki kantakaan-tzirori imaimani-tawakaantari osaawiki. Nonintzi nonthonkairi atziripayi aajatzi maaroni kipatsi. 
GEN.6.14	Irooma awiroka pamini inchato tzimatsiri okasi, irootaki piwitsikiri pamaa-tako-minto. Pinasityaaro inthompointa pintanto-yitiro. Piwitsiñiiro maaroni intakiroini aajatzi inthompointa. 
GEN.6.15	Ari pinkantiro piwitsikiro. Onkarati pimonkaratiro osanthati 300 pikonaki, irooma oniiki onkarati 50 pikonaki, irooma tsika ojinokiti onkarati 30 pikonaki. 
GEN.6.16	Mawaminko pinkantiro piwitsikiro. Pimorontiro oshaawiini otapisiki inkini yaminaiti, onkarati okimiityaa aparoni pikonaki. Tima aparoni piwitsikaki asitakoro. 
GEN.6.17	Aritaki nowaryaaki antaro inkani, anairo maaroni kipatsi. Inthonka yapirotyaa inkami maaroni añaayi-tatsiri kipatsiki. 
GEN.6.18	Irooma awiroka Noé tzimatsi ankasiyakaa-wakaiyaari. Tima awiroka kyaatsi-ni amaatako-minto-tsiki pintsipa-tyaari pitomi-payi, piina, aajatzi paniro-payi. 
