MAT.1.1	Kitsy re xseety pxusykoltoo Jesucrist. Lo xtiiy David ni lo xtiiy Abraham sëëd Jesús.
MAT.4.10	—Bichee nu, xaatox, por leñ kitsy nii kë xtiits Dios xñee: “Psoxib lo Dios nii xñabey lii ni xtiits sye xaa psoob.”
MAT.4.11	Tsigo lëë xaatox psaan Jesús aan lëë xangly Dios kuni nii taw xaa.
MAT.4.12	Tsiñee biñ Jesús nii lëë Juan no skiib, lëë xaa kwseñ nëz, lëë xaa si nëz Galilea. 
MAT.4.13	Per byodre xaa leñ kyedzy Nazaret, sink lëë xaa kwtedyso tu kyedzy nii lë Capernaum nii nche chu nistoo Galilea. Kexka siko nak xtañ meñ Zabulón ni xtañ meñ Neftalí. 
MAT.4.14	Kchësy nrii kok parñee kak cumplir nii kwnee profet Isaías tsiñee chëb xaa:
MAT.4.15	Xtañ meñ Zabulón ni xtañ meñ Neftalí,
MAT.4.15	kyedzy nii nche stublad chu kiigwpee Jordán,
MAT.4.15	kexka chu nistoo Galilea, laañee no meñ sit.
MAT.4.16	Lo nguey mbañ meñ go,
MAT.4.16	per lëë meñ go kon tu bini ngol.
MAT.4.16	Lëë nguialkuty xñabey lo meñ go,
MAT.4.16	per lëë bini go psaani lo meñ go.
MAT.4.17	Destye wor go lëë Jesús bislo xñee lo meñ:
MAT.4.17	—Kol ktikche styoo do lo Dios, por lëë wor kutsiñ nii lëë xaa kñabey.
MAT.4.18	Tu tse lëë Jesús sitedy chu nistoo Galilea, tsiñee lëë xaa kon chop ngoosy mël nii nche kchon xkyex lo nis. Chop betsy nak xaa. Tu xaa lë Simoñ Pedre, lëë stu xaa lë Ndresy. 
MAT.4.19	Aan lëë Jesús chëb lo xaa:
MAT.4.19	—Kol tënal naa parñee jkoostre to mël, sink lëën kluy lo do xa kluuy do xtitsaa lo meñ.
MAT.4.20	Wor go kazh nche gak xkyex xaa, lëë xaa sinal Jesús.
MAT.4.21	Sijtyak kwsë Jesús, lëë xaa kon schop ngoosy mël. Tu xaa lë Jacob, lëë stu xaa lë Juan. Xiñ Zebedeo nak xaa chop xaa. Lëë xaa no jkëtë xkyex xaa leñ tu barkw ksa xaa pxosy xaa. Lëë Jesús kwtsyetsy xaa, 
MAT.4.22	aan wor go kazh lëë xaa psaan pxosy xaa leñ barkw. Lëë xaa sinal Jesús.
MAT.4.23	Kunsë Jesús tyub xtañ meñ Galilea, aan kchë leñ ktoo nii kwey xaa bluuy xaa xa nak xkyalwnabey Dios lo meñ, ni beeñ kyak xaa meñ xsyaknë. 
MAT.4.24	Tyub nëz Siria biñ meñ nii chuuñtsyey Jesús. Por ngo nii kchëlo meñ xsyaknë kwey lo Jesús. Kwey meñ nii no kyalbini mal leñ styoo, ni meñ nii chak wety, ni meñ nii kutoo lady, aan kchësy meñ xsyaknë go beeñ kyak Jesús. 
MAT.4.25	Ndaly meñ Galilea, ni meñ Decápolis, ni ndaly meñ Jerusalén, ni meñ Judea, ni meñ nii ncheno stublad chu kiigwpee Jordán kunal Jesús.
MAT.5.1	Tsiñee Lëë Jesús kon kchësy meñ go, lëë xaa kwsob tu chex kiy. Lëë meñ big lo xaa 
MAT.5.2	aan lëë xaa bislo beeñ kseedy xaa meñ chëb xaa:
MAT.5.3	—Dichos meñ nii xyeñ no xtol, por lëë meñ go kyey laañee xñabey Dios.
MAT.5.4	’Dichos meñ nii no kyalnë, por lëë Dios kchoobladzy styoo meñ go.
MAT.5.5	’Dichos meñ ndoladzy, por lo meñ go ktee Dios kislyu.
MAT.5.6	’Dichos meñ nii choxko kuuñtsyey nii chakladzy Dios por stee Dios kchësy nii kñab meñ go.
MAT.5.7	’Dichos meñ nii xkëstyoo xcombañer, por skëstyoo Dios meñ go.
MAT.5.8	’Dichos meñ nii tubli no styoo, por lëë meñ go kan Dios.
MAT.5.9	’Dichos meñ nii xkwëës tily, porque lëë meñ go kak xiñ Dios.
MAT.5.10	’Dichos meñ nii xtyedy kyalnë por xtiits Dios, por lëë meñ go kyey laañee xñabey Dios.
MAT.5.11	’Dichos to, tsiñee kutsyetsy meñ do ni ksaksi meñ do ni tsiñee por xtitsaa jkots tiitskizh meñ do. 
MAT.5.12	Kol kle ni kol ko nguiool styoo do, por lëë Dios kizh lëë do tsiñee ktsiñ do kpaa. Siñee xsaksi gak meñ lëë do psaksi meñ kchë profet nii biid penaadle.
MAT.5.13	’Lëë do nak sinak sedy lo kislyu re. Per deelñee ksaan sedy xinxiyo, ¿xa kyak nxiyo stub? Lëëw ksyëëb porñee pa xkiiñtrew aan lëëw subniy kchë meñ nii xtyedy nëz.
MAT.5.14	’Lëë do nak sinak bini nii xsaani lo kislyu. Nak to sinak tu kyedzy nii nche tu kik kiy. Chilody tsolano. 
MAT.5.15	Ni nan gaa to nii xkëëdy meñ tu bini parñee kolan meño leñ tu cajón, sink lëë meñ xsoob bini go tu laañee ksaaniw lo kchë meñ nii sëëb leñ yu. 
MAT.5.16	Singo gak kaa lëë do kol ktee nii ksaani xbini do lo meñ, parñee tsiñee kan meñ kchësy cos buen nii chuuñtsyey do, stee meñ skizh lo Tat Tios nii sob kpaa.
MAT.5.17	Chëb Jesús lo meñ:
MAT.5.17	—Këbty to tsaaplaa lëën syely parñee knilastre to xley Moisés ni kchë nii bluuy profet nii pxaal Dios penaadle. Lëdyo gon, sink lëën syely parñee kuñno cumplir. 
MAT.5.18	Ni lëën xñe kaazhkaa lo do nii mentre bii no kpaa ni bii nche kislyu, kyaaldy ni tu letre ni ni tu punt nii kë lo xley Moisés. Kchësyo kak cumplir. 
MAT.5.19	Por ngo, kchë meñ nii xsaldy tu cos nii xñabey Dios, nikxe tu cos wiñsyew, ni deelñee xluuydy meñ lo xcombañer ksoob xtiits Dios, tsiñee lëë meñ go ktsiñ laañee xñabey Dios, lëë Dios ksyablyu meñ go. Per lëë meñ nii ksal kchë kchësy nii xñabey Dios ni kluuyo lo xcombañer, lëë Dios klisklaa meñ go laañee xñabey Dios. 
MAT.5.20	Por ngo, deelñee tsoxkody to nii kuñ do gan lo maestre ley ni lo meñ fariseo nii kuuñtsyey do nii xñabey Dios, tsitsiñdy tse nii sëëb to laañee xñabey Dios.
MAT.5.21	’Pe lëdy kayonle gaa to nii chëb Dios lo pxusykoltoo do: “Kujtyoo, por lëë meñ nii kuty saa bñech tsi lo xtisy.” 
MAT.5.22	Per naa nii xcuentaa, lëën xñe nii kchë meñ nii klëë lo xcombañer, lëë Dios ksaksi meñ go. Lëë kchë gaa meñ nii kxiñ tiits lo xcombañer, lëë xaa nii xñabey ksaksi meñ go. Per lëë meñ nii këb lo xcombañer: “Pa xkiiñdyoo”, lëë Dios kxaal meñ go lo ki nii chek linfiern.
MAT.5.23	’Por ngo, deelñee sol lo pkoog aan ksaladzyoo nii ngol falt lo xcombañeeroo, 
MAT.5.24	psaan nii sijkadyoo lo Dios lo pkoog aan kuknab perdón lo xcombañeeroo. Tsigolye schilo kpikcheel lo pkoog aan kokonoo nii sijkadyoo lo Dios.
MAT.5.25	’Deelñee xkëëkiy tu xaa lii aan chakladzy xaa tsikso xaa lii lo xtisy, kunee lo xaa lëë ka bii xteedyo tiits, porque deelñee kyaaboo ña xtisy, lëë xtisy këb lo mayor: “Kol ko xaa gue skiib”, aan lëë xaa ko lii skiib. 
MAT.5.26	Aan xsobaa nii kchoodyoo skiib axte nii kizhoo lal nii kñab xaa lool.
MAT.5.27	’Pe lëdy kayonle gaa to nii chëb Dios: “Tsonidyoo tsiil stu meñ.” 
MAT.5.28	Per naa nii xcuentaa lëën xñe nii cualquiersye tu xaa nii kan tu kwnaa aan ksya styoo xaa tsoni xaa me, nikxe nii beeñtsyeydy xaaw, tu tol le ngo beeñtsyey xaa.
MAT.5.29	’Singo tsigo busy, deelñee mëlool nii sob nëzli chuñ xtoloo, kwliiw aan psëëbo. Porque penakty nii kindy tu mëlool, lëjty nii chop mëlool sob aan kyeyoo linfiern. 
MAT.5.30	O deelñee gaa ñalil chuñ xtoloo, pchugo aan psëëbo, porque penakty nii sobty tu ñal, lëjty nii chop ñal sob aan kyeyoo linfiern.
MAT.5.31	’Ni kayonle gaa to nii chëb Dios: “Cualquiersye xaa nii ksëëb tsiil no nii ktee xaa tublë kitsy lo me nii lëë xaa blaa me.” 
MAT.5.32	Per naa nii xcuentaa lëën xñe nii deelñee klaa tu xaa tsiil aan pkaady me chop me stu mguiy lo xaa, lëë xaa xyub nii tsoni me stu mguiy. Aan cualquiersye xaa nii ktsiilña tu kwnaa nii psëëb tsiil le, lëë xaa chuuñtsyey tol.
MAT.5.33	’Ni kayonle gaa to nii chëb Dios lo pxusykoltoo do: “Tu cos nii pkonoo beeñtsyeyo.” 
MAT.5.34	Per naa nii xcuentaa lëën xñe nii por ni tu cos jkondy to Dios. Jkondy to por kpaa, porque siko sob Dios, 
MAT.5.35	ni jkondy to por kislyu, por lo kislyu xsyo niy Dios, ni jkondy to por kyedzy Jerusalén, porque Dios nak rey siko. 
MAT.5.36	Ni jkondy to Dios por kik to, porque ni tu kits kik to chilody kuuñ jkiitsy to o kuuñnyeesy kaa to. 
MAT.5.37	Tsiñee xñee do nii nli tu cos, ktsëëdy to lo xtiits to, tugak kol nee nliw. O deelñee gaa xñee do nlidyo, tugak kol nee nii nlidyo, ktsëëdy to lo xtiits to, por ndox nii ktsëë do lo xtiits to.
MAT.5.38	’Kayonle gaa to nii chëb Dios: “Deelñee kwii tu meñ mëlool, kwlii gak mëlo meñ go, o deelñee kwii tu meñ tu laayoo, kwlii gak tu lay meñ go.” 
MAT.5.39	Per naa nii xcuentaa lëën xñe nii deelñee no cho chakladzy ksaksi lii, psaan, o deelñee gaa kyaasy tu xaa kwesyoo, ptee wi stublad kwesyoo kyaasy xaa. 
MAT.5.40	Deelñee tsikso tu xaa lii lo xtisy parñee kla xaa xmaankwoo, blaa kla xaa wi xchakeetoo. 
MAT.5.41	Deelñee jkoy xoo tu xaa lii xyow xaa tu mily metre, biyo chop mily metre. 
MAT.5.42	Deelñee kñab meñ nii kteedyoo tu cos lo meñ singosy, pteedyo, ni jkaadyoo cos lo meñ nii xñabtiñ.
MAT.5.43	’Ni kayonle gaa to nii lëë pxusykoltoo do kwnee: “Pkëstyoo meñ nii ngui xñee lool, per ptilyni meñ nii xtilyni lii.” 
MAT.5.44	Per naa nii xcuentaa lëën xñe: Kol jkëstyoo meñ nii xtilyni lëë do ni kol nab nii kakni Dios meñ nii kënlaag lëë do, 
MAT.5.45	tsiin kak to xiñ Tat Tios nii sob kpaa. Por lëë xingbidz xaa xsaani lo meñ ngoptol ni lo meñ buen, ni lëë xaa xsyaab kyo par meñ nii chuñ kyalbuen ni meñ nii chuñ kyalmal. 
MAT.5.46	Ni tu pe kneesty Dios lo do deelñee xaktyee meñ nii ngui xñee lo do xkëstyoo do. Por singo gak chuuñtsyey kchë xaa yoox nii xtop tumi par kyeyo lo xtisy nii sob Roma. 
MAT.5.47	Deelñee xaktyee meñ nii xyuumbey do xkëëptyux to, pe nano. ¿Pe lëdy singo nayak chuuñtsyey meñ nii xnilasty Dios? 
MAT.5.48	Kol ksaan xtol do, porque nody xtol pxosy to nii sob kpaa.
MAT.6.1	’Kuñdy to kyalbuen laañee nche meñ parñee kanpee meño. Por ni tu pe kneesty Dios lo do singo mod. 
MAT.6.2	Por ngo, tsiñee jkadyoo tu cos lo meñ nii no lyaadzy, jkëëdyoo tsyetsy nii lëëw pkadyoo, sinak chuuñtsyey grol meñ leñ ktoo ni pal nëz parñee kakyetypee lë xaa nii lëë lëësy xaa buen. Por lëën xñe kazh nii ni tu pe kteejtre Dios lo xaa go. 
MAT.6.3	Singo tsigo busy tsiñee jkadyoo tu cos lo meñ nii no lyaadzy, per ni tu lo xamiigwoo kutiistylo. 
MAT.6.4	Tsilaan pkadyoo tsiin lëë Tat Tios nii chan kchë cos nii chuuñtsyeyoo tsilaan ktikche kyalnsaak ko.
MAT.6.5	’Tsiñee kutiitsni do Dios, kaktyoo sinak kchë meñ nii xsyoli leñ ktoo toon pere xñee, ni kakty to sinak meñ nii xsyo pal nëz parñee kanpee meñ meñ go. Por lëën xñe kazh nii ni tu pe kteejtre Dios lo meñ go. 
MAT.6.6	Per lëë lii tsiñee kutiitsnil Tat Tios, byo leñ liidzyoo aan psuugw chu puert aan bitiits chopsyoo Tat Tios. Aan lëë Tat Tios nii chan kchë cos nii chuuñtsyey tsilaanoo ktikche xkyalnsaakoo.
MAT.6.7	’Tsiñee kutiitsnil Dios, kseejtyoo tiits nii pa xkiiñdy. Kuuñtsyeydyoo sinak chuuñtsyey meñ nii xnilasty xtiits Dios. Xsyak meñ go nii por kchë nii xñee meñ go lëë Dios ksal meñ go. 
MAT.6.8	Kutiitsnidy to Dios sinak chuñ meñ go, por nanle Tat Tios pe cos xkiiñ do nikxe karty kñab tow. 
MAT.6.9	Sinrii no nii kutiitsni do Dios:
MAT.6.9	Tat Tios, lii nii soboo kpaa, xñab noo nii kchë meñ kuuñ ksak lii.
MAT.6.10	Ni xñab noo nii ktsiñ tse nii kñabeyoo lo kislyu sinak nii xñabeyoo kpaa.
MAT.6.11	Bneetsy nii tyaaw noo natse.
MAT.6.12	Beeñ noo perdón sinak nii chuuñ noo perdón meñ nii xko falt loo noo.
MAT.6.13	Klaadyoo jkaal xaatox lëë noo parñee kyaabty noo lo tol. Pteelaa lëë noo lo xaa.
MAT.6.14	’Deelñee xnityladzy to falt nii xko xcombañer do lo do, snityladzy Dios xtol do. 
MAT.6.15	Per deelñee knitylasty to xfalt xcombañer do, per ni Tat Tios nii sob kpaa knitylasty xtol do.
MAT.6.16	’Tsiñee kawdy to par kuuñ ksak to Dios, ksaa mbandy to lo do parñee kanpee meñ nii noyawdy to par kuuñ ksak to Dios. Por singo chuuñtsyey grol meñ ni lëën xñe kaazhkaa nii ni tu pe kteejty Dios lo meñ go. 
MAT.6.17	Per tsiñee kawdy to par kuuñ ksak to Dios, kol kiib lo do ni kol kooñ kik to 
MAT.6.18	parñee kyeñdy meñ nii karty kaw do porñee lëë do noyuuñ ksak Dios. Kol ktee nii Tat Tios sye kyeñ pe cos noyuuñtsyey do tsiin ktikche xaa xkyalnsaak to.
MAT.6.19	’Ktobty to tub yox cos lo kislyu, por lëëw kyëmëël ni lëë ngbaan gaa no. 
MAT.6.20	Sink kol tsoxko kuuñtsyey do nii jkiiñ lo do kpaa, por siko kindy nkwxog nii jkëëma cos ni kindy meñ nii xkwan. 
MAT.6.21	Parñee laañee tso gak nii chap to tso xkyalmbañ do.
MAT.6.22	’Nak mëlo do sinak tu bini nii xsaani leñ styoo do. Deelñee nxiñdy mëlo do tyub leñ styoo do nyaani. 
