MAT.1.1	Yesu Kristi azakwoyi aye nu nyi, Dauda nugun n Ibrahim yi.
MAT.1.18	Aɓo deye ɓa nu zhin gaiciya tu n Yesu Kristi mama ɓo. Yusufu nu ɓei zhin woi bwa owo ʼya Maryamu. Ama to ɓai gye ajen, a gye wo gni n nuboyi Zafun Gyi-gyi-yi nya. 
MAT.1.19	Sai owo nugun-yi, Yusufu, ntu ge wo ɓo zhin ɓe-fye-cezhi-yi nu, wa ye ntu ge wa ya wo fya, to wa dna wo vinyikwon.
MAT.1.20	Woye dna shawara zhin mi, Dagayi wa tnu n wo malaika yi n Yusufu aba, dna n nanu mi, wa gna woge, “Yusufu, Dauda nugun, to Iwo dna n Maryamu layi wa ze ho nyikwon, ntuge nubo n wo gni n cei nyi, Zafun Gyi-gyi-yi nya nu. 
MAT.1.21	Wo ɓa ma eɓi nugbayi, Ho ɓa tu wo ʼye ge Yesu, (okwa wyega ge ‘Zagniyi’) ntu ge wo nu ɓa gni waza nɓa alaifi.” 
MAT.1.22	Deye kwo ɓa nu Shekwoyi ɓeda n wo ɓei da nwo anabi ʼgbe:
MAT.1.23	“Wo! Ɓinyikwoi ɓa gni n nuboyi! Wo ɓa ma eɓi nugbayi, aɓa yi wo ʼye Immanuel” (watau “Shekwoyi kun-sun lo yi”). 
MAT.1.24	Shi Yusufu ɓo kun agyewyi, wa zhin shi malaika Dagayi nya ɓei gna wo, wa Maryamu la wa ze ʼwo nyikwo. 
MAT.1.25	Ama ɓa to ɓo gye ajen har wa eɓi nugbayi ma, Yusufu wa tuwo ye ge “Yesu.”
MAT.2.1	Aɓo ma Yesu n Baitalami nu, n. Yahudiya kni, dna n Hirudus begyi-sa. Nsahi, aɓeyekpeyi ɓai kun n nyipyei kpe bwa (akpasu-wyekayi), ɓaɓe Urushelima ɓai nyaɓo, 
MAT.2.2	“A Yahudawayi esu gni-na nna ma nyia? Ntuge yi ku gye owo kpasu n nyipyeyi kpe bwa, ya ɓe ya ga wo mwa-mwa nu.” 
MAT.2.3	Ɓenya yi konu, kwa dami nsu Hiridus yi har Urushelima vinya ai wo aɓedeye gbogbo. 
MAT.2.4	Wa ye a Yahudawayi adini a tukwo da zhi. Wa nya ɓa ge, “Anabi ɓo ku aba wu na ɓa ma Masifu?” 
MAT.2.5	Ɓa gna, “E, N Baitalami nu, ntu ge enya nu anabi Mika ɓei ka. 
MAT.2.6	‘O ezhi ɓiyi Baitalami nya, ho to zhin ezhi wyegbaci nya nu dna n Yahudan, ntu ge Gwamna ɓa gmi n ho nu wa gyi ebe tu n maza tukwo, a Israilayi’.”
MAT.2.7	Hiridus a pmi wa tnu ga aɓeye-kpei fya ge ɓa ɓe ɓa gye wo, wa nya ɓa esa ɓo nu ɓa gye kpasu cei. Wa gna ɓa ge, 
MAT.2.8	“Fye lo Baitalami fye zan ebi shin. N fya wo gye wye, fya ɓe fya gna mi ntu ge ma lo mi ga wo mwa-mwa ce.”
MAT.2.9	Shi a ɓo ku aɓo zo ɓa nya ɓa ku ka. Ho gye! Kpasu la je gmitu, n wu Baitalami. 
MAT.2.10	A daɓa n mwa! 
MAT.2.11	Shi ɓa ɓei lo nyakun mi ɓa gye eɓi n wo ʼya yi Maryamu, ɓa ya zhi ɓa ga wo mwa-mwa. Ɓa gu oɓa nyabwa ya, ɓa ga wo cauta, zinali, n tulale yi ɓedo n emi sundayi yi. 
MAT.2.12	Esa ɓa ɓo jeze lo ɓa kni, to ɓa lo Urushelima ɓa ga esu Hiridus nabarim, ntu ge Shekwoyi ɓo ku wu ɓa dna ena ge ɓa lo n zokwo do yi.
MAT.2.13	Shi ɓa ɓo ku lo, malaika Dagayi nya wa ɓe Yusufu aba dna ena nu, wa gna wo, “Laka ha la eɓi n wo ʼya yi ha busi lo Masar. Ho la dna bwayi har esa nmiɓa gna ho ge ho jeze ɓe, ntu ge esu Hiridus ye lo wa wu eɓi ye.” 
MAT.2.14	Dna sukwoyi wa laka wa la Maryamu ɓedo n ɓei yi ɓa lo Masar. 
MAT.2.15	Ɓa fi n bwayi har Hirudus wa fi. Ɓo Dagayi ɓei da n anabi gbe, kwa ku nu, nge, “Ma yi Mi Nugun n Masar.”
MAT.2.16	Shi Hiridus ɓo gye aɓeye-kpei to vi wo ɓedam, wa gyi minagyi. Wa tnu a soja, ɓa lo Baitalami nna zhi ɓiyi yi nge ɓa wu eɓi doho dohoyi n wo ʼye ɓei ku gun aba koi ɓe kni. Wo ɓo dna kwo ngye shi aɓeye-kpeyi ɓo gna wo ge ɓa ɓo ya kpasi gye ce yi nu. 
MAT.2.17	Hirudus hali nukwoyi deye ɓo ku ɓo nu n anabi Irimiya ɓeida,
MAT.2.18	“A wo begye n Rama ebwi nya n bugba wun dnagmayi yi, Rahila woi ci bwi ntu wo aɓi ɓo, to woi wo atnazhin ntu ge ɓa ku fi.”
MAT.2.19	Shi Hirudus ɓo la fi, malaika Dagayi nya wa ɓe Yusufu aba n Masar dna ena nu, 
MAT.2.20	Wa gna wo, “Laka ha la eɓi nwo ʼya yi ɓa je ze lo Israila kni, ntu ge aza n ɓa ɓo ye ɓa wu eɓi ye nyi, ɓa ku fi.”
MAT.2.21	Wa laka wa la eɓi n wo ʼya yi wa jeze lo a Israila yi ʼkni. 
MAT.2.22	Amma shi wo ɓo wo ge Akilos nu gyibe tu wo dada-Hirudus, wa wo dna to wa ye wa je lo ɓo m. Wa gwo pmagna n na nu, wa lo Galili ʼkni. 
MAT.2.23	Wa lo wa sase n ʼzhi ai yi kwo Nazarati. Deye kwa nu anabi ɓeda nge “A ɓei yi wo ge Nazarati yi.”
MAT.3.1	Ɓai ye fi n Nazarati, Yohanna Batisma zhinyi wa ya waʼazi zhin dna zhabui Yahudiya nya. Owo ɓeda tukwo nu ɓonyi cici, 
MAT.3.2	“Fye fa a laifi, fya pmi ɓe Shekwoyi aba ntu ge Shekwoyi ebe la ga ɓe.” 
MAT.3.3	Anabi Ishaya ɓo ku Yohanna tnu-tnu ɓo da aye n mwa begye kafin a mawo. Wa ka ge, “Mawwo begye n kalayi Idna n zhabui, ‘Zhin Dagayi zokwo aba, la zokwo cefye cewo n wo ɓa ɓe wa zan-zan tu’.”
MAT.3.4	Yohanna aje ɓo luluyi n lakumi jeyi nu, owo gigyi zun nya epa nu ɓei, woi pa n wo shin. Owo nyagyi ɓo zhin abigyi nu ɓedo n osu yi. 
MAT.3.5	Aza ɓai knu n Urushelima, n Yahudiya yi, n nazhi yi n ɓa she Urdun gnu, ɓai lo Yohanna aba n zhabui ɓai-wo wo waʼazi. 
MAT.3.6	Bai da ɓa alaifi woi zhin ɓa batisma n Urdun ela.
MAT.3.7	Ama shi wo ɓo gye a Farisiyi n Sadukiyi ɓai ɓe ntu ge azhin ɓa batisma, wa nya ɓa ɓo. “Efye awa aɓi! Nyika gna fye ge fye ɓa pwo Shekwoyi minagyi n kwo ɓelo nyi a? 
MAT.3.8	Kafin a zhin fye batisma, tile fya wu ge fye ku alaifi fa fyei zhin ɓe manayi. 
MAT.3.9	Fye to zhin shaula zhin ge fye kni-kniyi lo, ntu ge fye zhin a Yahudawayi Ibrahim aɓi m. Deye ta gni fye m. Shekwoyi n ikoyi lo wa zhin akuta ye ɓa ze a Yahudawayi. 
MAT.3.10	A la gbakun tu a zun shinwan doho-dohoyi ya n kwo to ga gyi-gyi m, a ɓa zun kwo ya a gyi ko ʼna.
MAT.3.11	“Aza n ɓa ye abui, mi zhin ɓa batisma n nuwan yi, ama ozado ɓe lo n wo du mi lo, owo abuada mi ta mi ma shin (mi ta mi ma la wo tnu-tnu m) owo nu ɓa zhin fye batisma n Zafun Gyi-gyi-yi ɓedo n ena yi. 
MAT.3.12	Wo ɓei gna awyi aje n akpalayi, wo gyi akpala ena n kwo ta shan wun, awyi ʼwo fi n wo dobui.”
MAT.3.13	Avun Yesu wa gmi n Galili wa ɓe Urdun ntu ge Yohanna wa zhin wo batisma. 
MAT.3.14	To Yohanna wa ye ntu ge wa zhin wo batisman, wa gna deye to wu lo dai-dai m, Emi nu ye batisma n ho aba.
MAT.3.15	Ama Yesu wa gna, “Suku, zhin mi, ntu ge tile nu ma zhin enya n kwo bmiya.” Yohanna wa ye wo batisma zhin ɓo sayi.
MAT.3.16	N sayi-sayi yi shi a ɓo zo Yesu batisma zhin, wa gmi ɓe n nuwan. Eshe kwa guya, Zafun Shekwoyi nya kwa ɓe ngye lukpe kwa ya tu n wo. 
MAT.3.17	Begye kwa gmi n ʼshe kwa gna, “Emi Nugun ye-yei nu nyi, owo nu n mi bwa gmada woyi.”
MAT.4.1	A Avun Zafun Gyi-gyi-yi wa lo n Yesu yi n zhabui ntu ge Shetan wa dna wo jaraba. 
MAT.4.2	A nyipyeyi shinyi asukwo shinyi to woi gyi nyahon, mikun kwa wo gun n mwa. 
MAT.4.3	Jaraba zhinhi wa ɓe wa gna, “Ngye ho zhin Shekwoyi Nugun nu, gna akuta ye ɓa ze nyagyi.”
MAT.4.4	Yesu wa gna wo ge, “Awo! Shekwoyi ɓeda gna yi ge nyagyi ta mi kwa gni aza wye-wyeyi m, sai dai ɓevi Shekwoyi ɓeda nya.”
MAT.4.5	Shetan wa la wo wa lo Urushelima n woi, wa tu wo n aduwa-nyakun tukwo. 
MAT.4.6	“Gye agna,” Shetan nu gna Yesu lonu, “ntu ge ha wu ge ho zhin Shekwoyi Nugun nu, ntu ge Shekwoyi ɓeda gna ge, ‘Shekwoyi ɓa tnu amalaika ɓa kna ho to ha wu ho hi m.’ Ɓa ɓa knaho to ha lu hohin ya n na pma m.”
MAT.4.7	Yesu wa gna wo, “Aku ka, to mwi ho Shekwoyi n naɓo gbolon.”
MAT.4.8	N jesun Shetan wa lawo wa lo woi n ʼpe yakwo tukwo, wa wu wo anyi ʼbe gbo-gbo, m ɓa bmiya-bmiya yi. 
MAT.4.9	“Miɓa ga ho ɓa vinya,” shetan nu da lonu, “Ndai ha yashi ha ga mi mwa-mwa.”
MAT.4.10	Yesu wa sagyi wo ge, “Lobwayi, shetan, Shekwoyi ɓeda gna, ‘Ga ho Dagayi Shekwoyi mwa-mwa, owo gmanyi nu n ho ɓavi woɓo.’ ”
MAT.4.11	Shetan wa lo wo nya, amalaika ɓe ɓa vi Yesu ɓo.
MAT.4.12	Esa Yesu ɓo wo ge ala Yohanna dna n kurkuku, wa fa Yahudiya ʼkni wa lo Nazarati n Galili ʼkni. 
MAT.4.13	Esa fyewyi wa lo Kafarnafum n wo vivi Galili nuwan-zundna yi vivi n Zebulun ɓedo Naftali yi. 
MAT.4.14	Deye ɓo ku ɓo nu n anabi Ishaya ɓo da:
MAT.4.15	“Zebulun ʼkni ɓedo Naftali ʼkni yi, vivi n nuwan-zundna yi, ekni nkwo mwakpa n Urdun yi, Galili sunbwa nya aba nu abyedo sase nyi, (ɓa ku ze aba agmada nya).
MAT.4.16	“Aza nɓa ɓei sase fi n wyegma ɓaku gye buzagna dnagmayi. Ɓa ɓo sase fi n ʼkni efi nya nu. Buzangna kwa kpeya da ɓa.”
MAT.4.17	Tunyi n sayi yi, Yesu wa ya waʼazi zhin, “Fye fa a laifi fya pmiɓe Shekwoyi aba, ntuge Shekwoyi ʼbe la wo vi.”
MAT.4.18	Nwyihoyi woi zan-zan vivi n nuwan gbe-wato Galili nuwan zundna, wa gye eza nwo mado yi Siman (aje wo yi ge Bitrus) ɓedo Andarawus yi ɓai fi n ʼya ɓai wan abmiya na sayi, ntu ge ɓa ɓo zhin abmiya wan yi nu.
MAT.4.19	Yesu wa yi ɓa, “Fye ɓe n gnisun n miyi miɓa wu fye shi fye ɓa wan aza.” 
MAT.4.20	Ɓa fa oɓa asa n sayi-sayi yi ɓa gni lo n woi.
MAT.4.21	Ɓa gyi abye fyewyi, wa gye azao ngun aba Yakubu n Yohanna yi n fi n ʼya n ɓa dada yi Zebedi, ɓai zhin asa aba, wa yi ɓa ge ɓa ɓe ce. 
MAT.4.22	N sayi-sayi yi ɓa fa ɓa tnu-tnu nɓa dada yi ɓa gni lo n woi.
MAT.4.23	Yesu wa zan-zan dna Galili ʼkni ivinya, woi wu aza dna n Yahudawayi aduwa-nyakun, woi zhin waʼazi Nabari Manayi nya ntu Eshe ʼbemi ɓo, woi ka anyasan yi doho-dohoyi pya gna. 
MAT.4.24	Nabari owo aɓo wowoyi zhin nya, kwa gnami to ge n Galili gmanyi n, har anyasanyi ɓai kun abai gbo-gbo, n nabai mwakpa ngye Suriya. Nyasan doho-dohoyi, kwo a zafun nukwoyi nu, kwo tukwo la ɓa gmiya, kwo nahinu n ɓai fifiyi-wa ka ɓa gna vinya. 
MAT.4.25	Aza yezhi n mwa begye ɓa viwo abaho-bahoi wa lo, aza ɓa kun n Galili, ɓedo azhi dnagmayi yi ngun awo, aza ɓa kun n Urushelima n Yahudiya yi har aza ɓai kun n Ur-dun kma.
MAT.5.1+MAT.5.2	 Nwyihoi aza-yezhi ɓa be, wa laka wa lo epe sepa n wo abara yi wa sase wa ya ɓa nya wu.
MAT.5.3	Wa gna, “Aza n ɓa gba ɓahim tukwo ɓa ku gode, ntu ge eshe ebemi zhin ɓa nya nu.” 
MAT.5.4	Aza nɓa n bugba zhi-zhiyi ɓa ku gode, ntuge a ɓa zhin ɓa atna. 
MAT.5.5	A hankuri zhin yi na tukwo gbayi yi ɓa ku gode ntu ge anyi vinya zhin ɓa nya nu. 
MAT.5.6	Agmada n aza aba n mikun gn ɓa, nuwan mikun yi wo ɓa n tu ɓefyece ɓo gama nubwo ɓei ku ɓa fu.
MAT.5.7	Agmada n aza aba n ɓa zhin ɓe manayi n sun-sun gye yi, ntu ge aɓa gye ɓahin sun-sun. 
MAT.5.8	Agmada n aza aba nɓa bugba gyi-gyi-yi, ntu ge ɓa ɓei gye Shekwoyi. 
MAT.5.9	Agmada n aza aba n ɓa zan bugbafu shin, aɓa yi ɓa ge Shekwoyi aɓi. 
MAT.5.10	Agmada n aza aba na ga ɓa wahala ntu ɓe manayi zhin ɓo, Eshe ebe mi zhin ɓa nya nu.
MAT.5.11	“Esa nu akpe fye aye nukwoyi, ai ga fye wahala, ai ce akata fi fye ntu ge fye zhin ma viyi nu-kwo bmiya lo. 
MAT.5.12	Fye zhin bugba bui-bui! A da fye, ntu ge lada dnagmayi shi lo kwoi pmi fye n ʼshe. Fye pa ge anabi kwo-kwoyi ɓo ku wahala sin lo nu ce.
MAT.5.13	“Fye nu zhin sankpegye anyi nya, N fya fye dada ya, kniyi nu ɓa zhin anyi a? Efyehin nkasun a ɓa ya fye a kpe fye apita ntu ge fye to ye napma yi lon. 
MAT.5.14	Fye nu zhin buzangna anyi nya-ezhi n kwo kpe n ʼpe koyi kna buzangna ya ga aza vinya ɓa gye. 
MAT.5.15+MAT.5.16	 Fye to so fye buzangna m. Fye fa kwa fun n aza vinya aba, n lonu ʼza ɓa gye efye atnu-tnu manayi ɓa la fye Dada tu n wo dna n ʼshe nyi.
MAT.5.17	“Mi ye fya kpe delili n kwa zhin miyi ɓe. Mi to ɓe ge ma wun Musa awa ɓedo anabi awyidnayi ya nun. Awo! Ma ɓe ntu ge ma nu ɓa, ma wu n jesun ge ɓa zhin gaiciya nu. 
MAT.5.18	N mi bugba yi vinya, Ma gna fye, owa doho-dohoyi kwo ɓa gyi abye lo nu har kwa nu oɓo na ye ce yi. 
MAT.5.19	Ntu ce nu ezaho-zahoyi, n wa zun wyidna ɓi-ɓiyi gna har wa wu azado lo nu, wo ɓa ze eza ɓiyi dna ebe eshe nya. Ama aza nu ɓa wu Shekwoyi awyidna ɓai shi ɓa bwa, ɓa nu ɓa ze aza dnagmayi dna ebe eshe nya.
MAT.5.20	“Ama ma pma fye gna sai efye aɓo manayi zhin ɓa du a Farisiyawayi nya n na Yahudawayi abyeda yi, n to lo nu n, fye ta mi fya lo eshe ebe m!
MAT.5.21	“Musa owa gna, ‘N ha wu eza, tile hafi n hohin’ 
MAT.5.22	Ama mi la nyado ɓe, ma gna fye, kwo n ha gyi minagyi dna n ho puwa, ho la lo owa. Ndei ha yi ho nugundo ge, tukwo gbolo da, ho la lo wahala n kwo knunce a lo hoi n owa bokun. Ndei ha tu eza ekni ho la lo wahala anapyi nya.
MAT.5.23	“Ntu cenu kwo ho gni n bagadi aba ntu ge ha ga Shekwoyi sadaka, ha pa ge eho nugundo n ɓohoyi dna lo n womi n hoi, 
MAT.5.24	Ha ho sadaka fa kpa, ha lo, fya ku eda zo, ha kpe Be ha ga ho sadaka. 
MAT.5.25	Zhin wolo-wolo ha zo ɓeda n ho nuwunyi yi kada walo n hoi na wadayi aba har a she ho ya dna n jalu. 
MAT.5.26	N ɓo nu n ho ɓa dna sai ho ku agyiwye zo gba shi a tu ho sun.
MAT.5.27	“Musa owa a gna ‘To zhin anagbayi m.’ 
MAT.5.28	Ama ma ci ge, ezaho-zahoyi n wa shi nyikwoza awye nna shaakpe wye y, wo ku anagbayi lu zhin n woyi dna wo bugba mi. 
MAT.5.29	Ntu ce nu, ndei oho wye kwo oho wye manayi nu n kwoyi-ɓa zhin ha wo shakpe, bikwo ya. Goma oho wye kwo wunya, n jdei nho ɓa lo anapyi n ho nayi vinya nyi. 
MAT.5.30	Ndei oho bwa-kwo bwai-zhe nu-ɓa zhin ho ha zhin laifi, ha zun kwo ya Goma n kwo zun-zun ya yi n doyi n ho ɓa lo anapyi n ho nayi vinya nyi.
MAT.5.31	“Musa owa gna ge, ‘Ndei ezaho-zahoyi ye wa gna ewo nyikwo ami, sai wa ga wo wasika amigna nya.’ 
MAT.5.32	Ama ma ci ge, eza n wa gna owo nyikwo ami, ndei anagbai zhin ɓo nu to n, wo la nyikoyi ho dna anagbai zhin. Eza n wa la wo, wo ku anagbai zhin.
MAT.5.33	“Musa owa kwa je da ge, ‘Ho ta bma ho alkawali ya n ha zhin ga Shekwoyi m, tile ha nu ɓa vinya.’ 
MAT.5.34	Ama ma ci ge, To zhin alkawali doho-doho yi m. Kwo ha ci ge, ʼN sheyi, kwo zhin alkawali gyi-gyi-yi nu n Shekwoyi aba, ntu ge eshe zhin Shekwoyi asese ba nu. 
MAT.5.35	Kwo hoi gna, ‘N nanyi yei deye kwo zhin nya-si nu, ntu ge anyi zhin owo apitakpe ba nu. To si nyasi n Urushelima yi m,’ ntu ge Urushelima zhin ezhi Esu dnagmayi nya nu. 
MAT.5.36	To si nya-si ha gna, ‘Nmi tukwo yi m,’ ntu ge ho ta mi ha zhin tukwoyi gmanyi kwa ze zhi-zhiyi kwo bui-bui m. 
MAT.5.37	Bwa ho nya ci ge, ‘E, nɓa zhin’ kwo ‘Awo, mi ta zhin m.’ Kwo la kun. N ha mi ho ɓeda gni n nyasi yi, kwo wu nu ge enya dna lo. 
MAT.5.38	Musa owa gna, ‘N eza bi ho ewye ya hohin ha bi wo nya ya. N nyikna nu, ha ka wo kpeya.’ 
MAT.5.39	Ama ma ci ge, To gba ɓe nukwoyi ta m. N eza ce ho epmi n na gnayi, ha wu wo bayi. 
MAT.5.40	Nna lo hoi na wada aba a eje gwo ho gmanyi, ha ku bayi ga. 
MAT.5.41	N soja gna ho ge ho la wa kaya ha lo cei mili gmanyi, lo n cei mili ngun aba. 
MAT.5.42	Eza n wa nya ho nya ɓo, ha ga wo, to ha bu aza si n ɓa ye ɓa ɓa ho nya m.
MAT.5.43	“Ɓeda lo ai ci ge, ‘Ye n ha nugundo yi, ha wun oho anuwun yi nu.’ 
MAT.5.44	Ama ma ci ge, ye nha nuwun-yi yi. Zhin aduwa ntu naza ɓo nɓa ga ho wahala! 
MAT.5.45	N fya zhin lo nu, kwo ɓa wu ge fye nu zhin aɓi a gaiciy da, efye Dada nya n wo dna n ʼshe nyi. Ntu ge wo zhin wa ga nyipyei buzangna n na za manayi aba ɓedo na za nukwoyi yi, wa je ɓa tnu n gmayi n na ba gmanyi.
MAT.5.46	“N fya ye naza yi nu n ɓa ye fye nyi, kni ɓemanayi nu shi lo ɓo a? Ntu ge a tna viyi zhin ɓa zhin lonu! 
MAT.5.47	Nfya bwa nugundo gyi n fya nugundo yi nu, fye shando lo na azaje yi nu? Aɓenayi bwa zhin lonu 
MAT.5.48	Ama kwo bmiya fya ze aza nunuyi, ngye shi efye Dada n wo dna n ʼshe nyi, wo zhin nunuyi nu.”
MAT.6.1	Yi zhin peceye. Yi to zhin aɓo manayi na za abye ntu ge ɓa ci yi m, n ya zhin lo nu, yi ta bwa lada n eyi Dada aba nwo dna nʼshe nyi m. 
MAT.6.2	Esa nu ha ga nyaɓayi cauta to dna ewyi m, shi akwoce dnayi zhin ɓai bye amwayi na aduwa nyakun, na zokwoyi ntu ge aza gye ɓe manayi n a zhin nyi! Gaiciya ma gna fye ɓa la oɓa lada pma gwo n ɓa ɓa bwa nyi. 
MAT.6.3	Ama esa nu ha zhin eza ɓemanayi, ha zhin kwo fiya to ye ge bwa pmi kwa kpe oɓo n bwaizhe zhin m. 
MAT.6.4	Efye Dada n wo kpe asigyi nyi, wo ɓa ga fye lada.
MAT.6.5	Ntu aduwa zhin ɓo, esa fya zhin aduwa, fye to zhin ngye a kwoce dnayin. Ɓa nu n a zhin aduwa na zokwo n aduwa nyakun yi, ntu ge aza gye ɓa. Gaiciya, oɓa lada nu n ɓa ɓa bwa gwo. 
MAT.6.6	Ama esa ha zhin aduwa, la lo dna nyakun, ha ku aba gu, ha zhin aduwa ga ʼho Dada fiya, oho Dada n wo kpe asigyi nyi, wo ɓa ga ho lada.
MAT.6.7+MAT.6.8	 To zhin, aduwa hoi da ɓo gmanyi-gmanyi, ngye shi aɓenayi zhin m. Ɓa gye ge aɓa wo ɓa aduwa ntu ɓeda gmanyi da ɓo nu cici. Pa ge oho Dada kpe nya yelo n ho ye, tunyi to hoi nya wo m.
MAT.6.9	Fye zhin aduwa ge “Eye Dada n ho dna eshe nyi ayi ho eye gyi-gyi-yi. 
MAT.6.10	Yi ye oho ebe kwa ɓe wolo. Fa azhin ho ɓeye dna nu anyi ye, ngye shi a zhin dna eshemi. 
MAT.6.11	Gayi nyagyi n jesun naiye ngye shi ho shin yi ga. 
MAT.6.12	Ha zhin yi alaifi gafara ngye shi yi zhin ɓa n ɓa zhin yi laifi nyi. 
MAT.6.13	To lo n yi n jaraba mi m, ama ha gniyi n Eza nukwoyi. Amin. 
MAT.6.14+MAT.6.15	 Efye Dada n wo dna eshe nyi wo ɓa zhin fye gafara ndei fya zhin azaje gafara, ama n fye to ye ɓa gafara zhin ɓo m, wohin ta zhin fye m.
MAT.6.16	“N sayi ntu azumi ɓo. Fye tna nyagyi-gyi ntu zafun ɓo. Fye to zhin kwo pei-pei m, ngye shi a kwoce- dnayi zhin ɓa wu ge ɓa n wahala yi lo, to ɓa so tukwo m, n nabai aza ci ɓa sun-sun. Gaiciya, lada nu n ɓa ɓa bwa. 
MAT.6.17	Ama esa n fye zhin azumi, fye ku aje manayi kpe. 
MAT.6.18	N nabai to zaho wa kpe ge mikun gun fye lom, sai efye Dada n wo kpe asigyi vinya nyi. Wo ɓa ga fye lada.
MAT.6.19	“Fye to so fye nyabwa shi nu anyi aba kwo ɓa wunya, ko avi awyi ko m. 
MAT.6.20	Ama fye so nya shi nʼshe aba kwo ta wunyam, aba na vi ta mi ɓa wyi m. 
MAT.6.21	Ndei efye nyabwa so shi lo nʼshe, efye bugba ɓa sun ɓo nu.
MAT.6.22	“N ho wye gyi-gyi-yi lo, aɓa gye buzangna n ho bugba mi. 
MAT.6.23	Ama n ho wye n cegyei lo na ɓo nuɓwozhin nukwoyi yi, ho dna lo n wyegma yakwo ntu zafun aɓo ɓo. Wyegma dnagmayi nu kuwa.
MAT.6.24	“Ho ta mi ha zhin a Dagayi ngun aba bauta m, watau Shekwoyi n na gyiwye yi. Tile haye n gmanyi yi, ha wun gmanyi nu.
MAT.6.25	“Emi shaula nu nyi, fye to saɓo n nya ɓo n fye ɓa gyi m, kwo fya sin, kwo fya kpem, Ntu ge fye n wye-wyei lo ɓedo n nayi, ɓa du anyagyi lo naje kpe yi. 
MAT.6.26	Fye dna alu wye! Ɓa to na ɓesa yi ntu ɓa nyagyi ɓo m, ɓa ta bye m, ai gna ɓa do ɓa so fi na dobu m. Efye Dada n wo dna nʼshe nyi, wo nu kpa ɓa. Fyehin kuwa wo gna sun lo n fya pmayi n du ɓa. 
MAT.6.27	Efya ɓesa ɓa ɓe fye wye-wyei kpa?
MAT.6.28	“Kniyi nu zhin fyei saɓo ntu aje ɓo a? Fye shi amamayi wye n bmana, ɓa ta saɓo ntu ɓa je ɓo m. 
MAT.6.29	Kwo Esu Solomon n wo mwa-mwa yi vinya, wo to kpe aje manayi ngye ɓa m. 
MAT.6.30	Ndei Shekwoyi lura na mamayi n sun lo nu, oɓa nu n ɓa lo naiye nsu ɓai zo, wo ta gna lura n fyei nu, o aza agaiciya ga gba-gbayi da?
MAT.6.31+MAT.6.32	 “Ntu cenu fye to saɓo ntu nyagyi ɓo n naje yin. Fye to zhin ngye awye-gma da m. Ntuge a mwa ɓahin tukwo n naɓo deye, har ɓai saɓo n mwa. Ama efye Dada kpe lo sarai anya n fye gyisan. 
MAT.6.33	Wo ɓa ga fye ɓa n bugba da yi, ndei fya wo nu shi na bye kpa, fyei zan-zan ngye shi wo ye fya zan.
MAT.6.34	“Ntu ce nu fye to saɓo ntu nsu ɓo m. Shekwoyi ɓa lura n koyi. Nyipyeyi doho-dohoyi nkwo aɓo yi.
