MAT.1.1	Jesukristo mräkä känekäne jrei Davikri amne Abrahamkri abko nere:
MAT.4.4	abko tä tikani Ngöbö Kukweibtä, niebare Jesukwe ie.
MAT.4.5	Yebti diablu nikani Jesu ngwena juta deme Jerusalén mda, känti nikani Jesu ngwena mobe ju blitakrä Ngöböbe bti käin, 
MAT.4.6	käkwe niebare ie:
MAT.4.6	Ma abko Ngöbö Odei era metre bkänä ne ngwane, ja täkete timon nete, ñobtä ñan angwane Ngöbö Kukwei tä tikani krörö mabtä:
MAT.4.6	Ngöbökwe angeletre juandi ma ngibiare abko käkwe ma kadi ngäbti kisete, ma ngoto ñan matadre jäte temen abkokäre, 
MAT.4.6	aisete ja täkete timon, ma abko Ngöbö Odei ara mikakäre gare ni jökräye, niebare diablukwe Jesuye.
MAT.4.7	Abtä Jesukwe niebare mda ie:
MAT.4.7	Ñakare. Ngöbö Kukwei tä tikani abko käta niere krörö arato:
MAT.4.7	Ni Dänkien Ngöbö käkwe ja kukwei mikadre täte ya, ñakare ya amne niara di tärä ja kukwei ngwiandre bare ya, ñakare ya abko makwe ñan nuate ja käne ja gakäre ben, 
MAT.4.7	abko tä tikani kore, aisete tikwe ñan ma kukwei mikai täte, niebare kwe diabluye.
MAT.4.8	Yebti mrä, ngitio bäri mente käin, yebti diablu nikani Jesu ngwena mda. Ye känti abko diablukwe juta kä jökräbti temen mikani tuadre Jesuye amne, jändrän ütiäte krikri juta kwatirekwatire te, ye abko mikani tuadre jökrä kwe arato ie. 
MAT.4.9	Bti niebare kwe ie:
MAT.4.9	Ma rabadi ngukudokwäbti temen ti ngwärekri käkwe ti mikadi ütiäte jae ne ngwane, tikwe juta se btä jändrän ütiäte krikri se biandi jökrä mae, niebare mda kwe Jesuye.
MAT.4.10	Abtä Jesukwe niebare ie:
MAT.4.10	Satana, nän mento nete, ñobtä ñan angwane Ngöbö Kukwei tä tikani abko käta niere krörö:
MAT.4.10	Ni Dänkien Ngöbö aibe mikadre ütiäte jae amne niara aibe kräke sribidre, 
MAT.4.10	abko nieta kore, aisete tikwe ñan ma kukwei mika täte, niebare mda kwe diabluye.
MAT.4.11	Angwane diablukwe kä mikaninkä Jesubtä, bti angele nükani ruäre abko namani Jesu die mike.
MAT.4.12	Yebti Juan Bautista kitani ngite kä teri gani Jesukwe angwane, Jesu nikaninta Galilea, 
MAT.4.13	akwa ñan namani nüne mda juta Nazarete, akwa nikani nüne juta Capernaúmte Ñö Okwä Kri Galilea köräbti. Ñö Okwä Kri Galilea, ye bäre temen abko Zabulón btä Neftalí mräkätre käkwe nünabare kira, känti juta Capernaúm nämane Jesu näire abko te Jesu nikani nüne. 
MAT.4.14	Kukwe niebare Ngöbökwe niara kukwei niekä Isaías köböire rabadre bare, abkokäre Jesu nikani nüne yete. Kukwe ye abko tä tikani krörö:
MAT.4.15	Kä Zabulónkwe amne kä Neftalíkwe abko tä Ñö Jordán kwärä nakriri amne tä Ñö Okwä Kri köräbäre.
MAT.4.15	Kä ye abko tä kä Galileate arato, känti nitre ñakare israelitare tätre nüne.
MAT.4.16	Nitre israelita ye abko nämane näin kä ikote, akwa ñotra trä kri dirare jatabare ietre.
MAT.4.16	Erere arato, niaratre nämane nüne kä ikote mento Ngöböye angwane, Ngöbö trä ngitianinkä ngwen kräke, kukwe metre Ngöbökwe mikakäre gare ietre, 
MAT.4.16	abko tä tikani Ngöbö Kukweibtä abko erere namani bare.
MAT.4.17	Kä ye ngwane mentokwäre Jesu nikani dirire, kä nikani niere krörö: Ngöbö kä käinbti kebera nüke gobrane nibti, aisete munkwe kukwe kämekäme kita temen, bti ja töi kwiteta Ngöbö kukwäre munkwe abko Jesu nikani niere kore.
MAT.4.18	Abti bati Jesu nämane dikekä Ñö Okwä Kri Galilea köräbäre angwane, ni ja etbare nämane nibu ñö köräbti, btä okwä namani. Ni ye abko iti kädian nämane Simón, akwa kädian nämane Pedro arato amne, etba kwe kädian nämane Andrés. Niaratre abko gwa gaka, aisete nämane krade kite ñöte, btä Jesu okwä namani. 
MAT.4.19	Angwane Jesu nikani känti, käkwe niebare ietre:
MAT.4.19	Mun brän tibe amne munta gwa gaen ño, ye kwrere tikwe mun mikadi ni ngwianka Ngöböye, niebare Jesukwe ietre.
MAT.4.20	Ye btäräbe, niaratre käkwe krade kitani temen, bti nikani Jesube.
MAT.4.21	Yebti Jesu nikani mda mentokwäre se kwrere angwane, ni ja etbare nämane nibu mda, btä okwä namani. Nitre ye abko iti kädian nämane Santiago amne etba kwe abko kädian nämane Juan. Niaratre nibu abko Zebedeo ngäbriänkä. Nitre nibu ye abko nämane rute rünbe krade gudike, btä Jesu okwä namani angwane, Jesukwe käräbare ja töitike jabe arato. 
MAT.4.22	Ye btäräbe niaratre käkwe ru amne rün mikaninte yete, bti nikani Jesube.
MAT.4.23	Abti Jesu nikani dikekä kä jökräbti temen kä Galileate angwane, Ngöbö kä käinbti kebera gobrane nibti abko nikani dirire sinagogate
MAT.4.24	Yebtä abko blita namani jökrä kä Siriate angwane, ni bren ño ño erere jänamani kite jökrä Jesuye. Erere arato, ni bren üai käme kisete jänamani nüke Jesuye amne kä nötöte nibti amne ni ruen ñakare ngrabare jänamani nüke jökrä Jesuye angwane, Jesu namani miketa kuinta jökrä. 
MAT.4.25	Yebtä abko, ni kwati nünanka kä Galileate juta ketareketare te Decápolite amne nitre Jerusalénbo btä ni nünanka kä Judeate amne ni nünanka Ñö Jordánbtä kä driri abko namani dikekä kwati Jesu jiebti.
MAT.5.1	Nitre namani dikekä kwati dikaro Jesube namani tuen ie angwane, nikani mintokwäre nebe ngitiobtä, känti namani täkänintbe temen. Angwane nitre ja töitikaka ben käkwe krötabare ken. 
MAT.5.2	Angwane Jesu nikani dirire krörö ietre:
MAT.5.3	Nire nire käta ja mike bobre Ngöböbtä, ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane Ngöbö kä käinbti tä gobrane bti.
MAT.5.4	Nire nire tätre ja müaire, ni ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane Ngöbökwe moto mikadita jäme.
MAT.5.5	Nire nire ñan tä bike kri ni mda mda okwäbti abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane Ngöbökwe kä temen ne biandi ie.
MAT.5.6	Mröta nebe krübäte nie amne tomna tä nebe krübäte nie, ye kwrere nire nire abko ie nüna metre Ngöbö ngwärekri ye mdei krübäte ie,
MAT.5.6	ni ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane Ngöbökwe mikadi nüne metre täte jökrä.
MAT.5.7	Nire nire abko ie ni mda mda tä nebe ruentari tare, ni ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane niara rabadi ruentari tare Ngöböye arato.
MAT.5.8	Nire nire käta ja töi ngibiare kuin deme, ni ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane niaratre käkwe Ngöbö tuadi.
MAT.5.9	Nire nire käta sribire ni mda mda mikakäre ja mäketa, ni ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane niaratre abko ja ngäbriänkä niedi Ngöbökwe ietre.
MAT.5.10	Nire nire käta nüne metre Ngöbökrä abtä tä ja tare nike, ni ye abko Ngöbökwe die mikadi amne kä rabadi nuäre btä, ñobtä ñan angwane Ngöbö kä käinbti tä gobrane bti.
MAT.5.11	Amne ni mdakwe ñäkä taretare munye amne mun mika ja tare nike amne tödekabtä tibti ni mda mdakwe kukwe käme nie ngwarbe bätäkä ngwarbe mun rüere, ye ngwane Ngöbökwe mun die mikadi amne kä rabadi nuäre munbtä. 
MAT.5.12	Mun raba ja tare nike kore angwane, munkwe kä ngwian bäri nuäre jabtä amne kä raba juto munbtä, ñobtä ñan angwane munkwe ja tare nikadi ye ütiäre abko Ngöbökwe jändrän kuin biandi munye kä käinbti sete. Munkwe kä ngwiandre nuäre kore jabtä arato, ñobtä ñan angwane nitre Ngöbö kukwei niekä kira abko rüe käkwe mikani ja tare nike kore arato.
MAT.5.13	Mdakäre abko, mren abko kuin ngri ngibiakrä amne jändrän mikakrä bänänte, ye kwrere mun abko mren kwrere kä nebtä, akwa bänän riadrekä rabadre tibo amne ñan bänän rabadreta mren kwrere. Mren bänän rabadre tibo, ye abko rikadre ngwarbe, aisete ñan rabadre kuin mda, aisete kitadrekä amne ni jökrä rabadre dikekä bti ta. Ne aisete mren bänän kuin ye kwrere munkwe ja ngibia, ni mda mda rabadre Ngöbö tuen munbtä abkokäre.
MAT.5.14	Mdakäre abko, ñotra träte käta nebe tuen nie kä ikote, ye kwrere munta ñotra trä kwrere kä nebtä amne juta mikata ngitio kribti käin, ye abko ñan raba ja rükente ni okwä bäre kä ikote, ye kwrere munta kä nebtä. 
MAT.5.15	Erere arato, ñotra jutra mikata angwane, mikata ñakare kaja täni, akwa mikata mobe üräbtä käin trä rabadre ngitie jökrä gwita temen, ni jökrä gwi, ie kä rabadre tuen abkokäre. 
MAT.5.16	Ye kwrere arato, munta nüne Ngöbö träte, ye rabadre tuen ni mda mdaye, abkokäre munkwe ja töi mika nüne era metre Ngöbökrä mun rabadre ñotra trä ye kwrere ni mda mda okwäbti amne, munkwe jändrän kuinkuin nuendre kore ni mda mda okwäbti, ye köböire abko jatadi mun Rün kä käinbti ye käikitekä siba.
MAT.5.17	Mdakäre abko, ti jatani nete, ye abko ñan Kukwe Biani Ngöbökwe Moiséye mikakäre ngwarbe. Erere arato, Ngöbö kukwei niekä mda mda käkwe Ngöbö Kukwei tikani ye abko ti ñan jatani mikakäre ngwarbe, akwa ti jatani kukwe ye mikakäre bare täte jökrä. 
MAT.5.18	Ye abko, ti bike kukwe era erere niere krörö munye: Kä käinta amne kä temen ne tädi kore angwane, tärä okwä bäri kiakia tä tikani Ngöbö Kukweibtä, ye abko ñan diandrekä jire chi kwati abti jändrän jökrä mikanintbe Ngöbökwe rabadi bare täte jökrä ie. 
MAT.5.19	Ne aisete, kukwe biani nuendre Ngöbökwe nie, yebtä kukwe bäri chi tä tikani abko nire nire ñan tä mike täte amne ni mda mda käkwe ñan mikadre täte abko dirita ietre arato, ne ngwane ni ye abko rabadi bäsi ütiäte ñakare kä käinbti, Ngöböta gobrane ye känti; akwa nire nire tä kukwe ye mike täte amne ni mda mdakwe mikadre täte arato abko tä dirire ietre, ni ye abko rabadi ütiäte kri kä käinbti sete, Ngöböta gobrane ye känti. 
MAT.5.20	Tita niere kore, ñobtä ñan angwane Kukwe Biani Ngöbökwe Moiséye dirikätre btä nitre bariseo tätre nüne ño, yebti ta munkwe ñan nünandre bäri era metre Ngöbö okwäbti ne ngwane, Ngöbö kä käinbti tä gobrane ye känti mun ñan rabadi nüne.
MAT.5.21	Mdakäre abko, mun mräkä kirakira abko ie Ngöbö Kukwei diribare krörö abko munkwe kukwei nuanina: Makwe ñan ni mda kämika, niebare ietre amne nire nire käta ni mda kämike abko dokwäre mikadre ja ngie nuen. 
MAT.5.22	Akwa ti abko käta niere krörö munye: Nire nire rabadre romon mräkäkrä, ye dokwäre Ngöbökwe mikadi ja ngie nuen. Nire nire abko käkwe “Ma ngwarbe, dokwä töi ñakare,” niedre kwe mräkäye, ye dokwäre abko järikadre ngite Sanedrin ngwärekri kukwe ükatekäre kräke. Amne nire nire käkwe niedre mräkäye: “Ma ngututu käme ngwarbe,” niedre kwe, ni ye abko rabadi mikani biare kitadre Ngöbökwe ñukwä jutrate kä ja tare nikakrä ye känti mräkä ye dokwäre.
MAT.5.23	Ne aisete, ma rika jändrän ngwena kukwadre Ngöböye ñukwä gräbti ja ngite ütiäre ju blitakrä Ngöböbe känti ne ngwane, ma rabara yete, ye btäräbe ma mräkä iti romon makrä, ye rükata töre mae, 
MAT.5.24	ne ngwane jändrän ye makwe mikate ñukwä grä ken yete, abti ma jana ja mäketa käne ma mräkäbe, bti ma jatata, käkwe jändrän ye bian kukwadre Ngöböye.
