MAT.1.1	អ្យា​នាវ​ងក៝ច​យៅ​អូ​ចែ​
MAT.1.25	តីស​មា​ពាង់​អេ​ហ៝ៈ​អោស​គែស​ឞិច​នទ្រែល​ឞូ​អូរ​ឞូ​ក្លោ​ដាស​អូរ​ពាង់​ត៝ត់​មា​អូរ​ពាង់​គុ​អ៝ស​ទូ​ហ្វេ​
MAT.2.2	ខាន់​ពាង់​អោប​ឞូ​តា​រី៖ “អាស​នតុក​ទែស​កាដាច់​មហែ​ផូង​
MAT.2.3	ត៝ត់​កាដាច់​
MAT.2.4	ជេសរី​ពាង់​រាគូម​មពោល​កោរាញ​ជាន​ឞ្រាស នទ្រែល​មា​ផូង​នើម​នតី​នាវ​វៃ​ផូង​
MAT.2.5	ជេសរី​ផូង​អី​នៃ​មឞើស​មា​កាដាច់៖ “នតុក​
MAT.2.6	«កោរាញ​ឞ្រាស​លាស៖
MAT.2.6	«ហើយ​ប៝ន​លាន​ប៝ន​
MAT.2.6	ប៝ន​ខាន់​អៃ​មៃ​មោ​អោស​ទី​ជេៈ​តា​ន៝ម់​ឞូ​ដាស​ប៝ន​ឞ្រី​
MAT.2.6	យ៝រ​លាស​ជឹត​នាប់​តៃ​គែស​ទូ​ហ្វេ​កោរាញ​លោស​តាៈ​ឞើស​ប៝ន​ខាន់​អៃ​មៃ‌
MAT.2.7	ជេសរី​កាដាច់​
MAT.2.8	ជេសរី​ដាៈ​មពោល​អី​នៃ​ហាន់​ជឹត​ប៝ន​
MAT.2.9	ជេស​អ្យាត់​នាវ​កាដាច់​មឞើស​នៃ ខាន់​ពាង់​លោស​ឞើស​ប៝ន​
MAT.2.10	ខាន់​ពាង់​រាម់​មអាក​លែៈ​ឞើស​នូយ្ស​ឞើស​នហ៝ម់​ងាន់​ឆៃ​មាញ់​លែៈ​គុ​តា​នៃ។ 
MAT.2.11	ជេសរី​ខាន់​ពាង់​លាប់​តា​ត្រោម​ជៃ
MAT.2.12	ជេសរី​ខាន់​ពាង់​ឆឹត​ជឹត​ឞ្រី​ទាក​ខាន់​ពាង់​នើម​រី ឆឹត​ជឹត​ត្រ៝ង​អេង យ៝រ​លាស​កោរាញ​ឞ្រាស​មឞើស​មា​ខាន់​ពាង់​តឹម​នាវ​មឞើយ មោ​អោស​អ៝ន់​ខាន់​ពាង់​ព្លឹ​មឞើស​មា​កាដាច់​
MAT.2.13	នទុត​ឆឹត​ខាន់​ពាង់​អា​រី គែស​តោង​ពារ់​តាៈ​ឞើស​កោរាញ​ឞ្រាស​ញហើ​ឆាក់​មា​
MAT.2.14	ជេសរី​
MAT.2.15	ខាន់​ពាង់​គុ​តា​ឞ្រី​អី​នៃ​ត៝ត់​ខឹត​កាដាច់​
MAT.2.16	ត៝ត់​មា​កាដាច់​
MAT.2.17	ប៝ន​
MAT.2.18	«គែស​នាវ​លឺ​ងគារ់​តា​ប៝ន​
MAT.2.18	ជេង​នាវ​ញហ្យាង់​ញុម​ក្រីត​រាង៝ត​ហោ​ងាន់‌
MAT.2.18	ញុម​វើល​យោៈ​នអាច​មា​ក៝ន​ពាង់។
MAT.2.18	ពាង់​មោ​អុច​អោស​ឞូ​ឞ៝ញ យ៝រ​លាស​ក៝ន​ពាង់​លែៈ​ខឹត​ជេស»។
MAT.2.19	ត៝ត់​កាដាច់​
MAT.2.20	“ហើយ​
MAT.2.21	ជេសរី​
MAT.2.22	តីស​មា​
MAT.2.23	ត៝ត់​តា​ឞ្រី​
MAT.3.1	ជេសរី​
MAT.3.2	“រាគ៝ល់​ហ៝ម់​នូយ្ស​នហ៝ម់​អ្យើស​ខាន់​អៃ​មៃ យ៝រ​លាស​នាវ​កោរាញ​ឞ្រាស​ម៝ត់​អ្វាញ់​លែៈ​ឞើយ​ត៝ត់”។
MAT.3.3	ពាង់​អី​នៃ​ឞូនុយ្ស​អី​គែស​ញចីស​តា​ឆ៝ម់បុត​
MAT.3.3	«គែស​ទូ​ហ្វេ​ឞូនុយ្ស​នតែរ​តា​ឞ្រី​រាទាស​លាស៖
MAT.3.3	«នទ្រាប់​ហ៝ម់​នូយ្ស​នហ៝ម់​អ៝ន់​មា​កោរាញ​ឞ្រាស
MAT.3.3	តឹម​ឞាន​មា​ឞូនុយ្ស​ក្វាយ្ស​ត្រ៝ង​ញឆ៝ង់​ត្រ៝ង​អ៝ន់​មា​កាដាច់​ហាន់»»
MAT.3.4	ល៝ង់​
MAT.3.5	នោក​នៃ​អ៝ក់​ឞូនុយ្ស​តា​ប៝ន​ក្វ៝ង់​
MAT.3.6	ខាន់​ពាង់​គឹត​ឆាក់​ខាន់​ពាង់​នើម​តីស​មឞើស​រ៝ ជេសរី​
MAT.3.7	ត៝ត់​មា​ឆៃ​វាច់​ផូង​
MAT.3.8	លាស​ខាន់​មៃ​មោ​អុច​កោរាញ​ឞ្រាស​តេៈ​ទោយ្ស លាស​នទ្រី​គុ​ឆ៝ង់​ជាន​អ្វែស​ហ៝ម់ គៃ​មា​គឹត​ឆៃ​នូយ្ស​នហ៝ម់​ខាន់​មៃ​លែៈ​រាគ៝ល់​ងាន់​រ៝។
MAT.3.9	លើយ​ហោម​លាស​អេង​តា​ឆាក់​ខាន់​មៃ​នើម៖ «គ៝ប់​លែៈ​ឆៅ​
MAT.3.10	អាបៃ​អ្យា​កោរាញ​ឞ្រាស​អុច​តេៈ​ទោយ្ស​មា​លែៈ​ឞូនុយ្ស​អី​មោ​ជាន​អ្វែស។ 
MAT.3.11	គ៝ប់​ជាន​បាប់តែម​អ៝ន់​ខាន់​មៃ​យុក​មា​ទាក​ទើម គៃ​មា​ញហើ​ខាន់​មៃ​លែៈ​រាគ៝ល់​នូយ្ស​នហ៝ម់​អ្យើស​ជេស។ យើន​មា​គែស​ទូ​ហ្វេ​
MAT.3.12	​តឹម​ឞាន​មា​ឞូនុយ្ស​ញអោត​ទោង គៃ​មា​រាឆែង​គុម​មព្រោស​លែៈ​ឞា​អី​គែស​តា​នតុក​
MAT.3.13	នោក​នៃ​
MAT.3.14	យើន​មា​ត៝ត់​តា​នៃ​
MAT.3.15	​លាស៖ “អាបៃ​អ្យា​អ៝ន់​មៃ​ជាន​ប៝ត់​ទោ គៃ​មា​ជាន​តឹម​ទី​ទាទេ​ដាស​នាវ​កោរាញ​ឞ្រាស​លែៈ​ដាៈ”។ ជេសរី​
MAT.3.16	ជេស​
MAT.3.17	ទោល​នៃ​គែស​តាង់​នតែស​ឞ៝រ់​តាៈ​ឞើស​កាលើ​ត្រោក​លាស៖ “អ្យា​
MAT.4.1	ជេសរី​ឞ្រាស​ហ្វេង​អ្វែស​លែវ​
MAT.4.2	​អ៝ត់​ឆោង​ឆា ៤០ នាង់ ៤០ នារ ឞើស​កើយ​នៃ​
MAT.4.3	ជេសរី​
MAT.4.4	យើន​មា​
MAT.4.4	«ឞូនុយ្ស​មោ​អោស​រេស​តាៈ​ឞើស​នទើ​ឆោង​ឆា​ទើម‌
MAT.4.4	រេស​តាៈ​ឞើស​ទឹង​លែៈ​នាវ​ងើយ​លោស​តាៈ​ឞើស​មឞូង​កោរាញ​ឞ្រាស»”។
MAT.4.5	ជេស​ឞើស​នៃ​កោរាញ​មពោល​ឞ្រាស​អ្យើស​អី​នៃ​លែវ​
MAT.4.6	ពាង់​លាស​មា​
MAT.4.6	«កោរាញ​ឞ្រាស​ដាៈ​មពោល​តោង​ពារ់​
MAT.4.6	គែស​ញចីស​ដ៝ង់៖
MAT.4.6	«តី​តោង​ពារ់​ទ្រើ​
MAT.4.6	មោ​អោស​អ៝ន់​ជ៝ង់​
MAT.4.8	ជេសរី​កោរាញ​មពោល​ឞ្រាស​អ្យើស​អី​នៃ​លែវ​
MAT.4.9	ពាង់​លាស​មា​
MAT.4.10	​លាស៖ “ហើយ​
MAT.4.10	«ដាៈ​ខាន់​អៃ​មៃ​យើក​មឞាស​មា​កោរាញ​ឞ្រាស​អី​
MAT.4.10	ជាន​ការ​អ្យាត់​នាវ​ទូ​ហ្វេ​
MAT.4.11	ជេសរី​កោរាញ​មពោល​ឞ្រាស​អ្យើស​អី​នៃ​ទូ​ឞើស​
MAT.4.12	ត៝ត់​
MAT.4.13	​ហាន់​តា​ប៝ន​
MAT.4.14	ពាង់​គុ​តា​នៃ​គៃ​មា​តឹម​ទី​ដាស​នាវ​ងើយ​
MAT.4.15	«អើ​ឞ្រី​មពោល​
MAT.4.16	ផូង​ប៝ន​លាន​តា​នៃ​ខាន់​ពាង់​តឹម​ឞាន​មា​គុ​តា​នាវ​ង៝ ក្លាច​មា​នាវ​ខឹត មោ​គែស​នាវ​រានើម‌
MAT.4.16	ខាន់​ពាង់​តឹម​ឞាន​មា​ឆៃ​នាវ​អាង​ទុត​ក្វ៝ង់ អាង​ងាន់ អ៝ន់​ខាន់​ពាង់​គែស​នាវ​រានើម​យ៝រ​មា​នទើ​អី​គែស​តា​ឞ្រី​ខាន់​ពាង់»
MAT.4.17	នតើម​ឞើស​នោក​នៃ​
MAT.4.18	គែស​ទូ​នារ​រី​
MAT.4.19	ជេសរី​
MAT.4.20	ទោ​មា​ឞារ​ហៃ​ខាន់​ពាង់​រី​នត្លើយ​ជាល​ព្រុង​តា​នៃ ជេសរី​តឹង​
MAT.4.21	ហាន់​ត៝ត់​អា​នាប់​
MAT.4.22	ជេសរី​ខាន់​ពាង់​នត្លើយ​ទូក នត្លើយ​ឞឹ​ខាន់​ពាង់​នើម​តា​រី ហាន់​តឹង​
MAT.4.24	ឞូ​លឺ​
MAT.4.25	ជេសរី​គែស​ឞូនុយ្ស​ផូង​អ៝ក់​តឹង​
MAT.5.1	ត៝ត់​
MAT.5.2	ជេសរី​
MAT.5.3	“អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​អី​លែៈ​គឹត​ជេស​ឞ្លាវ​ជាន​នទើ​អ្វែស​លាស​កោរាញ​ឞ្រាស​កើល​ទើម យ៝រ​លាស​កោរាញ​ឞ្រាស​ម៝ត់​អ្វាញ់​ខាន់​ពាង់
MAT.5.4	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​អី​គែស​នាវ​ញុម​រាង៝ត យ៝រ​លាស​កោរាញ​ឞ្រាស​មរា​ឞ៝ញ​លែង​ខាន់​ពាង់។
MAT.5.5	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​គែស​នូយ្ស​នហ៝ម់​មលែស យ៝រ​លាស​ខាន់​ពាង់​តៃ​ឆ៝ៈ​ទើន​ទឹង​លែៈ​នែស​នតូ។
MAT.5.6	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​នអើរ​ជ៝យ​នាវ​ឆ៝ង់​តឹម​ឞាន​មា​ឞូនុយ្ស​ជី​ង៝ត​ជី​ហីរ​ជ៝យ​នទើ​ឆោង​ឆា យ៝រ​លាស​កោរាញ​ឞ្រាស​មរា​អ៝ន់​ខាន់​ពាង់​ហើម​ងាន់​រ៝។
MAT.5.7	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​គែស​នាវ​យោៈ​មា​ឞូ យ៝រ​លាស​កោរាញ​ឞ្រាស​យោៈ​អ៝ន់​មា​ពាង់។
MAT.5.8	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​គែស​នូយ្ស​នហ៝ម់​ក្ល៝ស យ៝រ​លាស​ខាន់​ពាង់​តៃ​ឆៃ​កោរាញ​ឞ្រាស។
MAT.5.9	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​គឹត​តឹម​កើល​តឹម​រាង្លាប់ យ៝រ​លាស​ខាន់​ពាង់​ឞូ​ក្វាល់​តៃ​ជេង​ក៝ន​កោរាញ​ឞ្រាស។
MAT.5.10	អ្វែស​មអាក​ងាន់​មា​ឞូ​ម៝ស​ឞូ​ជាន​ជេរ​អាច​មា​ជាន​តឹង​នាវ​ឆ៝ង់ យ៝រ​លាស​កោរាញ​ឞ្រាស​ម៝ត់​អ្វាញ់​ខាន់​ពាង់។
MAT.5.11	អ្វែស​មអាក​ងាន់​មា​ខាន់​អៃ​មៃ លាស​ឞូ​រាក​ឆ្វាយ​ជាន​ជេរ នទ្រែល​មា​ងើយ​ញចើត​អាប់​នតីល​មា​ខាន់​អៃ​មៃ អាច​មា​អ្យាត់​តឹង​នាវ​
MAT.5.12	រាម់​ហ៝ម់ មអាក​រាម់​ហ៝ម់ យ៝រ​លាស​ខាន់​អៃ​មៃ​តៃ​គែស​នទើ​ងខោម​ក្វ៝ង់​តា​ប៝ន​អ្វែស​តា​កាលើ​ត្រោក។ អ៝ន់​កាស​គឹត ឞូនុយ្ស​នតើយ្ស​នាវ​ងើយ​កោរាញ​ឞ្រាស​កាល់​អែ​នើស​ឞូ​ជាន​ជេរ​កើត​អ្យា​ដ៝ង់”។
MAT.5.13	“ខាន់​អៃ​មៃ​តឹម​ឞាន​មា​ឞ៝ស​អ៝ន់​មា​ឞូនុយ្ស​តា​នែស​នតូ​អ្យា។ ឞ៝ស​ជេង​ទូ​នតីល​នទើ​តេៈ​ត្រាវ​មា​កាស​ងាន់ លាស​ឞ៝ស​អី​នៃ​មោ​ហោម​គែស​កាស មើម​ហោម​ឞ្លាវ​ជាន​គៃ​មា​អ៝ន់​ព្លឹ​កាស​ជឹត? លាស​នទ្រី​ឞូ​មអារ់​លើយ​ឞើស​ទីស ជេសរី​ឞូ​ជ៝ត​រាប្លាច​ទើម។
MAT.5.14	ខាន់​អៃ​មៃ​តឹម​ឞាន​មា​នាវ​អាង​មា​ឞូនុយ្ស​តា​នែស​នតូ​អ្យា តឹម​ឞាន​មា​ប៝ន​អី​ឞូ​ជាន​តា​កាលើ​យោក​មោ​អោស​ទើយ​ពោន​នទ៝ប់។
MAT.5.15	ឞូ​មោ​វៃ​អោស​មព៝ស​អុញ​ឆាគេង ជេសរី​កុប​លើយ​មា​នទ៝ស។ ឞូ​យោង​អុញ​ឆាគេង​អី​នៃ​តា​ងគ៝ង់ គៃ​មា​អាង​ទឹង​លែៈ​ឞូនុយ្ស​តា​ត្រោម​ជៃ​នៃ។ 
MAT.5.16	លាស​នទ្រី​នាវ​អាង​ខាន់​អៃ​មៃ​អ៝ន់​ងអាង​ហ៝ម់​ទឹង​លែៈ​ឞូនុយ្ស គៃ​មា​អ៝ន់​ឞូ​គឹត​ឆៃ​នាវ​អ្វែស​ខាន់​អៃ​មៃ​ជាន ជេសរី​ឞូ​រានេ​នាវ​ច្រេក​លើប​
MAT.5.17	“ទាន់​ខាន់​អៃ​មៃ​លើយ​តា​មឹន​អោស​
MAT.5.18	​លាស​នហេល​នានេៈ​ងាន់​មា​ខាន់​អៃ​មៃ លាស​ត្រោក នទ្រែល​មា​នែស​នតូ​អេ​ហ៝ៈ​លោច​អោស មោ​គែស​អោស​រ៝ស​ទូ​រាព្លៃ​រាឆ៝​តា​ឆ៝ម់បុត​នាវ​វៃ​អី​នៃ ទូ​នតីល​តា​រាព្លៃ​រាឆ៝​ទុត​ជេៈ​មោ​រ៝ស​ដ៝ង់ នាវ​កោរាញ​ឞ្រាស​ងើយ​អី​នៃ​ហោម​បាបើ​ត៝ត់​លោច​ទឹង​លែៈ។ 
MAT.5.19	ឞូ​ម៝ស​អី​ជាន​តីស​មា​ទូ​នតីល​នាវ​អី​ទុត​ជេៈៗ​តា​នាវ​វៃ​អី​នៃ ជេសរី​នតី​អ៝ន់​មា​ឞូ​ជាន​តឹង​កើត​ដ៝ង់ តា​នាវ​កោរាញ​ឞ្រាស​ម៝ត់​អ្វាញ់​តៃ​ឞូ​ក្វាល់​ពាង់​ជេង​ឞូនុយ្ស​ជេៈ​តា​ន៝ម់​ឞូ។ យើន​មា​ឞូ​ម៝ស​ជាន​តឹង​នាវ​វៃ​អី​នៃ ជេសរី​នតី​អ៝ន់​មា​ឞូ​ជាន​តឹង​កើត​ដ៝ង់ តា​នាវ​កោរាញ​ឞ្រាស​ម៝ត់​អ្វាញ់​តៃ​ឞូ​ក្វាល់​ពាង់​ជេង​ឞូនុយ្ស​ក្វ៝ង់​ងាន់។
MAT.5.21	“ខាន់​អៃ​មៃ​លែៈ​តាង់​ឞូ​លាស​មា​ផូង​អូ​ចែ​កាល់​អែ​នើស៖ «លើយ​អោស​ងខឹត​ឞូនុយ្ស»
MAT.5.22	យើន​មា​
MAT.5.23	លាស​នទ្រី​នោក​ខាន់​អៃ​មៃ​ញអោត​នទើ​ញហើរ​ហាន់​តា​ញីស​ជាន​ឞ្រាស​មា​កោរាញ​ឞ្រាស​តា​ញឆឺង​គុច​ពូរ​នទើ​ជាន​ឞ្រាស ត៝ត់​តា​នៃ​លាស​ខាន់​អៃ​មៃ​កាស​គឹត​ខាន់​អៃ​មៃ​គែស​ជាន​តីស​មា​អ៝ស​នោ​ខាន់​អៃ​មៃ‌ 
MAT.5.24	អ៝ន់​ខាន់​អៃ​មៃ​ព្រាប់​នទើ​ញហើរ​អី​នៃ​តា​នៃ​ប៝ត់ ជេសរី​ហាន់​ទាន់​នាវ​យោៈ​ល៝រ​ដាស​អ៝ស​នោ​ខាន់​អៃ​មៃ រី​មើ​ទឹង​ខាន់​អៃ​មៃ​ព្លឹ​ញហើរ​តៃ​នទើ​អី​នៃ​នើស។
MAT.5.25	អ៝ន់​ខាន់​អៃ​មៃ​តឹម​ទាន់​នាវ​យោៈ​ហ៝ម់​ដាស​ឞូនុយ្ស​អី​គែស​នាវ​ដាស​ខាន់​អៃ​មៃ​ទោល​ខាន់​អៃ​មៃ​ហោម​ហាន់​នទ្រែល​ពាង់​រ៝ៈ​ត្រ៝ង​ហាន់​តា​កោរាញ​ផាត​ទោយ្ស។ ក្លាច​លាស​ពាង់​ញជុន​ខាន់​អៃ​មៃ​អ៝ន់​មា​កោរាញ​ផាត​ទោយ្ស កោរាញ​ផាត​ទោយ្ស​ញជុន​ខាន់​អៃ​មៃ​អ៝ន់​មា​កោរាញ​នទ្រូង ជេសរី​កោរាញ​នទ្រូង​ក្រុង​ខាន់​អៃ​មៃ​តា​ត្រោម​នទ្រូង​រ៝។ 
MAT.5.26	​លាស​នហេល​នានេៈ​ងាន់​មា​ខាន់​អៃ​មៃ លាស​ខាន់​អៃ​មៃ​មោ​រឹង​អ៝ន់​ព្រាក់​មា​ឞូ ខាន់​អៃ​មៃ​មោ​អោស​ទើយ​លោស​ឞើស​នតុក​នៃ ឞ៝ល​លាស​ទូ​ឆេន​មោ​រ៝ស​ដ៝ង់”។
MAT.5.27	“ខាន់​អៃ​មៃ​លែៈ​តាង់​តា​នាវ​វៃ​ឞ៝ន់​លែៈ​ញចីស​លាស​កើត​នអា៖ «លើយ​តា​ល៝ម់​អូរ​ល៝ម់​ឆាយ»
MAT.5.28	យើន​មា​
MAT.5.29	លាស​នទ្រី​លាស​ត្រោម​មាត់​ឞើស​មា​ខាន់​អៃ​មៃ​លែវ​ជាន​តីស អ៝ន់​ខាន់​អៃ​មៃ​រាវែក​មអារ់​លើយ​ត្រោម​មាត់​អី​នៃ យ៝រ​លាស​អ្វែស​ដេៈ​លាស​ទើន​រ៝ស​ត្រោម​មាត់​ទូ​ទីង មា​ដាស​ទឹង​លែៈ​ឆាក់​ជាន់​ខាន់​អៃ​មៃ​ហោម​រឹង ជេសរី​ហាន់​តា​នទ្រូង​អុញ​នហ៝​រ៝។
MAT.5.30	លាស​តី​ឞើស​មា​ខាន់​អៃ​មៃ​លែវ​ជាន​តីស អ៝ន់​ខាន់​អៃ​មៃ​ក៝ស​មអារ់​លើយ​តី​អី​នៃ យ៝រ​លាស​អ្វែស​ដេៈ​លាស​ទើន​រ៝ស​តី​ទូ​ទីង មា​ដាស​ទឹង​លែៈ​ឆាក់​ជាន់​ខាន់​អៃ​មៃ​ហោម​រឹង ជេសរី​ហាន់​តា​នទ្រូង​អុញ​នហ៝​រ៝”។
MAT.5.31	“តា​នាវ​វៃ​ឞ៝ន់​លែៈ​ញចីស​លាស​កើត​នអា៖ «ឞូ​ម៝ស​អី​អុច​នត្លើយ​អូរ​ពាង់​នើម អ៝ន់​ពាង់​អី​នៃ​ជាន​ឆ៝ម់បុត​តឹម​នត្លើយ​ទើម​អ៝ន់​មា​អូរ​ពាង់ ជេសរី​ទើយ​នត្លើយ​អី​អូរ​ពាង់»
MAT.5.32	យើន​មា​
MAT.5.33	“ខាន់​អៃ​មៃ​លែៈ​តាង់​ឞូ​លាស​មា​ផូង​អូ​ចែ​កាល់​អែ​នើស៖ «លើយ​អោស​ត៝ន​មរោស អ៝ន់​ខាន់​អៃ​មៃ​ជាន​រឹង​ទឹង​លែៈ​នទើ​អី​ខាន់​អៃ​មៃ​លែៈ​ត៝ន​មា​កោរាញ​ឞ្រាស»។
MAT.5.34	យើន​មា​
MAT.5.35	លើយ​ដ៝ង់​ត៝ន​ដាស​នែស​នតូ យ៝រ​លាស​នែស​នតូ​អ្យា​ជេង​រានើល​ឆាប់​ជ៝ង់​កោរាញ​ឞ្រាស។ ដាស​ប៝ន​ក្វ៝ង់​
MAT.5.36	លើយ​អោស​ត៝ន​ដាស​ឞោក​ខាន់​អៃ​មៃ​នើម យ៝រ​លាស​ខាន់​អៃ​មៃ​មោ​ទើយ​អោស​ជាន​ទូ​មល៝ម់​ឆ៝ក់​ខាន់​អៃ​មៃ​នើម​អ៝ន់​ជេង​ងលាង អ៝ន់​ជេង​ក្រាក់។
MAT.5.37	អ៝ន់​ខាន់​អៃ​មៃ​ងើយ​ឆ៝ង់​នឹង​ហ៝ៈ «អើ» អ៝ន់​គឹត​លាស​«អើ»‌ «មោ» អ៝ន់​គឹត​លាស​«មោ»។ នទើ​នាវ​ងើយ​នត៝ប​ជេង​លោស​តាៈ​ឞើស​កោរាញ​មពោល​ឞ្រាស​អ្យើស​ទាទេ”។
MAT.5.38	“ខាន់​អៃ​មៃ​លែៈ​តាង់​តា​នាវ​វៃ​ឞ៝ន់​លែៈ​ញចីស​លាស​កើត​នអា៖ «លាស​រ៝ស​មាត់​ទូ​ទីង ព្លើង​អ៝ន់​រ៝ស​មាត់​ទូ​ទីង លាស​ទែស​ទូ​មល៝ម់​ឆេក ព្លើង​អ៝ន់​ទែស​ទូ​មល៝ម់​ឆេក​ដ៝ង់
MAT.5.39	យើន​មា​
MAT.5.40	លាស​ឞូ​នតោន​ខាន់​អៃ​មៃ​តា​នាប់​កោរាញ​ផាត​ទោយ្ស​គៃ​មា​កើញ​គែស​អាវ​គ្លែស​ខាន់​អៃ​មៃ អ៝ន់​ឞូ​ឆ៝ៈ​នអ៝ប់​មា​អាវ​ជ៝ង​ដ៝ង់។
MAT.5.41	លាស​តាហែន​ញច៝ប់​ខាន់​អៃ​មៃ​អ៝ន់​អាញ​នទើ​ឞ្រោៈ​ទូ​ន៝រ​យោក អ៝ន់​ខាន់​អៃ​មៃ​ឞ្រោៈ​ឞារ​ន៝រ​យោក​នទ្រែល​ឞូ​ទោ។ 
MAT.5.42	ឞូ​ម៝ស​ទាន់​នទើ​ខាន់​អៃ​មៃ ខាន់​អៃ​មៃ​អ៝ន់​ទោ លើយ​អោស​ទូ​ក្រាប​លាស​ឞូ​ហាន់​មាញ​នទើ​ខាន់​អៃ​មៃ”។
MAT.5.43	“ខាន់​អៃ​មៃ​លែៈ​តាង់​តា​នាវ​វៃ​ឞ៝ន់​លែៈ​ញចីស​លាស​កើត​នអា៖ «អ៝ន់​ខាន់​អៃ​មៃ​រ៝ង់​មា​ឞូ​ច្យៅ​មែង ជេសរី​ឞ្យាញ់​មា​ផូង​ជាន​អ្យើស​ដាស​ខាន់​អៃ​មៃ»
MAT.5.44	យើន​មា​
MAT.5.45	គៃ​មា​ខាន់​អៃ​មៃ​ជេង​ក៝ន​ងាន់​មា​កោរាញ​ឞ្រាស​ឞឹ​ខាន់​អៃ​មៃ​គុ​តា​កាលើ​ត្រោក​រី។ យ៝រ​លាស​កោរាញ​ឞ្រាស​អ៝ន់​នារ​លោស​អាង គៃ​មា​ងអាង​ឞូនុយ្ស​អ្វែស នអ៝ប់​មា​ឞូនុយ្ស​អ្យើស ជេសរី​
MAT.5.46	លាស​ខាន់​អៃ​មៃ​ទើន​រ៝ង់​ទើម​មា​ឞូនុយ្ស​រ៝ង់​ដាស​ខាន់​អៃ​មៃ លាស​នទ្រី​មើម​ទឹង​កោរាញ​ឞ្រាស​រានេ​អ៝ន់​នាវ​ងខោម​មា​ខាន់​អៃ​មៃ? យ៝រ​លាស​ឞូនុយ្ស​អី​ឞូ​កើប​ឞូនុយ្ស​តីស​កើត​លាស​ផូង​អី​ក៝ប់​ឆ៝ៈ​ព្រាក់​ប៝ន​លាន​គៃ​មា​អ៝ន់​កោរាញ​ម៝ត់​អ្វាញ់ ខាន់​ពាង់​ហោម​ឞ្លាវ​រ៝ង់​មា​ឞូនុយ្ស​អី​រ៝ង់​ខាន់​ពាង់​នើម​ដ៝ង់។ 
MAT.5.47	លាស​ខាន់​អៃ​មៃ​ទើន​រ៝ម​ទើម​មា​អ៝ស​នោ​ខាន់​អៃ​មៃ​នើម លាស​នទ្រី​មើម​ទឹង​ខាន់​អៃ​មៃ​ជាន​នទើ​អ្វែស​រាលាវ​ឞូ​អេង? ឞ៝ល​លាស​ផូង​អី​មោ​គឹត​នាល់​នាវ​កោរាញ​ឞ្រាស ខាន់​ពាង់​វៃ​ជាន​កើត​នៃ​ដ៝ង់។ 
MAT.5.48	លាស​នទ្រី​អ៝ន់​ខាន់​អៃ​មៃ​គុ​ទុត​អ្វែស​ហ៝ម់ យ៝រ​លាស​
