GEN.1.1	Sintinoo ga, Irkoy na beenaa nda gandaa taka. 
GEN.1.28	Woo banda ga, Irkoy na albarka daŋ i ra, a nee i se: «Wa hay, war ma cere hay ka boobo. Wa gandaa too, war mʼa laama. Teekoo hamiisaa, nda ciraw, nda adabba kul kaŋ ga ziilam-ziilam laboo ga, war ma tee i se jineboro.» 
GEN.1.29	Irkoy nee koyne: «Nga ne, subu kul kaŋ goo laboo ga kaŋ ga dumi tee, nda tuuri kul kaŋ ga ize nda dumi tee, ay gʼi noo war se, i ma tee war meehunaa. 
GEN.1.30	Gandaa adabba kul, nda ciraw kul, nda labukoy kul kaŋ ga ziilam-ziilam laboo ga, maanaa hundikoyni kul, ay gʼi noo subu firzoo kul, a ma tee ngi meehunaa.» Woo kaŋ a nʼa har tee. 
GEN.1.31	Irkoy na hayey kul laasaabu kaŋ a nʼi tee. A dii kaŋ i hanse ka boori. Cijin foo kaa, subbaahi foo kaa. Woo ti zaari idduwantoo.
GEN.2.1	Takaa woo nda beenaa, nda gandaa, nda haya kul kaŋ goo i ra takandi ka ben.
GEN.2.2	Jirbi iyyantoo hane takaroo goyoo kul kaŋ Irkoy nʼa tee ben, de mo jirbi iyyantoo din hane a hunanzam nga goyoo kul kaŋ a nʼa tee ra. 
GEN.2.3	A na albarka daŋ zaari iyyantoo ra kʼa yeeti jere ga, zama zaaroo din ra a hunanzam nga takaroo goyoo kul ra kaŋ a nʼa tee.
GEN.2.4	Woo ti beenaa nda gandaa takaroo fillaa.
GEN.2.4	Waatoo kaŋ Irkoy Abadantaa na beenaa nda gandaa tee, 
GEN.2.5	ba saaji tuuri kaccu foo sii laboo boŋ. Saaji dumari mo mana zay, zama Irkoy Abadantaa mana ncirɲi kaŋandi laboo boŋ jina. Boro mo sii no kaŋ ga laboo beeri. 
GEN.2.6	Amma harandaŋ ga tun laboo cire kaŋ ga laboo beeneheroo kul haŋandi. 
GEN.2.7	Labuhamni no Irkoy Abadantaa nʼa zaa laboo ra ka aru hanse jina, a duu ka hundi funsu niiney ra. Aroo tee hundikoyni.
GEN.2.8	Woo banda ga, Irkoy Abadantaa na saddiŋa duma gandaa ra kaŋ se i ga nee Edeŋ. Edeŋ woo sii kala waynahunay here. A na aroo kaŋ a nʼa hanse gorandi a ra. 
GEN.2.9	Irkoy Abadantaa na tuuri kul kaŋ nga gunayanoo ga boori zayandi laboo ra kaŋ ga ize hay kaŋ ga boori ŋaayan se. Saddiŋaa gamoo ra a na tuuriɲaa hinka zayandi: hunayan tuuroo nda tuuroo kaŋ ga boro noo lakkal ka ihenna nda ifutu kaa cere ra.
GEN.2.10	Isa foo fatta Edeŋ gandaa ra kaŋ ga saddiŋaa haŋandi. No din ra isaa haroo fay ka tee kabe taaci. 
GEN.2.11	Isa jinaa maaɲoo ti Pišoŋ, a ga gandaa kaŋ maaɲoo ti Hawila kul kuubi kʼa bere. Ganda no kaŋ ra wura goo. 
GEN.2.12	Wura alhakiikaa bara gandaa din ra. Deeli dumi kaŋ maaɲoo ti bedeliyom nda tondoo kaŋ maaɲoo ti oniks mo goo a ra. 
GEN.2.13	Isa kabe hinkantoo maaɲoo ti Gihoŋ, a ga gandaa kaŋ maaɲoo ti Kuš kul kuubi kʼa bere. 
GEN.2.14	Isa hinzantoo maaɲoo ti Tigir. Nga ti haroo kaŋ ga zuru Asiri gandaa se waynahunay here. Isa taacantoo maaɲoo ti Efrat.
GEN.2.15	Irkoy Abadantaa na aroo zaa kʼa gorandi saddiŋaa ra hala a mʼa beeri, a mʼa hawgay. 
GEN.2.16	Irkoy Abadantaa na aroo noo yaamar ka nee a se: «Tuuri kul kaŋ goo saddiŋaa ra, nʼga hin ka izey ŋaa, 
GEN.2.17	kala tuuroo kaŋ ga boro noo lakkal ka ihenna nda ifutu kaa cere ra. Tuuroo din, masi izoo ŋaa, zama han kul kaŋ nʼnʼa ŋaa, šikka sii nʼga buu.»
GEN.2.18	Irkoy Abadantaa nee nga boŋ se: «A si boori aru ma cindi nga foo. Ay ga faabakaw tee a se, nga cine hangasine.» 
GEN.2.19	Irkoy Abadantaa kaŋ na labu zaa ka ganjihooga kul nda ciraa kul hanse, a nʼi ka koy aroo do hala nga ma dii maaɲey kaŋ a gʼi daŋ i ga. Hundikoyni kul maaɲoo kaŋ aroo nʼa noo a se, nga nda a ga ciyandi. 
GEN.2.20	Aroo na maa daŋ adabba kul ga, a daŋ ciraa kul ga, a daŋ ganjihooga kul ga. Amma a mana duu i ra faabakaw kaŋ ga tee a se nga cine hangasine.
GEN.2.21	Irkoy Abadantaa na aroo kaŋandi jirbi koma ra. Kaŋ aroo goo ma jirbi kul, Irkoy na aroo caraw birey affoo kaa, de a na bašoo yeeti dogoo ra. 
GEN.2.22	Irkoy Abadantaa na caraw biriyoo kaŋ a nʼa kaa aroo ra bere kʼa tee woy kʼa ka koy aroo do. 
GEN.2.23	Kaŋ aroo dii a kul, a kaati ka nee:
GEN.2.23	«Nhuu, woo ti hamoo kaŋ hun ay hamoo ra,
GEN.2.23	kuroo kaŋ hun ay kuroo ra.
GEN.2.23	Woo, maaɲoo kaŋ ga huru a ga, ti ‹woy›,
GEN.2.23	zama aru ra a hun.»
GEN.2.24	Woo ka kate, aru ma hun nga ɲaa nda nga baaba do ka denji nga wandoo ga, de i ga tee gaaham folloku.
GEN.2.25	Ihinkaa kul, aroo nda nga wandoo, cindi gaa koonu bila nda i ma haw.
GEN.3.1	Ganjihoogawey kul kaŋ Irkoy Abadantaa nʼi tee, gondi caram ka bisa i kul. Gondoo na woyoo hãa ka nee: «Cimi da no kaŋ tuuri kul kaŋ goo saddiŋaa ra, Irkoy nee war masi izoo ŋaa?» 
GEN.3.2	Woyoo tuuru gondoo se ka nee: «Tuuri kul kaŋ goo saddiŋaa ra, ir ga hin ka izoo ŋaa. 
GEN.3.3	Amma tuuroo kaŋ goo saddiŋaa gamoo ra, Irkoy nee ir se kaŋ ir masi izoo ŋaa, ir masi ba tuku a do nda ir si baa ir ma buu.» 
GEN.3.4	Gondoo nee woyoo se: «Kalaa, kalaa! War si buu baffoo. 
GEN.3.5	Hayaa kaŋ no manʼti kala Irkoy ga bay kaŋ han kaŋ war nʼa ŋaa war moɲey ga hay. War ga tee sanda nga, war ga ihenna nda ifutu kaa cere ra.»
GEN.3.6	Woyoo dii kaŋ tuuroo izoo ga boori ŋaayan se. Nga gunayanoo ga boori, de mo boro ga alhawa a se, zama lakkal no a ga noo. A na tuuroo ize foo kosu, a nʼa ŋaa. Nga banda ga, nga kurɲoo kaŋ goo a bande, a nʼa noo, de nga mo nʼa ŋaa. 
GEN.3.7	Dogoo din da ngi boro hinkaa kul lakkaley zunbu ka bay kaŋ gaa koonu no ngi goo. I na jeejay fitayaŋ kaa kʼi daŋ-daŋ cere ga, i ma tee lenpe ngi affoo kul se.
GEN.3.8	Aroo nda woyoo maa Irkoy Abadantaa cee jindoo kaŋ goo ma dira-dira saddiŋaa ra waatoo kaŋ cijinoo hew baanaa ga fara. I koy tugu Irkoy Abadantaa se saddiŋaa tuurey gamey ra. 
GEN.3.9	Amma Irkoy Abadantaa na aroo cee, a nʼa hãa ka nee: «Man ra nʼgoo?» 
GEN.3.10	A nʼa zaabi ka nee: «Ya nka maa ni cee jindoo saddiŋaa ra, ay hunbur, zama ay goo gaa koonu. Woo se ay koy tugu.» 
GEN.3.11	Irkoy Abadantaa nee aroo se: «May ka ni bayrandi kaŋ nʼgoo gaa koonu? Ni nka tuuroo izoo ŋaa kaŋ ay na ni yaamar masʼa ŋaa?» 
GEN.3.12	Aroo nʼa zaabi ka nee: «Woyoo kaŋ nʼnʼa noo ya ne, nga kʼay noo tuuroo izoo, woo ka kate yʼa ŋaa.»
GEN.3.13	Irkoy Abadantaa nee woyoo se: «Cin ti woo kaŋ nʼnʼa tee?» Woyoo nʼa zaabi ka nee: «Gondoo kʼay darga, woo ka kate yʼa ŋaa.»
GEN.3.14	Irkoy Abadantaa nee gondoo se:
GEN.3.14	«Woo kaŋ nʼnʼa tee sabbu se,
GEN.3.14	nʼga laali adabba kul
GEN.3.14	nda ganjihooga kul gamey ra.
GEN.3.14	Hõ banda ga, ni gundoo ga nʼga dira,
GEN.3.14	labuhamni no nʼga ŋaa ni hunaroo kul ra.
GEN.3.15	Ay ga iberitaray daŋ ni nda woyoo game,
GEN.3.15	ay gʼa daŋ ni hayroo nda nga hayroo game.
GEN.3.15	A ga ni boŋoo motti,
GEN.3.15	ni mo ga ceekoroo motti.»
GEN.3.16	A nee woyoo se:
GEN.3.16	«Ay ga farayan boobo tonton ni alhaamidutaraa hottaa ga.
GEN.3.16	Kala hottay hala nʼga hay.
GEN.3.16	Ni kurɲoo se nʼga alhawa,
GEN.3.16	amma nga no ma ni juwal.»
GEN.3.17	A nee aroo se: «Nʼna haŋajer ni wandoo se, de mo nʼna tuuroo izoo ŋaa kaŋ ay na ni yaamar masʼa ŋaa,
GEN.3.17	woo se laboo ga laali ni maaganda se.
GEN.3.17	Farayan nda nʼga duu ni meeŋaaroo
GEN.3.17	ni hunaroo kul ra.
GEN.3.18	Karji nda ngorfu ga zayandi ma ne.
GEN.3.18	Nʼga dumarey ŋaa
GEN.3.18	kaŋ ga zay saajey ra.
GEN.3.19	Ni sungaa ra nʼga duu ni meeŋaaroo
GEN.3.19	hala ma yee laboo
GEN.3.19	kaŋ ra ni zandi,
GEN.3.19	zama labu ti ni,
GEN.3.19	de mo laboo ra nʼga yee.»
GEN.3.20	Aroo kaŋ maaɲoo ti Adama
GEN.3.21	Irkoy Abadantaa na kuuru bankaarayyaŋ tee Adama nda nga wandoo se kʼi daŋ i ga. 
GEN.3.22	Woo banda ga, Irkoy Abadantaa nee: «Sohõ kaŋ boraa tee sanda ir kaŋ ga ihenna nda ifutu kaa cere ra, ir ma hawgay a masi deebe ka hunayan tuuroo izoo kosu kʼa ŋaa ka huna hala abada.» 
GEN.3.23	Irkoy Abadantaa nʼa fattandi Edeŋ saddiŋaa ra hala a ma koy laboo beeri kaŋ ra a zandi. 
GEN.3.24	A nʼi gaaray i ma koy taray. A na almalaykayaŋ kaŋ se i ga nee šeribey nda takuba kaŋ ra nuune ga fatta kaŋ ga bere-bere, gorandi Edeŋ saddiŋaa waynahunay kaboo ga hala i ma borey ganji i ma koy hunayan tuuroo do.
GEN.4.1	Adama gorokasinay nda nga wandoo Haawa. Woyoo tee alhaamidu, a na ize daŋ aduɲɲa ra kaŋ maaɲoo ti Kabila
GEN.4.2	Woo banda ga, a yee ka ize daŋ aduɲɲa ra kaŋ maaɲoo ti Habila
GEN.4.3	Waatiyaŋ banda ga, Kabila na faari-izeyaŋ tee sargari Abadantaa maaɲoo ga. 
GEN.4.4	Habila, nga mo, kate nga almanoo gunde jinawey, de a na ham henney noo a se. Habila nda nga sargaroo kan Abadantaa se. 
GEN.4.5	Amma Kabila nda nga sargaroo mana kan a se. Kabila hanse ka futu hala ndumoo nka bibi cere ra. 
GEN.4.6	Abadantaa nee Kabila se: «Macin se nʼga futu, macin se nʼga bibandi? 
GEN.4.7	Nda nʼna taka henna tee kaŋ ga hima, nʼga ni boŋoo jer! Amma nda mana taka henna tee, zunuboo ga daaru ni hugoo miɲoo ga. A ga alhawa nga ma duu ni, amma ni, ma hin a!»
GEN.4.8	Kabila na šenni fur nga armaa Habila ga kaŋ ngi ma koy hawsaa ra. Waatoo kaŋ i too hawsaa ra, a sar ka gum Habila ga, a nʼa wii. 
GEN.4.9	Kaŋ woo tee, Abadantaa na Kabila hãa ka nee: «Man ni armaa Habila?» A nʼa zaabi ka nee: «Ay si bay. Ni nka maa agay no mʼay armaa lakkal wala?» 
GEN.4.10	Irkoy nee a se: «Cin ti woo kaŋ nʼnʼa tee? Ni armaa kuroo na ni wurru za laboo ga hala ay do. 
GEN.4.11	Sohõ nʼga laali, de laboo ga garsaka ma ne, nga kaŋ na ni armaa kuroo haŋ kaŋ ni kaboo nʼa doori. 
GEN.4.12	Nda nʼna laboo beeri, nʼsi duu nga albarkaa. Nʼga tee soomasoomante kaŋ ga windi-windi aduɲɲa ra.»
GEN.4.13	Kabila nee Abadantaa se: «Ay zukandoo ga hanse ka tiŋ ya ne. 
GEN.4.14	Nga ne, hõ nʼnʼay gaaray kʼay kaa laboo ga. Ay ga hima ka tugu ma ne. Ay ga tee soomasoomante kaŋ ga windi-windi aduɲɲa ra. Boro kul kaŋ duu agay gʼay wii.» 
GEN.4.15	Abadantaa nʼa zaabi ka nee: «Boro kul kaŋ na ni wii, ga zukandi cee iyye ka faasa ma ne.» Woo banda ga, Abadantaa na tammaasa daŋ Kabila ga hala boro kaŋ dii a masʼa wii. 
GEN.4.16	Kabila hun Abadantaa jine, a koy goro gandaa kaŋ se i ga nee Nodu kaŋ goo Edeŋ se waynahunay.
GEN.4.17	Kabila gorokasinay nda nga wandoo. Woyoo tee alhaamidu, a duu nga boŋ, izʼaroo maaɲoo ti Henok. Kabila na koyra foo gorandi. A na koyraa maaɲoo daŋ Henok kaŋ ti nga izʼaroo maaɲoo. 
GEN.4.18	Henok ti Irad baaba, Irad ti Mehuyahel baaba, Mehuyahel ti Metušahel baaba, Metušahel ti Lemek baaba.
GEN.4.19	Lemek hiiji wande hinka. Ijinaa maaɲoo ti Ada, ihinkantoo ti Sila. 
GEN.4.20	Ada na Yabal hay. Kurkey kaŋ goo hukkumey cire saajoo ra kaagʼaroo ti Yabal. 
GEN.4.21	Yabal kaynʼaroo maaɲoo ti Yubal. Yubal woo, nga ti kurbukarkey nda laatikarkey kaagʼaroo. 
GEN.4.22	Sila mo na ize foo daŋ aduɲɲa ra kaŋ maaɲoo ti Tubal-Kayeŋ. Tubal-Kayeŋ no ma alhan nda guuru deŋyan dumi kul tee. Nga woymaa ti Naama. 
GEN.4.23	Lemek nee nga wandey se:
GEN.4.23	«Ada nda Sila, wa maa ya ne!
GEN.4.23	Lemek wandey, wa haŋajer ay šennoo se!
GEN.4.23	Boro kaŋ nʼay maray, ay gʼa wii.
GEN.4.23	Zankaaru kaŋ nʼay kar, ay gʼa wii.
GEN.4.24	Kabila ga faasandi cee iyye,
GEN.4.24	Lemek cee woyye cindi iyye (77).»
GEN.4.25	Adama yee ka duu nga wandoo ga izʼaru foo kaŋ Haawa na maaɲoo daŋ Seti (maanaa «sufuray»), zama a nee: «Irkoy yee ka doonandi ya ne izʼaru kaŋ yee Habila dogoo ra kaŋ Kabila nʼa wii.» 
GEN.4.26	Seti mo duu izʼaru foo kaŋ a na maaɲoo daŋ Enoš. Zamanoo din ra, borey sintin ka Abadantaa maaɲoo cee.
GEN.5.1	Adama hayroo taarikoo ne. Hanoo kaŋ Irkoy na boro taka, a nkʼa tee a ma hima nda nga. 
GEN.5.2	Hanoo kaŋ Irkoy na aru nda woy taka, a na albarka daŋ i ra, a na maaɲey daŋ «boro».
GEN.5.3	Waatoo kaŋ ra Adama too jiiri zangu nda waranza (130), nga no a duu izʼaru foo sanda nga cine. Nga himakasinaa no. Maaɲoo kaŋ a nʼa daŋ a ga ti Seti. 
GEN.5.4	Seti hayyanoo banda ga, Adama huna jiiri zangu yaaha (800). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.5	Adama duu jiiri zangu yagga nda waranza (930) aloomur jina, a faati.
GEN.5.6	Waatoo kaŋ Seti duu jiiri zangu nda igguu (105), a na Enoš hay. 
GEN.5.7	Enoš hayyanoo banda ga, Seti huna jiiri zangu yaaha nda iyye (807). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.8	Seti duu jiiri zangu yagga nda iwoy cindi hinka (912) aloomur jina, a faati.
GEN.5.9	Waatoo kaŋ Enoš duu jiiri woyyagga (90), a na Kenaŋ hay. 
GEN.5.10	Kenaŋ hayyanoo banda ga, Enoš huna jiiri zangu yaaha nda iwoy cindi guu (815). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.11	Enoš duu jiiri zangu yagga nda igguu (905) aloomur jina, a faati.
GEN.5.12	Waatoo kaŋ Kenaŋ duu jiiri woyye (70), a na Malalel hay. 
GEN.5.13	Malalel hayyanoo banda ga, Kenaŋ huna jiiri zangu yaaha nda woytaaci (840). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.14	Kenaŋ duu jiiri zangu yagga nda iwoy (910) aloomur jina, a faati.
GEN.5.15	Waatoo kaŋ Malalel duu jiiri woydu cindi guu (65), a na Yered hay. 
GEN.5.16	Yered hayyanoo banda ga, Malalel huna jiiri zangu yaaha nda waranza (830). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.17	Malalel duu jiiri zangu yaaha nda woyyagga cindi guu (895) aloomur jina, a faati.
GEN.5.18	Waatoo kaŋ Yered duu jiiri zangu nda woydu cindi hinka (162), a na Henok hay. 
GEN.5.19	Henok hayyanoo banda ga, Yered huna jiiri zangu yaaha (800). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.20	Yered duu jiiri zangu yagga nda woydu cindi hinka (962) aloomur jina, a faati.
GEN.5.21	Waatoo kaŋ Henok duu jiiri woydu cindi guu (65), a na Metusala hay. 
GEN.5.22	Metusala hayyanoo banda ga, Henok na Irkoy gana jiiri zangu hinza (300). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.23	Henok duu jiiri zangu hinza nda woydu cindi guu (365) aloomur. 
GEN.5.24	Henok na Irkoy gana, boro mana dii a koyne, zama Irkoy kʼa zaa kʼa ka koy nga do.
GEN.5.25	Waatoo kaŋ Metusala duu jiiri zangu nda woyyaaha cindi iyye (187), a na Lemek hay. 
GEN.5.26	Lemek hayyanoo banda ga, Metusala huna jiiri zangu iyye nda woyyaaha cindi hinka (782). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.27	Metusala duu jiiri zangu yagga nda woydu cindi yagga (969) aloomur jina, a faati.
GEN.5.28	Waatoo kaŋ Lemek too jiiri zangu nda woyyaaha cindi hinka (182), a na izʼaru foo hay. 
GEN.5.29	A na maaɲoo daŋ Nuhu (maanaa «bine yaynandi»). Lemek nee: «Woo gʼir biney yaynandi laboo kaŋ Abadantaa nʼa laali goy šendaa ra.» 
GEN.5.30	Nuhu hayyanoo banda ga, Lemek huna jiiri zangu guu nda woyyagga cindi guu (595). A na izʼaruyaŋ nda ize woyyaŋ hay. 
GEN.5.31	Lemek duu jiiri zangu iyye nda woyye cindi iyye (777) aloomur jina, a faati.
GEN.5.32	Nuhu goo nda zangu guu (500) kaŋ a na Sem, nda Šam, nda Žafet hay.
GEN.6.1	Waatoo kaŋ nbunadam sintin ka hay ka cere hay laboo ga, i duu ize woyyaŋ. 
GEN.6.2	Irkoy izʼarey
GEN.6.3	Abadantaa nee: «Hundoo kaŋ ay nʼa noo nbunadam se si cindi a ra hala abada, zama a manʼti kala faatante. Nga aloomuroo ga tee jiiri zangu nda waranka (120).» 
GEN.6.4	Zamanoo din ra, boro doogoyaŋ goo gandaa ra. I ga bara waatoo kaŋ Irkoy izʼarey
GEN.6.5	Abadantaa dii kaŋ nbunadam borolaalataraa hanse ka boobo gandaa ra, de mo waati kul nga binoo miilawey manʼti kala ifutu. 
GEN.6.6	Woo se Abadantaa nimsi nda haya kaŋ se nga na borey tee laboo boŋ, de mo binoo hanse ka maray. 
GEN.6.7	Abadantaa nee: «Borey kaŋ ay nʼi taka, ay gʼi tuusu kʼi kaa laboo boŋ, kʼa dii za nbunadam hala alman, hala labukoy, hala ciraw, zama ay nimsi nda haya kaŋ se ay nʼi tee.» 
GEN.6.8	Amma Nuhu duu alhormo Abadantaa do.
GEN.6.9	Woo ti Nuhu fillaa. Nuhu manʼti kala boro šerrante kaŋ ga henan nga alwaddey ra. A na Irkoy gana. 
GEN.6.10	Izʼaru hinza no Nuhu nʼi hay kaŋ maaɲey ti Sem, nda Šam, nda Žafet.
GEN.6.11	Irkoy do, nbunadam hasara, gandaa too nda ngi kurimunyanoo. 
GEN.6.12	Irkoy dii kaŋ gandaa hasara, zama takahaya foo kul kaŋ goo laboo boŋ na fondo futu zaa. 
GEN.6.13	Woo banda ga, Irkoy nee Nuhu se: «Ay na anniyaa zaa ka benandi nda hundikoyney kul, zama i na gandaa too nda ngi kurimunyanoo. Ay ga ngi nda gandaa halaci. 
GEN.6.14	Amma ni, sunduku beeri tee nda bundu yakuwante kaŋ ga tee ma ne harihii. Ma hugu-huguyaŋ tee sundukoo ra. Ma gundoo nda tarayheroo kul yon nda yonhaya. 
GEN.6.15	Takaa ne kaŋ nda nʼga hima kʼa tee: hiyoo ma duu kabedaaru zangu hinza (300) kuuyan. A ma duu kabedaaru woyguu (50) hayyan. A ma duu kabedaaru waranza (30) kayyan. 
GEN.6.16	Ma zanfun kaŋ ga sawa nda kabedaaru foo hayyan kaa beeneheroo ra. Sundukoo caraa ga ma miɲoo kaa. Ma sooro hinka cin gundoo ra. 
GEN.6.17	Nga ne, agay, ay ga hari beeri foo kaŋandi laboo boŋ hala a ma takahaya kul kaŋ hundi goo niinoo ra kaŋ goo beenaa cire halaci. Haya kul kaŋ goo laboo boŋ ga dere. 
GEN.6.18	Amma ni, ay ga ni noo 
GEN.6.19	Takahaya kul kaŋ ra hundi goo, ma ihinka-hinka daŋ ni bande hiyoo ra, woy nda aru, hala i ma hin ka huna ni bande. 
GEN.6.20	Ma woy nda aru zaa cirawey dumey kul ra, nda almaney dumey kul ra, nda labukoyey dumey kul ra. I ga kaa ni do, hala i ma hin ka huna. 
GEN.6.21	De mo haya kul kaŋ ti ŋaayan kaŋ ga bara, mʼa zaa ni bande, hala a ma tee ni nda ey se šilfandaa.»
GEN.6.22	Hayey kul kaŋ Irkoy nʼi har, Nuhu nʼi tee. A nʼi tee nda takaa kaŋ nda Irkoy nʼa yaamar.
GEN.7.1	Woo banda ga, Abadantaa nee Nuhu se: «Huru harihiyoo ra, ni nda ni hugoo borey kul, zama ay do, ni hinne ti šerrante ni alwaddey ra. 
GEN.7.2	Adabbawey kul kaŋ ga halal, dumi foo kul, ma woy nda aru iyye-iyye zaa i ra. Wey kaŋ ga harram, dumi foo kul, ma woy nda aru foo zaa i ra. 
GEN.7.3	Cirawey mo, ma woy nda aru iyye-iyye zaa i ra hala ngi dumoo masi dere laboo boŋ. 
GEN.7.4	Zama ne nda jirbi iyye ay ga ncirɲi zumandi laboo boŋ kaŋ ga kara cijin nda zaari hala jirbi woytaaci (40). Haya kul kaŋ ti hundikoyni kaŋ ay nʼa tee kaŋ goo laboo boŋ, ay gʼa tuusu.» 
GEN.7.5	Hayey kul kaŋ Abadantaa nʼi yaamar, Nuhu nʼi tee.
GEN.7.6	Jiiri zangu iddu (600) bara Nuhu se waatoo kaŋ hari beeroo kaa ka laboo daabu. 
GEN.7.7	Nuhu nda nga izʼarey, nda nga wandoo, nda nga izʼarey wandey huru hiyoo ra ka hun hari beeroo cire. 
GEN.7.8	Adabbawey kul, wey kaŋ ga halal nda wey kaŋ ga harram, nda cirawey nda haya kul kaŋ ga ziilam-ziilam laboo ga, 
GEN.7.9	ihinka-hinka, woy nda aru, kaa Nuhu do ka huru a bande harihiyoo ra, sanda takaa kaŋ nda Irkoy nʼa yaamar. 
GEN.7.10	Jirbi iyye banda ga, hari beeroo kaa ka laboo daabu.
GEN.7.11	Nuhu jiiri zangu idduwantoo (600to) ra, handu hinkantoo jirbi woy cindi iyyantoo (17to) ga, hanoo din, laboo cire guusu beeroo miɲey kul bagu nda hari, beenaa mo miɲey feeri. 
GEN.7.12	Ncirɲoo kaŋ laboo boŋ cijin nda zaari hala jirbi woytaaci (40). 
GEN.7.13	Hanoo din hunday no Nuhu nda nga izʼarey kaŋ ti Sem, nda Šam, nda Žafet, nda Nuhu wandoo, nda nga izʼarey wande hinza huru harihiyoo ra, 
