MAT.1.1	Gyoo Defidi na Aberaham be naanabii Yesu Kristo duuluŋ man balaŋ yaa.
MAT.1.25	Mɔna ŋon na Mɛɛre te doo ŋgba alo na baale nɛ ya kaboena ɔ lola bu baale. Te Gyosɛfo doo e yele nyi Yesu.
MAT.2.1	Ba lola Yesu bo Bɛtelɛhɛm donɔɔ keŋ ke kyaa Gyudia tɛɛle man nɛ man. Debaŋ kenaŋ na gyoo Herode ne diina gyoori. Be ka lola Yesu nɛ, te di weeya ala ya te siakaralatena baale baŋ ba gyeŋ kyolobiise wose man nombia nɛ lee weese dɛɛlee yenaŋ kɔŋ Gyerusalɛm donɔɔ man, 
MAT.2.2	kaa bɔɔse balaŋ nyiaa, “Aleŋ te ba lola bu ŋon waa kaa bese Gyudatena gyoo nɛ? Da te naa kyolobii ŋolo weese dɛɛlee yenaŋ keŋ na wola daa nyi be ta lola e, mena dɔɔ te de kɔŋawɔ de kaa som e.” 
MAT.2.3	Gyoo Herode na baŋ pou be kyaa Gyerusalɛm donɔɔ man ke nyii nombia kɛŋa nɛ, takaa wɔ nideli. 
MAT.2.4	Mena dɔɔ gyoo Herode baake Gyudatena saese kegyiise na ba mmaraa wolala pou yilaa te ɔ bɔɔse wɔ nyiaa, “Aleŋ te baa lola nyeelɛɛre ŋon Wurubuarɛ be yako see nyi waa kɔŋ nɛ?” 
MAT.2.5	Keŋte be tiranɔɔ fa e nyiaa, “Bɛtelɛhɛm donɔɔ keŋ ke kyaa Gyudia tɛɛle man nɛ.” Nawolo nyi Wurubuarɛ dekpeŋkpeŋgyɔɔre ŋolo yakowɔ see lee Bɛtelɛhɛm wose man nyiaa, 
MAT.2.6	Wurubuarɛ kpa,
MAT.2.6	“Ɛmɛɛ Bɛtelɛhɛmtena baŋ ɛ kyaa Gyudia tɛɛle man nɛ
MAT.2.6	ɛ yɛɛ gyoorobiawɔ.
MAT.2.6	Nawolo nyi ɛ man te gyoo dinaa ŋon waa kɛɛ me balaŋ Iseraetena dɔɔ nɛ waa lee.”
MAT.2.7	Mena dɔɔ gyoo Herode moo Siakaralatena baŋ lee yenaŋ, te ɔ bɔɔse wɔ na waa gyeŋ debaŋ kitii keŋ kyolobii ŋon ba lee. 
MAT.2.8	Be ke tiranɔɔ fa e taŋ nɛ, ɔ yako wɔ nyiaa, “Ɛ gyu na ɛ ke kɛo bu ŋon nideli. Akpaa ɛ naa e na ɛ bese kaa yako maŋ, na maŋ mɔ ke gyu ka som e.” Keŋte ɔ lɔɔ wɔ gbɛɛ te be laŋa Bɛtelɛhɛm donɔɔ man. 
MAT.2.9	Be ke nyii gyoo ŋon nɔɔwoya taŋ nɛ, ba korowɔ mo be gbɛɛ bee gyu. Te kyolobii ŋon bɔɔ naa weese dɛɛlee yenaŋ nɛ, tɛɛwɔ be siaman menɛɛ te ke ka seŋawɔ botɔɔ keŋ bu ŋon doo nɛ adido. 
MAT.2.10	Ba kena kyolobii ŋon mena nɛ, yɛɛ wɔ gyoŋ nideli. 
MAT.2.11	Be ke gyu ka gyoo dekpaŋalaŋ keŋ man nɛ, be naa bu ŋon na ɔ naa Mɛɛre keŋte ba buŋawɔ som bu ŋon. Be gyuusu ba akpose te ba lese kɔba yayam, na oliifi na adudo kyɛɛ bu ŋon. 
MAT.2.12	Kenaŋ wɔle nɛ, Wurubuarɛ faree wɔ dosɛɛ man nyi be na bese gyu ka mo gyoo Herode gyaŋ bela ya, mena dɔɔ ba moo gbɛɛ wɔle kpoo man gyu be dɛɛ.
MAT.2.13	Siakaralatena baŋ ke laŋ wɔle nɛ, de Gbeŋgyoo Wurubuarɛ kpilale ŋolo kaa lese ɔ wose wola Gyosɛfo dosɛɛ man te ɔ yako e nyiaa, “Koro mo bu ŋon na ɔ naa na ɛ ke yeu gyu Igyipite tɛɛle man, na ɛ ke kyaa botɔɔ kelii debaŋ keŋ maa yako ŋon nyi yaa koro botɔɔ. Nawolo nyi gyoo Herode waa kɛo bu ŋon waa ko.” 
MAT.2.14	Mena dɔɔ Gyosɛfo korowɔ nelim kenaŋ te ɔ moo bu ŋon na ɔ naa te be yeuwɔ gyu Igyipite tɛɛle man, 
MAT.2.15	te be kyaawɔ botɔɔ kaboena gyoo Herode yeŋawɔ. Kɛŋa pou kɔŋawɔ mena na kpene keŋ de Gbeŋgyoo be tɛɛ ɔ dekpeŋkpeŋgyɔɔre dɔɔ yako see nɛ ke kɔŋ mena ampaŋ. Ɔ yakowɔ nyiaa, “Igyipite tɛɛle man te ma lese me bu lee.”
MAT.2.16	Gyoo Herode kena nyi Siakaralatena baŋ ta mo adao di ɔ dɔɔ, keŋ be ta bese kɔŋ kaa mo ɔ gyaŋ bela ya nɛ ɔ gyeŋa baŋ nideli. Keŋte ɔ kpila ɔ yoonɔɔtena nyi baa gyu Bɛtelɛhɛm donɔɔ man, na ke donɔɔsebia ŋan benaa na ke nɛ, na baa koe bia baala baŋ pou be ta bee ta kela kulutooneŋ ala ya nɛ, nawolo nyi mena debaŋ kenaŋ man te Siakaralatena baŋ yako e nyi be naa kyolobii ŋon. 
MAT.2.17	Kei yele la kpene keŋ Wurubuarɛ dekpeŋkpeŋgyɔɔre Gyeremia be yako see nɛ kɔŋawɔ ampaŋ. Ɔ yakowɔ nyiaa,
MAT.2.18	“De nyii yeesa na kewii na kayeyɛɛ dinaa Rama tɛɛle man.
MAT.2.18	Rahɛle ne wii ɔ bia te ɔ te bɛɛ nyi be na kyɔlɛɛ e ya,
MAT.2.18	nawolo nyi ɔ bia pou te munu.”
MAT.2.19	Gyoo Herode yeŋ wɔle nɛ, Wurubuarɛ kpilale ŋolo kaa lese ɔ wose wola Gyosɛfo dosɛɛ man Igyipite tɛɛle man te ɔ yako e nyiaa, 
MAT.2.20	“Koro na n ka mo bu ŋon na ɔ naa, na ɛ ka bese gyu Iserae tɛɛle man. Nawolo nyi balaŋ baŋ nafɔ bɛɛ gyae bu ŋon baa ko nɛ ta yekee.” 
MAT.2.21	Mena dɔɔ Gyosɛfo desina ɔ wose, te ɔ moo bu ŋon na ɔ naa te be laŋa Iserae tɛɛle man. 
MAT.2.22	Mɔna Gyosɛfo ke nyii nyi gyoo Herode bu Akelɔse kyaa la ɔ kya nawɔɔ man ɔ ne di gyoori Gyudia tɛɛle dɔɔ nɛ, ɔ yee botɔɔ ke gyu. Te keŋ Wurubuarɛ be faree e dosɛɛ man dɔɔ nɛ, ɔ kpasewɔ gyu Galelia tɛɛle man. 
MAT.2.23	Te ɔ gyuuwɔ ke kyaa donɔɔ keŋ bɛɛ baake ke nyi Nasarɛte nɛ man. Kei yela kpene keŋ Wurubuarɛ be tɛɛ wa akpeŋkpeŋgyɔɔra dɔɔ yako see nɛ, kɔŋawɔ ampaŋ. Be yakowɔ nyiaa, “Baa baake e nyi Nasarɛte baale.”
MAT.3.1	Debaŋ kenaŋ man nɛ, Gyɔn Wurubuarɛ loŋsɔɔre kɔŋawɔ ɔ ne kolosi Wurubuarɛ nombia Gyudia depampaa dinaa keŋ man. Ɔ yakowɔ nyiaa, 
MAT.3.2	“Ɛ kyɛɛkee lee ɛ gbɛɛneŋ kumɛɛ man na ɛ ke kɔŋ Wurubuarɛ gyaŋ, nawolo nyi Wurubuarɛ gyoori keŋ ta benaa.” 
MAT.3.3	Gyɔn kei yɛna ŋon Wurubuarɛ dekpeŋkpeŋgyɔɔre Yesaya be yako ɔ wose man nombia nyiaa,
MAT.3.3	“Ŋolo ne fae yeesa depampaa dinaa keŋ man nyiaa,
MAT.3.3	ɛ desina de Gbeŋgyoo gbɛɛneŋ.
MAT.3.3	Ɛ yela ɔ gbɛɛneŋ pou ka tenee.”
MAT.3.4	Kurumɔɔ tɔne te ba moowɔ ŋara Gyɔn kegba, te wonembu tɔne te ɔ moowɔ yɛɛ abɔsɔɔ kpaŋ ɔ teŋa man. Akpataana na teebɔɔ yɛna ɔ weenɛɛ. 
MAT.3.5	Balaŋ lee Gyerusalɛm donɔɔ man na Gyudia tɛɛlese man, na donɔɔse ŋan ŋe kyaa Gyɔɔdan boo keŋ yenaase nɛ kɔŋ ɔ gyaŋ. 
MAT.3.6	Bɛɛ kaa tɔlɛɛ be nombiakumɛɛ ŋan pou bɔɔ yɛɛ nɛ fa e, na ɔ te sɔ wɔ Wurubuarɛ loŋ Gyɔɔdan boo keŋ man.
MAT.3.7	Gyɔn kena balaŋ burum baŋ bɔɔ lee Farasiitena na Sadukiitena akpii ŋan man kɔŋ ɔ gyaŋ nyi waa sɔ wɔ Wurubuarɛ loŋ nɛ ɔ bɔɔse wɔ nyiaa, “Kyoa, ɛmɛɛ baŋ ɛ dana nombiakumɛɛ ŋgba doma nɛ. Amɔte faree na ŋon nyi yaa yeu lee Wurubuarɛ deŋele kewɔŋ keŋ gyae ke kɔŋ balaŋ dɔɔ nɛ man?” 
MAT.3.8	Ɛ yɛɛ nombia kpaakpaa ŋan nawolo nyi ɛ te kyɛɛkee lee ɛ gbɛɛneŋ kumɛɛ man kɔŋ Wurubuarɛ gyaŋ. 
MAT.3.9	Ɛ na yɛɛ ya agyueŋ nyi keŋ ɛ yɛɛ Aberaham ɔ naanasewɔ dɔɔ te Wurubuarɛ lɛɛ ŋon ya. Mɛɛ yako ŋon ɛ ke nyii nyiaa, Wurubuarɛ waa tale yela boya adoŋ kɛŋa ka bese naanase fa Aberaham. 
MAT.3.10	Ɛ kɛɛ, Wurubuarɛ taŋ desina ɔ debeŋa see waa tuŋii daase lɔ. Mena dɔɔ daŋ kamasɛ keŋ ke bɛɛ se bia kpaakpaa ya na, waa tuŋ ke lɔ na baa keretii ke do boalaŋ man. 
MAT.3.11	Keŋte Gyɔn besewɔ yako wɔ nyiaa, maŋ dɔɔ loŋ te me dana mɛɛ sɔ ŋon Wurubuarɛ loŋ na kawola nyi ɛ te kyɛɛkee lee ɛ gbɛɛneŋ kumɛɛ man kɔŋ Wurubuarɛ gyaŋ. Mɔna maŋ wɔle na ŋon ɔ kela maŋ nɛ waa kɔŋ, keŋ maŋ tekaboe gba nyi maa tela ɔtenate nkyokotase gba ya. Ŋon dɔɔ, Wurubuarɛ feliŋ na boalaŋ te waa mo sɔ ŋon Wurubuarɛ loŋ. 
MAT.3.12	Ɔ dana ɔ pampaa ɔ nyiŋmaa man waa mo feefu wa amɔla na waa lese amɔla bia ŋan do ɔ kpee man, na waa kuu wura ŋan ka do boalaŋ keŋ ke bɛɛ yem ya nɛ man.
MAT.3.13	Gyɔn kɛɛ sɔ balaŋ Wurubuarɛ loŋ keŋ nɛ, te Yesu leewɔ Galelia tɛɛle man kɔŋ Gyɔɔdan boo nɔɔman nyi Gyɔn waa sɔ e Wurubuarɛ loŋ. 
MAT.3.14	Mɔna Gyɔn gyaewɔ waa yɛɛ na Yesu ke kyɛɛkee wa agyueŋ. Keŋte ɔ bɔɔse Yesu nyiaa, “Nyaŋ te kaboena nyi nya sɔ maŋ Wurubuarɛ loŋ. Weera te nyaŋ besewɔ kɔŋ me gyaŋ nyi maŋ maa sɔ neŋ Wurubuarɛ loŋ?” 
MAT.3.15	Keŋte Yesu tiranɔɔ fa Gyɔn nyiaa, “Debaŋ kei man nɛ, nyaŋ yɛɛ ke mena. De yɛɛ nnɛ na, Wurubuarɛ kegyaebii yaa dɛɛ yɛɛ baa.” Keŋte Gyɔn mɔ sɛɛwɔ. 
MAT.3.16	Gyɔn ke sɔ Yesu Wurubuarɛ loŋ taŋ, te Yesu ka mo waa lee loŋ keŋ man pɛ, te adido torowɔ. Keŋte ɔ naa Wurubuarɛ feliŋ ŋon moo duwuluŋ dinɔɔ tisi kaa gyakaa ɔ dɔɔ. 
MAT.3.17	Botɔɔ te be nyii Wurubuarɛ kolosiwɔ lee adido yako nyiaa, “Kei yɛna me bu ŋon mɛɛ gyae lee me konɔɔ man, te ɔ na gyoo me sia nideli.”
MAT.4.1	Keŋte Wurubuarɛ feliŋ ŋon yela Yesu gyuu depampaa dinaa daale man. Botɔɔ te ɔbɔnsam kɛɛse e kɛɛ. 
MAT.4.2	Yesu ke bake ɔ nɔɔ weeya sɔŋola (40) nelim na ka weese wɔle nɛ, tanam kyaŋa e nideli. 
MAT.4.3	Botɔɔ te ɔbɔnsam kɔŋawɔ ɔ gyaŋ kaa yako e nyiaa, “Akpaa nyaŋ yɛna Wurubuarɛ bu ŋon na, yela boya kɛŋa ka bese weenɛɛ.” 
MAT.4.4	Keŋte Yesu tiranɔɔ fa e nyiaa, “Wurubuarɛ nombia aŋmaraseŋ see ne yako daa nyiaa,
MAT.4.4	‘Na weenɛɛ ŋaageŋ ne faa na walaŋ nyeedoŋ ya,
MAT.4.4	mɔna Wurubuarɛ nɔɔwoya kamasɛ mɔ ne fa walaŋ nyeedoŋ.’ ”
MAT.4.5	Botɔɔ te ɔbɔnsam moo Yesu gyu Gyerusalɛm donɔɔ man, te ɔ moo e gyu Wurubuarɛ ɔsom deni dinaa keŋ nyeeman adido adido, 
MAT.4.6	te ɔ yako e nyiaa,
MAT.4.6	“Akpaa nyaŋ yɛna Wurubuarɛ bu ŋon na,
MAT.4.6	fuŋ n wose lee kɛbo ke lɔ tɛɛle man,
MAT.4.6	nawolo nyi Wurubuarɛ nombia aŋmaraseŋ see ŋan ne yako daa nyiaa,
MAT.4.6	‘Nyaŋ dɔɔ Wurubuarɛ waa kpila ɔ kpilala,
MAT.4.6	na be kaa gyee neŋ nideli,
MAT.4.6	na baa kɔlee neŋ keŋ nyi n be gyae n ka mo n nae gyɔ
MAT.4.6	na boe koraŋ gba ya.’ ”
MAT.4.7	Keŋte Yesu tiranɔɔ fa e nyiaa, “Wurubuarɛ nombia aŋmaraseŋ see na bese yako daa nyiaa, ‘Na kɛɛse n Gbeŋgyoo Wurubuarɛ ŋon kɛɛ ya.’ ”
MAT.4.8	Botɔɔ te ɔbɔnsam besewɔ mo Yesu gyu bula dinaa daale nyee dɔɔ, te ɔ wola e tɛɛle kei dɔɔ gyoorobiiri na ka kyeo pou. 
MAT.4.9	Keŋte ɔ yako Yesu nyiaa, “Akpaa n buŋ me nawɔɔ tɛɛ som maŋ na, maa mo abɔɔ kɛŋa pou fa neŋ.” 
MAT.4.10	Keŋte Yesu yako e nyiaa, “Ɔbɔnsam ta lee me siaman, nawolo nyi Wurubuarɛ nombia aŋmaraseŋ see ne yako daa nyiaa, de Gbeŋgyoo Wurubuarɛ waageŋ te kaboena nyi dee buŋ e na dɛɛ som e.” 
MAT.4.11	Botɔɔ te ɔbɔnsam leewɔ Yesu gyaŋ laŋ, te Wurubuarɛ kpilala kɔŋawɔ kaa kɛɛ ɔ dɔɔ.
MAT.4.12	Yesu ke nyii nyi ba te kyaŋ Gyɔn Wurubuarɛ loŋsɔɔre ŋon tɔ deni nɛ, te ɔ besewɔ gyu Galelia tɛɛle man. 
MAT.4.13	Yesu ka lee Nasarɛte donɔɔ man nɛ, ɔ gyuuwɔ ke kyaa Kapanum donɔɔ man. Donɔɔ kei kyaa Galelia depaa nɔɔman, te ka benaa na Sebulɔn na Nafitali tɛɛlese. 
MAT.4.14	Kei yela kpene keŋ Wurubuarɛ dekpeŋkpeŋgyɔɔre Yesaya be yako see lee tɛɛle kenaŋ wose man nɛ kɔŋawɔ ampaŋ. Yesaya yakowɔ see nyiaa,
MAT.4.15	“Ɛmɛɛ balaŋ baŋ ɛ kyaa Sebulɔn na Nafitali tɛɛlese ŋan ŋe kyaa benaa na Galelia depaa,
MAT.4.15	botɔɔ keŋ balaŋ baŋ ba te yɛɛ Gyudatenawɔ ya nɛ boe nɛ,
MAT.4.15	na Gyɔɔdan boo diŋgyiŋ nɛ, ɛ tei kɛbo.
MAT.4.16	Balaŋ baŋ be doo ditiŋtɛɛ man nɛ te naa keŋmaŋee dinaa daale.
MAT.4.16	Balaŋ baŋ mɔ be kyaa botɔɔ keŋ yeŋ ne di gyoori nɛ,
MAT.4.16	keŋmaŋee te kɔŋ fa wɔ.”
MAT.4.17	Lee debaŋ kenaŋ te Yesu fiasɛɛ ɔ ne kolosi Wurubuarɛ nombia nyiaa, “Ɛ kyɛɛkee lee ɛ gbɛɛneŋ kumɛɛ man na ɛ ke kɔŋ Wurubuarɛ gyaŋ, nawolo nyi Wurubuarɛ gyoori keŋ ta benaa.”
MAT.4.18	Wee daale Yesu keta Galelia boo nɔɔ nɔɔ nɛ, ɔ naa Simɔn ŋon ɔ yele daale bela yɛna Pita nɛ, na ɔ naabu Anderiase na bɛɛ lɔ asawu boo keŋ man, nawolo nyi be yɛɛ kpɛɛ kyaŋarawɔ. 
MAT.4.19	Keŋte Yesu yako wɔ nyiaa, “Ɛ kaa sila maŋ, na maa yela ɛ ke yilaa balaŋ fa maŋ.” 
MAT.4.20	Debokenaŋ man te be tinaa ba asawuse ŋan yela te be kaa sila Yesu. 
MAT.4.21	Ɔ ke gyu ɔ siaman kyomii nɛ, ɔ naa Sebedeo bia Gyemisi na ɔ naabu Gyɔn na baŋ na be kya Sebedeo doo degbele man bee desina ba asawuse te Yesu baake wɔ, 
MAT.4.22	debokenaŋ man te be tinaa degbele keŋ na be kya yela, te be sila Yesu laŋ.
MAT.4.23	Keŋte Yesu kila Galelia tɛɛle keŋ pou, na ɔ na wola wɔ Gyudatena ɔsom denɛɛ man. Ɔ kolosi Wurubuarɛ nombia kpaakpaa lee Wurubuarɛ gyoori keŋ wose man, te ɔ kyɔɔ kaweese kpookpoo balaŋ wose man. 
MAT.4.24	Mena dɔɔ Yesu yele leewɔ Siria tɛɛle keŋ dɔɔ pou. Keŋte balaŋ moo kaweesetena kpookpoo, ŋgba baŋ bɛɛ wee keleuleuse na ɔtakasese na baŋ ba yenaase ba yekee nɛ kɔna e, te ɔ kyɔɔ wɔ te ɔ gberaa feliŋkumɛɛ lee baale mɔ man. 
MAT.4.25	Mena dɔɔ balaŋ burum lee Galelia, na Dekapolise tɛɛle man na Gyerusalɛm donɔɔ man na Gyudia tɛɛle man, na Gyɔɔdan diŋgyiŋ kaa sila e.
MAT.5.1	Yesu kena balaŋ burum baŋ nɛ, ɔ gyeŋa bula daale gyu ke kyaa ke dɔɔ. Keŋte ɔ kaseela baŋ kɔŋawɔ kaa kyaa kilisi e. 
MAT.5.2	Botɔɔ te ɔ gyuusu ɔ nɔɔ ɔ na wola wɔ nyiaa,
MAT.5.3	“Ɛmɛɛ baŋ ɛ ba mo ɛ wose pou lɔ Wurubuarɛ dɔɔ nɛ ɛmɛɛ na nyeebam,
MAT.5.3	nawolo nyi ɛmɛɛ te Wurubuarɛ gyoori keŋ yɛɛ ɛ wui.
MAT.5.4	Ɛmɛɛ baŋ ɛ ne di walaŋsa nɛ ɛmɛɛ na nyeebam,
MAT.5.4	nawolo nyi Wurubuarɛ waa kyɔlɛɛ ŋon.
MAT.5.5	Ɛmɛɛ baŋ ɛ ne yɔkɔse ɛ wose nɛ ɛmɛɛ na nyeebam,
MAT.5.5	nawolo nyi ɛmɛɛ te tɛɛle kei gyae kaa bese ɛ wui.
MAT.5.6	Ɛmɛɛ baŋ ɛ loo gyakaa nideli nyi ɛ ke yɛɛ kpene keŋ tenɛɛ Wurubuarɛ siaman nɛ ɛmɛɛ na nyeebam,
MAT.5.6	nawolo nyi Wurubuarɛ waa fa ŋon abɔɔ ŋan ɛ ne gyae lee ɛ konɔɔ man nɛ.
MAT.5.7	Ɛmɛɛ baŋ ɛ ne wii balaŋ waraŋase nɛ ɛmɛɛ na nyeebam,
MAT.5.7	nawolo nyi Wurubuarɛ waa wii ɛmɛɛ mɔ waraŋase.
MAT.5.8	Ɛmɛɛ baŋ dukum kamasɛ be doo ɛ konɔɔse man ya nɛ
MAT.5.8	ɛmɛɛ na nyeebam, nawolo nyi ɛmɛɛ ne gyae la ɛ kena Wurubuarɛ.
MAT.5.9	Ɛmɛɛ baŋ ɛ ne yele wosefɛɛreŋ ne kɔŋ balaŋ nsana nɛ ɛmɛɛ na nyeebam,
MAT.5.9	nawolo nyi ɛmɛɛ te baa baake nyi Wurubuarɛ bia.
MAT.5.10	Ɛmɛɛ baŋ bɛɛ naase ŋon diyem nyi ɛ ne yɛɛ kpene keŋ tenɛɛ Wurubuarɛ siaman dɔɔ nɛ, ɛmɛɛ na nyeebam,
MAT.5.10	nawolo nyi ɛmɛɛ te Wurubuarɛ gyoori keŋ yɛɛ ɛ wui.”
MAT.5.11	“Ɛmɛɛ baŋ balaŋ na tee ŋon te bɛɛ naase ŋon diyem te bɛɛ kɛrɛɛ ɛ nɔɔse yako nombiakumɛɛ gyakaa ɛ dɔɔ, nawolo nyi keŋ e silana maŋ dɔɔ nɛ, ɛmɛɛ na nyeebam. 
MAT.5.12	Ɛ yela ke yɛɛ ŋon gyoŋ nideli, nawolo nyi kom keŋ Wurubuarɛ waa tɔ ŋon adido nɛ ka boe. Mena keŋ bɛɛ naase ŋon diyem nɛ, mena ke te be naase Wurubuarɛ akpeŋkpeŋgyɔɔra baŋ bɔɔ kyaa pɛte ɛ be kɔŋ nɛ diyem.”
MAT.5.13	“Ɛ yɛɛ ŋgba yabia nɛ fa balaŋ tɛɛle kei dɔɔ. Mɔna akpaa yabia gyoŋ keŋ da lee ke man na, n be gyae n ke tale yela ka ke yɛɛ gyoŋ bela ya. Dekɔŋ mena na yabia kenaŋ be dei fa kolo na kolo ke yɛɛ bela ya. Bee fuŋ ke bo leki, na balaŋ ke sakatee ke laŋ.”
MAT.5.14	“Ɛ yɛɛ ŋgba keŋmaŋee nɛ fa balaŋ tɛɛle kei dɔɔ. Donɔɔ keŋ ke gyakaa bula dɔɔ nɛ bɛɛ weese ya. 
MAT.5.15	Ŋolo bɛɛ kyaŋee kanea na waa mo kolo wuu ke dɔɔ ya, mɔna ɔ na mo ke bo gyakaa kolo dɔɔ adido, na ke nyiŋ naa fa balaŋ baŋ pou be kyaa dekpaŋalaŋ man nɛ. 
MAT.5.16	Mena mɔ te ɛ yela balaŋ kena ɛ keŋmaŋee keŋ. Kei ne gyae la ke yela balaŋ kena ɛ nombia kpaakpaa ŋan ɛ ne yɛɛ nɛ, na baa nyiŋ lese ɛ kya ŋon ɔ kyaa adido nɛ yele.”
MAT.5.17	Keŋte Yesu besewɔ yako wɔ nyiaa, “Ɛ na gyueŋ nyi me kɔŋae me kaa bɛɛ Wurubuarɛ mmaraase, yaa nombia ŋan Wurubuarɛ akpeŋkpeŋgyɔɔra be yako see nɛ ya. Ma te kɔŋ nyi me kaa bɛɛ ŋa ya, mɔna me kɔŋae na maa yela nombia ŋenaŋ pou ke kɔŋ ŋgba ba ke yako see nɛ. 
