MAT.1.1	Yeezu, a Mɛzaaya
MAT.2.8	Lɛ la ka o pãã da toŋ ba Bɛtelɛhɛm a yele, “Yɛ gaa te bɔ a bie nimizeɛ zaa, ka yɛnee wa nyɛ o, yɛ leɛ wa yeli ko ma ka N meŋ gaa te puori O ne emmo.” 
MAT.2.9	Ba naŋ da wa woŋ a naa noɔre yɛlɛ baare, ba da yi gɛrɛ la, ka a ŋmarbiri na ba naŋ da nyɛ a sapareŋ la lɛ, a wa de ba weɛ, a gɛrɛ te kyulli are a zie na a bie naŋ be. 
MAT.2.10	Ba naŋ da nyɛ a ŋmarbiri ka o are, ba poore da pɛle la yaga zaa a ba taa mannoo. 
MAT.2.11	Ba naŋ wa te kpeɛrɛ a die, ba da nyɛ la a bie ne O ma Mareya, ka ba da gbi dumo a puori O ne emmo, kyɛ yuo ba woore a ko O kyɔɔtaare; salema, ensɛnse ane turaali. 
MAT.2.12	Kyɛ Naaŋmen naŋ da kpãã ba ba zannoo poɔ, ka ba ta wa leɛ gɛrɛ a Hɛrɔde zie zuiŋ, ba da tu la so-yuo a gaa ba teŋɛ.
MAT.2.13	A yɛmbaŋnema naŋ da wa gaa baare, a Daana Maleke da wa la Yuzɛb zie o zannoo poɔ, a wa yeli ko o, “Iri de a bie ne O ma zo gaa ne Igyipiti teŋɛ a te kpeɛrɛ be a te ta saŋ na N naŋ na yeli ka fo leɛ wa, bonso, Hɛrɔde nara la ka o bɔ a bie a ko.” 
MAT.2.14	Lɛ la ka a Yuzɛb iri de a bie ane O ma yi ne tensogɔ gaa ne a Igyipiti teŋɛ, 
MAT.2.15	a te bebe te ta saŋ na a Hɛrɔde naŋ wa kpi. A ŋaa da eɛɛ la ka ka a Daana yelbiri na O naŋ yeli tu a Ŋmen-yelmanna zie tu a tuubu, “N boɔle la a N Bidɔɔ ka O yi a Igyipiti teŋɛ poɔ.”
MAT.2.16	A Hɛrɔde naŋ da wa nyɛ ka a yɛmbaŋnema bɛlle o la, o suuri da iree la yaga zaa. Lɛ la ka o toŋ ka ba te ko bibiiri na zaa naŋ ta yuomo ayi kyɛ sigre, a Bɛtelɛhɛm ane o tembilii poore. A yi o naŋ da peɛre a yɛmbaŋnema nɛnɛ a te baŋ a bie dɔgebo saŋ zuiŋ la ka o da ko a bibiiri bama. 
MAT.2.17	A yɛlɛ ama da eɛɛ la ka ka a Ŋmen-yelmanna Gyɛremaaya yelbie na tu a tuubu, aŋa lɛ o naŋ da yeli:
MAT.2.18	“Ba da woŋ la neɛ kaŋ kɔkɔre naŋ yire Urama poɔ,
MAT.2.18	neɛ kaŋ naŋ ŋmeɛrɛ kpɛlle erɛ nemba-yɛlɛ,
MAT.2.18	Urakɛɛl kono hiine la o biiri yɛlɛ,
MAT.2.18	a ba sage ka ba mɔgle o, bonso, a o biiri ba la kyebe.”
MAT.2.19	A Hɛrɔde kũũ puoriŋ, a Yuzɛb naŋ da naŋ be a Igyipiti teŋɛ poɔ, a Daana maleke da wa la o zie zannoo poɔ, a wa yeli: 
MAT.2.20	“Iri taa a bie ne O ma ka yɛ leɛ gaa Izerayɛl teŋɛ, bonso, a banaŋ naŋ da boɔrɔ a bie koobo kpie la.” 
MAT.2.21	Lɛ la ka Yuzɛb da iri de a bie ne O ma leɛ gaa ne a Izerayɛl teŋɛ. 
MAT.2.22	Kyɛ o naŋ da woŋ ka Akyilɔ la leɛre o saa Hɛrɔde zu a di a Gyudiya naaloŋ, a Yuzɛb da zoro la dabeɛ̃ ka o gaa a be. Kyɛ ba naŋ da kpãã o, o zannoo poɔ zuiŋ, o da de la a bie ne O ma a leɛ gaa ne Galili paaloŋ. 
MAT.2.23	Be ka o da gaa te kpeɛrɛ tembile kaŋ ba naŋ boɔlɔ Naazɛrɛ. A ŋaa da eɛɛ la ka a yelbie a Ŋmen-yelmanneba naŋ da yeli na tu a tuubu, “Ba na boɔlɔ O la Naazɛrɛ Bie.”
MAT.3.1	A bebie na poɔ, Gyɔɔn Bati da yi la a Gyudiya wɛgyɛŋ poɔ, a moɔlɔ yele: 
MAT.3.2	“Yɛ leɛ yɛ eebo, bonso, a tenvelaa
MAT.3.3	A Gyɔɔn yɛlɛ la ka a Ŋmen-yelmanna Azaaya da daŋ yeli:
MAT.3.3	“Neɛ kaŋ kɔkɔre ŋmeɛrɛ la kpɛlle a wɛgyɛŋ poɔ:
MAT.3.3	‘Nare a Daana sori,
MAT.3.3	maale O sobie ka a tori.’ ”
MAT.3.4	A Gyɔɔn da su la bontaŋ kɔɔloŋ kparoo kyɛ seɛ gane kpagre o seɛŋ. Sensobo ane tammalaara da la o bondirii. 
MAT.3.5	Lɛ la ka Gyɛruzɛlɛm ane Gyudiya tenne noba ane Gyɔɔdan baa fɔŋ noba zaa da yire gɛrɛ o zie, 
MAT.3.6	a kyiire ba yelbebe kyɛ ka a Gyɔɔn ko ba suobu a Gyɔɔdan baa poɔ.
MAT.3.7	Kyɛ o naŋ da wa nyɛ a Faraziimine ane Sadusiimine yaga naŋ waana ka o ko ba suobu, o da soore ba la, “Yɛnee dompane boorɔ ŋa! Nembuo la kpãã yɛ ka yɛ zo muri a Naaŋmen supuriyaaraa na naŋ waana? 
MAT.3.8	Yɛ wɔŋ wɔnveɛle naŋ wuli ka yɛ sereŋ leɛ la yɛ eebo.” 
MAT.3.9	Yɛ daŋ ta wa teɛre ŋaa yeluu yɛmenne zie, “Aboraham la te sããkoma”; maa yele korɔ yɛ, Naaŋmen na toɔ̃ e la ka kubo ama leɛ biiri a ko Aboraham. 
MAT.3.10	Haali pampana ŋa a lare tare la a teere seɛŋ. Azuiŋ teɛ na zaa naŋ ba wɔnɔ wɔnveɛle, ba na kyɛ o la ŋmaa lɔɔ eŋ vũũ poɔ.
MAT.3.11	“N korɔ yɛ la suobu ne koɔ̃, yɛ yelbebe poɔ leɛ yiibu zuiŋ, kyɛ a soba na naŋ tu n puori waana taa la kpeɛ̃õ gaŋ ma. N gba ba seŋ ne O nɔɔteɛ detaabo. O na ko yɛ la suobu ne a Vooroŋ Soŋ ane vũũ. 
MAT.3.12	O kayeɛl-ŋmane be la O nu poɔ, ka O na yeɛle O kyi a wuo eŋ bugo poɔ, kyɛ gbaale a ka-uri lantaa nyege vũũ naŋ ba kpiire poɔ.”
MAT.3.13	Lɛ la ka a Yeezu da yi Galili a gaa Gyɔɔn zie a Gyɔɔdan baa poɔ ka o te ko O suobu. 
MAT.3.14	A Gyɔɔn da ba sagra ka o ko a Yeezu a suobu, kyɛ yele, “Maa la da seŋ ka fo ko ma suobu, kyɛ ka fo meŋ la wa n zie ka n ko fo suobu?” 
MAT.3.15	Kyɛ ka a Yeezu leɛ yeli sɔge o, “Vɛŋ ka a e a lɛ pampana ŋa; bonso, lɛ la ka a seŋ ka te e ka mennoŋ zaa tu a tuubu.” Lɛ la ka a Gyɔɔn da sage. 
MAT.3.16	A Yeezu naŋ da wa de a suobu baare, a wa yire a koɔ̃ poɔ, daadaalɛ ka a saluoni yuo, ka O nyɛ a Naaŋmen Vooroŋ ka o sigre waana aŋa ŋmanee, a wa dɔɔ O zuŋ. 
MAT.3.17	Ka kɔkɔre kaŋ yi sazu a yeli, “N Bidɔɔ la aŋa, N Poyɛŋ Bie, N poɔ pɛle ne O la yaga.”
MAT.4.1	Lɛ la ka a Vooroŋ Soŋ pãã da taa a Yeezu te kpɛ ne a wɛgyɛŋ poɔ ka a sebɛlbɛllɛ na te e o a nyɛ. 
MAT.4.2	O da leŋ la noɔre beri lezaayi, ŋmenaa ane tensogɔ, ka kɔŋ pãã da kpɛ O. 
MAT.4.3	A sebɛlbɛllɛ da wa yeli ko O la, “Ka fõõ wa waa Naaŋmen Bie, yeli a kubo ama ka a leɛ boroboro.” 
MAT.4.4	Ka O yeli sɔge, “Ba sɛgɛɛ la:
MAT.4.4	‘Bondirii yoŋ naane korɔ nensaala nyɔvore,
MAT.4.4	kyɛ yelbiri zaa naŋ yi Naaŋmen noɔre meŋ terɛ la nyɔvore.’ ”
MAT.4.5	Lɛ la ka a sebɛlbɛllɛ la taa O gaa ne a tensoŋ poɔ, a te do ne O a Naaŋmen die peɛzu, 
MAT.4.6	a yeli ko O, “Ka fõõ wa sereŋ waa Naaŋmen Bie, ɛge kyinni teŋɛ, bonso, ba sɛgɛɛ la:
MAT.4.6	‘Naaŋmen na toŋ la O malekere fo zuiŋ,’
MAT.4.6	kyɛ la sɛge, ‘Ba na sogi nyɔge fo la eŋ ba nuuri poɔ,
MAT.4.6	ka fo gbɛre na ta wa ŋmɛ kuuri.’ ”
MAT.4.7	Ka a Yeezu laboreŋ yeli ko o, “Ba la sɛge la a ŋmen gane poɔ, ‘Ta e a fo Daana fo Naaŋmen nyɛ.’ ” 
MAT.4.8	A sebɛlbɛllɛ da laboreŋ taa O la te do ne taŋ wogiwogi kaŋ zu a te wuli O a tendaa paaloŋ naaloŋ zaa ane a veɛloŋ; 
MAT.4.9	kyɛ yeli ko O, “Ka fõõ le gbi dumo puori ma, N na de la a ama zaa ko fo.” 
MAT.4.10	Ka Yeezu yeli ko o, “Setaana! Tage yi be kyɛ kyɛre ma, bonso, ba sɛgɛɛ la:
MAT.4.10	‘Puoro a Daana fo Naaŋmen,
MAT.4.10	kyɛ tonɔ korɔ O yoŋ.’ ”
MAT.4.11	Lɛ la ka a sebɛlbɛllɛ da bare O kyɛ gaa, tɔntɔbaalɛ ka malekere wa kaa O zie.
MAT.4.12	A Yeezu naŋ da wa woŋ ka ba nyɔge la a Gyɔɔn, O da yi la a be gaa Galili teŋɛ. 
MAT.4.13	O da iri la a Naazɛrɛ poɔ, a gaa te kpeɛrɛ Kapanum naŋ peɛle mane noɔreŋ, a Zɛbulun ane Nafetali paaloŋ poɔ. 
MAT.4.14	A yɛlɛ ama zaa da eɛɛ la ka ka a Ŋmen-yelmanna Azaaya naŋ da yeli lɛ na tu a tuubu.
MAT.4.15	“Zɛbulun ane Nafetali tenne
MAT.4.15	naŋ be a mane sobiri noɔreŋ, a te gaŋ gaa Gyɔɔdan mane, Galili a Nemboore-yobo
MAT.4.16	a noba naŋ da zeŋ lige poɔ
MAT.4.16	nyɛ la veɛloŋ kpoŋ,
MAT.4.16	ka banaŋ meŋ naŋ da zeŋ a kũũ dasuoluŋ
MAT.4.16	veɛloŋ kpoŋ kyaane ba la.”
MAT.4.17	A yi a saŋ na poɔ, Yeezu pãã da piili moɔlɔ la a Ŋmen-yelnoore a yele, “Yɛ leɛ yɛ eebo yi yɛ yelbebe poɔ, bonso, a tenvelaa
MAT.4.18	A Yeezu naŋ da kyɛnɛ a Galili mane noɔreŋ, O da nyɛ la yɔɔmine bayi, Saamon, ka o yuori kaŋ meŋ da di Piita ane o yɔɔ Anduru, ka ba lɔɔrɔ ba zonkyogri a mane poɔ, bonso, ba da waa la zonnyɔgrebɔ. 
MAT.4.19	Ka O yeli ba, “Yɛ wa tuuro ma, N na e la ka yɛ leɛ nyɔgrɔ nensaalba aŋa zoma.” 
MAT.4.20	A daadaalɛ ka ba deɛ bare ba zonkyogri kyɛ iri tuuro O. 
MAT.4.21	O naŋ da yi a be gɛrɛ, O da la nyɛ la yɔɔmine bayi, Gyimisi ane o yɔɔ Gyɔɔn, naŋ waa Zɛbɛdii bidɔbɔ. Ba ne a ba saa da be la ba gbori poɔ a liire ba zonkyogri, ka O da boɔle ba. 
MAT.4.22	A daadaalɛ ka ba da bare a ba saa ne a gbori kyɛ iri te tuuro O.
MAT.4.23	Yeezu da yɔ la a Galili paaloŋ zaa, a kanna noba ba puoruuderi pooreŋ, kyɛ manna a tenvelaa naaloŋ yelnoore korɔ ba kyɛ saŋna a noba baaloŋ boorɔ zaa. 
MAT.4.24	Lɛ la ka a Yeezu yɛlɛ da yaare a Seeriya paaloŋ zaa, ka ba da taa ba baalba zaa wa ne a O zie. Banaŋ naŋ da beɛrɛ baaloŋ boorɔ zaa, banaŋ naŋ da taa woloŋ, banaŋ naŋ da taa sefaare, banaŋ naŋ da lere kunkunni ane banaŋ naŋ da gbɛre, ka a Yeezu da saŋ ba zaa. 
MAT.4.25	Ka noba yaga da yi Galili, Dekapoli, Gyɛruzɛlɛm, Gyudiya ane Gyɔɔdan maŋgaŋne a wa tuuro O.
MAT.5.1	A Yeezu naŋ da wa nyɛ a neŋyaga, O da do la taŋ kaŋ zu; O naŋ da wa te zeŋ baare, a O potuuribo da wa la O zie. 
MAT.5.2	Lɛ la ka O da piili kanna ba, a yele:
MAT.5.3	“Banaŋ naŋ dire naŋ a Naaŋmen puoruu eŋɛ nyɛ la maaloo, bonso, bana la so a tenvelaa
MAT.5.4	“Banaŋ naŋ kono nyɛ la maaloo, bonso, Naaŋmen na maa la ba suuri.
MAT.5.5	“Banaŋ naŋ waa sumaaroŋ deme nyɛ la maaloo, bonso, ba na nyɛ la a teŋɛ na Naaŋmen naŋ eŋ noɔre ka O na ko ba la.
MAT.5.6	“Banaŋ yelmennoŋ kɔŋ ane kɔnnyuuri naŋ kpɛ nyɛ la maaloo, bonso, bana la na nyɛ ba bomboɔre zaa.
MAT.5.7	“Banaŋ naŋ zoro nembaaloŋ nyɛ la maaloo, bonso, Naaŋmen na zo la ba meŋ nembaaloŋ.
MAT.5.8	“Banaŋ naŋ taa sukyiri peɛle nyɛ la maaloo, bonso, bana la na nyɛ Naaŋmen.
MAT.5.9	“Banaŋ naŋ boɔrɔ ka maaroŋ be noba zie nyɛ la maaloo, bonso, bana la ka ba na boɔlɔ Naaŋmen biiri.
MAT.5.10	“Banaŋ ba naŋ dɔgrɔ, ba naŋ e nemmenne zuiŋ nyɛ la maaloo, bonso, bana la na so a tenvelaa naaloŋ.
MAT.5.11	“Banaŋ noba naŋ toorɔ, a dɔgrɔ ba, kyɛ derɛ yelfa-boorɔ zaa duoro ba, a ŋmaara zirii dɔglɔ ba N zuiŋ nyɛ la maaloo. 
MAT.5.12	Yɛ kyellɛ, kyɛ taa popeɛloŋ, bonso, yɛ san-yɔɔ waa la kpoŋ a tenvelaa poɔ. A lɛ ne o zu la ka ba da dɔgre a Ŋmen-yelmanneba na naŋ da de yɛ weɛ.
MAT.5.13	Yɛnee la a teŋɛzu nyɛnnoo, kyɛ ka a nyɛnnoo noɔŋ wa yi, wola ka ba na e ka a leɛ noma? A ba la taa tɔnɔ, see ka ba de lɔɔ bare yeŋeŋ ka ba neɛrɛ ne gbɛɛ.
MAT.5.14	Yɛnee la a teŋɛzu veɛloŋ. Teŋkpoŋ naŋ are taŋzu koŋ baŋ sɔgle. 
MAT.5.15	Neɛzaa koŋ kyɔŋ fentelɛ a la de laa vɔgle pɔge, kyɛ o maŋ de dɔgle la fentel-daa zu ka o kyaane zie ko a die deme zaa.
MAT.5.16	A lɛ ne o zu, yɛ vɛŋ ka yɛ veɛloŋ kyaana yɛ taaba zie ka ba na nyɛ a yɛ tonveɛle kyɛ de puubu ko a yɛ Saa naŋ be tenvelaa poɔ.
MAT.5.17	“Yɛ ta teɛrɛ ka N waɛ la ka N wa iri a Naaŋmen begɛ ane a Ŋmen-yelmanneba wuluu lɔɔ bare. N ba wa ka N iri a bare, kyɛ N waɛ la ka N vɛŋ ka a tu a tuubu. 
MAT.5.18	Yelmeŋɛ zaa la ka N yele korɔ yɛ, sazu ne teŋɛ daŋ na baare la, kyɛ yelbi-yenaa zaa koŋ yi a begɛ poɔ a bɔre, kyɛ te ta a saŋ a yɛlɛ zaa naŋ na e baare. 
MAT.5.19	Azuiŋ, soba na zaa naŋ na zagre a Naaŋmen nɔɛ yelbi-bile ŋa kanzaa, a wullo o taaba meŋ ka ba erɛ a lɛ, na waa la a tenvelaa naaloŋ noba zaa nembile soba. Kyɛ soba na zaa meŋ naŋ sagra N nɔɛ, a wullo o taaba meŋ a lɛ, o na waa la neŋkpoŋ a tenvelaa naaloŋ poɔ. 
MAT.5.20	Maa yele korɔ yɛ, ka yɛ yelmennoŋ ba wa zuo a Naaŋmen bege wulwulibo ane a Faraziimine, yɛ daŋ koŋ kpɛ a tenvelaa naaloŋ poɔ.
MAT.5.21	“Yɛ woŋee la ka ba da yeli ko la a dakoroŋ noba, ‘Ta ko neɛ’; kyɛ ‘onaŋ soba zaa naŋ wa ko neɛ, ba na di la o sɛrɛɛ.’ 
MAT.5.22	Kyɛ maa meŋ yele korɔ yɛ la, ka neɛzaa suuri wa iri ne o yɔɔ bee o yɔɔpuulee, a seŋ ka ba di o sɛrɛɛ. Ka fõõ wa to fo yɔɔ bee fo yɔɔpuulee, a seŋ ka ba zeŋ ne fo nembɛrɛ niŋesogɔ. Ka fõõ boɔle fo tɔsoba, ‘Neŋlaane ŋa’, a seŋ ka ba de fo lɔɔ eŋ dazugovũũ poɔ. 
MAT.5.23	Azuiŋ, ka fõõ wa taa kyɔɔtaa waana ne Naaŋmen zie kyɛ wa leɛ-teɛre baŋ ka fo ne fo tɔsoba taa la saanaa, 
MAT.5.24	bare a fo kyɔɔtaa a Naaŋmen bagmaalkuuri niŋeŋ kyɛ daŋ gaa ka fo ne a fo tɔsoba na te maale taa sɛre, kyɛ ka fo pãã leɛ wa tere a fo kyɔɔtaa. 
MAT.5.25	Vɛŋ ka fo ne neɛ naŋ taa yelbawontaa leɛ maale taa wieouŋ lɛ, ka yɛnee naŋ wa be a sobiriŋ gɛrɛ a sɛrɛɛdiibu zie. Ka lɛnaane o na te de fo la ko a sɛredire, ka a sɛredire meŋ leɛ de fo ko a polisiri ka ba de fo lɔɔ eŋ nempage die poɔ. 
MAT.5.26	Yelmeŋɛ ka N yele korɔ fo, fo koŋ yi a nempagdie poɔ, te ta lɛ saŋ fo naŋ yɔɔ a sane zaa baare.
MAT.5.27	Yɛ woŋee la ka ba da yeli, ‘Ta gaŋ ne fo tɔ pɔge bee serɛ.’ 
MAT.5.28	Kyɛ maa yele korɔ yɛ la, ka neɛzaa wa kaa pɔge ne peɛ̃mo vɔlaa, o soba gaŋ ne o la o sukyiri poɔ. 
MAT.5.29	Ka fo duluŋ nimiri wa vɛŋ ka fo e yelbieri, nyɔge o logri iri lɔɔ bare. Ka fõõ taa nimi-yeni anaŋ seɛ fo naŋ taa nimie ayi kyɛ ka fo endaa zaa te kpɛ dazugovũũ poɔ. 
MAT.5.30	Ka fo nuduluŋ wa vɛŋ ka fo e yelbieri, kyɛ o ŋmaa lɔɔ bare; a seɛɛ la yaga zaa ka fo kɔŋ fo eŋɛ zie kaŋ, a gaŋ ka ba de a fo zaa gbole lɔɔ eŋ dazugovũũ poɔ.
MAT.5.31	“Ba da yelee la meŋ, ‘Dɔɔ zaa naŋ wa boɔrɔ ka o bare o pɔge, a seŋɛɛ la ka o sɛge pɔg-bare gane ko o kyɛ bare o.’ 
MAT.5.32	Kyɛ maa yele korɔ yɛ la ka ka neɛzaa wa bare o pɔge, ka a ba e moɔrɔ yɛlɛ zuiŋ, o soba vɛŋɛɛ la ka a pɔge toŋ moɔrɔ toma. Dɔɔ zaa meŋ naŋ de pɔge o serɛ naŋ bare meŋ toŋ la moɔrɔ toma.
MAT.5.33	“Laboriŋ, yɛ woŋee la ka ba da yeli ko la a dakoroŋ noba, ‘Yɛ ta wa poɔrɔ pɔ-zirii, kyɛ yɛ maŋ iri a pɔɛ zaa yɛ naŋ pɔ ko a Daana.’ 
MAT.5.34	Kyɛ maa yele korɔ yɛ la, ‘Yɛ ta wa poɔrɔ togitogi zaa. Yɛ ta wa poɔrɔ sazu, bonso, o e la Naaŋmen nakogi, 
MAT.5.35	bee a poɔrɔ a teŋɛ, bonso, o meŋ waa la a Naaŋmen gbɛɛ-bimmu zie. Yɛ ta wa poɔrɔ Gyɛruzɛlɛm meŋ, bonso, a Nakpoŋ teŋkpoŋ la a be. 
MAT.5.36	Yɛ ta wa poɔrɔ yɛ zuri, bonso, yɛ kontoɔ̃ e ka a yɛ zukɔɔloŋ kanzaa pɛle bee a sɔɔ. 
MAT.5.37	Yɛ vɛŋ ka yɛ yelbie waa, ‘Õõ, Õõ’ bee ‘Ai, Ai.’ A ama puoriŋ, yeli zaa yɛ naŋ wa yele dɔglɔ yi la a sebɛlbɛllɛ zie.’
MAT.5.38	Yɛ woŋee la ka ba da yeli, ‘Ka neɛŋ wa iri fo nimiri ka fo meŋ iri o meŋ nimiri, bee ka ka neɛŋ wa kɔɔ fo nyenee, meŋ kɔɔ o meŋ nyenee.’ 
MAT.5.39	Kyɛ maa yele korɔ yɛ la: Ta yɔɔ neɛ naŋ e fo faa ne faaloŋ. Kyɛ ka neɛ wa va fo duluŋ lampɛgreŋ, leɛ a gɔɔ meŋ ko o ka o fale; 
MAT.5.40	ka neɛzaa wa boɔrɔ ka o sɛ fo naayiri poɔ, a de fo kparbile, de a fo kpar-kpoŋ meŋ ko o poɔ. 
MAT.5.41	Ka neɛzaa meŋ wa fere fo ka fo tuo o boma kyɛŋ ne mɛle yeni, tuo kyɛŋ ne mɛlɛ ayi. 
MAT.5.42	Yɛ maŋ ko neɛzaa naŋ sɔre bon yɛ zie. Yɛ ta wa mɔŋnɔ neɛ naŋ boɔrɔ pɛmmo yɛ zie.
MAT.5.43	“Yɛ da woŋee la ka ba yeli, ‘Nɔŋ fo tɔsoba, kyɛ kyiiri fo dɔndɔmɔ.’ 
MAT.5.44	Kyɛ maa yele korɔ yɛ, yɛ nɔŋ yɛ dɔndɔnne, a puoro korɔ banaŋ naŋ dɔgrɔ yɛ, 
MAT.5.45	ka yɛ na toɔ̃ waa a yɛ Saa naŋ be tenvelaa poɔ biiri. Bonso, ona la maŋ e ka ŋmenaa puri eŋ a nenfaare ane a nemmenne; a kyɛ e ka saa mi eŋ a nemmenne ane a nenfaare zaa. 
MAT.5.46	Ka yɛneŋ nɔŋ a banaŋ naŋ nɔŋ yɛ yoŋ, boŋ tɔnɔ ka yɛ na nyɛ? A zuyɔɔ-derebɛ meŋ gba nɔnɔ la ba nɔneba wɛ! 
MAT.5.47	Ka yɛneŋ puoro yɛ yɔɔmine ane yɛ yɔɔpuuli yoŋ, boŋ yeli kpoŋ la ka yɛ erɛ gaŋ yɛ taaba? A Nemboore-yobo
