GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
GEN.2.1	No dalak naa, Manetualain nakadadadik nala lalai no dae-inak no basa oe-isin nara lalaꞌen.
GEN.2.2	Ana adu nala basa sara, boe ma neu beꞌe-main, ndaa no fai kahitun, Ana hahae. 
GEN.2.3	No dalak naa, Ana tao fai kahitun neu fai ina-huuk lena basa fai laen nara. Ana koladu talo naa, nahuu nateꞌe Ndia ue-osan ena, boe ma neu fai kahitun Ana hahae. 
GEN.2.4	Manetualain nakadadadik lalai no dae-inak tutuin, ndia talo naa.
GEN.2.4	Neu MANETUALAIN bei fo mulai nakadadadik lalai no dae-inak naa, 
GEN.2.5+GEN.2.6	bei ta hambu sele-tandek hata-hata, nahuu Ana bei ta nakonda udan. Lelek naa, bei hambu kada koꞌa-masuk mana hene numa dae mai fo tao nakoe dae-inak. Ma bei ta hambu hatahori dae-bafok fo naue-osa osi-lutu. 
GEN.2.7	Basa boe ma MANETUALAIN haꞌi nala dae faa, de Ana adun dadi neu hatahori dae-bafok. Boe ma Ana fuu ani hahaek neni idu bolon neu, de hatahori dae-bafok naa dadi horis neuk ka.
GEN.2.8	Basa boe ma MANETUALAIN tao nala osi esa numa dae Eden, nai dulu. De Ana fee hatahori dae-bafok naa leo neu osi naa dale. 
GEN.2.9	Nai osi naa dale, Ana nakamomorik ai huuk malole mata-matak kara ena, ma ai huuk fo hatahori bisa naꞌa no malada. Ana oo nakamomorik ai huuk matak dua numa osi naa talada heon boe. Ai huuk esa, mete ma hatahori naꞌa boan, na, ana bisa nasoda nakandoo. Tehuu ai huuk esa bali, mete ma hatahori naꞌa boan, na, ana bisa bubuluk bee ndia neulauk ma bee ndia manggarauk.
GEN.2.10	Hambu lee esa numa dae Eden, ndia faa dea neu numa osi naa mai. Lee naa nabaꞌe dadi neu panggek haa. 
GEN.2.11	Panggek kaesan, nade Pison. Panggek naa eko-feo ndule dae Hawila, fo hambu lilo mbilas noꞌuk ka. 
GEN.2.12	Numa naa hambu lilo mbila isik, hambu ai huuk fo daan naboo meni, ma hambu batu manggadilak. 
GEN.2.13	Lee naa pangge kaduan, nade Gihon. Panggek naa eko-feo ndule dae Kus.
GEN.2.14	Panggek katelun, nade Tigris. Panggek ia dadi too-lane neu dae Asyur
GEN.2.15	MANETUALAIN fee hatahori dae-bafok naa leo numa Eden, fo ana faduli natalolole osi naa. 
GEN.2.16	De Ana fee parenda neu hatahori dae-bafok naa nae, “O bole muꞌa ai boak hata a mesan numa basa ai huuk marai osi ia dale mai. 
GEN.2.17	Tehuu hambu esa, o ta bole muꞌa sana. Ndia, ai huuk fo mana fee o bubuluk bee ndia neulauk ma bee ndia manggarauk. Mete ma o muꞌan, na, neu ko o mate.”
GEN.2.18	Basa boe ma MANETUALAIN kokolak bali nae, “Ta malole mete ma hatahori dae-bafok ia leo-laꞌo mesa kana. De Au nau adu feen, nonook esa nandaa noon.”
GEN.2.19+GEN.2.20	Lelek naa, MANETUALAIN haꞌi nala dae, de adu nala banda mata-matak kara ma mbuik kara. Basa boe ma Ana neni bandar ro mbuik kara reni hatahori naa reu, mita fo ana foi naden nara. Boe ma hatahori naa foi bandar ma mbuik kara raa, esa-esak no naden. Tehuu ndia mesa kana bei ta hambu nonook esa fo nandaa noon.
GEN.2.21	Basa boe ma MANETUALAIN fee hatahori naa sunggu seli. Neu ana sunggu, MANETUALAIN haꞌi nala kaihusu duin esa, basa de Ana mbambalu falik hinak naa. 
GEN.2.22	Numa duik naa mai, Ana adu dadi inak. Basa de Ana loo lima inak neu hatahori naa. 
GEN.2.23	Hatahori naa mete-nita inak naa, boe ma ana nae,
GEN.2.23	“Naaa! Ia dei! Ia dei fo nandaa no au!
GEN.2.23	Ndia duin sama leo au duing.
GEN.2.23	Ma ndia mbaan oo sama leo au mbaang boe.
GEN.2.23	Huu ana dadi numa touk mai, de au foin nade ‘inak’.”
GEN.2.24	Huu naa de touk muste laꞌo ela inan ma aman,
GEN.2.24	fo neu leo dalek esa no ndia saon,
GEN.2.24	huu dua sara dadi reu esa ena.
GEN.2.25	Lelek naa, dua sara makaholak kara, tehuu ara ta rameda mae faa boe na.
GEN.3.1	Numa basa bandar fo MANETUALAIN nakadadadi nalak kara nai dae-bafok ia ena, mengge ndia mana malela pepeko-lelekok sudi selik kana. Laꞌe esa, hambu mengge natane neu inak naa nae, “Tebe, do? Manetualain kaꞌi nae, ‘Ei ta bole miꞌa ai boak numa ai huuk kara marai osi ia dale mai, hetu?’ ”
GEN.3.2+GEN.3.3	Inak naa bala nae, “Taa! Ai bole miꞌa! Tehuu hambu kada ai huuk esa nai osi taladan, ndia Manetualain kaꞌi fo ai ta bole miꞌan. Ana nae ai ta bole miꞌa, ma ta bole mafaroe boan, huu neu ko ai mate.”
GEN.3.4	Tehuu mengge naa naselu nae, “Wee, naa ta ndaa! Ei ta mate! 
GEN.3.5	Manetualain memak kaꞌi talo naa, nahuu Ana bubuluk ena mete ma ei miꞌa ai boak naa, ei dadi malelak sama leo Ndia. Ndia, bubuluk bee ndia neulauk, ma bee ndia manggarauk.”
GEN.3.6	Basa boe ma inak naa mete neu te ai huuk naa lolen seli, ma boan nok bali ladan seli. De ana duduꞌa nae, “Mete ma au uꞌa ai boak ia, neu ko au dadi malelak.” Boe ma ana ketu nala ai boak naa, de naꞌa. Basa de ana ketu neni fee saon, de saon naꞌa. 
GEN.3.7	Ara raꞌa basa, dei de ara bubuluk rae sira dua sara makaholak kara. Huu naa de ara nato ai dook kara fo ara mbambalu neu sira makaholan.
GEN.3.8	Ledo bobon naa, ara ramanene MANETUALAIN laꞌo-laꞌo numa osi naa dale. Boe ma ara keke reu ai huuk boboan seri, mita fo MANETUALAIN ta mete-nita sara. 
GEN.3.9	Tehuu MANETUALAIN nanggou touk naa nae, “Adam, aa! O nai bee?”
GEN.3.10	Touk naa naselu nae, “Au amanene Manetualain haran nai ia. Tehuu au mae, huu au makaholak. Huu naa de au alai mai keke.”
GEN.3.11	Boe ma MANETUALAIN nae, “See ndia nafada nae o makaholak? Talo bee? O muꞌa ai boak fo Au kaꞌi ei boso miꞌak naa, hetu?”
GEN.3.12	Ana naselu nae, “Inak ia fo Manetualain feen mai fo nanonoo no au naa, ana ndia fee au ai boak naa, de au uꞌa!”
GEN.3.13	Basa boe ma MANETUALAIN kokolak no inak naa nae, “Tao hata de o tao talo naa?”
GEN.3.13	Boe ma inak naa naselu nae, “Te mengge kedi-ira nala au na! Huu naa de au uꞌa ai boak naa, leo maa.”
GEN.3.14	Basa boe ma MANETUALAIN nakatoo mengge naa nae,
GEN.3.14	“Huu o tataon ia, de Au huku-doki o. Numa basa banda laen mai, kada o mesa ngga hambu neketook talo ia. Mulai numa hatematak ia neu losa o mate, o roso munik kada o poꞌon, ma o muꞌa nai kada daer. 
GEN.3.15	Au tao o mua inak ia, esa musu no esa seku neu. Ma ei dua ngga tititi-nonosim mara oo talo naa boe. O tititi-nonosim neu ko kiki nala hatahori ei tinggan. Tehuu ndia tititi-nonosin esa, neu ko tutu nakalulutu o langgam.”
GEN.3.16	Basa de Manetualain nafada inak naa nae,
GEN.3.16	“Neu ko Au tamba o susa-sonam neu faik fo o mairu, ma tamba nembetak neu faik fo o bonggi. Leo mae talo naa, tehuu o dalem oo bei hii nalan seli neu o saom boe. Ma ana ndia koladu o.”
GEN.3.17	Boe ma Manetualain nafada touk naa nae,
GEN.3.17	“O ta tungga au parendang, tehuu tungga o saom hihiin, losa o muꞌa ai boak fo Au kaꞌik naa ena. Huu naa de o hambu huku-dokik boe. Ma dae oo hambu huku-dokik boe. Mulai numa hatematak ia neu losa o mate, o muste maue-osa fafandek lima-eim doꞌi dae, fo o bisa hambu nanaꞌak. No o maue-osa talo naa, dei fo o bisa masoda. 
GEN.3.18	Leo mae o sele-tande mata-matak kara, tehuu dae nakamomorik kada dilak ma nggauk. 
GEN.3.19	De o muste maue-osa fafandek lima-eim, dei fo dae fee o nanaꞌak. O muste maue-osa mbusem titi talo naa losa mate. Au adu ala o numa dae mai. De mete ma o mate, na, o fali muu dadi dae bali.”
GEN.3.20	Basa boe ma Adam foi saon, nade ‘Hawa’ (fo sosoa-ndandaan nae ‘mana masodak’), huu ndia naa, basa hatahori mana masodak inan.
GEN.3.21	Boe ma MANETUALAIN tao bua-loꞌa numa banda roun mai, fo fee dua sara pake.
GEN.3.22	Basa boe ma MANETUALAIN kokolak nae, “Hatematak ia, hatahori iar bubuluk ena bee ndia neulauk, ma bee ndia manggarauk, sama leo Ita. Boso losak ara oo raꞌa ai boak numa ai huuk mana fee sara rasoda seku neu boe.” 
GEN.3.23	De Ana husi kalua heni sara numa osi manai Eden naa mai, fo ara reni mamanak laen reu, de ara leo-laꞌo no ue daek, fo rasoda numa dae buna-boan mai. 
GEN.3.24	Manetualain husi basa sara, boe ma Ana nadenu Ndia ata kalidan nara ruma nusa tetuk do inggu temak mai,
GEN.4.1	Faik esa, Adam neu sunggu-soro no saon Hawa. Boe ma inak naa nairu. De ana bonggi nala ana touk esa. De ana nae, “Au bonggi ala ana touk esa ena, nahuu MANETUALAIN tulun au ena.” Ana foi kanak naa nade, 
GEN.4.2	Basa boe ma Hawa bongggi seluk ana touk esa bali. Ana foin nade 
GEN.4.2	Neu dua sara ramoꞌo mamais, Habel lolo banda-manur, ma Kaen naue-osa osi-lutu. 
GEN.4.3	Laꞌe esa, Kaen haꞌi neni ndia osin buna-boan ketuk, fo fee MANETUALAIN. 
GEN.4.4	Habel oo haꞌi neni ndia bibi lombo inan nara ana ulun. Ana hala bibi lombor raa, de haꞌi nala mbaa neulaun lenak fee Manetualain. MANETUALAIN mete-nita talo naa, boe ma Ndia dalen namahoko huu Habel ma tunu-hotun naa. 
GEN.4.5	Tehuu Ana ta hii Kaen ma tunu-hotun naa. De Kaen namanasa nalan seli, losa matan manggarau ndoos.
GEN.4.6	Boe ma MANETUALAIN kokolak no Kaen nae, “Weeh, Kaen! Tao hata de o mamanasa talo naa? Talo bee de o matam manggarau ndoos? 
GEN.4.7	Mete ma o tao neulauk, neu ko Au oo simbok o no neulauk boe. Tehuu besa-besa! Mete ma o tao manggarauk, na, neu ko manggarauk naꞌa nasafali o, sama leo meo nae kobo lafo. Dadi mete ma o hihiik ka tao manggarauk, malole lenak o timba henin memak kana leo!”
GEN.4.8	Laꞌe esa, Kaen fufudi Habel nae, “Fadi, ee! Mai fo ita laꞌo-laꞌo teni osi teu.”
GEN.4.9	Boe ma MANETUALAIN natane Kaen nae, “Wee, Kaen! O fadim nai bee?”
GEN.4.9	Kaen naselu nae, “Au ta bubuluk ana nai bee! Mae hetu ko au ia, soa toꞌu ndia ein, do?”
GEN.4.10	Boe ma MANETUALAIN kokolak nae, “Tao hata de o tao manggarauk talo naa? Boso duꞌa mae, o bisa mafuni mala o fadim daan nai daer, huu Au mete-ita basa sara ena! 
GEN.4.11	Hatematak ia neketook daka nala o ena. Huu neu o hala misa o fadim, dae musi nala daan. De hatematak ia dae naa ta bisa baꞌe fee o soda-ladak ena. 
GEN.4.12	Mete ma o tao osi-lutu, dae ta nau baꞌe fee o buna-boak hata esa boe na ena. Mulai numa hatematak ia neu, o soa laꞌo madaba oek muu-mai sama leo hatahori kasian fo mana sangga soda-ladak nai dae-bafok ia.”
GEN.4.13	Tehuu Kaen nasabara neu MANETUALAIN nae, “Awii! Manetualain, ee! Talo bee de Manetualain fee au neketook beran seli, losa au ta bisa lemba abeꞌin bali ia? 
GEN.4.14	Huu Manetualain husi heni au numa mamanak ia mai ena, neu ko au dook ka numa Manetualain mai. Au soa adabak uni bee a mesan uu. De see a mesan ndia natonggo no au, na, neu ko ara tao risa au.”
GEN.4.15	Tehuu MANETUALAIN naselu nasafali nae, “Ta talo naa! See ndia tao nisa o, neu ko Au fee huku-dokik neun beran lena laꞌe hitu!” Basa de MANETUALAIN tao tanda neu Kaen, mita fo hatahorir bubuluk fo ara ta tao risan. 
GEN.4.16	Basa boe ma Kaen laꞌo ela mamanak naa, fo nakadodook numa MANETUALAIN mai. Ana laꞌok losa mamanak esa, nai osi Eden boboan dulu. Mamanak naa nade 
GEN.4.17	Basa boe ma Kaen sao, de saon nairu. Ana bonggi nala ana touk esa, ara foin nade Henok. Ma Kaen nambaririik nggorok esa, de ana foi nggorok naa nade Henok, tungga ndia anan naden. 
GEN.4.18	Boe ma Henok anan, ndia Irad. Irad anan, Mehuyael. Mehuyael anan, Metusael. Ma Metusael anan, Lamek.
GEN.4.19	Lamek saon dua. Esa nade Ada, ma esa bali nade Sila. 
GEN.4.20	Ada anan, nade Yabal. Ndia tititi-nonosin nara dadi mana lolo banda. Ara leo lali-lali mamanak, ma leo nai kada laak dale. 
GEN.4.21	Yabal fadin nade Yubal. Yubal tititi-nonosin nara dadi hatahori mana makaminak bua kaliik, pake sulik ma bua kaliik kukutik pake loa.
GEN.4.22	Lamek saon Sila bonggi nala Tubal Kaen. Tititi-nonosin nara dadi mana tutu besi, fo tao bua-baꞌu mata-matak numa besi ma riti mai. Tubal Kaen fadi inan, nade Naꞌama.
GEN.4.23	Laꞌe esa, Lamek koa aon neu saon dua sara matan nae, “Ei nenene, ee! Bebeik kara ia tou taꞌe anak esa nggafu au, tehuu au poko isan. 
GEN.4.24	Hatahori mana hala nisa Kaen, hambu huku-dokik beran lena laꞌe hitu. Tehuu mete ma see nae bala nembeda dalen neu au, na, ara hambu huku-dokik beran lena laꞌe 77.”
GEN.4.25	Adam saon Hawa, bonggi seluk ana touk esa bali. Boe ma ara foi kanak naa nade, 
GEN.4.26	Doo-doo boe ma Set hambu ana touk esa, nade Enos.
GEN.4.26	Lelek naa, hatahorir mulai rakaluku-rakatele neu MANETUALAIN.
GEN.5.1+GEN.5.2	Neu Manetualain adu hatahori dae-bafok, Ana adu mata-aon nara sama leo Ndia mata-ao heli-helin. Ana adu sara, touk ma inak. Basa boe ma Ana noke naden nara nae, “hatahori dae-bafok”, boe ma Ana fee babaꞌe-babatik neu sara.
GEN.5.1+GEN.5.2	Hatahori dae-bafok makasososak naden, Adam. Adam tititi-nonosin nara naden:
GEN.5.3	Neu Adam teun nara 130, boe ma ana hambu ana touk esa, mata-aon sama leo aman. Boe ma ana foi kanak naa, nade 
GEN.5.4	Basa boe ma Adam bei nasoda teuk 800 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.5	Teun nara 930, boe ma maten.
GEN.5.6	Neu Set teun nara 105, boe ma ana hambu ana tou anak esa, nade Enos. 
GEN.5.7	Basa boe ma Set bei nasoda teuk 807 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.8	Teun nara 912, boe ma maten.
GEN.5.9	Neu Enos teun nara 90, boe ma ana hambu ana touk esa, nade Kenan. 
GEN.5.10	Basa boe ma Enos bei nasoda teuk 815 bali, ma hambu tamba seluk ana touk ma inak. 
GEN.5.11	Teun nara 905, boe ma maten.
GEN.5.12	Neu Kenan teun nara 70, boe ma ana hambu ana touk esa, nade Mahalalel. 
GEN.5.13	Basa boe ma Kenan bei nasoda teuk 840 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.14	Teun nara 910, boe ma maten.
GEN.5.15	Neu Mahalalel teun nara 65, boe ma ana hambu ana touk esa, nade Yared. 
GEN.5.16	Basa boe ma Mahalalel bei nasoda teuk 830 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.17	Teun nara 895, boe ma maten.
GEN.5.18	Neu Yared teun nara 162, boe ma ana hambu ana touk esa, nade Henok. 
GEN.5.19	Basa boe ma Yared bei nasoda teuk 800 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.20	Teun nara 962, boe ma maten.
GEN.5.21	Neu Henok teun nara 65, boe ma ana hambu ana touk esa, nade Metusalak. 
GEN.5.22	Basa boe ma Henok leo-laꞌo dalek esa no Manetualain, losa teuk 300 bali. Boe ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.23+GEN.5.24	Ana leo-laꞌo dalek esa no Manetualain seku neu. Neu teun nara 365, boe ma mopok kana, nahuu Manetualain soꞌuk kana neni lalai neu.
GEN.5.25	Neu Metusalak teun nara 187, boe ma ana hambu ana touk esa, nade Lamek. 
GEN.5.26	Basa boe ma Metusalak bei nasoda teuk 782 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.27	Teun nara 969, boe ma maten.
GEN.5.28	Neu Lamek teun nara 182, boe ma ana hambu ana touk esa. 
GEN.5.29	Lamek foi anan naa nade, 
GEN.5.30	Basa boe ma Lamek bei nasoda teuk 595 bali, ma ana hambu tamba seluk ana touk ma inak. 
GEN.5.31	Teun nara 777, boe ma maten.
GEN.5.32	Neu Noh teun nara 500 ena, boe ma ana hambu ana touk telu, ndia: Sem, Yafet, ma Ham.
GEN.6.1	Lelek naa, hatahori dae-bafok tamba namanoꞌu ena. Boe ma ara leo ratanggenggela sudi rai bee, ndule basa dae-bafok ia ena. Ara oo bonggi rala ana inak kara boe. 
GEN.6.2	Manetualain ana toun nara
GEN.6.3	Boe ma MANETUALAIN nae, “Au mangguk ka ena ua hatahori dae-bafok leleo-lalaꞌo takandaan nara ia. Au Dula-daleng mana baꞌe masodak neu sara raa, ta nau fee sara rasoda seku neu ena bali.
GEN.6.4	Tembo-lelek naa, ma tembo-lele bakadeak kara mana tungga naa, hambu hatahori parangguk kara nai dae-bafok ena.
GEN.6.5	Lelek naa, MANETUALAIN mete-nita hatahori dae-bafok nai dae-bafok manggaraun nara sudi selik kana ena. Dalen nara duꞌa kada manggarauk taa-taa. 
GEN.6.6	De MANETUALAIN fale dalen adu nala sara ena fo leo nai dae-bafok ia. Naa, tao nala Ndia dalen hedis sudi selik kana. 
GEN.6.7	Huu naa de Ana kokolak nae, “No dalak naa, neu ko Au akalulutu hatahori dae-bafok, fo Au adu ala sara rai dae-bafok ia. Au oo akalulutu basa mbuik kara ma banda laen nara lalaꞌen boe. Huu Au fale daleng adu ala sara ena.” 
GEN.6.8	Tehuu kada Noh mesa kana, ndia tao namahoko MANETUALAIN dalen.
GEN.6.9+GEN.6.10	Noh tutuin talo ia: ana toun nara telu, ndia Sem, Yafet ma Ham. Noh naa, leo-laꞌo tungga ndoon, ta tao mangggarauk, ma ana leo-laꞌo deka-deka no Manetualain. Lelek naa, kada mesa kana ndia neulauk.
GEN.6.11+GEN.6.12	Tehuu Manetualain mete-nita basa hatahori laen manggarau ndoos sara. Nai bee a mesan, hatahorir leleo-lalaꞌon nara ta neulauk sudi selik kana ena. Manetualain mete-nita hatahori dae-bafok nai dae-bafok naa, kada manggarauk kara. 
GEN.6.13	Boe ma Ana nafada Noh nae, “Nai bee a mesan, Au mete-ita kada hatahori dae-bafok manggaraun. Dadi Au aketu basa ena ae, Au ae akalulutu basa dae-bafok ia no oe-isin lalaꞌen. 
GEN.6.14	De talo ia, Noh! Hatematak ia o tao mala ofa moꞌok esa numa ai teas mai. Nai ofak naa dalen, o tao kamar. Basa naa, balu ofak naa pake ter. 
GEN.6.15	O tao ofak naa narun meter 133; loan meter 22; ma deman meter 13. 
GEN.6.16	Ofak naa, taon kareredok. Tehuu reredok naa, naomba nai rarain meter seserik esa numa rindi lain mai. O baꞌe ofak naa dadi tadak telu. Boe ma tao lelesu esa nai ofak naa boboan.
GEN.6.17	Masaneda matalolole! Neu ko Au akonda faa moꞌok fo ana nakamate basa hata fo horis marai dae-bafok ia, losa ta ela hata esa boe na. 
GEN.6.18	Tehuu Au nau ndara fangga hehelu-bartaak ua o. Neu ko o maso muni ofak naa dale muu, sama-sama mua o saom, o anam mara, ma o feto-feum mara.
GEN.6.19+GEN.6.20	Numa basa bandar lalaꞌen mai, o muste haꞌi pasan esa-esak, fo muni sara reni ofak naa dale reu, mita fo ara rasoda sama-sama ro o. Sira: banda nekeboik, mbuik kara, ma banda mana manodo-manamak kara, mita fo basa sara rasoda. 
GEN.6.21	O muste muni basa nanaꞌak mata-matak kara reni ofak dale reu soa-neu ei, ma basa bandar raa.”
GEN.6.22	Basa boe ma Noh tao tungga basa Manetualain parendan lalaꞌen.
GEN.7.1	Basa boe ma MANETUALAIN kokolak no Noh nae, “Au mete uni sudi bee uu, tehuu hambu kada o mesa ngga ndia, dale ndoos. Huu naa de, o mua o sao-anam mara maso meni ofak dale miu leo. 
GEN.7.2+GEN.7.3	Numa basa bandar mata-matak kara mai fo ei bole miꞌan, ma bee fo ei bole menin fee Au, na, o here mala pasan hitu-hituk, fo muni sara reni ofak naa dale reu. Numa basa mbuik mata-matak kara mai oo, muni pasan hitu-hituk boe. Tehuu numa bandar laen nara mai, muni kada pasan esa-esak. No dalak naa, bandar ma mbuik kara raa dadi bini, fo ta ramaketu.
GEN.7.4	Masaneda matalolole! Huu faik hitu bali, Au akonda udan ta namaketu hatu-leledon losa faik haa hulu. No dalak naa, Au akamate basa horis lalaꞌen marai mada lai fo Au akadadadi alak kara ena.”
GEN.7.5	Basa boe ma Noh tao tungga basa MANETUALAIN parendan lalaꞌen. 
GEN.7.6	Neu lelek fo faa moꞌok mai naa, Noh teun nara 600. 
GEN.7.7	Boe ma Noh no saon, anan nara, ma feto-feun nara, maso reni ofak naa dale reu, fo ara rasoda numa faa moꞌok naa mai. 
GEN.7.8+GEN.7.9	Tungga MANETUALAIN parendan naa, boe ma Noh neni basa mbuik mata-matak kara, ma bandar laen nara, esa-esak no ndia pasan numa bee fo hatahori bole naꞌan, ma bee fo hatahori ta bole naꞌa sana, de ana neni sara ofak dale reu. 
GEN.7.10	Basa faik hitu, boe ma faa moꞌok lala mai, de mulai tatana nala dae-bafok ia.
GEN.7.11	Ndaa neu Noh teun nara 600, tamba bulak dua ma faik 17, boe ma faa moꞌok lala mai! Lelek naa, leo bali lelesu lalais neni soik, de oen mboꞌa dae mai. Ma basa oe bubuk kara marai dae dale kadi sara, de oe rasapupura dea mai. 
GEN.7.12	Boe ma udan konda ta namaketu hatu-leledon, losa faik haa hulu dalen.
GEN.7.13	Tehuu faik naa oo, Noh, saon, ana katelun nara, ndia Sem, Yafet, ma Ham, ma Noh feto-feun nara, maso reni ofak naa dale reu. 
