MAT.1.3	Yúda mú byâ Farɛs bá Zára, nyɔɔŋgʉ́ wáŋ wə́ Tamar. Farɛs mú byâ Ɛsrom. Ɛsrom byâ Aram. 
MAT.1.22	Sɔ́ɔ́lʉ́gʉ́ nɨ wɛ̂sh í á bwəma nə ciyá Zɛmbî nyə á bwey cɨ mpu mə́ *múúd micúndə́ yé dɨ́ yí, nə́:
MAT.1.23	í mú byâ mwámudûm.
MAT.1.23	Bwə́ bá dʉ jɔ̂w nyə nə́ Imanuwɛ̂l.
MAT.1.23	Jínə́ dɔɔŋg í kə́ nə́ Zɛmbî jisə sə́dɨ́.
MAT.1.24	Ja Yósɛb mə́ juum yí, a mú sá nda éŋgəles mə́ Yawé nyə ámə cɨ nə nyə nə́. Nyə á shwal bá Maríya, 
MAT.1.25	njɨ bá bwə́ kú sɛɛŋgya, kə jé ja Maríya mə́ byâ mwámudûm yí. Yósɛb mú nə́mə́ gwiid Mwân wɔɔŋg nə́ Yésus.
MAT.2.1	Yésus nyə a byɛ̂l ŋgwə́la á Betʉlehɛm, shí á Yudéa, Herod ŋgə́ jwú nə lɔɔm. Ja Yésus mə́ shîn byɛ̂l yí, bɔ́ɔ́l búúd bwə́ á zhu ŋgɛɛ kɔ́ɔ́mb jwɔ̂w í dʉ cúwo yí, zə jé Yurʉ́səlɛm. Buud bɔɔŋgʉ́ bwə́ á bə məma ómpuye ɔ́ ísâ, bwə́ á dʉ bigas wəacén-cénî. 
MAT.2.2	Bwə́ á ka ŋgə jî nə́: «Njwû *Oyúdɛn ŋgə́ kúnɔw byɛ̂l yɛ́, jɨ́ ŋgow? Sə́ á dʉ́g acén-céní yé kɔ́ɔ́mb jwɔ̂w í dʉ cúwo yí. Sə́ mə́ ká zə yə nyə gúmə́.» 
MAT.2.3	Lâŋ nɨ í á ka zə tɨ̂ Njwú-buud Herod məkuú shí, bə́nɔ̂ŋ buud wâ Yurʉ́səlɛm bɛ̂sh. 
MAT.2.4	Ntɔ́ a mú jɔ̂w mílúlúú myâ ofada nə *Oyɨ́ɨ́gʉli ɔ́ mə́cɛ̧ɛ̧ wâ kúl búúd *Izʉrəyɛ̂l. A mú jî bwo nə́ bwə́ jááwʉg nyə kʉ́l í á bə nə́ *Krîst mə bá byɛ̂l yí. 
MAT.2.5	Bwə́ nə nɛ́ nə́: «Betʉlehɛm, ŋgwə́la á Yudéa.» Sâ jɔɔŋgʉ̂ wə́ *múúd micúndə́ nyə á cilə yí, nə́:
MAT.2.6	Wo kú dʉ́g nə́ wo wə́ mə́ búl cwáágʉwo míŋgwə́la myâ Yudéa myɛ̂sh dɨ̂,
MAT.2.6	nəcé wúl mbyágá wô í bá bə cî ánʉ́nɨ̂.
MAT.2.6	Nyə wə́ mə́ bá wɨ́ɨl kúl búúd jâm Izʉrəyɛ̂l.
MAT.2.7	Ntɔ́ Herod mú jɔ̂w ómpuye ɔ́ ísâ ɔ́nɨ shwoó, nə́ bwə́ mpúg jaaw nyə baan ácén-céní wɔɔŋgʉ̂ nyə á tɛ́ɛ́d nyínʉ́lə joŋ dɨ́ yí. 
MAT.2.8	Nə́ ndɛɛ́ nyə mú kənd bwo Betʉlehɛm. Nyə nə́: «Kagâ. Bɨ kə́g mpu wámbʉlə kʉ́l Mwân wɔɔŋg jísə́ yí. Bɨ́ mə́ ká kwey nyə, bɨ músə zə jaaw mə, mə bâg nə́mə́ kə yə nyə gúmə́.»
MAT.2.9	Ja bwə́ mə́ shîn gwágʉlə njwú-buud yí, bwə́ mú kyey. Bwə́ mú kwo dʉ́g ácén-céní bwə́ á fwo dʉ́g kɔ́ɔ́mb jwɔ̂w í dʉ cúwo yɛ́, a ŋgə́ kə bwo shwóg. A mú kə nə́ ndɛɛ́, kə jé kʉ́l mwân nyə á bə yí, a mú shigʉla cínɔŋg gwɔ̂w. 
MAT.2.10	Ja bwə́ mə́ dʉ́g ntɔ́ yí, bwə́ mú bul shwas. 
MAT.2.11	Bwə́ mú nyíi njɔ́w, dʉ́g mwân bá nyɔɔŋgʉ́ yé Maríya. Bwə́ mú kúd mə́mpwoombʉ́ shí, yə mwân gúmə́. Nə́ ndɛɛ́ bwə́ mú juw íwɔ́lɛ byáŋ, ŋwa ísâ í gúmə́ bwə́ á zə nə ndɨ̂ yí, cwámbʉlə nyə. Isâ byɔɔŋg í á bə, nə or, nə *cáá nə *mîr.
MAT.2.12	Nə́ ndɛɛ́, Zɛmbî mú kɛ́wʉli bwo ntámə́d nə́ bwə́ kú ná kwo kə wə́ Herod. Ntɔ́ bwə́ mú kyey zhɨ́ɨ́ shúsʉ́d, nyiŋgə́lə kə bwə́dɨ́.
MAT.2.13	Ja ómpuye ɔ́ ísâ bwə́ mə́ shîn kyey yí, *éŋgəles mə Yawé mú zə lésha nə Yósɛb ntámə́d. Nyə nə́: «Wɔɔlʉ́g, wo ŋwág Mwân bá nyɔɔŋgʉ́, wo wúg nə bwo wa, bɨ kyéyʉg, kə shwaaw shí á Igîpten, nəcé Herod nyə e sɔ̧́ nə́ a gwú mwân. Bɨ́ é kə ji nûŋ, kə wɔ́ɔ́s ja mə́ bá cɨ nə́ bɨ nyíŋgəg zə yí.» 
MAT.2.14	Yósɛb mú wɔɔl, ŋwa Mwân bá nyɔɔŋgʉ́ nə́mə́ búlú nɨɨ́d, bwə́ mú kyey kə shwaaw shí á Igîpten. 
MAT.2.15	Bwə́ á ji wu, kə jé ja Herod nyə á yə yí. Sɔ́ɔ́lʉ́gʉ́ nɨ wɛ̂sh í á bwəma nda Yawé nyə á bwey lás wə́ *muud micúndə́ yé nə́, nə́: «Mə a jɔ̂w Mwân wáam, nə́ a wúg shí á Igîpten.»
MAT.2.16	Ja Herod mə́ dʉ́g nə́ ompuye ɔ́ ísâ bwə́ mə́ shɨɨg nyə yí, a mú jág gwág bɔ̂w. A mú kənd buud bɛ́ Betʉlehɛm nə mə́nd mâ kúnə́-kúnə, nə́ bwə́ kə́g gwú bwábudûm bɛ̂sh, tɛ́ɛ́d ikény kə jé bɔɔŋg wâ mimbû mímbá. Nyə a fɛ́ɛ́sh ntɔ́ bɛ̧ɛ̧́lə baan ómpuye ɔ́ ísâ bwə́ á jaaw nyə yí. 
MAT.2.17	Ntɔ́ sâ múúd micúndə́ Zheremî nyə á bwey cɨ yí í mú zə bwəma. Nyə á cɨ nə́:
MAT.2.18	nə məyə̂ nə mimbʉ́gú mí áyíyáág.
MAT.2.18	Rashɛl nyə á ŋgə jɨɨ bwân bɛ́,
MAT.2.18	a ŋgə́ ban nə́ muud kú cweel nyə mpimbə,
MAT.2.18	nəcé bwân bwə́ cúgɛ́ ná.
MAT.2.19	Mpʉ́sə shwɨy mə́ Herod, Yósɛb njúl ná shí á Igîpten, éŋgəles mə Yawé mú kə lésha nə nyə ntámə́d. 
MAT.2.20	Nyə nə nɛ́ nə́: «Tɔ́wʉ́g! Ŋwaŋg Mwân bá nyɔɔŋgʉ́, wo nyíŋgəg nə bwo, kə shí á *Izʉrəyɛ̂l, nəcé buud bwə́ á ŋgə cɛɛl gwú Mwân wá, bwə́ mə́ shîn yə.» 
MAT.2.21	Yósɛb mú tɔ̂w, ŋwa Mwân bá nyɔɔŋgʉ́, a mú nyiŋgə nə bwo, kə shí á Izʉrəyɛ̂l. 
MAT.2.22	Njɨ a mú gwág nə́ Mwân mə́ Herod bwə́ á dʉ jɔ̂w nə Arkeláwos yɛ́ wə́ mə́ shúgʉla nə icî yâ Yudéa. A mú fúndə kə̌lə wu. Zɛmbî nyə á zə kɛ́wʉli nyə ntámə́d, a mú kə shí á Galilê, 
MAT.2.23	kə ji ŋgwə́la á Nazarɛ̂t. Í á sɨ̂y ntɔ́ shú nə́ bwə́ bâg dʉ jɔ̂w nyə nə́: «Muud á Nazarɛ̂t». Ntɔ́, sâ búúd ɔ́ mícúndə́ bwə́ á bwey cɨ yí, í músə bwəma.
MAT.3.1	Na dúl fwála dɨ́, Yuánɛs Nduu-buud nyə á wɔ́ɔ́s shí a shwééshá á Yudéa. A mú ŋgə cúndə nə́: 
MAT.3.2	«Cɛ́ndʉ́gá mitə́dʉ́gá nəcé Faan á gwɔ́w mú kúnə́-kúnə.»
MAT.3.3	Muud ŋgə cúndə shí a shwééshád,
MAT.3.3	a ŋgə cɨ nə́: «Kwambʉləgá zhɨ́ɨ́ mə́ Cwámba,
MAT.3.3	bɨ́ sá íkwûŋ byé nə́ səndôŋ.»
MAT.3.5	Ntɔ́ buud ɔ́ Yurʉ́səlɛm nə bɔɔŋg wâ shí á Yudéa tɔɔ bɔɔŋg wâ fuundú ŋgwɔ̧ɔ̧́ Zhurdɛ̧̂ bɛ̂sh bwə́ á dʉ kə nyə́dɨ́, 
MAT.3.6	kə́ dʉ magʉlə *mísə́m tâm buud, Yuánɛs músə ka dʉ duu bwo ŋgwɔ̧ɔ̧́ Zhurdɛ̧̂.
MAT.3.8	Wúmə́gá fwámɛ́ mpúmə́
MAT.3.9	Kúgá bɛ̧ njɨ dʉ́lə tə́dʉga nə́: “Sə́ bâŋ sə́ bɨ́ mpwoŋ buud mə́ *Abʉraham” nəcé mə mpú jaaw bɨ́ nə́ Zɛmbî jɨ nə ŋkul shwɔ̧́ɔ̧la mə́kwóógʉ́ mə́ga, sá mwo bwân ɔ́ Abʉraham. 
MAT.3.10	Mpugá nə́ zʉ̂ŋ í wál zə sámb míkɔ̧ɔ̧lə́ mí ílɨ́ɨ́ mə́shugʉd. Bwə́ é cal lɨ́ɨ́ jɛ̂sh í ádɛ́ wúmə fwámɛ́ mpúmə́ yí, bwə́ kʉl gwo kudad. 
MAT.3.11	Mɛɛ mə ŋgə duu bɨ́ nə məjúwó shú lwólə nə́ bɨ́ mə́ cɛ́nd mítə́dʉ́gá. Njɨ ŋgwɔ́l múúd ŋgə zə mə mpʉ́sə. A jɨ nə mpífə́ cɔ̧́ mə. Mə ampíyáyɛ́ nə́ mə yílʉ́g nyə məŋgwub mə́kuúd. Nywáá mə́ bá duu bɨ́ nə Ŋkɛ̧́ŋkɛ̧̂ Shíshim nə kuda. 
MAT.3.12	A mbid fyafʉga mbwə́d. A bá zə bɛ́ɛ́g búúd nda bwə́ dʉ fyaf ŋkwáándə́ nə́. A ŋwa fwámɛ́ mpúmə́ nyɛ́ wá ŋkundád; a yîl ílwáásə́, shwu kuda jɨ́ kú bwɛlɛ jímə yííd.»
MAT.3.13	Ntɔ́ Yésus nyə a wú shí á Galilê, kə ŋgwɔ̧ɔ̧́ Zhurdɛ̧̂ wə́ Yuánɛs shú nə́ Yuánɛs dúúg nyə. 
MAT.3.14	Njɨ Yuánɛs kú magʉlə. Nyə nə Yésus nə́: «Í yida jəla nə́ wo wə́ dúúg mə, kú bə nə́ mə wə́ dúúg wo.» 
MAT.3.15	Yésus mú bɛ̧sa nə́: «Magʉləg nə́ í yídag bə nda mə́ ŋgə́ cɨ nə́, nəcé í jəla nə́ sâ jɛ̂sh í sɨ́yʉ́g nda Zɛmbî mə́ cɛ́ɛl nə́.» Yuánɛs músə magʉlə. 
MAT.3.16	Njɨ Yuánɛs nyə á shîn duu Yésus yí, Yésus ŋgə́ ná wú mə́júwó dɨ, joŋ í mú bâŋ. A mú dʉ́g Shíshim mə́ Zɛmbî í ŋgə́ shulə nda faf, zə ji nyə nyúúlʉ́d.
MAT.3.17	Nə́mə́ wəla dɔɔŋgʉ́, kə́l í mú cúwo joŋʉd, í ŋgə́ cɨ nə́: «Mwân waamə̂ alâm wə́ ɛ́ga. Nyə́dɨ́ wə́ lâm wâm wɛ̂sh wúsə́ yɛ́.»
MAT.4.2	Yésus mú ci ídʉ̂w wu tâŋ mwɔ̂w məwûm mə́nɔ̧̂, nə mwásə́ nə bulû. A mú ka gwág zha. 
MAT.4.3	Mása məbwə́bʉ́lán mú zə wɔ́ɔ́s nyə́dɨ́. Nyə nə nɛ́ nə́: «Ŋkí wo jɨ *Mwân mə́ Zɛmbî, cɨɨ́g nə məkwóógʉ́ mə́ga nə́ mə́ nyɛ́ɛ́g idʉ̂w.» 
MAT.4.4	Yésus mú yidá bɛ̧sa nə nyə nə́: «Jɨ́ cilyá Kálaad Zɛmbî dɨ́ nə́:
MAT.4.4	Muud cugɛ́ nə ŋkul cʉgə njɨ nə idʉ̂w.
MAT.4.4	Njɨ muud mə́ cʉgə nə ciyá jɛ̂sh í wú mpu mə́ Zɛmbî dɨ́ yí.»
MAT.4.5	Njwû məjamb mú kə nə nyə ŋgwə́la mə́ Zɛmbî. A mú kə tə̂l nyə zhwááŋgɛ̂ *Mpáánzə́ Zɛmbî dɨ́ gwɔ̂w. 
MAT.4.6	Nyə nə nɛ́ nə́: «Ŋkí wo jɨ Mwân mə́ Zɛmbî, bɨ́dʉ́g nyúul, kə kud shí. Nəcé jɨ́ cilyá Kálaad Zɛmbî dɨ́ nə́:
MAT.4.6	Zɛmbî mə bá lésha nə *wəéŋgəles bɛ́ shú dwô.
MAT.4.6	Bwə́ é ŋkɛ̂ny wo mə́bwə́d
MAT.4.6	shú nə́ kuú wô í nda bwɨɨm bɔɔgʉ́.»
MAT.4.9	Nyə nə nɛ́ nə́: «Ŋkí wo kúd mpwoombʉ́ shí wa mə́dɨ́ míshʉ́d, yə mə gúmə́, mə yə wo isâ ínɨ byɛ̂sh.» 
MAT.4.10	Yésus mú bɛ̧sa nə nyə nə́: «*Sátan, wúg mə míshʉ́d! Jɨ́ nə́mə́ cilyá nə́:
MAT.4.10	Dʉgʉ́ kúd mpwoombʉ́ shí njɨ wə́ Zɛmbî woó Yawé.
MAT.4.10	Njɨ nyə wə́ wó dʉ́g yə gúmə́ yɛ́.»
MAT.4.11	Ja Njwû məjamb mə́ gwág ntʉ́nɨ yí, a mú bɨ́d Yésus. Wəéŋgəles bwə́ mú wɔ́ɔ́s, bwə́ mú ka zə sɛ̂y nə Yésus.
MAT.4.13	Njɨ nyə a shígɛ́ ná kwo kə ŋgwə́la á Nazarɛ̂t. Nyə á yida kə ji ŋgwə́la á Kapɛrnawûm wúsə mâŋ dɨ́ koogʉ́, mpwəmá məshí mâ Zabulon nə Nɛftali yí. 
MAT.4.14	Yésus nyə á kə ji nûŋ shú nə́ iciyá í Izayí *muud micúndə́ í bwə́mag. Izayí nyə á cɨ nə́:
MAT.4.15	Məshí mâ Zabulon nə Nɛftali,
MAT.4.15	mɔɔŋg mɨ́ ŋgɛɛ́ mâŋ dɨ́ má,
MAT.4.15	mə́sə́ nə́mə́ fuundú ŋgwɔ̧ɔ̧́ Zhurdɛ̧̂ má,
MAT.4.15	kɔ́ɔ́mb Galilê íkûl ishús í njúl yí.
MAT.4.16	Bwə́ mə́ dʉ́g mə́ŋkɛnya!
MAT.4.16	Bwə́ á dʉ cʉgə shwagə́ shwɨy dɨ̂.
MAT.4.16	Məŋkɛnya mə́ mə́ kwan bwo.
MAT.4.18	Dúl jwɔ̂w, Yésus ŋgə́ kyey ncindye mâŋ mâ Galilê, nyə a dʉ́g omínyɔŋʉ̂ óbá, Shímun, bwə́ dʉ jɔ̂w nə́ Pyɛ̂r yɛ́, bá mínyɔŋʉ̂ yé Andrê bwə́ ŋgə́ wusə wód mə́júwód. Bwə́ á dʉ julə oshû nə məwód. 
MAT.4.19	A mú cɨ nə bwo nə́: «Bɛ̧gá mə, mə é sá nə́ bɨ́ dʉ́g julə búud.» 
MAT.4.20	Nə́mə́ cé nə cé, bwə́ mú lʉ́gə mə́wód, bɛ̧ nyə. 
MAT.4.21	Bwə́ mú cɔ̧́ kə shwóg. Yésus mú nyiŋgə dʉ́g bɔ́ɔ́l ómínyɔŋʉ̂ óbá, Yuánɛs bá Zhâk, bwân ɔ́ Zhébedé. Bə́nɔ̂ŋ sɔ́ɔ́ŋgʉ́ wáŋ bwə́ á bə byɔ́ɔ́lʉ́d, bwə́ ŋgə́ kwambʉlə məwód máŋ. Yésus mú jɔ̂w bwo. 
MAT.4.22	Cé nə cé, bwə́ mú lʉ́gə byɔ́ɔl dáŋ, nə sɔ́ɔ́ŋgʉ́ wáŋ, bɛ̧ nyə.
MAT.4.24	Lâŋ yé í á jwɔ̧ shí á Sirî nyɛ̂sh. Buud bwə́ mú zə nyə nə mimbə̂l myɛ̂sh, buud bwə́ á bə nə məváál mə́ mə́bwas mɛ̂sh nə məváál mə́ ófimâl mɛ̂sh, tɔɔ mimbúmbwúgʉ́, tɔɔ wəáfudə ibwúg, tɔɔ bɔɔŋg bwə́ á ŋgə lwáf nə məjamb wá. A mú lwag bwo. 
MAT.4.25	Buud bwə́ mú ka zə bɛ̧ Yésus áncuncuma, bɔ́ɔ́l bwə́ ŋgə́ wú shí á Galilê, bɔ́ɔ́lʉ́gá shí á Dekapwôl. Bɔ́ɔ́lʉ́gá bwə́ mú wú Yurʉ́səlɛm nə shí á Yudéa, nə nyɔɔŋg shí nyísə́ ŋgwɔ̧ɔ̧́ Zhurdɛ̧̂ faŋwíny yí.
MAT.5.2	A mú tɛ́ɛ́d jɨ́ɨ́gʉ́lílə ntʉ́ga:
MAT.5.3	*mishíshim myáŋ mísə nə məbúwa wə́ Zɛmbî wá, bwə́ mə́ jəla,
MAT.5.3	nəcé bwə́ wə́ bʉ́sə búúd wâ Faan á gwɔ̂w.
MAT.5.4	nəcé Zɛmbî mə bá cweel bwo milâm.
MAT.5.5	nəcé bwə́ bá lʉ́g nə shí ga.
MAT.5.6	Buud bwə́ ŋgə́ gwág cʉg á tʉ́təlí zha nə yɛ̂sh wá, bwə́ mə́ jəla,
MAT.5.6	nəcé bwə́ bá jílə.
MAT.5.7	nəcé Zɛmbî mə bá nə́mə́ gwág bwo ŋkúŋkwóŋʉ́lə.
MAT.5.8	nəcé bwə́ wə́ bwə́ bá dʉ́g Zɛmbî.
MAT.5.9	nəcé bwə́ bá jɔ̂w bwo nə́ «Bwân ɔ́ Zɛmbî».
MAT.5.10	nəcé bwə́ wə́ bʉ́sə búúd wâ Faan á gwɔ̂w.
MAT.5.12	Gwágʉ́gá məshusʉg, bɨ́ kɔɔs, nə́ bɨ mə bá kə bə nə məma myə́na gwɔ̂w.
MAT.5.12	Nəcé ntʉ́nɨ nə́mə́ wə́ bwə́ á sá nə *buud ɔ mícúndə́ bwə́ á tɛ́ɛ́d zə nə bɨ́ wá; bwə́ á lwágʉlə bwo cúwʉ́lí.»
MAT.5.14	«Bɨ bɨ́ məŋkɛnya shú búúd ɔ́ shí ga. Ŋgwə́la wúsə́ mbʉ́mbʉ́ŋ dɨ́ gwɔ́w yí, í cúgɛ́ nə ŋkul bə kú nyîn. 
MAT.5.15	Mbií ŋgwúd nə lámba, ja bwə́ dʉ jida dwo yí, bwə́ ádɛ́ kúd dwo mpɨ́ɨ́d. Bwə́ yida dʉ tə̂l dwo cé lámba dɨ́, í ŋgə́ faan, buud ɔ njɔ́w bɛ̂sh bwə́ dʉ́g mə́ŋkɛnya. 
MAT.5.16	Ntɔ́, məŋkɛnya mʉ́n mə́ jəlá nə nyîn búúd dɨ̂. Bwə́ dʉ́gʉ́g jɔ̧jɔ̧ mísɔ́ɔ́lʉ́gʉ́ mín, bwə́ mú ságʉsə Sɔ́ɔ́ŋgʉ́ wʉ́n jɨ́ gwɔ́w yɛ́.
MAT.5.18	Bʉ́bə́lɛ́ mə́ jaaw bɨ́ nə́, té wɛ̂sh gwɔ̂w nə shí í ŋgə́ ná bə yí, tɔɔ kaŋgá ŋgwúd á *mbwoomb mə́cɛ̧ɛ̧ ŋkí cúcwán í ábʉ́lɛ́ bwɛlɛ wû, kə jé jwɔ́w byɛ̂sh í bá fwo bwəma yí. 
MAT.5.19	Ntɔ́ wə́ jɨ́ nə́, múúd mə ká mpyêny cʉ́cɛ̧ɛ̧́ ŋgwúd, ŋkí nə́ á julə búúd nə́ bwə́ sáág ntɔ́, muud wɔɔŋgʉ̂ mə bá bul bə bíbíyá Faan á gwɔ́wʉ́d. Njɨ muud mə bá bɛ̧ mə́cɛ̧ɛ̧, a julə búúd nə bwə́ sáág ntɔ́ yɛ́, a bá bə fwámɛ́ múúd Faan á gwɔ́wʉ́d. 
MAT.5.20	Mə́ mpú jaaw bɨ́ nə́ Zɛmbî jɨ nə ŋkul magʉlə múúd Faan dɛ́d njɨ muud tʉ́təlí yé mə cɔ̧́ nyɔɔŋg á *Ofarizyɛ̂ŋ nə *Oyɨ́ɨ́gʉli ɔ́ mə́cɛ̧ɛ̧ yɛ́.»
MAT.5.22	Njɨ mɛɛ mə́ cɨ nə bɨ́ nə́ múúd mə ká gwág mpimbə nə mínyɔŋʉ̂ yé, a tɔ̂w nə́mə́ kɔɔdʉd. Múúd mə ká lwîy mínyɔŋʉ̂ yé, bwə́ kə nə nɛ́ *Mpáánzə́ milə́sʉ́ á Zɛmbî. Múúd mə ká jɔ̂w mínyɔŋʉ̂ yé nə́ mpúfú, á jəlá nə kə *Gehɛ̂n kuda á kandʉgəd. 
MAT.5.23	Í ká wɔ́ɔ́s nə́ wo ŋgə́ kə *alatâr dɨ́ nə́ wo kə́ yə́ Zɛmbî gúl sâ, wo ka tə́dʉga nə́ ŋgwɔ́l mínyɔŋʉ̂ woó ŋgə gwág wo mpimbə, 
MAT.5.24	lʉ́gə́g sâ jɔɔŋgʉ́ na kúnə́-kúnə nə alatâr, wo tɛ́ɛ́d fwo kə kwambʉlə nə mínyɔŋʉ̂ woó. Cínɔŋgʉ́, wo mú ka tɛɛm zə yə́ Zɛmbî sá wó yə́ nyə yí.
MAT.5.26	Bʉ́bə́lɛ́ mə́ jaaw wo nə́, wo cugɛ́ nə ŋkul wú mímbwug myɔɔŋgʉ́d, té wɛ̂sh wo afwóyɛ́ shîn jə́na tâŋ nyɛ̂sh, fáda ŋgwúd kú lʉ́g yí.»
MAT.5.28	Njɨ mə́ jaaw bɨ́ nə́ múdúm mə́ ká dʉ́g múdá ŋkán mədʉ́gya mâ wɨ́ɨ́mbʉ́lə nyə, a mə́ bwey sá minɔɔmb nə mudá wɔɔŋg nyə́dɨ́ lámʉ́d. 
MAT.5.29	Nə́ ndɛɛ́, í ká bə nə́ jús dwô á məncwûm í dʉ sá nə́ wo sáág *sə́m, tɨ́ɨ́g dwo, wo wusə dwo shwóg-shwóg. Nəcé í bul jəla nə́ wo jímbálʉ́g gúl kʉ́l nyúul gwô, ntɔ̧ nə́ bwə́ wúsəg nyúul nywô ncindî kuda á kandʉgəd. 
MAT.5.30	Ntɔ́ ŋkí mbwə̂ wô á məncwûm í dʉ sá nə́ wo sáág sə́m, sámbʉ́g wə, wo wusə wə shwóg-shwóg. Nəcé í bul jəla nə́ wo jímbálʉ́g gúl kʉ́l nyúul gwô, ntɔ̧ nə́ nyúul nywô ncindî í kə́g kuda á kandʉgəd.»
MAT.5.32	Njɨ mɛɛ mə́ jaaw bɨ́ nə́, muud yɛ̂sh mə yíl múdá yé báád, mudá kú fwo sá mínɔɔmb yɛ́, mudá wɔɔŋg mə ká kə́ dúl báád ɨɨ́, ŋgwúm yé wə́ mə́ cíndal nyə nə́ a sáág minɔɔmb. Múúd mə́ ká bá múdá bwə́ ámə yîl bâ yɛ́, muud wɔɔŋg mə́ sá nə́mə́ mínɔɔmb.»
MAT.5.34	Njɨ mɛɛ mə́ jaaw bɨ́ nə́ bɨ kú ná dʉ kɛɛn tɔɔ sâ. Bɨ kú kɛɛn joŋ lʉ gwɔ̂w nəcé dʉ́sə *caaŋgə́ mə́ Zɛmbî. 
MAT.5.35	Bɨ kú kɛɛn shí nəcé cínɔŋg wə́ á dʉ tə̂l məkuú yɛ́. Bɨ kú kɛɛn Yurʉ́səlɛm nəcé jísə də́nd mə́ Zɛmbî, Njwú-buud ánʉ́nɨ̂. 
MAT.5.36	Wó kú kɛɛn lúú wô, nəcé wo cúgɛ́ nə ŋkul shwɔ̧́ɔ̧la tɔɔ ntand shilú ŋgwúd nə́ í fúməg ŋkí nə́ í yíndə́g. 
MAT.5.37	Ntɔ́ jɨ nə́ wó ká cɨ nə́ wo sá gúl sâ, cɨɨ́g njɨ nə́: “Haaw, mə é sá”. Wó ká cɨ nə́ wo asáyɛ́ gúl sâ, cɨɨ́g njɨ nə́: “Mbɔ̂, mə asáyɛ́”. Ciyá jɛ̂sh wó kwádʉlə na gwɔ́w yí, í zhu wə́ Mbʉ́wʉ́lú múúd.»
