MAT.1.1	Ọkwukwo osnusno ọmumu Jizọsi Karaịsi, nnwọ Devidi, nnwọ Ebereham.
MAT.2.9	Nga be nụrnu ọka Eze Erọdu, be whọga, le mbọ wam ke be whnụrnu n'ọbosi ẹhnam neezne nụ ruwhnu be dụ nga ọ varụ gwuzoru n'olu hne nnwọ wam zị. 
MAT.2.10	Nga be whnụrnu mbọ wam, be nwụdnarnu k'agịda.
MAT.2.11	Be bna nụ rime ọro, whnụ nnwọ ikne wam, ya nụ Meri nne a, be dna n'ẹli kpọnu a risi ẹli. Be kpume igbe ẹkwnu be, nyee a nkesi, golu, franki-isensi nụ maa. 
MAT.2.12	Chiokike dọ be aka nụ nsnị nụ mbọro be láhnakwadia ke Erọdu, be garụ apna berere la ẹli be.
MAT.2.13	Nga be larụ, enine izi Nyenwe aị mernu Josefu whnụ a anya nụ mbọro, kaa, “Lizọ, kwuru watakịri wam nụ nne a gbazne Ijipiti, dazịri nụ pịi dụ nga me jaakanụ ị, kwnornu nụ Erọdu joopio nnwọ wam ma o gbu a.” 
MAT.2.14	O lizọ, kwuru nnwọ wam nụ nne a n'abalị gbazne Ijipiti. 
MAT.2.15	Be zị n'Ijipiti tem Erọdu nwụma, ma nhne Nyenwe aị kwuru hite n'ọnu nye ọwhnurninya a mezu, “M sukwuhịaru m nnwọ m hite Ijipiti.”
MAT.2.16	Nga Erọdu whnụrnu nụ ele akọ wam nyernu a mkparị, o weru ẹhni k'agịda, o zizne ele ọgwnu kaa be gbu kpakara rụmu rukna zị nụ Bẹtilehem ma ẹli zị be ndụndu, hite nụ ele gbarụ awha lawụru ya ẹli. Ka bụ hite n'ige wam ọ sịkwahiaru ọka n'ọnu ele akọ wam. 
MAT.2.17	N'ige wam bụ hne be mezuru nhne Jerimaya nye ọwhnurninya kwuru, naakaa,
MAT.2.18	“Be nụrnu akpịri nụ rime ẹli Rama,
MAT.2.18	naakwna ẹkwna nụ okne ọgba mkpe,
MAT.2.18	Rechẹli naakwnanụ rụmu a ẹkwna,
MAT.2.18	o kwéle be kasi a mkpọma kwnornu nụ be zị́ma.”
MAT.2.19	Nga Erọdu nwụrnu, enine izi Nyenwe aị mernu Josefu whnụ a anya nụ mbọro n'Ijipiti, 
MAT.2.20	kaa, “Lizọ kwuru nnwọ wam nụ nne a zne n'ẹli Izirẹli, ele noopio bụdnu a nwụnam.”
MAT.2.21	O lizọ kwuru nnwọ wam nụ nne a, va n'ẹli Izirẹli. 
MAT.2.22	Kọvu nga ọ nụrnu nụ Akelọsi nnwọ Erọdu bụ eze Judiya nụ ngadna nda a, ọ tụru ogwnu o zne pịi. Nga Chiokike dọru a aka nụ nsnị nụ mbọro, Josefu tụhnasna zne Galili. 
MAT.2.23	Be zne wuru n'ẹli matị be kwu Nazarẹti, ma nhne be kwuru hite n'ọnu nye ọwhnurninya mezu, “Be jookwu a nye Nazarẹti.”
MAT.3.1	N'ige wam Jọni Nye Wụ Mini varụ nọokpo okwo ikwu-ọnu Chiokike n'ẹli-ịkpa ke Judiya, 
MAT.3.2	naakaa, “Anụ tụhnasna mkpọma, kwnornu nụ ẹli-eze Chiokike zị ndụndu.” 
MAT.3.3	Jọni bụ nye wam Azaya nye ọwhnurninya kwuru ọka gbasịri a, naakaa,
MAT.3.3	“Akpịri otu badnụ nọokpo okwo n'ẹli-ịkpa, naakaa,
MAT.3.3	‘Anụ mekwata apna Nyenwe aị,
MAT.3.3	anụ mee apna a snị asnị.’ ”
MAT.3.4	Jọni wogwu iwo be jiri rịjni akpụkpo anọhia be kwu kamẹli mee, ajnị ọ snụ n'ikwnu bụ akpụkpo anọhia, wiri a bụ igwurube nụ mọno ebeka ọhia. 
MAT.3.5	Ele Jerusẹlem nụ kpakara ele Judiya nụ kpakara ele wugwu nụ ngeri Osimini Jọdani gburugburu whọkwnusiri a, 
MAT.3.6	ọ wụ be mini n'Osimini Jọdani, be nookwuhịa mmehie be.
MAT.3.7	Kọvu nga ọ whnụrnu agịda ele Farisi nụ ele Sadusi hne be naava ma ọ wụ be mini, ọ kanụ be, “Anụ ẹbnurnu agwọ, nyele kannụ anụ, anụ gbanahọru ovu owe ẹhni Chiokike ke jaava? 
MAT.3.8	Anụ mịi mkpụru ke jeegesi nụ anụ tụhnasnarnu mkpọma hite nụ mmehie. 
MAT.3.9	Anụ rị́ko nụ rime anụ, naakaa, ‘Ebereham bụ nda aị,’ me kanụ anụ nụ Chiokike nwernu rikne mee kpakara akaworugwu ka ghọ rụmu Ebereham. 
MAT.3.10	Kịtna, be tụkwasilam ehnigwe n'ikwnu kpakara isisi, ke bụ nụ be joogbudna isisi ọbula ke mị́nyala mkpụru ọma, be jọotubna a nụ rime bẹkwnu.
MAT.3.11	“M ji m mini nọowu anụ mini ke neegesi nụ anụ tụhnasnarnu mkpọma hite nụ mmehie anụ, kọvu nye kagwụ m rikne naava n'aznụ m, nye me dụ́gwo n'owhudnahie chịri okoro-ọchi a, nye wam jeeji Enine Nsọ nụ bẹkwnu nọowu anụ mini. 
MAT.3.12	Nye nhne ọwhusna ịkpa zị n'aka a, ọ jọowhusna ịkpa a nkarị, ọ jaachịkota ịkpa a yisi n'ọbna a, kọvu o jeeji bẹkwnu ke chní echni rnesnama ruznurnuznu ịkpa.”
MAT.3.13	N'ige wam, Jizọsi hiri nụ Galili vadu Osimini Jọdani znekwnusi Jọni ma ọ wụ a mini. 
MAT.3.14	Kọvu nụ Jọni kwéle a, ọ kaa, “Ọ zị m mkpa ị wụ m mini, jị n'iwhuru i, ị naavakwnusi m?”
MAT.3.15	Jizọsi kanụ a, “Gharụ a kpam kịtna, kwnornu nụ ọ bụru ọma kpam ma a mezu kpakara nhne bụru ọma n'omume.” Jọni gharụ a.
MAT.3.16	Nga Jọni wụru Jizọsi mini, ngangam o hiri nụ mini nọowhuya, le, oligwe kpumernu, Jizọsi whnụ Enine ke Chiokike hne o neewhedna lele nduru, neebekwasi a. 
MAT.3.17	Otu akpịri hiri n'oligwe, naakaa, “Ka bụ Nnwọ m me whnụrnu n'anya, nhne a masịri m.”
MAT.4.1	Enine Nsọ duru Jizọsi zne n'ẹli-ịkpa ma Ekwensu rna a ọrnurna. 
MAT.4.2	Nga o vukworu ọnu nri ọbochi ẹno iwhnehnie nụ abalị, wiri gwnụrnu a. 
MAT.4.3	Nye ọrnurna wam vakwnusiri a, kanụ a, “Ọ bụru nụ ị bụ Nnwọ Chiokike, kanụ akaworugwu ele ka be ghọ brẹdi.”
MAT.4.4	Jizọsi sarụ a, “Be gbarụ a n'ọkwukwo nsọ, kaa,
MAT.4.4	‘Ọ bụ́o brẹdi bụ nhne badnụ jeeri kpọi zịri bụdnu,
MAT.4.4	kọvu nụ ọ bụ kpakara ikwu-ọnu ke hiri n'ọnu Chiokike whụya.’ ”
MAT.4.5	Ekwensu kwuru a zne Jerusẹlem, ẹli-ọhna nsọ, gwuzote a n'olu tọwa Ọro Nsọ Chiokike, 
MAT.4.6	ọ kanụ a, “Ọ bụru nụ ị bụ Nnwọ Chiokike, gbụdna ẹhni ị n'ẹli hna, kwnornu nụ be gbarụ a n'ọkwukwo nsọ, kaa,
MAT.4.6	‘O jeenye ele enine izi a iwu gbasịri ị,
MAT.4.6	be jeegheru ị n'aka be,
MAT.4.6	ma ị gharụ ọ kpọbi ọchi ị nụ rugwu.’ ”
MAT.4.7	Jizọsi sarụ a, “Berere kwno, be gbarụ a n'ọkwukwo nsọ, kaa, ‘Ị rnákọ Nyenwe i Chiokike i ọrnurna.’ ”
MAT.4.8	Berere kwno, Ekwensu kwuru a zne rugwu zị n'olu k'agịda, gerisi a kpakara ẹli-eze ke ọwa nụ igwugwu be. 
MAT.4.9	Ọ kanụ a, “M jeenye i kpakara nhne ka, ọ bụru nụ ị jaadna n'ẹli kpọnu m risi ẹli.”
MAT.4.10	Jizọsi sarụ a, “Whọga m nụ ruwhnu m, Setani, kwnornu nụ be gbarụ a n'ọkwukwo nsọ, kaa, ‘Ị jọokponu Nyenwe i, Chiokike i risi ẹli. Ọ bụ ya kpọi bụ nye i jeekpenu.’ ”
MAT.4.11	Ige wam Ekwensu sịgbasiri Jizọsi, ele enine izi vakwnusiri a, neeznenu a izi.
MAT.4.12	Nga Jizọsi nụrnu nụ be yisiri Jọni n'ikelu, ọ lahna Galili. 
MAT.4.13	Ọ whọga nụ Nazarẹti zne wuru nụ Kapanọm, ke zị nụ ngeri osimini, n'ẹli Zebụloni nụ Nafịtali, 
MAT.4.14	ma ọka be kwuru hite n'ọnu Azaya nye ọwhnurninya mezu, kaa,
MAT.4.15	“Ẹli Zebụloni nụ ẹli Nafịtali,
MAT.4.15	n'apna okne osimini,
MAT.4.15	n'aznụ Osimini Jọdani,
MAT.4.15	Galili ẹli ele bụ́o ele Ju.
MAT.4.16	Ele wu n'ọchichiri
MAT.4.16	whnụnam agịda iwhne,
MAT.4.16	ele wu n'ẹli ẹnwu kpusnigwu
MAT.4.16	bụ ele iwhne nọomukwasi.”
MAT.4.17	Hite n'ige wam Jizọsi panịzoru nọokpo okwo, naakaa, “Anụ tụhnasna mkpọma, kwnornu nụ ẹli-eze Chiokike zị ndụndu.”
MAT.4.18	Nga Jizọsi neezne izne n'ọnu mini Osimini Galili, ọ whnụ rụmu nne lawụru, Saịmoni nye be nookwu Pita nụ Anduru nwene a, hne be nọowu ịgbo n'osimini, kwnornu nụ be bụ ele noogbu aznụ. 
MAT.4.19	Jizọsi kanụ be, “Anụ snornu m, m jeeme anụ bụru ele jọokwnuhia ele badnụ lele kpa anụ noogbu aznụ.” 
MAT.4.20	Ngangam, be sịgbasi ịgbo be sno a.
MAT.4.21	Nga o znetụru nụ ruwhnu, ọ whnụrnu rụmu nne lawụru berere, Jemisi nnwọ Zebidi nụ Jọni nwene a, nụ Zebidi nda be. Be zị nụ rime ọgbo neemekwa ịgbo be. Jizọsi sukwu be. 
MAT.4.22	Ngangam be sịgbasi ọgbo wam nụ nda be sno a.
MAT.4.23	Jizọsi znernu nụ kpakara Galili neezni nhne n'ọro ọgbako ele Ju, nọokpo okwo izi ọma ẹli-eze Chiokike, nọogwo ele nrịria zị ọdo n'ọdo nụ ẹhni igbugbu zị ọdo n'ọdo n'esilawụru be. 
MAT.4.24	Ọtnutnu a gazuru kpakara Siriya, be kwuyanụ a kpakara ele naarịa nrịria nụ ele ẹhni igbugbu zị ọdo n'ọdo, nụ ele nọowhnusi anya, ele rẹnwu ọjo nwụgwu, nụ ele akwụkwu nụ ele ngeri ẹhni be dọnwurnu dọnwu. Jizọsi gwọ kpakara be.
MAT.4.25	Agịda ele badnụ hi nụ Galili, Dekapolisi nụ Jerusẹlem nụ Judiya nụ aznụ Osimini Jọdani snornu a.
MAT.5.1	Nga Jizọsi whnụrnu agịda badnụ wam, o pnezne n'olu rugwu, dazịri ẹli, ele sno apna a vakwnusi a, 
MAT.5.2	ọ panịzo neezni be nhne, naakaa,
MAT.5.3	“Ọwa ọma zịnu ele mboni nụ mkpọma,
MAT.5.3	kwnornu nụ ẹli-eze Chiokike bụ ke be.
MAT.5.4	Ọwa ọma zịnu ele naagba mkpe,
MAT.5.4	kwnornu nụ be jaakasi be ovu.
MAT.5.5	Ọwa ọma zịnu ele zị enwerne nụ mkpọma,
MAT.5.5	kwnornu nụ ele kam jeekehịa ọwa.
MAT.5.6	Ọwa ọma zịnu ele wiri nọogwnu nụ ele akpịri kpọga bẹkwnu n'ome nhne bụru ọma,
MAT.5.6	kwnornu nụ rụwho jeeji be.
MAT.5.7	Ọwa ọma zịnu ele nwernu obirizi
MAT.5.7	kwnornu nụ be jọodonu be obirizi.
MAT.5.8	Ọwa ọma zịnu ele zị rịchna nụ mkpọma,
MAT.5.8	kwnornu nụ be jọowhnu Chiokike.
MAT.5.9	Ọwa ọma zịnu ele neeme udno,
MAT.5.9	kwnornu nụ be jookwu be rụmu Chiokike.
MAT.5.10	Ọwa ọma zịnu ele be naakpakna ẹhni kwnornu imerne ọma,
MAT.5.10	kwnornu nụ ẹli-eze Chiokike bụ ke be.
MAT.5.11	“Ọwa ọma zịnu anụ nga ele badnụ jaakparị anụ, neemekpa anụ ẹhni, nookwunu anụ ọnu ọjo, naaghagidne anụ akebne aghalaghala zị ichne ichne kwnornu nụ me. 
MAT.5.12	Anụ nwụrnihoru, mkpọma sọ anụ n'ọnu k'agịda, kwnornu nụ ọgwo ẹrnu anụ zị agịda n'oligwe. Ọ bụ kpa be jiri kpakna ele ọwhnurninya ele be anụ ọsno ẹhni.
MAT.5.13	“Anụ bụ arụa ke ọwa, kọvu ọ bụru arụa tuwhu ọso n'ọnu a, be jeeji kịni mee a ọ so n'ọnu? Ọ zị́a iru ọ bnarnụ berere, okwolem be tuwhu a n'ederezi, ele badnụ zọ a ọchi.
MAT.5.14	“Anụ bụ iwhne ke ọwa. Mba wu n'olu rugwu bóotugwali. 
MAT.5.15	Be zá nọomusi tọnji bịta a nụ mkpururu nkịta, tnụnuma, n'olu nhne be bịta tọnji, o neenye kpakara ele zị n'ọro wam iwhne. 
MAT.5.16	Anụ mee kpa iwhne anụ jaazị noonwu nụ ruwhnu ele badnụ, ma be nọowhnu ẹrnu ọma anụ, znarnị Nda anụ ke zị n'oligwe.
MAT.5.17	“Anụ chékọ nụ m varụ m o lulu iwu Chiokike mọbu nhne ele ọwhnurninya gbarụ, m váge m o lulu be, m varụ m o mezu be. 
MAT.5.18	N'ezi, me kanụ anụ, tem oligwe nụ ọwa whume, ọ zá otu nhne ọbula zị matị, ke zịkakworu matị ke be jeegweme n'iwu, dụ nga kpakara be jeemezu. 
MAT.5.19	Nye ọbula ke joolulu otu nụ rime iwu ele ka, ọ bụrubedi iwu ke kakwo matị, ke jeezni ele badnụ kpam, be jookwu a nye kakwo matị n'ẹli-eze Chiokike. Kọvu nye ọbula ke jaabịta iwu, neezni be, nye wam bụ nye be jookwu nye kakwo n'olu n'ẹli-eze Chiokike. 
MAT.5.20	Me naakanụ anụ, ọ bụru nụ agwa ọma anụ kála ke ele zni iwu nụ ele Farisi mma, n'ezi, anụ jáabna n'ẹli-eze Chiokike.
MAT.5.21	“Anụ nụrnu nụ be kannụ ele gbaka, ‘I gbúkọ badnụ, nye ọbula ke gburu badnụ jaabna n'aka ikpe.’ 
MAT.5.22	Kọvu me kanụ anụ, nye nwernu ovu ẹhni megidne nwene a jaabna n'ikpe. Nye ọbula ke jaakanụ nwene a, ‘Ọ zị́a iru ị bnagwụ,’ jeenye ẹhni a n'aka ele eze-ikpe. Nye ọbula ke jaakaa, ‘Nye iwhnirniwhno,’ jeenye ẹhni a n'aka bẹkwnu ẹli rẹnwu. 
MAT.5.23	Kam kpayarụ, ọ bụru nụ ị gweyarụ nkesi i nụ ruwhnu Chiokike n'ojo arịohna, i chenwanya nụ nwene i karụ nụ i mernu a nhne ọjo, 
MAT.5.24	sịgbasi nkesi i nụ pịi nụ ruwhnu ojo arịohna, la, beru ọsno mee ma jị nụ nwene i zịri n'udno, yahna, nyega nkesi i.
MAT.5.25	“Mee ma jị nụ nye kwu i neezne ikpe bụru ọma wara wara, nga jị nụ ya zị n'apna, ma nye wam kwu i neezne ikpe gharụ o gweru i nyee n'aka nye risi ikpe, nye risi ikpe gweru i nyee n'aka nye neezne izi, be tụbna ị ikelu. 
MAT.5.26	Me kanụ ị ezi ọka, ị jọ́owhuya pịi tem ị kwụhnata kpakara ịwai ipne-aznụ i jigwu.
MAT.5.27	“Anụ nụna m nụ be kannụ ele gbaka, ‘Ị mékọ ọyi.’ 
MAT.5.28	Kọvu nụ m naakanụ anụ, nụ nyerukna ọbula ke jeele nyerinya anya ọ masị a ma ya nụ nwerinya wam dnanyị, o mesilem a ọyi nụ mkpọma a. 
MAT.5.29	Ọ bụru nụ anya akarikwnunga ị jeeme i, i mee mmehie, ghnahịa a, tuwhu a n'ẹhni ị, kwnornu nụ ọ jaakanụ ị mma nụ otu nhne zị ị n'ẹhni whọgaru, tnụnuma be tụbna kpakara ẹhni ị nụ rime bẹkwnu ẹli rẹnwu. 
MAT.5.30	Ọ bụru nụ akarikwnunga i jeeme i, i mee mmehie, gbubime a, tuwhu a n'ẹhni ị, kwnornu nụ ọ jaakanụ ị mma nụ otu nụ nhne zị ị n'ẹhni whọgaru, tnụnuma be jọotubna kpakara ẹhni ị nụ rime bẹkwnu ẹli rẹnwu.
MAT.5.31	“Be kakwnornu nụ, ‘Nye ọbula ke jaagba nnwerne a nnam, o nyega a ọkwukwo nnam.’ 
MAT.5.32	Kọvu m naakanụ anụ, nye ọbula ke jaagba nnwerne a nnam, hne ọ bụ́o nụ o mernu ọyi, o neeme nyerinya wam bụru nye neeme ọyi, nye ọbula ke jọolu nnwerne be gbarụ nnam bụ nye neeme ọyi.
MAT.5.33	“Berere, anụ nụna m nụ be kannụ ele gbaka, kaa, ‘Bịta mkwna i kweru, i láhna aznụ nụ o mee mkwna i kweru, kọvu mee nhne i kweru mkwna nụ ruwhnu Nyenwe aị.’ 
MAT.5.34	Kọvu me naakanụ anụ, anụ jí nhne ọbula dụ risi, anụ jí oligwe dụ risi, kwnornu nụ ọ bụ ngadna eze Chiokike. 
MAT.5.35	Anụ jí ọwa dụ risi, kwnornu nụ ikpechi ọtukwasi ọchi a, anụ jí Jerusẹlem dụ risi, kwnornu nụ ọ bụ ẹli-ọhna ke eze kwu wam. 
MAT.5.36	I jí risi i dụ risi, kwnornu nụ i nwée rikne mee otu rukeri-ize ọ chna rịchna mọbu o ji riji. 
MAT.5.37	Kọvu ikwu-ọnu anụ bụru ‘Owe, m jeeme mee a,’ mọbu, ‘Ọ́za, m jéeme mee a.’ Kwnornu nụ nhne ọbula karịri ka hi nụ nye ọjo wam.
MAT.5.38	“Anụ nụrnu nụ be karụ, ‘Anya lanụ anya, ize lanụ ize.’ 
MAT.5.39	Kọvu me naakanụ anụ, anụ mégwnarnụ ele mernu anụ nhne ọjo. Nye ọbula ke gbọru ị aka nụ nsnị akarikwnunga, tụhnasnanu a nsnị berere. 
MAT.5.40	Ọ bụru nụ nye ọbula pioru o mesi i ọka ma ọ nahọru ị iwo rime i, sịgbasinu a iwo i ke olu masị. 
MAT.5.41	Nye ọbula ke jeeme i ma i zne otu maịli, snornu a zne maịli lawụru. 
MAT.5.42	Nyega nye ọbula nọorio ị nhne, ị gwákọ nye noopio ma i gbaznisi a nhne njọ.
MAT.5.43	“Anụ nụna m nụ be karụ, ‘Whnụ nye agbatibi i n'anya, sno nye irno i irno.’ 
MAT.5.44	Kọvu me naakanụ anụ, anụ whnụ ele irno anụ n'anya,
MAT.5.45	Anụ mee kpa, anụ jọobu rụmu Nda anụ ke zị n'oligwe, kwnornu nụ o neeme ma ẹhnam a nọomukwasi badnụ ọjo nụ badnụ ọma, o neeme masị ma mini zokwasị ele ome mma nụ ele ọjo. 
MAT.5.46	Ọ bụru nụ anụ whnụrnu ele wam n'anya bụ ele nọowhnu anụ n'anya, kịni bụ ọgwo ẹrnu anụ? Ọ bụ nụ ele ọna ntụ mée kpam sa? 
MAT.5.47	Ọ bụru masị nụ ọ bụ rụmu nwene anụ kpọi bụ ele anụ neebekwu rẹwhna, kịni bụ nhne anụ mernu karụ ele berere? Ọ bụ nụ ele máa Chiokike mée kpam sa? 
MAT.5.48	Anụ jọobu ele zuru ozu lele kpa Nda anụ ke oligwe zuru ozu.
MAT.6.1	“Anụ whnụ nụ anụ zá neeme nhne ọma anụ nụ ruwhnu badnụ, ma be whnụrnu anụ. Anụ mee kpam, anụ nwée ọgwo ẹrnu nụ hne Nda anụ ke oligwe zị.
MAT.6.2	“Ke bụ nụ nga ị nọornu ẹrnu obirizi i, i jíkọ ọkwodu kpọ okwo lele kpa ele ruwhnu lawụru mee n'ọro ọgbako ele Ju, ma n'apna, ma ele badnụ ja be mma. Owe, m naakanụ anụ ezi ọka, be nwezulem ọgwo ẹrnu ke be. 
MAT.6.3	Kọvu nga ị nọornu ẹrnu obirizi, i kwékọ akarita ị mahịa nhne akarikwnunga ị neeme, 
MAT.6.4	ma ẹrnu obirizi ị bụru nhne zị mgwụgwa. Nda ị ke nọowhnu nhne zị nụ mgwụgwa jọokwuhnata ị.
MAT.6.5	“Nga anụ neekpe okpukpe, anụ mékọ lele ele ruwhnu lawụru, kwnornu nụ ọ naamasị be o gwuzoru n'ọro ọgbako ele Ju ma ngeri apna neekpe okpukpe ma ele badnụ whnụrnu be. Owe, m naakanụ anụ ezi ọka, be nwezulem ọgwo ẹrnu be. 
MAT.6.6	Kọvu nga i neekpe okpukpe, bnazne nụ rime ọro ị, nga ị gbasnịmernu mgbo ị, kpenu Nda ị ke zị nụ mgwụgwa, Nda ị ke nọowhnu nhne zị nụ mgwụgwa jọokwuhnata ị. 
MAT.6.7	Nga anụ neekpe okpukpe, anụ kwúkọ agịda ọka etekne, lele kpa ele máa Chiokike mee, kwnornu nụ be naarị nụ be jọonu ogologo okpukpe be. 
MAT.6.8	Anụ kpákwadia agwa lele be, kwnornu nụ Nda anụ magwụ kpakara nhne ke zị anụ mkpa, sụ anụ ke rịo a.
MAT.6.9	“Anụ kpe okpukpe kpa,
MAT.6.9	‘Nda aị ke zị n'oligwe,
MAT.6.9	rẹwhna ị bụru nhne zị nsọ,
MAT.6.10	ẹli-eze ị va,
MAT.6.10	be mee nhne i pioga,
MAT.6.10	kpa be mee a n'oligwe,
MAT.6.10	be mee a kpam n'ọwa.
MAT.6.11	Nyega aị wiri tna,
MAT.6.11	ke joozunu aị ọbochi tna.
MAT.6.12	Gbarụnu aị nhne ọjo a mernu,
MAT.6.12	lele kpa a naagbarụnu ele mernu aị nhne ọjo.
MAT.6.13	I yísi aị nụ rime nhne ọrnurna,
MAT.6.13	kọvu dọhia aị n'aka nye ọjo.’ 
MAT.6.14	Ọ bụru nụ anụ gbarụnu badnụ ọgahie be, Nda anụ ke oligwe jaagbarụnu anụ masị. 
MAT.6.15	Kọvu ọ bụru nụ anụ jáagbarụnu badnụ ọgahie be, Nda anụ ke zị oligwe jáagbarụnu anụ.
MAT.6.16	“Nga anụ noovu ọnu, anụ mékọ lele ele ruwhnu lawụru, ele naagbarụ ruwhnu, dọnwuta ruwhnu ma ọ zị kpa ele badnụ mahịa nụ be noovu ọnu. Owe, m naakanụ anụ ezi ọka, be nwezulem ọgwo ẹrnu be. 
MAT.6.17	Kọvu nga ị noovu ọnu, gweru mọno te nụ risi i, snụ ruwhnu i, 
MAT.6.18	ma ele badnụ gharụ ọ mahịa nụ ị noovu ọnu. Kọvu Nda ị nye nọowhnu nhne zị nụ mgwụgwa jaamahịa, Nda ị jọokwu ị ọgwo.
MAT.6.19	“Anụ kpábịtanu ẹhni anụ ẹkwnu n'ọwa, hne akịka nụ ajarị naata, hne ele buznu nẹeliwa ọro nooznu buznu, 
