GEN.1.1	Anns an toiseach
GEN.3.7	Agus dh’fhosgladh an sùilean le chèile, agus dh’aithnich iad gu robh iad lomnochd
GEN.3.8	Agus chuala iad guth an Tighearna Dia ag imeachd anns a’ ghàrradh, ann am
GEN.3.9	Agus dh’èigh an Tighearna Dia air Adhamh, agus thubhairt e ris, Càit a bheil thu?
GEN.3.10	Agus thubhairt e, Chuala mi do ghuth anns a’ ghàrradh, agus bha
GEN.3.11	Agus thubhairt e, Cò a dh’innis dhut gu robh thu lomnochd? An d’ith thu den chraoibh, a dh’àithn mise dhut gun ithe dhith?
GEN.3.12	Agus thubhairt an duine
GEN.3.13	Agus thubhairt an Tighearna Dia ris a’ mhnaoi, Ciod e seo a rinn thu? Agus thubhairt a’ bhean, Mheall an nathair mi, agus dh’ith mi.
GEN.3.14	Agus thubhairt an Tighearna Dia ris an nathair, A chionn gun do rinn thu seo, tha thu mallaichte thar gach ainmhidh, agus thar uile bheathaichean na machrach; air do bhroinn imichidh tu, agus duslach
GEN.3.15	Agus cuiridh mi naimhdeas eadar thusa agus a’ bhean, agus eadar
GEN.3.16	Ris a’ mhnaoi thubhairt e, Meudaichidh mi gu mòr do dhoilgheas agus do thorrachas; am pèin beiridh tu clann, agus rid fhear bidh do thogradh, agus bidh
GEN.3.17	Agus ri Adhamh thubhairt e, Do bhrìgh gun d’èisd thu ri guth do mhnà, agus gun d’ith thu den chraoibh, a dh’àithn mise dhut, ag ràdh, Chan ith thu dhith, tha an talamh mallaichte air do shon; ann an doilgheas ithidh tu dheth uile làithean do bheatha;
GEN.3.18	Agus droigheann agus cluarain bheir e a‑mach dhut, agus ithidh tu luibh na machrach;
GEN.3.19	Am fallas do ghnùise ithidh tu aran, gus an till thu a dh’ionnsaigh na talmhainn; oir aisde thugadh thu: oir is duslach thu, agus gu duslach tillidh tu.
GEN.3.20	Agus thug Adhamh Eubha
GEN.3.21	Agus rinn an Tighearna Dia do Adhamh agus da mhnaoi còtaichean craicinn, agus chòmhdaich e iad
GEN.3.22	Agus thubhairt an Tighearna Dia, 
GEN.3.23	Air an adhbhar sin chuir an Tighearna Dia a‑mach e à gàrradh Edein, a shaothrachadh na talmhainn
GEN.3.24	Agus dh’fhògair e a‑mach an duine; agus shuidhich e anns an taobh an ear de ghàrradh Edein ceruban
GEN.4.1	Agus dh’aithnich Adhamh a bhean Eubha; agus dh’fhàs i torrach, agus rug i Càin, agus thubhairt i, Fhuair mi duine on Tighearna.
GEN.4.2	Agus a‑rìs rug i a bhràthair Abel. Agus bha Abel na bhuachaille chaorach, ach bha Càin na threabhaiche fearainn.
GEN.4.3	Agus thàrladh, an ceann làithean àraidh, gun tug Càin de thoradh an fhearainn
GEN.4.4	Agus thug Abel mar an ceudna de chiad‐ghin a threuda
GEN.4.5	Ach air Càin agus air a thabhartas cha robh meas aige. Agus bha Càin fo throm fheirg, agus thuit a ghnùis.
GEN.4.6	Agus thubhairt an Tighearna ri Càin, Carson a tha fearg ort? Agus carson a thuit do ghnùis?
GEN.4.7	Ma nì thu gu math, nach gabhar riut? Agus mura dèan thu gu math, aig an doras tha peacadh na laighe
GEN.4.8	Agus labhair Càin ri Abel a bhràthair: agus nuair a bha iad anns a’ mhachair, dh’èirich Càin suas an aghaidh Abeil a bhràthair, agus mharbh e e
GEN.4.9	Agus thubhairt an Tighearna ri Càin, 
GEN.4.10	Agus thubhairt esan, Ciod a rinn thu? Tha guth fuil do bhràthar ag èigheach
GEN.4.11	Agus a‑nis tha thu mallaichte on talamh, a dh’fhosgail a bheul a ghabhail fuil do bhràthar od làimh.
GEN.4.12	Nuair a shaothraicheas tu an talamh, cha toir e dhut à seo suas a neart; ad fhògarrach agus ad fhear‐fuadain bidh tu air an talamh.
GEN.4.13	Agus thubhairt Càin ris an Tighearna, Is mò mo pheanas na gur urrainn mi a ghiùlan.
GEN.4.14	Feuch, dh’fhògair thu mi a‑mach an‑diugh bhàrr aghaidh na talmhainn agus od ghnùis‐sa falaichear mi; agus bidh mi am fhògarrach agus am fhear‐fuadain air an talamh; agus tàrlaidh, gach neach a gheibh mi
GEN.4.15	Agus thubhairt an Tighearna ris, Uime sin ge bè air bith a mharbhas Càin, nìthear a sheachd uiread de dhìoghaltas air. Agus chuir an Tighearna comharradh air Càin, a‑chum ge bè neach a gheibheadh e nach marbhadh e e.
GEN.4.16	Agus chaidh Càin a‑mach à làthair an Tighearna
GEN.4.17	Agus dh’aithnich Càin a bhean; agus dh’fhàs i torrach, agus rug i Enoch: agus thog e baile, agus ghoir e ainm a’ bhaile, a rèir ainm a mhic, Enoch.
GEN.4.18	Agus rugadh do Enoch Irad; agus ghin Irad Mehuiael; agus ghin Mehuiael Metusael; agus ghin Metusael Làmech.
GEN.4.19	Agus ghabh Làmech dha fhèin dà mhnaoi: b’e ainm a h‑aoin dhiubh Adah, agus ainm na mnà eile Sillah.
GEN.4.20	Agus ghin Adah Iabal: b’esan athair na dream a tha a’ gabhail còmhnaidh am bùthan, agus na dream aig a bheil sprèidh.
GEN.4.21	Agus b’e ainm a bhràthar Iubal: b’esan athair nan uile a laimhsicheas clàrsach agus organ.
GEN.4.22	Agus Sillah, rug ise mar an ceudna Tubal‐càin, fear‐teagaisg gach uile fhir‐ceàirde ann an umha agus ann an iarann: agus b’i piuthar Thubal‐càin Nàamah.
GEN.4.23	Agus thubhairt Làmech ra mhnathan, Adah agus Sillah, Cluinnibh mo ghuth, a mhnathan Làmeich, èisdibh rim chainnt: oir mharbh mi duine a‑chum mo lotaidh
GEN.4.24	Ma dhìolar Càin a sheachd uiread, gu deimhinn dìolar Làmech a sheachd‐deug agus a thrì‐fichead uiread.
GEN.4.25	Agus dh’aithnich Adhamh a‑rìs a bhean; agus rug i mac, agus thug i Set
GEN.4.26	Agus do Shet fhèin mar an ceudna rugadh mac; agus thug e Enos mar ainm air: an sin thòisich daoine ri gairm air ainm an Tighearna
GEN.5.1	Is e seo leabhar ginealaichean Adhaimh. Anns an là anns an do chruthaich Dia an duine, ann an coslas Dhè rinn e e
GEN.5.2	Fireannach
GEN.5.3	Agus bha Adhamh beò ceud agus deich‐bliadhna‑fichead, agus ghin e mac na choslas fhèin, a rèir a ìomhaigh fhèin
GEN.5.4	Agus b’iad làithean Adhaimh, an dèidh dha Set a ghintinn, ochd ceud bliadhna: agus ghin e mic agus nigheanan:
GEN.5.5	Agus b’iad uile làithean Adhaimh a bha e beò naoi ceud agus deich‐bliadhna‑fichead
GEN.5.6	Agus bha Set beò ceud agus còig bliadhna, agus ghin e Enos:
GEN.5.7	Agus bha Set beò, an dèidh dha Enos a ghintinn, ochd ceud agus seachd bliadhna, agus ghin e mic agus nigheanan:
GEN.5.8	Agus b’iad uile làithean Shet naoi ceud agus dà‑bhliadhna‑dheug: agus fhuair e bàs.
GEN.5.9	Agus bha Enos beò ceithir‐fichead bliadhna agus a deich, agus ghin e Càinan:
GEN.5.10	Agus bha Enos beò, an dèidh dha Càinan a ghintinn, ochd ceud agus còig‐bliadhna‑deug, agus ghin e mic agus nigheanan:
GEN.5.11	Agus b’iad uile làithean Enois naoi ceud agus còig bliadhna: agus fhuair e bàs.
GEN.5.12	Agus bha Càinan beò deich bliadhna agus trì‐fichead, agus ghin e Mahalalil:
GEN.5.13	Agus bha Càinan beò, an dèidh dha Mahalalil a ghintinn, ochd ceud agus dà‑fhichead bliadhna, agus ghin e mic agus nigheanan:
GEN.5.14	Agus b’iad uile làithean Chàinain naoi ceud agus deich bliadhna: agus fhuair e bàs.
GEN.5.15	Agus bha Mahalalil beò còig bliadhna agus trì‐fichead, agus ghin e Iàred:
GEN.5.16	Agus bha Mahalalil beò, an dèidh dha Iàred a ghintinn, ochd ceud agus deich‐bliadhna‑fichead, agus ghin e mic agus nigheanan:
GEN.5.17	Agus b’iad uile làithean Mhahalalil ochd ceud ceithir‐fichead agus còig‐bliadhna‑deug: agus fhuair e bàs.
GEN.5.18	Agus bha Iàred beò ceud agus trì‐fichead agus dà bhliadhna, agus ghin e Enoch:
GEN.5.19	Agus bha Iàred beò, an dèidh dha Enoch a ghintinn, ochd ceud bliadhna, agus ghin e mic agus nigheanan:
GEN.5.20	Agus b’iad uile làithean Iàreid naoi ceud trì‐fichead agus dà bhliadhna; agus fhuair e bàs.
GEN.5.21	Agus bha Enoch beò trì‐fichead agus còig bliadhna, agus ghin e Metùselah:
GEN.5.22	Agus ghluais Enoch maille ri Dia
GEN.5.23	Agus b’iad uile làithean Enoich trì cheud agus trì‐fichead agus còig bliadhna:
GEN.5.24	Agus ghluais Enoch maille ri Dia: agus cha robh e ann; oir thug Dia leis e
GEN.5.25	Agus bha Metùselah beò ceud agus ceithir‐fichead agus seachd bliadhna, agus ghin e Làmech:
GEN.5.26	Agus bha Metùselah beò, an dèidh dha Làmech a ghintinn, seachd ceud, ceithir‐fichead agus dà bhliadhna, agus ghin e mic agus nigheanan:
GEN.5.27	Agus b’iad uile làithean Mhetùselah naoi ceud agus trì‐fichead agus naoi bliadhna: agus fhuair e bàs.
GEN.5.28	Agus bha Làmech beò ceud agus ceithir‐fichead agus dà bhliadhna, agus ghin e mac:
GEN.5.29	Agus thug e
GEN.5.30	Agus bha Làmech beò, an dèidh dha Nòah a ghintinn, còig cheud, ceithir‐fichead agus còig‐bliadhna‑deug, agus ghin e mic agus nigheanan:
GEN.5.31	Agus b’iad uile làithean Làmeich, seachd ceud agus trì‐fichead agus seachd‐bliadhna‑deug: agus fhuair e bàs.
GEN.5.32	Agus bha Nòah còig ceud bliadhna a dh’aois: agus ghin Nòah Sem, Ham, agus Iàphet.
GEN.6.1	Agus
GEN.6.2	Agus a chunnaic mic Dhè nigheanan dhaoine
GEN.6.3	Agus thubhairt an Tighearna
GEN.6.4	Bha famhairean air an talamh anns na làithean sin; agus mar an ceudna na dhèidh sin, nuair a thàinig mic Dhè a‑steach a‑chum nigheanan dhaoine, agus a rug iad clann dhaibh, dh’fhàs iad sin nan daoine treuna, a bha o shean nan daoine ainmeil.
GEN.6.5	Agus chunnaic an Tighearna
GEN.6.6	Agus b’aithreach leis an Tighearna gun do rinn e an duine air an talamh, agus thug e doilgheas dha na chridhe.
GEN.6.7	Agus thubhairt an Tighearna, Sgriosaidh mi an duine, a chruthaich mi, bhàrr aghaidh na talmhainn; araon duine, agus ainmhidh, agus an creutair a shnàigeas, agus eunlaith nan speur; oir is aithreach leam gun do rinn mi iad.
GEN.6.8	Ach fhuair Nòah deagh‐ghean ann an sùilean an Tighearna.
GEN.6.9	Is iad seo ginealaichean Nòah: Bha Nòah na dhuine cothromach, agus
GEN.6.10	Agus ghin Nòah triùir mhac, Sem, Ham, agus Iàphet.
GEN.6.11	Agus bha an talamh truaillidh am fianais Dhè, agus lìonadh an talamh le fòirneart.
GEN.6.12	Agus dh’amhairc Dia air an talamh, agus, feuch, bha e truaillidh; oir thruaill gach uile fheòil a slighe air an talamh.
GEN.6.13	Agus thubhairt Dia ri Nòah
GEN.6.14	Dèan dhut fhèin àirc de fhiodh gopheir; seòmraichean
GEN.6.15	Agus seo a’ chumachd air an dèan thu i: Trì cheud làmh‐choille fad na h‑àirce, lethcheud làmh‐choille a leud, agus deich‐ar‑fhichead làmh‐choille a h‑àirde.
GEN.6.16	Uinneag nì thu don àirc, agus an làimh‐choille crìochnaichidh tu i na mullach; agus doras na h‑àirce cuiridh tu na taobh; le lobhtachan ìochdarach, meadhonach, agus uachdarach nì thu i.
GEN.6.17	Agus, feuch, bheir mise, eadhon mise
GEN.6.18	Ach daingnichidh mi mo choicheangal riutsa; agus thèid thu a‑steach don àirc, thu fhèin, agus do mhic, agus do bhean, agus mnathan do mhac maille riut.
GEN.6.19	Agus de gach uile nì beò den uile fheòil, dithis de gach seòrsa
GEN.6.20	Den eunlaith a rèir an gnè, agus den sprèidh a rèir an gnè, agus de gach nì a shnàigeas air an talamh a rèir a ghnè: thèid dithis de gach seòrsa a‑steach ad ionnsaigh, gan gleidheadh beò.
GEN.6.21	Agus gabh thusa dhut de gach uile bhiadh a dh’ithear, agus cruinnichidh tu ad ionnsaigh e; agus bidh e dhutsa agus dhaibhsan airson beathachaidh.
GEN.6.22	Mar seo rinn Nòah
GEN.7.1	Agus thubhairt an Tighearna ri Nòah, Rach thusa agus do thaigh uile a‑steach don àirc
GEN.7.2	De gach uile
GEN.7.3	Mar an ceudna de eunlaith nan speur nan seachdan, fireann agus boireann, a ghleidheadh sìl beò air aghaidh na talmhainn uile:
GEN.7.4	Oir fhathast seachd làithean, agus bheir mise air uisge teachd air an talamh dà‑fhichead là agus dà‑fhichead oidhche; agus sgriosaidh mi
GEN.7.5	Agus rinn Nòah a rèir gach nì a dh’àithn an Tighearna dha.
GEN.7.6	Agus bha Nòah sia ceud bliadhna a dh’aois, nuair a bha an dìle uisgeachan air an talamh.
GEN.7.7	Agus chaidh Nòah a‑steach, agus a mhic agus a bhean agus mnathan a mhac maille ris, don àirc, airson uisgeachan na dìle.
GEN.7.8	De ainmhidhean glan, agus de ainmhidhean nach eil glan, agus de eunlaith, agus de gach nì a shnàigeas air an talamh,
GEN.7.9	Chaidh dithis agus dithis a‑steach a dh’ionnsaigh Nòah don àirc, fireann agus boireann, a rèir mar a dh’àithn Dia do Nòah.
GEN.7.10	Agus an dèidh seachd làithean
GEN.7.11	Anns an t‑siathamh ceud bliadhna a dh’aois Nòah, anns an dara mìos, anns an t‑seachdamh‐là‑deug den mhìos, anns an là sin fhèin bhriseadh suas uile thobraichean
GEN.7.12	Agus bha an t‑uisge air an talamh dà‑fhichead là agus dà‑fhichead oidhche.
GEN.7.13	Anns a’ cheart là sin fhèin chaidh Nòah, agus Sem agus Ham agus Iàphet, mic Nòah, agus bean Nòah, agus triùir bhan a mhac maille riu, a‑steach don àirc
GEN.7.14	Iad fhèin, agus gach uile bheathach a rèir a ghnè, agus an sprèidh uile a rèir an gnè, agus gach creutair a shnàigeas a tha a’ snàigeadh air an talamh a rèir a ghnè, agus an eunlaith uile a rèir an gnè, gach eun de gach seòrsa
GEN.7.15	Agus chaidh iad a‑steach a‑chum Nòah don àirc, a lìon dithis agus dithis, de gach uile fheòil anns a bheil anail na beatha.
GEN.7.16	Agus iadsan a chaidh a‑steach, fireann agus boireann, chaidh iad a‑steach de gach uile fheòil, mar a dh’àithn Dia dha: agus dhruid an Tighearna a‑staigh e
GEN.7.17	Agus bha an dìle dà‑fhichead là air an talamh; agus mheudaicheadh na h‑uisgeachan, agus ghiùlain iad an àirc, agus thogadh suas i os cionn na talmhainn.
GEN.7.18	Agus bhuadhaich na h‑uisgeachan, agus mheudaicheadh iad gu h‑anabarrach air an talamh; agus shiubhail an àirc air aghaidh nan uisgeachan.
GEN.7.19	Agus bhuadhaich na h‑uisgeachan gu ro‑anabarrach air an talamh
GEN.7.20	Còig làmhan‐coille deug air àirde bhuadhaich na h‑uisgeachan; agus chòmhdaicheadh na beanntan
GEN.7.21	Agus dh’eug gach uile fheòil a bha a’ gluasad air an talamh, araon de eunlaith, agus de sprèidh, agus de bheathaichean, agus de gach nì a shnàigeas a tha a’ snàigeadh air an talamh, agus gach uile dhuine
GEN.7.22	Gach nì aig an robh anail na beatha
GEN.7.23	Agus sgriosadh gach uile dhùil a bha air aghaidh na talmhainn, araon duine, agus ainmhidh, agus an creutair a shnàigeas, agus eunlaith nan speur; agus sgriosadh iad bhàrr na talmhainn: agus dh’fhàgadh a‑mhàin Nòah
GEN.7.24	Agus bhuadhaich
GEN.8.1	Agus chuimhnich Dia air Nòah
GEN.8.2	Agus dhruideadh suas tobraichean na doimhne
GEN.8.3	Agus thill na h‑uisgeachan a‑ghnàth
GEN.8.4	Agus stad an àirc anns an t‑seachdamh mìos, air an t‑seachdamh‐là‑deug den mhìos, air beanntan Ararait
GEN.8.5	Agus thraogh na h‑uisgeachan a‑ghnàth gus an deicheamh mìos: anns an deicheamh mìos, air a’ chiad là den mhìos, chunnacas mullaichean nam beann.
GEN.8.6	Agus an ceann dà‑fhichead là, dh’fhosgail Nòah uinneag na h‑àirc a rinn e
GEN.8.7	Agus chuir e a‑mach fitheach, a chaidh a‑mach a’ dol air ais agus air aghaidh, gus an do thiormaicheadh na h‑uisgeachan bhàrr na talmhainn.
GEN.8.8	Mar an ceudna chuir e a‑mach calaman uaithe, a dh’fhaicinn an do thraogh na h‑uisgeachan bhàrr aghaidh na talmhainn;
GEN.8.9	Ach cha d’fhuair an calaman fois do bhonn a choise, agus thill e da ionnsaigh don àirc, do bhrìgh gu robh na h‑uisgeachan air aghaidh na talmhainn uile: an sin chuir e a‑mach a làmh, agus rug e air, agus thug e a‑steach e da ionnsaigh don àirc.
GEN.8.10	Agus dh’fhan e fhathast seachd làithean eile; agus a‑rìs chuir e a‑mach an calaman on àirc;
GEN.8.11	Agus thàinig an calaman da ionnsaigh anns an fheasgar, agus, feuch, duilleag craoibh‐ola, a spìonadh leis, aige na ghob: agus dh’aithnich Nòah gun do thraogh na h‑uisgeachan bhàrr na talmhainn.
GEN.8.12	Agus dh’fhan e fhathast seachd làithean eile; agus chuir e a‑mach an calaman; agus cha do thill e a‑rìs da ionnsaigh nas mò.
GEN.8.13	Agus anns an t‑siathamh ceud bliadhna agus a h‑aon, anns a’ chiad mhìos, anns a’ chiad là den mhìos, thiormaicheadh na h‑uisgeachan suas bhàrr na talmhainn: agus bhuin Nòah air falbh còmhdach na h‑àirc, agus dh’amhairc e, agus, feuch, bha aghaidh na talmhainn tioram.
GEN.8.14	Agus anns an dara mìos, anns an t‑seachdamh là ar fhichead den mhìos, bha an talamh air tiormachadh.
GEN.8.15	Agus labhair Dia ri Nòah, ag ràdh,
GEN.8.16	Rach a‑mach as an àirc, thu fhèin, agus do bhean, agus do mhic, agus mnathan do mhac maille riut.
GEN.8.17	Thoir a‑mach leat gach nì beò a tha maille riut, de gach uile fheòil, de eunlaith, agus de sprèidh, agus de gach uile nì a shnàigeas a tha a’ snàigeadh air an talamh; a‑chum is gun sìolaich iad air an talamh, agus gum bi iad torrach
GEN.8.18	Agus chaidh Nòah a‑mach, agus a mhic, agus a bhean, agus mnathan a mhac maille ris:
GEN.8.19	Chaidh gach uile bheathach, gach nì a shnàigeas, agus gach eun, gach nì a ghluaiseas air an talamh, a rèir an cineil
GEN.8.20	Agus thog Nòah altair don Tighearna, agus ghabh e de gach ainmhidh glan
GEN.8.21	Agus dh’fhairich an Tighearna
GEN.8.22	Am feadh a mhaireas an talamh
GEN.9.1	Agus bheannaich Dia Nòah agus a mhic, agus thubhairt e riu
GEN.9.2	Agus bidh ur n‑eagal
GEN.9.3	Bidh gach nì gluasadach
GEN.9.4	Ach feòil
GEN.9.5	Agus gu deimhinn fuil ur beatha‐se iarraidh mise; air làimh gach beathaich iarraidh mi i
GEN.9.6	Ge bè a dhòirteas fuil duine
GEN.9.7	Agus bithibh‐se sìolmhor, agus fàsaibh lìonmhor; ginibh air an talamh, agus fàsaibh lìonmhor ann.
GEN.9.8	Agus labhair Dia ri Nòah, agus ra mhic maille ris, ag ràdh,
GEN.9.9	Agus mise, feuch, daingnichidh mi mo choicheangal ribhse
GEN.9.10	Agus ris gach uile chreutair beò
GEN.9.11	Agus daingnichidh mi mo choicheangal ribh; agus cha sgriosar gach uile fheòil tuilleadh le uisgeachan na dìle; agus cha bhi dìle ann nas mò a sgrios na talmhainn
GEN.9.12	Agus thubhairt Dia, Seo comharradh
GEN.9.13	Mo bhogha
GEN.9.14	Agus tàrlaidh, nuair a bheir mi neul os cionn na talmhainn, gum faicear am bogha anns an neul:
GEN.9.15	Agus cuimhnichidh mi
GEN.9.16	Agus bidh am bogha anns an neul; agus amhaircidh mi air, a‑chum is gun cuimhnich mi an coicheangal sìorraidh
GEN.9.17	Agus thubhairt Dia ri Nòah, Seo comharradh a’ choicheangail, a dhaingnich mi eadar mi fhèin agus gach uile fheòil a tha air an talamh.
GEN.9.18	Agus b’iad mic Nòah a chaidh a‑mach as an àirc, Sem agus Ham agus Iàphet: agus b’e Ham
GEN.9.19	Is iad sin triùir mhac Nòah: agus leo sin lìonadh an talamh uile
GEN.9.20	Agus thòisich Nòah air a bhith na fhear‐saothrachaidh na talmhainn, agus shuidhich e fìonlios
GEN.9.21	Agus dh’òl e den fhìon, agus bha e air mhisg
GEN.9.22	Agus chunnaic Ham, athair Chanàain, nochd
GEN.9.23	Agus ghabh Sem agus Iàphet brat, agus chuir iad le chèile air an guaillean e, agus chaidh iad an comhair an cùil, agus chòmhdaich iad nochd an athar
GEN.9.24	Agus dhùisg Nòah o a fhìon, agus thuig e ciod a rinn a mhac a b’òige air.
GEN.9.25	Agus thubhairt e, Mallaichte gu robh Canàan
GEN.9.26	Agus thubhairt e, Beannaichte gu robh Tighearna Dia Sheim; agus bidh Canàan na sheirbhiseach dha
