MAT.1.1	Tô môɲ wo Jésu wo na *kuŋga kelma Dabid wo na kuŋga *Abraham a men hen a na: 
MAT.2.2	Menba, bay eŋgere iyôŋ ba: «Kelma wo Jubɲê wo bay yêri na ba, na si yôŋ ba? Wôsa nini gelo têbêŋne tori hena si tô emen iyôŋ aɲa niné era bi niné tibéri hen.»
MAT.2.3	Kiriɲa kelma Hérôd toy hen iyôŋ menba, ôbi sun men, ɓiɲé ka Jérusalêm a kêm kôba sun a men. 
MAT.2.4	Menba, ôbi dayrê damné kaɲ bay bê kwôbe naɲ *bay derê tô tôô to Emen aɲ eŋgeriji iyôŋ ba: «Kiriɲ ka bay a yêɲ *Krist kwo Emen dôri hen ba na yôŋ ba?» 
MAT.2.5	Menba, bay uwôli sara iyôŋ ba: «Bay a yêri Bêteléhêm a emê wo Judé a wôsa *ôbi kibi Emen na kôl kwôli tumô kôl iyôŋ ba: 
MAT.2.6	‹Mini Bêteléhêm, to Judé perê iyére to damné kêm bô emê wo Juda a hen na, muna to ɗê ré, wôsa Kelma wo a derê tumô *Israyêl ɓiɲé kaɲê môɲ ôbi gemé gamgê iyôŋ hen na, a hena na bôrê a
MAT.2.7	Menba, Hérôd uwôga bay henê are bay ka hen naɲ ɲalê aɲ sa eŋgeriji bay ré kôli wulê têbêŋne ré siɲ ya hen. 
MAT.2.8	Menba, ôbi jéji Bêteléhêm a aɲ kôlji iyôŋ ba: «Erêŋge ken ô eŋgeré kiriɲ ka kema bi wo hen yiɲ ya hen, aɲ kiriɲa ken uɲari niɲ na, ken hera sa kôlen bi nôbi kôba na erê tibéri men.»
MAT.2.9	Kiriɲa bay toy kwôlo ôbi kôlji hen iyôŋ niɲ menba, bay ôrji haji niɲ. Têbêŋne to bay ré gelore si tô emen hen na, dô tumôrji, menba, kiriɲa hende biɲ sa kiriɲ ka kema bi wo hen yiɲ ya hen menba, hende ɗebu tôŋ hare niɲ. 
MAT.2.10	Kiriɲa bay gel têbêŋne hende to hen iyôŋ menba, yirji dôrji damaŋ. 
MAT.2.11	Bay siji bô ira aɲ gelji kema bi wo hen naɲ yori Mari menba, bay cubu gubarji tôŋ tumôri a aɲ tibri men, bay tô magela woji nô aɲ biri aŋga gararji damaŋ damaŋ bay a na: lôr men, weŋ wo ɗiɲé dô wo bay uwôgeri peraŋkens hen men, kwoɲ hana wo bay uwôgeri *miir hen a men. 
MAT.2.12	Menba, Emen kôliɲ bay henê are bay ka hen bô wônê a iyôŋ ba bay ré hôrji uɲé Hérôd ré menba, bay ré ay geré wo ɗaŋgi a ré hô iɲ.
MAT.2.13	Kiriɲa bay henê are bay ka hen ôrji ta niɲ menba, *mana wo derômaraŋ a wo Kelma si sa Josêp a naɲ wônê kôli iyôŋ ba: «Hena ta ay kema bi wo hen naɲ yori ju geriɲ ôriɲ Ejipt a aɲ ju môriɲ naɲ ɗi ya kwôy wo na kôlem dema jeré heraɲ naɲ ɗi tô, ré ba Hérôd woge geré ɗiré deréri.»
MAT.2.14	Menba, Josêp hena naɲ yoyre hende to hen ay kema naɲ yori geriɲ ôriɲ Ejipt a. 
MAT.2.15	Ôbi mô ya hende to hen kwôy wo Hérôd maɲ. Are bay ka hen yi hen iyôŋ mega kwôlo Kelma na biɲ ôbi kibri na kôl tumô kôl iyôŋ ba: «En uwôge Keman ré so aɲ Ejipt a niɲ
MAT.2.16	Kiriɲa Hérôd hôn wo bay henê are ré lamni na lamê menba, bôri tari damaŋ aɲ ôbi ay tôô bi bay ré duu kamrê kaɲ imɲê ayiɲ tôri sa ka bay yê haw a kwôy ɗi sa ka elêrji wôô wôô a ka sa iyé Bêteléhêm a men, ka sa kam iyére to méére ta hen a men. Ôbi li hen iyôŋ wô kwôlo bay henê are na kôli gengiɲ sa wulê wo têbêŋne ré siɲ. Ayiɲ tôri wulê bi wo hen kwôy saɲ sa wulê wo bay deriɲ kamrê hen na, li elê wôô ré tô. 
MAT.2.17	Na ôbi á, are bay ka hen ré biɲ naɲ kwôlo ôbi kibi Emen Jérémi na kôl hen: 
MAT.2.18	«Sômê ôm gôr kiriɲ Rama a, Rasêl sôm wô kamne, aɲ bay waare kôba hende toy ré wô kamne ka bay duu kêm hen
MAT.2.19	Kiriɲa Hérôd ma niɲ menba, *mana wo derômaraŋ a wo Kelma si sa Josêp a Ejipt a naɲ wônê aɲ 
MAT.2.20	kôli iyôŋ ba: «Hena ta ju ay kema naɲ yori ju heraɲ naɲ ci sa iyé Israyêl a wôsa ka na woge ciré deréri hen na, maji niɲ.»
MAT.2.21	Menba, Josêp hena ay kema naɲ yori heraɲ sa iyé Israyêl a. 
MAT.2.22	Niɲba, kiriɲa ôbi toy wo ré na Arkélawus a ré na kelma wo Judé hôlmê ibari Hérôd a na, ôbi kemna herê ô merê bô emê wo Judé a. Menba, Emen yêge mari bô wônê a menba, ôbi ô bô emê wo Galilé a. 
MAT.2.23	Aɲ ô merê sa iyé Najarêt a. Yi hen iyôŋ bi ré biɲ naɲ kwôlo *ôbi kibi Emen na kôl iyôŋ ba: «Bay a uwôgeri kema Najarêt hen
MAT.3.1	Wulê bi wo hen na, Ja ôbi lê batêm so derô gwôlê wo Judé aɲ uwôl béré kôl iyôŋ ba: 
MAT.3.2	«Beléŋge cêgerŋge biɲ têriɲ toŋge wôsa *emê iyére to derômaraŋ a ba ɗa niɲ.» 
MAT.3.3	Na Ja bi a *ôbi kibi Emen *Esay na ré kôl kwôli kôl iyôŋ ba:
MAT.3.3	«Na tôô gawra wo ôm derô gwôlê kôl iyôŋ ba:
MAT.3.3	‹Ɲanêŋge geré wo Kelma men,
MAT.3.3	ɲanêŋge kam geré kari bi ô derôre a men
MAT.3.4	Ja tôbe bargay ka bay li naɲ gusiri jambal men, ôbi ha tô bôri naɲ ariɲ a men. Ari emêri na céré men, timne men. 
MAT.3.5	Ɓiɲé kêm ôrji sa pôn pôn ligiri a: ka Jérusalêm men, ka Judé men, ka kam iyére to mér sa cér wo Jurdê ta hen a men. 
MAT.3.6	Ɓiɲé bay ka hen tô tô têriɲ toji ta aɲ ôbi liji batêm bô cér wo Jurdê bi wo hen a.
MAT.3.7	Kiriɲa Ja gel Parisiɲêɲê naɲ *Sadusiɲêɲê kwône era ligiri a bi ɗiré liji batêm, menba, ôbi kôlji iyôŋ ba: «Kenbay ka ken yi môɲ jênêre iyôŋ hen, na i a geléŋge bi kené geriɲ uwoŋge wo Emen wo a era hen ba? 
MAT.3.8	Iyôŋ ba, bi jé lêreŋge gel wo kené bul cêgerŋge biɲ têriɲ toŋge niɲ. 
MAT.3.9	Ɗiba ken mô wô kelê ‹*Abraham na ibarni, Abraham na ibarni› mera ré, wôsa en kelêŋge jerew wo yi hen na, Emen a nêmê belé liɲ kamrê biɲ Abraham. 
MAT.3.10	Haw hen na, tigre yi tô gurô pôn pôn niɲ aɲ gurô wo yôŋ yôŋ wo yêri dô ré ba a diɲ jôriɲ aɲ uwôliɲ tare a. 
MAT.3.11	Nôbi ba, en lêŋge batêm na naɲ kam gengiɲ sa belé wo kené bul cêgerŋge biɲ têriɲ toŋge hen, niɲba, kwo a era cêgena hen na, ôbi a lêŋge tori naɲ Tunu toɲ hendi bô bôrê men, naɲ tare a men, wôsa nééri gôliɲ kuɲê men, en nêm terê garbê kaɲ têri ré a men. 
MAT.3.12	Men, ôbi ôriɲ naɲ gwore tori toɲ péé kaw wô labiɲ kiriɲ kaɲ péé kaw ya aɲ ôbi a péé kaw kari bay ka hen aɲ a perê gusiɲniji bê a bô béér a a men. Menba, kurmérji ba ôbi a uwoyé aɲ bô tare to eŋge bariɲ né yôd hen.»
MAT.3.13	Na ôbi á, Jésu ré hena Galilé ô ligi Ja kibi cér wo Jurdê a bi ré liri batêm men hen. 
MAT.3.14	Ja li ɗa kaɲê aɲ kôliɲ Jésu iyôŋ ba: «Nôbi a ré erê bi jeré lên batêm, menba, li iyeŋ a jôbi jeré hô era bi ené lêm batêm ɗi ba?»
MAT.3.15	Menba, Jésu uwôli sara iyôŋ ba: «Kwo haw hen ba en gey bi ré yi hen iyôŋ hari, na hen iyôŋ a nana liɲ aŋga Emen gey hen.»
MAT.3.15	Menba, Ja gey naɲ ɗi aɲ liri batêm. 
MAT.3.16	Kiriɲa Ja liɲ Jésu batêm aɲ ôbi so bô kam a niɲ na, kiriɲ bay ka hen derômaraŋ bôliɲ aɲ ôbi gel Tunu toɲ hendi bô bôrê herbo mega derare iyôŋ sari a. 
MAT.3.17	Menba, tô kwôni ema derômaraŋ a kôl iyôŋ ba: «Kwo ɗebu na na, na Keman, en piri damaŋ. Men, en li yi derê wô sari damaŋ a men.»
MAT.4.1	Kiriɲa ôbi so bô kam a niɲ menba, Tunu toɲ hendi bô bôrê ôriɲ naɲ ɗi derô gwôlê bi Sidan ré ô séléri. 
MAT.4.2	Lê wo Jésu li wulê tôre pôrbu yoyre naɲ tu tare baa emê ani hen na, kurôŋ liri. 
MAT.4.3	Menba, Sidan era ligiri a aɲ kôli iyôŋ ba: «Hena jeré na Kema Emen ba ju bi jerew wo yi na bi biliɲ kwô bem ju ôm.»
MAT.4.4	Menba, Jésu uwôli sara iyôŋ ba: «Liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Na kwô mera a gawra ré emê gôliɲ né niɲba, kwôlo si kibi Emen a gawra ré môriɲ geɲ ɗi
MAT.4.5	Menba, Sidan hô ôriɲ naɲ ɗi Jérusalêm iyére to yi naɲ jeŋgêre a hen aɲ ôriɲ naɲ ɗi ô ɗiri ta yeŋ sa *iyéy Emen a, 
MAT.4.6	aɲ kôli iyôŋ ba: «Hena jeré na Kema Emen tiri ba ju deraɲ kuriɲ tôŋ na gelé wôsa na liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Ôbi a ayê tôô biɲ *manê ka derômaraŋ a gengiɲ sam› men, ‹Bay a ayem kôbriji a bi têm ré di keram wôni ré
MAT.4.7	Jésu hô uwôli sara kôl iyôŋ ba: «Magtubu hende to hen kôba hô kôl iyôŋ ba: ‹Kelma Emen wom na, já séléri ré
MAT.4.8	Menba, Sidan hô ôriɲ naɲ ɗi sa keram wo yêŋgi a aɲ gili emê iyére to sa terare a na naɲ aŋga dôri dôri ka yi ya. 
MAT.4.9	Aɲ ôbi kôliɲ Jésu iyôŋ ba: «Hena jeré jubu gubam tumôn a aɲ teben ba na bem are bay ka kêm ka ju gel hen.»
MAT.4.10	Menba, Jésu ône Sidan aɲ kôli iyôŋ ba: «Sidan, erêɲ wôsa liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Kelma woɲ Emen wom pôn nêŋ hari a jeré jebé gubam tumôri a men, na ôbi a jeré tibéri a men
MAT.4.11	Kiriɲ bay ka hen menba, Sidan erêɲ ɗiri hari niɲ, menba, manê ka derômaraŋ a era ligi Jésu a aɲ biri aŋgaɲ emê.
MAT.4.12	Bay ɓu Ja uwôl daŋgay a. Kiriɲa Jésu toy wo bay ré ɓu Ja hen iyôŋ menba, ôbi hena ô Galilé. 
MAT.4.13	Ôbi ɗi sa iyére tori to Najarêt hen aɲ ô merê Kapêrnayôm kibi cér wo bô emê wo Jabulôn naɲ kwo Nêptali a. 
MAT.4.14	Ôbi li hen iyôŋ bi ré biɲ naɲ kwôlo *ôbi kibi Emen *Esay na kôl kwôli tumô kôl iyôŋ ba:
MAT.4.15	«Terare to Jabulôn naɲ to Nêptali,
MAT.4.15	To yi si kwa cér wo dami, si cêgi Jurdê hen,
MAT.4.15	Na hende to ɓiɲé ka na Jubɲê ré hen mô ya hen.
MAT.4.16	Ɓiɲé ka na mô bô kiriɲ ka hendi a hen na,
MAT.4.16	haw hen bay gel kiriɲ ka peraŋgi ka dami men,
MAT.4.16	ka yi môɲ ciré ma iyôŋ gengiɲ sa tiniji hen kôba bay gel kiriɲ
MAT.4.16	ka peraŋgi a men
MAT.4.17	Menba, Jésu ay tô derêji kwôlê kôl iyôŋ ba: «Beléŋge cêgerŋge biɲ têriɲ toŋge wôsa *emê iyére to derômaraŋ a era ɗa hen ya niɲ.»
MAT.4.18	Jésu ô têm têm kibi cér wo Galilé a, menba, ôbi gel gawrê wôô tô yêniɲare a ka na bay uré, bay a na si Simô wo bay uwôgeri Piyêr hen, naɲ yêni André, bay urji kuyê naɲ bera. 
MAT.4.19	Menba, Jésu kôlji iyôŋ ba: «Eraŋge tôn a aɲ na béŋge ken yi bay uré ɓiɲé ben.» 
MAT.4.20	Menba, kiriɲ bay ka hen na, bay ɗéɲ bera toji aɲ, aɲ ôrji tôri a.
MAT.4.21	Ôbi ô sem, menba, ôbi hô gel gawrê wôô tô yêniɲare a, na si *Jak naɲ yêni Ja kaɲ kami gawra wo bay uwôgeri Jébédé hen, bay môrji bô bato a naɲ ibarji ɲanji bera toji menba, Jésu uwôgeji menba, 
MAT.4.22	kiriɲ bay ka hen na, bay ɗi ibarji naɲ bato aɲ ôrji tôri a.
MAT.4.23	Jésu gôr bô emê wo Galilé hen kêm aɲ giliɲ ɓiɲé are bô *iyéy daɲare a men, dô Kwôlo Dôri wo gengiɲ sa emê iyére to derômaraŋ a men, berare ɓiɲé kêm ka ômɲare to gay gay liji hen men, berare bay merayê ka gay gay a men. 
MAT.4.24	Kwôli Jésu ôm gôr bô emê wo Siri a kêm aɲ li wo bay eraɲ naɲ bay ômɲare to gay gay men, ka tunu to habiɲ yi bôrji a men, bay gesemem men, bay merayê a men bi ôbi ré berareji. 
MAT.4.25	Menba, kwônê ɓiɲé ka hena Galilé men, ka hena emê iyére to tôre môj hen men, ka hena Jérusalêm a men, ka hena Judé naɲ kam iyére kêm ka yi si cêgi cér wo Jurdê a hen a men ôrji tôri a.
MAT.5.1	Kiriɲa Jésu gel kwônê ɓiɲé bay ka hen era ligiri a menba, ôbi ɗay ô merê sa keram a menba, bay tôri era ligiri a 
MAT.5.2	menba, ôbi ay tô derêji kwôlê kôl iyôŋ ba:
MAT.5.3	«Ɓiɲé ka erem wo ciré nêm lê ani sa kibriji ré hen na, yirji a sa dôrji wôsa *emê iyére to derômaraŋ a na toji.
MAT.5.4	Ɓiɲé ka mô naɲ bô emê haw hen na, yirji a sa dôrji wôsa Emen a sa jalê bôrji.
MAT.5.5	Ɓiɲé ka kalêrji jal hen na, yirji a sa dôrji wôsa bay a merê derê sa terare a na sem.
MAT.5.6	Ɓiɲé ka doy lê aŋgaɲ derôre liji damaŋ hen na, yirji a sa dôrji wôsa Emen a sa biji aŋga bay ôriɲ doyriji bay ka hen.
MAT.5.7	Ɓiɲé ka bô tu ɲa to megêrji hen na, yirji a sa dôrji wôsa Emen a sa berê tu ɲa toji men.
MAT.5.8	Ɓiɲé kaɲ bay bô bôrê hen na, yirji a sa dôrji wôsa bay a sa gelé tu Emen.
MAT.5.9	Ɓiɲé kaɲ bay ɲanê megêrji bi ré biɲ pôn hen na, yirji a sa dôrji wôsa bay a uwôgêji kam Emen.
MAT.5.10	Ɓiɲé ka bay gelji gusiɲ wô kibi aŋgaɲ derôre ka bay li hen na, yirji a sa dôrji wôsa emê iyére to derômaraŋ a na toji.
MAT.5.11	Hena bay ré tiréŋge men, geléŋge gusiɲ men, pôy kwôlo gay gay ɗéŋge sarŋge a wô wo kené na bay tôn na, 
MAT.5.12	sêŋge peré men, ken li yi derê a men wôsa ka uɲé sa kôbreŋge damaŋ derômaraŋ wôsa na hen iyôŋ a bay na ré geliɲ tu bay kibi Emen ka tumô gusiɲ men hen.»
MAT.5.13	«Kenbay kena ɗôre to ɓiɲé ka sa terare a na, a hena ɗôre hende to hen ré geraŋ ré ba bay a lere iyeŋ a ré herê geraŋgê hôriɲ ba? Ani ka kwôni a liɲ naɲ tu ba naɲ niɲ. Bêre aɲ bi ɓiɲé ré ɗiirê naɲ têrji a ba mera. 
MAT.5.14	Kenbay kena kiriɲ ka peraŋgi ka ɓiɲé ka sa terare a na, wôsa hena kwôni ré ɗi iyére tori sa keram a ba ôbi a uwôbêre nêmê sôŋ ba? 
MAT.5.15	Men kwôni a ɗé tare bô lampa aɲ erê uwôbê bô gwore a sôŋ ba? Hena tare ré ɗiɲ bô lampa a ba na wô teré ta gurô pal a aɲ bi ré berare kiriɲ bi ɓiɲé ka mô bô ira hen kêm ré geliɲ kiriɲ. 
MAT.5.16	Iyôŋ ba, kenbay kôba ken bi kiriɲ ka peraŋgi kaŋge peraŋge bi ɓiɲé geliɲ kiriɲ dema bay ré geliɲ jé lêreŋge wo dôri menba, bay a ayiɲ kibi Ibareŋge Emen wo mô derômaraŋ a hen men.»
MAT.5.17	«Ma ka ermé yaŋ ba ené era na wô mênê tôô naɲ kwôlo bay kibi Emen na kôl hen niɲba, en era na wô lê bi aririrji ré liɲ ɗi.» 
MAT.5.18	Menba, Jésu hô kôl iyôŋ ba: «Na tu kwôlê a ené kelêŋge hen hena derômaraŋ naɲ sa terare ré yi ba ya tô na, ani ka tôô ka dê iyôŋ ley, kam aŋga cibiɲ dê dê sara hen ley, ka a dôriɲ aɲ ba naɲ kwôy wo sa terare a mêniɲ. 
MAT.5.19	Na ôbi á, kwôni wo ré ɗage tôô to dê dê hende to hen aɲ geliɲ ɓiɲé ré ɗage hen iyôŋ a men na, ôbi a yé kema wo dê bô iyére to derômaraŋ a. Niɲba, hena kwôni ré bi kwôlê sa tôô hende to hen aɲ geliɲ ɓiɲé ré li hen iyôŋ a men na, ôbi a yé kwo dami bô emê iyére to derômaraŋ a a. 
MAT.5.20	En kelêŋge waŋ ta, hena kené li aŋgaɲ derôre ɗê ka bay derê tô tôô to Emen naɲ ka Parisiɲêɲê ré ba ka nêmê sé bô emê iyére to derômaraŋ a ré kwôy.»
MAT.5.21	«Na ken toy kwôlo bay na kôliɲ môɲêrŋge iyôŋ ba: ‹Já deré gawra ré wôsa kwôni wo duu megari ba, bay a jerê kwôlê sari a.› 
MAT.5.22	Niɲba, nôbi en kelêŋge, kwôni wo bôri tari sa yêni a ba, bay a jerê kwôlê sari a men, kwo tôbiɲ yêni galê ba, bay a ôriɲ naɲ ɗi tumô bay jerê kwôlê ka damné a men, kwo tiiré yêni ré yêmiɲ ba, a erê bô tare to eŋge bariɲ né hen a men. 
MAT.5.23	Hena jeré ô jeré erê biɲ Emen aŋgaɲ baliyare kini bê kwôbe a aɲa jeré erem si sa kwôlo yênem ôriɲ naɲ ju na, 
MAT.5.24	ju ɗi aŋgam kaɲ baliyare bay ka hen tôŋ jan aɲ ju ô uɲé yênem ken ô biɲ tôŋ pa dema, jeré hera sa ay aŋgam bay ka hen biɲ Emen tô. 
MAT.5.25	Hena ôbi barem ré kaŋgem aɲa kené ô ɓem kini jerê kwôlê na, ken ɲan kwôlê woŋge naɲ ɗi ca tumô geré ré ba ôbi a uwôlem kôbi ôbi jerê kwôlê a aɲ ôbi jerê kwôlê bi wo hen a ôriɲ naɲ ju biɲ asgarɲê aɲ iyeŋ né ba bay uwôlem daŋgay a. 
MAT.5.26	En kôlem, já têbê kerê iyôŋ iyôŋ dema jeré sé daŋgay a tô.»
MAT.5.27	«Na ken toy bay na kelêŋge tumô kôl iyôŋ ba: ‹Já wogé tam megam né.› 
MAT.5.28	Niɲba, nôbi en kelêŋge waŋ a ta: kwôni wo bô tami megari naɲ tu bôriyare na, bôri a ba ôbi yiɲ naɲ tu niɲ. 
MAT.5.29	Hena ré na tum toɲ gusurô a lê aɲa jeré li têriɲ na, ju dôre uléɲ kelaŋ naɲ ju, ju meray a jeré uwôɲ gelê ba dô ɗê erê bô *géhên a naɲ tum wôô kêm. 
MAT.5.30	A hena ré na kôm woɲ gusurô a lê aɲa jeré li têriɲ na, ju wali uléɲ kelaŋ naɲ ju, ju meray a jeré gôl ba dô ɗê erê bô géhên a naɲ kôm wôô kêm.»
MAT.5.31	«Bay na kôl tumô kôl iyôŋ ba: ‹Kwôni wo dage tamni ba bi ré bure magtubu toɲ bê tôre kôbre a
MAT.5.32	Niɲba, nôbi en kelêŋge hena kwôni ré dage tamni to yiɲ na kwôni ré tô aɲa hende ré ô eŋgé iba wo ɗaŋgi na, na ôbi lere aɲa hende ré wôniɲ wôniɲare toɲ têriɲ hen men, kwôni wo eŋge iyore to bay dagere hen kôba li na têriɲ naɲ tu a men.»
MAT.5.33	«Na ken toy kwôlo bay na kôliɲ môɲêrna ka tumô iyôŋ ba: ‹Aŋga ju dusu yem sara ba ju ɗi baa ré. Niɲba, ka ju ay tôm sara naɲ hini Kelma ba, ju li môj môj
MAT.5.34	Niɲba, nôbi en kelêŋge bi kwôni dusu yiri ré. Bi ôbi dusu yiri naɲ derômaraŋ ré wôsa na kini merê Emen men, 
MAT.5.35	bi kwôni dusu yiri naɲ sa terare ré wôsa na kini sêlê tê Emen men, naɲ Jérusalêm ré wôsa hende na iyére to Kelma wo dami men, 
MAT.5.36	bi kwôni dusu yiri naɲ sam né wôsa ju nêm lê bi ré béé ré men, bi ré hendu ré a men. 
MAT.5.37	Niɲba, hena kwôlê woŋge ré na tiri ba ken kôl ré na tiri men, hena ré na tiri ré ba ken kôl ré na tiri ré aɲ kwo ka kelê cêgê hen na, hena na ligi Sidan.»
MAT.5.38	«Na ken toy bay na kôl tumô iyôŋ ba: ‹Tu ba, na tu hôriɲ men, kaɲnem ba, na kaɲnem hôriɲ men
MAT.5.39	Niɲba, nôbi en kelêŋge iyôŋ ba: Dêŋge bayi habrê wo kwôni lêŋge hen né, hena kwôni ré di tô mam woɲ gusurô ba ju bul kwoɲ ma biri di a. 
MAT.5.40	A hena kwôni ré kaŋgem tumô bay jerê kwôlê a wô eŋgiɲ bargay kam kaɲ kabrêm na, ju jôri derê kaɲ kelanê a ré. 
MAT.5.41	Men, hena ôbi néé wôni ré ɓerem ereŋ jeré ayri ani ôriɲ naɲ ɗi kelaŋ nêm têê dubu ba ju ôriɲ naɲ ɗi têê dubu sara. 
MAT.5.42	Kwo uwôlem are ba ju biri men, hena ôbi ré gey jeré gwôyri ani kôba ju jôri ré a men. 
MAT.5.43	Na ken toy bay na kôl iyôŋ ba: ‹Yênem ba, jeré piri niɲba, ôbi barem ba jeré dôri ham
MAT.5.44	Niɲba, nôbi en kelêŋge bay bareŋge kôba ken pirji men, ken uwôl Emen wô sa ka geliɲ turŋge gusiɲ hen a men. 
MAT.5.45	Hen iyôŋ dema kené yiɲ kami Ibareŋge Emen wo mô derômaraŋ a wo bi tare tori berare sa bay bô habrê a men, sa bay lê derê a hen a men hen. Men, ôbi bi emen uwôŋge sa bay lê aŋgaɲ derôre a men, sa bay lê aŋgaɲ derôre ré hen a men. 
MAT.5.46	Hena kené pur na ɓiɲé ka peréŋge hen mera ba wô mi a kené mô gem sa kôbi wo Emen ba? 
MAT.5.47	Wôsa *bay eŋgé wôgê kôba li na hen iyôŋ hende to hen men, hena ré na yênêrŋge dema kené liji dosé mera ba na aŋga ɗê kiriɲ a kené li hen ba? Ɓiɲé ka hôn Emen né kôba li na hen iyôŋ men ré ba? 
MAT.5.48	Derêŋge cerêd mega Ibareŋge wo derômaraŋ a dôriɲ cerêd hen iyôŋ men.»
MAT.6.1	«Berêŋge dô wô wo ma kena gelé derê woŋge tu ɓiɲé, hena kené li hen iyôŋ ba ka uɲé sa kôbreŋge ligi Ibareŋge wo mô derômaraŋ a hen né. 
MAT.6.2	Kiriɲa jera ɓeré baliyare naɲ bay nimré na, bi yilé ôm sara môɲ kwo bay gelé yirji tu ɓiɲé a lêrê bô *iyéy daɲare a men, tô geré a men hen iyôŋ né. Bay li hen iyôŋ bi ɓiɲé ré heramiji. En kelêŋge na tu kwôlê bay uwôɲ sa kôbriji niɲ. 
MAT.6.3	Niɲba, jôbi na, kiriɲa ju gey ɓeré baliyare naɲ bay nimré na, ju li bi megam hôn né. 
MAT.6.4	Aɲ aŋgaɲ baliyare bay ka hen bi yi kini uwôbêrji a aɲ ibam Emen wo gel aŋga ju li jegê hen a sa têbem sa kôm tô.»
