MAT.1.1	Taku̱rda-o̱ u̱n baag-o Ye̱so 
MAT.2.19	Bo̱ 
MAT.2.20	 ze̱e̱ru̱ 
MAT.2.22	Amba bo̱ 
MAT.2.23	Wu̱ she'etu̱ru̱ u̱n bo̱-o̱ o-Nazaret,
MAT.3.1	U̱n ká da-o̱ o̱, 
MAT.3.2	Wu̱ ro̱ m-ze̱e̱, “Yagu̱ no̱ no̱m 
MAT.3.3	 wu̱ 
MAT.3.3	“Wu̱ ken wu̱ ro̱ u̱n eeg-se u̱n hun-ne̱ o-dákár
MAT.3.3	ye̱ haan ye̱ ho̱ge̱ wu̱.
MAT.3.3	Wu̱ ro̱ m-ze̱e̱, ‘Ja'asu̱ no̱ Yawe o-co̱w wu̱ haante̱.
MAT.3.3	Ja'asu̱ no̱ wu̱ o-co̱w te̱te̱.’ ”
MAT.3.4	Matuku-de 
MAT.3.5	Hun-ne̱ haanu̱ru̱ rwu̱u̱n-mo̱ u̱n bo̱-o̱ o-Urusharima u̱n ye̱ o-Judiya ne̱ kap, komo u̱n kap riib-se u̱n Ro̱o̱g-o̱ o-Joda ne̱. Ye̱ u̱n haan ye̱ ho̱gu̱té̱ 
MAT.3.6	Ye̱ ro̱ m-rwo̱r u̱n 
MAT.3.7	Amba bo̱ 
MAT.3.8	No̱m no̱ rem-se a hette̱ m-nap u̱nze no̱ yagu̱te̱ no̱m 
MAT.3.9	Taase no̱ nom u̱s-se̱s u̱n ho̱o̱g-m no̱ u̱nze 
MAT.3.10	Shir ru̱'u̱ste̱ nu-o̱ u̱r-yar o̱ u̱n piish u̱t-ma u̱n 'wu̱n-de o-'yo. 'Yo-yo mate̱ yakar-ye̱ u̱r-bon á, a kups yo a jorbe̱ o-ra. Kaane̱ Shir he 'ya u̱n hun-ne̱ u̱r-ko̱o̱b ye̱ yage̱ no̱m u̱n rii-yo depe̱ à.
MAT.3.11	Ka da-de 
MAT.3.12	Wu̱ ro̱ u̱n ko̱k-de u̱n wu̱ ne̱ de m-jer, wu̱a jer hyo-ye̱ u̱n wu̱. Komo wu̱ karakse̱ hyo-ye̱ u̱r-bon, wu̱ ru̱ n-me̱ u̱n byo-de u̱n wu̱, amba wu̱a tu̱ks ka nu-to̱ o-ra o̱ a hoks m-ryomos á.”
MAT.3.13	U̱n ka da-o̱ Ye̱so rwu̱u̱ne̱ e̱s-mo̱ o-Gariri, wu̱ haaru̱ u̱n Ro̱o̱g-o̱ o-Joda. Wu̱ u̱n ha remen 
MAT.3.14	 co̱nu̱ru̱ wu̱ m-we̱n. Wu̱ ze̱e̱ru̱ Ye̱so, “Me̱, wu̱ ro̱ o-hoob o yo'ostú̱ me̱ m-ho̱ à, ¿ya rwo̱'e̱ o hette̱ m-haan be u̱n de u̱m yo'ostu̱ wo̱? O jiishtu̱ me̱. Wo̱ depe̱ o yo'os me̱ m-ho̱.”
MAT.3.15	Amba Ye̱so shasu̱ru̱ wu̱, “U̱n ka da-o̱ wo̱ depe̱ o yo'os me̱ m-ho̱. Kaane̱ ro̱ u̱r-bon ne̱ remen a shooste̱ myet o̱ u̱n rii-yo Shir co̱ne̱ à.” Bo̱ 
MAT.3.16	Remen kaane̱ 
MAT.3.17	Ka da-de Shir te̱pru̱nu̱ru̱ zee-mo̱ n-To̱n o-shir, “Wu̱ ka wu̱ ro̱ Wà re, wu̱ me̱ m-co̱n à. Wu̱ me̱ m-ho̱ge̱ re̱re̱m-mo̱ u̱n wu̱ de̱e̱n à.
MAT.4.1	Ka da-de, 
MAT.4.2	Ye̱so no̱mo̱g o-
MAT.4.4	Ye̱so shasu̱ru̱, “Gense̱ to̱ ro̱ u̱n taku̱rda-o̱ Shir u̱nze,
MAT.4.4	“ ‘U̱n rii-yo m-re̱ o̱ cot
MAT.4.4	hun-ne̱ hette̱ kum m-ho̱o̱g á,
MAT.4.4	se̱ de̱ gom-to̱ rwu̱u̱ne̱ u̱n nu-o Shir à kap.’
MAT.4.6	Ka da-de 
MAT.4.6	“ ‘Shir a ru̱ yan-to̱m-ye̱ u̱n wu̱ ye̱ 'er wo̱.
MAT.4.6	Ye̱a go̱ks wo̱ u̱n kom-to̱ u̱n ye̱,
MAT.4.6	taase o he̱be̱ u̱t-ta'ar o ho̱ge̱ m-hoog.’
MAT.4.7	Ye̱so ze̱e̱ru̱ wu̱, “Gense̱ to̱ ro̱ u̱n taku̱rda-o̱ Shir, u̱nze, ‘Wo̱ meger Yawe Shir ru á!’
MAT.4.9	Wu̱ dooru̱ Ye̱so m-ze̱e̱, “Kap o̱ u̱n to̱ ka man hoks wo̱ to̱ m-ya'as, o nom gwo̱mo-to̱ u̱n to̱, u̱rege̱ wo̱a kwu̱ktu̱tu̱ me̱ o 'ye me̱, m-se̱k.”
MAT.4.10	Ye̱so ze̱e̱ru̱ wu̱, “Arag kàne̱ 
MAT.4.10	“ ‘Nome̱ Yawe Shir ru m-gu̱w,
MAT.4.10	wu̱ wu̱ cot o he m-kwu̱kte̱.’
MAT.4.11	Ka da-de, 
MAT.4.12	Da-o̱ Ye̱so ho̱ge̱ karma-ne̱ ka'ag 
MAT.4.13	Se̱ da-o̱ wu̱ ha bo̱-o̱ o-Nazaret à, ka da-de ne̱, wu̱ yagu̱ru̱ o-Nazaret wu̱ haaru̱ bo̱-o̱ o-Kapanahum o̱ ro̱ re̱e̱no̱ n-riib o̱ u̱n mar-o̱ Gariri ma-de u̱n dak-o̱ o-Zeburun, o-Napari ne̱.
MAT.4.14	Ye̱so u̱n no̱m kaane̱ remen a shoosté̱ rii-yo 
MAT.4.15	“Me̱n to̱m ne̱ u̱m ru̱ru̱ no̱ hun-ne̱ ye̱
MAT.4.15	u̱n dak-o̱ o-Zeburun u̱n dak-o̱ o-Napari ne̱.
MAT.4.15	No̱ ye̱ ro̱ yow yow u̱n mar-o̱ Gariri ne̱ à,
MAT.4.15	u̱n pes-to̱ u̱n Ro̱o̱g-o̱ o-Joda ne̱,
MAT.4.15	komo u̱n hun-ne̱ ne̱ ye̱ ro̱ u̱n dak-o̱ o-Gariri à,
MAT.4.15	be-de ye̱ ro̱ 
MAT.4.16	Ka hun-ne̱ ye̱ ro̱ u̱r-she'et n-me̱ o-comb à,
MAT.4.16	ye̱ hyen caari-mo̱ m-cecar.
MAT.4.16	Cecar-mo̱ Shir, u̱ntu̱n bo̱ ho̱-u̱r ro̱ m-rwu̱u̱n n-sot à,
MAT.4.16	Mo̱a rwu̱u̱n be-de u̱n
MAT.4.16	ka ye̱ ku̱kt-to̱ u̱n ye̱ merse̱ à.”
MAT.4.17	Cin ka da-o̱ Ye̱so cire̱ ko̱'o̱t-o̱ Ma-to̱ Shir, wu̱ ro̱ m-ze̱e̱, “Yagu̱ no̱ no̱m 
MAT.4.18	Ye̱so ro̱ m-arag n-riib o̱ u̱n Mar-o̱ o-Gariri. Wu̱ hyanu̱ru̱ ye̱ ken hen-ne̱ ye̱ ne̱n yoor, Simo̱n wu̱ a m-ze̱e̱ Bitrus à, u̱n hen u̱n wu̱ ne̱ wu̱ a m-ze̱e̱ Andarawus à. Ye̱ ro̱ m-jorbe̱ o-yo n-me̱ o-mar, remen ye̱ ya-m-ship u̱n jan-ye̱, u̱n baab-to̱ u̱n jan ne̱. 
MAT.4.19	Ye̱so ze̱e̱ru̱ ye̱, “Do̱nd no̱ me̱, man muut no̱ yan-neke̱-m re. Man yoosu̱ no̱ bo̱ no̱ he haante̱ u̱n hun-ne̱ be u̱n de à.” 
MAT.4.20	Ba u̱n naas o-da, ye̱ yagu̱ru̱ saw-to̱ u̱n ye̱ to̱ ye̱ rotte̱ u̱n ship u̱n jan à, ye̱ do̱ru̱ru̱ Ye̱so.
MAT.4.21	Bo̱ Ye̱so aragte̱ u̱n co à, wu̱ hyanu̱ru̱ ye̱ ken hen-ne̱ ye̱ ne̱n yoor komo. Ye̱ ro̱ 
MAT.4.22	Da-o gaan, ye̱ yage̱ o-hat kap u̱n tato u̱n ye̱ ne̱, ye̱ do̱ru̱ru̱ Ye̱so.
MAT.4.23	Ye̱so bo̱pu̱ m-pa'ag myet dak-o̱ o-Gariri, wu̱ ro̱ u̱r-yoos u̱n kuke̱-to̱ u̱n yoos u̱n Ma-to̱ Shir. Wu̱ ro̱ m-ko̱'o̱t 
MAT.4.24	Remen kaane̱, ma-to̱ u̱n wu̱ wo̱o̱ru̱ ko̱ o̱ ke dak-o̱ o-Siriya da-o gaan. Ye̱ ma'asu̱ru̱ wu̱ m-hante̱ u̱n ya-u̱s-go̱m go̱-u̱s-go̱, u̱n yan-swo̱ u̱r-ko̱o̱b ne̱, u̱n ye̱ 
MAT.4.25	Hun-ne̱ u̱t-mo̱o̱r ne̱ do̱ru̱ru̱ wu̱ e̱s-mo̱ o-Gariri. Ye̱ ken ye̱ rwu̱u̱n-mo̱ o-Urusharima u̱n dak-o̱ o-Judiya ne̱. Ye̱ ken ye̱ rwu̱u̱n-mo̱ u̱n be-de ye̱ m-aag, 
MAT.5.1	Bo̱ Ye̱so hyente̱ hun-ne̱ mo̱ro̱gsu̱te̱ de̱e̱n à, wu̱ daaru̱ n-to̱n u̱r-haag, wu̱ she'etu̱ru̱. Bo̱ wu̱ she'ette̱ à, yan-neke̱-mo̱ u̱n wu̱ haaru̱ be-de u̱n wu̱. 
MAT.5.2	Wu̱ ciru̱ ye̱ m-yoose̱ u̱n yo ka:
MAT.5.3	“Ya-o-zak-ye̱, ka ye̱ nape̱ u̱nze ko̱o̱b-ne̱ ye̱ ro̱,
MAT.5.3	ye̱ ro̱tte̱ Shir á,
MAT.5.3	remen go̱n ye̱ ro̱ be-de u̱n gwo̱mo-to̱ u̱n wu̱.
MAT.5.4	Ya-o-zak-ye̱, ka ye̱ ro̱ u̱n tu̱k-mo̱ u̱t-me̱n m-mo̱ka à,
MAT.5.4	remen Shir a gwu̱'u̱rsu̱ ye̱ u̱t-me̱n.
MAT.5.5	Ya-o-zak-ye̱, ka ye̱ ru̱sse̱ u̱r-hi gwe̱rgwe̱r à,
MAT.5.5	remen Shir a bo̱psu̱ ye̱ rii-yo u̱n ho̱no o-dak kap.
MAT.5.6	Ya-o-zak-ye̱, ka ye̱ co̱ne̱ m-nom rii-yo Shir co̱ne̱ à,
MAT.5.6	remen Shir a coks ye̱.
MAT.5.7	Ya-o-zak-ye̱, ka ye̱ m-ho̱ge̱ 'wo̱n-u̱r o̱r u̱n ye̱ ne̱ à,
MAT.5.7	remen Shir a ho̱ge̱ 'wo̱n-de u̱n ye̱ u̱n cen ye̱.
MAT.5.8	Ya-o-zak-ye̱, ka ye̱ ro̱ u̱n me̱n-u̱t pus-to̱ ne̱ à,
MAT.5.8	remen ye̱a hyen Shir.
MAT.5.9	Ya-o-zak-ye̱, ka ye̱ ro̱ m-co̱n hun-ne̱ she'et ba u̱t-ween à,
MAT.5.9	remen Shir a dek ye̱ yakar-ye̱ u̱n wu̱.”
MAT.5.10	Ya-o-zak-ye̱, ka ye̱ hun-ne̱ re̱e̱se̱ u̱r-ko̱o̱b à,
MAT.5.10	remen ye̱ ro̱ m-no̱m u̱n yo depe̱ à, Shir a ru̱ ye̱ o-zak,
MAT.5.10	remen go̱n ye̱ Shir co̱ne̱ u̱n gwo̱mo-to̱ u̱n wu̱.
MAT.5.11	Ya-o-zak-ye̱ no̱, da-o̱ hun-ne̱ pyapu̱ no̱ à, ye̱ re̱e̱su̱ no̱ u̱r-ko̱o̱b, komo ye̱ nomo no̱ me̱n-u̱t jaas-to̱ go̱-u̱s-go̱ rem re.
MAT.5.12	Nom no̱ o-zak remen kaane̱, remen 'yons-u̱r go̱s-de ro̱ no̱ u̱r-'er n-To̱n shir. Kaane̱ hun-ne̱ ye̱ u̱n ye̱ ya-n-ga-ye̱ nome̱ 
MAT.5.13	Komo Ye̱so ze̱e̱ru̱, “Ya no̱ ro̱ u̱ntu̱ m-po̱r be-de u̱n hun-ne̱ ye̱ u̱n ho̱no o-dak. Amba u̱rege̱ re̱re̱m-mo̱ m-po̱r taag, ¿re a he m-nom a muute̱ mo̱ m-re̱re̱m ne̱? Mo̱ waragte̱ hwaa, se̱ a ukse̱ mo̱, a yawag u̱s-na.”
MAT.5.14	Ye̱so ze̱e̱ru̱, “Ya no̱ ro̱ u̱ntu̱ m-cecar be-de u̱n hun-ne̱ ye̱ u̱n ho̱no o-dak. Ai, bo̱-o̱ a ma'e̱ n-to̱n u̱r-haag à a hoks o̱ m-wuke̱ á.
MAT.5.15	Kaane̱ o̱ komo a m-do̱ u̱r-pitirra a ho̱k de o-shaar á, se̱ de̱ a sek de n-to̱n u̱r-de̱e̱g remen de ye'et hun-ne̱ ye̱ o-hur m-cecar.
MAT.5.16	Kaane̱ komo, she'et no̱ cas remen hun-ne̱ hyenet rii-yo no̱ m-no̱m à, ye̱a bu̱m Tato no̱ wu̱ n-To̱n shir.”
MAT.5.17	Ye̱so ze̱e̱ru̱, “Taase no̱ hyen no̱ zee me̱n haan u̱m soksté̱ 
MAT.5.18	Nip-o̱ me̱ no̱ m-ru̱re̱, u̱rege̱ de̱ o-To̱n o-dak ne̱ ro̱ ko̱n, yatt ko̱ o-ke̱e̱r ko̱ ya-o-dakka yo he m-sokse̱ n-me̱ u̱n yoos-de o-
MAT.5.19	Remen kaane̱ bo̱ u̱n wu̱ jesse̱ ko̱ o-gaan be-de u̱n ka 
MAT.5.20	“Me̱ no̱ m-ru̱re̱, u̱rege̱ kashi u̱n she'et-u̱r no̱ de jiish de u̱n 
MAT.5.21	“No̱ ho̱gu̱ssu̱te̱ a ru̱ssu̱te̱ hun-ne̱ na ye̱ n-ga, u̱nze, ‘Wo̱ jar o ho ne̱t á,’ gaan-o zee ‘bo̱ u̱n wu̱ ho̱ ne̱t à, a he'et wu̱ be-de u̱n piishi wu̱ u̱t-ma.’
MAT.5.22	Amba me̱ no̱ m-ru̱re̱, wu̱ ro̱ u̱s-ryaab u̱n o̱r u̱n wu̱ ne̱ à, Shir a nom u̱s-ryaab u̱n wu̱ ne̱ komo a piishe̱ wu̱ u̱t-ma. Komo bo̱ u̱n wu̱ no̱me̱ u̱s-ryaab u̱n o̱r u̱n wu̱ ne̱ à, har wu̱ ce'e̱ wu̱ jin-u̱r yo̱-de a he'et wu̱ be-de m-piish u̱t-ma to̱ se̱k-ye̱ u̱n Shir. Komo wo̱ kute̱ o̱r ru u̱t-yage̱ har o zee wu̱ ko-raag! To̱, o bu̱pse̱ o̱ ka co̱w-yo u̱n den-o̱ o-ra!”
MAT.5.23	Ye̱so haaru̱ co m-ze̱e̱, “U̱rege̱ wo̱ u̱n ma-to̱ m-hwo̱bbe̱ m-yar n-te̱ u̱n 
MAT.5.24	Wo̱ hwo̱be̱ yar-m ru o-
MAT.5.25	Ye̱so ze̱e̱ru̱ komo, “U̱rege̱ wu̱ ken wu̱ ze̱e̱g o nomote̱ wu̱ u̱r-yo̱-de har wu̱ ro̱ wo̱ u̱n ma-to̱ m-heet be-de u̱n m-piish u̱t-ma, no̱m ho̱r-m-ho̱r o hongse̱ u̱n wu̱ ne̱. No̱m bo̱ o he m-no̱m à no̱ e̱ss u̱t-ma u̱n wu̱ ne̱ cin ba no̱ u̱n wo̱o̱ be-de u̱n m-piish u̱t-ma. U̱nya kaane̱ á, wu̱a mo̱ssu̱ wo̱ u̱n wan-piish u̱t-ma ne̱. Komo ko-ya-m-piish u̱t-ma wu̱a mo̱ssu̱ wo̱ u̱n yan-to̱m-ye̱ u̱n wu̱ ne̱ ye̱ ke wo̱. 
MAT.5.26	Nip-o̱ me̱ wo̱ m-ru̱re̱, u̱rege̱ wu̱ no̱mo̱g kaane̱, rii-yo a rwu̱ntu̱tu̱ wo̱ kane̱, se̱ o to̱pk kap bo̱ u̱n rii-yo a wo̱ m-do̱re̱ à.”
MAT.5.27	Ka da-de Ye̱so ze̱e̱ru̱, “No̱ ho̱gu̱ssu̱te̱ ka 
MAT.5.28	Amba me̱ no̱ m-ru̱re̱, taase ma ne̱t gu̱t ne'a-wu̱ ro̱ ne'a u̱n wu̱ á komo wu̱ cu̱n m-rewe̱ u̱n wu̱ ne̱ n-me̱ u̱n hur-de u̱n wu̱. U̱rege̱ ne̱t no̱mo̱g káane̱, wu̱ no̱mo̱g o-ás o̱ ka u̱n wu̱ ne̱ n-me̱ u̱n hur-de u̱n wu̱. 
MAT.5.29	U̱rege̱ yish u̱n du ro̱ wo̱ m-rwo̱ 
MAT.5.30	Komo ka ro̱, u̱rege̱ kom-o ru o-gaan ro̱ wo̱ m-rwo̱ 
MAT.5.31	Ye̱so ze̱e̱ru̱ komo, “Wu̱ ken wu̱ ze̱e̱g yo ka u̱nze ‘U̱rege̱ wu̱ ken ne̱t-wu̱ ho'oste̱ ne'a u̱n wu̱, se̱ wu̱ ya'astu̱ wu̱ taku̱rda-o̱ u̱n caas u̱t-ge.’
MAT.5.32	Amba me̱ no̱ m-ru̱re̱, ne̱t a hoks ho'os u̱n ne'a u̱n wu̱ u̱rege̱ ka ne'a-wu̱ rewete̱ u̱n wu̱ ken campo̱ wu̱ ne̱. Taase ne̱t ho'os ne'a u̱n wu̱ remen yo ken rii-yo u̱n ho̱n. U̱rege̱ wu̱ ho'oste̱ ne'a u̱n wu̱ remen yo ken rii-yo u̱n ho̱n, wu̱ rwo̱'o̱g wu̱ o̱ ka no̱m o-ás u̱rege̱ ka ne'a-wu̱ gaag wu̱ ken campo̱ wu̱. Komo u̱rege̱ campo̱ gaag ne'a-wu̱ campo̱ u̱n wu̱ ho'ose̱ à, Shir de̱k o̱ ka ka ne̱t-wu̱ no̱mo̱g o-ás.”
MAT.5.33	Ye̱so haaru̱ co m-ze̱e̱, “No̱ ho̱gu̱ssu̱te̱ o̱ ken 
MAT.5.34	Amba rii-yo me̱ no̱ m-ru̱re̱ à yo ro̱, taase no̱ to̱nd á po̱r po̱r. Taase no̱ to̱nd u̱n jin-de u̱n To̱n-o̱ shir á, remen káne̱ Shir ro̱ u̱n gwo̱mo-to̱ u̱n wu̱.
MAT.5.35	Taase komo no̱ to̱nd o-dak, remen o̱ ro̱ u̱n ku̱s-o̱ u̱n na-se u̱n wu̱. Taase komo no̱ to̱nd u̱n jin-de o-Urusharima, remen o-Urusharima bo̱-o caari-o̱ o̱ u̱n ko-Gwo̱mo Shir.
MAT.5.36	Taase komo o to̱nd u̱n hi u̱n du á, remen wo̱a hoks m-muut u̱n ko̱ can-o o-gaan yo wakte̱ o-pus yo ko̱ o-rim yo á. 
MAT.5.37	U̱rege̱ o co̱no̱g m-ze̱e̱ ‘E̱e̱’ zee ‘E̱e̱,’ u̱rege̱ ‘Ay’ o̱, zee ‘Ay.’ Rii-yo pase̱ kaane̱ à, yo̱-yo yo. Yo rwu̱u̱ne̱ u̱n 
MAT.5.38	Ka da-de Ye̱so ze̱e̱ru̱, “No̱ ho̱gu̱ssu̱te̱ de̱ ka 
MAT.5.39	Amba me̱ no̱ m-ru̱re̱, taase o muute̱ wu̱ ken wu̱ o-yo̱ yo bo̱ wu̱ nomo wo̱ à. M-sha u̱rege̱ wu̱ ken wu̱ hu̱tu̱ wo̱ o-raag, u̱r-geeg de u̱r-re̱, wo̱ mu̱se̱ á wakse̱ wu̱ o̱ kuse̱ à wu̱ bu̱se̱. 
MAT.5.40	A nom wu̱ ken wu̱ ze̱e̱g o nomote̱ wu̱ u̱r-yo̱-de. Wu̱ ze̱e̱ru̱ ko-yan-m-piish u̱t-ma wu̱ rumse̱ wu̱ matuku u̱n du, u̱rege̱ ka ne̱t-wu̱ no̱mo̱g kaane̱, ya'as wu̱ myet u̱n co̱p-o ru ne̱. 
MAT.5.41	U̱rege̱ wu̱ ken ko-karma-wu̱ rwo̱'o̱g wo̱ u̱r-hew me̱r-u̱r gaan, u̱t-saw ne̱ neke̱ o dek to̱ har me̱r-u̱t yoor. 
MAT.5.42	Wu̱ ko̱nu̱ wo̱ gwu̱ à, gu wu̱. Wu̱ haane̱ komo hoob-o̱ u̱n mo̱o̱g be u̱n du à, wo̱ we̱n wu̱ á.”
MAT.5.43	Ye̱so haaru̱ co m-ze̱e̱, “No̱ ho̱gu̱ssu̱te̱ o-
MAT.5.44	Amba me̱ no̱ m-ru̱re̱, co̱n no̱ yan-yage̱-u̱t no̱!
MAT.5.45	No̱m-mo̱ u̱n kaane̱, a hante̱ no̱ waktu̱te̱ yakar-ye̱ u̱n Tato no̱ wu̱ n-To̱n shir. Wu̱ ro̱ m-rwo̱ ho̱-de rwu̱u̱n m-cecas ne̱ n-te̱ u̱n ye̱ ro̱ kashi u̱n hun-ne̱ u̱n ye̱ ro̱ rii-ye̱ o-saa ne̱ à. Komo wu̱ to̱mo̱n kem n-te̱ u̱n ye̱ ro̱ kashi u̱n hun-ne̱ à, u̱n ye̱ ro̱ rii-ye̱ o-saa ne̱ à. 
