MAT.1.1	Kalara
MAT.4.21	Ndò angakë osu, antala babënyaṅ bëfë bëbè, Yakob, man Zebede ai Yohannes, manyaṅ, bëbëdë a efunga ai esya waban Zebede, bëkomo mvunda dzaban, ndò aloe bò. 
MAT.4.22	Etye te, ndò balig efunga dzaban ai esya waban, bëngatoṅ nyè.
MAT.4.23	Angakë awulu a nkòṅ nnam Galilea osë, ayëgëlë a mënda-bikoan
MAT.4.24	Mindum mie miyaman hm fò a nnam Siria osë. Bëngazu ai nyè e ba bësë bëngabë bëlë mintye mi okòn kan esë, ai e ba bëmbë bëlë bëbë bivu, e ba bëkònò a nlo, ai mimbobog, angasye bò. 
MAT.4.25	Abui minkunda ya Galilea, ai Dekapolis (Bëtisòn-Awomo)
MAT.5.1	Ayen angayen minkunda mi bod, ndò angabed a nkol a yob; atòbò a si, ndò bëyègè boe bëngasubu nyè babi. 
MAT.5.2	Ndò angayaè anyu angayëgëlë bò, nyè na:
MAT.5.3	Bësombòg mvòm, e ba bënë mëbua a nsisim
MAT.5.4	Bësombòg mvòm, e ba bënë a mëlunga, Amu bayi bò vòli nnëm.
MAT.5.5	Bësombòg mvòm, e ba bënë evovoe
MAT.5.6	Bësombòg mvòm, e ba bawog zie ai ekode asu sosoo, Amu bayi dzie.
MAT.5.7	Bësombòg mvòm, e ba bënë nnëm ngòl, Amu bayi bò yen ngòl.
MAT.5.8	Bësombòg mvòm, e ba bënë nnëm mfuban, Amu bayi yen Zamba.
MAT.5.9	Bësombòg mvòm, e ba benë bod bë mvoè, Amu bayi bò loe na «Bòn bë Zamba».
MAT.5.10	Bësombòg mvòm, e ba bëbëlë efëma asu sosoo, Amu edzoe ya yob yawoge ai bò.
MAT.5.11	Mina bësombòg mvòm, eyòṅ bënkag mina, bëfëmë mina, bëdzoo mina kan abe asë asu dama. 
MAT.5.12	Taan, mifono, amu maan man mënë abui a yob. Nala ngò bëngafëm e bëprofet bëmbë mina osu.
MAT.5.13	Mina minë nku si. Ngë nku wasole, bayi wò bad kidi ai dze? Wasëki fë ai mfi, hë na bakub wò a nsëṅ, bod bëngakòòdò wò ai mëkol. 
MAT.5.14	Mina minë mfyè si. E tisòn enë a nkol a yob, esëki dzam sòbò. 
MAT.5.15	Ndò fë, bakad ki koe alamba, bëngatele dò a enòṅ asi; batele dò a etelëga a yob, asu yë na avë e bod bësë bënë a nda mfyè. 
MAT.5.16	Mfyè waan ofyè a mis më bod nala, asu yë na bëyen mimbëmbë mi mam miabò, bëvë esya waan ya yob olugu.
MAT.5.17	Mibë kë tsog na masò na mazu vaè mvende ngë bëprofet. Mandzë sòṅ na mavaè, masò dzala
MAT.5.18	Bëbëla emen, makad mina na, osusua yë na yob ai si bialod, tò ekanga dzia ziṅ, tò man atòn ziṅ ya ekanga ayi ki lod, së na mam mësë mëmana dzalëban. 
MAT.5.19	E nyò osë ayi vaè dzidzia ya mëmvende mënë ntòg ma, ayëgëlë fë bod abò nala, bayi nyè loe na «e mod mvua» a edzoe ya yob. E nyò ki ayi bò ngë ki ayëgële mò, bayi nyè loe na «e mod nënë» a ayòṅ ya yob. 
MAT.5.20	Amu makad mina na, ngë sosoo waan andzëki lod e nyò bësaṅa bëkalara ai bëfarisea, mianganyian ki a edzoe ya yob.
MAT.5.21	Mingawog na bëngadzo ai bëtara na: Të wawoe. E nyò awoe, ayean ai nda-mëdzo. 
MAT.5.22	Mfa wama, makad mina na, e mod osë awog olun ai manyaṅ, ayean ai nda-mëdzo. E nyò adzo ai manyaṅ na «Raka»
MAT.5.23	Ngë wakë hm tuni efaè dzoe a alatar, abog te wakë tsog we na manyòṅ abëlë mëliṅëna ai wa, 
MAT.5.24	ligi efaè dzoe osu alatar hala, otari kë kom ai manyòṅ, abog te hm ozu kë tuni efaè dzoe. 
MAT.5.25	Tam kui kiṅ dzia ai e mod abelë ai wa adzo, ntye osë ongëlë ai nyè a zen, asu yë na aza kalan wa a mò më ntsigi-ntol, ntsigi-ntol ny'akalan wa a mò më mod bisye, bëwoa wa a nda-mimbog. 
MAT.5.26	Bëbëla emen, makad wa na, wayi ki kui hala, së na omana dugan ekola esë.
MAT.5.27	Mingawog na bëngadzo na: «Të waandaman alug». 
MAT.5.28	Ma makad mina na, e mod osë abëbë mininga mis yë na atam nyè, mod te andaman ya alug ai nyè a nnëm woe. 
MAT.5.29	Ngë e dis doe ya mbo-nnomo labò na oku mbëg, tui dò
MAT.5.30	Ndò fë, ngë wò woe ya mbo-nnomo waandëgëlë wa, tsigi wò, owoa wò oyab. Anë ai wa mfi na edzoo dzoe dzia edzaṅa lodo anë nguma nyòl odzaṅa mbimbiṅ ete.
MAT.5.31	Bëngadzo fë na: «Ngë mod asoe ngal, avaa nyè kalara maan».
MAT.5.32	Ma makad mina na: «E nyò osë asoe ngal, ngë së ki adzo ebòn ai mod mfë, mod te asogolo ngal a bisog; ndò fë e nyò alug e mininga anë ntsaman ai nnom, mod te abò ya bisog».
MAT.5.33	Mingawog fë na bëngadzo ai bëtara na: «Të wakani evoe sòṅ, okpaèn e mëtiṅ ongalig Nti»
MAT.5.34	Ma makad mina na, të wakanikani sòṅ; tò a yob, amu yob onë etoa ntomba Zamba, 
MAT.5.35	tò a si, amu enë etëlë mëkol dzie, tò ki a Yerusalem, amu anë tisòn nkukuma nen 
MAT.5.36	tò a nlo woe, amu wasëki dzam bò na kòṅ esil dzoe dzia efum ngë ki na evin. 
MAT.5.37	Nkòbò waan obò hë owe, owe, ngë ki na kokoa, kokoa. E dzi yabëdëban a yob hala yasò abë Mbe.
MAT.5.38	Mingawog na bëngadzo na: «Dis labudan ai dis, asoṅ labudan ai asoṅ
MAT.5.39	Ma makad mina na, të mialuman ai Mbe. Dzam da, ngë mod abimi wa a amaṅ ya mbo-nnomo, lëdëgë fë nyè e di avòg. 
MAT.5.40	E nyò ayi na akë ai wa a nda-mëdzo na anòṅ wa ewòman, dzoge fë nyè kod dzoe. 
MAT.5.41	Ngë mod ayag na owulu ai nyè taṅ mëkol akuda, wulugu ai nyè bakuda bëbè. 
MAT.5.42	Ngë mod adzaè wa, vaa nyè, ngë adzaè wa ekola, të walum nyè mvus.
MAT.5.43	Mingawog na bëngadzo na: Odiṅi manyòṅ
MAT.5.44	Ma makad mina na: Diṅan minziziṅ mian, mikogëlan asu e ba bafëm mina 
MAT.5.45	asu yë na mibò bòn bë esya waan ya anë a yob, amu abò na nlo-dzobo woe akui asu bëbe ai mimbëṅ, anoege mvëṅ asu bësosoo ai bod bë dzongo. 
MAT.5.46	Amu ngë miadiṅ hë e bod badiṅ mina, maan mëfe mibëlë ete? Bënòṅò bë ntòlò babò nala a? 
MAT.5.47	Ngë miasug hë babënyòṅ, dze miadaṅ bò ete? Bëhaiden babò nala a? 
MAT.5.48	Tòbëgan a saaṅ anë mbol Tara waan ya yob anë a saaṅ.
MAT.6.1	Boan okala na të mialëdë sosoo waan a mis më bod na bëyën mina. Ngë mibò të bò okala nala, miayi ki bi maan abë esya waan y'anë a yob. 
MAT.6.2	Ngë wabò afaṅ, obë lòṅ tòṅ, anë bod miṅyene balòṅ a mënda bikoan ai a mindzòṅ asu yë na bod bëtaman bò. Bëbëla, makad mina na, bëmbëlë ya maan maban. 
MAT.6.3	Mfa woe, ngë wabò afaṅ, të mbo-ngala woe ayëm e dzi mbo-nnomo woe abò, 
MAT.6.4	asu yë na afaṅ doe akanga a asoe. Esya woe ya ayen a asoe ayi yaan ai wa.
MAT.6.5	Eyòṅ ki miakogëlan, mibë bò anë bod miṅyene ya badiṅ tëbë a mënda-bikoan ai a maan mindzòṅ na bakogëlan, asu yë na bëyene a mis më bod. Bëbëla, makad mina, bëmbëlë ya maan maban. 
MAT.6.6	Mfa woe, eyòṅ wakogëlan, nyiigi a etun-nda dzoe
MAT.6.7	Eyòṅ miakogëlan, mibë lòb a mënyu anë bëhaiden; mbò batsog na a abui nkòbò ngò ngogëlan dzaban yayi wogëban. 
MAT.6.8	Të miafulan ai bò; amu esya waan ayëm e dzi miayaṅan ai dzò osusua yë na miasili sili nyè. 
MAT.6.9	Na ngò hm mikogëlan
MAT.6.9	A Tara waan y'onë a yob, dzoe doe afubëgan,
MAT.6.10	Ayòṅ doe azaag, ṅyian woe obòban, akyaè ya yob, nala fë a si
MAT.6.11	Vaa bia ana e bidi bian biayaṅan ai biè.
MAT.6.12	Ovaaga bia bivus bian, anë biavaè e ba bavus abë bia
MAT.6.13	Të wakë ai bia a mëbobëla, okodëge bia a mbë dzam.
MAT.6.14	Amu ngë miadzu bod bivus biaban, esoa y'a yob nyè ayi mina dzu. 
MAT.6.15	Ngë miandzëki dzu bod, esya waan ayi ki mina dzu bivus bian.
MAT.6.16	Eyòṅ miaki bidi, të miabò mëlunga anë bod miṅyene; bakad mana tsende mësu maban na bod bëyëm na baki bidi. Makad mina bëbëla na bëmbëlë ya maan maban. 
MAT.6.17	Mfa woe, eyòṅ waki bidi, wòbògò mbòn a nlo, osob asu doe
MAT.6.18	asu yë na të wayene a bod, hë abë esoa ya anë a asoe, na waki bidi. Esoa ya ayen a asoe ayi yaan ai wa.
MAT.6.19	Të miakoan akuma a si-ndon, mfa bibibian ai miëngëlë biandaman biè, ai mfa miṅwuwub miabug, midzibi. 
MAT.6.20	Koan akuma a yob, mfa tò bibibian tò miëngëlë biandaman ki, miṅwuwub tègè bug na badzib. 
MAT.6.21	Amu e hom akuma anë wa, eyë fë nnëm onë wa ete.
MAT.6.22	Alamba nyòl ndò anë dis. Eyòṅ dis anë mvoè, nyòl dzoe esë yayi tòbò a mfyè. 
MAT.6.23	Ngë dis anë wa abe, nyòl esë yayi tòbò a dibi. Ndò hm, ngë mfyè ya onë abë wa onë dibi, dibi te lëmbo fog fe?
MAT.6.24	Mod asësye bëti bëbè. Amu ngë abò të siṅ mbòg, adiṅi e nyò mbòg, ayi lad ai mbòg, angabyandi e nyò mbòg. Miasëki dzam sye ai Zamba ai Mamona
MAT.6.25	Asu te madzo ai mina na, të miasaṅan asu enyiṅ dzaan ai e dzom miayi di ngë anyu, ngë ki asu nyòl dzaan na dze miayi bòd. Enyiṅ yalod bidi a? Nyòl yalod mbòd a? 
MAT.6.26	Fòmbëgan anòn ya yob: Labè ki, lakoe ki bidi, lakoan ki a mëngunda, hë da esya waan ya yob atòṅ dò. Miasë mfi alodo dò a? 
MAT.6.27	Za mbòg ya abë mina, hë asu yë na asaṅan abui, anë dzam woṅ ntye woe anë ekudëga wò? 
MAT.6.28	Mfa mbòd, dze miasaṅan? Bëbëgan sam ya mëfub, anë yanaṅ. Yasye ki, yatiṅ ki biyie. 
MAT.6.29	Makad mina na tò Salomon, a duma die ete, angabë ki abòdò fò anë sam dzidzia ya ete. 
MAT.6.30	Ndò hm, ngë Zamba angamana bòdò bilòg ya mëfub ya binë ana, okidi bëwoa a ndoan, ngamëna ai mina, a e bod minë tègè ai abui ṅyëbë ba? 
MAT.6.31	Të hm miasaṅan, midzo na, bindi dze ngë ki na binyu dze ana? Ngë ki na, bimbòd dze ana? 
MAT.6.32	Bëhaiden mbò badzëṅ e mam mësë mala. Amu esoa ya yob ayëm na miayaṅan ai mò. 
MAT.6.33	Tarigan hm dzëṅ edzoe Zamba ai sosoo woe, eyòṅ te e mam mësë ma mayi sò baaban a yob. 
MAT.6.34	Të miasaṅan asu amos ya okidi, amu amos ya okidi wayi saṅan ai oben. Amos osë obëlë ndzug woe.
MAT.7.1	Të miatsig ntol, asu yë na të batsig mina ntol. 
MAT.7.2	A kyaè watsig ntol, akyaè endzò fë bayi wa tsig ntol. Ehëg wahëg e mod mbòg, endzò bayi wa hëg ete. 
MAT.7.3	Dze wabëbë ekan enë manyòṅ a dis, otoa të yen mboṅ onë wa a dis? 
MAT.7.4	Ngë ki na, eyë onë dzam dzo ai manyòṅ ya na: Dzoge, mëvaa wa ekan a dis? 
MAT.7.5	A mod mvol, tarigi vaè mboṅ onë wa a dis, eyòṅ te wayi toan yen na ovaè ekan enë a dis manyòṅ. 
MAT.7.6	Të miavë mvu e dzi enë mfuban
MAT.7.7	Siligan, bëvë mina, dzëṅan, miayi sòm; kudan, bayi mina yaè. 
MAT.7.8	Amu e nyò osë asili, abi; e nyò osë adzëṅ, asòm; bayaè e nyò osë akud. 
MAT.7.9	Mod mfe y'abë mina ayi vë mòn ngòg, eyòṅ asili nyè mbaṅëla? 
MAT.7.10	Ngë ki na, eyòṅ asili nyè kòs angavë nyè nyòl? 
MAT.7.11	Ngë e mina ya minë bëbe, mina yëm vë bòn baan mimbëmbë bifaè, esoa ya yob ayi vë e ba badzaè nyè mimbëmbë mi byem fog fe? 
MAT.7.12	Ndò hm e byem bisë miayi na bod bëbò mina, mibò bò nala. Mvende nyili ai bëprofet. 
MAT.7.13	Minyiigi mbè ya onë abòd. Amu, onë ndam abui ai anen asë, mbè ya wakë a ndzaṅ kòm, ndò abui bod lanyian ete. 
MAT.7.14	Zen enë abòd, ndzòṅ otoa fëan, a biakë a enyiṅ; e ba basòm wa bëtoa abòd.
MAT.7.15	Mikalëga bëprofet minnal, mbò bazu abë mina ai biyie mintomba, hë da a nnëm ete bëtoa ayòg anë mvu afan. 
MAT.7.16	Miayi bò yëm a bibuma biaban. Yë bënë dzam koe tòm a bongo, ngë ki na mvud a ele biyò? 
MAT.7.17	Na, ele esë enë mbëṅ yawum mimbëmbë bibuma, e dzi ki enë abe, yawum bëbe bibuma. 
MAT.7.18	Mbëmbë ele asëki dzam wum bëbe bibuma, mbë ele ny'asiki dzam wum mimbëmbë bibuma. 
MAT.7.19	Ele esë yawum ki mimbëmbë bibuma yayi tsigëban, ewoaban a ndoan. 
MAT.7.20	Miayi fò bò yëm a bibuma biaban.
MAT.7.21	Së ki e nyò osë adzo ai ma na: A Nti, a Nti, ṅnyè ayi nyian a edzoe ya yob, dzam da e nyò abò ṅyian tara wama ya yob. 
MAT.7.22	Abui dzam layi dzo ai ma amos te na: A Nti, a Nti, së a dzoe doe ngò bingabò abui biyëṅ bi mam a? 
MAT.7.23	Eyòṅ te hm mayi bò yalan na: Maayëyëm mina. Subugan ma oyab, a e bod miabò abe ba!
MAT.7.24	E mod osë awog bibug biama anyiṅi fë anë biadzo, bëngahëg nyè ai mfëfëg mod ya ongaloṅ nda dzie a nkom. 
MAT.7.25	Mvëṅ enòṅò, biyëyëg bisòò, nkulu avuṅu, odzimbi nda te, dzam da etë ku, amu engayëmban a nkom. 
MAT.7.26	E nyò ki awog bibug biama bi, hë da tègè nyiṅ anë biadzo, bëngahëg nyè ai akud mod ya angaloṅ nda a nsëlëg a yob. 
MAT.7.27	Mvëṅ enòṅò, biyëyëg bisòò, nkulu avuṅu, bidzimbi nda te, ekuu a si, mfaṅ nkuan. 
MAT.7.28	Ndò hm lazu bò na, amana Yesus angaman kòbò e bibug bi, ndò minkunda mingakam ṅyëgëlan woe. 
MAT.7.29	Amu angabë ayëgëlë bò anë e mod abëlë edzoe, asëlan ai bësaṅa bëkalara baban.
MAT.8.1	Asus angasus a nkol a si
MAT.8.2	Antëm na, ndò nzëzam ongazu nyè laban a mëkol a si, nyè na: «A Mënti, ngë wadiṅ, onë ma fubu.» 
MAT.8.3	Ndò angasam wò, anamba nyè, nyè na: «Mayi nala, bò mvoè.» Etye etye te, ndò zam dzie engalèdëban. 
MAT.8.4	Ndò Yesus adzo ai nyè na: Obò okala na të walèè dò tò mod ziṅ; këlë, okë lëdë fada nyòl, otuni fë efaè Moses angatëbëlë mina asu mbòòlan waan.
MAT.8.5	Anyian anganyian a Kafarnao, ndò ndzoe nkunda bëzimbi ntèd
MAT.8.6	A Nti, mòngò bisye wama adzogo ma a nda, anë ebog ai eyëgan abui mintye abëlë nyè. 
MAT.8.7	Ndò adzo ai nyè na: Mazu nyè kë bò mvoè. 
MAT.8.8	Ndò ndzoe nkunda bëzimbi nyò afèd na: A Nti, masëki a nkoṅ yë na onyian ma a nda
MAT.8.9	Yënë sik, mod anë ma, bod badzoe ma, ma mëbëlë e bëzimbi madzoe. Ngë madzo ai e nyò na: «Këlëg», akëlë fë. Mëdzoo ki ai e nyò mbòg na «Zaag», asò fë; mëdzoo ai olò wama na: «Bòò anë osi, anë oka», abòò fe. 
MAT.8.10	Awog Yesus angawog nala, ndò angakam, nyè ai e bod bëngabë biege nyè na: Bëbëla emen, makad mina, mabë ya ki yen e kan ṅyëbë nyi abë mod ziṅ a Israel. 
MAT.8.11	Ndò makad mina na: Abui layi sò a nnam kidi ai nnam ngoge, bënganòṅ bitoa na badi ai Abraham ai Isaak ai Yakob a edzoe ya yob
MAT.8.12	dzam da, bòn bë ayòṅ bayi wooban a e dibi ya nsëṅ. Awe, miṅyon ai nladan mëkëg. 
MAT.8.13	Ndò Yesus adzo ai ndzoe nkunda bëzimbi na: Këlëg, ayënan ai wa akyaè ya oyëbë. Ndò mod bisye woe angabò mvoè awola te.
MAT.8.14	Ndò Yesus angakë a nda Petrus, antala nkyè mininga woe adzogo, akònò fiba. 
