MAT.1.1	In e nhag rɨp Yesu Kristo
MAT.1.16	kɨni Jekob in rɨm Josef e yerman kape Meri. Kɨni Meri in rɨmɨrəh Yesu, kɨni kamokrən kɨn In kɨmə Kristo yame Kughen rɨmɨni mə tukrher-pə kɨn.
MAT.1.17	Ror məkneikɨn mə rɨrikakun ye Ebraham mamuə meriaji-pə King Deved, kaha hah mɨnə kape Yesu, kɨmɨrai nhagriə, iriə fotin. Kɨni rɨrikakun ye King Deved, muə meriaji-pə kwənərəus kape Isrel kɨmnɨsarə Babilonia, nhagriə e, iriə m-fam fotin. Kɨni rɨrikakun mɨn ye kwənərəus kape Isrel kɨmnɨsarə Babilonia, meriaji-pə Kristo yame Kughen rɨmɨni mə tukrher-pə kɨn, nhagriə e, iriə m-fam fotin.
MAT.1.18	In e nəvsaoyen kɨn narhayen kape Yesu Kristo. Nɨsɨn Yesu, nhagɨn e Meri. Kɨmɨrpen-ta mə tukrəri-pən kwən kɨrik, nhagɨn e Josef. Mərɨg kɨrɨpəh hanə nɨwarə-kwisien, kɨni Josef rɨpəh napɨr-pənien tukun, mərɨg Nanmɨn kape Kughen rɨmnor Meri ror tɨpɨn. Kɨni narmamə kwəsəm mə Meri rɨnor tɨpɨn.
MAT.1.19	Kɨni kafan yerman Josef rɨmə tukrəpəh in, mərɨg in yemə atuatuk, [mɨpəh norkeikeiyen mə tukror Meri raurɨs ye nɨmrɨ narmamə], rɨkin raməsɨk mə tukrəpəh apɨs-apɨs əmə Meri. 
MAT.1.20	Mərɨg nɨpɨg rɨkin rɨmoh mə tukror məknakɨn, kɨni rəmrərhav, məm agelo kɨrik kape Kughen Yermaru rɨmauə tukun mɨmə, “Josef, mɨkɨp Deved. Takpəh nɨgɨnien tuk nɨkɨrien Meri, meinai kwajikovə yame ramarə iran, in rɨmasɨ-pən əmə tuk Nanmɨn kape Kughen. 
MAT.1.21	Kɨni Meri tukrɨrəh tɨni kɨrik yerman, kɨni takhen-pən nhagɨn mə Yesu
MAT.1.22	Narɨmnar mɨnə fam a kɨmnhatərhav-pə, kasor Nəgkiarien kape Kughen Yermaru ruauə mɨnor nəfrakɨsien kɨn, yame rɨmɨni-ərhav tuk profet kupan kɨrik mɨmə,
MAT.1.23	“Piakəskəh kɨrik yame yerman rɨpəh hanə nɨvənien tukun, tukror tɨpɨn.
MAT.1.23	Kɨni mɨrəh tɨni kɨrik yerman,
MAT.1.23	Kɨni tukhen-pən nhagɨn kɨmə Emanuel.” 
MAT.1.23	(Nɨpran e ramni mɨmə, “Kughen ramarə kɨtawə min.”)
MAT.1.24	Josef rɨmnəm-ta nəmrərhavyen a, kɨni məri-pən nəgkiarien yame agelo kape Kughen Yermaru rɨmɨni, kɨni mɨvən, mɨkɨr Meri rəmhen kɨn kafan piraovɨn, mɨravən iman yerkwanu. 
MAT.1.25	Mərɨg in rɨpəh nɨvənien tukun meriaji Meri rɨmneiməkɨn tɨni yerman. Kɨni Josef rhen-pən nhagɨn mɨmə Yesu.
MAT.2.1	Yesu rɨmnarha-pə apa Betlehem, ye tanə Judia. Ye nɨpɨg a, King Herod rɨmnamarmaru iran. Kɨni ai nəmehuə mɨnə tɨksɨn khasɨ-fiak isok mhauə Jerusalem. Kharkun huvə nar tuk nəmien nɨmtətien ye kəmhau mɨnə. Kɨni mhauə mɨsaiyoh mhamə, 
MAT.2.2	“?Kwajikovə a In hiə, yame rɨmnarha-pə? In king kape nəmə Isrel. Kafan kəmhau rɨmnhaktə, yaksəm apa fiak; kɨni yakamhauə mə jakhavəh-si haktə In.”
MAT.2.3	Mərɨg King Herod rɨmnərɨg nəgkiarien a, iriə nəmə Jerusalem, kɨmɨsərɨg raha. 
MAT.2.4	Kɨni rɨmnofugɨn hae pris mɨnə mɨne nəmhajoun mɨnə kape Loa kape Moses, maiyoh əriə mə, “?Kristo yame Kughen rɨmɨni mə tukrher-pə kɨn, In tukraməkeikei marha-pə apa hiə?”
MAT.2.5	Kɨni khani-pən tukun mhamə, “In tukrarha-pə apa Betlehem, ye tanə e Judia. Meinai profet kupan kɨrik kape Kughen rɨmɨrai məknakɨn mɨmə,
MAT.2.6	“ ‘Eh. Betlehem, ye tanə Judia.
MAT.2.6	Tukhapəh nɨsəm-əhuyen əmiə mə nəmehuə mɨnə ye taon mɨnə tɨksɨn apa Judia kɨsapita əmiə,
MAT.2.6	meinai yemehuə kɨrik tukrɨsɨ-pre irəmiə.
MAT.2.6	Kɨni In tukrəm huvə kafak narmamə mɨnə e nəmə Isrel, rəmhen kɨn yame yermamə ramarha huvə tuk sipsip mɨnə.’ ” 
MAT.2.7	Məkneikɨn King Herod rokrən kɨn narmamə yamə mɨne kharkun huvə nar khauə, rofugɨn apɨs-apɨs əriə. Maiyoh əriə mə kəmhau a rɨmnhaktə atuatuk ye naha nɨpɨg. Kɨni kɨmnhani-əsah-pən tukun. 
MAT.2.8	Kɨni in rɨmɨni-pən tuk əriə mɨmə, “Havən Betlehem, mɨsarha-kɨn huvə kwajikovə a. Kɨni tukmə naksəm, nakhani-əsah-pə iran, pəh yo mɨn yakvən mɨvəh-si haktə In.”
MAT.2.9+MAT.2.10	Mərɨg nɨpɨg kɨmɨsərɨg nəgkiarien a, khatərhav, mhavən, mɨsəm mɨn kəmhau kupan yame kɨmɨsəm apa fiak, rɨkiriə ragien pɨk. Kɨni kəmhau a rɨkɨr əriə mɨvən mimhen atuatuk a kwajikovə raməmɨr ikɨn. 
MAT.2.11	Kɨni khavən a imə, masəm kwajikovə a iriu nɨsɨni Meri. Kɨni mɨsənɨmkur ye nɨmrɨ Yesu mhavəh-si haktə In. Mhavəhsi-ərhav narɨmnar kapəriə yame nɨmrɨn rhaktə pɨk, mhavəh-si pən gol kɨmin, mɨne nɨmar nar kɨrik mɨn yame nəmiovɨn rhuvə, kamni kɨmə frangkinsens, mɨne pomad yame nəmiovɨn rhuvə, kamni kɨmə mir.
MAT.2.12	Kɨni kwasɨg ikɨn, kɨmɨsəmrərhav mɨsəm Kughen ramor kwirɨg kɨmi əriə mɨmə, “Takhapəh nharerɨg-pənien tuk King Herod, mhakurao-pən ye swatuk pɨsɨn, mharerɨg-pən iməmiə ikɨn.”
MAT.2.13	Kɨni kwənhatərhav-ta, məkneikɨn Josef rɨmnamrərhav məm agelo kɨrik kape Kughen Yermaru rɨmatərhav-pə tukun mɨmə, “!Ǝrer aihuaa! Mɨrəh kwajikovə e iriu nɨsɨni mɨrhap mɨrhuvɨn apa Ijip. Kɨni mɨrharə aikɨn mɨrheriaji Yo əmə jakni-pre tuk ik mə takrherɨg-pə mɨn. Meinai pəh nien mə tuk tu, King Herod tukruə marha kɨn kwajikovə e mə tukrhopni.”
MAT.2.14	Ror pən, yenpɨg, Josef rarar, mɨrəh kwajikovə irisɨr nɨsɨni mɨrhap mɨrhuvɨn Ijip. 
MAT.2.15	Kɨni kɨmɨrharə ye tanə a mɨrheriaji-pən King Herod rɨmamhə. Kɨmɨrharə Ijip rəri-pən əmə Nəgkiarien kape Kughen Yermaru yame rɨmɨni-ərhav tuk profet kupan kɨrik mɨmə,
MAT.2.15	“Yɨmnokrən kɨn narɨk yerman mə tukrɨtərhav Ijip.” 
MAT.2.16	Kɨni ye nɨpɨg King Herod ruɨrkun mə narmamə yamə mɨne kamhavəh nɨrkunien huvə tuk nəmien nɨmtətien ye kəmhau mɨnə kwənhakurao ye nərɨgien kafan, məkneikɨn niemha rhai pɨk. Kɨni mher-pən kɨn kafan mobael mɨnə mə tukhavən Betlehem mɨne ikɨn mɨnə fam ipakə tukun masarha kɨn kwajikovə narman yamə mɨne kapəriə newk rɨpəh napitayen kɨraru, mə tukshopni-hopni fam əriə. In rɨmɨrpen newk kɨraru meinai rɨkin raməsɨk mə ye nɨpɨg atuatuk a in a nəmə mɨnə a kɨmɨsəm kəmhau iran. 
MAT.2.17	Nar a rɨmɨtərhav-pə ror Nəgkiarien kape Kughen Yermaru ruauə mɨnor nəfrakɨsien kɨn, yamə rɨmɨni-ərhav tuk profet Jeremaea kupan mɨmə,
MAT.2.18	“Narmamə ipakə tuk Betlehem
MAT.2.18	meinai ramərɨg raha pɨk.
MAT.2.18	Piraovɨn a in Rejel
MAT.2.18	Rɨpəh nɨpəhyen mə narmamə tuksəgkiar huvə kɨmin, meinai kafan kwajikovə narman mɨnə kwənhamhə fam.” 
MAT.2.19	Mərɨg nɨpɨg Josef mɨne Meri mɨne kwajikovə kɨrharə apa Ijip, King Herod rɨmhə. Kɨni Josef rɨmnamrərhav məm agelo kɨrik kape Kughen Yermaru rɨni-pən tukun 
MAT.2.20	mɨmə, “Josef. Hekɨmter. Mɨrəh kwajikovə e mɨne nɨsɨni, mɨrherɨg-pən ye tanə Isrel, meinai narmamə yamə mɨnə khamə tukshopni kwajikovə a, iriə kwənhamhə ta.” 
MAT.2.21	Ror pən, Josef rarar, mɨrəh kwajikovə a mɨne nɨsɨni, mɨrherɨg-pən mɨn ye tanə a Isrel.
MAT.2.22	Mərɨg nɨpɨg Josef rɨmnərɨg mə kwən a Akeleas rɨmɨvəh tamhek rɨmni King Herod, mamarmaru ye Judia, kɨni in rɨgɨn mɨn kɨn nɨrerɨg-pənien tanə a Judia. Kɨni maməmrərhav məm Kughen rɨmnor kwirɨg kɨmin mɨmə tukrɨpəh nɨvənien Judia. Kɨni rɨmatərhav mɨvən ikɨ pɨsɨn ye provins a Galili, 
MAT.2.23	kɨni kɨrhuvɨn mɨrharə ye taon kɨrik, nhagɨn e Nasaret. Nar a rɨtərhav-pə ror nəgkiarien kape profet mɨnə kupan ruauə mɨnor nəfrakɨsien kɨn, yamə kɨmnhani mhamə,
MAT.2.23	“Tukamni kɨmə in yemə Nasaret.” 
MAT.3.1	Newk mɨnə tɨksɨn ruauə muavən ta, kɨni Jon Baptaes rɨtərhav-pə, maməvsao-ərhav kɨn Nəgkiarien kape Kughen apa ye tɨpəvsɨk apa Judia, 
MAT.3.2	mamni mɨmə, “Sarar ye nərɨgien kapəmiə tuk təvhagə has kapəmiə meinai nɨpɨg yame Kughen tukrarmaru ye narmamə mɨfam ruauə ipakə.” 
MAT.3.3	Jon Baptaes e, in yermamə yame Aesea, profet kupan kape Kughen, rɨmɨni-ta mɨmə,
MAT.3.3	“Kwən kɨrik ramokrapomh ye tɨpəvsɨk mamni mɨmə,
MAT.3.3	‘Kɨmiə, taksor əpnəpeinə tuk Yermaru, kɨni mɨsor kafan swatuk ratuatuk.’ ” 
MAT.3.4	Jon rapəh nɨvəhsi-pənien neipən huvə kɨrik. Kafan kot kɨmnor kɨn tɨki narmɨragh kɨrik, kamni kɨmə kamel. Kɨni kafan kətəut kɨmnor kɨn tɨki kau.
MAT.3.5	Kɨni narmamə khapsaah kɨmnhasɨ-pən Jerusalem mɨne iku pɨsɨn ye tanə Judia mɨne ikɨn mɨnə ipakə tuk nu e Jodan. Kɨmnhauə mə tuksəm-ru Jon. 
MAT.3.6	Kɨni mamhani-ərhav-pən norien has mɨnə kapəriə. Kɨni in rɨmnor baptaes irəriə ye nu a Jodan.
MAT.3.7	Mərɨg nɨpɨg Jon rɨmnəm mə narmamə ye khwen mir e Farisi mɨne Sadusi khapsaah kɨmnhauə mə in tukror baptaes irəriə, kɨni rɨni-pən tuk əriə mɨmə, “!Ah! !Kɨmiə naksahas rəmhen əmə kɨn snek yamə mɨne kasərhkwopah! Pəh nien mə tuktu, Kughen ror niemhaa mɨvəhsi-pən narpɨnien kɨmi narmamə. ?Mərɨg, pa ramni mə to kɨmiə nakharkun nɨsaptayen kɨn?
MAT.3.8	Sor narɨmnar tɨksɨn yamə rhuvə mə tuksəm mə nakwəsəpəh əfrakɨs norien has mɨnə kɨni mhavən tuk Kughen. 
MAT.3.9	Nəfrakɨsien mə kɨmiə kwənərəus kape Ebraham, mərɨg rɨkimiə tukrɨpəh nəsɨkien mə Kughen tukraməkeikei mɨvəh mɨragh əmiə mhawor kɨmiə kwənərəus kape Ebraham. !Nɨkam, in nar apnapɨg əmə! Yakamni-pre tuk əmiə mə Kughen rɨrkun nor-mɨn-ien kapier apnapɨg ruə rəmhen kɨn kwənərəus kape Ebraham.
MAT.3.10	Kɨni taktəkun ai, Kughen rɨnərer matuk ta mə tukrərəru nuknei nai. Kɨni tukmə nai kɨrik rɨpəh nɨkuəyen kɨn kwənkwan yame rhuvə, In tukrərəru marakikɨn-pən ye nap.
MAT.3.11	“Yo yakamor baptaes irəmiə kɨn nu yame ramhajoun mə nakwəsarar ye nərɨgien kapəmiə tuk təvhagə has. Mərɨg yermamə kɨrik tukruə kwasɨg irak, yame kafan nəsanɨnien mɨne nehuəyen rapita yo. Kɨni yo ye tanə əgkəp; yakpəh nəmhenien mə to yakrap kafan sandel. Kɨni In tukror baptaes irəmiə ye Nanmɨn kape Kughen mɨne nap.
MAT.3.12	In ramərer matuk tuk nəmien norien kape narmamə maməwhai əriə, nəmə huvə mɨnə mɨne nəmə has mɨnə. Rəmhen əmə kɨn yame yeməsim kɨrik ravəh safel tuk nəspir-tayen tɨki kwənkwai wit mə tukrɨpɨk nɨmitɨn yame rhuvə. Narmamə yamə mɨne khahuvə kɨsəmhen kɨn nɨmit wit yame rɨpɨk əriə mamvən yerkwanu; mərɨg narmamə has kɨsəmhen kɨn tɨki kwənkwai wit, yame ramarakikɨn-pən əriə ye nap ehuə yame ramuək rerɨn.”
MAT.3.13	Kɨni Yesu rɨmɨtərhav Galili muə ye nu e Jodan, mə Jon tukror baptaes iran. 
MAT.3.14	Mərɨg Jon rɨmɨni-əhu skai In mɨni-pən tukun mɨmə, “Ratuatuk mə Ik takor baptaes irak. ?Rhawor nakamuə mə jakor baptaes iram?”
MAT.3.15	Mərɨg Yesu rɨni-pən tukun mɨmə, “Nɨkam. Takpəh nəpəhyen. Kughen rɨmɨni mə ratuatuk mə takor baptaes irak.” Kɨni Jon rɨmneighan kɨn. 
MAT.3.16	Kɨni mor baptaes ye Yesu. Kɨni nɨpɨg Yesu rɨmneiwaiyu mhekɨmter mɨn ye tame nu, məkneikɨn napuə rəkwaag, kɨni rəm Nanmɨn kape Kughen reiwaiyu-pə rəmhen kɨn mak ye tanə, maməkwətə-pən iran.
MAT.3.17	Kɨni nəgkiarien kɨrik rɨsɨ-pən ye neai mamni mɨmə, “In e narɨk, yame yakorkeikei pɨk. Rɨkik ragien pɨk tukun.”
MAT.4.1	Kɨni Nanmɨn kape Kughen rɨmɨkɨr Yesu mɨvən ye tɨpəvsɨk, mə Setan
MAT.4.2	Kɨni Yesu rɨmnəpəh nəvɨgɨnien kape nɨpɨg foti, yeraan mɨne yenpɨg, kɨni məmkərəv pɨk.
MAT.4.3	Kɨni Setan
MAT.4.4	Mərɨg Yesu rhorpɨn nəgkiarien mɨmə, “Nɨkam. Kɨmɨrai ye Nəkwəkwə kape Kughen kɨmə, ‘Narmamə to khapəh nhamragh-əmə-yen ye nəvɨgɨnien. Mərɨg kamhamragh mɨn ye nəgkiarien mɨnə fam yame ramsɨ-pən tuk Kughen.’ ”
MAT.4.5	Kɨni Setan rɨmɨkɨr Yesu mɨvən apa Jerusalem, mərɨp In ye Nimə Ehuə kape Kughen apa yerpɨrɨg əgkəp. 
MAT.4.6	Kɨni mɨni-pən tukun mɨmə, “Tukmə Ik ji Kughen əfrakɨs, iv-ərhav-ru ikɨn e, meinai kɨmɨrai ye Nəkwəkwə kape Kughen kɨmə, “ ‘In tukrher-pə kɨn agelo mɨnə kafan khauə masarha huvə tuk Ik. Tukharaptərəkɨn Ik kɨn kwermɨriə mə takpəh nowhan-pənien nɨhum ye kapier kɨrik.’ ” 
MAT.4.7	Mərɨg Yesu rhorpɨn kafan nəgkiarien mɨmə, “Nɨkam. Nəkwəkwə kape Kughen ramni mɨn mɨmə, ‘Takhapəh nɨsəm-əsaahyen kapəmiə Kughen Yermaru mə ramarha huvə əfrakɨs tuk əmiə uə nɨkam.’ ” 
MAT.4.8	Məkneikɨn Setan rɨkɨr Yesu mɨvən apa ye tukwas apomh kɨrik, kɨni mhajoun In kɨn kantri mɨnə fam ye tokrei tanə, mɨne nehuəyen kapəriə, 
MAT.4.9	kɨni mɨni-pən tukun mɨmə, “Tukmə nakəhuak kɨmi yo, yakvəhsi-pre narɨmnar m-fam e kɨmik.”
MAT.4.10	Mərɨg Yesu rɨni-pən tukun mɨmə, “!Setan, əta irak! Meinai Nəgkiarien kape Kughen ramni mɨmə, ‘Taksəhuak əmə kɨmi kapəmiə Yermaru Kughen, mɨsəri-pən əmə kafan nərɨgien.’ ” 
MAT.4.11	Kɨni ai Setan rəta iran, kɨni agelo mɨnə kɨmnhauə mɨsasitu iran.
MAT.4.12+MAT.4.13	Kɨni ye nɨpɨg a, kɨmnharaptərəkɨn Jon Baptaes, kɨrəhsi-pən ye kalabus. Kɨni nɨpɨg Yesu rɨmnərɨg nəvsaoyen kɨn, kɨni mɨvən apa yerkwanu kɨrik ye provins Galili, nhagɨn e Nasaret. Mamarə apaikɨn, mɨtərhav, mɨvən apa taon kɨrik e Kapaneam, ipakə tuk lugun e Galili, mamarə apaikɨn. Kwənmhaan a in kwənmhaan kape kwənərəus mir kape Isrel e Sebulun mɨne Naftali.
MAT.4.14	Nar a rɨtərhav-pə ror nəgkiarien kape profet kupan e Aesea ruauə mor nəfrakɨsien kɨn, yame rɨmɨni mɨmə,
MAT.4.15	“Kwənmhaan kape nəmə Sebulun mɨne Naftali, kawərer ye swatuk ramvən apa ye lugun ehuə e Galili, ye nɨkar tanə pən ye nu e Jodan.
MAT.4.15	In e provins e Galili- ime narmamə yamə mɨne pəh nien mə kwənərəus kape nəmə Isrel.
MAT.4.16	Nəmə aikɨn a kɨmɨsarə ye nəpɨgnəpien, kɨni mɨsəm nɨkhakien kɨrik. Kɨni rɨnamraan.
MAT.4.16	Nɨkhakien ehuə rɨmnəsia-pen əriə yamə mɨne kɨmnɨsarə ye nəpɨgnəpien kape nɨmhəyen e yame ramhotərəkɨn əriə ye nɨpɨg mɨfam.” 
MAT.4.17	Kɨni rɨrikakun ye nɨpɨg a, Yesu rɨnamni-ərhav nəgkiarien kape Kughen mamni mɨmə, “Sarar ye nərɨgien kapəmiə tuk norien has mɨnə, meinai nɨpɨg yame Kughen tukramarmaru ye narmamə ruauə pakə.”
MAT.4.18	Yesu raməriwək ye nɨkar lugun ehuə e Galili kɨni məm kwərə mir kɨraru. Iriu piauni. Andru mɨne Saemon (yame nhagɨn mɨn kɨrik e Pita). Iriu kwarukɨn net apa ye lugun, meinai iriu yermamə mir kape nɨviyen kəmam. 
MAT.4.19	Kɨni Yesu rɨni-pən tuk əriu mɨmə, “Rauə mɨrakwasɨg kɨn Yo, mɨrauə kafak yermamə mir. Yo jakor əmiru nakrauə yermamə mir kape nɨviyen narmamə.”
MAT.4.20	Məkneikɨn, iriu kɨmɨwəpəh kapəriu net mɨrakwasɨg kɨn in.
MAT.4.21	Kɨni Yesu rəriwək kəskəh mɨn, məm kwərə mir kɨraru mɨn, iriu piauni. Nhagriu e Jemes mɨne Jon, ji Sebedi mir. Kawkwətə ye nəkwai bot irisɨr rɨmriu, marhajir əsɨgɨn kapərisɨr net. Kɨni Yesu rɨmnokrən kɨn əriu mə tukrauə, 
MAT.4.22	məkneikɨn kwərer, mwəpəh bot, mɨne rɨmriu, kɨni mɨrakwasɨg kɨn.
MAT.4.23	Kɨni Yesu raməriwək ikɨn mɨnə ye provins e Galili, mamhajoun narmamə ye nəkwai nimə kape nofugɨnien kape nəmə Isrel, maməvsao-ərhav kɨn nəvsaoyen huvə kape narmaruyen kape Kughen, kɨni mamor huvə narmamə yamə mɨne kamhamhə ye nəmhəyen pɨsɨn pɨsɨn.
MAT.4.24	Kɨni nəvsaoyen kɨn Yesu rarkurao fam ye provins e Siria. Kɨni narmamə kɨmnhapɨk narmamə m-fam yamə mɨne kamhamhə, mhauə tuk Yesu. Kapəriə nəmhəyen ror məkneikɨn: Tɨksɨn kamhamhə; tɨksɨn, nɨprairiə rɨmamhə; tɨksɨn, nanmɨn has ramərer-pən irəriə; tɨksɨn, nɨkəvaan ramor əriə; kɨni tɨksɨn, nɨprairiə fam rɨmhə. Mərɨg Yesu rɨmnor huvə fam əriə.
MAT.4.25	Kɨni nəmə Galili khapsaah, mɨne nəmə Dikapolis, mɨne nəmə Jerusalem, mɨne nəmə Judia, mɨne nəmə ikɨn mɨnə apa nɨkarɨn pən apa ye nu e Jodan khapsaah kɨmnhakwasɨg kɨn In.
MAT.5.1	Nɨpɨg Yesu rɨmnəm nukwhao ehuə yame ramkwasɨg kɨn, kɨni In rhaktə fiak ye tukwas kɨrik, kɨni məkwətə. Kɨni kafan narmamə mɨnə khakwasɨg kɨn. 
MAT.5.2	Kɨni In rɨmɨrikakun mhajoun əriə mɨmə,
MAT.5.3	“Narmamə yamə mɨne kamhavəhsi-əhu atuk əriə masətɨgtə əmə ye Kughen, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai iriə narmamə kape Kughen, kɨni In ramarmaru irəriə.
MAT.5.4	Narmamə yamə mɨne kɨsasək, kɨni rɨkiriə raməmhə, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai Kughen tukrəgkiar vi vi kɨmi əriə.
MAT.5.5	Narmamə yamə mɨne khapəh nhavəh-si-haktə-atukien əriə, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai Kughen tukrɨvəhsi-pən tokrei tanə e kɨmi əriə.
MAT.5.6	Narmamə yamə mɨne kɨsorkeikei pɨk yerkiriə m-fam mə nɨmraghien kapəriə tukratuatuk ye nɨmrɨ Kughen, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai Kughen tukror nɨmraghien kapəriə in ratuatuk.
MAT.5.7	Narmamə yamə mɨne rɨkiriə rehuə tuk narmamə, iriə e kɨsarə ye nɨhuvəyen əfrakɨs, meinai Kughen rɨkin rehuə tuk əriə.
MAT.5.8	Narmamə yamə mɨne rɨkiriə ratuatuk, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai tuksəm Kughen.
MAT.5.9	Narmamə yamə mɨne kasərəhu nəmərinuyen, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai tukokrən kɨn əriə kɨmə ji Kughen mɨnə.
MAT.5.10	Narmamə yamə mɨne kamuh əriə tuk norien atuatuk, iriə e kɨsarə ye nɨhuvəyen əfrakɨs meinai Kughen ramarmaru irəriə.
MAT.5.11	“Nakasarə ye nɨhuvəyen əfrakɨs nɨpɨg narmamə kasor nahasien kɨmi əmiə meinai kɨmiə narmamə kafak mɨnə. In e tukhani hah əmiə, mɨsoriah əmiə, mɨseikuə irəmiə mamhani nəgkiarien hah mɨsoriah əmiə kɨn.
MAT.5.12	Nəfrakɨsien, narmamə kɨmɨsor mɨn məknakɨn ye profet mɨnə kupan rəmhen kɨn yame kasor irəmiə ai taktakun. Ror pən, sagien pɨk, meinai nərokien ehuə kapəmiə ramarə apa ye rao ye neai.”
MAT.5.13	Kɨni Yesu ramni mɨn mɨmə, “Kɨmiə naksəmhen kɨn nɨgər kape narmamə m-fam ye tokrei tanə. Kɨni mərɨg tukmə nɨgar rəhiu pɨk, ?tukhawor kor rhekɨn mɨn? Rɨpəh nəmhenien tuk nar kɨrik. Tukarakikɨn əmə.
MAT.5.14	“Kɨmiə naksəmhen kɨn laet kape narmamə m-fam ye tokrei tanə. Keinein nerkwaigien kɨn taon yame kɨmɨvhirəkɨn yerpɨrɨg ye tukwas.
MAT.5.15	Kɨni yermamə kɨrik rɨkək yame to rəsia-pən ye laet kɨni mɨvai-pən ye nɨtɨp. Nɨkam. Nɨpɨg tukmə rəsiə-pən ye laet tukraməkeikei mukrai-haktə pən ikɨn kamukrai-pən laet ikɨn, mə laet tukrɨsia-pen fam narmamə apa imə.
MAT.5.16	Kɨni ye norien kɨrikianə əmə mɨn, sor laet rəsiə ye nɨmraghien kapəmiə pəh narmamə tuksəm wok huvə yamə mɨne nakasor, kɨni mhavəhsi-haktə nhag Rɨmɨmiə Kughen yame ramarə ye rao ye neai.”
MAT.5.17	Kɨni Yesu ramni mɨn mɨmə, “Rɨkimiə tukrɨpəh nuhyen mə yɨmauə mə jakarakikɨn Loa kape Kughen uə nəgkiarien kape profet kupan mɨnə. Nɨkam. Pəh nien mə yɨmauə mə jakarakikɨn əriə, mərɨg yɨmauə mə jakor nəgkiarien mɨnə a khauə mɨsor nəfrakɨsien kɨn.
MAT.5.18	!Nəfrah! Yakamni-pre tuk əmiə mɨmə nɨpɨg tokrei tanə mɨne neiai kwarə, kɨni Loa, in mɨn tukramarə. To nar kɨrik rɨpəh nɨrkəkien iran. Nar apnapɨg in leta kwakwə əmə, kɨni Loa tukrərer mor wok meriaji-pən nəgkiarien mɨnə fam kape Loa tukhauə mɨsor nəfrakɨsien kɨn.
MAT.5.19	Ror pən, narmamə yamə mɨne kɨsəpəh loa, mɨshajoun narmamə mə iriə mɨn tuksəpəh, nar apnapɨg mə nəgkiarien kəskəh əmə kɨrik ye loa kape Moses, tukokrən kɨn əriə kɨmə iriə yetanə əgkəp ye rao ye neai. Mərɨg narmamə yame mɨne kasor loa mɨnə a, mɨshajoun narmamə kɨn, tukokrən kɨn əriə kɨmə iriə yerpɨrɨg əgkəp ye rao ye neai.
