GEN.1.3	 Da sa Gud: «Det skal bli lys!» Og det ble lys. 
GEN.1.30	Og til alle dyr på jorden og til alle fugler under himmelen og til alt som kryper på jorden, alt som har livsånde i seg, gir jeg alle grønne planter å spise.» Og det ble slik. 
GEN.1.31	Gud så på alt det han hadde gjort, og se, det var svært godt! Og det ble kveld, og det ble morgen, sjette dag.
GEN.2.1	Så var himmelen og jorden fullført, med hele sin hær. 
GEN.2.2	 Den sjuende dagen fullførte Gud det arbeidet han hadde gjort, og den sjuende dagen hvilte han fra hele det arbeidet han hadde gjort. 
GEN.2.3	Gud velsignet den sjuende dagen og helliget den. For den dagen hvilte han fra hele sitt arbeid, det som Gud hadde gjort da han skapte.
GEN.2.5	Det fantes ikke en busk på jorden, og ennå hadde ingen plante spirt fram på marken. For 
GEN.2.6	 Men en kilde kom opp av jorden og vannet hele jordens overflate. 
GEN.2.7	 Da formet 
GEN.2.9	 Og 
GEN.2.10	En elv går ut fra Eden og vanner hagen. Derfra deler den seg i fire greiner. 
GEN.2.11	 Den første heter Pisjon. Det er den som går rundt hele landet Havila, der det finnes gull. 
GEN.2.12	 Gullet i det landet er godt. Det er bedolah-kvae og onyks-stein der. 
GEN.2.13	 Den andre elven heter Gihon. Det er den som går rundt hele landet Kusj. 
GEN.2.14	Den tredje elven heter Hiddekel. Det er den som går øst for Assur. Og den fjerde elven er Eufrat.
GEN.2.15	Så tok 
GEN.2.16	Og 
GEN.2.17	 Men av treet til kunnskap om godt og ondt må du ikke spise. For den dagen du spiser av det, skal du dø.»
GEN.2.19	 Gud formet alle dyr på marken og alle fugler under himmelen av jord. Han førte dem til mennesket for å se hva det ville kalle dem. Det som mennesket kalte hver levende skapning, det fikk den til navn. 
GEN.2.20	Mennesket ga navn til alt feet og til himmelens fugler og til alle villmarkens dyr. Men til seg selv fant mennesket ingen hjelper av samme slag.
GEN.2.21	Da lot 
GEN.2.22	 Av ribbeinet 
GEN.2.23	«Nå er det bein 
GEN.2.23	og kjøtt av mitt kjøtt.
GEN.2.23	Hun skal kalles kvinne,
GEN.2.23	for av mannen er hun tatt.»
GEN.3.2	Kvinnen sa til slangen: «Vi kan spise av frukten på trærne i hagen. 
GEN.3.3	 Men om frukten på treet som står midt i hagen, har Gud sagt: Dere må ikke spise av den og ikke røre ved den; for da skal dere dø.» 
GEN.3.4	Da sa slangen til kvinnen: «Dere skal slett ikke dø! 
GEN.3.5	Men Gud vet at den dagen dere spiser av den, vil øynene deres bli åpnet, og dere vil bli som Gud og kjenne godt og ondt.» 
GEN.3.6	 Nå fikk kvinnen se at treet var godt å spise av og en lyst for øyet – et forlokkende tre, siden det kunne gi innsikt. Så tok hun av frukten og spiste. Hun ga også til mannen sin, som var sammen med henne, og han spiste. 
GEN.3.7	 Da ble øynene deres åpnet, og de skjønte at de var nakne. De flettet sammen fikenblader og bandt dem om livet.
GEN.3.9	Men 
GEN.3.10	Han svarte: «Jeg hørte lyden av deg i hagen og ble redd fordi jeg er naken, og jeg gjemte meg.» 
GEN.3.11	Da sa han: «Hvem har fortalt deg at du er naken? Har du spist av det treet jeg forbød deg å spise av?» 
GEN.3.12	Mannen svarte: «Kvinnen som du ga meg å være sammen med, hun ga meg av treet, og jeg spiste.» 
GEN.3.13	 Gud spurte kvinnen: «Hva er det du har gjort?» Kvinnen svarte: «Slangen narret meg, og jeg spiste.»
GEN.3.14	«Forbannet er du,
GEN.3.14	utstøtt fra alt fe 
GEN.3.14	fordi du gjorde dette.
GEN.3.14	På buken skal du krype,
GEN.3.14	og støv skal du spise 
GEN.3.15	mellom deg og kvinnen,
GEN.3.15	mellom din ætt og 
GEN.3.15	Den skal ramme ditt hode,
GEN.3.15	men du skal ramme 
GEN.3.16	«Tungt vil jeg gjøre ditt strev
GEN.3.16	når du er med barn,
GEN.3.16	med smerte skal du føde.
GEN.3.16	Du skal begjære 
GEN.3.16	og han skal herske over deg.»
GEN.3.17	«Fordi du hørte på kvinnen
GEN.3.17	og spiste av treet
GEN.3.17	som jeg forbød deg 
GEN.3.17	er jorden forbannet 
GEN.3.17	Med strev skal du 
GEN.3.17	alle dine levedager.
GEN.3.18	Den skal la torn og tistel 
GEN.3.18	og du skal spise det som vokser 
GEN.3.19	skal du spise ditt brød,
GEN.3.19	inntil du vender tilbake 
GEN.3.19	for av den er du tatt.
GEN.3.19	Støv er du,
GEN.3.19	og til støv 
GEN.3.21	 Gud laget klær av skinn til mannen og kvinnen og kledde dem.
GEN.3.23	 Gud sendte mennesket ut av Edens hage for å dyrke jorden, som det var tatt av. 
GEN.3.24	 Han drev mennesket ut, og øst for Edens hage satte han kjerubene og det flammende sverdet som svinges uten stans. De skulle vokte veien til livets tre.
GEN.4.2	 Siden fødte hun Abel, broren hans. Abel ble sauegjeter, Kain ble jorddyrker.
GEN.4.3	Da det var gått en tid, hendte det at Kain bar fram for 
GEN.4.4	 Også Abel bar fram et offer, av de førstefødte dyrene fra småfeet og av fettet på dem. 
GEN.4.5	men på Kain og hans offer så han ikke med velvilje. Da ble Kain brennende harm og så ned.
GEN.4.7	 Hvis du vil gjøre det gode, kan du se opp, men hvis du ikke vil gjøre det gode, ligger synden klar ved døren. Den ønsker makt over deg, men du skal herske over den.»
GEN.4.9	Da sa 
GEN.4.10	 Da sa 
GEN.4.11	Forbannet er du! Nå skal du være bannlyst fra den jorden som åpnet munnen og tok imot din brors blod fra din hånd. 
GEN.4.12	Når du dyrker åkeren, skal den ikke lenger gi deg av sin rikdom. Fredløs og flyktning skal du være på jorden.»
GEN.4.13	Da sa Kain til 
GEN.4.14	 Se, i dag driver du meg bort fra landet. Jeg må skjule meg for deg. Fredløs og flyktning blir jeg på jorden, og den som finner meg, kan drepe meg.» 
GEN.4.15	 Men 
GEN.4.16	 Så dro Kain bort fra 
GEN.4.17	Kain var sammen med sin kvinne, og hun ble med barn og fødte Henok. Så bygde han en by og ga den navn etter sin sønn Henok. 
GEN.4.18	Henok fikk sønnen Irad, og Irad ble far til Mehujael. Mehujael ble far til Metusjael, og Metusjael ble far til Lamek.
GEN.4.19	Lamek tok seg to koner. Den ene het Ada, den andre het Silla. 
GEN.4.20	Ada fødte Jabal. Han ble stamfar til dem som bor i telt og holder buskap. 
GEN.4.21	Hans bror het Jubal. Han ble stamfar til alle dem som spiller på lyre og fløyte. 
GEN.4.22	Også Silla fødte en sønn, Tubalkain. Han smidde alle slags redskaper av bronse og jern. Og Tubalkains søster var Naama.
GEN.4.23	Lamek sa til sine koner:
GEN.4.23	«Ada og Silla, hør på meg,
GEN.4.23	Lameks koner, lytt til mine ord:
GEN.4.23	En mann dreper jeg for et sår,
GEN.4.23	en gutt for en skramme.
GEN.4.24	men Lamek syttisju ganger.»
GEN.4.25	«For Gud har gitt meg 
GEN.4.25	i Abels sted,
GEN.4.25	siden Kain drepte ham.»
GEN.5.2	Som mann og kvinne skapte han dem. Og han velsignet dem og ga dem navnet menneske den dagen de ble skapt.
GEN.5.4	Etter at Adam hadde fått Set, levde han enda 800 år og fikk sønner og døtre. 
GEN.5.5	Hele Adams levetid ble 930 år. Så døde han.
GEN.5.6	Da Set var 105 år, fikk han sønnen Enosj. 
GEN.5.7	Etter at Set hadde fått Enosj, levde han enda 807 år og fikk sønner og døtre. 
GEN.5.8	Hele Sets levetid ble 912 år. Så døde han.
GEN.5.9	Da Enosj var 90 år, fikk han sønnen Kenan. 
GEN.5.10	Etter at Enosj hadde fått Kenan, levde han enda 815 år og fikk sønner og døtre. 
GEN.5.11	Hele levetiden til Enosj ble 905 år. Så døde han.
GEN.5.12	Da Kenan var 70 år, fikk han sønnen Mahalalel. 
GEN.5.13	Etter at Kenan hadde fått Mahalalel, levde han enda 840 år og fikk sønner og døtre. 
GEN.5.14	Hele Kenans levetid ble 910 år. Så døde han.
GEN.5.15	Da Mahalalel var 65 år, fikk han sønnen Jared. 
GEN.5.16	Etter at Mahalalel hadde fått Jared, levde han enda 830 år og fikk sønner og døtre. 
GEN.5.17	Hele Mahalalels levetid ble 895 år. Så døde han.
GEN.5.18	Da Jared var 162 år, fikk han sønnen Henok. 
GEN.5.19	Etter at Jared hadde fått Henok, levde han enda 800 år og fikk sønner og døtre. 
GEN.5.20	Hele Jareds levetid ble 962 år. Så døde han.
GEN.5.21	Da Henok var 65 år, fikk han sønnen Metusjalah. 
GEN.5.22	Henok vandret med Gud i 300 år etter at han hadde fått Metusjalah, og han fikk sønner og døtre. 
GEN.5.23	Hele Henoks levetid ble 365 år. 
GEN.5.24	 Henok vandret med Gud. Så var han ikke mer, for Gud tok ham til seg.
GEN.5.25	Da Metusjalah var 187 år, fikk han sønnen Lamek. 
GEN.5.26	Etter at Metusjalah hadde fått Lamek, levde han enda 782 år og fikk sønner og døtre. 
GEN.5.27	Hele Metusjalahs levetid ble 969 år. Så døde han.
GEN.5.28	Da Lamek var 182 år, fikk han en sønn. 
GEN.5.29	 Han kalte ham Noah og sa: «Han skal trøste oss i vårt arbeid og i våre henders strev på den jord som 
GEN.5.30	Etter at Lamek hadde fått Noah, levde han enda 595 år og fikk sønner og døtre. 
GEN.5.31	Hele Lameks levetid ble 777 år. Så døde han.
GEN.5.32	Da Noah var 500 år, fikk han sønnene Sem, Ham og Jafet.
GEN.6.1	Nå begynte menneskene å bli mange på jorden, og de hadde fått døtre. 
GEN.6.2	 Da så gudesønnene at menneskedøtrene var vakre, og de tok noen av dem til koner, dem de helst ville ha. 
GEN.6.3	 sa: «Min ånd skal ikke for alltid bli værende i menneskene, for de er av kjøtt og blod. Deres levetid skal være 120 år.»
GEN.6.4	Det var kjemper på jorden i de dager, og siden også. For gudesønnene gikk inn til menneskedøtrene, som fødte dem barn. Dette er de mektige fra eldgammel tid, de navngjetne.
GEN.6.6	 Da angret 
GEN.6.7	Og 
GEN.6.8	Men Noah fant nåde for 
GEN.6.10	Han fikk tre sønner: Sem, Ham og Jafet. 
GEN.6.11	Men jorden ble fordervet for Guds ansikt. Den ble full av vold. 
GEN.6.12	Gud så på jorden, og se, den var blitt fordervet, for alt det som menneskene hadde gjort på jorden, førte til ødeleggelse.
GEN.6.13	Da sa Gud til Noah: «Jeg vil gjøre ende på alt kjøtt og blod. For jorden er blitt full av vold på grunn av dem, og se, jeg vil ødelegge dem sammen med jorden. 
GEN.6.14	 Lag deg en ark av gofertre. Du skal lage flere små rom i arken og tjærebre den innvendig og utvendig. 
GEN.6.15	 Slik skal du lage den: Arken skal være 300 alen lang, 50 alen bred og 30 alen høy. 
GEN.6.16	 Du skal lage en åpning for dagslyset og avslutte den en alen fra toppen av arken. Du skal sette døren til arken på den ene siden og så lage et nedre, et andre og et tredje dekk. 
GEN.6.17	 Jeg skal nå la storflommen komme over jorden og ødelegge alt kjøtt og blod, alt som det er livsånde i under himmelen. Alt som er på jorden, skal omkomme. 
GEN.6.18	 Men med deg vil jeg opprette min pakt. Du skal gå inn i arken, du og dine sønner og din kone og dine svigerdøtre sammen med deg. 
GEN.6.19	 Av alt levende, alt kjøtt og blod, skal du føre to av hvert slag inn i arken, så de berger livet sammen med deg. Hann og hunn skal de være. 
GEN.6.20	Av alle slags fugler og av alle slags fe og av alle slags kryp på marken skal to av hvert slag komme inn til deg, så de kan berge livet. 
GEN.6.21	Du skal ta noe av alt som kan spises, og samle det hos deg. Det skal du og de andre ha å spise.» 
GEN.6.22	Og Noah gjorde dette. Alt som Gud hadde pålagt ham, det gjorde han.
GEN.7.2	Av alle rene dyr skal du ta med deg sju par, hann og hunn sammen, og av alle dyr som ikke er rene, ett par, hann og hunn sammen, 
GEN.7.3	av himmelens fugler på samme måte, sju par, hann og hunn, for å holde hver art på hele jorden i live. 
GEN.7.4	For om sju dager vil jeg la det regne på jorden i førti dager og førti netter og utslette fra jorden alt som finnes, alt jeg har laget.» 
GEN.7.5	Og Noah gjorde alt som 
GEN.7.6	Noah var 600 år da storflommen kom over jorden.
GEN.7.8	Av de rene dyrene og av dyrene som ikke er rene, av fuglene og av alt som kryper på marken, 
GEN.7.9	kom to og to, hann og hunn, inn til Noah i arken, slik Gud hadde pålagt Noah.
GEN.7.10	Og etter sju dager skjedde det. Da kom vannet fra storflommen over jorden. 
GEN.7.11	 I det året Noah fylte 600 år, den syttende dagen i den andre måneden, brøt alle kilder i det store dypet fram, og himmelens sluser åpnet seg. 
GEN.7.12	Og det regnet over jorden i førti dager og førti netter. 
GEN.7.13	Nettopp på denne dagen gikk Noah og sønnene hans, Sem, Ham og Jafet, inn i arken sammen med Noahs kone og de tre svigerdøtrene hans, 
GEN.7.14	både de og alle slags ville dyr, alle slags fe, alle slags kryp som det kryr av på jorden, og alle slags fugler, alt som har vinger å fly med. 
GEN.7.15	De kom inn til Noah i arken, to og to av alt som er av kjøtt og blod, alt som har livsånde i seg. 
GEN.7.16	De som kom, hann og hunn av alt som er av kjøtt og blod, gikk inn slik Gud hadde pålagt Noah. Og 
GEN.7.17	Da kom storflommen over jorden i førti dager. Vannet steg og løftet arken, så den fløt opp fra jorden. 
GEN.7.18	Vannet flommet og steg høyt over jorden, og arken drev omkring på vannet. 
GEN.7.19	Veldig og mektig flommet vannet over jorden og skjulte alle høye fjell under himmelen. 
GEN.7.20	 Femten alen steg vannet over fjellene, og fjellene ble skjult.
GEN.7.22	Alt som hadde livspust i nesen, alt levende på landjorden, døde. 
GEN.7.23	Han utslettet alt som fantes på jorden, fra mennesker til fe, kryp og himmelens fugler, alt ble utslettet fra jorden. Bare Noah og de som var med ham i arken, ble tilbake. 
GEN.7.24	Og vannet flommet over jorden i 150 dager.
GEN.8.1	Men Gud tenkte på Noah og alle ville dyr og alt fe som var med ham i arken. Gud lot en vind blåse over jorden, og vannet begynte å synke. 
GEN.8.2	 Dypets kilder og himmelens sluser ble stengt, regnet fra himmelen stanset, 
GEN.8.3	og vannet trakk seg bort fra jorden litt etter litt. Etter 150 dager begynte vannet å minke.
GEN.8.5	Og vannet minket mer og mer helt til den tiende måneden. Den første dagen i den tiende måneden kom fjelltoppene til syne.
GEN.8.6	Da førti dager var gått, åpnet Noah luken han hadde laget på arken, 
GEN.8.7	og sendte ut ravnen. Den fløy fram og tilbake til vannet hadde tørket bort fra jorden. 
GEN.8.8	Så sendte han ut duen for å se om det var blitt mindre vann på jordoverflaten. 
GEN.8.9	Men duen fant ikke noe sted hvor den kunne hvile foten, og vendte tilbake til ham i arken, for det sto vann over hele jorden. Han rakte ut hånden, grep duen og tok den inn til seg i arken. 
GEN.8.10	Han ventet sju dager til og sendte så duen ut av arken igjen. 
GEN.8.11	Duen kom til ham i kveldingen, og se, den hadde et friskt oljeblad i nebbet. Da skjønte Noah at det var blitt mindre vann på jorden. 
GEN.8.12	Og han ventet sju dager til. Så sendte han ut duen, og da vendte den ikke tilbake til ham mer.
GEN.8.13	I det året Noah fylte 601 år, den første dagen i den første måneden, hadde vannet tørket bort fra jorden. Da tok Noah taket av arken og så ut. Og se, jordoverflaten hadde tørket opp. 
GEN.8.14	Den tjuesjuende dagen i den andre måneden var jorden tørr.
GEN.8.15	Og Gud talte til Noah: 
GEN.8.16	«Gå ut av arken, du og din kone og dine sønner og dine svigerdøtre sammen med deg! 
GEN.8.17	 Alle dyrene som er hos deg, alt levende, både fugler og fe og alt kryp som det kryr av på jorden, skal du ta med deg. De skal myldre på jorden og være fruktbare og bli mange.» 
GEN.8.18	Så gikk Noah ut sammen med sine sønner og sin kone og sine svigerdøtre. 
GEN.8.19	Og alle ville dyr og alt fe og alle fugler og alt kryp som det kryr av på jorden, art etter art, gikk ut av arken.
GEN.8.21	 Og 
GEN.8.22	Så lenge jorden står,
GEN.8.22	skal såtid og høsttid, 
GEN.8.22	sommer og vinter, 
GEN.8.22	aldri ta slutt.»
GEN.9.2	Over alle dyr på jorden og alle fugler under himmelen, over alt som kryper på marken og all fisk i havet, skal det komme frykt og redsel for dere. De er gitt i deres hender. 
GEN.9.3	 Alt som lever og rører seg, skal dere ha å spise. Som jeg ga dere de grønne plantene, gir jeg dere nå alt dette. 
GEN.9.4	 Men kjøtt som har liv i seg, det vil si blod, skal dere ikke spise. 
GEN.9.5	 For deres eget blod og liv vil jeg kreve dere til regnskap. Jeg vil kreve hvert dyr til regnskap, og jeg vil kreve hvert menneske til regnskap for et medmenneskes liv.
GEN.9.6	ved mennesker skal hans blod 
GEN.9.6	for Gud laget mennesket 
GEN.9.7	Men dere skal være fruktbare 
GEN.9.7	myldre på jorden 
GEN.9.8	Så sa Gud til Noah og sønnene hans: 
GEN.9.9	 «Nå vil jeg opprette min pakt med dere og etterkommerne deres 
GEN.9.10	og med hver levende skapning hos dere, både fugler og fe og alle ville dyr som er hos dere, alle som gikk ut av arken, alle dyr på jorden. 
GEN.9.11	 Jeg oppretter min pakt med dere: Aldri mer skal det skje at alt kjøtt og blod blir utryddet av vannet fra storflommen. Aldri mer skal en storflom komme for å ødelegge jorden.»
GEN.9.12	Og Gud sa:
GEN.9.12	«Dette tegnet setter jeg
GEN.9.12	for pakten mellom meg 
GEN.9.12	og hver levende skapning 
GEN.9.12	i kommende slektsledd 
GEN.9.13	Jeg setter buen min 
GEN.9.13	den skal være et tegn 
GEN.9.13	mellom meg og jorden.
GEN.9.14	Når jeg samler skyer 
GEN.9.14	og buen blir synlig 
GEN.9.15	da vil jeg tenke på pakten
GEN.9.15	mellom meg og dere
GEN.9.15	og hver levende skapning,
GEN.9.15	alt kjøtt og blod.
GEN.9.15	Aldri mer skal vannet 
GEN.9.15	som ødelegger 
GEN.9.16	Når buen viser seg 
GEN.9.16	vil jeg se den og tenke på 
GEN.9.16	mellom Gud og 
GEN.9.16	alt kjøtt og blod 
GEN.9.17	Gud sa til Noah: «Dette er tegnet på den pakten jeg oppretter mellom meg og alt kjøtt og blod på jorden.»
GEN.9.18	Noahs sønner som gikk ut av arken, var Sem, Ham og Jafet. Ham var far til Kanaan. 
GEN.9.19	Disse tre var Noahs sønner, og fra dem bredte menneskene seg ut over hele jorden.
GEN.9.20	Noah begynte å dyrke jorden, og han plantet en vinmark. 
GEN.9.21	Da han drakk av vinen, ble han full og kledde av seg inne i teltet sitt. 
GEN.9.22	Ham, far til Kanaan, fikk se faren naken, og han fortalte det til de to brødrene sine, som var ute. 
GEN.9.23	Sem og Jafet tok en kappe og la den over skuldrene. De gikk baklengs inn og dekket farens nakne kropp. De vendte ansiktet bort så de ikke så sin far naken. 
GEN.9.24	Da Noah våknet av rusen og fikk vite hva den yngste sønnen hadde gjort mot ham, 
GEN.9.25	sa han:
GEN.9.25	«Forbannet er Kanaan!
GEN.9.25	For sine brødre skal han være
GEN.9.25	den laveste blant slaver!»
GEN.9.26	Og han sa:
GEN.9.26	«Velsignet er 
GEN.9.26	Kanaan skal være hans slave!
GEN.9.27	Han skal bo i Sems telt,
GEN.9.27	og Kanaan skal være 
GEN.9.28	Etter storflommen levde Noah enda 350 år. 
GEN.9.29	Hele Noahs levetid ble 950 år. Så døde han.
GEN.10.2	 Jafets sønner var Gomer, Magog, Madai, Javan, Tubal, Mesjek og Tiras. 
GEN.10.3	Gomers sønner var Asjkenas, Rifat og Togarma. 
GEN.10.4	 Javans sønner var Elisja, Tarsis, Kittim og Rodanim. 
GEN.10.5	Fra dem har folkeslagene på fjerne kyster bredt seg ut i sine land, hvert med sitt språk, slekt for slekt, folkeslag etter folkeslag.
GEN.10.7	 Kusj hadde sønnene Seba, Havila, Sabta, Rama og Sabteka. Rama hadde sønnene Saba og Dedan.
GEN.10.9	Han ble en mektig jeger for 
GEN.10.10	Kongedømmet hans omfattet først Babel, Erek, Akkad og Kalne i landet Sinear. 
GEN.10.11	Fra dette landet dro han til Assur og bygde Ninive, Rehobot-Ir og Kalah 
GEN.10.12	og Resen mellom Ninive og Kalah, det er den store byen.
GEN.10.13	Misrajim ble far til luderne, anamerne, lehaberne, naftuherne, 
GEN.10.14	 patruserne og kasluherne, de som filisterne er utgått fra, og kaftorerne.
GEN.10.16	 og til jebusittene, amorittene og girgasjittene, 
GEN.10.17	hevittene, arkittene og sinittene, 
GEN.10.18	arvadittene, semarittene og hamatittene. Siden spredte kanaaneernes slekter seg videre utover. 
GEN.10.19	 Kanaaneernes landområde strakte seg fra Sidon i retning av Gerar like til Gaza, og mot Sodoma, Gomorra, Adma og Sebojim like til Lesja. 
GEN.10.20	Dette var Hams etterkommere, slekt for slekt og språk for språk, land etter land og folkeslag etter folkeslag.
GEN.10.22	 Sems sønner var Elam, Assur, Arpaksjad, Lud og Aram. 
GEN.10.23	Arams sønner var Us, Hul, Geter og Masj. 
GEN.10.24	Arpaksjad ble far til Sjelah, og Sjelah ble far til Eber. 
GEN.10.25	 Eber fikk to sønner. Den ene het Peleg, for i hans dager ble jorden delt opp. Hans bror het Joktan. 
GEN.10.26	Joktan ble far til Almodad, Sjelef, Hasarmavet, Jerah, 
GEN.10.27	Hadoram, Usal, Dikla, 
GEN.10.28	Obal, Abimael, Saba, 
GEN.10.29	 Ofir, Havila og Jobab. Alle disse var sønner av Joktan. 
GEN.10.30	De hadde sine bosteder fra Mesja bort mot Sefar, i fjellene mot øst.
GEN.10.31	Dette var Sems etterkommere, slekt for slekt og språk for språk, land etter land, folkeslag for folkeslag. 
GEN.10.32	 Og dette var slektene etter Noahs sønner, slektshistorie for slektshistorie, folkeslag etter folkeslag. Fra dem har folkeslagene bredt seg ut over jorden etter storflommen.
GEN.11.1	Hele jorden hadde samme språk og samme ord. 
GEN.11.2	 Da de brøt opp fra øst, fant de en bred dal i landet Sinear og slo seg ned der. 
GEN.11.3	 De sa til hverandre: «Kom, så lager vi teglstein og brenner dem harde!» De brukte tegl til byggestein og jordbek til bindemiddel. 
GEN.11.4	 Og de sa: «Kom, la oss bygge oss en by og et tårn som når opp til himmelen, og skaffe oss et navn så vi ikke blir spredt ut over hele jorden!»
GEN.11.5	Da steg 
GEN.11.6	 sa: «Se, de er ett folk, og ett språk har de alle. Og dette er det første de gjør! Nå vil ingen ting være umulig for dem, uansett hva de bestemmer seg for å gjøre. 
GEN.11.7	Kom, la oss stige ned og forvirre språket deres så den ene ikke forstår den andre!» 
GEN.11.8	Så spredte 
GEN.11.9	 Derfor kalte de den Babel, for der forvirret 
GEN.11.11	Og etter at Sem hadde fått Arpaksjad, levde han enda 500 år og fikk sønner og døtre.
GEN.11.13	Og etter at han hadde fått Sjelah, levde Arpaksjad enda 403 år og fikk sønner og døtre.
GEN.11.14	Da Sjelah var 30 år, fikk han sønnen Eber. 
GEN.11.15	Og etter at han hadde fått Eber, levde Sjelah enda 403 år og fikk sønner og døtre.
GEN.11.16	Da Eber var 34 år, fikk han sønnen Peleg. 
GEN.11.17	Og etter at han hadde fått Peleg, levde Eber enda 430 år og fikk sønner og døtre.
GEN.11.18	Da Peleg var 30 år, fikk han sønnen Re'u. 
GEN.11.19	Og etter at han hadde fått Re'u, levde Peleg enda 209 år og fikk sønner og døtre.
GEN.11.20	Da Re'u var 32 år, fikk han sønnen Serug. 
GEN.11.21	Og etter at han hadde fått Serug, levde Re'u enda 207 år og fikk sønner og døtre.
GEN.11.22	Da Serug var 30 år, fikk han sønnen Nahor. 
GEN.11.23	Og etter at han hadde fått Nahor, levde Serug enda 200 år og fikk sønner og døtre.
GEN.11.24	Da Nahor var 29 år, fikk han sønnen Tarah. 
GEN.11.25	Og etter at han hadde fått Tarah, levde Nahor enda 119 år og fikk sønner og døtre.
GEN.11.27	Dette er Tarahs slektshistorie. Tarah fikk sønnene Abram, Nahor og Haran. Og Haran fikk sønnen Lot. 
GEN.11.28	 Haran døde hos sin far Tarah, i sitt fedreland Ur i Kaldea. 
GEN.11.29	 Abram og Nahor tok seg koner. Abrams kone het Sarai. Nahors kone het Milka og var datter av Haran, far til Milka og Jiska. 
GEN.11.30	 Sarai var barnløs, hun kunne ikke få barn.
GEN.11.32	Tarahs levetid ble 205 år. Så døde Tarah i Harran.
GEN.12.2	 Jeg vil gjøre deg til et stort folk. Jeg vil velsigne deg og gjøre navnet ditt stort. Du skal bli til velsignelse.
GEN.12.3	men den som forbanner deg, 
GEN.12.3	I deg skal alle slekter på jorden 
GEN.12.4	Så dro Abram, slik 
GEN.12.5	Og Abram tok med seg sin kone Sarai og sin nevø Lot og alle eiendelene de hadde samlet seg, og folkene de hadde skaffet seg i Harran. De brøt opp for å dra til landet Kanaan.
GEN.12.5	Da de kom til Kanaan, 
GEN.12.6	 dro Abram gjennom landet helt til helligstedet Sikem, til More-eika. Den gangen bodde kanaaneerne i landet. 
GEN.12.7	 viste seg for Abram og sa: «Jeg vil gi dette landet til din ætt.» Og der bygde Abram et alter for 
GEN.12.8	 Derfra flyttet han opp i fjellandet øst for Betel og slo opp teltet mellom Betel i vest og Ai i øst. Der bygde han et alter for 
GEN.12.9	 Siden brøt Abram opp og dro fra sted til sted mot Negev.
GEN.12.11	Da han nærmet seg Egypt, sa han til sin kone Sarai: «Hør på meg: Jeg vet at du er en vakker kvinne. 
GEN.12.12	Når egypterne får se deg, kommer de til å si: Dette er hans kone. Så slår de meg i hjel og lar deg leve. 
GEN.12.13	 Kan du ikke si at du er søsteren min? Så går det meg godt for din skyld, og jeg får beholde livet takket være deg!»
