GEN.1.4	Gud så lyset, at det var godt. Og Gud skilte lyset fra mørket.
GEN.4.20	Ada fødte Jabal. Han ble stamfar til dem som bor i telt og har buskap.
GEN.4.21	Hans brors navn var Jubal. Han ble stamfar til alle dem som spiller på lyre og fløyte.
GEN.4.22	Også Silla fødte, det var Tubalkain, som var læremester for de håndverkerne som arbeidet med bronse og jern. Søsteren til Tubalkain var Na’ama.
GEN.4.23	Så sa Lamek til sine to koner: «Ada og Silla, hør min røst, Lameks koner, lytt til mine ord! For jeg dreper
GEN.5.4	Etter at han hadde blitt far til Set, ble Adams dager 800 år, og han ble far til sønner og døtre.
GEN.5.7	Etter at han hadde blitt far til Enosj, levde Set i 807 år, og han ble far til sønner og døtre.
GEN.5.8	Alle Sets dager ble 912 år, og så døde han.
GEN.5.9	Enosj levde i 90 år, og så ble han far til Kenan.
GEN.5.10	Etter at han hadde blitt far til Kenan, levde Enosj i 815, og han ble far til sønner og døtre.
GEN.5.11	Alle Enosjs dager ble 905 år, og så døde han.
GEN.5.12	Kenan levde i 70 år, og så ble han far til Mahalalel.
GEN.5.13	Etter at han hadde blitt far til Mahalalel, levde Kenan i 840 år, og han ble far til sønner og døtre.
GEN.5.14	Alle Kenans dager ble 910 år, og så døde han.
GEN.5.15	Mahalalel levde i 65 år, og så ble han far til Jared.
GEN.5.16	Etter at han hadde blitt far til Jared, levde Mahalalel i 830 år, og han ble far til sønner og døtre.
GEN.5.17	Alle Mahalalels dager ble 895 år, og så døde han.
GEN.5.18	Jared levde i 162 år, så ble han far til Henok.
GEN.5.19	Etter at han hadde blitt far til Henok, levde Jared i 800 år, og han ble far til sønner og døtre.
GEN.5.20	Alle Jareds dager ble 962 år, og så døde han.
GEN.5.21	Henok levde i 65 år, og så ble han far til Metusjalah.
GEN.5.22	Etter at Henok hadde blitt far til Metusjalah, vandret han med Gud i 300 år, og han ble far til sønner og døtre.
GEN.5.25	Metusjalah levde i 187 år, så ble han far til Lamek.
GEN.5.26	Etter at han hadde blitt far til Lamek, levde Metusjalah i 782 år, og han ble far til sønner og døtre.
GEN.5.27	Alle Metusjalahs dager ble 969 år, og så døde han.
GEN.5.28	Lamek levde i 182 år, og så ble han far til en sønn.
GEN.5.30	Etter at han hadde blitt far til Noah, levde Lamek i 595 år, og han ble far til sønner og døtre.
GEN.5.31	Alle Lameks dager ble 777 år, og så døde han.
GEN.6.2	Guds sønner så menneskenes døtre, at de var vakre. Blant dem tok de seg koner, dem de selv valgte.
GEN.6.4	Det var kjemper på jorden i de dager, og også senere, da Guds sønner gikk inn til menneskenes døtre, og de fødte dem barn. Dette var de mektige fra gammel tid, de navngjetne menn.
GEN.6.7	Da sa Herren: «De menneskene Jeg har skapt, vil Jeg utslette fra jordens overflate, ja, både mennesker og dyr, krypet og fuglene i luften, for Jeg angrer at Jeg skapte dem.»
GEN.6.14	Bygg deg en ark av gofertre! Lag rom i arken og dekk den med bek innvendig og utvendig!
GEN.6.15	Slik skal du lage den: Arken skal være 300 alen lang, 50 alen bred og 30 alen høy.
GEN.6.16	Du skal lage en lysåpning i arken, og du skal avslutte den én alen fra den øvre kanten. Sett døren i siden på arken. Du skal bygge arken med et nedre, et andre og et tredje dekk.
GEN.6.21	Du skal ta med deg av all slags spiselig mat, og du skal samle det til deg selv. Den skal være til mat både for deg og for dem.»
GEN.7.3	Ta også sju par av fuglene i luften, en hann og en hunn, for å holde artene i live på jorden.
GEN.7.4	For om sju dager skal Jeg la det regne i 40 dager og 40 netter, og Jeg skal la enhver skapning som Jeg har gjort, bli utslettet fra jordens overflate.»
GEN.7.8	Av de rene dyrene, av de urene dyrene, av fuglene og av alt krypet på jorden
GEN.7.9	gikk to og to inn i Noahs ark, hann og hunn, slik Gud hadde befalt Noah.
GEN.7.10	Det skjedde sju dager senere at vann-flommen kom over jorden.
GEN.7.12	Så falt regnet over jorden i 40 dager og 40 netter.
GEN.7.13	Samme dag gikk Noah og Noahs sønner, Sem, Ham og Jafet, og Noahs kone og de tre sønnenes koner inn i arken,
GEN.7.14	både de og alle villdyrene etter sine arter, alt feet etter sine arter, alt krypet på jorden etter sine arter og hver fugl etter sin art, hver fugl av hvert slag.
GEN.7.17	Vannflommen strømmet over jorden i 40 dager. Vannet steg og løftet arken, og den fløt høyt over jorden.
GEN.7.19	Men vannet steg bare mer og mer på jorden, og alle de høye fjellene overalt under himmelen ble dekket.
GEN.7.20	Vannet steg 15 alen til, og fjellene ble helt oversvømt.
GEN.7.24	Vannet holdt seg høyt over jorden i 150 dager.
GEN.8.1	Men Gud husket på Noah og hver levende skapning og hvert dyr som var sammen med ham i arken. Gud lot en vind blåse over jorden, og vannet sank.
GEN.8.4	I den sjuende måneden, på den syttende dagen i måneden, ble arken stående på Ararat-fjellene.
GEN.8.5	Vannet sank stadig, helt til den tiende måneden. I den tiende måneden, på den første dagen i måneden, kom fjell-toppene til syne.
GEN.8.7	Så sendte han en ravn av sted, og den fløy fram og tilbake inntil vannet var tørket bort fra jorden.
GEN.8.8	Han sendte også en hunndue fra seg for å se om vannet hadde sunket fra jordoverflaten.
GEN.8.9	Men duen fant ikke noe sted å hvile sin fot, så hun vendte tilbake til ham i arken. For vannet lå over hele jordoverflaten. Så rakte han ut hånden og tok imot duen, og han dro henne inn til seg i arken.
GEN.8.10	Så ventet han ennå i sju dager, og igjen sendte han duen ut fra arken.
GEN.8.11	Da duen kom tilbake til ham om kvelden, se, da hadde hun et friskt olivenblad i nebbet. Da forsto Noah at vannet hadde sunket fra jorden.
GEN.8.12	Så ventet han ennå sju dager til og sendte duen ut igjen. Da kom hun ikke tilbake til ham mer.
GEN.8.13	I det seks hundre og første året, i den første måneden, på den første dagen i måneden, skjedde det: Vannet hadde tørket bort fra jorden. Noah tok bort overbygget på arken og så ut, og se, jordoverflaten var tørr.
GEN.8.14	I den andre måneden, på den tjuesjuende dagen i måneden, var jorden helt tørr.
GEN.8.15	Da talte Gud til Noah og sa:
GEN.8.17	Ta med deg ut hver levende skapning av alt kjøtt som er med deg, fugler og fe og alle kryp som kryper på jorden, så de kan utbre seg, være fruktbare og bli mange på jorden.»
GEN.8.18	Så gikk Noah ut, og hans sønner og hans kone og hans svigerdøtre med ham.
GEN.8.19	Hvert dyr, hvert kryp, hver fugl og alt det som kryper på jorden, alt etter sine arter, kom ut av arken.
GEN.9.3	Alt som rører seg og lever, skal være til mat for dere. Jeg har gitt dere alt dette, slik Jeg ga dere de grønne plantene.
GEN.9.8	Så talte Gud til Noah og hans sønner hos ham og sa:
GEN.9.13	Jeg setter regnbuen Min i skyen, og den skal være til tegn på pakten mellom Meg og jorden.
GEN.9.14	Og det skal skje; når Jeg samler skyer over jorden, skal regnbuen komme til syne i skyene.
GEN.9.15	Da skal Jeg minnes Min pakt, som er opprettet mellom Meg og dere og hver levende sjel i alt kjøtt. Vannet skal aldri mer bli til en flom som utsletter alt kjøtt.
GEN.9.16	Regnbuen skal være i skyen, og Jeg skal se på den for å minnes den evige pakten mellom Gud og hver levende sjel i alt kjøtt på jorden.»
GEN.9.17	Gud sa til Noah: «Dette er tegnet på pakten Jeg har opprettet mellom Meg og alt kjøtt på jorden.»
GEN.9.22	Ham, far til Kanaan, så sin fars nakenhet, og han fortalte det til de to brødrene sine utenfor.
GEN.9.23	Men Sem og Jafet tok et klesplagg, la det på begge skuldrene sine, og gikk baklengs inn og dekket sin fars nakenhet. Ansiktet deres var vendt bort, og de så ikke sin fars nakenhet.
GEN.9.24	Da Noah våknet opp av rusen, fikk han vite hva hans yngste sønn hadde gjort mot ham.
GEN.9.28	Noah levde i 350 år etter vannflommen.
GEN.9.29	Alle Noahs dager ble 950 år, før han døde.
GEN.10.3	Gomers sønner var Asjkenas, Rifat og Togarma.
GEN.10.4	Javans sønner var Elisja, Tarsis, Kittim og Dodanim
GEN.10.6	Hams sønner var Kusj, Misrajim, Put og Kanaan.
GEN.10.7	Sønnene til Kusj var Seba, Havila, Sabta, Rama og Sabteka. Ramas sønner var Saba og Dedan.
GEN.10.8	Kusj fikk sønnen Nimrod, som var den første mektige mann på jorden.
GEN.10.10	Hans rike fikk sin begynnelse i Babel, Erek, Akkad og Kalne i Sinearlandet.
GEN.10.12	og Resen mellom Ninive og Kalah. Resen er den store byen.
GEN.10.13	Misrajim ble far til luderne, anamerne, lehaberne, naftukerne
GEN.10.17	hevittene, arkittene, sinittene,
GEN.10.18	arvadittene, semarittene og hamatittene. Senere ble kanaaneernes slekter spredt videre ut.
GEN.10.19	Kanaaneernes grense gikk fra Sidon i retning mot Gerar, helt til Gaza. Derfra i retning mot Sodoma, Gomorra, Adma og Sebojim, helt til Lesja.
GEN.10.20	Dette var Hams sønner, etter sine slekter, etter sine tungemål, i sine land og i sine folkeslag.
GEN.10.21	Det ble også født barn til Sem, han som var stamfar til alle Ebers barn
GEN.10.22	Sems sønner var Elam, Assur, Arpaksjad, Lud og Aram.
GEN.10.23	Arams sønner var Us, Hul, Geter og Masj
GEN.10.25	Til Eber ble det født to sønner. Navnet på den ene var Peleg, for i hans dager ble jorden delt. Hans brors navn var Joktan.
GEN.10.26	Joktan fikk sønnene Almodad, Sjelef, Hasarmavet, Jerah,
GEN.10.27	Hadoram, Usal, Dikla,
GEN.10.28	Obal
GEN.10.29	Ofir, Havila og Jobab. Alle disse var sønner av Joktan.
GEN.10.30	Deres bosted strakte seg fra Mesja i retning mot Sefar, fjellet i øst.
GEN.10.31	Dette var Sems sønner, etter sine slekter, med sine språk, i sine land og i sine folkeslag.
GEN.11.1	Hele jorden hadde ett språk og én tale.
GEN.11.3	Så sa de til hverandre: «Kom, la oss lage teglstein og brenne dem godt.» De brukte tegl som stein, og de brukte jordbek som mørtel.
GEN.11.9	Derfor blir den kalt Babel, for der forvirret
GEN.11.11	Etter at han hadde blitt far til Arpaksjad, levde Sem i 500 år, og han ble far til sønner og døtre.
GEN.11.13	Etter at han hadde blitt far til Sjelah, levde Arpaksjad i 403 år, og han ble far til sønner og døtre.
GEN.11.14	Da Sjelah hadde levd i 30 år, ble han far til Eber.
GEN.11.15	Etter at han hadde blitt far til Eber, levde Sjelah i 403 år, og han ble far til sønner og døtre.
GEN.11.17	Etter at han hadde blitt far til Peleg, levde Eber i 430 år, og han ble far til sønner og døtre.
GEN.11.18	Da Peleg hadde levd i 30 år, ble han far til Re’u.
GEN.11.19	Etter at han hadde blitt far til Re’u, levde Peleg i 209 år, og han ble far til sønner og døtre.
GEN.11.21	Etter at han hadde blitt far til Serug, levde Re’u i 207 år og ble far til sønner og døtre.
GEN.11.22	Da Serug hadde levd i 30 år, ble han far til Nahor.
GEN.11.23	Etter at han hadde blitt far til Nahor, levde Serug i 200 år, og han ble far til sønner og døtre.
GEN.11.25	Etter at han hadde blitt far til Tarah, levde Nahor i 119 år, og han ble far til sønner og døtre.
GEN.11.28	Haran døde hos sin far Tarah i sitt fødeland, Ur i Kaldea.
GEN.12.4	Så dro Abram av sted, slik Herren hadde sagt til ham, og Lot gikk med ham. Abram var 75 år gammel da han dro ut fra Haran.
GEN.12.5	Så tok Abram sin kone Sarai og sin brorsønn Lot og alle eiendelene de hadde samlet seg, og folket de hadde knyttet til seg i Haran. Så dro de av sted for å reise til Kanaans land. De kom til Kanaans land,
GEN.12.6	og Abram dro gjennom landet og kom til stedet Sikem, helt til Mores terebintelund. Den gangen var kanaaneerne i landet.
GEN.12.12	Derfor kommer det til å skje når egypterne får se deg, at de vil si: Dette er hans kone, og så vil de drepe meg. Men deg vil de la leve.
GEN.12.14	Og slik ble det. Da Abram kom til Egypt, så egypterne kvinnen, at hun var meget vakker.
GEN.12.15	Også Faraos stormenn så henne, og de talte vel om henne for Farao. Så ble kvinnen hentet til Faraos hus.
GEN.12.19	Hvorfor sa du: ‘Hun er min søster?’ Jeg kunne ha tatt
GEN.13.3	Han fortsatte reisen sin fra Negev og kom helt til Betel, til det stedet der han hadde slått opp teltet sitt til å begynne med, mellom Betel og Ai,
GEN.13.5	Lot, som var med Abram, hadde også småfe og storfe og telt.
GEN.13.8	Derfor sa Abram til Lot: «Jeg ber deg, la det ikke være strid mellom deg og meg, og mellom dine gjetere og mine gjetere. For vi er brødre.
GEN.13.11	Lot valgte hele Jordansletten for seg selv, og Lot dro østover. Så skiltes de fra hverandre.
GEN.13.14	Etter at Lot hadde skilt lag med ham, sa Herren til Abram: «Løft nå blikket og se fra det stedet du er, nordover, sørover, østover og vestover.
GEN.13.17	Stå opp og dra gjennom landet på langs og på tvers, for Jeg gir det til deg.»
GEN.14.8	Kongen i Sodoma, kongen i Gomorra, kongen i Adma, kongen i Sebojim og kongen i Bela, som er Soar, dro ut og ble med i slaget i Siddimdalen.
GEN.14.9	De kjempet mot Kedor-Laomer, kongen i Elam, Tidal, kongen over Gojim, Amrafel, kongen i Sinear, og Arjok, kongen i Ellasar, fire konger mot fem.
GEN.14.11	Så tok de alt som var av verdi i Sodoma og Gomorra, og hele matforrådet deres, og dro av sted.
GEN.14.12	De tok også med seg Lot, Abrams brorsønn, som bodde i Sodoma, sammen med det han eide, og dro av sted.
GEN.14.21	Kongen i Sodoma sa da til Abram: «Gi meg folket
GEN.14.24	Jeg vil bare ha det de yngste av mennene har spist, og den delen som tilfaller de mennene som var med meg, Aner, Esjkol og Mamre. La dem få ta sin del!»
GEN.15.5	Så tok Han ham med utenfor og sa: «Se nå opp mot himmelen og tell stjernene, om du klarer å telle dem.» Så sa Han til ham: «Slik skal din slekt bli.»
GEN.15.9	Da svarte Herren: «Kom hit til Meg med en tre år gammel kvige, en tre år gammel geit, en tre år gammel vær, en turteldue og en ung due.»
GEN.15.11	Da gribbene kom ned over de døde dyrene, jaget Abram dem bort.
GEN.15.15	Men du, du skal dra i fred til dine fedre. Du skal begraves i høy alder.
GEN.15.19	kenittenes, kenisittenes, kadmonit-tenes,
GEN.15.20	hetittenes, ferisittenes, refaittenes,
GEN.16.3	Så tok Sarai, Abrams kone, sin trellkvinne Hagar og ga henne som kone til sin mann Abram. Dette var etter at Abram hadde bodd ti år i Kanaans land.
GEN.16.8	Han sa: «Hagar, Sarais slavekvinne, hvor kommer du fra, og hvor går du?» Hun svarte: «Jeg flykter bort fra min husfrue Sarais øyne
GEN.16.14	Derfor ble kilden kalt Lahai-Ro’i-kilden
GEN.16.16	Abram var 86 år gammel da Hagar fødte Ismael til Abram.
GEN.17.3	Da falt Abram på sitt ansikt, og Gud talte til ham og sa:
GEN.17.6	Jeg skal gjøre deg veldig fruktbar, og Jeg skal la folkeslag komme fra deg, og konger skal utgå fra deg.
GEN.17.9	Gud sa til Abraham: «Og du, du skal holde Min pakt, du og din ætt i alle de slektsleddene som skal komme.
GEN.17.13	Både han som er født i ditt hus, og han som er kjøpt for dine penger, må omskjæres. Min pakt skal være på deres kjøtt
GEN.17.14	Men et uomskåret guttebarn, en som ikke er omskåret på kjøttet av sin forhud, den personen
GEN.17.15	Så sa Gud til Abraham: «Sarai, din kone, skal du ikke lenger kalle med navnet Sarai, men Sara
GEN.17.22	Så avsluttet Han samtalen med ham, og Gud for opp fra Abraham.
GEN.17.24	Abraham var 99 år gammel da han ble omskåret på kjøttet av forhuden sin.
GEN.17.25	Hans sønn Ismael var 13 år gammel da han ble omskåret på kjøttet av forhuden sin.
GEN.17.26	På samme dag som Abraham ble omskåret, ble også hans sønn Ismael omskåret,
GEN.18.1	Så viste Herren seg for ham ved terebintelunden i Mamre
GEN.18.2	Han løftet blikket, og se, tre menn sto hos ham. Da han så dem, sprang han fra teltåpningen for å møte dem. Han bøyde seg til jorden
GEN.18.6	Da skyndte Abraham seg inn i teltet til Sara og sa: «Skynd deg og gjør klar tre mål fint mel, kna det og lag kaker!»
GEN.18.7	Abraham sprang bort til buskapen, tok ut en fin og god kalv og ga den til en ung mann, som skyndte seg å lage den i stand.
GEN.18.8	Så tok han smør, melk og kalven som han hadde lagd i stand, og satte alt fram for dem. Og han sto hos dem under treet mens de spiste.
GEN.18.13	Herren sa til Abraham: «Hvorfor lo Sara og sa: Skal jeg virkelig føde barn nå når jeg er gammel?
GEN.18.14	Er noe for vanskelig for Herren? Etter den fastsatte tiden skal Jeg komme tilbake til dere, etter så lang tid det tar for at et nytt menneskeliv skal bli til, og Sara skal da ha en sønn.»
GEN.18.15	Men Sara nektet og sa: «Jeg lo ikke.» For hun var redd. Men Han sa: «Jo, du lo.»
GEN.18.17	Herren sa da: «Skal Jeg skjule for Abraham det Jeg vil gjøre,
GEN.18.22	Så vendte mennene seg bort derfra og gikk mot Sodoma, men Abraham sto fortsatt framfor Herrens ansikt.
GEN.18.23	Abraham kom nærmere og sa: «Vil Du også utslette den rettferdige sammen med den ugudelige
GEN.18.24	Om det nå finnes 50 rettferdige i byen, vil Du utslette stedet og ikke skåne det, selv om det er 50 rettferdige der?
GEN.18.28	Om det nå manglet fem på de 50 rettferdige. Vil Du da ødelegge hele byen fordi det manglet fem?» Da sa Han: «Hvis Jeg finner 45 der, skal Jeg ikke ødelegge den.»
GEN.18.29	Enda en gang talte han til Ham og sa: «Om det nå skulle finnes 40 der?» Da sa Han: «Jeg skal ikke gjøre det for de førtis skyld.»
GEN.18.30	Da sa han: «Nå må ikke Herrens vrede opptennes hvis jeg sier: Om det nå skulle finnes 30 der?» Da sa Han: «Jeg skal ikke gjøre det hvis Jeg finner 30 der.»
GEN.18.31	Og han sa: «Se, jeg har tatt meg den frihet å tale til Herren: Om det nå skulle finnes 20 der?» Da sa Han: «Jeg skal ikke ødelegge den for de tjues skyld.»
GEN.18.32	Da sa han: «Nå må ikke Herrens vrede opptennes. Jeg vil tale bare én gang til: Om det nå skulle finnes ti der?» Og Han sa: «Jeg skal ikke ødelegge den for de tis skyld.»
GEN.18.33	Så gikk Herren bort, straks Han var ferdig med å tale med Abraham, og Abraham vendte tilbake dit han bodde.
GEN.19.5	De ropte til Lot og sa til ham: «Hvor er mennene som kom til deg i kveld? Ta dem med ut til oss, så vi kan få kjenne
GEN.19.10	Men mennene rakte hendene sine ut og dro Lot inn til seg i huset. Så stengte de døren.
GEN.19.19	Se, Din tjener har funnet nåde for Dine øyne, og Du har vist meg enda større barmhjertighet ved å redde livet mitt
GEN.19.21	Og Han sa til ham: «Se, Jeg har vist deg velvilje også i dette, og Jeg skal ikke ødelegge den byen du har snakket om.
GEN.19.23	Solen var kommet opp over jorden da Lot kom inn i Soar.
GEN.19.25	Slik ødela Han disse byene, hele sletten, alle innbyggerne i byene og alt som vokste på marken.
GEN.19.28	Han så mot Sodoma og Gomorra og mot hele slettelandet. Og han skuet, og se, røyken steg opp over landet, som røyken fra en smelteovn.
GEN.19.30	Så dro Lot ut fra Soar og slo seg ned i fjellene, og hans to døtre med ham. For han var redd for å bosette seg i Soar, så han og hans to døtre bosatte seg i en hule.
GEN.19.31	Den førstefødte sa da til den yngste: «Vår far er gammel, og det finnes ingen mann i landet som kan komme inn til oss, slik det er vanlig overalt på jorden.
GEN.19.33	Samme kveld skjenket de sin far vin. Den førstefødte gikk inn og lå med sin far, og han merket verken at hun la seg eller at hun sto opp.
GEN.19.34	Neste dag skjedde det at den førstefødte sa til den yngste: «Se, jeg lå med min far i natt. La oss skjenke ham vin i kveld også, så går du inn og ligger med ham, så vi kan føre vår fars slekt videre.»
GEN.19.35	Så skjenket de sin far vin den kvelden også. Den yngste gikk og la seg hos ham, og han merket verken at hun la seg eller at hun sto opp.
GEN.19.36	På den måten ble begge Lots døtre med barn ved sin far.
GEN.19.37	Den førstefødte fikk en sønn og ga ham navnet Moab. Han er far til moabittene helt til denne dag.
GEN.20.8	Så sto Abimelek tidlig opp om morgenen og kalte til seg alle tjenerne sine. Han fortalte dem alt dette mens de hørte på, og mennene ble svært redde.
GEN.20.10	Så sa Abimelek til Abraham: «Hva var det du så for deg da du gjorde dette?»
GEN.20.13	Det skjedde da Gud lot meg vandre bort fra min fars hus, at jeg sa til henne: ‘Slik må du vise barmhjertighet mot meg: På hvert sted vi kommer til, skal du si om meg: Han er min bror.’»
GEN.20.14	Da tok Abimelek småfe, storfe og slaver og tjenestepiker og ga dem til Abraham. Han ga også hans kone Sara tilbake til ham.
GEN.20.18	For Herren hadde stengt alle morsliv i Abimeleks hus for Sara, Abrahams kones, skyld.
GEN.21.8	Barnet vokste og ble avvent, og Abraham stelte i stand en stor fest den dagen Isak ble avvent.
GEN.21.15	Vannet i skinnsekken ble brukt opp, og hun la gutten under en av buskene.
GEN.21.16	Så gikk hun og satte seg rett overfor ham, på et bueskudds avstand. For hun sa: «Jeg holder ikke ut å se gutten dø.» Hun satt rett overfor ham og gråt høylytt.
GEN.21.21	Han bodde i Paranørkenen, og hans mor tok en kone til ham fra Egypt.
GEN.21.24	Abraham sa: «Jeg skal sverge på det.»
GEN.21.25	Men Abraham klaget til Abimelek på grunn av en brønn Abimeleks tjenere hadde tilrøvet seg.
GEN.21.26	Abimelek sa: «Jeg vet ikke hvem som har gjort dette. Du har ikke fortalt meg det, og jeg har heller ikke hørt om det før i dag.»
GEN.21.27	Så tok Abraham småfe og storfe og ga det til Abimelek, og de to sluttet en pakt.
GEN.21.28	Abraham satte til side sju søyelam fra flokken.
GEN.21.32	På den måten sluttet de en pakt i Be’er-Sjeba. Så brøt Abimelek opp sammen med Pikol, øverstkommanderende for hæren, og de vendte tilbake til Filisterlandet.
GEN.21.34	Abraham ble boende i Filisterlandet i mange dager.
GEN.22.3	Om morgenen sto Abraham tidlig opp og salte eselet sitt. Han tok med seg to av sine unge menn og sin sønn Isak. Så kløvde han veden til brennofferet, brøt opp og dro mot stedet Gud hadde sagt.
GEN.22.4	På den tredje dagen da Abraham løftet blikket, fikk han se stedet langt borte.
GEN.22.5	Abraham sa til sine unge tjenere: «Bli dere her med eselet! Gutten og jeg vil gå dit bort for å tilbe, og så kommer vi tilbake til dere.»
GEN.22.7	Men Isak talte til sin far Abraham og sa: «Min far!» Han svarte: «Her er jeg, min sønn.» Så spurte han: «Se, ilden og veden, men hvor er lammet til brenn-offeret?»
GEN.22.13	Da løftet Abraham blikket, og der bak ham så han en vær som satt fast i krattet med hornene. Da gikk Abraham bort. tok væren og ofret den som brennoffer i stedet for sin sønn.
GEN.22.14	Abraham kalte dette stedet Herren forsørger
GEN.22.15	Da ropte Herrens Engel
GEN.22.16	og sa: «Ved Meg selv har Jeg sverget, sier Herren, fordi du har gjort dette og ikke sparte din egen sønn, din enbårne,
GEN.22.20	Etter dette skjedde det at det ble fortalt til Abraham: «Se, Milka har også født din bror Nahor barn:
GEN.22.22	Kesed, Haso, Pildasj, Jidlaf og Betuel.»
GEN.22.24	Hans medhustru, som het Re’uma, fødte også Tebah, Gaham, Tahasj og Ma’aka.
GEN.23.1	Sara levde i 127 år. Dette var Saras leveår.
GEN.23.2	Så døde Sara i Kirjat-Arba, det er Hebron, i Kanaans land, og Abraham kom for å sørge over Sara og gråte over henne.
GEN.23.4	«Jeg er en fremmed og en innflytter blant dere. Gi meg en eiendom jeg kan ha til gravsted blant dere, så jeg kan begrave min døde kone et sted ute av syne.»
GEN.23.5	Hets sønner svarte Abraham og sa til ham:
GEN.23.7	Da sto Abraham opp og falt på kne for folket i landet, Hets sønner.
GEN.23.8	Han talte til dem og sa: «Hvis det er deres ønske at jeg begraver min døde kone et sted ute av syne, så hør på meg! Legg inn et godt ord for meg hos Efron, Sohars sønn,
GEN.23.12	Da falt Abraham på kne for folket i landet,
GEN.23.13	og han talte til Efron så folket i landet hørte det, og sa: «Hvis du vil gi meg den, så hør på meg! Jeg vil gi deg penger for jorden. Ta imot dem, så vil jeg begrave min døde kone der.»
GEN.23.14	Efron svarte Abraham og sa til ham:
GEN.23.17	Slik ble det bekreftet i nærvær av Hets sønner, i nærvær av alle som gikk inn gjennom byporten,
GEN.23.19	Etter dette begravde Abraham sin kone Sara i hulen på Makpelajordet ved Mamre, det er Hebron, i Kanaans land.
GEN.24.1	Abraham var gammel og hadde fått mange levedager, og Herren hadde velsignet Abraham i alle ting.
