MAT.1.1	Aanna Yisuu Kirisiinna oyaiya kuavai. Aaparahaamooya Davuitiiya oyaivakidiri Yisuuva diiteeravai.
MAT.1.13	Eriakiimo Asoroonna mmata kiooduu
MAT.1.14	Asoroova Satokoonna mmata kiooduu
MAT.1.14	Satokoova Akiimaa mmata kiooduu
MAT.1.14	Akiimo Erutuunna mmata kiooduu
MAT.1.15	Erutuuva Eriasaaraa mmata kiooduu
MAT.1.15	Eriasaaro Mataanaa mmata kiooduu
MAT.1.15	Mataano Yakoopaa mmata kiooduu
MAT.1.16	Yakoopo Yoosiipaa mmata kieeravai. Yoosiipo inna Mariaanna vaativai.
MAT.1.16	Mariaava ari mmaapuuvaa Yisuunna mmata kiooduu vaidiiyaano innara tunoo: Aanna Misiaa vaidi Anutuuqo mmataama kioo vaidiivovee, tiravai.
MAT.1.17	Aaparahaamo varuu suaivakidiri inna sidinnaidiiya yaakuuvaitana yukukidiri taarama taarama varia rada nnidada iyakidiri Davuitiiva diiteeravai. Davuitiiva diitoo suaivakidiri mmuaikaraama inna sidinnaidiiya yaakuuvaitana yukukidiri taarama taarama varia rada nnidada iya varuu suaivaki vaidi Bapuroonaaya numa iyaata rapidada yaatara kiada vitada ngiari yoosinnaivaki yapa kieeravai. Iya Isarairaiya yapa kiooduu varuu suaivakidiri mmuaikaraama Yekoniaanna sidinnaidiiya yaakuuvaitana yukukidiri taarama taarama varia rada nnidada tooduu Anutuuqo mmataama kioo vaidiivo diiteeravai.
MAT.1.18	Yisuu Kirisiinna mmatoovo ataama vairavai. Yisuuva hama varuu suaivaki inna kaanaa Mariaanna Yoosiipo varaanara kuaivaa kiaa teerama kioo hama inna varooduu Mariaava rikiooduu Mmannasa Yoketaivoono vaa nnaakaraivaa inna mmiravai. 
MAT.1.19	Mmuduu Mariaanna vaatiivo Yoosiipo vaidi yoketaavoonora tioo hama mmamma maisaivaa Mariaanna mmirainno kati haumaki inna titaanaraivaara yaata utiravai. 
MAT.1.20	Homo ivaara yaata utuoo varioo vainno ruvuaataivaa tooduu Udaanga Anutuuqaa aangeraa voovoono tuma inna kiaa mmioo tunoo: Yoosiipo, Davuitiinna oyaivakinnaa vaidikuavee. Ai nnaata Mariaanna varaanaraivaara sa aatuunna taara yaata utuanee. Varaanee. Mmannasa Yoketaivoono nnaakaraivaa inna aakiaivaki yapaivaivee. 
MAT.1.21	Fai iva mmaapuvai mmatanai a inna nnutuuvaa Yisuuvavee tinaravai. Fai ivoono ari seena gioonna kiaapuuya mminnamminnaa maisaiyauvaa ruga kioo iya vitoo yoketaivau yapaanaraivaara a inna nnutuuvaa Yisuuvavee tinaravai.
MAT.1.22+MAT.1.23	Nnaaruaa vaidi Udaanga Anutuuqaa kuaivaa kooyaa tira forofetaa voovoono Anutuuqo inna kiaa mmuu kuaivaa fafaarainno ataa kua tunoo: Fai kiaatanna yoketaa hama vaidi voovoono inna tasipaivoono nnaakara sunnainno mmaapuvai mmatanai iya inna nnutuuvaa Imanueero kiaaravee, tiravai. Ii nnutu ivaa oyaivo tinoo: Anutuuqo ti tasipainoo, tiivai. Nnaaruaa vaidi forofetaivo fafaara roo kuaivo ngioo ngioo Yisuunna mmatoo suaivaki innara kua tuu kua mmuakiaayauvai kaanaivo vairavai.
MAT.1.24	Itaama vauduu Yoosiipo diitoo Udaanga Anutuuqaa aangeraivo inna kiaa mmuu kuaivaa rikioo iinno ari nnaataivaa vareeravai. 
MAT.1.25	Varooduu homo Mariaava nnaakara sunnaivaata varuu suaivaki Yoosiipo hama inna tasipama nuairavai. Yapooma Mariaava mmaapuuvaa mmata kiooduu Yoosiipo inna nnutuuvaa Yisuu-o tiravai.
MAT.2.1	Yoosinna pinaivaa nnutuuvo Yutayaa ivaki vau yoosinna kiisaivaa nnutuuvo Pitiriheema ivaki Mariaava Yisuunna mmateeravai. Inna mmatoo suaivaki Herooto Yutayaiya kieetavai variravai. Varuduu vaidi tinni ruaa vooya aakiapuaiyauvo tooyauvaara mmoori uuya suai raari roopinnaidiri nnidada numa Yerusareema gioonna kiaapuuya yaparaida tunoo: 
MAT.2.2	Nnaakara meediivo Yutayaiya kieetavai varinoo kiaivo deevakiinno variinnee? Ari aakiapuaivo suai raari raipinnai ngioo varikiai ta ivaa taa rada numa ti ausa mmuduuyaiyauvaa inna mmiaara ngiaunnanoo, 
MAT.2.3	tuduu rikioo kieeta vaidi Herooto iya tuu kuaivaa rikioo pinaama nnikiarauduu mmuakiaa gioonna kiaapu Yerusareema varuuyaatama rikiada nnikiarairavai. 
MAT.2.4	Nnikiarauduu Herooto mmuakiaa Anutuuqaara kati puara hudeera kieetaiyaata vaidi kua mmaanna kiaa mmiraiyaatama tuduu innasi nuunauduu iya yaparainno tunoo: Fai deevakidiri Anutuuqo mmataama kioo vaidiivaa kaano mmataanarannee? 
MAT.2.5	tuduu rikiada iya inna kuaivaa sai tunoo: Yutayaivaki vai yoosinna kiisa Pitiriheemadiri fai mmataanaravaivee. Nnaaruaa vaidi forofetaa voovoono ivaara Anutuuqaa avaivaa fafaara roo tunoo:
MAT.2.6	Yutayaivaki vai yoosinna Pitiriheemaivo
MAT.2.6	kiisavai vaikiai
MAT.2.6	yoosinna pinaa Yutayaa kieetaiya
MAT.2.6	ivaara kiaanoo:
MAT.2.6	Fai yapooma ii yoosinna ivaa
MAT.2.6	nnutuuvo pinaavai vainaravaivee, kiaavai.
MAT.2.6	Fai ivakidiri vaidi kieeta voovai diitoo
MAT.2.6	ni gioonna kiaapu Isarairaiyara dinaravaivee.
MAT.2.6	Forofetaivoono itaa kua tiravaivee. 
MAT.2.7	Iya itaa kua tuduu rikioo Herooto iya tuu kuaivaara yaata utuoo vaidi tinni ruaa suai raari roopinnaidiri nnuuya tuduu haumakinaa nnida innasi nuunauduu iya yaparainno tunoo: Dee suaivau aakiapuaivo nnuunnee? 
MAT.2.8	kiaa kioo iya sai tuu kuaivaa rikioo Pitiriheema iya titoo tunoo: Oo nnaakaraivaara tuqinnama buaidada teekio ngii too vainai numa ni giaa ni mikiai fai neetaata oro ni ausa mmuduuyaivaa inna mminaravee, 
MAT.2.9	tuduu iya inna kuaivaa rikiada ivaki pikiada diitada aataruuvau vida tooduu aakiapuaivo vaa suai raari roopinnai iya toovoono iya too vainno iya tauraa vitoo vioo vioo nnaakaraivo varuu nnauvo vauvau diravai. 
MAT.2.10	Duduu iya aakiapuaivaa teeda kaayauma sirigauduu iya ausaiyauvo yoketairavai. 
MAT.2.11	Yoketauduu iya nnauvaki oro nnaakaraivaata kaanaa Mariaannaatama teeda toorivu yau harada ngiari ausa mmuduuyaiyauvaa nnaakaraivaa mmiravai. Mmida ngiari utuaiyauvakidiri mminnaa yoketaiyauvaa kati inna mmida voovoono sikau mmannaammannauvaa nnutuuvo gooraivaa inna mmuduu voovoono yatari ranaivaa hudooduu suuda yoketaa vuuvaa inna mmuduu voovoono kupuuvaa roosuuvaa nnutuuvo miiraivaa inna mmiravai.
MAT.2.12	Mmi taika kiada oro vuru vaida ruvuaataivaa tooduu Anutuuqo yaagueeqama iya kiaa mmioo tunoo: Sa keenaa Herootaasi kuatee, tuduu rikiada ari vo aataru voovaugiataa ngiari yoosinna viravai.
MAT.2.13	Iya vida kiooduu Yoosiipo vainno ruvuaataivaa tooduu Udaangaivaa aangeraa voovoono tuma inna kiaa mmioo tunoo: Diitee nnaakaraivaata ari kaanaatama vitee yoosinna Iyiipa Herootaa yaatu kuanee. Herooto tinai ari ngiaammuauya nnaakaraivaa ruputikio putuaiveeraivaara fai innara buaama rada nookiaaravai. Ivo itaama iinaraivaara Iyiipa viee ivaki varinanai neenoo kava i tinai rikiee pikiee aapi ngianee, 
MAT.2.14	tuduu rikioo Yoosiipo heenaki diitoo nnaakaraivaata kaanaatama vitoo Iyiipa vioo vioo 
MAT.2.15	oro ivaki varududuu Herooto putiravai. Nnaaru vaidi forofetaa voovoono Udaangaivo inna kiaa mmuu kuaivaa fafaarainno tunoo: Na ni Maapuuvaa Iyiipadiri kiaaduu nniravaivee, tiravai. Iya Iyiipa vuduu ii kua ivaa kaanaivo vairavai.
MAT.2.16	Vaidi suai raari roopinnaiya Herootaa yokekiaa kiada vuuvaara rikiooduu inna ausaivo pinaama nnannatooduu Herooto vaidi vooya titooduu Pitiriheema ivaki vida mmuakiaa vainima vau yoosinnaiyauvaki vida ngiaammuau taara nuanu varooyaata iya nnaagiai mmatooyaatama ruputuduu putiravai. Tauraa vaidi suai raari roopinnaiya tooduu aakiapuaivo iya too vau suaivakidiri mmatoo nnaakaraiyaata nnaagia nnaagiai mmatooyaatama ruputuduu putiravai.
MAT.2.17	Nnaaru vaidi forofetaa voovai nnutuuvo Yirimiaava ivaara fafaara roo tuuvaa kaanaivo vairavai. 
MAT.2.18	Yirimiaava tunoo:
MAT.2.18	Yoosinna Ramaivaki gioonna kiaapuuya
MAT.2.18	kaayau rateera akuaivaata
MAT.2.18	yaagueeqa aayannaivaatama rikiaavai.
MAT.2.18	Raheeraa nneeditunnaiya
MAT.2.18	ngiari nnaakaraiyara ratadada
MAT.2.18	iya vaa putu taikaivaara mmannammanna rataavai.
MAT.2.18	Iya seenaiya iya ausaiyauvaa tuqinnaaree kiaa
MAT.2.18	iidada taavo hama yoketaivaivee.
MAT.2.18	Forofetaa Yirimiaavaano itaa kua tiravai.
MAT.2.19	Herooto vaa putuduu Yoosiipo Iyiipa hara kioo varioo vainno ruvuaataivaa tooduu Udaangaivaa aangeraa voovoono tuma inna kiaa mmioo tunoo: 
MAT.2.20	Diitee nnaakaraivaata ari kaanaatama vitee yoosinna Isarairaivaki kuanee. Vaa vaidiiya nnaakaraivaa ruputuaara uuya putiravaivee, 
MAT.2.21	tuduu rikioo diitoo nnaakaraivaata kaanaatama vitoo yoosinna Isarairaa viravai.
MAT.2.22	Vioo vioo Yoosiipo Yutayaa ivaki varinaree kiaa rikiooduu Akiraaso ari koonna Herootaa mmaataivaa varoo Yutayaiya kieetavai varuduu rikioo ivaki kuanaraivaara aatuuravai. Aatuunno vainno ruvuaataivaa tooduu Anutuuqo inna kiaa mmuu kuaivaa rikioo iinno yoosinna pinaa Karirayaara vioo vioo 
MAT.2.23	oro yoosinna kiisa voovai nnutuuvo Nasareeta hara kioo variravai. Nnaaru vaidi forofetaiya fafaaraida tunoo: Fai vaidiiya Anutuuqo mmataama kioo vaidiivaara kiaara: Nasareetaa vaidivaivee, kiaaravaivee, tiravai. Yoosiipo oro Nasareeta hara kioo varuduu forofetaiya itaa kua tuuvaa kaanaivo vairavai.
MAT.3.1	Vo suai suai voovaki Yuvuaano nnoori apira vaidiivo numa Yutayaa ivaki vau mmata voovai koo mmuyai gaangaivau nuainno varioo Anutuuqaa mmayaayaivaa gioonna kiaapuuya kiaa mmioo iya tunoo: 
MAT.3.2	Ngiingii mminnamminnaa maisaiyauvaa pikiada ausa hanigiaatee. Anutuuqo gioonna kiaapuuyara dira suaivo aa vainima nninoo, tiravai. 
MAT.3.3	Nnaaruaa vaidi forofetaa Yisayaava Yuvuaanaara aa kua aavaa fafaara roo tunoo:
MAT.3.3	Vaidi voovoono koo mmuyai gaanga voovau
MAT.3.3	dioo vainno aayanna roo tinara:
MAT.3.3	Ngia ngii kieetaivaara
MAT.3.3	aataruuvaa teerairaivaa roosiima
MAT.3.3	ngii Udaangaivaara teerama kiaatee.
MAT.3.3	Udaangaivo ngiiisi nninaraivaara
MAT.3.3	teeraida safuuma kiaatee, tiravai.
MAT.3.4	Yuvuaano puara kamera yaasiivaadiri yaapaivaa roosiima iima uyu kioo nnabaivaadiri vausaivaa iima kioo ari tammaivaki rau kioo kaisaivaa nnoo ngengengoongaivaa suuyaivaa nneeravai. 
MAT.3.5	Mmuakiaa gioonna kiaapu Yerusareemaiyaatama vo yoosinna vo yoosinna Yutayaa ivaki vau yoosinnaiyaatama nnoori Yorotaana vainima varuuyaatama Yuvuaanaasi vida 
MAT.3.6	ngiari mminnamminnaa maisaiyauvaa Anutuuqaa kiaa kookieema kiooduu nnoori Yorotaanaivakidiri Yuvuaano iya apiravai.
MAT.3.7	Apuoo varioo tooduu vaidi Farisai vooyaata vaidi Satuukai vooyaatama nnoori varaaraivaara innasi nnuduu too iva iya tunoo: Ngia vaidi maisaso, gioono ngii giaa ngii mikiai ngia Anutuuqo irisai maisaivaa ngii minaraivaara rikiadaida aatuuda niisi ngiaannee? 
MAT.3.8	Ngia kutaa tuanaa ngiingii mmoori maisaiyauvaa pikiada ngiingii ausaiyauvaa hanigia kiada mmoori yoketaivaa iikio kaanainai na teenai niisi ngiatee. 
MAT.3.9	Sa ngiengienaidiri yaata utida kiatee: Inna Aaparahaamo ti rubuungovee. Ta aikiooma variaunnanoo, kiatee. Na ngii giaa ngii miaunoo. Aa sikau aayauvaadiri Anutuuqo iinaree tioo iinai vida hanigiada fai Aaparahaamaa uru nnaakaraya variaaravai. 
MAT.3.10	Aanna makee Anutuuqo irisai maisaivaa mminaraivo vaidiivo haivaa yatariiyauvaa oyaiyauvaki teerama kioo tu kioo vaivaa roosiivai. Yatari hama iira yoketaa vaivaa fai hanaa rakau ikiana kagaari kiaanaravai.
MAT.3.11	Ngiingii ausaiyauvaa hanigiada yoketaama variaivaara na mmanna nnooriivaadiri ngii apuaunoo. Vaidi ni nnaagiai nninaraivo nnoonna vaidivai. Na kiisa vaidivai. Hama na yopeema mmoori vareera ngiaammuauvai roosiima variee inna yuku nnabaivaitana varee kuanaravai. Fai ivoono Anutuuqaa Mmannasa Yoketaivaa tino too ngia vaa ausa hanigiaiya ngii aakiaiyauvaki varinaravai. Ngia hama ausa hanigiaiya fai irisai maisa ikia roosiivaa ngii mminaravai. 
MAT.3.12	Vaidiiya yeenna vuiitaivaa savooraivaadiri uyu kagaari kiada kaanaivaa vareerayaama ivoono ari savooraivaadiri varoo vuiita iiraiyauvaa rummua rusuku kioo supiya uyu ngiau kiaikio iiraiyauvo mmatayaa tuoo kuaikio varoo ari yeenna yapeera nnauvaki yapa kioo nnabaiyauvaa varoo ikiaivo hama tasuuvaki kagaari kiaanaravaivee, tiravai.
MAT.3.13	Ii suai ivaki Yisuuva yoosinna Karirayaa pikioo Yuvuaano inna nnoori apuaiveera nnoori Yorotaana ivaki nniravai. 
MAT.3.14	Numa duduu Yuvuaano inna ooqoo tinara iinno tunoo: A aaniira niisi ngiannannee? Eenoo ni apinaraivo inna yoketaavaivee, 
MAT.3.15	tuduu rikioo Yisuuva inna sai tunoo: Inna aikioovai. Aanna makee eenoo ni apuanee. Ta itaama iida Anutuuqo mmuakiaa mmoori aataru yoketaivaa ti kiaa ti mmiivaa iikiaaravee, tuduu rikioo Yuvuaano ee-oo tiravai.
MAT.3.16	Kiaa kioo Yisuunna nnoori apu kioo saivaata Yisuuva nnooriivakidiri numa dioo vainno reeri tooduu ngiauvo rusiti varoo vioo sai ngioo sauduu Anutuuqaa Mmannasaivo ngiaamma mirunnaivaa roosuuvoono tuoo tuoo tuma innayaa variravai. 
MAT.3.17	Varuduu rikiooduu ngiau aapuuvakidiri Anutuuqaa kuaivo tuoo tunoo: Inna ni Maapu tuanaivovee. Na innara mmuduuya ruee na inna tauko pinaama ni yoketainoo, tiravai.
MAT.4.1	Sataango Yisuunna iinno teeno ivo muaraagakiainaaree kiaa uuduu Mmannasa Yoketaivoono Yisuunna vitoo koo mmuyai gaanga voovaura viravai. 
MAT.4.2	Oro kiooduu hara kioo varuduu ikianna heenaiyauvo taara vaidivaitana yuku yaaku taika kiooduu Yisuuva yeennaivaa hama nneerama kioo kati varududuu nnaagiai pinaama inna yeenna rairavai. 
MAT.4.3	Inna yeenna rauduu Sataango numa inna tunoo: A Anutuuqaa Mmaapukuavee tiee aa sikau aayauvaa tino too hanigioo yeenna bereetayauvai vakiaivee, 
MAT.4.4	tuduu rikioo Yisuuva inna sai tunoo: Anutuuqaa kua fafaaraivo vainno tinoo: Gioonna kiaapu voovoono yeennaiyauvaa nnaasu nnaivoono hama yaagueeqaivaa inna mmiivai. Anutuuqaasidiri tii kua mmuakiaavai rikiaivoono yaagueeqaivaa inna mmiivai. Kua fafaaraivoono itaa kua tiivaivee, 
MAT.4.5	tuduu rikioo Sataango Yisuunna vitoo yoketaa yoosinna Yerusareema vioo nuunaira nnau pinaivaa pupukiaivau yapa kioo inna tunoo: 
MAT.4.6	A Anutuuqaa Mmaapukuavee tiee suairoommu kiee kuanee. Anutuuqaa kua fafaaraivo vainno tinoo:
MAT.4.6	Fai Anutuuqo ari aangeraiya titanai
MAT.4.6	aiyara haitatuukiaaravee.
MAT.4.6	Ai yukuuvaa sikauyaadiri
MAT.4.6	rusimmaurivoora kiaa
MAT.4.6	iya ngiari yaakuuyauvaadiri
MAT.4.6	suoodaa i sootu utuaaravaivee.
MAT.4.6	Inna kuaivo itaa kua tiivaivee, 
MAT.4.7	tuduu rikioo Yisuuva inna sai tunoo: Anutuuqaa kua fafaara voovai vainno tinoo: Sa i Udaanga Anutuuqaa iinna taanee, tiivaivee, 
MAT.4.8	tuduu rikioo Sataango kava Yisuunna vitoo oora taapi hokobaivau yapa kioo mmuakiaa vo mmata vo mmataiyauvaata mmuakiaa mminnaa yoketaiyauvo ivaki vauyauvaatama inna vitairavai. 
MAT.4.9	Vitaama kioo tunoo: Fai a niiyara toorivu yau haree ai ausa mmuduuyaivaa ni minai fai na aa mmuakiaa aayauvaa i mminaravaivee, 
MAT.4.10	tuduu rikioo Yisuuva inna sai tunoo: Sataango, ngieera kuanee. Anutuuqaa kua fafaaraivo vainno tinoo: A Udaanga Anutuuqaa ai ausa mmuduuyaivaa mmiee inna mmooriivaa nnaasu iikianee, tiivaivee, 
MAT.4.11	tuduu rikioo Sataango inna pikioo vuduu aangeraiya tuma inna haitatuuravai.
MAT.4.12	Yisuuva vaidiiya Yuvuaanaa oovi nnauvaki yapa kioo kuaivaa rikioo mmata Karirayaa ivaura viravai. 
MAT.4.13	Vioo yoosinna kiisa Nasareeta pikioo vioo nnoori haruunga Karirayaa vainima vau yoosinnaivaa nnutuuvo Kapanauma oro ivaki hara kioo variravai. Ii mmata ivo nnaaruaa vaidiivaitana Seporoonaya Nafataraiya mmatavai. 
MAT.4.14	Nnaaruaa vaidi forofetaa voovai nnutuuvo Yisayaava fafaara roo kuaivaa Yisuuva uuvaa kaanaivo vairavai. Yisayaava fafaara roo kuaivo vainno tinoo:
MAT.4.15	Nnoori Yorotaana sainai
MAT.4.15	nnoori haruunga vainiivau
MAT.4.15	Seporoonaya Nafataraiya mmataivo vauduu
MAT.4.15	ii mmata ivaa nnutuuvo Karirayaa ivaki
MAT.4.15	vaidi hama Anutuuqaa kua rikiooya variaanoo.
MAT.4.16	Vaidiiya heenaivaki variaaneema
MAT.4.16	iya varida fai mmeekia pinaivaa taaravai.
MAT.4.16	Iya putira yoosinnaivaa
MAT.4.16	heenaki roosiima variaiya teekio
MAT.4.16	fai mmeekiaivo taanaravaivee.
MAT.4.16	Yisayaava fafaara roovo itaa kua tiivai. 
MAT.4.17	Ii suai ivakidiri Yisuuva Anutuuqaa mmayaayaivaa gioonna kiaapuuya kiaa mmioo tunoo: Ngiingii mminnamminnaa maisaiyauvaa pikiada ngiingii ausaiyauvaa hanigiaatee. Anutuuqo gioonna kiaapuuyara dira suaivo aa vainima nninoo, tiravai.
MAT.4.18	Yisuuva nnoori haruunga Karirayaa siriivau nuainnonno tooduu tavau vareera vaidi kato vayoovaitana Simoono vuai nnutuuvo Petorooso ari kataivo Adiriaasooya ngiari utua vaaheevaa tavaura nnooriivaki kagaari kiada tu kiada vauduu 
MAT.4.19	Yisuuva ivaitana tunoo: Ngia ni nnaagiai nnikiai na ni kuaivaa ngii giaa ngii minai ngia tavau vareerayaama gioonna kiaapuuya vitada niisi ngiatee, 
MAT.4.20	tuduu rikiada makee tuduu ivaitana ngiari utua vaaheeyauvaa pikiada inna nnaagiai viravai.
MAT.4.21	Ivakidiri vidada Yisuuva tooduu vo vaidi kato vayoovaitana Yakoopooya Yuvuaanaya Sevetainna mmaapuuvaitana ngiari gioonna tasipama kanuuvaki varida ngiari utua vaaheeyauvaa sapiraida variravai. Sapiraida varida tooduu Yisuuva ni nnaagiai ngiateera ivaitanaara aayanna rooduu 
MAT.4.22	kanuuvaki ngiari gioonna pikiada makee tuduu Yisuunna nnaagiai viravai.
MAT.4.23	Yisuuva nuainnonno mmuakiaa yoosinnaiyauvo Karirayaa vauyauvaki vioo ngiari nuunaira nnauyauvaki vioo Anutuuqo gioonna kiaapuuyara dira mmayaaya yoketaivaa iya kiaa mmioo mmuakiaa nniitaroo ari vookara ari vookarauyauvaa tuqinneeravai. 
MAT.4.24	Tuqinnooduu iva uu mmayaayaivaa mmuakiaa yoosinna Suriaa varuu gioonna kiaapuuya rikiada mmuakiaa ari vo nniitaroo vo nniitarooyaata mmagia maisaiya iya aakiaiyauvaki varuuyaatama makemakee putida vaida kava diitooyaata yuku yaaku putuuyaatama vitada Yisuunnasi nnuduu iva iya tuqinneeravai. 
MAT.4.25	Tuqinnooduu kaayau gioonna kiaapuuya Yisuunna nnaagiai viravai. Gioonna kiaapu Karirayaivakidiriaatama vuduu yaakuuvaitana vau yoosinnaiyauvaa nnutuuvo Dikaporiisaivakidiriaata vuduu Yerusareemaivakidiriaatama vuduu Yutayaivakidiriaata vuduu nnoori Yorotaana sainai varuuvakidiriaatama Yisuunna nnaagiai viravai.
MAT.5.1	Yisuuva kaayau gioonna kiaapu innasi nnuuya too taapi kiisaivau vioo ivau hara kioo varuduu ari ngiaammuauya innasi vuduu too 
MAT.5.2	ari kuaivaa iya kiaa mmioo varioo tunoo:
MAT.5.3	Gioonna kiaapuuya ngiariiyara kiaanoo: Hama ta yopeema Anutuuqaa roosiikiaunnayavee, kiaiyara Anutuuqo iyara yoketainoo. Anutuuqo gioonna kiaapuuyara diraivo vaa iyasi vainoo.
MAT.5.4	Gioonna kiaapuuya ausa mmuaararaivaa varada ratada variaiyara Anutuuqo iyara yoketainoo. Anutuuqo iya ausaiyauvaa tuqinnaanaravai.
MAT.5.5	Gioonna kiaapuuya tirooma adida variaiyara Anutuuqo iyara yoketainoo. Anutuuqo kua kutaivaa tioo iya mminaraivaa fai iya varaaravai.
MAT.5.6	Gioonna kiaapuuya Anutuuqaa aataru yoketaivaara mmuduuya rida safuuma iya iikiataiyara Anutuuqo iyara yoketainoo. Fai Anutuuqo ari aataru yoketaa mmuakiaavai iya vitaino iya yoketainaravai.
MAT.5.7	Gioonna kiaapuuya ngiari seenaiyara boo kiaiyara Anutuuqo iyara yoketainoo. Anutuuqo fai iyara boo tinaravai.
MAT.5.8	Gioonna kiaapuuya iya aakiaiyauvo yamaama vaiyara Anutuuqo iyara yoketainoo. Fai iya Anutuuqaa taaravai.
MAT.5.9	Gioonna kiaapuuya rapiraivaara ooqoo tiraiyara Anutuuqo iyara yoketainoo. Fai Anutuuqo iyara tinara: Iya ni naunna maapu tuanaayavee, tinaravai.
MAT.5.10	Gioonna kiaapuuya safuuma varira aataruuvaa iikiaani vooyaano kuminayaa mmuaararaivaa iya mmiaiyara Anutuuqo iyara yoketainoo. Anutuuqo gioonna kiaapuuyara diraivo vaa iyasi vainoo.
MAT.5.11	Ngia ni nnaagiai ngiaivaara gioonna kiaapuuya ngiiiyara maisa kua tida mmuaararaivaa ngii mida ngiiiyara unnakua unnakua tikiai sa yaata utuatee. Anutuuqo ngiiiyara yoketainoo. 
MAT.5.12	Irisai yoketaivo ngiiini ngiau aapu vaivaara yaata utida sirigaida variatee. Maisa mmooriivaa ngiiiyara iikiaaneema gioonna kiaapu vooya nnaaru varuu forofetaiyara iiravai.
MAT.5.13	Gioonna kiaapu mmatayaa variaiya ngiari yeennaiyauvunu yorokuuvaa haata kiada nneeda taavo iya yoketaineema ngia yorokuuvaa roosiima variaani gioonna kiaapuuya ngii taavo iya yoketainoo. Yorokuuvo vainnonno maisainai fai ngia aaniivaadiri iikio kava yoketainarannee? Hama yopeemavee. Vaa maisaikiai kati kagaari kiaani gioonna kiaapuuya ivau yuku raavai.
MAT.5.14	Gioonna kiaapu mmatayaa diaiya ngia iya mmeekiaivaa roosiikiaaya variaanoo. Yoosinna pinaivo taapiivau vaivo hama yopeema fai haumaki vainaraivaa roosiima ngia variaanoo. 
MAT.5.15	Hama gioonna kiaapu voovoono toobaivaa subi kioo varoo oro yapa kioo yavaivaa varoo toobaivau tuarapuatikama rummua apu kiaikio vaivai. Ivo toobaivaa varoo kiikoo koovau hirivai. Hiri kiaikio mmuakiaa gioonna kiaapu nnauvaki variaiyaki mmeekiaivo taivai. 
MAT.5.16	Itaama vainai ngia mmoori yoketaivaa iikiaivaa gioonna kiaapuuya teeda Anutuuqo ngiau aapu variivaara kua yoketaivaa kiateeraivaara ngia toobaivaa roosiima variatee.
MAT.5.17	Sa ataa kua yaata utida kiatee: Ivo Anutuuqaa mmaanna tuu aataruuyauvaatama forofetaiya kua kiaa mmira aataruuyauvaatama hatokaanara tiiravaivee, kiatee. Hama na iyauvaa hatokaanara tiiravai. Ii kua mmaanna iyauvaa kaanaiyauvo vakiaiveeraivaara na tiiravai. 
