GEN.1.1	Kechengsi, Arnam sining-heihei lapen pirthe kepinchong ahut, 
GEN.5.1	Adam a-ove-heihei aloh lahelo. Arnam monit kepinchong ahut Alangli, laphan Arnam a-arje asonthotsi thip-lo. 
GEN.5.2	Latum aphan Alangli pinso lapen arlo pinchong-lo, lapen latum aphan Alangli ahirjume pilo, lapen latum aphan kepinchong ahut Monit pusi amen irlo. 
GEN.5.3	Adam arta ningkan pharo isira thomkep ahut, la inut a-oso apo plang-lo, lapen amethang a-arje asonthot kechinglit, methang a-arje chedunlo, lapen amen Seth irlo. 
GEN.5.4	Lapen Seth amahang thekdet aphi Adam arta ningkan 800 lo; lapen alangli asopo asopimar atum dolang. 
GEN.5.5	Lasonsi Adam akai ningkan 930 reng-lo; lapen alangli thi-lo.
GEN.5.6	Seth arta ningkan 105 ahut alangli Enosh apo plang-lo. 
GEN.5.7	Enosh amahang thekdet aphi Seth ningkan 807 reng-lo, lapen alangli asopo lapen asopimar atum do. 
GEN.5.8	Lasonsi Seth akai arjon ningkan 912 reng-lo, lapen alangli thi-lo.
GEN.5.9	Enosh arta ningkan 90 ahut la Kenan apo plang-lo; 
GEN.5.10	Kenan amahang thekdet aphi Enosh ningkan 815 reng-lo, lapen asopo lapen asopimar atum do. 
GEN.5.11	Lasonsi Enosh akai ningkan 905 dolo lapen alangli thi-lo.
GEN.5.12	Kenan arta ningkan 70 ahut alangli Mahalalel apo plang-lo. 
GEN.5.13	Mahalalel mahang thekdet aphi Kenan ningkan 840 reng-lo, lapen asopo lapen asopimar atum do. 
GEN.5.14	Lasonsi Kenan arta ningkan 910 dolo lapen alangli thi-lo.
GEN.5.15	Mahalalel arta ningkan 65 ahut, alangli Jared apo plang-lo. 
GEN.5.16	Jared amahang thekdet aphi Mahalalel ningkan 830 reng-lo, lapen asopo lapen asopimar atum do. 
GEN.5.17	Lasonsi Mahalalel arta ningkan 895 dosi, alangli thi-lo.
GEN.5.18	Jared arta ningkan 162 ahut alangli Enok apo plang-lo. 
GEN.5.19	Enok amahang thekdet aphi Jared ningkan 800 reng-lo, lapen asopo lapen asopimar atum do. 
GEN.5.20	Lasonsi Jared arta ningkan 962 dolo, lapen alangli thi-lo.
GEN.5.21	Enok arta ningkan 65 ahut alangli Methuselah apo plang-lo. 
GEN.5.22	Methuselah amahang thekdet aphi Enok, Arnam pen pen ningkan 300 kengkam chejor-rappet-lo, lapen asopo-asopimar atum do. 
GEN.5.23	Lasonsi Enok akai ningkan 365 dolo. 
GEN.5.24	Enok Arnam pen pen kengkam chejor-rap-rap-lo; lapen alangli avedet-lo, athema alangliphan Arnam pondet-lo. 
GEN.5.25	Methuselah arta ningkan 187 ahut alangli Lamek apo plang-lo. 
GEN.5.26	Lamek amahang thekdet aphi, Methuselah ningkan 782 dolo, lapen asopo-asopimar atum do. 
GEN.5.27	Lasonsi Methuselah arta ningkan 969 dosi alangli thi-lo.
GEN.5.28	Lamek arta ningkan 182 ahut, alangli inut a-osopo apo plang-lo, 
GEN.5.29	lapen alangli hala amen Noah pusi irlo lapen pulo, “Arnam ahirjuno kepitang alongle, eli kam lapen eri asai-heihei pen kechepaduknang pen bangso abang epasangpo.” 
GEN.5.30	Noah amahang thekdet aphi Lamek ningkan 595 reng-lo, lapen asopo-asopimar atum do. 
GEN.5.31	Lasonsi Lamek akai ningkan 777 an reng-lo, lapen alangli thi-lo.
GEN.5.32	Noah arta ningkan 500, Noah ke Shem, Ham, lapen Japheth apo plang-lo.
GEN.6.1	Pirthe athak monit atum kechan pangcheng-lo, lapen latum aphan asopimar atum mahang pathekpilo, 
GEN.6.2	Keklotang Arnam asopomar atum monit asopimar atum arje langmesen thek-long-lo; lapen latum aphan chongvaisi latum halatum pen che-en chedolo. 
GEN.6.3	Anke 
GEN.6.4	Halaso ahut Nephilim atum pirthe athak dolo, latum monit asopimar atum pen pen chopatherap asolo. Lahei atum hako ahut ingtangrak lapen anong chethanghu amonit atumlo. 
GEN.6.5	Pirthe athak monit akun langnopik-lo, Arnam la thek-long-lo, lapen latum aning kematha asontin ta kehingno saide. 
GEN.6.6	Lapen pirthe athak 
GEN.6.7	La apotsi 
GEN.6.8	Bonta 
GEN.6.9	Noah a-ove-heihei lahei helo. Noah inut dhoromi amonit, a-ove ahut alangliphan kejong adim ave; Noah, Arnam pen-pen kengkam chejorrap-rap-lo. 
GEN.6.10	Lapen Noah asopomar bangkethom do, Shem, Ham lapen Japheth. 
GEN.6.11	Non Arnam angno pirthe chehotang-lo lapen pirthe kephalangno si plengthup-lo. 
GEN.6.12	Lapen Arnam pirthe langsi thek-long-lo, la chehopik-lo; athema ok kedo-an halatum atovar pirthe athak ahokpetpe det-lo. 
GEN.6.13	Lapen Noah aphan Arnam pulo, “Ne kadokave ok an pavir-etpo pusi mathathip-lo; athema latum pen ajok pirthe kephangno plengset-lo, langtha, pirthe pen Ne latum aphan pavirdetpo. 
GEN.6.14	Thengjangthu pu akapat pen telong ehum kimnon, lapen telong ingdenghini binon, lapen la athak alkatra vitnon. 
GEN.6.15	Lasonle nang telong selamnon: Telongkeding ingrup 300, la arpan ingrup 50, lapen kangtui ingrup 30. 
GEN.6.16	Telong asarnung selamnon lapen la ingrup isi pangtuira patangnon; lapen la akung anat inghap selamnon, la abersi athengsong anghap selamnon. 
GEN.6.17	Athema langtha, pirthe athak sining aber achethe-kerengphun api an kepavirjisi lang-heihei alangthepi Ne nangtoipo; pirthe athak kedo-an amar thipo. 
GEN.6.18	Bonta nang pen Ne kechejok aloh pathikpo, lapen nangtum telong arlo vangpo, nang, lapen nangsomar atum, nangpiso lapen nangmunpi atum. 
GEN.6.19	Lapen ok kedo-an kereng-et asontin amar, nang echor-echor ajattin telong arlo vanpo, latum nang pen pen kerengrappetji aphan; lahei api lapen alo donangpo. 
GEN.6.20	Vo ta ajattin, marat api ajattin, longle athak keklim api ajattin, ta nanglong arlo nang arludunpo, halatum kereng-longji aphan lo. 
GEN.6.21	Kechome ahormu ajat an, lapen la pangrumra binon; lapen la nangtum aphan an plangpo, lapen halatum aphanta lo.” 
GEN.6.22	La Noah klemlo; la aphan Arnam hukum kepi ason an klempi-et-lo. 
GEN.7.1	Anke Noah aphan 
GEN.7.2	Nanglong chor throksi kangthir-et api cheponnon, alo lapen api, lapen kangthirthe api echor, alo lapen api, 
GEN.7.3	lapen kangjar avo chor throksi, alo lapen api, latum ajat pirthe athak kepadoji aphan. 
GEN.7.4	Athema ni throksi aphi Ne pirthe athak jophlikep niphlikep arve pajangji lapen Ne kepinchong achethe kedo-an asontin pirthe athak pen Ne pavedetji.” 
GEN.7.5	Lapen Noah aphan 
GEN.7.6	Pirthe athak langthepi kevang ahut Noah arta ningkan pharo throk. 
GEN.7.7	Noah lapen asopomar lapen apiso lapen amunpimar atum pen pen alangli lang-heihei alangthepi pen kejokji aphan telong arlo lutdamlo. 
GEN.7.8	Kangthir api lapen kangthirthe api, lapen vo atum, lapen longle athak keklim api an, 
GEN.7.9	jonni jonni alo lapen api-heihei Noah pen pen Arnam Noah aphan hukum kepitang ateng pen telong arlo lutdamlo. 
GEN.7.10	Lapen ni throksi aphi langhei-hei alangthepi pirthe athak vang-lo.
GEN.7.11	Noah arta ningkan pharothrok ahut hini achiklo, krethroksi arni, halaso arni longle arlo kedo-an lang-amek ingbob et-lo, lapen sining-heihei anghap chingpudang-lo. 
GEN.7.12	Lapen pirthe athak jophlikep niphlikep arve jang-lo. 
GEN.7.13	Halaso arni amat Noah lapen asopo atum, Shem Ham lapen Japheth, lapen Noah apiso, lapen alangli sopo atum apiso bangkethom halatum pen pen telong arlo lutdamlo, 
GEN.7.14	latum lapen ajattin api, kepangreng api halatum ajattin, lapen longle athak keklim api ajattin, avo ajattin. 
GEN.7.15	Latum Noah pen pen telong arlo lutdamlo, echor-echor achethe kevangphun api kedo-an. 
GEN.7.16	Lapen latum api-alo lutdamlo, ok api an, alangliphan Arnam hukum kepi ateng pen lutdamlo. Anke Noah chethapdet aphi 
GEN.7.17	Pirthe athak langthepi jophlikep niphlikep dobomlang; lapen lang thebomlang, lapen telong panglang-lo, lapen la pirthe athak inglangpong-lo. 
GEN.7.18	Langhei-hei dothip lo lapen pirthe athak jasemetsi thelo; lapen telong lang-heihei athak inglangpong-lo. 
GEN.7.19	Lapen lang-heihei pirthe athak lapu-an thelo, sining aber kedo anglongpi-heihei kangtui an ta pip-et-lo; 
GEN.7.20	inglongpi-heihei athak anta lang inglum-et-lo, lahei aphan ingrup 15 apar inglum lo. 
GEN.7.21	Lapen pirthe athak chethe kedo api an thi-et-lo, vo, chainong, pi atum, pirthe athak keklim api anta, lapen monit kedo an; 
GEN.7.22	kekrengtai longle athak chethekevang api an thi-et-lo. 
GEN.7.23	Pirthe athak kereng-et api an monit, marat api lapen vo kedo-anta 
GEN.7.24	Lang ni 150 an sanserek-lo.
GEN.8.1	Noah lapen alanglilong telong arlo kedo api atum an aphan Arnam tengnenelang; Alangli tomon pajap-lo, lapen anke lang kethep pangcheng-lo. 
GEN.8.2	Pirthe alongle arlo pen lang amek an lapen sining angsong langthepi anghap-heihei ingkir-et-lo. Arve ingtonkok-lo, 
GEN.8.3	lapen ni pharo isira ni phokep an lang kethep apor enlo. 
GEN.8.4	Throksi achiklo ni kre throksi arni Ararat Anglongpi aren along telong nangsakok-lo. 
GEN.8.5	Lang nangthep-bomlang, lapen kep achiklo kecheng arni Inglongpi aphuchong-heihei nangklang-lo.
GEN.8.6	Ni phlikep arni aphi Noah inghapso ingpulo, 
GEN.8.7	lapen vo-ak lo pangcheng-lo. La nangchiruiredet-lo, bonta lang hamhetik an la adung-arei kangjar pakongvaibomlo. 
GEN.8.8	Puthot lang ham loma hamhelangma kelangjisi Noah vothung ejon lothulo, 
GEN.8.9	bonta lang pirthe kedipthip-bomlang thek-longsi vothung kesangji adim longledet-lo, la puthot telong along chevang-thujuilo, lapen Noah nepdunsi arlo vandet-lo. 
GEN.8.10	Alangli ni throksi inghongthulo, lapen puthot vothung alangli lo thulo. 
GEN.8.11	Laso avothung arnikangsam apor alanglilong puthot angho jit arvo angjok ing-omdongsi vanlo. Ansi lang theptang-lo pu Noah chinilo. 
GEN.8.12	Puthot ni throksi alangli inghongsi vothung lothulo. Laso aphong abang ke la nang-chiruiredet-lo.
GEN.8.13	Noah arta ningkan 601 an ahut, kecheng achiklo kecheng arni, lang kreng-lo. Noah telong asarnung oi-lo, lapen lang-lo, lapen longle kekreng thek-long-lo. 
GEN.8.14	Hini achiklo ni ingkoira throksi arni an pirthe alongle krengpamelo.
GEN.8.15	Noah aphan Arnam pulo, 
GEN.8.16	“Nangpiso, nangsomar atum lapen nangmunpi atum penpen telong pen barnon. 
GEN.8.17	Achethe kedo, nanglong kedo vo, pi atum, pirthe athak keklim api an pirthe athak kechanjile nang pon-et non, lapen pirthe athak pachanri-pachanjai lonang.” 
GEN.8.18	Lasi Noah damlo, lapen asomar lapen apiso lapen asomar apiso atum anta damlo. 
GEN.8.19	Lapen pi ajat an, keklim api an, vo ajat an, lapen pirthe athak keklim api an telong pen achor achor barlo.
GEN.8.20	Anke 
GEN.8.21	Lapen 
GEN.8.22	Pirthe dotik ke chili kerik apor, lapen kerot-kerim apor, kechung lapen kephang-ok, barla lapen ningkreng, ajo lapen anerlo, dobompo.”
GEN.9.1	Noah aphan lapen asomar aphan Arnam ahirjume pilo, latum aphan pulo, “Chanri-chanjaira pirthe paplengsetnon. 
GEN.9.2	Pirthe athak pi kedo-an lapen kangjar avo atum, longle athak keklim api an, lapen talo along a-ok kedo-an nangphan pherepo lapen pherepikpo; lahei nangridengsi hodai-et-lo. 
GEN.9.3	Kereng-et amar an nangphan, lapen nangphan kelirtir arvo ason nangkepi asonthotsi, Ne nangphan asontin amar nangpi-et-lo. 
GEN.9.4	Nang, achethe pen monit a-ok-le choche-chotnon, lapen pi a-ok seta la avi kedolang a-ok chochedetnon, pima vi along chethe do. 
GEN.9.5	Mane jongsi monit apran endet pulote, alangliphan aduk pipo, lapen Monit kepathi aphan kepathi api aphan seta kethi anpin aduk Ne piji. 
GEN.9.6	Monit aphan ke Arnam asonthotsi pinchong-lo, la apotsi monit inut pran karmut abangphan monitsi la aphanta pathipo. 
GEN.9.7	Nangsomar chanri-chanjai nangpo, ongdungsi la pirthe adang paplengset nangji.” 
GEN.9.8	Noah lapen asomar aphan Arnam pulo, 
GEN.9.9	“Langtha, nang lapen nangso-nangsu Ne kechejok aloh chepathiktang-lo, 
GEN.9.10	lapen kereng-et kepinchong api an, vo atum, chainong, lapen nanglong kedo pi amar an pen, telong pen nangkebar an pen chepathirlo. 
GEN.9.11	Laso alam pensi Ne nangpen chechak-lo: Ne chechak-lo, langthepi pen ajok mononphi seta kereng-et amar an pavirvelo; langthepi puthot pirthe pavirve lo. 
GEN.9.12	Nang lapen kereng-et amar api an pen Ne kaike kethirver akechejok angthek lahelo, 
GEN.9.13	inghun-heihei along Ne thai bi po. La ke pirthe pen Ne kechepathik angthek-lo. 
GEN.9.14	Sining-inghun Ne inghun-heihei pen kedipthip ahut lapen mukak nangkeklang ahut, 
GEN.9.15	Ne nangphan lapen pi amar an aputhak chemathapo lapen kereng-et api an aputhak langthepi pen ajok pavirvelo. 
GEN.9.16	Inghun-heihei along mukak nangklang lote Ne la langpo lapen Ne pen kedo-an pirthe athak kereng-et amar angbong kaike kedover akechechak alam chemathadampo. 
GEN.9.17	La ke kereng-et amar an aphan Ne kechechak angthek-lo.”
GEN.9.18	Telong pen kebar Noah asomar atum ke Shem, Ham, lapen Japheth. (Ham ke Kanaan apolo.) 
GEN.9.19	La bangkethom Noah asopo atum ke pirthe athak kedo-an arat atum aphusar atumlo.
