MAT.1.1	Tcgãyas Jeso Krestem dis qhàòs di sa, Dafitem ka tsgõose-coa ba, Abrahamam ka tsgõose-coa ba.
MAT.1.11	ncẽe khóè ne kò tcg'òóè a ko Babilone koe úúè ka.
MAT.1.12	Eẽs séèa tcg'òóku a Babilone koe chùia úúkus qãá q'oo
MAT.1.12	koem kò Jekonia ba Salatiele ba ábà,
MAT.1.12	me Salatiele ba Serobabelem ka xõò me e,
MAT.1.13	me Serobabele ba Abiutem ka xõò me e,
MAT.1.13	me Abiute ba Eliakimem ka xõò me e,
MAT.1.13	me Eliakime ba Asorem ka xõò me e,
MAT.1.14	me Asore ba Satokem ka xõò me e,
MAT.1.14	me Satoke ba Akimem ka xõò me e,
MAT.1.14	me Akime ba Eliutem ka xõò me e,
MAT.1.15	me Eliute ba Eleasarem ka xõò me e,
MAT.1.15	me Eleasare ba Matanem ka xõò me e,
MAT.1.15	me Matane ba Jakobem ka xõò me e,
MAT.1.16	me kò Jakobe ba Josefam ka xõò me e,
MAT.1.16	ncẽe kò Marias dim khóè ba ii ba,
MAT.1.16	ncẽe Jesom ka xõò kò ii sa,
MAT.1.16	ncẽe ko Kreste ta ma tciiè ba.
MAT.1.17	Nxãaska zi kò wèé zi qhàò zi Abrahamam koe guu a síí Dafitem koe tcãà zi 14 zi i, zi kò Dafitem koe guu a síí séèa tcg'òóku a Babilone koe chùia úúkus dim x'aèm koe tcãà ka zi 14 zi qhàò zi i, zi kò séèa tcg'òóku a Babilone koe úúkus dim x'aèm koe guu, a síí Krestem di x'aèan koe tcãà ka zi kò 14 zi qhàò zi i.
MAT.1.18	Ncẽe zi gúù zi kò Jeso Krestem ko ábàè ka kúrúse. Gam ka xõòs Maria sa kò Josefam ka séèkuan tòóa mááèa hãa. Igaba ẽe khara qanega xg'ae ta ga hãa kas kò bóòè a Tcom-tcomsam Tc'ẽem ka ncãàn úúkaguèa. 
MAT.1.19	Gas dim khóèm Josefa ba kò tchànom khóè me e, a kò tc'ẽe tama nxàea tcg'òóan gaan di i, sau-cgaekagu sim gha khama, a ba a kò tcáóa ba q'oo koe bìrísea hãa, cg'uri-cg'uri si tamasem gha q'aa cgoa si sa. 
MAT.1.20	Qanegam hãa a ko ncẽe zi gúù zi ka tc'ẽe-tc'ẽese kam ko moengelem X'aigam 
MAT.1.21	Si gha kg'áòm cóá ba ábà, tsi gha cg'õèa ba Jeso ta ma tcii, Gam di ne khóè nem gha gane di chìbian koe kgoara khama,” témé.
MAT.1.22	Wèéan ncẽea kò kúrúse, nxãasegas gha X'aigam 
MAT.1.23	“Dxàe-coas qanega xóé cgoaè tama sa gha ncãàn úú, a sa a gha kg'áòm Cóá ba ábà, Me gha Emanuele ta ma tciiè,” tam méé, ncẽe sa ko máá, ‘Nqari ba hãa cgoa taa,’ témé.
MAT.1.24	Me Josefa ba tc'oman koe tẽe, a ba a ẽem kò ma X'aigam dim moengele ba ma x'áè mea khama ma kúrú. A ba a síí Maria sa gam dis khóès iise séè. 
MAT.1.25	Igabam kò táá xóé cgoa si, si nxãakg'aiga síí kg'áòm cóá ba ábà. Me cg'õèa ba Jeso ta ma tcii.
MAT.2.1	Jesom Betelehema koe ábàèa hãa, Jutea di i, x'aigam Herotem di x'aèan ka, ka xu kò tco̱nò q'ãa-kg'ao xu cáḿs ko tcg'oa xòè koe guu a Jerusalema koe hàà, 
MAT.2.2	a hàà tẽè a máá: “Gaam ẽe ábàèam x'aigam Juta ne di ba ndaa? Gaam dim tco̱nò ba xae ncãa cáḿs ko tcg'oa xòè za bóò, xae hààraa hãa, hàà xae gha dqo̱m̀ Me ka,” témé.
MAT.2.3	Eẽm ko x'aigam Herote ba ncẽes gúùs ka kóḿ kam kò tcg'áì-tcao, naka wèém x'áém Jerusalema di ba hẽéthẽé e, gam cgoa. 
MAT.2.4	Me wèé xu kaia xu peresiti xu hẽé naka x'áè xgaa-xgaa-kg'ao xu khóè ne di xu hẽéthẽé tciia xg'ae, a tẽè xu nda koe méém ga 
MAT.2.5	Xu bìrí me a máá: “Betelehema koe e, Jutea di i. Ncẽea porofitim kò ma góá hãa ga a khama:
MAT.2.6	‘Tsáá Betelehema tseè,
MAT.2.6	Juta dim nqõóm koe hãa tsi,
MAT.2.6	cg'áré tama tsia x'aiga xu Juta di xu koe.
MAT.2.6	Tsáá koem gha tc'ãà-cookg'ai ba guu a tcg'oa khama,
MAT.2.6	ncẽe gha Tiri ne khóè ne Iseraele di ne kòre ba,’
MAT.2.6	témé,” ta xu méé.
MAT.2.7	Nxãaskam kò Herote ba tco̱nò q'ãa-kg'ao xu kàa ka tciia tcg'òó, a ba a qãèse tẽèa kg'ónò xu dùútsa x'aè kam tco̱nò ba bóòsea sa. 
MAT.2.8	A ba a Betelehema koe tsééa úú xu a máá: “Qõò naka síí Cóám ka qãèse kóḿ, naka ẽe xao kòo hòò Me ne kg'uian tsééa máá te, nakar gha nxãasega tíí igaba síí dqo̱m̀ Me,” témé.
MAT.2.9	Eẽ xu ko x'aiga ba kóḿa xg'ara ka xu kò xgoaba a qõò. Me gaa x'aè kaga tco̱nòm ẽe xu kò cáḿs ko tcg'oa xòè za bóòa ba tc'ãà-cookg'ai xu, a ba a nxãakg'aiga síí Cóám hãa qgáì tc'amkg'ai koe téé. 
MAT.2.10	Tco̱nò ba xu ko bóò ka xu kò kaisase qãè-tcao. 
MAT.2.11	Nquum q'oo koe xu kò tcãà, a Cóá ba bóò xõòs Marias cgoa, a xu a qám̀se a dqo̱m̀ Me, a x'aian di cãan gaxu di xgobekg'am, a gautan di zi gúù zi hẽé, qãè hm̀m̀ xg'ãò tshãán hẽé naka tcgáùse di tshãán hẽéthẽé di zi aba zi tcg'òó a máà Me.
MAT.2.12	Sõokuris q'oo koe xu ko q'ãakaguèa, táá méé xu Herotem koe ka̱bise sa khama xu kò tãám dàò ba séè a gaxu dim nqõóm koe ka̱bise.
MAT.2.13	Eẽ xu qõòa hãa kam kò moengelem X'aigam 
MAT.2.14	Me ẽem ntcùúm ka tẽe, a ba a Cóá ba hẽé naka xõò sa hẽéthẽé séè, a Egepeto koe qõò. 
MAT.2.15	Gaa koem kò hãa, me nxãakg'aiga síí Herote ba x'óó.
MAT.2.15	Ncẽe sa kò kúrúse, nxãasegas gha X'aigam 
MAT.2.16	Eẽm ko Herote bóòa q'ãa, tco̱nò q'ãa-kg'ao xu kam qàe-qaeèa hãa sa, kam kò nxãaska kaisase xgóà, a ba a ncõo-kg'ao xu tsééa tcg'òó, síí xu gha wèé xu cóá xu ẽe cám̀ kuri xu, kana gaxu ka nqãaka hàna kurian úúa xu, Betelehema ba hẽé naka gam qàe koe hàna xu qgáì xu wèé xu koe hẽéthẽé hàna xu cg'õo ka. Ncẽe sam kò kúrú, tco̱nò q'ãa-kg'ao xu hàà bìrí mea hãas domka, ẽe xu kò bìrí meam x'aèm koe guu a.
MAT.2.17	Ka i kò nxãaska porofitim Jeremiam ka kò kg'uièa sa tseegukaguè, ncẽe kò máá:
MAT.2.18	“Dòm̀ ba kò Rama koe kóḿse,
MAT.2.18	kg'ae sa hẽé
MAT.2.18	naka thõò-tcaoase kg'ae sa hẽéthẽé di ba.
MAT.2.18	Ragele sa ko gas di cóán kg'ae cgae,
MAT.2.18	a kò qgài-qgai-tcáókuan xguì,
MAT.2.18	kaàra i hãa khama,”
MAT.2.18	témé ba.
MAT.2.19	Herotem ko x'óó qãá q'oo koem kò moengelem X'aigam 
MAT.2.20	a ba a máá: “Tẽe naka tsia Cóá ba hẽé naka xõò sa hẽéthẽé séè, naka tsia Iseraele dim nqõóm koe qõò, ẽe kò Cóám di kg'õèan qaa nea x'óóa hãa ke,” témé.
MAT.2.21	Me tẽe, a Cóá ba hẽé naka xõò sa hẽéthẽé séè, a ba a Iseraele dim nqõóm koe qõò. 
MAT.2.22	Igaba ẽem ko Josefa kóḿ Arekelose ba Jutea dim nqõó ba tc'ãà-cookg'aia sa, gam ka xõòm Herotem téé-q'oo koe, kam kò gaa koe síían bèe. Sõokuris koem ko q'ãakaguèa, khamam kò Galilea dim xòèm koe qõò, 
MAT.2.23	a síí Nasareta ta ko ma tciièm x'áé-dxoom koe x'ãè, ẽe porofiti xu ka kg'uièa hãas gha nxãasega tseegukaguè ka, ncẽe kò máá: “Nasareta dim khóè ba, tam gha ma tciiè,” témé sa.
MAT.3.1	Eẽ xu cáḿ xu kam kò Johanem tcguù-tcguu-kg'ao ba hàà, a ba a hàà tchàa-xgóós Jutea dis q'oo koe Nqarim di zi kg'ui zi xgaa-xgaa a máá: 
MAT.3.2	“Tcóóse tu gatu di chìbian koe, nqarikg'ai di x'aia nea cúù u ke,” témé. 
MAT.3.3	Ncẽem Johane ba porofitim Isaiam kò gam ka kg'uia hãam ga me e, a ko máá:
MAT.3.3	“C'ẽem dòm̀ ba ko tchàa-xgóós koe guu
MAT.3.3	a q'au a ko máá:
MAT.3.3	‘X'aigam 
MAT.3.3	naka Gam di dàòan tchàno-tchanoa máá Me,’ ”
MAT.3.3	témé ba.
MAT.3.4	Johane ba kò nqabè c'õò cgoa kúrúèa qgáían ha̱na, a khòo dim bàne ba kháóa ba koe qáéa. Gam di tc'õoa nea kò tcòm̀an hẽé naka qãáka di dènean hẽéthẽé e. 
MAT.3.5	Ne kò khóè ne Jerusalema hẽé naka wèé Jutea hẽé naka wèém xg'aeku-coam Jorotane qàe dim koe hẽéthẽé guu a síí cgae me, 
MAT.3.6	a ne a gane di chìbian nxàe, a Jorotane dim tshàam koe tcguù-tcguuè.
MAT.3.7	Igaba ẽem ko káí xu Farasai xu hẽé naka Saduke xu hẽéthẽé bóò, xu tcguù-tcguukuan domka gam koe hààraa, kam kò bìrí xu a máá: “Gaxao cg'aoan di xao cóá xaoè! Dìín ka xaoa q'ãa-q'ãaèa hãa a ko hààko xgóàn 
MAT.3.8	Nxãaska méé xao chìbian koe xao tcóósea hãa sa gha x'áí tc'áróan kúrú. 
MAT.3.9	Táá méé xao bìríse naka máá, ‘Abrahama ba xae úúa, sixae ka tsgõose ba,’ témé guu. Bìrí xao or ko a ko máá: Nqari ba qarian úúa, ncẽe zi nxõ̱á zim gha séè a Abrahama ba tsgõo-coan kúrúa máá di i ke. 
MAT.3.10	Bòó sa nxãakamaga hìi zi di to̱bean kg'ónòa tòóa mááèa, si gha wèés hìis ẽe qãè tc'áróan kúrú tama sa xg'aoa tcg'òó, a c'eean q'oo koe xaoa tcãàè.
MAT.3.11	“Tíí ra ko tshàan cgoa tcguù-tcguu tu u, chìbian koe tu gha tcóóse ka, igaba Gaam ẽe ko tíí qãá q'oo koe hàà ba tíí ka qari Me e, ncẽe Gam di zi nxàbo zi qgóóan gar tc'ãò tama ba. Gabá gha Tcom-tcomsam Tc'ẽem cgoa hẽé naka c'eem cgoa hẽéthẽé tcguù-tcguu tu u. 
MAT.3.12	Mabere tsoroa nem ko dqòrò cgoam hìi ba tshàua ba koe hãa, Me gha maberea nem ko dqòròs qgáìs koe dqòròa xgãá a, a gha Gam di maberean Gam dis nxàés koe xg'ae-xg'ae, igabam gha ts'irì tamam c'eem koe tsoroan dàò,” tam méé.
MAT.3.13	Me kò Jeso ba Galilea koe guu, a Jorotane koe hàà, hààm gha Johanem ka tcguù-tcguuè ka. 
MAT.3.14	Igabam kò Johane ba xgáè-kg'am Me, a máá: “Tsáá kar gha tcguù-tcguuè sa ko qaase, ka Tsi gáé ko Tsáá tíí koe hàà?” témé. 
MAT.3.15	Me Jeso ba xo̱a me a máá: “Guu u ncẽeska, kg'anoa i máá tsama, ncẽeta tsam gha hẽé sa ke. Ncẽem dàòm ka tsam gha ko wèé zi gúù zi tchàno zi kúrú, Nqarim ka ko qaaè zi,” témé. Me dtcòm̀ Me.
MAT.3.16	Eẽm kò Jeso ba tcguù-tcguuèa xg'ara kam kò kúúga tshàam koe tcg'oa, i kò gaa x'aè kaga nqarikg'aian xgobekg'amse, Me Nqarim dim Tc'ẽe ba bóò, Me tcíbís khama ii a ko Gam koe xõa. 
MAT.3.17	Me gaa x'aè kaga dòm̀ ba nqarikg'ai koe guu a máá: “Ncẽe ba Tirim Cóám ncàm̀a Raa Me e, Gam kar ko kaisase qãè-tcao,” témé.
MAT.4.1	Me nxãaska Jeso ba Tc'ẽem ka séè a qãáka úúè, síím gha dxãwam ka kúrúa bóòè ka. 
MAT.4.2	Eẽm ko 40 cáḿan hẽé naka 40 ntcùúan hẽéthẽé tc'õoan carasea hãa kam kò gaa koe guus ka xàbàa.
MAT.4.3	Me kò kúrúa bóò-kg'ao ba hàà cgae Me, a bìrí Me a máá: “Nqarim di Tsi Cóá Tsi kò ii ne, ncẽe nxõ̱án bìrí naka i péréan kúrúse,” témé. 
MAT.4.4	Me Jeso ba xo̱a a máá: “Góásea i hãa a ko máá: ‘Khóè ba péréan ka cúí kg'õèkaguè tite, igaba wèém kg'uim ka a, ẽe ko Nqarim di kg'áḿan koe guu a tcg'oa ba,’ téméèa,” tam méé.
MAT.4.5	Kam ko nxãaska dxãwa ba tcom-tcomsam x'áé-dxoom 
MAT.4.6	a bìrí Me a máá: “Nqarim di Tsi Cóá Tsi kò ii ne, nqãaka xaoa xòóse. Góásea i hãa ke a ko máá:
MAT.4.6	‘Gam di xu moengele xum gha Tsáá ka x'áèan máà,
MAT.4.6	xu gha gaxu di tshàuan cgoa ghùi Tsi,
MAT.4.6	táá Tsi gha nxãasega nqàrèa Tsi
MAT.4.6	nxõ̱án koe xg'áḿa tòó ka,’ ”
MAT.4.6	tam méé. 
MAT.4.7	Me Jeso ba bìrí me a máá: “Gaicara i góásea hãa a ko máá: ‘Táá méé tsi tsarim X'aigam Nqari ba kúrúa bóò guu,’ ” témé.
MAT.4.8	Gaicaram kò dxãwa ba séè a kaisase kaiam xàbìm koe úú Me, a ba a wèé x'aian nqõómkg'ai di hẽé, naka gaan di ka̱rean hẽéthẽé x'áí Me. 
MAT.4.9	A ba a bìrí Me a máá: “Wèéan ncẽe gar gha máà Tsi, góḿankg'ai koe Tsi kòo cg'áé a ko dqo̱m̀ te ne,” témé. 
MAT.4.10	Me Jeso ba nxãaska bìrí me a máá: “Tíí koe tcg'oa, satanaè! Góásea i hãa a ko máá: ‘X'aigam Nqari ba tsi gha dqo̱m̀, a Gam cúí ba kúrúa máá,’ témé,” tam méé.
MAT.4.11	Me nxãaska dxãwa ba guu Me. Ka i ko gaa x'aè kaga moengelean hàà, a hàà hùi Me.
MAT.4.12	Eẽm ko Jeso ba Johane ba qáéèa hãa sa kóḿ, kam kò Galilea koe ka̱bise. 
MAT.4.13	Nasareta koem kò tcg'oa, a Kaperenaume koe síí x'ãè, ncẽe ko tshàam qàe koe hànam qgáì ba, Sebulone ba hẽé naka Nafetali ba hẽéthẽé tsara dim nqõóm koe, 
MAT.4.14	ẽe porofitim Isaiam ka kò kg'uièas gha nxãasega tseegukaguè ka, ncẽe kòo máá:
MAT.4.15	“Sebulonem dim nqõó ba hẽé
MAT.4.15	naka Nafetalim dim nqõó ba hẽéthẽé tsara
MAT.4.15	tshàam koe ko qõòm dàòm koe hãa,
MAT.4.15	Jorotanem qàe koe, Galilea koe,
MAT.4.15	nqõóm tãá zi qhàò zi di ba;
MAT.4.16	khóè ne ncẽe 
MAT.4.16	kaiam x'áà ba hòòa.
MAT.4.16	X'ooan dim nqõóm ntcùúm q'oo koe hãa ne koe
MAT.4.16	i x'áàn hààraa,”
MAT.4.16	témé.
MAT.4.17	Eẽm x'aèm koem kò Jeso ba guu a tshoa-tshoa a xgaa-xgaa a máá: “Tcóóse tu gatu di chìbian koe, nqarikg'ai di x'aia nea cúù u ke,” témé.
MAT.4.18	Eẽm Jeso ba Galilea dim tshàam qàe koe xóé a ko qõò kam kò khóè qõeku tsara bóò, Simonem ncẽe kòo Petere ta ma tciiè ba hẽé naka Anterea ba hẽéthẽé e, tsara c'uisí sa tshàan q'oo koe tcãà, x'aù qgóó-kg'ao tsara a kò ii khama. 
MAT.4.19	A ba a bìrí tsara a a máá: “Xùri Te tsao, kúrú tsao or gha tsao khóè ne qgóó-kg'ao tsao ii,” témé. 
MAT.4.20	Tsara kúúga gatsara di c'uisían guu, a xùri Me.
MAT.4.21	Gaa koem guu a ko qõò kam kò khóè qõeku tsara c'ẽe tsara bóò, Sebetem ka cóásem Jakobo ba hẽé naka qõesem Johane ba hẽéthẽé e, tsara gatsara ka xõòm Sebetem cgoa dxòrom q'oo koe hãa, xu ko gaxu di c'uisían kg'ónò, Me Jeso ba tcii tsara a. 
MAT.4.22	Ka tsara kò kúúga dxòro ba hẽé naka gatsara ka xõò ba hẽéthẽé guu, a xùri Me.
MAT.4.23	Me Jeso ba wèém Galileam koe qõòa te, a gane di còrè-nquuan koe xgaa-xgaa, a ko x'aian di qãè tchõàn ka khóè ne bìrí, a ko wèé tcììan koe hẽé naka wèé thõòan koe hẽéthẽé qãèkagu ne. 
MAT.4.24	Gaam di tchõà ne kò wèém Siriam koe tsa̱i-tsa̱ise, ne kò Gaam koe wèé ne ẽe ko tãáka zi tcìì zi tsàa ne óá, naka thõòkase tsàara hãa ne hẽé naka dxãwa tc'ẽean ka tcãàèa ne hẽé, naka x'óóa qae ko ne hẽé naka nqo̱ara ne hẽéthẽé e, Me kúrú ne ne qãè. 
MAT.4.25	Zi kò káí zi xg'ae zi Galilea koe hẽé naka Dekapolise koe hẽé naka Jerusalema koe hẽé naka Jutea koe hẽé naka c'ẽe xòè Jorotane di koe hẽéthẽé guu a xùri Me. 
MAT.5.1	Eẽm ko Jeso ba xg'ae zi bóò kam kò xàbìm koe qaò, a síí gaa koe ntcõó, xu Gam di xu xgaa-xgaase-kg'ao xu hàà cgae Me.
MAT.5.2	Me tshoa-tshoa a xgaa-xgaa xu a máá:
MAT.5.3	“Ts'ee-ts'eekg'aièa nea
MAT.5.3	gane ẽe tc'ẽem koe dxàua hãa
MAT.5.3	igaba Nqari ba dtcãasea hãa ne,
MAT.5.3	nqarikg'ai di x'aia nea gane di i khama.
MAT.5.4	Ts'ee-ts'eekg'aièa nea
MAT.5.4	gane ẽe ko kg'ae ne,
MAT.5.4	qgài-qgai tcáóè ne gha khama.
MAT.5.5	Ts'ee-ts'eekg'aièa nea
MAT.5.5	gane ẽe ko cg'áré-cg'arese ne,
MAT.5.5	nqõó ba ne gha q'õò khama.
MAT.5.6	Ts'ee-ts'eekg'aièa nea
MAT.5.6	gane ẽe tchànoan xàbà máána hãa ne,
MAT.5.6	a cáḿa máá ana ne,
MAT.5.6	xg'ãàkaguè ne gha khama.
MAT.5.7	Ts'ee-ts'eekg'aièa nea
MAT.5.7	ẽe thõò-xama-máákuan úúa ne,
MAT.5.7	Nqarim ka ne gha thõò-xama mááè khama.
MAT.5.8	Ts'ee-ts'eekg'aièa nea
MAT.5.8	gane ẽe q'ano-tcáó ne,
MAT.5.8	Nqari ba ne gha bóò khama.
MAT.5.9	Ts'ee-ts'eekg'aièa nea
MAT.5.9	gane ẽe ko tòókuan kúrú ne,
MAT.5.9	Nqarim di ne cóá ne ta ne gha ma tciiè khama.
MAT.5.10	Ts'ee-ts'eekg'aièa nea
MAT.5.10	gane ẽe ko tchànoan domka xgàraè ne,
MAT.5.10	nqarikg'ai di x'aia nea gane di i khama.
MAT.5.11	Ts'ee-ts'eekg'aièa tua,
MAT.5.11	ncẽè khóèan kòo nco̱i tu u, a ko xgàra tu u ne,
MAT.5.11	a ko Tíí domka wèé zi gúù zi cg'ãè zi
MAT.5.11	[tshúù-ntcõase] gatu ka nxàe ne.
MAT.5.12	Qãè-tcao méé tu naka tua cgabà-cgaban-tcao,
MAT.5.12	gatu di surutan nqarikg'ai dia kaia hãa ke,
MAT.5.12	gatà iim dàòm kaga ne kò porofiti xu xgàra
MAT.5.12	ncẽe kò gatu cookg'ai koe ga hàna xu khama.
MAT.5.13	“Gatua nqõómkg'ai di tu ta̱be tu u. Igaba i kò ta̱bean di tsa̱u-q'ooan kaà cgae e, ne i gha gaicara ntama kúrúè a tsa̱u? Cúí gúù ga i qãèa máánaa hãa tite, kg'ama tchàa koe aaguè a khóèan ka náàès cúí si i.
MAT.5.14	“Gatua nqõóm di tu x'áà tu u. X'áé-dxoom xàbìm tc'amkg'ai koe hàna ba cuiskaga chóm̀mèa hãa tite. 
MAT.5.15	Cúí khóè ga gataga lampi sa x'áà-x'aa naka q'ores ka nqãaka tòó sia hãa tite, igaba i gha téé-q'ooa sa koe tòó si, si gha wèé ne ẽe nquum q'oo koe hàna ne x'áàn máà. 
MAT.5.16	Gatu di x'áàn méé i gatà iim dàòm ka khóè ne cookg'ai koe x'áà, naka ne gha nxãasega gatu di qãè tsééan bóò, naka nea gatu dim Xõòm nqarikg'ai koe hàna ba dqo̱m̀.
MAT.5.17	“Táá tu tc'ẽea máá, hààr ko x'áèan ko méé sa kana porofiti xu ko méé sa kaàkagu, ta tc'ẽe guu. Hààra Raa, hààr gha táá kaàkagu si ka, igabar ko hàà tseegukagu si. 
MAT.5.18	Tseegua ner ko bìrí tu u a ko máá: Nqarikg'aian hẽé naka nqõókg'aian hẽéthẽéa gha kaà, igabam cúím góám cg'árém ga ba kana góá-hìim ka góáèa gúùan ga igaba x'áèan koe guu a kaà tite, i gha nxãakg'aiga síí wèé gúùan kúrúse. 
MAT.5.19	Khama nxãaska, dìím wèém ẽe gha ncẽe x'áè-kg'áḿan ka cg'áré ba kaàkagu ba, a ba a ncẽes gúù sa kúrúan khóè ne xgaa-xgaa ba, nxãa ba gha nqarikg'ai di x'aian koe cg'áré ba ta ma tciiè. Igaba ẽe ko x'áè-kg'áḿan kúrú, a ba a ko xgaa-xgaa a ba, nxãa ba gha nqarikg'ai di x'aian koe kaia ba ta ma tciiè. 
MAT.5.20	Bìrí tu ur ko a ko máá: Gatu di tchànoan kòo x'áè xgaa-xgaa-kg'ao xu dian hẽé naka Farasai xu dian hẽéthẽé nqáé tama ne tu cuiskaga nqarikg'ai di x'aian koe tcãà tite.
MAT.5.21	“Kóḿa tu hãa, ne kò ncìí kuri di ne khóè ne bìríè a ko máá: ‘Táá cg'õo guu.’ ‘Wèém ẽe gha cg'õo ba gha xgàrakuan tééa máá,’ téméè. 
MAT.5.22	Igabar ko Tíía bìrí tu u a ko máá: Dìím wèém ẽe qõesem koe xgóà hãa ba gha xgàrakuan tééa máá. Gataga dìím wèém ẽe ko qõese ba bìrí a máá: ‘Káà hùi tsi gúù tsi i,’ témé ba gha x'áèan di xu kaia xu cookg'ai koe xo̱ara mááse. Igaba dìím wèém ẽe ko máá: ‘Tsáá káà tc'ẽe tsi gúù tsi,’ témé ba chõò tamas c'ees dxãwam dis ka tééa mááèa hãa.
MAT.5.23	“Khama nxãaska, ẽe tsi kò tsaris aba sa altaram koe úú ne, a tsi a ko gaa koe tc'ẽe-tc'ẽese tsáá qõe ba c'ẽes gúù sa tsáá cgoa úúa sa ne, 
MAT.5.24	méé tsi tsari aban gaa koe guu, altaram cookg'ai koe. Naka tsia kg'aia qõò naka síí tsáá qõem cgoa tòókuan kúrú, naka nxãwa hàà tsari aban úú.
MAT.5.25	“Qháésega méé tsi ẽe ko chìbi-chibi tsim cgoa kóḿku, ẽe tsi kòo xgàrakuan dis qhàìs koe síí cgoa me ne. Nxãa tama kò ii nem gha xgàra-kg'aom tshàu q'oo koe tcãà tsi, me gha xgàra-kg'ao ba qáé-kg'aom tshàu q'oo koe tcãà tsi, tsi gha qáé-nquus koe tcãàè. 
MAT.5.26	Tseegua ner ko bìrí tsi a ko máá: cuiskaga tsi gaa koe tcg'oara hãa tite, a gha nxãakg'aiga síí ẽe qaùa hãam mari-coa ba suruta.
MAT.5.27	“Kóḿa tu hãa i kòo ncẽeta mééè a ko máá: ‘Táá cg'áràn kúrú guu,’ téméè. 
MAT.5.28	Igabar ko Tíí bìrí tu u a ko máá: wèém khóèm ẽe ko dxàe-khoe sa bóò, a ba a ko ncóó si ba, ncãa nxãakamaga cg'áràn kúrú cgoa si tcáóa ba koe. 
MAT.5.29	A ncẽè kg'áò xòè dim tcgáím tsarim kòo chìbian kúrúkagu tsi ne méé tsi nxo̱bea tcg'òó naka aagu me. Qãè e, c'ẽe xòèa tsi gha aaguè sa ke, wèé tc'áróa tsi chõò tamas c'ees dxãwam dis koe xaoa tcãàèan ka. 
MAT.5.30	Gataga ncẽè kg'áòm x'õàm tsarim kòo chìbian kúrúkagu tsi ne méé tsi q'ãea tcg'òó naka aagu me. Qãè e c'ẽe xòèa tsi gha aaguè sa, wèé tc'áróa tsi gha chõò tamas c'ees dxãwam dis koe tcãàèan ka ke.
MAT.5.31	“Gataga i kò ncẽeta mééè a ko máá: ‘Dìím wèém ẽe ko gam dis khóès cgoa q'aa ba méém tcgãya sa góá máá si, q'aa cgoa siam hãa di sa,’ ta mééè. 
MAT.5.32	Igabar ko Tíí bìrí tu u a ko máá: Wèém khóèm ẽe ko gam dis khóè sa aagu ba, cg'árà nes kúrúa domka tamase, ba ko cg'árà-kg'ao sa kúrú si, me ko dìím wèém ẽe ko aaguèas khóè sa séè ba cg'áràn kúrú, tar ko méé.
MAT.5.33	“Gataga tu kóḿa hãa, ne kò ncìí kuri di ne khóè ne bìríè a ko máá: ‘Táá tshúù-ntcõan cgoa gaìse guu, igaba méé tsi tsari gaìsean X'aigam 
MAT.5.34	Igabar ko Tíí bìrí tu u a ko máá: Táá gaìse guu, nqarikg'ai cgoa ga igaba, Nqarim dis ntcõó-q'oos x'aian di si i ke, 
MAT.5.35	kana nqõómkg'ai cgoa ga igaba, Gam di nqàrèa nem ko tòó qgáì i ke, kana Jerusaleman cgoa ga igaba, kaiam X'aigam dim x'áé-dxoo me e ke. 
