MAT.1.1	'Crɩɛn ‑bʋ, ‑Yusu 'Klɩsʋ a ‑tɩ ɛ nɛ ‑mɔ lɛ. ‑Yusu 
MAT.1.19	Sosɛfʋ a 'mʋ, ‑ɛ di la꞊a kɔ, 'a 'yrinaabʋɩ 'sii la 'ʋ yɩ, 'kɩ 'ʋ Nyɩsʋa ye'. Ɛ nɔ‑ nu꞊o, 'kɩ ɛ 'yɛ nɩ ‑hʋa bʋ yɛɛ la Mari ‑tɩ, 'kɩ 'ʋ nyibli ye', ‑ɛ di꞊e nu, Mari a 'mʋ, 'a 'nyrɛ 'nɩ ꞊ha yɩ nyre. Ɛ nɔ‑ nu꞊o, 'ɛ pʋ la 'lɩ꞊ɩ 'lɩ, ‑ɛ mɔ, nyiblo ꞊dʋ 'nɩ 'wɩɩn la 'lɩ, 'bʋ mɔ, 'bʋ yɩ la Mari bʋ nɩ tɛ. 
MAT.1.20	Bʋ yɩ la 'lu lɛ nɩ ‑hie, ‑ɛ ‑bɩ Nyɩsʋa a 
MAT.1.21	Ɛ di kɔ 'yu nyɩbɛhɩan. 'Yu a 'mʋ, ꞊tue ꞊nɛ ‑Yusunyrɛ, ‑ɛ ꞊hɛn 'nyrɛ Wanyɔ, ‑ɛ nu꞊o, ɛ nɔ‑ di Nyɩsʋa a dakɔ wa, 'kɩ 'ʋ 'waa dɛ 
MAT.1.22	‑Tɩ ‑mʋ', Nyɩsʋa lee la 'a winwlɔn‑hanyɔ*, ɛ nyre 'ʋ nɩ. ‑Tɩ a 'mʋ, ɛ nɔ‑ ‑bʋ:
MAT.1.23	«Nʋgba ‑mʋ', ‑ɛ 'yɩ nyɩbɛdɛ ‑yi,
MAT.1.23	ɛ nɔ‑ di 'kwli nɩ,
MAT.1.23	ɛ 'mʋ 'yu nyɩbɛhɩan kɔ.
MAT.1.23	'A 'nyrɛ di mɔ Emanuɛ,
MAT.1.23	‑ɛ ꞊hɛn 'nyrɛ, Nyɩsʋa nɩ 'ʋ ‑a mʋ ‑mɔ.»
MAT.1.24	‑Tɛ Sosɛfʋ 'du la ye', ‑ɛ ‑bɩ dɛ a 'mʋ, Nyɩsʋa a lɛlenyɔ lee la꞊a, ɛ ꞊tuu la 'ʋ꞊ʋ nɩ, 'ɛ kɔ la Mari. 
MAT.1.25	Kɛɛ, ɛ kɔ꞊ɔ 'hʋɛn‑, ʋ 'yɩ la bʋɩ na yɩ ‑pʋ, Mari 'ɛ kɔ la 'yu nyɩbɛhɩan a 'mʋ, Sosɛfʋ 'ɛ ꞊tue la꞊a ‑Yusunyrɛ.
MAT.2.1	‑Yusu a 'mʋ, 'kɩ ʋ kɔɔ 'lɩ꞊ɩ Betelɛmʋdɩɔ 'kwli, 'kɩ 'lɩ Sudeblʋgba 'kwli. Ti a 'mʋ 'yri, ‑ɛ ‑bɩ 
MAT.2.2	‑Tɛ ʋ nyre 'lɩ, ‑ɛ ‑bɩ ʋ wɛn: «'Yu ‑bʋ, ʋ ‑kɔ ‑tɛ ti nɛ bʋ, ‑ɛ di ‑Juukʋɛ* a 'kɩɩn gbagbʋ ‑hɛ, ‑bɩ' ɛ nɩ yɩ 'lɩ? ‑A 'ye 'a nyahroyɛ nɩ, 'ɛ 'hrɩɩ 'lɩ 'yrʋ a 'hrɩɩlɛ'. Ɛ nɔ‑ kɔ ‑tɩ, ꞊a di 'nɛ‑, ‑a 'mʋ꞊ʋ 'ye, ‑a 'mʋ 'a ‑tɩ 'yi 'bʋa ‑nɩ.»
MAT.2.3	‑Tɛ 'kɩɩn Helɔdɩ 'wɩn ‑tɩ a 'mʋ, ‑ɛ ‑bɩ hʋannʋ bi 'lɩ꞊ɩ 'kwli, ɛ kɔ Jrusrɛ a nyibli a pɛpɛ 'hʋɛn‑. 
MAT.2.4	Ɛ nɔ‑ mɔ bʋ 'kukue Nyɩsʋa a ‑cɔhlʋnpinyʋ* gbagbɩ lɛ, kɔ 
MAT.2.5	‑Ɛ ‑bɩ ʋ ꞊tu꞊o ꞊wɔn, ʋ wɛn: «'Kɩ ʋ di 'lɩ꞊ɩ Betelɛmʋ ‑kɔɔ ‑nɩ, 'kɩ 'lɩ Sudeblʋgba 'kwli, ‑ɛ nu꞊o, dɛ ‑mʋ', Nyɩsʋa a winwlɔn‑hanyɔ* 'crɩ la, 'kɩ 'ʋ Wanyɔ a 'mʋ kɩ, ɛ nɔ‑ ‑bʋ:
MAT.2.6	Nyɩsʋa wɛn 'nɩ:
MAT.2.6	Betelɛmʋ, 'ɛ mɔ ꞊han‑tɩ, 'ɛ mɔ 'dɩɔ 'cɩmɩɛ,
MAT.2.6	kɛɛ, ɛ mɔ 'dɩɔ gbagbʋ ꞊nɩɔ,
MAT.2.6	'kɩ 'lɩ Sudeblʋgba 'kwli,
MAT.2.6	‑ɛ nu꞊o, 'kɩ 'lɩ꞊ɩ 'kwli,
MAT.2.6	'kɩ 'kɩɩn gbagbʋ di 'lɩ ‑kʋɛ ‑nɩ.
MAT.2.6	Ɛ nɔ‑ di 'na dakɔ 
MAT.2.7	‑Tɛ Helɔdɩ 'wɩn ‑tɩ a 'mʋ, ɛ nɔ‑ mɔ bʋ da nyahro'yenyʋ gbagbɩ a 'mʋ, 'ɛ 'bɛti ꞊nʋ, ɛ 'mʋ꞊ʋ yi ‑tɛɛ, ti ‑mʋ', ‑ɛ kɔ 'yri nyahroyɛ a 'mʋ, ɛ 'hrɩɩ 'lɩ yakɔ 'kwli. 
MAT.2.8	‑Tɛ ʋ ‑hɩhɩa꞊a klɛ, ‑ɛ ‑bɩ ɛ wɛn: «Ba mu 'lɩ Betelɛmʋ, ba ꞊mʋɔ 'yu a 'mʋ lɛ. 'Ba 'ye꞊e, ‑ɛ ‑bɩ ba di 'mʋ ‑lee ‑nɩ, 'na 'mumu, 'mʋ 'lɩ mu, 'mʋ꞊ʋ ‑tɩ a 'yi'bʋalɛ ‑nyi ‑wɛ.»
MAT.2.9	‑Tɛ ʋ 'wɩn 'kɩɩn a tiiwin, ‑ɛ ‑bɩ ʋ bi 'hru wlɔn. Bʋ nɩ 'kɩ 'hru wlɔn, ‑ɛ ‑bɩ ʋ 'ye nyahroyɛ ‑mʋ' nɩ, ʋ 'yee wɛn 'lɩ 'yrʋ a 'hrɩɩlɛ', 'ɛ 'hrɩɩ 'lɩ ꞊nʋ ye' de, 'ɛ nɛɛ ꞊nʋ ye', 'ʋ mi. Kɛɛ, ‑tɛ ‑mʋ', 'yu a 'mʋ, ɛ nɩ 'ʋ, ‑tɛ ɛ nyre 'ʋ, ‑ɛ ‑bɩ ɛ nyra bʋ. 
MAT.2.10	'Tɩ‑ ʋ 'mʋ nyahroyɛ a 'mʋ 'ye mɔ mu, ‑ɛ ‑bɩ ʋ ni dɔdʋ dɩakɩ, 
MAT.2.11	'ʋ pa 'lɩ 'kayu bʋ, 'ʋ 'ye 'yu a 'mʋ, ɛ kɔ 'a 'dii 
MAT.2.12	‑Tɛ dɛ a 'mʋ, ɛ ‑hi, ‑ɛ ‑bɩ Nyɩsʋa lee ꞊nʋ nɩ, 'kɩ 'lɩ yanie 'kwli, ‑ɛ mɔ, 'bʋ yɩ kle nɩ ‑mɛ, ʋ 'nɩ 'naa 'lɩ 'kɩɩn Helɔdɩ ‑mɔ. Ɛ nɔ‑ nu꞊o, ‑tɛ ʋ yɩ 'waa 'bli nɩ mi, 'ʋ gba kɩ'bɛɛhru.
MAT.2.13	'Tɩ‑ nyahro'yenyʋ a 'mʋ, ʋ 'mʋ mu, ‑ɛ ‑bɩ Nyɩsʋa a 
MAT.2.14	‑Tɛ Sosɛfʋ 'wɩn win a 'mʋ, ‑ɛ ‑bɩ ɛ 'du ye', ɛ kɔ 'yu kɔ a 'dii 'hʋɛn‑, 'tɔlʋwɔ nɩ ‑do a 'mʋ, 'ʋ mu 'lɩ Esipʋblʋgba 'kwli. 
MAT.2.15	'Kɩ ʋ nɩ 'lɩ ‑nɩnɩ, Helɔdɩ 'ɛ 'kʋ, Nyɩsʋa 'ɛ da Sosɛfʋ, 'kɩ bʋ ‑hɔn 'lɩ Esipʋblʋgba 'kwli, ɛ kɔ 'yu kɔ 'a 'dii 'hʋɛn‑. Dɛ a 'mʋ, ɛ mu 'lu ‑mɔ, ‑ɛ di꞊e nu, ‑tɩ ‑mʋ', Nyɩsʋa a winwlɔn‑hanyʋ* ‑bɩ 'crɩɩ la 'lɩ Nyɩsʋacrɩɛn 'kwli, ɛ 'mʋ ‑nue ‑nɩ. ‑Tɩ a 'mʋ, ɛ nɔ‑ ‑bʋ: «Nyɩsʋa wɛn 'nɩ: 'N da 'na 'Yu nɩ, 'kɩ bʋ ‑hɔn 'lɩ Esipʋblʋgba 'kwli.»
MAT.2.16	‑Tɛ dɛ a 'mʋ, ɛ 'yɛɛ 'ʋ nɩ nyre, ‑tɛ 'kɩɩn 
MAT.2.17	‑Tɛ dɛ a 'mʋ, ɛ mi 'lu ‑mɔ, ‑ɛ ‑bɩ ‑tɩ ‑mʋ', Nyɩsʋa a winwlɔn‑hanyɔ 
MAT.2.18	«Ʋ 'wɩn ꞊hienwewin,
MAT.2.18	'kɩ 'lɩ Ramadɩɔ 'kwli.
MAT.2.18	'ɛ yɩ 'a 'yonʋ a ꞊hien we.
MAT.2.18	Ɛ 'nɩ ‑hʋa꞊a lɩ bʋ ꞊ga꞊a,
MAT.2.18	‑ɛ nu꞊o, 'a 'yonʋ 'kʋ nɩ.»
MAT.2.19	'Kɩ ʋ nɩ 'ʋ ‑nɩnɩ, ‑ɛ ‑bɩ 'kɩɩn 
MAT.2.20	ɛ wɛn: «Sosɛfʋ o, 'du ye', ‑kɔ 'yu, ‑kɔ 'a 'dii 'hʋɛn‑, ba ꞊hɩan ‑mɔ, ba mu 'aan 'bli 
MAT.2.21	Sosɛfʋ 'ɛ 'du ye', ɛ kɔ 'yu kɔ 'a 'dii 'hʋɛn‑, 'ʋ ꞊hɩan ‑mɔ, 'ʋ di 'waa 'bli Yisraɛ. 
MAT.2.22	Kɛɛ, Sosɛfʋ 'wɩn nɩ, ‑ɛ mɔ, Akolawusɩ, ‑ɛ mɔ 'kɩɩn Helɔdɩ a 'yu, ɛ nɔ‑ 'cɩcɩ a 'baɩ. Akolawusɩ a 'mʋ, ɛ nɔ‑ mɔ 'kɩ Sudeblʋgba a 'kɩɩn. Ɛ nɔ‑ nu꞊o, Sosɛfʋ a 'mʋ, hʋannʋ 'ɛ ni꞊e, 'kɩ bʋ 'ti 'lɩ Sudeblʋgba 'kwli. Ɛ nɔ‑ kɔ ‑tɩ, Nyɩsʋa 'ɛ lee ꞊nɛ, 'kɩ 'lɩ yanie 'kwli, 'kɩ ɛ 'nɩ 'muo 'lɩ Sudeblʋgba 'kwli. Ɛ nɔ‑ nu꞊o, 'ɛ mu 'lɩ Galileblʋgba 'kwli, 
MAT.2.23	'ɛ 'ti 'lɩ 'dɩɔ ‑mʋ', ʋ dɛɛ Nasalɛtɩ 'kwli. ‑Ɛ ‑bɩ ‑tɩ ‑mʋ', Nyɩsʋa a winwlɔn‑hanyɔ* hla la, 'kɩ 'ʋ Wanyɔ ‑mʋ' kɩ, Nyɩsʋa pʋ la lɛ, ɛ di la ya, ɛ nyre 'ʋ nɩ. ‑Tɩ a 'mʋ, ɛ nɔ‑ ‑bʋ: «Ʋ di daa ꞊nɛ Nasalɛtɩ a 'yu.»
MAT.3.1	Ti a 'mʋ 'yri, ɛ kɔ la nyiblo ꞊dʋ. 'A 'nyrɛ mɔ Saan Batisɩ. 'Kɩ ɛ 'ti 'lɩ Sudeblʋgba 'kwli. 'Blʋgbakʋtɩɔ ‑mʋ', ‑ɛ kɔ 'kwli ɛ 'ti 'lɩ, nyiblo ꞊dʋ 'yɩ 'lɩ 'ti, kɛɛ, nyibli ‑hʋɔhʋɩ, ʋ nʋ‑ mi 'lɩ꞊ɩ ‑mɔ. 'Kɩ ɛ ꞊tuu 'lɩ Nyɩsʋa a ‑tɩ a ‑mɔlɛnɩna ‑wlu. Nyibli ‑mʋ', ‑ʋ mi 'lɩ꞊ɩ ‑mɔ, kɛ‑ ɛ pɩ ꞊nʋ yɩ: 
MAT.3.2	«Ba yru꞊o, 'kɩ 'lɩ 'aan ꞊wlɩ kɩ, ‑ɛ mɔ, a nu ‑tɛblɩ, 'ɛ nyre yɩ, 'kɩ 'ʋ Nyɩsʋa ye'. Ba hie 'ʋ yɩnyre‑tɛblɩ a 'mʋ bʋ, ba ‑nyi 'aan 'klɔ a pɛpɛ Nyɩsʋa, ‑ɛ nu꞊o, ti ‑mʋ', ‑ɛ kɔ 'yri Nyɩsʋa di 'ʋ nyibli a pɛpɛ win kɩ ‑kɔɔ ‑nɩ, ɛ 'mʋɛ yrɛ.» 
MAT.3.3	‑Tɛ ʋ 'yɛ la ‑Yusu nɩ kʋɛ, ɛ kɔ la Nyɩsʋa a winwlɔn‑hanyɔ* ꞊dʋ. 'A 'nyrɛ mɔ la 
MAT.3.3	«Nyɩsʋa wɛn 'nɩ:
MAT.3.3	Nyiblo ꞊dʋ, ‑tɛ ‑mʋ', 'dʋ bii 'lɩ yɩ,
MAT.3.3	'kɩ ɛ di 'lɩ 'ti.
MAT.3.3	'Bʋ mɔ, 'bʋ yɩ nɩ hle, ɛ di 'yaa 'lɩ win,
MAT.3.3	ɛ 'mʋ lɛ pʋ:
MAT.3.3	'Hru ‑bʋ, Kʋkɔnyɔ di na,
MAT.3.3	ba 'sii ꞊nɛ yɩ,
MAT.3.3	'tɩ‑ Kʋkɔnyɔ a 'mʋ, ɛ 'mʋ di.
MAT.3.3	Ɛ 'wɩ yɩ, 'aan 'klɔ bʋ 'sii 'ʋ yɩ,
MAT.3.3	‑ɛ di꞊e nu, a 'mʋ ‑mɔ ‑wɛ,
MAT.3.3	'tɩ‑ Kʋkɔnyɔ 'mʋ di.»
MAT.3.4	Saan a 'mʋ, 'a wlawlʋ, ɛ pɩ, ɛ 'yɩ dɛkɔnyɔ a wlawlʋ yɩ 'wɩ. Ʋ nu ꞊gbukɩ‑so* a ‑pupui, 'ʋ hla꞊a, 'ɛ nɛɛ ꞊nɛ mʋmakɔ a 'bɛtɩyɛ kɩ. 'A ‑nɛ dididɛ, ɛ yɩ di, ɛ nɔ‑ mɔ 'kolio kɔ dʋnyra. (Ɛ 'wɩ yɩ, Saan mɔ la Nyɩsʋa a winwlɔn‑hanyɔ ꞊nɩɔ la. ‑Tɛ nɩ ‑do nyibli ‑mʋ', ‑ʋ yɩ la Nyɩsʋa a win wlɔn ‑hɛ, ʋ nɩ la 'mʋ, ti ‑hi la a ti 'yri, kɛ‑ Saan nɩ la 'mʋ ‑wɛ.) 
MAT.3.5	Nyibli ‑hʋɔhʋɩ, ʋ nʋ‑ ‑hʋɛn 'lɩ Jrusrɛdɩɔ kɔ Sudeblʋgba 'kwli lɛ, 'ʋ mi 'lɩ꞊ɩ yɩ, ʋ kɔ 'blʋgbɩ ‑mʋ', ‑ʋ ꞊glaa 'lɩ 'nie gbagbʋ ‑mʋ', ʋ dɛɛ Sudɛn a nyibli 'hʋɛn‑. Kɛ‑ nyibli a pɛpɛ a 'mʋ, ʋ ni, 'ʋ mi 'lɩ꞊ɩ yɩ, 'ʋ yɩ 'a win 'wɩn, 
MAT.3.6	'ʋ yɩ 'waa ‑tɛblɩ 'kukui yɩ ‑wɛɛn ‑nɩ, 'kɩ 'ʋ nyibli ‑hʋɔhʋɩ yɩ, 'tɩ‑ Saan, 'ɛ pɩ ꞊nʋ 'nie 'lu lɛ, 'kɩ 'lɩ 'nie gbagbʋ ‑mʋ', ‑ɛ mɔ Sudɛn ‑mɔ.
MAT.3.7	Falisi꞊tumu* kɔ Sadusɩ꞊tumu* a nyibli ‑hʋɔhʋɩ, nʋ‑ mi 'lɩ Saan ‑mɔ ‑wɛ, ‑ɛ di꞊e nu, ɛ 'mʋ ꞊nʋ 'nie 'lu lɛ pʋ. ‑Tɛ Saan 'ye ꞊nʋ, ‑ɛ ‑bɩ ɛ wɛn: «'A mʋ ‑mʋ', a kɛɛ nyibli, 'aan nunuklɔ 'ɛ nyre yɩ, ‑wɛn hro. Nyɩsʋa a yrʋ 'tɩɛ kwlɛ 'a mʋ nɩ. A 'nɩ 'pʋʋ 'lɩ lɛ, ‑ɛ mɔ, a ‑wɛ 'lɩ ba 'gba꞊a ye' ci nɩ. 
MAT.3.8	'Tɩ‑ 'mʋ 'a mʋ 'nie 'lu pʋ, ba nu ꞊haan‑tɛblɩ, ʋ 'mʋ꞊ʋ 'ye, ‑ɛ mɔ, a hie 'ʋ dɛ 
MAT.3.9	A 'nɩ 'pʋʋ 'lɩ lɛ, ‑ɛ mɔ, a mɔ ‑aan 'baɩ gbagbʋ 
MAT.3.10	Ʋ ‑wɛ ‑mɔ, 'kɩ bʋ nu 'duwe, bʋ hla 'a ‑nɛ tugbɛ ꞊dʋ, ‑ɛ 'yɛ nɩ tʋ 'kui, ʋ 'mʋ꞊ʋ 'tɔ pʋ. Ɛ ꞊hɛn 'nyrɛ, ‑ɛ mɔ, Nyɩsʋa ‑wɛ ‑mɔ, 'kɩ bʋ pʋʋ nyibli ‑mʋ', ‑ʋ 'yɛ nɩ ꞊tuu 'ʋ꞊ʋ 'ʋ ‑bati lɛ. 
MAT.3.11	'Mɔ ‑bʋ, 'nie, ɛ nɔ‑ 'n pɩ 'a mʋ 'lu lɛ, ‑ɛ di꞊e nu, nyibli 'mʋ꞊ʋ 'ye, ‑ɛ mɔ, a hie 'ʋ 'aan dɛ 'kuku bʋ, 'a ‑nyi 'aan dɩɔnʋ Nyɩsʋa. Kɛɛ, nyiblo ‑bɩ di 'nɩ di. Nɔ‑ di 'ʋ 'mʋ ke' kʋɛ. Nɔ‑ di 'klɩ kɩ nɩ, ɛ 'mʋ 'ʋ 'mʋ 'ʋ ‑hi, 'kɩ 'lɩ Nyɩsʋa a 'nyrɛ 'kwli. 'Mɔ ‑bʋ, 'n 'yɩ nyiblo ꞊dʋ 'pa‑, 'kɩ ꞊bʋ di꞊e ‑hɛɛ ‑nɩ, 'kɩ 'ʋ 'a ‑nɛ ‑kʋandɛ ꞊dʋ a ‑ta'. Nyiblo a 'mʋ, ‑ɛ di di, Nyɩsʋa a ‑Hihiu* kɔ na ‑bʋ, ‑ɛ yɩ wlɩn, nɔ‑ ɛ di 'a mʋ ‑nyi. 
MAT.3.12	Nyiblo a 'mʋ, ɛ di 'wɩ‑ ‑kʋbʋlɛ꞊hlonnyɔ yɩ, ‑ɛ 'ble ‑ŋmahɛn kʋa, ɛ di nu, ɛ 'mʋ ‑kʋbʋ lɛ ꞊hlon, 'bʋ ꞊hlon ‑kʋbʋ a 'mʋ lɛ, ɛ 'mʋ꞊ʋ bʋ ꞊tu, 'tɩ‑ ɛ 'mʋ 'a ‑tutui 'tɔ pʋ, 'kɩ 'lɩ na ‑mʋ', ‑ɛ 'yɛ nɩ jre 'nyɩ.»
MAT.3.13	‑Nyrɔwɔ ꞊dʋ, 'kɩ ‑Yusu ‑hɔn 'lɩ Galileblʋgba 'kwli, 'ɛ mu 'lɩ 'nie ‑mʋ', ʋ dɛɛ Sudɛn wien, 'kɩ 'lɩ Saan 'hʋɩ, ‑ɛ di꞊e nu, Saan 'mʋ꞊ʋ 'nie 'lu pʋ. 
MAT.3.14	Kɛɛ, Saan hɩa nɩ, ɛ wɛn: «'Mɔ ‑blɛɛ yɩ, ‑bʋ pʋ wɛn 'nie 'lu, kɛɛ, ‑mɔ ‑di, 'kɩ ꞊bʋ pʋ ‑mʋ 'nie 'lu.» 
MAT.3.15	Kɛɛ, ‑Yusu ꞊tu꞊o ꞊wɔn, ɛ wɛn: «‑Tɛ ti nɛ ‑bʋ, ꞊nɩ 'hɩaa 'lɩ꞊ɩ kɩ, ‑kɔtɩ dɛ Nyɩsʋa ‑hʋa, ‑a blɛɛ yɩ ‑ba nu꞊o.» Ɛ nɔ‑ mɔ Saan bʋ wɛn, bʋ pʋ ‑Yusu 'nie 'lu. 
MAT.3.16	‑Tɛ ɛ pʋ꞊ʋ 'nie 'lu, ‑Yusu bʋ yɩ 'lɩ 'nie ‑mɔ nɩ ‑hʋɛn, ‑ɛ ‑bɩ ti nɩ ‑do a ti 'yri, yakɔ ‑ki wlɔn, 'ɛ 'ye Nyɩsʋa a ‑Hihiu*, 'ɛ ‑hɔn 'lɩ yakɔ 'kwli, 'ɛ ꞊tɩɩ 'ʋ꞊ʋ 'lu, ɛ 'wɩ ‑tɛ ‑hungbe bʋ 'yɛ nɩ ꞊tɩɩ wɛn 'ʋ꞊ʋ 'lu, 
MAT.3.17	ɛ kɔ, 'ʋ 'wɩn Nyɩsʋa a win, 'ɛ ‑hɔn 'lɩ yakɔ 'kwli, 'ɛ pɩ lɛ: «Ɛ nɔ‑ mɔ 'na 'Yu nɩ ‑do, 'n nʋɛ ‑nɩ ‑tɛɛ, ‑ɛ nie 'mʋ dɔdʋ.»
MAT.4.1	‑Tɛ dɛ a 'mʋ, ɛ ‑hi, ‑ɛ ‑bɩ Nyɩsʋa a ‑Hihiu* gba 'lɩ ‑Yusu ‑tɩtɛ ‑mʋ', 'dʋ bii 'lɩ yɩ, ‑ɛ di꞊e nu, 'kuo ‑hʋɩn a nyiblo gbagbʋ 
MAT.4.2	'Kɩ 'lɩ ‑tɩtɛ a 'mʋ, 'kɩ ɛ ‑hi 'lɩ ‑nyrɔwɩ a ‑wlɩ nɩ 'hʋɛn kɔ 'tɔlʋwɩ a ‑wlɩ nɩ 'hʋɛn. 'Kɩ ‑nyrɔwɩ a 'mʋ 'kwli, ɛ 'yɩ dɛ ‑di. ‑Tɛ ‑nyrɔwɩ a ꞊wlɩ nɩ 'hʋɛn a 'mʋ, ʋ ‑hi, ‑ɛ ‑bɩ 'kanʋ ‑tʋa la 'a nunuo. 
MAT.4.3	Ɛ nɔ‑ mɔ 'kuo ‑hʋɩn a nyiblo gbagbʋ bʋ 'yɩya 'ʋ꞊ʋ 'hʋɩ bʋ, bʋ lee ꞊nɛ: «'Bʋ mɔ, ꞊nɩ mɔ Nyɩsʋa a 'Yu, lee 'hɩ ‑bʋ, bʋ ‑hɛ 'flɔɔ.» 
MAT.4.4	‑Ɛ ‑bɩ ‑Yusu ꞊tu꞊o ꞊wɔn, ɛ wɛn: «Ʋ 'crɩ꞊ɩ nɩ, 'kɩ 'lɩ Nyɩsʋacrɩɛn 'kwli, ‑ɛ mɔ, ɛ 'yɩ dididɛ nɩ ‑do 'pa‑, ɛ 'nɩ ‑nu꞊o lɩ꞊ɩ, ‑tonyiblo 'nɩ ‑nɩ꞊ɩ 'klɔ, kɛɛ, win a pɛpɛ, ‑ɛ ‑hʋɛn 'lɩ Nyɩsʋa wlɔn, ɛ nɔ‑ ni꞊e, 'tɩ‑ ‑tonyiblo 'ɛ yɩ 'klɔ nɩ.»
MAT.4.5	‑Tɛ ɛ ‑hi, ‑ɛ ‑bɩ 'kuo ‑hʋɩn a nyiblo gbagbʋ gba 'lɩ꞊ɩ Jrusrɛdɩɔ 'kwli, ‑ɛ mɔ Nyɩsʋa a dakɔ a 'dɩɔ gbagbʋ, 'ɛ 'yaa 'lɩ꞊ɩ Nyɩsʋa a 
