GEN.1.1	Talfut kese ding dim bakate, Sunbin-Got e abiil so kawin so mesesem alik alik be kilkese kale. 
GEN.1.17+GEN.1.18	Dukusomi, abiil em ailbin angom alik alik bi kawin dim elo “Dan dukuko, felet kelebina!”, angeko, dukuse kale. Dukuko, ataan so kayow so ikal amen amen keyemei, i taw em aluwbamin so, kutiliw em aluwbamin so kesomi, kawin dim elo felet kelewkabiliw te. Kelewiwi, Sunbin-Got e ilo diw yetemete: “Ken keli kai!”, angse kale. 
GEN.1.19	Angei, kutiliw teleko, uneko, taw kikis mak matem teleko, ketket teben em ding kel banimse kale.
GEN.1.20	Keko beli, Sunbin-Got e bokolomele: “Okmun alelbin fian beem mutuk kel mesesem mesesem finik so bin talfut kelina! Kelomi, awon so mesesem mesesem bel so ikal fiteweko, kawin abiil dim bile yamkakamina!”, angse kale. 
GEN.1.21	Angeko, okmun alelbin fian beem samal inkal fian sel bi so, mali ka bokoliw mesesem mesesem eisneng finik so bi so, awon so, mali bel so mesesem mesesem eisneng bi so, alik alik mesesem mesesem eisneng biilo kilke duku koyemse kale. Koyemsomi, diw yetemete: “Ken keli kai!”, angse kale. 
GEN.1.22	Angesomelei, Sunbin-Got e ilo bamki duyemsomi, bokoyemomele: “Aul men kaileko, tulun kuw kesomi, okmun alelbin fian beem dim gekbina! Awon so, bel so mesesem mesesem eisneng biso, ikalti fukulako, al keko, kawin dim elo gekbina!”, angse kale. 
GEN.1.23	Angei, kutiliw teleko, uneko, taw kikis mak matem teleko, ketket em ding kel banimse kale.
GEN.1.24	Keko beli, Sunbin-Got e bokolomele: “Kawin be samal mesesem mesesem finik so eisneng talfut kelina! Am samal so, kut samal so, mesesem mesesem finik so yan banim eisneng so, alik alik bi talfut kelina!”, angse kale. Angei, em angse weng be fein kese kale. 
GEN.1.25	Feinka! Sunbin-Got e kut samal so, am samal so, mesesem mesesem finik so yan banim eisneng so, alik alik finik so bin bei kilke dukuse kale. Dukusomi, diw atemete: “Ken keli kai!”, angse kale. 
GEN.1.26	Angesomi, iti weng mak bokolomele: “Kunum so waneng so mak nukalem atew, nukalem takak emdiw kemuma o! Kunum so waneng so bi okmun beem mesesem bi so, awon bi so, samal bi so, kawin beem finik so mesesem mesesem eisneng bi so, mesesem mesesem finik so keko, yan banim eisneng bi so, alik alik mesesem mesesem eisneng biilo kilele yetewboliwka!”, angse kale.
GEN.1.27	Angsomi, kunum waneng akalem takak emdiw dukuse kale. Feinka! E kunum kelew, waneng keum duku koyemse kale.
GEN.1.28	Koyemeko, ilo bamki duyemsomi, bokoyemomele: “Aul banban kailsomi, kawin fe abiil fe alik alik angom be al kelina! Okmun alelbin sel beem mesesem bi so, abiil afak em awon bi so, kawin dim em samal bi so, yu alik alik biim kak kunum waneng keko, ilo kilele yeteboliwka!”, yangse kale. 
GEN.1.29	Yangeko, weng makso mak bokoyemomele: “Yu kawin dim em itel o, ais dem o, mesesem mesesem dukuyemsi be wanbomi, boliwka! 
GEN.1.30	Feinka! Ne kawin dim beem samal so, abiil dim em awon so, mesesem mesesem finik so eisneng bi so, alik alik ilo im wanin itel so, ais dem so, amen amen dukuyemii, i wanboliwka!”, yangse kale. 
GEN.1.31	Yangei, em angse weng be fein kese kale. Kesomelei, Sunbin-Got e mesesem mesesem kilke dukuse eisneng bi diw atemete: “Ken ati kuw keli kai!”, angeko, “Seyo!”, angesomelei, kalfongse kale. Keko beli, kutiliw teleko, uneko, taw kikis mak matem teleko, gung em ding kel banimse kale.
GEN.2.1+GEN.2.2	Keko beli, Sunbin-Got e gung kel ding aulbabelei, abiil so, kawin so, beem mesesem eisneng fok ke kolewse kale. Fok kolewsomi, ben kel ding kabalak e, e akalem alubamin alik alik be banim keleweko, finengdase kale. 
GEN.2.3	Finengdase kasike, Sunbin-Got e ben em ding em dim beelo akalem ding kuw dukuko, tokotoko ayem ding kelewse kale. Nimtew angom? Gung kel em ding be, e alik alik mesesem mesesem eisneng bi kilele duku kolewse kasike.
GEN.2.4	Sang be Yawe Sunbin-Got em kawin so abiil so talfut dukuse sang bete te.
GEN.2.5	Kate itel so, ais mesesem mesesem so, alik alik eisneng bi tebelinba kesiliw ding kabalak e, suuk akal banimei, kawin musun kailomin kunum mak akal banimse kale. 
GEN.2.6	Beem ding dim kabalak e, ok e yukam misin atew kawin katiw somelei, kawin elo ok dukalewale kale. 
GEN.2.7	Keko beli, Yawe Sunbin-Got e tawal dak fakalat kelewko, kawin be amiami kelewsomelei, kunum mak keleweko, em mutum tem kel akalem fukfuka fu kelei, kunum be finik so kese kale. Kunum be Adam
GEN.2.8	Keko beli, e ataan tele dulum kalote ken musun mak dukusomi, kunum beelo debeleko, elo ka kel kolewse kale. Kolewse musun beem wiin e Iden te. 
GEN.2.9	Beli, musun dim ka kel e ais banban mak talfut kelewsomi, ais ati so ati so em dim e wanin dem so dem so ken kuw dukuse kale. Dukusomi, musun ka kel beem mutuk kabalak e ais alew mak dukuse kale. Ais alew bi mak e, finik so bin duyembin em ais te. Mak e, wa so ken so elo fitew dalomin em ais te.
GEN.2.10	Keko beli, musun Iden ka e, ok malmil miktem telebin ok mak alenale kale. Ok malmil miktem telebe ok be musun em kawin elo ok dulew ke alenale kale. Kebomelei, ok be teing titeleko, ketket teben aneng aneng elo kese kale. 
GEN.2.11	Emisik ok em wiin e Bison te. E gol on kisol so eisneng Kawila aneng fian beem dulum elo falalse kale. 
GEN.2.12	Gol on kisol be ken ati kuw te. On kisol eisneng makso mak alenale te. Mak e, filik falak tum win “Kanilian” e, mak e, kamge so ais gom mak te. 
GEN.2.13	Beli, mak emteben ok em wiin e Gikon. Gikon ok bang e Kus aneng elo falal kolewse kale. 
GEN.2.14	Yemamas ok beem wiin e Taigilis. Ok be anko, ataan tele beem dulum Asilia aneng fian kalo kese kale. Ok fefe beem wiin e Yufeletis.
GEN.2.15	Keko beli, Yawe Sunbin-Got e kunum beelo bokolewomele: “Ku musun Iden elo kilelbi atebolewka!”, dangeko, elo duku kolewsomelei, 
GEN.2.16	iti weng makso mak bokolewomele: “Alik alik ais angom beem ais dem be ken kuw kelei, ku fein wanbolewka! 
GEN.2.17	Kate, ku kanelom ais ken so wa so kal kemin ais beem dem wanokolew te! Wanew tewe, ku fongate akate atin kuw kuanokolew te.”, dangse kale.
GEN.2.18	Dangeko beli, anfel e Yawe Sunbin-Got e bokolomele: “Adam be emikel kuw be kasike, ken bate. Kame, ne elo dokoleweko, eso fangfang dakamin akalem atew mak dulewoki te.”, angse kale. 
GEN.2.19	Angesomelei, Yawe Sunbin-Got e tawal kuluko, mesesem mesesem samal so, abiil awon so, alik alik eisneng angom be amiami duku koyemsomi, ilo kunum beem mit mewso koyemse kale. Koyemsomelei, kunum be alik alik ilo diw yetebomelei, ikalem wiin amen kuw amen kuw bokoyemse kale. 
GEN.2.20	Keko beli, kunum be mesesem mesesem kut samal bi so, am samal bi so, abiil em awon bi so, alik alik finik so bin biim wiin amen kuw amen kuw bokoyemse kate, fangfang dakamin akalem atew mak banim kese kale.
GEN.2.21	Beli, Yawe Sunbin-Got e Adam elo kuanin atew kiin ok ilum fian mak dulewsomi, em melen kun makmak takas kuluko, tem be iti talewse kale. 
GEN.2.22	Taleweko, melen kun be kuluko, waneng mak kaiko, ulo kunum be so koumse kale. 
GEN.2.23	Koumeko, kunum be waneng buulo watemeko, bokolomele: “Kae, Yawe nakalem kun, nakalem dim kuluko, waneng bute dukunemse kasike, um wiin e waneng
GEN.2.24	Beem mongom ete kame akal, kunum kumel i ikalem aliwol kumel so auk kumel so koyem uneko, ikalem kalel kusel iso teinsomi, i kal anggil makmak kekabiliw te.
GEN.2.25	Kunum be so, waneng bu so, yemkal bi anggil fitew kesiliw kate, i finganinba kesiliw kale.
GEN.3.1	Feinka! Yawe Sunbin-Got e samal alik alik dukuse kate, sokyan em weng e abal nam keko, funum fimdi famde ibolow so kese kale. Kasike, sokyan be waneng buulo bokoumomele: “Sunbin-Got e ‘Alik alik ais dem angom kale wanbokoliw te!’, yangse yako?” wangse kale.
GEN.3.2	Wangei, usik yan weng mak bokolewomelu: “Bayo! Sunbin-Got e nulo bokoyemomele: ‘Ais dem alik alik kale wanboliwka!’, yangse te. 
GEN.3.3	Kate, e nulo kitil kuw bokoyemomele: ‘Musun kaleem mutuk e, ais makmak beem dem ete kuw yu kanelom meleleweko, dakalu wanbokoliw te! Auliw tewe, kuankemin matem daloki te.’, yangeko, alakabe te.”, dangsu kale. 
GEN.3.4	Dangui, sokyan e iti yan weng mak bokoumomele: “Babo! Yu waniw tewe, nam kuaniw te. 
GEN.3.5	Kate Sunbin-Got e kal kebete: Yu ais beem dem waniw tewe, yom kiin so bayemei, yu Sunbin-Got em kal atew kulusomi, kal so kunum waneng kelokoliw te. Keko, yu wa kukuw so ken kukuw so diw atemeko, kilele kal kelokoliw te.”, wangse kale.
GEN.3.6	Wangei, waneng bu ais dem be atemute: Ais dem yom be atite atite weit weit kelei, um ibolow tem e “Wana! Wana!”, wangeko, ibolow kuw keumse kale. Nimtew angom? U fukunute: “Ne kal waneng keloki kai!”, angsu kasike, fein e, u ais dem mak dakuluko, wanesu kale. Wanesomi, iti dem mak dakulu aluwsomi, uneko, ukalem imok elo delew unui, imok akal wanse kale. 
GEN.3.7	Wanei, yemkal biim kiin bayemei, i kal keliwete: “Yakai! Nu kal fitew kuw ke alakabuluw kai!”, angesiliw kale. Angsomeliwi, yemkal bi inkal fian kulusomi, ais kon fian kuluko, benesomeliwi, ikalem kal anggil dim kasisiliw kale.
GEN.3.8	Beli, aneng kuineko, dim gilil so kebe dim kelei, yemkal bi kililomete: “Yawe Sunbin-Got e guingui tala kai!”, angko, inkal fian kulusomi, musun dim beem ais tem kel wokmosiliw kale. 
GEN.3.9	Wokmobiliwi, Yawe Sunbin-Got e kunum beelo gaalomele: “Ku nal nal kel kuw belew a?”, dangse kale. 
GEN.3.10	Dangei, kunum be yan weng mak bokolewomele: “‘Ku talbelew!’, angomi, finganin fian mak kuli te. Nimtew angom? Kal fitew kuw bi kasike.”, dangse kale. 
GEN.3.11	Dangei, Yawe e kunum beelo dakalalomele: “Ku nono keko, kal kelomelew: Ku kal fitew kuw belew a? Ku kate, ais dem ‘Ayem o!’, kangsi ais dem mak wane kembelew sako?”, dangse kale. 
GEN.3.12	Dangei, kunum be iti yan weng bokolewomele: “Nete bate! Nelo dunemselew waneng kalute ais dem mak nelo dunemui, ne wani te.”, dangse kale. 
GEN.3.13	Dangei, Sunbin-Got e waneng buulo dakalalomele: “Ku nimtew angomete a?”, wangse kale. Wangei, u yan weng bokolewomelu: “Nete bate! Sokyan ete nelo kak kenemei, ne ais dem mak dakaluko, wane kembi te.”, dangsu kale.
GEN.3.14	Dangui, Yawe Sunbin-Got e weng yakok so weng mak sokyan elo duleweko, bokolewomele: “Ilum atin kuw fian mak kulo dukemika. Kulokolew ilum be mali am samal so, kut samal so, biim ilum emdiw bate. Diwkuw, diwkuw ku teing banim yan banim keko, kukalem kumun kom dim bete kuw kawin dim gilin-gili kakabomelewi, kawin kukun kutew kutew bete kuw wanen kakamokolew te. 
GEN.3.15	Keko beli, kom tele, waneng buum tele, maka kelew kelew keem kakamokoliw te. Kate, deiw mak ding mak e, um angin mak teleko, kom kak kawtol kekemoke te. Kawtol kekemei, kusik em yan golgol beelo ning tamolokolew te.”, dangse kale.
GEN.3.16	Dangeko, waneng buulo bokoumomele: “Diwkuw diwkuw, kom aul kumuneko, aul mewso dukulomin kemew ding dim e, ku ilum fian kulusomelewi, betbet fian akal mak kulamokolew te. Kulamokolew kate, diwkuw diwkuw, iti kimok elo ibolow kelokolew te. Kate, kimok em weng ete kuw kili wosu kebomelewi, em afak kuw bolewka!”, wangse kale. 
GEN.3.17	Wangei, Sunbin-Got e Adam elo weng mak bokolewomele: “Ku kalel um weng wosuko, ais dem ayem be wanew kasike, kawin kale elo yakok keli te. Kom yemen soul kawin dim kulamokolew beem dulum elote ku bukesomi, ilum kakon somi, douw falil somelew ete, wanbom, bokolew te.
GEN.3.18	Feinka! Ku wanin musun beem wanin wanbokolew kate, musun bakati itel ningning so itel tem kuw kemoke te. 
GEN.3.19	Ku dauw falil falil kuw kesomi, alubamokolew te. Bomelewi, deiw mak ding mak fein kuanokolew te. Kuanokolew ding kabalak be, ku iti tawal kelokolew te. Nimtew angom? Ne tawal kulusomelii, kunum kulo tawal so amiami kekemeko, duku kokemsi kasike. Feinka! Kukal kawin tawal keko, iti kawin tawal akate kelokolew te.”, dangse kale.
GEN.3.20	Dangei, Adam e em kalel um wiin e bokoumomele: “Kom wiin e Iw te!”
GEN.3.21	Beli, Yawe Sunbin-Got e samal kal mak kulusomi, beneko, Adam so em kalel so yemkal ilo minggiyemse kale.
GEN.3.22	Minggiyemeko, Yawe Sunbin-Got e bokolomele: “Kame, kunum waneng bi wa so ken so eisneng be kal keliw kasike, i nukalem atew keliw te. Keliw kasike, i iti kanelom diwkuw finik so bin ais dem beem dim akal mewso uneko, beem dem bakal kuluko, wanokoliw te! I waniw tewe, i diwkuw diwkuw bokoliw kasike.”, angse kale.
GEN.3.23	Angesomelei, Yawe Sunbin-Got e kunum waneng bi musun Iden ka kel em bine yenbakalase kale.
GEN.3.23	Feinka! Sua e, e kawin tawal kuluko, kunum amiami kelewse te. Kate kame, kunum be uneko, bakalem kawin dim akate musun wanin kaibomi, alenaliw kale.
GEN.3.24	Beli, Yawe Sunbin-Got em Adam so em kalel so yemkal biim Iden yenbakalase ding kabalak e, e musun beem ataan telebe dulum kalote, akalem dabalakamin finik kitil nam mak mo koyemse kale. Mo koyemse yemdakamin finik biim wiin e Kelubim te. I biol atul o, tiakim o, ailbin fian atew famdes famdes kelewse so tuk mosiliw kale. Tuk moko, Iden musun ka kel kuw diwkuw diwkuw kutebiliw kasike, kawtiw bi finik so bin duyembe ais ayem beem mit mewso nam uniw te.
GEN.4.1	Beli, Adam e kalel Iw ulo aul duumei, u kunum aul mak dukuko, beem wiin e “Ken.”, dangsu kale. Nimtew angom? U bokolomelu: “Yawe e nelo ken kenemei, ne kunum aul mak dukuli te.”, angsu kasike. 
GEN.4.2	Angeko, iti aul fakileweko, aul mak dukului, i em wiin e “Ebel”, dangsiliw kale. E Ken em awkunum te. Aso i tenbelsomeliwi, Ebel em aluwbamin e siwsiw yetebin kunum kesomelei, Ken em aluwbamin e wanin kaimin kunum kese kale.
GEN.4.3	Keko beli, deiw mak ding mak kelei, Ken e Yawe elo “Weso! Seyo!”, dangeko, emisik em yongiw wanin kuluko, dukalewale kale. 
GEN.4.4	Beli, Ebel akati Yawe elo “Weso! Seyo!”, dangeko, emisik dukulu siwsiw men ibolow mel ati kuw mak kele be anko, dukalewale kale. Dukalewei, Yawe e Ebel elo kalfong fian kelewale kate,
GEN.4.5	e Ken so, akalem dukulewkabe emisik yongiw wanin beso diw atemeko, beelo kakatinba kelewale kale. Kelewbelei, Ken e atemeko, ibolow wa kelei, em kiinguen kaim alala kaisuw nanew kuw famdes kese kale. 
GEN.4.6	Keko beli, Yawe e Ken elo bokolewomele: “Kutaka! Ku nobelew a? Nimtew angom ete kom kiinguen amu kaim alala kaisuw nanew kuw famdes kebelew, a? 
GEN.4.7	Ku kilila! Kute ken kukuw kuw kebelew tewe, ken kuw bokolew te. Kate, ku wa kukuw kemew tewe, wa kukuw be kulo kensomelei, teng so kekemoke te. Kate, kukal kitil keko, beelo de mit da kolewolewka!”, dangse kale.
GEN.4.8	Dangei, anfel e, Ken e Ebel awkunum beelo bokolewomele: “Kaso nu kut kakamuma!”, dangse kale. Dangei, aso i uneko, kut dim mit tem unsiliw kale. Uneko, Ken e awkunum beelo alei, e kuanse kale.
GEN.4.9	Keko beli, Yawe e Ken elo dakalalomele: “Kom kawkunum Ebel e, nal kel be?”, dangse kale. Dangei, Ken e yan weng mak bokolewomele: “Ne kal e! Ne elo atebin kunum ba kasike!”, dangse kale. 
GEN.4.10	Dangei, Yawe e Ken elo bokolewomele: “Kutaka! Nimtew angom ete ku kukuw wa be kelew a? Feinka! Kawkunum beem kaim e buselewi, e kawin tem une te. Ne kaim beem amemin kililika. Kaim be nelo gaaneko, bokonemomele: ‘Kukuw wa beem yan wa dulewa o!’, nange te.
GEN.4.11+GEN.4.12	Kame, ne weng kitil weng mak dukemi te. Nimtew angom? Ku kawkunum alewi, e kuane kasike. Kame, kukati yakok kekemi te. Kawkunum em kaim aleleko, kawin kale du kelew kasike, wanin kailokolew be, nam tebeme te. Ku fukafuka kunum kesomi, kawin abin dak kilele ken nam teinew te.”, dangse kale. 
GEN.4.13	Dangei, Ken e yan weng bokolewomele: “Ebe! Kame, ilum fian mak dunemew kae! Kal ilum fian mak keli te. 
GEN.4.14	‘Ku wanin nam kaimew te!’, nangew te. ‘Nem mewso nam bew te!’ nangew te. ‘Kawin banim o!’ nangew te. ‘Fukafuka kunum bew te!’, nangew te. Kame ne ‘I nelo neniw kuanoki sako!’, angomi, finganbi te.”, dangse kale. 
GEN.4.15	Dangei, Yawe e Ken elo bokolewomele: “Ku finganemokolew te! Ne weng fawtuk ayem weng fian mak kulo dukemi te. Mak kunum mak keniw tewe, ne ilo ilum fian mak duyemsomi, im yan wa kulokoliw yan be kom kulubelew yan wa be ben kel em dim bakilewoke te.”, dangse kale. Dangeko, Yawe e Ken em dim e mak eisneng mak dukulewbelei, kawtiw i beelo atemsomi, elo alinba kemaliw kale.
GEN.4.16	Beli, Ken e Yawe em mit elo koleweko, uneko, kawin mak teinse kale. Kawin beem wiin e Not.
GEN.4.17	Beli, Ken e akalem kalel so bomi, ulo aul duumse kale. Duumei, u kunum aul mak dukuko, em wiin e “Enok”, dangsu kale. Keko beli, Ken e abiw mutuk fian mak gesomelei, abiw mutuk fian beem wiin e akalem min em wiin so takayak moleweko, “Enok!”, dangse kale.
GEN.4.18	Beli, Ken em min Enok e waneng mak kuluko, aul mak dukuko, em wiin e “Ilat” dangse kale. Ilat em min e Mekuyael te. Mekuyael em min e Metusael te. Metusael em min e Alamek te. 
GEN.4.19	Alamek be kayot kunum keko, waneng alew mak yemduse kale. Waneng alew mak um wiin e Ada, mak um wiin e Sila te. 
GEN.4.20	Ada bu kunum aul mak dukuko, em wiin e “Yabal!”, dangsu kale. Yabal so em muluwel dow so i samal kal benemin am kakabiliw kunum waneng kesomi, bulmakao so siwsiw so yetebin kawtiw im kunum mongom kesiliw kale. 
GEN.4.21	Akalem awkunum em wiin e Yubal te. Yubal so em muluwel dow so i fotiaw so, tanam atew eisneng so, beem dim sim bakabiliw kawtiw im kunum mongom kesiliw kale. 
GEN.4.22	Keko beli, Alamek em afam waneng Sila ukal aul mali mak dukusu kale. Emisik min em wiin e Tubal-Ken te. Tubal-Ken so em muluwel dow so i biol so sek so kaimin kawtiw im kunum mongom kesiliw kale. Sila bu waneng aul mak ukal dukusomi, um wiin e “Nama!”, dangsu kale. 
GEN.4.23	Keko beli, Alamek e akalem kalel alew ilo bokoyemomele:
GEN.4.23	“Ada! Sila! Nem kalel alew, kuso yu nem weng kale kililina!
GEN.4.23	Kunum tenbel mak neso genei, ne elo anii, e kuanse te.
GEN.4.23	Beemdiw aul mak nelo betbet dunemei, ne elo an fomdosi te.
GEN.4.24	Beli kasike kame, kawtiw kanete mali mak i Ken elo aliw tewe, im yan wa e atin kuw ilum fian keko, mali im ilum kulokoliw beelo ben kel em dim bakilewoke te.
GEN.4.24	Kate, mali kawtiw mak nelo ilum mak dunemiw tewe, i kanebiliw beem yan e 77 dim kel kulokoliw te!”, yangse kale.
GEN.4.25	Beli, Adam e kalel Iw ulo iti aul mak duumei, u iti kunum aul mak dukusu kale. Dukuko, aul beem wiin e “Set.”, dangsu kale. Nimtew angom? U bokolomelu: “Feinka! Ken e akalem ning elo alei, e kuanse kate, Yawe e kuanse kunum Ebel em abin kulomin aul mak dunemse
GEN.4.26	Keko beli, Set akal min mak dukuko, em wiin e “Enos”, dangse kale.
GEN.4.26	Beem ding kabalak e, kunum waneng i Yawe em wiin daolim kukuw matem dasiliw kale.
GEN.5.1	Sang be, Adam em muluwel im talfut keyemse sang te.
GEN.5.1	Sunbin-Got em Adam beelo talfut kilke dukuse em ding dim e, e elo akalem takak atew kelewse kale.
GEN.5.2	Keleweko, kunum kelew, waneng keum duku koyemomi, ilo bamki so keyemeko, im wiin e bokoyemomele: “Kawtiw kunum waneng yute te!”, yangse kale.
GEN.5.3	Beli, Adam em itol e 130 keko, min mak akalem takak emdiw dukuko, em wiin e Set dangse kale. 
GEN.5.4	Dangeko, em itol e 800 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.5	Aul kailsomelei, akalem itol e 930 kelei, fe e kuanse kale.
GEN.5.6	Set em itol e 105 keko, Enos dukuko, em alew kese kale. 
GEN.5.7	Keko, em itol e 807 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.8	Aul kailsomelei, akalem itol e 912 kelei, fe e kuanse kale.
GEN.5.9	Enos em itol e 90 keko, Kenan dukuko, em alew kese kale. 
GEN.5.10	Kenan dukuko, em itol e 815 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.11	Aul kailsomelei, akalem itol e 905 kelei, fe e kuanse kale.
GEN.5.12	Kenan em itol e 70 keko, Makalalel dukuko, em alew kese kale. 
GEN.5.13	Makalalel dukuko, em itol e 840 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.14	Aul kailsomelei, akalem itol e 910 kelei, fe e kuanse kale.
GEN.5.15	Makalalel em itol e 65 keko, Yalet dukuko, em alew kese kale. 
GEN.5.16	Yalet dukuko, em itol e 830 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.17	Aul kailsomelei, akalem itol e 895 kelei, fe e kuanse kale.
GEN.5.18	Yalet em itol e 162 keko, Enok dukuko, em alew kese kale. 
GEN.5.19	Enok dukuko, em itol e 800 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.20	Aul kailsomelei, akalem itol e 962 kelei, fe e kuanse kale.
GEN.5.21	Enok em itol e 65 keko, Metusela dukuko, em alew kese kale. 
GEN.5.22	Metusela dukuko, em itol e 300 makso keko, Sunbin-Got em weng gelewsomi, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.23	Aul kailsomelei, akalem itol e 365 kelewse kale. 
GEN.5.24	E Sunbin-Got em weng gelewkabe kunum kese kasike, deiw mak ding mak kabalak e, Sunbin-Got e kunum beelo kal so kun so kulei, kawtiw i elo ateminba keko, fen kolewsiliw kale.
GEN.5.25	Metusela em itol e 187 keko, Alamek dukuko, em alew kese kale. 
GEN.5.26	Alamek dukuko, em itol e 782 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.27	Aul kailsomelei, akalem itol e 969 kelei, fe e kuanse kale.
GEN.5.28	Alamek em itol e 182 keko, kunum aul mak dukuko, em alew kese kale. 
GEN.5.29	Keko, min beem wiin e Noa
GEN.5.30	Noa dukuko, em itol e 595 makso keko, iti kunum aul duku, waneng aul duku, kailse kale. 
GEN.5.31	Aul kailsomelei, akalem itol e 777 kelei, fe e kuanse kale.
GEN.5.32	Noa em itol e 500 keko, Sem, Kam, Yafet yangmeli biilo kail dukuse kale.
GEN.6.1	Beem ding dim kabalak e, kawin dim kaleem kawtiw i banso kesomeliwi, waneng aul duku tem duku tem keyemsiliw kale.
GEN.6.2	Keyemsomeliwi, waneng aul biim seiwel kesiliw ding dim e, finik kunum
GEN.6.3+GEN.6.4	Yemdusomeliwi, i aul kailsomeliwi, aul bi tanbeleko, kunum waneng tiaktiak, kitil nam inkal so fasulin kunum waneng ke alenaliw kale. Keko beli, Yawe e bokolomele: “Diwkuw diwkuw, nem finik e nam kunum waneng iso be te. Nimtew angom? Kunum waneng dem so kal so biliw kasike. Ikalem itol e 120 ka kel kuw ayet keyemi te.”, angse kale.
GEN.6.5	Beli, Yawe e kawin dim kaleem kunum waneng im ibolow sili sili nam atemeko, “Ikalem ibolow e diwkuw diwkuw sili sili nam kukuw kuw gelewkabiliw kai!”, angeko,
GEN.6.6	sakik fian mak kuluko, bokolomele: “Nimtew angom ete ne kunum waneng bi talfut keyemsi yake?”, angeko, ibolow tiaktiak kese kale. 
GEN.6.7	Kesomi, bokolomele: “Kilkeyemsi kunum waneng so, samal so, abiil dim boktak kakabiliw awon so, kawin dim em samal so, alik alik finik so biliw biilo kuiaw banim keyemoki te.”, angse kale. 
GEN.6.8	Angse kate, Sunbin-Got e Noa em ibolow fukunin kiol so, em kukuw ken so be atemse kale.
GEN.6.9	Sang be, Noa em talfut kelewse sang te.
GEN.6.9	Sunbin-Got em kiin dim e, Noa e kunum kiol kuw kunum keko bomelei, e Sunbin-Got em ibolow fukunin kuw gelewemale kunum alenale kale. 
GEN.6.10	Em muluwel alemsal biim wiin e mak e Sem, Kam e, Yafet e.
