MAT.1.1	Abraham tapa David, tapa Jesu Krist khangthu bu.
MAT.3.11	Ken na kisikna uh lahna ding in tui in kung baptis a, hinanleh ka nung a hung paidingpa ahihleh keisang a hatzaw ahi a; akhedap tawi ding a zong taklou ka hi. Aman Khasiangthou leh mei in ahung baptis ding hi. 
MAT.3.12	A phikphek a khut ah a tawi a, aman a buhphual ngiltak in ajapsiang kilkel ding a tualeh anbuk sungah buhtakte a koihkhawm ding a; hinanleh buhsite pen amittheilou mei tawh ahaltum ding hi.”
MAT.3.13	Tuachi`n Jesu Johan kiang a baptisma tang ding in, Galili gam a pan Jordan luiah a hungpai hi. 
MAT.3.14	Hinanleh Johan in kham sawm in, “Nang kei nung baptis ding poimoh jaw hi`ng a, Kei kiangah Nang nungpai jawsop ding maw!” achi hi.
MAT.3.15	Hinanleh Jesu`n a dawng a hichi`n a kiangah, “Tu`n hithei sak teitei in; hihbang diktatnate tengteng sep tangtun ei a ding a chinna ahi,” achi hi. Tuachi`n aman aphalsak ta hi.
MAT.3.16	Tualeh Jesu`n baptisma a tankhit, tuilak a pat ahung pawtkhiat phet in, ngaiin, amah a dingin van ahung ki hongkhia a, vak in amah a khohsuk a Pasian Khasiangthou vakhu bang a hung kumsuk amu hi. 
MAT.3.17	Tuachi`n thakhat in van a pan in aw khat in, “Hih Ka Tapa it tak ahi, Ka kipahna mahmah ahi,” achi hi. 
MAT.4.1	Tuachi`n Jesu setan khem a om dingin gamdai ah kha puiin ahung omta hi. 
MAT.4.2	Tuachi`n amah sun sawmli leh ja`n sawmli anngawl a aomzoh nungin, agil ahung kialta hi. 
MAT.4.3	Tuachi`n khemtu a kiangah a hungpaita a, aman a kiangah, “Nang Pasian Tapa nahihleh, hih suangte tanghou suaksak ding in thu pia in,” achi hi.
MAT.4.4	“Hinanleh aman adawng a, ‘Mihing tanghou guak in a hingkei ding a, hinanleh Pasian kam a thuchin pawtte in ahingjaw ding chih gelh ahi, achi hi.’ ” 
MAT.4.5	Tuachi`n dawimangpa`n amah khuapi siangthou tung ah a paitouhpih a, Tempul tungvum ah akoih a, 
MAT.4.6	tuachi`n a kiangah, “Nang, Pasian Tapa nahihleh, nang leh nang ki kiasuksak in,
MAT.4.6	‘Na tungthu ah aman a vantungmite thu a pia ding a;
MAT.4.6	Na keng a suang na suihkhak louhna ding in,
MAT.4.6	akhut un ahung dom nading uhi, chih gelh ahi, achi hi.’ ” 
MAT.4.7	“Jesu`n a kiangah, ‘Toupa na Pasian ze-et ken chih zong gelh ahi,’ ”
MAT.4.7	achi hi. 
MAT.4.8	Tuachi`n dawimangpa`n amah mual sang penpen tungah a paitoupih kik leuleu a leitung gam tengteng leh a thupina a ensak a. 
MAT.4.9	Aman a kiangah, “Kamaia ku`n a nung biakleh, hih silte jousiah nang kung pia ding, achi hi.”
MAT.4.10	Tuachi`n Jesu`n a kiangah, “Setan! hihsan a kipan in paimang in, ‘Toupa na Pasian na biading a, ama nna guak nasep ding ahi, chih gelh ahi, achi hi!’”
MAT.4.11	Tuachi`n dawimangpa`n amah apaisanta a; ngaiin, thakhat in vantungmite a hungpai ua amah nna ahung sepsakta uhi.
MAT.4.12	Johan thong ah akikhum chih Jesu`n ajaktak in, Galili lam ah a kihepsanta hi. 
MAT.4.13	Tuachi`n Nazareth khua nusia in Zebulun leh Naptali dil geia om, Kapernaum khua ah hungpai in atengta hi. 
MAT.4.14	Tuapen Jawlnei Isaiah in anagen a tangtunna ding in,
MAT.4.15	“Tuipi geia Zebulun gam leh Naptali gam,
MAT.4.15	tuipi zotna lampi a om, Jordan kantan a,
MAT.4.15	Jentelte tenna, Galili gam a! 
MAT.4.16	Miallak a tou mite`n,
MAT.4.16	va`k thupitak amu ua.
MAT.4.16	Sihna mun leh alim a toute tungah
MAT.4.16	Khua ahung vakta, achi hi.”
MAT.4.17	Tuahun a kipan in Jesu`n thugen a panta a, “Kisi`k un, van gam anaita hi!”
MAT.4.17	achi hi. 
MAT.4.18	Tuachi`n Jesu Galili tuipi piau ah avak a, unau pasal nih, Peter zong kichi Simon leh, a sanggampa Andru, amauh ngamanmi ahihjiak un, tuipi a ngen khuhlai amu a. 
MAT.4.19	Aman akiang uah, “Hungjui un, mihing man ding in nou kungbawl ding,” achi hi. 
MAT.4.20	Amau`n zong kintakin a ngente uh nusia in anung ajuita uhi.
MAT.4.21	Hua a kipan paijel in, unau pasal dang nih, Zebedi tapa Jakob leh a sanggampa Johan, apa tawh gunkuang sunga a ngen uh bawlpha a om amuh in amau tegel a sam a, 
MAT.4.22	amau`n zong gunkuang leh apa uh nusia in anung a juipaita uhi.
MAT.4.23	Tuachi`n Jesu Galili gam tengah vak kawikawi in, a kikhopna inn uah thu hilh in, gam tangthupha thu gen in mipite lak ah damlouhna chituam tuamte leh natna chituam tuamte a damsak hi. 
MAT.4.24	Tuachi`n Siria gam tengah atanchin ahung thangta a, amauhte`n a kiangah achina jousiah ahung paipihta ua, natna chi tuamtuam a damloute leh gimthuakte: dawimatte, kaihveite leh jengte ahung paipih ua, aman ana damsakta hi. 
MAT.4.25	Tuachi`n Galili gam a pan, Dekapolis gam a pan, Jerusalem a pan, Judea gam leh Jordan gal lam a pan mihon tampite`n anung ajuita uhi.
MAT.5.1	Mihonpi amuhtak in, mual tungah apaitou a, atou a. Anungjuite a kiangah ahungpaita ua, 
MAT.5.2	tuachi`n thu agen a, hichin a nungjuite thu ahilhta hi:
MAT.5.3	“Khalam a jawngkhalte a hampha uhi;
MAT.5.3	van gam amau ua ahihman in!”
MAT.5.4	“Lungkhamte a hampha uhi;
MAT.5.4	khamuan a om ding ahihman un!” 
MAT.5.5	“Mi nunnemte ahampha uhi;
MAT.5.5	leigou luah ding ahihman un!” 
MAT.5.6	“Diktatna lunggulh a gilkial dangtakte ahampha uhi;
MAT.5.6	taiding ahihjiak un!” 
MAT.5.7	“Zahngaitheite ahampha uhi;
MAT.5.7	zahngaihna mu ding ahihman un!”
MAT.5.8	“Lungsim a siangthoute ahampha uhi;
MAT.5.8	Pasian mu ding ahihjiak un!” 
MAT.5.9	“Lemna bawlte ahampha uhi,
MAT.5.9	Pasian Tate kichi ding ahihjiak un!”
MAT.5.10	“Diktatna jiaka gawtna thuakte ahampha uhi;
MAT.5.10	van gam amauh a ahihjiak in!” 
MAT.5.11	“Mi`n Kei jiaka ahung housiat ua, ahung gawt ua juau a gilou chiteng a ahunghek hun chiang un na hampha uhi. 
MAT.5.12	Nuam unla nakpitak in kipak un, van ah na nuamman uh thupi ahihman in. Tuamah bangin namai ua Jawlnei omte zong ana bawlsia uhi.” 
MAT.5.13	“Noute lei chi nahi uhi. Hinanleh chi in a alna mansuah taleh, bang chi`n alkikthei ding ahia, Paihkhiat a mite chilgawp ding louhngal in bangmah phattuamna anei nawnkei ding hi. 
MAT.5.14	“Noute leitung va`k nahi uh. Mualtung a khuapi om pen phualdap theih ahi kei. 
MAT.5.15	Kuaman a meivak de in lawh nuaiah akoih ngaikei; a tanna khuam tungah akoih a, tuachi`n ava`k in innsung teng asalhvakjaw hi. 
MAT.5.16	Tuachimah bangin, na va`k uh mite maiah va`k hen, tuahileh mi`n na nasep-hoihte uh mu un chin, van a om na Pa uh min aphatthei ding uhi. 
MAT.5.17	“Jawlneite leh da`nthu beisak ding a hungpai ka hih hung gingta kei un. Beisak ding a hungpai ka hikei a tangtungsak ding a hungpai ka hijaw hi. 
MAT.5.18	Adiktak in na kiang uah kung hilh ahi, lei leh van aman masiah, da`nthu bu a sut vom khat hiam, laimal neunou khat zong a mangthang kei ding, aun a atangtun masiah. 
MAT.5.19	Tuajiakin, kuahileh hih da`n thupiakte lak a neupen khatmai zong juilou a, tuabang bawl ding a mi hilhte pen, van gam ah mineupen a kichi ding uhi. Hinanleh kuahileh a jui a mi hilhte van gam ah milian a kichi ding hi. 
MAT.5.20	Na diktatna un Laigelhmite leh Pharisaite diktatna akhupzoh keileh, van gam na lut kei ding uh, chih kung hilh ahi.
MAT.5.21	“Tanglai mite kiangah, ‘Tual na thahlouh ding uh ahi, kuahileh tualthat in thukhenni a dingin lauhhuai takin aom ding chih na jata uhi.’ 
MAT.5.22	Hinanleh ken noute kung hilh ahi: Ajiak beia a sanggampa tung a hehmi pen thukhenna thuak ding in alauhuai ding; tualeh a sanggampa sialphou mi pen vaihawmpawl maia dinding alauhuai ding; hinanleh a sanggampa kiang a ‘Nang mimaw!’ chi mi pen gawtmun meidil a paihding alauhuai ding hi. 
MAT.5.23	Tuajiakin maitam a silpiak latding a nungtawi laitakin, na sanggampa`n na tungah banghiam khat lungkim louhna anei hi chih na theihleh, 
MAT.5.24	maitam maiah na silpiak nusia inla, pai inla na sanggampa tawh kilem masaphot inla, tuakhit chiah hungpai inla na silpiak lan in.
MAT.5.25	“Na langpa tawh lampi a na pailai un kintakin kileppih in, atuachih keileh na langpa`n vaihawmmite khut ah ahung piakhia kha ding a, tualeh vaihawmmite`n mimanpa khut ah ahung piakhia kha ding a thong ah a hungkhum kha ding uhi. 
MAT.5.26	Adiktak in na kiang uah kung hilh ahi, paisasan khat bek napiak masiah hua a pan-in na pawtkhia ngaikei ding hi.
MAT.5.27	“Tanglai mite kiangah, ‘Ang na kawmlouh ding ahi,’ chia kigen najata uhi. 
MAT.5.28	Hinanleh Ken: kuahileh numei sualpih utna tawh enmi in a lungsim in huanu tawh ang a kawmkhinta ka chi hi. 
MAT.5.29	Tualeh na mit jiatlam in ahung khialhsak ding leh, kheikhia inla na kiang a pan paikhia in! Na pumpi gawtmun meidil a paih a aom sangin na chimeng khat mansuah nang a dingin ahoihjaw hi. 
MAT.5.30	Tuaban ah nakhut jiatlam in ahung khialhsak ding leh, sattan inla na kiang a pan paikhia in! Na pumpi a gawtmun meidil a paih a na om sangin na chimeng khat mansuah nang a dingin ahoihjaw hi. 
MAT.5.31	“Tuaban ah, ‘Kuapeuh azi khul in, kikhulna lai a kiangah pia hen,’ zong aki chi hi. 
MAT.5.32	Hinanleh Ken: kuapeuh angkawm jiak hilou a, bangjiak hiam a azi khul in, amah angkawmsak ahi; tualeh kuapeuh khulsa numei kitenpihte zong angkawm ahi, ka chi hi. 
MAT.5.33	“Tanglai mite kiangah, ‘Juauthu in kichiam kenla, hinanleh Toupa kiangah na kichiamnate tangtung sakjaw in, a kichi chih zong najata uhi.’ 
MAT.5.34	Hinanleh Ken na kiang uah kung hilh ahi: Kichiam mawng mawng kei un. Van louin kichiam kei un, Pasian Laltouna ahihjiak in; 
MAT.5.35	leitung louin zong kichiam kei un, akeng koihna ahihjiak in; Jerusalem lou in zong kichiam kei un, kumpi liantak khuapi ahihjiak in. 
MAT.5.36	Na lutang louin zong kichiam kei un, ajiak samzang khat zong na kangsakthei kei a, zong na vomsakthei kei hi. 
MAT.5.37	Hinanleh, ‘Ahi’ nachih uleh ahi hihenla, ‘Hilou’ nachih uh ahilou hilel hen, aka`n avalpen gitlouhna a kipan ahi.
MAT.5.38	“ ‘Mit tang in mit, ha tang in ha, aki chi chia kigen na jangaita uhi.’ 
MAT.5.39	Hinanleh Ken na kiang uah kung hilh ahi: migiloute dal kenla, hinanleh kuahiam in na pheta jiatlam ahung bek leh alangkhat zong dawh in. 
MAT.5.40	Kuahiam khat in hung hek a na puan-ak a lakmang utleh na puantual zong lasakvet in. 
MAT.5.41	Tualeh mi kuahiam in melkhat pai ding a nang ahung phutleh, amah toh melnih pai in. 
MAT.5.42	Na kiang a hungngen kiangah pia inla, tualeh na kiang a leitawi nuamte a pan kihem mang ken.
MAT.5.43	“Na vengte na it ding a, ‘Na melmate na huading chia kigen na ja-ngaita uhi.’ 
MAT.5.44	Hinanleh Ken na kiang uah kung hilh ahi: na melmate it inla, nang hung gensiate thupha pia inla, nang hung huate kiang ah silhoih bawl inla, tualeh nang hung gawtte leh nang hung nuaisiahte thumsak jaw in, 
MAT.5.45	van a om na Pa uh tate na hung hihtheihna ding un. Aman migiloute tung leh mihoihte ni suaksak a, tualeh midikte tung leh midikloute tungah guah a jusak hi. 
MAT.5.46	Nou hung itte guak na it uleh, nuamman bang ahia namuh ding uh? Siah dongmite nangawn in zong tuabang in a bawljel uh hilou maw! 
MAT.5.47	Tualeh na sanggamte guak na pahtak uleh, midangte sangin bang na bawltamjaw tuan a? Siah dongmite nangawn in zong tuabang in a bawljel uh hilou maw! 
MAT.5.48	Tuajiakin van a om na Pa uh a hoihkim sipsip mah bangin nou zong na hoihkim sipsip ding uhi.” 
MAT.6.1	Mi mai a silhoih nabawlte uh amauhte mitmuh a bawllou dingin pilvang un, atuachih keileh van a om na Pa uh a pan nuamman na mukei ding uhi. 
MAT.6.2	“Tuajiakin silhoih na bawlchiang un milepchiahte`n mite maipha zong a kikhopna inn leh khualai lak a abawl bang un namai ah pengkul mut ken, adiktak in na kiangah kung hilh ahi, amauhte`n a nuamman uh amuta uhi. 
MAT.6.3	Hinanleh silhoih na bawlchiang in nakhut jiatlam in abawl nakhut veilam in theihdah hen. 
MAT.6.4	Na silhoih bawl pen agu`k in bawl in, tuahileh na Pa uh agu`k a mupa`n amah in langtangtak in nuamman nang a hungpia ding hi.”
MAT.6.5	“Tualeh na thumchiang un milepchiahte bang kei un! Mi muh ding deih in amauhte`n kikhopna inn ah dinsa in a thum ua, tualeh kongjing ninglak ah athum nuam sese uhi. Adiktak in kung hilh ahi, amauhte`n a nuamman uh amuta uhi. 
MAT.6.6	Hinanleh nang na thumchiang in, na inndan sungah pai inla, kot nakhak zohchiah, agu`k a om na Pa kiang ah thum in. Tuahileh agu`k a hungmu na Pa in langtangtak in nuamman nang hung pia ding hi.
MAT.6.7	“Hinanleh nathum chiang in, Lawkite bangin thulimlou pouh ngen kikkik kei un, amauhte`n tamveipi genlei ingetna ja`k in a om ding chi`n a ngaihsun uhi. 
MAT.6.8	Tuajiakin amauhte bang kei un. Na ngetma un na poimohte uh na Pa un a theikhin hi. 
MAT.6.9	Tuajiakin hihbang in thum un:
MAT.6.9	‘Ka pa uh van a om:
MAT.6.9	Na min kizahtak hen;
MAT.6.10	Na gam hungtung hen;
MAT.6.10	Na deihlam van a akibawl bangin, leiah zong kibawl hen.
MAT.6.11	Nisial a ka nekkhop uh an hung pian.
MAT.6.12	Ka tung ua khialte ka ngaihdam bang un,
MAT.6.12	Kou khialhnate zong hung ngaidam in.
MAT.6.13	Khemna ah hung kailut kenla,
MAT.6.13	Gilou lak pan hung hunkhiajaw in.’
MAT.6.13	Gam leh sil bawltheihna leh thupina,
MAT.6.13	tangtawn a Nang a ahihjiak in. Amen. chi-in. 
MAT.6.14	“Mi tatkhialhna na ngaihdam uleh, van a om na Pa un ahung ngaidam ding hi. 
MAT.6.15	Hinanleh mi tatkhialhna na ngaihdam kei uleh, van a om na Pa un ahung ngaidam kei ding hi.”
MAT.6.16	Tuaban ah, “An na ngawl chiang un milepchiahte bangin dahmel puakei un. Amauhte`n anngawl ahih uh mi mitmuh a akilat theihna dingin amai uh a nguisak uhi. Adiktak in kung hilh ahi, amauhte`n a nuamman uh a mukhinta uhi. 
MAT.6.17	Hinanleh nang an na ngawlchiang in, na lu sathau nuh inla, na mai phiat in, 
MAT.6.18	tuachi`n na Pa agu`k a om mitmuh ah loungal midangte mitmuh in anngawl na bangkei ding a, agu`k a hungmu na Pa in alangtang in nuamman a hungpia ding hi.
MAT.6.19	“Leia leikha leh samek in a neksiat theihna leh, gutate`n a suksiat ua a guktheihna mun hih leitung ah, gou kikhol kei un. 
MAT.6.20	Hinanleh, van ah leikha leh samek in aneksiat theihlouhna leh, gutate`n asuksiat ua aguk theihlouhna mun ah, Gou kikhol jaw un. 
MAT.6.21	Ajiak pen nagou omna peuh uah na lungsim uh zong a om hi.
MAT.6.22	“Taksapum a dingin mit pen meiva`k ahi a, tuajiakin namit ahoih leh na taksa pumpi va`k in a pumdim ding hi; 
MAT.6.23	hinanleh na mit ahoih keileh, na taksa pumpi mialna in a pumdim ding. Tuajiakin na sung a om va`kpen mialna a a pumdimleh, tua mial pen thupi tazen nan chia!
MAT.6.24	“Kuamah in tounih nna a semkop thei kei; khat hua in khat a it ding; ahihkeileh khat ah agin-om ding a, adang khat a simmoh ding hi. Pasian leh dangka nna a semkop thei kei ding. 
MAT.6.25	“Tuajiakin na kiang ah kung hilh ahi: bang ahia ka nek ding bang ahia ka dawn ding chi`n na hinna thu uh leh, bang ahia ka silh ding bang ahia ka ten ding chi`n na sapum thu uah lungkham kei un. Na nek ding sang un hinna poimohjaw hilou maw? Nasilh naten ding sangun na pumpi uh poimohjaw hilou maw? 
MAT.6.26	Tungleng vasate en un: amauhte`n buh atuhkei ua a atkei uh, anbuk ah a kholkhawm kei uh; hinanleh na Pa uh van a om in ava`k hi! Noute amauhte sangin manphajaw tham hilou nahi uh hiam? 
MAT.6.27	Noute lak ah kuan ahia lungkham jiaka adunglam tongkhat behlap thei?
MAT.6.28	“Tuajiakin bangding a silh leh ten a lungkham na hi uh hiam? Gamlak a Lilipakte khandan ngaihsun un: nna asemkei ua, khau zong akhek kei uh. 
MAT.6.29	Tualeh na kiang uah kung hilh ahi, Solomon hilhial zong athupina tengteng tawh a kizep in zong hih Lilipakte lak a khat bang a zep in a omzou kei hi. 
MAT.6.30	Tuachia gamlak a hampa tunia hing a, ajingchiang a vul a meikhuk a paihmai ding bawn Pasian in huachitan a azep tazen leh! aw nou ginna tawmte silh leh ten tamjawin hungjem jawtham lou ding maw!
MAT.6.31	“Tuajiakin: ‘Bang ne in, bang idawn dia? chi-in hiam, bang isilh dia? chi-in hiam lungkham kei un.’ 
MAT.6.32	(Jentelte`n hihte tengteng a zong uhi.) Hihte tengteng na poimoh uhi chih van a om na Pa un athei hi. 
MAT.6.33	Hinanleh Pasian gam leh adiktatna pen zong masa phot un, tuahileh hihte tengteng zong na kiang uah piakbehlap ahi ding hi. 
MAT.6.34	Tuajiakin jingchiang a dingin lunghimoh kei un; ajingchiang in amah a ding aki lunghihmoh nading hi. Nikhat a dingin nikhat buai ahun hi.
MAT.7.1	“Thu khen kei un, tuahileh thu khen in na omkei ding uhi, 
MAT.7.2	thukhenna nabawl bangbang in nang zong thu khensak in na om ding; tualeh tehna nazak bangbang in na kiang ah teh in na om ding hi. 
MAT.7.3	Tualeh, bangding a, nangma mit a om singtun ngaihtuahlou a na sanggampa mit a om ninthem mu nahia? 
MAT.7.4	Ahihkeileh bang chi`n na sanggampa kiang ah, ‘Namit a nintang pen hung lakkhiatsak ning na chithei dia,’ Tualeh en in, nangma mit ah singtun om hilou maw? 
MAT.7.5	Milepchiah! nangma mit a om singtun lakhia masa in, tuahileh na sanggampa mit a kipan ninthem lakkhiat ding a om pen siangtak in namu ding hi.
MAT.7.6	“Uite kiang ah sil siangthou piakei un, vokpi maiah na tuikepsuang uh zong paikei un, amau`n akeng un atuanchil ding ua, tualeh kiheiin nou ahung balnen khading uhi.
MAT.7.7	“Ngen un, tuachi`n piakin na om ding uhi; zong un, tuachi`n na mu ding uhi; kiu-un, tuachi`n hon in na om ding uhi. 
MAT.7.8	Kuapeuh a ngen taphot in a ngah ua, kuapeuh azong taphot in amu ua; tualeh kuapeuh akiu taphot honsakin a om ding uhi. 
MAT.7.9	Ahihkeileh kua in ahia a tapa in tanghou ngentaleh suang pia ding? 
