MAT.1.1	Issá Masih, 
MAT.2.1	Bádsháh 
MAT.2.2	Jostesh gept: “Hamá nonnok ke pa Yahudiáni bádsháhiá pédá butag, kojá ent? Má áiay estár dar áyagá distag o pa áiay 
MAT.2.3	Cha é habaray eshkonagá, Hirudis bádsháh o Urshalimay sajjahén mardom báz paréshán o deltaparkah
MAT.2.4	Hirudisá kawmay sajjahén dini péshwá o 
MAT.2.5	Áyán passaw
MAT.2.7	Gorhá 
MAT.2.8	Randá áiá nojumi pa hamá nonnokay shóház o dar géjagá Bayt-Lahemá ráh dátant o gwashti: “Berawét o é chokkay bárawá sharr patth o pól bekanét, wahdé shomá dar gétk, maná sahig bekanét tán man ham pa áiay 
MAT.2.9	Bádsháhay habaráni eshkonagá rand, nojumi sar geptant. Ráhá rawán, hamá estár ke áyán dar áyagá distagat, áyáni démá pésh kapán, hamá jágahay sarborá óshtát, ke nonnok ódá at. 
MAT.2.10	Cha é estáray gendagá, sakk báz washdel butant. 
MAT.2.11	Lógá shotant o nonnokesh áiay mát Maryamay gwarán dist. Gorhá kóndhán kaptant o chokkesh parastesh kort, wati tohpah o thékiáni hokkah
MAT.2.12	Randá, Hodáyá wábá á hozzhár kortant ke Hirudisay kerrá per matarrant. Gorhá cha dega ráhé, wati molká shotant.
MAT.2.13	Nojumiáni per tarragá rand, 
MAT.2.14	Gorhá, Issop anchosh ke cha wábá ágáh but, chokk o chokkay máti zort o shapi shap dém pa Mesrá shot. 
MAT.2.15	Tán Hirudisay marká hamódá mantant tán Hodáwanday hamá habar rást o paddar bebit ke cha nabiay kawlá gwashag butagat: 
MAT.2.16	Wahdé 
MAT.2.17	É dhawlá 
MAT.2.20	Préshtagá gwasht: “Pád á, chokk o chokkay mátá bezur o padá wati molk, Esráilá per betarr. Chiá ke chokkay koshagay shawr borrók
MAT.2.21	Nun Issop pád átk o chokk o chokkay máti zortant o padá Esráilay molká átk. 
MAT.2.22	Bale wahdé sahig but ke Hirudisay jáhá áiay chokk 
MAT.2.23	Ódá, Náserahay shahrá jahmenend
MAT.3.1	Á róchán, pákshódókén Yahyá átk o 
MAT.3.2	“Cha wati gonáhán pashómán bebét,
MAT.3.3	Yahyá hamá ent ke 
MAT.3.4	Yahyáyá cha oshteray pothán gwaptagén póshák gwará at o póstén kamarbandé lánká bastagat. Áiay ward o warák, madag o gyábáni bénag
MAT.3.5	 nendók, 
MAT.3.6	Wati gonáháni pashómániesh záher kort o Yahyáyá Ordonay kawrá 
MAT.3.7	Wahdé Yahyáyá dist ke 
MAT.3.8	Anchén kár bekanét cha áyán paddar bebit ke shomá pa del cha wati gonáhán pashómán butagét. 
MAT.3.9	Cha wati delá é habará dar bekanét ke ‘má Ebráhémay nasl o óbádag én.’ Man shomárá gwashán ke Hodá cha é seng o dhókán ham, pa Ebráhémá chokk o óbádag pédá korta kant. 
MAT.3.10	Nun tapar tayár ent ke drachkán cha boná begoddhit o har drachké ke sharrén bara nayárit, goddhag o ásá dawr dayaga bit.
MAT.3.11	“Man pa shomay gonáháni pashómániá, shomárá gón ápá 
MAT.3.12	Áiá cha bucch o pogán dánay jetá kanag o gisshénagá, hanshóné
MAT.3.13	Gorhá Issá cha 
MAT.3.14	Bale Yahyáyá johd kort áiá pa é kárá maylit o gwashti: “Báyad man cha tai dastá pákshódi begerán, taw chón mani gwará káay?” 
MAT.3.15	Issáyá gwasht: “Annun bell ke anchosh bebit, é paymá Hodáay razáyá sarjama kanén.” Gorhá áiá mannet o Issái pákshódi dát. 
MAT.3.16	Wahdé Issáyá pákshódi gept o cha ápá dar átk, anágat ásmánay dap pach but o 
MAT.3.17	Cha ásmáná tawáré átk: “É mani dóstén Bacch ent o man cha eshiá báz wassh o razá án.”
MAT.4.1	Randá, cha 
MAT.4.2	Chel shap o chel róch róchag dáragá rand Issá shodig but. 
MAT.4.3	Gorhá Shaytán pa áiay chakkásagá átk o gwashti: “Agan taw 
MAT.4.4	Issáyá passaw dát: “Pákén Ketábá nebisag butag:
MAT.4.5	Padá Shaytáná Issá pákén shahrá bort o 
MAT.4.6	gwashti: “Agan taw 
MAT.4.7	Issáyá gwasht: “Haw, bale chosh ham nebisag butag: 
MAT.4.8	Nun Shaytáná yak sakkén borzén kóhéay sará bort o cha ódá 
MAT.4.9	gwashti: “Agan taw mani démá kóndhán bekapay o maná 
MAT.4.10	Gorhá Issáyá gwasht: “Oo Shaytán! Cha mani démá gom bay! Pákén Ketábá nebisag butag: 
MAT.4.11	Nun Shaytáná á yalah dát o shot. 
MAT.4.12	Wahdé Issá sahig but ke Yahyá dazgir kanag butag, gorhá 
MAT.4.13	Náserahay shahri yalah dát o Kaparnáhumay shahrá jahmenend but. Kaparnáhum, Jalilay mazangwarmay
MAT.4.14	Paméshká é dhawl but ke 
MAT.4.17	Cha hamá wahdá, Issáyá é kolaw o paygámay rasénag bongéj kort. Gwashti: “Cha wati gonáhán pashómán bebét chiá ke 
MAT.4.18	Wahdé Issá 
MAT.4.19	Issáyá gón áyán gwasht: “Byáét, mani randgiriá bekanét o man shomárá anchosha kanán ke máhig geragay badalá, mardománi delá shekár bekanét.”
MAT.4.20	Áyán hamá damáná wati dám yalah dát o áiay hamráh butant. 
MAT.4.21	Wahdé kammé démá shot, dega do brát, Ákub o Yuhannái distant ke Zebdiay chokk atant. Bójigay
MAT.4.22	Áyán ham wati pet gón bójigá yalah dát o áiay hamráh butant.
MAT.4.23	Issáyá sajjahén 
MAT.4.24	Sajjahén Suriahá áiay nám o tawár prosht o mardomán har dhawlén nájórh o nádráh, 
MAT.4.25	Jalil, Dekápulis, 
MAT.5.1	Mardománi mazanén mocchiay gendagá rand, Issá kóhéay sará sar kapt. Wahdé borzagá nesht, morid ham áiay kerrá átkant. 
MAT.5.2	Gorhá é dhawlá áyáni tálim dayagá lagget:
MAT.5.3	“Bahtáwar ant hamá ke áyáni ruh wár o bazzag ent, chiá ke 
MAT.5.4	“Bahtáwar ant hamá ke gamig o porsig ant, chiá ke áyán tasallá o delbaddhia
MAT.5.5	“Bahtáwar ant hamá ke narmdel o mehrabán ant, chiá ke zeminay mirás barók hamá bant.
MAT.5.6	“Bahtáwar ant hamá ke hakk o ensápay shodig o tonnig ant, chiá ke á séra bant.
MAT.5.7	“Bahtáwar ant hamá ke pa degarán rahma kanant, chiá ke áyáni sará ham rahm kanaga bit.
MAT.5.8	“Bahtáwar ant hamá ke delesh pák o sáp ent, chiá ke á Hodáyá gendant.
MAT.5.9	“Bahtáwar ant hamá ke sohl o émenia kárant, chiá ke á 
MAT.5.10	“Bahtáwar ant hamá ke pa Hodáay ráhay geragá bohtám
MAT.5.11	“Bahtáwar ét shomá ke pa manigi mardom shomárá dozhmána dayant o ázára rasénant, shomay poshtá dróga bandant o bada gwashant. 
MAT.5.12	Gal o washdel bebét o shádehi bekanét, chiá ke ásmáná shomay mozz sakk báz ent. Pésarigén nabiáni sará ham é dhawlén ázáresh raséntag.
MAT.5.13	“Shomá jahánay wád ét, bale agan wáday tám berawt, gorhá chón padá wádók buta kant? Abéd cha
MAT.5.14	“Shomá jahánay nur o rozhn ét, shahré ke kóhéay sará ent, chér o andém buta nakant. 
MAT.5.15	Hechkas rókén cherágá tagáréay
MAT.5.16	Hamé dhawlá shomay rozhn, mardománi démá shahm bedant tán shomay nékén kárán begendant o shomay ásmáni Petá satá bedayant o besárháyant.
MAT.5.17	“Gomán makanét ke man pa 
MAT.5.18	Shomárá rásténa gwashán, zemin o ásmánay gár o bérán bayagá pésar, 
MAT.5.19	Paméshká agan kasé cha Sharyatay parmánán gwandhteréné sost begipt o kár mabandit o degarán ham anchosh dars o sabak bedant, á, 
MAT.5.20	Paméshká shomárá gwashán, agan shomay pahrézkári o sharkerdi cha 
MAT.5.21	“Shomá eshkotag ke gón péshigén mardomán gwashag butag: ‘hón o kósh makan,
MAT.5.22	Bale man shomárá gwashán, harkas wati brátay sará zahra gipt, á ham hakdiwánay
MAT.5.23	Paméshká agan korbánjáhá, korbánig kanagay wahdá yát o tránagá kaptay ke tai brátá gón taw gelagé hastent, 
MAT.5.24	wati korbánigá hamódá korbánjáhá bell o beraw pésará gón wati brátá sohl kan, gorhá byá korbánig bekan. 
MAT.5.25	Agan kaséá gón taw arh o dáwáé hast o tará hakdiwáná bárt, gorhá rasagá pésar, ráhá gón áiá wati arhá begisshén o sohl bekan. Chosh mabit káziay démá barag bebay, á tará apsaray dastá bedant o apsar tará bandijáhá bebárt o jél bekant. 
MAT.5.26	Tará rásténa gwashán, tán zarráni goddhi pai o paysahá porra nakanay, cha ódá ázáta nabay.
MAT.5.27	“Shomá eshkotag ke gwashag butag: ‘zená makan’.
MAT.5.28	Bale man shomárá gwashán, agan kasé pa badchammi o deldozzi janénéá bechárit, bezán wati delá, gón hamá janéná zenái kort. 
MAT.5.29	Paméshká agan tai rástén chamm tará dém pa gonáhá bebárt, áiá kassh o dawr beday, chiá ke cha sarjamén jánay tahtaruná kapagá pa taw sharter hamesh ent ke tai jesmay yak band o bógé cha taw jetá bebit. 
MAT.5.30	Hamé dhawlá, agan tai rástén dast tará dém pa gonáhá bebárt, gorhá áiá borr o dawr beday, chiá ke cha sarjamén jánay tahtaruná rawagá pa taw sharter esh ent ke tai jesmay yak band o bógé cha taw jetá bebit.
MAT.5.31	“É ham gwashag butag: ‘agan kasé wati janá yalah bekant, gorhá báyad áiá taláknámahé bedant’.
MAT.5.32	Bale man shomárá gwashán, agan janénéá zená nakortag o mard áiay sawn o talákán bedant, bezán áiay zenahkáriay sawaba bit o agan kasé hamá janózámén janéná sur o sáng bekant, gorhá bezán gón áiá zená kant.
MAT.5.33	“Shomá é ham eshkotag ke gón péshigén mardomán gwashag butag: ‘wati sawgandá maprósh, 
MAT.5.34	Bale man shomárá gwashán, hechbar sawgand mawarét, na pa ásmáná, chiá ke Hodáay taht ent, 
MAT.5.35	na pa zeminá, chiá ke Hodáay pádáni chéray padag o chárchóbah ent, na pa 
MAT.5.36	Pa wati sará ham sawgand mawar, chiá ke saray mudáni yak tháléá syáh o espét korta nakanay. 
MAT.5.37	Paméshká ódá ke ‘haw’ gwashagi ent, begwashét ‘haw’ o ódá ke ‘enna’ gwashagi ent, begwashét ‘enna’. Cha eshiá géshter Shaytánay kár ent.
MAT.5.38	“Shomá eshkotag ke gwashag butag: ‘pa chammá chamm o pa dantáná dantán’.
MAT.5.39	Bale man shomárá gwashán, radkárén mardománi káráni démá maóshtét, agan kaséá tai rástén gobbá
MAT.5.40	Agan kasé pa tai jámagay kasshagá tará hakdiwáná bebárt, wati kabáhá
MAT.5.41	Agan kasé tará pa zór o bigári hazár gámay
MAT.5.42	Kasé ke cha taw lóthit, áiá beday o agan yakké wáma lóthit, chak o pad mabay.
MAT.5.43	“Shomá eshkotag ke gwashag butag: ‘Gón wati hamsáhegá mehr bekan
MAT.5.44	Bale man shomárá gwashán, gón wati dozhmená mehr bekanét o pa hamáyán ke shomárá ázára dayant nékén dwá belóthét, 
MAT.5.45	tán wati ásmáni Petay chokk bebét, chiá ke á wati róchá pa nék o badána drapshénit
MAT.5.46	Agan tahná gón hamá mardomán mehr kanét ke gón shomá mehra kanant, gorhá shomárá chónén mozzé rasit? 
MAT.5.47	Agan éwaká wati brátán drud o drahbát
MAT.5.48	Paméshká shomá báyad tamán o béayb bebét, anchosh ke shomay ásmáni Pet wati jáhá tamán o béayb ent.
MAT.6.1	“Hozzhár bét! Wati nékén kárán pa mardománi pésh dáragá makanét, chiá ke é dhawlá shomárá cha ásmáni Petay némagá hech mozzé narasit. 
MAT.6.2	Wahdé chizé hayráta kanay, gorhá jár majan o dhandhór makan. Doru o dopóstén mardom, 
MAT.6.3	Wahdé hayráté cha rástén dastá dayay, chappén dast sahig mabit, 
MAT.6.4	tánke tai dátagén hayrát sarpósh o chérandari bebit. Gorhá tai ásmáni Pet, ke chérénána gendit, tai mozzá dant.
MAT.6.5	“Wahdé dwá kanét, gorhá doru o dopóstén mardománi dhawlá makanét, chiá ke áyán 
MAT.6.6	Bale harwahd dwá kanay, wati lógá beraw, lógay dapá beband o cha wati ásmáni Petá, ke cha chammán chér o andém ent, dwá belóth, gorhá tai Pet, ke chérénána gendit, tai mozzá dant. 
MAT.6.7	Wahdé dwá kanét, gorhá 
MAT.6.8	Áyáni paymá mabét, chiá ke shomay ásmáni Pet cha lóthagá pésar wata zánt ke shomárá ché garaz ent.
MAT.6.9	“Shomá é dhawlá dwá belóthét:
MAT.6.9	‘Oo may Pet, ke borzén ásmáná ay!
MAT.6.9	Tai nám sharapdár bát.
MAT.6.10	Tai bádsháhi byáyát.
MAT.6.10	Tai wáhag o erádah zeminay sará ham hamá dhawlá sarjam bát ke ásmáná sarjama bit.
MAT.6.11	May maróchigén rezk o rózigá maróchi márá beday.
MAT.6.12	May gonáh o radián bebaksh, anchosh ke má wati sajjahén daynkár bakshetagant.
MAT.6.13	Márá ázmáesh o chakkásá dawr maday o cha Shaytáná
MAT.6.14	“Chiá ke agan shomá mardománi gonáh o mayárán bebakshét o sar begwazét, gorhá shomay ásmáni Pet shomay gonáh o mayárán ham bakshit o sara gwazit, 
MAT.6.15	bale agan shomá mardománi gonáh o mayárán mabakshét o sar magwazét, gorhá shomay ásmáni Pet ham shomay gonáh o mayárána nabakshit o sara nagwazit.
MAT.6.16	“Wahdé róchaga bét, doru o dopóstén mardománi dhawlá wati démá tábán o gamnák makanét. Á wati ruá gimmorénant o munjá kanant tán mardom bezánant róchag ant. Shomárá rásténa gwashán, mozzé ke áyán rasagi at, rasetesh. 
MAT.6.17	Bale wahdé róchaga bay, gorhá wati dém o ruá beshód o sará charp kan, 
MAT.6.18	tánke mardom mazánant taw róchag ay, tahná tai ásmáni Pet ke chérandém ent, hamá bezánt. Á wahdi tai ásmáni Pet ke chérandaria gendit tai mozzá dant.
MAT.6.19	“É jaháná pa wat mál o maddhi
MAT.6.20	Pa wat ásmáná ganj o hazánag ambár bekanét ke ódá na áyán warók o raméza wárt, na zanga gipt o na dozza polant o barant. 
MAT.6.21	Tai del hamá jáhá rawt ke mál hamódá ent.
MAT.6.22	“Chamm, jesm o jánay cherág ent. Agan tai chamm wassh o dráh ent, gorhá tai sajjahén jesm o ján rozhnága bit. 
MAT.6.23	Bale agan tai chamm nájórh ent, gorhá tai sajjahén jesm o ján tahára bit. Nun agan tai jesm o jánay rozhn wat tahárié bebit, gorhá á tahári chónén mazanén tahárié bit.
MAT.6.24	“Hechkas pa do wájahá golámi korta nakant, yá gón yakkéá dozhmenia kant o domigi dósta bit, yá gón awaligá wapádára bit o cha á degará badia kayt. Shomá yakwahd o yakjáh Hodá o zarray golámiá korta nakanét. 
MAT.6.25	Paméshká shomárá gwashán ke pa wati zendá paréshán o deltaparkah mabét ke: ‘Ché bwarén o ché benóshén?’ na pa wati jesm o jáná ke: ‘Ché bepóshén?’. Zend cha waráká o jesm o ján cha pósháká géshtera nakarzit? 
MAT.6.26	Ásmánay báli morgán bechárét, na keshant o na ronant o na ambára kanant, bale angat shomay ásmáni Pet áyán warák o róziga dant. Shomay arzesh o kimmat cha áyán géshter naent? 
MAT.6.27	Kay gón pegr o hayáláni zórá wati zenday róchán yak sáhaté ham gésh korta kant?
MAT.6.28	Pa pocch o pósháká chiá paréshán ét? Gyábánay gol o polláni némagá delgósh kanét, chón rost o rodóma kanant. Na zahmaté kasshant o na résant o gwapant, 
MAT.6.29	bale shomárá gwashán ke 
MAT.6.30	Oo kambáwarán! Wahdé Hodá gyábánay káhán é dhawlá zébá o brahdára kant ke maróchi hastant o bándá taruná sóchaga bant, gorhá shomárá che paymá sharterén pósháka nadant?
MAT.6.31	“Paméshká paréshán o deltaparkah mabét o magwashét ke: ‘Bárén ché bwarén o ché benóshén?’ yá: ‘Ché bepóshén?’. 
MAT.6.32	 sajjahén Hodánábáwarén mardom é chizáni randá tachant, bale shomay ásmáni Peta zánt ke shomárá é chiz pakár ant. 
MAT.6.33	Cha har chizá pésar, 
MAT.6.34	Pa bándátigén róchá paréshán o pegrig mabét, chiá ke bándát, wati pegrá wata kant. Maróchigén janjál, pa maróchigá bass ant.
MAT.7.1	“Degarán ér majanét o iráz magerét, tánke shomá ér janag mabét. 
MAT.7.2	Anchosh ke shomá degarán éra janét, hamé paymá shomá ér janaga bét o gón har kayl o paymánahéá ke bedayét, gón hamá kaylá shomárá dayaga bit. 
MAT.7.3	Chiá wati brátay chammay pilláshká
MAT.7.4	Tará ke bondhé chammá ent, chón wati brátá gwashta kanay: ‘Bell ke tai chammay pilláshká dara kanán’? 
MAT.7.5	Oo dopóstén shatalkár! Pésará wati chammay bondhá dar kan, randá tai chamm pacha bit o wati brátay chammay pilláshká kassheta kanay.
MAT.7.6	“Pák o palgárén chizán kochekán madayét o wati morwáredán hukkáni démá maprénét. Chó mabit ke áyán lagatmál bekanant o per betarrant o shomay jendá derr o drásh bekanant.
MAT.7.7	“Belóthét, shomárá dayaga bit. Shóház bekanét, dara géjét. Darwázagá bethokkét, pacha bit. 
MAT.7.8	Chiá ke harkas belóthit, áiá rasit. Harkas shóház bekant, dara géjit. Harkas darwázagá bethokkit, pa áiá pacha bit. 
MAT.7.9	Shomay nyámá choshén peté hast ke agan áiay chokk nán belóthit dhóké bedanti? 
MAT.7.10	Yá agan máhig belóthit máré bedanti? 
MAT.7.11	Shomá ke radkár ét, angat wati chokkán sharrén chizáni dayagá zánét. Gorhá may ásmáni Pet chenkadar shartera zánt ke wati lóthókén chokkán wasshén chiz bedant.
MAT.7.12	“Paméshká, har kárá gón degarán hamá dhawlá néki bekanét ke lóthét á dega ham gón shomá bekanant. 
MAT.7.13	“Cha tankén darwázagá bepoterét. Chiá ke práhén darwázag o práhén ráh, gári o bégwáhiay némagá bárt o bázéné hamá ráhá zurit. 
MAT.7.14	Bale tank ent á darwázag o grán ent á ráh ke zenday némagá bárt o é ráhay rawók ham kamm ant.
MAT.7.15	“Cha drógén paygambarán hozzhár bebét. Á, méshay póstá gwará kanant o shomay kerrá káyant bale cha bon o béhá derrókén gork ant. 
MAT.7.16	Shomá cha áyáni kerdá áyán pajjáha kárét. Cha dhangarán
MAT.7.17	Sharrén drachk, sharrén bar o nibaga kárit o sellén drachk sellén bar o nibaga kárit. 
MAT.7.18	Sharrén drachk, sellén bar áworta nakant o sellén drachk sharrén bar dáta nakant. 
MAT.7.19	Drachké ke sharrén bara nayárit, goddhag o sóchaga bit. 
MAT.7.20	Paméshká áyán cha barán pajjáha kárét.
MAT.7.21	“Hamá ke maná ‘
MAT.7.22	Wahdé á rócha kayt bázéné maná gwashit: ‘Hodáwand, oo Hodáwand! Má gón tai námá paygambari nakortag? Gón tai námá cha mardomán 
MAT.7.23	Gorhá man áyán rásténa gwashán: ‘Oo badkárán! Man hechbar shomárá pajjáh nayáwortag, cha mani démá dur bebét.’
MAT.7.24	“Paméshká, harkas ke mani é habarána eshkont o áyáni sará kára kant, hamá zántkár o hóshmandén mardomay paymá ent ke wati lógi taláray sará bast. 
MAT.7.25	Hawr but, hár o hirróp átk, purr o syahgwátán gón á lógá dhikk wárt, bale lóg nakapt, chiá ke áiay bonred
MAT.7.26	Bale kasé ke mani habarán gósha dárit o áyáni sará kára nakant, hamá hódh o kamzántén mardomay dhawlá ent ke wati lógi rékáni sará bast. 
MAT.7.27	Hawr but, hár o hirróp átk, purr o syahgwátán gón á lógá dhikk wárt, lóg kapt o pahk wayrán but.”
MAT.7.28	Wahdé Issáyá é habar halás kortant, mardománi mocchi cha áiay dars o sabakán hayrán but o bah mantant,
MAT.7.29	chiá ke áiá 
MAT.8.1	Wahdé Issá cha kóhá ér kapt, mardománi mazanén mocchié áiay randá gón kapt. 
MAT.8.2	Yak mardé ke áiá syahgarray
MAT.8.3	Issáyá dast shahárt, dasti per mosht o gwashti: “Mana lóthán, wassh o palgár bay.” Hamá damáná mard cha syahgarrá palgár but. 
MAT.8.4	Gorhá Issáyá gón áiá gwasht: “Hozzhár bay! Hechkasá cha é habar o hálá sahig makan, bale beraw, watá 
MAT.8.5	Wahdé Issá Kaparnáhumay shahrá raset, yak Rumi pawji apsaré áiay kerrá átk, mennatgiri kort o gwashti: 
MAT.8.6	“Oo wájah! Mani hezmatkárén bachak lógá lang o mondh ent o kaptag, sakkén dard o dórán dochár ent.” 
MAT.8.7	Issáyá gwasht: “Gorhá mana káyán, áiá dráha kanán.” 
MAT.8.8	Pawji apsará passaw dát: “Oo wájah! Mana nakarzán ke taw mani lógá byáay, taw tahná hokm bekan, mani hezmatkár dráha bit. 
MAT.8.9	Chiá ke man ham wati masteráni hokmay chérá án o mani dastay chérá ham sepáhig hast. Agan kaséá hokm bekanán: ‘Beraw,’ á rawt o agan kaséá begwashán: ‘Byá,’ á kayt. Agan wati hezmatkárá begwashán: ‘É kárá bekan,’ á kant.” 
MAT.8.10	Wahdé Issáyá é habar eshkot, hayrán but o gón wati hamráhán gwashti: “Shomárá rásténa gwashán ke Esráiliáni nyámá ham man choshén mohrén setk o báwar nadistag. 
MAT.8.11	Bezánét ke cha ródarátk o rónendá
MAT.8.12	bale é bádsháhiay chokk o óbádag
MAT.8.13	Gorhá Issáyá gón pawji apsará gwasht: “Beraw, anchosh ke tai báwar ent, gón taw hamá dhawlá bit.” Áiay hezmatkárén bachak hamá damáná dráh but.
MAT.8.14	Wahdé Issá Petrosay lógá shot, disti Petrosay wassig tapig ent o nepáday sará waptag. 
MAT.8.15	Issáyá wati dast áiay dastay sará per mosht, tapi sest, á pád átk o Issáay hezmat kanagá lagget.
MAT.8.16	Bégáhá mardomán bázén 
MAT.8.17	É dhawlá 
MAT.8.18	Wahdé Issáyá wati chapp o chágerdá mardománi mocchi dist, parmán dát o gwashti: “Byáét, gwarmay domi némagá rawén.” 
MAT.8.19	 áiay kerrá átk o gwashti: “Oo ostád! Har jáh ke taw raway man tai hamráha bán.” 
MAT.8.20	Issáyá gwasht: “Róbáhán hóndh o jágah hast o báli morgán kodóh o kodám, bale maná ke 
MAT.8.21	Dega yak moridéá gón áiá gwasht: “Oo wájah! Maná mókal beday pésará rawán wati petá kabra kanán.” 
MAT.8.22	Issáyá gwasht: “Byá, mani randgiriá bekan, bell ke mordag wati mordagán wat kabr o kapona kanant.”
MAT.8.23	Issá bójigá swár but, morid ham swár butant. 
MAT.8.24	Yak anágat
MAT.8.25	Morid áiay kerrá átkant, ágáhesh kort o gwashtesh: “Oo 
MAT.8.26	Gón áyán gwashti: “Oo kambáwarán! Shomárá chiá torsit?” Randá pád átk, gwáti hakkal dát o mastén chawli neherrán bastant o tuppán pahk érmósh but. 
MAT.8.27	Á sajjahén bah mantant o gwashagá laggetant: “É chónén mardomé ke gwát o chawl ham eshiay hokmá mannant.”
MAT.8.28	Wahdé Issá mazangwarmay domi pahnátá, Gadáriáni
MAT.8.29	Áyán kukkár kort o gwasht: “Oo 
MAT.8.30	Cha áyán kammé gestáh
MAT.8.31	Gorhá palitén ruhán cha Issáyá dazbandi kort o gwasht: “Agan taw márá cha é mardomán dara kanay, gorhá ráh day ke hukkáni jesmá poterén.” 
MAT.8.32	Issáyá gón áyán gwasht: “Bepoterét!” Nun á dar átk o hukkáni jesmá potertant o hukkáni sajjahén ramag cha jompá jahlagá ér kapáná gwarmá bokket o mortant. 
MAT.8.33	Gorhá hukkáni shwánag shahrá tatkant o é sajjahén hál o 
MAT.8.34	Gorhá shahray sajjahén mardom Issáay cháragá átkant o gón áiá dazbandiesh kort ke áyáni sardhagárá yalah bedant o berawt.
MAT.9.1	Issá yak bójigéá swár but, mazangwarmi gwázént o wati jenday shahrá átk. 
MAT.9.2	Hamé wahdá lahtén mardomá, tahtéay sará waptagén lang o mondhén mardé áiay kerrá áwort. Wahdé Issáyá áyáni setk o báwar dist, gón langá gwashti: “Oo mani chokk! Delá mazan kan, tai gonáh bakshag butant.” 
MAT.9.3	Bale 
MAT.9.4	Issáyá áyáni delay hál o habar zántant o gwashti: “Shomá chiá wati delá palitén hayála kárét? 
MAT.9.5	Kojám habaray gwashag ásánter ent: ‘Tai gonáh bakshag butagant,’ yá: ‘Pád á, beraw’? 
MAT.9.6	Bale man paméshká é habar kort tán shomá bezánét, man ke 
MAT.9.7	Gorhá mard pád átk o lógá shot. 
MAT.9.8	Wahdé mardomán é kár dist, torsetesh o Hodáesh satá kort o sárhát ke mardomi inchok wák o ehtiár dátagant.
MAT.9.9	Anchosh ke Issá ráhá rawagá at, Mattá námén mardé disti ke song o máliát geragay jágahá neshtagat. Gón áiá gwashti: “Byá, mani randgiriá bekan!” Mattá pád átk o áiay hamráh but. 
MAT.9.10	Wahdé Issá Mattáay lógá parzónagay sará neshtagat o warák waragá at, bázén 
MAT.9.11	Wahdé 
MAT.9.12	Issáyá eshkot o gwashti: “Dráh o salámatén mardomán dáktar pakár naent, nádráhán dáktar pakár ent.” 
MAT.9.13	Bale berawét o é habaray mánáyá dar begéjét ke: 
MAT.9.14	Randá, Yahyáay morid Issáay kerrá átkant o jostesh kort: “Má o 
MAT.9.15	Issáyá passaw dát: “Sálónk ke neshtag, sur o árósay mehmán sugia bant o porsa dárant? Bale anchén wahdé kayt ke sálónk cha áyán jetá kanaga bit, hamá wahdá róchaga dárant. 
MAT.9.16	Hechkas cha nókén godéá chondhé naderrit o kwahnén pashká pacch o pinaga najant, chiá ke nókén goday pacch nazza kayt o kwahnén pashká géshtera derrit. 
MAT.9.17	Hamé dhawlá, kwahnén zekkáni
