GEN.1.1	O konmansman, Bondye ti kree lesyel ek later. 
GEN.4.25	Adan ek son fanm ti ganny ankor en garson ki ti apel Set. Ev ti dir, “Bondye in donn mwan en lot garson pour ranplas Abel ki Kaen ti touye.” 
GEN.4.26	Set ti ganny en garson ki i ti apel Enos. Depi sa moman, dimoun ti konmans envok non SENYER.
GEN.5.1	Sa lalis bann desandan Adan: Kan Bondye ti kree bann imen, i ti fer zot dan resanblans Bondye. 
GEN.5.2	Bondye ti kree zot zonm ek fanm. Zour i ti kree zot, Bondye ti beni zot e apel zot imen.
GEN.5.3	Kan Adan ti annan 130 an, i ti ganny en garson ki ti vreman resanble li. I ti apel li Set. 
GEN.5.4	Apre nesans Set, Adan ti viv ankor 800 an e i ti ganny ankor lezot garson ek fiy. 
GEN.5.5	Adan ti viv an tou 930 an e apre i ti mor.
GEN.5.6	Set ti annan 105 an ler i ti ganny en garson, Enos. 
GEN.5.7	Apre nesans Enos, Set ti viv ankor 800 an e i ti ganny ankor lezot garson ek fiy. 
GEN.5.8	Set ti viv an tou 912 an e apre i ti mor.
GEN.5.9	Enos ti annan 90 an kan i ti ganny Kenann. 
GEN.5.10	Apre nesans Kenann, Enos ti viv ankor 815 an e i ti ganny ankor lezot garson ek fiy. 
GEN.5.11	Enos ti viv an tou 905 an e apre i ti mor.
GEN.5.12	Kenann ti annan 70 an kan i ti ganny en garson, Mahalaleel. 
GEN.5.13	Apre nesans Mahalaleel, Kenann ti viv ankor 840 an e i ti ganny ankor lezot garson ek fiy. 
GEN.5.14	Kenann ti viv an tou 910 an e apre i ti mor.
GEN.5.15	Mahalaleel ti annan 65 an ler i ti ganny en garson, Yered. 
GEN.5.16	Apre nesans Yered, Mahalaleel ti viv ankor 830 an e i ti ganny ankor lezot garson ek fiy. 
GEN.5.17	Mahalaleel ti viv an tou 895 an e apre i ti mor.
GEN.5.18	A laz 162 an Yered ti ganny en garson, Henok. 
GEN.5.19	Apre nesans Henok, Yered ti viv ankor 800 an e i ti ganny lezot garson ek fiy. 
GEN.5.20	Yered ti viv an tou 962 an e apre i ti mor.
GEN.5.21	Henok ti annan 65 an ler i ti ganny en garson, Matousalenm. 
GEN.5.22	Apre nesans Matousalenm, Henok ti viv e mars avek Bondye ankor 300 an. I ti ganny ankor lezot garson ek fiy. 
GEN.5.23	Henok ti viv an tou 365 an. 
GEN.5.24	I ti mars avek Bondye tou son lavi e apre i ti disparet, akoz Bondye ti pran li.
GEN.5.25	Matousalenm ti annan 187 an ler i ti ganny en garson, Lemek. 
GEN.5.26	Apre nesans Lemek, Matousalenm ti viv ankor 782 an e i ti ganny ankor lezot garson ek fiy. 
GEN.5.27	Matousalenm ti viv an tou 969 an e apre i ti mor.
GEN.5.28	Lemek ti annan 182 an ler i ti ganny en garson. 
GEN.5.29	I ti apel li Noe. I ti dir: I pou en konsolasyon pour nou dan nou travay ek fatig lo sa later modi. 
GEN.5.30	Apre nesans Noe, Lemek ti viv ankor 585 an. I ti ganny lezot garson ek fiy. 
GEN.5.31	Lemek ti viv an tou 777 an, apre, i ti mor.
GEN.5.32	Noe ti annan 500 an ler i ti ganny trwa garson, Senm, Kanm ek Zafet.
GEN.6.1	Kan zonm ti konmans ogmante lo later e zot ti donn nesans bann fiy, 
GEN.6.2	bann garson bondye ti war ki bann fiy zonm ti atiran. Alor, zot ti swazir zot koman zot fanm. 
GEN.6.3	Alor, SENYER ti dir: Mon lespri pa pou reste touzour dan bann et imen, akoz i zis laser. Son lavi pou dire zis 120 an.
GEN.6.4	Dan sa lepok, e menm apre, ti annan bann zean lo later. Desandan bann garson bondye avek bann fiy bann imen. Zot ti bann ero e bann dimoun renonmen otrefwa.
GEN.6.5	SENYER ti war ki mesanste zonm ti gran lo later e zot lespri ti tourn zis ver lemal. 
GEN.6.6	SENYER ti regrete ki i ti'n fer bann et imen e met zot lo later; i ti aflize. 
GEN.6.7	I ti dir: Mon pou detri lo later bann et imen ki mon'n kree. Mon pou detri depi zonm, zannimo, pti bebet ek zwazo dan lesyel. Mon regrete mon'n kree zot. 
GEN.6.8	Me Noe ti trouv faver devan SENYER.
GEN.6.9	La lalis bann desandan Noe. Dan zenerasyon sa lepok, Noe ti en zonm zis e san repros. I ti mars avek Bondye. 
GEN.6.10	I ti ganny trwa garson: Senm, Kanm ek Zafet. 
GEN.6.11	Bondye ti konstate ki later ti'n koronpi e ranpli avek vyolans. 
GEN.6.12	Bondye ti war ki later ti'n koronpi.
GEN.6.13	Alor, i ti dir Noe, “Mon'n deside met lafen avek tou. Later i ranpli avek vyolans akoz zonm. Mon pou detri zot ansanm avek later. 
GEN.6.14	Ou ava fer en gro bato avek dibwa solid.
GEN.6.15	La ki mannyer ou pou fer li: I ava 150 met longer, 25 met larzer e 15 met oter. 
GEN.6.16	Ou ava kouver li avek en twa an tapenak e ou ava kit en lespas en demi met ant twa ek son borde. Ou ava met en laport lo kote. Sa lars ava annan trwa letaz. 
GEN.6.17	Mwan, mon pou anvoy en deliz lo later pour detri tou sa ki annan souf lavi anba lesyel. Tou sa ki lo later pou mor. 
GEN.6.18	Mon pou etabli mon lalyans avek ou; ou ava antre dan lars ou, ou bann garson, ou fanm ek bann fanm ou bann garson. 
GEN.6.19	Ou ava osi fer antre dan lars en per tou zannimo dan sak lespes, en mal ek en femel pour konserv zot vivan avek ou. 
GEN.6.20	Ou ava fer antre en per zannimo dan sak lespes: Parmi bann zwazo, gro zannimo, bann pti bebet en per dan sak lespes pou vin kot ou pour gard zot vivan. 
GEN.6.21	Fer tou provizyon, pour ki ou ek bann zannimo, ava annan dekwa manze.” 
GEN.6.22	Noe ti fer tou sa ki Bondye ti'n dir li.
GEN.7.1	SENYER ti dir Noe, “Antre dan lars, ou avek ou fanmir, akoz mon'n remarke ki dan sa zenerasyon zis ou ki fidel anver mwan. 
GEN.7.2	Pran avek ou, parmi bann zannimo ek zwazo set per ki pir, en mal ek en femel. Parmi bann zannimo ki enpir, pran en per, en mal ek son femel. 
GEN.7.3	Pran osi set per parmi bann zwazo ki dan lezer, en mal ek en femel, pour gard zot lespes vivan lo later. 
GEN.7.4	Dan ankor set zour, mon pou fer lapli tonbe lo later pandan 40 zour e 40 nwit; mon pou fer disparet lo later tou bann et vivan ki mon'n fer.”
GEN.7.5	Noe ti fer egzakteman, tou sa ki SENYER ti'n ordonn li.
GEN.7.6	Noe ti annan 600 an kan deliz ti arive, ler delo ti kouver later. 
GEN.7.7	Noe ti antre dan lars avek son bann garson, son fanm ek son bann belfiy pour sov deliz. 
GEN.7.8	Tou bann zannimo, sa ki pir ek sa ki enpir, bann zwazo ek bann pti bebet, 
GEN.7.9	ti ariv kot Noe, de par de, en mal ek en femel. Zot ti antre dan lars parey Bondye ti'n ordonn Noe. 
GEN.7.10	Set zour plitar, deliz ti kouver later.
GEN.7.11	Lannen ki Noe ti ganny 600 an, disetyenm zour dan dezyenm mwan, tou bann rezervwar delo souteren ti kase e bann lafnet dan lesyel ti ouver gran. 
GEN.7.12	Lapli ti tonm lo later pandan 40 zour ek 40 nwit. 
GEN.7.13	Sa menm zour, Noe ti antre dan lars avek son trwa garson, Senm, Kanm ek Zafet, son fanm ek bann fanm son trwa garson, 
GEN.7.14	ansanm avek tou zannimo sovaz, dapre zot lespes, bann zannimo domestik, dapre zot lespes, tou bann zwazo dapre zot lespes ek bann pti bebet dapre zot lespes. 
GEN.7.15	Tou kreatir ki ti annan souf lavi, de par de, ti vin kot Noe pour antre dan lars. 
GEN.7.16	Zot ti vini, en mal ek en femel dan sak lespes e antre dan lars parey Bondye ti'n ordonn Noe. Apre sa, SENYER ti ferm laport deryer Noe.
GEN.7.17	Deliz ti kontinyen pandan 40 zour lo later. Delo ti monte e lars ti flote. 
GEN.7.18	Delo ti kontinyen mont an gran lo later e lars ti drive. 
GEN.7.19	Nivo delo ti kontinyen monte ziska ki i ti kouver bann montanny pli o. 
GEN.7.20	Delo ti mont anviron set met par lao latet pli o montanny. 
GEN.7.21	Tou sa ki ti vivan lo later ti mor: Zwazo, zannimo, bann pti bebet ek tou dimoun. 
GEN.7.22	Tou kreatir lo later ferm, ki ti annan souf lavi, ti mor. 
GEN.7.23	SENYER ti detri tou kreatir lo later: Depi dimoun ziska bann zannimo, zannimo domestik ek bann pti bebet. Menm bann zwazo dan lezer ti ganny detri. Ti reste zis Noe avek bann dimoun ki ti avek li dan lars. 
GEN.7.24	Gro delo ti kontinyen reste lo later pandan 150 zour.
GEN.8.1	Bondye ti mazin Noe ek tou bann zannimo sovaz ek zannimo domestik ki ti avek li dan lars. I ti fer en divan soufle lo later e delo ti konmans desann. 
GEN.8.2	Bann sours delo souteren ti aret koule e bann lafnet dan lesyel ti fermen, lapli ti arete. 
GEN.8.3	Delo ti desann gradyelman. Apre 150 zour, delo ti'n diminyen. 
GEN.8.4	Lo disetyenm zour, setyenm mwan, lars ti swe lo enn bann montanny Ararat. 
GEN.8.5	Delo ti kontinyen desann ziska dizyenm mwan e lo premye zour dizyenm mwan, bann latet montanny ti aparet.
GEN.8.6	Apre 40 zour, Noe ti ouver en lafnet ki i ti'n mete dan lars. 
GEN.8.7	I ti larg en korbo ki ti ale vini, ziska ki delo ti'n sek lo later. 
GEN.8.8	Apre, Noe ti larg en pizon pour verifye si delo ti'n sek lo later. 
GEN.8.9	Me sa pizon pa ti war landrwa pour li apoze, akoz ti ankor annan delo partou lo later. Alor, i ti retourn kot Noe dan lars. Noe ti met son lanmen deor e fer li antre. 
GEN.8.10	Noe ti esper ankor set zour e i ti larg sa pizon ankor en fwa. 
GEN.8.11	Aswar, sa pizon ti retournen avek en brans zoliv ver dan son labek. Alor, Noe ti konnen ki delo ti'n desann. 
GEN.8.12	I ti esper ankor set zour pour li larg en lot pizon ki pa ti retournen.
GEN.8.13	Lannen ki Noe ti ganny 601 an, lo premye zour premye mwan, delo ti'n fini sek lo later. Noe ti tir kouvertir lo lars e i ti war ki later ti'n sek. 
GEN.8.14	Lo vennsetyenm zour, dezyenm mwan, later ti'n konpletman sek.
GEN.8.15	Alor, Bondye ti dir Noe, 
GEN.8.16	“Sorti dan lars avek ou fanm, ou bann garson ek fanm ou bann garson. 
GEN.8.17	Fer sorti tou bann diferan lespes zannimo ki avek ou, bann zwazo ek tou bann pti bebet, pour ki zot ava reprodwir partou lo later e ranpli later.”
GEN.8.18	Alor, Noe ti sorti dan lars avek son bann garson, son fanm ek bann fanm son bann garson. 
GEN.8.19	Tou zannimo, tou zwazo ek pti bebet, ti sorti par group.
GEN.8.20	Noe ti fer en lotel pour SENYER. I ti pran enn parmi bann zannimo pir ek en zwazo pir e i ti ofer koman en sakrifis konplet lo sa lotel. 
GEN.8.21	Loder son sakrifis ti fer plezir SENYER ki ti dir dan li menm: Mon pa pou zanmen modi later ankor akoz bann et imen. I vre ki depi son lazenes, leker zonm i move. Zanmen ankor mon pou detri bann vivan parey mon'n fer.
GEN.8.22	Tan ki later i egziste,
GEN.8.22	pou annan en sezon pour plante e enn pour rekolte.
GEN.8.22	Pou annan letan lafreser ek letan lasaler,
GEN.8.22	sezon lete ek sezon liver,
GEN.8.22	lizour ek lannwit.
GEN.8.22	Sa pa pou zanmen arete.
GEN.9.1	Bondye ti beni Noe ek son bann garson. I ti dir zot: Fer bokou zanfan, ogmant ou fanmir e ranpli later. 
GEN.9.2	Tou bann zannimo lo later, tou zwazo dan lesyel, tou bann pti bebet ki bouze lo later ek tou pwason dan lanmer pou per ou e soumet devan ou. 
GEN.9.3	Mon pou donn zot koman nouritir tou sa ki bouze lo later ek tou sa ki vivan, parey mon ti'n donn zot bann plant; mon donn zot tousala pour manze. 
GEN.9.4	Me fodre pa ki zot manz lavyann avek son lavi, setadir, son disan. 
GEN.9.5	Mon pou demann kont zot disan, ki zot lavi; mon pou demann kont en zannimo ki touy en et imen. Sak et imen ki pran lavi son sanblab devre rann kont.
GEN.9.6	Sa enn ki fer koule disan en et imen,
GEN.9.6	li osi en et imen pou fer koule son disan,
GEN.9.6	akoz zonm ti ganny fer dan limaz Bondye.
GEN.9.7	Kanta zot, zot ava fer bokou zanfan,
GEN.9.7	ogmant popilasyon e ranpli later.
GEN.9.8	Bondye ti osi dir Noe ek son bann garson, 
GEN.9.9	“Mon etabli mon lalyans avek zot e avek zot desandans; 
GEN.9.10	osi avek tou kreatir vivan ki avek ou: Zwazo, zannimo domestik, zannimo sovaz, tou bann ki'n sorti dan lars avek ou; tou zannimo lo later. 
GEN.9.11	Mon etabli mon lalyans avek zot: Zanmen ankor mon pou detri bann et vivan par delo en deliz; pa pou zanmen annan ankor en deliz pour detri later.”
GEN.9.12	Bondye ti azoute, “La siny sa lalyans ki mon fer ant mwan ek zot, ensi ki tou bann et vivan ki avek ou pour tou zenerasyon pour touzour: 
GEN.9.13	Mon pou plas mon larkansyel e i ava servi koman en siny lalyans ant mwan ek later. 
GEN.9.14	Sak fwa ki mon rasanble bann nyaz par lao later, en larkansyel pou aparet dan nyaz. 
GEN.9.15	Mon pou rapel lalyans ki mon'n fer ant mwan ek zot, e avek tou bann et vivan, ki delo pa pou zanmen vin en deliz pour detri tou bann et vivan lo later ankor. 
GEN.9.16	Kan mon ava war en larkansyel aparet dan nyaz, mon pou rapel lalyans permanan ant Bondye ek tou bann et vivan lo later.”
GEN.9.17	Bondye ti dir Noe, “Sa i siny lalyans ki mon'n etabli ant mwan ek tou et vivan ki lo later.”
GEN.9.18	Bann garson Noe ki ti sorti dan lars, ti Senm, Kanm ek Zafet. Kanm ti papa Kanaan. 
