MAT.1.1	Jesucristo e-dadgan-siki ilekwaa-danikid e-garda. Jesucristo, David-e-wagwa, degi, Abraham-e-wagwabar.
MAT.1.25	Ar degite amba ese gochasurgweled, María na machi-gebe-nikusad-sorba geb ese gochad. Machigwa gwalulesad, Jesúsye nug imassun.
MAT.2.1	Jesús Judea-yalagi, Belén-neggweburgi gwalulesgu, deun Rey-Herodes neg-dakmaidgi, girmar-dada-nakwe-dorgan-ibmar-nue-wisimalad Jerusalénse nonimalad, 
MAT.2.2	sognonimalad:
MAT.2.2	—¿Bia Judiomar-E-Rey-gwalulesad mai? Ar ade anmar dada-nakwedba e-niskwa daksamalad, anmar ese danimarsunnad e-nug odummogegar.
MAT.2.3	Rey-Herodes degi-ega-soge itoargu, surbinsa-ito naded, degi, bela Jerusaléngi-bukmalad eba surbinsa-ito nadmarmogad. 
MAT.2.4	Herodes bela dule-irwa-Bab-Dummadse-gormalad-e-dummaganse, degi, escribamarse gochagu, amarse egichialid, bia Cristo gwalulegoye.
MAT.2.5	Amar, abin-imakdemar:
MAT.2.5	—Cristo Belén-neggweburgi gwalulegoed, Judea-yalagi, ar deyob Bab-Dummad-gaya-burba-berbeged narmakar-obesad sognaid:
MAT.2.6	Be, Belén-neggwebur, Judea-yalagi siid,
MAT.2.6	be baisur-dakle-inigwele,
MAT.2.6	ar neggwebur-baiganba be-bur nue nug nikad,
MAT.2.6	ar ade begi dule-neggwebur-seoed nodagoed,
MAT.2.6	adi an-dulemar-Israel-akwegar,
MAT.2.6	igi sibad-wawaad-edarbed
MAT.2.6	na e-sibad-wawaad-akwemogadyob.
MAT.2.6	Mi. 5:2
MAT.2.7	Degi Herodes, girmar-dada-nakwe-dorganse arbakee gochagua, ese nue egichialid, sana nue niskwade emarde daksamarye. Ega sogsamargu, 
MAT.2.8	Herodes Belénse amar-barmis, degi, amarga sogde:
MAT.2.8	—Weba Belénse be namar, nue be mimmi-amimalo. Ar be amismalale, an-owisononiko, adi an ese namogagar, an e-nug odummo namogagar.
MAT.2.9	Girmar-dada-nakwe-dorgan, Rey-Herodes degi-ega-soge itosmargu, nadmarsun. Amar dada-nakwedba niskwa-daksamalad e-idu nadap-gusad. Geb mosmargu, bia-mimmi-maidgi, agi niskwa mimmi-inikii nai-gunonikid. 
MAT.2.10	Girmar-dada-nakwe-dorgan niskwa-daksamargu, bela nue-weligwar itosmalad.
MAT.2.11	Girmar-dada-nakwe-dorgan, neg-yaba dogdemargu, mimmi-dakdemar e-nan-María-walik mai, degi, yokorgi sindigar abin sigidmargu, mimmi-e-nug odummodmalad. Degine, girmar-dada-nakwe-dorgan na e-ulu egadmar, mimmiga ibmar-nuegan ukmalagar. Ega uksamalad: Olo, ibmar-wawadik-yapanned, degine, sapi-gunnugiid-wawadikmalad, mirra nugad.
MAT.2.12	Ar gabgi Bab Dummad girmar-dada-nakwe-dorgan-owisosad, melle gannar Herodesse bar naoye. Degisoggu, girmar-dada-nakwe-dorgan gannar e-neggweburse nadmalad, igar-baidsik.
MAT.2.13	Ar girmar-dada-nakwe-dorgan-naded-sorba, agi Bab-Dummad-e-anger gabgi Josése nonikid, ega sognonikid: “Be gwisgu, mimmi, degi, e-nan be sue, Egiptose bemar wakin. Weba be gudigumalo an-bega-sogedse, ar ade Herodes mimmi-amidagoed, oburgwegar.”
MAT.2.14	José atakargu, mimmi, degi, e-nan, yog suar imaksad, a-mutikidba Egiptose ega wakitesunnad. 
MAT.2.15	Agi gudigusmalad, Herodes burgwisadse. Bab-Dummad-ibmar-sogsadba guegala deyob gusad, deun Bab-Dummad-gaya-burba-berbeged sogsa-gusgu:
MAT.2.15	An-machi Egiptogi mai,
MAT.2.15	an ese gochad,
MAT.2.15	Israel-yarse dagegar.
MAT.2.15	Os. 11:1
MAT.2.16	Herodes dakdegu, girmar-dada-nakwe-dorgan e-yardaksa, nue sae-itoded. Degisoggu, a-ulale bela Belén-neggweburgi, degi, neggwebur-dikarbarmalad machimala-birgabo-akuar-nikmalad-oburgoye igar uksasunnad, ar ade nue-itosad mimmi birgabosaar nikar-gebye.
MAT.2.17	Herodes mimmigan-oburgwisad, ar igi Jeremías, Bab-Dummad-gaya-burba-berbeged sogsa-gusa, deyob gusad, deun sogsa-gusgu:
MAT.2.18	Ramá-neggweburgi dulemar oimakbuk-itolesad,
MAT.2.18	bela-bela bukib-itomaladbali, nue boedbimalad,
MAT.2.18	Raquel na e-mimmiganga boe itosmalad,
MAT.2.18	ar dule-wargwensaar
MAT.2.18	we-ome-bukib-binsaed-osuloged gwen nika-gussulid,
MAT.2.18	ar ade e-mimmigan burgwisad.
MAT.2.18	Jer. 31:15
MAT.2.19	Herodes-burgwisad-sorba, Bab-Dummad-anger-wargwen, Egiptogi Josése gabgi nonikid, 
MAT.2.20	ega sognonikid: “Be gwisgu, mimmi, degi, e-nan be sue, Israel-yalase be nae, ar dulemar-mimmi-oburgwebi-gusmaladi bato bela burgwismalad.”
MAT.2.21	Geb degi José gwisgussun, mimmi, degi, e-nan-susgua, Israel-yalase nonisunnad. 
MAT.2.22	Ar José itoargu, Arquelao, Judea-yalagi, e-bab-Herodes-sorba neg-dakmaiye, dobe ase nae-gualid. Ar gabgi Bab-Dummad-ega-sogsadba José Galilea-yalase nadsunnad.
MAT.2.23	José Galilea-yarse nonigu, neggwebur-Nazaret-nugadse megnonikid, adi Bab-Dummad-gaya-burba-berbemalad-sogsamaladba guegar, deun sogsamargu, Nazaretginedye bilegoye.
MAT.3.1	Deun a-ibagangi Juan-Bautista Bab-Dummad-igargi sunmaknonikid, Judea-yargi, nega-dule-sulidganba, 
MAT.3.2	sognonikid: “Be-iskuedga na be ulubgi bukib-binsamar, be-daed be gwagmarsun, ar Bab-Dummad-neg-dakmaid bemar mosad.”
MAT.3.3	Ar wegi Bab-Dummad-gaya-burba-berbeged, Isaías, sogsa-gusad, deun sogsagu:
MAT.3.3	Dule-wargwen nega-dule-sulidganba binnasur sunmaknonikoed,
MAT.3.3	dulemarga sognonikoed:
MAT.3.3	“Dule-Dummad-idu igar mayemar,
MAT.3.3	igar-swilidik mesmar.”
MAT.3.3	Is. 40:3
MAT.3.4	We-dule, Juan-Bautista-nugad, moli-yargan-mureged-e-absar na e-morga imakdigualid, degi, moli-uka e-molidubga imakdiguarbalid, geb ses nabir gulleged, degi, achanis e-masga imakdigusbalid.
MAT.3.5	Jerusalénginmalad, bela Judea-yalaganbarmalad, degi, Jordán-diwar-dikarba-dulemar-bukmalad, Juanse duurmaknonimalad. 
MAT.3.6	E-iskudiid na dukin-dukin barsognanai-guarmalad, geb Juan Bab-Dummad-digi-ogleged-igar imaknai-gualid, Jordán-diwargi.
MAT.3.7	Juan dakargu, Judiomar Fariseo-sordamalad, degi, Judiomar Saduceo-sordamalad, bukidar ese Bab-Dummad-digi-ogleged-igar imakdani, amarga sogdesun: “¡Ar bemar naibe-bulegan-e-mimmiganyob gumalad! ¿Ar doa bemar-odurdaksa, Bab-Dummad-nue-urwedanikoed-idu wakinned? Bemar Bab-Dummad-digi-oglegedgi nuguosurmalad. 
MAT.3.8	Degisoggu, be-daedgine na be oyomar, bemar nue gwagsamalad, be-iskuedga na be bukib binsasmalad.
MAT.3.9	“Mer unnila na be sogmalo: ‘Anmar Abraham-wagan gumar, a-ulale Bab Dummad anmargi nabir binsaer-gebed.’ Suli, degisuli. Ar be Abraham-wagwasulile, akarsulid. Ar Bab Dummad sunna we-akwamar Abraham-e-waganga imaked.
MAT.3.10	“Deginbali, ar bato akan guar sapi-maligi yoid, ar degisoggu, sapi nue sanmaksulile, a-sapi siklegoed, soogi melledoed, ogumaklegegar. Deyob Bab Dummad dulemar-imakmogoed.
MAT.3.11	“Ar andi napiragwad Bab-Dummad-digi-ogleged-igar an imakedi, an unnila digi ogdiid, bemar-iskusmalad na ga be bukib-binsasmalad oyogegar. Ar dule-an-sorba-danikiddi, ar anba bur dule-dummadsoggu, e-sapatse-bakar geg an ega seed. Ar dule-an-sorba-danikiddi, Bab Dummad Burba Nuedgi, degi, soogi be-ognonimaloed.
MAT.3.12	“Igi dulemar madubur-gwagwaled egwamala, deyob we-a-dule, dule-dummadid, bato guagwar e-argangi bigbi ganigwichid, madubur-gwagwaled na egwaoed, degi, na madubur-gwagwaled-nued na nue e-urbedgi na urboed, e-ukadi soogi ogumakoed, ar we-soode geg soo ginnedid, degi-gasii-sadeguad-sood. We sogledo, dule-an-sorba-danikoed madubur-gwagwaledyob dulemar-imakmogoye.”
MAT.3.13	Degi, Jesús Galileagi gudiid, Jordán-diwarse nonikid, adi Juan Bab-Dummad-digi-ogleged-igargi e-ogegar. 
MAT.3.14	Ar Juandi surye Jesúsga sogenad, ar ade ega soged:
MAT.3.14	—Ar be, Bab-Dummad-digi-ogleged-igargi bur an-ogedid, ar be-bur anba dummadid. ¿Degite, anse be danide, an be-ogegar? Suli, degisuli.
MAT.3.15	Ar Jesúsdi, abin-sogded:
MAT.3.15	—Ar emigindi anmar deyob saer-gebed, igar-maidba anmar imaker-gebed.
MAT.3.15	Degisoggu, Juan Bab-Dummad-digi-ogleged-igargi Jesús-ogsasun. 
MAT.3.16	Ar Jesús Bab-Dummad-digi-ogleged-igar-imaksad-sorba diwargi-gwichid nakwiarsun. Agi geb nibneg ega argaded, degi, Jesús, Bab Dummad Burba Nued nuuyobi egi aidedani daksad. 
MAT.3.17	Geb degi nibneggi gaya-burba gollalid, sogded: “We, An-Machi-sabed-sunnad gued, weba weligwar an itoged.”
MAT.4.1	Juan Bab-Dummad-digi-ogleged-igargi Jesús-ogsad-sorba Bab Dummad Burba Nued nega-dule-sulidganba Jesús-sessun, nia-sailase wilubdaklegegar.
MAT.4.2	Jesús Bab-Dummadse-golegala iba-dulabogus mutikid, degi, ibginedba mas-gunsuli gudigusad-sorba, ukur itoalid. 
MAT.4.3	Degi nia-saila, dule-wilubdaked ese nonikid, ega sognonikid:
MAT.4.3	—Ar be Bab-Dummad-Machi-sunnadile, we-akwamarga be soge: ‘Maduga be-binyeye.’
MAT.4.4	Jesús, abin-imakdegu, nia-sailaga sogde:
MAT.4.4	—Noar be soged, ar Bab-Dummad-Gardagi narmakar naid:
MAT.4.4	Dule maduginbi dula gudiguosulid,
MAT.4.4	bela Bab-Dummad-gaya-burba-itogedgi dula gudigubaloed.
MAT.4.4	Dt. 8:3
MAT.4.5	Geb degi nia-saila neggwebur-islidikidse Jesús-ses, Jerusalénse. Agi Bab-Dummadse-goled-neg-uas-birgi ogwisdapgu, 
MAT.4.6	Jesúsga sogded:
MAT.4.6	—Ar be Bab-Dummad-Machi-sunnadile, be napase ichomakdo, ar Bab-Dummad-Gardagi narmakar naid:
MAT.4.6	Na e-angermar bega barmidagoye,
MAT.4.6	e-argangi be-gamaloye,
MAT.4.6	adi melle be nag akwagi yolegegarye.
MAT.4.6	Sal. 91:11-12
MAT.4.7	Jesús, nia-saila-abin sogde:
MAT.4.7	—Nabir be sogendo, ar Bab-Dummad-Gardagi narmakar sognaibalid:
MAT.4.7	Melle Dummad, be-Bab-Dummad,
MAT.4.7	be wilubdakoed.
MAT.4.7	Dt. 6:16
MAT.4.8	Geb degi gannar nia-saila yar-matusulidse Jesús-sesbalid, agi belagwable napa-naid, degi, e-gangumalad ese oyosgu, 
MAT.4.9	geb Jesúsga sogded:
MAT.4.9	—An-nug odummogegar, be sindigar an-asabin siger, geb we-ibmar belagwapa an bega ukoed.
MAT.4.10	Geb degi Jesús, abin-sogded:
MAT.4.10	—Nia-saila-Satanás, be angi bangu, ar Bab-Dummad-Gardagi narmakar naid:
MAT.4.10	Ar Dummad, be-Bab-Dummad,
MAT.4.10	Asebi be goloed e-nug odummogegar, unnila agarbi be ibmar-imakoed.
MAT.4.10	Dt. 6:13
MAT.4.11	Geb degi nia-saila Jesúsgi bangussun. A-sorba angermar Jesússe nonikid, ega ibmar imaknonimalad.
MAT.4.12	Jesús itoargu, Juan-Bautista eskaryagi mellesiiye, Jesús gannar Galilease nonikid. 
MAT.4.13	Nazaretgi-maid bangudgu, Capernaumgi megnonikid, mata-dummad-naid-walik, Zabulón-yala, degi, Neftalí-yala-walik. 
MAT.4.14	Ar Bab-Dummad-gaya-burba-berbeged, epenne-Isaías-sogsa-gusadba guegala deyob gusad, deun sogsa-gusgu:
MAT.4.15	Zabulón-yala, degi, Neftalí-yala,
MAT.4.15	mata-dummad-naidsik,
MAT.4.15	Jordán-diwar-obakar-bukmalad,
MAT.4.15	Galilea-dola, Judiosurmalad,
MAT.4.16	a-neggweburgi Bab-Dummad-wichuli-bukmalad
MAT.4.16	nega-sichidgi siidyobid,
MAT.4.16	dule-wargwen Bab-wisgusar,
MAT.4.16	gwallu-dummad-meegwad ega ganonikidyobid,
MAT.4.16	dulemar-neg-sichidgi-burgwednagagi-bukmaladga,
MAT.4.16	dule-wargwen nonikid,
MAT.4.16	ega gwallu-meegwad-ganonikidyob nonikid.
MAT.4.16	Is. 9:1-2
MAT.4.17	Degi, agi Jesús Bab-Dummad-gaya-burbagi sunmakarsun: “Be-iskudiidga na be bukib binsamar, be-daed na be ogwamar, ar Bab-Dummad-neg-dakmaid bemarse warmaksad.”
MAT.4.18	Jesús Galilea-mata-dummad-gakaba nadapgu, dule e-urba-ebo mata-dummadgi saki-minai dakalid. Gwensak Simón, Pedroye-nugbalid, degi, e-urba-Andrés. Amarde gusgu ua-gaedgi arbamalad. 
MAT.4.19	Jesús amarga sogde:
MAT.4.19	—Anba be dagmar, igi bemar ua-gae, abayobi dulemar-napneggi-bukwad gaega, an be-odurdakmaloed, adi dulemar anba nagumalagar.
MAT.4.20	Abga Simón, degi, Andrés, e-saki yog indakar, Jesúsba yog naar imasmalad.
MAT.4.21	Jesús sikwas nadbargu, Santiago, Zebedeo-machi, degi, e-urba-Juan, a-ebo urgi e-bab-Zebedeomala saki-matumakbukwa dakdapid. Jesús amar-warbose-gochamogad, eba dagegar e-sapinganga guegar. 
MAT.4.22	Amar yog ur, degi, e-bab-Zebedeo mete nadmalad, Jesúsba naegar.
MAT.4.23	Jesús bela Galilea-yalaganba gudigusad, Judiomar-onmaked-neggi dulemar-odurdakdii, Bab-Dummad-neg-dakmaid-gaya-burba-nuedgi sunmakdii, degine, dulemar bela uelemalad, degi, galagwensuli ibmar-nunmak-itomalad nudakdii-gusad.
MAT.4.24	Jesús dulemar-nudakdiidba, bela Siria-yalase e-nug dunguded. A-ular dulemar bela ibmar-naibi-itodimalad, galagwensuli-gegudimalad, abgan-nunmakdimalad, niasamalad, suu-itodimalad, abgan-burgwarmalad, Jesússe senonimalad. Bela Jesús amar-nudaksad.
MAT.4.25	Dule-bukidar Jesúsba duurmaknadap-gusmalad, Galilea-dorgan, neggwebur-gwaambe-bukmaladginmalad, Jerusalénginmalad, Judeaginmalad, degi, Jordán-diwar-obakarmalad, amar Jesúsba duurmaknadap-gusmalad.
MAT.5.1	Jesús dulemar-bukidar ese duurmakdani dakdegu, yar-birse nakwisad. Agi sigisgu, e-sapingan ese nonimalad. 
MAT.5.2	Degi, Jesús dulemar-odurdakdegu, sogded:
MAT.5.3	“Dulemar burbar na wileged itoger,
MAT.5.3	amargi nued binsalesad,
MAT.5.3	ar ade Bab-Dummad-neg-dakmaid amargadid.
MAT.5.4	Dulemar-bodidimalad,
MAT.5.4	amargi nued binsalesad,
MAT.5.4	ar amar-bukib-binsadiid,
MAT.5.4	weligwaled ega uklegoed.
MAT.5.5	Dulemar na san-dummarba imaksurmalad,
MAT.5.5	amargi nued binsalesad,
MAT.5.5	ar amar we-napneg-naid egadga guoed.
MAT.5.6	Dulemar-igar-napiragwad-bina mas-gunbiedyob itodimalad,
MAT.5.6	degi, uku-uku itodimalad, amargi nued binsalesad,
MAT.5.6	ar Bab Dummad nabir igar-inikigwad-imaked amar-imakoed
MAT.5.6	igi dulemar immerba nabir itononidamaladyob.
MAT.5.7	Dulemar nue wile emar-daked,
MAT.5.7	amargi nued binsalesad,
MAT.5.7	ar amar wile daklemogoed.
MAT.5.8	Dulemar-gwage-swilidikmalad,
MAT.5.8	amargi nued binsalesad,
MAT.5.8	ar amar Bab-Dummad-dakmaloed.
MAT.5.9	Dulemar emar-gwage-bogidik-imakmalad,
MAT.5.9	amargi nued binsalesad,
MAT.5.9	ar amar Bab-Dummad-mimmiganye bilenonimaloed.
MAT.5.10	Dulemar igar-inikigwad-bina baregilledimalad,
MAT.5.10	amargi nued binsalesad,
MAT.5.10	ar ade Bab-Dummad-neg-dakmaid amargadid.
MAT.5.11	“Dulemar an-nug-ular be-ichoarmalar, be-bareginnarmalar, degi, galagwensuli binsa gakansaar begi sunmakarmalar, bemargi nued binsalesdo. 
MAT.5.12	Bemar yeer itomar, wergumar, ar nibneggi bemarga ibmar-uklegoed dummarbad, ar ayobi Bab-Dummad-gaya-burba-berbemalad epenne bemar-idu baregillesmarmogad.”
MAT.5.13	Jesús sogdebar: “Bemar we-napneggi baluyob gumalad. Ar balu-e-gaibid surgudele, ¿igi bar balu-balu guosunna? Geg bar ib-nuedga gued, degisoggu, balu igargi-mier bur nabirid, dulemar egi annaegar.”
MAT.5.14	Jesús sogdebar: “Bemar we-napneggi gwallu-meegwadga gumalad, ar neggwebur-gwagwen yar-birgi siile, geg we-neggwebur dukued. 
MAT.5.15	Degine, gwallu, ulu-urba-siega ogalesulid, gwallu ogaleged, e-sied-birgi siegar, adi bela dulemar-neg-yagi-bukmaladga neg-mee-saegar. 
MAT.5.16	Debayobi, gwallu gaeyobi, bemar dulemar-asabin damarmo, adi dule-baigan be-dakmalagar, bemar ibmar-nuegan imakdiid, degine, adi be Bab-Dummad-nibneggi-maid-e-nug ogannomalagar.”
MAT.5.17	Jesús sogdebar: “Mer be binsamalo, Moisés-igar-mesisad, igi, Bab-Dummad-gaya-burba-berbemalad-igar-mesisad osulogega an noniye. Suli, an aga nonisulid, an nonikidi a-igar gatik bur-nue odulogegar.
MAT.5.18	“Ar napira an bemarga sogmalad, we-napneg, degi, nibneg-naid bergued-idu, Moisés-igar-narmakar-naid e-bichugwad-bur-bipigwad gwen bipisaar wis ogwalegosulid, ar bela narmakar-naidba guedsegad. 
MAT.5.19	Degisoggu, ar doa-dule we-igar-maidgi wis bipisaar egi gwatirisale, degine, ar deyob dulemar-odurdakele, a-dule, dule-bipigwadye nibneggi bilegoed. Ar dule bela Moisés-igar-maidba daele, degine, ar deyob dulemar-odurdakbalile, we-dule, dule-dummadye Bab-Dummad-neg-dakmaidgi bilemogoed.
MAT.5.20	“Ar napira an bemarga sogmalad, bemar igar-napiragwad-imaked, escribamarba, degi, Fariseomarba bur nuedsulile, Bab-Dummad-neg-dakmaidse bemar gwen dogosurmalad.”
MAT.5.21	Degi Jesús sogdebar: “Be itosmalad, epenne igi serganga sogles-gusa:
MAT.5.21	Mer na be oburgwemalo.
MAT.5.21	Ex. 20:13
MAT.5.21	Ar dule-wargwen dule-oburgwisale,
MAT.5.21	a-dulega odurdakleged-igar ega megnonikoed.
MAT.5.21	Ex. 21:12
MAT.5.22	Ar andi an bemarga sogmalad, ar dule-wargwen binsarsunna sae-itoge e-gwenadse urwe-dibe, a-dulega igar-itoleged megoed. Ar doa-dule e-gwenadga sog-dibe, ‘Be gegegwa an be-dakye,’ a-dulega Judio-dummagan igar-itogoed, ega igar amiegar. Ar doa-dule e-gwenadga sog-dibe, ‘Be akargubi an be-dakye,’ a-dule soo-sailase odurdakleged bur-nabirid.
MAT.5.23	“Degisoggu, Bab Dummadga ibmar be uksokalid, na e-ukleged-galuse be sedanikir, agi be insaalir, be-gwenadgi be gwatirisad, 
MAT.5.24	be ibmar-Bab-Dummadga-be-uksokalid, na e-ukleged-galugi be obes nae, be-gwenad-bebo igar be nabonagwer, geb degi a-sorba gannar be dagoed, be Bab-Dummadga-ibmar-uksokalid geb be ukoed.
MAT.5.25	“Dule-bebo igar gwatirnaid, ebo amba be igarba nadapi, gwae agi ebo igar be naboge, ar degi be imaksulile, abakalegi dule igar-naboged-dummadga be-ukalile, degi, a-dule, suar-ibedga be-ukarmogale, degiir, a eskaryagi be-metoed. 
MAT.5.26	Napira an bega soge, be eskaryagi mellesiid, be noosurguodo, bela begi-mani-galesad be bennukedse.”
MAT.5.27	Jesús sogdebar: “Ar be itosmalad igi serganga soglesa:
MAT.5.27	Mer be na abirgunagwarsuli
MAT.5.27	neg-sichigi be yolemalo.
MAT.5.27	Ex. 20:14
MAT.5.28	Ar andi an sogdo, ar dule-wargwen ome-wargwengi sunnasur na e-ulubgi egi binsasale, bato we-dule na abirgunagwarsuli neg-sichigi omegi yolesdo. 
MAT.5.29	Degisoggu, be-ibya-nuedsikid, be-gwage ichogega be-imak-dibe, bur be onodo, bikiin be metedo, ar bur nabirsursi unnila be-sangi-akanaid gwensak bei yoggusar, bur be-san bela soo-sailagi mellegedba. 
MAT.5.30	Ar be-argan-nued be-gwage ichogega be-imak-dibe, bur be sikdo, bikiin be metedo, ar bur nabirsursi unnila be-sangi-akanaid gwensak bei yoggusar, bur be-san bela soo-sailagi mellegedbar.”
MAT.5.31	Jesús sogdebar: “Bemar itosmar igi epenne bemar-serganga soglesbali:
MAT.5.31	Ar dule-wargwen ome-metele,
MAT.5.31	omega ome-meted-garda ukoye.
MAT.5.31	Dt. 24:1
MAT.5.32	Ar andi an sogdo, ar dule-wargwen unnila e-ome egi-dikarba nosarbi sunna ome-meted. Ar degisulile, ome-meted ega igar gwen maisulid. Ar dule ome-metele, degiir ome neg-sichigi yolega imako-itole, degine, dule ome-melleded nikusale, a-dule ome-dikarba neg-sichigi yoledimodo.”
MAT.5.33	Degine, bemar itosbar, igi epenne bemar-serganga soglesbali:
MAT.5.33	Napira-ibmar-nuggi be sogsadi be imako,
MAT.5.33	mer be imaksuli-guo.
MAT.5.33	Ar Bab-Dummad-asabin napira be ibmar sogsad,
MAT.5.33	imakedse be sao.
MAT.5.33	Lv. 19:12; Nm. 30:2; Dt. 23:21
MAT.5.34	Ar andi an sogdo, mer bipisaar be sogo, an napira imakoye we-nibneg-naid-ularye, ar ade nibneg Bab-Dummad-siged-olo-ganad.
MAT.5.35	Degine, mer be sogbalo, we-napneg-naid-ular napira an sogye an imakoye, ar ade napneg Bab-Dummad-e-nag-onakwed-ganad. Degine, mer be sogbalo, Jerusalén-neggwebur-ular an napira sogye an imakoye, ar ade Jerusalén Bab-Dummad-e-neggwebur gued. 
MAT.5.36	Degi, be nonose-bakar mer egi be sogo, an-nono-ular an napira ibmar imakoye, ar geg be sailagia-wargwensaar sipuu, igi, sichii be imaked.
MAT.5.37	“Ar be-sunmaked unnila be soge, eyeye, an imakoye, igi, an sao surye. Ar we-sogedba bur-bule be sogsale, agi ibmar-iskana dani-daed.”
MAT.5.38	Jesús sogdebar: “Ar bemar itosmarbalid, epenne be-serganga soglesad:
MAT.5.38	Ibya-gwagwen dule bei onosale,
MAT.5.38	buged maiye,
MAT.5.38	degine, nugar-wargwen dule bei bichisale,
MAT.5.38	buged maibarye.
MAT.5.38	Ex. 21:24; Lv. 24:20; Dt. 19:21
MAT.5.39	Ar andi an sogdo: Dule-iskana-abin mer be gwisgu. Bur be imakdo, dule-wargwen be-wagar-nuedsikid bei bibyosale, baid-wagar ega be oyobardo. 
MAT.5.40	Ar dule-wargwen igar-nika igar-maidgi abin-abin be imakar-dibe, bei mor subiguar-dibe, ega be suba ukbardo. 
MAT.5.41	Ar dule-wargwen ise-barmiar milla-gwen ega-ibmar-sedbi be abe-dibe, ega milla-bo ibmar-seded be sae. 
MAT.5.42	Ar dule bese ibmar egichialir, ega be uke. Dulegi mer be ibmar nallegu, dule bega sokalir, wis anga be udagwerye, an gannar bega ukbaloye.”
MAT.5.43	Jesús sogdebar: “Ar bemar itosmalad epenne be-serganga soglesad:
