GEN.1.1	Naãrãed̶a Ãcõrẽba bajãda idjab̶a naʌ̃ ẽjũãda osia. 
GEN.1.24+GEN.1.25	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.24+GEN.1.25	–Animarã quĩrãtanoa b̶eada naʌ̃ ẽjũãne baraa baya: daupẽbada animarãda, ãdji jãne wãbada animarãda, mẽãbema animarã sid̶a baraa baya.–
GEN.1.24+GEN.1.25	Ara mãwã jarabʌrʌba Ãcõrẽba mẽãbema animarãda, daupẽbada animarãda, animarã ãdji jãne wãbada sid̶a quĩrãtanoa ocuasia. Maʌ̃ra idjia bia unusia.
GEN.1.26	Maʌ̃be Ãcõrẽba jarasia:
GEN.1.26	–Jãʌ̃be ẽberãda od̶adrʌ dadji quĩrãca. Maʌ̃ ẽberãba ĩbana b̶eada, animarã pusad̶e b̶eada, daupẽbada b̶eada, mẽãbema b̶eada, idjab̶a jũma ãdji jãne wãbada sid̶a poya erob̶aya.–
GEN.1.27	Ara mãwã jarabʌrʌba Ãcõrẽba ẽberãda osia idji quĩrãca. Wãrãda idji quĩrãca osia. Dji umaquĩrã, dji wẽrã sid̶a osia. 
GEN.1.28	Maʌ̃be Ãcõrẽba ãdjira nãwã bia jarasia:
GEN.1.28	–Warra zocãrã ununadua. Naʌ̃ ẽjũãra birad̶adua idjab̶a jũma naʌ̃ ẽjũãne b̶eara bãrã jʌwaed̶a erob̶ead̶adua. B̸eda b̶eara, ĩbana b̶eara, druabema animarã sid̶a jũma poya erob̶ead̶adua.–
GEN.1.29	Maʌ̃ awara Ãcõrẽba ãdjía jarasia:
GEN.1.29	–Acʌd̶adua, mʌ̃a bãrãa diaya jũma naʌ̃ ẽjũãne chirua ta bara b̶eada, jũma bacuru nejõ ta bara b̶ea sid̶a. Maʌ̃nebemada bãrãba jũma cod̶ida panʌa. 
GEN.1.30	Idjab̶a animarã druabemaa, ĩbana b̶eaa, jũma animarã ãdji jãne wãbada b̶eaa bid̶a mʌ̃a chiruara diaya cod̶amãrẽã.–
GEN.1.30	Ara maʌ̃da mãwã b̶esia. 
GEN.1.31	Maʌ̃be Ãcõrẽba idjia od̶ara jũma bio bia unusia. Seibema ewarid̶e mãwã osia.
GEN.2.1	Mãwã Ãcõrẽba bajãra, naʌ̃ ẽjũã sid̶a jũma pãrãsia. Jũma bajãne b̶eara, naʌ̃ ẽjũãne b̶ea sid̶a pãrãsia. 
GEN.2.2	Sietebema ewarid̶e jũma pãrã erob̶asia. Maʌ̃ bẽrã sietebema ewarid̶e ʌ̃nãũsia. 
GEN.2.3	Jũma pãrãped̶a ʌ̃nãũna bẽrã, sietebema ewarira dji biara b̶ʌda b̶ʌsia jũmarãba idjía bia bed̶ea pananamãrẽã idjab̶a ʌ̃nãũ pananamãrẽã. 
GEN.2.4	Mãwã Ãcõrẽba bajãra, naʌ̃ ẽjũã sid̶a jũma osia.
GEN.2.4	Ãcõrẽba naʌ̃ ẽjũã, bajã sid̶a osi ewarid̶e, 
GEN.2.5+GEN.2.6	chiruada põãjãrã sid̶a neẽ́ basía Ãcõrẽba naʌ̃ ẽjũãne wad̶ibid̶a cueda zebica bad̶a bẽrã. Baribʌrʌ egorod̶eba ʌ̃taa towaada odjabadjia naʌ̃ ẽjũã jũma b̶eguea oi carea.
GEN.2.7	Maʌ̃ne Ãcõrẽba egoro porad̶eba ẽberãda osia. Maʌ̃ ẽberã quẽbʌd̶e Ãcõrẽba jãrãpuasia ʌ̃yãba edamãrẽã. Mãwã ẽberãra zocai b̶esia.
GEN.2.8	Mãwãnacarea Ãcõrẽba néu ẽjũãda ʌ̃mãdau odjabariare osia.
GEN.2.9	Mama quĩrãtanoa bacuru bia qued̶eada nejõ bia zaubadada waribisia. Maʌ̃ ẽjũã ẽsi úsia nejõ zocai b̶ai diabarida. Idjab̶a úsia nejõ crĩcha bia, crĩcha cadjirua cawabibari sid̶a.
GEN.2.10	Edeʌ̃ ẽjũãne doda b̶asia maʌ̃ néu ẽjũãra jũma cũrãsa erob̶amãrẽã. Maʌ̃ dora dji taed̶aa quĩmãrẽ nẽrã b̶asia. 
GEN.2.11	Do nẽrã b̶ʌra ab̶a Pisoʌ̃ basía. Pisoʌ̃ra Havila druad̶e b̶ʌa. Havila druara oro bara b̶ʌa. 
GEN.2.12	Dji orora bio bia b̶ʌa. Idjab̶a ónice mõgara sid̶a bara b̶ʌa. Bacuru b̶a tũãpa b̶ʌ bedelio abada sid̶a bara b̶ʌa. 
GEN.2.13	Dewarabema dora Gihoʌ̃ abadaa. Gihoʌ̃ra Cus druad̶e b̶ʌa. 
GEN.2.14	Maʌ̃arebema dora Tigri abadaa.
GEN.2.15	Maʌ̃ne Ãcõrẽba ẽberãra edaped̶a Edeʌ̃ néu ẽjũãne b̶ʌsia acʌ b̶amãrẽã. 
GEN.2.16	Maʌ̃be Ãcõrẽba ẽberãa jara b̶ʌsia:
GEN.2.16	–Jũma naʌ̃ néu ẽjũãne b̶ea nejõra bʌa jõida b̶ʌa. 
GEN.2.17	Baribʌrʌ crĩcha bia, crĩcha cadjirua cawabibari nejõra jõcara b̶ʌa. Maʌ̃da jõsira ara maʌ̃ ewarid̶e bʌra wãrãda beuya.–
GEN.2.18	Maʌ̃be Ãcõrẽba jarasia:
GEN.2.18	–Bia b̶ʌẽ́a ẽberã idub̶a b̶aida. Carebabari biada idji itea oya.–
GEN.2.19	Maʌ̃ne Ãcõrẽba egorod̶eba jũma animarã druabemada, jũma ĩbana sid̶a osia. Maʌ̃ animarã b̶eara ẽberãmaa enesia cãrẽ trʌ̃da ãdjiza b̶ʌcuai cawaya. Ara maʌ̃da ẽberã Adaʌ̃ba animarã b̶eara trʌ̃ b̶ʌcuasia. Animarã trʌ̃ra ãdjiza b̶esia Adaʌ̃ba trʌ̃ b̶ʌcuad̶a quĩrãca. 
GEN.2.20	Mãwã Adaʌ̃ba daupẽbada animarãra, ĩbana bajãne wãb̶aribadara, mẽãbema animarã sid̶a jũma trʌ̃ b̶ʌcuasia. Mãwãmĩna Adaʌ̃ itea carebabari biada wad̶i neẽ́ basía.
GEN.2.21	Maʌ̃ carea Ãcõrẽba Adaʌ̃ra bio cãĩbisia. Adaʌ̃ cãĩ b̶ʌd̶e Ãcõrẽba idji orro b̶ʌwʌrʌda ab̶a edasia. Edaped̶a waya dji djarara cara b̶ʌsia. 
GEN.2.22	Maʌ̃be Ãcõrẽba Adaʌ̃ orro b̶ʌwʌrʌ edad̶ara wẽrãda osia. Oped̶a Adaʌ̃maa enesia. 
GEN.2.23	Maʌ̃ne Adaʌ̃ba jarasia:
GEN.2.23	¡Id̶ibʌrʌ naʌ̃ra mʌ̃ orroa! Idjidrʌ wãrãda mʌ̃ djarad̶eba od̶aa.
GEN.2.23	Mʌ̃a trʌ̃ b̶ʌya “wẽrã”, Ãcõrẽba idjira umaquĩrãneba od̶a bẽrã.
GEN.2.24	Maʌ̃ carea umaquĩrãba dji zezara, dji papa sid̶a ameped̶a idji quima ume ãbaa b̶eya. Mãwã cacua ab̶a b̶ʌ quĩrãca panania.
GEN.2.25	Maʌ̃ne Adaʌ̃ra, dji wẽrã sid̶a ãcad̶a panasid̶aa baribʌrʌ perad̶aca basía.
GEN.3.1	Jũma Ãcõrẽba ocuad̶a animarã cãyãbara damada crĩcha cawaara b̶asia djãrã cũrũgai carea. Maʌ̃ damaba wẽrãa jarasia:
GEN.3.1	–¿Ãcõrẽba wãrãda jarasica jũma naʌ̃ néud̶e b̶ea nejõra bãrãba jõcara panʌda?–
GEN.3.2	Wẽrãba panusia:
GEN.3.2	–Mãwãẽ́a. Naʌ̃ néud̶ebema nejõra daiba jõnida panʌa. 
GEN.3.3	Baribʌrʌ bacuru néu ẽsi nũmʌnebemada Ãcõrẽba jarasia: “Jãʌ̃gʌ nejõra jõrãnadua idjab̶a jidarãnadua. Mãwã od̶ibʌrʌ beud̶ia.”–
GEN.3.4	Maʌ̃ne damaba wẽrãa jarasia:
GEN.3.4	–Bãrãra beud̶aẽ́a. 
GEN.3.5	Ãtebʌrʌ maʌ̃ nejõ jõbʌda ewarid̶e bãrãba ab̶ed̶a jũma cawad̶ia biada, cadjirua sid̶a. Mãwã Ãcõrẽ quĩrãca crĩcha cawa panania. Maʌ̃gʌra idjia cawa b̶ʌa, maʌ̃ carea bãrãa jõbi ama b̶ʌa.–
GEN.3.6	Maʌ̃ne wẽrãba unusia bacuru néu ẽsi nũmʌ nejõra biya purea jira b̶ʌda idjab̶a jõi biya quiruda. Ara maʌ̃da jõ quĩrĩãsia crĩcha cawa b̶ai carea. Maʌ̃be b̶a edaped̶a jõsia. Jõped̶a dji quimaa diasia. Maʌ̃ne idjia bid̶a jõsia. 
GEN.3.7	Ara maʌ̃da ãdjia umena ab̶ed̶a cawasid̶aa ãdjira ãcad̶a panʌda.
GEN.3.8	Quewara cũrãdrʌbʌrʌd̶e Ãcõrẽra néu ẽjũãne nĩbasia. Adaʌ̃ba dji wẽrã bid̶a maʌ̃ ũrĩsid̶ad̶e néud̶e mĩrũsid̶aa. 
GEN.3.9	Maʌ̃ bẽrã Ãcõrẽba Adaʌ̃ra nãwã trʌ̃sia:
GEN.3.9	–¿Bʌra sãma b̶ʌ?–
GEN.3.10	Adaʌ̃ba panusia:
GEN.3.10	–Bʌ zebʌrʌda ũrĩsid̶e ne wayaaba mʌ̃ra mĩrũsia ãcad̶a b̶ʌ bẽrã.–
GEN.3.11	Maʌ̃ne Ãcõrẽba iwid̶isia:
GEN.3.11	–¿Caiba jarasi bʌra ãcad̶a b̶ʌda? ¿Bʌa jõsica mʌ̃a jõrãduad̶a nejõra?–
GEN.3.12	Adaʌ̃ba panusia:
GEN.3.12	–Bʌa mʌ̃́a wẽrã diad̶aba jõbisia.–
GEN.3.13	Maʌ̃ bẽrã Ãcõrẽba wẽrãa iwid̶isia:
GEN.3.13	–¿Bʌa cãrẽ cãrẽã jãwã osi?–
GEN.3.13	Wẽrãba panusia:
GEN.3.13	–Damaba mʌ̃ra cũrũgasia. Maʌ̃ bẽrã mʌ̃a jõsia.–
GEN.3.14	Maʌ̃ bẽrã Ãcõrẽba damara nãwã biẽ́ jara b̶ʌsia:
GEN.3.14	Bʌa jãwã cũrũgad̶a bẽrã, mʌ̃a bʌra daupẽbada animarã idjab̶a mẽãbema animarã cãyãbara biẽ́ara b̶ʌya.
GEN.3.14	Nãwã b̶aya: id̶iba ʌ̃taa bʌdji jãne nĩbaya idjab̶a ewariza bʌ itera egoro pora caita b̶aya ab̶a beubʌrʌd̶aa.
GEN.3.15	Idjab̶a mʌ̃a bʌra wẽrã ume dji quĩrũda b̶ʌya. Id̶iba ʌ̃taa bʌ warrara wẽrã warra ume dji quĩrũ baya.
GEN.3.15	Bʌa wẽrã warrara jĩrũgarronane caya. Baribʌrʌ idjia bʌ borora berradʌgaya.
GEN.3.16	Maʌ̃ne Ãcõrẽba wẽrãa jarasia:
GEN.3.16	Bʌ b̶iogoa b̶ʌd̶e mʌ̃a bʌra bia mĩgabiya. Warra tobʌrʌd̶e puad̶eba toya.
GEN.3.16	Mãwã bia mĩga b̶aimĩna bʌ quima ume b̶a quĩrĩã b̶aya,
GEN.3.17+GEN.3.18	Maʌ̃ne Ãcõrẽba umaquĩrãa jarasia:
GEN.3.17+GEN.3.18	Mʌ̃a bʌ́a jarasia jãʌ̃ nejõra jõrãmãrẽã. Mãwãmĩna bʌ wẽrã bed̶eada ĩjãsia.
GEN.3.17+GEN.3.18	Maʌ̃ bẽrã mʌ̃a naʌ̃ ẽjũãra jũma biẽ́ b̶ʌya. Ʌrʌda, jũĩchichi sid̶a odjacuaya.
GEN.3.17+GEN.3.18	Bʌra bio bia mĩga b̶aya bʌ néud̶ebemada coi carea. Idjab̶a bʌa chiruada co b̶aya.
GEN.3.19	Ne coi carea traja b̶ʌd̶e bʌ dratud̶e jʌa zowua nũmaya ab̶a beubʌrʌd̶aa.
GEN.3.19	Bʌra egoro porad̶ebemaa. Maʌ̃ carea bʌra wayacusa egoro pora baya.
GEN.3.20	Adaʌ̃ba idji wẽrãra trʌ̃ b̶ʌsia Eva, idjira jũma dadji zocai b̶ea papa bẽrã.
GEN.3.21	Maʌ̃be Ãcõrẽba animarã ed̶ebema wuada oped̶a ãdjía jʌ̃bisia. 
GEN.3.22	Mãwãnacarea Ãcõrẽba jarasia:
GEN.3.22	–Naʌ̃ ẽberãba jãʌ̃ nejõra jõna bẽrã biada cadjirua sid̶a jũma cawa b̶ʌa. Mãwã dadji quĩrãca b̶esia. Maʌ̃ bẽrã zocai b̶ai diabari nejõda idjía idu jõbid̶aẽ́a. Maʌ̃da jõsira beuca baya.–
GEN.3.23	Ara maʌ̃da Ãcõrẽba ẽberãra Edeʌ̃ néu ẽjũãnebemada ãyã jʌretasia ẽjũã o b̶amãrẽã. Ãcõrẽba idjira egorod̶eba osia. Maʌ̃ bẽrã idjira b̶ʌsia egorod̶e ne u b̶amãrẽã. 
GEN.3.24	Ãcõrẽba ẽberãra ãyã jʌretaped̶a Edeʌ̃ néu ẽjũã ʌ̃mãdau odjabariare bajãnebema nezocarã i bara panʌda b̶ʌsia. Idjab̶a b̶ʌsia djõbada neco urua b̶ʌda, idub̶a pʌrrʌga tucua jira b̶ʌda. Maʌ̃gʌrãba zocai b̶ai diabari nejõra waga panesid̶aa ni ab̶aʌba jõrãmãrẽã.
GEN.4.1	Maʌ̃be Adaʌ̃ra dji quima Eva ume cãĩsia. Evara b̶iogoa b̶eped̶a warra tosia. Maʌ̃ne Evaba jarasia: “Mʌ̃a umaquĩrã warrada erob̶esia Ãcõrẽba carebad̶a bẽrã.” Mãwã dji warrara trʌ̃ b̶ʌsia Caiʌ̃.
GEN.4.2	Mãwãnacarea dji djaba Abelda tosia. Maʌ̃ Abelera oveja daupẽbari basía. Maʌ̃ne Caiʌ̃ra ne ubari basía.
GEN.4.3	Mãwã panʌne ewari ab̶a Caiʌ̃ba idji néud̶ebemada Ãcõrẽa diasia. 
GEN.4.4	Maʌ̃ne Abelba oveja zaquerã dji naãrã toped̶ad̶ada beaped̶a dji dragada Ãcõrẽa diasia. Ãcõrẽba Abelera idjia diad̶a sid̶a bia unusia.
GEN.4.5	Baribʌrʌ Caiʌ̃da idjia diad̶a sid̶a bia unuẽ́ basía. Maʌ̃ carea Caiʌ̃ra bio quĩrũsia. Ab̶ed̶a quĩrã cadjirua nũmesia. 
GEN.4.6	Maʌ̃ carea Ãcõrẽba Caiʌ̃a jarasia:
GEN.4.6	–¿Cãrẽ cãrẽã quĩrũ nũmʌ? ¿Cãrẽ cãrẽã quĩrã cadjirua nũmʌ? 
GEN.4.7	Bʌa biada oibʌrʌ ¿bʌra b̶ʌsrid̶a b̶aẽ́ca?
GEN.4.8	Ewari ab̶a Caiʌ̃ba idji djabaa jarasia: “Ãyã pʌrrʌad̶e wãna.”
GEN.4.9	Maʌ̃ bẽrã Ãcõrẽba Caiʌ̃a iwid̶isia:
GEN.4.9	–¿Sãma b̶ʌ bʌ djaba Abelera?–
GEN.4.9	Maʌ̃ne Caiʌ̃ba panusia:
GEN.4.9	–Cawaẽ́a. Mãwãra ¿mʌ̃ra idji acʌbarica?–
GEN.4.10	Ãcõrẽba jarasia:
GEN.4.10	–¿Cãrẽ cãrẽã bʌ djabara jãwã beasi? Idji oa egorod̶e erozoad̶aba jĩgua jara b̶ʌa mʌ̃a jipa cawa omãrẽã. 
GEN.4.11	Bʌ djabada bead̶a bẽrã mʌ̃a bʌra biẽ́ b̶ʌya. Mʌ̃a bʌra idji oa erozoad̶amaʌba ãyã jʌretaya. 
GEN.4.12	Bʌa ẽjũã obʌrʌmĩna bʌ néura bia zauca baya. Bʌra naʌ̃ ẽjũãne ara jãwã pʌrrʌa nĩbaya. Ʌ̃nãũi sid̶a neẽ́ b̶aya.–
GEN.4.13	Caiʌ̃ba Ãcõrẽa jarasia:
GEN.4.13	–Mʌ̃ mãwã b̶aira jũmawãyã zarea b̶ʌa. Maʌ̃ra mʌ̃a droaẽ́a. 
GEN.4.14	Id̶i bʌa mʌ̃ra naʌ̃ druad̶ebemada ãyã jʌretabʌrʌa. Bʌ quĩrãpita mʌ̃ra wãcara b̶aya. Id̶iba ʌ̃taa mʌ̃ra naʌ̃ ẽjũãne pʌrrʌa nĩbaya drua ãĩbema quĩrãca. Bariduaba mʌ̃ra ununibʌrʌ, bead̶ia.–
GEN.4.15	Ãcõrẽba jarasia:
GEN.4.15	–Bariduaba bʌda beaibʌrʌ, mʌ̃a idjira bʌ cãyãbara aud̶uara cawa oya.–
GEN.4.15	Maʌ̃ bẽrã Ãcõrẽba Caiʌ̃ cacuad̶e sẽyãda b̶ʌsia, bariduaba maʌ̃ sẽyãda unusid̶ara Caiʌ̃ra bearãnamãrẽã. 
GEN.4.16	Ara maʌ̃da Caiʌ̃ra Ãcõrẽ quĩrãpitabemada ãyã wãped̶a Nod druad̶e b̶ad̶e wãsia. Maʌ̃ Nod druara Edeʌ̃neba ʌ̃mãdau odjabariare b̶ʌa.
GEN.4.17	Caiʌ̃ra idji quima ume cãĩsia. Dji wẽrãra b̶iogoa b̶eped̶a Enocoda tosia. Maʌ̃ Enoco tosid̶e Caiʌ̃ba puruda o b̶asia. Dji puru trʌ̃ra dji warra trʌ̃ quĩrãca Enoco trʌ̃ b̶ʌsia.
GEN.4.18	Enocora Irá zeza basía. Irára Mehujael zeza basía. Mehujaelera Metusael zeza basía. Metusaelera Lame zeza basía. 
GEN.4.19	Maʌ̃ Lameba wẽrãda umé erob̶asia. Ab̶ara Adá abadjid̶aa, dewarabemara Zila abadjid̶aa. 
GEN.4.20	Adába Jabalda tosia. Jabald̶eba yõsid̶aa wua ded̶e b̶eabadada, animarã daupẽbadarã sid̶a. 
GEN.4.21	Dji djaba trʌ̃ra Jubal basía. Jubald̶eba yõsid̶aa arpa zá cawa b̶eada idjab̶a chiru zá cawa b̶ea sid̶a. 
GEN.4.22	Zilaba Tubal-Caiʌ̃da tosia. Idjia bronced̶ebemada idjab̶a jiorrod̶ebema sid̶a ne o cawa b̶asia. Tubal-Caiʌ̃ djabawẽrãra Naamá abadjid̶aa.
GEN.4.23	Ewari ab̶a Lameba idji quimarã Adáa, Zilaa bid̶a jarasia:
GEN.4.23	Adá, Zila, mʌ̃ bed̶eada ũrĩnadua. Mʌ̃a ẽberã cũdra b̶ʌda beasia idjia mʌ̃ djara tud̶a carea, mʌ̃ puod̶a carea.
GEN.4.24	Bariduaba Caiʌ̃da beaibʌrʌ, Ãcõrẽba maʌ̃gʌra bio cawa oya. Baribʌrʌ bariduaba mʌ̃da dji cũdra carea beaibʌrʌ Ãcõrẽba maʌ̃ ẽberãra aud̶uara cawa oya.
GEN.4.25	Maʌ̃ ewarid̶e Adaʌ̃ra wayacusa dji quima ume cãĩsia. Maʌ̃be dji quimaba umaquĩrã warrada tosia. Maʌ̃ne jarasia: “Caiʌ̃ba Abel bead̶acarea Ãcõrẽba mʌ̃́a dewara warrada Abel cacuabari diasia.” Mãwã dji warrara trʌ̃ b̶ʌsia Se.
GEN.4.26	Maʌ̃be Seba warrada unusia. Dji trʌ̃ra b̶ʌsia Enó. Maʌ̃ ewarid̶eba ʌ̃taa ẽberãrãba Ãcõrẽa ewari iwid̶ibʌdad̶e idji trʌ̃ra “Jehová” a panesid̶aa.
GEN.5.1	Nama b̶ʌ́ b̶ʌa Adaʌ̃neba yõped̶ad̶ad̶ebemada. Ãcõrẽba ẽberãrã osid̶e ara idji quĩrãca osia. 
GEN.5.2	Dji umaquĩrã, dji wẽrã sid̶a osia. Maʌ̃ne Ãcõrẽba ãdjira yõnamãrẽã bia jara b̶ʌsia.
GEN.5.3	Adaʌ̃ ciento treinta poa b̶asid̶e warrada unusia ara idji quĩrãca b̶ʌda. Idjira trʌ̃ b̶ʌsia Se. 
GEN.5.4	Se ununacarea Adaʌ̃ra ochociento poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.5	Jũma ãbaa Adaʌ̃ba noveciento treinta poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.6	Sera ciento cinco poa b̶asid̶e Enóda unusia. 
GEN.5.7	Enó ununacarea Sera ochociento siete poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.8	Jũma ãbaa Seba noveciento doce poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.9	Enó noventa poa b̶asid̶e idji warra Cainaʌ̃da unusia. 
GEN.5.10	Cainaʌ̃ ununacarea Enóra ochociento quince poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.11	Jũma ãbaa Enóba noveciento cinco poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.12	Cainaʌ̃ setenta poa b̶asid̶e idji warra Majalaleelda unusia. 
GEN.5.13	Majalaleel ununacarea Cainaʌ̃ra ochociento cuarenta poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.14	Jũma ãbaa Cainaʌ̃ba noveciento die poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.15	Majalaleel sesenta y cinco poa b̶asid̶e idji warra Jaréda unusia. 
GEN.5.16	Jaré ununacarea Majalaleelera ochociento treinta poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.17	Jũma ãbaa ochociento noventa y cinco poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.18	Jaré ciento sesenta y dos poa b̶asid̶e idji warra Enocoda unusia. 
GEN.5.19	Maʌ̃ Enoco ununacarea Jaréra ochociento poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.20	Jũma ãbaa Jaréba noveciento sesenta y dos poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.21	Enoco sesenta y cinco poa b̶asid̶e idji warra Matusaleʌ̃da unusia. 
GEN.5.22	Matusaleʌ̃ ununacarea Enocora tresciento poa Ãcõrẽ ume jipa nĩbasia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.23	Jũma ãbaa tresciento sesenta y cinco poa unusia. 
GEN.5.24	Enocora ewariza Ãcõrẽ ume jipa nĩbasia. Mãwã b̶ʌd̶e nẽbasia Ãcõrẽba zocai eded̶a bẽrã.
GEN.5.25	Matusaleʌ̃ ciento ochenta y siete poa b̶asid̶e idji warra Lameda unusia. 
GEN.5.26	Maʌ̃ Lame ununacarea Matusaleʌ̃ra seteciento ochenta y dos poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
GEN.5.27	Jũma ãbaa noveciento sesenta y nueve poa unusia. Mãwã b̶ʌda jaid̶asia.
GEN.5.28	Lame ciento ochenta y dos poa b̶asid̶e warrada unusia. 
GEN.5.29	Maʌ̃ne Lameba jarasia: “Ãcõrẽba naʌ̃ ẽjũãra biẽ́ b̶ʌsia. Maʌ̃ bẽrã dadjirã jʌwaba ẽjũã o panʌra zarea b̶ʌa, baribʌrʌ naʌ̃ warrabʌrʌ dadjirãra ʌ̃nãũbiya.” Mãwã dji warrara trʌ̃ b̶ʌsia Noé.
GEN.5.30	Maʌ̃ Noé ununacarea Lamera quiniento noventa y cinco poa b̶asia. Maʌ̃ne warrarã, wẽrãcaurã sid̶a unusia. 
