MAT.1.1	Atzin te lu'n atzin tajlal t-xe'chil Jesucrist, a tzajnin ti'j qtzan David ex ti'j qtzan Abraham:
MAT.1.22	O b'aj tkyaqiljo lo, noq tu'n tjapi'n yol tzaj tq'ma'n qAjaw tu'n yolil Tyol Dios ojtxe, tej tq'ma:
MAT.1.23	Jun tal txin, a na'mxtaq tlonte ichin,
MAT.1.23	ex tzul itz'je jun tal tal q'a.
MAT.1.23	Ex k-okil juntl tb'i Emanuel,
MAT.1.23	a ntq'ma'n qa Dios quk'a.
MAT.1.24	Tej tjaw sak'paj Jse toj twatl, kub' tb'inchin tze'nkuxjo otaq tq'ma t-angel qAjaw te, ex b'e'x xi tk'le'n Mariy te t-xu'jil. 
MAT.1.25	Me mix i kub'e kẍe junx, tzmaxi' tej tul itz'je tnejil tal, a q'a, a otaqxi tz'ok tz'aq. Ex ok tq'o'n tb'i Jesús.
MAT.2.1	Antza itz'je Jesús tojjo tal tnam Belén, toj tx'otx' te Judey, tej toktaq Herodes te nmaq kawil tojjo tx'otx' anetzi'n. I kanin tojjo tnam Jerusalén junjun ichin aj nab'lqe, tzajninqe toj tjawitz q'ij, 
MAT.2.2	ex xi kyqanin: ¿Ja'tzin ta' nmaq kawil kye xjal aj Judiy, a ma tz'itz'je? Qu'n ma qli'y tche'w te tqanil tojjo qtx'otx'a toj tjawitz q'ij, ex ma qo tzaja tzalu'n tu'n qk'ulin twutz.
MAT.2.3	Atzaj te' tb'inte Herodes, a nmaq kawil, b'e'x najx tnab'l kyuk'a tkyaqilxjal toj Jerusalén. 
MAT.2.4	Tu'npetzi'n, b'e'x i tzaj ttxko'n kykyaqil kynejil pale exqetzi'n xnaq'tzil ti'j tkawb'il aj Judiy, ex xi tqanin kye: ¿Ja'tzin tu'n titz'jetaq Crist?
MAT.2.5	Aye nejinel kyxol aj Judiy xi kytzaq'win: Toj tnam Belén toj tx'otx' Judey, chi chi'. Qu'n ikytzi'n kyij ttz'ib'in yolil Tyol Dios ojtxe. Chi' kyjalu'n:
MAT.2.6	Ante Belén, toj ttx'otx' Judá,
MAT.2.6	nya tal mu'ẍ tnam te kyxol tkyaqil nmaq tnam kye aj Judiy.
MAT.2.6	Qu'n toja, k-elitze jun tnejil,
MAT.2.6	a k-okil ka'yinte Ntanima, aye' aj Israel, tze'nku jun kyik'lel.
MAT.2.7	Tu'npetzi'n, i tzaj ttxko'nte Herodes toj ewajil aye aj nab'l, ex xi tqanin alkyexix q'ij, tej kylonte che'w. 
MAT.2.8	Ex b'e'xsin i xi tchq'o'n tzmax Belén, ex xi tq'ma'n kye: Ku kyxi'y antza, ex kyxjelinxa wen ti'jjo tal ne'ẍ. Ajtzin knet kyu'n, kysma'ntza tqanil we'y, tu'ntzin ex ikyx weji'y tu'n nxi'y k'ulil twutz.
MAT.2.9	Tu'ntzi'n tyol Herodes, b'e'x i xi' aj nab'l. Atzin te' che'w, a kyli toj tjawitz q'ij, nejnintaq kywutz ex tzmaxi we', tej tkanin tib'ajjo ja, ja' ta'taqjo tal k'wal. 
MAT.2.10	Tej kylonte aj nab'ljo che'w tkub' we', b'e'xsin i jaw tzalaj nimxix. 
MAT.2.11	Atzaj te' kyokx tuja, kyli tal k'wal tuk'ax tnana, a Mariy, ex b'e'x i kub' meje k'ulil twutz. Ex xi kyoyin q'anpwaq, exsin storak ex jun k'ok'jsb'il, mir tb'i. 
MAT.2.12	Tb'ajlinxi' ikyjo, tzaj tyek'in Dios kye toj kywutziky', tu'n mi chi meltz'aj ja' ta'taq Herodes. Tu'npetzi'n, tojxi junxil b'e i ajtz meltz'aj, tej kyajtz.
MAT.2.13	Tej kyajtz aj nab'l, jun t-angel qAjaw ok tyek'in tib' toj twutziky' Jse, ex xi tq'ma'n te: Kux jaw we'ksa. Chlentzjiy tal q'a tuk'ax tnana, ex kux che'xa toj tx'otx' Egipto, ex tenkja antza, tzmaxi' aj t-xi nq'ma'n tey. Qu'n kjyol Herodes ti'jjo tal q'a, tu'n tkub' b'yet.
MAT.2.14	Tu'npetzi'n, b'e'x jaw we' Jse, ex xi tchle'n tal k'wal tuk'a toj qniky'in tuk'axjo tnana, tu'n kyxi' Egipto. 
MAT.2.15	Antza i tene, tzmaxi' tej tkyim Herodes. B'ant ikyjo, noq tu'n tjapi'n a tq'ma qAjaw tu'n yolil Tyol Dios ojtxe. Chi' kyjalu'n:
MAT.2.15	Tzmax Egipto, ktzajil ntxkon we' nk'walch.
MAT.2.16	Tej tel tniky' Herodes te, qa otaq kub' sb'u'n kyu'n aj nab'l, b'e'x tzaj tq'oj kyi'j. Ex b'e'x ex tq'o'n jun tkawb'il, tu'n kykub' b'yetjo jni' k'wal, a na'mtaq kyjapin te kab'e ab'q'e, aye' ite'taq toj Belén ex kykyaqil kojb'il ti'jile, tze'nku otaq kyq'ma aj nab'l, qa otaq tz'itz'je jun nmaq kawil antza. 
MAT.2.17	Qu'n ikytzin japin b'ajjo, a kub' ttz'ib'in Jeremías, a yolil Tyol Dios ojtxe. Chi' kyjalu'n:
MAT.2.18	B'ijte jun tq'ajq'ojil wib'aj toj Ramá,
MAT.2.18	tze'nku jun oq'il tuk'a nimx b'isb'ajil.
MAT.2.18	Nyakuj kyoq'il kykyaqil txub'aj aj Israel junx kyuk'a kyimnin ex kyuk'a itz'qe,
MAT.2.18	nchi oq' kyi'j kyal, aye' i kub' b'yo'n,
MAT.2.18	ex mix a'l nchewsin te' kyk'u'j.
MAT.2.19	Me te' otaqxi kyim Herodes, jun t-angel qAjaw ok toj twutziky' Jse, tej atxtaq toj tx'otx' Egipto, ex tq'ma: 
MAT.2.20	¡We'ksa! Ex q'inxjiy tal k'wal tuk'iy tuk'ax tnana. Ku tmeltz'aja toj tx'otx' te Israel, qu'n ma chi kyimjo aye kyajtaq tu'n tkub' kyb'yo'n tal k'wal.
MAT.2.21	Ex b'e'x jaw we'ks Jse; xi ti'n tal k'wal tuk'a tuk'ax tnana tzmax toj tx'otx' te Israel. 
MAT.2.22	Me te' tb'inte Jse, qa ataq Arquelao, a tk'wal qtzan Herodes, toktaq te kawil te t-xel qtzan ttata toj tx'otx' te Judey, mix xa'yil, qu'n b'e'x xob' tu'n t-xi' antza. Me toj juntl wutziky' ok q'ma'ne te, tu'n t-xi' toj tx'otx' te Galiley. 
MAT.2.23	Atzaj te' tkanin antza, b'e'x i xi' najal toj tnam Nazaret toj tx'otx' te Galiley,
MAT.3.1	Tb'ajlinxi' ila' ab'q'e, ul Juan, a Jawsil A', tojjo tzqij tx'otx', ja' nti' kynajb'ilxjal toj, tojx ttx'otx' Judey. Me b'e'x i xi' nim xjal b'ilte, qu'n nyolintaq Juan ti'j Tyol Dios, 
MAT.3.2	ex ntq'ma'ntaq: Ku tajtz ti'j kyanmi'n, qu'n a Tkawb'il Dios toj kya'j kyja tul laq'e.
MAT.3.3	Ante' Juan lu'n a kub' ttz'ib'in Isaías, a yolil Tyol Dios ojtxe, tej tq'mante kyjalu'n:
MAT.3.3	Ex b'ijte tq'ajq'ojil twi' jun a'la kujxix wen tojjo tzqij tx'otx', ja' nti'ye kynajb'ilxjal toj. Chi' kyjalu'n:
MAT.3.3	Kyb'inchima kyib'a twutzjo tAjaw Tkyaqil.
MAT.3.3	Kyq'onx kyanmi'n te, qu'n ch'ix tul tzalu'n twutz tx'otx'.
MAT.3.4	Atzin t-xb'alin Juan noq tsmal jun wiq txuk, kamey tb'i, tuk'a tk'alb'il tal ttx'aqin tz'u'n, tze'nku kyxb'alin yaj.
MAT.3.5	Ex nimxjal toj tnam te Jerusalén nche'xtaq b'ilte, exqetzi'n toj tx'otx' te Judey ex tk'atz Nim A' Jordán. 
MAT.3.6	Me ayetzi'n jatz kypa'n kyil twutz Dios, b'e'x i kux tq'o'n Juan toj nim a', te jawsb'il a'.
MAT.3.7	Me atzaj te' tok tka'yin Juan nimtaq xjal kyxol Parisey ex Sadusey nchi ultaq, tu'n kyku'x toj a' te jawsb'il a', b'e'x xi tq'ma'n kye: Nti'x kye' kyajb'in, ikyqexji'y tze'nku jun ch'uq ma' kan. ¿Ma noqtzin tu'n aj kyku'xa toj a', ok kchi kletili'y te tkawb'il Dios kujxix wen, a ch'ix tul kanin kyib'aja?
MAT.3.8	Qu'n ojtzqi'n kyu'n kykyaqilxjal, qa axjo kyb'inchb'i'n nyek'inte qa na'm tajtz ti'j kyanmi'n. 
MAT.3.9	¿Tze'ntzin tten nkub' kyb'isintza, qa aku chi kleta noq tu'n Judiyqi'y, a tyajil qtzan Abraham, ex nya tu'n tajtz ti'j kyanmi'n? Tu'npetzi'n, kxel nq'ma'n kye'y, noqpetzin at kolb'iltz ikyjo, majqexpetla kye' ab'j lu'n, aku chi ok tq'o'n Dios te tyajil Abraham, tu'n kyklet.
MAT.3.10	Tu'npetzi'n, ch'ix tul tkawb'il Dios kujxix kyib'aj kykyaqiljo aye' kyky'e' tu'n tajtz ti'j kyanmin, ikyxjo tze'nku tajaw jun wi' tze kjawil ttx'emin, qa nti' twutz n-el. Ex a tze, a nti' tajb'in, k-okix toj q'aq'; ikyxtzin kchi tenb'ilaji'y, qa mi s-ajtz ti'j kyanmi'n.
MAT.3.11	Me metzin we' nchi kux nq'o'nxjal toj a', te jawsb'il a', te jun yek'b'il qa ma tz'ajtz ti'j kyanmin. Me ante tzul wi'jxi'y nya noq o'kx tu'n kyku'xxjal tu'n toj a', te jawsb'il a', qala' kxel tq'o'n Xewb'aj Xjan toj kyanmin te jun majx te patb'il jni' il toj. Qu'n at nimxixtl tipin tze'nku we', nipela at wokli'n tu'n woka te taq'nil. 
MAT.3.12	Qu'n lu' Kawil kkawil kyib'aj xjal tze'nku jun aj triyil, a q'i'n ma nim tze toj tq'ob' te xtulb'il triy. Ex k-elix tpa'n kykyaqilxjal wen kyxoljo nya wen, ikyxjo tze'nku jun xjal aj t-xtulin triy, ex k-elil tpa'n paj ti'j. Ex kchi xel tk'le'n nimil toj kya'j tze'nku tu'n tkux tk'u'n triy toj ttx'utx'. Me ayetzi'n nya nimil, ikyxjo tze'nku paj, ok kchi k'wel tpatin tuk'a q'aq', a mixla k-yupjilx.
MAT.3.13	Kyojjo q'ij anetzi'n, etz Jesús toj tx'otx' te Galiley, tu'n tpon ttzi Nim A' Jordán, tu'n tku'x toj a' te jawsb'il a' tu'n Juan tojxjo nim a'. 
MAT.3.14	Me tky'e'taq Juan tu'n tku'x Jesús toj a', te jawsb'il a', ex xi tq'ma'n te: Ayintla we' tu'n nkux tq'o'n toj nim a' te jawsb'il a', te jun yek'b'il qa ayi'n ma tz'ajtz ti'j wanmi'n. Me atzin te', nti' te til. ¿Qalatzi'n taja tu'n tku'xa toj a'?
MAT.3.15	Me ante Jesús xi tq'ma'n te: Qb'inchinku ja'lin, qu'n ilxix ti'j tu'n tb'ant qu'n, tze'nkuxjo tkyaqiljo taj qMan.
MAT.3.15	Ex b'e'x xi ttziyin Juan.
MAT.3.16	Atzaj te' tjatz Jesús toj a', b'e'x xi jaqpaj kya'j, ex xi tka'yin T-xew Dios, a Xewb'aj Xjan, kyja'taq tku'tz tze'nku jun palom, ex kub' ten tib'aj. 
MAT.3.17	Ex q'ajq'ojin jun yol toj kya'j. Chi' kyjalu'n: Axixpen weji'y Nk'wal k'u'jlin wu'n, a o jaw nsk'o'n.
MAT.4.1	Tb'ajlinxi' ikyjo, xi' Jesús tu'n tkujil Xewb'aj Xjan tzma tojjo tzqij tx'otx', ja' nti'ye kynajb'ilxjal toj, tu'n tok toj joyb'il ti'j tu'n tajaw il, qu'n tjoy tajaw il ttxolil, tu'n tel tiky'in Jesús tkawb'il tMan.
MAT.4.2	Otaq kub' tpa'n Jesús wa'yaj ka'wnaq q'ij ex ka'wnaq qniky'in, tu'n tna'n Dios. Tu'npetzi'n, tzaj wa'yaj ti'j. 
MAT.4.3	Tej tok tka'yin tajaw il ikyjo, tzaj laq'e tk'atz, tu'n tok tniky'b'in toklin, exsin xi tq'ma'n te: Qa K'wa'lb'ajxixtza te Dios, q'manxa kye ab'j lo, tu'n kyok te wab'j, qu'n manyor wa'yajx ti'ja.
MAT.4.4	Me xi ttzaq'win Jesús: Kyij tz'ib'in toj Tyol Dios, qa nya noq o'kx tu'n wab'j k-anq'ile texjal; qala' ex tu'n tkyaqiljo yol, a n-etz toj ttzi Dios.
MAT.4.5	Tb'ajlinxi' ikyjo, b'e'x xi ti'n tajaw il Jesús toj xjan tnam te Jerusalén. Jax tk'le'n tzmax toj tjuch'iljo tnejil ja te na'b'l Dios, a nimxix twe'. 
MAT.4.6	Ex xi tq'ma'n te: Qa K'wa'lb'ajxixtza te Dios, xo'nkuxsin tib'tza, tu'n tkupin tzmax twutz tx'otx', qu'n ikytzi'n ntq'ma'n Tyol Dios kyjalu'n:
MAT.4.6	Kchi tzajil tsma'n Dios t-angel te kloltiy.
MAT.4.6	Ex kjawil q'i'n kyu'n toj kyq'ob',
MAT.4.6	tu'ntzintla mi ky'ixb'i'y twi' ab'j.
MAT.4.7	Me xi ttzaq'win Jesús: Ex ikyxjo ntq'ma'n toj Tyol Dios kyjalu'n: Mi tz'ok tq'onjiy qAjaw, a tDiosa toj joyb'il ti'jch.
MAT.4.8	Ex juntl majl, xi ti'n tajaw il Jesús tib'aj jun wutz, ma nimxix twe', ex xi tyek'in tajaw il tkyaqil tnam twutz tx'otx' te, ex tkyaqiljo q'inimil toj. 
MAT.4.9	Exsin xi tq'ma'ntz: Kxel nq'o'n tkyaqiljo jni' chi' tey, qa ma kub' meje'y k'ulil nwutza.
MAT.4.10	Me ante Jesús xi ttzaq'win: Laq'exa nk'atza, ay, satanás, a tajaw il, qu'n ikytzin ntq'ma'n toj Tyol Dios: K'uli'n o'kx twutz qAjaw, a tDiosa, ex noq te, tu'n tajb'iniych.
MAT.4.11	Tb'ajlinxi' ikyjo, b'e'x el tpa'n tajaw il tib' ti'j Jesús. Ex b'e'x i ul junjun angel mojilte.
MAT.4.12	Tej tb'inte Jesús, qa otaq kux jpu'n Juan, a Jawsil A', toj tze, b'e'x xi' toj tx'otx' Galiley.
MAT.4.13	Me mix kyjaye tene toj tnam Nazaret, qala' b'e'x xi' toj juntl tnam toj tx'otx' te Galiley, Capernaum tb'i, jun tnam nqayin ta' ttzi nijab', toj tx'otx', a xi q'on kye tyajil qtzan Zabulón ex te qtzan Neftalí, aye' tk'wal qtzan Israel.
MAT.4.14	B'ajjo ikyjo, noq tu'n tjapin b'ajjo a kub' ttz'ib'in Isaías, a yolil Tyol Dios ojtxe, tej tq'ma:
MAT.4.15	Ay, ttx'otx' Zabulón, ex te Neftalí,
MAT.4.15	a tk'atz Nim A' Jordán,
MAT.4.15	ex jni'qe ite'k ttziyile ttxuyil a'
MAT.4.15	tojx tx'otx' te Galiley,
MAT.4.15	ja' najleqe xjal nya Judiyqe.
MAT.4.16	Aye' xjal tojjo tx'otx' lo ite'taq toj qxopin toj kyanmin,
MAT.4.16	me o kyli jun nim tqan tzaj.
MAT.4.16	Ex aye' najleqe tojjo tx'otx',
MAT.4.16	a iky'in kyu'nxjal ex te kyiminch,
MAT.4.16	qu'n nyakuj nti'taq kyoklin.
MAT.4.16	Me atzi'n ja'lin, ma kyli jun nim spiky'in,
MAT.4.16	ex jun tqan tzaj, a tzunx nqopinx.
MAT.4.17	Atxixsi'n ttzaj xkye taq'in Jesús, tu'n tyolin Tyol Dios, ex xi tq'ma'n: Ku tajtz ti'j kyanmi'n,
MAT.4.18	Nb'ettaq Jesús ttzi Nijab' te Galiley, tej t-xi tka'yin kab'e kyiẍil, kyitz'in kyib'. Ataqtzi'n jun, Simun, a toktaq juntl tb'i Pegr, junx tuk'a titz'in, Andrés. Tzmataq nkux kyq'o'n kypa toj a' te tzuyb'il kyiẍ, 
MAT.4.19	xi tq'ma'n Jesús kye: Chi lipeka wi'ja. Qu'n ayetzin kye' nchi chmo'n kyiẍ ja'lin, me kchi xel nxnaq'tzi'n tze'n tten tu'n tb'ant kychmo'n xjal tu'n kyklet.
MAT.4.20	Jun paqx, kyij kytzaqpi'n kypa te tzuyb'il kyiẍ, ex i xi lipe ti'j.
MAT.4.21	Tej kyxi laq'e ch'intl, i xi tka'yin Jesús kab'etl xjal kyitz'in kyib', aye' Jacob, a toktaq juntl tb'i Santyaw, tuk'ax titz'in, Juan, tk'walqe Zebedey. Ite'kxtaq toj jun bark tuk'ax kytata nchi slepintaq kypa te tzuyb'il kyiẍ. I tzaj ttxko'n Jesús, 
MAT.4.22	ex b'e'x kyij kytzaqpi'n kybark tuk'ax kytata, ex b'e'x i ok lipe ti'j.
MAT.4.23	Nb'ettaq Jesús toj tkyaqil tx'otx' te Galiley, ex nxnaq'tzintaq kyojile junjun tnam antza kyojjo mu'ẍ ja te kyna'b'l aj Judiy Dios. Nyolintaq Tb'anil Tqanil ti'j Tkawb'il Dios, ex nq'anintaq tkyaqil wiq yab'il, a otaq tz'ok lemtz'aj kyi'jxjal.
MAT.4.24	El tqanil Jesús toj tkyaqil tx'otx' te Siria, ex i b'aj tzaj kyi'nxjal kyyab' tuk'a noq ti'chaqku yab'il, ex noq ti'chaqku kyixk'oj, exqetzi'n tzyu'ntaq kyanmin tu'n taq'nil tajaw il, exqetzi'n ntzajtaq nlu'lin kyi'j, ex jni' qe kox; ex b'e'x i el we' tu'n Jesús. 
MAT.4.25	Nimx txqan xjal ok lipe ti'j Jesús toj tx'otx' te Galiley, te tx'otx' Decápolis, te Jerusalén, te tkyaqil tx'otx' te Judey, ex kyoj tx'otx' jlajxi Nim A' Jordán.
MAT.5.1	Tej tok tka'yin Jesús txqan xjal otaq chmet ti'j, b'e'x jax twi' wutz, ex kub' qe antza. Me awotzi'n, a t-xnaq'tzb'in, b'e'x o xi laq'e'y tk'atz, ex ok qtxolin qib'a ti'j. 
MAT.5.2	Ex ok ten Jesús xnaq'tzil, ex tq'ma:
MAT.5.3	Ky'iwlinqexixjo aye' nkyna'n toj kyanmin qa atx taj toj kychwinqil, qu'n at kyoklin ti'j Tkawb'il Dios toj kya'j.
MAT.5.4	Ky'iwlinqexixjo aye' nkyna'n b'is toj kyanmin, qu'n axte Dios ktzajil q'uqb'in te kyk'u'j.
MAT.5.5	Ky'iwlinqexixjo aye' o tz'ajtz ti'j kyanmin, qu'n kchi najal tojjo tx'otx', a o tzaj ttziyin Dios kye.
MAT.5.6	Ky'iwlinqexixjo aye' kyajxix tu'n kyb'inchin a taj qMan Dios, qu'n axte Dios ktzajil oninkye tu'n tb'ant kyu'n.
MAT.5.7	Ky'iwlinqexixjo aye' nq'aq'in kyk'u'j kyi'jjo txqantl, qu'n axte Dios ktzajil q'aq'in tk'u'j kyi'j.
MAT.5.8	Ky'iwlinqexixjo aye' o txjet il toj kyanmin, qu'n ok kyla'b'il Dios toj kya'j.
MAT.5.9	Ky'iwlinqexixjo aye' tok tilil kyu'n, tu'n kymujb'in texjal kyib' kyxolile, qu'n axte Dios k-okil q'onte kyb'i te k'walb'aj.
MAT.5.10	Ky'iwlinqexixjo aye' n-iky'x yajb'il kyu'n, noq tu'n nkub' kyb'inchin a tz'aqle, a tze'nku taj Dios, qu'n at kyoklin ti'j Tkawb'il Dios toj kya'j.
MAT.5.11	Ky'iwlinqexix kye', qa ma chi xo'nxjal yol kyi'ja, ex qa ma tziky'x yajb'il kyu'n, ex tkyaqil nya b'a'n, a kjawil b'ant kyu'nxjal kyi'ja, noq tu'n npaja.
MAT.5.12	Qa ma tziky'x kyu'n, chi tze'jixa, ex chi tzalajxa, qu'n ktzajil tq'o'n Dios nim t-xel kye'y toj kya'j, tze'nku xi tq'o'n kye yolil Tyol Dios ojtxe, tu'n nim iky'x kyu'n tze'nku' kye' ja'lin.
MAT.5.13	Ayetzin kye' ma chi oka tze'nku atz'in te twutz tx'otx', tu'n mi naje toj il. Qu'n qa ma tz'el naj tpitz'mejil atz'in, nlay b'ant tu'n tel pitz'mejix juntl majl, qu'n nti'xla tajb'in, qala' noq tu'n tex xo'yit, ex tu'n kyjax we'xjal tib'aj. Tu'ntzintzjo, kyka'yinkxix kyib'a, tu'n mi naje a at toj kyanmi'n.
MAT.5.14	Ex ma chi oka tze'nku spiky'in te twutz tx'otx', tze'nku jun tnam tokx twi' wutz nlay b'ant tewit.
MAT.5.15	Ex nlay b'ant tu'n tok txqet jun tzaj, exsin tu'n tokx ewitl tjaq' jun kax; qala' il ti'j tu'n tjax tib'aj xtanko'l, tu'ntzin tspiky'emix tkyaqil tuja tu'n.
MAT.5.16	Ikytzin kyeji'y, kyyek'ima kynimb'ila kywutzxjal, tze'nku spiky'in, tu'ntzin aj tok kyka'yin xjaljo kyb'inchb'i'n tb'anilx, ex kjawil kynimsin tb'i qMan Dios toj kya'j.
MAT.5.17	Mi kub' kyximi'n qa ma chin ula yupil te' tkawb'il Moisés exqetzi'n kyxnaq'tzb'in yolil Tyol Dios ojtxe. Qu'n nya ma chin ula yupilte tkyaqiljo lu'n, qala' tu'n tjapin wu'n tkyaqil t-xilin. 
MAT.5.18	Twutzxix kxel nq'ma'n kye'y, nlay najjo kawb'il lo, nipela jun tal netz' yol ti'j, ajxi tjapin b'aj tkyaqil t-xim Dios, ex ajxi tiky' kya'j ex tx'otx'.
MAT.5.19	Tu'npetzi'n, altzin kye jun ma tziky' tib'ajjo kawb'il, exla qa noq jun tal mu'ẍ yol toj twutz, mo qa ma txi tq'ma'nj kye txqantl, tu'n mi kub' nimite ch'in, ex tal mu'ẍ k-esb'ajila toj kya'j. Me ante', a japin b'aj tu'n tkyaqilx, ex qa ma txi tq'ma'n kye txqantl qa il ti'j tu'n tjapin b'aj tkyaqil, ex aj tkanin toj Tkawb'il Dios toj kya'j, k-okil q'o'n te nim toklin. 
MAT.5.20	Tu'npetzi'n, kxel nq'ma'n kye'y, mi chi oka tze'nku kye Parisey exqetzi'n xnaq'tzil ti'j ojtxe kawb'il, a o'kx kyajjo tu'n tjapin kyu'n kywutzxjal, me noq tuk'a tka'min kyk'u'j nkub' kyb'inchine. Qu'n qa mix japin kyu'n tuk'a tkyaqil kyanmi'n, mi chi okxa toj Tkawb'il Dios toj kya'j.
MAT.5.21	Qu'n b'i'n kyu'n ti' q'umj kye ojtxe qxe'chil: Mi chi b'iyi'n,
MAT.5.22	Me metzin we' kxel nq'ma'n kye'y, ankye' noqx q'oj kxel taq'nin tuk'a tuk'a, at til twutz kawb'il. Ex ankye' k-okil lipin yisol tuk'a, at til twutz tnejil kawb'il. Ex ankye' kxel tq'ma'n te tuk'a: Nti' tnab'l, kxe'l toj q'aq' te jun majx.
MAT.5.23	Tu'npetzi'n, qa taja tu'n t-xi'y q'ol jun toyaja toj ja te na'b'l Dios, ex aj tpon, me qa akux s-ul toj tk'u'ja, qa at jun tq'oja tuk'a jun tuk'iy, 
MAT.5.24	mi txi'y q'ol toyaja nej; qala' nej, ku txi'y kub'sil twutza te tuk'iy, tu'n tkub' tnajsin tila. Ex ajtzin kykyija toj wen tuk'a, kuxpin txi'tza q'ol toyaja.
MAT.5.25	Ikytzi'n, qa at jun taj tu'n t-xi' patil tey twutz kawil, q'onka tilil, tu'n tkyija toj wen tuk'a axsa toj b'e, tu'ntzin mi txi q'i'n tu'n twutz kawil. Qu'n qa mina, kxel q'o'n toj kyq'ob' xq'uqil, tu'n tkux jpu'n toj tze. 
MAT.5.26	Twutzxix kxel nq'ma'n tey, nlay tz'etza antza tzmaxi' aj tchjet tkyaqil tk'asa.
MAT.5.27	O kyb'i'y ajo q'umle kye ojtxe qxe'chil: Mi chi ky'a'ji'nch.
MAT.5.28	Me metzin we' kxel nq'ma'n kye'y, ankye' qa ma txi tka'yin jun qya, ex qa ma pon tk'u'j ti'j, ma b'inchin aj pajil tuk'a toj tanmin twutz Dios.
MAT.5.29	Tu'npetzi'n, wenitla tu'n tjatz kyi'n toj kyanmi'n tkyaqiljo, a nxi q'i'n kye'y toj il. Ikytzi'n, noqit qa tu'n tpaj kywutza aku chi kub' tz'aqiy toj il, kyimitza, ex kyxomixa najchaq. Qu'n wenitla tu'n tnaj jun tnej kyxmilila, tze'nku tu'n kyxi' kyxmilila tkyaqil toj q'aq' te jun majx, aj kykyima.
MAT.5.30	Ex qa noq tu'n kyman q'ob'a, aku chi kub' tz'aqiy toj il, kytx'emimila, ex kyxomixa najchaq. Qu'n wenitla tu'n tnaj jun tnej kyxmilila, tze'nku tu'n kyxi' kyxmilila tkyaqil toj q'aq' te jun majx.
MAT.5.31	Ex ikyx o q'umle ojtxe: Qa at jun xkub' tpa'n tib' tuk'a t-xu'jil, il ti'j nej tu'n tb'ant jun u'j kyxol, qa o chi pa'yit.
