GEN.1.1	Mugaeai mugaeai tau, Deo ikado bubur ga tano ga iuot. 
GEN.1.21	Tota Deo ikado gid masilau kapeipei ga gid masilau padengada tad aea ga eau aea ga tiuot ta tilalala alele tadiai ga eauiai. Ga ikado gid man imata ede ga ede. Deo igera gid danga toa oa eine kemi. 
GEN.1.22	Idio ta Deo ikado posanga kemi ngan pamatuanga gid ta ikeo, “Gimi masilau tad aea, manta apupulou ga aot busa ta aparangrang tibur toa ngada ne tadiai. Be gimi man, manta aot busa tanoeai.” 
GEN.1.23	Io, bong ila, be gaisala iuot. Eine ado lima aea.
GEN.1.24	Ga kus ta Deo ikeo, “Manta tano ipapot gid masilau tibur aea imata ede ga ede matad bibita, ta gid masilau matad mud ga matad saksak, kapeipei ga gereirei tiuot.” Io, tota tiuot. 
GEN.1.25	Deo ikado gid masilau tibur aea imata ede ga ede, edengada matad mud, padengada matad saksak, kapeipei ga gereirei. Deo igera gid danga toa oa eine kemi.
GEN.1.27	Inasi ei ianun ta ikado gid ga tiuot.
GEN.1.27	Ikado gid ga tiuot arangaranga ga taine.
GEN.1.28	Idio ta Deo ikado posanga kemi ngan pamatuanga gid ta ikeo, “Gimi manta apupulou ga aot busa ta aparangrang tibur toa ngada ne tanoeai ta amariala ngan. Manta gimi amadid ga amugamuga ngan gid ia ga man ga masilau tibur aea kapeipei ga gereirei toa ngada ne, ta tidio bagemiai.”
GEN.1.29	Ga kus ta Deo ikeo, “Ega, gau nabada gid abei ga gilgilnga tanoeai aea imata ede ga ede toman ngan itautau ga ipuapua pagimi, ta gid danga toa ne ga iman gimi ami annga. 
GEN.1.30	Be nabada gid abei ilaun ga gilgilnga padengada tibur aea iman annga togid masilau tibur aea kapeipei ga gereirei ga togid man ga togid danga toa ngada ne matad bibita.” Io, tota iuot.
GEN.1.31	Deo igera gid danga toa ngada oa ikado ga iuot eine kemi tau. Io, bong ila, be gaisala iuot. Eine ado lima ga ede aea.
GEN.2.1	Toa bedaoa ta Deo ipasala ele naurata ngan bubur ga tano ga danga toa ngada ne ienono ngan.
GEN.2.3	Tota Deo ikado posanga kemi ngan pamatuanga ado lima ga rua aea ta idol ele ul ngan ado toa oa. Ikado toa bedaoa ngansa ipasala ele naurata toa ngada oa ga kus, ta iarai ngan ado toaiua.
GEN.2.4	Ninipunga ga oaine eine ngan bubur ga tano led otnga ngan ado toaiua Deo ikado gid ga tiuot. Ngan ado toa 
GEN.2.5	gid abei ga gilgilnga tibur aea tipara ga tidae tanoeai maitne. Eine ngansa 
GEN.2.6	Be gid lelele tiuot tano iloleai ta tipaburisinga tibur toa ngada oa tano igogoeai. 
GEN.2.7	Idio ta 
GEN.2.8	Be 
GEN.2.9	Be 
GEN.2.10	Be eau ede iuot ngan tibur Iden ta ipaburisinga dadanga toa oa. Toa iulngai oa imapoga ga iuot eau pange. 
GEN.2.11	Eau toa iaoa ede ieda Pison. Eine ilele ga ibaliu ngan tibur kapei ieda Avila. Ngan tibur toa oa gol ienono. 
GEN.2.12	Be gol toa oa kemikemi. Delium ga pat oniks ienono toa eoa pade.
GEN.2.13	Be eau toa iaoa ede pade ieda Gion. Eine ilele ga ibaliu ngan tibur kapei ieda Kus. 
GEN.2.14	Be eau toa iaoa tol aea ieda Taigris. Eine ilele ngan tibur kapei Asiria isaleai toa ado ele parangai. Be eau toa iaoa pange aea ieda Iupretis.
GEN.2.15	Idio ta 
GEN.2.16	Idio ta 
GEN.2.17	be abei toa ibada oatainga ngan gid danga kemikemi ga danga papaeamao, eao rangrang ngan ean mao. Ngansa oangga ean, eao ga mate ngan ado toaiua.”
GEN.2.18	Idio ta 
GEN.2.19+GEN.2.20	Be mugaeai 
GEN.2.19+GEN.2.20	Be Adam igera iarea eta ngan luanga ei mao. 
GEN.2.21	Idio ta 
GEN.2.22	Ta 
GEN.2.23	Eaba igera taine toa oa ta ikeo,
GEN.2.23	“Ta! Patautene gau areag!
GEN.2.23	Ei ituatua iuot ngan gau tuatuag.
GEN.2.23	Be imedameda iuot ngan gau medamedag.
GEN.2.23	Gau ga naoato ei ‘taine
GEN.2.23	ngansa Deo ikado ei ga iuot ngan gau tuatuag.”
GEN.2.25	Be eaba toa oa ga iadaoa tibangabanga, be maeamaea gid mao.
GEN.3.2	Ta taine ikeo pan mota bedane, “Mao. Deo ilongo ngan gai aean abei itautau toa ngada ne dadangai. 
GEN.3.3	Be iaoa ikarara gai ngan abei kelede mon imadmadid rabu ngan dadanga. Deo ikeo ga gai aean mao ga akisi mao pade, ngan kado ta amate.”
GEN.3.4	Be mota ikeo pan taine, “Irangrang ngan gimi amate mao. 
GEN.3.5	Ngansa Deo iuatai, oangga gimirua aean abei toa ne itautau, eine matami ga iualai ta aot mambe ei, ta aoatai ngan danga kemikemi ga danga papaeamao.”
GEN.3.6	Io, taine igera abei toa oa itautau imata kemi ngan eaneannga ta ingale. Ta ikeo iloleai bedane, “Kemi ngan naean abei toa ne itautau ta nabada oatainga kemikemi imata ede ga ede.” Tota ibada ta ian. Be ibada ilia ga ila pan iadaoa toa imamado toman ngan ei, ta ei pade ian. 
GEN.3.7	Io, tota gisirua matad iualai ta tiuatai mambe tibangabanga. Tota tilolodi abei fik ilaun ta tipit ga iman ad malo.
GEN.3.8	Idio ta del lailai aea iuot ta gisirua tilongo 
GEN.3.9	Be 
GEN.3.10	Ta ikoli ele posanga bedane, “Gau nalongo eao lalala dadanga iloleai, ta namataud ga namumul, ngansa gau nabangabanga.”
GEN.3.11	Ta Deo ibeta ei, “Sai ikeo pago ngan eao bangabanga? Kado eao ean abei itautau toa aoag ikarara go ngan.”
GEN.3.12	Ta eaba toa oa ikeo, “Taine toa eao bada pagau ne, ei ibada abei itautau toa ne pagau ta naean.”
GEN.3.13	Ta taine ikeo, “Mota ipakaka gau ta naean.”
GEN.3.14	Tota 
GEN.3.14	“Rabu ngan gid masilau saksak ga masilau mud toa ngada oa,
GEN.3.14	eao kekelego am panasnga paeamao ga paeamao tau.
GEN.3.14	Eao ga rarai ngan gogom
GEN.3.14	ga ean tano aea kangkanga ga ila irangrang ngan lem madonga tanoeai kus.
GEN.3.15	ta ei iman eao am isat.
GEN.3.15	Ga eao lem gergeu timan ariapolpol
GEN.3.15	ngan ei ele gergeu.
GEN.3.15	Ede ngan gid ga irau laboram,
GEN.3.15	be eao ga rau iae igub.”
GEN.3.16	Be Deo ikeo pan taine bedane,
GEN.3.16	“Ieieinga toa eao naman ngan poponga gergeu,
GEN.3.16	gau ga nakado ga ila kapei ga kapei tau.
GEN.3.16	Eao ga naman ieieinga kapei
GEN.3.16	ngan poponga gergeu.
GEN.3.16	Somisomi lolom ga ila pan adaoam,
GEN.3.16	be eao ga dio ei ibageai.”
GEN.3.17	“Ngan ipu toaine ta napaeabu ngan tano,
GEN.3.17	ta gid annga ga idae kemi mao.
GEN.3.17	Ngansa eao longo lingeg mao.
GEN.3.17	Eao ga naman ieieinga
GEN.3.17	ngan lem naurata kulupu dadangai ga ila irangrang ngan lem madonga tanoeai kus.
GEN.3.18	Be gid oaroaro aea gigi
GEN.3.18	ga gid purup papaeamao ga tiparapara ga tidae
GEN.3.18	ta tiluga am dadanga.
GEN.3.18	Ta eao ga la ilo am annga tibur iloleai.
GEN.3.19	Eao ga kado naurata kapei ngan badanga am annga,
GEN.3.19	be kasiksiknga ga iuot matameai.
GEN.3.19	Eao ga kakado toa bedaoa
GEN.3.19	ga irangrang ngan lem matenga ta luago mulian tanoeai.
GEN.3.19	Ngansa gau nakado go ga ot ngan tano aea kangkanga,
GEN.3.19	ta eao ga luago mulian tanoeai.”
GEN.3.20	Idio ta eaba iuato iadaoa Eva
GEN.3.21	Ga kus ta 
GEN.3.23	Tota 
GEN.3.24	Io, isere gisirua ga kus ta idol gid kerubim
GEN.4.1	Idio ta eaba toa oa ieno toman ngan iadaoa Eva, ta iapa ta ipopo gergeu aranga. Ta Eva ikeo, “
GEN.4.2	Ga kus ta ipopo itar kakau Abel pade.
GEN.4.2	Idio ta gisirua tidae kapeipei ta tikakado led naurata. Abel imariala ngan sipsip, be Kain ikakado dadanga. 
GEN.4.3	Idio ga muriai, ta gisirua tikado led tenainga ga ila pan 
GEN.4.4	Be Abel ipamate ele sipsip lautabtabe edengada toa luad kapeipei ta timan ele tenainga. 
GEN.4.5	Be itin igelgel ngan Kain ga ele tenainga mao. Tota Kain ilolo bake ta imata imirmirianga.
GEN.4.6	Ta 
GEN.4.7	Oangga eao kado kadonga kemi, eine ga tinim igelgel, ngansa gau ga nakim lem tenainga. Be oangga eao kado kadonga kemi mao, eine kadonga sat ienono lem atama iaoai ta iuangga ipaeabu ngan go. Kadonga sat ikim tau ngan iasal go, be eao manta uram ta easal kadonga sat.”
GEN.4.9	Ta 
GEN.4.9	Ta ikeo, “Gau naoatai mao. Ikamado? Eine gau leg naurata ngan matag ikikisi tadig kakau?”
GEN.4.11	Tota gau leg panasnga ngan eao bedane: Eao pamate am kakau ta kado ga tano iun ising. Tota gau ga napakala tano ta irangrang ngan eao kado dadanga pade mao. 
GEN.4.12	Be oangga kado dadanga, eine nakado ga tano imona mao, ta am annga irangrang ngan idaedae kemi mao. Tota eao ga patpat alele ngan tibur ga tibur.”
GEN.4.13	Kain ikeo pan 
GEN.4.14	Ega, eao keo ga nakado dadanga pade mao, be namado aluai ngan eao. Ta eao keo ga napatpat alele tanoeai. Be namataud. Ngan kado ta panua tiuot pagau ta tirau gau ga namate.”
GEN.4.15	Be 
GEN.4.16	Idio ta Kain itnan 
GEN.4.17	Idio ta Kain ieno toman ngan iadaoa ta ipopo gergeu aranga ta iuato ieda Enok. Idio ga muriai ta Kain ikado tuanga ede, ta idol inat ieda ga idae ngan tuanga toa oa. 
GEN.4.18	Ga kus ta Enok iadaoa ipopo gergeu aranga ieda Irat. Be Irat iadaoa ipopo gergeu aranga ieda Meujael. Be Meujael iadaoa ipopo gergeu aranga ieda Metusael. Be Metusael iadaoa ipopo gergeu aranga ieda Lamek.
GEN.4.19	Lamek iuai taine rua. Ede ieda Ada, be ede pade ieda Sila. 
GEN.4.20	Ada ipopo gergeu aranga ieda Iabal. Gid panua timariala ngan bulmakao ga timamado ngan gid palata, gid tiuatoato Iabal eine tibud. 
GEN.4.21	Be Iabal itar kakau ieda Iubal. Gid panua tikakado baunga ngan arp ga piloli, gid tiuatoato Iubal eine tibud. 
GEN.4.22	Be Sila ipopo gergeu aranga ieda Tubalkein. Be Tubalkein ikakado gid danga sisid naurata aea ngan bras ga aen. Be Tubalkein iliu ieda Nama.
GEN.4.23	Idio ta Lamek ikeo pagid iadadaoa toa rua oa bedane,
GEN.4.23	“Ada ga Sila, gimirua alongo gau.
GEN.4.23	Gimirua adadaoag alongo leg posanga.
GEN.4.23	Eaba ede itapa gau,
GEN.4.23	be napamate ei.
GEN.4.23	Eaba iriau ede ipoda gau,
GEN.4.23	ta narau ei ga imate.
GEN.4.24	eine ga ibada panasnga kapei irangrang ngan palima ga rua.
GEN.4.24	Be gau nakeo ga oangga eaba eta ipamate gau,
GEN.4.24	eine ga ibada panasnga kapei irangrang ngan sangalima sangaul rua igegea lima ga rua.”
GEN.4.25	Idio ta Adam ieno toman ngan iadaoa pade, ta ipopo gergeu aranga. Ta iadaoa ikeo, “Deo ibada gergeu ede pade ga inam pagau ngan badanga Abel imul. Ngansa Kain irau ei ga imate.” Tota iuato ieda Set
GEN.4.26	Muriai Set iadaoa ipopo gergeu aranga ta iuato ieda Enos.
GEN.4.26	Ngan ado toaiua, gid panua timuga ngan oatoatonga 
GEN.5.1	Ngan ado toaiua Deo ikado gid eababa ga tiuot, eine ikado ga tiuot mambe ei. 
GEN.5.2	Ikado gid ga tiuot arangaranga ga taine. Ngan ado toaiua ikado gid ga tiuot, ikado posanga kemi ngan pamatuanga gid ta iuato gid “eababa.”
GEN.5.3	Adam aea rai buno ede sangaul tol (130), be iadaoa ipopo gergeu aranga ga iuot mambe ei. Ta iuato ieda Set. 
GEN.5.4	Adam iadaoa ipopo Set ga kus ta Adam imamado irangrang ngan rai buno lima buno tol (800). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.5	Adam aea rai toa ngada oa iuot buno lima buno pange sangaul tol (930), ga kus ta imate.
GEN.5.6	Set aea rai buno ede igegea lima (105), be iadaoa ipopo gergeu aranga ieda Enos. 
GEN.5.7	Set iadaoa ipopo Enos ga kus ta Set imamado irangrang ngan rai buno lima buno tol igegea lima ga rua (807). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.8	Set aea rai toa ngada oa iuot buno lima buno pange sangaul ede igegea rua (912), ga kus ta imate.
GEN.5.9	Enos aea rai sangalima sangaul pange, be iadaoa ipopo gergeu aranga ieda Kenan. 
GEN.5.10	Enos iadaoa ipopo Kenan ga kus ta Enos imamado irangrang ngan rai buno lima buno tol sangaul ede igegea lima (815). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.11	Enos aea rai toa ngada oa iuot buno lima buno pange igegea lima (905), ga kus ta imate.
GEN.5.12	Kenan aea rai sangalima sangaul rua, be iadaoa ipopo gergeu aranga ieda Maalalel. 
GEN.5.13	Kenan iadaoa ipopo Maalalel ga kus ta Kenan imamado irangrang ngan rai buno lima buno tol sangaul pange (840). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.14	Kenan aea rai toa ngada oa iuot buno lima buno pange sangaul ede (910), ga kus ta imate.
GEN.5.15	Maalalel aea rai sangalima sangaul ede igegea lima, be iadaoa ipopo gergeu aranga ieda Iaret. 
GEN.5.16	Maalalel iadaoa ipopo Iaret ga kus ta Maalalel imamado irangrang ngan rai buno lima buno tol sangaul tol (830). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.17	Maalalel aea rai toa ngada oa iuot buno lima buno tol sangalima sangaul pange igegea lima (895), ga kus ta imate.
GEN.5.18	Iaret aea rai buno ede sangalima sangaul ede igegea rua (162), be iadaoa ipopo gergeu aranga ieda Enok. 
GEN.5.19	Iaret iadaoa ipopo Enok ga kus ta Iaret imamado irangrang ngan rai buno lima buno tol (800). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.20	Iaret aea rai toa ngada oa iuot buno lima buno pange sangalima sangaul ede igegea rua (962), ga kus ta imate.
GEN.5.21	Enok aea rai sangalima sangaul ede igegea lima, be iadaoa ipopo gergeu aranga ieda Metusela. 
GEN.5.22	Enok iadaoa ipopo Metusela ga kus ta Enok ilalala toman ngan Deo irangrang ngan rai buno tol. Be ele gergeu arangaranga ga taine padengada. 
GEN.5.23	Enok aea rai toa ngada oa iuot buno tol sangalima sangaul ede igegea lima (365). 
GEN.5.24	Enok ilalala toman ngan Deo. Be Deo ibada ei ga ila, ta panua tigera ei pade mao.
GEN.5.25	Metusela aea rai buno ede sangalima sangaul tol igegea lima ga rua (187), be iadaoa ipopo gergeu aranga ieda Lamek. 
GEN.5.26	Metusela iadaoa ipopo Lamek ga kus ta Metusela imamado irangrang ngan rai buno lima buno rua sangalima sangaul tol igegea rua (782). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.27	Metusela aea rai toa ngada oa iuot buno lima buno pange sangalima sangaul ede igegea lima ga pange (969), ga kus ta imate.
GEN.5.28	Lamek aea rai buno ede sangalima sangaul tol igegea rua (182), be iadaoa ipopo gergeu aranga 
GEN.5.29	ta iuato ieda Noa
GEN.5.30	Lamek iadaoa ipopo Noa ga kus ta Lamek imamado irangrang ngan rai buno lima sangalima sangaul pange igegea lima (595). Be ele gergeu arangaranga ga taine padengada. 
GEN.5.31	Lamek aea rai toa ngada oa iuot buno lima buno rua sangalima sangaul rua igegea lima ga rua (777), ga kus ta imate.
GEN.5.32	Noa aea rai buno lima, be iadaoa ipopo gergeu arangaranga tol: Siem ga Am ga Iapet.
GEN.6.2	Be gid gergeu arangaranga ton Deo
GEN.6.3	Idio ta 
GEN.6.6	Tota 
GEN.6.7	Tota 
GEN.6.8	Be 
GEN.6.9	Noa ei eaba tutui. Be rabu ngan gid panua padengada ngan ado toaiua, ei ele idil eta paeamao mao. Noa ilalala toman ngan Deo ta somisomi inasnasi Deo ilinge. 
GEN.6.10	Noa ele gergeu tol, Siem ga Am ga Iapet.
GEN.6.11	Be Deo igera panua padengada tanoeai led kadonga papaeamao tau. Ngan tibur toa ngada oa panua tangad balbal ta tipaparau. 
GEN.6.12	Ei imata inasnasi gid panua tanoeai ad be igera mambe gid eine panua papaeamao, ngansa gid toa ngada oa tisio edap kadonga paeamao aea.
GEN.6.13	Tota Deo ikeo pan Noa bedane, “Gau ga napamukuru panua toa ngada ne tanoeai, ngansa tibur toa ngada ne iuon ngan led kadonga sasat ga paraunga sapaean. Ega, gau ga napaeabu ngan tano toa ne, ta gid ga tiduaea. 
GEN.6.14	Tota eao manta bada gid abei goper
GEN.6.15	Eao ga kado lem oaga ga bedane: Oaga aea mamarae ga iuot sangalima sangaul rua leoa lima. Be aea babanga ga iuot sangaul ede leoa rua aea mana. Be ipao gadae ga isulug, eine ga iuot leoa lima leoa rua aea mana. 
GEN.6.16	Eao ga kado aea udud. Be oangga did, kado ga ila tung ngan oaga aea udud mao. Be eao manta tal aea batanga kauteta gadae ngan para ta irangrang ngan oaga ilolo meremere. Be gadudunga, kado aea patanonga tol, ede gadae, ede rabu, be ede pade gadio. Ta kado aea atama ede ikarkareai.
GEN.6.17	“Ega, gau ga nakado oanga kapei ga iuot tanoeai. Eine ga ipaeabu ngan danga toa ngada ne matad bibita ga timate. 
GEN.6.18	Be gau ga narau posanga toman ngan eao ta loloda kelede. Ta gimirua adaoam ga adudunga oagaeai toman ngan lemi gergeu tol ga adadaoad. 
GEN.6.19	Ta eao ga bada masilau ruangada imata ede ga ede ta tidudunga oagaeai, ede aranga, ede taine. Toa bedaoa ta irangrang ngan timate mao. 
GEN.6.20	Gid man imata ede ga ede ruangada, ga masilau kapeipei ga gereirei imata ede ga ede ruangada, gid ga tinam pago ta tidudunga oagaeai toman ngan eao ta irangrang ngan timate mao. 
GEN.6.21	Be eao manta bada annga imata ede ga ede ta nonoi oagaeai, ta iman gid masilau ga man ad ga gimi ami.”
GEN.7.1	Idio ta 
GEN.7.2	Be gid masilau toa nakeo ga timan tenainga aea, nakim eao bada arangaranga lima ga rua ga taine lima ga rua. Be gid masilau toa kemikemi ngan tenainga mao, eao bada ruangada, arangaranga ga taine, ta tidae oagaeai toman ngan eao. 
GEN.7.3	Be gid man imata ede ga ede, nakim eao bada arangaranga lima ga rua, ga taine lima ga rua pade. Eao kado toa bedaoa ta irangrang ngan timate mao, be muriai ga tiuot busa tanoeai pade. 
GEN.7.4	Muriai ngan ado lima ga rua, eine ga nakado aoara ga itap tanoeai ga irangrang ngan aea ado ga bong sangaul pange. Ngan aoara toa ne, gau ga napamukuru gid danga toa ngada ne tanoeai toa mugaeai nakado gid ga tiuot.”
GEN.7.5	Io, Noa ikado danga toa ngada oa mambe 
GEN.7.6	Noa aea rai buno lima buno ede (600) be oanga kapei iuot tanoeai. 
GEN.7.7	Ta Noa ga iadaoa ga ele gergeu toman ngan adadaoad tiaoa ngan oanga kapei ta tidudunga oagaeai. 
GEN.7.8	Gid masilau toa Deo ikeo ga timan tenainga aea, ga gid masilau kemikemi ngan tenainga mao, ga gid man ga gid masilau gereirei, 
GEN.7.9	arangaranga ga taine, tila pan Noa ta tidudunga oagaeai, mambe Deo ikeo pan ngan. 
GEN.7.10	Be ado lima ga rua ila ga kus ta oanga kapei iuot ta irobi tano.
GEN.7.12	Tota aoara itap ga isulug tanoeai irangrang ngan aea ado ga bong sangaul pange.
GEN.7.13	Tutui ngan ado toaiua, Noa ga iadaoa ga ele gergeu tol, Siem ga Am ga Iapet, asingada adadaoad tidudunga oagaeai. 
GEN.7.14	Be gid masilau saksak ga masilau mud kapeipei ga gereirei ga gid man imata ede ga ede, gid toa ngada oa tidudunga oagaeai toman ngan Noa masin. 
GEN.7.15+GEN.7.16	Gid masilau toa ngada oa matad bibita, aranga ede ga taine ede, tidudunga toa oagaeai oa, mambe Deo ikeo pan Noa ngan. Ga kus ta 
GEN.7.17	Oanga toa oa iuotot ga ila irangrang ngan aea ado sangaul pange, be eau iuon ga ilalala ga idae ta isoa oaga kapei ga idae gadae ta imomono.
GEN.7.18	Eau isum ga idae kapei tau ta irobi tibur toa ngada oa. Be oaga ipatpat gadae ngan eau igogo. 
GEN.7.19	Be eau isum ga idae kapei ta irobi gid lusi kapeipei toa ngada oa. 
GEN.7.20	Eau ilalala ga idae ta iasal gid lusi laborad ga irangrang mambe leoa pange. 
GEN.7.21	Gid danga toa ngada oa matad bibita tanoeai timukuru. Gid man ga masilau saksak ga masilau mud kapeipei ga gereirei ga gid eababa pade timukuru ga kus. 
GEN.7.22	Danga toa ngada oa timamado ngan tano mamasa, tiun eau ga timatemate. 
GEN.7.23	Deo ipamukuru danga toa ngada oa matad bibita tanoeai. Gid eababa ga gid masilau kapeipei ga gereirei ga gid man tiduaea gid ga kus. Be Noa kekelen toman ngan gid toa oagaeai oa tiduaea mao.
GEN.7.24	Oanga kapei toa oa irobi tano ga irangrang ngan aea ado buno ede sangalima (150).
GEN.8.1	Idio ta Deo imata nanan Noa ga gid masilau saksak ga masilau mud toa ngada oa oagaeai. Ta ikado rai ga ilado gadae ngan eau igogo. Ta eau kos ga isulug. 
GEN.8.2	Be eau gadio tanoeai ibeula ga idae pade mao. Be gid baba kapeipei mariambai tila gip, ta aoara itap pade mao. 
GEN.8.3	Tota eau kos ga kos ga isulug. Eau ilalala ga isulug irangrang ngan aea ado buno ede sangalima (150). 
GEN.8.4	Be ngan rai toa oa aea taiko lima ga rua, ngan aea ado sangaul ga igegea lima ga rua, Noa ele oaga idae tos ngan lusi ilabora ngan tibur Ararat. 
GEN.8.5	Eau ilalala ga isulug, be ngan rai toa oa aea taiko sangaul, ngan aea ado imuga ngan taiko toa oa, gid lusi laborad tiuotot.
GEN.8.6	Be ado sangaul pange ila ga kus ta Noa ibage ipapa ele oaga aea atama kakauede 
GEN.8.7	ta ibada man akrok ede ta itado ei ta iroro ga ila. Man akrok toa oa iroro alele ga ila ga inam. Ikakado toa bedaoa ga ila irangrang ngan eau isulug ga tano imamasa. 
GEN.8.8	Be Noa itado man barur ede ta iroro ga ila, ngansa iuangga iuatai kemi, eau isulug ga tano imamasa, mao maitne. 
GEN.8.9	Be man barur toa oa iloilo tibur kemi earainga aea ga mao. Ngansa eau irobi tano maitne. Tota iluai mulian pan Noa oagaeai. Noa idol ibage ga iuot, ta man barur itamaroro ga idae ibageai, ta ibada ei ga idudunga mulian. 
GEN.8.10	Be isanga ado lima ga rua ga kus ta itado man barur toa oa ta iroro ga ila pade. 
GEN.8.11	Idio ga lailai sagogogo ta man barur iluai mulian. Be iaoai, Noa igera abei oliv ilaun pau ede ienono. Tota Noa iuatai mambe eau ilalala ga isulug tanoeai na.
GEN.8.12	Isanga ado lima ga rua ga kus ta isula man barur toa oa ga ila pade, be iluai mulian mao.
GEN.8.13	Tano imamasa ngan Noa aea rai buno lima buno ede igegea ede (601). Tano ikado bedaoa ngan taiko imuga ngan rai toa oa, ngan ado imuga ngan taiko toa oa. Tota Noa irepe oaga aea usi idanga tede, ta igera tano iuangga imamasa. 
GEN.8.14	Be ngan rai toa oa aea taiko rua, ngan aea ado sangaul rua igegea lima ga rua, tano toa ngada oa imamasa.
GEN.8.15	Idio ta Deo ikeo pan Noa bedane, 
GEN.8.16	“Io, tota atnan oaga ta asulug tanoeai, eao ga adaoam ga lem gergeu asingada adadaoad. 
GEN.8.17	Bada gid masilau toa ngada oa ga tisulug toman ngan eao. Gid man ga gid masilau kapeipei ga gereirei, eao bada gid ga tisulug ta tibilin ga tipupulou ta tipakaranga tano toa ngada ne.”
GEN.8.18	Tota Noa iuot toman ngan iadaoa ga ele gergeu ga adadaoad. 
GEN.8.19	Be gid masilau kapeipei ga gereirei ga gid man ga gid danga matad bibita toa ngada oa, tiluplup ngan gid iaoa kelede kelede togid ta tiuot ga tisulug tanoeai.
GEN.8.20	Idio ta Noa ikado popou tenainga aea ngan kadonga tenainga ga ila pan 
GEN.8.21	 inud tenainga toa oa iuad kemi ta ikeo iloleai bedane, “Irangrang ngan napaeabu ngan tano pade mao, ngan panasnga gid panua ngan led kadonga sasat. Tautaunga, gid gereirei maitne ga tidae kapeipei, be somisomi matad nanan danga papaeamao ga led kimnga papaeamao mon. Be irangrang ngan napamukuru gid danga matad bibita toa ngada ne pade mao, mambe patautene nakado.
GEN.8.22	“Oangga tano ienono maitne,
GEN.8.22	earumnga ga kulenga gid annga ga iuotot,
GEN.8.22	be tibur memednga ga oanaoana ga iuotot,
GEN.8.22	be ado aea sau ga aoara lolo ga iuotot,
GEN.8.22	be ado ga bong pade ga iuotot ga ilalala ga ila.”
GEN.9.2	Gid masilau tibur aea kapeipei ga gereirei ga gid man ga gid ia, gid ga timataud gimi, be nadol gid ga tidae bagemiai. 
GEN.9.3	Danga toa ngada ne matad bibita tanoeai timan gimi ami masilau. Mugaeai nabada gid sabatnga ga abei itautau pagimi, be labone napan danga toa ngada ne iman ami annga.
GEN.9.5	Be oangga masilau eta, mao eaba eta ipamate gimi, eine ga napanas ei. Tautaunga oangga eaba eta irau eaba ede pade ga imate, eine ga napamadid ei ngan posanga ta napanas ei ngan ele kadonga.
GEN.9.6	ei pade ga imate ngan panua padengada baged,
