MAT.1.1	Ay niy de dawét i de katufua Jesu Kristo, sani ségétéwe séfu Datu Dabide séfu Abraham. 
MAT.1.19	Atin i Josehe, métintu étéw, mélaw ménika sébawag bé Mariahe non oborén. Endob fiyo étéw i Josehe, mélaw mika de ké kémalanan i Mariahe. Mélaw ménuyot i Josehe de ké sérontos bé Mariahe sékémén saén. 
MAT.1.20	Dob lala Josehe mégitung fantag bé de ni, méntéfégitoy télakiwe tidéw dob Kadnane dob téginéf ne. Ménbéréh i télakiwe ni mano, “O Jose, séfu Datu Dabid, kago magalang-galang mawag bé Mariahe, non i funa nuwe mén-obor sabaf bé barakat i Rémogor i Tuluse. 
MAT.1.21	Mégénga moso i Mariahe ségétéw nga lagéy. Atin fédawétém Jesus, non Been i mémukase bé de étéwén dob de sala ro.” Been i bénréh i télakiwe.
MAT.1.22	I funane ménrigoy kéluhanay de ni inok métuman i fénbéréh i Kadnane bé sénarigo nuwe étéw mano, 
MAT.1.23	“I kénogone waléy obor, brab mégénga nga lagéy, atin fédawétén Emanuel.” (I atag i dawéte Emanuel “Bati i Tuluse dob betome.”)
MAT.1.24	Tidéw béno, énggétékénal i Josehe, atin nunuro noy fémandu i télakiwe de, mélaw bénawagén i Mariahe. 
MAT.1.25	Endob énda ménsétifon ro fidong taman énda séna mumah i nga ne. Brab amun ménumahén, féndawétén Jesus.
MAT.2.1	I Jesuse ménumah dob ingéde féndawét Betlehem dob sakuf i dakéle ingéd féndawét Judea, amun Herod sénay méguléwe de. Atin énda mérugayén tidéw bé kéumah Jesuse, wén i de gétuwan do étéw tidéw dob mérayue ingéd dob sébangan ménagéw ro mangéy dob ingéde Jerusalem. I de ni do lagéy furung gésobut bé de tanda dob de gitoon. 
MAT.2.2	Atin amun énggumah ro dob Jerusalem, ménénginsa ro maro, “Hon i gonoy Ngae, sani waléye moso Datu i de Judio? Non énggito gey i gitoone dob sébangan tanda i kéumah ne. Atin mélaw angéyé key féngadafén.”
MAT.2.3	Atin i Herode méguléw, amun énggélingoo noy fantage bé ni ségiyo datu, toow fo ménbuku, brab beroy de kéluhanay de étéw bati dob Jerusalem. 
MAT.2.4	Mélaw lénimud Herodey kéluhanay de odoroy de fadi brab de témoro bé kitab i de Judio, atin ménénginsa dob berowe mano, “Hon i gonoy umaha Kristowe de, sani fénémili i Tuluse méguléw?”
MAT.2.5	Atin séménumbul ro maro, “Fatut mumah i Kristowe dob ingéde Betlehem dob sakuf i dakéle ni ingéd Judea. Non been i niy sénulat i sénarigoy Tuluse muret bé kébéréh ne mano, 
MAT.2.6	‘I beeme, o Betlehem, dob dakéle ingéd Judawe, tintu békén go toow na fo gérifantad bé kéluhanay de ingéd dob Juda. Non tidéw dob beeme moso i odorone méguléw bé de étéw gu do Judio.’”
MAT.2.7	Tidéw béno, féntawag Herodey de ni gétuwan do étéw tidéw dob sébangan mangéy sélimud dob beene énda i ségiyo étéw de gétigan. Atin fénénginsaa no bero ké ati tintuwe gai énggito roy gitoone ni. Amun énggétiga Herode, 
MAT.2.8	sénuguén bero mangéy Betlehem mano, “Agéw gom, toow gom fo séléd i Ngao no. Atin buluk gito gom, fégétiga kom begén inok angéyé ku so féngadafén.” 
MAT.2.9+MAT.2.10	Tidéw béno, amun énggélingoo roy bénréh Datu Herode, ménagéw ro. Atin énggito ro man i gitoone ni, sani gitoone so énggito ro dob sébangane bé gétahe. Toow ro fo ménoror amun énggito ro. Atin i gitoone ni ménagéw métah bero taman téménrén dob gatagay gonoy Ngae ni. Atin ménfuray ro bé gitoone ni taman dob no lawi. 
MAT.2.11	Amun énggumah ro diyo, ménahur ro brab énggito roy Ngae ni brab Mariahe idéngén. Atin ménlingkuwéd ro dob adafay Ngae ni méngadaf de. Tidéw béno, bénungkal roy de balilaga tamuk nuwit ro do bélowon, do dukah, brab do fégéféamut féndawét mira. Atin niray ro dob Jesuse.
MAT.2.12	Tidéw béno, i Tuluse féningatén bero dob téginéf ruwe bé békénén séfule ro mangéy dob Datu Herode. Mélaw ménule ro mangéy dob karowe ingéd dob ségiyowe aguwon.
MAT.2.13	Amun ménagéw i de ni gétuwan do étéw, méntéfégitoy télakiy Kadnane dob Josehe dob téginéf ne. Atin bénréhén dob Josehe mano, “Tek go, brab uwitém i Ngae brab idéng ne méraréy mangéy dob ingéde Egipto. Atin bati gom diyo taman béréhé ku beem ké fakay gomén mule. Non i Datu Herode sélédé noy Ngae ni inok féléhué no.”
MAT.2.14	Mélaw méntek i Josehe fiyon fo ké kérara kélungonon, atin nuwitén i Ngae ni brab idéng ne mangéy Egipto. 
MAT.2.15	Atin ménbati ro diyo taman bé kéléhu Herode. Ménrigoy ni inok métuman i fénbéréh i Kadnane bé sénarigo nuwe mano, “Ténawag guy Nga guwe inok mésut tidéw Egipto.”
MAT.2.16	Endob i Herode, amun énggétiga noy fénggakaray de gétuwan do étéw tidéw sébangan, toow fo ménkérit. Mélaw sénuguén i de sundalo mangéy Betlehem brab dob de ingéd géliwét de, inok féléhué roy kéluhanay de nga lagéy tidéw ruwo gébélintuwa i idad ne mangéy fantad. I Herode énggétiga noy idad i Ngae ni sabaf bé kébéréh i de gétuwan do étéw bé gaiwe ménsut i gitoono no.
MAT.2.17	Mélaw méntuman i ménrugayén kébéréh i ségétéwe sénarigoy Tuluse muret bé kébéréh ne féndawét Jeremias mano, 
MAT.2.18	“Wén i émbéréhe énggélingoon dob ingéde Rama, kémérew brab rémuung. Non kémérew i Rakele sabaf bé de ngaén. Enda i géféoror de non i kéluhanay de ngaén ménléhu.”
MAT.2.19	Amun ménléhu i Datu Herode, i télakiy Kadnane méntéfégito dob Josehe dob Egipto dob téginéf ne. 
MAT.2.20	Atin ménbéréh i télakiwe ni mano, “Tek go brab uwitém i Ngae ni brab idéng ne mule mangéy dob ingéde Israel. Non ménléhuén i de méméléhu damén bé Ngae ni.” 
MAT.2.21	Mélaw méntek i Josehe atin nuwitén i Ngae brab idéng ne mule mangéy Israel.
MAT.2.22	Endob énda ménbati ro dob Judea non ménggilak i Josehe non énggélingoo noy Arkelaowe ménwaléy méguléw amun ménléhu i boh ne Datu Herod. Atin féningatén man i Josehe dob téginéf ne, mélaw méntaus ro mangéy dob sakuf i dakéle ingéd féndawét Galilea. 
MAT.2.23	Atin ménbati ro diyo dob ingéde féndawét Nasaret. Mélaw méntuman i ménrugayén kébéréh i de sénarigoy Tuluse muret bé kébéréh ne maro, “Fédawétén i Kristowe ‘ségétéw tidéw dob Nasaret.’”
MAT.3.1	Bé no do gai, amun ménifus i firoye gébélintuwa, i Juan Bautistawe énggumah dob gonone énda i étéw de bati dob sakuf i dakéle ingéd Judea. Atin nuretén mano, 
MAT.3.2	“Kailanga kom gésénule bé de sala gom brab témagak bé de tete adat gom non gédétén gumah i gaiwe méguléw i Tuluse dob de étéwén.” 
MAT.3.3	I Juane ni, been i bénréh i méntélatae sénarigoy Tuluse muret bé kébéréh ne féndawét Isaias mano, “Wén i ségétéwe mékes dob gonone énda i étéw de bati mano, ‘Tafay gom i aguwoy Kadnane. Fééntang gom i aguwo nuwe.’”
MAT.3.4	Atin kéménégal i Juane nawél buk dakél binatang féndawét kameliyo, brab kulit binatang i légét ne. Atin i amaé nuwe kasuk brab téné. 
MAT.3.5	Atin ménangéy dob beeney médoowe do étéw tidéw Jerusalem, brab tidéw dob kéluhanay de ingéd sakuf Judeawe, brab de étéw bati dob de ingéd gédét dob wayége Jordan. 
MAT.3.6	Atin amun fénayag roy de sala ro, bénautis Juane bero dob wayége Jordan.
MAT.3.7	Atin médoo soy de Fariseo brab de Saduseo ménangéy dob Juane inok fébautis ro. Endob amun énggito no bero, ménbéréh i Juane mano, “I begome maak do ulé gom non tete i de rigoné kom. Sedek mangéy gom dini? Enda géféraréy gom tidéw dob kékukum i Tuluse moso ké fébautis gom saén. 
MAT.3.8	Buluk toow gomén gésénule bé de sala gom brab ténagak gom i de tete adat gom, féténgténg gom i kégésénule gome bé de fiyo ula-ulané kom. 
MAT.3.9	Atin kagom fégitungén de ké i Tuluse fukasé no begom dob de sala gom sabaf bé begom i de séfu Abraham. Béréhé ku begom, fakay géféwaléyoy Tuluse séfu Abrahamey de batéw ni. 
MAT.3.10	Béleewe ni, gédétén i kékukum i Tuluse bé de tete étéw. Ségiléw bé falakule méntafayén ménténa dob darir i kayéwe inok i de kayéw énda mégonok ro fiyo, tuwongén atin ibérén dob aféye inok métuwég. 
MAT.3.11	I begéne, bautiso ku begom bé wayége inok fégito gom énggésénule gom bé de sala gom. Endob wén nay gégumah gétundug begén brab bautisé no begom bé Rémogor i Tuluse brab aféye. Toow na fo gérotor bé begéne. Fiyon foy safatos ne, énda médaitu de mibit. 
MAT.3.12	Féganané noy de fiyo étéw bé de tete étéw ségiléw bé ségétéwe métof. I fégéétof ne diyo dob kémér ne inok fégéétofén bé énrek ne brab fégétimuén bé faréye dob kiwot ne. I de ukofén tuwégé no dob aféye énda émfandaén.”
MAT.3.13	Bé no do gai, ménagéw i Jesuse tidéw Galilea mangéy dob wayége ni Jordan. Atin ménfégédét dob Juane inok fébautis de. 
MAT.3.14	Endob géléé Juane damén mano, “Begéney fatute bautiso mo, sedek Beem uman i mangéy fébautis begén?”
MAT.3.15	Endob séménumbul i Jesuse mano, “Fédayaém saén béleewe ni. Non fatut rigoné toy kéluhanay kétayay Tuluse.” Mélaw ménagayun i Juane.
MAT.3.16	Atin amun ménbautisén i Jesuse, géménaun tidéw dob wayége. Sonom béno, ménungka i lawayo, brab énggito noy Rémogor i Tuluse ménlus maak marafati brab méntérimféna dob Beene. 
MAT.3.17	Atin wén i ménbéréhe tidéw dob lawayo mano, “Been i niy Nga guwe. Toow fo kégédawa ku brab tintu késuwata ku.”
MAT.4.1	Tidéw béno, i Rémogor i Tuluse fénanangguwitén i Jesuse mangéy dob gonone énda i étéw de bati, inok i odoroy de saitan féndawét Satanas géténgkada noy Jesuse rémigo tete. 
MAT.4.2	Atin amun diyo i Jesuse, énda ménamaén bé rugay i ménfote folo gétérésangan. Mélaw toow fo ménlayaf. 
MAT.4.3	Atin énggumah i Satanase dob Beene brab ménbéréh mano, “Amuk Beemey Nga i Tuluse, féwaléyém amaén i de batéw ni.”
MAT.4.4	Endob séménumbul i Jesuse mano, “Wén i Ménsulate Kébéréh i Tuluse mano, ‘Békén amaén saén i funay étéwe méuyag. Yamula kailangay étéwey kéluhanay kébéréh i Tuluse.’ ”
MAT.4.5	Tidéw béno, nuwit Satanasey Jesuse mangéy dob Jerusalem brab nuwitén mangéy dob toowe fo gérotor bérungoy lawi i Tuluse. 
MAT.4.6	Atin ménsébéréh man bé Jesuse mano, “Amuk Beemey Nga i Tuluse, antéfor go. Non wén i Ménsulate Kébéréh i Tuluse mano, ‘Suguéy Tulusey de télaki no démiyaga Beem. Brab sakémé ro Beem inok énda émfali go bé de batéw, fiyon i de sékéyém.’ ”
MAT.4.7	Tidéw béno, séménumbul i Jesuse mano, “Endob wén soy Ménsulate Kébéréh i Tuluse mano, ‘Kago téngkadén i Kadnane Tulusém rémigo bé kétaya muwe rigonén.’ ”
MAT.4.8	Tidéw béno, nuwit Satanasey Jesuse mangéy dob uruk i gérotore fo tuduk. Brab fénténgténgén dey kéluhanay de ingéd dob duniyae ni brab kéluhanay de ungangéy de ni. 
MAT.4.9	Atin ménbéréh man i Satanase mano, “Buluk lingkuwédo mo begén brab féngadafé mo begén, iray gu Beem i kéluhanay de ni.”
MAT.4.10	Endob séménumbul i Jesuse mano, “Féraréy gon Satanas! Enda féngadafé ku beem non wén i Ménsulate Kébéréh i Tuluse mano, ‘Lingkuwéd go saén dob adafay Kadnane Tulusém. Been saén i féngadafé muwe.’ ”
MAT.4.11	Tidéw béno, i Satanase ténagakén i Jesuse. Atin énggumah i de télaki brab ténalima roy Jesuse.
MAT.4.12	Atin i Herode fénféférisu noy Juan Bautistawe. Atin amun énggélingoo Jesuse, ménule mangéy Galilea. 
MAT.4.13	Atin téménara saén dob ingéd ne Nasaret, brab ménangéy bati dob Kafernaum dob fédoror i dogote Galilea, fingé dob ingéde Sabuton brab Neftali. 
MAT.4.14	Ménrigoy ni inok métuman i kébéréh i sénarigoy Tuluse féndawét Isaias mano, 
MAT.4.15	“I de étéw bati dob de ingéd Sabuton brab Neftali, brab fingé dob dogote, brab dob difar i wayége Jordan, brab de étéw békén Judio bati dob Galilea, 
MAT.4.16	fiyon fo ké i de ni étéw maak bati ro dob délémone non békén ro do méngintulus, gégito ro dakél solo. Atin fiyon fo ké maak kélungonon dob berowe non mégilak ro bé kéléhue, réméndaw i soloe ni dob berowe.”
MAT.4.17	Atin tidéw bé no gai, féngganaya Jesusey kéuret ne mano, “Fatut gésénule gom bé de sala gom brab tagak gom i de tete adat gom, non gédétén i gaiwe féguléwoy Tulusey de étéwén.”
MAT.4.18	Wén i no sébaan fuweh, ménagéw i Jesuse dob doror i dogote Galilea. Atin bé lala ne magéw, énggito noy ruwowe gétéw lagéy sétiman idéng. I dawét ruwe Andres brab Simon (féndawét so Pedro). Nibér roy biyala ruwe dob dogote non fatatugés ro. 
MAT.4.19	Ménbéréh i Jesuse dob berowe mano, “Enggomén, odor gom Begén, atin kagomén séméléd sédo. Tidéw béleewe ni, fésélédé ku begom étéw, inok modor ro so Begén.” 
MAT.4.20	Sonom béno, ténagak roy de biyala ro atin ménodor ro bé Jesuse. 
MAT.4.21	Bé lala ruwe magéw, énggito Jesusey de ségiyo lagéy do sétiman idéng. I dawét ruwe Santiago brab Juan. Diyo ro dob awang ruwe beroy boh ruwe féndawét Sebedeo. Fégimué roy biyala ruwe. Atin ténabar Jesuse bero. 
MAT.4.22	Atin sonom béno, ténagak roy boh ruwe dob awange atin ménodor ro bé Jesuse.
MAT.4.23	Atin i Jesuse séménugud mangéy dob kéluhanay de ingéd dob Galilea. Atin téménoro dob de lawi féngadafan kay de Judio, brab nuretén i Fiyowe Uret fantag bé kéféguléw i Tuluse, brab nuwaén i de déméruun do séségiyo-giyo do déruun. 
MAT.4.24	Atin, ménsélalag i bantuga Jesuse dob kéluhanay de ingéd dob Siria. Mélaw i de étéw nuwit ro mangéy dob Beeney kéluhanay de déméruun bé séségiyo-giyowe do déruun, do démawét, brab do rénahuko saitan, brab do rebengén, brab do kimoyén. Atin énggéféadi-adino Jesuse bero kéluhanan. 
MAT.4.25	Atin toow fo médooy de étéw ménfuray bé Jesuse, do tidéw Galilea, brab do tidéw Dekapolis (i atag i Dekapolise “Do Folo Ingéd”), brab tidéw Jerusalem, brab tidéw Judea, brab tidéw dob difar i wayége Jordan.
MAT.5.1	Atin i Jesuse amun énggito noy médoowe do étéw ménlimud, ménénagé mangéy dob burure, atin ménsar diyo. Atin i de kuyugén ménfégédét ro dob Beene. 
MAT.5.2	Atin ténoro Jesuse bero mano, 
MAT.5.3	“Moror i de étéw gétiga ro énda gérigo ro fiyo saliyu ké tabangay Tuluse bero, non féguléwoy Tuluse bero. 
MAT.5.4	Moror i de étéw rémuung, non i Tuluse féfiyoné noy de fédéw ro. 
MAT.5.5	Moror i de térifantad étéw non gédoté roy ati fénasad i Tuluse. 
MAT.5.6	Moror i de étéw toow fo méuyot ro rémigo bé kétayay Tuluse, non tabangay Tuluse de bero inok gérigono ro. 
MAT.5.7	Moror i de étéw mégédaw bé de ségiyo étéw, non mégédaw i Tuluse bero. 
MAT.5.8	Moror i de étéw malinis i de fédéw ro dob adafay Tuluse, non gito roy Tuluse moso. 
MAT.5.9	Moror i de étéw do gémélé bé de sétiboh étéw, non fédawétén ro do nga i Tuluse. 
MAT.5.10	Moror i de étéw férasayén sabaf bé kétintuy adat ruwe dob adafay Tuluse, non féguléwoy Tuluse bero.
MAT.5.11	“Moror gom ké féngirasén gom brab férasayén gom brab béréhon gom tete bé kéluhanay tugie sabaf bé kéunur gome Begén. 
MAT.5.12	Féguyaya gom bé no gai gégumah, non i baras gome toow fo médoo diyo dob lawayo. Non loo so bé niy kéférasay i de étéw bé do énggétah do sénarigoy Tuluse muret bé kébéréh ne.”
MAT.5.13	Atin féntaus Jesusey kétoro ne mano, “I begome ségiléw gom bé timuse lénawék dob amaéne inok fiyoy nonom ne. Non sabaf bé begome, waléy fiyoy de étéw dob duniyae ni. Endob amuk mékédan i kétasik i timuse, éndaén géséfule i kétasik ne. Endaén i lagaén, brab fatut ibérén brab gédaay de étéw ké témara ro.
MAT.5.14	“Atin i begome ségiléw gom bé soloe réméndaw dob délémone ni duniya. Loo so bé ni, i ingéde féntindég dob uruk i burure, énda mébunéyén. 
MAT.5.15	Atin énda i ségétéw tumumon solo inok ahuré no dob fénléngkébé kuréng. Yamula fédiyoé no dob fédongone de inok réméndaw dob lawie. Mélaw gégitoy kéluhanay de étéw diyo. 
MAT.5.16	Mélaw ségiléw gom bé de solo, non fatut rigo gom i fiyowe sénga tékélid, inok i de étéw gito ro, atin dayéwé ro mélaw i Abay gome Tuluse dob lawayo.”
MAT.5.17	Atin féntaus Jesusey kétoro ne mano, “Kagom fégitungén de ké ménangéyu dini inok kédané kuy kitabé niray Moisese taloo noy de kétoro i de sénarigoy Tuluse muret bé kébéréh ne. Non énda ménangéyu dini inok kédané ku, yamula ménangéyu dini inok tumané ku. 
MAT.5.18	Béréhé ku begom i toowe, taman énda méalfa i duniyae ni brab lawayo, énda so mékédan i kitabe, fiyon kloh saén, taman énda métuman i kéluhanane. 
MAT.5.19	Mélaw i étéwe mémélis bé kitabé fiyon fo ké toow saén fo kloh sugu, brab toroé no so dob de étéw i éndaén kailanga no odoron, toow na fo gérifantad bé de étéw féguléwoy Tuluse. Endob i étéwe modor bé kitabé brab toroé noy de étéw bé fatut odoro ro, toow fo gérotor bé de étéw féguléwoy Tuluse. 
MAT.5.20	Béréhé ku begom, amuk énda toow na fo métintuy de rigoné kom bé de rigonéy de Fariseo brab de témoro bé kitabe, énda géahur gom dob kéféguléw i Tuluse.”
MAT.5.21	Atin féntaus Jesusey kétoro ne mano, “Enggélingoo kom i ténoro i de katufua kom maro, ‘Kagom méméléhu, atin i méméléhue fatut mékukum.’ 
MAT.5.22	Endob toroé ku begom béleewe ni: I étéwe mékérit bé dumo nuwe, mékukum. Atin amuk wén i étéw béréhé no, ‘Léngléngén go’ dob dumo nuwe, fatut mékukum dob adafay de kéfédéwan. Atin amuk wén i étéw émbéréh dob dumo nuwe mano, ‘Dufang go’, médait mangéy dob gonoy aféye dob uleono emferno. 
MAT.5.23	Mélaw amuk diyo go dob féngadafane témulak dob Tuluse, atin gétédémo mo wén i rénigo mo sala dob dumo muwe, 
MAT.5.24	tagakém nay tulaké muwe dob adafay ahayane tulakan, atin fagayas go angéy dob dumo muwe brab séfiyo gom inok éndaén tete i de fédéw gom. Tidéw béno, séfule go brab irayém i tulak me dob Tuluse.
MAT.5.25	“Atin buluk wén i dumo mo sébanil beem, atin uwité no beem dob kémukume inok sétiyawan gom, buluk diyo gom séna dob de aguwon, béréh go fiyo inok géséfagayun gom, brab éndaén mélaw kailanga kom i, mangéye dob adafay kémukume. Non amuk Enda, atéé no beem dob kémukume, brab i kémukume atéé no beem dob de sundalo, brab i de sundalo férisuné ro beem. 
MAT.5.26	Atin béréhé kuy toowe, énda moso géésut go tidéw dob férisunone taman énda gébayada moy kéluhanay késalaa muwe.”
MAT.5.27	Atin féntaus Jesusey kétoro ne mano, “Enggélingoo kom i kétoroe mano, ‘Kago sétayan saliyu bé bawag me.’ 
MAT.5.28	Endob toroé ku begom béleewe, bé fiyon fo ké ténéngténg i lagéye saén i libune brab mingar de sétayan, énggésalaén non maak léménamfa i fédéw ne. 
MAT.5.29	Mélaw amuk i funa muwe mésala i moto muwe fingé kuwonon, lésitém atin ibérém. Non mas na fiyo ké kulang i réfa i lowoh me ké ganaf i lowoh me atin géangéy go dob uleono emferno. 
MAT.5.30	Atin amuk i funa muwe mésala i kuwonone kémérém, kéléngém, atin ibérém. Non mas na fiyo ké kulang i réfa i lowoh me ké ganaf i lowoh me atin géangéy go dob uleono emferno.”
MAT.5.31	Atin féntaus Jesusey kétoro ne mano, “Wén soy kétoroe mano, ‘I lagéye gémélak bé bawag ne fatut iraya no bé sulate émbéréh ménségélak ron.’ 
MAT.5.32	Endob toroé ku begom béleewe, amuk wén i ségétéw lagéy gélaké noy bawag ne éndob énda mon bigaén i ni libun, toow fo ménsala i nan lagéy. Non been i ménfélamfae bé libuno no ké mawag man ségiyo lagéy. Atin énggélamfa soy lagéye ménawag bé libune gélak loo bé nan.”
MAT.5.33	Atin féntaus Jesusey kétoro ne mano, “Enggélingoo kom soy ténoro i katufua tome mano, ‘Amuk sémafa go dob Kadnane, tintu kailanga mo tumanén i safa me ni.’ 
MAT.5.34	Endob toroé ku begom béleewe, amuk rémigo gom fasad, kagom sémafa. Kagom fégésafa i lawayo non been i niy saray Tuluse. 
MAT.5.35	Atin kagom fégésafa i duniyae ni non been i niy ténaa nuwe bé de sékéyén. Atin kagom fégésafa i ingéde Jerusalem non been i niy gonoy barakatane Datu bati moso. 
MAT.5.36	Atin kagom sémafa ké makom, ‘Méléhuu na dob ni.’ Non énda géféfuteo kom taloo no géféitama kom i fiyon suwaréw bé de buk gom. 
MAT.5.37	Béréh gom saén, ‘Hoo’, taloo no ‘Enda.’ Amuk umana kom i nan bé de safa, tidéw dob Satanasey nan kébéréh gom.”
MAT.5.38	Atin féntaus Jesusey kétoro ne mano, “Enggélingoo kom i kétoroe mano, ‘Fatut séfésuliém i motowe bé motowe, brab i kiféne bé kiféne.’ 
MAT.5.39	Endob toroé ku begom béleewe ni, kagom sulion i étéwe réménigo tete dob begome. Ufama, amuk wén i téménamfiling bé fiféy me fingé kuwonon, fédayaém de témamfiling so bé ségébalae de. 
MAT.5.40	Atin amuk wén i muwit beem dob adafay kémukume inok gédoté noy kégal me irayém soy kamisita muwe de. 
MAT.5.41	Atin amuk wén i sundalo fégésé no beem mobo bé de uwitén bé ségékilomitrowe saén, oboém taman ruwo gékilomitro. 
MAT.5.42	Atin iraya moy mongote dob beeme. Atin amuk wén i méuyot mélét dob beeme, fééléto mo.”
MAT.5.43	Atin féntaus Jesusey kétoro ne mano, “Atin énggélingoo kom i kétoroe mano, ‘Fégédaw go bé de dumo mo séloyuk, atin férarék go bé de sébanil beem.’ 
MAT.5.44	Endob ay niy kagéne kétoro begom: Fégédaw gom bé de sébanil begom. Atin dasala kom i de émférasay begom, 
MAT.5.45	inok waléy gom do nga i Abay gome Tulus dob lawayo. Non i Tuluse féréndawé no soy térésange dob de fiyo étéw loo so dob de tete étéw. Atin féranaay Tuluse soy de étéw rémigo fiyo loo soy de étéw rémigo tete. 
MAT.5.46	Amuk mégédaw gom saén bé de étéw mégédaw begom, énda i baras i Tuluse de begom. I de lémiful kémubra buwis rigoné roy nan, fiyon fo ké énda fiyo ro étéw. 
MAT.5.47	Atin amuk sébéréh gom saén bé de dumo gom séloyuk, énda i funa kom médayéw. Non fiyon i de békén méngintulus rigoné roy nan. 
MAT.5.48	I Abay gome Tulus dob lawayo, rigoné no saén i fiyowe. Brab i begome fatut so rigoné kom saén i fiyowe.”
MAT.6.1	Atin féntaus Jesusey kétoro ne mano, “Kagom rémigo bé fiyowe émfésuwat bé Tuluse dob téngaangay de étéw saén inok dayéwéy de étéw begom. Non amuk rigoné kom i ni, énda i ségiyo baras gédoté kom tidéw dob Abay gome Tulus dob lawayo.
MAT.6.2	“Mélaw amuk tabanga moy ségétéwe méskinan bé kéiraya muwe de limus, kago fégétuwan de dob de ségiyo loo bé de étéw do ubo-ubo saén méngintulus rigoné ro dob de lawi féngadafan brab dob de aguwon. Rigoné roy ni inok dayéwéy de étéw bero. Mélaw béréhé ku begom i toowe, énggédot roy kéluhanay de baras ro, atin énda i baras i Tuluse de bero. 
MAT.6.3+MAT.6.4	Endob amuk tabanga moy ségétéwe méskinan, kago fégito-gitoy kérigo muwe de inok fiyon i de dumo mo do séloyuk énda gétiga ro de. Endob fiyon fo ké énda gitoy de étéw de, i Abay me Tulus gito noy rénigo muwe brab Been i marasane beem.”
MAT.6.5	Atin féntaus Jesusey kétoro ne mano, “Buluk démasal gom, kagom iringén i de étéw do ubo-ubo saén méngintulus. Méuyot ro témindég démasal dob de lawi féngadafan brab dob de aguwon inok gitoy de étéw bero. Béréhé ku begom i toowe, i gédoté ruwe saén bé nan rigoné roy kédayéw i de dumo étéw bero. 
MAT.6.6	Endob buluk démasal gom, angéy gom dob sibéy gome brab fintu gom, atin dasal gom dob Tuluse Abay gom dob lawayo énda gito gom de. Amuk rigoné kom i ni, gédoté kom i baras gome tidéw dob Tuluse Abay gom. Beene saén i gégitowe bé kéluhanay rigoné kome.
MAT.6.7	“Buluk démasal gom, kagom dulién i kédasale énda i atagén. I de étéw énda gétiga roy Tuluse rigoné roy ni non maro ké fégélingoéy Tuluse bero ké mérugay i kédasal ruwe. 
MAT.6.8	Kagom iringén bero. Enda kailanga kom i mérugaye kédasal non gétigay Abay gomey kailanga kome bé énda séna nongot gom de.
MAT.6.9	“Ay niy ufamawe de. Dasal gom loo bé ni, ‘Abay gey dob lawayo, kéluhanay étéwe damén féngadafé ro Beem. 
