MAT.1.1	Nigaj ijkuilijtoꞌ ito̱ka̱mej yej iyikyapatajwe̱wejmej Jesucristo,
MAT.1.17	Ijkó̱n panoj catorce te̱tajwe̱wetkej yej ipilówa̱mpa ipilowa̱n Abraham este iga onókoya David. Panoj no̱ catorce te̱tajwe̱wetkej yej ipilówa̱mpa ipilowa̱n David este kua̱ꞌ israeli̱tajmej kiwi̱gakej preso Babilonia, iwá̱n panoj seꞌoꞌ má̱j catorce te̱tajwe̱wetkej este kua̱ꞌ onókoya Cristo.
MAT.1.18	Ijkí̱n iga onoko Jesucristo: María yej iye̱ꞌ Jesús onóyaya iga yawi mona̱mikti̱ti iwá̱n José. Eꞌ kua̱ꞌ aya mona̱miktiáj, María xo̱lo̱yowiꞌ iga ipode̱r iyEspí̱ritoj Dios. 
MAT.1.19	Iwá̱n José yej mochi̱was iwé̱j María, poxsan katka ye̱ꞌnemiá, iwá̱n ayoꞌ kinekiá mamona̱mikti iwá̱n María; eꞌ malej ijkó̱n, José akinekiá mamomati iga María ónoꞌya iwá̱n seꞌ ta̱gaꞌ; yéj kejla̱ntoya iga ichtákasan mamokajte̱waka̱n. 
MAT.1.20	Mie̱j inó̱n kejla̱ntoya, kochiꞌ iwá̱n kite̱miꞌ iga se̱ iyá̱ngel
MAT.1.20	—José, tej yej ipiltzi̱n ipilówa̱mpa David, amo ximajmawi iga timona̱miktiá iwá̱n María, iga inó̱n xo̱lo̱ꞌ yej kitalaxwijtoꞌ, ino̱nwaꞌ kimáꞌ iyEspí̱ritoj Dios. 
MAT.1.21	Yéj yawi kitati se̱ ichoochi̱n, iwá̱n tikto̱ka̱wi̱j JESÚS,
MAT.1.22	Inó̱n sucede̱roj iga mamochi̱wa kensan ikya kijtoj toTe̱ko ipan se̱ profeta
MAT.1.23	Se̱ takotzi̱n yej aya kichijchimi ta̱gaꞌ, xo̱lo̱yowis iwá̱n kitas ichoochi̱n,
MAT.1.23	moto̱ka̱wi̱j Emanuel,
MAT.1.23	yej kijto̱jneki: Dios onoꞌ towa̱n.
MAT.1.24	Kua̱ꞌ José isaꞌ iga te̱miktoya, kichij kensan kijlij iyá̱ngel Dios iwá̱n kíkuiꞌya María iga isiwa̱ꞌ. 
MAT.1.25	Eꞌ José aya kitechowa̱ya María este iga onoko ikone̱ꞌ. Iwá̱n inó̱n kone̱ꞌ kito̱ka̱wijkej JESÚS.
MAT.2.1	Jesús onoko Belén, se̱ a̱ltepe̱ꞌ yej onoꞌ ipan estado de Judea. Íkua̱ꞌ manda̱rojtoya rey Herodes.
MAT.2.2	Iwá̱n tatajtantinemiáj:
MAT.2.2	—¿Ka̱n onoꞌ irre̱y judiyojmej yej nacé̱rojoꞌ? Nejeme̱n nikitakej isi̱talin ne‑iga iki̱sáya̱mpa to̱nati̱ꞌ iwá̱n niwa̱lkej nikweyimati̱lti̱koj.
MAT.2.3	Kua̱ꞌ iní̱n kimatiꞌ rey Herodes ayꞌya kojasiá te̱ kichi̱waya, iwá̱n inewi gente de Jerusalén akojasiajoꞌ no̱ te̱ kichi̱wayaj. 
MAT.2.4	Iwá̱n Herodes kino̱tzaꞌ inochi ije̱fejmej sacerdo̱tejmej iwá̱n inochi yej tamachtiáj ipan iley Dios. Iwá̱n kitajtankej ka̱n yawi nace̱ro̱ti Cristo. 
MAT.2.5	Yejeme̱n kijtojkej:
MAT.2.5	—Yawi nace̱ro̱ti ipan a̱ltepe̱ꞌ yej ito̱ka̱ꞌ Belén yej onoꞌ ipan estado de Judea. El profeta kijkuiloj ijkí̱n:
MAT.2.6	Tej, Belén, yej tonoꞌ ipan estado de Judá,
MAT.2.6	malej iga ti‑a̱ltepe̱tzi̱n, eꞌ ayéj yej má̱j ti‑ali̱mpa, no̱ tivale̱rowa kensan ino̱mej wejweyi a̱ltepe̱ꞌ yej onoꞌ ipan estado de Judá;
MAT.2.6	iga ipan tej yawi ki̱sati se̱ yej manda̱rowa,
MAT.2.6	yej yawi kicuida̱ro̱ti noge̱ntej de Israel.
MAT.2.7	Iwá̱n el rey Herodes kichtakano̱tzaꞌ yej kitakej si̱talin; íkua̱ꞌya kimati̱ltijkej ke̱man nokta ne̱siko in inó̱n si̱talin. 
MAT.2.8	Iwá̱n Herodes kiti̱tan Belén ino̱mej tajta̱gaꞌ, kijlijkej ijkí̱n:
MAT.2.8	—Xa̱ka̱n Belén, xikte̱mo̱tij inó̱n chooli̱ntzi̱n este ka̱n xikasika̱n. Kua̱ꞌ ankasíkeja, xine‑ijli̱kij sej iga nej no̱ maniá manikweyimati̱lti̱ti.
MAT.2.9	Kua̱ꞌ tamiꞌ kikakikej yej kijtoj Herodes, Re̱yejma̱gojmej yájkija. Iwá̱n inó̱n si̱talin yej kitakej iki̱sáya̱mpa to̱nati̱ꞌ, tapano̱tia̱ya iwá̱n moketzato ka̱n nokta onoꞌ chooli̱ntzi̱n. 
MAT.2.10	Kua̱ꞌ kitakej inó̱n si̱talin poxsan yo̱lpa̱kikej. 
MAT.2.11	Iwá̱n kalakkej kalijtiꞌ, iwá̱n kitakej chooli̱ntzi̱n iwá̱n María yej te̱ye̱ꞌ. Motankua̱ketzkej iwá̱n kiweyimati̱ltijkej chooli̱ntzi̱n. Iwá̱n yejeme̱n kiki̱xtijkej rega̱lojmej iga kimakakej chooli̱ntzi̱n, oro, incienso iwá̱n mirra yej ken bálsamo. 
MAT.2.12	Iwá̱n Dios kite̱miktij ino̱mej iga ayoꞌ nokta maya̱ka̱n ka̱n onoꞌ Herodes; inó̱n iga yejeme̱n yajkij sej icha̱mej, eꞌ ipan seꞌya ojti.
MAT.2.13	Kua̱ꞌ re̱yejma̱gojmej yájkija, se̱ iyá̱ngel Dios kite̱mikti̱ko José, iwá̱n kijlij:
MAT.2.13	—Ximoketza, xikui̱ga Egipto chooli̱ntzi̱n iwá̱n iye̱ꞌ. Ómpaoꞌ xonoka̱n este kua̱ꞌ sej nimitzno̱tzas. Porque Herodes yawi kite̱mo̱ti chooli̱ntzi̱n iga makimikti.
MAT.2.14	Iwá̱n José moketzaꞌ tayowaka̱n, kiwi̱gaꞌ Egipto chooli̱ntzi̱n iwá̱n iye̱ꞌ. 
MAT.2.15	Ompiga onoyaj este que miguiꞌ Herodes. Iní̱n mochij iga mamochi̱wa yej Dios kijtoj ipan se̱ profeta, ijkí̱n ijkuilijtoꞌ: “Este Egipto nikno̱tzaꞌ noPiltzi̱n.”
MAT.2.16	Kua̱ꞌ Herodes kimatiꞌ iga kikajkayajkej ino̱mej re̱yejma̱gojmej, poxsan kuejkuesiwiꞌ. Iwá̱n tatekimáꞌ iga makimijmikti̱tij nochi choolili̱n yej aya kipiáj o̱me años, yej cha̱ntitokej Belén iwá̱n ipan a̱ltepe̱mej yej najna̱ꞌsan onokej. Herodes kijtoj o̱me años, iga anka achó̱n a̱n kiwi̱gaya Jesús, ke̱ꞌsan kijtojkej re̱yejma̱gojmej. 
MAT.2.17	Iwá̱n ompa mochij yej kijkuiloj el profeta Jeremías. Ijkí̱n ijkuilijtoꞌ:
MAT.2.18	Mokaguiꞌ iga wa̱ꞌtzajtzilo̱ꞌ ipan a̱ltepe̱ꞌ yej ito̱ka̱ꞌ Ramá.
MAT.2.18	Cho̱kalo̱ꞌ iwá̱n poxsan mokno̱matilo̱ꞌ.
MAT.2.18	Rake̱lwaꞌ in yej cho̱gaꞌ iga ipilowa̱n,
MAT.2.18	iwá̱n awel moyo̱lta̱lij, iga ipilowa̱n kimijmiktilíjkeja.
MAT.2.19	Kua̱ꞌ miꞌya Herodes, se̱ iyá̱ngel Dios kite̱miktij José ompa Egipto, kijlij:
MAT.2.20	—Ximoketza, xikui̱ga chooli̱ntzi̱n iwá̱n iye̱ꞌ iwá̱n xaj sej Israel ka̱n amonoyaj iga mikíkeja ino̱mej yej kimikti̱jnekiáj chooli̱ntzi̱n.
MAT.2.21	Iwá̱n José moketzaꞌ iwá̱n kiwi̱gaꞌ chooli̱ntzi̱n iwá̱n iye̱ꞌ ipan país de Israel. 
MAT.2.22	Eꞌ kua̱ꞌ José kimatiꞌ iga manda̱rówaya sej Arquelao yej ipíltzi̱mpa Herodes ipan ta̱jli de Judea, José majmawiꞌ iga yawi ompiga. Eꞌ Dios sej kite̱miktij, kijlij iga mayawi ipan estado de Galilea, iwá̱n ompiga yajkij. 
MAT.2.23	Kua̱ꞌ asikej ipan estado de Galilea, mocha̱nti̱toj ipan a̱ltepe̱ꞌ yej ito̱ka̱ꞌ Nazaret. Iní̱n mochij iga mamochi̱wa ken kijtojkej profe̱tajmej iga Jesús cha̱ntitos Nazaret.
MAT.3.1	Inó̱n ve̱j Juan yej tabautiza̱rowa
MAT.3.2	iwá̱n kijtowa̱ya:
MAT.3.2	—Xikajte̱wáka̱nya iga ankichi̱waj yej aye̱kti iga ayoꞌ wejkatis iga Dios yawi reina̱ro̱ti ipan tejemej.
MAT.3.3	De ini̱nya Juan yej el profeta Isaías tajtoj, kua̱ꞌ kijtoj:
MAT.3.3	Mokaki a̱ꞌpa tzajtzi ipan desierto, kijtowa:
MAT.3.3	“Xikajte̱wáka̱nya iga ankichi̱waj yej aye̱kti,
MAT.3.3	ijkó̱n ankitapowaj ojti iga toTe̱ko.”
MAT.3.4	Juan kakijtinemiá itzótzol yej chijtoya iga itzojmiyo camello
MAT.3.5	Iwá̱n ki̱skej de Jerusalén, de Judea iwá̱n inochi yej cha̱ntitoyaj najna̱ꞌsan we̱ya̱ꞌ Jordán iga kikakikoj Juan. 
MAT.3.6	Iwá̱n kua̱ꞌ la gente mote̱nxitónkeja iga kichijkej yej aye̱kti, íkua̱ꞌya Juan kibautiza̱rowa̱ya ino̱mej ipan we̱ya̱ꞌ Jordán.
MAT.3.7	Eꞌ kua̱ꞌ Juan kitaꞌ iga nemi ya̱yaj miaꞌ fariseojmej
MAT.3.7	—¡Amejeme̱n ken nokta ipilowa̱n kowa̱mej! ¿A̱ꞌyéj mitzijlijkej iga anyawij anmoma̱nawi̱tij kua̱ꞌ Dios yawi tacastiga̱ro̱ti? 
MAT.3.8	Xiye̱ꞌnemika̱n iga mane̱si iga ankikajtéjkeja iga ankichi̱waj yej aye̱kti. 
MAT.3.9	Amo ximoweyimatika̱n iga ankijtowaj: “Nejeme̱n no‑ikyapatajwe̱wejmej Abraham”; ¡Nimitzijliáj iga ini̱mej temej Dios wel kichi̱wa ipilowa̱n Abraham! 
MAT.3.10	Há̱chajwaꞌ ónoꞌya iga yawi motzojtzontekiti kuawimej este ipan inelwayomej. Inochi kuawiꞌ yej ayá̱ꞌ ye̱ꞌta̱ki, motzonteki iwá̱n moakiá tiko.
MAT.3.11	Nej nimitzbautiza̱rowaj iga a̱ꞌti, iga mane̱si iga anmoyo̱lpatákeja. Eꞌ yej wi̱‑oꞌ, yawij mitzbautiza̱ro̱tij iga el Espíritu Santo iwá̱n iga tiꞌti. Yéj kipiá má̱j poder que nej, iwá̱n nej ni alí̱n ayá̱ꞌ neajasi iga manikui̱guili igaꞌ. 
MAT.3.12	Yéj kiki̱tzkijtoꞌ yej iga kichijchi̱wa trigo iga kitasolki̱xtiá. Iwá̱n trigo ka̱nas ka̱n moa̱na; eꞌ itasolyo kitati̱j ipan tiꞌti yej ayí̱ꞌ se̱wis.
MAT.3.13	Iwá̱n Jesús ki̱saꞌ Galilea, iwá̱n asito ka̱n Juan tabautiza̱rojtoya ipan we̱ya̱ꞌ Jordán, iga no̱ mamobautiza̱ro. 
MAT.3.14	Eꞌ Juan akinekiá makibautiza̱ro, kijlij:
MAT.3.14	—¿Te iga tiwi̱ꞌ iga nej manimitzbautiza̱ro? Nejwaꞌ in yej nikneki iga tej xine̱bautiza̱ro.
MAT.3.15	Eꞌ Jesús kijlij Juan:
MAT.3.15	—Iná̱n tej amo te̱ xikijto; iga ijkó̱n kajasi iga matikchi̱waka̱n inochi ken Dios kineki.
MAT.3.15	Iwá̱n Juan mote̱máꞌ iga kibautiza̱roj Jesús. 
MAT.3.16	Kua̱ꞌ Jesús tamiꞌ mobautiza̱roj, ki̱saꞌ ipan a̱ꞌti. Iwá̱n tapowiꞌ cielo, iwá̱n kitaꞌ iyEspí̱ritoj Dios temoj, ken tikita se̱ jojtoko, iwá̱n moketzako iyakapan. 
MAT.3.17	Iwá̱n mokaguiꞌ ipan cielo se̱ tájto̱l yej kijtoj:
MAT.3.17	—Iní̱n nokta in noPiltzi̱n yej nikpoxcho̱kiliá, iwá̱n yéj ne̱yo̱lchikajtoꞌ.
MAT.4.1	Iwá̱n iyEspí̱ritoj Dios kiwi̱gaꞌ Jesús ipan desierto ka̱n ayá̱ꞌ cha̱ntitolo̱ꞌ, iga ompiga Tzitzimiꞌ makita siga ayá̱ꞌ kichi̱walti̱j yej aye̱kti.
MAT.4.2	Jesús ayá̱ꞌ takuaj cuarenta días iwá̱n cuarenta yówal, iwá̱n maya̱naꞌ. 
MAT.4.3	Iwá̱n Tzitzimiꞌ kitechoj Jesús. Tzitzimiꞌ kinekiá iga Jesús makichi̱wa yej aye̱kti, kijlij:
MAT.4.3	—Siga tejya nokta iPiltzi̱n Dios, xikijli ini̱mej temej iga mamochi̱waka̱n pa̱n.
MAT.4.4	Eꞌ Jesús kijlij Tzitzimiꞌ:
MAT.4.4	—Ijkí̱n ijkuilijtoꞌ itájto̱l Dios: “Ayá̱ꞌ gasan tákual wel ono ta̱gaꞌ, no̱ wel ono iga kichi̱wa ken kijtowa itájto̱l Dios.”
MAT.4.5	Iwá̱n Tzitzimiꞌ kiwi̱gaꞌ Jesús ipan weyi‑a̱ltepe̱ꞌ Jerusalén, kitejkawi̱ltij este iyi̱xko, ka̱n má̱j ajko ipan inó̱n weyitio̱pan,
MAT.4.6	iwá̱n kijtoj Tzitzimiꞌ:
MAT.4.6	—Siga tejya nokta ipiltzi̱n Dios, este nigaj ximopata̱nalti ta̱lpan; iga itájto̱l Dios ijkí̱n ijkuilijtoꞌ:
MAT.4.6	Dios kiti̱tanis iya̱ngelejmej iga mamitzpale̱wi̱ka̱n,
MAT.4.6	iga mamitzmajkuitia̱ka̱n
MAT.4.6	iga amo ximokxiwi̱teki ipan teꞌti.
MAT.4.7	Jesús kijtoj:
MAT.4.7	—No̱ ijkuilijtoꞌ itájto̱l Dios: “Amo xiktajtanili moTe̱ko Dios iga makichi̱wa tejté̱ iga san mane̱si iga wel kichi̱wa.”
MAT.4.8	Seꞌ ve̱j Tzitzimiꞌ kiwi̱gaꞌ Jesús ipan se̱ tepe̱ꞌ yej pox ajko, iwá̱n kine̱xtilij inochi pai̱smej yej onoꞌ ipan iní̱n ta̱jli iwá̱n inochi yej kipiáj; 
MAT.4.9	iwá̱n kijtoj Tzitzimiꞌ:
MAT.4.9	—Nej nimitzmakas inewi iní̱n siga timotankua̱ketza iga xine̱weyimati̱lti.
MAT.4.10	Iwá̱n Jesús kijlij:
MAT.4.10	—Tzitzimiꞌ, xicholo note̱noj, iga ijkí̱n ijkuilijtoꞌ itájto̱l Dios: “Xikweyimati̱lti moTe̱ko Dios iwá̱n xikchi̱wa kensan yéj kineki.”
MAT.4.11	Iwá̱n Tzitzimiꞌ kikájteja Jesús. Iwá̱n wa̱lkej a̱ngelejmej iga kipale̱wi̱koj in Jesús.
MAT.4.12	Kua̱ꞌ Jesús kimatiꞌ iga Juan kipre̱sojwijkej, yajki ipan estado de Galilea. 
MAT.4.13	Eꞌ ayá̱ꞌ ka̱wiꞌ Nazaret ka̱n ícha̱n katka, sino que yajki mocha̱nti̱to ipan a̱ltepe̱ꞌ yej ito̱ka̱ꞌ Capernaum. Inó̱n a̱ltepe̱ꞌ onoya ipan a̱te̱n iwá̱n ipan íta̱l Zabulón iwá̱n Neftalí. 
MAT.4.14	Ijkí̱n kichij Jesús iga mamochi̱wa yej el profeta Isaías ijkí̱n kijkuiloj:
MAT.4.15	Íta̱l Zabulón iwá̱n Neftalí,
MAT.4.15	ipan inó̱n ojti yej yawi láma̱r, iyi̱ka̱mpa we̱ya̱ꞌ Jordán,
MAT.4.15	ipan Galilea ka̱n cha̱ntitokej yej ayéj judiyojmej.
MAT.4.16	Ino̱mej gente yej ken onoyaj ka̱n takomichka̱n iga ayá̱ꞌ ki̱xmatiáj Dios, ken tikita kita̱wijkej se̱ weyi ta̱wi̱lyo̱ꞌ iga asiꞌ itájto̱l Dios.
MAT.4.16	Ino̱mej majmatoyaj iga mamikika̱n,
MAT.4.16	eꞌ iná̱n kita̱wíjkeja weyi ta̱wi̱lyo̱ꞌ.
MAT.4.17	Iwá̱n íkua̱ꞌya Jesús pe̱waꞌ kipowa itájto̱l Dios, kijtoj:
MAT.4.17	—Xikajte̱wáka̱nya iga ankichi̱waj yej aye̱kti iga ayoꞌ wejka̱was iga yawi reina̱ro̱ti
MAT.4.18	Jesús nejnentia̱ya ipan a̱te̱n laguna yej ito̱ka̱ꞌ Galilea. Ompa kitaꞌ Simón yej no̱ ito̱ka̱ꞌ Pedro, iwá̱n Andrés yej iyíkni̱mpa. Yejeme̱n atarraye̱rojmej. Iwá̱n ompa atarraya̱rojtoyaj ipan inó̱n a̱ꞌti. 
MAT.4.19	Iwá̱n Jesús kijlij ino̱mej:
MAT.4.19	—Xine̱tokaka̱n, iwá̱n nikchi̱was iga ankinechko̱skej yej mane̱tokaka̱n ken iná̱n to̱poj ankiki̱tzkiáj.
MAT.4.20	Iwá̱n imaní̱n kikajtejkej iyatarra̱yajmej iwá̱n kitokákeja Jesús.
MAT.4.21	Iwá̱n achi má̱j nejnenkej, kitakej o̱me̱n tajta̱gaꞌ, Jacobo iwá̱n Juan yej ipilówa̱mpa Zebedeo. Ompa onoyaj ipan á̱ka̱l iwá̱n itaj. Ompa kitamanijtoyaj iyatarra̱yajmej. Iwá̱n Jesús kino̱tzaꞌ in ino̱mej. 
MAT.4.22	Iwá̱n íkua̱ꞌsan ompa kikajtejkej itaj iwá̱n á̱ka̱l. Iwá̱n kitokákeja Jesús.
MAT.4.23	Jesús panoj no̱ya̱n ipan estado de Galilea, tamachtijtinemiá ipan tio̱pamej yej ojonoyaj ipan a̱ltepe̱mej. Kipowaya ye̱ꞌnoti̱ciaj ken iga Dios yawi reina̱ro̱ti. Iwá̱n kachitialtij nochi yej se̱seꞌpa iga we̱titoyaj. 
MAT.4.24	Iwá̱n no̱ya̱n momatiꞌ ipan estado de Siria, iga Jesús taachitialtijtinemiꞌ, iwá̱n no̱ kiwi̱guilijkej yej kipiayaj de se̱seꞌpa kokolis, yej kuajkualoj, yej ta̱tapoliwij, yej kipiayaj ma̱lespí̱ritoj iwá̱n yej ikxitakua̱wayaxtoyaj. Iwá̱n nochi ini̱mej kachitialtij Jesús. 
MAT.4.25	Miaꞌ de Galilea kitokakej Jesús, yej cha̱ntitoyaj ipan íta̱l diez a̱ltepe̱ꞌ yej kijliáj Decápolis, iwá̱n de Jerusalén iwá̱n inewi no̱ de Judea, iwá̱n ino̱mej yej cha̱ntitokej iyi̱ka̱mpa we̱ya̱ꞌ Jordán.
MAT.5.1	Kua̱ꞌ Jesús kitaꞌ inewi gente yej kitokatinemiáj, tejkaj ipan se̱ tepe̱ꞌ iwá̱n ompa mota̱lij. Iwá̱n idisci̱polojmej
MAT.5.2	Iwá̱n Jesús pe̱waꞌ kimachtij idisci̱polojmej, ijkí̱n kijtoj:
MAT.5.3	—Pa̱kij yej kimachi̱liáj ipan iya̱lmajmej iga yejéme̱nsan awel te̱ kichi̱waj iwá̱n ijko̱nya iga kite̱mowaj Dios, iga yejéme̱nya kipiaskej Dios iga iTe̱komej.
MAT.5.4	’Pa̱kij yej cho̱kaj, Dios yawi kiyo̱lchika̱wati ino̱mej.
MAT.5.5	’Pa̱kij yej moali̱mpamatij, iga yejeme̱n mochi̱waskej itatki inó̱n ta̱jli yej Dios kijtoj iga kimakaskej.
MAT.5.6	’Pa̱kij yej kipoxyo̱lmakatokej iga kichi̱wasnekij yej ye̱kti, ino̱mej sí, Dios kipale̱wi̱j.
MAT.5.7	’Pa̱kij yej ta‑ikne̱liáj, iga Dios yawi no̱ kikne̱li̱tij ino̱mej.
MAT.5.8	’Pa̱kij yej ipan iya̱lmajmej kejla̱ntokej yej ye̱kti, yejeme̱n sí kitaskej Dios.
MAT.5.9	’Pa̱kij yej kinekij iga maonolo tamelá̱, iga Dios kijli̱j iga yéj ipilowa̱n.
MAT.5.10	’Pa̱kij yej kikno̱chi̱waj iga san kichi̱waj yej Dios kineki, iga yejéme̱nya kipiaskej Dios iga iTe̱komej.
MAT.5.11	’Xipa̱ktoka̱n kua̱ꞌ mitzijijliáj kuajkuantas iwá̱n kua̱ꞌ mitzikno̱chi̱waj iwá̱n kua̱ꞌ mitzpantiáj iga ankichi̱waj yej aye̱kti, iga san nej anne̱tokaj.
MAT.5.12	’Xipa̱ktoka̱n iga ipan cielo yawij mitzmakatij yej pox ye̱kti; iga ijkó̱n no̱ kikno̱chijkej profe̱tajmej yej ikya onoyaj.
MAT.5.13	’Amejeme̱n ipan iní̱n ta̱jli ken tikita an‑istamej. Eꞌ siga istaꞌ ayoꞌ istawe̱liꞌ, ¿téjasoꞌ iga moneki? Ayoꞌ ye̱kti iga nité̱, sino que motajkáliya iwá̱n mota̱táksaya.
MAT.5.14	’Amejeme̱n no̱ ken anta̱wi̱lmej ipan iní̱n ta̱jli. Se̱ weyi‑a̱ltepe̱ꞌ yej onoꞌ iyi̱xko tepe̱ꞌ awel mi̱ya̱na. 
MAT.5.15	Niga motatiá se̱ cándi̱l iga mamota̱li itampa tejté̱, ma̱jwaꞌ mota̱liá ajko iga makita̱wi yej onokej kalijtiꞌ. 
MAT.5.16	Ijko̱nsan no̱ amejeme̱n xikchi̱waka̱n yej ye̱kti iyi̱xtaj la gente, iwá̱n kua̱ꞌ mitzitaskej iga ankichijtokej yej ye̱kti, kiweyimati̱lti̱skej toTaj Dios yej onoꞌ ajko.
MAT.5.17	’Amo ankijto̱skej iga niwa̱laj iga nikpolo̱ko iley Moisés o ka̱n tamachtijkej profe̱tajmej. Nej ayá̱ꞌ inó̱n nikchi̱wako, ma̱jwaꞌ nikchi̱wako ken iga nokta kajasi iga mamochi̱wa ken tatekimakaj. 
MAT.5.18	Iwá̱n no̱ nimitznojma‑ijliáj, mie̱j iga onos cielo iwá̱n ta̱jli, nisé̱ punto nisé̱ letra awel mopolowa ipan iley Moisés, este que nochi mamochi̱wa yej mochi̱was. 
MAT.5.19	Inó̱n iga yej kiyokakajte̱wa iga kichi̱wa ken tatekimaka se̱ iley Dios, malej iga inó̱n ley né̱sikiꞌ ayá̱ꞌ má̱j te̱ te‑ijliá, wa̱n ijkó̱n matamachti, inó̱n mo‑itas ken yej ayéj te̱ iteki ka̱n reina̱rowa Dios. Eꞌ yej makichi̱wa ken ijkuilijtoꞌ la ley iwá̱n ijko̱nsan no̱ kine̱xtiliá sekin iga makichi̱waka̱n, inó̱n má̱j kiye̱ꞌitaskej ka̱n reina̱rowa Dios. 
MAT.5.20	Iwá̱n no̱ nimitzijliáj, siga ayá̱ꞌ má̱j anye̱ꞌnemij que fariseojmej iwá̱n ken yej tamachtiáj ipan la ley, nike̱man ayá̱ꞌ ankalakiskej ka̱n Dios reina̱rowa.
MAT.5.21	’Ankikakíkeja ken kijlijkej amo‑ikyapatajwa̱n iga: “Amo xitamikti, siga agaj tamiktiá, makimikti̱ka̱n.” Ijkó̱n kijtoj iley Moisés. 
MAT.5.22	Eꞌ iná̱n nimitzijliáj igasan se̱ mamokuejkueso iwá̱n iyikni̱n, Dios yawi kijuzga̱ro̱ti. Iwá̱n yej kijliá iyikni̱n: “Tixe̱toꞌ”, inó̱n kiki̱tzki̱skej yej má̱j manda̱rowaj. Iwá̱n yej kijliá iyikni̱n: “Tipáchto̱l”, ya̱ti ka̱n onoꞌ tiwelo̱n yej ayí̱ꞌ se̱wi.
MAT.5.23	’Siga tia tikmakati iyofre̱ndaj Dios ipan altar
MAT.5.24	ómpaoꞌ xikajte̱wa moofre̱ndaj ite̱noj altar iwá̱n xaj achto ximoyo̱lta̱li̱ti iwá̱n mokni̱n. Íkua̱ꞌya sí welja tikta̱li̱ti moofre̱ndaj.
MAT.5.25	’Siga agaj mitzdemanda̱rowa iwá̱n mitzwi̱gaj iyi̱xtaj juez, ipan ójtisan ximotajto̱lti iga ximoyo̱lta̱li íwa̱n. Porque siga mitzwi̱ga iyi̱xtaj juez, juez kitekimakas policiyajmej iga mitzaki̱skej kuákalko. 
MAT.5.26	Nimitzijliá iga atiki̱sas ompa este que xikixta̱wa inewi ke̱ꞌ mitztajtaniliáj.
MAT.5.27	’Moisés este ikyay kijtoj: “Yej na̱miktitoꞌ amo mayawi wa̱n seꞌ.” 
