MAT.1.1	Ni rguixogueꞌn quie ja xuzixtaꞌo Jesucristo. Naca Abraham len rey David xuzixtaꞌo Jesucristo. 
MAT.3.14	―Luëꞌla reyaꞌalaꞌ hueꞌloꞌ laohuaꞌ. ¿Naꞌ como bazaoꞌ niga ta huaꞌ laoloꞌ?
MAT.3.15	Naꞌra una Jesús rëbëꞌ Juan:
MAT.3.15	―Reyaꞌalaꞌcazi hueꞌloꞌ laohuaꞌ, porque canaꞌ reꞌennan huero ta uzuro duz̃e cabëꞌ una Diuzi.
MAT.3.15	Naꞌra guca Juan de acuerdo, bëꞌnëꞌ lao Jesús. 
MAT.3.16	Naꞌra beyudyi bëꞌ Juan lao Jesús, bero Jesús luꞌu nisa. Caora naꞌ laoyalote guibá blëꞌë Jesús uyëzi Bichi Be quie Diuzi ca quie ga rëzi paloma. Bdyinnëꞌ ga zë Jesús. 
MAT.3.17	Naꞌra unë Diuzi ga zuëꞌ guibá unëꞌ:
MAT.3.17	―Lëz̃iꞌinaꞌ ni, nedyëꞌëdaꞌbiꞌ. Redaohuedaꞌ zuaꞌ gusto conlë lëbiꞌ.
MAT.4.1	Naꞌra guca dza uquiëꞌ Bichi Be quie Diuzi Jesús lao lato dachi ga bidyia yuꞌu. Naꞌ lao lato naꞌ bdyinrë xanꞌ taxiꞌibiꞌ guꞌunna iquixi Jesús huenëꞌ tamala.
MAT.4.2	Lëganꞌ naꞌ begaꞌn Jesús chopa galo dza len chopa galo yela, biudaohuëꞌ. Bëꞌ guca lao chopa galo dza, naꞌ uduenëꞌ. 
MAT.4.3	Naꞌra ubigaꞌ xanꞌ taxiꞌibiꞌ ganꞌ zë Jesús rëbina lënëꞌ:
MAT.4.3	―Chi nacoꞌ z̃iꞌi Diuzi, bë mandado iyaca yo niga yëta xtila.
MAT.4.4	Naꞌra una Jesús rëbinëꞌ taxiꞌibiꞌ:
MAT.4.4	―Lëꞌë guichi laꞌiya quie Diuzi nan ca niga: “Quele tuzi yelaꞌ huao gaoro yeziꞌro fuerza, denꞌ lëscanꞌ ruen dyiabëꞌ hue quiero ca na Diuzi ta yeziꞌro fuerza.”
MAT.4.5	Naꞌra uquiëꞌ taxiꞌibiꞌ Jesús lao yedyi laꞌiya Jerusalén. Naꞌra pcuëna lënëꞌ guicho idaoꞌ rnabëꞌra. 
MAT.4.6	Naꞌ rëbinan lënëꞌ:
MAT.4.6	―Chi tali nacoꞌ z̃iꞌi Diuzi, uquino cuinloꞌ guicho idaoꞌ. Bibi ziꞌ gaqueloꞌ, como danꞌ na guichi laꞌiya quie Diuzi ca niga:
MAT.4.6	Iseꞌelaꞌ Diuzi yaca ángel quienëꞌ ta gapajëꞌ luëꞌ.
MAT.4.6	Huidajëꞌ idehuia inaꞌjëꞌ luëꞌ cuenda ni lëꞌëtiꞌ bigacoꞌ ziꞌ chanꞌ naꞌ ga reꞌ yo.
MAT.4.7	Naꞌra una Jesús gudyinëꞌ xanꞌ taxiꞌibiꞌ:
MAT.4.7	―Lëzi narë lëꞌë guichi laꞌiya quie Diuzi: “Bihuenële Diuzi bizinaquezi chi uzunëꞌ diꞌidzaꞌ cabëꞌ unëꞌ, chi biuzunëꞌ diꞌidzaꞌ cabëꞌ unëꞌ.”
MAT.4.8	Tatula uquiëꞌcazi taxiꞌibiꞌ lënëꞌ lao yaꞌa sibi gula. Bluꞌenan lënëꞌ duz̃ete yedyi de lao yedyi layu. Bluꞌenan lënëꞌ cabëꞌ naca yelaꞌ z̃e quien. 
MAT.4.9	Naꞌra una xanꞌ taxiꞌibiꞌ rëbin lënëꞌ:
MAT.4.9	―Duz̃eten gunaꞌ quioꞌ chi quitzoꞌ z̃iboꞌ tzionlaꞌadyoꞌ nëꞌëdiꞌ.
MAT.4.10	Canaꞌra una Jesús rëbinëꞌ lënan:
MAT.4.10	―Beyo, Satanás, porque lëꞌë guichi laꞌiya quie Diuzi nan caniga: “Tzionlaꞌadyiꞌro tuzi Diuzi quiero. Tuzi lëbëꞌ huero ca mandado ruenëꞌ quiero.”
MAT.4.11	Naꞌra zeyo taxiꞌibiꞌ ganꞌ zë Jesús. Naꞌ lazaꞌte ja ángel, gucalëjëꞌ lëbëꞌ ta yeziꞌnëꞌ fuerza.
MAT.4.12	Cati unezi Jesús de Juan luꞌu dyiguiba, bebiꞌnëꞌ zeyoguëꞌ yu nebaba Galilea. 
MAT.4.13	Pero bibegaꞌnnëꞌ yedyi Nazaret, uyoguëꞌ yesunëꞌ yedyi lao Capernaum ga reꞌ ruꞌa lagun ga naca bezaꞌ quie yu nebaba Zabulón len yu nebaba Neftalí. 
MAT.4.14	Canaꞌ guca ta bzu diꞌidzaꞌ quie Diuzi bzu profeta Isaías lëꞌë guichi tiempote. Cani rnën:
MAT.4.15	Lao yu nebaba Zabulón len yu nebaba Neftalí, ga de neza zion ruꞌa lagun itzalaꞌ yao Jordán, ga reꞌ yu nebaba Galilea, lao yu naꞌ nitaꞌ benꞌ binaca benꞌ Israel.
MAT.4.16	Lëja benꞌ naꞌ rdajëꞌ lao lato lao chula, pero aoseꞌelaꞌ Diuzi benꞌ gacalë lëjëꞌ cabëꞌ racalë xniꞌ guiꞌ lëjëꞌ ta ilëꞌëjëꞌ ga naca chula.
MAT.4.16	Lëja benꞌ naꞌ rdajëꞌ lao lato lao chula, pero useꞌelaꞌ Diuzi benꞌ gacalë lëjëꞌ cabëꞌ racalë xniꞌ guiꞌ lëjëꞌ ta ilëꞌëjëꞌ ga naca chula.
MAT.4.17	Caora naꞌ uzulao Jesús udixogueꞌnëꞌ benëꞌ xtiꞌidzaꞌ Diuzi unëꞌ:
MAT.4.17	―Reyaꞌalaꞌ utzaꞌle pensari quiele, porque baruen bago dza inabëꞌ Diuzi lao yedyi layu.
MAT.4.18	Zio Jesús yuꞌunëꞌ neza zacaꞌ ruꞌa lagun Galilea. Naꞌ blëꞌënëꞌ chopa benꞌ rze bela. Tunëꞌ laonëꞌ Simón, benꞌ laorë Pedro. Naꞌ itunëꞌ laonëꞌ Andrés. Naca Andrés bichi Simón. Naꞌ yuꞌujëꞌ rulëtojëꞌ yëxo luꞌu nisa. 
MAT.4.19	Naꞌra una Jesús gudyinëꞌ leyaquëꞌ:
MAT.4.19	―Ulenao nëꞌëdiꞌ. Cabëꞌ ruele cuiole bela yuꞌu luꞌu nisa, canaꞌ uluꞌenaꞌ leꞌe cuiole benꞌ nao xneza Diuzi.
MAT.4.20	Laohue naꞌtezi lapsantejëꞌ yëxo quiejëꞌ ziolëjëꞌ Jesús.
MAT.4.21	Lëꞌëtiꞌzi ude Jesús zioguëꞌ mazara cati blëꞌënëꞌ ichopa ja benëꞌ naca bichëꞌ. Tunëꞌ laonëꞌ Santiago, itunëꞌ laonëꞌ Juan. Nacayaquëꞌ z̃iꞌi Zebedeo. Yuꞌujëꞌ lao barco len xuzijëꞌ rudaꞌjëꞌ yëxo quiejëꞌ. Naꞌra blidza Jesús lëjëꞌ ta unaojëꞌ lëbëꞌ. 
MAT.4.22	Naꞌra lapsanrëtejëꞌ barco len xuzijëꞌ ziolëjëꞌ Jesús.
MAT.4.23	Zio Jesús yugulu yedyi nebaba Galilea. Ruzioñeꞌenëꞌ benëꞌ luꞌu idaoꞌ quiejëꞌ laonan sinagoga tu tu yedyi ga rdenëꞌ. Udixogueꞌ Jesús ca naca tahuen quie xtiꞌidzaꞌ Diuzi baruen bagozi dza inabëꞌ Diuzi yedyi layu. Lëscanꞌ beyue Jesús yugulu cueꞌ yelaꞌ hueꞌ yuꞌu ja benëꞌ. 
MAT.4.24	Nezijëꞌ quie Jesús yugulu benꞌ nitaꞌ yedyi nebaba Siria. Naꞌ uquiëꞌjëꞌ yaca benꞌ redzagalaoja bitezi yelaꞌ hueꞌ, len benꞌ yuꞌu ja taxiꞌibiꞌ, len benꞌ raca z̃uguti, len benꞌ naz̃i. Naꞌra beyue Jesús lëjëꞌ. 
MAT.4.25	Zë ja benꞌ unao Jesús. Unao benꞌ yedyi nebaba Galilea, len benꞌ yedyi nebaba Decápolis, len benꞌ ciudad Jerusalén, len benꞌ yedyi nebaba Judea, len benꞌ nitaꞌ yedyi reꞌ itzalaꞌ yao Jordán. Tu canaꞌ ja yedyi udaojëꞌ lënëꞌ.
MAT.5.1	Cati blëꞌë Jesús babeguꞌudiꞌ benꞌ zë, naꞌra urënëꞌ tu lao yaꞌa ureꞌnëꞌ. Naꞌra beyëcho ja benꞌ quienëꞌ lënëꞌ. 
MAT.5.2	Canaꞌ uzulao Jesús ruzioñeꞌenëꞌ lëjëꞌ.
MAT.5.2	Naꞌ una Jesús:
MAT.5.3	―Yedaohue nu yaca benꞌ raca yëchiꞌ ca naca dulaꞌ xquia quie, danꞌ naque quiejëꞌ ga rnabëꞌ Diuzi. 
MAT.5.4	Yedaohue nu yaca benꞌ raque bayëchiꞌ quie dulaꞌ xquia ta raca lao yedyi layu, danꞌ yeyuez̃elaꞌadyiꞌ Diuzi lëjëꞌ.
MAT.5.5	’Yedaohue nu yaca benꞌ gaxo, danꞌ gaque quieyaquëꞌ layu ganꞌ una Diuzi hueꞌnëꞌ lëjëꞌ.
MAT.5.6	’Yedaohue nu yaca benꞌ reꞌen inao xneza Diuzi cabëꞌ reꞌen gao yoꞌo nu benꞌ rdue rbili, danꞌ Diuzicazi gacalënëꞌ lëjëꞌ ta inaoyaquëꞌ xnezëꞌ.
MAT.5.7	’Yedaohue nu yaca benꞌ reyëchiꞌlaꞌadyiꞌ benꞌ tula, danꞌ yeyëchiꞌlaꞌadyiꞌ Diuzi lëjëꞌ.
MAT.5.8	’Yedaohue nu yaca benꞌ anaca yëri laxtaꞌohue, danꞌ hualëꞌëyaquëꞌ Diuzi.
MAT.5.9	’Yedaohue nu yaca benꞌ rue dyiabëꞌ cueꞌ chizi laxtaꞌo benëꞌ, danꞌ huëbi Diuzi leyaquëꞌ: “Z̃iꞌinaꞌ leꞌe.”
MAT.5.10	’Yedaohue nu yaca benꞌ racatzegue tamala quie por nun quie ruejëꞌ ca reꞌen Diuzi, danꞌ naque quiejëꞌ ga rnabëꞌ Diuzi.
MAT.5.11	’Yedaohuele leꞌe cati inayaꞌ benëꞌ leꞌe huenëjëꞌ leꞌe bizinaquezi, siꞌjëꞌ leꞌe yëꞌ, inëjëꞌ quiele por nun quie naole xnezaꞌ. 
MAT.5.12	Yedaohuele sule gusto como danꞌ huataꞌ tu tahuen gula quiele gun Diuzi leꞌe guibá. Yaca benꞌ profeta, benꞌ useꞌelaꞌDiuzi, bizinaquezi psacaꞌrë ja benëꞌ lëjëꞌ dza tiempote tu binenitaꞌle.
MAT.5.12	Naꞌ una Jesús:
MAT.5.13	―Ca quie nu zediꞌ naca quiele. Pero chanꞌ naꞌ abeyula zediꞌ, ¿biz̃i huero ta huen dyin tatula? Bira gueꞌennan huenan dyin. Anacan zi ta chuꞌunron ta utzutzu ulio benëꞌ len.
MAT.5.14	’Ca quie nu guiꞌ ta ilëꞌë benëꞌ ga naca chula, canaꞌ naca quiele. Tu yedyi reꞌ lao yaꞌa, bigaca igüiꞌonan ta biilëꞌëron. 
MAT.5.15	Nunu rusë guiꞌ candil uzulen ta iseniꞌna luꞌu cajón. Reyaꞌalaꞌ uzëron tu luꞌu yuꞌu ga naca sibi cuenda ilëꞌë ja yugulu benꞌ yuꞌu luꞌu yuꞌu. 
