MAT.1.2	Abalaam hako noow Isak, tonde Isak hako Yaakop, tonde Yaakop hako Yuda-so halindin, 
MAT.1.21	Tombe le gako noow moow ti, tombe gale naateey haale naambe Yesu, in dangga nambe le nôôh yite hil vêêl in silate va nipaya.”
MAT.1.22	Va pin-anju wiing-ambe Omaaho Bop-ate vakasin sen yite omaaho ti nêêl langaah-ato nôôn ak nambe, 
MAT.1.23	“Angge, vehaavu ti le noow dôôk-ambe gako noow moow ti, tombe le daateey haale naambe Emaanuel.” Yaanggilin haale naambe Anutu nando having yiiy.
MAT.1.24	Yusep neep lung la de kandi, tombe wii-having nambe sen Omaaho Bop-ate angela nêêl vuu-to, om hako vane be yuuh dando, 
MAT.1.25	lemu Yusep oo lakin yi nivasa lôôt-ambe vêêh hako noow e mem teey haale nambe Yesu.
MAT.2.1	Malia hako Yesu neep Betlehem Yudia hôôk busin sen omaaho lulemak Helot nandôô-to, tombe hil akand bop heey vu taaku me lak valup-ato be lalaam Yelusalem, tombe lalingin nambe, 
MAT.2.2	“Unoopasiv moos sen tok laam-ambe navu naatu Yuda-te omaaho lulemak-ato nando tana? Hey aahe yite matam lak valup naale taaku sen taaku me nalak nalup-ato, ondeey hey alaam in nambe gako haale jak.”
MAT.2.3	Omaaho lulemak Helot hango vakasin-anju tombe vindis-ambe ka yu-yuuh lôôt, tombe yik hil Yelusalem pin nambêênju having. 
MAT.2.4	Om Helot supin kul vaha sen datung salivangin-ato silate yêêv-aso osin tanasin danggakook-aso pin-ambe lingin sil nambe, “Anutu biing yite omaaho sen yoo holin yi vulôôt in nambe dôôvu yiiy-ato naam ond tangganaan e gako yi nanjip tana?” 
MAT.2.5	Tombe lanêêl vu nambe, “Le gako nanjip Betlehem Yudia, in omaaho ti kaavu Anutu-te vakasin neep bôôy nambe,
MAT.2.7	Helot hango lung la, tombe sim wiing vakasin la kaatokin vu hil akand bop-aso sen lalaam vu taaku me nalak nalup-ato be lalaam vu, be sim lingin sil nambe layi matam-anju nyendoos ond naangelis. 
MAT.2.8	Tombe sil lanêêl vu, le mem wiing sil lala Betlehem, de nêêl vu sil nambe, “Ham ana anjingin unoopasiv-anju nivasa lôôt, be ham naatovu ond ham anom naanêêl banye vu sa in soo anaas gako haale jak gaving.”
MAT.2.9	Lango omaaho lulemak lava lung la tonde mem lala lak, de matam sen layi vu taaku me lak valup-ato ond munggin-ambe la naale nivalok vu taaku sen unoopasiv neep-ato. 
MAT.2.10	Layi matam-ambe londpayo nivasa, de lapêêlis lôôt, 
MAT.2.11	om lalukala bayêên alo be layi unoopasiv ayuuh tangganaan Malia, tombe lato pataav baambund neep voon-ambe lako yi lak, tonde lahôôl kupak hôôk silate vaahes ti ti, gool osin haah anikanggi galovasa yuuh, be lavu vu yi. 
MAT.2.12	Tonde hôôk busin atombe layi mavin-ande Anutu vu kôôvu sil nambe me-lanaah balup vu Helot e, om laloh mopaatôôv ango be lalaah sil ambaand.
MAT.2.13	Lalaah lung la tonde Yusep yi mavin-ande Omaaho Bop-ate angela hato nêêl vu nambe, “Okandi gako unoopasiv ayuuh tangganaan-ambe maal napak-ambe maal ana Ijip, tombe maal ana mandôô-ju vêêl e, de soo naanêêl vu hong e mem, in Helot navu salo unoopasiv in nambe nyiis-ambe jimb.” 
MAT.2.14	Om Yusep kandi hako unoopasiv ayuuh tangganaan hôôk busin-ambe yaal lala Ijip. 
MAT.2.15	Yaal lala dandôô-ju de Helot yimb e mem. Ke, om Omaaho Bop-ate vakasin sen omaaho ti nêêl langaah bôôy-ato nôôn ak nambe, “Saateey noongg vu Ijip-ambe lom.”
MAT.2.16	Ke, Helot yi nambe hil akand bop-anju me-lalom lalu-vu yi le, om lak ni nambe sil tatuhin yi, om ahekalin bopaata lôôt-ambe wiing hil lala Betlehem osin taaku pin sen neep ngaahôô-to, be layiis unoopasiv-ambe layimb. Ond layiis unoopasiv moow sen me-savok ta yuuh-ato pin, in Helot aka vu busin sen hil akand bop-aso lanêêl nambe layi matam hôôk nyendoos-ato. 
MAT.2.17	Om Anutu-te vakasin sen Yelemia nêêl langaah bôôy-ato nôôn ak nambe,
MAT.2.18	nasu in noondin, tombe nimbaya nambe hil-ame bakaas vu be lopayo nivasa jak e, in noondin lala mend ma lôôt.”
MAT.2.19	Helot yimb lung la, le mem Yusep yi mavin vu Ijip-ande Omaaho Bop-ate angela hato vu 
MAT.2.20	be nêêl nambe, “Okandi jak-ambe onggako unoopasiv ayuuh tangganaan-ambe maal anaah Islel-ate taaku, in hil sen dawiingin nambe lanyiis unoopasiv-ato layimb lung la.” 
MAT.2.21	Tombe Yusep kandi hako unoopasiv ayuuh tangganaan-ambe yaal lalaah Islel-ate taaku, 
MAT.2.22	lemu hango nambe Akeleas tu omaaho lulemak vu Yudia lukalaah mangganaan Helot ahembaan yesin, om yêênin nambe me-naah-anju le, tombe yi mavin ango yesin-ande Anutu taato mop vu, om yaal lala taaku Galili. 
MAT.2.23	Tombe yaal lala lalup taaku ti haale nambe Nasaalet-ambe yaal dandôô-ju, om Anutu-te vakasin sen hil lanêêl langaah bôôy-ato nôôn ak nambe, “Le daanêêl yi naambe hil Nasaalet ti.”
MAT.3.1	Tombe busin ti Jon sen nalipis hil-ato nando taaku lumbalaamb Yudia, 
MAT.3.2	tombe nanêêl tanasin nambe, “Ham anggilin ham alompayo in busin sen Anutu navu ganggin yite hil-ato laam ngaaho lak lung la.” 
MAT.3.3	Jon-anju ond yik Yesaia nêêl Anutu-te vakasin ti lak yi bôôy nambe,
MAT.3.3	“Omaaho ti nateey vu taaku lumbalaamb
MAT.3.3	nambe, ‘Ham samu Omaaho Bop-ate mop, ham galo yite mop nanjip nivalok.’”
MAT.3.5	Nandôô-ju de hil Yelusalem osin Yudia pin-ambe hil sen dando ngaaho vu bel bop Yoladan-ato pin lala vu yi. 
MAT.3.6	Lanêêl silate va nipaya langaah, tombe lipis sil hôôk bel bop Yoladan.
MAT.3.8	Om ham anggilin ham alompayo be ham ambiing va nivasa in yanjak ni naambe ham ahilin ham vasa ond mem. 
MAT.3.9	Hamambe hamate danggakook neep vu Abalaam om Anutu le ji ham nivasa? Malis. Sa naanêêl vu ham naambe Anutu lohvu nambe jêêvu tatuuh-anjo be daatu Abalaam-ate hil. 
MAT.3.10	Kôôv navu neep nandeng haah dangga lung la, om haah pin sen me-nayiis nôôn anivasaa-to ond le buv-ambe gaate jakana kin.
MAT.3.12	Puvu yite haah navu salak hôôk nama lung la in nambe japêêh kaalekaale na, le mem naasupin vanôôn nôôn dukana bayêên vanôôn-ate, tonde vanôôn naavi osin ahesa ond le basi jakana kin ti yoo monatum danggata.”
MAT.3.13	Tonde busin ti Yesu vu Galili be la vu Jon vu bel bop Yoladan in nambe Jon jipis yi, 
MAT.3.14	le Jon vu teenin yi de nêêl nambe, “Ganjipis sa ond mem nivasa, ma nambe vaati sen galaam vu saa-jo?” 
MAT.3.15	Le Yesu nêêl laah vu nambe, “Lung, hoow samu Anutu-te vakasin pin ond mem nivasa, om yik ganjipis sa.” Tombe mem liinggis in Yesu lava.
MAT.3.17	Tonde lava ti vu baandoni ond nêêl nambe, “Manyinja sa noongg-anja be sahengg having yi lôôt osin sahengg anivasa vu yi.”
MAT.4.2	Tombe Yesu me-ya vanôôn daka le, de yoo nando meep lohvu busin doo-yuuh-ande langaah doo-yuuh, tombe yimb ahe lôôt, 
MAT.4.3	tombe sim palapin vaha la nêêl vu nambe, “Naambe Anutu Noow hong ond onaanêêl-ambe tatuuh-anjo naatu vanôôn.” 
MAT.4.4	Le Yesu nêêl laah vu nambe, “Malis, in Anutu-te vakasin neep hôôk kaapiya nambe, ‘Vanôôn timu me-napuvu omaahonôôn e, nganjo vakasin pin sen Anutu nanêêl-ato ond mem napuvu omaahonôôn.’”
MAT.4.5	Tombe sim Saalang hako be yuuh lala lalup taaku vaambuung bop Yelusalem, tombe la valaah Yesu lakala naale lak Anutu-te dumb bop alu baandoni, 
MAT.4.6	de nêêl vu nambe, “Naambe Anutu Noow hong ond opasong gana kambii-ju, in Anutu-te vakasin neep hôôk kaapiya nambe, ‘Yoo le naanêêl vu yite angela-so be lanôôh hong ak sil namand de game le kaatuuh ovaham jak tatuuh e.’”
MAT.4.8	Tombe yik Saalang hako yi be yuuh lalak kandu dinaandiin ti be lala daale, le mem Saalang motaato hil pin-ate taaku vu voon osin silate va nivasa vasa vu Yesu, 
MAT.4.9	tonde nêêl vu nambe, “Naambe onggatung kaatu vu sa osin onggako sa haalengg jak ond mem sale aambu va haale haale pin-anju vu hong.” 
MAT.4.10	Le ma de Yesu nêêl vu nambe, “Saalang, gana vêêl, in Anutu-te vakasin neep hôôk kaapiya nambe, ‘Goo gatung kaatu vu gate Omaaho Bop Anutu be ganohak vu yi timu.’” 
MAT.4.11	Tombe Saalang havuuh yi de la, tonde mem angela-so lato lahôôvu Yesu.
MAT.4.13	tombe havuuh Nasaalet-ande la nando Kapenaum. Kapenaum-anju neep betum bop Galili nanyendangga vu taaku bop Sebulon ayuuh Naptaali, 
MAT.4.14	om Anutu-te vakasin sen Yesaia nêêl langaah bôôy-ato nôôn ak nambe,
MAT.4.16	ond hil sen dando hôôk mekanuu-to layi melangaah bopaata. Yik hil sen
MAT.4.16	dando hôôk taaku mekanu in nambe lanjimb-ambe lana mend namaa-to ond melangaah tok laam vu sil.”
MAT.4.18	Yesu monaloh betum Galili nanyendangga, tombe yi maayuuh hali sen omaaho paahuung dangga yuuh-ato, Simon sen danêêl haale nambe Pitaa-to ond yuuh hali Endru mondaate govak lukala betum, 
MAT.4.19	tombe nêêl vu yuuh nambe, “Manaam taamuyin sa, in saambiing-ambe muuh gako omaahonôôn naambe sen muuh nako paahuung-ato.” 
MAT.4.20	Om yik pavis atombe yuuh lavuuh yuuhate govak-ande yuuh sapa yi be yaal lala.
MAT.4.21	Vuu-ju be la daka having, tombe yik yi omaaho ti yuuh hali, Sebedi noow ayuuh Jems ayuuh hali Jon, ond yuuh dando lak kaanu having mangganaan Sebedi be sil oo mosamu silate govak, tombe Yesu teey yuuh, 
MAT.4.22	tombe yik pavis atombe yuuh lavuuh mangganaan osin kaanu de yuuh taamuyin Yesu yaal-ambe sil lala.
MAT.4.24	Tombe yite banye la lohvu taaku Silia pin, om hil anipaya pin, sil vaalu silate nilakin vaha vaha, de vaalu sen dango nivaane bopaata, tonde hil vaalu sen mamu dahôôvu sil-ato, osin hil vaalu sen baando nasi sil, de hil vaalu vahand ayuuh namand anipaya, ond lako hil-anjo pin lala vu Yesu be wiing sil anind vasa lak. 
MAT.4.25	Tombe hil vu Galili osin taaku nomaayuuh danêêl nambe Dekapolis-ato, be vu Yelusalem osin Yudia de Yoladan vaalu alo, ond sil ngeeyaata davu taamuyin Yesu.
MAT.5.1	Yesu yi de hil ngeeyaata taamuyin yi om lakala taaku kandu lu ti be la nando de yite maanggêêm-aso lala vu yi, 
MAT.5.2	tombe Yesu wiing tanasin vu sil.
MAT.5.12	de ham alompayo nivasa be ham naapêêlis, in ham e gako nyevahaan nivasa bopaata vu baandoni. Hil oo dawiing nindanjeen vu hil sen danêêl Anutu-te vakasin langaah-ato nambêênja bôôy.”
MAT.5.13	“Ham alohvu gaas in nambe ham andôôvu hil voon, lemu naambe gaas anikuuh ak ond yale aambiing vaati vu be naatu nanyêên jesin naah? Malis. Nipaya lak lung-ato, om yiiy gaate na be hil baake tatêêl. 
MAT.5.14	De ham alohvu hil voon-ate kin tumin, in bayêên bop ti nambe nanjip ak kandu lu, ond me-lohvu nambe nanjip vunin e. 
MAT.5.15	Tonde hil davu taalungg hôôk lam, ond me-datung hôôk dêêngg alo le, nganjo datung nando lak pêêt in nambe naatum ak hil pin sen dando bayêên alôô-to. 
MAT.5.16	Om hamate kin tumin naatum ak hil pin naambêênja in nambe sil lanji va nivasa sen ham nawiing-anjaato be sil gako hamate Mom sen nando baandonii-to haale jak.”
MAT.5.18	Sa naanêêl keen vu ham naambe Anutu me-le kawiiy vakasin sen neep hôôk melaalôô-juuto boow daka me nyengale daka be na menama le, nganjo yoo le nanjip naambêênjo lôôt-ambe na balup busin sen yendak osin ngaanggis na menamaa-to, de vakasin pin nôôn jak e mem. 
MAT.5.19	Om omaaho ti nambe kalêêh tanasin-anju boow daka, be taahu hil hôôk yite kalêêsin-anju be lambiing gaving, ond omaahôô-ju haale le naatu nipasiv lôôt vu hil sen Anutu nanggin sil-ato. De omaaho ti nambe samu tanasin nivasa be taahu hil hôôk in nambe sil lambiing gaving, ond omaahôô-ju haale le naatu bop vu hil sen Anutu nanggin sil-ato. 
MAT.5.20	Ke, sa naanêêl vu ham naambe ham-ame samu Anutu-te tanasin nivasa savok hil tanasin dangga osin hil Palisai-so le, ond ham-ame le andukana gaving Anutu-te hil e.”
MAT.5.22	Lemu sa naanêêl vu ham naambe omaaho ti ahekalin vu hali ond lohvu biing vakasin-ambe lambu nyevahaan vu. De naambe omaaho ti naanêêl vu hali naambe, ‘Galumkook ma,’ ond lohvu biing vakasin vu yêêv bop-aso be lambu nyevahaan vu. Tonde ti naanêêl naambe, ‘Hong baayamb ambu, gahimb lung la,’ ond lohvu jêê-na kin vu taaku nipaya be gako nyevahaan. 
MAT.5.23	Om naambe onggako gate salivangin-ambe gana baale alata in naambe onggatung, lemu gakam bu naambe halim-ate vakasin ti neep vu hong, 
MAT.5.24	ond onggavuuh gate va mando hôôk alata dangga de ganaah-ambe muuh halim samu vakasin jung na, le mem ganom gatung salivangin vu Anutu.
MAT.5.26	Sa naanêêl keen vu hong naambe game le ganom pavis e, de omandôô-ju be gambu dôôk omaahôô-jute nyevahaan lôôt-ambe jung na le mem.”
MAT.5.28	lemu sa naanêêl vu ham naambe omaaho ti yi vêêh ti be lopayo yiis yi, ond wiing baayamb vu vêêh-anju hôôk lopayo lung la. 
MAT.5.29	Naambe gamem vasa taato va nipaya vu hong-ambe gandupake, ond opasuuh-ambe onggaate na vêêl, mem ganim naavi vuuti la mema om nivasa in sil-ame gaate ganim naavi doos dokana taaku nipaya le. 
MAT.5.30	De naambe onamam vaalu vasa nôôh
MAT.5.30	va nipaya ond okatôôv-ambe onggaate na vêêl, mem ganim naavi vuuti la mema om nivasa in ganim naavi doos-ame dukana taaku nipaya le.”
MAT.5.32	Nganjo sa naanêêl vu ham naambe omaaho ti gavuuh vane na de vane me-nawiing baayamb e, ond omaahôô-ju yoo wiing-ambe vane wiing baayamb, in dangga nambe yoo havuuh-ato. De omaaho ti nambe gako vêêh sen laya havuuh-anjuuto ond omaahôô-ju wiing baayamb having.”
MAT.5.34	Nganjo sa naanêêl vu ham naambe ham-ame naanêêl naambe keen baandoni le, malis lôôt.
MAT.5.34	Ham-ame naanêêl baandoni haale in kaandu hamate vakasin e, in baandonii-ju ond Anutu nando. 
MAT.5.35	De ham-ame naanêêl ngaanggis haale in kaandu hamate vakasin e, in ngaanggis ond Anutu nalaah vaha nalakaale. De ham-ame naanêêl Yelusalem haale in kaandu hamate vakasin e, in omaaho lulemak bop-ate taakuu-ju. 
MAT.5.36	De game naanêêl lak galum in kaandu gate vakasin e, in game galohvu nambe gambiing galumvalus ti naatu nivalôôy me naatu nivaliis e. 
MAT.5.37	Nganjo ham anjiinggis naambe ‘Êê-e,’ me ham naanêêl naambe ‘Malis,’ be lung. Naambe ham oo naanêêl vakasin daka savok na ond hamate vakasin-anja laam vu Omaaho Nipaya.”
MAT.5.39	Nganjo sa naanêêl vu ham naambe omaahonôôn lambiing nipaya vu ham ond ham-ame ambiing nipaya dukanaah e. Om omaaho ti patap onggaambôôk vaalu vasa, ond ganggilin vaalu kêênj in patap gaving. 
MAT.5.40	De omaaho ti gako hong na in gambiing vakasin in nambe ombaanggo yi jak gate lolop, ond gambu vu tonde gambu tôômb vu gaving. 
MAT.5.41	De naambe omaaho ti osin haale naanêêl vu hong naambe onggako yite kupak-ambe gana mop boow ti gaving yi, ond yik onggako be mana, tonde goo balu-gana boow ango gaving yi. 
MAT.5.42	De naambe omaaho ti kataangg hong in vati ond yik gambu vu, de omaaho ti wiingin nambe gako gate vati be na vêêl e mem gako nom, ond yik game gambu teenin in yi le.”
MAT.5.44	Nganjo sale naanêêl vu ham naambe ham ahem gaving hil sen dawiing ham payaa-to, osin ham anohak na vu Anutu in bu yite samu samu vu hil sen dawiing nindanjeen vu ham-ato, 
MAT.5.45	in taato naambe hamate Mom sen nando baandonii-to noondin ham, in yik Anutu nawiing yite taaku natum ak vu hil anipaya osin hil anivasa, tonde nawiing yite luk nato vu hil anivalok osin hil anipaya. 
MAT.5.46	Naambe ham ahem oo gaving hil sen ahend naving ham-ato mu, de ham ahem-ame naving hil vaalu le, ond yik hil anipaya pin ond sil oo ahend naving silate hil va timu nambêênja, le hamambe Anutu le bu nivasa nyevahaan vu ham a? Malis lôôt. 
MAT.5.47	De naambe ham oo bakaas vu halim-aso mu, ond yik hil vaalu sen sil doosin Anutuu-to ond sil oo mondakaas having halindin va timu nambêênja, om ham awiing vaati be savok sil? Malis, 
MAT.5.48	om ham oo mando nivalok lôôt naambe sen hamate Mom nando baandoni be yoo nando nivalok lôôt-ato.”
MAT.6.2	Om gambu va in dôôvu hil sen dativak in va yuuh amêê-to ond game gako hong jak e, in hateesin ambu-so dave vuuk munggin e mem davu va vu hil hôôk dumb alo osin talind in nambe hil lanji sil-ambe gako sil haalend jak, nganjo sa naanêêl keen vu ham naambe omaahonôôn lako sil lak nivasa lung laa-ju, om me-le daatovu nyevahaan nivasa ango vu taamusin e. 
MAT.6.3	Gandôôvu hil sen dativak-ato, ond gate omaaho ti me-gango banye be gako ohaalem jak e, 
MAT.6.4	in va sen onavu de hil doosin-ato ond gate Mom nayi, om yoo le bu nyevahaan vu hong.”
MAT.6.6	Om ganohak ond gandukana gate bayêên alopayo be ombaayiiy vinavi, le mem ganohak vu gate Mom sen nando vunin-ato, in Mom nayi onalohak hôôk bayêên alôô-to tombe le bu nyevahaan vu hong. 
MAT.6.7	Ham anohak ond ham-ame anohak vakasin mali-malis naambe hil alundoos e. Sil-anju kand navu nambe daanêêl silate lohakin dinaandiin ond mem sil e gako nôôn. 
MAT.6.8	Ham-ame anohak dinaandiin naambe sil e, in ham naahen navu kataangg hamate Mom, de yoo lak va pin sen ham nativak in-ato ni lung la. 
MAT.6.9	Om ham anohak naambêênjo naambe,
MAT.6.9	‘Aamangg, hong sen onando baandoni, hil lambu vaambuung in ohaalem. 
MAT.6.10	Ganaam naatu heyate Omaaho Bop-ambe ganohvu taaku pin, de hil pin lambiing nohvu gakam nanjip voon naambe sen angela dawiing vu baandonii-to. 
MAT.6.11	Gambu vanôôn in dôôvu hey peey-anjo, 
MAT.6.12	de okawiiy heyate va nipaya na nohvu hey oo navu kawiiy hil-ate nyevahaan sen dawiing vu hey-ato nala. 
MAT.6.13	Game naanggiiy hey ana ngaaho vu palapin e, nganjo ganôôh hey vêêl in omaaho nipaya. [In goo timu nanggin va pin, tonde
MAT.6.13	niwêêk osin nikaapulis pin neep vu hong-ambe le nanjip danggata. Keen.]’
MAT.6.15	Le naambe ham-ame kawiiy omaahonôôn-ate va nipaya na le, ond hamate Mom-ame le kawiiy hamate va nipaya
MAT.6.15	na le.”
MAT.6.16	ond ham-ame mando osin ningook naambe hateesin ambu-so le. Sil dando osin nind ngook in nambe hil lanjak sil anind naambe dalakin sil in vanôôn, om sa naanêêl keen vu ham naambe omaahonôôn lako sil lak nivasa lung laa-ju, om me-le daatovu nyevahaan nivasa ango vu taamusin e. 
MAT.6.17	Le naambe ganjakin hong in vanôôn in nambe ganohak vu Anutu ond gambu dôôk galum osin ganjipis gamem, 
MAT.6.18	in nambe hil-ame lanjak ganim naambe galakin hong in vanôôn e, de Mom sen nando vunin-ato yoo le jak ganim, ond yoo le bu nyevahaan nivasa vu hong.”
MAT.6.20	Nganjo ham ambiing va nivasa mu in nambe Anutu gatung nôôn anivasa mando ganggin ham vu baandoni. Vu baandoni ond vivak osin guvin-ame le biliyak va le, de hil hôôndak-ame le landukana be langgôôndak e. 
MAT.6.21	In taaku sen gate nôôn anivasa vasa nandôô-to ond galompayo le na vu taakuu-ju.”
MAT.6.22	“Gamem kaalus ond ganim naavi-te kin tumin. Om naambe gamem kaalus anivasa ond le naatum nohvu ganim naavi pin. 
MAT.6.23	Le naambe gamem kaalus anipaya
MAT.6.23	ond ganim naavi pin e mekanu. Om naambe gate melangaah-anja mekanu dôôk, ond mekanuu-to le naatu bopaata lôôt.”
MAT.6.24	“Omaaho ti me-lohvu nambe biing kul aniwêêk vu yêêv yuuh e, in le nimbaya in ango de ahe gaving ango, om le naapuvu ango de galuuh dami vu ango. Om ham-ame alohvu nambe ham ambiing Anutu-te kul aniwêêk-ande ham ambiing kul mone niwêêk gaving e.”
MAT.6.25	de yaningg naavi ond savok tôômb. 
MAT.6.26	Ham akam bu
MAT.6.26	manak e, in manak-ame daalôôh vanôôn e, de me-dasupin vanôôn nôôn-ambe datung lakala pêêt e, ma de hamate Mom sen nando baandonii-to yoo navaat sil. De ham
MAT.6.26	ond ham haalem bop savok manak-anju om Anutu le baat ham. 
MAT.6.27	Ham ti tana lohvu nambe ka monambu be gakoseey yite busin sen mando voon-anjôôto balu-na daka gaving? Malis. 
MAT.6.28	De nambe vaati sen ham naham nalak in tôômb ayuuh amêê-to? Ham akam bu ngaaola nalup hôôk paahup alo, ond me-dawiing kul bop osin me-davu samu silate tôômb e, 
MAT.6.29	lemu sa naanêêl vu ham naambe bôôy Solomon vunak yi lak vunakin amengali-ngali pin, le yite vunakin-ame nivasa nambe sen ngaaolaa-ju le. 
MAT.6.30	Paahup sen gêên nando de jeey e hil basii-to ond Anutu yoo navunak, om yoo le ganggin ham savok paahup-anju na, le ham-ame nawii-having niwêêk e. 
MAT.6.31	Om ham-ame naham jak-ambe ham naanêêl naambe, ‘Yale angga vaati?’ me, ‘Yale naanum vaati?’ de, ‘Yale aanjop vaati?’ 
MAT.6.32	Va pin-anja hil vaalu sen sil doosin Anutuu-to ond sil oo mondawiing mend in, lemu hamate Mom vu baandoni yoo lak ham anim lung la nambe ham nativak in va nambêênja. 
MAT.6.33	Om yik ham akam oo bu sen Anutu nanggin ham-ato naamunggin, osin ham ambiing va nivalok nohvu ka ond mem va pin-anja Anutu le bu vu ham. 
MAT.6.34	Om ham-ame naham jak naambe mak nimeen vaati le naatovu ham jeey. Nganjo va sen jeey-ato ond jeey e mem ham akam bu, de busin ti ti-te nimeen ond ham oo kam bu hôôk yite busin nivalok, tombe yik lung.”
MAT.7.2	Le naambe ham navu sahi hil-ate vakasin ond yik Anutu le sahi hamate vakasin va timu. Yik Anutu le biing dukanaah vu ham naambe sen ham nawiing vu omaaho angôô-to. 
MAT.7.3	Nambe vaati onahe kaalekaale daka hôôk halim ame, de game nahe haah boow sen neep hôôk gamem e? 
MAT.7.4	Haah boow yoo neep hôôk gamem, le nambe vaati sen ganêêl vu halim nambe ‘Ombaale de sa japêêh va daka na vêêl in gamem e.’ 
MAT.7.5	Goo natee hong ak, ganôôh haah boow sen neep hôôk gamem-anjaato na vêêl e, mem gale gangge nivasa be onjapêêh kaalekaale na in halim ame. 
MAT.7.6	Ham-ame ambu Anutu-te va vaambuung vu hil sen sil lalohvu voow-ato le, de ham-ame gaate hamate vunakin anivasa sen ham naanggo lak mone bop-ato vu bik e, in sil e baake jak vahand vêêl e mem le langgilin-ambe lanja ham.”
MAT.7.8	In hil pin sen davu kataangg Anutuu-to ond sil e gako, de hil sen davu salôô-to ond le daatovu, de hil sen dayiis ak vinavii-to ond Anutu le gataahin vinavi in sil. 
MAT.7.9	De naambe ham
MAT.7.9	ti noow kataangg vanôôn vu mangganaan, ond mak mangganaan e bu tatuuh vu? Malis. 
MAT.7.10	De naambe kataangg paahuung vu mangganaan, ond mak mangganaan e bu nyêêy anipaya ti vu? Malis lôôt. 
MAT.7.11	Ham hil anipaya voon-ate, lemu ham akam navu noom-aso be ham navu va nivasa vasa vu sil, om ham anjak ni bulôôt naambe hamate Mom sen nando baandonii-to le biing va nivasa vasa vu hil sen davu kataangg vu yii-to. 
MAT.7.12	Va pin sen ham nawiingin nambe hil lambiing vu ham-ato, ond yik ham oo ambiing naambêênja vu hil, in Mose-te tanasin-ande Anutu-te vakasin sen hil danêêl langaah bôôy-ato danggakook nambêênja.”
MAT.7.13	“Ham andukana mop avi ango pasiv in nala metumin-ate. Nganjo mopaatôôv ango sen nala taaku nipayaa-to, ond tatekin-ambe neep bopaata tombe hil ngeeyaata dalukala mop-anju lôôt. 
MAT.7.14	Nganjo mop sen nala metumin-atêêto ond avi nipasiv-ande mop anipasiv having, om hil daka yuu-mu datovu be dalukala.”
MAT.7.16	Ham oo angge va sen sil dawiing-ato ond mem ham e anjak sil anind, in ganggwak-ame nayiis nôôn kopi le, de dandayin-ame nayiis nôôn bangguk e, malis. 
MAT.7.17	Haah anivasa nayiis nôôn anivasa, le haah ti nipaya lak ond nayiis nôôn anipaya. 
MAT.7.18	Haah anivasa ond me-le nyiis nôôn anipaya le, de haah anipaya ond me-le nyiis nôôn anivasa le. 
