MAT.1.1	A revereve huri retubui Jisas, netui Devet, netui Ebraham.
MAT.2.15	ko ram toga aie hi mo dadari Herot mo mate. Mo vai mwere ngaha huri ve vin vagahorongi na leo nona Huqe nge u vevea gina singoi tangaloi ligoligogi vena, “Nam warelue Netuku vonai den Ijib.”
MAT.2.16	Lune i Herot mo iloe ve ira mataisao huri na visiu rau sinae, a lolona mo gagasi u liu, ko mo hora na leo ve rain ue vagamatera maresu mwera doluegi a Betlehem ko dali na ute aiehi, a higaora gairue beno meire hi vage rau vora atagu, huri na tarogi hi ingeie u huire mataisao huri na visiu.
MAT.2.17	Mwerehi mo vagahorongi na leo noi Jeremaea a tangaloi ligoligogi vena:
MAT.2.18	“Mo rongo na dilogi a Rama,
MAT.2.18	a ngaraana ko a tangiana lawua.
MAT.2.18	I Resel mo tangihi renetune
MAT.2.18	ko he tarani tea ve ihine vin vei mesuri ginie,
MAT.2.18	a vevenagi huri renetune rau mate.”
MAT.2.19	Lune i Herot u mate beno, a engsel nona Huqe mo serelue lawe i Josev lolo boborea lune ingeie a Ijib, 
MAT.2.20	mo veve vena: “Maraga, gon lai na maresu mei retahine, gon mule taligu lo vanue Israel, huri ngerehi rau vei leo ve rain ue vagamate na maresu rau mate beno.”
MAT.2.21	Ko i Josev mo maraga, mo lai na maresu mei retahine, ko ram mule taligu lo vanue Israel. 
MAT.2.22	Nge i Josev mo rongo huri ve i Akaleas mo ratahigi Judia sesei tamana i Herot, nge mo matagu ve vin toga aiehi. Nge i God mo surie lo boborea, ko nge mo vano tuturedu lo vanue Kalili, 
MAT.2.23	ko lune nge mo dadari aiehi, nge mo toga lo togagi venue u waregi Nasaret. Mo vai mwere ngaha huri ve vin vagahorongi na leo gina singora tangaloi ligoligogi vena, “Rain warea ve ingeie ta Nasaret.”
MAT.3.1	Lo tarogi hi i Jon Garuhigogona u vonai mo tauvuigi mo toretore lo vanue vurogi a Judia, 
MAT.3.2	mo veve vena: “Nen ladowenigi, huri a Ute noi God mo kakarani vonai!”
MAT.3.3	Huri i Jon hi i Aesaea a tangaloi ligoligogi u laqagi huri vena:
MAT.3.3	“A diloi hine gatagale mo waregi
MAT.3.3	lo vanue vurogi mo veve vena:
MAT.3.3	‘Nen vagatai
MAT.3.3	na matahalai Huqe!
MAT.3.3	Nen vai vovohoigi
MAT.3.3	na turegine!’ ”
MAT.3.4	I Jon mo luqegi na vinui kamel, ko mo wasigi na vinui bulugi, mo gani na diso mena nubui bi talolo labute.
MAT.3.5	Ko ingere ta Jerusalem meire ta Judia doluegi ko ingere doluegi talo mwararai wai Jodan ram vonai lobena. 
MAT.3.6	Ko ram veve sere na bugure, ko i Jon mo garuhigogona ginire lolo wai Jodan.
MAT.3.7	I Jon mo lehire Varise meire Sadusi rau sao ram vonai huri na nona garuhigogona, mo veve lawera vena:
MAT.3.7	!Igimiu neu mwere na mwata! ?Ihine u veve lawe gimiu ve nein mwelue dena leo vevegi noi God hi vin vonai? 
MAT.3.8	Giniehi, igimiu nen vai na gineu a gigilegi huri ve neu ladowenigi. 
MAT.3.9	Nen mese lado hagegi gimiu ve nein veve lawe gimiu sibomiu vena, ‘I Ebraham i tubude.’ Huri ineu nam veve lawe gimiu vena i God vin vei lei na vatu ingere ngaha rain voragi renetui Ebraham! 
MAT.3.10	Siseri ngaha a talai u rarai beno vena tai vohogi na gai lolo vuigi. A gai ngerehi ra he wai tea vena garea vin tei vohoginire ko vin tulire talolo avi.
MAT.3.11	Ineu nam garuhigogonagi gimiu gina wai hogosie huri ve vin serelue na nomiu ladowenigi. Ihine hi vin vonai lo taguku, u lawua liu denieu; na he tatarise tea ve nain weli na nona butu. Ingeie vin garuhigogonagi gimiu gena Vui Gogona mena avi. 
MAT.3.12	Nge mo hakovi na nona gaigigi lo limana, huri ve vin gigi langa na mwasi matui. Nge vin teu na mwasigi lo nona qea, nge vin hure vohogi na rongigi lolo avi hi vin he mate lai tea.”
MAT.3.13	Lo tagugi hi i Jisas mo vonai dena Kalili mo dadari Jodan mo vano lobei Jon ve vin garuhigogona ginie. 
MAT.3.14	Nge i Jon mo gato goroe mo veve vena, “U vovohoi ve ineu nain lei na garuhigogona denigo, nge iniko gom vonai lobeku!”
MAT.3.15	I Jisas mo duvi vena, “Gon siregi vena mwerehi siseri ngaha u tatarise huri ve i gideru dori vei na gineu doluegi vin huri na taraniana noi God.” Siu i Jon mo masinge.
MAT.3.16	I Jisas u lei na garuhigogona beno, mo beno mwalue dena wai. Ko a dodo mo waga, ko ingeie mo lehi na Vui noi God mo hivo mwere na rangamea ko mo toga lo ulune. 
MAT.3.17	A dilogi mo himei dena mahava mo veve vena: “Ngaha i Netuku, a Mweratabe, ko nam leo lolo garea ginie.”
MAT.4.1	Siu a Vui Gogona mo tomuegi Jisas sulo vanue vurogi ve i Vui Esi vin keli lehie. 
MAT.4.2	Ingere he gagani tea huri na rani ngavulu gaivesi ko a bongi ngavulu gaivesi, siu mo bei mweruruhi. 
MAT.4.3	Ko a Vui Esi, mo vanai lobei Jisas mo kali lehie, mo veve vena, “Tare ve iniko i Netui God, gon veve lawe na vatu ngere ngaha ve ran dori gina bereti.” 
MAT.4.4	I Jisas mo duvi vena, “U reve beno lo Reve reve Gogona vena,
MAT.4.4	‘A tangaloi vin he mwaso lai tea gina
MAT.4.4	bereti hogosie,
MAT.4.4	nge gina leo doluegi ram mwalue
MAT.4.4	dena wuwai God hi mo veve.’ ”
MAT.4.5	Siu a Vui esi mo lai Jisas vano lo togagi venue lawua gogona Jerusalem, ko mo labetaginie lo hunei Vale Gogona, hi u eno namawe, 
MAT.4.6	Ko mo veve lawea vena, “Tare ve iniko i Netui God, gon qale hivo; vuine huri u reve beno lo Reve reve Gogona vena:
MAT.4.6	‘God vin horara
MAT.4.6	nona engsel hurigo:
MAT.4.6	Rain halovigo
MAT.4.6	hage lo limara,
MAT.4.6	vai teu gom taturegi
MAT.4.6	na karumu lo vatu.’ ”
MAT.4.7	I Jisas mo duvi vena, “U reve beno vage lo Reve reve Gogona vena, ‘Go mese kali lehi na Huqe nomu God.’ ”
MAT.4.8	Siu a Vui esi mo lai Jisas hage lo vuhungei vusi namawe mo haharagi na vanuei ratahigi doluegi talo ure ko a gareanara, 
MAT.4.9	mo veve lawea vena, “Nain bete na gineu doluegi ingere ngaha lawego, tare ve gom huduhudu goroau.”
MAT.4.10	Siu I Jisas mo duvi lawea vena, “Vano denieu, Setan! Huri u reve beno lo Reve reve Gogona vena,
MAT.4.10	‘Gon huduhudu goro na Huqe a nomu God,
MAT.4.10	ko gon vagagogona ginie hogosie.’ ”
MAT.4.11	I Siu a Vui esi mo siregi Jisas; ko ira engsel ram vonai, ram tabanagi lawea.
MAT.4.12	I Jisas mo rongo huri ve rau teu Jon beno lo valei vauveu, ingeie mo vano beragi a Kalili. 
MAT.4.13	Ko ingeie mo siregi Nasaret, mo vano mo toga a Kabeniam, lo mwararai Wai ta Kalili, lo vanuara Sebulun ko Navtali. 
MAT.4.14	Mo vai mwere ngaha huri ve vin vagahorongi na leo gina wuwai Aesaea a tangaloi ligoligogi u veve vena:
MAT.4.15	“Vanuara Sebulun, vanuara Navtali,
MAT.4.15	Mo huri mo vano tavului Jodan,
MAT.4.15	Kalili a togagi venue nora haroharo!
MAT.4.16	A sinobu ram toga lolo dodogi
MAT.4.16	ram lehi na leleo lawua!
MAT.4.16	Ko ingere ram toga lolo malumelui mateana
MAT.4.16	a leleo mo leleo haginire!”
MAT.4.17	Dena tarogi hi i Jisas mo tau vuigi mo toretore vena: “Nen ladowenigi, a vevenagi a mwasoana garaqa hi God mo ratahigi lolona mo kakarani ve na vonai!”
MAT.4.18	I Jisas mo vano lo mwararai Wai ta Kalili, mo lehi na tangaloi loli ige gairue ingere a reretehigi, Saemon, mo ware gi Bita, ko i tuana Andru, rom tuli nora gabe lolo wai. 
MAT.4.19	I Jisas mo veve lawera vena, “Nero hurieu ko ineu nain huhui gimiru neri loli na tangaloi.” 
MAT.4.20	Siserigi rom siregi na nora gabe rom hurie.
MAT.4.21	Mo dige qilodo mo lehire reretehigi gairue vage, i Jemis netui Sebedi ko i tuana Jon. Ingere vage rom toga lolo aka mei tamara Sebedi, rom vai huri na nora gabe. I Jisas mo warera; 
MAT.4.22	rom maraga siserigi dena akara ko i tamara, rom huri Jisas.
MAT.4.23	I Jisas mo dige doluegi na Kalili, mo huhui lolo nora valei soneana, mo toretore gina Roro Garea huri ve God vin voragi Ratahigi goro na tangaloi doluegi ko mo vagamwasoire ram sege gina lalangai segeana u sao. 
MAT.4.24	A rorona mo gao doluegi na vanue Siria, ko ram laire hi ram sege gina lalangai segeana wagiwegineu u sao, ko lavasigi ram a rongo gagarasi ram vonai meire lobena: lavasigi a vui esi lure, lavasigi ram matemategivule, lavasigi ira lukuluku; ko i Jisas mo vagamwasoire.
MAT.4.25	A sinobu u sao ram hurie den Kalili, dena qatui venue hangavulu, den Jerusalem, den Judia ko dena tavului Jodan.
MAT.5.1	I Jisas mo lehi na sinobu, mo hage lo vusi. Ingeie mo toga hivo aie ko ira nona rorongtagi ram vonai lobena.
MAT.5.1	Siu ingeie mo tauvuigi mo huhuire 
MAT.5.2	mo veve vena:
MAT.5.3	“Havuhevu mei rahine
MAT.5.3	ram ilo ve ram mahogi lolo lolora:
MAT.5.3	Huri a nora mwasoana garaqa
MAT.5.3	God mo ratahigi lolona.
MAT.5.4	“Havuhevu mei rahine ram tangi:
MAT.5.4	huri God vin vei mesuri ginire.
MAT.5.5	“Havuhevu mei rahine ram ladowuweu:
MAT.5.5	huri ingere ran lei hougi na ure.
MAT.5.6	“Havuhevu mei rahine ram mwaruruhi
MAT.5.6	ko ram madogu huri ve rain vei
MAT.5.6	na vataha gineu i God mo tarani:
MAT.5.6	huri ingere rain guqe.
MAT.5.7	“Havuhevu mei rahine
MAT.5.7	ram hagavi na tangaloi:
MAT.5.7	!Huri God
MAT.5.7	vin hagavire taligu!
MAT.5.8	“Havuhevu mei rahine
MAT.5.8	a taqangire u renige:
MAT.5.8	!Huri ingere rain lehi God!
MAT.5.9	Havuhevu mei rahine ram vai bulu
MAT.5.9	taligu ginire lo tamwata:
MAT.5.9	Huri God vin warera ve ire netune!
MAT.5.10	“Havuhevu mei rahine
MAT.5.10	ram vai asiesiginire a vevenagi ram vai
MAT.5.10	na gineu i God mo tarani:
MAT.5.10	Huri a nora mwasoana garaqa
MAT.5.10	God mo ratahigi lolona.
MAT.5.11	“Havuhevu mei gimiu lune ingere ram hurei gimiu ko ram vaivei gimiu ko ram veve asiesigi gimiu vurogi hurieu. 
MAT.5.12	Nen garigeri ko nen havuhevu, huri a gaitawe lawua mo eno rarai gimiu lo eulu. Huri mwerehi ingere ram vaivei ira tangaloi ligoligogi rau toga tomue den gimiu.
MAT.5.13	“Igimiu neu mwere na mavai talo ure. Nge tare ve a mavai mo voragi wai mweda, vin vei gogonaginie taligu gena hava gineu? U voragi na gineu vurogi, ram tuli vohogi ko ram vavarahie.
MAT.5.14	“Igimiu neu mwere na leleo talo ure. A togagi venue mo toga lo vusi vin he toga vunigi lei tea. 
MAT.5.15	Ihine he bule na leleo tea vena taue lo vavai laha, ingeie mo taue lo gaiturei leleo, ko mo leleohagi na sinobu doluegi lolo vale. 
MAT.5.16	Mwere hi teu a nomiu leleo na leleo lo nagora tangaloi wagineu, ve ingere rain lehi na nomiu lalakogi u garea ko rain waregi roroi Tamamiu eulu hurie.
MAT.5.17	“Gimiu ne mese lado ve ineu nau vonai ve nain vei vohogi na Leo hora noi Mosis sige a leo huhui nora tangaloi ligoligogi. Na he vonai tea ve nain vei vohoginire, nge nau vonai ve nain vagahorongi na havagineu rau laqagi. 
MAT.5.18	A hogo, nam veve lawe gimiu vena, vin dadari a mahava ko a tano roin sala, a leta gatagale sige a gigilegi leo gatagale vin he sala tea dena Leo hora, vin dadari vin vagahorongi na gineu doluegi.
MAT.5.19	Giniehi, tare ve ihine tea vin tala vohogi na Leo hora gatagale denire ngaha u biti ko vin huhui na tangaloi mwerehi, vin warea ve ingeie bitibiti geni lo mwasoana garaqa God mo ratahigi lolona. Tare ve ihine tea vin tabe na Leo hora ko vin huhui na tangaloi mwerehi, vin warea ve u lawua lo mwasoana garaqa God mo ratahigi lolona. 
MAT.5.20	Huri ineu nam veve lawe gimiu vena, tare ve gimiu nein he ronghuri tea vena liu denire huhui talo Leo hora noi Mosis meire Varise ve nein vei na gineu vatahae i God mo tarani, igimiu nein he ahu lei tea lolo mwasoana garaqa God mo ratahigi lolona.
MAT.5.21	“Igimiu neu rongo ve u veve lawera noda sinobu ta tuei redu vena, ‘Gon mese ue tangaloi, ko ingeie mo ue, u tatarise ve vin leie sulo vevegi.’ 
MAT.5.22	Nge ineu nam veve lawe gimiu vena: ihine tea mo lolo gagasigi tuana u tatarise ve vin lei nan leo vevegi; ihine tea mo veve leo asi lawe tuana sige ve i haqena ‘Reragi!’ U tatarise ve a Kansel vin veveginie, nge tare ve nem ware hine tea ve ingeie a dalo u tatarise ve nein vano lolo gagarasi ko a avi redu.
MAT.5.23	Giniehi, tare ve gom lai na nomu hogogi sulo tanoi rugurugu, ko aiehi gom lado haqe ve a gineu he vovohoi tea meigo koi tuemu, 
MAT.5.24	gon siregi na nomu hogogi na eno aiehi lo nagoi tanoi rugurugu, ko gon vano tomue, gon vai bulu garea mei tuemu; siu gobei vanai teligu, gon turegi na nomu hogogi lawe God.
MAT.5.25	“Gon bulu garea siserigi mena nomu tavului vuro lune gimiru mosigei lo turegi, nerom vano lo kot. Tare ve goin he vai te mwere ngaha, nge vin leigo vano lawe vevegi, ko i vevegi vin laigo vano lawe na bolisman, ko ingeie vin teugo lo valei vauveu. 
MAT.5.26	A hogo nam veve lawego vena, goin he mwalue lai tea vin dadari goin voli vagasigi na bugumu.
MAT.5.27	“Gimiu neu rongo ve rau veve vena, ‘Gon mese vagasile lo vavine.’ 
MAT.5.28	Nge ineu nam veve lawe gimiu vena: ihine tea mo lehi na vavine ko mo vai hurie, ingeie u vagasile beno meie lolo taqangine. 
MAT.5.29	Tare ve a matamu lo matue mo vai tatureginigo, gon dangea ko gon tuli vohoginie denigo. U garea meigo huri ve a mavusui betumu vin sala denie hi ve rain tuli vohogi na betumu doluegi lolo gagarasi redu. 
MAT.5.30	Ko tare ve a limemu lo matue mo vai tatureginigo, gon tai utue ko gon tuli vohoginie denigo. U garea meigo huri ve a mavusui betumu vin sala denie hi ve a betumu doluegi vin vano lolo gagarasi redu.
MAT.5.31	“Rau veve vena, ‘Ihine tea mo hora vohogi horana, nge vin lei lawea na revereve huri na togaana vilewahe lawea.’ 
MAT.5.32	Nge ineu nam veve lawe gimiu vena: ihine tea mo hora vohogi horana, nge i horana he vagasile tea, nge mo vaie ve vin vagasile; ko a mwera hi mo lagi meie nge mo vagasile vage.
MAT.5.33	“Gimiu neu rongo vage ve rau veve lawera ta tuei vena, ‘Gon mese haharigi mwedagi,’ nge ‘Gon vai na hava gineu na huri na nomu haharigi lawe na Huqe.’ 
MAT.5.34	Nge ineu nam veve lawe gimiu vena: nen mese haharigi vohogi; nen mese ware ingeie hi eulu, a vevenagi eulu a tanoi togatoga ratahigi noi God; 
MAT.5.35	nen mese ware na ure, a vevenagi ngehi a tanoi karune; nen mese ware na Jerusalem, a vevenagi ngehi a togagi venue nona Huqe lawua. 
MAT.5.36	Nen mese ware na qatumiu, a vevenagi ne he vai lei na vulumiu gatagale tea vena mavute sige na maeto. 
MAT.5.37	Nge a nomiu leo ve io, io, sige hatie, hatie - a hava leo vage nem veve ngehi mo vonai dena Gineu Esi.
MAT.5.38	Gimiu neu rongo ve rau veve vena, ‘Mata huri mata, ko livo huri livo.’ 
MAT.5.39	Nge ineu nam veve lawe gimiu vena: nen mese raba gineu esi gina gineu esi. Tare ve ihine mo rabago lo balahemu lo matue, gon siregi lawea ve vin rabago lo mawiri vage. 
MAT.5.40	Tare ve ihine mo laigo vano lo kot, mo tarani ve vin lei na luqemu, gon bete na gavumu vage lawea. 
MAT.5.41	Tare ve a soldia ta Rom mo garoginigo ve gon waliweli nona huri mahoi aho gatagale, gon vano meie huri mahoi aho gairue. 
MAT.5.42	Tare ve ihine mo navu na gineu denigo, gon bete lawea; tare ve ihine mo tarani vena lai gineu denigo, gon mese sigigi.
MAT.5.43	“Gimiu neu rongo ve rau veve vena, ‘Gon tabe na taguivenuemu, ko gon loloasi gina nomu tavului vuro. 
MAT.5.44	Nge ineu nam veve lawe gimiu vena: nen tabe ira nomiu tavului vuro, ko nen tataro hurire ram vai asiesigi gimiu, 
MAT.5.45	huri ve giniehi, nein voragi ira netui Tamamiu eulu; a vevenagi ingeie mo vai na nona aho mo leleo lo sinobu rau esi ko rau garea vage, ko mo bete na uhe lawe rahine rau vovohoi ko lawe rahine rahe vovohoi tea. 
MAT.5.46	Huri tare ve nem tabe irahine hogosie ram tabe gimiu, igimiu nem rarai na gaitawe huri hava gineu? Huri ira tangaloi vilevile homu vage ingere ram vai mwerehi. 
MAT.5.47	Tare ve gimiu nem lai vurugegi ira nomiu buluana hogosie, gimiu nem vai na hava gineu liu denire tangaloi wagineu? Huri ira haroharo vage ingere ram vai mwerehi. 
MAT.5.48	Nge a domimiu na garea vurugegi mwere na domi Tamamiu eulu u garea vurugegi.
MAT.6.1	“Gimiu nen leo huri nen mese vai na nomiu lalakogi garea lo nagora tangaloi ve ingere ran lehi gimiu. Tare ve gimiu nem vai mwere ngaha, nein he lai na gaitawe tea den Tamamiu eulu. 
MAT.6.2	“Lune gom bete na tabeana lawe hine tea, gon mese uvi na tavue huri ve a sinobu ran lehigo, mwere ira kaligoro ram vai lolo valei soneana ko lolo sara, huri ve a tangaloi rain geriginire hurie. A hogo, nam veve lawe gimiu vena, rau lei na nora gaitawe beno.
MAT.6.3	Nge iniko lune gom bete na tabeana lawe hine, a mawirimu na mese ilo na hava gineu a matuemu mo vaie, 
MAT.6.4	huri ve a nomu doridori garea vin toga hiligi. Ko i Tamamu, mo lehi na hava gineu gom vai hiliginie, vin teugo.
MAT.6.5	“Ko lune gimiu nem tataro, nen mese mwere ira kaligoro. Huri ngerehi ram tarani ve ran labe ram tataro lolo valei soneana ko lolo livugei sara, huri ve a tangaloi rain lehire. A hogo, nam veve lawe gimiu vena, rau lei na nora gaitawe beno.
MAT.6.6	Nge iniko lune gom tataro, gon vano lolo nomu besebese, gon gorogoro na mataivale, ko gon tataro lawe i Tamamu mo toga hiligi. Ko i Tamamu, mo lehi na hava gineu gom vai hiliginie, vin tawego.
MAT.6.7	“Lune gimiu nem tataro, nen mese gatogato qilingo, mwere ira haroharo, huri ngerehi ram lado ve i God vin rongo hurire, huri na nora leo u sao. 
MAT.6.8	Gimiu nen mese mwereire; huri i Tamamiu u ilo beno huri na hava gineu gimiu nem tarani tomue siu nem bei nevu. 
MAT.6.9	Giniehi, gimiu nen tataro mwere ngaha:
MAT.6.9	‘Mama eulu:
MAT.6.9	a henamu u gogona,
MAT.6.10	Gamai gam tarani ve a tangaloi doluegi
MAT.6.10	rain ladomava ginigo,
MAT.6.10	ko iniko goin voragi Ratahigi
MAT.6.10	nora tangaloi doluegi,
MAT.6.10	ve a tangaloi doluegi lo ureure
MAT.6.10	rain mwerehi eulu.
MAT.6.11	Lai himei gaqarigi lawe gamai
MAT.6.11	a hinaga na eno huri gaqarigi.
MAT.6.12	Gon ladovohogi na bugumai,
MAT.6.12	mwerehi igamai gam ladovohogi na bugure
MAT.6.12	hi ram vai asiesigi gamai.
MAT.6.13	Gon mese siregi gamai lolo kalikeli,
MAT.6.13	gon lai gamai den i Gineu Esi.’
MAT.6.14	“Huri tare ve gimiu nem ladovohogi na bugure tangaloi ram vai gimiu, i Tamamiu eulu vage vin ladovohogi na bugumiu. 
MAT.6.15	Nge tare ve igimiu nehe ladovohogi na bugure tangaloi tea ram vai gimiu, i Tamamiu vin he ladovohogi na bugumiu tea.
MAT.6.16	“Lune nem golo, nen mese siregi na nagomiu vena hahagavi mwere ira kaligoro; ingere ram tatavigi huri ve a tangaloi rain lehire ve ram golo. A hogo, nam veve lawe gimiu vena, rau lei na nora gaitawe beno. 
MAT.6.17	Nge iniko lune gom golo, gon solo na nagomu ko gon hibi na vulumiu, 
MAT.6.18	huri ve a tangaloi wagineu ra mese lehigo ve gom golo, nge i Tamamu hogosie mo toga hiligi. Ko i Tamana, mo lehi na havagineu gom vai hiliginie, vin tawego.
MAT.6.19	“Nen mese hogoni bubugi na nomiu lalaie lo ure ngaha, a boeboe ram ganire ko a dairegi mo vagamabobogi nire ko a tangaloi belu ram ahu ve ran balu aie. 
MAT.6.20	Nge nen hogoni bubugi na nomiu lalaie lo eulu, aiehi a boeboe rain he gani lei tea, ko a dairegi vin he vagamabobogi lei tea, ko a tangaloi belu rain he ahu lei tea ve ran balu. 
MAT.6.21	Huri lo tanogi hi a nomiu lalaie ram eno aie, a lolomu vin eno aiehi vage.
MAT.6.22	A mata a leleo huri na betugi: tare ve a matamu u garea, a betumu doluegi vin horo gina leleo; 
MAT.6.23	nge tare ve a matamu u esi, a betumu doluegi vin horo gina dodogi. Giniehi, tare ve a leleo lolo lolomu mo dodo, aiehi, mo dodo liu!
MAT.6.24	“Ihine tea vin he tabana lai tea lawe na ratahigi gairue. Huri vin vei asiesiginie tuegi ko vin tabea tuegi, vin leilei hageginie tuegi ko vin vei hivohivo ginie tuegi. Nein he tabana lai tea lawe God ko a mane vagatagale.
