MAT.1.1	Ani sén i dad dagit i gutambul Dyisas Krayst, i bel Harì Dabid, dunan i bel Abraham. 
MAT.5.5	Nun kafye i dad to fdanà i ktola, du gdawatla i ta fakang Dwata. 
MAT.5.6	Nun kafye i dad to bitil na malinum di katluh Dwata, du fabsol Dwata ale. 
MAT.5.7	Nun kafye i dad to kamdo i dademe to du lê ale man kando. 
MAT.5.8	Nun kafye i dad to tluh i nawala, du site ale i Dwata. 
MAT.5.9	Nun kafye i dad to samfye i dademe to, du matlo ale dad ngà Dwata. 
MAT.5.10	Nun kafye i dad to falnayam mdà di tluh nimòla, du gagin ale di Kagot i Dwata ditù di langit. 
MAT.5.11	Nun kafyeyu ku baling nadoy dad to gamu, na falnayamla gamu, na dnalamla gamu di kdee dad sasè nimò du mdà di ksasatuyu di do. 
MAT.5.12	Du yé nimòla di dad tugad Dwata di munan. Yé duenam man, too gamu flehew du bong lubayyu ditù di langit.
MAT.5.13	“Di kagbolyu di dad to di tah tanà, salngad gamu kahì. Bay i kahì, ku ta là mahìan, ta landè kibò lê fahì dun. Yé duenam man, fakay bat na glék i dad to.
MAT.5.14	“Na di kagbolyu di dad to di tah tanà ani, lê gamu salngad salò. Ku nun syudad di tah bulul, là ti gbunin. 
MAT.5.15	Na ku nun to mtam salò, là sa snukuban dun been. Bay kahan di gumefen du fye mite i kdee dad to. 
MAT.5.16	Na yé duenam man, tooyu fneng i salòyu di bleng i dad to, du fye teenla i dad fye nimòyu na dnayenla i Màyu ditù di langit.
MAT.5.17	“Nangyu fandam ku yé duen-gu salu dini di tah tanà ku falmogu i dad uldin Dwata fagu di ku Mosis na dad tugadan di munan. Là sa falmogu dun, bay fitegu i glut kfagu mimen dun. 
MAT.5.18	Na too glut i man-gu di gamu ani, di laman nun tanà na langit, landè ti lnius di dad uldin Dwata, balù tukay, du mti gdohò i kalbong kdee. 
MAT.5.19	Na ku simto lmafà i satu uldin Dwata, balù ku too tukay, na ku lêan tdò i dademe lmafà dun, too kenen mdanà di Kagot i Dwata ditù di langit. Bay ku simto mimen i kdee dad uldin Dwata na ku lêan tdò i dademe mimen dun, too kenen mdatah di Kagot i Dwata ditù di langit. 
MAT.5.20	Na ani man-gu di gamu, silang gamu gfusuk di Kagot Dwata ditù di langit ku midul fa i gamu katluh di katluh i dad Farisi na i dad to gal tamdò i dad uldin Dwata fagu di ku Mosis.
MAT.5.21	“Ta lingeyu sa i man Dwata di dad to di munan, ‘Nang ge manò. Ku simto manò, là fakay ku là falnayam kenen.’ 
MAT.5.22	Bay ani i man-gu di gamu. Ku simto falbut di dademe to, gablà kenen falnayam. Na ku simto talù di dademe, na manan, ‘Snawang ge,’ gablà kenen nukum i dad ganlal. Na ku simto talù di dademe to, na manan, ‘Kaldam ge lmanaf,’ gablà kenen falnayam Dwata ditù di lanaw lifoh.
MAT.5.23	“Na yé duenam man, ku gatù ge di gudamsù du nun blém di Dwata, bay nun gafaldamam salàam di dademe to, 
MAT.5.24	tnagakam déé funa i blém ayé. Gatù ge di to ayé na safye gamu klom samfulê na blém i dsùam di Dwata.
MAT.5.25	“Na ku nun to fan tmifù ge di ganlal, fye ku mlal gamu safye. Yé fye, stulen gamu di lamyu là fa gafat di gusukum tàan ge blé di to mukum, na i to mukum, faflesan ge di pulis, na i pulis tmusuk ge di blanggù. 
MAT.5.26	Na too glut i man-gu di gamu ani, ku ta yé mkel di ge, silang ge galwà di blanggù ku ta fngem bnayad i salàam.
MAT.5.27	“Ta lingeyu sa i man Dwata di dad to di munan, ‘Nang ge lmafà yaan.’ 
MAT.5.28	Bay ani i man-gu di gamu. Ku simto meye di satu libun na nibalan, salngad kenen lmafà yaan di fandaman. 
MAT.5.29	Na kaflingenta dun, ku i matam gsen di kwanan mebe ge di kagsalà, yé baling fye ku tanwilam na batam. Tumù fa ku lanah i satu alel di laweham na nun nawam landè sen, bay too ti sasè ku sikof i laweham, na baling ditù gugtadèam di lanaw lifoh. 
MAT.5.30	Na kaflingenta dun, ku i sigalam gsen di kwanan mebe ge di kagsalà, yé baling fye ku kanlangam na batam. Tumù fa ku lanah i satu alel di laweham na nun nawam landè sen, bay too sasè ku sikof i laweham, na baling ditù gugtadèam di lanaw lifoh.
MAT.5.31	“Ta lingeyu sa i galla flau, ‘Ku nè i lagi mkah yaanan, là fakay ku là blén di kenen i kalatas gugsulat gugmadè dun ta kahan.’ 
MAT.5.32	Bay ani i man-gu di gamu, ku nun lagi, kahan i yaanan, na là lmen i libun lmafà dun, gamsalà i lagi ayé di Dwata. Yé duenan gamsalà du ku lê nun lagi mwè i libun ayé yaan, ta glafà i libun ayé i muna yaanan du mdà di kakahan dun. Na i lagi mwè i libun ayé, lê kenen gamsalà.
MAT.5.33	“Ta lingeyu sa i galla flau, ‘Ku samdagè ge, toom dnohò i ta gmanam di Dwata.’ 
MAT.5.34	Bay ani i man-gu di gamu, nang gamu samdagè. Là fakay ku yé dnagityu i langit di kasdagèyu, du déé gusudeng Dwata. 
MAT.5.35	Là fakay ku yé dnagityu i tanà di kasdagèyu, du déé gumlékan. Na là fakay ku yé dnagityu Dyérusalém di kasdagèyu, du yé syudad Dwata, dunan i too mdatah Harì. 
MAT.5.36	Na là fakay ku yé dnagityu i uluyu di kasdagèyu, du là ti gaganyu fafitam ku demen fbukay i wakyu. 
MAT.5.37	Bay ku mayè gamu, yé manyu, ‘Hee,’ na ku là, yé manyu, ‘Là,’ du ku samdagè gamu, yé gumdà i tnùyu ayé di ku Satanas.
MAT.5.38	“Ta lingeyu sa i galla flau, ‘I to fatduk mata i dademe to, lê fatduk i kenen mata. Na i to falmo kifan i dademe to, lê falmo i kenen kifan.’ 
MAT.5.39	Bay ani i man-gu di gamu, nang gamu malas sasè di to mimò sasè di gamu. Bay ku nun dmafì di bali bawehyu, lêyu fdafì i balin. 
MAT.5.40	Ku nun to mebe gamu di kasfala du fye gwèan i saulyu fukal sigal, lêyu fagin blé i saulyu tahà sigal. 
MAT.5.41	Ku nun to fmeges gamu mebe i kalyakan satu kilumitru i kawagan, nebeyu dun lwe kilumitru. 
MAT.5.42	Ku nun to mni di gamu, banléyu kenen. Na fandemyu i to mayè mdem di gamu.
MAT.5.43	“Ta lingeyu sa i galla flau, ‘Kandoyu i dademeyu sgalak, na knangyu nawa i to mnang gamu nawa.’ 
MAT.5.44	Bay ani i man-gu di gamu, kandoyu i dad to mnang gamu nawa, na dnasalyu i dad to falmayam gamu. 
MAT.5.45	Ku yé nimòyu, too dilè na ngà gamu i Dwata di langit. Du i Dwata, fnengan i du na fulenan di dad to tluh na lê di dad to sasè. 
MAT.5.46	Kaflingenta dun, ku lo yé kandoyu i dad to kamdo gamu, landè lubayyu di nimòyu ayé, du balù i dad to too gamsalà gambet i dad to mwè bayad i buhis, yé kandola i dad to kamdo dale. 
MAT.5.47	Na ku lo yé dademeyu stulen i to dademeyu sgalak, landè sa gusahalan di nimò i dad to too gamsalà, du balù i dad to là gmadè i Dwata, stulen ale sa di dademela sgalak. 
MAT.5.48	Yé duenam man, too gamu fatluh du i Màyu ditù di langit too tluh.”
MAT.6.1	Na fadlug Dyisas tamdò, manan, “Ku mimò gamu i dad nimò i dad to ftoo, là fakay ku yé duenyu mimò ayé du loyu fite di dad to, du ku yé duenan, landè lubay gdawatyu mdà di Màyu di tah langit.
MAT.6.2	“Yé duenam man, ku tnabengyu i dad to landè knun, nangyu dag salngad i nimò dad to fagdag di kabléla di dad gumnè gal gustifun i dad to, na di kilil dalan. Lo yé duenla mimò dun du fye dag i dad to ale. Bay too glut i man-gu di gamu ani, ta gdawatla i kdee lubayla. 
MAT.6.3	Bay gamu, ku tnabengyu i dad to landè knun, nangyu fgadè di dademe to, balù di dademeyu sgalak, 
MAT.6.4	du fye gbuni i kabléyu. Na ku yé nimòyu, banlé Màyu gamu lubay du teenan i kdee nimòyu di gugbunin.
MAT.6.5	“Ku dmasal gamu, nangyu ganbet i dad to flingu, du ku dmasal ale, too ale mayè tadag di dad gumnè gal gustifun i dad to, na di kilil dalan du dee dad to mite dale. Na too glut i man-gu di gamu ani, ta gdawatla i kdee lubayla. 
MAT.6.6	Bay ku dmasal gamu, fusuk gamu di snifilyu, na tnakabyu, na dmasal gamu di Màyu Dwata i là teen. Na fagu déé, yé mite i nimòyu di gugbunin i Màyu, na banlén gamu lubay. 
MAT.6.7	Na ku dmasal gamu, nangyu too fdee dad talùyu gambet i dad to dmasal di ise glut dwata, du yé man nawala ku fdeela i dad talùla, toon ale falninge. 
MAT.6.8	Nangyu ale ganbet du ta sana gadè Màyu i kalnidùyu balù di lamyu là fa mni di kenen. 
MAT.6.9	Bay gambet ani i fye kdasalyu,
MAT.6.9	‘Màmi di tah i langit, kayèmi moon ku mangamfù di ge i kdee.
MAT.6.10	Na kayèmi ku ge magot i kdee, na ku gdohò i kdee knayèam dini di tah tanà salngad i kagdohòan déé di tah langit.
MAT.6.11	Blém di gami i gablà knaanmi di mdu ani.
MAT.6.12	Fnasinsyam i dad salàmi, salngad i kfasinsyami salà i dad to gamsalà di gami.
MAT.6.13	Nangam faloh di gami i dad tilew gamgebe gami di salà, bay kanlungam gami di ku Satanas, gumdà i kdee sasè.’
MAT.6.14	“Ku fnasinsyayu salà i dad to ta gamsalà di gamu, lê fnasinsya Màyu di langit i gamu salà. 
MAT.6.15	Bay ku là fnasinsyayu salà i dad to ta gamsalà di gamu, là lê fnasinsya Màyu i gamu salà.
MAT.6.16	“Na ku fwasa gamu, nangyu flidù i bawehyu gambet i dad to flingu, du yé nimòla fdilèla di bawehla na bitil ale du fye dilè i dad to ta fwasa ale. Bay too glut i man-gu di gamu ani, ta gdawatla i kdee lubayla. 
MAT.6.17	Bay ku fwasa ge, samwat ge na flauf ge, 
MAT.6.18	du fye là dilè i dad to i kafwasam. Na ku yé nimòam, lo yé gmadè i kafwasam i Màam dunan Dwata là teen. Na yé duenam man, banlén ge lubay du teenan i kdee dad nimòam di gugbunin.
MAT.6.19	“Nang gamu samtifun knun dini di tah tanà, du falmo i kanok na tnéé na tnaku i dad to. 
MAT.6.20	Bay yé fye gusamtifunyu knun ditù di tah langit du ditù landè kanok falmo dun, na là tnéén, na landè to gfusuk ku tmaku dun. 
MAT.6.21	Yé fye nimòyu du ku nè gusamtifunyu i knunyu, yé gal gumnè i fandamyu.
MAT.6.22	I matam, yé gambet salò di laweham. Ku mtiu i keyem, fakayta man na langub lwa i kabal laweham. 
MAT.6.23	Bay ku sasè i keyem, fakayta man na langub kmifuh i kabal laweham. Yé duenam man, ku ta kmifuh i salò mnè di nawam, ta too ti sasè kakifuhan.
MAT.6.24	“Landè kibò fafasak di lwe amu, du magfeges kenen malék ku simto di dale i nutehan nawa na i kanbongan nawa, satu di dale nimenan na satu i dnuenan. Landè kibòyu fafasak di Dwata, na lê man di knun.
MAT.6.25	“Yé duenam man, ani man-gu di gamu, nang gamu mlidù gablà di knèyu dini di tah tanà na i knaanyu na i ninumyu dini. Na nang gamu mlidù gablà di lawehyu na di klaweh lsakyu. Du ku fandamyu dad kalnidùyu di knèyu di tah tanà, nun sa too mabtas fa di knaan. Na ku fandamyu i kdee dad kalnidùyu di laweh, nun sa too mabtas fa di klaweh lsakyu. 
MAT.6.26	Fandamyu dad anuk mayeng. Là sa mlah ale, na là kamtu ale, na landè fol galla gusamtifun i ulê dad flahla. Bay yé famkaan dale dunan i Màyu di langit. Na gamu too mabtas fa di dad anuk. 
MAT.6.27	Là ti gaganyu tmugad i lawilyu di tah tanà ani, balù lo sudaf klon fagu di kafdamyu i dad kalnidùyu. 
MAT.6.28	Na nang gamu mlidù gablà di dad klawehyu. Fandamyu dad bulek tmabò di lam bnas. Là talbahò ale, na là mimò ale falnas fye nun klawehla. 
MAT.6.29	Bay ani man-gu di gamu, balù Harì Solomon di kafye knèan, landè klawehan salngad di kafye baweh i satu bulek. 
MAT.6.30	Ani kagkah i bulek. Di mdu ani, too fye kbelan, bay fayah ta mlanas na fakay ntam. Na ku nifat Dwata dad bulek i là too mabtas, midul déé fa i kablén gamu klaweh. Tay, too kulang i ksaligyu. 
MAT.6.31	Na yé duenam man, nang gamu mlidù gablà di knaanyu, ku demen i ninumyu, na i klawehyu. 
MAT.6.32	Du i dad to là ftoo di Dwata, yé sén i fandamla dale, bay ta sana gadè i Màyu na yé kalnidùyu. 
MAT.6.33	Bay ani fye nimòyu. Funayu fnè di nawayu i Kagot Dwata na i katluhan, na blén di gamu i kdee kalnidùyu. 
MAT.6.34	Na yé duenam man, nang gamu flidù gablà di du fayah, du dee i dad klidùyu di mdu ani. Silangyu fandam i dad klidùyu ku ta kel.”
MAT.7.1	Na fadlug Dyisas tamdò, manan, “Nangyu nukum i dademe to du fye là nukum Dwata gamu. 
