MAT.1.1	Yayto i ginikanan-na si Jesu-Kristo, i Dadi'-na si David pati' si Abraham:
MAT.2.6	Bisan ka'am magpangistar si Betlehem, Judea,
MAT.2.6	ma'in ka'am i pinakaminos pamilya magpamuno' si Juda,
MAT.2.6	kay aniya' puno' paluwa' anan si ka'am
MAT.2.6	nga turu'inan-ko mangngataman si mga a'a-ko nga mga ka'uru'ampuhan-na si Israel.”
MAT.2.7	Sanglit agpaban'u-na sikrito si Herodes i mga mata'o a'a ngan sakatu'anan-na tikang si mga iya i iksakto uras pagpakulaw-na si bitu'on. 
MAT.2.8	Katapos, agpapada'iray-na mga iya si Betlehem ngan agtugunan-na, “Pada'iraya na kam ngan anda'u-bi pahalap i dadi' ngan kon sa'anda'an-bi pakatu'anu-bi ako basi' pada'iray may ako pagbuwan katalahuran si iya.”
MAT.2.9	Pakabati'-na mga iya si tugun-na si hadi', pamalangngan dayon. Ngan pagparalangngan-na na mga iya, pakulaw gihapon i sakulawan-na mga iya bitu'on si sirangan ngan agdahulo si mga iya tubtob nga anyungod si nag'istaran-na si dadi'. 
MAT.2.10	Bali kalipay-na mga iya si pakakulaw-na mga iya si bitu'on. 
MAT.2.11	Panakka-na mga iya si lugar, pasallod mga iya si ruma' ngan sakulawan-na i dadi' huwang si nanay-na Maria. Anluhod mga iya ngan agpangampo' ari si dadi'. Ag'abrihan-na mga iya i mga binawa-na rigalo ngan agpahalad mga iya mga bulawan, insinso, pati' mirra. 
MAT.2.12	Katapos, agpa'upi-na mga iya si Diyos ngan agpanugunan-na nga ga'i na pahapit ari si Herodes. Sanglit, ag'agi na hamok mga iya si la'in lalan si pagpamalik-na mga iya si mga kalugaringun-na nasyon.
MAT.2.13	Pakataliwan-na si mga mata'o a'a, agpakulaw i anghel-na si Paragdalom ari si upi-na si Jose. Agpinugad-na iya si anghel, “Banguna ngan ibakwitin i dadi' hasta i nanay-na pan Ehipto, kay tig'anda'-nay nan dadi' si Herodes ngan maratayun-na. Ari kam dahulo ag'istar ngan dakam pa'amban ari hasta nga ga'i kam pinugad-ko.”
MAT.2.14	Pabangon si Jose, ngan ag'ibakwitan-na i dadi' huwang i nanay pan Ehipto. 
MAT.2.15	Ag'istar mga iya ari tubtob si pakamatay-na si Herodes. Ahinabo' nan pagtuman si nagpinugad-na si Paragdalom pina'agi si paragsumat-na siray, “Ban'u-ko i dadi'-ko paggawas ari si Ehipto.”
MAT.2.16	Pakasabut-na si Herodes nga salabawan-na iya si kalistuhan-na si mga mata'o a'a, bali i kasina-na ngan agmando' iya diritso pagpanmatay si dimu'an mga kadadi'-dadi'an lalla si Betlehem tikang si dos anyos pan hawod, sigon si uras nga sakatu'anan-na tikang si mga mata'o a'a. 
MAT.2.17	Pina'agi sinan hinabo' atuman i mga allingun-na si paragsumat Jeremias nga agpinugad:
MAT.2.18	Aniya' kinabati'an mga busis ari si Rama
MAT.2.18	nga bali pandinamag pati' bali i mga kabidu'an-na.
MAT.2.18	Sigi dinamag si Raquel para si mga dadi'-na
MAT.2.18	ngan andiri' kon nagli'aw iya,
MAT.2.18	tungod kay agkamaratay na mga iya dimu'an.
MAT.2.19	Ngan pakamatay-na si Herodes, aniya' upi-na si Jose ngan ari iya si Ehipto. Paluwa' gihapon i anghel-na si Paragdalom, 
MAT.2.20	ngan aminugad, “Iya nayto i uras nga pwidi na sabalikan-mo i dadi' huwang i nanay-na pan Israel kay minatay na i mag'imamatay si dadi'.”
MAT.2.21	Sanglit, pabangon si Jose ngan bawa-na i dadi' huwang i nanay-na pagbalik pan Israel. 
MAT.2.22	Pero akabati' si Jose nga i manalli' hadi', iya si Arkilas, i dadi'-na si Herodes, sanglit atalaw iya pada'iray. Ngan tungod kay nagwaydungan iya si upi, agdiritso mga iya si Nasaret, nga baryo si prubinsya Galilea, 
MAT.2.23	ngan ari na mga iya ag'istar. Tungod sinan atuman i nagpinugad-na si mga paragsumat-na si Diyos: “Ararunan iya Nasareno.”
MAT.3.1	Siray panahon paluwa' si Juan Paragbunyag si Disyirtu-na si Judea ngan agparawali, 
MAT.3.2	“Agbasula kam huwang si pagbag'o, kay matapit na gayod i paghadi'-na si man langit.” 
MAT.3.3	Iya i a'a nagtukuy-na si paragsumat Isaias:
MAT.3.3	Aniya' addangan ari si disyirto nga agparapasamwak,
MAT.3.3	“Hawani-bi i aragihan-na si Paragdalom;
MAT.3.3	tadungu-bi i lalan ralangnganan-na.”
MAT.3.4	Agbado' si Juan si hiniro hinimo tikang si barahibu-na si kamel ngan agpaha iya tikang si anit-na si hayop. I kinakan-na duron pati' anira'. 
MAT.3.5	Nagdayo iya si mga a'a nga tikang si Jerusalem pati' si kaburubungtuhan si Judea hasta si dimu'an lugar matapit si Suba' Jordan. 
MAT.3.6	Kahuman si pagparapangumpisal-na mga iya, agbunyagan-na
MAT.3.7	Pero si pakakulaw-na si Juan nga padugok i mga Parisiyo pati' Sadusiyo ari si nagparabunyagan-na, agpangisugan-na mga iya, “Mga alisto kam gayod pagpamakunu-kuno! Say i magsumat si ka'am nga agpakalikay kam si titakka kastigu-na si Diyos kon agpamabunyag kam? 
MAT.3.8	Agpakulawa kam dahulo pina'agi si mga buhat-bi nga agpamasol kam huwang si pagbag'o. 
MAT.3.9	Ma'in nga agpanarig na kam hamok si mga kalugaringun-bi pagpinugad, ‘Tatay kami' may si Abraham.’ Kay sumatan-ta kam, bisan tikang sito mga kababatuhan akahimo i Diyos mga dadi' para si Abraham. 
MAT.3.10	Kay i kastigu-na akapariho si hatsa nga agpabantay-na andang si pu'un-na si mga kakayuhan, ngan bisan ay kayuha nga ga'i agbuwa' mahalap, tinabbong ngan pinabar'og.
MAT.3.11	“Parti hamok si buwahi' i pagbunyag-ko si ka'am, pagpakulaw nga agpamasol na kam huwang si pagbag'o. Pero kahuman si ako, aniya' mabantog nga mas labaw pa i gahum-na. Ma'in ngani' ako angay bisan pagbitbit hamok si sapatus-na. Burunyagan-na i ditangnga' si mga a'a pagpa'ayop si Espirito Santo,
MAT.3.12	Aniya' andang nag'antanan-na tapan basi' sahimaliran-na i mga gini'ok ngan salalin-na ari si kamalig-na, pero papabar'ugon i mga babang si gana' kapaparungun-na api.”
MAT.3.13	Sinan mga uras, anakka si Jesus ari si Suba' Jordan nga man Galilea basi' akapabunyag iya si Juan. 
MAT.3.14	Pero agla'in-na kunta' dina si Juan i planu-na si pagpinugad, “Ako dina i magkinahanglan si titakka pagbunyag-mo. Ay kay ka'aw dina i padugok si ako.”
MAT.3.15	Anaruman si Jesus, “Pata'anin to hamok ina'anto kay angay gayod nga satuman-ta i dimu'an nagkinahanglan-na si Diyos.” Sanglit, angabuyon si Juan.
MAT.3.16	Ngan akabunyagan na si Jesus, patukal iya si buwahi'. Hintak angabri i langit ngan sakulawan-na i Espiritu-na si Diyos nga pan hawod pada'iray si iya pariho si adda sarampati. 
MAT.3.17	Aniya' liwat kinabati'an busis tikang si langit nga agpinugad, “Iyay nan i Dadi'-ko
MAT.4.1	Mangno aggiyahan-na si Jesus si Espirito kon singnga iya pa'arop ari si disyirto ngan ari iya agparatintar-na si Satanas. 
MAT.4.2	Kahuman si kwarinta diyas pagpu'asa-na allaw sangom, angabat iya kalingantuhan. 
MAT.4.3	Padugok si iya i paratintar ngan aminugad, “Kon ungod kaw Dadi'-na si Diyos, tighimu'on daw mga batoy to, mga pan.”
MAT.4.4	Anaruman si Jesus, “Yayto i maka'anna' si Kasuratan: ‘Ga'i a'allom i a'a si kinakan hamok, kundi' sa'angkun-na i ungod kinabuhi' si kada allingon nga tikang si Diyos.’
MAT.4.5	Mangno, agbawa-na namay iya si Satanas pada'iray si sagrado syudad ngan agpatunggu-na iya si pinakamadyalta binubungan-na si templo. 
MAT.4.6	Aminugad si Satanas, “Kon ungod kaw Dadi'-na si Diyos, paluksuha daw, kay aka'anna' may si Kasuratan:
MAT.4.6	Lihug-na i mga anghel-na pagpanginano si ka'aw,
MAT.4.6	ngan mga iya i manarag si ka'aw,
MAT.4.6	basi' ga'i akadabal si bato bisan i kitid-mo.”
MAT.4.7	Anaruman si Jesus, “Aka'anna' liwat si Kasuratan: ‘Dakam agpurbari-bi pagpirit i Paragdalom Diyus-bi nga sakulawan-bi i pagkadiyus-na.’
MAT.4.8	Kahuman sinan, agbawa-na namay iya si Satanas pada'iray si adda madyalta gayod bukid ngan agpakulaw-na iya si dimu'an mga ginhadi'an si kalibutan huwang i mga makawiwili kahalapan-na. 
MAT.4.9	Agpinugad-na iya, “Pumwan-koy nan si ka'aw dimu'an kon anluhod kaw ngan angampo' si ako.”
MAT.4.10	Anaruman may si Jesus, “Pabulaga si ako Satanas! Kay yayto i maka'anna' si Kasuratan: ‘Ampu'in i Paragdalom Diyus-bi, ngan iya hamok i sinirbihan-bi.’
MAT.4.11	Mangno ag'ambanan-na iya si Satanas ngan pamadugok i mga anghel magpara'ataman si iya.
MAT.4.12	Ngan pakabati'-na si Jesus nga nagpriso si Juan, agbalik iya si Galilea. 
MAT.4.13	Pa'amban iya si baryo Nasaret, ngan palalin iya ag'istar ari si Capernaum. Yayto syudad awinan si bihing-na si Danaw Galilea, si pitak nga sakup-na si Sabulon pati' Neftali. 
MAT.4.14	Ahinabo' nan basi' atuman i nagsurat-na si paragsumat Isaias:
MAT.4.15	Aniya' mga taga sunsari'i si dati Sabulon pati' Neftali,
MAT.4.15	i Galilea na ina'anto, nga urog i mga ma'in Hebro i magpangistar,
MAT.4.15	kon singnga aka'anna' i pangngagihan si ligirun-na si danaw pati' si Suba' Jordan.
MAT.4.16	Agpakakulaw to mga a'a nga malu'om i mga kinabuhi'-na si makagagahom danta',
MAT.4.16	ngan agpakasirakan i mga magpakayungod si landung-na si kamatayon.
MAT.4.17	Tikang sinan uras, agtikang si Jesus pagpasamwak, “Agbasula kam huwang si pagbag'o, kay matapit na gayod i paghadi'-na si man langit.”
MAT.4.18	Ngan pagparalalangngan-na si Jesus si bihing-na si Danaw Galilea, sakulawan-na i duwangan magdingsirarihan, si Simon nga kilala liwat si aron Pedro, pati' si Andres. Agtaktak-na mga iya i pukut-na siray uras kay pandaying may i mga paka'allum-na. 
MAT.4.19	Agban'u-na mga iya si Jesus, “Tuwa kam, amaya'a kam ngan agsunura kam si ako basi' sapabawa-ko kam malabbat a'a pagtapod si Diyos pariho si kalabbat-na si daying nga sabawa-na si pukut-bi nan.” 
MAT.4.20	Mangno, aglabbahan-na dayon mga iya i mga pukut-na ngan amaya' si Jesus. 
MAT.4.21	Ngan pira pa hamok i mga pitad-na, aniya' duwangan pa magdingsirarihan sakulawan-na si Jesus, nga kas Santiago pati' Juan, nga mga dadi'-na si Sebedeo. Agparaladlad-na mga iya i mga pukut-na ari si paraw, huwang i tatay-na mga iya. Agban'u-na mga iya si Jesus 
MAT.4.22	ngan diritso ag'ambanan-na mga iya i sakayan-na, hasta liwat i mga tatay-na, ngan amaya' mga iya si Jesus.
MAT.4.23	Aglibut-na si Jesus i bug'os Galilea ngan agparaturo' si mga sinaguga. Agparapasamwak-na i mahalap sumat kon pinapa'i i a'a akasakop si nagpanhadi'an-na si man langit ngan sigi pamulong si mga a'a nga mga binati'on pati' mga maburong. 
MAT.4.24	Abantog dayon i mahi'unong si iya si bug'os prubinsya Siria, sanglit agpamawa-na si mga a'a i dimu'an magpangabat si pala'in-la'in binati', i mga mapaddi puhu'-na, i mga nagparapamawa-bawa si mara'at espirito, i mga buntugon pati' i mga irapa ngan intiro mga iya agbulung-na. 
MAT.4.25	Bali labbat i mamungyod si iya nga mga taga Galilea, mga magpangistar si lugar nag'arunan Awatong Syudad, mga taga Jerusalem, mga taga Judea hasta i magpangistar si dambila'-na si Suba' Jordan.
MAT.5.1	Pakakulaw-na si Jesus si magpanggubok, pasagka dina iya pan tagudtod, ngan anlumpagi'. Padugok si iya i mga inadalan-na 
MAT.5.2	ngan agpanuru'an-na si pagpinugad:
MAT.5.3	“Mga malipayon i mga ga'i magpanapod si mga kalugaringun-na,
MAT.5.3	kay mga iya i magpakasakop si mga nagpanhadi'an-na si man langit.
MAT.5.4	Mga malipayon i mga masurub'on,
MAT.5.4	kay mga iya i mga rili'awon.
MAT.5.5	Mga malipayon i mga mapa'inubsanon
MAT.5.5	kay mga iya i papa'iridaron si kalibutan.
MAT.5.6	Mga malipayon i mga linganto ngan mga uhaw si pagkamatadong,
MAT.5.6	kay mga iya i papagustuhan.
MAT.5.7	Mga malipayon i mga maluluy'on,
MAT.5.7	kay mga iya i magpakakarawat si kalu'oy.
MAT.5.8	Mga malipayon i mga gana' la'in tinago' si kasing-kasing-na,
MAT.5.8	kay mga iya i magpaka'abat si paghuwang-na si Diyos tubtob nga sakulawan-nay to mga iya.
MAT.5.9	Mga malipayon i mga masinagdunon,
MAT.5.9	kay mga iya i nagkwinta-na si Diyos nga mga dadi'-na.
MAT.5.10	Mga malipayon i mga nagparapamasakitan tungod si matadong mga binuhatan-na,
MAT.5.10	kay mga iya i magpakasakop si mga nagpanhadi'an-na si man langit.
MAT.5.11	“Mga malipayon kam kon nagparapanamyangan kam, nagparapamasakitan pati' nagparapamabati'-bati' nga akapara'at si ka'am tungod hamok si pagsunud-bi si ako. 
MAT.5.12	Agkalipaya kam ngan agpanlaksiha kam, kay mahaya i sakarawat-bi primyo ari si langit, kay da'inan sinan gihapon i pa'agi-na mga iya pagparapamasakit si mga paragsumat-na si Diyos nga agpakadahulo si ka'am.”
MAT.5.13	Agpadayon si Jesus pagturo' si mga inadalan-na, “Ka'am i asiya-na si kalibutan. Sanglit dakam agpata'an. Pariho halimbawa' kon a'ala' na i kasira'-na si asiya, ga'i na apabwilta i kasira'-na. Gana' na gayod sinan pulus-na, sanglit angay naynan hamok nagtapukan basi' saturutum'akan-na si mga a'a.
MAT.5.14	“Ka'am liwat i danta'-na si bug'os kalibutan. I syudad nga aka'anna' si dyata'-na si bukid, ga'i gayod atago'. 
MAT.5.15	Gana' ato magsulsol lampara ngan tambunan-na dina si batiya'. Lugod, agpa'anna'-nay nan si tama' pamma'anna'an, para akadanta'an i dimu'an nga awinan si sallud-na si ruma'. 
MAT.5.16	Si pariho pa'agi, pahayagu-bi i sana'an si ka'am nga makalupig si kalu'uman,
MAT.5.17	Agpinugad si Jesus, “Dakam ag'isip nga pada'ito ako pagpara' si Bala'od pati' si Nagpanurat-na si mga Paragsumat. Ga'i ako pada'ito basi' apara' i mga turu'-na, kundi' i pagtuman dina si mga katuyu'an-na. 
MAT.5.18	Sumatan-ta kam si kamatu'uran, hasta nga ga'i apara' i kalangitan pati' i kalibutan, gana' may mapara' bisan adda litra o ma'in ngani' adda si mga madiki' baglis anan si Bala'od, hasta nga ga'i atuman i dimu'an. 
MAT.5.19	Sanglit, bisan say i manupak maski adda hamok si mga mandu'-na sinan tungod kay gana' kuno' ka'impurtantihan-na, katapos agturo' pa liwat iya si la'in pag'irog si nagbuhat-na, aka'anggana'an may liwat iya si pwistu-na ari si mga nagpanhadi'an-na si man langit. Kundi' bisan say i magtuman sinan mga mando' si mga kinabuhi'-na ngan agparaturu'-nay nan si la'in, iya i makilala nga mahaya pwistu-na ari si mga nagpanhadi'an-na si man langit. 
MAT.5.20	Kay sumatan-ta kam, kon angirog kam hamok si pagkamatadung-na si mga Parisiyo pati' si mga paragturo' bala'od, sigurado nga ga'i kam liwat agkakwirinta si nagpanhadi'an-na si man langit.
MAT.5.21	“Agpakapamati' kam nga aniya' mando' nagpakatu'an si mga a'a siray mga panahon, ‘Dakam agmatay,’
MAT.5.22	Pero sumatan-ta kam nga bisan say i masina si igkasi a'a-na, paratukan iya. Ma'in nan hamok iya, bisan say i magtatsar si igkasi-na, aniya' sararumanan-na si Kunsiho. Ngan bisan ngani' i magyawit hamok, ‘Kapay-kapay kaw!’ sigurado nga akapan'impyirno.
MAT.5.23	“Sanglit kon aniya' barawahun-mo pan altar paghalad si Diyos ngan sa'intuman-mo mismo sinan uras nga aniya' bali' sala'-mo si igkasi a'a-mo, 
MAT.5.24	labbahin dahulo i papahalarun-mo, ngan pada'irayon iya pagpakibagaw nga agsihalapay kam gihapon. Katapos, iya na kaw dina pabwilta paghalad si Diyos.
MAT.5.25	“Si uras nga nagbawa kaw si ka'asuntu-mo pan husgado, paniguruhon nga agkahalap kam myintras ga'i pa kam anakka ari, kay kon ga'i, iya si ka'aw i mangguyod pada'iray si huwis. Mangno i huwis na si ka'aw i mama'intriga si wardin pagpapriso si ka'aw. 
MAT.5.26	Sumatan-ta kaw si kamatu'uran, ga'i kaw akagawas ari si prisuhan, hasta nga ga'i sabayaran-mo bisan i ultimo na hamok sintabo si multa-mo.
MAT.5.27	“Sabati'an-bi liwat i mando' nga agpinugad, ‘Dakam agbisyo si pagdangallahan,’
MAT.5.28	pero sumatan-ta kam nga bisan say i maniplat si adda danda bawa i pagkasindak, akaparihoy nan si pagbisyo si pagdangallahan. 
MAT.5.29	Sanglit kon akapa'amban si pagtutu'u-mo i nagparakukulawan-na si mata-mo, ala'on adday nan ngan tapukin. Mas mahalap pa kon aka'ala'an kaw adda parti si puhu'-mo, kuntra kon gana' iban-na si puhu'-mo ngan linaho' kaw pan impyirno. 
MAT.5.30	Ngan kon akapa'amban si pagtutu'u-mo i nagparahimu-na si tamburu'-mo, uturon adday nan ngan tapukin. Mas mahalap pa kon aka'ala'an kaw adda parti si puhu'-mo, kuntra kon gana' iban-na si puhu'-mo ngan linaho' kaw pan impyirno.
MAT.5.31	“Aniya' liwat magparapaminugad, ‘Bisan say lallaha nga aruyag makibulag
MAT.5.32	Pero sumatan-ta kam, i lalla nga pabulag si alla-na nga ga'i may to agbisyo si pagdangallahan-na mga iya, iya i aniya' baratunun-na si sala'-na si dati alla-na nga makitig'ob si la'in. Pwira pa sinan, i da'inan klasi pagbulag ma'in tugot si bala'od. Ngan bisan say i pakasal si nagbulagan danda, akasala' liwat iya si pagpakitig'ob si dati allahan.
MAT.5.33	“Agpakabati' kam liwat nga nagtugunan i mga a'a siray mga panahon, ‘Dakam pasibog si mga sa'ad-bi, kundi' tumanu-bi kon ay i mga sa'ad-bi si Paragdalom.’ 
MAT.5.34	Pero sumatan-ta kam, dakam gayod agtambahi-bi i mga sa'ad-bi si mga ga'i nan pwidi sadaluman-bi. Halimbawa' i pagpinugad, ‘Tistigos i langit,’ kay trunu-nay nan si Diyos. 
MAT.5.35	Dakam liwat agsabi si kalibutan, kay pannungtungan-nay nan si mga kitid-na o ma'in ngani' si Jerusalem, kay syudad-nay nan si Gilalabawi Hadi'. 
MAT.5.36	Ngan dakam liwat agsabi bisan pa i takuluk-bi kon agsa'ad kam, kay ga'i kam akapaputi' o akapahirom bisan adda hamok si mga barahibu-bi. 
MAT.5.37	Kunta' i naghimu-bi hamok, iya i pagtuman si mga sa'uhu'an-bi pati' i ga'i pagsalli' si mga sabaribadan-bi. Bisan ay nga tamba pa sinan, tawa'-na naynan si girara'ati.
MAT.5.38	“Sabati'an-bi na liwat nga nagpatugot siray, ‘Pwidi sapalaku-mo bayad i mata-na si makapirdi si mata-mo, o ma'in ngani' i impun-na si makapirdi si impun-mo.’
MAT.5.39	Pero sumatan-ta kam, dakam angasa si mga a'a nga mara'at i binuhatan-na. Halimbawa', kon aniya' si ka'am manampalo si bayhun-bi, pa'atubangu-bi pa si iya i dambila'. 
MAT.5.40	Ngan kon aniya' magsumbong pagsiyo si dyakit-bi, pumwanon pa liwat si iya hasta i badu'-bi. 
MAT.5.41	Kon aniya' magpapalangkit si ka'am adda kilumitro, amaya'a si iya bisan pa anakka si kaduwa kilumitro. 
MAT.5.42	Kon aniya' mamalako si ka'am, buwanin, ngan dakam patalikot kon aniya' maruyag mag'indam si ka'am.
MAT.5.43	“Sabati'an-bi na liwat i tugon, ‘Higugma'u-bi i igkasi a'a-bi ngan sikwayu-bi i mga kuntra-bi.’
MAT.5.44	Pero sumatan-ta kam: Higugma'u-bi i mga kuntra-bi ngan pangadyi'i-bi i magparapamasakit si ka'am, 
MAT.5.45	basi' kinakulawan i mga kina'iya-bi nga irog si kina'iya-na si Tatay-bi
MAT.5.46	Ay i sakarawat-bi bulos kon aghigugma'-bi hamok i maghigugma' may si ka'am? Bisan i mga paragsukot buhis
MAT.5.47	Ngan kon agbuhat kam hamok mahalap si mga bugtu'-bi, ay i sabuhat-bi nga labaw kuntra si ditangnga'? Bisan ngani' i mga a'a nga ga'i agtutu'o Diyos da'inan sinan i nagbuhat-na. 
MAT.5.48	Sanglit kinahanglan nga anakka kam si tama' pirmi pagdalom si kalugaringun-bi kay da'inan may sinan i langitnon Tatay-bi.”
MAT.6.1	Agpadayon si Jesus si pagturu'-na, “Agmatuha kam paghimo si mga matadong binuhatan-bi para hamok sakulawan-na si a'a. Kay kon agda'inan kam sinan, gana' na sakarawat-bi bulos tikang si Tatay-bi si langit.
MAT.6.2	“Sanglit kon aglimos kam si mga anggana', dakam agpangirog si mga a'a nga mahalap agparapamakunu-kuno nga mga rilihuso pina'agi si pagpabandilyu-na mga iya si mga nagbuhat-na ari si mga sinaguga pati' si mga kalsada para hamok nagdayaw si mga a'a. Sumatan-ta kam si kamatu'uran, sakarawat-na na mga iya i bug'os bulos nga nagpanhingyap-na. 
MAT.6.3	Lugod kon amuwan kam limos si mga anggana', dakam agpakatu'anu-bi i kawiri tamburu'-bi kon ay i naghimu-na si kawanan tamburu'-bi. 
MAT.6.4	Si da'inan pa'agi, ga'i kinatu'anan i pagbuwan-bi. Sanglit i Tatay-bi nga makasayod si sikrito nagbuhat-bi, iya i manprimyo si ka'am.
MAT.6.5	“Kon agpangadyi' kam, dakam ag'irog si mga a'a nga mahalap agparapamakunu-kuno nga mga rilihuso pina'agi si karuyag-na mga iya pagpangadyi' nga agtutunggo ari si mga sinaguga pati' si mga iskina-na si mga kalsada para hamok kinakulawan si mga a'a. Sumatan-ta kam si kamatu'uran, sakarawat-na na mga iya i bug'os bulos nga nagpanhingyap-na. 
MAT.6.6	Lugod kon mangadyi' kam, pasallura kam si kwartu-bi, sirrahi-bi ngan mangadyi'a kam si Tatay-bi nga ga'i sakulawan-bi. Mangno i Tatay-bi nga iya i makasayod si sikrito pinahallingan-bi, iya i manprimyo si ka'am. 
MAT.6.7	Ngan kon agpangadyi' kam, dakam agparaburubwiltahu-bi pariho si mga urasyun-na si mga a'a nga ga'i agtutu'o Diyos kay i mga pagkagasi-na nga kinapakalihan mga iya tungod si kalabbat-na si mga allingun-na. 
MAT.6.8	Dakam angirog si mga iya, kay akatu'anan i Tatay-bi kon ay i mga nagkinahanglan-bi myintras pa kam amalako.
MAT.6.9	“Lugod kon mangadyi' kam da'ituhu-bi sito:
MAT.6.9	Tatay kami' nga awinan si langit,
