MAT.1.1	Jesukrístu we̱a̱trí̱ ju̱ áiniawai. Tura ashí naṉkaamas ti uunt we̱a̱t Tawitcha Apraámsha áiniawai. 
MAT.1.20	Nuna tu enentáimia pujái̱, mesekranam Yusa suntari̱ tarí chicharuk tímiayi “Juséá, ame we̱a̱trum Tawitchakait. Tuma asam Mariji̱a̱i̱ nuatnaikiatin ashamkaip. Uchin jurertatna nuka Yusa Wakaní̱niuiti. 
MAT.1.21	Uchin áishmaṉkan takustatui tura nuna naari̱ 
MAT.1.22	Yus ni etserniuri̱ji̱a̱i̱ yaunchu timia nu uminkiati tusa nu túrunamiayi. Ju̱na áamtikramiayi:
MAT.1.23	“Nuwa̱ natsa ajapruktatui tura uchin takustatui. Nuna náari̱sha Emanuér anainiaktatui.” Tu áarmaiti.
MAT.1.23	Emanuérsha nu chichamnum “Yus iiji̱a̱i̱ pujuwiti” tawai.
MAT.1.24	Jusesha mesekranmaya̱ shintiar Yusa suntari̱ timia núnisaṉ Marin nuatkamiayi. 
MAT.1.25	Tura uchin júreatsa̱i̱ṉ tsaniṉchamiayi. Tura jurermatai uchin Jesus anaikiamiayi.
MAT.2.1	Jutía nuṉkanam Piriṉ pépru ana nui̱ Jesus akiiniamiayi. Nui̱sha nú nuṉka akupniuri̱ Irutisauyayi. Akiiniamtai ti neka apach nantu tátainmaaniya̱ Jerusaréṉ péprunam táarmiayi. 
MAT.2.2	Taar inintruiniak “¿Israer shuara úunt akupniuri̱ tui̱ akiiniait? tiarmiayi. Nantu tátainmaani pujaati ni yaari̱ wáinkiamji. Tura tikishmatratai tusar winiaji” tiarmiayi.
MAT.2.3	Irutis nuna antuk nusháa enentáimpramiayi. Tuma asamtai ashí Jerusaréṉnumia̱ shuarsha antukar nusháa enentáimprarmiayi. 
MAT.2.4	Irutis nuikia ashí Israer-patri uuntri̱ncha tura yaunchu akupkamun jintinniuncha untsukarmiayi. Tura Kristu akiiniatniuri̱n inintrusmiayi. 
MAT.2.5	Tutai chichainiak “Jutía nuṉkanam Piriṉ pepru ana nui̱ akiiniatniuiti, tiarmiayi. Yaunchu Yúsnan etserin tu áaruiti:
MAT.2.6	“Jutía nuṉkanam, Piriṉ pepru, ishitiápchich ana nuyá nekas uunt akupin winittiawai. Nii ashí Israer shuaran, Wíi shuar ásarmatai, péṉker wáinkiattawai,” tawai Yus.” Tu tiarmiayi.
MAT.2.7	Nuna tuíniakui Irutis ti neka apachin ú̱u̱saṉ, urutía yaa emka wáinkiamarum tusa aniasarmiayi. 
MAT.2.8	Nuyá Piriṉnum akupeak “Nui̱ werum uchi péṉker inintrusrum wáinkiatarum. Tura wáinkiarum ujatkatarum. Wisha werin tikishmátuutaj” tímiayi.
MAT.2.9+MAT.2.10	Tutai ti neka apach wearmiayi. Tura yaa, yajaya̱ wáinkiarmiania nu, tuke eem wémiayi. Tura yaan wáinkiar ti wararsarmiayi. Tura nú yaa uchi pujumia nui̱ ejeniarmiayi. 
MAT.2.11	Je̱á waya̱war uchincha ni nukurí̱ Mariji̱a̱i̱ wáinkiarmiayi. Tura uchin tikishmatrarmiayi. Nuyá ni kajuntrí̱ya̱n kurincha, mirá kuṉkuinniasha, chíkich kuṉkuinniasha súsarmiayi. 
MAT.2.12	Nuyá mesekranam Yus “Irutisa̱i̱ni weerap” tutai chíkich jintianam waketkiarmiayi.
MAT.2.13	Ti neka apach waketramtai Yusa suntari̱ mesekranam Jusen ujakmiayi. “Nantakim uchi ni nukurí̱ji̱a̱i̱ Ejiptu nuṉkanam jukim nui̱ pujustá. Irutis uchin máataj tusa e̱a̱ktatui. Tura ukunam aṉkant ajasmatai ujaktajme” tímiayi.
MAT.2.14	Tutai Jusé kurat shintiar nú káshik uchincha nukurí̱ji̱a̱i̱ Ejiptunam jukimiayi. 
MAT.2.15	Irutis jáatsa̱i̱ṉ nui̱ pujusarmiayi. Ejiptunam pujusmatai Yus yaunchu timia nu uminkiamiayi. Iis, Yúsnan etserin aak tímiayi:
MAT.2.15	“Ejiptunmaya̱n winia Uchirun untsukmajai.”
MAT.2.15	Tu áarmiayi.
MAT.2.16	Irutissha ti neka apach nin anaṉka yajá waketran nekáa ti kajekmiayi. Ti kajek ashí áishmaṉchin Piriṉnumsha tura yantamach pujuarmia nunasha maawaarat tusa akupkamiayi. Ti neka apach ujakmia nuna enentáimias ashí jimiará uwin takakun tura nú uchichin máawarat tusa akupkamiayi. 
MAT.2.17	Nuka Yusnan etserin Jeremías aarmia nu uminkiamiayi. Juna áarmiayi:
MAT.2.18	“Ramá nuṉkanam ti úutainiak uur ajainiawai. Raker ti uutu asa atsaṉkrachminiaiti ni uchirí̱ jákarmatai.” Tu áarmiayi.
MAT.2.19	Tura Irutis jakamtai Yusa suntari̱ mesekranam Jusen ujakmiayi. 
MAT.2.20	“Uchin máataj tiarmia nuka jákarai. Yamaikia ataksha uchi ni nukurí̱ji̱a̱i̱ jukim Israer nuṉkanam waketkitia” tímiayi. 
MAT.2.21	Tutai Jusé nantaki uchincha nukurí̱ji̱a̱i̱ jukin Ejiptunmaya̱ Israer nuṉkanam waketkimiayi. 
MAT.2.22	Túrasha Irutisa uchirí̱ Arkiráu Jutía nuṉkanam uunt akupin ajasun nekáa nui̱ wétinian aránkámiayi. Mesekranmasha ujakma asa nui̱ pujutsuk Kariréa nuṉkanam wémiayi. 
MAT.2.23	Nui̱ jeá Nasarét péprunam pujusmiayi. “Nasarétnumia̱ átatui” Yusnan etserin yaunchu tu etserkamu nuja̱i̱ uminkiamiayi.
MAT.3.1	Nuyá imiakratin Juaṉ Jutía nuṉkanam aents atsamunam etserki támiayi. 
MAT.3.2	“Enentáim yapaji̱átarum. Tsawant ishichik ajasai Yus jui̱ akupin ajastin.” Tu etserkamiayi.
MAT.3.3	Nú Juaṉkan yaunchu Yúsnan etserin Isayas ju̱na áarmiayi:
MAT.3.3	“Shuar atsamunam aents untsumui. Untsumuk “Atumí enentái̱ Uunta jinti̱ iwiarturtarum tura naka awajsatarum” tawai.” Tu áarmiayi.
MAT.3.4	Nu Juaṉsha kamiyu ure najantramun entsauyayi. Emenmamkesha nuapeyayi. Tura yutai-títikriátsnasha chiniji̱a̱i̱ yúuyayi. 
MAT.3.5	Tura Jerusaréṉ péprunmaya̱ shuarsha tura ashí Jutía nuṉkanmaya̱ shuarsha Jurtaṉ entsanam matsamiarmia nú shuarsha mash Juáṉkan tariarmiayi ni chichame̱n anturkatai tusar. 
MAT.3.6	Tura ni tunaari̱n paant etserkarmatai Juaṉ Jurtaṉ entsanam imiainiarmiayi.
MAT.3.7	Juaṉsha Pariséuncha Satuséuncha imiatti tusa wininian wáiniak tímiayi “Napia áaniutirmincha, ¿ya atumniasha ti asutniátniunmaya̱ uwempratniuncha ujatmakmarum? tímiayi. Asutiátin tsawant ishichik ajasai. 
MAT.3.8	Tuma asamtai enentáim yapaji̱ámuitkiuiṉkia péṉker wekaamurmi̱ji̱a̱i̱ paant iniakmastarum. 
MAT.3.9	Atumsha “Iikia Apraám weeaitji” tu enentáimtumasairap. Nuja̱i̱ uwemprashtatrume. Yus wakerakka ju̱ kayan Apraáman tiraṉki najankainti, tímiayi. 
MAT.3.10	Numi ajaktinia áintsaṉ kampuwári̱n jacha atuttsamuiti. Tura numi péṉker nereatsna nuka tsupikia jinium apeamu ártatui. 
MAT.3.11	Wikia aya entsaja̱i̱ṉ imiajrume atumi enentái̱ yapaji̱áwakrumin. Antsu winia ukurui̱ winiana nuka péṉker awajtamsataj tusa imiantinia áanis tura jía áanis Yusa Wakanin eṉketramprattarme. Wiji̱a̱i̱ naṉkaamantu asamtai wikia tsuntsumpruan ni sapatrí̱nkisha atitrachminiaitjai. 
MAT.3.12	Aruusa nereja̱i̱ túruinia áintsaṉ átatui. Awa̱jtiutairi̱n achikiuiti tura nuja̱i̱ saepe̱n awa̱jtittiawai. Tura nere̱n péṉker ikiustatui, antsu saepe̱nka jinium apeattawai. Nu jisha tuke kajinchaiti.” Tu tímiayi Juaṉ.
MAT.3.13	Nuyá Jesus Kariréa nuṉkanmaya̱ winis Jurtaṉ entsanam támiayi Juaṉ imiatti tusa. 
MAT.3.14	Juaṉsha emka nakitiak Jesusan tímiayi “Ame winia imiatminiaitme. Túrutamniaitiatmesha ¿urukamtai winia tarutnium?” tímiayi.
MAT.3.15	Tura Jesus tímiayi “Ántsaṉ asati yamaikia. Núnisrik ashí Yus akupkamu umirkatniuitji.” Tutai Juaṉ iniaisamiayi. 
MAT.3.16	Tura Jesus imiani entsaya̱ jíinkímtai nayaimpⁱ uranmiayi. Tura Yusa Wakaní̱ yámpitsa áintsaṉ Jesusan tarimiayi. Niisha wáinkiámiayi. 
MAT.3.17	Túramtai nayaimpinmaya̱ Yus chichaak “Ju̱ka winia Uchiruiti. Ti aneamuiti. Ti shiir enentáimtajai” tímiayi.
MAT.4.1	Nu túrunamtai Yusa Wakaní̱ Jesusan iwianchja̱i̱ nekapmamtiksattsa aents atsamunam jukimiayi. 
MAT.4.2	Nui̱ kuarenta (40) tsawant, káshisha tsawai̱sha yurumtsuk pujak tsukarmiayi. 
MAT.4.3	Nui̱ uunt iwianch Jesusan nekapsataj tusa tarí tímiayi “Nekas Yusa Uchiri̱nkiumka ju̱ kaya apatuk najanata.”
MAT.4.4	Tutai Jesus tímiayi “Yus-Papinium áarmaiti:
MAT.4.4	“Aents aya apatkuja̱i̱ṉ iwiaaku pujuschamniaiti. Antsu Yus táman enentáimtuiniak nekas iwiaaku pujusartatui” tawai” tímiayi.
MAT.4.5	Tutai uunt iwianch Jerusaréṉ péprunam jukí Yusa Uunt Je̱e̱ cháiki̱n iwiak 
MAT.4.6	tímiayi “Nekas Yusa Uchirí̱nkiumka ju̱ya̱ akaikim iniaata. Kame Yus-Papinium áarmaiti:
MAT.4.6	“Yus ni suntari̱n akatar akúptúrmaktatui. Nawemin kayanam ajiintsumniṉ weṉkurmaktatui” tawai” tímiayi.
MAT.4.7	Tutai Jesus tímiayi “Núnisaṉ Yus-Papinium áarmaiti:
MAT.4.7	“Ame Úuntrum Yus “Nekapsataj” tiip” tawai” tímiayi.
MAT.4.8	Ataksha uunt iwianch naint yakí wájakmanum iwiakmiayi tura nuyá ashí nuṉkanmaya̱ péprun shiira nuna iniaktusmiayi. 
MAT.4.9	Tura tímiayi “Winia tikishmatrurakminkia ju̱na mash amastatjai.”
MAT.4.10	Tutai Jesus tímiayi “Werumta, uunt iwianchi. Yus-Papinium aarma awai:
MAT.4.10	“Ame Úuntrum Yúsak tikishmatrata tura Niṉki shiir awajsata” tawai” tímiayi.
MAT.4.11	Tutai uunt iwianch Jesusan ikiuak wémiayi. Túramtai Yusa suntari̱ tariar atsumamuri̱n súsarmiayi.
MAT.4.12	Juaṉ sepunam eṉketui taman antuk Jesus Kariréa nuṉkanam wémiayi. 
MAT.4.13	Tura Nasarét péprunam pujutsuk Kapernáum péprunam we pujusmiayi. Kapernáumsha Kariréa antumiaṉka kánmatkari̱i̱n pujumiayi. Ti yaunchusha Jakupu uchiri̱ Sapurúṉsha tura Niptarísha nu nuṉkanak nui̱ pujustaitsar achikiaruyayi. 
MAT.4.14	Jesus nuna túramtai yaunchu Yúsnan etserin Isayas aarmia nu uminkiamiayi. Ju̱na áarmiayi:
MAT.4.15	“Sapurúṉsha Niptarísha nayaantsanam tíjiu̱ch Jurtaṉ entsa amainini nuṉkan achikiarmiayi. Nuka Kariréaiti Israer-shuarcha matsatainia nui̱. 
MAT.4.16	Nu aents kiritniunam pujuiniayataṉ ti tsáapninian wáinkiarmiayi. Jákatniunam pujuiniai̱ tsáapin tsáapnirmiayi.” Tu áarmaiti.
MAT.4.17	Nuyá Jesus étseruk tímiayi “Tunaarum enentáimturum enentáim yapaji̱átarum. Ju̱ nuṉkanam Yus akupkatin tsawant ishichik ajasai.”
MAT.4.18	Jesus Kariréa antumiaṉka kánmatkari̱n wesa jimiará áentsun nuámtak yáchinniun wáinkiámiayi. Chikichik Antresauyayi, chikichcha Semuṉkauyayi. Nu Semuṉ núnisaṉ Pitru náartiniuyayi. Namakan achin ásar namakan nekaja̱i̱ naṉkíak yujaarmiayi. 
MAT.4.19	Nuna Jesus wáinkiar tiarmiayi “Nemartustarum. Túrakrumin shuarsha Yusna arti tusan yamái namak achíarmena núnisaṉ shuaran-e̱a̱u awajsatjarme.” 
MAT.4.20	Tutai ni nekari̱n ikiukiar Nin nemariarmiayi.
MAT.4.21	Nuyá ishichik wésaṉ ataksha nuámtak yachinniun wáinkiámiayi. Jakupu Juaṉja̱i̱ mai Sepetéu uchirí̱ ármiayi. Niisha kanunam eṉkemsar ni nekari̱n ni aparí̱ji̱a̱i̱ iwiarainiak pujuriarmiayi. Tura Jesus “Nemartusta” tutai 
MAT.4.22	nu chichamaik kanuncha tura aparí̱ncha ikiukiar Jesusan nemariarmiayi.
MAT.4.23	Ashí Kariréa nuṉkanam Jesus Israer-shuar iruntainiam etserki wémiayi. Yus ju̱ nuṉkanam akupkatin chichaman etserkamiayi. Tura untsurí̱ suṉkurja̱i̱ jáinian ashí tsuármiayi. 
MAT.4.24	Ashí Siria nuṉkanam Jesus tsuákratman nekaawar ashí náṉkamas suṉkurja̱i̱ wáitin armia nuna Jesusan tsuarti tusa itiariarmiayi. Ashí jaancha, najaimiancha, yajauch wakantrukuncha, wáuruncha, tampemaruncha Jesus tsuármiayi. 
MAT.4.25	Tura untsurí̱ shuar Jesusan nemariarmiayi. Kariréa nuṉkanmaya̱sha, Tekapurisnumia̱sha, Jerusaréṉ péprunmaya̱sha, Jutía nuṉkanmaya̱sha, Jurtaṉ entsa amainiya̱sha Jesusan nemariarmiayi.
MAT.5.1	Jesus untsurí̱ shuar káunkarun wáiniak náinnium waka nui̱ pujusmiayi. Tura ni unuiniamuri̱sha taar pujusarmiayi. 
MAT.5.2	Nuyá Jesus jú̱nis unuiniamiayi.
MAT.5.3	“Ame wakanim atsumamu nekamarum kakaram ajasrum warastarum. Tuma asarum Yus akupeamunam pachiinniuitrume. 
MAT.5.4	Kúntuts pujarum nu warastarum. Yus atsaṉtamprattarme. 
MAT.5.5	Péejchach enentáimtumarmena nu warastarum. Yus ashí nuṉkan amastatrume. 
MAT.5.6	Eseer wekasataj tusa aya kitiamarum nu warastarum. Yus imiktamprattarme. 
MAT.5.7	Waitneṉkratniutiram warastarum. Yus waitnentramprattarme. 
MAT.5.8	Péṉker enentáimniutiram warastarum. Yus wáinkiáttarme. 
MAT.5.9	Chicham iwiarin árum nu warastarum. Yusa uchiri̱ turamartatui. 
MAT.5.10	Péṉker túrakrumin yajauch awajtamainiakui warastarum. Yus akupeamunam pachiiniuitrume. 
MAT.5.11	Wíi shuar asakrumin katsekramainiakuisha, itit awajtamainiakuisha, tura ashí tsanumprutmainiakuisha warastarum. 
MAT.5.12	Núnisaṉ yaunchu Yúsnan etserin armia nunasha túrawarmiayi. Túramtai shiir enentáimkiuram warastarum. Nayaimpiniam ti péṉker akinkiattarme’ tímiayi.
MAT.5.13	‘Átumka ju̱ nuṉkanam wee ana áintsaṉketrume. Tura wéeaitiat jeakchaitkiuṉka míchuiti. ¿Nusha itiur yuámniak ati? Antsu ántraiti. Tuma asamtai a̱a̱ najatai tepet tusar ajapashtinkiait’ tímiayi.
MAT.5.14	‘Átumka ju̱ nuṉkanam shiripkia áintsaṉketrume. Náinniumka pepru ú̱u̱mkachminiaiti. 
MAT.5.15	Núnisaṉ shiripik ekeemakam kajuṉnum eṉkeatsme. Antsu yakí sukúatsmek ashí je̱a̱nam ana nu paant atí tusam. 
MAT.5.16	Núnisaṉ atumsha Yusja̱i̱ péṉker túramu paant atí. Tura ashí aents nuna iisar niisha Yus Apan shiir awajsartatui’ tímiayi.
MAT.5.17	‘Muisais akupkamuncha tura yaunchu Yúsnan etserin etserkarmia nuna ántar awajsattawai” turutiirap. Antsu nuna Wikia umiktaj tusan táwitjai. 
MAT.5.18	Nekasan tájarme. Ashí túrunatniua nu amúatsa̱i̱ṉ nu akupkamu ishichkisha yapajniáshtatui. Nayaimpisha tura nuṉkasha tuke amúatsa̱i̱ṉ nu akupkamusha amuukashtatui. 
MAT.5.19	Nu asamtai shuar chikichik akupkamun, yúpichuch ana nunaksha, umirchakka tura chíkich shuaran umirkashtinian unuiniakka Yus nekas akupin paant ajastatna nui̱ nú shuar uunt áchattawai. Antsu ashí shuar akupkamun umíana nu tura chíkich shuaran umirkatniun unuiniana nusha Yus nekas akupin paant ajastatna nui̱, nu shuarka uunt átatui. 
MAT.5.20	Tuma asamtai Yus akupeamunam pachiinkiataj tákumka Pariséuja̱i̱ naṉkaamas tura akupkamu jintinniuja̱i̱ naṉkaamas eseera wekasatniuitrume’ tímiayi.
MAT.5.21	‘Yaunchu tiniu armia nu ántichukaitrum: “Maṉkartuawairap. Maṉkartana nuka asutniátniuiti” tiniu ármiayi. 
MAT.5.22	Tura Wisha tájarme: Shuar ni yachi̱n aya kajerakka nusha asutniátniuiti. Ni yachi̱n kátsekea nuka akupniunam ju̱naktiniaiti. Tura ni yachi̱n “netsé” tákuṉka jinium akupnakminiaiti.’
MAT.5.23	‘Tuma asamtai Yus susataj tusam wakerakum tura ame yatsum ámin itit enentáimturman enentáimpramka, 
MAT.5.24	suamu nui̱ ikiuakum emka ame yatsum werim niiji̱a̱i̱ iwiarata. Turam waketkim Yus suam nu susata.’
MAT.5.25	‘Shuar úuntnum júramkuiṉkia jintiaṉ wesam niiji̱a̱i̱ iwiarata úuntnum ejetamtsa̱i̱ṉ. Túrachakminkia úuntnum surutmaktatui tura niisha suntarnum surutmaktatui tura sepunam eṉketmattawai. 
MAT.5.26	Tura nekas tajai, nui̱ eṉkemamka ashí rearchisha akikmachkumka jíinkishtatme’ tímiayi.
MAT.5.27	‘Yaunchu tiniu armia nu ántichukaitrum: “Tsanirmawaip.” 
MAT.5.28	Tura Wisha tájarme: Shuar nuwa̱n tsanirmataj tu iiska nui̱kia ni enentái̱n tsanirmayi.’
MAT.5.29	‘Tuma asamtai ame ji̱i̱mi tunaanum yajauch awajtamkuiṉkia ukuiṉkiam yajá ajapata. Ashí ame aya̱shim jinium esaatsa̱i̱ṉ aya chikichik aya̱shmi muchitmari̱ emesratin péṉkeraiti. 
MAT.5.30	Ame ewejmesha untsuurmetiat tunaanum ajunmakuiṉkia tsupikiam yajá ajapata. Ashí ame aya̱shim jinium esaatsa̱i̱ṉ aya chikichik ayashmi muchitmari̱ emesratin péṉkeraiti.’
MAT.5.31	‘Núnisaṉ yaunchu tiniu ármiayi: “Shuar ni nua̱ri̱n ajapatniun wakera nuka papí najana susati.” 
MAT.5.32	Tura Wisha tájarme: Shuar ni nua̱ri̱n tsanirmachun ájapeakka nuwa̱n tsanirmamtikiaiti. Tura ajapamuja̱i̱ nuatnaiyakka nuka tsanirmaiti.’
MAT.5.33	‘Núnisaṉ yaunchu tiniu ármiayi: “Yusa naari̱ pachisan turattajai” tákumka nekas takamtsuk umiktiniaitme.” 
MAT.5.34+MAT.5.35+MAT.5.36+MAT.5.37	Tura Wisha tájarme: Áyatik “Ee” tákumka tura “Atsá” tákumka wáitrutsuk nuke titiá. Támena nu nekas umiktaj takum ame nú arant pachistiniaitkiumka nuka yajauchiiti, iwianchnumia̱iti. Ti nekas tajai tusam nayaim pachischatniuitme. Nuka Uunt Yus pujutainti. Nuṉkasha pachischatniuiti Yusa tarimtairi̱ asamtai. Jerusareṉ péprusha pachischatniuiti Uunt Akupin pujutai nui̱ asamtai. Múukmesha pachischatniuitme. Chikichik intiashkesha pújusha mukusasha awajsachminiaitme. Áyatik nekasa nu páchitsuk titiá.’
MAT.5.38	‘Yaunchu tiniu armia nu ántichukaitrum: “Shuar máanikiar ji̱i̱ apujtukka niisha apujtuktiniaiti. Tura nai̱ akarkasha ni nai̱sha akarkatniuiti.” 
MAT.5.39	Tura Wisha tájarme: Yajauch shuar taritrairap. Antsu ame yapimin ijiutmamtai áatú yapimsha tsaṉkatkata. 
MAT.5.40	Tura pushirmin jurutramkitiaj tákuisha sakurmesha susata. 
MAT.5.41	Tura káarkancha chikichik kirumitruk jurutkitia túramkui ámeka jimiará kirumitru ejeeta. 
MAT.5.42	Seatmana nu susata. Ikiatmakuisha páchitsuk ikiasta.’
MAT.5.43	‘Núnisaṉ tiniu armia nu ántichukaitrum: “Ame shuarum aneeta tura nemasrumka kajerkata.” 
MAT.5.44	Tura Wisha tájarme: Nemasrum aneetarum. Yajauch chichartamna nusha shiir awajsata. Nakitramana nusha nawamkata. Tura katsekramainiana nu tura yajauch awajtamainiana nusha Yus áujtusarta. 
MAT.5.45	Atumsha nu túrakrum atumí Apari̱ nayaimpiniam pujana nu túrana áitkiasrumek túrarme. Iista, Yus yajauch shuarnumsha péṉker shuarnumsha tsáapin awajmatkiatsuk. Núnisaṉ yumincha yajauch shuar pujuiniamunmasha péṉker shuar pujuiniamunmasha yútumtiktsuk. 
MAT.5.46	Aya atumin anenmainia nuke aneakmesha ¿yaki akirmakat? Yajauch shuarsha nuna túrin áiniawai. 
MAT.5.47	Aya ame yatsumek shiir chichaakmeka ¿warí péṉkerak túram? Yus-shuarchasha nuna túrin áiniawai. 
MAT.5.48	Nu asamtai atumí Aparí̱ Yus nayaimpiniam pujana nuja̱i̱ métek ti péṉker átiniaitrume.’
MAT.6.1	‘Ashí íimiainiai̱ṉ aya shuar iirsarti tusarum Yusna nu takasairap. Tu takaakrumniṉkia Yus Apa nayaimpiniam pujana nu peṉké akirmakchattarme. 
MAT.6.2	Nu asamtai shuar atsuma nu yaiya̱kmeka ashí shuar ujakairap. Anaṉkartin ainia nuka iruntainmasha tura pepru jintí wekasasha ashí íimiainiai̱ṉ shiir túrajai tusar nuna túrin áiniawai. Ju̱nasha “péṉker túrawai” tu enentáimturarti tiniu ásar Yus akíatsa̱i̱ṉ aya tu enentáimturmaja̱i̱ṉ akinkiaruiti, nekas tajai. 
MAT.6.3	Antsu átumka atsumainia nu yaiya̱kmeka peṉké ú̱u̱kam túrata. Chikichkisha nu yáiṉman nekaashti. 
MAT.6.4	Ú̱u̱kam túrakminkia ame Apa Yus u̱u̱kman wainia nu, nuna akirmaktatui.’
MAT.6.5	‘Atumsha Yus áujeakrumsha ántar chichamtin ainia núnis áujsairap. Nu shuarka iruntainmasha tura pepru jintí̱sha shuar iirsarti tusa wajakiar Yúsan áujin áiniawai. Nekasan tájarme, Yus akíatsa̱i̱ṉ aya nu iismaja̱i̱ṉ akinkiaruiti. 
MAT.6.6	Tura ame Yus áujeakmeka ame kuárturmin waya̱m waiti epenim nui̱ amek ame Apa Yus áujsata. Nuna ame Apa Yus u̱u̱ka túramu waitma asa akirmaktatui.’
MAT.6.7	‘Yus áujeakmesha ántram esaram áujsaip. Yúsan nékainiatsna nuka “Esaram áujeakuinkia Yus anturtuktatui” tu enentáimainiawai. 
MAT.6.8	Niiji̱a̱i̱ métek ajasairap. Átumka seatsrumniṉ Yus Apa átum atsumamun nékawai. 
MAT.6.9	Nu asamtai Yus áujkuram jú̱nis títiniaitrume:
MAT.6.9	‘Aparu Yus, nayaimpiniam pujamna nu, ii Aparí̱nme. Ame náarmincha shuar ántar pachischarti. 
MAT.6.10	Ashí áentsnum ame akupkatin tsawantrum wari jeati. Ame wakeramuram nayaimpiniam umikma ana núnisaṉ ju̱ nuṉkanmasha uminkiatí. 
MAT.6.11	Aparu, ii yurumkari̱ ashí tsawant amasta. 
MAT.6.12	Tura winia nemasrun tsaṉkurajna núnismek, Aparu, winia tunaaru tumashri̱sha tsaṉkurturta. 
MAT.6.13	Tunáa wakeruktin tsaṉkatrukaip. Antsu ashí tunaanumia̱ uwemtikrurta. Tuke ashí aents akupkamniaitme. Núnisam Amesha tuke ti kakarmaitme. Tura ti shíiraitme. Tuma asakmin seajme. Nuke atí.’
MAT.6.14	‘Amesha chíkich shuar yajauch awajtamka nu tsaṉkureakminkia Yus Apa nayaimpiniam pujana nu amincha tsaṉkurtamprattawai. 
MAT.6.15	Tura chíkich tsaṉkureachkumniṉkia Yus Apasha ame tunaarmincha tsaṉkurtamprashtatui.’
MAT.6.16	‘Ijiarmarum Yus áujkurmesha wake mesekrum susuntrairap. Anaṉkartin shuar chíkich shuar “ijiarmaiti” tu enentáimtursarti tusa tuma áiniawai. Nekasan tájame, Yúska akíatsa̱i̱ṉ aya nuja̱i̱ akikma áiniawai. 
MAT.6.17	Antsu ámeka ijiarmamsha péṉker temashmaram péṉker jaupmitia. 
MAT.6.18	Shuar ijiarmaiti tu enentáimturmasara̱i̱ṉ. Aya Yus Apak nekaattawai. Tura asa akirmaktatui.’
