GEN.1.1	Jatíbi peokoonontianra, Diossen nai itan mai jonia iki.
GEN.1.18	Neten itan yamé mai tenati, jaskáaxonra nete janbiribi iti imaxon, yamé janbiribi iti imaa iki. Jatianra jaskarabo axon oinna jatíbi jakon iká iki.
GEN.1.19	Jaskataxa moa jawen chosko nete iti senena iki.
GEN.1.20	Jainxonra Diossen yoia iki: “Jene meran jatíbi meskó yoinabo ichabires kaibanon, jainoaxibi jabánon mai manaon noyai yoinabo”, akin. Jatianra jaskara iká iki.
GEN.1.21	Bakeai kaixon, aniparo bochoakanwe, jainoax nato neten jabánon ichabires noyai yoinabo. Diossenra jonia iki, aniparomea anibires yoinabo jainoax jene meranoax kaitai jatíbi yoinabo, itan jain jaabo, jainxonra jatíbi noyai yoinabo aká iki. Jaskáakin axon Diossen oinna jakon iketianra,
GEN.1.22	ja aká yoinabo jakon ikantiakin shinanxonkin neskáakin yoia iki: “Ichabires bake kaiabakanon jaskáaxon aniparo bochoabakanon itan nato neten jabanon icha noyai yoinabo”, akin.
GEN.1.23	Jaskataxa moa jawen pichika nete iti senena iki.
GEN.1.24	Jatianra Diossen yoia iki: “Nato main kaibanon jatíbi meskó yoinabo: Ináatibo itan ináatimaboribi, jainoax jatíbi main norex iki niaibo”. Jatianra jaskara iká iki.
GEN.1.25	Ja yoinabo axon Diossen oinnara jatíbi jakon iká iki.
GEN.1.26	Jatianra yoia iki: “Ramapari joni anon akanwe. Noa keskábiakin, jara jatíbinin koshi iti iki: Aniparomea yapabaona, noyai yoinabaona, ináati yoinabaona, ináatima yoinabaona, itan main norex iki niaibaonaribi”, akin.
GEN.1.27	Diossen joniakinra, ja Dios keskábiakin aká iki; benbo itan ainbora aká iki,
GEN.1.28	jatianra jakon ikantiakin shinanxonkin jato yoia iki:
GEN.1.28	“Icha, ichabires bakeai nato neten kaikanwe;
GEN.1.28	jaton koshi ixon jato ikinkanwe;
GEN.1.28	yapabo, noyai yoinabo,
GEN.1.28	jainoax jatíbi ja main norex iki niaibo”, akin.
GEN.1.29	Japekáora jato yoia iki: “Ninkákanwe, matora en meniai jatíbi nato mainmea niibo, bimiai yoábo, itan jatíbi yobín jiwibo. Jatíbi jabora maton jawékiatibo iti iki.
GEN.1.30	Ikaxbira ináatima yoinabo, main norex iki niai yoinabo itan noyai yoinabo jabobiribira en xobi meniai, ja jawékiakanon ixon”, akin. Jatianra jaskara iká iki,
GEN.1.31	Jatianra Diossen oinna jatíbi akábo jakonshamanbires iká iki. Jaskataxa jawen sokota nete senena iki.
GEN.2.1	Nai itan maira, jatíbi jain ikáboyabi moa akin senenhaa iki.
GEN.2.2	Ja kanchis nete kaman, jatíbi ja akábo akín senenhaxa Dios tantia iki.
GEN.2.3	Jatian ja kanchis iti netera jakon iki ixon yoia iki, ja netera meketi iti iki ixonra, onantiakin yoia iki, ja netera jatíbi jawéki joniai teetax tantia iki.
GEN.2.4	Natora nai itan mai jaskatax jonia yoia joi iki.
GEN.2.4	Ibo Diossen nai, itan mai anontianra
GEN.2.5	jiwi keyámashokobobi itan xobibobi xoxoamapari iká iki, ja Ibo Diossenra nato maiki oi bemaamapari iká iki, ja main teetira tsoabi yama iká iki.
GEN.2.6	Jaskara ikenbira, mai chichokeax jene jokonxon, jatíbi mai mechaa iki.
GEN.2.7	Jatianra Ibo Diossen ja mai potobi bixon joni itiakin aká iki, jaskáaxonra jawen rekinhain xoon aka iki, jatianra moa jiria baneta iki.
GEN.2.8	Ja aká pekáora, Ibo Diossen jain jakon jati bari pikotaiori, westíora wai Edén mainko aká iki, jatianra jan aká joni jain imaa iki.
GEN.2.9	Jatíbi meskó jiwi metsáshamanbo jawen bimi jakon kokotibora xoxomaa iki. Ja wai naponbekonra jiwé jiwi aká iki, jan jakon ati onanti itan jakonma onanti jiwiribira aká iki.
GEN.2.10	Ja Edénhainoaxa westíora paroribi pikota iki, janra ja jakonhira jatinko mai mechai iká iki. Jaki mepiara iká iki chosko paro, ja iká iki jawen paxkobo.
GEN.2.11	Ja rekena paron janera iká iki Pisón, janra Havila mai shitabaina iká iki. Jainra oro jake.
GEN.2.12	Ja mainmea orora jakonhira iki, jainra jake bedelio janeya jiwi bepon inin, jainoaxa jake ónice janeya makan.
GEN.2.13	Ja wetsa paron janera iká iki, Guihón. Ja parora, Cus janeya mai shitabaina iká iki.
GEN.2.14	Ja kimisha itin iká parora Tigris iká iki. Ja parora Asiria mai shitabaina bari pikotaio iká iki. Jainoax ja chosko itin iká paron janera Éufrates iká iki.
GEN.2.15	Jatianra ja Edén main iká jakon jati wainko, koirani teenon ixon Ibo Diossen ja joni imaa iki,
GEN.2.16	jain imakinra yoia iki: “Nato jakon jati wainkonia jatíbi yobín jiwi bimibora min kokoresti iki,
GEN.2.17	ikaxbira ja jakon itan jakonma onanti jiwi bimi, min kokotima iki. Ja jiwi bimi kokoatianbira mia mawáti iki”, akin.
GEN.2.18	Jainxonra Ibo Diossen yoia iki: “Joni jabicho iitira jakonma iki. Jaskara iketianra en wetsa axonai, janshamanbiribi akinti”, akin.
GEN.2.19	Jatianra Ibo Diossen mai bixon jatíbi yoinabo aká iki, jainxonra jatíbi noyai yoinaboribi aká iki. Jaskáxonra Adánhiba jato boá iki, ja janeyabo ikantiakin jato janepakenon ixon. Jaskáxonra yoinabo Adánman janepakea iki.
GEN.2.20	Jatianra Adánman jatíbi ináati itan ináatima yoinabo, itan noyai yoinabo janepakea iki. Jaskara janeyabo itiakinbiribi jane pakea iki. Ikaxbira jawe yoinabi janshamanbiribi já akinti yama iká iki.
GEN.2.21	Jaskara iketian, Ibo Diossen Adán akonbireskin oxamaa iki, ja oxaketian westíora jawen pishi tsekaxon, jakiribi namín xepoa iki.
GEN.2.22	Ja pishi tsekaxonra, Ibo Diossen ainbo aká iki, jaskáaxonra ja aká ainbo Adán menia iki,
GEN.2.23	ja oinnaxa Adán neskata iki: “¡Natora nokon namibi iki, itan nokon xaobi iki! Jonimea tsekaxon Diossen aká ikaxa, jawen jane ‘ainbo’, iki”, iki.
GEN.2.24	Jaskara iketianra jonin jawen papa betan jawen tita jenetaanan, jawen awin betanbiribi jati iki, jaskataxa ja rabé westíora yorabicho keská iti iki.
GEN.2.25	Ja Adán betan jawen awinra, chopaoma iká iki, jaskara ikaxbira jawebi rabinyamabekona iki.
GEN.3.1	Ronora jatíbi ináatima yoinabo xewina paramisti onan Ibo Diossen jonia iká iki, jatianra ainbo yokata iki: —¿Jaskara ikenki, Diossen mato yoia iki, nato jakon jati wainkonia, jawerato yobín jiwi bimibi kokotima? —akin.
GEN.3.2	Jatianra ainbaon yoia iki: —Wetsa jiwi bimi inonbiresa nato jakon jati wainkonia non kokoti atipanke.
GEN.3.3	Ikaxbira, jakon jati wai napo iká westíora jiwi bimibichores, noa Diossen kokotima yoia iki, jainxon tii atimaribi yoia iki. Ja kokoaxbira noa mawáti iki —akin.
GEN.3.4	Jaskáabira ronon ainbo yoia iki: —Ja mato jaskáakin yoiara ikonma iki. Matora mawáyamai.
GEN.3.5	Diossenra akonbireskin onanke, ja jiwi bimi kokoxon maton jakon, itan jakonma onanti, jaskara onanaxa mato Dios keskaribi iti iki —akin.
GEN.3.6	Ja ainbaon jiwi bimi oinnara iká iki, iorai metsá jan keentishaman, jatianra ja bimi kokotinin keenshamana iki, jaskáaxon jawéki ati onan shinan biti iketian. Jaskara iketian westíora bimi tesaxon kokoa iki. Jan aká pekáo jawen bene menia iki, janribi kokoa iki.
GEN.3.7	Ja akátianbi jaton shinan chopeta iki, jatian ja rabéxonbi onanna iki moa chopaoma. Jaskara ixon, higuera janeya jiwi pei kexexon ja sawebekona iki.
GEN.3.8	Ja joninra jawen awin betanbi ninkata iki, moa yantani niweshaman iitaitian, ja jakon jati wainko Ibo Dios joáx kawanaitian, jan oinnaketianra ishto kaax jiwibo nia naman jonébekona iki.
GEN.3.9	Jaskákenbira Ibo Diossen, Adán kenaxon yokata iki: —¿Miaki jawerano iki? —akin.
GEN.3.10	Joninra yoia iki: —Nato jakon jati wainko joax, mia kawanaitian ninkataxa chopaoma ikax; miki raketi ea joneke —akin.
GEN.3.11	Jatianra Diossen yokata iki: —¿Tson yoiaki min onanna, mia chopaoma? ¿Ja jiwi bimi kokotima en yoia ikenbiki, min kokoa? —akin.
GEN.3.12	Joninra yoia iki: —Jabé janon ixon min ea menia ainbaon bimi meniara en kokoke —akin.
GEN.3.13	Jatianra Ibo Diossen ja ainbo yokata iki: —¿Jaweati min jaskáamarin? —akin. Jatianra jan yoia iki: —Ronon ea parana kopí, ja bimi en kokoa riki —akin.
GEN.3.14	Jatianra Ibo Diossen ja rono yoia iki: —Jaskara min aká kopíra, jatíbi yoinabo xaran bebonbires jakonma mia ikai. Rama nenoax peokotaxa jatíbitian mia main norex iki, mai poto meranbires ninoxiki.
GEN.3.15	Mia itan ainbora en mato rawikananmai, min chiní bakebo betanra jawen chiní bakeboribi rawikanankanti jake. Ainbaon chiní bakenra mabitaxti iki, jatianra minbiribi jawen tae chiponhai natéxti iki —akin.
GEN.3.16	Ja ainbora yoia iki: —En imaara bakeai ikonbiresi mia chexakaati iki, jatianra bakenaitiibi mia chexati iki. Ikaxbira min benen keeni mia jenétima iki, jatianra já min joni koshi iti iki —akin.
GEN.3.17	Ja jonira yoia iki: —Min awinin yoia keská axonkinra, en atima yoia jiwi bimi min kokoa iki, ramara min jakonma kopí, nato mai jakonma meranbires en imai; ikonbiresi teexonra ja jawékiati min kaimati jake, mia mawatai kaman.
GEN.3.18	Mainra moxayabi jakonma xobibaon mia xoxoxonti iki, jatianra nii meranoa yoabo min jawékiati iki.
GEN.3.19	Ikonbiresi teeti niskánxonparira min jawékiati iki, mawatax jakiribi ja aká maibi mia banetai kaman, miara mai aká iki, jakopíra jakiribi mia mai banéti jake —akin.
GEN.3.20	Ja jonin jawen awin janea iká iki, Eva, jara jatíbi joni jiriabaon tita iki.
GEN.3.21	Ibo Diossenra yoina bichibo sawetiaxon, ja joni itan jawen awin sawemaa iki,
GEN.3.22	jatianra yoia iki: “Ramara joni noa keskáribi banéke, jakon itan jakomara onanke. Jawekeska ixonra, jiwé jiwi bimiribi bixon kokoax jatíbitian janake”, akin.
GEN.3.23	Jaskara iketianra, Ibo Diossen Edén mainko iká, jakon jati wainkonia ja joni pikoa iki. Jaskáaxonra, ja main teenon ixon ja joni imaa iki, ja maibi aká ixon.
GEN.3.24	Ja joni pikoa pekáora, bari pikotaiori iká jakon jati wainko, querubín janeya peiabo imaa iki, itan chiibires espada jatíbiori mayatairibira imaa iki, ja jiwé jiwinko tsoabi nokótima kopíra aká iki.
GEN.4.1	Adánman jawen awin Eva yorana tootax ja bake pikota iki, jawen jane iká iki Caín. Jaskáketian, Adán neskata iki: “Moara ea westíora benbo bakeya iki, Ibon ea menia riki”, iki.
GEN.4.2	Japekáo Abel pikota iki, ja Caínman wetsa. Ja Abel iká iki, carnero kaiai; jatian Caínbiribi iká iki, waín teetai.
GEN.4.3	Jaskata pekáo basi iikin, wetsa nete Caínman aká iki, jawen waimea bia yoábo boxon Ibo menikin.
GEN.4.4	Abelninbiribi Ibo boxona iki, carnero bake reken pikota jakonshamanbo. Jatianra Ibon oinna ja Abel itan ja Ibo meninoxon boá jawekibo, jawen keenshaman iká iki.
GEN.4.5	Ixonbi Caín jaskáakin oinyamaa iki, ja meninoxon boá oinna jakonmaribi iká iki. Jaskáketian Caín, ikonbiresi sinatax jawen beísa jakónmabires iká iki.
GEN.4.6	Jatianra Ibon yoia iki: “¿Jawekopí, iorai sinataxki, min beísa ikonbires jakonma iki?
GEN.4.7	Jakon akáxa mia rarokeanke, ikaxbi min ayamai kopíra ochan miaaresai. Ikaxbira ja ocha minharesti atipanke”, akin.
GEN.4.8	Wetsa netera, Caínman jawen wetsa Abel, chankakin ioa iki, jatian kachio jato rabébicho ixonra, Caínman jawen wetsa Abel retea iki.
GEN.4.9	Jatianra Caín Ibon yokata iki: —¿Min wetsa Abelki jawerano iki? —akin. Jatianra Caínman yoia iki: —Enra onanyamake. ¿Eaki já koirannai iki? —akin.
GEN.4.10	Jatianra Ibon yoia iki: —¿Minki jawea? Ja min wetsan jimi main min chikoara, ja min aká atikeskabiakin en benxoanon ixon ea yokati, saí ikai.
GEN.4.11	Jakopíra, mia jakónmabires banetai, min wetsa min reteketian jawen jimi xea mainkoniaxa mia wetsanko kaai.
GEN.4.12	Ikonbiresi teexon, waiaxon min banaabira jakonmai xoxoax bimitima iki. Nato netenra mia kawanhatanti iki, jawetianbira mia tantitima iki —akin.
GEN.4.13	Jatianra Caínman Ibo yoia iki: —Ja akonbireskin masá tenetira en atipanyamake.
GEN.4.14	Ramara nato mainmea min ea pikoke, jatianra nato neten mia ochóbires, jawetianbi tantiamai ea kawantaresti jake. Jaskataitianra wetsabaonbires inonbi, nokoxon ea retekanti iki —akin.
GEN.4.15	Ikaxbira Ibonbiribi yoia iki: —Jaskara iken jan mia reteatonra, bebonbires kanchisakin masá teneti iki. Jatianra Ibon, ja nokoabaon Caín reteyamakanon ixon, ja oinxon onanti jawen yoranko axona iki.
GEN.4.16	Caínra jainoax Ibo betan yoyo ikainoax moa kaa iki, jatianra kaax Nod janeya mainko jaa iki; jara Edénhainoax bari pikotaiori iki —akin.
GEN.4.17	Caínmanra jawen awin yorana iki, jatianra tóota iki, jaskatax bakenara Enoc iká iki. Jaskáa pekáo jemaaxon Caínman, jawen baken janenbi janeara Enoc iká iki.
GEN.4.18	Ja Enoc-ra, Iradnin papa iká iki, Irad iká iki, Mehujaelnin papa, Mehujael iká iki, Metusaelnin papa, jainoax Metusael iká iki, Lámecnin papa.
GEN.4.19	Ja Lámec-ra rabé awinya iká iki: Adá betan Silá.
GEN.4.20	Adakan bakeara Jabal iká iki, ja Jabalnin chiní bakebora carpa xobon jaabo iká iki, jainoaxa yoina kaiaibo ikana iki.
GEN.4.21	Jabalnin wetsara iká, jawen jane Jubal, jaibakeaxa arpa ten akaibo itan quena xoon akaibo peokoota iki.
GEN.4.22	Silákan bakera Tubal-caín iká iki, yamin teetai jonira iká iki, bronce itan hierro meskó jawékibo akaira iká iki. Ja Tubal-caínman poira jawen jane Naamá iká iki.
GEN.4.23	Wetsa netenra Lámecnin, jawen awinbo yoia iki, Adá itan Silá:
GEN.4.23	“Ninkáshamankanwe, en mato yoinon,
GEN.4.23	ea isinhakin xateketianra en westíora joni bake ranon reteke.
GEN.4.24	Jawerato joninki Caín reteai, jaon kopikakinra kanchis akin masá tenemakanti iki, ikaxbi ea ramiabobiribira, kanchis chonka kanchis akin, masá tenemakanti iki”, akin.
GEN.4.25	Adanmanra jawen awin betan yoranribia iki, jatianra benbo bakeaxon janea Set iká iki, jatianra neskata iki: “Abel, Caínman retea toanra Diossen ea wetsa benbo bake menike”, iki.
GEN.4.26	Set-ribira westíora bakeya iká iki, jara Enós akin janea iki. Jainxon peoxonra Ibon jane rabikana iki.
GEN.5.1	Natobo riki, ja Adanman chiní bakebaon jane wishaa: Diossen joni anontianra, ja keskabiakin aká iki,
GEN.5.2	benbo betan ainbora jato jonia iki, jaskaaxonra jato jakon shinanxona iki. Jato jonia netenra, Diossen yoia iki: “Maton janera jonibo iti iki”, akin.
GEN.5.3	Jawen benbo bake pikónontianra Adán pacha kimisha chonka baritiaya iká iki, ja bakera jatíbinin jawen papa jisábi iká iki.
GEN.5.4	Jaskata pekáo Adán japaria iki, posaka pacha baritiapari, jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaribaa iki.
GEN.5.5	Jaskataxa jatíbi jawen baritia Adán jaa iká iki, iskon pacha kimisha chonka baritia; jatí baritiayanixa, mawata iki.
GEN.5.6	Set, pacha pichika baritiaya iketianra, jawen benbo bake Enós pikota iki.
GEN.5.7	Jaskata pekáo, Set japaria iki posaka pacha kanchis baritiapari. Jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaríbaa iki,
GEN.5.8	jaskataxa jatíbi jawen baritia Set jaa iká iki, iskon pacha chonka rabé baritia. Jatí baritiayanixa mawata iki.
GEN.5.9	Enós, iskon chonka baritiaya iketianra jawen benbo bake Cainán pikota iki.
GEN.5.10	Jaskata pekáo Enós japaria iki, posaka pacha chonka pichika baritiapari, jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaribaa iki,
GEN.5.11	jaskatax jatíbi jawen baritia Enós jaa iká iki, iskon pacha pichika baritia. Jatí baritiayanix mawata iki.
GEN.5.12	Cainán, kanchis chonka baritiaya iketianra jawen benbo bake Mahalalel pikota iki.
GEN.5.13	Jaskata pekáo Cainán japaria iki, posaka pacha chosko chonka baritiapari, jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaribaa iki.
GEN.5.14	Jaskatax jatíbi jawen baritia Cainán jaa iká iki, iskon pacha chonka baritia. Jatí baritiayanix mawata iki.
GEN.5.15	Mahalalel, sokota chonka pichika baritiaya iketianra, jawen benbo bake Jared pikota iki.
GEN.5.16	Jaskata pekáo Mahalalel japaria iki, posaka pacha kimisha chonka baritiapari, jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaribaa iki.
GEN.5.17	Jaskatax jatíbi jawen baritia Mahalalel jaa iká iki, posaka pacha iskon chonka pichika baritia. Jatí baritiayanix mawata iki.
GEN.5.18	Jared, pacha sokota chonka rabé baritiaya iketianra, jawen benbo bake Enoc pikota iki.
GEN.5.19	Jaskata pekáo Jared japaria iki, posaka pacha baritiapari, jainoax wetsa jawen benbo bakebo, itan ainbo bakebo jaribaa iki;
GEN.5.20	jaskatax jatíbi jawen baritia Jared jaa iká iki, iskon pacha sokota chonka rabé baritia. Jatí baritiayanix mawata iki.
GEN.5.21	Enoc, sokota chonka pichika baritiaya iketianra, jawen benbo bake Matusalén pikota iki.
GEN.5.22	Enoc-ra jaa iki, Diossen shinanna keskáres axoni. Ja Matusalén pikota pekáo Enoc japaria iki, kimisha pacha baritiapari, jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaríbaa iki;
GEN.5.23	jaskatax jatíbi jawen baritia, kimisha pacha sokota chonka pichika baritia Enoc jaa iká iki.
GEN.5.24	Ja Diossen shinanna keskáres axoni jaa ikaxa, wetsa neten manóresa iki, jaskaraa iki moa Diossenbi boá.
GEN.5.25	Matusalén, pacha posaka chonka kanchis baritiaya iketianra, jawen benbo bake Lámec pikota iki.
GEN.5.26	Jaskata pekáo Matusalén japaria iki, kanchis pacha posaka chonka rabé baritiapari. Jainoax wetsa jawen bakebo jaríbaa iki, benbo bakebo betan ainbo bakebo.
GEN.5.27	Jaskatax jatíbi jawen baritia Matusalén jaa iká iki, iskon pacha sokota chonka iskon baritia. Jatí baritiayanix mawata iki.
GEN.5.28	Lámec, pacha posaka chonka rabé baritiaya iketianra, westíora jawen benbo bake pikota iki,
GEN.5.29	Jara Noé akin janea iki, jaskaax iká iki neskati: “Ibon nato mai jakonmakin shinanxona iketianra, waiai noa ikonbiresi teetai, jaskara ikenbira nato baken noa tantimati iki”, iki.
GEN.5.30	Moa Noé pikota pekáora, Lámec jaa iki pichika pacha iskon chonka pichika baritiapari; jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaribaa iki;
GEN.5.31	Jaskatax jatíbi jawen baritia Lámec jaa iká iki, kanchis pacha kanchis chonka kanchis baritia. Jatí baritiayanix mawata iki.
GEN.5.32	Pichika pacha baritiaya inontianra Noekan, bakea iki Sem, Cam, Jafet.
GEN.6.1	Nato main jonibo kaiti peokoonontianra jemaabotankin bakeakana iká iki, ainbo bakebo,
GEN.6.2	Diossen bakebaon, ja ainbobo oinnara iká iki metsáshamanbo. Jatianra jainoa katotax jaton keenshamanbo oinnax jabo betan wanokana iki.
GEN.6.3	Ikaxbira Ibon yoia iki: “Nato jonibora, yorayabo ikax jatíbitian jatimabo iki. Jakopíra, pacha rabé chonka baritia senenres en jato jamati iki, ikíra Dios iká iki”, akin.
GEN.6.4	Diossen bakebaon, ja jonibaon bake ainbobo bixon jato betan bakeakanara, anishaman jonibo nato main pikoti peokookana iki, japekáora kaibotanreskana iki. Jabora ikana iki moatianbi koshi reteananaibo, jaton akábo oinxon onankana ikax ninkakataibo.
GEN.6.5	Ibon oinnara jonibaon aká nato main bebonbires jakonma iká iki, jaton shinanra jatíbitian jakonma atires iki,
GEN.6.6	jaweati en joni akárin ikira iká iki. Kikinni chexakaatira
GEN.6.7	neskata iki: “En aká jonibora, nato mainmea tsoabi yamatiakin en jato keyoai, jatíbi yoinaboribi, main norex iki niaibo jainoax noyai yoinabo. ¡Ayamapainon en jato akárin ikíra ea ikai!” iki.
GEN.6.8	Jaskara ikenbira, Ibon oinna Noébichores jakon iká iki.
GEN.6.9	Natora Noé iní yoii iki. Noéra jakonhira joni iká iki, jatíbitianra Dios yoiti ixona iki. Ja janontianra jabé jonibo xaran, jabichores Dios keenai keskati jaa joni iká iki.
GEN.6.10	Noéra kimisha benbo bakeya iká iki, jabaon jane iká iki, Sem, Cam, Jafet.
GEN.6.11	Diossen oinnara nato main jakonma bochobires iká iki, itan onsati ramianankanai iká iki,
GEN.6.12	jaskatira jatíbi jonibo jakonmai axekana iká iki. Diossen oinna nato main ichabires jakonma jaketianra,
GEN.6.13	Noé yoia iki: “Enra shinanke jatíbi jonibo keyonoxon. Jaton jakonma kopíra nato neten ikonbiresi onsati reteanankanai, jaskara iketianra en jato keyoai, jatíbi nato neten ikáboyabi.
GEN.6.14	Bepon jiwi wapóroawe, jawen chitébo awé, jaskáxon okenbekonbi ja wapóro xabábo boín boyawe, jemaori itan napoori, jene weinaketian.
GEN.6.15	Ja wapóro akin, min topóntira neskara iti iki: Pacha kimisha chonka pichika metro jawen nenké, rabé chonka rabé metro, wetsa metro iti naponbekon jawen naxbá; jainoax chonka kimisha metro, wetsa metro iti naponbekon jawen keyá.
GEN.6.16	Kimisha pekataya axon, bochiki ja wapóro peká nókoti, metro naponbekon ikain westíora ventanan awé; jainxon westíora xepótiribi awé.
GEN.6.17	Enra jenen ewa raanai, mai mapoxon jatíbiainoa joni itan yoina jiriabo nato netemeabo keyonon ixon. Jatíbi nato main jaabora, mawáti iki.
GEN.6.18	Ikaxbi miibetanra, ja senenhabekonti joi en akai. Ja wapóro meranra min bakebo weikanti iki, min awin, min baban ewabo itan miaribi jikiti iki.
GEN.6.19	Jainxonribira min weimati iki, jatíbi nato netemea yoinabo, bene betan awinbora iti iki; jaboribira miibetan mawákantima iki.
GEN.6.20	Jatíbi meskó yoinabora, rabébo miibetan ja wapóro meran weíkanti iki: noyai yoinabo, ináati yoinabo, main norex iki niaibo, jaboribi keyonaketian.
GEN.6.21	Meskó jawékiatibo tsinkiwe, jaskáaxon benxoawe. Mato betanbi yoinabaon jawékiati janon ixon”, akin.
GEN.6.22	Jatianra Noekan aká iki, senenhakin jatíbi ja Diossen ati yoiabo.
GEN.7.1	Japekáora Ibon Noé yoia iki: “Ramatian iki miabichores, jatíbi jonibo xaran nokon keena keskáres akí jaa joni. Jaskara ikax, maton bakeboyabi wapóro meran weikanwe.
GEN.7.2	Rama jatíbi kerásma yoinabo weimawe, kanchis bene jainxon kanchis awin. Ikaxbi kerás yoinaboribi, bene betan awinbichores weimawe.
GEN.7.3	Jainxonribi weimawe kanchis meskó noyai yoinabo, bene betan awin kataxabo, ja yoinabo nato neten keyoyamai jati kopi,
GEN.7.4	nenoax kanchis nete senenketianra, chosko chonka nete itan chosko chonka yamé en oi bemai. Nato mainmea jatíbi jiriabo itan jatíbi ja en joniabora en keyoai”, akin.
GEN.7.5	Jatianra Noekan jatíbi Ibon ja ati yoia keskáshamanbo aká iki.
GEN.7.6	Ja jenen ewan keyokin mai maponontianra, sokota pacha baritiaya Noé iká iki.
GEN.7.7	Jatianra jenen ewan retenaketian Noé, jawen awin, jawen bakebo jainoax jawen baban ewabo wapóro meran weikana iki.
GEN.7.8	Kerásma itan kerás yoinabo, noyai itan main norex iki niaibora,
GEN.7.9	Noé betan wapóro meran weikana iki, rabé rabébo, bene betan awinbora iká iki, Diossen jato yoia keskára ikana iki.
GEN.7.10	Ja kanchis nete senenketianra, jenen ewan moa mai mapokin peoa iki.
GEN.7.11	Baritia peokota rabé oxe, chonka kanchis netera iká iki. Jatianra Noé sokota pacha baritiaya iká iki. Ja netenshamanribira aniparo xamameax jene jokonai kinibo toebetana iki, jainoax bochikia naikanmea ani xepótibo kepemebotana iki.
GEN.7.12	Chosko chonka nete itan chosko chonka yaméra, nato main oi bei jenéyamaa iki.
GEN.7.13	Ja oi bei peokootai netenribira, Noé, jawen bakeboya Sem, Cam, Jafet itan jawen awin jainoax jawen baban ewabo betan wapóro meran jikia iki.
GEN.7.14	Jatíbi meskó yoinabo, inaatima itan ináatibo, itan jatíbi meskó norex iki niaibo itan noyai yoinabora jato betan weikana iki.
GEN.7.15	Jatíbi yoinabora, rabébo Noé betan wapóro meran weikana iki.
GEN.7.16	Ja meskó yoinabora, bene betan awinbo weikana iki; Diossen Noé yoia keskáshaman ikanketianra, Ibon ja wapóro xepoa iki.
GEN.7.17	Chosko chonka nete kamanra jenen ewa bea iki. Ja jenetiataitoninra, wapóro toxbati peokota iki.
GEN.7.18	Ja jene bei keyáinataitoninra, wapóroribi toxbainata iki.
GEN.7.19	Jaskati ikonbiresi jenetiaxonra, jatíbi nato mainmea ani manan keyábo, keyokin mapoa iki.
GEN.7.20	Ja ani manan keyábo mapokin keyoa pekáora, kanchis metro bebon keyá jene iká iki.
