GEN.1.1	Vowambeela Mulugu ahipaddusa odhulu ni elabo ya vati. 
GEN.2.5	kamwaali mithanko naari kamwamelile manasi naariwene.
GEN.2.6	Mahinje yakuma vati va theya wi ekuwalihege vaatevene.
GEN.2.9	Mudda ole 
GEN.2.10	Mu Eddeni mwahikala mwihinje, oyene wavaha mahinje mudda olene. Mwihinje ola otiwiwa wahigawanyeya mihinje minnayi. 
GEN.2.11	Mwihinje wowambeela oneethaniwa Pixoni, oyene waapeelele mwiilaboni ya oHavila mwemo muli oro mwijinji 
GEN.2.12	ni apama, wewo ohukalawo manddela muthanko oonukwela pama ni mabwe oofuneyesesa. 
GEN.2.13	Mwihinje wa nabiili oneethaniwa Giyoni, oyene waapeelele mwiilaboni yaatene ya Kuxi. 
GEN.2.14	Mwihinje wa neethaaru oneethaniwa Tigiri, oyene onavira epaddi ya wewo onakuma nduwa yo Axuuri. Mwihinje wa nennayi oneethaniwa Ewufarati.
GEN.2.16	 Mulugu ahimulamulelaga, wiira: <<Ojege dhoovaha dha mithanko dhimohi dhaatedhene, 
GEN.2.17	mbwenye muthanko onanoniha yapama ni yootakala. Kuje. Waja onookwa ebaribareene>>.
GEN.2.18	Vano 
GEN.2.19	 Mulugu ahawuuba ni theya aneenyama ni balame misawo dhaatedhene, ahimwinka muthu wi aatwe mandina eewa. Mandina athwiliiye dhoopaddusiwa dhaatedhene baayene. 
GEN.2.20	Ndala muthu ahithwa mandina aneenyama aatene oofuwiwa ni amukokolani ni balame dhene. Ndala, kaafwanyeyile oomukamihedha aaye Adamu omfwaneelela.
GEN.2.21	Veva 
GEN.2.22	Mwa bararu elene, 
GEN.2.23	Veva mulobwana ahiiraga:
GEN.2.23	<<Mbwenye vano gihimfwanya! Ola muthu
GEN.2.23	okumile mwa makuva aaga ni mwiili waaga.
GEN.2.23	Ola, ndina naaye di mwihiyana,
GEN.2.23	vowi okumile mwa mulobwana>>.
GEN.2.24	Mwahaya buuyene mulobwana enamwihiyeliiye babe ni amaaye, otaganyihedhana ni mwihiyanaaye, abiili ala enakala mwiili mmohive.
GEN.2.25	Mulobwana ni mwihiyanaaye
GEN.3.1	Wewule wahikala nyowa, ela yaali yooxaga waakwaranya aneenyama aatene a mukokolani, alene 
GEN.3.2	Mwihiyana ahaakulaga, wiira: <<Nnorumeedhihiwa oja dhoovaha dha mithanko dha mmuddani. 
GEN.3.3	Mbwenye Mulugu ohuwoga wi nihijege dhoovaha dha muthanko oli vaari va mudda. Nahiddave yoovahaya nnokwa>>.
GEN.3.4	Nyowa yahimwaakulaga, wiira: <<Naari! Nyo kamunakwa. 
GEN.3.5	Sowi Mulugu ohunona wi mwajave dhoovaha dhiwa, meento eenyu enadha efuguwe, vano munonege yootakala ni yapama wona Mulugu>>.
GEN.3.6	Mwihiyana ahoonaga wi yoovaha ya muthanko ole yaali yoodhiva ni yapama vowoona, ni yoofuneya yoodhiiha tthottho. Ahithukulaga, oja; omvahawo mamune, oja. 
GEN.3.7	Mudhidhi olene, meento eewa yahifuguwaga, wambeela woona wi yaali madave. Yahaagumanihaga mataakuru anamutaambwi wi yaande wiikuneelana.
GEN.3.8	Vevale nduwa nigarugunuwe,
GEN.3.9	 Mulugu ahimwiithanaga mulobwana, omukoha, wiira: <<Oli wuuvi?>>
GEN.3.10	Mulobwana ahaakulaga, wiira: <<Giiwile ndhu mweeddaga mmuddani; gowoova, gihithawa wiipita vowi gili madave>>.
GEN.3.12	Mulobwana ahaakulaga, wiira: <<Mwihiyana ola mugivahiliinyu wi akalege ni miyo, digivahile yoovaha ya muthanko ole, gija>>.
GEN.3.14	Vevale 
GEN.3.14	<<We nyowa, mwaha wa ela yiiriliiwe:
GEN.3.14	Wa aneenyama aatene,
GEN.3.14	oofuwiwa ni a mukokolani, ohuulumeleleya.
GEN.3.14	Oneeddege mowiiburula,
GEN.3.14	onaajege theya egumi yaawo yaatene.
GEN.3.15	Weevo ni mwihiyana ginoodha guwiiddaniheni,
GEN.3.15	anamabaliwelamo aawo ni anamabaliwelamo aaye;
GEN.3.15	mwihima a mwihiyana onoodha ooporose muru,
GEN.3.15	vano weevo onoodha omporose epothokoro>>.
GEN.3.16	Mulugu ahiwogaga wa mwihiyana, wiira:
GEN.3.16	<<Ginoodha geenjedhedhe goyi warubalela,
GEN.3.16	vano nlabo noobala naawo, oneerege woona ovoreya.
GEN.3.16	Oneerege ofuna omulamula mamuno,
GEN.3.16	mbwenye oliye dineere oolamulelege>>.
GEN.3.17	Vano wa Adamu wiira:
GEN.3.17	<<Vowi ohumwiiwelela mwihiyanaawo,
GEN.3.17	oja yoovaha eyene galamuleliimi wi kuje:
GEN.3.17	Theya ehuulumeleleya mwaha wa we.
GEN.3.17	Oneerege woona goyi wafunaga okalana dhooja
GEN.3.17	egumi yaawo yaatene.
GEN.3.18	Theya enaavahege miinga ni marula,
GEN.3.18	weevo onaajege dhoovaha dha mmiddani.
GEN.3.19	Egumi yaawo yaatene wafunaga oja,
GEN.3.19	oneerege okuma nikurumela
GEN.3.19	ofiyedha owelela otheyani,
GEN.3.19	vowi mwa theya poobiwiiwe.
GEN.3.19	Ebaribareene weevo oli nthubi,
GEN.3.19	onoodha owelele okale nthubi>>.
GEN.3.20	Vano mulobwana ahimuthwa mwihiyanaaye ndina na Eva
GEN.3.21	Veva 
GEN.3.22	Ndala, 
GEN.3.23	Mwa ela 
GEN.3.24	 agamwiigarile muthu, ahihela dhoopaddusiwa dha odhulu dha mompelo
GEN.4.1	Adamu ahigona ni mwihiyanaaye Eva, ahirubalela, ombala Kayini. Agambalile, Eva ahiiraga: <<
GEN.4.2	Ahimbala teto mwaana mmohi. Ola di Abeli, ddibile Kayini. Abeli aali makambuzi a aneenyama. Kayini aali namalima.
GEN.4.3	Nlabo nimohi, Kayini ahidhana wa 
GEN.4.4	Abeli ahidhana wa 
GEN.4.5	mbwenye kaahagalalena Kayini ni yooveleela yaaye. Mwaha wa ela Kayini ahitakaleliwa, kove yaaye yahivololaga. 
GEN.4.6	Ndala 
GEN.4.7	Weera yapama, kove enohagalala.
GEN.4.8	Nlabo nimohi Kayini ahiwogaga ni ddibile Abeli wi edhowe omidda. Egali wewule, Kayini ahimwiinyuwelaga ddibile, ompa.
GEN.4.9	Vevale 
GEN.4.10	 ahimukohaga, wiira: <<Weevo yiiriliiwe ddi? Mwazi wa ddibilo, oyene othathileliwe vati onogiithana wi giindde kunyawunya. 
GEN.4.11	Vowindala ohuulumeleleya. Kudha olima teto theya eyene edhaalile mwazi wa ddibilo ompiliiwe. 
GEN.4.12	Naari olimege, theya kidha yuuvaha dhooreela. Onokala namathawa ozeezeyege mwiilaboni>>.
GEN.4.13	Kayini ahimwaakulaga 
GEN.4.14	Peeno munagihiiha olima theya ni okala ni nyo. Gineere githawe gizeezeyege mwiilaboni, muthu oyene oneere agifwanye onoogipa>>.
GEN.4.15	Mbwenye 
GEN.4.16	Veva Kayini ahitama, ahimwihiya 
GEN.4.17	Kayini ahigona ni mwihiyanaaye, orubalela ombala mwaana Enoki. Kayini ola ahimaga nluwa, othwa ndina na mwaanaye Enoki. 
GEN.4.18	Enoki ola ahimbala Eradi. Eradi ahimbala Mewuzhayeli, ola ahimbala Metuxayeli, ola ahimbala Lameki.
GEN.4.19	Lameki aatelile ahiyana abiili, mmohi eethaniwa Aadda, mmohiwa Ziila. 
GEN.4.20	Aadda ahimbala Zhabali, oyene aali nikolo na athu yakala mmisasani yaajihaga aneenyama eewa. 
GEN.4.21	Ddibile eethaniwa Zhubali, oyene aali nikolo na athu aatene yawooba abaangwe ni mvilovilo. 
GEN.4.22	Ziila ahimbala Tubalikayini, oyene aali mpogo a aliba ohana mukuwa ni migogo. Tubalikayini ahikalana murogoriye eethaniwa Naama.
GEN.4.23	Nlabo nimohi Lameki ahiwogaga ni ahiyanaaye, wiira:
GEN.4.23	<<Aadda ni Ziila, mugivuruwane pama,
GEN.4.23	mwiiwe yego ginafuniimi owoga.
GEN.4.23	Gahimpa mulobwana oyene agiporosile,
GEN.4.23	ni muzombwe oyene aginyingalile.
GEN.4.24	Wi Kayini anddiwe kunyawunya dila tanu nabiili,
GEN.4.24	miyo Lameki gineere giinddiwe kunyawunya
GEN.4.24	dila makumi matanu nameenddi
GEN.4.24	ni dila tanu nabiili>>.
GEN.4.25	Adamu ahiwelela ogona ni mwihiyanaaye, orubalela ombala mwaana-mulobwana, omuthwa ndina na Seti vowi Mulugu ahimvaha mwaana mmohi, vamburoni va Abeli, oyene Kayini ampiliiye. 
GEN.4.26	Seti ola ahimbala mwaanaye mmohi eethaniwa Enoxi. Mudhidhi oyene fambeeliiwa olobela mu ndina na 
GEN.5.1	Ola mwaha woweelengiwa wa makolo wambeela Adamu: Mulugu vampaddusiliiye muthu, ahimusasanya oofwanafwana ni oliye. 
GEN.5.2	Ahimpaddusa mulobwana ni mwihiyana. Vaapaddusiliiye, ahaareeliha, waathwa ndina nowi <<muthu>>.
GEN.5.3	Adamu aganna yaaka zana ni yaaka makumi maraaru (130), ahimbala mwaanaye oofwanafwana ni ooligana ni oliye, vano ahimuthwa ndina naaye Seti. 
GEN.5.4	Agambalile Seti, Adamu ahimala yaaka mazana matanu namaraaru (800), vano ahaabala ahima amohiwa anaalobwana ni anaahiyana.
GEN.5.5	Adamu amalile yaaka mazana matanu namannayi ni yaaka makumi maraaru (930) okwa.
GEN.5.6	Seti aganna yaaka zana ni yaaka tanu (105), ahimbala Enoxi. 
GEN.5.7	Agambalile Enoxi, Seti ahimala yaaka mazana matanu namaraaru ni yaaka tanu nabiili (807), vano ahaabala ahima amohi anaalobwana ni anaahiyana. 
GEN.5.8	Seti amalile yaaka mazana matanu namannayi ni yaaka kumi nabiili (912) okwa.
GEN.5.9	Enoxi aganna yaaka makumi matanu namannayi (90), ahimbala Kenani. 
GEN.5.10	Agambalile Kenani, Enoxi ahimala yaaka mazana matanu namaraaru ni yaaka kumi ni tanu (815), vano ahaabala ahima amohi anaalobwana ni anaahiyana. 
GEN.5.11	Enoxi amalile yaaka mazana matanu namannayi ni yaaka tanu (905) okwa.
GEN.5.12	Kenani aganna yaaka makumi matanu nameenddi (70), ahimbala Mahalaleli. 
GEN.5.13	Agambalile Mahalaleli, Kenani ahimala yaaka mazana matanu namaraaru ni yaaka makumi mannayi (840), vano ahaabala ahima amohiwa anaalobwana ni anaahiyana. 
GEN.5.14	Kenani amalile yaaka mazana matanu namannayi ni yaaka kumi (910) okwa.
GEN.5.15	Mahalaleli aganna yaaka makumi matanu nammohi ni yaaka tanu (65), ahimbala Zharedi. 
GEN.5.16	Agambalile Zharedi, Mahalaleli ahimala yaaka mazana matanu namaraaru ni yaaka makumi maraaru (830), vano ahaabala ahima amohi anaalobwana ni anaahiyana. 
GEN.5.17	Mahalaleli akwile aganna yaaka mazana matanu namaraaru ni yaaka makumi matanu namannayi ni yaaka tanu (895).
GEN.5.18	Zharedi aganna yaaka zana ni makumi matanu nammohi ni yaaka biili (162), ahimbala Enoki. 
GEN.5.19	Agambalile Enoki, Zharedi ahimala yaaka mazana matanu namaraaru (800), vano ahaabala ahima amohi, anaalobwana ni anaahiyana. 
GEN.5.20	Zharedi amalile yaaka mazana matanu namannayi ni yaaka makumi matanu nammohi ni yaaka biili (962) okwa.
GEN.5.21	Enoki aganna yaaka makumi matanu nammohi ni yaaka tanu (65), ahimbala Methuzalemi. 
GEN.5.22	Enoki eedda ni Mulugu. Agambalile Methuzalemi ahimala yaaka mazana maraaru (300), vano ahaabala ahima amohi anaalobwana ni anaahiyana. 
GEN.5.23	Yaaka dhaaye dhaatedhene dhaali mazana maraaru ni yaaka makumi matanu nammohi ni yaaka tanu (365). 
GEN.5.24	Enoki ola eedda ni Mulugu, veva ahirimeela kuhooneyaga. Di Mulugu amuthukule.
GEN.5.25	Methuzalemi aganna yaaka zana ni makumi matanu namaraaru ni yaaka tanu nabiili (187), ahimbala Lameki. 
GEN.5.26	Agambalile Lameki, Methuzalemi ahimala yaaka mazana matanu nameenddi ni yaaka makumi matanu namaraaru ni yaaka biili (782), vano ahaabala ahima amohi anaalobwana ni anaahiyana. 
GEN.5.27	Methuzalemi amalile yaaka mazana matanu namannayi ni makumi matanu nammohi ni yaaka tanu nennayi (969) okwa.
GEN.5.28	Lameki aganna yaaka zana ni yaaka makumi matanu namaraaru ni yaaka biili (182) ahimbala mwaana-mulobwana. 
GEN.5.29	Ahimuthwa ndina naaye Nowe, ahiwoga: <<Ola dineere avugule goyi ni mabasa oonyemela a theya ela 
GEN.5.30	Agambalile Nowe, Lameki ahimala yaaka mazana matanu ni makumi matanu namannayi ni yaaka tanu (595), vano ahaabala ahima amohi, anaalobwana ni anaahiyana. 
GEN.5.31	Lameki amalile yaaka mazana matanu nameenddi ni makumi matanu nameenddi ni yaaka tanu nabiili (777) okwa.
GEN.5.32	Nowe aganna yaaka mazana matanu (500) ahaabala anaaye Semu, Kami ni Zhafeti.
GEN.6.1	Athu venjiviliiwa mwiilaboni, yahibaliwa ahima anaahiyana ajinji. 
GEN.6.2	Ahima a Mulugu
GEN.6.3	Veva 
GEN.6.4	Malabo alene ni musogolo mweewa yahikalamo mwiilaboni athu oolapa a nlogo na aNefili.
GEN.6.6	ahiira: <<Geerela ddi ompaddusa muthu?>>
GEN.6.7	 fawogiliiye: <<Ginafuna gaatolose athu gaapaddusiliimi, vamohi ni aneenyama, ni dhowaabadha, balame dha odhulu ni dhaatedhene dhinavuma. Guhukuuwa waapaddusa alena>>.
GEN.6.8	Mbwenye Nowe yeeka dooneya pama vameentoni va 
GEN.6.9	Ola mwaha wa Nowe, mulobwana mmohive ahariha efunelo ya Mulugu mwa mukalelo wowaakwanela vaari va athu a mudhidhi olene, eedda ni Mulugu.
GEN.6.10	Nowe aganna ahima araaru: Semu, Kami ni Zhafeti.
GEN.6.11	Mulugu ahoona wi elabo ya vati yahipahuwa, athu aatene yahidhaaliwa owali. 
GEN.6.12	Vowoona, Mulugu ahifwanya dhigapahuwe dhoopaddusiwa dhaatedhene dha mwiilaboni eharaga dila dhootakala. 
GEN.6.13	Nuwindo Mulugu ahiira wa Nowe: <<Ginafuna gaatolose athu aatene, vowi elabo ehidhaaliwa owali, bu mwahaya ginaatoloseliimi vamohi ni elabweene.
GEN.6.14	<<Osasanye mwanddeya
GEN.6.15	Opime, malapeloya okale meeturu zana ni makumi matanu (150), orambalala wiwa meeturu makumi meenddi ni matanu (25), vano mataameloya ekale meeturu kumi ni matanu. 
GEN.6.16	Otomeye ni pato, olapelawa odhulu okale vaari ni vaari va meeturu, okalena musiwo mbararuni. Ogawemo maburo maraaru, etandaanyihedhane, nimohi vati, nimohi vaari, nimohi odhulu.
GEN.6.17	<<Miyo ginoodha gaadhiihe mahinje majinji, emire elabo yaatene ni otolosa dhoovuma dhaatedhene. Dhaatedhene mwiilaboni ya vati dhirimeele. 
GEN.6.18	Mbwenye ginohelavo nipangano no waandana waaga ni weevo. Onoodha ovolowe mmwanddeyani vamohi ni mwihiyanaawo, anaawo, ahiyaniiwa.
GEN.6.19	Ovolowena aneenyama a misawo dhaatedhene mmwanddeyani wi evuluwe, abiili-abiili, dhapogo ni dhamukolo. 
GEN.6.20	Enoodha, evolowe ni weevo aneenyama a misawo dhaatedhene, balame ni dhowaabadha. 
GEN.6.21	Othukule teto dhooja dhaatedhene dhaawo ni anaawo, ni dha aneenyama>>.
GEN.6.22	Ndala Nowe ahiirana dhaatedhene wona Mulugu mwamulamuleliiye. Ebaribareene ahiirana.
GEN.7.2	Waathukule aneenyama misawo dhaatedhene. Wa aneenyama ookuthiwa
GEN.7.3	Balame othukule tanu nabiili dha pogo ni dha mukolo, misawo dhaatedhene. Ndala aneenyama ni balame dhinoodha dhilogoleleye wi dhikale musogolo mwiilaboni ya vati. 
GEN.7.4	Sowi yavira malabo matanu nameenddi, ginoodha gimurubwihe muzongwe mwiilaboni malabo makumi mannayi, mutana ni mahiyu. Gineere gitolose dhaatedhene dhipaddusiliimi>>.
GEN.7.5	Nowe ahiirana dhaatedhene wona 
GEN.7.6	Aganna yaaka mazana matanu nammohi (600) veva mahinje fadhiliiwa mwiilaboni. 
GEN.7.7	Nowe ahivolowa mmwanddeyani vamohi ni mwihiyanaaye, anaaye ni ahiyaniiwa wi ehifwanyiwe mahinje. 
GEN.7.8	Wa aneenyama ootadhiwa ni oohutadhiwa, balame ni dhowaabadha, dhaatedhene dha misawo-misawo, 
GEN.7.9	dhahidha ovolowa biili-biili dhapogo ni dhamukolo, okala ni Nowe mmwanddeyani mwemo, wona mwemo Mulugu amulamuleliiye Nowe. 
GEN.7.10	Vano nlabo na neetanu na biili mahinje majinji yahidha mwiilaboni.
GEN.7.11	Yahidha mahinje yaakwanaga malabo kumi namatanu nameenddi a mweeri wa nabiili, Nowe aganna yaaka mazana matanu nammohi (600). Aneedduuddu a mahinje aatene a vati yahipula, misiwo dha mahinje oodhulu dhahithuleya. 
GEN.7.12	Ahirubwa muzongwe moolibana ni elabo malabo makumi mannayi, mutana ni mahiyu. 
GEN.7.13	Nlabo nendde nadhiile mahinje, Nowe ahivolowa mmwanddeyani vamohi ni mwihiyanaaye, anaaye, Semu, Kami, ni Zhafeti ni ahiyaniiwa araaru. 
GEN.7.14	Yahivolowa mmwanddeyani teto aneenyama oofuwiwa a misawo-misawo, a mukokolani, owaabadha, balame ni dhaatedhene dhinna mompelo. 
GEN.7.15	Wa dheegumi dhaatedhene, dhahivolowa biili-biili okala vamohi ni Nowe. 
GEN.7.16	Dhaali dhapogo ni dhamukolo mwa misawo dhaatedhene, wona Mulugu mwamulamuleliiye. Voomariha 
GEN.7.17	Malabo makumi mannayi, vadhiile mahinje mwiilaboni, mahinje alene yaheenjedhedheya, mwanddeya wahambeela ogwela, ohiya theya. 
GEN.7.18	Mahinje yeenjedhedheyagave mwiilaboni, mwanddeya weedda vadhulu viwa. 
GEN.7.19	Yahidhaala, ohuruwedha mwaango dhaatedhene ofiyedha dhootaamesesa. 
GEN.7.20	Egamalile ohuruwedha, yaheenjedhedheya meeturu matanu nameenddi vadhulu va mwaango.
GEN.7.21	Malabo alene yahikwa aneenyama aatene a mwiilaboni ya vati, oofuwiwa, a mukokolani, balame, ni dha makwedda dhimohi. Yahikwa teto athu aatene. 
GEN.7.22	Dhahikwa dhoovuma dhaatedhene mwiilaboni ya vati. 
GEN.7.23	Ndala ahitolosa dhigumi dhaatedhene dhaali mwiilaboni: athu, aneenyama, dhowaabadha vamohi ni balame. Nowe yeeka davuluwile ni alene yanniiyena mmwanddeyani. 
GEN.7.24	Mahinje yahihuruwedha elabo ya vati ofiyedha malabo zana ni makumi matanu (150).
GEN.8.1	Mbwenye Mulugu oomuubuwelelave Nowe ni aneenyama oofuwiwa ni a mukokolani alene yaali ni oliye mmwanddeyani. Mulugu ahoobiha pevo, vano mahinje yahambeela ovuguwa, 
GEN.8.2	ahaafuga mahinje aneedduuddu, mahinje a vati ni misiwo dha mahinje a odhulu, muzongwe ahimaala orubwa. 
GEN.8.3	Ndala mahinje yaali mwiilaboni yoovuguwa vang'ono-vang'ono. Vano yahaakwana malabo zana ni makumi matanu (150) mahinje egavuguwe, 
GEN.8.4	mwanddeya wahikaraatigi vadhulu va mwaango dha oErarati. Naali nlabo na neekumi ni matanu ni meenddi mweeri wa neetanu nabiili. 
GEN.8.5	Vano mahinje yoovuguwave. Mwaango dhahambeela wooneya nlabo nowambeela na mweeri wa neekumi.
GEN.8.6	Egamalile malabo mamohi matanu nameenddi Nowe ahifugula zhaneela nasasanyiliiye vamwanddeyani, 
GEN.8.7	ahimukumihedhavo nakugu. Oliye oodhowa awelaga, ofiyedha mahinje ovuguwa. 
GEN.8.8	Nowe ahikumiha teto kangayiwa wi oone akala mahinje ehiweleela. 
GEN.8.9	Kangayiwa vahooniliiwa voomorela, yahiwela. Vevale Nowe ahogoolaga moono waakelela, ahiwelihedha mmwanddeyani, vowi mahinje yaali ehinaweleelese mwiilaboni.
GEN.8.10	Ahijejihedha malabo mamohi matanu nameenddi, ahirumiha kangayiwa dila ya nabiili. 
GEN.8.11	Yahiwelela wa Nowe ociguwoni egalumile ntaakuru nikiiti na muthanko. Nuwindo, Nowe ahinona wi mahinje yahivuguwa. 
GEN.8.12	Ahijejihedha malabo mamohi matanu nameenddi, ahirumiha kangayiwa dila ya neethaaru, nuwindo kayawelilewo. 
GEN.8.13	Mahinje yaweleele nlabo nowambeela na mweeri wowambeela, Nowe aganna yaaka mazana matanu nammohi ni yaaka emohi (601). Veva Nowe ahifugula mwanddeya, woona theya egavuvure. 
GEN.8.14	Ndala va malabo makumi meenddi ni malabo matanu na meenddi a mweeri wa namiinddi, theya yahumma yaatene.
GEN.8.15	Mulugu ahiiraga wa Nowe: 
GEN.8.16	<<Okumemo mmwanddeyani, weevo, mwihiyanaawo, anaawo vamohi ni ahiyaniiwa.
GEN.8.17	Okumena dheegumi dhaatedhene dhili mmwanddeyani mo: Aneenyama aatene, balame, ni dhowaabadha. Dhirelane dhidhaale mwiilaboni ya vati>>.
GEN.8.18	Nowe ahikuma ni mwihiyanaaye, anaaye vamohi ni ahiyaniiwa. 
GEN.8.19	Dhigumi dhaatedhene dha mwiilaboni dhahikuma teto mmwanddeyani wona mwa misawo dhiwa: Aneenyama, owaabadha ni balame dhaatedhene.
GEN.8.20	Vevale Nowe ahisasanya ebuwa ya mukutho wa 
GEN.8.21	 vooniliiye onukwela pama wa dhoopahiwa nde, ahihagalalaga. Ahuubuwelelaga, wiira:
GEN.8.21	<<Kagidha guulumela theya mwaha wa athu.
GEN.8.21	Gihinona wi wuubuwelela weewa oli wootakala
GEN.8.21	wambeela wiihimani weewa.
GEN.8.21	Kagidha teto gitolosa dhigumi dhaatedhene wona giiriliimina.
GEN.8.22	Ofiyedha omakuthulo wa elabo,
GEN.8.22	onoodha okalena dhoodhala ni dhoohadda,
GEN.8.22	oddiddila ni oviha, elimwe ni sinja,
GEN.8.22	mutana ni mahiyu>>.
GEN.9.1	Mulugu ahimureeliha Nowe ni anaaye, wiira: <<Murelane, mwiinjive, mudhaale elabo ya vati. 
GEN.9.2	Aneenyama a mukokolani ni balame dha mudhulu, dhowaabadha dha mwiilaboni ni somba dha munyaza, dhaatedhene dhineerege wuwoovani, vano mulamulelege. 
GEN.9.3	Mutakunege dhaatedhene dhedhi wona munajeliinyu mataakuru ni manasi guuvahiliimini. 
GEN.9.4	Mbwenye muhutakunege nyama ni mwazeene, oyene onooneyiha egumi.
GEN.9.5	Oyene onampa muthu, avuuviha mwazi wa egumi yaaye, naari muthu naari mwaneenyama, ginodha gimuthonge.
GEN.9.6	<Oyene onampa muthu,
GEN.9.6	muthu ampe oliye teto.
