MAT.1.1	Tuhca̱ cochi nda̱ta yahn Dihvo vo Jesucristo. Ihyan ndico yahn ye ne, David ma̱n, Abraham ma̱n.
MAT.2.4	Tuhme chihquentiyon rey me che ndo da̱ma chidocuya̱n ndina̱n ma̱n, sa̱hn devano ley che dirun Moisés ma̱n, ne tumerune se ti va ca̱de che cuhndeya̱n ihyan che dechuh Dendiohs, ndedevahn ye ihyan iyehnse. 
MAT.2.5	Ndahconan ihyan chahn, ne ra̱hn ye ri ye sa̱hn:
MAT.2.5	―Ya̱n Belén, esta̱do yahn Judea, va ca̱de che cuhndeya̱n ye, te dirun ihyan profeta tuhca̱:
MAT.2.6	Ya̱n Belén, esta̱do yahn Judea ne,
MAT.2.6	co cuande va̱n ya̱n rahte yahn esta̱do min,
MAT.2.6	te min va che cuhndeya̱n ihyan ndina̱n
MAT.2.6	che din ye cuda̱do ihyan yahn Dendiohs, ihyan nación yahn Israel.
MAT.2.7	Chihno min ne, cua̱hn ndeh cah rey me ihyan devano chahn, ne tumerune se ihyan deh ro niyon che chihnde ro iyon me. 
MAT.2.8	Tuhme chihquentiyon se ihyan chahn, ne ra̱hn se:
MAT.2.8	―Cuahn nchuhn ya̱n Belén, tumerune ndah ne ti quenan decua̱h me, ne cuahn che a nta̱ca ne ne, checu ne ndudo yáhn ca̱va che namin cá̱hn ndevá yavena̱n.
MAT.2.9	Chihno chihcovan ihyan chahn che ra̱hn rey me ne, quendi ye cuahn ye. Tuhme iyon me ne, quenda̱hna̱n cuahn nde nda̱ cua̱co na̱n che quendite decuah me, ne min quendihco. 
MAT.2.10	Cuahn che ndihchero ihyan chahn che quendihco iyon me min ne, a̱ma chi yeno ye. 
MAT.2.11	Chenda̱ ye chete vah, ne cuahn che ndihchero ye lihn me nduco chaco Mariá ne, chehntihya ye ndeva ye yavena̱n. Tuhme na̱hne ye yave na̱n che chenun tume yahn ye, ne tenda̱h ye diya̱hngua̱n ma̱n, cuhn ma̱n, nundeda̱n che duche mirra ma̱n, ca̱h ye co yahn lihn me. 
MAT.2.12	Chihno min ne, ca̱h Dendiohs che checadino ihyan chahn va̱n ya̱hnde yahn ye che metah ndaconan ye na̱n quenun Herodes, ne chemin che chahconan ye yune, cona̱hn ye ya̱n va̱co ye.
MAT.2.13	Cuahn che a cona̱hn ihyan devano chahn ne, ndihchero José va̱n ya̱hnde yahn ye a̱ma ángel yahn Dihvo vo Dendiohs, ne ra̱hn ángel me ri ye ihyan:
MAT.2.13	―Cuiquenda sa̱hn dihn nduco chaco se, ne codin vi, cuehn cua̱hn nación yahn Egipto. Min conen nde ro che ca̱hcantiyón che ndaconen, te Herodes ne, nuhn se sa̱hn dihn me ca̱va che ca̱hno se sa̱hn.
MAT.2.14	Ndeta̱hno quenda José sa̱hn dihn me nduco chaco se chete ra̱hn, cuahn ye cua̱hn nación yahn Egipto. 
MAT.2.15	Min chahtenan ye nde nda̱ ro che chih Herodes. Tihca̱ chi ca̱va che conahn ndudo che ca̱h Dendiohs, dirun ihyan profeta tuhca̱: “Nde nación yahn Egipto quendá Da̱yá.”
MAT.2.16	Cuahn che tumacadino Herodes che chahcota̱hn ihyan devano chahn yahn se ne, a̱ma chi ta̱n se, ne dechuh se sanda̱do ya̱n Belén ma̱n, ya̱n che nino min ma̱n, che chihno se nducoya̱ca decua̱h cha̱hn, nde checa̱hya che a ri o nduyo, te a tih va ro che ndihchero ihyan devano chahn iyon me. 
MAT.2.17	Nduco tihca̱ chinahn ndudo che dirun ihyan profeta Jeremías tuhca̱:
MAT.2.18	A̱ma rah ra̱n ihyan ma̱n,
MAT.2.18	a̱ma raco ye ma̱n,
MAT.2.18	anduhneca̱ ndete che ma̱n Raquel raco ye ca̱va da̱ya ye.
MAT.2.18	Hua nda̱ca ye vedechahtino, te a chihno chihno se da̱ya ye.
MAT.2.19	Cuahn che a chih Herodes ne, min nación yahn Egipto ndihchero José va̱n ya̱hnde yahn ye, a̱ma ángel yahn Dihvo vo Dendiohs, ne ra̱hn ángel me ri ye ihyan:
MAT.2.20	―Cuendiquenda sa̱hn dihn me nduco chaco se, ne conahn nación yahn Israel, te a chih sa̱hn che nahn ca̱hno se sa̱hn.
MAT.2.21	Tuhme ndiquenda José sa̱hn dihn me nduco chaco se, ne ndaconan ye nación yahn Israel. 
MAT.2.22	Ate checadino José che Arquelao rihquentiyon se menun chida se esta̱do yahn Judea, ne hua chihquino ye quenan ye esta̱do min. Tuhme ca̱h Dendiohs che checadino ye va̱n ya̱hnde yahn ye, ne cuahn ye esta̱do yahn Galilea. 
MAT.2.23	Min quenan ye a̱ma ya̱n che duche Nazaret. Tihca̱ chi ca̱va che conahn nduhca̱ che dirun ihyan profeta yahn Dihvo vo Jesucristo tuhca̱: “Nazareno ca̱hma ihyan yahn ye.”
MAT.3.1	Ta̱hn min ne, nda̱ Juan Bautista esta̱do yahn Judea, ya̱hn na̱n che metah duhva. Min cahndudo ye 
MAT.3.2	ne ra̱hn ye:
MAT.3.2	―Cuento ino nchuhn nunde yahn ne, te Dendiohs, ihyan min che va ye vahchetero ne, a nun cuahn ca̱hcantiyon ye.
MAT.3.3	A yahn Jua̱n che dirun ihyan profeta Isaías tuhca̱:
MAT.3.3	Cuahndudo a̱ma ihyan ya̱hn na̱n che metah duhva, ne ca̱hma ye tuhca̱:
MAT.3.3	“Cuihcoya̱n nchuhn chedave yahn ne ca̱va che nevahnecun ne Dihvo vo.”
MAT.3.4	Tino yahn Jua̱n ne, ndiya nduco yudo yahn camello, ne quenan chete ye a̱ma ima. Reh ye a̱ma na̱n ya̱hcada̱hn ma̱n, rih ye nedih yahn che va va̱n chano ma̱n. 
MAT.3.5	Ihyan ya̱n Jerusalén ma̱n, ihyan che vate ye ta̱ma te o ya̱n esta̱do yahn Judea ma̱n, chihto ico Jordán ma̱n ne, rahn ye rihnevan ye che rahndudo Jua̱n. 
MAT.3.6	Rentuma ino ye nunde yahn ye, ne rehdenune Jua̱n ihyan, min ico Jordán.
MAT.3.7	A̱ma ya̱hn sa̱hn fariseo ma̱n, sa̱hn saduceo ma̱n, renda̱ se ca̱va che cuehdenune Jua̱n sa̱hn. Ate rihya ye sa̱hn:
MAT.3.7	Nchuhn ne, nduhchan cu ta̱n tihchan ne. ¿Duh te cuande nchuhn che din nun ino ne ca̱va che ndevahn ne yahn castigo yahn Dendiohs che va che co ne? 
MAT.3.8	Cuahtenan nchuhn nduhca̱ che rahtenan ihyan che rento ino ye nunde yahn ye numacuahn chedave yahn ye. 
MAT.3.9	Hua ndere ndonan ma̱n ne nchuhn che nda̱ta yahn Abraham nchuhn, te ndete che nahn Dendiohs che ndere co ya̱hn nda̱ta yahn ihyan min ne, nde tu che tuhchan co din ye che nda̱conda̱ ihyan che co cuande ye na̱n nda̱ta yahn ye. 
MAT.3.10	Ma̱n ne, anduhneca̱ ndete che a va ya̱n cu tin ca̱va che ca̱ta dihyoduto ya̱hn. Nducuahn ya̱hn che hua cochihve ndute yahn ne, ca̱ta, conun va̱coya̱hn. Atihnoca̱ co nduco nchuhn che hua cochihve che redin ne, te va che co ne castigo.
MAT.3.11	’U ne, rehdenuné nchuhn ca̱va che co ro che a nto ino ne nunde yahn ne. Ate a nun cochi ta̱ma ihyan che tahque yudo vederihquentiyon quenan cuma ye che co u, che nde hua rigonun chihvé ca̱va che co mozo yahn ye. Ihyan min ne, din ye che conun Vaco Ndah yahn Dendiohs ihyan ma̱n, din ye castigo ihyan nunde ma̱n. 
MAT.3.12	Nduhca̱ che retive ya̱to ihyan trigo, rih ndah ye, ne renedin da̱ma ye da̱che ya̱ma yahn, rihquiya̱hn ye ne, tihca̱ a nun techeca̱de ihyan min yahn nducoya̱ca ihyan. Ihyan che ndah ihyan ye na̱n Dendiohs ne, quenda ye ihyan vahchetero, ne ihyan che duhtuno ihyan ye ne, dechuh ye ihyan va̱n ruchiya̱hn che hua nda̱ ro che ntoh.
MAT.3.13	Ta̱hn min ne, chica Dihvo vo Jesucristo esta̱do yahn Galilea, nda̱ ye ico Jordán na̱n quenan Jua̱n ca̱va che cuehdenune ye ihyan. 
MAT.3.14	Ate ra̱hn Jua̱n ri ye ihyan:
MAT.3.14	―U che rendotenán ndih ca̱va che cuehdenune ne u, ¿ta̱ca̱ che u cuehdenuné ndih?
MAT.3.15	Ndahconan Dihvo vo, ne ra̱hn ye ri ye ihyan:
MAT.3.15	―Nahn che cuehdenune u, te redin yahn che dinahn vo nducuahn vederihquentiyon yahn Dendiohs.
MAT.3.15	Tuhme chehdenune Jua̱n ihyan. 
MAT.3.16	Chihno chedenune Dihvo vo ne, ndiquenda̱ ye va̱n nune. Ura min ndihchero ye Vaco Ndah yahn Dendiohs che chica vahchetero. Deca̱ ro icui deca̱ ro, ne chiya, quenun ihyan. 
MAT.3.17	Tuhme chenun a̱ma ndudo che chica vahchetero che ra̱hn tuhca̱:
MAT.3.17	―Sa̱hnguh che Da̱yá. Yahinó sa̱hn. A̱ma yenó che va se.
MAT.4.1	Chihno min ne, din Vaco Ndah yahn Dendiohs che cuahn Dihvo vo a̱ma cua̱n, ya̱hn na̱n che metah duhva, ca̱va che tumarande chundah ihyan.
MAT.4.2	Min quenan ye chete che o raco ro, ne hua cheh ye. Chihno min ne, chi cuico ye. 
MAT.4.3	Tuhme chahn nda̱ chundah, ne ra̱hn se ri se ihyan:
MAT.4.3	―Ndete che Da̱ya Dendiohs ndih ne, codin ne che tu che tuhchan ne, nda̱conda̱ pa̱n.
MAT.4.4	Ate ndahconan Dihvo vo, ne ra̱hn ye ri ye sa̱hn:
MAT.4.4	―A ndirun na̱n Ndudo yahn Dendiohs tuhca̱: “Ndiyu dema̱n pa̱n che rendotenan ihyan, te namin rendotenan ye ndudo yahn Dendiohs.”
MAT.4.5	Chihno min ne, quenda se ihyan nde tin ya̱co yahn ya̱n Jerusalén. 
MAT.4.6	Ra̱hn se ri se ihyan:
MAT.4.6	―Ndete che Da̱ya Dendiohs ndih ne, ca̱va ne muhn, co ne nde ndiya̱hn, te a ndirun na̱n Ndudo yahn Dendiohs tuhca̱:
MAT.4.6	Ca̱hcantiyon Dendiohs ángel yahn ye che din ye cuda̱do ndih,
MAT.4.6	ca̱va che hua dehva co yahn ne.
MAT.4.7	Ndahconan Dihvo vo, ne ra̱hn ye ri ye sa̱hn:
MAT.4.7	―Namin ndirun na̱n Ndudo yahn Dendiohs tuhca̱: “Hua tumerende Dihve Dendiohs.”
MAT.4.8	Chihno min ne, quenda chundah me ihyan a̱ma tin ico ya̱co, ne na̱hma se ihyan nducuahn vederihquentiyon che va iyehnse. 
MAT.4.9	Ra̱hn se ri se ihyan:
MAT.4.9	―Ndete che cahntihya ne ná̱n, ndeva ne yavená̱n ne, té nducuahn vederihquentiyon che ta̱hchan ndih.
MAT.4.10	Ate ndahconan ye, ne ra̱hn ye ri ye sa̱hn:
MAT.4.10	―Cuavi ná̱n, chundah, te a ndirun na̱n Ndudo yahn Dendiohs tuhca̱: “Cuendeva yavena̱n Dihve Dendiohs. A ihyan min no codinehn yahn ye.”
MAT.4.11	Tuhme chihcoma̱n chundah me ihyan, ne nda̱ ángel chinduco ye ihyan.
MAT.4.12	Cuahn che checadino Dihvo vo che quenun Jua̱n va̱coya̱hn ne, cona̱hn ye esta̱do yahn Galilea. 
MAT.4.13	Ate hua quenan ye ya̱n Nazaret. Tahque ndah ye ne, cuahn ye quenan ye ya̱n Capernaum, ya̱hn yahn Zabulón ma̱n, Neftalí ma̱n. 
MAT.4.14	Tihca̱ chi ca̱va che conahn nduhca̱ che dirun ihyan profeta Isaías tuhca̱:
MAT.4.15	Ya̱hn yahn Zabulón ma̱n, Neftalí ma̱n,
MAT.4.15	chihto yune che rahn na̱n vine ma̱n, ta̱ma la̱do yahn ico Jordán ma̱n,
MAT.4.15	esta̱do yahn Galilea, ya̱n va̱co ihyan ta̱ma nación ma̱n,
MAT.4.16	min ne, anduhneca̱ ndete che man na̱n che vate ihyan.
MAT.4.16	Ate nda̱ ro che anduhneca̱ ndete che condihco dave na̱n ye.
MAT.4.16	Ihyan che vate ye min ne, ca̱hnda yahn ye anduhneca̱ ndete che a vate ye ta̱h vederih.
MAT.4.16	Ate nda̱ ro che anduhneca̱ ndete che co dave yahn ye.
MAT.4.17	A nde ta̱hn min cana̱n Dihvo vo rahndudo ye, ne ra̱hn ye:
MAT.4.17	―Cuento ino nchuhn nunde yahn ne, te Dendiohs, ihyan min che va ye vahchetero, a nun cuahn ca̱hcantiyon ye.
MAT.4.18	A̱ma yune ne, quechica Dihvo vo chihto vine yahn Galilea. Ndihchero ye o ihyan reta̱h ya̱hca, Simón Pedro ma̱n, dihno ye Andrés ma̱n. Ura min ne, rentihyon ihyan chahn ya̱na chete vine me ca̱va che cota̱h ye ya̱hca. 
MAT.4.19	Tuhme ra̱hn ye ri ye ihyan chahn:
MAT.4.19	―Cuhn vo conduco nchuhn u, ne ndotenan che din da̱ma ne ya̱hca ne, cacuáhn nchuhn ca̱va che din da̱ma ne ihyan, conduco ye u.
MAT.4.20	Ndeta̱hno chihcoma̱n ihyan chahn ya̱na yahn ye, ne cuahn ye nduco Dihvo vo.
MAT.4.21	Tah cuahn ca̱na na̱n me ne, ndihchero ye o da̱ya Zebedeo, Jacobo ma̱n, Jua̱n ma̱n. Chenun ye chete ba̱rco nduco chida ye, renta̱hyon nan ye ya̱na yahn ye. Namin ya̱hve Dihvo vo ihyan, 
MAT.4.22	ne ndeta̱hno chihcoma̱n ye chida ye ma̱n, ba̱rco me ma̱n, cuahn ye nduco Dihvo vo.
MAT.4.23	Chihno min ne, quechica Dihvo vo numacuahn ya̱n yahn Galilea, ricuahn ye nduh cua̱n ya̱co yahn ihyan nación yahn Israel. Rahndudo ye nduhca̱ che rihquentiyon Dendiohs ihyan yahn ye, ne redin ye che rendoyahn ihyan cah. 
MAT.4.24	Nde numachahte nación yahn Siria chetuhn ndudo yahn vederihno che redin ye, ne a̱ma chengu ihyan ihyan cah yahn ye, ihyan che rih dihca ye ma̱n, ihyan che ndi cheche ye ma̱n, ne din Dihvo vo che ndoyahn ye. Namin ihyan che chenun vaco chihnga̱ ihyan ne, ndetenda̱h Dihvo vo vaco chihnga̱ chahn. 
MAT.4.25	A̱ma ya̱hn ihyan chinduco ye ihyan, ihyan esta̱do yahn Galilea ma̱n, ihyan esta̱do yahn Judea ma̱n, ihyan ya̱n Decápolis ma̱n, ihyan ya̱n Jerusalén ma̱n, ihyan che vate ye ta̱ma la̱do lco Jordán ma̱n.
MAT.5.1	Cuahn che ndihchero Dihvo vo che a̱ma ya̱hn ihyan chenun ye min ne, cocha ye a̱ma tingüete, chihnde ye. Tuhme ndo da̱ma ihyan che ritahno ye ihyan na̱n ye, 
MAT.5.2	ne chicuahn ye ihyan chahn tuhca̱:
MAT.5.3	―Ihyan che ri nda̱che ye yahn che chendihco ye nunde ne, ndah ro yahn ye, te cuahtenan ye vahchetero na̱n che rihquentiyon Dendiohs.
MAT.5.4	’Ihyan che ra̱n ye ne, ndah ro yahn ye, te neca̱h Dendiohs vedechahtino ihyan.
MAT.5.5	’Ihyan che necun ye ne, ndah ro yahn ye, te cuahtenan ye iyehnse nduhca̱ che neca̱h Dendiohs ndudo yahn ye.
MAT.5.6	’Ihyan che a̱ma nahn ye che runeca̱de cuahtenan ye ne, ndah ro yahn ye, te conan Dendiohs ihyan ca̱va che conahn nduco ye.
MAT.5.7	’Ihyan che renan va̱hino ye ihyan chena̱hn ne, ndah ro yahn ye, te conan va̱hino Dendiohs ihyan.
MAT.5.8	’Ihyan che hua chendihco ye nunde ne, ndah ro yahn ye, te ndeva Dendiohs ihyan.
MAT.5.9	’Ihyan che riya̱hve ye ihyan ca̱va che ndo ya̱n ye nduco vih ne, ndah ro yahn ye, te nedin da̱ya Dendiohs ihyan.
MAT.5.10	’Ihyan che redin ta̱n ihyan nduco ye yahn che runeca̱de vatechica ye ne, ndah ro yahn ye, te rihquentiyon Dendiohs ihyan.
MAT.5.11	’Ndah ro yahn nchuhn cuahn che ca̱hma ta̱n ihyan nduco ne ma̱n, din ta̱n ye nduco ne ma̱n, ndere ca̱hma nunde ye yahn ne ma̱n, yahn che ritahno ne u. 
MAT.5.12	Cuahn che tihca̱ cuahno co ne ne, co yeno ne, te ndeva Dendiohs nchuhn, cuahtenan ne vahchetero. A devano ne te a tihca̱ chahno chi ihyan profeta che chahte ye a ra̱hn me, din ta̱n ihyan nduco ye.
MAT.5.13	’Ima ne, a̱ma richihve, ate ndete che neca̱n, che metah chihn dihne ne, ametah cochihve. Va che cahtera ihyan, condinun condina̱hno ye. Chemin che nahn che din nchuhn cuda̱do vederihquentiyon che chenan cuma ne.
MAT.5.14	’Nduhca̱ che richihve ya̱hn che ri ro dave na̱n ihyan muhn iyehnse ne, tihca̱ richihve nchuhn ca̱va nducoya̱ca ihyan, te a devano ne vederihquentiyon yahn Dendiohs. Ya̱n ne, rihco ihyan a̱ma tin ico, te nahn ye che ndah co ro. 
MAT.5.15	Namin cuahn che nahn ya̱hn ihyan a̱ma ya̱hn ne, rihco ye na̱n che ya̱co ca̱va che co ro dave na̱n ihyan che chenun ye chete vah. Hua rihco ndeh ye ma̱n a̱ma cajón. 
MAT.5.16	Namin nchuhn ne, nahn che runeca̱de cuahtechica ne ca̱va che cua cuande nducoya̱ca ihyan, ne ndeva ye yavena̱n Chida ne che va ye vahchetero.
MAT.5.17	’Cuedevano nchuhn che ndá̱ ndiyu ca̱va che cuahcotá̱hn yahn ley che dirun Moisés ma̱n, ndudo che dirun ihyan profeta ma̱n, te ca̱va che ca̱h cuandé ihyan deh conahn. 
MAT.5.18	Cua̱co rá̱hn rí nchuhn te numanahn che metah cuihno vahchetero ma̱n, iyehnse ma̱n ne, hua condanan nde a̱ma ndudo na̱n ley min. Nde nducuahn che hua nduh rigonun chihve che ra̱hco ihyan ne, va che conahn. 
MAT.5.19	Chemin che adecoduhno ihyan che cahnevi ye a̱ma na̱n vederihquentiyon yahn, andahre hua nduh rigonun chihve che ra̱hco ye, ne tihca̱ cacuahn ye ihyan chena̱hn ne, ihyan min ne, hua nduh rigonun chihve ye vahchetero na̱n che rihquentiyon Dendiohs. Ate ihyan che dinahn ye nducuahn, ne tihca̱ cacuahn ye ihyan chena̱hn ne, a̱ma rigonun chihve ye vahchetero na̱n che rihquentiyon Dendiohs. 
MAT.5.20	Rá̱hn rí nchuhn te ndete che hua nde tahque runeca̱de cuahtechica ne che co sa̱hn fariseo ma̱n, sa̱hn devano ley che dirun Moisés ma̱n ne, nde hua co cuahtenan ne vahchetero na̱n che rihquentiyon Dendiohs.
MAT.5.21	’Nchuhn ne, a devano ne te ihyan ndico yahn ne chicuahn ye tuhca̱: “Hua cahne ihyan, te adecoduhno ihyan che ca̱hno ye vih ne, va che co ye castigo.” 
MAT.5.22	Ate u ne, rá̱hn rí nchuhn te adecoduhno ihyan che co ta̱n ye nduco ihyan chena̱hn ne, va che co ye castigo. Adecoduhno ihyan che ca̱hva ye nduco ihyan chena̱hn ne, va che ndo da̱ma ihyan ndina̱n, din ye castigo ihyan. Adecoduhno ihyan che ca̱hma ye co ye ta̱ma ca ihyan che nahn dave yahn ne, ca̱hnda yahn ye, te nduco nunde min ne, codin che conun ye va̱n ruchiya̱hn.
MAT.5.23	’Chemin che rá̱hn rí nchuhn te andahre a nda̱ ne na̱n ta nduco vedino che ca̱h ne Dendiohs, ate ndete che ura min nta̱ tin ne che va nunde yahn ne na̱n ihyan ne, 
MAT.5.24	cuihco ndah ne vedino me chihto na̱n ta, ne dinoca ca̱hn ne nda̱ca ne che nchahco nunde ihyan min, cuenedin ndah ne ndudo nduco ye. Tuhme co ca̱h ne vedino yahn ne.
MAT.5.25	’Me ndete che va ihyan che nahn ca̱ca nunde ye yahn nchuhn ne, codin nun ino ne cuenedin ndah ne ndudo nduco ye numanahn che metah ca̱ca nunde ye yahn ne, te ndete che hua ne, ca̱hco ye nchuhn ta̱h intiyahn. Intiyahn ne, ca̱hcantiyon ye policía che tihyon se nchuhn va̱coya̱hn, 
MAT.5.26	ne cua̱co rá̱hn rí nchuhn te min cuahtenun ne nde cuihno nedihve ne nducuahn.
MAT.5.27	’Nchuhn ne, a devano ne te ihyan ndico yahn ne chicuahn ye tuhca̱: “Hua ndere conen nduco nda̱hta che hua nihneva̱co ndoque.” 
MAT.5.28	Ate u ne, rá̱hn rí nchuhn te adecoduhno ihyan che ndihchero ye a̱ma nda̱hta, ne ndedecadino ye che nahn conan ye nduco te ne, nduco chemin a quendihco ye nunde nduco te na̱n Dendiohs, te anduhneca̱ ndete che a quenan ye nduco te.
MAT.5.29	’Ndete che ca̱va a̱ma ndutina̱n nchuhn adeche denda ne, cuahtendihco ne nunde ne, hua tumaca̱h ne yahn. Codin ne cuande anduhneca̱ ndete che a tico ne chaconda̱h ne, te tahque ndah che conda a̱ma ndutina̱n ne yodemin ca che cuahtenun ne va̱n ruchiya̱hn. 
MAT.5.30	Ndete che ca̱va a̱ma ta̱h nchuhn adeche denda ne, cuahtendihco ne nunde ne, hua tumaca̱h ne yahn. Codin ne cuande anduhneca̱ ndete che a chihca ne chaconda̱h ne, te tahque ndah che conda a̱ma ta̱h ne yodemin ca che cuahtenun ne va̱n ruchiya̱hn.
MAT.5.31	’Nchuhn ne, a devano ne te chicuahn ihyan ndico yahn ne tuhca̱: “Adecoduhno ihyan che nahn tehche ye nda̱hta yahn ye ne, va che dirun ye a̱ma ca̱ca, ca̱h ye ta̱hn na̱n che ca̱hco ro ye che a ntehche ye ta̱hn.” 
MAT.5.32	Ate u ne, rá̱hn rí nchuhn te co tehche ihyan nda̱hta yahn ye atena̱n ndete che conan te nduco ta̱ma cha̱hn, te ndete che ndere tehche ye ta̱hn ne, cuahn che cuhnde te nduco ta̱ma se ne, a ma̱n ye quendihco ye nunde. Namin adecoduhno ihyan che cahneva̱co ye nduco a̱ma nda̱hta che ntehche incha̱hn te ta̱hn ne, condihco ye nunde.
MAT.5.33	’Nchuhn ne, a devano ne te chicuahn ihyan ndico yahn ne tuhca̱: “Hua ndere cah ndudo yehn Dihve Dendiohs, te va che dinehn nducuahn ndudo yehn che cah.” 
MAT.5.34	Ate u ne, rá̱hn rí nchuhn te hua ca̱h ne ndudo yahn ne, ntihyon ya̱n ne Dendiohs. Namin hua ntihyon ya̱n ne vahchetero, te min quenan ye rihquentiyon ye. 
