GEN.1.1	Fɔlɔfɔlɔ, Alla ka sankolo dan ka duukolo dan, 
GEN.3.5	Alla ka lɔn ko ai wa jiriden wo damun lon mɛn na, ai ri kɛ hankilimailu ri. Ai ri kɛ iko Alla, ka koɲuma ni kojuu faranfaasi lɔn.»
GEN.3.6	Muso ka a yen ko jiriden wo ka ɲi, a duman kosɛbɛ. A ka a yen fanan ko jiriden wo ri mɔɔ kɛ hankilima ri. Wo rɔ, muso ka do kadi ka a damun, ka do di a cɛ ma, mɛn lɔni a tɔrɔfɛ. Wo ka a ta ka a damun. 
GEN.3.7	Alu banni a damunna, alu ka hankili sɔrɔn ka alu jɛrɛ yen ɲa gbɛrɛ ma. Alu ka a yen ko alu fari makolon de. Alu ka toro firailu kara iɲɔɔn na ka alu kɛ feriyabɔ ri ka alu jɛrɛ sutura.
GEN.3.8	Nba, wura fɛ, Allabatala Alla tɛrɛ ye a mataamala nakɔ ɲuma rɔ, fɔɲɔ ri tɛɛ dooni dooni waati mɛn na. Cɛ ni a muso ka a natɔla kan mɛn ka ibori a kɔrɔ ka wa alu dokon Alla ma jirilu tɛma. 
GEN.3.9	Allabatala Alla ka a kan nabɔ cɛ ma ko: «I ye mi?» 
GEN.3.10	Cɛ ka a jabi: «N ka i natɔla kan mɛn nakɔ ɲuma rɔ tuma mɛn na, n silanda, baa n fari makolon de. Wo le kosɔn, n ka n dokon.» 
GEN.3.11	Allabatala Alla kan ko: «Yon de ka a fɔ i yɛ ko i fari makolon de? N ka tɔn sii jiri mɛn na, i ra wo le den damun wa?» 
GEN.3.12	Cɛ kan ko: «I ka muso mɛn di n ma, wo le ka jiriden wo di n ma. N ka a damun.» 
GEN.3.13	Allabatala Alla ka a fɔ muso yɛ ko: «I ka nfen kɛ ɲin di?» Muso kan ko: «Sa le ka n manɛɛn ka n loo a damunna.»
GEN.3.14	Allabatala Alla ka a fɔ sa yɛ ko: «I ra wo kɛ. Wo le kosɔn, n di tɔrɔya la i kan ka tamin kolofen ni waa rɔ sobo bɛɛ kan. Sisen i ri i sɔmɔn i kɔnɔ kan, ka buuri damun i la dunuɲaratɛɛ bɛɛ rɔ. 
GEN.3.15	N di juuya bila i ni muso tɛ, ka a bila i bɔnsɔn ni a bɔnsɔn tɛ. A ri i kun gbasi. I fanan di a sen tintiri gbasi.»
GEN.3.16	Allabatala Alla ka a fɔ muso yɛ ko: «N di do la i la tin tɔrɔya kan. I ri i la kɔnɔmaya bɛɛ kɛ dun ba rɔ. A loo ri kɛ i la, ka sii i cɛ kun na, kɔni i ri to a fanka kɔrɔ.»
GEN.3.17	Allabatala Alla ka a fɔ Adama yɛ ko: «I ra i muso kan lamɛn ka jiriden damun, n ka tɔn sii mɛn na ko i kana a damun. Wo rɔ, n di duu tiɲan ile kosɔn. Duu tɛ sɔn ka i balo di i ma fo i wa baara siyaman kɛ. A ri kɛ wo ɲa i la dunuɲaratɛɛ bɛɛ rɔ. 
GEN.3.18	Tiriwonin ni bin juu ri fɛrɛn duukolo kan kɔni i balo ri kɛ sɛnɛsumanilu ri. 
GEN.3.19	I tɛ balo sɔrɔn ni i ma wasi. A ri kɛ wo ɲa haan i wa i kɔseyi duu rɔ, i danni duu mɛn dɔ kɔnin. I kɔseyitɔ buuri wo le rɔ, baa i bɔni buuri le rɔ.»
GEN.3.20	Nba, Adama ka a muso tɔɔ la ko Hawa, baa ale le kɛra mɔɔ bɛɛ na ri. 
GEN.3.21	Allabatala Alla ka gbolo doilu ladan ka woilu kɛ durukibailu ri ka alu bila Adama ni a muso kan na. 
GEN.3.22	Allabatala Alla kan ko: «Awa, cɛ ra kɛ iko an do le, ka koɲuma ni kojuu lɔn. A kana a bolo rasɔmɔn ma ɲɛnɛmaya jiri ma ka a den kadi ka a damun. Ni a ka a damun a ri to ɲɛnɛma rɔ habadan.» 
GEN.3.23	Wo rɔ, Allabatala Alla ka alu labɔ Edɛni nakɔ ɲuma rɔ, ko alu ye wa duu sɛnɛ, Alla ka alu dan duu mɛn dɔ. 
GEN.3.24	Nba, Allabatala Alla ka Adama ni Hawa gbɛn ɲa wo le ma. A ka mɛlɛkailu lalɔ nakɔ ɲuma donda la telebɔ fan fɛ. A ka fanmuru fanan bila ye, ta ye mɛnɛnna mɛn na. Fanmuru tama wo ye mininmininna tuma bɛɛ. A ka woilu bila le ye, kosa mɔɔ si kana tamin ka wa ɲɛnɛmaya jiri ma.
GEN.4.1	Nba, nbenba Adama ni a muso nma Hawa dɛnda. Nma Hawa ka kɔnɔ ta ka Kabila sɔrɔn. A kan ko: «Allabatala da n dɛmɛn ka dencɛ sɔrɔn.» 
GEN.4.2	Wo kɔ, a ka kɔnɔ ta ikɔ tuun ka Kabila doocɛ Abila sɔrɔn. Abila kɛra kolofengbɛngbɛnna ri. Kabila kɛra sɛnɛkɛla ri.
GEN.4.3	Lon do rɔ, Kabila ka a la sɛnɛsuman doilu ta ka na a la sɔ ka na woilu di Allabatala ma. 
GEN.4.4	Abila fanan ka a la saa doilu di Allabatala ma. Saa woilu tɛrɛ alu na den fɔlɔ le ri. Abila ka alu kannatɛɛ ka Allabatala sɔ alu ken dɔ. Abila ni a la saraka diyara Allabatala yɛ. 
GEN.4.5	Kɔni Kabila ni a la saraka ma diya Allabatala yɛ. Kabila mɔnɛra wo rɔ kojuuya, ka a ɲa wulen kosɛbɛ!
GEN.4.6	Allabatala ka a fɔ Kabila yɛ ko: «Nfɛnna i ye mɔnɛla foo ka i ɲa wulen ten? 
GEN.4.7	Ni i ka koɲuma kɛ, n di n ban i rɔ wa? Ni i ma koɲuma kɛ, kojuu a ri kɛ ikomin wara, mɛn ye i makɔnɔla i la bon da la. A loo ri kɛ a la, ka sii i kun na, kɔni i kana sɔn a rɔ le, fo i ye se a la le.»
GEN.4.8	Nba, Kabila ka a fɔ a doocɛ Abila yɛ ko: «An ye wa waa rɔ.» Alu sera ye tuma mɛn na Kabila bera a doocɛ kan ka a faa.
GEN.4.9	Allabatala ka a fɔ Kabila yɛ ko: «I doocɛ Abila ye mi?» Kabila kan ko: «N ma a diya lɔn. Nde le a kɔnɔgbɛnba ri wa?» 
GEN.4.10	Allabatala kan ko: «I ka nfɛn kɛ ɲin? I doocɛ jeli bɔtɔla kule kan bɔra duu ma ka se n ma yan, ko ka a ta sara i la. 
GEN.4.11	Sisen, n di tɔrɔya la i kan. I wa fen fen sɛnɛ, a tɛ sɔn butun, baa i ra i doocɛ jeli le bɔ ka kɛ duu wo kan. 
GEN.4.12	I wa duu sɛnɛ, i tɛ suman foyi sɔrɔn a rɔ. I ri kɛ mɔɔ ri, sii yɔrɔ kelen tɛ mɛn bolo.» 
GEN.4.13	Kabila ka a fɔ Allabatala yɛ ko: «I ra n jahadi mɛn la n kan, wo ka bon ka tamin. N ti se wo kɔrɔ. 
GEN.4.14	A ragbɛ! I ra n gbɛn ka bɔ duu kan bi. Fo n ye wa n dokon ka n bɔ i ɲakɔrɔ, ka kɛ mɔɔ ri, sii yɔrɔ kelen tɛ mɛn bolo. Mɛn wa n sɔrɔn wo ri n faa.» 
GEN.4.15	Allabatala ka a fɔ Kabila yɛ ko: «Ni mɔɔ mɔɔ ka Kabila faa, n di i jeli sara wo la siɲa wɔrɔnwula.» Allabatala ka a tɔɔmasere la Kabila kan, sa mɔɔ mɛn wa a yen, wo kana a faa.
GEN.4.16	Wo rɔ, Kabila bɔra Allabatala ɲakɔrɔ ka wa i sii Nodi jamana rɔ, mɛn ye Edɛni jamana telebɔ fan fɛ.
GEN.4.17	Nba, Kabila ni a muso dɛnda. A muso ka kɔnɔ ta ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Enɔki. Wo sɔrɔn kɔ, Kabila ka so do sii ka wo tɔɔ la a dencɛ Enɔki la. 
GEN.4.18	Enɔki ka Iradi sɔrɔn. Iradi ka Metujayeli sɔrɔn. Metujayeli ka Metusayeli sɔrɔn. Metusayeli ka Lemeki sɔrɔn.
GEN.4.19	Lemeki ka muso fila ta. Kelen tɔɔ ko Ada. A tɔ kelen tɔɔ ko Tisila. 
GEN.4.20	Ada ka dencɛ sɔrɔn ka wo tɔɔ la ko Jabali. Mɔɔ mɛnilu ye alu siila faaninbonilu la ka alu la kolofenilu kɔnɔgbɛn, Jabali kɛra wo bɛɛ benba ri. 
GEN.4.21	Jabali doocɛ le Jubali ri. Wo le kɛra korafɔla ni fulefɔla bɛɛ benba ri. 
GEN.4.22	Tisila fanan ka dencɛ sɔrɔn ka wo tɔɔ la ko Tubali Kabila. Wo kɛra numun di. A tɛrɛ ye sula ni nɛɛfin nadanna. Tubali Kabila doomuso tɔɔ ko Nama.
GEN.4.23	Lon do rɔ, Lemeki ka a fɔ a musoilu yɛ ko:
GEN.4.23	«Ada ni Tisila, ai ye n kan namɛn.
GEN.4.23	Ai, Lemeki musoilu, ai ye ai tolo malɔ n na kuma la.
GEN.4.23	Cɛ mɛn ka n madimin, n da wo faa.
GEN.4.23	Kanberen mɛn sera n ma, n da wo faa.
GEN.4.24	A fɔra ko ni mɔɔ mɛn ka Kabila faa, a julu ri sara wo tii la siɲa wɔrɔnwula.
GEN.4.24	Kɔni Lemeki la julu ri sara foo siɲa biwɔrɔnwula ni siɲa wɔrɔnwula.»
GEN.4.25	Nba, Adama ni a muso dɛnda. A muso ka kɔnɔ ta ka dencɛ sɔrɔn ikɔ tuun. A ka wo tɔɔ la ko Sɛti, baa a kan ko: «Alla ra dencɛ gbɛrɛ di n ma Abila nɔ rɔ, Kabila ka mɛn faa kɔnin.»
GEN.4.26	Nba, Sɛti fanan ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Enosi. Mɔɔilu ka Allabatala tara damira Enosi tele le rɔ, ko a ye alu dɛmɛn.
GEN.5.1	Adama bɔnsɔn tɔɔ le sɛbɛni ɲin di.
GEN.5.1	Alla ka mɔɔ dan lon mɛn na, a ka a dan ka a kɛ a jɛrɛ munuɲa le ri. 
GEN.5.2	A ka alu dan ka alu kɛ cɛ ni muso ri. A banni alu danna, a kumara ka baraka don alu rɔ ka alu tɔɔ la ko mɔɔ.
GEN.5.3	Adama sɔrɔn ka san kɛmɛ ni san bisawa bɔ tuma mɛn na, a ka dencɛ sɔrɔn, mɛn kɛra a la munuɲa ri. Adama ni a dencɛ tɛrɛ su kelen de ri. A ka a tɔɔ la ko Sɛti. 
GEN.5.4	Sɛti sɔrɔn kɔrɔ, Adama ka san kɛmɛ seyin de kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.5	A si san bɛɛ ladɛnni kɛra san kɛmɛ kɔnɔndɔ ni san bisawa le ri. Wo dafanin, a sara.
GEN.5.6	Sɛti si ka san kɛmɛ ni san loolu bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Enosi. 
GEN.5.7	Enosi sɔrɔn kɔrɔ, Sɛti ka san kɛmɛ seyin ni san wɔrɔnwula le kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.8	Sɛti si san bɛɛ ladɛnni kɛra san kɛmɛ kɔnɔndɔ ni san tan ni fila le ri. Wo dafanin, a sara.
GEN.5.9	Enosi si ka san bikɔnɔndɔ bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Kenan. 
GEN.5.10	Kenan sɔrɔn kɔrɔ, Enosi ka san kɛmɛ seyin ni san tan ni loolu le kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.11	Enosi si san bɛɛ ladɛnni kɛra san kɛmɛ kɔnɔndɔ ni san loolu le ri. Wo dafanin, a sara.
GEN.5.12	Kenan si ka san biwɔrɔnwula bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Malalɛli. 
GEN.5.13	Malalɛli sɔrɔn kɔrɔ, Kenan ka san kɛmɛ seyin ni san binaanin de kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.14	Kenan si san bɛɛ ladɛnni kɛra san kɛmɛ kɔnɔndɔ ni san tan de ri. Wo dafanin, a sara.
GEN.5.15	Malalɛli si ka san biwɔɔrɔ ni san loolu bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Yɛrɛdi. 
GEN.5.16	Yɛrɛdi sɔrɔn kɔrɔ, Malalɛli ka san kɛmɛ seyin ni san bisawa le kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.17	Malalɛli si san bɛɛ ladɛnni kɛra san kɛmɛ seyin ni san bikɔnɔndɔ ni san loolu le ri. Wo dafanin, a sara.
GEN.5.18	Yɛrɛdi si ka san kɛmɛ ni san biwɔɔrɔ ni san fila bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Enɔki. 
GEN.5.19	Enɔki sɔrɔn kɔrɔ, Yɛrɛdi ka san kɛmɛ seyin de kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.20	Yɛrɛdi si san bɛɛ ladɛnni kɛra san kɛmɛ kɔnɔndɔ ni san biwɔɔrɔ ni san fila le ri. Wo dafanin, a sara.
GEN.5.21	Enɔki si ka san biwɔɔrɔ ni san loolu bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Metusalemu. 
GEN.5.22	Metusalemu sɔrɔn kɔrɔ, Enɔki ka san kɛmɛ sawa le kɛ Alla la dɛn dɔ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.23	Enɔki si san bɛɛ ladɛnni kɛra san kɛmɛ sawa ni san biwɔɔrɔ ni san loolu le ri. 
GEN.5.24	Enɔki mɛnda Alla la dɛn dɔ. A tunura ka a masɔrɔn Alla ka a ta ka wa a ri.
GEN.5.25	Metusalemu si ka san kɛmɛ ni san biseyin ni san wɔrɔnwula bɔ tuma mɛn na, a ka dencɛ sɔrɔn. A ka wo tɔɔ la ko Lemeki. 
GEN.5.26	Lemeki sɔrɔn kɔrɔ, Metusalemu ka san kɛmɛ wɔrɔnwula ni san biseyin ni san fila le kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.27	Metusalemu si bɛɛ ladɛnni kɛra san kɛmɛ kɔnɔndɔ ni san biwɔɔrɔ ni san kɔnɔndɔ le ri. Wo dafanin, a sara.
GEN.5.28	Lemeki si ka san kɛmɛ ni san biseyin ni san fila bɔ tuma mɛn na, a ka dencɛ sɔrɔn. 
GEN.5.29	A ka wo tɔɔ la ko Nuhan. A ka a fɔ ko: «Allabatala ka duu tiɲan ka an bila baara gbɛlɛn dɔ. Kɔni cɛ ɲin de kɛtɔ an masabarila baara gbɛlɛn jusukasi kosɔn.» 
GEN.5.30	Nuhan sɔrɔn kɔrɔ, Lemeki ka san kɛmɛ loolu ni san bikɔnɔndɔ ni san loolu le kɛ, ka dencɛ ni denmusoilu sɔrɔn. 
GEN.5.31	Lemeki si bɛɛ ladɛnni kɛra san kɛmɛ wɔrɔnwula ni san biwɔrɔnwula ni san wɔrɔnwula le ri. Wo dafanin, a sara.
GEN.5.32	Nuhan ka san kɛmɛ loolu sɔrɔn tuma mɛn na, a ka Sɛmu ni Kamu ni Jafɛti sɔrɔn.
GEN.6.1	Nba, mɔɔilu tɛrɛ ye siyaya la duukolo kan tuma mɛn na, alu ka denmusoilu sɔrɔn. 
GEN.6.2	Wo kɛni, Alla dencɛilu ka alu ɲa lɔ denmuso woilu rɔ ka a yen ko woilu kɛɲi kosɛbɛ. Mɛnilu diyara alu yɛ, alu ka woilu ta ka alu kɛ alu musoilu ri. 
GEN.6.3	Wo le rɔ, Allabatala kan ko: «N ka n na ni don mɔɔilu rɔ, kɔni n tɛ sɔn a ye mɛn alu rɔ foo habadan, baa alu tɛ foyi ri fo fari banku, fen banta kɔnin. Alu si san bɛɛ ladɛnni tɛ tamin san kɛmɛ ni san muwan kan.»
GEN.6.4	Alla dencɛilu sera mɔɔilu denmusoilu ma tuma mɛn na, woilu ka kɔnɔ ta ka deni sɔrɔn. Den woilu kɛra mɔɔilu jan belebele ri, mɛnilu tɔɔ ko Nefilimu. Kɛbi waati taminni, woilu kɛra cɛ fadiyani ri. Alu tɔɔilu bɔra kosɛbɛ.
GEN.6.5	Allabatala ka a yen ko adamadenilu kɔnɔrɔjuuya ra wara dunuɲa rɔ. A ka a yen ko fen si tɔ adamadenilu jusu rɔ fo miriyajuu tuma bɛɛ. 
GEN.6.6	Allabatala nimisara adamadenilu dan ko rɔ duukolo kan. A sewani tun tɛ. 
